pXC50,N.070,nArNHR,ATS6m,IDMT,LPRS,ATSC8m,ATS7v,Eig11_EA.ri.,ON0,X0,ATS7p,ATS7s,Psi_i_0,GMTI,IDET,SMTI,IAC,TIC0,Eig10_AEA.dm.,PHI,ATS8s,ATSC8i,Eta_epsi,S1K,AECC,MSD,HVcpx,ON1,Dz,SpMax8_Bh.s.,ATSC6i,ATSC7i,X0sol,Eig09_EA.ri.,Sv,Psi_e_0,X2,GMTIV,Chi0_EA.ri.,IDE,Chi1_EA.ri.,ATS8e,ICR,SMTIV,Eta_C,DECC,SpMin3_Bh.m.,SpAD_AEA.dm.,Eta_alpha,S0K,Eta_betaS,SAtot,Eig09_EA,SM03_AEA.dm.,Eig06_AEA.dm.,ATSC7p,ATS5v,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,X1,Eig11_AEA.dm.,HDcpx,IDM,Sp,SpMaxA_AEA.ri.
7.8,0,2,3.943,27136.1,164.265,26.036,3.789,1.049,14.833,21.209,3.872,5.609,22.071,15678.0,1825.36,14292.0,84.615,84.615,1.534,5.744,5.567,1.06,32.486,20.215,13.903,8.015,3.753,6.667,66.333,3.913,1.247,1.162,21.709,1.335,35.213,11.388,13.819,39270.0,21.919,3.926,18.435,4.543,3.244,22907.0,23.965,2.235,1.913,52.669,14.914,145.58,21.75,505.701,1.431,1.431,2.414,7.185,3.924,21.273,21.273,21.273,21.273,21.273,15.136,1.146,1.731,8.574,36.995,0.113
5.6,0,0,4.221,38184.6,195.658,42.552,4.264,1.275,19.417,25.872,4.339,6.265,25.325,18446.0,2398.03,17881.0,101.832,101.832,1.618,7.552,6.24,2.041,38.733,25.582,12.889,7.638,3.607,7.833,77.0,4.223,1.934,1.991,25.872,1.618,42.406,13.328,16.246,44929.0,24.071,3.806,19.684,5.199,3.069,28089.0,33.89,2.0,1.992,61.247,17.067,179.362,22.75,651.072,1.618,1.618,2.371,12.706,4.261,23.772,23.772,23.772,23.772,23.772,17.168,1.481,1.779,9.066,44.841,0.112
5.6,1,0,4.278,34792.6,188.115,29.671,4.143,1.075,18.917,25.165,4.179,6.194,23.836,16910.0,2219.95,16419.0,100.818,100.818,1.589,6.806,6.243,1.627,36.833,24.298,11.743,7.394,3.511,7.486,77.0,4.619,1.556,1.56,25.415,1.478,38.389,13.204,16.081,55106.0,23.322,3.731,19.506,4.904,2.868,29916.0,24.468,1.693,1.984,60.085,16.567,161.525,22.5,579.775,1.514,1.514,2.503,9.635,4.09,22.85,22.85,22.85,22.85,22.85,16.619,1.315,1.774,8.99,39.591,0.113
5.6,0,1,3.337,8677.48,101.722,9.892,3.228,0.155,11.0,15.364,3.293,5.258,15.101,5114.0,781.172,4967.0,58.537,58.537,0.778,4.167,5.014,0.609,22.667,14.295,9.409,5.7,3.266,4.972,47.5,3.674,0.822,0.718,15.364,0.936,24.456,8.042,9.251,14545.0,15.459,3.382,12.326,3.905,2.72,8485.0,12.44,1.5,1.654,35.345,10.333,94.107,14.5,373.319,1.0,1.0,1.748,4.029,3.445,15.162,15.162,15.162,15.162,15.162,10.758,0.448,1.643,7.605,25.29,0.162
7.6,0,0,4.115,38679.2,192.079,27.203,3.972,1.166,17.5,24.363,4.059,5.841,24.144,20295.0,2402.86,18999.0,99.367,99.367,1.609,6.662,5.883,1.481,36.114,23.27,15.143,8.599,3.847,7.667,76.5,4.561,1.554,1.501,23.847,1.63,38.343,12.903,15.424,64015.0,24.435,4.038,20.141,4.745,3.4,33887.0,27.025,2.498,1.895,59.551,16.686,175.525,22.75,556.554,1.717,1.717,2.437,9.383,4.132,23.903,23.903,23.903,23.903,23.903,17.012,1.321,1.763,8.927,39.62,0.11
8.1,0,0,3.521,9641.66,107.27,11.451,3.323,0.585,11.167,15.811,3.409,5.314,16.026,6014.0,864.229,5636.0,54.736,54.736,0.92,3.282,5.073,0.555,22.633,13.854,9.87,5.742,3.272,4.944,49.0,3.674,0.869,0.747,15.811,1.0,25.633,8.465,10.28,16681.0,15.876,3.416,13.074,3.929,2.794,9479.0,13.464,1.713,1.727,40.296,10.967,100.042,14.5,358.877,1.0,1.0,1.885,5.306,3.617,15.74,15.74,15.74,15.74,15.74,11.204,0.618,1.656,7.726,26.489,0.162
4.8,0,0,2.956,3298.05,68.232,8.069,2.673,-0.554,8.5,11.828,2.829,4.726,11.916,2198.0,370.535,2165.0,42.559,42.559,-0.358,2.286,4.248,0.34,17.067,10.209,5.882,3.93,2.645,3.694,36.0,3.197,0.663,0.511,11.828,-0.361,19.392,6.218,7.519,5641.0,11.628,2.725,9.472,3.413,1.904,3572.0,9.762,0.858,1.536,28.7,8.133,67.487,10.5,274.392,-0.362,-0.362,1.213,3.872,3.296,11.569,11.569,11.569,11.569,11.569,8.254,-0.485,1.576,6.9,20.273,0.222
6.9,0,1,4.158,10518.5,115.77,25.853,3.738,0.492,12.833,17.552,3.794,5.907,17.204,5979.0,909.763,5772.0,69.769,69.769,1.225,3.981,5.608,1.023,25.867,16.124,7.72,4.842,2.906,5.444,54.833,3.844,1.342,1.239,17.181,1.202,27.172,9.217,11.08,19663.0,17.468,3.033,14.558,4.435,2.337,10586.0,19.368,1.034,1.748,43.779,11.933,116.096,16.5,388.641,1.28,1.28,2.151,7.92,3.933,16.955,16.955,16.955,16.955,16.955,12.08,0.892,1.692,8.048,27.841,0.151
8.2,0,0,4.039,32197.2,177.663,23.652,3.977,1.212,15.833,22.623,4.07,5.851,23.332,17755.0,2081.96,16367.0,84.054,84.054,1.487,6.071,5.755,1.287,33.433,21.197,13.939,8.143,3.758,7.194,70.0,4.06,1.596,1.507,22.623,1.422,37.783,12.177,14.475,44073.0,23.032,3.943,18.803,4.697,3.256,25958.0,24.35,2.252,1.839,56.56,15.767,162.465,21.0,535.419,1.46,1.46,2.493,10.528,4.094,22.739,22.739,22.739,22.739,22.739,16.153,1.252,1.75,8.768,39.546,0.114
7.6,0,1,3.928,16304.8,134.286,22.918,3.67,0.946,13.5,18.803,3.797,5.516,19.475,9297.0,1264.25,8779.0,81.206,81.206,1.256,5.527,5.322,0.945,29.552,18.541,11.037,6.577,3.43,5.861,57.833,3.841,1.267,1.157,19.303,1.081,31.917,9.971,12.036,22506.0,18.927,3.602,15.92,4.49,2.894,13831.0,24.617,1.742,1.848,45.595,13.048,122.382,18.5,479.096,1.144,1.144,2.169,7.386,3.946,18.309,18.309,18.309,18.309,18.309,13.097,1.138,1.699,8.198,33.955,0.136
9.4,0,0,4.686,24785.1,176.229,47.876,4.58,1.418,16.583,23.637,4.709,6.463,25.55,14300.0,1821.68,12834.0,92.203,92.203,1.901,3.859,6.201,2.232,36.2,20.312,8.057,5.059,2.956,7.347,75.0,4.076,3.117,2.864,23.637,1.703,40.025,13.078,16.322,32464.0,25.037,3.062,21.485,5.314,2.248,19467.0,38.341,0.986,1.955,68.73,16.6,177.525,24.75,507.97,1.766,1.766,2.678,21.781,4.794,24.479,24.479,24.479,24.479,24.479,17.08,1.705,1.784,9.056,41.762,0.113
6.1,0,0,4.11,38865.2,192.327,30.402,4.064,1.135,17.5,24.363,4.167,5.965,24.994,20629.0,2403.24,19190.0,101.771,101.771,1.881,6.977,5.979,1.477,38.2,23.704,15.257,8.626,3.86,7.694,76.0,4.019,1.725,1.668,24.363,1.503,40.594,13.023,15.23,49387.0,24.521,4.039,19.939,4.883,3.337,29910.0,30.788,2.493,1.915,60.919,16.4,167.525,23.75,595.598,1.564,1.564,2.635,11.52,4.189,23.955,23.955,23.955,23.955,23.955,17.029,1.502,1.763,8.928,42.534,0.107
6.0,0,0,3.759,24328.3,157.096,20.746,3.762,1.14,14.0,20.338,3.866,5.615,21.417,14441.0,1677.14,13066.0,74.219,74.219,1.389,5.08,5.502,1.115,29.967,18.651,13.233,7.735,3.686,6.528,63.0,3.882,1.363,1.264,20.338,1.472,34.542,11.041,13.135,34241.0,21.195,3.856,17.346,4.538,3.111,20249.0,21.255,2.033,1.908,51.293,14.433,147.207,19.25,480.218,1.545,1.545,1.978,9.088,3.919,20.878,20.878,20.878,20.878,20.878,14.759,1.212,1.723,8.483,36.33,0.119
5.6,0,0,3.783,18940.5,142.082,10.249,3.403,0.903,15.417,20.311,3.316,6.093,17.939,9698.0,1403.98,9595.0,76.98,76.98,1.189,5.616,5.706,1.093,31.605,19.778,11.75,7.042,3.507,5.972,67.5,4.839,1.131,1.041,16.234,1.361,27.593,10.966,13.096,48177.0,18.915,3.714,16.311,4.15,2.942,21545.0,18.795,1.964,1.618,45.065,12.195,127.851,19.0,401.869,1.456,1.456,2.519,4.236,3.64,18.074,18.074,18.074,18.074,18.074,13.219,1.051,1.708,8.296,26.188,0.139
5.6,0,0,2.092,1761.82,51.27,2.967,1.684,-1.264,7.667,10.129,1.985,3.795,9.331,1118.0,228.016,1208.0,40.228,40.228,-0.859,2.133,2.708,0.068,15.233,9.027,5.357,3.387,2.486,3.194,31.5,2.989,0.319,0.17,10.129,-0.865,15.074,5.111,5.884,3869.0,9.755,2.506,7.745,2.311,1.924,2316.0,7.037,0.837,1.516,23.779,6.367,53.303,9.75,231.862,-0.875,-0.875,1.374,2.015,2.738,9.422,9.422,9.422,9.422,9.422,6.736,-0.944,1.517,6.337,15.21,0.279
5.6,0,0,3.645,12921.3,121.208,8.184,3.239,0.045,13.583,18.027,3.214,5.927,16.325,7067.0,1052.87,6931.0,69.551,69.551,1.051,4.687,5.338,0.765,26.895,17.308,10.32,6.246,3.336,5.306,57.833,4.137,0.87,0.752,16.027,1.043,25.412,9.698,11.705,31792.0,16.813,3.51,14.46,3.88,2.744,14859.0,16.444,1.533,1.598,41.186,11.505,111.342,16.75,376.411,1.112,1.112,2.019,3.816,3.493,16.212,16.212,16.212,16.212,16.212,11.826,0.615,1.678,7.976,24.955,0.154
5.6,0,0,3.65,14462.7,127.59,7.024,3.238,0.239,14.417,18.897,3.143,6.136,16.606,7708.0,1147.11,7596.0,67.386,67.386,1.189,4.645,5.569,0.916,28.838,17.874,10.385,6.353,3.358,5.5,62.5,4.838,1.058,0.862,14.656,1.078,25.351,10.221,12.213,37819.0,17.282,3.53,14.883,3.91,2.749,16972.0,17.018,1.538,1.574,43.441,11.362,115.457,17.5,360.677,1.186,1.186,2.206,3.584,3.495,16.712,16.712,16.712,16.712,16.712,12.236,0.846,1.689,8.093,23.972,0.149
5.6,0,0,3.55,6853.33,93.427,22.72,3.524,-0.257,10.833,14.82,3.704,5.325,15.359,4099.0,656.849,4007.0,62.752,62.752,1.0,4.435,5.274,0.761,23.252,14.768,8.048,4.941,3.019,4.639,44.333,3.474,1.017,0.911,15.32,0.889,25.853,7.794,9.055,9430.0,14.491,3.128,11.897,4.346,2.398,6261.0,19.606,1.102,1.729,34.996,10.348,88.239,13.25,409.218,0.936,0.936,1.62,8.377,3.717,14.19,14.19,14.19,14.19,14.19,10.165,0.17,1.635,7.498,27.938,0.181
5.6,0,0,3.617,14742.6,128.068,11.384,3.351,0.41,14.083,18.734,3.325,5.979,17.073,7868.0,1165.68,7745.0,73.783,73.783,1.094,4.962,5.422,0.876,28.576,17.962,10.962,6.507,3.413,5.639,60.5,4.167,0.986,0.865,16.234,1.043,26.826,10.072,11.874,31899.0,17.726,3.587,14.808,4.098,2.888,15801.0,16.869,1.66,1.655,42.496,11.624,117.457,17.5,396.201,1.112,1.112,2.027,4.167,3.587,17.082,17.082,17.082,17.082,17.082,12.364,0.995,1.689,8.087,26.313,0.149
5.6,0,0,4.077,14532.8,130.797,37.684,4.035,0.564,15.5,19.974,4.14,6.114,19.192,6606.0,1161.67,7005.0,83.029,83.029,1.047,7.874,6.023,1.477,31.767,21.456,9.296,5.631,3.154,6.528,59.0,3.947,1.593,1.552,19.974,0.67,33.277,10.073,10.608,15926.0,18.845,3.31,13.991,5.051,2.64,11058.0,28.634,1.344,1.945,43.094,12.633,124.382,16.75,552.725,0.711,0.711,2.194,11.588,4.149,18.386,18.386,18.386,18.386,18.386,13.014,1.019,1.712,8.257,35.489,0.153
7.0,0,0,3.137,5043.41,81.371,5.556,2.77,-0.436,9.833,13.405,2.846,4.746,12.953,3132.0,528.037,3097.0,49.604,49.604,0.213,2.913,4.765,0.328,18.952,12.055,7.842,4.721,2.962,4.139,40.833,3.567,0.523,0.375,13.905,0.614,20.714,6.945,8.406,10978.0,12.984,3.088,10.719,3.353,2.484,5867.0,11.404,1.235,1.582,32.902,9.248,76.711,12.25,300.686,0.716,0.716,1.476,2.814,3.27,12.776,12.776,12.776,12.776,12.776,9.165,0.099,1.603,7.184,21.375,0.2
7.0,1,2,3.845,12470.9,120.143,27.906,3.756,0.219,13.167,17.811,3.856,5.712,17.602,6797.0,1020.17,6664.0,76.29,76.29,1.223,5.785,5.728,1.014,27.552,17.987,9.48,5.908,3.233,5.5,53.833,3.953,1.151,1.129,18.311,1.147,29.391,9.233,10.978,18538.0,16.956,3.401,13.918,4.614,2.668,11179.0,21.604,1.462,1.884,40.689,12.048,114.096,16.0,457.032,1.185,1.185,2.085,7.692,3.768,16.654,16.654,16.654,16.654,16.654,12.025,0.48,1.684,8.004,31.194,0.148
5.6,0,0,3.694,13395.4,125.47,19.319,3.701,0.926,13.0,18.096,3.828,5.532,18.296,7598.0,1106.95,7265.0,67.429,67.429,1.068,4.353,5.448,0.979,26.633,16.615,10.0,5.814,3.297,5.75,55.5,3.737,1.281,1.162,18.096,1.024,29.708,9.555,11.316,19849.0,18.254,3.406,14.856,4.452,2.705,11887.0,18.987,1.385,1.872,43.714,12.367,122.211,16.25,436.463,1.056,1.056,2.097,9.013,3.952,17.87,17.87,17.87,17.87,17.87,12.669,1.0,1.694,8.114,31.017,0.146
9.2,1,2,4.197,33340.5,182.849,30.556,4.035,1.182,17.75,24.035,4.055,6.272,23.7,17398.0,2169.88,16434.0,104.673,104.673,1.86,5.991,6.096,1.701,38.576,23.072,13.235,7.803,3.641,7.111,77.5,4.356,2.022,2.011,21.535,1.743,37.503,13.213,16.118,54812.0,23.008,3.868,19.831,4.878,3.12,29382.0,33.074,2.131,1.807,58.988,15.424,166.219,23.5,539.651,1.874,1.874,2.742,10.464,4.115,22.436,22.436,22.436,22.436,22.436,16.203,1.479,1.76,8.867,38.131,0.115
5.6,1,1,4.432,58779.8,233.542,48.907,4.451,1.678,20.167,28.346,4.498,6.411,29.315,29957.0,3303.25,27609.0,121.098,121.098,2.127,8.31,6.42,2.526,45.062,27.801,14.756,8.766,3.822,8.806,90.0,4.348,2.388,2.577,26.606,1.76,47.227,15.316,18.429,78395.0,28.521,4.028,23.823,5.354,3.264,45003.0,40.827,2.213,1.988,70.383,19.138,205.66,27.25,670.521,1.879,1.879,2.729,14.873,4.392,27.858,27.858,27.858,27.858,27.858,19.907,2.036,1.809,9.429,49.239,0.089
7.3,0,0,3.917,20350.3,147.766,22.545,3.894,0.981,14.5,20.217,4.01,5.815,20.481,10904.0,1495.47,10492.0,77.569,77.569,1.534,5.598,5.691,1.211,30.067,19.173,11.621,6.913,3.519,6.583,62.0,3.953,1.433,1.415,20.217,1.41,33.058,10.711,12.178,28312.0,20.436,3.683,16.213,4.619,2.974,17051.0,23.249,1.936,1.964,51.407,13.733,138.881,18.75,487.204,1.442,1.442,2.243,9.698,3.966,20.154,20.154,20.154,20.154,20.154,14.207,1.391,1.72,8.409,34.58,0.13
5.6,0,0,3.647,15137.9,128.772,14.25,3.513,0.975,12.667,17.933,3.571,5.44,17.888,9002.0,1182.44,8383.0,66.618,66.618,1.18,4.38,5.405,0.89,26.181,16.308,11.038,6.718,3.466,5.639,56.5,3.793,0.996,0.934,17.062,1.168,28.345,9.569,11.531,27062.0,17.981,3.638,14.744,4.233,2.921,14664.0,15.543,1.811,1.892,44.047,12.219,122.211,16.5,393.991,1.185,1.185,2.278,5.565,3.624,17.756,17.756,17.756,17.756,17.756,12.67,1.0,1.687,8.078,28.983,0.138
7.2,0,0,3.575,8304.97,97.649,10.075,2.974,-0.192,11.5,15.242,3.058,5.001,14.139,4674.0,734.903,4686.0,59.888,59.888,0.64,5.788,4.982,0.387,20.867,16.015,10.333,6.209,3.338,4.722,45.0,3.674,0.509,0.454,17.242,0.31,23.178,7.669,8.927,18650.0,14.251,3.5,11.634,3.609,2.72,9515.0,16.471,1.556,1.453,33.671,11.533,82.239,12.5,398.177,0.465,0.465,1.645,3.717,3.093,13.845,13.845,13.845,13.845,13.845,10.059,0.259,1.624,7.442,24.438,0.177
4.7,0,0,2.67,2907.23,63.653,5.679,2.516,-0.966,7.667,10.958,2.617,4.492,11.227,2077.0,346.721,2005.0,38.886,38.886,-0.461,2.051,4.342,0.251,15.767,9.254,6.938,4.146,2.845,3.472,34.0,3.01,0.418,0.359,10.958,-0.443,17.865,5.883,7.068,5726.0,11.097,2.889,9.051,3.151,2.281,3407.0,8.132,1.078,1.558,28.115,7.633,60.0,10.25,250.91,-0.439,-0.439,1.184,2.516,2.975,11.016,11.016,11.016,11.016,11.016,7.826,-0.716,1.549,6.683,18.512,0.224
5.6,0,0,4.052,47697.1,208.106,27.884,4.043,1.338,18.5,25.777,4.096,5.905,25.789,24660.0,2766.03,23003.0,103.387,103.387,1.918,7.498,5.969,1.628,39.114,24.945,16.054,9.319,3.926,8.083,81.0,4.587,1.593,1.519,24.907,1.721,41.429,13.689,16.245,69119.0,25.655,4.153,21.048,4.867,3.386,38703.0,30.303,2.869,1.955,63.479,17.286,184.75,24.5,595.304,1.773,1.773,2.565,9.236,4.107,25.154,25.154,25.154,25.154,25.154,17.974,1.801,1.777,9.085,42.705,0.104
7.7,1,2,3.843,27646.0,164.823,26.818,3.801,1.0,15.833,21.794,3.921,5.632,22.171,14593.0,1844.74,13930.0,93.622,93.622,1.274,6.908,5.622,1.25,33.633,21.815,14.484,8.209,3.788,6.861,66.5,3.891,1.496,1.3,22.148,1.153,36.32,11.438,13.495,37327.0,21.763,3.967,17.958,4.66,3.256,22449.0,27.613,2.275,1.846,51.397,14.967,145.58,21.25,556.25,1.231,1.231,2.305,8.535,4.036,21.041,21.041,21.041,21.041,21.041,15.029,1.21,1.731,8.567,38.756,0.118
6.7,0,1,3.882,18142.3,140.656,26.215,3.896,0.965,13.667,19.347,3.968,5.683,20.103,10136.0,1334.49,9567.0,75.593,75.593,1.146,5.699,5.635,1.428,29.9,18.665,10.286,6.534,3.354,6.111,59.5,3.751,1.366,1.42,19.347,1.206,32.891,10.301,12.321,22786.0,19.613,3.53,16.167,4.764,2.683,14511.0,21.796,1.5,1.823,45.376,13.3,126.606,19.0,488.076,1.302,1.302,2.209,7.328,3.84,19.118,19.118,19.118,19.118,19.118,13.653,1.0,1.716,8.337,34.893,0.126
5.6,0,0,3.805,22287.3,150.56,19.571,3.749,0.983,14.167,20.054,3.83,5.764,20.302,12615.0,1562.45,11757.0,74.303,74.303,1.236,5.686,5.593,1.099,29.367,18.913,13.138,7.664,3.673,6.417,61.5,3.984,1.305,1.257,20.054,1.243,33.036,10.678,12.452,32567.0,20.163,3.848,16.18,4.498,3.095,19011.0,19.618,2.143,1.903,48.302,13.833,136.881,18.5,481.311,1.276,1.276,2.09,8.012,3.834,19.93,19.93,19.93,19.93,19.93,14.187,1.187,1.715,8.388,34.574,0.127
6.2,0,0,4.413,45828.7,210.816,32.902,4.26,1.398,18.667,26.225,4.327,6.251,26.658,24261.0,2779.62,22261.0,103.7,103.7,1.94,6.848,6.092,1.695,38.4,24.956,14.421,8.221,3.786,8.222,82.0,4.583,1.677,1.77,26.932,1.52,42.06,14.12,16.939,72490.0,26.676,3.954,22.318,4.948,3.272,38672.0,34.361,2.18,1.98,67.536,18.6,195.421,24.75,617.103,1.623,1.623,2.795,13.308,4.237,26.057,26.057,26.057,26.057,26.057,18.496,1.572,1.789,9.199,43.989,0.097
5.6,1,1,4.388,48814.2,217.545,38.792,4.3,1.41,20.583,27.733,4.393,6.288,27.063,23701.0,2931.25,22637.0,109.402,109.402,1.99,7.448,6.226,1.848,41.467,26.875,13.949,8.299,3.735,8.514,85.5,4.546,2.135,2.061,27.983,1.859,43.862,14.593,17.652,73197.0,26.873,3.956,21.927,5.096,3.219,39950.0,32.444,2.468,1.884,68.079,18.533,196.131,25.0,644.142,1.916,1.916,2.697,15.967,4.487,26.176,26.176,26.176,26.176,26.176,18.7,1.671,1.794,9.266,45.529,0.097
5.6,0,1,3.609,7913.88,96.56,13.275,3.032,-0.02,10.833,14.82,3.15,4.693,14.902,4767.0,727.833,4640.0,60.911,60.911,0.618,4.426,4.705,0.537,21.133,14.755,10.095,5.949,3.32,4.556,43.75,3.467,0.697,0.562,16.173,0.665,24.459,7.69,9.378,14238.0,14.687,3.466,12.474,3.772,2.784,8205.0,16.482,1.633,1.713,34.376,11.267,86.239,13.25,381.028,0.738,0.738,1.482,3.648,3.426,14.033,14.033,14.033,14.033,14.033,10.114,0.156,1.624,7.438,26.591,0.171
5.8,0,0,3.828,13190.6,125.009,18.542,3.822,0.673,13.0,18.096,3.901,5.685,18.286,7588.0,1075.85,7192.0,63.049,63.049,1.014,4.215,5.464,1.038,25.933,16.406,8.846,5.639,3.162,5.639,55.0,3.798,1.058,1.09,18.096,1.316,29.687,9.594,11.517,18990.0,17.735,3.31,14.464,4.502,2.507,11531.0,18.077,1.266,1.703,44.752,12.467,122.211,16.25,423.65,1.311,1.311,1.864,8.448,3.866,17.654,17.654,17.654,17.654,17.654,12.614,0.756,1.697,8.132,31.012,0.144
4.1,0,0,3.183,3924.51,73.825,11.961,2.881,-1.0,10.333,13.284,3.075,5.278,12.138,2195.0,420.298,2323.0,50.614,50.614,0.148,3.194,4.462,0.31,19.233,12.368,6.333,4.013,2.658,4.0,39.5,3.674,0.777,0.589,13.284,-0.066,20.128,6.638,7.815,7098.0,11.709,2.747,9.361,3.681,2.058,4258.0,12.184,0.889,1.659,30.693,8.367,71.059,11.0,318.66,-0.068,-0.068,1.611,5.217,3.452,11.673,11.673,11.673,11.673,11.673,8.52,-0.475,1.597,7.084,20.733,0.224
4.5,0,0,0.131,771.888,35.221,0.0,0.0,-1.806,5.833,7.845,0.0,0.0,7.65,583.0,116.336,637.0,29.977,29.977,-1.413,1.55,0.0,0.0,10.733,7.012,4.091,2.727,2.186,2.417,23.25,1.764,0.052,0.0,8.845,-1.234,12.342,4.043,4.791,2289.0,7.509,2.115,6.195,0.0,1.435,1301.0,7.062,0.496,1.192,19.407,6.067,38.054,6.75,192.631,-1.342,-1.342,0.681,0.0,1.763,7.345,7.345,7.345,7.345,7.345,5.288,-1.716,1.434,5.634,13.097,0.342
5.6,0,1,3.48,4476.19,76.377,5.702,2.799,-0.51,8.667,12.372,2.911,4.487,12.497,3000.0,476.914,2878.0,43.747,43.747,0.141,3.01,4.371,0.319,16.967,11.27,7.889,4.807,3.025,3.944,37.75,3.353,0.455,0.387,13.372,0.057,19.691,6.56,7.857,9878.0,12.805,3.117,10.661,3.302,2.489,5316.0,10.488,1.247,1.491,29.589,9.433,75.059,12.0,295.442,0.062,0.062,1.458,2.863,3.077,12.378,12.378,12.378,12.378,12.378,8.81,-0.47,1.584,7.016,20.659,0.197
7.3,0,1,3.884,19325.8,142.55,22.623,3.713,0.886,15.083,20.148,3.734,6.123,19.023,9803.0,1419.71,9747.0,84.564,84.564,1.033,6.203,5.757,1.165,31.71,20.158,12.464,7.196,3.552,6.125,64.0,4.216,1.549,1.617,17.648,1.074,30.713,10.724,12.688,34033.0,19.023,3.756,15.793,4.534,3.071,18403.0,22.759,2.003,1.91,45.142,12.69,125.851,18.5,458.826,1.108,1.108,2.226,7.489,3.78,18.472,18.472,18.472,18.472,18.472,13.353,1.0,1.709,8.294,31.148,0.136
5.6,1,1,4.356,30707.1,179.723,37.288,4.283,1.055,18.083,24.294,4.346,6.166,23.837,14734.0,2053.02,14501.0,102.081,102.081,1.394,7.107,6.142,1.994,37.548,24.06,11.529,6.977,3.468,7.417,74.5,4.261,2.06,2.089,23.424,1.431,39.263,12.577,15.336,39616.0,23.171,3.66,19.211,5.102,2.918,23977.0,32.744,1.737,1.972,57.25,15.852,164.974,22.75,618.431,1.526,1.526,2.402,11.715,4.21,22.593,22.593,22.593,22.593,22.593,16.27,1.196,1.768,8.911,41.017,0.116
5.6,0,0,4.284,14339.0,130.468,48.84,3.783,0.784,15.25,19.767,3.77,6.205,17.838,7104.0,1152.33,7220.0,81.02,81.02,1.376,5.452,6.197,1.178,29.71,19.652,8.741,5.561,3.078,5.722,62.75,4.415,1.533,1.619,18.267,1.149,28.071,10.668,12.807,32618.0,17.916,3.283,15.509,4.549,2.541,15597.0,24.624,1.344,1.758,45.213,12.89,123.627,17.5,430.084,1.258,1.258,2.472,9.438,3.874,17.264,17.264,17.264,17.264,17.264,12.664,1.073,1.711,8.255,27.875,0.152
4.4,0,0,2.981,4006.5,74.265,8.81,2.82,-0.599,9.333,12.698,2.941,4.804,12.3,2567.0,441.477,2539.0,47.967,47.967,0.081,2.454,4.593,0.34,18.633,11.05,6.944,4.196,2.81,3.889,39.5,3.449,0.516,0.438,12.698,-0.159,19.601,6.623,8.048,7769.0,12.227,2.885,10.146,3.557,2.261,4515.0,10.757,1.068,1.447,31.513,8.367,71.059,11.75,292.062,-0.169,-0.169,1.581,3.42,3.213,12.069,12.069,12.069,12.069,12.069,8.665,-0.104,1.592,7.054,19.972,0.213
6.0,0,0,3.463,8069.3,99.932,12.588,3.351,0.506,10.333,14.941,3.495,5.07,15.753,4989.0,758.468,4762.0,55.756,55.756,0.9,3.476,4.907,0.62,21.433,13.6,9.136,5.289,3.162,4.917,46.0,3.344,0.786,0.729,15.295,0.806,25.106,8.082,9.364,13492.0,16.021,3.283,12.992,3.958,2.674,7919.0,16.201,1.525,1.691,38.334,10.967,98.107,13.5,355.344,0.867,0.867,1.861,6.398,3.615,15.56,15.56,15.56,15.56,15.56,10.881,0.618,1.647,7.613,26.682,0.173
5.6,0,1,3.388,7259.72,94.659,14.382,3.392,-0.37,10.5,14.656,3.523,5.182,14.79,4397.0,683.098,4258.0,51.263,51.263,0.155,3.718,4.994,0.733,21.1,13.413,8.619,5.281,3.135,4.611,44.0,3.599,0.855,0.862,14.656,1.0,24.246,7.691,9.21,10546.0,14.49,3.253,11.842,4.149,2.547,6714.0,12.72,1.351,1.848,33.584,10.1,88.239,13.5,363.553,1.0,1.0,1.728,5.677,3.482,14.24,14.24,14.24,14.24,14.24,10.204,-0.13,1.633,7.484,25.591,0.17
5.9,0,0,3.481,8845.66,105.284,13.457,3.393,0.389,11.5,15.974,3.45,5.515,16.176,5385.0,812.74,5121.0,59.004,59.004,1.03,3.232,5.461,0.695,23.333,14.085,8.565,5.142,3.104,5.0,49.5,3.805,0.856,0.762,15.974,0.903,25.655,8.547,10.207,15128.0,15.872,3.212,12.989,4.133,2.512,8669.0,17.059,1.285,1.753,43.322,10.867,104.042,14.75,380.826,0.933,0.933,2.304,5.185,3.647,15.748,15.748,15.748,15.748,15.748,11.169,0.823,1.661,7.759,26.495,0.164
5.6,0,0,3.636,13360.9,121.957,17.793,3.583,0.983,12.5,17.485,3.683,5.617,17.56,7473.0,1073.87,7227.0,64.456,64.456,1.0,5.682,5.459,0.851,25.833,17.032,10.92,6.482,3.414,5.75,53.0,3.674,1.142,0.972,17.485,1.0,29.214,9.228,10.233,19773.0,17.477,3.58,13.516,4.353,2.855,11839.0,16.865,1.776,1.841,40.455,11.967,104.096,15.0,456.819,1.0,1.0,1.715,7.766,3.816,17.336,17.336,17.336,17.336,17.336,12.275,1.0,1.678,7.972,30.773,0.146
