pXC50,Se,Si,nAT,Sv,Sp,nBT,nH,nC,N.,MW,RBN,Mp,Me,nSK,nDB,nAB,AMW,SCBO,nBO,O.,nCsp2,nO,nBM,nX,nF,RBF,X.,C.
6.0,54.622,60.626,54,35.832,37.71,56,23,24,3.7,461.39,8,0.698,1.012,31,1,18,8.544,43.0,33,3.7,18,2,19,3,1,0.143,5.6,44.4
6.0,59.505,66.041,59,39.359,41.472,63,25,27,3.4,499.44,7,0.703,1.009,34,1,18,8.465,48.0,38,3.4,18,2,19,3,1,0.111,5.1,45.8
6.0,43.087,46.965,42,29.725,30.665,44,15,20,4.8,405.27,6,0.73,1.026,27,1,18,9.649,39.0,29,4.8,18,2,19,3,1,0.136,7.1,47.6
6.97,56.909,61.078,55,40.223,41.602,58,18,26,3.6,579.88,8,0.756,1.035,37,3,24,10.543,55.0,40,7.3,24,4,27,4,1,0.138,7.3,47.3
6.69,57.233,61.022,55,41.05,42.46,58,17,26,3.6,614.32,8,0.772,1.041,38,3,24,11.169,56.0,41,7.3,24,4,27,5,1,0.138,9.1,47.3
6.0,59.469,64.549,58,40.922,42.506,61,21,27,3.4,559.47,8,0.733,1.025,37,3,24,9.646,55.0,40,6.9,24,4,27,3,1,0.131,5.2,46.6
6.0,55.469,60.549,54,36.922,38.506,56,21,23,3.7,511.43,9,0.713,1.027,33,3,18,9.471,47.0,35,7.4,18,4,21,3,1,0.161,5.6,42.6
7.18,57.233,61.022,55,41.05,42.46,58,17,26,3.6,614.32,8,0.772,1.041,38,3,24,11.169,56.0,41,7.3,24,4,27,5,1,0.138,9.1,47.3
7.036,62.981,71.049,63,37.357,40.074,64,33,24,0.0,437.02,12,0.636,1.0,30,3,6,6.937,37.0,31,7.9,11,5,9,1,0,0.188,1.6,38.1
5.523,66.138,74.155,66,39.619,42.966,67,34,24,0.0,482.72,15,0.651,1.002,32,3,6,7.314,39.0,33,9.1,10,6,9,0,0,0.224,0.0,36.4
7.252,62.178,69.82,62,36.905,39.557,63,32,23,0.0,436.62,13,0.638,1.003,30,3,6,7.042,37.0,31,9.7,10,6,9,0,0,0.206,0.0,37.1
5.538,59.294,66.404,59,35.378,37.796,60,30,22,0.0,422.59,11,0.641,1.005,29,3,6,7.163,36.0,30,10.2,10,6,9,0,0,0.183,0.0,37.3
6.081,69.309,79.351,70,39.11,42.5,71,40,25,0.0,420.65,14,0.607,0.99,30,4,0,6.009,35.0,31,7.1,6,5,4,0,0,0.197,0.0,35.7
5.921,60.371,67.324,60,36.565,39.443,61,30,22,0.0,454.66,13,0.657,1.006,30,3,6,7.578,37.0,31,10.0,10,6,9,0,0,0.213,0.0,36.7
8.347,56.851,64.61,57,32.19,35.103,57,32,19,0.0,372.58,13,0.616,0.997,25,3,0,6.536,28.0,25,8.8,4,5,3,0,0,0.228,0.0,33.3
5.921,63.541,72.521,64,36.056,38.978,65,36,23,0.0,392.59,12,0.609,0.993,28,4,0,6.134,33.0,29,7.8,6,5,4,0,0,0.185,0.0,35.9
5.0,66.138,74.155,66,39.619,42.966,67,34,24,0.0,482.72,15,0.651,1.002,32,3,6,7.314,39.0,33,9.1,10,6,9,0,0,0.224,0.0,36.4
5.699,66.425,75.936,67,37.583,40.739,68,38,24,0.0,406.62,13,0.608,0.991,29,4,0,6.069,34.0,30,7.5,6,5,4,0,0,0.191,0.0,35.8
6.854,56.16,62.7,56,34.323,37.227,57,28,21,0.0,424.63,11,0.665,1.003,28,3,6,7.583,35.0,29,8.9,10,5,9,0,0,0.193,0.0,37.5
7.252,65.061,73.235,65,38.431,41.318,66,34,24,0.0,450.65,14,0.636,1.001,31,3,6,6.933,38.0,32,9.2,10,6,9,0,0,0.212,0.0,36.9
8.357,55.043,62.115,55,31.85,34.989,55,30,18,0.0,390.62,13,0.636,1.001,25,3,0,7.102,28.0,25,9.1,4,5,3,0,0,0.236,0.0,32.7
6.658,57.487,63.909,57,35.038,37.682,58,28,21,0.0,440.63,12,0.661,1.009,29,3,6,7.73,36.0,30,10.5,10,6,9,0,0,0.207,0.0,36.8
7.0,56.16,62.7,56,34.323,37.227,57,28,21,0.0,424.63,11,0.665,1.003,28,3,6,7.583,35.0,29,8.9,10,5,9,0,0,0.193,0.0,37.5
5.0,59.342,65.528,59,38.917,40.415,63,25,28,1.7,455.54,6,0.685,1.006,34,2,22,7.721,51.0,38,8.5,22,5,24,0,0,0.095,0.0,47.5
5.0,51.458,57.113,51,32.39,33.654,53,23,22,2.0,381.46,7,0.66,1.009,28,2,16,7.48,40.0,30,9.8,16,5,18,0,0,0.132,0.0,43.1
5.0,54.342,60.528,54,33.917,35.415,56,25,23,1.9,395.49,8,0.656,1.006,29,2,16,7.324,41.0,31,9.3,16,5,18,0,0,0.143,0.0,42.6
5.658,54.131,59.903,54,35.675,37.199,57,23,26,1.9,413.5,7,0.689,1.002,31,2,22,7.657,47.0,34,7.4,22,4,24,0,0,0.123,0.0,48.1
5.0,54.342,60.528,54,33.917,35.415,56,25,23,1.9,395.49,8,0.656,1.006,29,2,16,7.324,41.0,31,9.3,16,5,18,0,0,0.143,0.0,42.6
6.009,56.458,62.113,56,37.39,38.654,60,23,27,1.8,441.51,6,0.69,1.008,33,2,22,7.884,50.0,37,8.9,22,5,24,0,0,0.1,0.0,48.2
5.0,54.342,60.528,54,33.917,35.415,56,25,23,1.9,395.49,8,0.656,1.006,29,2,16,7.324,41.0,31,9.3,16,5,18,0,0,0.143,0.0,42.6
5.0,57.785,63.322,57,38.105,39.108,61,23,27,1.8,457.51,6,0.686,1.014,34,2,22,8.026,51.0,38,10.5,22,6,24,0,0,0.098,0.0,47.4
5.77,61.443,68.026,61,39.938,41.421,65,26,28,3.3,470.56,6,0.679,1.007,35,2,22,7.714,52.0,39,8.2,22,5,24,0,0,0.092,0.0,45.9
5.921,51.247,56.488,51,34.149,35.438,54,21,25,2.0,399.47,6,0.695,1.005,30,2,22,7.833,46.0,33,7.8,22,4,24,0,0,0.111,0.0,49.0
5.0,61.443,68.026,61,39.938,41.421,65,26,28,3.3,470.56,6,0.679,1.007,35,2,22,7.714,52.0,39,8.2,22,5,24,0,0,0.092,0.0,45.9
5.0,59.342,65.528,59,38.917,40.415,63,25,28,1.7,455.54,6,0.685,1.006,34,2,22,7.721,51.0,38,8.5,22,5,24,0,0,0.095,0.0,47.5
5.0,57.785,63.322,57,38.105,39.108,61,23,27,1.8,457.51,6,0.686,1.014,34,2,22,8.026,51.0,38,10.5,22,6,24,0,0,0.098,0.0,47.4
7.409,56.549,64.979,57,31.309,34.006,57,33,19,1.8,339.53,13,0.597,0.992,24,3,0,5.957,27.0,24,7.0,4,4,3,0,0,0.228,0.0,33.3
5.0,57.225,63.943,57,35.444,37.176,59,27,24,1.8,409.52,9,0.652,1.004,30,2,16,7.185,42.0,32,8.8,16,5,18,0,0,0.153,0.0,42.1
5.0,68.309,78.351,69,38.11,41.5,70,40,24,0.0,408.64,14,0.601,0.99,29,3,0,5.922,33.0,30,7.2,4,5,3,0,0,0.2,0.0,34.8
5.0,61.538,70.255,62,35.169,38.381,63,35,22,0.0,399.02,11,0.619,0.993,27,3,0,6.436,31.0,28,6.5,5,4,3,1,0,0.175,1.6,35.5
7.027,63.17,71.445,63,36.913,39.154,64,33,24,0.0,420.57,12,0.621,1.003,30,3,6,6.676,37.0,31,7.9,11,5,9,1,1,0.188,1.6,38.1
8.398,54.265,58.299,53,38.672,40.693,57,18,25,3.8,545.49,7,0.768,1.024,35,3,26,10.292,55.0,39,7.5,23,4,29,2,0,0.123,3.8,47.2
8.699,49.877,51.695,47,36.89,38.443,50,12,20,4.3,614.35,7,0.818,1.061,35,5,21,13.071,53.5,38,12.8,19,6,26,4,0,0.14,8.5,42.6
8.301,58.658,67.105,59,32.53,35.216,59,34,20,0.0,354.54,13,0.597,0.994,25,3,0,6.009,28.0,25,8.5,4,5,3,0,0,0.22,0.0,33.9
7.81,47.222,49.277,45,35.461,37.534,48,12,20,4.4,582.35,7,0.834,1.049,33,3,21,12.941,49.5,36,8.9,19,4,24,4,0,0.146,8.9,44.4
8.301,56.774,64.69,57,32.003,34.455,57,32,20,0.0,352.52,12,0.604,0.996,25,4,0,6.185,29.0,25,8.8,6,5,4,0,0,0.211,0.0,35.1
7.959,52.098,55.317,50,37.996,39.892,53,15,23,4.0,592.34,6,0.798,1.042,35,4,21,11.847,52.5,38,6.0,21,3,25,5,1,0.113,10.0,46.0
8.301,57.334,61.845,56,40.868,42.938,60,19,27,3.6,573.52,6,0.767,1.024,37,4,26,10.241,58.0,41,5.4,25,3,30,3,1,0.1,5.4,48.2
8.398,48.247,50.855,46,35.295,36.892,49,13,20,6.5,565.3,7,0.802,1.049,33,3,21,12.289,49.5,36,8.7,18,4,24,4,0,0.143,8.7,43.5
7.553,48.055,51.674,47,34.431,36.477,50,16,22,4.3,491.44,6,0.776,1.022,31,4,21,10.456,48.5,34,6.4,21,3,25,2,0,0.12,4.3,46.8
6.114,58.014,64.318,58,38.202,39.96,61,25,28,1.7,439.54,9,0.689,1.0,33,2,23,7.578,49.5,36,6.9,24,4,25,0,0,0.148,0.0,48.3
5.0,55.014,61.318,55,35.202,36.96,57,25,25,1.8,403.51,10,0.672,1.0,30,2,18,7.337,43.0,32,7.3,20,4,20,0,0,0.175,0.0,45.5
6.284,57.898,64.734,58,36.729,38.722,60,27,26,1.7,417.54,10,0.668,0.998,31,2,18,7.199,44.0,33,6.9,20,4,20,0,0,0.167,0.0,44.8
6.62,60.781,68.149,61,38.256,40.483,63,29,27,1.6,431.57,11,0.664,0.996,32,2,18,7.075,45.0,34,6.6,20,4,20,0,0,0.175,0.0,44.3
5.0,52.131,57.903,52,33.675,35.199,54,23,24,1.9,389.48,9,0.677,1.003,29,2,18,7.49,42.0,31,7.7,20,4,20,0,0,0.167,0.0,46.2
5.658,55.014,61.318,55,35.202,36.96,57,25,25,1.8,403.51,9,0.672,1.0,30,2,18,7.337,43.0,32,7.3,20,4,20,0,0,0.158,0.0,45.5
5.569,64.992,72.773,65,40.497,42.699,67,31,28,1.5,461.6,11,0.657,1.0,34,2,18,7.102,47.0,36,7.7,20,5,20,0,0,0.164,0.0,43.1
5.854,61.898,68.734,62,40.729,42.722,65,27,30,1.6,465.58,10,0.689,0.998,35,2,24,7.509,52.0,38,6.5,26,4,26,0,0,0.154,0.0,48.4
6.87,55.912,61.82,56,37.181,38.955,59,24,28,0.0,424.52,9,0.696,0.998,32,2,23,7.581,48.5,35,7.1,25,4,25,0,0,0.153,0.0,50.0
5.0,61.218,68.484,61,37.191,39.148,63,30,25,0.0,426.55,7,0.642,1.004,31,2,12,6.993,41.0,33,9.8,15,6,14,0,0,0.111,0.0,41.0
6.222,67.094,75.272,67,41.519,43.705,70,32,28,3.0,476.62,8,0.652,1.001,35,2,17,7.114,48.5,38,7.5,18,5,19,0,0,0.114,0.0,41.8
5.319,57.007,63.86,57,34.949,36.932,59,28,24,0.0,396.52,6,0.648,1.0,29,2,12,6.956,39.0,31,8.8,15,5,14,0,0,0.102,0.0,42.1
6.481,49.465,54.571,49,32.643,33.682,52,20,23,4.1,388.45,8,0.687,1.009,29,2,21,7.928,44.5,32,8.2,20,4,23,0,0,0.154,0.0,46.9
6.824,51.778,57.115,52,35.126,37.387,55,22,26,0.0,414.55,8,0.719,0.996,30,2,22,7.972,46.0,33,5.8,23,3,24,0,0,0.145,0.0,50.0
5.509,59.891,67.275,60,36.476,38.693,62,30,25,0.0,410.55,6,0.645,0.998,30,2,12,6.842,40.0,32,8.3,15,5,14,0,0,0.097,0.0,41.7
6.337,56.789,63.607,57,36.509,38.512,60,26,26,3.5,414.54,10,0.676,0.996,31,1,22,7.273,46.0,34,5.3,20,3,23,0,0,0.167,0.0,45.6
5.921,50.138,55.362,50,33.928,35.228,53,20,25,4.0,396.47,6,0.705,1.003,30,1,22,7.929,47.0,33,6.0,20,3,24,0,0,0.113,0.0,50.0
7.529,52.022,57.777,52,34.455,35.989,55,22,25,3.8,398.49,8,0.692,1.0,30,2,22,7.663,46.0,33,5.8,22,3,24,0,0,0.145,0.0,48.1
6.473,55.232,61.401,55,35.697,37.205,58,24,25,3.6,416.51,10,0.676,1.004,31,1,22,7.573,46.0,34,7.3,20,4,23,0,0,0.172,0.0,45.5
5.523,50.349,55.986,50,32.17,33.443,52,22,22,4.0,378.46,10,0.669,1.007,28,2,17,7.569,40.5,30,8.0,18,4,19,0,0,0.192,0.0,44.0
7.549,52.022,57.777,52,34.455,35.989,55,22,25,3.8,398.49,8,0.692,1.0,30,2,22,7.663,46.0,33,5.8,22,3,24,0,0,0.145,0.0,48.1
7.796,70.65,79.477,71,44.331,47.012,73,34,31,2.8,498.67,11,0.662,0.995,37,2,18,7.024,52.0,39,5.6,20,4,21,0,0,0.151,0.0,43.7
8.409,72.316,81.81,73,44.363,47.529,75,37,31,1.4,487.69,11,0.651,0.991,36,2,18,6.681,49.0,38,5.5,20,4,20,0,0,0.147,0.0,42.5
5.959,66.549,74.979,67,41.309,44.006,69,33,29,1.5,459.63,12,0.657,0.993,34,2,18,6.86,47.0,36,6.0,20,4,20,0,0,0.174,0.0,43.3
8.699,69.549,77.979,70,44.309,47.006,73,33,32,1.4,495.66,11,0.672,0.994,37,2,23,7.081,53.5,40,5.7,24,4,25,0,0,0.151,0.0,45.7
7.77,69.432,78.394,70,42.836,45.767,72,35,30,1.4,473.66,11,0.654,0.992,35,2,18,6.767,48.0,37,5.7,20,4,20,0,0,0.153,0.0,42.9
7.824,69.945,78.734,70,43.219,45.705,72,34,30,1.4,491.65,11,0.653,0.999,36,2,18,7.024,49.0,38,5.7,20,4,20,1,1,0.153,1.4,42.9
8.268,69.945,78.734,70,43.219,45.705,72,34,30,1.4,491.65,11,0.653,0.999,36,2,18,7.024,49.0,38,5.7,20,4,20,1,1,0.153,1.4,42.9
7.62,72.087,80.813,72,44.266,46.676,74,35,30,1.4,505.66,13,0.648,1.001,37,2,18,7.023,50.0,39,8.3,20,6,20,0,0,0.176,0.0,41.7
8.081,69.756,78.338,70,43.664,46.625,72,34,30,1.4,508.1,11,0.666,0.997,36,2,18,7.259,49.0,38,5.7,20,4,20,1,0,0.153,1.4,42.9
8.432,73.305,81.896,73,45.76,47.921,75,34,31,2.7,530.67,13,0.656,1.004,39,2,18,7.269,54.0,41,8.2,20,6,21,0,0,0.173,0.0,42.5
8.155,70.458,79.074,70,43.603,45.642,72,33,30,1.4,509.64,11,0.652,1.007,37,2,18,7.281,50.0,39,5.7,20,4,20,2,2,0.153,2.9,42.9
7.523,69.756,78.338,70,43.664,46.625,72,34,30,1.4,508.1,11,0.666,0.997,36,2,18,7.259,49.0,38,5.7,20,4,20,1,0,0.153,1.4,42.9
7.824,68.599,76.338,67,42.843,43.756,69,29,29,1.5,531.59,11,0.653,1.024,38,2,18,7.934,51.0,40,6.0,20,4,20,4,4,0.159,6.0,43.3
7.602,64.501,71.848,64,40.993,43.04,66,29,28,1.6,498.03,11,0.673,1.008,35,2,18,7.782,48.0,37,6.3,20,4,20,2,1,0.167,3.1,43.8
8.495,69.094,77.272,69,43.519,45.705,71,32,30,2.9,500.64,12,0.662,1.001,37,2,18,7.256,52.0,39,7.2,20,5,21,0,0,0.169,0.0,43.5
8.149,65.396,72.987,65,41.66,43.426,67,29,29,3.1,488.6,11,0.668,1.006,36,2,18,7.517,51.0,38,6.2,20,4,21,1,1,0.164,1.5,44.6
7.495,68.087,75.998,67,42.459,43.819,69,30,29,1.5,513.6,11,0.654,1.016,37,2,18,7.666,50.0,39,6.0,20,4,20,3,3,0.159,4.5,43.3
7.796,69.432,78.394,70,42.836,45.767,72,35,30,1.4,473.66,11,0.654,0.992,35,2,18,6.767,48.0,37,5.7,20,4,20,0,0,0.153,0.0,42.9
7.959,70.76,79.604,71,43.551,46.222,73,35,30,1.4,489.66,12,0.651,0.997,36,2,18,6.897,49.0,38,7.0,20,5,20,0,0,0.164,0.0,42.3
6.638,66.549,74.979,67,41.309,44.006,69,33,29,1.5,459.63,11,0.657,0.993,34,2,18,6.86,47.0,36,6.0,20,4,20,0,0,0.159,0.0,43.3
7.432,66.549,74.979,67,41.309,44.006,69,33,29,1.5,459.63,11,0.657,0.993,34,2,18,6.86,47.0,36,6.0,20,4,20,0,0,0.159,0.0,43.3
8.18,67.767,76.062,68,42.804,45.25,70,32,30,2.9,484.64,11,0.665,0.997,36,2,18,7.127,51.0,38,5.9,20,4,21,0,0,0.157,0.0,44.1
7.721,64.69,72.243,64,40.549,42.12,66,29,28,1.6,481.58,11,0.658,1.011,35,2,18,7.525,48.0,37,6.3,20,4,20,2,2,0.167,3.1,43.8
7.292,66.549,74.979,67,41.309,44.006,69,33,29,1.5,459.63,11,0.657,0.993,34,2,18,6.86,47.0,36,6.0,20,4,20,0,0,0.159,0.0,43.3
7.409,60.898,67.734,61,39.729,41.722,64,27,29,1.6,453.57,9,0.684,0.998,34,2,23,7.436,50.5,37,6.6,24,4,25,0,0,0.141,0.0,47.5
8.377,72.316,81.81,73,44.363,47.529,75,37,31,1.4,487.69,11,0.651,0.991,36,2,18,6.681,49.0,38,5.5,20,4,20,0,0,0.147,0.0,42.5
7.796,72.316,81.81,73,44.363,47.529,75,37,31,1.4,487.69,11,0.651,0.991,36,2,18,6.681,49.0,38,5.5,20,4,20,0,0,0.147,0.0,42.5
7.143,56.16,62.7,56,34.323,37.227,57,28,21,0.0,424.63,11,0.665,1.003,28,3,6,7.583,35.0,29,8.9,10,5,9,0,0,0.193,0.0,37.5
8.444,70.458,79.074,70,43.603,45.642,72,33,30,1.4,509.64,11,0.652,1.007,37,2,18,7.281,50.0,39,5.7,20,4,20,2,2,0.153,2.9,42.9
5.022,60.898,67.734,61,39.729,41.722,64,27,29,1.6,453.57,9,0.684,0.998,34,2,23,7.436,50.5,37,6.6,24,4,25,0,0,0.141,0.0,47.5
8.495,73.643,83.019,74,45.078,47.983,76,37,31,1.4,503.69,12,0.648,0.995,37,2,18,6.807,50.0,39,6.8,20,5,20,0,0,0.158,0.0,41.9
7.328,64.69,72.243,64,40.549,42.12,66,29,28,1.6,481.58,11,0.658,1.011,35,2,18,7.525,48.0,37,6.3,20,4,20,2,2,0.167,3.1,43.8
7.276,68.599,76.338,67,42.843,43.756,69,29,29,1.5,531.59,11,0.653,1.024,38,2,18,7.934,51.0,40,6.0,20,4,20,4,4,0.159,6.0,43.3
8.42,69.756,78.338,70,43.664,46.625,72,34,30,1.4,508.1,11,0.666,0.997,36,2,18,7.259,49.0,38,5.7,20,4,20,1,0,0.153,1.4,42.9
8.027,70.65,79.477,71,44.331,47.012,73,34,31,2.8,498.67,11,0.662,0.995,37,2,18,7.024,52.0,39,5.6,20,4,21,0,0,0.151,0.0,43.7
8.409,70.65,79.477,71,44.331,47.012,73,34,31,2.8,498.67,11,0.662,0.995,37,2,18,7.024,52.0,39,5.6,20,4,21,0,0,0.151,0.0,43.7
8.244,70.458,79.074,70,43.603,45.642,72,33,30,1.4,509.64,11,0.652,1.007,37,2,18,7.281,50.0,39,5.7,20,4,20,2,2,0.153,2.9,42.9
8.0,70.458,79.074,70,43.603,45.642,72,33,30,1.4,509.64,11,0.652,1.007,37,2,18,7.281,50.0,39,5.7,20,4,20,2,2,0.153,2.9,42.9
5.0,41.804,45.602,41,27.923,28.773,43,16,19,2.4,357.81,4,0.702,1.02,25,2,16,8.727,37.0,27,9.8,16,4,18,1,0,0.093,2.4,46.3
6.721,67.876,76.189,68,42.024,44.461,70,33,29,1.5,475.63,12,0.654,0.998,35,2,18,6.995,48.0,37,7.4,20,5,20,0,0,0.171,0.0,42.6
7.292,63.989,71.508,64,40.61,43.103,66,30,28,1.6,480.04,11,0.673,1.0,34,2,18,7.501,47.0,36,6.3,20,4,20,1,0,0.167,1.6,43.8
7.398,64.178,71.904,64,40.166,42.182,66,30,28,1.6,463.59,11,0.659,1.003,34,2,18,7.244,47.0,36,6.3,20,4,20,1,1,0.167,1.6,43.8
7.699,64.178,71.904,64,40.166,42.182,66,30,28,1.6,463.59,11,0.659,1.003,34,2,18,7.244,47.0,36,6.3,20,4,20,1,1,0.167,1.6,43.8
7.167,63.665,71.564,64,39.783,42.245,66,31,28,1.6,445.6,11,0.66,0.995,33,2,18,6.962,46.0,35,6.3,20,4,20,0,0,0.167,0.0,43.8
7.229,67.876,76.189,68,42.024,44.461,70,33,29,1.5,475.63,12,0.654,0.998,35,2,18,6.995,48.0,37,7.4,20,5,20,0,0,0.171,0.0,42.6
6.886,64.178,71.904,64,40.166,42.182,66,30,28,1.6,463.59,11,0.659,1.003,34,2,18,7.244,47.0,36,6.3,20,4,20,1,1,0.167,1.6,43.8
6.603,54.123,60.275,54,35.477,36.995,57,23,25,5.6,413.51,8,0.685,1.002,31,2,22,7.658,47.0,34,5.6,21,3,24,0,0,0.14,0.0,46.3
5.456,53.232,59.401,53,33.697,35.205,55,24,23,3.8,392.49,11,0.664,1.004,29,2,17,7.405,41.5,31,7.5,18,4,19,0,0,0.2,0.0,43.4
7.678,67.876,76.189,68,42.024,44.461,70,33,29,1.5,475.63,12,0.654,0.998,35,2,18,6.995,48.0,37,7.4,20,5,20,0,0,0.171,0.0,42.6
5.824,55.912,61.82,56,37.181,38.955,59,24,28,0.0,424.52,9,0.696,0.998,32,2,23,7.581,48.5,35,7.1,25,4,25,0,0,0.153,0.0,50.0
5.585,52.349,57.986,52,34.17,35.443,55,22,24,3.8,402.48,9,0.682,1.007,30,1,22,7.74,45.0,33,7.7,20,4,23,0,0,0.164,0.0,46.2
6.642,54.585,60.611,55,36.466,38.5,58,24,28,0.0,408.52,8,0.7,0.992,31,2,23,7.428,47.5,34,5.5,25,3,25,0,0,0.138,0.0,50.9
7.886,69.945,78.734,70,43.219,45.705,72,34,30,1.4,491.65,11,0.653,0.999,36,2,18,7.024,49.0,38,5.7,20,4,20,1,1,0.153,1.4,42.9
7.721,70.203,78.398,70,43.739,45.915,73,33,30,1.4,503.64,11,0.656,1.003,37,2,18,7.195,51.0,40,8.6,20,6,20,0,0,0.151,0.0,42.9
7.174,67.061,75.319,67,41.693,43.944,69,32,29,1.5,477.62,11,0.656,1.001,35,2,18,7.129,48.0,37,6.0,20,4,20,1,1,0.159,1.5,43.3
7.745,67.061,75.319,67,41.693,43.944,69,32,29,1.5,477.62,11,0.656,1.001,35,2,18,7.129,48.0,37,6.0,20,4,20,1,1,0.159,1.5,43.3
6.598,56.014,62.318,56,36.202,37.96,59,25,26,1.8,415.52,8,0.678,1.0,31,3,17,7.42,45.5,34,7.1,20,4,20,0,0,0.136,0.0,46.4
8.699,56.851,64.61,57,32.19,35.103,57,32,19,0.0,372.58,13,0.616,0.997,25,3,0,6.536,28.0,25,8.8,4,5,3,0,0,0.228,0.0,33.3
7.678,53.905,60.192,54,34.982,36.75,57,24,25,3.7,400.51,9,0.681,0.998,30,1,22,7.417,45.0,33,5.6,20,3,23,0,0,0.158,0.0,46.3
8.222,70.458,79.074,70,43.603,45.642,72,33,30,1.4,509.64,11,0.652,1.007,37,2,18,7.281,50.0,39,5.7,20,4,20,2,2,0.153,2.9,42.9
7.456,63.989,71.508,64,40.61,43.103,66,30,28,1.6,480.04,11,0.673,1.0,34,2,18,7.501,47.0,36,6.3,20,4,20,1,0,0.167,1.6,43.8
7.409,68.087,75.998,67,42.459,43.819,69,30,29,1.5,513.6,11,0.654,1.016,37,2,18,7.666,50.0,39,6.0,20,4,20,3,3,0.159,4.5,43.3
7.377,68.389,76.528,68,42.407,44.398,70,32,29,1.5,493.62,12,0.653,1.006,36,2,18,7.259,49.0,38,7.4,20,5,20,1,1,0.171,1.5,42.6
7.229,70.458,79.074,70,43.603,45.642,72,33,30,1.4,509.64,11,0.652,1.007,37,2,18,7.281,50.0,39,5.7,20,4,20,2,2,0.153,2.9,42.9
8.553,68.28,76.402,68,43.187,45.188,70,31,30,2.9,502.63,11,0.665,1.004,37,2,18,7.392,52.0,39,5.9,20,4,21,1,1,0.157,1.5,44.1
6.585,61.781,69.149,62,39.256,41.483,65,29,28,1.6,443.58,11,0.669,0.996,33,2,18,7.155,47.0,36,6.5,20,4,20,0,0,0.169,0.0,45.2
6.131,64.865,73.465,65,37.884,40.836,66,35,24,0.0,439.04,13,0.628,0.998,30,2,6,6.754,36.0,31,7.7,9,5,8,1,0,0.197,1.5,36.9
5.0,61.658,70.105,62,35.53,38.216,63,34,23,0.0,390.57,10,0.616,0.994,28,3,0,6.3,34.0,29,8.1,4,5,4,0,0,0.159,0.0,37.1
5.959,57.487,63.909,57,35.038,37.682,58,28,21,0.0,440.63,12,0.661,1.009,29,3,6,7.73,36.0,30,10.5,10,6,9,0,0,0.207,0.0,36.8
5.523,63.254,70.74,63,38.092,41.205,64,32,23,0.0,468.69,14,0.654,1.004,31,3,6,7.44,38.0,32,9.5,10,6,9,0,0,0.219,0.0,36.5
8.432,56.851,64.61,57,32.19,35.103,57,32,19,0.0,372.58,13,0.616,0.997,25,3,0,6.536,28.0,25,8.8,4,5,3,0,0,0.228,0.0,33.3
6.292,57.487,63.909,57,35.038,37.682,58,28,21,0.0,440.63,12,0.661,1.009,29,3,6,7.73,36.0,30,10.5,10,6,9,0,0,0.207,0.0,36.8
5.658,60.098,67.634,60,35.83,38.313,61,31,23,0.0,422.99,10,0.639,1.002,29,3,6,7.05,36.0,30,8.3,11,5,9,1,0,0.164,1.7,38.3
5.824,63.247,71.365,63,37.1,39.801,64,33,23,0.0,440.63,13,0.632,1.004,30,2,6,6.994,36.0,31,7.9,9,5,8,1,1,0.203,1.6,36.5
8.721,56.851,64.61,57,32.19,35.103,57,32,19,0.0,372.58,13,0.616,0.997,25,3,0,6.536,28.0,25,8.8,4,5,3,0,0,0.228,0.0,33.3
8.921,56.851,64.61,57,32.19,35.103,57,32,19,0.0,372.58,13,0.616,0.997,25,3,0,6.536,28.0,25,8.8,4,5,3,0,0,0.228,0.0,33.3
6.658,55.043,62.115,55,31.85,34.989,55,30,18,0.0,390.62,13,0.636,1.001,25,3,0,7.102,28.0,25,9.1,4,5,3,0,0,0.236,0.0,32.7
5.0,61.538,70.255,62,35.169,38.381,63,35,22,0.0,399.02,11,0.619,0.993,27,3,0,6.436,31.0,28,6.5,5,4,3,1,0,0.175,1.6,35.5
7.959,55.294,62.404,55,31.378,33.796,55,30,18,0.0,374.55,13,0.614,1.005,25,3,0,6.81,28.0,25,10.9,4,6,3,0,0,0.236,0.0,32.7
6.367,60.12,67.035,60,37.037,40.637,61,30,22,0.0,470.73,13,0.677,1.002,30,3,6,7.845,37.0,31,8.3,10,5,9,0,0,0.213,0.0,36.7
5.0,61.214,70.311,62,34.342,37.523,63,36,22,0.0,364.58,11,0.605,0.987,26,3,0,5.88,30.0,27,6.5,5,4,3,0,0,0.175,0.0,35.5
6.886,53.276,59.285,53,32.797,35.466,54,26,20,0.0,410.6,11,0.669,1.005,27,3,6,7.747,34.0,28,9.4,10,5,9,0,0,0.204,0.0,37.7
5.347,63.254,70.74,63,38.092,41.205,64,32,23,0.0,468.69,14,0.654,1.004,31,3,6,7.44,38.0,32,9.5,10,6,9,0,0,0.219,0.0,36.5
8.456,55.043,62.115,55,31.85,34.989,55,30,18,0.0,390.62,13,0.636,1.001,25,3,0,7.102,28.0,25,9.1,4,5,3,0,0,0.236,0.0,32.7
5.0,65.425,74.936,66,36.583,39.739,67,38,23,0.0,394.61,13,0.602,0.991,28,3,0,5.979,32.0,29,7.6,4,5,3,0,0,0.194,0.0,34.8
8.301,56.774,64.69,57,32.003,34.455,57,32,20,0.0,352.52,12,0.604,0.996,25,4,0,6.185,29.0,25,8.8,6,5,4,0,0,0.211,0.0,35.1
