pXC50,nDB,O.,nAB,N.,nO,nN,RBF,nS,nBM,nCsp2,Si,Sp,AMW
5.0,1,2.1,11,10.6,1,5,0.06,0,12,9,53.438,30.336,6.925
5.0,3,6.8,17,6.8,4,4,0.079,1,20,15,66.318,39.864,7.909
5.0,1,3.9,17,11.8,2,6,0.073,0,18,13,57.73,34.034,7.657
5.0,1,3.4,22,8.6,2,5,0.063,0,23,18,65.062,39.551,7.579
5.0,1,3.4,22,8.6,2,5,0.063,0,23,18,65.062,39.551,7.579
5.0,1,6.3,11,6.3,3,3,0.059,0,12,10,54.275,30.995,7.114
4.585,1,2.3,6,4.5,1,2,0.087,0,7,7,50.792,27.654,7.418
5.0,1,3.8,17,9.6,2,5,0.071,0,18,14,58.647,34.79,7.49
5.0,1,4.0,16,6.0,2,3,0.056,0,17,14,56.066,33.54,7.23
5.0,1,4.2,17,10.4,2,5,0.059,0,18,14,55.251,31.841,8.696
5.0,1,3.8,17,9.6,2,5,0.071,0,18,14,58.647,34.79,7.49
5.0,1,3.9,17,11.8,2,6,0.073,0,18,13,57.73,34.034,7.657
4.562,0,3.3,6,3.3,1,1,0.1,0,6,6,34.029,18.551,5.976
5.0,1,2.2,11,8.9,1,4,0.063,0,12,10,50.939,29.33,6.899
5.0,2,7.1,17,7.1,4,4,0.083,0,19,16,62.983,37.455,7.724
5.0,1,4.7,11,9.3,2,4,0.065,0,12,9,48.734,28.023,7.265
5.0,1,4.7,11,9.3,2,4,0.065,0,12,9,48.734,28.023,7.265
5.0,1,3.6,17,7.1,2,4,0.067,0,18,15,63.998,37.12,8.152
5.0,1,3.8,17,9.6,2,5,0.071,0,18,14,58.647,34.79,7.49
5.0,1,2.1,11,10.6,1,5,0.06,0,12,9,53.438,30.336,6.925
5.0,1,3.4,17,8.6,2,5,0.048,0,18,14,65.478,38.313,7.199
5.0,1,2.3,11,11.4,1,5,0.064,0,12,9,50.023,28.574,7.078
5.0,1,4.3,11,8.7,2,4,0.061,0,12,9,52.149,29.784,7.097
5.0,1,3.8,17,9.6,2,5,0.071,0,18,14,58.647,34.79,7.49
5.0,1,2.3,11,11.4,1,5,0.064,0,12,9,50.023,28.574,7.078
4.523,3,9.3,12,5.6,5,3,0.143,1,15,13,61.029,35.313,7.769
5.796,1,0.0,12,2.3,0,1,0.065,0,13,14,49.066,29.381,6.305
5.391,1,5.8,12,1.9,3,1,0.208,0,13,13,58.524,33.267,6.567
5.187,1,6.3,6,4.2,3,2,0.143,0,7,7,56.645,29.137,8.633
6.276,1,4.7,6,4.7,2,2,0.209,0,7,7,48.983,26.296,6.149
4.208,0,0.0,12,21.7,0,5,0.042,0,12,9,26.21,17.267,11.135
