pXC50,nBO,nCsp2,nCsp3,nSK,nBM,nC,nHet,nBT,Se,nAT,Mi,MW,Sv,Si,C.,Sp,nH,nAB,nX,nDB,Mv,nF,Me,RBN,SCBO,X.,nO,nHM,O.,Mp
6.886,50,17,18,47,20,35,12,98,95.13,95,1.136,648.89,56.48,107.965,36.8,59.751,48,16,0,4,0.595,0,1.001,15,62.0,0.0,6,0,6.3,0.629
6.601,51,17,19,48,20,36,12,100,97.239,97,1.135,663.9,57.7,110.092,37.1,60.961,49,16,0,4,0.595,0,1.002,17,63.0,0.0,7,0,7.2,0.628
6.585,51,12,24,51,12,36,15,110,110.639,110,1.144,722.0,62.479,125.796,32.7,66.131,59,6,0,6,0.568,0,1.006,24,60.0,0.0,10,0,9.1,0.601
7.436,53,12,27,53,12,39,14,118,117.963,118,1.143,748.09,66.344,134.832,33.1,70.961,65,6,0,6,0.562,0,1.0,25,62.0,0.0,9,0,7.6,0.601
6.523,54,12,27,54,12,39,15,119,119.29,119,1.143,764.09,67.059,136.042,32.8,71.416,65,6,0,6,0.564,0,1.002,25,63.0,0.0,10,0,8.4,0.6
7.377,53,12,27,53,12,39,14,118,117.963,118,1.143,748.09,66.344,134.832,33.1,70.961,65,6,0,6,0.562,0,1.0,25,62.0,0.0,9,0,7.6,0.601
8.796,71,20,27,68,24,47,21,141,138.883,138,1.14,968.23,81.31,157.383,34.1,86.336,70,17,0,7,0.589,0,1.006,26,86.5,0.0,11,1,8.0,0.626
9.347,73,20,29,70,24,49,21,147,144.65,144,1.14,996.29,84.364,164.213,34.0,89.859,74,17,0,7,0.586,0,1.005,28,88.5,0.0,11,1,7.6,0.624
6.444,70,20,29,67,23,49,18,144,140.912,141,1.141,931.33,81.79,160.945,34.8,87.058,74,17,0,6,0.58,0,0.999,26,84.5,0.0,8,0,5.7,0.617
6.602,64,9,35,61,11,44,17,137,134.144,134,1.144,860.24,75.682,153.284,32.8,80.711,73,5,0,6,0.565,0,1.001,25,72.5,0.0,10,0,7.5,0.602
6.854,55,18,22,54,18,40,14,114,113.312,113,1.138,754.04,65.764,128.587,35.4,69.677,59,12,0,6,0.582,0,1.003,23,67.0,0.0,9,0,8.0,0.617
6.328,51,12,25,51,12,37,14,112,112.196,112,1.143,720.03,63.291,128.002,33.0,67.438,61,6,0,6,0.565,0,1.002,23,60.0,0.0,9,0,8.0,0.602
6.495,58,18,25,57,18,43,14,123,121.963,122,1.138,796.13,70.344,138.832,35.2,74.961,65,12,0,6,0.577,0,1.0,25,70.0,0.0,9,0,7.4,0.614
6.797,67,22,25,64,26,47,17,134,131.494,131,1.138,890.21,77.102,149.038,35.9,81.427,67,20,0,6,0.589,0,1.004,25,83.0,0.0,10,0,7.6,0.622
4.301,46,20,13,43,22,33,10,88,84.909,85,1.128,606.86,51.856,95.849,38.8,55.41,42,18,0,4,0.61,0,0.999,14,59.0,0.0,5,1,5.9,0.652
9.276,39,8,22,39,8,30,9,92,91.359,92,1.143,551.86,50.523,105.131,32.6,54.779,53,6,0,2,0.549,0,0.993,19,44.0,0.0,6,0,6.5,0.595
6.0,59,18,25,58,18,43,15,124,123.29,123,1.139,812.13,71.059,140.042,35.0,75.416,65,12,0,6,0.578,0,1.002,26,71.0,0.0,10,0,8.1,0.613
7.549,63,28,18,60,30,46,14,122,119.061,119,1.129,842.17,72.236,134.297,38.7,76.87,59,24,0,6,0.607,0,1.001,21,81.0,0.0,8,1,6.7,0.646
7.027,58,22,18,55,24,40,15,111,108.487,108,1.129,796.12,65.843,121.972,37.0,70.234,53,18,0,6,0.61,0,1.005,13,73.0,0.0,8,2,7.4,0.65
8.318,64,28,17,60,30,45,15,119,115.37,115,1.125,858.19,71.37,129.387,39.1,75.995,55,24,0,6,0.621,0,1.003,14,82.0,0.0,8,2,7.0,0.661
7.361,52,21,16,49,23,37,12,100,97.214,97,1.129,692.96,58.866,109.513,38.1,62.603,48,18,0,5,0.607,0,1.002,10,66.0,0.0,7,1,7.2,0.645
6.469,49,21,13,46,23,34,12,91,88.563,88,1.128,650.87,54.285,99.268,38.6,57.319,42,18,0,5,0.617,0,1.006,8,63.0,0.0,7,1,8.0,0.651
6.886,54,21,17,51,23,38,13,104,101.425,101,1.13,722.99,61.107,114.138,37.6,64.819,50,18,0,5,0.605,0,1.004,11,68.0,0.0,8,1,7.9,0.642
6.347,50,15,20,48,17,35,13,102,100.308,100,1.136,688.98,58.634,113.553,35.0,62.58,52,12,0,5,0.586,0,1.003,13,61.0,0.0,8,1,8.0,0.626
5.301,50,15,19,48,17,34,14,100,98.752,98,1.136,690.95,57.822,111.347,34.7,61.273,50,12,0,5,0.59,0,1.008,13,61.0,0.0,9,1,9.2,0.625
6.027,50,14,22,48,16,36,12,105,102.974,103,1.135,690.01,59.666,116.885,35.0,64.097,55,12,0,4,0.579,0,1.0,13,60.0,0.0,8,1,7.8,0.622
4.699,57,17,26,53,17,43,10,117,112.112,113,1.132,729.07,66.125,127.875,38.1,71.069,60,12,0,5,0.585,0,0.992,17,68.0,0.0,6,0,5.3,0.629
9.076,46,10,26,45,10,36,9,106,103.785,105,1.14,629.0,58.41,119.666,34.3,63.614,60,6,0,4,0.556,0,0.988,20,53.0,0.0,5,0,4.8,0.606
8.699,62,22,23,58,26,45,13,123,118.534,119,1.134,796.13,70.662,134.955,37.8,75.325,61,22,0,4,0.594,0,0.996,21,77.0,0.0,6,0,5.0,0.633
5.42,54,10,32,53,10,42,11,126,123.741,125,1.141,745.18,69.0,142.576,33.6,75.092,72,6,0,4,0.552,0,0.99,23,61.0,0.0,7,0,5.6,0.601
5.076,58,22,23,56,22,45,11,122,119.206,120,1.133,773.13,69.893,135.915,37.5,75.046,64,18,0,4,0.582,0,0.993,24,71.0,0.0,7,0,5.8,0.625
5.921,42,8,24,41,9,32,9,96,94.134,95,1.141,574.9,52.83,108.42,33.7,57.33,54,6,0,3,0.556,0,0.991,16,48.0,0.0,5,0,5.3,0.603
4.678,50,17,21,49,17,38,11,106,104.672,105,1.136,680.98,60.786,119.254,36.2,65.001,56,12,0,5,0.579,0,0.997,21,61.0,0.0,7,0,6.7,0.619
8.681,39,8,22,39,8,30,9,92,91.359,92,1.143,551.86,50.523,105.131,32.6,54.779,53,6,0,2,0.549,0,0.993,19,44.0,0.0,6,0,6.5,0.595
8.678,50,10,29,49,10,39,10,116,113.763,115,1.14,687.09,63.705,131.121,33.9,69.353,66,6,0,4,0.554,0,0.989,22,57.0,0.0,6,0,5.2,0.603
8.051,47,16,19,44,16,35,9,94,90.708,91,1.131,605.85,53.943,102.886,38.5,57.495,47,12,0,4,0.593,0,0.997,15,57.0,0.0,6,0,6.6,0.632
5.174,54,16,26,53,16,42,11,120,118.09,119,1.137,739.12,67.42,135.33,35.3,72.808,66,12,0,4,0.567,0,0.992,24,64.0,0.0,7,0,5.9,0.612
5.228,53,10,31,51,10,41,10,121,117.646,119,1.139,713.13,66.232,135.536,34.5,72.115,68,6,0,4,0.557,0,0.989,20,60.0,0.0,6,0,5.0,0.606
4.638,49,16,22,48,16,38,10,107,105.228,106,1.136,667.0,60.598,120.46,35.8,65.308,58,12,0,4,0.572,0,0.993,21,59.0,0.0,6,0,5.7,0.616
6.495,57,16,26,54,16,42,12,120,116.425,117,1.137,750.1,67.388,132.998,35.9,72.291,63,12,0,4,0.576,0,0.995,21,67.0,0.0,7,0,6.0,0.618
7.046,54,18,23,52,17,41,11,114,111.439,112,1.135,721.05,64.84,127.085,36.6,69.523,60,12,0,5,0.579,0,0.995,20,65.0,0.0,7,0,6.3,0.621
6.674,57,19,22,54,22,41,13,114,110.766,111,1.136,744.05,65.609,126.125,36.9,69.802,57,17,0,5,0.591,0,0.998,19,70.5,0.0,6,0,5.4,0.629
6.408,52,21,17,48,22,38,10,97,93.152,93,1.126,655.86,57.131,104.68,40.9,60.188,45,17,0,5,0.614,0,1.002,14,65.5,0.0,7,0,7.5,0.647
5.959,50,17,20,49,17,37,12,105,103.89,104,1.138,681.97,60.281,118.337,35.6,64.245,55,12,0,5,0.58,0,0.999,20,61.0,0.0,7,0,6.7,0.618
5.42,56,19,22,54,21,41,13,117,114.534,115,1.139,748.09,66.662,130.955,35.7,71.325,61,17,0,4,0.58,0,0.996,23,68.5,0.0,6,0,5.2,0.62
5.187,51,10,28,50,10,38,12,115,113.534,114,1.141,705.06,63.608,130.124,33.3,68.501,64,6,0,4,0.558,0,0.996,21,58.0,0.0,8,0,7.0,0.601
5.398,50,16,22,49,16,38,11,108,106.556,107,1.137,683.0,61.313,121.669,35.5,65.762,58,12,0,4,0.573,0,0.996,22,60.0,0.0,7,0,6.5,0.615
5.187,57,19,22,55,21,41,14,118,115.861,116,1.139,764.09,67.377,132.164,35.3,71.779,61,17,0,4,0.581,0,0.999,23,69.5,0.0,7,0,6.0,0.619
6.108,57,19,23,55,21,42,13,119,116.643,117,1.137,763.1,67.882,133.081,35.9,72.535,62,17,0,4,0.58,0,0.997,23,69.5,0.0,7,0,6.0,0.62
5.824,66,23,26,64,25,49,15,137,134.69,135,1.133,906.32,79.112,152.998,36.3,84.893,71,18,0,7,0.586,0,0.998,27,82.0,0.0,9,1,6.7,0.629
7.638,46,16,18,43,16,34,9,91,87.825,88,1.13,591.82,52.416,99.471,38.6,55.733,45,12,0,4,0.596,0,0.998,14,56.0,0.0,6,0,6.8,0.633
5.377,57,22,22,55,22,44,11,120,117.097,118,1.134,758.12,68.673,133.789,37.3,73.836,63,18,0,4,0.582,0,0.992,23,70.0,0.0,6,0,5.1,0.626
5.155,49,18,20,48,17,38,10,105,103.345,104,1.135,664.98,60.071,118.045,36.5,64.546,56,12,0,5,0.578,0,0.994,20,60.0,0.0,6,0,5.8,0.621
5.036,53,24,17,51,23,41,10,107,104.461,105,1.13,698.99,62.544,118.63,39.0,66.785,54,18,0,5,0.596,0,0.995,20,67.0,0.0,6,0,5.7,0.636
4.745,58,22,22,56,22,44,12,121,118.425,119,1.134,774.12,69.388,134.998,37.0,74.291,63,18,0,4,0.583,0,0.995,23,71.0,0.0,7,0,5.9,0.624
5.268,58,22,22,56,23,44,12,120,117.399,118,1.131,791.17,69.554,133.42,37.3,74.933,62,18,0,5,0.589,0,0.995,23,72.0,0.0,7,1,5.9,0.635
8.244,57,20,21,55,22,41,14,116,113.977,114,1.138,762.07,66.85,129.749,36.0,71.018,59,17,0,5,0.586,0,1.0,22,70.5,0.0,7,0,6.1,0.623
5.762,52,10,30,50,10,40,10,118,114.763,116,1.139,699.1,64.705,132.121,34.5,70.353,66,6,0,4,0.558,0,0.989,19,59.0,0.0,6,0,5.2,0.606
5.357,55,22,19,52,22,41,11,109,105.788,106,1.131,714.99,63.259,119.839,38.7,67.239,54,18,0,4,0.597,0,0.998,20,68.0,0.0,7,0,6.6,0.634
8.713,51,15,21,48,16,36,12,103,99.897,100,1.138,664.94,58.534,113.796,36.0,62.273,52,11,0,5,0.585,0,0.999,16,61.5,0.0,6,0,6.0,0.623
4.699,50,13,22,47,15,35,12,102,98.897,99,1.139,652.93,57.534,112.796,35.4,61.273,52,11,0,4,0.581,0,0.999,15,59.5,0.0,6,0,6.1,0.619
7.959,51,13,23,48,15,36,12,105,101.781,102,1.139,666.96,59.06,116.211,35.3,63.035,54,11,0,4,0.579,0,0.998,16,60.5,0.0,6,0,5.9,0.618
6.807,54,14,23,51,16,37,14,108,105.436,105,1.139,710.97,61.49,119.63,35.2,64.944,54,11,0,5,0.586,0,1.004,18,64.5,0.0,8,0,7.6,0.619
5.0,27,11,10,25,9,21,4,53,50.545,51,1.117,358.54,31.18,56.946,41.2,33.909,26,6,0,3,0.611,0,0.991,6,33.0,0.0,3,1,5.9,0.665
8.886,51,13,23,48,15,36,12,105,101.781,102,1.139,666.96,59.06,116.211,35.3,63.035,54,11,0,4,0.579,0,0.998,15,60.5,0.0,6,0,5.9,0.618
8.0,55,13,26,51,15,39,12,113,108.548,109,1.138,707.03,63.114,124.041,35.8,67.558,58,11,0,4,0.579,0,0.996,16,64.5,0.0,6,0,5.5,0.62
5.0,30,17,6,27,15,23,4,52,48.778,49,1.104,378.52,32.126,54.115,46.9,34.387,22,12,0,3,0.656,0,0.995,7,39.0,0.0,3,1,6.1,0.702
7.854,60,19,24,56,21,43,13,121,116.534,117,1.136,772.11,68.662,132.955,36.8,73.325,61,17,0,4,0.587,0,0.996,21,72.5,0.0,6,0,5.1,0.627
7.274,52,13,23,49,15,36,13,106,103.108,103,1.14,682.96,59.775,117.42,35.0,63.489,54,11,0,4,0.58,0,1.001,17,61.5,0.0,7,0,6.8,0.616
8.824,54,13,27,52,15,40,12,118,115.199,116,1.14,725.1,65.694,132.287,34.5,70.842,64,11,0,4,0.566,0,0.993,21,63.5,0.0,6,0,5.2,0.611
5.523,48,14,18,47,16,32,15,96,96.112,95,1.143,660.86,55.624,108.594,33.7,58.114,48,11,0,5,0.586,0,1.012,20,58.5,0.0,9,0,9.5,0.612
6.699,51,13,23,48,15,36,12,105,101.781,102,1.139,666.96,59.06,116.211,35.3,63.035,54,11,0,4,0.579,0,0.998,15,60.5,0.0,6,0,5.9,0.618
6.456,62,19,25,60,22,44,16,128,126.057,126,1.14,835.18,73.167,143.702,34.9,77.762,66,17,0,5,0.581,0,1.0,24,75.5,0.0,8,0,6.3,0.617
7.963,56,19,21,51,20,41,10,105,99.796,100,1.124,734.83,61.936,112.395,41.0,66.279,49,18,2,1,0.619,0,0.998,18,68.0,2.0,5,2,5.0,0.663
8.329,52,19,19,48,19,38,10,100,96.021,96,1.126,699.78,58.63,108.106,39.6,62.728,48,18,2,1,0.611,0,1.0,18,62.0,2.1,6,2,6.3,0.653
8.347,53,19,20,49,19,39,10,104,99.679,100,1.128,712.83,60.463,112.81,39.0,65.04,51,18,2,1,0.605,0,0.997,18,63.0,2.0,5,2,5.0,0.65
8.538,56,19,20,52,21,39,13,107,103.41,103,1.128,776.9,63.08,116.149,37.9,67.597,51,18,2,3,0.612,0,1.004,20,68.0,1.9,7,3,6.8,0.656
8.481,57,20,21,53,20,41,12,111,106.992,107,1.13,769.89,64.726,120.933,38.3,69.262,54,18,2,2,0.605,0,1.0,20,68.0,1.9,6,2,5.6,0.647
7.975,53,19,20,49,19,39,10,103,98.905,99,1.126,713.81,60.157,111.521,39.4,64.489,50,18,2,1,0.608,0,0.999,17,63.0,2.0,6,2,6.1,0.651
7.959,58,20,22,53,20,42,11,110,105.116,105,1.125,767.86,64.398,118.146,40.0,68.705,52,18,2,2,0.613,0,1.001,20,69.0,1.9,7,2,6.7,0.654
8.959,56,20,20,51,20,40,11,104,99.349,99,1.124,739.8,61.345,111.315,40.4,65.182,48,18,2,2,0.62,0,1.004,18,67.0,2.0,7,2,7.1,0.658
8.252,57,20,21,52,20,41,11,107,102.232,102,1.125,753.83,62.871,114.73,40.2,66.944,50,18,2,2,0.616,0,1.002,19,68.0,2.0,7,2,6.9,0.656
7.529,55,20,20,51,20,40,11,105,101.232,101,1.126,741.82,61.871,113.73,39.6,65.944,50,18,2,2,0.613,0,1.002,18,66.0,2.0,7,2,6.9,0.653
8.046,56,20,21,52,20,41,11,108,104.116,104,1.126,755.85,63.398,117.146,39.4,67.705,52,18,2,2,0.61,0,1.001,19,67.0,1.9,7,2,6.7,0.651
8.215,57,20,22,53,20,42,11,111,106.999,107,1.127,769.88,64.925,120.561,39.3,69.467,54,18,2,2,0.607,0,1.0,20,68.0,1.9,7,2,6.5,0.649
7.631,58,20,23,54,20,43,11,114,109.883,110,1.127,783.91,66.452,123.976,39.1,71.228,56,18,2,2,0.604,0,0.999,21,69.0,1.8,7,2,6.4,0.648
7.907,59,20,23,54,20,43,11,113,107.999,108,1.126,781.89,65.925,121.561,39.8,70.467,54,18,2,2,0.61,0,1.0,19,70.0,1.9,7,2,6.5,0.652
8.678,57,20,21,53,20,41,12,109,105.443,105,1.127,771.85,64.113,118.355,39.0,68.16,52,18,2,2,0.611,0,1.004,20,68.0,1.9,8,2,7.6,0.649
8.678,60,20,21,55,22,41,14,111,106.738,106,1.126,816.92,65.795,119.358,38.7,70.052,51,18,2,4,0.621,0,1.007,19,73.0,1.9,8,3,7.5,0.661
8.276,60,20,21,54,24,41,13,110,104.218,104,1.13,777.87,64.474,117.474,39.4,68.535,50,23,2,1,0.62,0,1.002,19,72.5,1.9,5,2,4.8,0.659
6.0,52,28,9,48,31,37,11,91,87.494,87,1.124,649.81,55.351,97.806,42.5,57.699,39,28,0,3,0.636,0,1.006,16,69.0,0.0,6,0,6.9,0.663
9.796,48,21,14,43,20,35,8,87,81.723,82,1.121,620.67,51.873,91.9,42.7,55.563,39,18,2,2,0.633,0,0.997,10,59.0,2.4,3,2,3.7,0.678
9.398,34,7,20,34,7,27,7,82,81.163,82,1.141,480.77,44.733,93.593,32.9,48.796,48,6,0,1,0.546,0,0.99,18,38.0,0.0,5,0,6.1,0.595
9.328,37,7,21,35,7,28,7,83,80.05,81,1.138,508.22,45.626,92.202,34.6,49.989,46,6,1,1,0.563,0,0.988,12,41.0,1.2,3,1,3.7,0.617
9.155,53,13,26,51,17,39,12,114,111.29,112,1.137,728.12,64.333,127.294,34.8,69.722,61,11,0,6,0.574,0,0.994,21,64.5,0.0,6,1,5.4,0.623
9.097,36,9,18,35,9,27,8,79,77.614,78,1.139,489.73,44.174,88.846,34.6,47.518,43,6,0,3,0.566,0,0.995,13,42.0,0.0,5,0,6.4,0.609
9.046,35,8,19,35,8,27,8,82,81.381,82,1.142,493.77,45.228,93.676,32.9,49.04,47,6,0,2,0.552,0,0.992,18,40.0,0.0,5,0,6.1,0.598
9.0,47,11,22,44,15,33,11,97,93.77,94,1.135,630.94,54.678,106.719,35.1,58.91,50,11,0,4,0.582,0,0.998,16,56.5,0.0,6,1,6.4,0.627
8.523,39,16,14,37,18,30,7,80,77.403,78,1.131,507.74,45.933,88.221,38.5,49.302,41,16,0,2,0.589,0,0.992,15,49.0,0.0,4,0,5.1,0.632
7.432,47,21,13,43,17,34,9,88,84.058,84,1.127,587.78,51.362,94.64,40.5,54.211,41,12,0,5,0.611,0,1.001,15,58.0,0.0,6,0,7.1,0.645
5.284,44,20,11,41,22,31,10,81,78.367,78,1.125,579.78,48.496,87.73,39.7,51.336,37,18,0,4,0.622,0,1.005,14,57.0,0.0,6,1,7.7,0.658
9.469,54,16,23,52,17,39,13,111,109.101,109,1.137,724.01,63.522,123.962,35.8,67.461,57,12,0,5,0.583,0,1.001,20,65.0,0.0,8,0,7.3,0.619
7.77,49,16,20,48,17,36,12,102,101.007,101,1.138,667.94,58.754,114.922,35.6,62.484,53,12,0,5,0.582,0,1.0,19,60.0,0.0,7,0,6.9,0.619
8.721,50,16,20,49,17,36,13,103,102.334,102,1.139,683.94,59.469,116.132,35.3,62.938,53,12,0,5,0.583,0,1.003,20,61.0,0.0,8,0,7.8,0.617
8.071,53,18,20,51,21,38,13,108,105.883,106,1.139,706.0,62.082,120.709,35.8,66.04,55,17,0,4,0.586,0,0.999,20,65.5,0.0,6,0,5.7,0.623
9.155,50,16,20,49,17,36,13,102,101.559,101,1.137,684.92,59.162,114.843,35.6,62.387,52,12,0,5,0.586,0,1.006,20,61.0,0.0,9,0,8.9,0.618
8.921,49,16,20,48,17,36,12,101,100.232,100,1.136,668.92,58.447,113.633,36.0,61.932,52,12,0,5,0.584,0,1.002,19,60.0,0.0,8,0,8.0,0.619
8.699,53,16,23,51,17,39,12,110,107.774,108,1.137,708.01,62.807,122.753,36.1,67.006,57,12,0,5,0.582,0,0.998,19,64.0,0.0,7,0,6.5,0.62
6.658,52,18,20,50,21,38,12,107,104.556,105,1.138,690.0,61.367,119.5,36.2,65.586,55,17,0,4,0.584,0,0.996,19,64.5,0.0,5,0,4.8,0.625
8.456,49,16,20,48,17,36,12,102,101.007,101,1.138,667.94,58.754,114.922,35.6,62.484,53,12,0,5,0.582,0,1.0,19,60.0,0.0,7,0,6.9,0.619
6.456,46,15,20,45,16,35,10,99,97.352,98,1.138,623.93,56.324,111.503,35.7,60.575,53,12,0,4,0.575,0,0.993,20,56.0,0.0,5,0,5.1,0.618
6.921,50,15,24,49,16,39,10,111,108.886,110,1.138,680.05,62.431,125.164,35.5,67.62,61,12,0,4,0.568,0,0.99,22,60.0,0.0,5,0,4.5,0.615
8.187,65,22,27,62,23,49,13,135,131.177,132,1.134,855.25,76.99,149.742,37.1,82.581,70,18,0,5,0.583,0,0.994,25,79.0,0.0,7,0,5.3,0.626
7.585,62,22,25,60,23,47,13,130,127.294,128,1.135,829.21,74.463,145.327,36.7,79.819,68,18,0,5,0.582,0,0.994,26,76.0,0.0,7,0,5.5,0.624
7.31,92,24,36,87,30,60,27,183,178.697,178,1.146,1210.68,104.003,203.928,33.7,109.814,91,21,0,9,0.584,0,1.004,36,111.5,0.0,10,0,5.6,0.617
5.222,92,24,36,87,30,60,27,182,177.671,177,1.143,1227.73,104.169,202.349,33.9,110.456,90,21,0,9,0.589,0,1.004,36,111.5,0.0,10,1,5.6,0.624
5.602,93,24,36,88,31,60,28,183,178.999,178,1.144,1243.73,104.884,203.559,33.7,110.91,90,21,0,10,0.589,0,1.006,36,113.5,0.0,11,1,6.2,0.623
5.208,88,26,31,83,31,57,26,170,166.061,165,1.144,1151.55,97.875,188.768,34.5,102.762,82,21,0,10,0.593,0,1.006,33,108.5,0.0,10,0,6.1,0.623
7.585,89,24,33,84,30,57,27,173,169.272,168,1.145,1169.57,99.116,192.393,33.9,103.978,84,21,0,9,0.59,0,1.008,34,108.5,0.0,11,0,6.5,0.619
9.086,55,9,25,52,11,34,18,109,107.748,106,1.15,761.01,61.685,121.854,32.1,64.682,54,6,2,5,0.582,2,1.016,18,63.0,1.9,9,1,8.5,0.61
9.62,72,28,23,68,34,51,17,141,136.792,137,1.134,952.36,82.187,155.327,37.2,87.723,69,28,0,6,0.6,0,0.998,25,92.0,0.0,7,1,5.1,0.64
9.481,71,20,30,68,24,50,18,146,143.021,143,1.14,946.34,83.01,163.071,35.0,88.268,75,17,0,7,0.58,0,1.0,25,86.5,0.0,9,0,6.3,0.617
9.585,69,15,33,67,17,48,19,147,145.341,145,1.144,943.34,82.472,165.822,33.1,87.694,78,11,0,6,0.569,0,1.002,27,80.5,0.0,11,0,7.6,0.605
9.481,73,20,30,70,23,50,20,149,146.45,146,1.142,977.36,84.746,166.779,34.2,89.728,76,17,0,6,0.58,0,1.003,27,87.5,0.0,10,0,6.8,0.615
8.959,79,20,32,75,24,52,23,157,154.315,153,1.143,1051.4,89.418,174.822,34.0,93.853,78,17,0,7,0.584,0,1.009,25,94.5,0.0,13,0,8.5,0.613
9.772,70,20,30,67,23,50,17,145,141.693,142,1.14,930.34,82.295,161.862,35.2,87.814,75,17,0,6,0.58,0,0.998,25,84.5,0.0,8,0,5.6,0.618
8.699,63,22,23,59,26,45,14,124,119.861,120,1.135,812.13,71.377,136.164,37.5,75.779,61,22,0,4,0.595,0,0.999,21,78.0,0.0,7,0,5.8,0.631
6.092,66,27,19,62,29,46,16,124,120.523,120,1.134,851.12,73.06,136.042,38.3,76.717,58,22,0,7,0.609,0,1.004,20,84.0,0.0,8,0,6.7,0.639
5.0,45,13,22,44,14,35,9,100,98.243,99,1.137,613.93,56.05,112.547,35.4,60.54,55,11,0,3,0.566,0,0.992,17,53.5,0.0,6,0,6.1,0.612
5.0,45,13,22,44,14,35,9,100,98.243,99,1.137,613.93,56.05,112.547,35.4,60.54,55,11,0,3,0.566,0,0.992,17,53.5,0.0,6,0,6.1,0.612
5.0,40,4,26,40,4,30,10,95,94.57,95,1.145,569.88,51.765,108.756,31.6,55.995,55,0,0,4,0.545,0,0.995,18,44.0,0.0,7,0,7.4,0.589
5.0,42,12,18,41,14,30,11,88,87.254,87,1.14,574.8,50.152,99.178,34.5,53.194,46,10,0,4,0.576,0,1.003,16,51.0,0.0,7,0,8.0,0.611
5.0,39,4,26,40,4,30,10,97,97.228,98,1.148,570.92,52.598,112.46,30.6,57.308,58,0,0,4,0.537,0,0.992,18,43.0,0.0,6,0,6.1,0.585
7.237,54,13,25,52,16,38,14,115,112.617,113,1.14,745.02,64.806,128.805,33.6,70.217,61,12,0,4,0.574,0,0.997,22,64.0,0.0,7,1,6.2,0.621
7.712,53,15,26,51,16,41,10,116,112.77,114,1.137,706.09,64.958,129.579,36.0,70.382,63,12,0,4,0.57,0,0.989,21,63.0,0.0,5,0,4.4,0.617
6.531,38,13,16,35,13,29,6,78,74.301,75,1.13,480.71,43.911,84.723,38.7,47.296,40,12,0,1,0.585,0,0.991,13,45.0,0.0,4,0,5.3,0.631
6.854,38,12,16,35,13,28,7,77,73.519,74,1.133,481.7,43.406,83.806,37.8,46.54,39,12,0,1,0.587,0,0.994,13,45.0,0.0,4,0,5.4,0.629
7.715,40,12,17,37,10,29,8,81,77.73,78,1.134,511.73,45.647,88.431,37.2,48.756,41,6,0,4,0.585,0,0.997,13,47.0,0.0,5,0,6.4,0.625
6.518,41,12,18,38,10,30,8,84,80.614,81,1.134,525.76,47.174,91.846,37.0,50.518,43,6,0,4,0.582,0,0.995,14,48.0,0.0,5,0,6.2,0.624
7.35,42,12,19,39,10,31,8,87,83.498,84,1.134,539.79,48.701,95.261,36.9,52.279,45,6,0,4,0.58,0,0.994,13,49.0,0.0,5,0,6.0,0.622
7.648,45,16,17,41,15,33,8,88,83.614,84,1.129,561.79,50.174,94.846,39.3,53.518,43,12,0,3,0.597,0,0.995,13,54.0,0.0,5,0,6.0,0.637
8.398,46,16,17,42,15,33,9,88,83.938,84,1.128,596.23,51.002,94.79,39.3,54.375,42,12,1,3,0.607,0,0.999,13,55.0,1.2,5,1,6.0,0.647
7.538,32,12,10,29,10,22,7,57,54.211,54,1.126,434.4,34.47,60.784,40.7,36.779,25,6,2,4,0.638,0,1.004,5,39.0,3.7,2,2,3.7,0.681
8.886,37,12,14,34,10,26,8,70,67.072,67,1.129,506.52,41.292,75.654,38.8,44.279,33,6,2,4,0.616,0,1.001,9,44.0,3.0,3,2,4.5,0.661
7.602,36,12,14,33,10,26,7,70,66.749,67,1.13,472.08,40.465,75.71,38.8,43.421,34,6,1,4,0.604,0,0.996,9,43.0,1.5,3,1,4.5,0.648
8.355,36,12,14,33,10,26,7,70,66.749,67,1.13,472.08,40.465,75.71,38.8,43.421,34,6,1,4,0.604,0,0.996,9,43.0,1.5,3,1,4.5,0.648
8.658,36,12,13,33,10,25,8,67,64.189,64,1.129,492.49,39.766,72.239,39.1,42.517,31,6,2,4,0.621,0,1.003,8,43.0,3.1,3,2,4.7,0.664
8.155,37,12,13,34,11,26,8,67,64.08,64,1.127,501.5,40.545,72.113,40.6,43.307,30,6,2,4,0.634,0,1.001,8,46.0,3.1,2,2,3.1,0.677
7.77,36,12,12,33,11,25,8,64,61.196,61,1.126,487.47,39.019,68.698,41.0,41.546,28,6,2,4,0.64,0,1.003,7,45.0,3.3,2,2,3.3,0.681
8.197,38,13,13,35,11,26,9,70,67.291,67,1.13,519.52,41.787,75.737,38.8,44.523,32,6,2,5,0.624,0,1.004,8,46.0,3.0,3,2,4.5,0.665
6.678,39,13,13,36,11,26,10,71,68.618,68,1.132,535.52,42.502,76.947,38.2,44.978,32,6,2,5,0.625,0,1.009,9,47.0,2.9,4,2,5.9,0.661
7.585,37,12,13,34,10,25,9,69,66.291,66,1.132,507.51,40.787,74.737,37.9,43.523,32,6,2,4,0.618,0,1.004,9,44.0,3.0,3,2,4.5,0.659
9.111,37,12,16,34,10,28,6,76,72.192,73,1.131,465.7,42.691,82.597,38.4,46.086,39,6,0,4,0.585,0,0.989,9,44.0,0.0,3,0,4.1,0.631
8.613,36,12,14,33,10,26,7,70,66.654,67,1.128,516.53,40.663,75.608,38.8,43.915,34,6,1,4,0.607,0,0.995,9,43.0,1.5,3,1,4.5,0.655
