pXC50,nF,nCsp,nHet,nTB,Mi,Me,Sv,H.,nCL,nHM,Mv,Mp,nC,X.,AMW,Sp,nX,SCBO,nBM,Si,nAB,nCsp2,RBF,nCsp3,MW,Se,N.,RBN
6.328,3,0,11,0,1.153,1.036,34.889,41.8,0,0,0.634,0.637,21,5.5,8.227,35.029,3,43.0,17,63.417,16,12,0.175,9,452.48,56.974,7.3,10
6.73,3,0,8,0,1.117,1.028,41.825,33.9,0,0,0.709,0.712,31,5.1,8.941,42.012,3,59.5,31,65.922,29,29,0.111,2,527.52,60.669,1.7,7
5.775,6,0,9,0,1.176,1.058,27.325,38.1,0,0,0.651,0.636,17,14.3,9.008,26.705,6,33.0,12,49.396,12,11,0.116,6,378.35,44.443,4.8,5
6.683,3,0,7,0,1.123,1.011,44.997,40.3,0,0,0.672,0.692,33,4.5,8.069,46.392,3,59.5,30,75.247,29,28,0.113,5,540.62,67.767,3.0,8
5.694,3,0,8,0,1.117,1.028,41.825,33.9,0,0,0.709,0.712,31,5.1,8.941,42.012,3,59.5,31,65.922,29,29,0.111,2,527.52,60.669,1.7,7
5.62,6,0,12,0,1.152,1.049,41.91,38.1,1,1,0.665,0.662,27,11.1,9.142,41.728,7,51.0,19,72.546,18,19,0.154,8,575.97,66.065,1.6,10
6.222,6,0,12,0,1.15,1.041,44.963,40.6,1,1,0.652,0.656,29,10.1,8.754,45.25,7,53.0,19,79.377,18,19,0.169,10,604.03,71.832,1.4,12
7.046,3,0,7,0,1.12,1.018,43.164,38.1,0,0,0.685,0.7,32,4.8,8.374,44.08,3,58.5,30,70.543,29,28,0.119,4,527.57,64.109,1.6,8
6.43,6,0,9,0,1.176,1.058,27.325,38.1,0,0,0.651,0.636,17,14.3,9.008,26.705,6,33.0,12,49.396,12,11,0.116,6,378.35,44.443,4.8,5
6.699,6,0,10,0,1.168,1.059,30.9,38.3,1,1,0.657,0.65,19,14.9,9.401,30.534,7,36.0,12,54.882,12,12,0.125,7,441.83,49.76,2.1,6
6.699,9,0,11,0,1.194,1.088,28.981,32.6,0,0,0.674,0.634,18,20.9,10.031,27.273,9,36.0,12,51.332,12,12,0.114,6,431.33,46.763,2.3,5
6.398,6,0,9,0,1.169,1.052,30.072,40.4,0,0,0.64,0.631,19,12.8,8.668,29.677,6,35.0,12,54.938,12,12,0.125,7,407.39,49.436,2.1,6
7.222,9,0,13,0,1.179,1.072,36.77,34.5,0,0,0.669,0.641,23,16.4,9.572,35.256,9,46.5,17,64.87,17,15,0.105,8,526.44,58.959,3.6,6
4.447,6,0,10,0,1.166,1.047,33.841,42.6,0,0,0.627,0.623,21,11.1,8.36,33.654,6,38.0,12,62.978,12,12,0.164,9,451.45,56.53,1.9,9
5.658,6,0,10,0,1.166,1.056,31.787,38.8,0,0,0.649,0.635,20,12.2,8.886,31.131,6,38.0,13,57.147,12,13,0.14,7,435.4,51.763,2.0,7
7.189,6,0,10,0,1.165,1.041,35.147,42.9,0,0,0.628,0.629,22,10.7,8.259,35.205,6,40.0,13,65.266,12,13,0.105,9,462.48,58.305,3.6,6
6.796,6,0,11,0,1.176,1.076,26.813,33.3,1,2,0.688,0.678,15,17.9,10.739,26.449,7,32.5,11,45.845,11,9,0.125,6,418.82,41.96,5.1,5
7.35,12,0,16,0,1.198,1.1,37.92,29.1,0,0,0.689,0.638,23,21.8,10.553,35.069,12,49.5,17,65.889,17,15,0.105,8,580.41,60.497,3.6,6
7.398,6,0,12,0,1.16,1.061,35.749,34.6,2,2,0.687,0.681,22,15.4,10.141,35.398,8,44.5,17,60.324,17,15,0.111,7,527.32,55.185,3.8,6
6.443,6,0,11,0,1.165,1.042,37.389,43.3,0,0,0.623,0.624,23,10.0,8.208,37.421,6,42.0,13,69.891,12,13,0.148,10,492.51,62.516,3.3,9
6.699,6,0,12,0,1.152,1.049,41.91,38.1,1,1,0.665,0.662,27,11.1,9.142,41.728,7,51.0,19,72.546,18,19,0.154,8,575.97,66.065,1.6,10
4.809,6,0,10,0,1.169,1.051,32.094,40.0,0,0,0.642,0.634,20,12.0,8.688,31.682,6,38.0,13,58.436,12,13,0.118,7,434.42,52.538,4.0,6
7.339,6,0,11,0,1.162,1.052,35.668,40.0,1,1,0.649,0.646,22,12.7,9.053,35.512,7,41.0,13,63.922,12,13,0.143,9,497.9,57.854,1.8,8
4.86,6,0,10,0,1.168,1.063,30.26,37.0,0,0,0.658,0.638,19,13.0,9.16,29.37,6,37.0,13,53.732,12,13,0.128,6,421.37,48.88,2.2,6
4.222,6,0,11,0,1.166,1.056,34.029,39.6,0,0,0.642,0.629,21,11.3,8.782,33.347,6,40.0,13,61.772,12,13,0.167,8,465.43,55.974,1.9,9
6.457,6,0,8,0,1.168,1.046,29.358,41.3,0,0,0.638,0.635,19,13.0,8.508,29.222,6,34.0,12,53.728,12,12,0.128,7,391.39,48.109,2.2,6
6.523,6,0,9,0,1.167,1.046,31.599,42.0,0,0,0.632,0.629,20,12.0,8.428,31.438,6,36.0,12,58.353,12,12,0.137,8,421.42,52.319,2.0,7
6.373,6,0,9,0,1.153,1.035,38.653,41.7,0,0,0.644,0.649,26,10.0,8.292,38.961,6,46.0,18,69.183,18,18,0.145,8,497.52,62.087,1.7,9
7.097,6,0,9,0,1.169,1.059,28.658,37.2,1,1,0.666,0.659,18,16.3,9.577,28.319,7,34.0,12,50.257,12,12,0.114,6,411.8,45.549,2.3,5
5.42,6,0,10,0,1.167,1.046,33.621,41.5,0,0,0.634,0.631,21,11.3,8.461,33.444,6,39.0,13,61.851,12,13,0.111,8,448.45,55.421,3.8,6
7.222,6,0,11,0,1.161,1.055,34.921,36.5,1,1,0.672,0.664,22,13.5,9.478,34.54,7,43.5,17,60.38,17,15,0.111,7,492.88,54.861,3.8,6
7.523,6,0,10,0,1.165,1.051,33.314,40.4,0,0,0.641,0.633,21,11.5,8.643,32.892,6,39.0,13,60.562,12,13,0.132,8,449.43,54.647,1.9,7
6.523,6,0,12,0,1.151,1.045,43.437,39.4,1,1,0.658,0.659,28,10.6,8.939,43.489,7,52.0,19,75.961,18,19,0.162,9,590.0,68.949,1.5,11
5.637,6,0,9,0,1.176,1.058,27.325,38.1,0,0,0.651,0.636,17,14.3,9.008,26.705,6,33.0,12,49.396,12,11,0.116,6,378.35,44.443,4.8,5
8.155,3,0,7,0,1.122,1.014,43.471,39.1,0,0,0.679,0.697,32,4.7,8.228,44.631,3,58.5,30,71.832,29,28,0.118,4,526.59,64.883,3.1,8
4.569,0,0,3,0,1.112,0.995,21.918,42.4,0,0,0.664,0.698,16,0.0,7.585,23.034,0,29.0,14,36.697,12,15,0.0,1,250.32,32.833,6.1,0
7.06,3,0,7,0,1.122,1.014,43.471,39.1,0,0,0.679,0.697,32,4.7,8.228,44.631,3,58.5,30,71.832,29,28,0.118,4,526.59,64.883,3.1,8
5.022,0,0,4,0,1.106,0.998,33.434,42.0,0,0,0.669,0.7,25,0.0,7.669,34.983,0,44.0,21,55.279,18,22,0.057,3,383.47,49.92,2.0,3
4.569,0,0,4,0,1.107,0.996,34.961,43.4,0,0,0.66,0.693,26,0.0,7.5,36.745,0,45.0,21,58.694,18,22,0.071,4,397.5,52.803,1.9,4
4.824,0,0,4,0,1.107,0.996,34.961,43.4,0,0,0.66,0.693,26,0.0,7.5,36.745,0,45.0,21,58.694,18,22,0.071,4,397.5,52.803,1.9,4
4.886,0,0,5,0,1.112,1.018,22.821,36.4,0,0,0.692,0.702,16,0.0,8.494,23.182,0,33.0,16,36.701,12,15,0.029,1,280.3,33.604,6.1,1
4.959,0,0,3,0,1.107,1.002,21.612,40.6,0,0,0.675,0.703,16,0.0,7.853,22.483,0,29.0,14,35.408,12,15,0.0,1,251.3,32.058,3.1,0
5.0,0,0,3,0,1.109,0.998,23.139,42.9,0,0,0.661,0.693,17,0.0,7.581,24.245,0,30.0,14,38.824,12,15,0.027,2,265.33,34.942,2.9,1
4.585,0,0,4,0,1.106,1.011,23.327,38.2,0,0,0.686,0.704,17,0.0,8.215,23.938,0,32.0,15,37.618,12,16,0.028,1,279.31,34.385,2.9,1
5.125,0,0,3,0,1.106,0.998,24.139,41.7,0,0,0.671,0.701,18,0.0,7.704,25.245,0,32.0,15,39.824,12,16,0.026,2,277.34,35.942,2.8,1
5.569,6,0,10,0,1.171,1.085,26.68,28.9,0,0,0.702,0.66,17,15.8,10.297,25.085,6,36.0,13,44.486,12,13,0.025,4,391.29,41.229,2.6,1
6.585,6,0,9,0,1.165,1.062,29.019,34.9,0,0,0.675,0.655,19,14.0,9.38,28.154,6,37.0,13,50.107,12,13,0.022,6,403.35,45.669,2.3,1
6.114,6,0,9,0,1.163,1.068,28.492,31.7,0,0,0.695,0.668,19,14.6,9.789,27.392,6,38.0,14,47.692,12,15,0.023,4,401.33,43.785,2.4,1
5.0,0,0,2,0,1.103,0.991,20.897,41.9,0,0,0.674,0.711,16,0.0,7.59,22.029,0,28.0,14,34.199,12,15,0.0,1,235.3,30.731,3.2,0
5.0,0,0,2,0,1.106,0.989,22.424,44.1,0,0,0.66,0.7,17,0.0,7.333,23.79,0,29.0,14,37.614,12,15,0.0,2,249.33,33.614,2.9,0
4.523,0,0,2,0,1.109,0.986,23.951,45.9,0,0,0.647,0.691,18,0.0,7.118,25.551,0,30.0,14,41.029,12,15,0.026,3,263.36,36.498,2.7,1
5.0,0,0,2,0,1.116,0.98,30.058,51.0,0,0,0.613,0.665,22,0.0,6.52,32.597,0,34.0,14,54.69,12,15,0.098,7,319.48,48.032,2.0,5
4.523,0,0,2,0,1.122,0.975,39.219,55.2,0,0,0.585,0.644,28,0.0,6.025,43.165,0,40.0,14,75.181,12,15,0.159,13,403.66,65.334,1.5,11
5.0,0,0,2,0,1.111,0.985,25.477,47.5,0,0,0.637,0.683,19,0.0,6.935,27.313,0,31.0,14,44.445,12,15,0.024,4,277.39,39.382,2.5,1
5.0,0,0,2,0,1.113,0.983,27.004,48.8,0,0,0.628,0.676,20,0.0,6.777,29.074,0,32.0,14,47.86,12,15,0.022,5,291.42,42.265,2.3,1
4.523,0,0,4,0,1.106,0.998,33.434,42.0,0,0,0.669,0.7,25,0.0,7.669,34.983,0,44.0,21,55.279,18,22,0.057,3,383.47,49.92,2.0,3
5.905,3,0,8,0,1.117,1.028,41.825,33.9,0,0,0.709,0.712,31,5.1,8.941,42.012,3,59.5,31,65.922,29,29,0.111,2,527.52,60.669,1.7,7
6.265,3,0,8,0,1.118,1.025,43.352,35.5,0,0,0.699,0.706,32,4.8,8.735,43.773,3,60.5,31,69.337,29,29,0.121,3,541.55,63.552,1.6,8
4.423,0,0,5,0,1.13,1.044,15.208,41.7,0,0,0.634,0.628,9,0.0,8.258,15.079,0,18.0,7,27.123,6,7,0.125,2,198.19,25.055,0.0,3
6.573,0,0,4,0,1.106,0.99,42.321,43.8,0,0,0.661,0.7,32,0.0,7.385,44.819,0,55.5,30,70.813,29,28,0.118,4,472.62,63.345,3.1,8
6.155,1,0,6,0,1.109,1.007,41.365,38.3,0,0,0.689,0.711,31,1.7,8.176,42.688,1,57.5,31,66.532,29,29,0.125,2,490.56,60.418,3.3,8
5.783,0,0,5,0,1.103,0.998,40.982,40.0,0,0,0.683,0.713,31,0.0,7.876,42.75,0,56.5,31,66.192,29,29,0.125,2,472.57,59.905,3.3,8
7.108,3,0,8,0,1.123,1.016,46.712,39.1,0,0,0.677,0.693,34,4.3,8.241,47.847,3,62.5,31,77.457,29,29,0.11,5,568.63,70.094,2.9,8
7.409,0,0,6,0,1.102,1.004,41.809,38.3,1,1,0.697,0.727,31,1.7,8.45,43.608,1,57.5,31,66.136,29,29,0.125,2,507.01,60.229,3.3,8
7.453,0,0,5,0,1.104,0.996,41.621,41.0,1,1,0.682,0.72,31,1.6,8.082,43.915,1,55.5,30,67.342,29,28,0.123,3,493.03,60.785,3.3,8
6.851,3,0,8,0,1.121,1.021,43.659,36.5,0,0,0.693,0.704,32,4.8,8.58,44.324,3,60.5,31,70.626,29,29,0.119,3,540.57,64.327,3.2,8
5.896,3,0,9,0,1.122,1.026,44.373,35.9,0,0,0.693,0.7,32,4.7,8.696,44.779,3,61.5,31,71.836,29,29,0.132,3,556.57,65.654,3.1,9
5.0,3,0,8,0,1.119,1.021,44.659,35.9,0,0,0.698,0.708,33,4.7,8.634,45.324,3,62.5,32,71.626,29,31,0.118,2,552.58,65.327,3.1,8
6.649,3,0,8,0,1.12,1.024,42.132,35.0,0,0,0.702,0.709,31,5.0,8.776,42.563,3,59.5,31,67.211,29,29,0.109,2,526.54,61.443,3.3,7
5.398,3,0,9,0,1.122,1.026,44.373,35.9,0,0,0.693,0.7,32,4.7,8.696,44.779,3,61.5,31,71.836,29,29,0.118,3,556.57,65.654,3.1,8
6.5,3,0,8,0,1.124,1.017,43.965,37.5,0,0,0.687,0.701,32,4.7,8.431,44.875,3,60.5,31,71.915,29,29,0.118,3,539.59,65.101,4.7,8
6.1,3,0,7,0,1.122,1.014,43.471,39.1,0,0,0.679,0.697,32,4.7,8.228,44.631,3,58.5,30,71.832,29,28,0.118,4,526.59,64.883,3.1,8
6.114,3,0,6,0,1.119,1.014,39.702,36.8,0,0,0.697,0.713,30,5.3,8.465,40.654,3,55.5,30,63.792,29,28,0.098,2,482.53,57.789,3.5,6
5.638,3,0,7,0,1.122,1.016,41.944,37.7,0,0,0.688,0.703,31,4.9,8.403,42.87,3,57.5,30,68.417,29,28,0.108,3,512.56,62.0,3.3,7
5.0,3,0,9,0,1.133,1.03,37.626,36.4,0,0,0.684,0.687,26,5.5,8.718,37.807,3,51.5,25,62.294,23,23,0.121,3,479.49,56.661,5.5,7
7.538,3,0,8,0,1.121,1.021,43.659,36.5,0,0,0.693,0.704,32,4.8,8.58,44.324,3,60.5,31,70.626,29,29,0.119,3,540.57,64.327,3.2,8
7.357,3,0,7,0,1.122,1.016,41.944,37.7,0,0,0.688,0.703,31,4.9,8.403,42.87,3,57.5,30,68.417,29,28,0.108,3,512.56,62.0,3.3,7
6.09,3,0,8,0,1.124,1.019,44.185,38.5,0,0,0.68,0.694,32,4.6,8.348,45.086,3,59.5,30,73.042,29,28,0.116,4,542.59,66.21,3.1,8
6.456,0,0,7,0,1.116,0.999,41.464,46.2,0,1,0.638,0.679,28,0.0,7.549,44.137,0,52.0,25,72.567,22,21,0.132,7,490.67,64.96,3.1,9
8.0,6,0,11,0,1.168,1.071,28.921,34.9,0,1,0.673,0.657,17,14.0,9.94,28.256,6,37.0,14,50.237,12,12,0.114,5,427.4,46.072,2.3,5
7.699,3,0,10,0,1.136,1.037,35.367,39.6,1,2,0.667,0.685,22,7.5,9.207,36.279,4,43.0,17,60.201,16,14,0.182,8,487.96,54.952,1.9,10
6.721,0,0,7,0,1.114,1.001,40.937,44.4,0,1,0.65,0.688,28,0.0,7.756,43.375,0,53.0,25,70.152,22,21,0.09,7,488.65,63.076,3.2,6
6.638,0,0,5,0,1.107,0.991,41.508,44.4,0,1,0.659,0.706,30,0.0,7.63,44.466,0,53.5,28,69.733,27,24,0.104,6,480.67,62.421,3.2,7
5.745,0,0,5,0,1.114,0.996,37.509,44.8,0,0,0.647,0.681,27,0.0,7.354,39.512,0,48.0,24,64.607,22,22,0.098,5,426.55,57.789,3.4,6
6.377,0,0,7,0,1.115,1.001,39.937,45.2,0,1,0.644,0.683,27,0.0,7.688,42.375,0,51.0,25,69.152,22,21,0.123,6,476.64,62.076,3.2,8
6.658,0,0,7,0,1.114,1.003,38.411,44.1,0,1,0.651,0.688,26,0.0,7.841,40.614,0,50.0,25,65.737,22,21,0.113,5,462.61,59.192,3.4,7
6.42,0,0,4,0,1.12,0.994,31.487,49.0,0,0,0.617,0.657,22,0.0,6.892,33.506,0,37.0,17,57.109,16,15,0.113,7,351.48,50.687,2.0,6
6.377,0,0,5,0,1.12,1.003,30.675,46.9,0,0,0.626,0.657,21,0.0,7.213,32.199,0,37.0,17,54.903,16,15,0.118,6,353.45,49.131,2.0,6
6.444,0,0,5,0,1.116,0.993,40.562,46.9,0,0,0.634,0.672,29,0.0,7.103,43.034,0,50.0,24,71.438,22,22,0.119,7,454.61,63.556,3.1,8
5.252,0,0,4,0,1.121,0.993,28.74,47.8,0,0,0.625,0.664,20,0.0,7.01,30.534,0,35.0,17,51.567,16,15,0.083,5,322.44,45.694,4.3,4
5.31,0,0,5,0,1.118,1.0,31.455,44.9,0,0,0.642,0.673,22,0.0,7.397,32.989,0,40.0,19,54.777,16,18,0.098,4,362.46,49.022,4.1,5
6.31,0,0,5,0,1.122,0.996,33.509,48.1,0,0,0.621,0.658,23,0.0,7.009,35.512,0,40.0,18,60.607,16,16,0.107,7,378.51,53.789,3.7,6
5.75,0,0,5,0,1.115,0.995,39.036,45.9,0,0,0.64,0.677,28,0.0,7.223,41.273,0,49.0,24,68.022,22,22,0.109,6,440.58,60.672,3.3,7
6.523,0,1,4,1,1.114,0.996,29.214,44.4,0,0,0.649,0.684,21,0.0,7.387,30.773,0,38.0,18,50.152,16,15,0.085,5,332.43,44.811,4.4,4
5.75,0,0,4,0,1.103,0.993,39.267,41.4,0,0,0.677,0.712,30,0.0,7.665,41.296,0,54.0,30,63.983,28,28,0.097,2,444.56,57.578,3.4,6
4.5,3,0,8,0,1.142,1.047,25.717,36.8,0,1,0.677,0.682,16,7.9,9.405,25.921,3,34.0,15,43.387,12,13,0.128,3,357.38,39.767,2.6,5
5.5,6,0,11,0,1.153,1.059,34.447,34.0,0,1,0.689,0.68,22,12.0,9.789,34.017,6,46.0,20,57.652,18,18,0.115,4,489.47,52.956,2.0,6
4.5,6,0,11,0,1.171,1.08,27.394,32.5,0,1,0.685,0.662,16,15.0,10.334,26.495,6,36.0,14,46.822,12,12,0.122,4,413.37,43.189,2.5,5
5.8,6,0,11,0,1.168,1.071,28.921,34.9,0,1,0.673,0.657,17,14.0,9.94,28.256,6,37.0,14,50.237,12,12,0.114,5,427.4,46.072,2.3,5
5.6,6,0,11,0,1.165,1.058,31.974,38.8,0,1,0.653,0.649,19,12.2,9.295,31.779,6,39.0,14,57.067,12,12,0.14,7,455.46,51.84,2.0,7
7.119,4,0,10,0,1.136,1.046,34.649,32.7,0,1,0.707,0.707,23,8.2,9.724,34.625,4,47.0,20,55.64,18,20,0.096,3,476.48,51.265,4.1,5
6.699,3,0,9,0,1.129,1.031,35.792,36.5,0,1,0.688,0.701,24,5.8,9.087,36.449,3,47.0,20,58.716,18,20,0.091,4,472.52,53.636,3.8,5
7.456,3,0,9,0,1.125,1.041,32.851,31.1,1,2,0.73,0.741,22,8.9,10.287,33.33,4,45.0,20,50.62,18,20,0.083,2,462.9,46.865,4.4,4
5.432,3,0,9,0,1.125,1.041,32.851,31.1,1,2,0.73,0.741,22,8.9,10.287,33.33,4,45.0,20,50.62,18,20,0.083,2,462.9,46.865,4.4,4
8.222,5,0,10,0,1.141,1.057,32.79,28.9,0,1,0.729,0.719,22,11.1,10.321,32.347,5,46.0,20,51.356,18,20,0.083,2,464.44,47.567,4.4,4
6.824,6,0,11,0,1.149,1.068,33.174,26.7,0,1,0.737,0.717,22,13.3,10.721,32.284,6,47.0,20,51.695,18,20,0.083,2,482.43,48.08,4.4,4
5.398,4,0,9,0,1.134,1.04,33.934,33.3,0,1,0.707,0.712,23,8.3,9.593,34.171,4,46.0,20,54.431,18,20,0.078,3,460.48,49.938,4.2,4
5.114,1,0,8,0,1.114,1.021,34.326,36.7,1,2,0.701,0.728,23,4.1,9.326,35.671,2,45.0,20,54.565,18,20,0.096,3,456.95,50.051,4.1,5
6.013,4,0,10,0,1.136,1.046,34.649,32.7,0,1,0.707,0.707,23,8.2,9.724,34.625,4,47.0,20,55.64,18,20,0.096,3,476.48,51.265,4.1,5
6.252,3,0,9,0,1.129,1.036,34.265,34.7,0,1,0.699,0.708,23,6.1,9.357,34.688,3,46.0,20,55.301,18,20,0.096,3,458.49,50.752,4.1,5
6.097,5,0,12,0,1.138,1.076,33.806,22.7,1,2,0.768,0.748,22,13.6,11.656,32.898,6,49.0,20,50.094,18,20,0.063,2,512.86,47.334,4.5,3
6.77,3,0,10,0,1.131,1.037,36.507,35.8,0,1,0.689,0.696,24,5.7,9.217,36.904,3,48.0,20,59.925,18,20,0.107,4,488.52,54.963,3.8,6
6.796,3,0,10,0,1.125,1.04,35.291,32.7,0,2,0.72,0.736,23,8.2,10.967,36.04,4,47.0,20,55.142,18,20,0.096,3,537.38,50.982,4.1,5
7.092,4,0,11,0,1.137,1.047,36.89,34.0,0,1,0.696,0.695,24,7.5,9.557,36.841,4,49.0,20,60.265,18,20,0.107,4,506.51,55.476,3.8,6
4.187,0,0,3,0,1.115,0.991,27.719,47.7,0,0,0.63,0.671,20,0.0,6.987,29.529,0,33.0,14,49.069,12,14,0.13,6,307.42,43.592,2.3,6
4.44,0,0,3,0,1.101,0.996,28.665,40.5,0,0,0.683,0.714,22,0.0,7.795,30.006,0,39.0,20,46.239,18,20,0.089,2,327.4,41.825,2.4,4
4.523,0,0,8,0,1.115,1.006,41.652,43.8,0,1,0.651,0.685,28,0.0,7.885,43.83,0,54.0,25,71.361,22,21,0.088,7,504.65,64.403,3.1,6
5.824,1,0,8,0,1.119,1.009,41.321,42.9,0,1,0.656,0.688,28,1.6,8.042,43.313,1,54.0,25,70.492,22,21,0.09,7,506.64,63.589,3.2,6
4.745,0,0,7,0,1.115,0.999,42.464,45.5,0,1,0.643,0.684,29,0.0,7.616,45.137,0,54.0,25,73.567,22,21,0.086,8,502.68,65.96,3.0,6
6.174,0,0,8,0,1.115,1.006,41.652,43.8,0,1,0.651,0.685,28,0.0,7.885,43.83,0,54.0,25,71.361,22,21,0.088,7,504.65,64.403,3.1,6
6.18,0,0,7,0,1.114,1.001,40.937,44.4,0,1,0.65,0.688,28,0.0,7.756,43.375,0,53.0,25,70.152,22,21,0.09,7,488.65,63.076,3.2,6
6.886,0,0,7,0,1.114,1.001,40.937,44.4,0,1,0.65,0.688,28,0.0,7.756,43.375,0,53.0,25,70.152,22,21,0.09,7,488.65,63.076,3.2,6
4.523,0,0,5,0,1.106,0.998,32.401,41.7,0,1,0.675,0.717,23,0.0,8.094,34.421,0,45.0,24,53.072,22,20,0.077,3,388.52,47.887,4.2,4
5.796,0,0,7,0,1.111,1.005,37.884,42.1,0,1,0.665,0.699,26,0.0,8.081,39.852,0,51.0,25,63.321,22,21,0.098,5,460.59,57.309,3.5,6
5.886,0,0,7,0,1.115,0.999,42.464,45.5,0,1,0.643,0.684,29,0.0,7.616,45.137,0,54.0,25,73.567,22,21,0.114,8,502.68,65.96,3.0,8
4.523,0,0,7,0,1.117,0.996,45.518,47.2,0,1,0.632,0.676,31,0.0,7.371,48.659,0,56.0,25,80.397,22,21,0.132,10,530.74,71.727,2.8,10
4.523,0,0,8,0,1.102,1.006,42.071,39.3,0,2,0.69,0.73,29,0.0,8.667,44.5,0,60.0,32,67.241,28,26,0.091,3,528.69,61.385,3.3,6
6.046,0,0,6,0,1.11,0.996,41.223,44.4,0,1,0.654,0.697,29,0.0,7.693,43.921,0,54.0,25,69.942,22,21,0.074,8,484.66,62.749,3.2,5
4.523,0,0,6,0,1.113,0.994,41.749,46.2,0,1,0.642,0.687,29,0.0,7.487,44.682,0,53.0,25,72.358,22,21,0.087,8,486.68,64.632,3.1,6
4.523,0,0,5,0,1.108,0.996,33.928,43.1,0,1,0.665,0.709,24,0.0,7.893,36.182,0,46.0,24,56.487,22,20,0.073,4,402.55,50.771,3.9,4
4.523,0,0,7,0,1.115,0.999,42.464,45.5,0,1,0.643,0.684,29,0.0,7.616,45.137,0,54.0,25,73.567,22,21,0.114,8,502.68,65.96,3.0,8
4.523,0,0,6,0,1.109,0.993,46.276,45.1,0,1,0.652,0.696,33,0.0,7.56,49.444,0,60.0,30,78.773,28,26,0.132,7,536.74,70.516,2.8,10
5.0,0,0,5,0,1.105,0.991,42.508,43.8,0,1,0.664,0.71,31,0.0,7.698,45.466,0,57.0,30,70.733,28,26,0.101,5,492.68,63.421,3.1,7
5.678,0,0,7,0,1.109,0.998,47.991,43.8,0,1,0.657,0.697,34,0.0,7.736,50.898,0,63.0,31,80.982,28,27,0.09,7,564.75,72.843,2.7,7
5.936,0,0,8,0,1.113,1.006,41.765,42.9,1,2,0.663,0.702,28,1.6,8.303,44.233,1,54.0,25,70.096,22,21,0.09,7,523.09,63.4,3.2,6
6.367,0,0,7,0,1.115,0.999,42.464,45.5,0,1,0.643,0.684,29,0.0,7.616,45.137,0,54.0,25,73.567,22,21,0.086,8,502.68,65.96,3.0,6
6.137,3,0,10,0,1.13,1.023,43.614,40.9,0,1,0.661,0.681,29,4.5,8.434,44.949,3,57.0,25,74.586,22,21,0.086,8,556.65,67.498,3.0,6
5.876,0,0,7,0,1.115,0.999,42.464,45.5,0,1,0.643,0.684,29,0.0,7.616,45.137,0,54.0,25,73.567,22,21,0.086,8,502.68,65.96,3.0,6
6.018,0,0,8,0,1.116,1.004,43.179,44.8,0,1,0.644,0.68,29,0.0,7.741,45.591,0,55.0,25,74.776,22,21,0.099,8,518.68,67.287,3.0,7
6.337,0,1,8,1,1.113,1.005,42.432,42.2,0,1,0.663,0.697,29,0.0,8.026,44.62,0,57.0,26,71.235,22,21,0.088,7,513.66,64.294,4.7,6
6.222,0,0,9,0,1.116,1.009,44.894,43.5,0,1,0.651,0.682,30,0.0,7.923,47.046,0,58.0,26,76.986,22,22,0.11,8,546.69,69.614,2.9,8
5.475,0,0,9,0,1.115,1.011,43.367,42.4,0,1,0.657,0.686,29,0.0,8.071,45.284,0,57.0,26,73.571,22,22,0.1,7,532.66,66.731,3.0,7
4.523,0,0,8,0,1.112,1.001,50.233,44.2,0,1,0.652,0.69,35,0.0,7.724,53.114,0,65.0,31,85.607,28,27,0.11,8,594.78,77.054,2.6,9
6.222,0,0,8,0,1.116,1.004,43.179,44.8,0,1,0.644,0.68,29,0.0,7.741,45.591,0,55.0,25,74.776,22,21,0.099,8,518.68,67.287,3.0,7
6.097,3,0,10,0,1.13,1.023,43.614,40.9,0,1,0.661,0.681,29,4.5,8.434,44.949,3,57.0,25,74.586,22,21,0.086,8,556.65,67.498,3.0,6
7.165,2,0,9,0,1.124,1.017,41.704,41.3,0,1,0.662,0.687,28,3.2,8.327,43.25,2,55.0,25,70.831,22,21,0.09,7,524.63,64.101,3.2,6
6.119,0,0,8,0,1.113,1.006,41.765,42.9,1,2,0.663,0.702,28,1.6,8.303,44.233,1,54.0,25,70.096,22,21,0.09,7,523.09,63.4,3.2,6
6.721,0,0,5,0,1.113,0.995,40.036,45.2,0,0,0.646,0.682,29,0.0,7.3,42.273,0,51.0,24,69.022,22,22,0.076,7,452.59,61.672,3.2,5
6.328,0,0,6,0,1.116,0.998,42.277,45.5,0,0,0.641,0.674,30,0.0,7.312,44.489,0,53.0,24,73.647,22,22,0.086,8,482.62,65.883,3.0,6
6.276,0,0,6,0,1.115,1.0,40.75,44.4,0,0,0.647,0.678,29,0.0,7.438,42.728,0,52.0,24,70.232,22,22,0.075,7,468.59,63.0,3.2,5
6.7,0,0,8,0,1.111,1.004,39.598,43.3,0,2,0.66,0.704,26,0.0,8.245,42.262,0,51.5,24,66.657,21,19,0.094,7,494.68,60.269,3.3,6
6.284,0,0,7,0,1.115,0.999,42.464,45.5,0,1,0.643,0.684,29,0.0,7.616,45.137,0,54.0,25,73.567,22,21,0.1,8,502.68,65.96,3.0,7
5.824,0,0,6,0,1.118,0.996,41.057,45.3,0,0,0.642,0.676,29,0.0,7.306,43.279,0,52.0,24,71.521,22,22,0.074,7,467.61,63.774,4.7,5
6.45,3,0,7,0,1.118,1.011,47.997,38.6,0,0,0.686,0.706,36,4.3,8.238,49.392,3,66.0,35,78.247,34,32,0.107,4,576.65,70.767,2.9,8
