pXC50,nHet,nCsp3,Sp,nBO,nBT,Si,nAT,nH,nC,Sv,nCsp,MW,SCBO,nTB,Se,nSK,nO,nCsp2,nN
6.194,11,6,37.818,36,60,65.611,58,24,23,37.357,0,468.51,47.0,0,59.534,34,7,17,4
6.77,12,6,38.546,38,60,65.824,58,22,24,38.52,1,495.51,51.0,1,59.938,36,6,17,5
7.005,11,6,39.818,38,62,67.611,60,24,25,39.357,2,492.53,51.0,1,61.534,36,7,17,4
7.155,10,8,43.438,39,68,74.521,66,29,27,42.003,2,503.61,52.5,1,66.749,37,5,17,5
7.0,11,6,39.301,38,61,66.741,59,23,25,39.026,2,494.52,51.0,1,60.72,36,6,17,4
7.745,12,8,45.347,42,71,77.94,69,29,28,44.432,2,547.62,56.5,1,70.403,40,7,18,5
9.481,14,11,51.779,49,82,89.189,79,33,32,50.915,2,631.7,64.5,1,80.825,46,9,19,5
6.301,10,7,41.125,38,64,69.817,62,26,26,40.169,2,490.56,51.0,1,63.091,36,6,17,4
7.174,11,7,41.58,39,65,71.026,63,26,26,40.884,2,506.56,52.0,1,64.418,37,7,17,4
7.131,11,6,40.222,38,61,66.346,59,23,25,39.47,2,510.97,51.0,1,60.531,36,6,17,4
6.319,10,6,40.125,37,63,68.817,61,26,25,39.169,0,478.55,49.0,0,62.091,35,6,19,4
7.31,12,9,45.108,41,72,79.355,70,31,27,43.959,0,537.63,53.5,0,71.287,39,7,18,5
7.194,10,7,41.676,38,65,71.106,63,27,26,40.476,2,489.58,51.5,1,63.865,36,5,17,5
7.854,12,9,47.108,43,74,81.355,72,31,29,45.959,2,561.65,57.5,1,73.287,41,7,18,5
8.699,14,10,50.779,47,80,88.189,78,33,31,49.915,2,619.69,62.5,1,79.825,45,9,19,5
7.222,12,5,35.494,34,55,59.99,53,21,20,34.797,0,459.53,45.0,0,54.618,32,6,15,5
5.921,11,6,42.983,40,65,70.761,63,25,27,41.997,2,537.01,54.5,1,64.414,38,6,19,4
7.018,10,5,39.767,37,60,65.136,58,23,25,38.755,2,494.97,50.5,1,59.203,35,5,18,4
6.097,8,7,41.426,37,64,69.524,62,27,27,39.96,2,473.57,50.5,1,62.545,35,5,18,3
5.046,10,6,40.977,38,62,67.263,60,24,26,39.975,2,509.98,51.5,1,61.313,36,6,18,3
5.979,10,7,40.739,37,63,68.678,61,26,25,39.502,0,499.99,48.5,0,62.196,35,6,18,3
6.658,9,6,41.017,37,61,65.951,59,24,26,39.458,2,538.43,50.5,1,59.891,35,5,18,3
7.301,9,10,50.461,45,78,83.165,74,33,32,47.761,2,569.16,59.0,1,73.96,41,2,20,6
9.284,15,8,46.517,45,72,78.445,69,27,27,45.584,2,594.69,61.0,1,70.876,42,5,17,8
9.208,16,8,48.182,47,75,81.781,72,28,28,47.519,2,625.7,64.0,1,74.312,44,7,18,7
8.699,14,6,42.54,42,65,70.405,62,23,25,41.815,2,550.63,57.0,1,63.782,39,4,17,8
8.469,14,9,47.824,45,74,80.651,71,29,28,46.396,2,592.72,60.0,1,72.432,42,4,17,8
7.812,17,8,54.608,53,84,91.532,81,31,33,53.98,2,706.77,73.5,1,83.632,50,9,23,6
7.873,14,8,45.932,43,71,78.199,69,28,27,45.003,2,585.67,58.5,1,70.992,41,7,17,5
8.699,15,7,44.756,44,69,75.03,66,25,26,44.057,2,580.66,60.0,1,67.992,41,5,17,8
8.495,14,11,51.216,46,80,88.445,78,34,30,49.583,2,627.76,61.5,1,79.643,44,7,17,5
8.721,14,9,47.693,44,74,81.615,72,30,28,46.529,2,599.7,59.5,1,73.876,42,7,17,5
8.143,14,8,53.455,50,82,89.03,79,32,33,52.056,2,661.77,68.5,1,80.76,47,7,23,5
8.237,14,7,44.301,43,68,73.821,65,25,26,43.342,2,564.66,58.0,1,66.665,40,4,17,8
8.796,11,10,46.347,42,73,80.402,71,31,29,45.133,2,550.64,55.5,1,72.254,40,6,17,4
6.398,11,6,40.369,38,63,68.9,61,25,25,39.664,2,491.55,51.5,1,62.309,36,6,17,5
4.523,13,5,35.648,35,57,62.94,55,22,20,35.433,0,454.5,46.5,0,56.636,33,5,15,8
6.665,11,5,36.608,35,58,63.485,56,23,22,36.137,0,453.5,46.5,0,57.425,33,6,17,5
7.377,12,9,47.108,43,74,81.355,72,31,29,45.959,2,561.65,57.5,1,73.287,41,7,18,5
8.0,11,5,44.369,43,68,72.9,65,25,29,43.664,2,539.59,60.5,1,66.309,40,6,22,5
5.917,10,4,41.557,40,62,66.01,59,22,27,40.535,2,515.99,56.5,1,60.094,37,4,21,5
6.194,11,7,46.892,44,73,78.73,70,29,30,45.717,2,555.64,60.5,1,71.076,41,6,21,5
9.587,15,11,52.477,49,83,91.944,81,34,32,51.825,2,651.71,64.5,1,83.221,47,9,19,5
7.0,12,9,50.142,48,79,84.774,75,31,32,48.934,2,598.69,64.5,1,76.247,44,5,21,6
7.469,14,9,47.017,44,75,82.774,73,31,28,46.389,0,581.64,57.5,0,74.942,42,9,19,5
5.983,14,4,49.818,49,75,79.69,71,26,31,48.673,2,622.72,68.5,1,72.48,45,5,25,8
6.745,13,5,46.023,44,70,75.318,67,26,28,44.872,2,574.67,62.5,1,68.487,41,6,21,6
7.745,12,8,52.87,49,82,88.77,79,33,34,51.486,2,623.72,66.5,1,80.171,46,7,24,5
7.523,12,8,52.87,49,82,88.77,79,33,34,51.486,2,623.72,66.5,1,80.171,46,7,24,5
8.721,14,10,50.779,47,80,88.189,78,33,31,49.915,2,619.69,62.5,1,79.825,45,9,19,5
7.62,15,9,45.903,43,72,79.279,70,29,26,45.049,0,587.67,56.0,0,72.134,41,9,17,5
4.31,10,4,33.29,33,52,56.282,50,19,21,33.282,0,425.43,44.5,0,51.665,31,7,17,3
8.721,15,9,48.955,47,77,85.113,75,30,30,48.772,2,623.65,62.5,1,77.454,45,9,19,5
8.124,19,12,55.557,52,88,97.651,86,36,31,54.795,0,716.8,67.0,0,88.869,50,12,19,6
8.827,14,9,49.017,46,77,84.774,75,31,30,48.389,2,605.66,61.5,1,76.942,44,9,19,5
5.975,10,5,35.602,34,56,60.986,54,22,22,35.116,0,438.48,45.5,0,55.323,32,6,17,4
5.301,13,5,40.324,39,60,65.373,58,21,24,39.792,2,546.4,52.5,1,60.073,37,6,17,5
9.456,15,12,54.239,50,86,95.359,84,36,33,53.352,2,665.74,65.5,1,86.105,48,9,19,5
5.658,11,5,36.608,35,58,63.485,56,23,22,36.137,0,453.5,46.5,0,57.425,33,6,17,5
7.301,12,8,45.347,42,71,77.94,69,29,28,44.432,2,547.62,56.5,1,70.403,40,7,18,5
7.638,15,10,48.716,46,78,86.529,76,32,29,48.299,0,613.66,59.5,0,78.338,44,9,19,5
8.086,14,11,50.54,46,81,89.604,79,35,30,49.442,0,609.7,59.5,0,80.709,44,9,19,5
8.066,14,10,50.779,47,80,88.189,78,33,31,49.915,2,619.69,62.5,1,79.825,45,9,19,5
5.886,11,4,34.847,34,55,60.07,53,21,21,34.61,0,439.47,45.5,0,54.542,32,6,17,5
8.337,14,10,48.779,45,78,86.189,76,33,29,47.915,0,595.67,58.5,0,77.825,43,9,19,5
6.824,11,5,37.159,35,59,64.774,57,24,22,36.444,0,452.52,46.5,0,58.2,33,5,17,6
6.585,10,6,38.557,35,59,64.112,57,24,23,37.115,0,468.58,46.5,0,57.956,33,5,17,4
6.721,12,4,36.256,35,56,61.302,54,21,21,35.744,0,472.93,46.5,0,55.64,33,5,17,6
8.959,15,11,52.477,49,83,91.944,81,34,32,51.825,2,651.71,64.5,1,83.221,47,9,19,5
6.0,11,5,38.608,37,60,65.485,58,23,24,38.137,2,477.52,50.5,1,59.425,35,6,17,5
7.009,12,4,36.256,35,56,61.302,54,21,21,35.744,0,472.93,46.5,0,55.64,33,5,17,6
5.398,12,4,35.705,35,55,60.014,53,20,21,35.438,0,473.91,46.5,0,54.865,33,6,17,5
5.631,12,6,35.852,35,57,62.568,55,22,21,35.632,0,454.49,46.0,0,56.643,33,6,15,6
6.563,10,6,37.364,35,59,64.402,57,24,23,36.642,0,452.51,46.0,0,58.207,33,6,17,4
6.31,13,6,35.949,35,56,61.199,54,21,20,35.512,0,475.53,46.0,0,55.945,33,7,14,5
8.432,31,21,84.517,79,136,152.767,134,57,46,84.034,0,1104.19,100.0,0,139.072,77,21,25,9
5.759,13,8,39.472,37,62,68.029,60,25,22,38.566,0,503.59,48.0,0,61.713,35,7,14,5
5.921,12,7,38.466,36,60,65.531,58,24,22,37.544,0,488.57,47.0,0,59.611,34,7,15,4
5.474,12,8,40.227,37,63,68.946,61,26,23,39.071,0,502.6,48.0,0,62.494,35,7,15,4
4.606,11,5,34.489,33,53,57.491,51,20,20,33.776,0,444.51,44.0,0,52.516,31,6,15,4
6.237,11,7,38.011,35,59,64.322,57,24,22,36.829,0,472.57,46.0,0,58.283,33,6,15,4
5.775,11,6,39.011,36,60,65.322,58,24,23,37.829,0,484.58,48.0,0,59.283,34,6,17,4
6.119,12,7,37.256,35,58,63.405,56,23,21,36.324,0,473.56,46.0,0,57.502,33,6,14,5
6.004,9,7,42.284,38,64,69.468,62,26,27,40.787,2,508.01,51.5,1,62.869,36,5,18,3
8.699,14,11,50.909,49,81,87.225,77,32,31,49.782,2,612.71,65.0,1,78.381,45,6,18,8
6.377,13,7,37.71,36,59,64.614,57,23,21,37.039,0,489.56,47.0,0,58.829,34,7,14,5
8.046,11,7,41.063,39,64,70.157,62,25,26,40.552,2,508.55,52.5,1,63.603,37,6,17,4
5.866,12,6,36.705,35,57,62.116,55,22,21,36.017,0,474.54,46.0,0,56.727,33,7,15,4
6.119,11,6,39.369,37,62,67.9,60,25,24,38.664,0,479.54,49.0,0,61.309,35,6,18,5
6.77,8,5,43.216,40,66,70.398,63,26,29,41.74,2,494.59,55.5,1,63.436,37,4,22,4
5.74,6,3,37.784,35,57,60.149,54,22,26,36.256,2,422.52,49.5,1,54.014,32,2,21,4
5.412,13,7,32.091,32,51,55.551,49,19,17,31.856,0,442.35,40.0,0,51.404,30,10,10,2
6.796,12,7,38.307,37,61,67.24,59,24,23,38.047,0,485.52,48.0,0,60.822,35,6,16,5
6.194,7,2,29.506,28,45,48.402,43,17,19,28.697,2,347.41,39.5,1,43.465,26,2,15,5
6.357,11,6,38.25,36,58,62.906,56,22,23,37.303,2,482.56,49.0,1,57.4,34,6,15,4
5.959,12,6,37.239,37,59,65.081,57,22,23,37.409,0,488.49,48.5,0,59.232,35,6,17,4
5.971,12,6,38.256,36,59,64.405,57,23,22,37.324,0,485.57,48.0,0,58.502,34,6,16,5
9.222,14,8,46.063,44,71,77.236,68,27,27,44.869,2,578.69,59.0,1,69.549,41,4,17,8
5.77,12,6,39.239,39,61,67.081,59,22,25,39.409,2,512.51,52.5,1,61.232,37,6,17,4
6.658,10,5,45.125,43,69,73.817,66,26,30,44.169,2,538.6,59.0,1,67.091,40,6,23,4
7.237,11,5,37.54,37,58,63.326,56,21,24,37.499,2,480.49,50.0,1,57.836,35,6,17,4
6.022,12,6,37.239,37,59,65.081,57,22,23,37.409,0,488.49,48.5,0,59.232,35,6,17,4
7.695,11,5,38.608,37,60,65.485,58,23,24,38.137,2,477.52,50.5,1,59.425,35,6,17,5
6.26,11,4,35.398,34,56,61.358,54,22,21,34.917,0,438.49,45.5,0,55.316,32,5,17,6
6.26,12,7,37.949,36,59,64.661,57,23,22,37.213,0,490.56,47.0,0,58.796,34,6,15,4
6.208,10,6,45.228,42,70,75.395,67,28,29,43.782,2,524.63,58.5,1,67.64,39,4,21,6
5.951,10,5,38.364,36,60,65.402,58,24,24,37.642,0,464.52,48.5,0,59.207,34,6,19,4
6.032,12,7,37.949,36,59,64.661,57,23,22,37.213,0,490.56,47.0,0,58.796,34,6,15,4
7.77,14,10,48.779,45,78,86.189,76,33,29,47.915,0,595.67,58.5,0,77.825,43,9,19,5
6.638,12,7,37.256,35,58,63.405,56,23,21,36.324,0,473.56,46.0,0,57.502,33,6,14,5
5.148,12,5,33.733,33,52,56.574,50,19,19,33.271,0,445.5,44.0,0,51.734,31,6,14,5
6.638,12,6,37.494,36,57,61.99,55,21,22,36.797,2,483.55,49.0,1,56.618,34,6,14,5
4.509,11,5,40.67,39,61,66.057,59,22,26,40.163,2,523.96,53.5,1,60.756,37,7,19,3
5.102,8,6,39.665,36,61,66.109,59,25,26,38.433,2,459.54,49.5,1,59.662,34,5,18,3
4.018,7,5,32.688,30,51,55.069,49,21,21,31.665,2,379.45,40.5,1,49.567,28,4,14,3
7.398,10,6,39.364,37,61,66.402,59,24,25,38.642,2,476.53,50.0,1,60.207,35,6,17,4
6.824,11,7,38.369,36,61,66.9,59,25,23,37.664,0,467.53,47.0,0,60.309,34,6,16,5
9.108,14,12,53.54,50,85,92.604,82,35,33,52.442,2,645.73,65.5,1,83.709,47,9,19,5
6.027,13,7,36.5,35,57,62.488,55,22,20,35.819,0,474.55,46.0,0,56.72,33,6,13,6
5.987,12,7,38.466,36,60,65.531,58,24,22,37.544,0,488.57,47.0,0,59.611,34,7,15,4
6.42,10,4,41.943,41,63,67.149,60,22,28,41.202,3,506.56,59.5,2,60.989,38,4,21,6
9.0,18,12,59.767,56,93,103.137,91,37,36,59.136,2,770.23,73.5,1,93.967,54,11,22,5
8.854,11,9,44.585,41,70,76.987,68,29,28,43.606,2,536.61,54.5,1,69.371,39,6,17,4
6.678,10,7,39.125,36,62,67.817,60,26,24,38.169,0,466.54,47.0,0,61.091,34,6,17,4
7.886,13,6,43.296,42,66,71.322,63,24,26,42.321,2,549.64,57.0,1,64.563,39,4,18,7
5.511,12,6,37.494,36,57,61.99,55,21,22,36.797,1,483.55,49.0,1,56.618,34,6,15,5
5.215,11,5,39.369,37,62,67.9,60,25,24,38.664,0,479.54,49.5,0,61.309,35,6,19,5
6.658,13,7,37.193,36,58,63.744,56,22,21,36.707,0,491.55,47.0,0,58.014,34,6,14,5
7.252,10,5,40.398,39,63,67.821,60,24,26,39.617,0,489.55,53.5,0,61.167,36,4,21,5
6.377,12,6,35.494,34,55,59.99,53,21,20,34.797,0,459.53,45.0,0,54.618,32,6,14,5
5.971,13,7,37.886,37,59,65.001,57,22,22,37.596,0,508.55,48.0,0,59.309,35,6,15,4
7.319,11,5,39.705,38,60,65.476,58,22,25,39.138,2,512.96,51.5,1,59.716,36,5,18,4
9.108,14,9,48.79,47,76,81.232,72,29,29,47.42,2,603.72,64.0,1,73.472,43,6,18,7
8.62,15,10,58.739,55,91,97.813,87,36,36,56.936,2,712.85,74.5,1,88.56,51,8,24,6
8.585,14,12,53.222,50,85,91.929,81,35,32,51.615,2,625.76,66.0,1,82.04,46,5,18,9
8.959,12,10,48.108,45,76,82.355,73,31,30,46.959,2,573.66,59.5,1,74.287,42,7,18,5
8.658,14,10,49.699,48,79,85.099,75,31,30,48.561,2,597.7,64.0,1,76.272,44,5,18,9
8.77,14,9,47.387,47,75,80.395,71,28,29,46.728,2,584.65,63.0,1,72.614,43,6,18,8
4.316,14,5,29.574,31,47,51.219,45,16,15,29.824,0,429.31,40.0,0,47.738,29,10,10,3
9.699,16,11,53.37,52,85,91.933,81,33,32,52.518,2,655.74,69.0,1,82.811,48,7,19,9
4.0,6,2,26.142,25,38,40.223,36,13,17,25.262,2,324.79,35.5,1,36.476,23,1,13,4
6.114,6,3,30.262,28,46,49.318,44,18,20,29.203,2,346.42,39.5,1,44.247,26,2,15,4
4.959,6,2,27.756,26,39,41.084,37,13,18,26.595,2,358.24,36.5,1,37.582,24,1,14,3
5.886,6,2,28.29,27,42,44.777,40,15,19,27.456,3,329.39,39.5,2,40.254,25,1,14,5
8.357,12,5,44.307,44,68,73.24,65,24,29,44.047,2,557.58,61.5,1,66.822,41,6,22,5
6.208,8,2,28.199,28,43,46.196,41,15,18,27.885,2,349.38,40.5,1,41.909,26,3,14,5
4.64,6,5,33.784,30,52,56.149,50,22,22,32.256,2,374.48,41.5,1,50.014,28,2,15,4
5.836,7,4,38.432,35,57,60.069,54,22,25,36.443,2,442.58,49.0,1,54.091,32,2,19,4
6.959,9,4,40.699,39,62,66.066,59,23,27,39.707,2,481.55,55.5,1,59.771,36,4,21,5
6.347,7,4,38.79,36,59,62.647,56,23,26,37.278,2,437.54,50.5,1,56.116,33,2,20,5
5.62,5,3,29.256,27,44,46.82,42,17,20,28.181,2,331.4,38.5,1,42.145,25,2,15,3
8.155,9,9,42.676,38,67,73.568,65,29,27,41.176,2,492.6,50.5,1,65.716,36,4,16,4
4.939,6,2,26.983,26,41,44.034,39,15,18,26.345,2,322.37,36.5,1,39.549,24,1,14,4
6.066,8,4,37.676,35,56,59.152,53,21,24,35.938,2,443.57,49.0,1,53.309,32,2,18,5
5.377,6,4,32.023,29,49,52.734,47,20,21,30.73,2,360.45,40.5,1,47.131,27,2,15,4
6.284,8,4,33.932,32,52,56.152,50,20,22,33.159,2,404.46,44.5,1,50.785,30,4,16,4
5.86,7,4,37.239,35,57,60.358,54,22,25,35.971,2,426.51,49.0,1,54.342,32,3,19,4
6.943,8,5,40.489,38,62,66.402,59,24,27,39.188,2,469.56,52.5,1,59.512,35,2,20,5
7.62,11,4,42.608,42,65,69.485,62,23,28,42.137,2,525.56,59.5,1,63.425,39,6,22,5
6.796,9,4,41.909,40,64,68.192,61,24,28,40.928,2,496.56,55.5,1,61.88,37,5,22,4
7.237,8,8,40.978,36,64,69.813,62,28,26,39.266,2,460.58,48.5,1,62.32,34,4,16,4
7.398,10,6,39.364,37,61,66.402,59,24,25,38.642,2,476.53,50.5,1,60.207,35,6,17,4
8.222,9,8,40.915,37,64,70.153,62,27,26,39.65,2,478.57,49.5,1,62.832,35,4,16,4
6.495,9,4,40.699,39,62,66.066,59,23,27,39.707,2,481.55,55.5,1,59.771,36,4,21,5
7.377,8,7,39.216,35,61,66.398,59,26,25,37.74,2,446.55,47.5,1,59.436,33,4,16,4
6.143,6,4,39.546,36,60,63.564,57,24,27,37.783,2,436.55,50.5,1,56.898,33,2,21,4
6.569,8,4,41.455,39,63,66.983,60,24,28,40.213,2,480.56,54.5,1,60.552,36,4,22,4
5.075,11,7,38.011,35,59,64.322,57,24,22,36.829,0,472.57,46.0,0,58.283,33,6,15,4
4.606,11,5,34.489,33,53,57.491,51,20,20,33.776,0,444.51,43.5,0,52.516,31,6,15,4
5.971,10,7,39.125,36,62,67.817,60,26,24,38.169,0,466.54,47.5,0,61.091,34,6,17,4
5.0,12,4,36.852,36,58,63.568,56,22,22,36.632,0,466.5,48.5,0,57.643,34,6,18,6
4.877,12,7,38.466,36,60,65.531,58,24,22,37.544,0,488.57,47.0,0,59.611,34,7,15,4
5.082,10,5,35.602,34,56,60.986,54,22,22,35.116,0,438.48,45.5,0,55.323,32,6,17,4
5.347,10,5,35.602,34,56,60.986,54,22,22,35.116,0,438.48,45.0,0,55.323,32,6,17,4
5.172,11,5,35.54,35,56,61.326,54,21,22,35.499,0,456.47,46.5,0,55.836,33,6,17,4
5.485,10,5,37.602,37,59,62.986,56,22,24,37.116,0,462.5,50.5,0,57.323,34,6,19,4
4.85,11,6,39.011,36,60,65.322,58,24,23,37.829,0,484.58,48.0,0,59.283,34,6,17,4
5.418,11,6,36.25,34,56,60.906,54,22,21,35.303,0,458.54,45.0,0,55.4,32,6,15,4
5.156,11,5,34.489,33,53,57.491,51,20,20,33.776,0,444.51,44.0,0,52.516,31,6,15,4
4.987,10,4,34.483,33,52,55.993,50,19,21,33.755,0,441.5,44.5,0,51.414,31,6,17,3
5.332,10,5,36.244,34,55,59.408,53,21,22,35.281,0,455.53,45.5,0,54.298,32,6,17,3
6.222,12,6,39.239,39,61,67.081,59,22,25,39.409,2,512.51,52.5,1,61.232,37,6,17,4
5.943,11,6,37.301,36,59,64.741,57,23,23,37.026,0,470.5,47.0,0,58.72,34,6,17,4
6.824,10,7,40.364,39,63,67.402,60,24,26,39.642,2,488.54,52.5,1,61.207,36,6,17,4
5.582,10,6,37.364,35,59,64.402,57,24,23,36.642,0,452.51,46.5,0,58.207,33,6,17,4
5.367,10,6,37.364,35,59,64.402,57,24,23,36.642,0,452.51,46.5,0,58.207,33,6,17,4
5.004,12,7,37.949,36,59,64.661,57,23,22,37.213,0,490.56,47.0,0,58.796,34,6,15,4
6.699,11,5,36.608,35,58,63.485,56,23,22,36.137,0,453.5,46.5,0,57.425,33,6,17,5
7.097,12,6,39.239,39,61,67.081,59,22,25,39.409,2,512.51,52.5,1,61.232,37,6,17,4
4.959,12,4,36.301,36,57,62.279,55,21,22,36.325,0,467.48,48.5,0,56.869,34,7,18,5
6.0,12,6,37.239,37,59,65.081,57,22,23,37.409,0,488.49,48.5,0,59.232,35,6,17,4
6.155,11,6,38.369,36,61,66.9,59,25,23,37.664,0,467.53,47.5,0,60.309,34,6,17,5
7.611,12,5,20.835,22,34,38.226,33,12,9,21.229,0,326.2,26.0,0,35.611,21,8,4,2
9.222,8,5,17.028,18,29,32.459,28,11,9,17.634,0,246.22,21.0,0,29.771,17,5,4,2
5.051,9,7,43.074,38,65,70.444,63,27,27,41.147,2,505.64,51.5,1,63.622,36,5,18,3
7.194,10,5,39.619,37,58,62.582,56,21,25,38.561,2,514.39,50.5,1,57.425,35,5,18,3
6.602,9,6,40.523,37,61,66.053,59,24,26,39.26,2,493.98,50.5,1,59.985,35,5,18,3
6.208,10,6,40.46,38,61,66.393,59,23,26,39.644,2,511.97,51.5,1,60.498,36,5,18,3
5.721,10,7,40.887,37,65,71.232,63,28,25,39.696,0,480.57,48.5,0,63.974,35,6,18,4
6.456,9,6,40.671,37,63,68.607,61,26,26,39.454,2,474.56,50.5,1,61.763,35,5,18,4
5.222,9,7,41.881,38,65,70.734,63,27,27,40.675,2,489.57,51.5,1,63.872,36,6,18,3
7.018,10,6,40.955,38,61,66.29,59,23,26,39.841,2,556.42,51.5,1,60.403,36,5,18,3
7.638,11,5,39.557,38,58,62.922,56,20,25,38.944,2,532.38,51.5,1,57.938,36,5,18,3
5.638,9,6,38.523,35,59,64.053,57,24,24,37.26,0,469.96,46.5,0,57.985,33,5,18,3
5.947,9,6,38.523,35,59,64.053,57,24,24,37.26,0,469.96,46.5,0,57.985,33,5,18,3
6.824,10,6,40.977,38,62,67.263,60,24,26,39.975,2,509.98,51.5,1,61.313,36,6,18,3
4.42,9,5,36.761,34,56,60.638,54,22,23,35.734,0,455.93,45.5,0,55.102,32,5,18,3
5.63,14,8,36.102,35,58,64.01,56,23,19,35.599,0,487.42,43.0,0,58.458,33,9,11,3
5.824,9,6,40.909,38,62,67.192,60,24,27,39.928,3,484.55,53.5,2,60.88,36,5,18,4
6.921,9,6,40.523,37,61,66.053,59,24,26,39.26,2,493.98,50.5,1,59.985,35,5,18,3
7.188,10,6,40.46,38,61,66.393,59,23,26,39.644,2,511.97,51.5,1,60.498,36,5,18,3
6.131,9,7,40.284,36,62,67.468,60,26,25,38.787,0,483.99,47.5,0,60.869,34,5,18,3
5.721,11,5,41.222,39,62,67.346,60,23,26,40.47,2,522.98,53.5,1,61.531,37,6,19,4
6.824,12,6,40.335,40,61,67.072,59,21,26,40.41,2,547.95,53.5,1,61.523,38,5,18,3
