pXC50,MPC05,MPC06,MPC07,N.,Eig01_AEA.ri.,GATS1s,SpMax_AEA.ri.,MPC04,X5,LOC,piPC06,Eig01_EA.ri.,SpDiam_AEA.ed.,SpDiam_EA.ri.,SpMax_EA.ri.,X4A,BAC,CATS2D_03_AL,ZM2Kup,TPC,Wap,Eig02_AEA.dm.,Eig03_AEA.dm.,Eig03_AEA.ed.,Eig03_EA.ed.,GGI4,GGI5,MWC06,MWC07,MWC08,MWC09,MWC10,SM02_EA.dm.,SM02_EA.ed.,SM04_EA.dm.,SM12_AEA.dm.,SpAD_EA.dm.,SRW10,TWC,SM06_EA.ed.,SM07_EA.ed.,SM08_EA.ed.,SM09_EA.ed.,SM10_EA.ed.,SM11_EA.ed.,SM12_EA.ed.,SM13_AEA.ed.,SM13_EA.ed.,SM14_EA.ed.,SM15_AEA.ed.,SM15_EA.ed.,SpMAD_AEA.ed.,X5A,Eig01_EA.dm.,SM06_EA.dm.,SM08_EA.dm.,SM10_EA.dm.,SM12_EA.dm.,SM14_EA.dm.,SpDiam_EA.dm.,SpMax_EA.dm.,piPC07
4.523,4.905,5.088,5.328,14.0,4.356,0.651,4.356,4.615,8.603,0.859,7.109,3.295,6.677,5.295,3.295,0.102,41,3,583.946,8.309,45354.0,3.569,3.256,6.26,9.354,2.33,1.577,8.858,9.775,10.708,11.632,12.567,2.829,7.057,4.569,9.354,8.8,10.625,13.068,16.02,18.322,20.872,23.294,25.808,28.279,30.783,26.486,33.273,35.776,30.373,38.275,1.614,0.064,3.02,6.666,8.85,11.055,13.264,15.474,4.53,3.02,7.695
8.456,4.511,4.615,4.585,4.7,4.375,0.635,4.375,4.263,5.861,1.37,6.086,3.354,6.869,5.354,3.354,0.106,78,11,432.939,6.73,5740.0,3.77,3.47,6.294,9.171,2.298,1.875,8.449,9.362,10.287,11.204,12.13,3.259,6.642,4.501,9.171,16.597,10.235,12.636,15.637,17.936,20.517,22.952,25.492,27.984,30.516,26.004,33.032,35.563,29.873,38.09,1.665,0.065,2.612,6.093,7.853,9.694,11.573,13.472,4.612,2.612,6.377
7.409,4.369,4.419,4.466,2.8,4.583,0.659,4.583,4.263,6.245,1.096,5.794,3.578,7.476,5.578,3.578,0.127,101,13,410.351,7.034,10376.0,3.436,3.209,6.151,9.031,2.027,1.361,8.534,9.406,10.283,11.16,12.039,3.023,6.808,4.455,9.031,13.514,10.337,12.576,16.33,18.921,21.618,24.284,26.976,29.663,32.357,26.992,35.049,37.744,31.095,40.439,1.598,0.08,2.517,6.24,8.078,9.923,11.769,13.615,5.034,2.517,5.961
6.0,4.543,4.663,4.718,5.2,4.348,0.633,4.348,4.304,6.262,1.775,6.08,3.328,6.684,5.328,3.328,0.11,117,10,464.257,7.054,9063.0,3.777,3.507,6.296,9.188,2.458,1.792,8.553,9.437,10.353,11.247,12.165,3.33,6.808,4.524,9.188,18.997,10.334,12.68,15.675,17.95,20.484,22.891,25.397,27.863,30.367,26.027,32.86,35.369,29.861,37.875,1.616,0.067,2.612,6.099,7.855,9.694,11.573,13.472,4.612,2.612,6.436
6.304,4.605,4.7,4.762,3.9,4.348,0.615,4.348,4.382,7.088,2.48,6.085,3.328,7.045,5.328,3.328,0.115,123,11,488.257,7.361,15446.0,3.777,3.484,6.296,9.188,2.538,1.736,8.624,9.496,10.399,11.284,12.193,3.33,6.86,4.524,9.188,18.997,10.382,12.714,15.676,17.95,20.484,22.891,25.397,27.863,30.367,26.027,32.86,35.369,29.861,37.875,1.553,0.072,2.612,6.099,7.855,9.694,11.573,13.472,4.612,2.612,6.442
4.863,4.543,4.663,4.718,5.2,4.348,0.633,4.348,4.304,6.262,1.775,6.08,3.328,6.684,5.328,3.328,0.11,117,10,464.257,7.054,9063.0,3.777,3.507,6.296,9.188,2.458,1.792,8.553,9.437,10.353,11.247,12.165,3.33,6.808,4.524,9.188,18.997,10.334,12.68,15.675,17.95,20.484,22.891,25.397,27.863,30.367,26.027,32.86,35.369,29.861,37.875,1.616,0.067,2.612,6.099,7.855,9.694,11.573,13.472,4.612,2.612,6.436
6.277,4.635,4.804,4.956,3.6,4.207,0.577,4.207,4.331,7.166,1.41,5.883,3.068,6.572,5.068,3.068,0.11,51,7,417.511,7.436,15257.0,3.856,3.599,5.896,8.102,2.234,1.525,8.509,9.401,10.304,11.204,12.109,3.755,6.671,5.713,8.102,20.742,10.211,12.629,15.242,17.401,19.909,22.218,24.672,27.046,29.482,25.562,31.887,34.32,29.344,36.74,1.563,0.07,3.272,7.937,10.243,12.583,14.938,17.301,6.545,3.272,6.215
7.585,5.069,5.298,5.541,3.8,4.723,0.773,4.723,4.718,9.459,0.823,6.76,3.559,8.08,5.559,3.559,0.097,12,5,424.239,8.054,30364.0,3.838,3.239,6.242,9.128,2.258,1.904,8.867,9.824,10.788,11.752,12.719,3.547,7.022,6.181,9.128,12.13,10.663,13.198,16.993,19.677,22.483,25.248,28.045,30.833,33.631,27.598,36.427,39.226,31.783,42.025,1.598,0.06,4.196,8.948,11.739,14.545,17.365,20.195,7.812,4.196,7.285
8.081,4.956,5.1,5.288,2.9,4.282,0.855,4.282,4.673,9.763,0.795,6.56,3.127,6.73,5.127,3.127,0.109,26,12,508.022,8.631,78413.0,3.442,3.245,6.165,9.125,2.453,1.411,8.82,9.722,10.631,11.54,12.454,3.505,6.956,5.818,9.125,15.642,10.571,12.968,15.554,17.758,20.287,22.653,25.145,27.581,30.067,25.847,32.535,35.024,29.649,37.506,1.554,0.069,3.691,8.363,10.925,13.492,16.062,18.636,7.163,3.691,6.965
6.796,4.796,4.984,5.193,3.9,4.298,0.892,4.298,4.489,7.778,1.113,6.448,3.145,6.749,5.145,3.145,0.103,27,7,390.125,7.841,25573.0,3.487,3.238,5.92,8.238,1.991,1.372,8.621,9.543,10.474,11.402,12.335,3.46,6.751,5.815,8.238,13.922,10.377,12.836,15.546,17.788,20.34,22.726,25.232,27.679,30.173,25.852,32.647,35.14,29.683,37.626,1.584,0.065,3.691,8.362,10.925,13.492,16.062,18.636,7.163,3.691,6.902
7.523,4.7,4.883,5.088,4.3,4.282,0.924,4.282,4.394,7.103,1.03,6.362,3.126,6.73,5.126,3.126,0.104,15,7,348.579,7.673,20887.0,3.442,3.237,5.89,8.188,1.68,1.14,8.527,9.444,10.37,11.293,12.222,3.412,6.653,5.812,8.188,12.202,10.279,12.726,15.402,17.643,20.194,22.583,25.09,27.54,30.035,25.706,32.511,35.005,29.536,37.492,1.568,0.065,3.691,8.362,10.925,13.492,16.062,18.636,7.163,3.691,6.823
4.0,4.174,4.174,4.263,8.3,4.156,0.809,4.156,3.989,4.854,0.894,6.018,3.065,6.607,5.065,3.065,0.113,4,9,266.335,6.485,4603.0,2.798,2.053,5.134,5.879,0.693,0.455,8.095,8.984,9.876,10.769,11.663,0.278,6.217,0.05,5.879,0.8,9.807,12.19,14.853,17.045,19.539,21.859,24.299,26.673,29.096,25.171,31.492,33.91,28.957,36.317,1.524,0.076,0.4,0.008,0.001,0.0,0.0,0.0,0.8,0.4,6.443
5.903,4.905,5.094,5.357,3.8,4.317,0.691,4.317,4.585,8.483,0.902,6.249,3.265,6.64,5.265,3.265,0.1,12,5,347.173,8.458,55192.0,3.537,3.057,6.289,9.429,1.991,0.924,8.718,9.652,10.59,11.527,12.466,2.529,6.853,3.862,9.429,7.635,10.513,12.962,15.68,17.904,20.434,22.791,25.266,27.677,30.134,26.009,32.567,35.019,29.826,37.463,1.611,0.063,2.443,5.489,7.209,8.963,10.734,12.512,4.174,2.443,6.686
7.971,4.913,5.056,5.075,2.9,4.402,0.75,4.402,4.673,8.912,1.298,6.596,3.384,7.004,5.384,3.384,0.11,62,9,554.416,8.215,46319.0,3.514,3.185,6.298,9.225,2.706,2.284,8.826,9.732,10.653,11.563,12.487,2.697,6.982,3.31,9.225,11.372,10.575,12.996,15.83,18.113,20.689,23.125,25.667,28.166,30.704,26.172,33.231,35.773,30.032,38.313,1.592,0.066,1.674,4.106,5.002,5.957,6.944,7.949,3.349,1.674,6.905
7.604,4.718,4.875,4.875,3.2,4.402,0.754,4.402,4.5,7.257,1.386,6.169,3.384,7.037,5.384,3.384,0.111,62,9,490.416,7.51,17605.0,3.514,3.184,6.298,9.203,2.262,2.256,8.658,9.563,10.487,11.399,12.327,2.697,6.815,3.31,9.203,11.372,10.384,12.834,15.735,18.043,20.632,23.083,25.634,28.142,30.687,26.086,33.218,35.764,29.964,38.306,1.585,0.065,1.674,4.106,5.002,5.957,6.944,7.949,3.349,1.674,6.433
6.0,3.932,3.892,4.007,7.7,4.007,0.968,4.007,3.829,4.16,0.0,5.221,3.001,6.301,5.001,3.001,0.127,0,0,237.493,6.246,3334.0,3.048,2.361,5.247,6.4,0.347,0.337,7.946,8.788,9.635,10.48,11.33,1.618,6.057,1.617,6.4,4.933,9.624,11.889,14.196,16.268,18.68,20.899,23.253,25.531,27.864,24.468,30.166,32.491,28.166,34.804,1.455,0.083,1.263,1.818,2.125,2.494,2.9,3.33,2.232,1.263,5.602
8.249,4.963,5.153,5.257,2.9,4.422,0.744,4.422,4.71,9.157,1.258,6.572,3.403,7.065,5.403,3.403,0.11,62,11,586.149,8.049,32492.0,3.516,3.209,6.298,9.203,2.654,2.347,8.858,9.767,10.693,11.611,12.542,2.697,7.0,3.31,9.203,11.372,10.582,13.047,15.886,18.187,20.778,23.228,25.783,28.293,30.842,26.22,33.378,35.929,30.094,38.477,1.577,0.064,1.674,4.106,5.002,5.957,6.944,7.949,3.349,1.674,6.935
6.658,4.625,4.804,4.977,2.6,4.226,0.579,4.226,4.344,6.833,0.872,6.445,3.069,6.739,5.069,3.069,0.105,7,6,385.525,7.517,17606.0,3.667,3.335,5.965,8.393,1.603,0.994,8.46,9.37,10.287,11.203,12.122,3.348,6.581,5.289,8.393,11.358,10.144,12.632,15.301,17.504,20.027,22.368,24.838,27.24,29.695,25.608,32.125,34.577,29.411,37.021,1.549,0.068,2.95,7.352,9.459,11.587,13.726,15.874,5.9,2.95,6.926
6.0,3.97,3.932,4.043,8.3,4.011,0.997,4.011,3.829,4.167,0.0,5.299,2.974,6.317,4.974,2.974,0.123,0,0,235.775,6.178,2960.0,2.973,2.361,5.247,6.4,0.577,0.257,7.937,8.789,9.646,10.502,11.36,1.814,6.043,1.944,6.4,5.51,9.616,11.912,14.237,16.312,18.74,20.965,23.33,25.616,27.959,24.494,30.269,32.603,28.199,34.924,1.456,0.08,1.322,2.229,2.604,3.039,3.516,4.019,2.303,1.322,5.687
6.631,4.663,4.796,4.836,2.8,4.422,0.639,4.422,4.431,7.091,2.237,6.083,3.368,7.208,5.368,3.368,0.111,142,5,513.892,7.342,14322.0,3.894,3.485,6.394,9.951,2.756,2.382,8.697,9.582,10.506,11.403,12.33,3.6,6.978,5.539,9.951,21.422,10.485,12.84,16.117,18.468,21.037,23.494,26.034,28.537,31.073,26.593,33.598,36.137,30.502,38.674,1.577,0.068,3.825,8.077,10.738,13.417,16.1,18.783,5.5,3.825,6.361
6.469,4.682,4.883,5.056,2.3,4.227,0.609,4.227,4.394,7.173,1.006,6.525,3.071,6.619,5.071,3.071,0.106,15,8,426.071,7.709,22494.0,3.667,3.337,5.968,8.407,1.834,1.167,8.529,9.438,10.353,11.267,12.185,3.399,6.661,5.294,8.407,13.078,10.22,12.696,15.327,17.52,20.038,22.375,24.844,27.244,29.698,25.629,32.127,34.579,29.424,37.022,1.563,0.067,2.95,7.353,9.459,11.587,13.726,15.874,5.9,2.95,6.992
6.0,3.989,3.951,4.094,7.1,4.009,0.954,4.009,3.892,4.396,0.418,5.242,3.002,6.301,5.002,3.002,0.126,2,0,249.268,6.356,3846.0,3.268,2.361,5.247,6.4,0.347,0.337,8.038,8.888,9.741,10.594,11.449,1.738,6.18,1.755,6.4,5.725,9.733,12.003,14.392,16.459,18.856,21.059,23.397,25.658,27.976,24.703,30.264,32.577,28.39,34.878,1.495,0.083,1.325,2.032,2.443,2.922,3.438,3.975,2.304,1.325,5.631
7.804,4.7,4.828,4.868,1.2,4.422,0.618,4.422,4.477,7.68,2.89,6.104,3.368,7.344,5.368,3.368,0.115,108,5,522.484,7.523,20019.0,3.892,3.48,6.296,9.188,2.596,2.271,8.691,9.577,10.49,11.39,12.311,3.546,6.899,5.531,9.188,19.022,10.445,12.824,16.014,18.373,20.963,23.432,25.986,28.498,31.043,26.505,33.574,36.118,30.431,38.659,1.521,0.07,3.825,8.076,10.737,13.417,16.1,18.783,5.5,3.825,6.387
6.0,4.007,3.892,3.97,6.3,4.006,0.939,4.006,3.932,4.701,0.393,5.182,3.006,6.3,5.006,3.006,0.128,2,0,257.268,6.479,4817.0,3.299,2.361,5.247,6.4,0.507,0.219,8.074,8.914,9.758,10.6,11.444,1.738,6.213,1.755,6.4,5.725,9.761,12.006,14.391,16.458,18.854,21.057,23.393,25.654,27.971,24.702,30.258,32.57,28.389,34.87,1.478,0.087,1.325,2.032,2.443,2.922,3.438,3.975,2.304,1.325,5.521
6.678,4.754,4.844,4.977,2.4,4.49,0.785,4.49,4.554,8.323,0.846,5.929,3.471,7.191,5.471,3.471,0.115,69,4,410.663,8.163,47110.0,3.726,3.502,6.671,10.714,2.268,1.934,8.81,9.687,10.594,11.478,12.388,3.61,7.079,5.994,10.714,14.687,10.586,12.908,16.093,18.428,20.983,23.426,25.952,28.438,30.958,26.676,33.465,35.987,30.6,38.505,1.554,0.072,3.784,8.585,11.207,13.837,16.469,19.103,7.434,3.784,6.21
6.824,4.71,4.927,5.118,2.0,4.227,0.601,4.227,4.431,7.325,1.304,6.539,3.071,6.71,5.071,3.071,0.109,17,10,436.071,7.836,26615.0,3.715,3.342,5.969,8.412,1.834,1.167,8.566,9.473,10.386,11.298,12.215,3.399,6.693,5.294,8.412,13.078,10.251,12.727,15.337,17.526,20.043,22.379,24.847,27.246,29.701,25.636,32.129,34.582,29.429,37.025,1.553,0.067,2.95,7.353,9.459,11.587,13.726,15.874,5.9,2.95,7.011
6.602,4.745,4.883,5.004,2.6,4.49,0.803,4.49,4.585,7.927,0.875,6.113,3.471,6.921,5.471,3.471,0.112,86,9,475.22,8.078,42348.0,3.726,3.502,6.671,10.714,2.303,2.084,8.841,9.726,10.64,11.53,12.445,3.737,7.116,6.015,10.714,19.11,10.61,12.961,16.14,18.467,21.017,23.452,25.973,28.455,30.971,26.713,33.475,35.994,30.631,38.51,1.586,0.07,3.784,8.588,11.208,13.837,16.469,19.103,7.434,3.784,6.369
6.076,4.443,4.605,4.718,2.7,4.49,0.826,4.49,4.277,5.796,2.131,5.74,3.471,7.3,5.471,3.471,0.114,117,3,344.947,7.173,11458.0,3.726,3.502,6.671,10.714,1.975,1.941,8.583,9.465,10.383,11.274,12.196,3.65,6.893,5.997,10.714,16.407,10.357,12.709,16.053,18.407,20.968,23.417,25.946,28.435,30.956,26.654,33.464,35.986,30.588,38.504,1.588,0.069,3.784,8.585,11.207,13.837,16.469,19.103,7.434,3.784,6.032
6.377,4.625,4.727,4.844,2.5,4.49,0.876,4.49,4.466,7.344,0.878,5.875,3.471,7.191,5.471,3.471,0.117,105,5,442.038,7.7,26143.0,3.726,3.502,6.671,10.714,2.286,2.087,8.749,9.62,10.526,11.406,12.316,3.65,7.038,5.997,10.714,16.407,10.515,12.837,16.076,18.418,20.976,23.421,25.948,28.436,30.957,26.667,33.464,35.986,30.595,38.504,1.561,0.073,3.784,8.585,11.207,13.837,16.469,19.103,7.434,3.784,6.146
6.699,4.89,5.024,5.142,2.4,4.49,0.789,4.49,4.663,9.075,0.987,6.235,3.471,6.931,5.471,3.471,0.11,117,9,485.754,8.42,61779.0,3.726,3.503,6.671,10.714,2.953,2.24,8.916,9.809,10.726,11.623,12.539,3.701,7.185,6.001,10.714,18.704,10.714,13.054,16.197,18.511,21.057,23.484,26.001,28.477,30.99,26.756,33.49,36.007,30.665,38.52,1.608,0.069,3.784,8.585,11.207,13.837,16.469,19.103,7.434,3.784,6.471
5.52,4.143,4.043,3.97,5.1,4.522,0.597,4.522,3.97,4.464,0.627,5.211,3.321,7.593,5.321,3.321,0.11,10,6,272.727,6.18,2796.0,3.134,2.889,5.338,6.673,1.468,0.702,8.269,9.169,10.09,10.994,11.918,0.495,6.512,0.097,6.673,1.6,10.074,12.428,16.095,18.629,21.32,23.937,26.605,29.25,31.911,26.765,34.565,37.224,30.843,39.881,1.565,0.072,0.4,0.016,0.003,0.0,0.0,0.0,0.8,0.4,5.213
8.046,5.112,5.193,5.298,3.6,4.612,0.599,4.612,4.852,11.553,0.861,6.507,3.61,7.765,5.61,3.61,0.11,55,11,654.961,8.497,68781.0,3.901,3.777,6.296,9.188,2.849,2.118,9.038,9.943,10.857,11.766,12.682,3.329,7.235,4.511,9.188,19.557,10.832,13.195,16.709,19.263,21.965,24.617,27.31,29.995,32.693,27.271,35.391,38.094,31.348,40.798,1.581,0.07,2.612,6.094,7.853,9.694,11.573,13.472,4.612,2.612,6.883
7.762,4.682,4.812,4.852,2.6,4.422,0.634,4.422,4.454,7.341,2.45,6.088,3.368,7.259,5.368,3.368,0.112,144,5,521.892,7.435,16907.0,3.894,3.485,6.394,9.951,2.756,2.382,8.719,9.599,10.52,11.415,12.339,3.6,6.993,5.539,9.951,21.422,10.499,12.851,16.118,18.468,21.037,23.494,26.034,28.537,31.073,26.593,33.598,36.137,30.503,38.674,1.56,0.069,3.825,8.077,10.738,13.417,16.1,18.783,5.5,3.825,6.364
6.215,4.673,4.86,5.056,2.1,4.226,0.57,4.226,4.394,7.299,1.335,6.462,3.07,6.802,5.07,3.07,0.108,10,8,399.525,7.712,22917.0,3.715,3.34,5.966,8.398,1.683,0.994,8.513,9.42,10.332,11.245,12.162,3.348,6.627,5.289,8.398,11.358,10.188,12.674,15.311,17.51,20.032,22.371,24.842,27.243,29.698,25.615,32.127,34.58,29.416,37.024,1.532,0.069,2.95,7.352,9.459,11.587,13.726,15.874,5.9,2.95,6.949
6.745,4.71,4.828,4.913,2.4,4.49,0.814,4.49,4.543,7.926,0.988,6.053,3.471,6.97,5.471,3.471,0.116,138,7,498.856,7.902,34519.0,3.726,3.502,6.671,10.714,2.508,2.267,8.824,9.701,10.607,11.491,12.4,3.724,7.111,6.003,10.714,19.847,10.601,12.921,16.13,18.46,21.01,23.447,25.969,28.451,30.968,26.709,33.473,35.993,30.627,38.509,1.584,0.072,3.784,8.585,11.208,13.837,16.469,19.103,7.434,3.784,6.265
6.0,3.932,3.85,3.97,7.1,4.006,0.956,4.006,3.85,4.29,0.0,5.171,3.005,6.3,5.005,3.005,0.129,0,0,241.493,6.312,3742.0,3.062,2.361,5.247,6.4,0.347,0.163,7.965,8.801,9.642,10.482,11.325,1.618,6.075,1.617,6.4,4.933,9.64,11.889,14.194,16.267,18.677,20.896,23.249,25.527,27.86,24.467,30.162,32.487,28.164,34.799,1.446,0.086,1.263,1.818,2.125,2.494,2.9,3.33,2.232,1.263,5.545
6.0,4.382,4.407,4.477,6.1,4.007,0.963,4.007,4.159,6.455,0.0,5.776,3.002,6.301,5.002,3.002,0.124,0,2,316.493,7.198,12598.0,3.202,2.838,5.308,6.866,0.739,0.542,8.287,9.14,9.995,10.85,11.706,1.814,6.409,1.775,6.866,6.382,9.99,12.259,14.55,16.598,18.991,21.183,23.516,25.769,28.082,24.819,30.363,32.669,28.497,34.964,1.466,0.082,1.29,1.986,2.322,2.725,3.168,3.634,2.327,1.29,6.085
6.0,4.078,4.078,4.205,6.3,4.007,0.942,4.007,3.892,5.023,0.0,5.309,3.001,6.378,5.001,3.001,0.13,0,1,249.493,6.558,5332.0,3.015,2.361,5.247,6.4,0.342,0.396,8.011,8.844,9.684,10.522,11.365,1.618,6.111,1.617,6.4,4.933,9.684,11.929,14.196,16.264,18.678,20.897,23.251,25.53,27.863,24.465,30.166,32.491,28.164,34.804,1.425,0.087,1.263,1.818,2.125,2.494,2.9,3.33,2.232,1.263,5.677
6.0,4.382,4.394,4.5,2.7,4.606,0.971,4.606,4.205,6.636,0.639,5.549,3.601,7.903,5.601,3.601,0.125,4,2,279.803,7.103,11414.0,3.074,2.361,5.339,6.623,0.658,0.708,8.372,9.239,10.115,10.993,11.878,1.696,6.553,1.893,6.623,4.714,10.096,12.413,16.35,19.003,21.74,24.442,27.164,29.876,32.594,26.988,35.309,38.025,31.128,40.741,1.471,0.084,1.408,2.324,2.878,3.497,4.147,4.814,2.428,1.408,5.914
6.0,4.094,3.951,4.06,6.3,4.007,0.939,4.007,3.932,5.098,0.393,5.216,3.006,6.3,5.006,3.006,0.128,2,0,257.268,6.519,5011.0,3.271,2.361,5.247,6.4,0.564,0.174,8.074,8.915,9.759,10.601,11.447,1.738,6.213,1.755,6.4,5.725,9.814,12.008,14.389,16.448,18.848,21.048,23.387,25.647,27.965,24.695,30.252,32.565,28.381,34.866,1.469,0.086,1.325,2.032,2.443,2.922,3.438,3.975,2.304,1.325,5.572
6.152,5.1,5.187,5.278,4.7,4.612,0.597,4.612,4.844,11.389,0.861,6.513,3.61,7.765,5.61,3.61,0.111,55,10,639.197,8.497,68781.0,3.867,3.776,6.296,9.188,2.929,2.229,9.034,9.938,10.85,11.759,12.674,3.201,7.233,4.354,9.188,18.324,10.83,13.187,16.705,19.261,21.963,24.615,27.309,29.994,32.692,27.269,35.39,38.093,31.347,40.797,1.582,0.07,2.612,5.996,7.806,9.673,11.564,13.468,4.612,2.612,6.861
7.517,4.984,5.17,5.278,2.7,4.422,0.756,4.422,4.727,9.433,1.304,6.589,3.403,7.065,5.403,3.403,0.11,67,13,602.961,8.116,35607.0,3.516,3.208,6.298,9.203,2.694,2.409,8.876,9.785,10.71,11.627,12.557,2.792,7.017,3.349,9.203,13.092,10.599,13.062,15.893,18.192,20.782,23.23,25.784,28.294,30.842,26.226,33.378,35.929,30.098,38.477,1.57,0.065,1.674,4.119,5.006,5.958,6.944,7.949,3.349,1.674,6.957
5.82,4.543,4.663,4.718,5.2,4.348,0.633,4.348,4.304,6.262,1.775,6.08,3.328,6.684,5.328,3.328,0.11,117,10,464.257,7.054,9063.0,3.777,3.507,6.296,9.188,2.458,1.792,8.553,9.437,10.353,11.247,12.165,3.33,6.808,4.524,9.188,18.997,10.334,12.68,15.675,17.95,20.484,22.891,25.397,27.863,30.367,26.027,32.86,35.369,29.861,37.875,1.616,0.067,2.612,6.099,7.855,9.694,11.573,13.472,4.612,2.612,6.436
7.003,4.605,4.7,4.762,3.9,4.348,0.615,4.348,4.382,7.088,2.48,6.085,3.328,7.045,5.328,3.328,0.115,123,11,488.257,7.361,15446.0,3.777,3.484,6.296,9.188,2.538,1.736,8.624,9.496,10.399,11.284,12.193,3.33,6.86,4.524,9.188,18.997,10.382,12.714,15.676,17.95,20.484,22.891,25.397,27.863,30.367,26.027,32.86,35.369,29.861,37.875,1.553,0.072,2.612,6.099,7.855,9.694,11.573,13.472,4.612,2.612,6.442
