pXC50,CATS2D_01_DD,nRNHO,P_VSA_MR_3,O.056,nRCNO,C.038,CATS2D_01_DA,N.074,CATS2D_04_DD,NaasN,SaasN,NdsN,SpDiam_EA.dm.,P_VSA_LogP_5,SdssC,N.073,SaaN,P_VSA_LogP_3,O.060,SpMax1_Bh.s.,MATS3s,SpMax1_Bh.i.,CATS2D_02_AA,piPC07,piPC08,piPC10,nRCONHR,SsOH,P_VSA_MR_7,X5A,GATS5s,MATS1e,CATS2D_03_AL,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,ATSC1e,Eig01_AEA.ri.,SpMax_AEA.ri.,Eig01_AEA.ed.,SpMax_AEA.ed.,SpMax1_Bh.e.,Eig01_AEA.dm.,SpDiam_AEA.dm.,SpMax_AEA.dm.,ATSC3s,GATS5m,ATSC3e,X4A,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,GATS4s,SpDiam_EA.ed.,GATS5e,MATS5m,SpMAD_AEA.dm.,SssNH,SM14_EA
5.301,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3.306,30.387,-0.536,0,0.0,156.088,0,8.201,-0.076,4.075,0,6.282,6.602,7.05,2,0.0,58.101,0.079,1.425,-0.067,3,3.205,3.205,5.205,3.205,0.075,4.192,4.192,6.788,6.788,4.042,3.785,5.785,3.785,69.401,0.76,0.386,0.118,3.966,3.966,6.966,3.966,11.162,11.162,11.162,1.124,18.508,1.3,0.073,1.554,5.603,16.634
5.469,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3.306,21.266,-0.254,0,0.0,165.565,0,7.431,-0.075,4.072,0,6.21,6.552,6.965,2,0.0,58.101,0.081,1.132,-0.074,3,3.159,3.159,5.159,3.159,0.038,4.15,4.15,6.697,6.697,4.037,3.778,5.778,3.778,53.669,0.691,0.252,0.119,3.792,3.792,6.792,3.792,10.856,10.856,10.856,1.085,17.976,1.031,0.112,1.545,5.785,16.438
5.796,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3.306,21.266,-0.254,0,0.0,165.565,0,7.431,-0.075,4.072,0,6.21,6.552,6.965,2,0.0,58.101,0.081,1.132,-0.074,3,3.159,3.159,5.159,3.159,0.038,4.15,4.15,6.697,6.697,4.037,3.778,5.778,3.778,53.669,0.691,0.252,0.119,3.792,3.792,6.792,3.792,10.856,10.856,10.856,1.085,17.976,1.031,0.112,1.545,5.785,16.438
5.121,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.203,9.128,-0.715,0,0.0,128.092,0,7.433,0.119,4.01,1,5.532,5.681,5.719,0,8.652,0.0,0.086,1.216,0.023,5,2.886,2.886,4.886,2.886,0.097,3.86,3.86,6.091,6.091,3.976,3.846,5.846,3.846,59.126,0.985,0.287,0.13,3.77,3.77,6.77,3.77,8.875,8.875,8.875,1.143,15.161,1.315,0.025,1.561,4.501,15.396
6.762,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.641,0.0,-0.377,0,0.0,42.806,0,7.433,0.049,4.124,0,4.663,4.762,4.369,0,8.394,0.0,0.068,1.469,0.021,1,3.457,3.457,5.457,3.457,0.112,4.438,4.438,7.287,7.287,4.077,3.864,5.864,3.864,66.21,1.146,0.442,0.114,3.481,3.481,5.481,3.481,13.108,13.108,13.108,0.715,19.924,1.488,-0.111,1.638,7.883,17.392
6.75,1,1,42.806,1,0,0,0,0,1,0,0.0,0,3.641,9.067,-0.892,0,0.0,80.711,0,7.434,-0.006,3.99,0,4.716,4.591,4.246,0,8.282,0.0,0.09,0.836,-0.027,2,2.787,2.787,4.787,2.787,0.135,3.75,3.75,5.929,5.929,3.951,3.865,5.865,3.865,66.897,0.887,0.404,0.142,3.682,3.682,6.682,3.682,8.228,8.228,8.228,1.096,13.762,0.819,0.069,1.587,6.695,14.634
6.754,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.641,8.638,-0.579,0,0.0,80.711,0,7.433,0.046,3.986,0,4.905,4.846,4.274,0,8.344,0.0,0.094,1.065,0.004,3,2.797,2.797,4.797,2.797,0.107,3.757,3.757,5.931,5.931,3.945,3.864,5.864,3.864,68.658,0.976,0.402,0.145,3.691,3.691,6.691,3.691,8.246,8.246,8.246,0.927,13.867,1.0,-0.009,1.545,7.191,14.703
7.376,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.641,15.07,-0.794,0,0.0,156.521,0,7.434,0.018,4.062,0,6.378,6.715,7.178,2,17.9,0.0,0.084,0.935,-0.052,3,3.045,3.045,5.045,3.045,0.156,4.034,4.034,6.514,6.514,4.034,3.864,5.864,3.864,126.574,0.935,0.637,0.127,4.052,4.052,7.052,4.052,10.237,10.237,10.237,1.005,17.089,0.921,0.032,1.551,7.414,16.006
6.747,1,1,53.806,1,0,0,0,0,0,0,0.0,0,3.698,22.186,-0.6,0,0.0,128.092,1,7.432,0.086,3.985,0,5.185,5.342,5.607,1,8.523,0.0,0.09,1.249,0.008,7,2.834,2.834,4.834,2.834,0.113,3.803,3.803,6.052,6.052,3.956,3.864,5.864,3.864,90.099,0.998,0.634,0.139,3.635,3.635,6.635,3.635,8.698,8.698,8.698,1.058,14.874,1.174,0.0,1.526,4.504,15.059
4.628,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3.952,44.165,-0.779,0,3.958,127.66,1,7.435,-0.042,4.017,1,5.76,5.969,6.371,0,0.0,16.786,0.088,1.143,-0.1,4,2.912,2.912,4.912,2.912,0.075,3.9,3.9,6.149,6.149,3.987,3.648,5.648,3.648,38.384,0.831,0.232,0.132,3.838,3.838,6.838,3.838,9.013,9.013,9.013,1.412,15.369,1.143,0.202,1.515,5.436,15.451
6.553,1,1,42.806,1,0,0,0,0,0,1,1.691,0,2.993,5.085,-0.707,1,0.0,128.092,0,7.433,0.135,4.081,0,5.897,6.148,6.439,0,8.412,18.952,0.079,1.122,0.024,6,3.15,3.15,5.15,3.15,0.112,4.128,4.128,6.701,6.701,4.047,3.806,5.806,3.806,43.472,0.935,0.328,0.122,4.193,4.193,7.193,4.193,10.695,10.695,10.695,1.179,18.056,1.009,0.061,1.665,1.508,16.17
7.301,1,1,42.806,1,0,0,0,0,0,1,1.7,0,2.993,8.27,-0.704,1,0.0,127.663,0,7.433,0.121,4.078,0,5.917,6.179,6.423,0,8.399,18.952,0.08,1.227,0.024,6,3.113,3.113,5.113,3.113,0.112,4.101,4.101,6.608,6.608,4.044,3.806,5.806,3.806,41.591,1.039,0.306,0.122,4.142,4.142,7.142,4.142,10.421,10.421,10.421,1.16,17.558,1.216,-0.079,1.672,1.506,16.0
8.075,1,1,85.489,2,0,0,0,0,0,0,0.0,0,2.993,32.04,-0.56,1,0.0,189.299,0,7.433,0.111,4.164,0,6.355,6.674,6.618,0,17.923,18.952,0.083,0.671,-0.009,4,3.063,3.063,5.063,3.063,0.109,4.049,4.049,6.526,6.526,4.129,3.806,5.806,3.806,60.679,0.918,0.354,0.123,4.473,4.473,7.473,4.473,10.265,10.265,10.265,0.581,16.923,0.738,0.049,1.543,1.565,15.918
7.955,1,1,93.553,1,0,0,0,0,0,0,0.0,0,4.612,9.2,-0.556,0,4.303,88.36,0,7.815,0.045,4.051,1,6.168,6.376,6.786,1,8.375,22.456,0.084,0.933,0.117,10,2.977,2.977,4.977,2.977,0.254,3.938,3.938,6.24,6.24,4.027,3.864,5.864,3.864,103.928,1.182,0.674,0.128,4.083,4.083,7.083,4.083,9.421,9.421,9.421,1.007,15.859,1.005,-0.03,1.588,4.307,15.583
7.336,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.641,15.07,-0.712,0,0.0,165.997,0,7.434,0.036,4.062,0,6.354,6.69,7.163,2,8.472,0.0,0.085,1.038,-0.019,3,3.045,3.045,5.045,3.045,0.119,4.034,4.034,6.514,6.514,4.033,3.864,5.864,3.864,112.235,0.966,0.547,0.128,4.052,4.052,7.052,4.052,10.237,10.237,10.237,1.047,17.089,1.042,0.014,1.548,7.469,15.968
7.548,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.641,34.429,-0.729,1,0.0,165.568,0,7.434,0.039,4.168,0,6.814,7.149,7.458,2,8.492,0.0,0.08,1.017,-0.035,3,3.087,3.087,5.087,3.087,0.131,4.074,4.074,6.54,6.54,4.133,3.864,5.864,3.864,112.492,0.978,0.569,0.121,4.474,4.474,7.474,4.474,10.322,10.322,10.322,1.046,17.209,0.999,0.001,1.566,7.51,16.504
7.229,1,1,42.806,1,0,0,0,0,0,0,0.0,0,2.993,7.493,-0.698,0,0.0,152.852,0,7.717,0.039,4.08,1,5.983,6.182,6.475,0,8.404,41.165,0.083,1.257,0.091,5,3.396,3.396,5.396,3.396,0.174,4.316,4.316,7.311,7.311,4.095,4.686,6.686,4.686,69.108,1.221,0.438,0.126,4.711,4.711,7.711,4.711,12.528,12.528,12.528,1.145,19.927,1.268,-0.084,1.626,3.923,17.15
4.523,0,0,0.0,0,0,0,0,0,0,0,0.0,0,4.176,2.757,-0.208,0,0.0,47.381,0,7.432,-0.011,3.954,0,4.274,4.394,3.883,1,0.0,0.0,0.106,1.25,-0.078,0,2.625,2.625,4.625,2.625,0.04,3.594,3.594,5.484,5.484,3.914,3.803,5.803,3.803,53.51,0.966,0.324,0.154,3.476,3.476,6.476,3.476,7.392,7.392,7.392,1.043,12.802,1.297,-0.037,1.497,8.36,13.801
4.527,0,0,0.0,0,0,0,0,0,0,0,0.0,0,4.176,9.067,-0.136,0,0.0,37.905,0,7.431,0.016,3.99,0,5.053,4.217,4.246,1,0.0,0.0,0.09,1.112,-0.054,4,2.865,2.865,4.865,2.865,0.031,3.854,3.854,6.06,6.06,3.956,3.803,5.803,3.803,47.098,0.956,0.258,0.143,3.791,3.791,6.791,3.791,8.676,8.676,8.676,1.219,14.642,1.017,-0.066,1.577,5.606,15.025
5.465,0,0,0.0,0,0,0,0,0,0,0,0.0,0,4.176,9.067,-0.058,0,0.0,37.905,0,7.431,0.04,3.992,0,5.066,4.246,4.217,1,0.0,0.0,0.092,1.056,-0.04,4,2.865,2.865,4.865,2.865,0.045,3.854,3.854,6.06,6.06,3.957,3.803,5.803,3.803,49.232,0.933,0.286,0.145,3.791,3.791,6.791,3.791,8.676,8.676,8.676,1.161,14.642,0.992,-0.049,1.55,5.72,15.027
6.076,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.641,18.433,-0.796,0,3.738,123.084,1,7.433,0.069,4.025,0,5.868,6.17,6.505,0,8.346,19.597,0.082,1.034,0.017,5,2.989,2.989,4.989,2.989,0.218,3.983,3.983,6.263,6.263,4.006,3.864,5.864,3.864,86.209,1.038,0.592,0.128,4.032,4.032,7.032,4.032,9.477,9.477,9.477,1.117,15.9,1.126,-0.05,1.601,4.242,15.558
7.638,1,1,42.806,1,0,0,0,0,0,1,2.343,0,2.993,13.539,-0.556,1,4.965,137.568,0,7.433,0.092,4.191,1,6.878,7.338,7.861,0,8.678,35.738,0.072,0.509,0.086,11,3.319,3.319,5.319,3.319,0.114,4.287,4.287,6.889,6.889,4.149,3.806,5.806,3.806,58.514,1.066,0.298,0.117,4.597,4.597,7.597,4.597,11.592,11.592,11.592,0.557,18.703,0.573,-0.134,1.588,1.61,17.135
4.523,0,0,42.683,1,0,0,0,0,0,0,0.0,0,3.306,18.934,-0.039,0,8.169,107.19,1,7.429,-0.049,4.008,0,5.869,6.05,6.359,1,8.93,36.382,0.086,1.033,0.022,5,2.927,2.927,4.927,2.927,0.11,3.874,3.874,6.183,6.183,3.982,3.592,5.592,3.592,48.268,1.349,0.388,0.128,3.957,3.957,6.957,3.957,9.234,9.234,9.234,1.012,15.511,1.125,-0.146,1.479,2.844,15.462
4.523,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3.344,18.934,-1.208,0,7.875,64.507,1,7.475,-0.008,4.007,0,5.9,6.076,6.393,1,8.777,36.382,0.085,0.821,-0.005,6,2.927,2.927,4.927,2.927,0.15,3.874,3.874,6.183,6.183,3.983,3.592,5.592,3.592,65.376,1.339,0.53,0.126,3.957,3.957,6.957,3.957,9.234,9.234,9.234,0.899,15.511,0.984,-0.131,1.508,2.805,15.658
4.523,0,0,0.0,0,0,0,0,0,0,0,0.0,0,3.306,18.934,-0.688,0,8.012,64.507,1,7.438,-0.054,4.008,0,5.9,6.076,6.393,1,0.0,36.382,0.085,0.908,0.009,6,2.927,2.927,4.927,2.927,0.125,3.874,3.874,6.183,6.183,3.983,3.592,5.592,3.592,63.333,1.343,0.473,0.126,3.957,3.957,6.957,3.957,9.234,9.234,9.234,0.945,15.511,1.151,-0.136,1.509,2.821,15.658
4.876,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.889,47.866,-2.483,0,7.315,137.568,3,7.439,-0.052,4.054,1,6.788,7.135,7.673,1,8.664,39.193,0.077,1.36,0.013,8,3.133,3.133,5.133,3.133,0.377,4.071,4.071,6.446,6.446,4.034,3.848,5.848,3.848,118.531,1.198,1.211,0.123,4.023,4.023,7.023,4.023,10.157,10.157,10.157,0.892,16.541,1.358,-0.194,1.625,9.205,16.831
6.161,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.889,29.433,-1.402,0,3.77,90.187,2,7.437,-0.03,4.032,1,6.12,6.468,6.996,0,8.407,19.597,0.08,1.682,0.021,5,3.133,3.133,5.133,3.133,0.235,4.071,4.071,6.446,6.446,4.012,3.864,5.864,3.864,105.384,1.275,0.878,0.13,4.023,4.023,7.023,4.023,10.157,10.157,10.157,0.941,16.535,1.623,-0.247,1.612,6.877,16.501
7.348,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.641,18.433,-0.665,0,3.786,123.084,1,7.433,0.105,4.026,0,5.859,6.149,6.458,0,8.365,19.597,0.084,0.935,0.038,5,2.982,2.982,4.982,2.982,0.201,3.976,3.976,6.253,6.253,4.006,3.864,5.864,3.864,88.484,0.96,0.571,0.129,4.021,4.021,7.021,4.021,9.429,9.429,9.429,1.049,15.795,1.05,0.027,1.572,4.382,15.522
6.07,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.641,15.676,-0.757,0,3.749,99.663,1,7.433,0.102,4.017,0,5.762,6.015,6.315,0,8.337,19.597,0.085,1.1,0.067,5,2.975,2.975,4.975,2.975,0.19,3.969,3.969,6.251,6.251,3.999,3.864,5.864,3.864,81.928,1.073,0.559,0.129,4.006,4.006,7.006,4.006,9.421,9.421,9.421,1.18,15.78,1.23,-0.073,1.586,4.26,15.453
7.757,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.641,18.433,-0.672,0,3.783,123.084,1,7.433,0.099,4.026,0,5.874,6.166,6.506,0,8.366,19.597,0.084,0.94,0.038,5,2.989,2.989,4.989,2.989,0.201,3.983,3.983,6.263,6.263,4.007,3.864,5.864,3.864,88.493,0.986,0.571,0.13,4.032,4.032,7.032,4.032,9.477,9.477,9.477,1.035,15.9,1.024,-0.004,1.576,4.379,15.559
6.397,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.641,18.433,-0.789,0,3.74,123.084,1,7.433,0.075,4.025,0,5.854,6.154,6.456,0,8.345,19.597,0.082,1.029,0.017,5,2.982,2.982,4.982,2.982,0.218,3.976,3.976,6.253,6.253,4.005,3.864,5.864,3.864,86.157,1.007,0.592,0.127,4.021,4.021,7.021,4.021,9.429,9.429,9.429,1.132,15.795,1.156,-0.005,1.597,4.245,15.521
7.137,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.641,18.433,-0.855,0,3.796,90.187,1,7.434,0.021,4.032,0,6.079,6.405,6.863,1,8.387,19.597,0.084,0.967,0.039,5,2.984,2.984,4.984,2.984,0.21,3.978,3.978,6.254,6.254,4.012,3.864,5.864,3.864,109.276,1.022,0.731,0.13,4.023,4.023,7.023,4.023,9.433,9.433,9.433,0.912,15.805,1.037,-0.051,1.568,7.049,15.598
6.595,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.404,18.934,-0.815,0,7.979,107.312,1,7.433,0.077,4.009,0,5.942,6.089,6.403,1,8.53,36.382,0.084,0.901,0.052,6,2.927,2.927,4.927,2.927,0.205,3.874,3.874,6.183,6.183,3.984,3.848,5.848,3.848,83.652,1.329,0.625,0.126,3.957,3.957,6.957,3.957,9.234,9.234,9.234,0.93,15.511,1.028,-0.136,1.576,4.302,15.71
7.55,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.889,29.433,-1.307,0,3.822,90.187,2,7.437,-0.003,4.034,1,6.129,6.472,6.979,0,8.422,19.597,0.081,1.574,0.034,5,3.134,3.134,5.134,3.134,0.214,4.072,4.072,6.446,6.446,4.014,3.864,5.864,3.864,108.178,1.205,0.847,0.131,4.036,4.036,7.036,4.036,10.157,10.157,10.157,0.899,16.618,1.497,-0.179,1.594,7.036,16.519
6.05,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.889,29.433,-1.445,0,3.776,90.187,2,7.437,-0.032,4.033,1,6.125,6.475,6.978,0,8.414,19.597,0.08,1.682,0.021,5,3.134,3.134,5.134,3.134,0.235,4.072,4.072,6.446,6.446,4.013,3.864,5.864,3.864,105.283,1.269,0.878,0.129,4.036,4.036,7.036,4.036,10.157,10.157,10.157,0.937,16.618,1.601,-0.246,1.615,6.883,16.519
5.215,1,1,53.806,1,0,0,0,0,0,0,0.0,0,2.993,21.986,-0.566,0,4.121,109.139,1,7.433,0.11,4.042,0,6.202,6.555,7.061,0,8.446,38.549,0.081,0.689,0.083,5,2.944,2.944,4.944,2.944,0.179,3.929,3.929,6.19,6.19,4.018,3.806,5.806,3.806,60.407,0.854,0.6,0.124,3.984,3.984,6.984,3.984,9.258,9.258,9.258,0.66,15.553,1.047,0.147,1.573,1.549,15.409
5.133,1,1,42.806,1,0,0,0,1,0,0,0.0,1,4.872,85.78,-0.706,0,0.0,99.663,1,8.281,0.214,4.001,0,5.918,6.101,6.565,0,8.349,28.0,0.079,0.633,-0.004,5,3.254,3.254,5.254,3.254,0.479,4.19,4.19,6.87,6.87,3.981,3.952,5.952,3.952,281.642,0.851,1.659,0.124,4.383,4.383,7.383,4.383,11.169,11.169,11.169,0.811,19.169,0.682,0.27,1.695,1.428,16.615
5.801,1,1,93.553,1,0,0,0,1,0,0,0.0,1,5.048,42.932,-0.606,0,0.0,137.568,1,7.815,0.081,4.026,1,5.962,6.043,6.449,0,8.386,33.67,0.088,0.923,0.214,13,2.785,2.785,4.785,2.785,0.274,3.76,3.76,5.929,5.929,4.0,3.94,5.94,3.94,57.503,0.926,0.489,0.135,3.951,3.951,6.951,3.951,8.227,8.227,8.227,0.971,13.751,1.172,0.158,1.621,1.506,14.933
5.265,1,1,42.806,1,0,0,0,1,0,0,0.0,1,4.872,54.361,-0.977,0,0.0,137.568,2,7.435,0.1,3.995,1,5.949,6.079,6.449,0,8.406,28.0,0.088,0.846,0.072,11,2.816,2.816,4.816,2.816,0.192,3.811,3.811,6.021,6.021,3.972,3.94,5.94,3.94,48.295,0.971,0.383,0.134,3.767,3.767,6.767,3.767,8.543,8.543,8.543,1.191,14.341,1.121,0.049,1.619,1.52,15.031
5.106,1,1,53.806,1,0,0,0,1,0,0,0.0,1,4.746,40.114,-0.565,0,0.0,99.663,1,7.433,0.109,3.982,0,5.514,5.739,5.776,0,8.39,28.0,0.094,0.668,0.092,4,2.668,2.668,4.668,2.668,0.171,3.667,3.667,5.498,5.498,3.954,3.928,5.928,3.928,62.972,0.77,0.623,0.14,3.704,3.704,6.704,3.704,7.405,7.405,7.405,0.689,12.68,1.047,0.247,1.59,1.536,14.295
7.509,1,1,42.806,1,0,0,0,0,0,0,0.0,0,2.993,28.915,-0.539,1,0.0,155.579,0,7.433,0.149,4.174,0,6.356,6.648,6.406,0,8.46,18.952,0.082,0.498,0.028,1,3.172,3.172,5.172,3.172,0.108,4.156,4.156,6.717,6.717,4.14,3.806,5.806,3.806,51.556,0.948,0.271,0.121,4.565,4.565,7.565,4.565,10.905,10.905,10.905,0.669,17.797,0.582,0.011,1.572,5.051,16.275
6.951,1,1,42.806,1,0,0,0,0,0,1,1.689,0,3.641,22.782,-0.447,1,8.304,127.663,0,8.201,-0.007,4.084,1,6.347,6.748,7.392,1,8.425,33.203,0.084,0.875,0.061,9,2.946,2.946,4.946,2.946,0.181,3.921,3.921,6.19,6.19,4.035,3.864,5.864,3.864,104.722,0.952,0.623,0.128,3.985,3.985,6.985,3.985,9.259,9.259,9.259,0.894,15.56,0.941,0.021,1.551,4.479,15.54
7.063,1,1,85.489,2,0,0,0,0,0,1,1.604,0,3.641,16.716,-0.449,1,8.3,170.346,0,7.432,0.003,4.078,1,6.29,6.622,7.213,1,18.901,33.203,0.084,1.094,0.038,7,2.96,2.96,4.96,2.96,0.197,3.931,3.931,6.197,6.197,4.031,3.864,5.864,3.864,101.04,0.908,0.672,0.128,3.981,3.981,6.981,3.981,9.279,9.279,9.279,0.988,15.641,1.131,-0.002,1.552,4.488,15.784
7.733,1,1,42.806,1,0,0,0,0,0,1,1.792,0,3.641,13.661,-0.421,1,8.456,137.139,0,7.432,0.015,4.083,1,6.315,6.699,7.313,1,8.443,33.203,0.084,1.132,0.108,9,2.961,2.961,4.961,2.961,0.15,3.937,3.937,6.212,6.212,4.035,3.864,5.864,3.864,82.23,1.004,0.449,0.129,4.001,4.001,7.001,4.001,9.355,9.355,9.355,0.945,15.755,1.196,-0.004,1.54,4.543,15.527
7.465,1,1,42.806,1,0,0,0,0,0,1,1.679,0,3.641,22.782,-0.465,1,8.328,127.663,0,8.201,-0.01,4.084,1,6.351,6.736,7.4,1,8.44,33.203,0.084,0.877,0.061,9,2.962,2.962,4.962,2.962,0.181,3.938,3.938,6.212,6.212,4.036,3.864,5.864,3.864,104.696,0.952,0.623,0.127,4.002,4.002,7.002,4.002,9.355,9.355,9.355,0.888,15.756,0.941,0.015,1.552,4.502,15.585
7.886,1,1,85.489,2,0,0,0,0,0,1,1.594,0,3.641,16.716,-0.468,1,8.324,170.346,0,7.432,0.0,4.079,1,6.294,6.608,7.219,1,18.948,33.203,0.083,1.096,0.038,7,2.972,2.972,4.972,2.972,0.197,3.945,3.945,6.217,6.217,4.032,3.864,5.864,3.864,101.093,0.908,0.672,0.128,3.998,3.998,6.998,3.998,9.368,9.368,9.368,0.982,15.794,1.131,-0.006,1.553,4.511,15.819
7.754,1,1,42.806,1,0,0,0,0,0,1,1.727,0,3.641,29.073,-0.468,1,8.126,118.616,0,8.201,-0.007,4.093,1,6.363,6.764,7.343,1,8.448,33.203,0.082,0.834,0.061,9,3.062,3.062,5.062,3.062,0.181,4.031,4.031,6.525,6.525,4.046,3.864,5.864,3.864,103.537,0.932,0.622,0.125,4.093,4.093,7.093,4.093,10.29,10.29,10.29,0.869,17.155,0.888,0.026,1.553,4.517,15.907
7.801,1,1,85.489,2,0,0,0,0,0,1,1.642,0,3.641,23.007,-0.473,1,8.122,161.299,0,7.432,0.003,4.087,1,6.3,6.626,7.186,1,19.107,33.203,0.082,1.038,0.038,7,3.071,3.071,5.071,3.071,0.197,4.038,4.038,6.529,6.529,4.041,3.864,5.864,3.864,99.681,0.871,0.671,0.126,4.088,4.088,7.088,4.088,10.302,10.302,10.302,0.967,17.204,1.063,-0.004,1.554,4.526,16.083
6.726,1,1,42.806,1,0,0,0,0,0,1,1.802,0,3.641,13.661,-0.408,1,8.432,137.139,0,7.432,0.019,4.083,1,6.311,6.712,7.304,1,8.428,33.203,0.085,1.13,0.108,9,2.945,2.945,4.945,2.945,0.15,3.921,3.921,6.19,6.19,4.034,3.864,5.864,3.864,82.143,1.004,0.449,0.13,3.985,3.985,6.985,3.985,9.259,9.259,9.259,0.952,15.559,1.196,-0.001,1.539,4.514,15.479
7.189,1,1,42.806,1,0,0,0,0,0,1,1.741,0,3.641,29.073,-0.45,1,8.106,118.616,0,8.201,-0.005,4.093,1,6.374,6.766,7.333,1,8.432,33.203,0.083,0.826,0.061,9,3.052,3.052,5.052,3.052,0.181,4.021,4.021,6.517,6.517,4.045,3.864,5.864,3.864,103.563,0.932,0.622,0.126,4.081,4.081,7.081,4.081,10.25,10.25,10.25,0.876,17.062,0.888,0.031,1.552,4.489,15.873
7.254,1,1,42.806,1,0,0,0,0,0,1,1.776,0,3.641,19.523,-0.411,1,8.189,128.092,0,7.432,0.035,4.101,1,6.503,6.9,7.43,1,8.427,33.203,0.082,1.097,0.102,10,3.127,3.127,5.127,3.127,0.156,4.091,4.091,6.691,6.691,4.055,3.864,5.864,3.864,81.079,1.033,0.475,0.124,4.185,4.185,7.185,4.185,10.835,10.835,10.835,0.955,17.976,1.15,-0.048,1.549,4.519,16.117
7.126,1,1,85.489,2,0,0,0,0,0,1,1.656,0,3.641,23.007,-0.453,1,8.103,161.299,0,7.432,0.006,4.087,1,6.311,6.633,7.179,1,19.05,33.203,0.083,1.03,0.038,7,3.062,3.062,5.062,3.062,0.197,4.028,4.028,6.522,6.522,4.04,3.864,5.864,3.864,99.629,0.871,0.671,0.127,4.075,4.075,7.075,4.075,10.262,10.262,10.262,0.974,17.12,1.063,0.0,1.553,4.498,16.054
7.717,1,1,42.806,1,0,0,0,0,0,1,1.841,0,3.641,19.952,-0.417,1,8.253,128.092,0,7.432,0.017,4.092,1,6.327,6.716,7.266,1,8.451,33.203,0.083,1.078,0.108,9,3.061,3.061,5.061,3.061,0.15,4.031,4.031,6.525,6.525,4.045,3.864,5.864,3.864,80.612,0.982,0.449,0.127,4.093,4.093,7.093,4.093,10.29,10.29,10.29,0.923,17.155,1.129,0.009,1.541,4.565,15.866
7.638,1,1,42.806,1,0,0,0,0,0,1,2.362,0,2.993,13.539,-0.546,1,4.96,137.568,0,7.433,0.152,4.187,1,6.848,7.305,7.854,0,8.673,35.738,0.077,0.461,0.08,8,3.207,3.207,5.207,3.207,0.107,4.152,4.152,6.756,6.756,4.145,3.806,5.806,3.806,60.477,0.845,0.423,0.118,4.595,4.595,7.595,4.595,11.099,11.099,11.099,0.637,18.152,0.644,0.119,1.553,1.616,16.432
7.724,1,1,42.806,1,0,0,0,0,0,1,2.352,0,2.993,13.539,-0.546,1,4.942,137.568,0,7.433,0.149,4.187,1,6.846,7.304,7.847,0,8.656,35.738,0.075,0.48,0.075,7,3.207,3.207,5.207,3.207,0.101,4.152,4.152,6.756,6.756,4.145,3.806,5.806,3.806,59.265,0.869,0.408,0.117,4.595,4.595,7.595,4.595,11.099,11.099,11.099,0.662,18.152,0.67,0.094,1.554,1.611,16.435
6.602,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.404,21.691,-0.846,0,7.963,130.733,1,7.433,0.045,4.017,0,6.031,6.213,6.567,1,8.537,36.382,0.082,0.861,0.005,6,2.949,2.949,4.949,2.949,0.233,3.903,3.903,6.204,6.204,3.991,3.848,5.848,3.848,87.857,1.29,0.656,0.125,3.993,3.993,6.993,3.993,9.318,9.318,9.318,0.894,15.683,0.977,-0.121,1.587,4.282,15.793
6.327,1,1,42.806,1,0,0,0,0,0,0,0.0,0,3.404,29.012,-0.802,0,7.858,99.663,1,7.433,0.073,4.097,0,6.27,6.572,6.395,1,8.522,36.382,0.083,1.048,0.058,7,2.931,2.931,4.931,2.931,0.199,3.911,3.911,6.185,6.185,4.067,3.848,5.848,3.848,83.541,1.122,0.632,0.125,4.337,4.337,7.337,4.337,9.238,9.238,9.238,0.911,15.555,1.036,-0.129,1.587,4.333,15.709
