pXC50,Sp,Sv,nBT,nAB,nSK,Si,Se,nN,nBO,nAT,MW,SCBO,nH,X.,nHet,nC,Mi,N.,Mv,AMW,H.,Mp
7.228,40.745,39.725,65.0,22,36,69.482,61.934,8,40,61.0,488.58,53.0,25,1.6,11,25,1.139,13.1,0.651,8.01,41.0,0.668
7.126,42.506,41.252,68.0,22,37,72.897,64.818,8,41,64.0,502.61,54.0,27,1.6,11,26,1.139,12.5,0.645,7.853,42.2,0.664
6.523,42.569,40.869,68.0,22,36,72.557,64.305,8,40,64.0,484.62,53.0,28,0.0,10,26,1.134,12.5,0.639,7.572,43.8,0.665
6.699,36.455,35.213,57.0,18,31,61.983,55.552,4,33,55.0,420.51,44.0,24,0.0,8,23,1.127,7.3,0.64,7.646,43.6,0.663
5.4,24.807,23.488,40.0,6,20,43.109,37.92,4,22,38.0,270.37,28.0,18,0.0,5,15,1.134,10.5,0.618,7.115,47.4,0.653
5.4,31.699,30.17,47.0,22,27,49.112,44.214,5,30,44.0,375.49,42.0,17,0.0,7,20,1.116,11.4,0.686,8.534,38.6,0.72
5.9,27.051,25.983,42.0,17,23,45.192,40.138,5,25,40.0,307.39,34.5,17,0.0,6,17,1.13,12.5,0.65,7.685,42.5,0.676
5.4,32.569,31.015,50.0,22,27,52.524,46.803,4,30,47.0,356.46,42.0,20,0.0,5,22,1.118,8.5,0.66,7.584,42.6,0.693
7.1,37.222,35.761,60.0,12,31,65.896,58.538,5,33,58.0,425.54,42.0,27,0.0,9,22,1.136,8.6,0.617,7.337,46.6,0.642
5.4,27.222,28.568,43.0,21,29,47.021,42.887,5,32,40.0,411.34,42.5,11,15.0,11,18,1.176,12.5,0.714,10.283,27.5,0.681
5.4,25.858,26.111,40.0,17,25,43.713,39.574,4,27,38.0,346.34,36.5,13,7.9,8,17,1.15,10.5,0.687,9.114,34.2,0.68
5.4,20.318,19.998,30.0,11,19,32.787,30.116,4,20,29.0,278.32,28.5,10,0.0,8,11,1.131,13.8,0.69,9.597,34.5,0.701
5.4,36.222,34.223,55.0,22,30,56.943,50.982,5,34,51.0,415.56,46.0,21,0.0,7,23,1.117,9.8,0.671,8.148,41.2,0.71
5.4,32.631,32.681,51.0,22,31,55.125,49.661,6,34,48.0,426.44,46.0,17,6.3,10,21,1.148,12.5,0.681,8.884,35.4,0.68
5.4,21.551,21.15,31.0,16,20,32.336,29.982,2,22,29.0,288.32,31.0,9,3.4,6,14,1.115,6.9,0.729,9.942,31.0,0.743
5.4,28.358,27.083,43.0,17,24,45.95,41.549,3,26,41.0,343.44,36.5,17,0.0,7,17,1.121,7.3,0.661,8.377,41.5,0.692
5.4,32.784,31.256,52.0,16,27,55.149,49.014,4,30,49.0,362.47,40.0,22,0.0,6,21,1.125,8.2,0.638,7.397,44.9,0.669
5.4,27.852,26.475,38.0,16,24,39.715,36.884,2,26,36.0,379.28,36.0,12,5.6,7,17,1.103,5.6,0.735,10.536,33.3,0.774
5.4,34.705,32.892,53.0,25,29,55.073,49.167,5,33,49.0,405.54,45.5,20,2.0,7,22,1.124,10.2,0.671,8.276,40.8,0.708
5.4,20.307,19.666,30.0,16,18,31.239,28.058,4,20,28.0,234.28,30.0,10,0.0,4,14,1.116,14.3,0.702,8.367,35.7,0.725
6.4,34.159,32.906,51.0,22,30,53.82,48.643,6,33,48.0,418.52,46.0,18,0.0,9,21,1.121,12.5,0.686,8.719,37.5,0.712
5.4,35.847,34.773,53.0,27,32,54.578,49.836,4,36,49.0,444.52,50.5,17,2.0,8,24,1.114,8.2,0.71,9.072,34.7,0.732
5.4,32.694,32.297,52.0,22,30,54.785,49.149,6,34,48.0,408.45,45.0,18,4.2,9,21,1.141,12.5,0.673,8.509,37.5,0.681
5.4,32.824,31.552,52.0,21,28,55.604,49.225,7,31,49.0,375.48,42.5,21,0.0,8,20,1.135,14.3,0.644,7.663,42.9,0.67
5.4,25.244,24.584,36.0,17,23,38.25,35.018,5,25,34.0,348.21,34.5,11,5.9,8,15,1.125,14.7,0.723,10.241,32.4,0.742
5.4,35.358,34.933,56.0,22,32,60.583,54.436,4,35,53.0,442.48,46.0,21,5.7,9,23,1.143,7.5,0.659,8.349,39.6,0.667
5.4,34.546,32.783,55.0,16,28,58.564,51.898,4,31,52.0,376.5,41.0,24,0.0,6,22,1.126,7.7,0.63,7.24,46.2,0.664
5.4,45.143,42.197,73.0,22,35,76.514,67.207,5,40,68.0,467.67,51.0,33,0.0,6,29,1.125,7.4,0.621,6.877,48.5,0.664
6.0,37.222,35.223,55.0,22,31,57.943,51.982,5,34,52.0,427.57,48.0,21,0.0,7,24,1.114,9.6,0.677,8.222,40.4,0.716
5.4,25.495,24.655,39.0,12,22,41.405,37.262,3,24,37.0,293.35,33.0,15,0.0,5,17,1.119,8.1,0.666,7.928,40.5,0.689
5.4,25.568,25.225,40.0,25,24,40.817,36.582,8,28,36.0,316.36,40.5,12,0.0,8,16,1.134,22.2,0.701,8.788,33.3,0.71
5.4,24.801,23.467,39.0,12,20,41.611,36.818,3,22,37.0,267.36,29.0,17,0.0,4,16,1.125,8.1,0.634,7.226,45.9,0.67
5.4,39.347,37.894,60.0,18,34,63.986,57.847,5,37,57.0,477.59,51.0,23,0.0,10,24,1.123,8.8,0.665,8.379,40.4,0.69
5.4,23.046,21.961,37.0,15,19,39.694,35.036,4,21,35.0,256.34,28.5,16,0.0,5,14,1.134,11.4,0.627,7.324,45.7,0.658
5.4,39.762,38.025,63.0,22,33,66.189,59.109,4,37,59.0,442.56,49.0,26,0.0,7,26,1.122,6.8,0.644,7.501,44.1,0.674
5.4,35.847,34.773,53.0,27,32,54.578,49.836,4,36,49.0,444.52,50.5,17,2.0,8,24,1.114,8.2,0.71,9.072,34.7,0.732
6.6,35.216,33.202,53.0,26,29,54.444,48.88,4,33,49.0,400.54,46.0,20,0.0,6,23,1.111,8.2,0.678,8.174,40.8,0.719
5.9,28.364,26.816,46.0,16,23,48.896,42.796,6,26,43.0,308.43,34.0,20,0.0,6,17,1.137,14.0,0.624,7.173,46.5,0.66
5.4,29.262,27.904,47.0,11,24,49.781,44.098,3,27,44.0,325.42,34.5,20,2.3,5,19,1.131,6.8,0.634,7.396,45.5,0.665
5.8,33.523,31.723,48.0,18,28,51.099,46.429,3,30,46.0,411.94,41.0,18,2.2,7,21,1.111,6.5,0.69,8.955,39.1,0.729
5.4,26.176,25.116,40.0,16,23,40.282,36.447,5,27,36.0,323.41,36.0,13,0.0,7,16,1.119,13.9,0.698,8.984,36.1,0.727
5.4,24.034,24.968,37.0,17,25,40.637,37.203,4,27,35.0,350.3,36.5,10,11.4,9,16,1.161,11.4,0.713,10.009,28.6,0.687
6.5,29.546,27.954,42.0,21,25,43.06,39.334,3,28,39.0,367.88,39.5,14,2.6,6,19,1.104,7.7,0.717,9.433,35.9,0.758
5.4,39.228,37.245,59.0,27,33,61.441,55.083,6,37,55.0,454.6,51.5,22,0.0,8,25,1.117,10.9,0.677,8.265,40.0,0.713
5.5,35.784,34.256,56.0,22,30,58.149,52.014,4,34,52.0,398.5,46.0,22,0.0,6,24,1.118,7.7,0.659,7.663,42.3,0.688
5.4,29.938,28.643,44.0,22,26,45.697,41.331,5,29,41.0,361.46,41.0,15,0.0,7,19,1.115,12.2,0.699,8.816,36.6,0.73
5.4,43.961,41.518,67.0,28,36,70.398,62.96,5,40,63.0,497.67,56.0,27,0.0,8,28,1.117,7.9,0.659,7.9,42.9,0.698
5.4,47.83,45.218,80.0,12,38,86.843,76.05,8,42,76.0,522.73,50.0,38,0.0,11,27,1.143,10.5,0.595,6.878,50.0,0.629
5.4,22.284,21.434,35.0,15,19,37.279,33.153,4,21,33.0,254.32,29.5,14,0.0,5,14,1.13,12.1,0.65,7.707,42.4,0.675
5.8,43.387,41.891,66.0,27,38,69.903,62.909,7,42,62.0,529.65,57.5,24,1.6,11,27,1.127,11.3,0.676,8.543,38.7,0.7
7.1,40.569,38.569,67.0,12,33,72.02,63.156,7,37,63.0,451.61,45.0,30,1.6,9,24,1.143,11.1,0.612,7.168,47.6,0.644
5.4,24.046,22.961,38.0,16,20,40.694,36.036,4,22,36.0,268.35,30.0,16,0.0,5,15,1.13,11.1,0.638,7.454,44.4,0.668
5.4,20.318,20.418,30.0,12,20,31.685,29.255,5,22,28.0,289.7,30.0,8,3.6,8,12,1.132,17.9,0.729,10.346,28.6,0.726
5.4,36.04,34.494,58.0,21,30,62.691,55.287,6,33,55.0,408.53,43.5,25,1.8,8,22,1.14,10.9,0.627,7.428,45.5,0.655
5.4,19.892,19.536,29.0,16,19,29.036,26.796,5,22,26.0,269.31,31.0,7,0.0,7,12,1.117,19.2,0.751,10.358,26.9,0.765
5.4,35.188,33.369,53.0,22,29,55.883,50.011,4,32,50.0,404.93,44.0,21,2.0,6,23,1.118,8.0,0.667,8.099,42.0,0.704
5.4,48.586,45.723,81.0,12,38,87.76,76.832,7,42,77.0,521.74,50.0,39,0.0,10,28,1.14,9.1,0.594,6.776,50.6,0.631
5.4,36.222,34.223,55.0,22,30,56.943,50.982,5,34,51.0,415.56,46.0,21,0.0,7,23,1.117,9.8,0.671,8.148,41.2,0.71
5.4,31.341,29.335,45.0,20,26,46.534,42.189,4,29,42.0,380.53,41.0,16,0.0,7,19,1.108,9.5,0.698,9.06,38.1,0.746
5.4,48.847,46.428,78.0,27,40,82.305,72.854,7,45,73.0,535.71,59.5,33,0.0,9,31,1.127,9.6,0.636,7.338,45.2,0.669
5.4,45.143,42.197,73.0,22,35,76.514,67.207,5,40,68.0,467.67,51.0,33,0.0,6,29,1.125,7.4,0.621,6.877,48.5,0.664
5.4,17.858,17.682,26.0,12,17,26.977,24.825,4,19,24.0,246.67,26.0,7,4.2,6,11,1.124,16.7,0.737,10.278,29.2,0.744
5.4,22.716,21.38,33.0,17,19,34.574,31.018,4,21,31.0,268.37,29.5,12,0.0,5,14,1.115,12.9,0.69,8.657,38.7,0.733
5.4,30.71,29.896,47.0,23,27,49.03,44.473,3,30,44.0,359.41,41.5,17,0.0,6,21,1.114,6.8,0.679,8.168,38.6,0.698
5.4,32.534,30.74,50.0,18,26,53.567,47.694,2,28,48.0,346.46,38.0,22,0.0,4,22,1.116,4.2,0.64,7.218,45.8,0.678
6.1,37.466,35.718,56.0,27,32,58.026,52.2,6,36,52.0,440.57,50.5,20,0.0,8,24,1.116,11.5,0.687,8.472,38.5,0.721
5.4,29.926,29.749,47.0,25,28,48.872,44.163,5,32,43.0,379.4,44.5,15,4.7,8,20,1.137,11.6,0.692,8.823,34.9,0.696
5.4,31.591,31.684,49.0,22,30,52.207,47.6,4,33,46.0,410.41,45.0,16,4.3,9,21,1.135,8.7,0.689,8.922,34.8,0.687
5.4,28.807,27.488,45.0,20,24,47.109,41.92,4,27,42.0,318.41,38.0,18,0.0,5,19,1.122,9.5,0.654,7.581,42.9,0.686
5.8,42.836,40.385,68.0,16,34,73.308,64.65,5,37,65.0,457.63,49.0,31,0.0,7,27,1.128,7.7,0.621,7.04,47.7,0.659
5.4,29.995,29.387,47.0,22,27,50.03,44.752,6,30,44.0,364.42,41.0,17,2.3,8,19,1.137,13.6,0.668,8.282,38.6,0.682
5.6,29.5,28.676,46.0,16,26,46.903,42.363,4,30,42.0,344.4,41.0,16,0.0,6,20,1.117,9.5,0.683,8.2,38.1,0.702
5.4,39.256,38.324,61.0,16,35,65.405,59.502,5,38,58.0,497.58,52.0,23,0.0,12,23,1.128,8.6,0.661,8.579,39.7,0.677
7.3,34.552,32.805,55.0,12,28,60.062,53.0,5,30,53.0,379.51,39.0,25,0.0,7,21,1.133,9.4,0.619,7.161,47.2,0.652
5.4,22.739,21.217,32.0,18,20,31.165,28.724,6,24,28.0,320.46,33.0,8,0.0,9,11,1.113,21.4,0.758,11.445,28.6,0.812
5.4,33.58,32.058,53.0,21,28,56.521,50.007,6,31,50.0,374.49,42.5,22,0.0,7,21,1.13,12.0,0.641,7.49,44.0,0.672
5.4,28.449,27.074,42.0,22,24,43.428,39.033,4,27,39.0,334.83,38.0,15,2.6,5,19,1.114,10.3,0.694,8.585,38.5,0.729
5.4,29.262,28.203,46.0,16,25,48.318,43.247,4,28,43.0,334.41,38.0,18,0.0,6,19,1.124,9.3,0.656,7.777,41.9,0.681
5.4,34.375,33.268,53.0,22,30,56.805,50.843,6,33,50.0,426.92,44.0,20,4.0,9,21,1.136,12.0,0.665,8.538,40.0,0.688
5.4,30.711,29.597,47.0,18,26,50.492,45.323,2,28,45.0,350.42,38.0,19,2.2,5,21,1.122,4.4,0.658,7.787,42.2,0.682
5.4,25.051,23.983,41.0,15,21,43.192,38.138,5,24,38.0,283.37,31.5,17,0.0,6,15,1.137,13.2,0.631,7.457,44.7,0.659
5.4,27.029,25.751,45.0,10,22,49.232,43.232,5,24,43.0,303.41,30.0,21,0.0,7,15,1.145,11.6,0.599,7.056,48.8,0.629
5.4,32.381,32.165,50.0,22,30,53.543,48.341,4,33,47.0,410.43,45.0,17,6.4,8,22,1.139,8.5,0.684,8.733,36.2,0.689
6.4,38.972,38.756,58.0,28,37,61.301,56.032,5,41,54.0,523.55,56.0,17,7.4,11,26,1.135,9.3,0.718,9.695,31.5,0.722
5.8,27.353,25.773,43.0,20,22,44.9,39.592,4,25,40.0,290.4,35.0,18,0.0,4,18,1.122,10.0,0.644,7.26,45.0,0.684
5.4,45.211,43.034,69.0,27,38,72.979,65.28,7,42,65.0,525.69,57.5,27,0.0,10,28,1.123,10.8,0.662,8.088,41.5,0.696
5.4,22.381,21.735,33.0,11,20,34.807,31.593,4,22,31.0,286.74,30.5,11,3.2,6,14,1.123,12.9,0.701,9.25,35.5,0.722
5.4,35.921,34.433,54.0,22,31,57.235,51.527,6,34,51.0,432.55,47.0,20,0.0,9,22,1.122,11.8,0.675,8.481,39.2,0.704
5.4,32.534,30.74,50.0,18,26,53.567,47.694,2,28,48.0,346.46,38.0,22,0.0,4,22,1.116,4.2,0.64,7.218,45.8,0.678
5.4,23.279,22.413,35.0,17,20,36.78,33.051,3,22,33.0,263.32,31.5,13,0.0,4,16,1.115,9.1,0.679,7.979,39.4,0.705
6.5,37.404,36.101,56.0,27,33,58.365,52.712,6,37,52.0,458.56,51.5,19,1.9,9,24,1.122,11.5,0.694,8.818,36.5,0.719
5.4,18.966,18.58,29.0,16,17,30.076,27.393,2,19,27.0,226.25,27.0,10,0.0,4,13,1.114,7.4,0.688,8.38,37.0,0.702
5.4,27.96,27.412,45.0,15,25,47.611,42.793,5,28,42.0,339.39,37.5,17,0.0,8,17,1.134,11.9,0.653,8.081,40.5,0.666
5.4,26.591,25.535,39.0,12,23,41.036,37.564,2,25,37.0,326.4,34.0,14,0.0,6,17,1.109,5.4,0.69,8.822,37.8,0.719
5.4,24.637,23.46,36.0,16,21,38.12,34.382,4,23,34.0,345.22,32.0,13,2.9,6,15,1.121,11.8,0.69,10.154,38.2,0.725
5.4,19.739,19.149,31.0,6,17,35.488,31.48,4,17,31.0,234.29,23.0,14,0.0,6,11,1.145,12.9,0.618,7.558,45.2,0.637
5.4,26.176,25.116,40.0,16,23,40.282,36.447,5,27,36.0,323.41,36.0,13,0.0,7,16,1.119,13.9,0.698,8.984,36.1,0.727
5.4,55.836,53.239,91.0,26,46,96.341,85.152,9,52,85.0,621.82,67.0,39,0.0,12,34,1.133,10.6,0.626,7.316,45.9,0.657
5.8,36.336,34.563,57.0,26,30,59.438,52.789,5,34,53.0,397.52,47.0,23,0.0,6,24,1.121,9.4,0.652,7.5,43.4,0.686
5.4,27.262,26.203,43.0,15,23,46.318,41.247,4,25,41.0,310.39,34.5,18,0.0,6,17,1.13,9.8,0.639,7.57,43.9,0.665
5.4,21.097,20.435,30.0,16,19,31.127,28.654,2,21,28.0,272.32,30.0,9,3.6,5,14,1.112,7.1,0.73,9.726,32.1,0.753
5.4,35.353,34.912,55.0,18,32,59.085,53.334,3,35,52.0,439.47,46.0,20,5.8,8,24,1.136,5.8,0.671,8.451,38.5,0.68
6.8,44.233,42.016,68.0,18,37,73.655,66.047,7,40,65.0,590.56,52.0,28,1.5,13,24,1.133,10.8,0.646,9.086,43.1,0.681
5.4,31.017,29.708,47.0,18,26,50.235,45.029,3,28,45.0,345.43,39.0,19,0.0,5,21,1.116,6.7,0.66,7.676,42.2,0.689
5.4,34.909,34.539,55.0,22,32,59.41,53.36,6,35,52.0,438.48,47.0,20,3.8,10,22,1.142,11.5,0.664,8.432,38.5,0.671
5.4,31.756,30.914,51.0,21,28,53.445,47.636,6,32,47.0,378.45,42.5,19,2.1,8,20,1.137,12.8,0.658,8.052,40.4,0.676
5.4,37.591,36.1,60.0,22,32,63.517,56.211,8,36,56.0,428.55,48.0,24,0.0,9,23,1.134,14.3,0.645,7.653,42.9,0.671
5.4,39.858,37.617,62.0,18,32,66.268,58.556,5,35,59.0,425.58,47.0,27,0.0,6,26,1.123,8.5,0.638,7.213,45.8,0.676
5.4,32.75,31.893,50.0,23,29,52.947,47.534,5,32,47.0,387.45,44.5,18,2.1,7,22,1.127,10.6,0.679,8.244,38.3,0.697
5.4,22.631,21.532,35.0,11,19,38.954,34.625,4,20,34.0,282.38,26.5,15,2.9,7,12,1.146,11.8,0.633,8.305,44.1,0.666
5.4,17.0,16.854,26.0,12,16,27.033,24.502,4,18,24.0,212.23,25.0,8,0.0,5,11,1.126,16.7,0.702,8.843,33.3,0.708
5.7,29.029,29.071,44.0,22,28,46.899,42.705,6,31,41.0,402.82,42.0,13,7.3,10,18,1.144,14.6,0.709,9.825,31.7,0.708
5.4,41.222,39.223,60.0,28,35,61.943,55.982,5,39,56.0,475.61,56.0,21,0.0,7,28,1.106,8.9,0.7,8.493,37.5,0.736
5.4,31.841,31.901,51.0,17,30,55.251,49.771,5,33,48.0,417.43,42.5,18,6.3,10,20,1.151,10.4,0.665,8.696,37.5,0.663
5.4,42.307,40.31,65.0,28,35,67.979,60.781,4,39,61.0,462.59,54.0,26,0.0,6,29,1.114,6.6,0.661,7.583,42.6,0.694
5.4,29.801,28.467,45.0,22,25,46.611,41.818,3,28,42.0,327.41,40.0,17,0.0,4,21,1.11,7.1,0.678,7.795,40.5,0.71
5.5,32.603,31.289,50.0,27,28,51.481,45.912,6,32,46.0,366.46,45.5,18,0.0,6,22,1.119,13.0,0.68,7.967,39.1,0.709
5.4,29.841,27.552,48.0,12,22,51.773,45.251,2,24,46.0,296.45,30.0,24,0.0,3,19,1.126,4.3,0.599,6.445,52.2,0.649
5.4,32.887,31.158,51.0,16,27,55.278,49.418,4,29,49.0,386.52,40.0,22,0.0,8,19,1.128,8.2,0.636,7.888,44.9,0.671
5.4,26.523,25.908,39.0,17,24,39.863,36.269,4,27,36.0,312.35,39.5,12,0.0,5,19,1.107,11.1,0.72,8.676,33.3,0.737
5.4,23.801,22.467,37.0,12,19,40.611,35.818,3,20,36.0,255.35,27.0,17,0.0,4,15,1.128,8.3,0.624,7.093,47.2,0.661
5.4,34.103,32.111,55.0,16,27,60.351,52.774,6,29,53.0,366.52,38.0,26,0.0,7,20,1.139,11.3,0.606,6.915,49.1,0.643
5.4,25.477,24.195,36.0,16,22,37.541,34.756,2,24,34.0,332.43,35.0,12,0.0,7,15,1.104,5.9,0.712,9.777,35.3,0.749
5.4,21.375,20.714,31.0,16,19,32.309,29.491,3,21,29.0,271.72,30.0,10,3.4,5,14,1.114,10.3,0.714,9.37,34.5,0.737
6.8,34.159,32.906,51.0,22,30,53.82,48.643,6,33,48.0,418.52,46.0,18,0.0,9,21,1.121,12.5,0.686,8.719,37.5,0.712
5.4,53.62,50.997,87.0,26,44,91.716,80.941,9,50,81.0,591.79,65.0,37,0.0,11,33,1.132,11.1,0.63,7.306,45.7,0.662
5.4,33.534,31.74,52.0,17,27,54.567,48.694,2,30,49.0,358.47,40.5,22,0.0,4,23,1.114,4.1,0.648,7.316,44.9,0.684
5.4,21.324,21.703,32.0,12,21,33.206,31.273,1,23,30.0,283.25,32.0,9,0.0,6,15,1.107,3.3,0.723,9.442,30.0,0.711
5.7,35.216,33.202,53.0,26,29,54.444,48.88,4,33,49.0,400.54,46.0,20,0.0,6,23,1.111,8.2,0.678,8.174,40.8,0.719
5.4,31.387,31.485,50.0,25,30,52.579,47.592,6,34,46.0,410.42,46.5,16,4.3,10,20,1.143,13.0,0.684,8.922,34.8,0.682
5.4,26.137,24.82,38.0,12,22,39.827,36.236,2,24,36.0,310.4,33.0,14,0.0,5,17,1.106,5.6,0.689,8.622,38.9,0.726
5.4,19.71,18.647,27.0,6,17,28.627,26.771,1,18,26.0,267.35,24.0,9,0.0,6,11,1.101,3.8,0.717,10.283,34.6,0.758
5.4,20.33,19.422,27.0,10,18,28.884,27.116,2,19,26.0,303.18,26.0,8,7.7,7,11,1.111,7.7,0.747,11.661,30.8,0.782
5.4,32.705,31.191,49.0,22,28,51.61,46.316,6,31,46.0,390.51,43.0,18,0.0,8,20,1.122,13.0,0.678,8.489,39.1,0.711
5.7,43.506,40.804,66.0,22,35,69.188,61.632,5,39,62.0,481.67,53.0,27,0.0,7,28,1.116,8.1,0.658,7.769,43.5,0.702
5.4,43.165,41.137,65.0,28,36,67.923,61.105,4,40,61.0,497.03,55.0,25,1.6,7,29,1.113,6.6,0.674,8.148,41.0,0.708
5.8,26.807,25.488,43.0,16,22,45.109,39.92,4,25,40.0,294.39,33.0,18,0.0,5,17,1.128,10.0,0.637,7.36,45.0,0.67
5.4,25.671,27.261,40.0,17,28,44.732,41.112,4,30,38.0,400.31,39.5,10,15.8,11,17,1.177,10.5,0.717,10.534,26.3,0.676
7.8,34.494,33.26,50.0,26,31,51.036,47.062,5,35,46.0,449.55,51.0,15,0.0,10,21,1.109,10.9,0.723,9.773,32.6,0.75
5.4,19.761,20.09,28.0,6,20,28.898,27.378,3,22,26.0,287.67,31.0,6,3.8,7,13,1.111,11.5,0.773,11.064,23.1,0.76
5.4,21.375,20.714,31.0,16,19,32.309,29.491,3,21,29.0,271.72,30.0,10,3.4,5,14,1.114,10.3,0.714,9.37,34.5,0.737
5.4,23.682,22.106,35.0,16,19,36.617,32.909,2,21,33.0,270.38,29.0,14,0.0,4,15,1.11,6.1,0.67,8.193,42.4,0.718
5.4,31.125,29.632,48.0,16,26,51.863,46.534,4,28,46.0,372.49,39.0,20,0.0,8,18,1.127,8.7,0.644,8.098,43.5,0.677
5.4,33.165,31.535,49.0,22,28,51.449,46.251,5,31,46.0,436.34,43.0,18,2.2,7,21,1.118,10.9,0.686,9.486,39.1,0.721
5.4,41.443,39.486,63.0,27,35,66.065,59.294,6,39,59.0,484.63,53.5,24,0.0,9,26,1.12,10.2,0.669,8.214,40.7,0.702
5.4,29.012,27.687,44.0,18,24,46.737,41.927,2,26,42.0,318.4,36.0,18,0.0,4,20,1.113,4.8,0.659,7.581,42.9,0.691
5.4,21.097,20.435,30.0,16,19,31.127,28.654,2,21,28.0,272.32,30.0,9,3.6,5,14,1.112,7.1,0.73,9.726,32.1,0.753
7.4,31.341,29.584,51.0,12,25,55.936,48.891,6,27,49.0,340.48,34.0,24,0.0,7,18,1.142,12.2,0.604,6.949,49.0,0.64
5.4,27.915,27.706,42.0,22,26,43.875,39.96,3,29,39.0,349.36,41.0,13,5.1,6,20,1.125,7.7,0.71,8.958,33.3,0.716
5.4,20.546,20.129,29.0,16,19,29.838,27.88,1,21,27.0,273.3,30.0,8,3.7,5,14,1.105,3.7,0.746,10.122,29.6,0.761
5.4,29.506,28.697,46.0,21,26,48.402,43.465,5,29,43.0,347.41,40.5,17,0.0,7,19,1.126,11.6,0.667,8.079,39.5,0.686
5.4,19.057,18.071,24.0,10,17,23.868,23.036,1,19,22.0,330.59,26.0,5,9.1,6,11,1.085,4.5,0.821,15.027,22.7,0.866
5.4,23.75,23.282,32.0,12,22,33.035,31.473,1,24,30.0,356.59,32.0,8,10.0,7,15,1.101,3.3,0.776,11.886,26.7,0.792
5.7,34.188,32.369,52.0,22,28,54.883,49.011,4,31,49.0,392.92,42.0,21,2.0,6,22,1.12,8.2,0.661,8.019,42.9,0.698
5.4,34.33,32.542,53.0,22,28,55.939,49.687,4,31,50.0,370.49,43.0,22,0.0,5,23,1.119,8.0,0.651,7.41,44.0,0.687
5.4,30.773,29.214,47.0,18,25,50.152,44.811,2,27,45.0,332.43,37.0,20,0.0,4,21,1.114,4.4,0.649,7.387,44.4,0.684
6.6,27.739,25.552,39.0,21,23,40.371,36.214,6,26,36.0,416.25,36.5,13,2.8,7,16,1.121,16.7,0.71,11.562,36.1,0.771
5.4,32.603,31.279,48.0,18,28,51.495,46.618,3,30,46.0,395.49,41.0,18,2.2,7,21,1.119,6.5,0.68,8.598,39.1,0.709
5.4,27.108,27.016,44.0,11,25,48.077,43.414,4,27,42.0,348.37,34.5,17,2.4,9,16,1.145,9.5,0.643,8.295,40.5,0.645
5.4,23.841,23.471,35.0,12,22,38.515,35.022,5,23,34.0,317.76,32.0,12,2.9,8,14,1.133,14.7,0.69,9.346,35.3,0.701
5.4,27.011,26.502,39.0,20,26,40.66,37.505,8,29,36.0,386.46,41.0,10,0.0,12,14,1.129,22.2,0.736,10.735,27.8,0.75
5.4,28.597,27.268,45.0,21,24,45.983,40.811,5,28,41.0,315.41,38.5,17,0.0,5,19,1.122,12.2,0.665,7.693,41.5,0.697
5.4,36.239,34.971,57.0,22,31,59.358,53.342,4,35,53.0,414.5,47.0,22,0.0,7,24,1.12,7.5,0.66,7.821,41.5,0.684
5.8,38.909,37.928,61.0,18,34,65.192,58.88,4,37,58.0,460.53,49.0,24,0.0,9,25,1.124,6.9,0.654,7.94,41.4,0.671
5.4,22.404,20.487,33.0,10,18,36.707,32.651,5,19,32.0,363.19,24.0,14,3.1,8,10,1.147,15.6,0.64,11.35,43.8,0.7
5.4,21.705,21.786,33.0,17,21,35.286,32.0,5,23,31.0,283.29,32.5,10,3.2,7,14,1.138,16.1,0.703,9.138,32.3,0.7
5.4,21.034,20.819,30.0,16,20,31.466,29.167,2,22,28.0,290.31,31.0,8,7.1,6,14,1.124,7.1,0.744,10.368,28.6,0.751
5.4,25.449,24.783,36.0,12,23,37.878,35.025,3,25,34.0,348.2,34.0,11,5.9,7,16,1.114,8.8,0.729,10.241,32.4,0.748
5.4,15.682,15.316,23.0,15,15,23.91,21.687,6,17,21.0,218.27,24.5,6,0.0,7,8,1.139,28.6,0.729,10.394,28.6,0.747
5.4,37.591,35.801,60.0,22,31,64.98,57.061,7,34,57.0,419.56,45.0,26,1.8,8,23,1.14,12.3,0.628,7.361,45.6,0.659
5.4,20.307,19.666,31.0,20,18,31.239,28.058,4,21,28.0,234.28,31.0,10,0.0,4,14,1.116,14.3,0.702,8.367,35.7,0.725
5.4,32.046,30.174,45.0,22,27,46.455,42.342,4,30,42.0,439.36,42.0,15,2.4,7,20,1.106,9.5,0.718,10.461,35.7,0.763
5.4,31.779,30.235,49.0,18,26,52.651,46.912,3,28,47.0,347.45,38.0,21,0.0,5,21,1.12,6.4,0.643,7.393,44.7,0.676
5.4,34.216,32.202,51.0,22,28,53.444,47.88,4,31,48.0,388.53,43.0,20,0.0,6,22,1.113,8.3,0.671,8.094,41.7,0.713
6.9,26.563,24.993,42.0,16,21,45.026,39.702,3,23,40.0,281.39,31.0,19,0.0,4,17,1.126,7.5,0.625,7.035,47.5,0.664
5.4,23.341,24.079,36.0,17,24,39.381,35.909,5,26,34.0,333.3,35.5,10,8.8,9,15,1.158,14.7,0.708,9.803,29.4,0.687
5.4,31.387,31.485,50.0,25,30,52.579,47.592,6,34,46.0,410.42,46.5,16,4.3,10,20,1.143,13.0,0.684,8.922,34.8,0.682
5.4,34.728,33.96,54.0,22,31,57.524,51.778,6,34,51.0,416.48,47.0,20,0.0,9,22,1.128,11.8,0.666,8.166,39.2,0.681
