pXC50,SM06_EA.bo.,SpMax2_Bh.v.,SpMax2_Bh.p.,SpMax2_Bh.e.,SM08_AEA.bo.,SM09_EA.bo.,SM08_EA.bo.,SM10_EA.bo.,SM11_EA.bo.,SM13_EA.bo.,SM14_EA.bo.,D.Dtr05,SpMax3_Bh.m.,SM12_EA.bo.,SM15_EA.bo.,SM05_EA.bo.,SM07_EA.bo.,SpMax4_Bh.m.,SpMax2_Bh.m.,IC2,piPC10,SpMax1_Bh.v.,Eta_betaP,nBM,Uc,Ui,SM07_AEA.bo.,MPC10,X4v,ZM1Mad,SpMax1_Bh.e.,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,SM04_EA.bo.,X3v,SpMax5_Bh.p.,SpMax1_Bh.p.,SpMax2_Bh.i.,SpMax1_Bh.m.,P_VSA_LogP_6,piPC03,SpMaxA_AEA.dm.,GATS6s,MPC07,MATS6s,SM03_EA.bo.,SpMaxA_EA.dm.,CATS2D_01_LL,nCsp2,MPC09,CATS2D_09_DL,MAXDP,SM06_EA.ri.,X4,X4sol,ATSC4p,Eig05_AEA.ri.,Eig05_EA,Eig05_EA.ri.,Eig08_AEA.ed.,Eig08_EA.ed.
5.041,9.578,3.861,3.862,3.953,13.251,13.171,12.097,14.705,15.901,18.632,20.058,0.0,3.836,17.366,21.367,7.684,10.44,3.653,3.902,4.245,6.415,3.95,22.0,20,4.392,3.585,11.818,5.226,5.814,214.882,4.043,3.991,3.991,6.991,3.991,7.225,8.042,3.458,3.952,3.977,3.975,0.0,4.999,0.1,0.907,4.956,-0.012,4.796,0.049,20,20,5.13,0,6.996,8.346,11.636,11.636,19.183,3.377,2.42,2.309,4.656,4.78
5.602,9.516,3.861,3.853,3.953,13.214,13.147,12.02,14.627,15.86,18.584,19.992,0.0,3.783,17.293,21.318,7.759,10.451,3.654,3.904,4.652,6.463,3.945,17.5,15,4.0,3.322,11.821,5.252,6.146,246.354,4.037,3.982,3.982,6.982,3.982,7.196,8.498,3.549,3.946,3.978,3.969,6.763,4.938,0.084,1.229,4.997,-0.121,4.977,0.048,14,15,5.226,3,6.3,8.21,12.474,12.474,20.786,3.549,2.586,2.499,5.278,6.656
8.0,9.584,3.862,3.854,3.954,13.266,13.246,12.099,14.721,15.97,18.712,20.124,0.0,3.779,17.404,21.465,7.849,10.542,3.712,3.925,4.557,6.485,3.95,17.5,15,4.0,3.322,11.873,5.288,6.265,273.955,4.037,4.048,4.048,7.048,4.048,7.252,8.708,3.537,3.952,3.977,4.047,6.763,4.977,0.08,0.948,5.037,-0.07,5.066,0.046,10,15,5.252,0,6.334,8.198,12.912,13.132,21.723,3.558,2.598,2.505,5.293,6.716
8.2,9.221,3.852,3.86,3.917,12.808,12.699,11.676,14.215,15.356,18.02,19.429,81.644,3.729,16.805,20.692,7.375,10.046,3.643,3.928,4.402,6.145,3.928,14.0,13,3.807,3.0,11.43,4.913,5.311,202.164,4.026,3.897,3.897,6.897,3.897,6.92,7.426,3.329,3.932,3.943,4.119,0.0,4.691,0.112,1.204,4.754,-0.031,4.575,0.058,11,13,4.89,0,6.501,7.713,9.229,9.615,16.225,3.327,2.432,2.094,4.082,3.547
8.0,9.683,3.91,3.918,3.993,13.008,13.686,12.4,15.249,16.647,19.623,21.133,144.699,3.799,18.171,22.612,7.807,10.744,3.724,3.925,4.448,6.968,4.067,15.5,17,4.17,3.322,11.599,5.215,6.482,212.845,4.099,4.504,4.504,7.504,4.504,7.187,8.176,3.418,4.118,4.027,4.34,12.517,4.923,0.109,1.196,4.97,-0.006,4.771,0.058,14,15,5.136,0,6.634,7.858,10.18,11.162,17.27,3.17,2.253,2.083,4.259,3.73
8.6,10.12,3.891,3.894,3.987,13.675,13.876,12.68,15.397,16.727,19.629,21.118,161.409,3.9,18.223,22.567,8.356,11.09,3.856,4.086,5.126,7.185,4.059,34.0,31,5.0,4.392,12.302,5.817,10.242,450.162,4.141,4.474,4.474,7.474,4.474,7.779,14.439,3.649,4.054,4.023,4.178,13.915,5.473,0.051,1.092,5.447,-0.075,5.551,0.03,22,29,5.694,23,7.778,8.663,19.411,20.829,30.369,3.822,2.835,2.79,5.826,7.93
8.3,10.279,3.903,3.904,4.014,13.943,13.986,12.799,15.479,16.797,19.672,21.151,536.456,3.924,18.275,22.593,8.573,11.25,3.86,4.089,5.301,7.27,4.063,40.0,35,5.17,4.644,12.569,6.054,13.147,586.192,4.149,4.474,4.474,7.474,4.474,7.976,18.61,3.696,4.058,4.054,4.181,13.915,5.677,0.039,1.031,5.717,-0.023,5.816,0.023,24,33,5.951,27,8.132,8.963,25.544,26.963,38.165,3.903,2.919,2.862,6.041,8.654
7.84,10.151,3.893,3.898,3.989,13.77,13.921,12.719,15.434,16.763,19.656,21.14,156.541,3.899,18.252,22.586,8.407,11.141,3.856,4.086,5.051,7.196,4.059,32.5,30,4.954,4.322,12.377,5.838,10.699,448.415,4.141,4.474,4.474,7.474,4.474,7.791,15.319,3.656,4.054,4.026,4.206,13.915,5.473,0.06,1.191,5.455,-0.058,5.597,0.031,21,28,5.71,25,7.779,8.764,19.058,20.658,32.433,3.867,2.881,2.832,5.818,7.924
8.28,10.47,4.032,4.032,4.086,13.954,14.31,13.09,15.846,17.188,20.098,21.585,183.454,4.034,18.689,23.03,8.664,11.472,3.895,4.092,5.063,7.574,4.079,42.5,41,5.392,4.672,12.558,6.026,12.558,510.415,4.155,4.474,4.474,7.474,4.474,8.054,17.762,3.761,4.08,4.111,4.209,13.915,5.735,0.051,1.28,5.67,-0.071,5.779,0.027,34,38,5.922,28,8.241,8.916,23.152,24.752,38.76,3.914,2.931,2.873,5.935,8.264
7.9,10.365,3.92,3.921,4.025,13.925,14.128,12.935,15.637,16.951,19.819,21.292,181.296,3.962,18.432,22.722,8.608,11.354,3.89,4.088,5.124,7.296,4.062,41.5,38,5.285,4.644,12.532,5.943,11.775,502.592,4.146,4.474,4.474,7.474,4.474,7.987,16.845,3.756,4.057,4.058,4.208,13.915,5.65,0.053,1.116,5.587,-0.066,5.77,0.03,26,34,5.826,27,8.106,8.875,21.867,23.467,35.827,3.867,2.881,2.832,5.925,8.251
8.68,10.25,3.907,3.913,4.002,13.835,13.967,12.8,15.494,16.799,19.682,21.167,172.237,3.908,18.294,22.603,8.461,11.194,3.86,4.087,4.982,7.268,4.061,38.5,36,5.209,4.524,12.447,5.922,11.635,480.415,4.144,4.474,4.474,7.474,4.474,7.899,16.541,3.754,4.056,4.039,4.207,13.915,5.591,0.055,1.262,5.541,-0.065,5.645,0.029,28,34,5.796,27,8.069,8.828,21.2,22.8,35.628,3.867,2.881,2.832,5.92,8.233
8.22,10.157,3.896,3.9,3.994,13.78,13.923,12.722,15.435,16.764,19.657,21.141,169.615,3.901,18.253,22.587,8.409,11.143,3.856,4.087,5.097,7.213,4.06,32.5,30,4.954,4.322,12.389,5.892,11.485,469.109,4.143,4.474,4.474,7.474,4.474,7.805,16.462,3.665,4.055,4.032,4.207,13.915,5.498,0.056,1.243,5.509,-0.066,5.597,0.029,24,28,5.762,25,7.98,8.786,20.21,21.81,35.069,3.867,2.881,2.832,5.89,8.031
9.18,10.251,3.908,3.913,4.003,13.837,13.967,12.8,15.494,16.799,19.682,21.167,174.128,3.909,18.294,22.603,8.461,11.194,3.86,4.087,5.005,7.272,4.061,38.5,36,5.209,4.524,12.448,5.935,11.806,484.415,4.144,4.474,4.474,7.474,4.474,7.901,16.791,3.755,4.057,4.04,4.207,13.915,5.594,0.054,1.271,5.553,-0.073,5.645,0.028,29,34,5.808,27,8.095,8.831,21.39,22.99,36.326,3.867,2.881,2.832,5.92,8.233
7.85,10.281,3.91,3.916,4.003,13.862,14.004,12.833,15.524,16.829,19.706,21.188,175.214,4.0,18.32,22.622,8.507,11.236,3.895,4.089,5.09,7.277,4.061,38.5,36,5.209,4.524,12.473,5.932,11.768,501.935,4.144,4.474,4.474,7.474,4.474,7.925,16.863,3.755,4.057,4.039,4.208,13.915,5.607,0.054,1.256,5.557,-0.072,5.692,0.028,26,34,5.802,27,8.092,8.834,21.341,23.108,36.317,3.867,2.881,2.832,5.92,8.236
7.49,10.156,3.895,3.9,3.993,13.778,13.923,12.722,15.435,16.764,19.657,21.141,167.723,3.901,18.253,22.587,8.409,11.143,3.856,4.087,5.104,7.208,4.06,32.5,30,4.954,4.322,12.387,5.878,11.314,465.109,4.142,4.474,4.474,7.474,4.474,7.802,16.212,3.656,4.055,4.03,4.207,13.915,5.494,0.057,1.234,5.497,-0.059,5.597,0.03,23,28,5.749,25,7.954,8.783,20.019,21.619,34.38,3.867,2.881,2.832,5.89,8.031
6.99,10.489,4.035,4.034,4.09,13.967,14.373,13.132,15.913,17.274,20.206,21.7,182.703,4.04,18.781,23.158,8.681,11.511,3.895,4.093,5.066,7.58,4.082,42.5,41,5.392,4.672,12.567,6.033,12.646,510.415,4.156,4.474,4.474,7.474,4.474,8.058,17.812,3.76,4.083,4.115,4.21,13.915,5.742,0.051,1.259,5.67,-0.063,5.779,0.027,34,38,5.93,28,8.27,8.929,23.283,24.883,38.859,3.914,2.931,2.873,5.928,8.257
8.5,10.488,4.035,4.034,4.089,13.966,14.373,13.132,15.913,17.274,20.206,21.7,180.811,4.04,18.781,23.158,8.681,11.511,3.894,4.093,5.043,7.577,4.081,42.5,41,5.392,4.672,12.566,6.021,12.475,506.415,4.155,4.474,4.474,7.474,4.474,8.056,17.562,3.76,4.083,4.114,4.209,13.915,5.739,0.052,1.251,5.659,-0.055,5.779,0.027,33,38,5.919,28,8.244,8.927,23.093,24.693,38.147,3.914,2.931,2.873,5.928,8.257
7.14,10.366,3.921,3.921,4.025,13.926,14.128,12.935,15.637,16.951,19.819,21.292,183.187,3.962,18.432,22.722,8.608,11.354,3.891,4.088,5.145,7.3,4.062,41.5,38,5.285,4.644,12.533,5.956,11.946,506.592,4.146,4.474,4.474,7.474,4.474,7.989,17.095,3.756,4.057,4.058,4.208,13.915,5.654,0.052,1.123,5.598,-0.072,5.77,0.03,27,34,5.838,27,8.132,8.878,22.057,23.658,36.523,3.867,2.881,2.832,5.925,8.251
8.94,10.305,3.938,3.942,4.026,13.887,14.052,12.869,15.57,16.88,19.755,21.233,172.318,3.941,18.367,22.665,8.527,11.273,3.885,4.088,5.118,7.379,4.062,38.5,36,5.209,4.524,12.494,6.04,12.308,493.109,4.146,4.474,4.474,7.474,4.474,7.939,17.303,3.754,4.058,4.063,4.208,13.915,5.634,0.054,1.266,5.659,-0.066,5.692,0.028,28,34,5.935,27,8.189,8.882,22.405,24.005,36.734,3.914,2.931,2.873,5.928,8.261
7.89,10.469,4.032,4.032,4.086,13.953,14.31,13.09,15.846,17.188,20.098,21.585,181.563,4.034,18.689,23.03,8.664,11.472,3.894,4.092,5.041,7.571,4.078,42.5,41,5.392,4.672,12.557,6.014,12.387,506.415,4.154,4.474,4.474,7.474,4.474,8.052,17.512,3.761,4.079,4.111,4.209,13.915,5.731,0.052,1.272,5.659,-0.063,5.779,0.027,33,38,5.911,28,8.215,8.914,22.961,24.561,38.052,3.914,2.931,2.873,5.935,8.264
8.04,10.152,3.894,3.898,3.99,13.771,13.921,12.719,15.434,16.763,19.656,21.14,158.432,3.9,18.252,22.586,8.407,11.141,3.856,4.086,5.073,7.201,4.059,32.5,30,4.954,4.322,12.379,5.852,10.87,452.415,4.141,4.474,4.474,7.474,4.474,7.793,15.569,3.665,4.054,4.027,4.206,13.915,5.477,0.059,1.199,5.468,-0.065,5.597,0.031,22,28,5.724,25,7.828,8.768,19.249,20.849,33.125,3.867,2.881,2.832,5.818,7.924
8.86,10.282,3.911,3.917,4.004,13.863,14.004,12.833,15.524,16.829,19.706,21.188,177.105,4.0,18.32,22.622,8.507,11.236,3.895,4.089,5.111,7.281,4.061,38.5,36,5.209,4.524,12.475,5.945,11.939,505.935,4.144,4.474,4.474,7.474,4.474,7.928,17.113,3.756,4.057,4.04,4.208,13.915,5.611,0.054,1.264,5.568,-0.079,5.692,0.028,27,34,5.814,27,8.118,8.837,21.532,23.298,37.019,3.867,2.881,2.832,5.92,8.236
7.469,10.073,3.845,3.842,3.933,13.525,14.368,12.945,15.914,17.4,20.454,21.993,94.511,3.913,18.938,23.526,8.375,11.363,3.719,4.727,4.743,6.963,4.007,17.0,14,3.907,3.17,12.037,4.844,5.426,307.509,4.103,4.76,4.76,7.76,4.76,7.393,7.248,3.025,4.088,3.949,6.881,0.0,4.864,0.139,0.889,4.736,0.034,5.316,0.113,2,12,4.779,0,5.964,7.916,9.484,10.874,14.052,3.43,2.503,2.282,4.624,4.851
8.87,10.306,3.939,3.942,4.027,13.888,14.052,12.869,15.57,16.88,19.755,21.233,174.21,3.942,18.367,22.665,8.527,11.273,3.885,4.088,5.139,7.383,4.063,38.5,36,5.209,4.524,12.495,6.052,12.479,497.109,4.146,4.474,4.474,7.474,4.474,7.941,17.553,3.755,4.059,4.063,4.208,13.915,5.638,0.053,1.274,5.67,-0.074,5.692,0.028,29,34,5.945,27,8.215,8.885,22.595,24.195,37.435,3.914,2.931,2.873,5.928,8.261
6.7,9.296,3.806,3.814,3.86,12.919,13.01,11.87,14.523,15.767,18.524,19.946,0.0,3.585,17.222,21.282,7.464,10.248,3.388,3.9,4.118,6.85,3.974,13.5,13,3.807,3.0,11.476,4.489,3.178,146.131,4.046,4.047,4.047,7.047,4.047,6.874,4.587,2.967,3.974,3.882,4.041,0.0,4.575,0.161,1.337,4.654,-0.09,4.575,0.069,11,13,4.718,0,5.524,7.88,6.827,6.994,11.855,3.005,2.011,1.968,3.638,2.586
7.959,10.106,3.863,3.867,3.971,13.601,13.987,12.751,15.494,16.824,19.667,21.114,285.612,3.875,18.289,22.519,8.298,11.153,3.861,3.933,4.942,7.634,3.997,28.0,26,4.755,3.954,12.169,5.966,7.101,287.472,4.092,4.296,4.296,7.296,4.296,7.64,9.808,3.565,3.986,4.019,4.053,2.757,5.394,0.074,1.343,5.497,-0.123,5.308,0.025,14,24,5.814,3,7.424,8.498,16.343,16.343,21.945,3.726,2.783,2.62,5.413,6.479
7.854,10.402,3.925,3.966,4.055,13.837,14.571,13.201,16.107,17.554,20.561,22.08,293.549,3.875,19.075,23.588,8.647,11.61,3.864,4.047,5.046,7.644,4.005,29.5,27,4.807,4.044,12.369,5.974,7.971,335.418,4.121,4.723,4.723,7.723,4.723,7.8,11.153,3.567,4.036,4.071,4.738,12.893,5.423,0.085,1.666,5.497,-0.233,5.568,0.025,14,23,5.826,2,7.422,8.521,15.972,16.87,23.391,3.726,2.783,2.62,5.477,6.557
7.409,10.195,3.95,3.97,4.037,13.63,14.456,13.046,16.0,17.477,20.519,22.053,229.216,4.012,19.01,23.579,8.451,11.455,3.87,4.024,4.939,7.365,4.003,22.0,20,4.392,3.644,12.145,5.659,7.956,302.66,4.099,4.756,4.756,7.756,4.756,7.551,10.937,3.543,4.113,4.017,4.788,11.771,5.167,0.107,0.887,5.252,-0.068,5.316,0.029,9,17,5.513,2,6.87,8.261,12.589,14.368,19.302,3.488,2.526,2.417,4.923,5.213
7.161,10.325,3.946,3.976,4.034,13.766,14.489,13.121,16.029,17.476,20.483,22.003,280.149,4.008,18.998,23.509,8.554,11.522,3.874,4.046,4.842,7.636,4.008,29.5,27,4.807,4.044,12.298,5.958,8.731,346.533,4.103,4.698,4.698,7.698,4.698,7.735,12.078,3.573,4.107,4.005,4.784,11.771,5.376,0.088,1.214,5.481,-0.129,5.46,0.026,15,24,5.814,2,7.37,8.457,15.583,17.275,22.476,3.726,2.783,2.62,5.413,6.479
7.699,10.371,3.919,3.968,4.047,13.81,14.555,13.178,16.098,17.553,20.574,22.101,286.356,3.875,19.08,23.616,8.608,11.58,3.864,4.046,4.969,7.642,4.003,29.5,27,4.807,4.044,12.339,5.971,7.923,329.602,4.111,4.741,4.741,7.741,4.741,7.77,11.012,3.565,4.039,4.032,4.739,5.449,5.403,0.087,1.202,5.497,-0.133,5.515,0.025,14,23,5.823,2,7.389,8.528,16.164,17.22,22.492,3.726,2.783,2.62,5.477,6.557
6.745,9.809,3.862,3.866,3.942,13.333,13.631,12.43,15.153,16.461,19.304,20.759,86.532,3.864,17.937,22.158,7.972,10.809,3.638,3.874,4.466,7.497,3.991,22.5,20,4.392,3.585,11.903,5.72,5.752,222.096,4.083,4.296,4.296,7.296,4.296,7.364,7.9,3.418,3.98,3.979,4.046,0.0,5.146,0.096,1.693,5.342,-0.167,5.007,0.033,14,20,5.591,0,6.892,8.252,12.888,12.888,18.04,3.484,2.521,2.414,5.209,5.993
9.0,9.76,3.847,3.844,3.923,13.231,13.51,12.347,15.026,16.296,19.088,20.524,93.231,3.87,17.759,21.888,7.916,10.724,3.682,3.961,4.958,7.423,3.986,21.5,19,4.322,3.459,11.821,5.714,5.84,246.602,4.077,4.179,4.179,7.179,4.179,7.343,8.048,3.477,3.978,3.952,4.034,44.548,5.101,0.087,1.192,5.283,-0.072,4.977,0.029,8,17,5.557,2,6.909,8.058,12.582,12.851,17.982,3.525,2.577,2.378,4.883,5.324
6.523,9.809,3.862,3.866,3.941,13.333,13.631,12.43,15.153,16.461,19.304,20.759,86.532,3.863,17.937,22.158,7.972,10.809,3.638,3.873,4.444,7.497,3.989,22.5,20,4.392,3.585,11.903,5.72,5.575,222.789,4.082,4.296,4.296,7.296,4.296,7.364,7.736,3.359,3.978,3.978,4.045,0.0,5.146,0.096,1.529,5.342,-0.13,5.007,0.033,13,20,5.591,0,6.836,8.25,12.888,12.888,17.429,3.483,2.521,2.411,5.209,5.993
6.337,9.776,3.861,3.866,3.939,13.268,13.589,12.395,15.116,16.42,19.262,20.718,81.316,3.86,17.898,22.115,7.929,10.766,3.635,3.868,4.408,7.448,3.982,22.5,20,4.392,3.585,11.843,5.652,5.177,211.763,4.074,4.289,4.289,7.289,4.289,7.335,7.25,3.274,3.971,3.974,4.036,0.0,5.104,0.099,1.405,5.209,-0.114,4.966,0.034,13,20,5.521,0,6.522,8.16,11.95,11.95,16.153,3.293,2.33,2.234,5.157,5.94
6.824,9.749,3.846,3.852,3.925,13.213,13.557,12.367,15.089,16.393,19.24,20.698,78.138,3.848,17.875,22.098,7.888,10.729,3.631,3.862,4.214,7.424,3.98,22.5,20,4.392,3.585,11.791,5.609,4.873,205.43,4.071,4.289,4.289,7.289,4.289,7.311,6.728,3.266,3.968,3.962,4.035,0.0,5.074,0.102,1.526,5.165,-0.151,4.924,0.035,13,20,5.481,0,6.47,8.082,11.553,11.553,14.889,3.293,2.328,2.234,5.018,5.806
6.0,9.892,3.857,3.85,3.942,13.349,13.776,12.544,15.289,16.614,19.457,20.905,83.525,3.862,18.083,22.305,8.083,10.939,3.64,3.903,4.468,7.463,3.98,22.5,20,4.392,3.585,11.918,5.666,4.938,225.091,4.072,4.289,4.289,7.289,4.289,7.414,6.922,3.266,3.968,3.973,4.037,29.92,5.146,0.097,1.406,5.198,-0.201,5.103,0.033,9,20,5.545,0,6.462,8.169,12.259,11.553,15.062,3.345,2.407,2.257,5.156,5.977
7.398,10.211,3.946,3.969,4.033,13.644,14.448,13.047,15.983,17.448,20.466,21.986,227.144,4.008,18.97,23.497,8.471,11.463,3.871,4.04,4.826,7.419,4.0,23.5,21,4.459,3.755,12.163,5.666,7.344,301.506,4.095,4.698,4.698,7.698,4.698,7.576,10.051,3.54,4.106,4.005,4.783,11.771,5.189,0.106,1.323,5.288,-0.175,5.345,0.031,9,18,5.572,4,7.007,8.287,13.002,14.694,17.173,3.489,2.529,2.417,4.941,5.444
7.155,9.804,3.862,3.866,3.941,13.324,13.627,12.426,15.15,16.458,19.3,20.755,83.805,3.863,17.934,22.155,7.969,10.805,3.637,3.872,4.332,7.473,3.988,22.5,20,4.392,3.585,11.894,5.69,5.455,218.096,4.08,4.296,4.296,7.296,4.296,7.358,7.686,3.343,3.977,3.977,4.043,0.0,5.134,0.098,1.383,5.283,-0.108,5.007,0.033,13,20,5.557,0,6.733,8.234,12.549,12.549,17.414,3.46,2.497,2.391,5.209,5.993
8.319,10.219,3.946,3.97,4.034,13.664,14.45,13.05,15.984,17.449,20.466,21.986,240.857,4.008,18.971,23.498,8.483,11.467,3.871,4.042,4.859,7.48,4.002,23.5,21,4.459,3.755,12.187,5.765,7.743,312.2,4.097,4.698,4.698,7.698,4.698,7.593,10.753,3.565,4.106,4.005,4.783,11.771,5.212,0.102,1.307,5.347,-0.154,5.373,0.03,9,18,5.652,2,7.133,8.318,13.464,15.156,19.379,3.529,2.58,2.441,5.231,6.025
6.921,10.324,3.943,3.973,4.029,13.764,14.489,13.121,16.029,17.476,20.483,22.003,268.857,4.009,18.998,23.509,8.554,11.522,3.873,4.045,4.805,7.694,4.009,29.5,27,4.807,4.044,12.296,5.996,8.532,342.533,4.106,4.698,4.698,7.698,4.698,7.732,11.841,3.567,4.108,4.003,4.784,11.771,5.371,0.09,1.172,5.497,-0.083,5.46,0.026,14,24,5.832,0,7.342,8.453,15.416,17.097,21.718,3.726,2.782,2.62,5.413,6.479
7.854,9.578,3.842,3.838,3.917,13.146,13.446,12.215,14.949,16.273,19.107,20.55,47.887,3.694,17.735,21.948,7.784,10.623,3.528,3.867,4.476,7.57,4.015,15.0,13,3.807,3.0,11.712,5.903,5.763,191.548,4.104,4.234,4.234,7.234,4.234,7.126,7.46,3.203,4.008,3.944,4.056,0.0,4.927,0.109,1.234,5.416,-0.073,4.82,0.035,9,13,5.756,0,6.669,8.093,11.26,11.26,16.923,3.304,2.358,2.229,4.461,4.199
8.155,9.751,3.849,3.906,3.924,13.256,13.543,12.345,15.032,16.326,19.114,20.538,228.937,3.87,17.77,21.91,7.945,10.76,3.682,4.025,4.884,7.391,3.987,20.5,19,4.322,3.524,11.841,5.697,6.386,251.433,4.078,4.179,4.179,7.179,4.179,7.332,8.853,3.503,3.983,3.95,4.226,13.13,5.108,0.087,1.03,5.273,-0.059,4.966,0.029,9,18,5.545,2,6.894,8.109,12.556,13.177,18.598,3.528,2.577,2.441,4.883,5.068
4.125,9.675,3.882,3.888,3.968,13.026,13.609,12.363,15.184,16.556,19.52,21.029,0.0,3.711,18.085,22.496,7.783,10.686,3.533,3.884,4.462,6.607,4.011,18.0,18,4.248,3.392,11.618,4.522,4.251,175.058,4.082,4.471,4.471,7.471,4.471,7.196,5.969,3.357,4.006,4.008,4.043,4.276,4.858,0.105,1.187,4.533,0.036,4.82,0.049,11,16,4.615,3,5.414,7.92,9.07,9.07,14.262,3.26,2.318,2.165,3.805,3.081
9.0,10.168,3.945,3.972,4.032,13.593,14.385,12.992,15.92,17.381,20.396,21.917,235.889,4.008,18.902,23.428,8.427,11.407,3.87,4.026,4.92,7.409,4.0,22.0,20,4.392,3.644,12.121,5.72,7.855,303.652,4.095,4.698,4.698,7.698,4.698,7.548,10.865,3.565,4.106,4.005,4.783,11.771,5.155,0.104,0.907,5.283,-0.062,5.316,0.028,9,17,5.565,2,6.903,8.222,12.819,14.511,19.996,3.528,2.578,2.441,4.941,5.444
8.456,10.226,3.946,3.971,4.034,13.684,14.452,13.054,15.986,17.45,20.466,21.987,247.817,4.008,18.971,23.498,8.495,11.473,3.872,4.043,4.929,7.502,4.002,23.5,21,4.459,3.755,12.209,5.802,7.917,318.533,4.098,4.698,4.698,7.698,4.698,7.605,10.978,3.566,4.106,4.005,4.783,11.771,5.222,0.1,1.269,5.375,-0.135,5.4,0.029,9,18,5.687,2,7.185,8.351,13.679,15.371,20.737,3.629,2.69,2.519,5.38,6.174
7.959,10.417,3.948,3.971,4.059,13.853,14.626,13.238,16.173,17.639,20.678,22.214,292.564,3.875,19.173,23.74,8.659,11.639,3.864,4.046,4.982,7.648,4.011,29.5,27,4.807,4.044,12.379,5.984,8.581,334.112,4.126,4.789,4.789,7.789,4.789,7.803,11.512,3.566,4.062,4.072,4.741,2.757,5.43,0.086,1.186,5.513,-0.117,5.568,0.025,14,23,5.832,3,7.433,8.558,16.825,18.052,24.162,3.726,2.783,2.62,5.477,6.557
6.921,9.888,3.862,3.866,3.942,13.499,13.679,12.484,15.188,16.49,19.321,20.771,108.924,3.865,17.958,22.168,8.104,10.889,3.65,3.875,4.543,7.634,3.992,24.0,21,4.459,3.7,12.076,5.927,6.037,267.234,4.085,4.296,4.296,7.296,4.296,7.471,8.352,3.561,3.98,3.979,4.048,6.763,5.203,0.082,1.296,5.472,-0.066,5.223,0.045,13,21,5.802,0,7.262,8.427,14.336,14.336,20.965,3.726,2.783,2.62,5.413,6.48
7.796,10.216,3.946,3.969,4.033,13.659,14.449,13.049,15.984,17.449,20.466,21.986,233.898,4.008,18.971,23.498,8.481,11.466,3.871,4.042,4.876,7.457,4.001,23.5,21,4.459,3.755,12.181,5.727,7.486,307.867,4.096,4.698,4.698,7.698,4.698,7.588,10.437,3.562,4.106,4.005,4.783,11.771,5.201,0.104,1.35,5.318,-0.175,5.373,0.03,9,18,5.617,2,7.077,8.308,13.153,14.846,18.779,3.516,2.562,2.434,5.0,5.714
6.959,9.889,3.862,3.866,3.942,13.501,13.679,12.484,15.187,16.49,19.321,20.771,112.735,3.865,17.958,22.168,8.104,10.889,3.656,3.875,4.633,7.616,3.994,24.0,21,4.459,3.7,12.078,5.932,6.255,271.234,4.087,4.296,4.296,7.296,4.296,7.475,8.599,3.563,3.982,3.979,4.049,6.763,5.208,0.08,1.33,5.46,-0.082,5.223,0.044,13,21,5.787,0,7.305,8.433,14.561,14.561,21.9,3.726,2.783,2.62,5.413,6.479
8.222,9.689,3.849,3.907,3.924,13.179,13.466,12.277,14.962,16.252,19.045,20.474,221.984,3.87,17.701,21.848,7.862,10.68,3.682,4.025,4.87,7.372,3.987,19.0,18,4.248,3.392,11.767,5.673,6.473,242.885,4.078,4.179,4.179,7.179,4.179,7.278,8.887,3.503,3.983,3.95,4.218,13.13,5.059,0.089,1.292,5.263,-0.045,4.879,0.029,9,17,5.525,2,6.896,8.038,12.236,12.813,19.199,3.446,2.542,2.282,4.883,5.068
7.538,10.325,3.946,3.976,4.034,13.766,14.489,13.121,16.029,17.476,20.483,22.003,280.149,4.008,18.998,23.509,8.554,11.522,3.874,4.046,4.842,7.636,4.008,29.5,27,4.807,4.044,12.298,5.958,8.731,346.533,4.103,4.698,4.698,7.698,4.698,7.735,12.078,3.573,4.107,4.005,4.784,11.771,5.376,0.088,1.214,5.481,-0.129,5.46,0.026,15,24,5.814,2,7.37,8.457,15.583,17.275,22.476,3.726,2.783,2.62,5.413,6.479
7.097,10.325,3.946,3.976,4.034,13.766,14.489,13.121,16.029,17.476,20.483,22.003,280.149,4.008,18.998,23.509,8.554,11.522,3.874,4.046,4.842,7.636,4.008,29.5,27,4.807,4.044,12.298,5.958,8.731,346.533,4.103,4.698,4.698,7.698,4.698,7.735,12.078,3.573,4.107,4.005,4.784,11.771,5.376,0.088,1.214,5.481,-0.129,5.46,0.026,15,24,5.814,2,7.37,8.457,15.583,17.275,22.476,3.726,2.783,2.62,5.413,6.479
4.187,9.891,3.862,3.867,3.942,13.504,13.679,12.484,15.188,16.49,19.321,20.771,120.499,3.865,17.958,22.168,8.104,10.889,3.667,3.875,4.701,7.589,3.995,24.0,21,4.459,3.7,12.083,5.911,6.597,279.234,4.088,4.296,4.296,7.296,4.296,7.481,9.086,3.566,3.984,3.979,4.049,6.763,5.219,0.077,1.368,5.455,-0.126,5.223,0.042,15,21,5.768,1,7.37,8.442,14.908,14.908,23.287,3.726,2.783,2.621,5.413,6.479
