pXC50,Eig04_EA.ed.,SM13_AEA.dm.,Eig04_AEA.bo.,Eig04_AEA.ed.,Eig09_AEA.dm.,SpMax7_Bh.m.,LLS_01,SM10_EA.bo.,GGI2,SM13_EA.bo.,SM12_EA.bo.,Depressant.80,SM11_EA.bo.,SM03_AEA.bo.,Eig08_AEA.bo.,ZM1Per,Eig12_AEA.dm.,SM04_EA.bo.,Eig08_EA.bo.,SpMax6_Bh.s.,Eta_betaS,Eta_F,CMC.80,Eig08_EA,SM02_AEA.dm.,Eig08_EA.ri.,ZM1V,SM02_AEA.bo.,ATS3s,ZM2V,SpMax7_Bh.p.,cRo5,ZM2MulPer,Eig08_AEA.ri.,AECC,Eig06_AEA.ed.,ATS1s,Xu,Eig08_AEA.dm.,ZM2Kup,HVcpx,VAR,Eig06_EA.bo.,IC2,MSD,Eig15_EA,SM09_AEA.dm.,Inflammat.80,ZM1MulPer,SpMaxA_AEA.bo.,ATS2s,RDCHI,SpMaxA_AEA.ri.,ECC,ON0,SpMax5_Bh.s.,TIC1,ZM1Mad,Psi_i_s,GGI10,Infective.80,GMTIV,CSI,SpMaxA_AEA.ed.,ZM2Per,Eta_epsi,SpMin7_Bh.p.
4.699,6.977,6.977,3.64,5.379,1.903,3.075,0.33,14.865,3.333,18.971,17.621,0,16.164,6.15,2.823,636.95,1.064,7.08,1.841,4.58,17.75,30.3,1,1.531,1.531,1.478,450.0,4.942,5.936,416.0,2.959,1,452.086,2.502,13.0,4.593,5.289,28.235,2.119,442.811,3.637,113.0,2.285,4.65,7.973,-0.218,-0.218,1,484.948,0.149,5.678,3.992,0.137,377.0,16.5,4.836,195.19,156.867,73.667,0.186,1,35350.0,766.0,0.225,643.97,32.233,1.353
6.585,6.278,6.278,3.712,5.214,1.439,2.828,0.5,15.132,2.889,19.304,17.933,0,16.435,6.194,2.835,567.99,0.988,7.271,1.982,4.232,17.25,30.402,0,1.373,1.373,1.286,388.0,4.996,5.665,401.0,2.759,1,424.166,2.327,9.75,4.449,5.094,26.248,1.486,403.683,3.23,114.0,2.171,4.303,5.904,-0.197,-0.197,0,412.369,0.148,5.51,3.927,0.136,273.0,13.667,4.619,145.012,168.504,58.944,0.107,0,25191.0,588.0,0.22,619.64,27.552,1.17
5.518,6.065,6.065,3.557,5.04,0.984,2.687,0.83,14.794,2.444,18.926,17.57,0,16.084,5.906,2.5,407.1,-0.592,6.978,1.5,3.707,12.75,18.022,1,1.0,1.0,0.983,278.0,4.694,5.394,288.0,2.735,1,305.349,1.984,8.429,4.151,4.792,20.532,1.0,285.229,3.062,66.0,1.98,3.954,4.994,-1.0,-1.0,0,296.893,0.197,5.221,3.306,0.181,177.0,10.833,4.091,123.589,128.961,42.944,0.025,0,10959.0,378.0,0.292,443.18,21.286,1.062
5.569,7.526,7.526,3.847,5.748,1.903,3.144,0.33,14.973,4.444,18.988,17.679,0,16.22,6.304,2.944,719.61,1.363,7.306,2.028,4.671,20.75,38.075,1,1.534,1.534,1.49,502.0,5.097,6.175,484.0,3.006,1,521.794,2.51,15.118,5.266,5.422,32.203,1.947,513.342,3.835,170.0,2.876,4.53,8.77,0.396,0.396,0,538.76,0.123,5.845,4.47,0.112,514.0,18.667,4.743,220.444,188.83,82.5,0.256,0,50957.0,1072.0,0.181,751.14,37.6,1.449
6.409,6.076,6.076,3.649,5.055,1.0,2.687,0.67,14.994,2.444,19.135,17.779,0,16.273,6.079,2.5,483.03,0.803,7.186,1.5,3.75,14.75,25.287,1,1.0,1.0,1.0,328.0,4.873,5.556,346.0,2.735,1,365.401,2.0,8.417,4.293,4.953,23.033,1.0,359.7,3.077,80.0,2.332,3.599,5.318,-0.712,-0.712,0,348.988,0.169,5.395,3.659,0.155,202.0,11.333,4.486,97.808,135.272,53.167,0.037,0,16984.0,444.0,0.25,531.78,23.214,1.062
6.745,6.279,6.279,3.712,5.214,1.439,2.989,0.5,15.132,2.889,19.304,17.933,0,16.434,6.187,2.834,563.06,0.988,7.268,1.981,4.227,17.75,29.295,0,1.414,1.414,1.386,384.0,4.996,5.719,399.0,2.854,1,421.052,2.398,10.483,4.45,5.109,27.14,1.478,401.683,3.31,135.0,2.17,4.363,6.172,-0.111,-0.111,0,407.261,0.144,5.554,4.028,0.132,304.0,14.167,4.358,167.734,172.504,58.944,0.107,0,25385.0,653.0,0.214,616.3,29.452,1.44
7.509,7.774,7.774,3.848,5.861,1.945,3.253,0.17,15.179,4.889,19.296,17.944,0,16.477,6.343,3.162,820.0,1.363,7.364,2.355,4.662,21.5,37.997,0,1.805,1.805,1.576,582.0,5.127,6.174,528.0,3.006,1,568.996,2.708,15.2,5.267,5.398,32.89,2.444,540.037,3.831,181.0,2.876,4.668,8.857,0.396,0.396,0,626.565,0.121,5.841,4.493,0.109,532.0,19.5,4.743,225.887,223.765,84.389,0.318,0,60818.0,1107.0,0.18,826.47,38.305,1.446
4.106,8.045,8.045,4.102,5.895,1.927,3.215,0.33,15.898,5.111,20.369,18.878,0,17.348,6.402,3.111,832.37,1.362,7.527,2.335,4.742,21.25,39.826,0,1.658,1.658,1.597,582.0,5.156,6.229,556.0,3.006,1,601.506,2.63,15.143,5.267,5.372,32.842,1.956,546.388,3.828,181.0,2.876,4.639,8.767,0.396,0.396,0,631.628,0.131,6.014,4.475,0.116,530.0,19.583,4.827,228.053,249.442,86.861,0.272,0,59611.0,1103.0,0.197,867.44,38.952,1.474
5.31,6.77,6.77,3.864,5.297,1.115,2.687,0.67,15.076,2.889,19.206,17.852,0,16.357,6.21,2.807,549.7,1.0,7.277,1.565,4.465,16.0,29.138,1,1.065,1.065,1.027,376.0,4.989,5.671,388.0,2.735,1,411.308,2.034,9.923,4.673,5.059,24.817,1.44,403.108,3.259,108.0,2.516,3.871,5.851,-0.498,-0.498,0,402.902,0.157,5.457,3.812,0.144,258.0,12.667,4.634,114.718,145.966,61.333,0.07,1,23782.0,562.0,0.233,594.56,24.714,1.062
6.959,7.526,7.526,3.847,5.748,1.912,3.144,0.17,14.973,4.444,18.988,17.679,0,16.22,6.304,2.944,747.33,1.363,7.306,2.028,4.672,20.75,37.821,1,1.534,1.534,1.488,526.0,5.097,6.211,492.0,3.006,1,530.265,2.509,15.118,5.266,5.411,32.203,1.947,527.645,3.835,170.0,2.876,4.627,8.77,0.396,0.396,0,564.555,0.123,5.861,4.47,0.112,514.0,18.667,4.743,220.668,190.557,84.5,0.256,0,53055.0,1072.0,0.181,764.82,37.648,1.448
6.745,7.526,7.526,3.933,5.748,1.93,3.144,0.33,14.984,4.222,18.99,17.683,0,16.228,6.381,3.355,989.43,1.587,7.35,2.604,4.996,23.0,43.232,0,2.061,2.061,1.867,714.0,5.156,6.146,606.0,2.993,1,654.775,2.972,15.917,5.294,5.466,33.84,2.433,660.447,3.89,190.0,2.992,4.637,9.33,0.396,0.396,0,772.284,0.117,6.386,4.617,0.106,573.0,20.083,6.471,211.099,237.295,104.028,0.347,0,91931.0,1190.0,0.172,969.7,40.629,1.445
5.854,6.17,6.17,3.723,5.077,1.0,2.687,0.67,15.044,2.889,19.179,17.823,1,16.325,6.128,2.5,507.1,0.814,7.239,1.5,4.361,15.5,27.085,1,1.04,1.04,1.003,344.0,4.911,5.647,364.0,2.735,1,385.312,2.008,9.16,4.657,5.03,23.908,1.105,378.545,3.168,91.0,2.485,3.893,5.563,-0.65,-0.65,1,367.59,0.163,5.458,3.72,0.15,229.0,12.167,4.565,116.745,142.299,56.833,0.07,1,19469.0,501.0,0.241,559.52,24.614,1.062
5.638,6.17,6.17,3.723,5.077,1.0,2.687,0.67,15.044,2.889,19.179,17.823,0,16.325,6.128,2.5,554.38,0.817,7.239,1.5,3.745,15.25,24.087,0,1.04,1.04,1.0,384.0,4.911,5.5,380.0,2.735,1,401.911,2.0,9.16,4.657,4.915,23.908,1.14,366.962,3.168,91.0,2.485,3.797,5.563,-0.65,-0.65,0,411.081,0.163,5.346,3.72,0.15,229.0,12.167,4.229,107.971,218.832,51.694,0.07,0,22041.0,501.0,0.241,585.04,23.252,1.062
5.284,7.526,7.526,3.872,5.748,1.927,3.144,0.17,14.971,4.444,18.985,17.676,0,16.218,6.286,2.981,688.54,1.157,7.299,2.092,4.58,20.75,34.537,0,1.534,1.534,1.442,482.0,5.078,6.081,459.0,3.006,1,493.693,2.478,15.118,5.266,5.371,32.203,1.936,472.396,3.835,170.0,2.844,4.706,8.77,0.396,0.396,0,515.238,0.123,5.805,4.47,0.112,514.0,18.667,4.733,230.175,199.726,76.111,0.256,0,48654.0,1072.0,0.181,714.19,37.652,1.48
5.886,7.526,7.526,3.846,5.748,1.908,3.094,0.17,14.786,4.222,18.697,17.435,0,15.981,6.249,2.922,686.3,1.037,7.24,2.028,4.654,19.25,33.37,0,1.528,1.528,1.469,482.0,5.047,6.059,455.0,2.944,1,488.494,2.505,15.281,5.238,5.307,30.933,1.929,469.629,3.872,156.0,2.872,4.579,8.913,0.116,0.116,0,518.22,0.126,5.748,4.411,0.114,489.0,17.333,4.742,205.427,189.367,75.444,0.198,0,46969.0,1024.0,0.182,702.83,34.452,1.364
6.432,6.77,6.77,3.754,5.297,1.0,2.687,0.5,15.052,2.889,19.186,17.83,0,16.333,6.143,2.513,502.26,0.82,7.249,1.518,3.986,15.75,26.774,0,1.065,1.065,1.03,340.0,4.933,5.661,362.0,2.735,1,382.209,2.036,9.923,4.673,5.029,24.817,1.141,375.7,3.259,108.0,2.495,4.052,5.851,-0.498,-0.498,0,361.559,0.157,5.478,3.812,0.144,258.0,12.667,4.484,137.364,145.272,56.333,0.07,0,19558.0,562.0,0.233,557.12,25.814,1.062
6.004,6.202,6.202,3.708,5.091,1.0,2.723,0.67,15.053,2.667,19.193,17.836,0,16.338,6.128,2.671,554.4,0.805,7.239,1.751,4.265,15.5,26.303,0,1.198,1.198,1.148,384.0,4.911,5.616,380.0,2.735,1,402.048,2.173,8.52,4.631,4.978,23.837,1.256,386.562,3.104,85.0,2.455,3.931,5.473,-0.622,-0.622,0,411.146,0.163,5.442,3.706,0.15,213.0,12.167,4.529,107.971,156.792,56.944,0.078,0,21497.0,465.0,0.241,585.33,24.3,1.062
6.886,6.515,6.515,3.73,5.289,1.419,3.222,0.5,15.188,3.111,19.364,17.99,0,16.496,6.218,2.852,628.67,1.0,7.313,2.003,4.229,17.75,27.999,0,1.414,1.414,1.313,436.0,5.009,5.708,429.0,2.78,1,453.538,2.36,9.828,4.858,5.084,26.999,1.481,421.417,3.251,119.0,2.61,4.457,6.011,-0.14,-0.14,0,465.257,0.144,5.537,3.971,0.132,285.0,14.5,4.366,167.23,240.375,59.861,0.128,0,29069.0,611.0,0.214,664.09,28.619,1.264
5.658,6.17,6.17,3.723,5.077,1.0,2.687,0.67,15.044,2.889,19.179,17.823,0,16.325,6.128,2.5,495.58,0.815,7.239,1.5,3.852,15.25,26.162,0,1.04,1.04,1.005,336.0,4.911,5.618,356.0,2.735,1,377.121,2.01,9.16,4.657,4.995,23.908,1.113,369.7,3.168,91.0,2.485,3.897,5.563,-0.65,-0.65,0,357.845,0.163,5.439,3.72,0.15,229.0,12.167,4.487,123.563,141.272,54.833,0.07,0,18183.0,501.0,0.241,547.96,24.514,1.062
6.027,7.526,7.526,3.847,5.748,1.903,3.144,0.17,14.973,4.444,18.988,17.679,0,16.22,6.304,2.944,699.97,1.363,7.306,2.028,4.667,20.75,37.951,0,1.534,1.534,1.492,486.0,5.097,6.138,476.0,3.006,1,513.419,2.51,15.118,5.266,5.416,32.203,1.947,503.156,3.835,170.0,2.876,4.683,8.77,0.396,0.396,0,520.966,0.123,5.831,4.47,0.112,514.0,18.667,4.743,230.707,187.753,80.5,0.256,0,48859.0,1072.0,0.181,738.26,37.533,1.455
5.523,4.79,4.79,3.26,4.643,0.777,2.649,1.0,14.628,2.0,18.724,17.386,0,15.895,5.766,2.358,377.75,-0.91,6.865,1.293,3.674,11.25,16.741,1,0.891,0.891,0.845,260.0,4.567,5.266,263.0,2.57,1,278.134,1.844,7.611,3.477,4.697,17.878,0.964,276.418,2.953,50.0,1.5,3.836,4.493,-1.414,-1.414,1,277.352,0.224,5.138,3.11,0.206,137.0,8.667,3.739,81.256,100.939,41.833,0.012,1,8472.0,297.0,0.335,402.91,17.814,0.899
5.523,4.864,4.864,3.317,4.601,0.672,2.632,0.83,14.477,2.0,18.451,17.165,0,15.686,5.766,2.411,377.67,-0.89,6.856,1.369,3.674,11.25,15.842,1,0.934,0.934,0.883,260.0,4.567,5.157,263.0,2.504,1,278.329,1.892,8.389,3.462,4.634,18.181,0.981,260.229,3.085,50.0,1.5,3.479,4.894,-1.414,-1.414,1,277.553,0.219,5.049,3.173,0.199,151.0,8.667,3.711,77.662,112.961,37.944,0.025,1,9060.0,329.0,0.314,401.89,17.386,0.821
6.301,6.249,6.249,3.712,5.204,1.0,2.71,0.5,15.13,2.889,19.302,17.932,0,16.433,6.143,2.832,543.98,0.936,7.255,1.978,4.227,16.25,27.684,1,1.372,1.372,1.279,372.0,4.933,5.568,383.0,2.735,1,406.794,2.324,8.808,4.43,5.016,24.558,1.439,384.774,3.099,98.0,2.168,4.041,5.511,-0.476,-0.476,0,395.16,0.159,5.432,3.749,0.146,229.0,12.667,4.381,130.415,159.839,54.444,0.078,0,21046.0,498.0,0.236,592.69,25.552,1.062
6.229,6.77,6.77,3.754,5.297,1.0,2.687,0.5,15.052,2.889,19.186,17.83,0,16.333,6.143,2.513,543.38,0.942,7.249,1.518,4.288,16.25,28.077,1,1.065,1.065,1.018,372.0,4.933,5.654,382.0,2.735,1,405.939,2.026,9.923,4.673,5.057,24.817,1.208,400.245,3.259,108.0,2.495,3.966,5.851,-0.498,-0.498,0,395.289,0.157,5.502,3.812,0.144,258.0,12.667,4.534,130.415,148.151,58.333,0.07,0,22134.0,562.0,0.233,589.28,25.981,1.062
5.921,7.517,7.517,3.744,5.703,1.647,3.069,0.17,15.455,3.778,19.84,18.385,0,16.859,6.185,2.821,665.65,0.981,7.281,1.949,4.831,17.25,30.995,1,1.414,1.414,1.288,470.0,4.965,6.004,436.0,2.792,1,465.43,2.323,12.393,4.597,5.207,27.116,1.905,450.565,3.582,114.0,2.658,4.538,7.232,-0.455,-0.455,1,509.128,0.153,5.68,3.974,0.138,347.0,15.0,4.877,163.711,171.73,73.611,0.161,1,37149.0,728.0,0.223,672.49,29.352,1.124
6.407,6.17,6.17,3.723,5.077,1.0,2.687,0.67,15.044,2.889,19.179,17.823,0,16.325,6.128,2.5,554.38,0.819,7.239,1.5,4.184,15.5,25.507,0,1.04,1.04,1.0,384.0,4.911,5.533,380.0,2.735,1,401.911,2.0,9.16,4.657,4.932,23.908,1.143,370.092,3.168,91.0,2.485,3.592,5.563,-0.65,-0.65,0,411.081,0.163,5.371,3.72,0.15,229.0,12.167,4.299,103.971,168.48,53.056,0.07,0,22041.0,501.0,0.241,585.04,23.871,1.062
4.0,8.223,8.223,3.974,5.929,1.928,3.144,0.17,15.043,5.111,19.073,17.756,0,16.301,6.343,3.023,761.22,1.363,7.352,2.152,4.652,21.25,37.988,0,1.598,1.598,1.535,534.0,5.127,6.163,505.0,3.006,1,543.815,2.563,15.057,5.296,5.407,32.811,1.991,524.526,3.833,181.0,2.886,4.683,8.689,0.396,0.396,0,572.92,0.121,5.85,4.48,0.11,527.0,19.5,4.74,231.128,208.579,82.278,0.264,0,54454.0,1097.0,0.177,785.73,38.519,1.456
6.444,7.837,7.837,3.956,5.772,1.08,2.687,0.17,15.22,3.333,19.363,18.001,0,16.519,6.236,2.789,625.6,1.0,7.358,1.888,4.634,17.0,31.498,1,1.23,1.23,1.198,432.0,5.009,5.767,432.0,2.735,1,459.412,2.208,10.037,4.69,5.134,25.663,1.404,461.064,3.291,102.0,2.605,3.893,6.08,-0.453,-0.453,0,467.136,0.152,5.686,3.869,0.14,271.0,13.5,4.802,119.5,157.449,68.833,0.136,1,29647.0,587.0,0.225,663.8,26.948,1.062
6.42,6.108,6.108,3.684,5.05,1.0,2.687,0.67,14.994,2.444,19.134,17.779,0,16.273,6.079,2.5,483.03,0.759,7.186,1.5,3.714,14.75,24.552,1,1.0,1.0,1.0,328.0,4.873,5.461,346.0,2.735,1,365.401,2.0,8.667,4.188,4.906,23.053,1.0,343.229,3.099,84.0,2.164,3.599,5.355,-0.764,-0.764,0,348.988,0.169,5.322,3.661,0.155,208.0,11.333,4.228,97.808,146.961,49.278,0.05,0,17152.0,458.0,0.25,531.78,22.786,1.062
6.041,6.392,6.392,3.714,5.256,1.439,2.737,0.5,15.134,2.889,19.306,17.935,0,16.437,6.198,2.838,561.88,0.988,7.274,1.988,4.228,17.25,29.01,0,1.387,1.387,1.35,382.0,4.989,5.709,401.0,2.735,1,423.668,2.365,9.357,4.652,5.082,26.166,1.478,404.593,3.19,112.0,2.276,4.139,5.817,-0.205,-0.205,0,405.989,0.148,5.535,3.885,0.136,262.0,14.0,4.401,155.31,171.168,57.778,0.12,0,23556.0,564.0,0.22,618.69,28.152,1.239
5.523,5.772,5.772,3.434,4.946,0.826,2.687,0.83,14.768,2.0,18.919,17.556,1,16.063,5.833,2.5,390.76,-0.618,6.938,1.5,3.674,11.75,17.557,1,1.0,1.0,0.983,268.0,4.618,5.353,274.0,2.64,1,290.854,1.984,7.632,3.912,4.749,18.691,1.0,287.7,2.943,55.0,1.671,3.925,4.558,-1.138,-1.138,1,286.256,0.216,5.199,3.153,0.198,145.0,9.5,3.822,100.309,107.272,43.5,0.012,1,9055.0,312.0,0.32,420.86,19.114,1.062
6.022,6.555,6.555,3.739,5.256,1.119,2.827,0.67,15.173,3.111,19.341,17.971,0,16.478,6.175,2.764,626.37,0.82,7.295,1.881,4.507,16.25,27.293,0,1.306,1.306,1.209,440.0,4.947,5.677,415.0,2.735,1,439.492,2.259,9.192,4.783,5.002,24.621,1.387,414.425,3.162,90.0,2.54,4.055,5.607,-0.515,-0.515,0,473.134,0.158,5.481,3.744,0.145,239.0,13.0,4.624,113.892,178.311,60.722,0.07,0,26250.0,520.0,0.233,642.28,25.386,1.062
5.824,7.418,7.418,3.841,5.505,1.677,3.07,0.17,14.6,3.778,18.424,17.206,0,15.742,6.192,2.819,625.29,1.0,7.169,1.944,4.606,17.75,30.024,0,1.414,1.414,1.28,438.0,4.994,5.985,418.0,2.852,1,446.842,2.323,15.467,5.097,5.226,29.627,1.908,428.083,3.886,142.0,2.815,4.311,9.065,-0.046,-0.046,0,471.934,0.134,5.671,4.342,0.121,464.0,16.0,4.739,185.977,176.489,70.278,0.14,0,41139.0,976.0,0.192,641.16,31.686,1.239
6.071,7.837,7.837,3.931,5.772,1.401,2.83,0.33,15.115,3.556,19.245,17.889,0,16.4,6.238,2.779,621.14,1.0,7.312,1.866,4.499,18.0,32.188,1,1.365,1.365,1.283,428.0,5.029,5.828,430.0,2.735,1,455.116,2.311,11.552,4.697,5.169,27.447,1.761,452.79,3.453,140.0,2.562,4.12,6.659,-0.187,-0.187,0,456.885,0.143,5.677,4.058,0.131,335.0,14.5,4.648,154.699,165.14,68.5,0.156,0,31644.0,722.0,0.211,665.46,29.448,1.23
6.481,7.526,7.526,3.847,5.748,1.91,3.081,0.17,14.941,4.444,18.941,17.639,0,16.181,6.278,2.944,651.53,1.241,7.287,2.028,4.602,18.75,31.875,0,1.533,1.533,1.485,454.0,5.059,6.066,440.0,3.034,1,472.11,2.508,15.25,5.265,5.29,30.898,1.929,450.083,3.844,156.0,2.874,4.568,8.865,0.071,0.071,0,489.422,0.129,5.731,4.372,0.118,488.0,17.667,4.738,210.724,188.489,73.611,0.19,0,43845.0,1022.0,0.189,679.36,34.286,1.368
5.523,6.108,6.108,3.609,5.05,1.0,2.854,0.67,14.804,2.444,18.937,17.58,0,16.094,5.995,2.5,434.98,0.765,7.016,1.5,3.71,14.75,19.013,0,1.0,1.0,1.0,296.0,4.814,5.556,310.0,2.741,1,326.741,2.0,8.667,4.188,4.877,23.053,1.0,307.229,3.099,84.0,2.035,3.9,5.355,-0.764,-0.764,0,314.557,0.168,5.356,3.661,0.155,208.0,11.333,4.18,143.289,146.961,46.444,0.05,0,14581.0,458.0,0.25,477.34,24.586,1.158
6.161,7.526,7.526,3.846,5.748,1.928,3.144,0.33,14.953,4.444,18.969,17.66,0,16.198,6.335,2.949,847.16,1.577,7.31,2.051,4.755,22.0,42.689,0,1.543,1.543,1.487,602.0,5.133,6.208,544.0,3.002,1,586.639,2.512,14.029,5.19,5.438,32.495,2.037,572.265,3.715,179.0,2.852,4.491,8.199,0.396,0.396,0,647.115,0.12,5.902,4.418,0.11,491.0,19.167,4.832,210.516,212.113,89.611,0.161,0,63015.0,1021.0,0.178,850.41,38.252,1.445
6.824,7.526,7.526,3.847,5.748,1.929,3.144,0.33,15.059,4.444,19.099,17.779,0,16.323,6.297,2.943,861.88,1.587,7.332,2.028,4.832,20.75,38.327,1,1.531,1.531,1.484,620.0,5.078,6.284,537.0,2.965,1,578.425,2.507,14.485,5.197,5.393,31.306,2.109,574.841,3.78,159.0,2.809,4.671,8.39,0.153,0.153,0,669.33,0.127,5.871,4.363,0.115,478.0,18.167,4.991,199.139,205.908,90.944,0.19,0,64756.0,999.0,0.187,837.93,36.348,1.416
7.319,7.774,7.774,3.848,5.861,1.944,3.144,0.17,15.179,4.889,19.296,17.944,0,16.477,6.343,3.162,820.0,1.363,7.364,2.355,4.743,21.5,40.033,0,1.805,1.805,1.671,582.0,5.127,6.373,528.0,3.006,1,568.996,2.742,15.2,5.267,5.455,32.89,2.44,572.978,3.831,181.0,2.876,4.668,8.857,0.396,0.396,0,626.565,0.121,5.914,4.493,0.11,532.0,19.5,4.993,225.887,200.388,92.167,0.318,0,60818.0,1107.0,0.18,826.47,39.162,1.448
5.721,7.526,7.526,3.838,5.748,1.928,3.144,0.17,14.952,4.444,18.966,17.658,0,16.2,6.28,2.88,709.33,1.364,7.278,1.969,4.58,20.75,34.987,0,1.534,1.534,1.468,500.0,5.078,6.116,465.0,3.006,1,500.112,2.497,15.118,5.266,5.361,32.203,1.936,480.765,3.835,170.0,2.844,4.695,8.77,0.396,0.396,0,535.688,0.123,5.825,4.47,0.112,514.0,18.667,4.733,224.721,200.858,78.611,0.256,0,50450.0,1072.0,0.181,724.37,37.719,1.458
6.796,7.624,7.624,3.85,5.749,1.905,3.238,0.17,15.617,4.889,19.956,18.515,0,17.007,6.42,2.981,789.63,1.297,7.506,2.083,4.65,21.5,36.811,1,1.544,1.544,1.501,546.0,5.179,6.14,542.0,3.024,1,580.604,2.522,14.588,5.4,5.371,32.076,1.928,566.923,3.789,170.0,3.015,4.573,8.619,0.563,0.563,0,588.102,0.124,5.819,4.51,0.117,496.0,18.083,4.831,221.917,213.973,81.028,0.296,0,57079.0,1058.0,0.192,841.01,36.052,1.298
6.056,7.526,7.526,3.838,5.748,1.928,3.144,0.17,14.952,4.444,18.966,17.658,0,16.2,6.28,2.88,726.69,1.362,7.278,1.969,4.58,20.75,35.368,0,1.534,1.534,1.485,512.0,5.078,6.13,477.0,3.006,1,513.734,2.508,15.118,5.266,5.377,32.203,1.938,495.098,3.835,170.0,2.844,4.683,8.77,0.396,0.396,0,549.006,0.123,5.829,4.47,0.112,514.0,18.667,4.733,226.513,202.246,79.611,0.256,0,51762.0,1072.0,0.181,742.65,37.819,1.457
7.337,8.725,8.725,4.108,6.059,2.323,3.302,0.17,14.465,4.667,18.16,16.982,0,15.58,6.487,3.421,934.75,1.318,7.278,2.619,5.267,25.5,41.521,0,2.191,2.191,2.074,660.0,5.274,6.211,606.0,3.039,0,652.595,3.151,14.625,5.373,5.533,36.32,2.531,668.516,3.79,228.0,3.098,4.753,9.016,1.0,1.0,0,715.962,0.1,6.465,4.905,0.1,585.0,21.833,7.427,277.731,250.993,106.333,0.451,0,90109.0,1235.0,0.165,962.2,46.043,1.581
5.699,8.233,8.233,3.923,5.93,1.692,2.928,0.17,14.876,3.333,18.922,17.594,0,16.14,6.29,2.862,757.52,1.0,7.224,1.905,4.956,20.0,32.114,0,1.659,1.659,1.62,536.0,5.077,5.94,487.0,2.941,1,520.153,2.639,11.531,5.235,5.279,29.921,1.895,536.106,3.483,143.0,2.837,4.195,7.265,0.05,0.05,0,580.223,0.128,6.334,4.281,0.118,369.0,16.75,6.351,194.446,201.946,86.75,0.306,0,48052.0,784.0,0.188,781.27,35.743,1.376
5.42,8.588,8.588,3.987,6.029,1.897,3.28,0.17,14.878,3.778,18.897,17.58,0,16.133,6.396,3.258,860.16,1.371,7.286,2.366,6.351,23.25,38.285,0,2.022,2.022,1.93,612.0,5.194,6.127,547.0,2.978,1,583.534,2.992,15.243,5.221,5.434,34.21,2.173,601.432,3.82,229.0,2.816,4.618,8.863,0.876,0.876,0,662.768,0.112,6.434,4.745,0.103,564.0,19.583,7.429,244.544,227.881,100.917,0.301,0,77236.0,1189.0,0.165,870.29,41.91,1.471
6.092,8.715,8.715,3.924,6.053,1.894,3.255,0.17,14.982,3.556,19.001,17.682,0,16.236,6.445,3.238,907.73,1.155,7.392,2.439,4.956,23.75,39.606,0,1.926,1.926,1.844,634.0,5.239,6.028,604.0,2.977,0,645.296,2.894,14.027,5.334,5.427,34.058,2.095,664.623,3.739,198.0,3.048,4.5,8.485,1.0,1.0,0,683.749,0.11,6.385,4.81,0.1,519.0,18.583,5.268,234.246,236.28,96.417,0.319,0,78190.0,1129.0,0.161,958.76,40.776,1.555
6.859,8.72,8.72,3.992,6.056,1.889,3.252,0.17,14.969,3.556,18.967,17.657,0,16.215,6.445,3.255,907.73,1.318,7.392,2.364,4.963,23.75,39.297,0,2.014,2.014,1.927,634.0,5.239,6.026,604.0,2.976,0,645.299,2.985,14.568,5.325,5.427,34.149,2.168,664.623,3.779,198.0,3.018,4.5,8.665,1.0,1.0,0,683.749,0.109,6.386,4.821,0.1,539.0,18.583,5.268,234.246,236.28,96.417,0.294,0,80432.0,1172.0,0.161,958.74,40.776,1.566
5.538,8.588,8.588,3.987,6.029,1.896,3.279,0.17,14.878,3.778,18.897,17.58,0,16.133,6.396,3.258,860.58,1.397,7.286,2.366,6.351,23.25,38.172,0,2.022,2.022,1.938,612.0,5.194,6.13,548.0,2.972,1,584.15,2.997,15.243,5.221,5.433,34.21,2.201,602.784,3.82,229.0,2.816,4.618,8.863,0.876,0.876,0,662.699,0.112,6.434,4.745,0.103,564.0,19.583,7.429,244.544,228.214,100.917,0.301,0,77362.0,1189.0,0.165,871.52,41.91,1.476
5.377,8.72,8.72,3.992,6.056,1.888,3.25,0.17,14.969,3.556,18.967,17.657,0,16.215,6.445,3.255,908.15,1.318,7.392,2.364,4.96,23.75,39.188,0,2.014,2.014,1.934,634.0,5.239,6.029,605.0,2.969,0,645.914,2.99,14.568,5.325,5.427,34.149,2.196,665.975,3.779,198.0,3.018,4.5,8.665,1.0,1.0,0,683.68,0.109,6.386,4.821,0.1,539.0,18.583,5.268,234.246,236.613,96.417,0.294,0,80570.0,1172.0,0.161,959.97,40.776,1.568
5.77,7.852,7.852,3.886,5.773,1.89,3.283,0.17,14.901,3.556,18.953,17.622,0,16.169,6.396,3.397,860.58,1.264,7.286,2.624,6.351,23.25,38.222,0,2.03,2.03,1.926,612.0,5.194,6.13,548.0,2.941,1,584.146,2.996,15.405,5.218,5.433,34.238,2.262,602.784,3.842,229.0,2.711,4.618,8.923,0.87,0.87,0,662.699,0.113,6.434,4.745,0.104,570.0,19.583,7.429,244.544,228.214,100.917,0.321,0,77414.0,1203.0,0.168,871.58,41.91,1.486
