pXC50,Sv,Sp,nC,nBT,Si,nAT
9.347,32.928,34.228,24,52,54.362,49
5.187,32.928,34.228,24,52,54.362,49
7.041,37.509,39.512,27,61,64.607,58
6.398,29.794,32.057,20,52,56.398,50
8.444,32.848,35.58,22,58,63.228,56
8.301,33.562,36.035,22,59,64.438,57
7.201,26.719,28.529,19,45,48.069,43
6.367,32.648,36.074,20,60,69.6,61
5.656,16.793,17.767,9,28,33.885,29
5.854,32.675,34.199,23,53,56.903,51
6.013,36.154,39.131,25,62,67.517,60
6.086,20.964,23.091,12,36,42.037,37
8.699,26.874,28.659,18,44,45.657,41
7.649,37.036,39.273,26,61,66.022,59
4.66,18.665,20.006,12,32,36.239,32
7.509,37.428,40.864,25,66,73.474,65
6.0,22.488,23.807,14,38,42.109,37
4.0,36.933,40.62,25,66,73.391,65
7.77,30.88,34.097,20,56,63.56,56
4.0,44.987,49.143,32,78,85.221,76
7.268,36.121,39.313,24,64,71.185,63
4.0,31.352,35.29,20,56,63.271,56
4.0,32.713,36.41,21,60,68.264,60
4.0,36.933,40.62,25,66,73.391,65
8.046,33.154,36.83,21,61,70.517,62
7.187,31.702,34.898,19,58,66.431,58
7.886,27.81,29.608,17,47,52.136,46
8.638,34.901,38.103,23,62,69.059,61
8.143,34.901,38.103,23,62,69.059,61
5.854,35.745,39.927,24,65,73.597,65
4.427,43.853,48.972,30,81,89.257,79
5.921,36.713,40.41,25,64,72.264,64
4.0,32.692,36.404,22,59,66.766,59
6.495,37.933,41.62,26,67,74.391,66
7.215,37.428,40.864,25,66,73.474,65
7.237,46.25,50.364,31,81,90.344,80
7.194,39.848,42.58,29,66,70.228,63
7.959,34.901,38.103,23,62,69.059,61
8.0,31.512,19.273,12,28,29.649,27
8.319,31.906,33.159,20,51,52.82,47
6.959,32.186,35.648,21,58,65.849,58
6.886,32.186,35.648,21,58,65.849,58
7.812,29.697,31.461,19,48,50.527,45
7.721,38.038,40.938,24,60,62.035,56
7.643,31.665,32.688,21,51,55.069,49
6.762,31.938,33.676,20,52,55.152,49
5.886,31.223,33.222,20,51,53.943,48
6.46,30.524,32.318,19,48,50.471,45
6.59,30.524,32.318,19,48,50.471,45
7.499,30.524,32.318,19,48,50.471,45
6.818,31.938,33.676,20,52,55.152,49
5.699,42.723,46.603,28,75,84.929,75
9.523,24.16,25.25,17,39,41.322,37
7.921,32.524,34.063,21,53,57.345,51
7.0,23.622,24.676,15,40,44.073,39
8.61,29.036,30.574,19,48,52.023,46
6.959,31.665,32.688,21,51,55.069,49
7.796,29.235,30.779,20,48,51.651,46
4.523,17.085,17.722,12,27,28.993,26
9.036,29.235,30.779,20,48,51.651,46
5.301,33.088,33.489,20,52,56.171,49
5.0,33.56,34.682,20,52,55.882,49
5.0,31.621,32.614,19,50,53.029,47
5.0,32.373,33.034,20,51,54.962,48
5.0,33.088,33.489,20,52,56.171,49
5.0,31.223,33.222,20,51,53.943,48
7.161,31.223,33.222,20,51,53.943,48
5.0,31.938,33.676,20,52,55.152,49
6.079,30.08,31.398,19,48,50.867,45
5.0,30.524,32.318,19,48,50.471,45
6.845,30.08,31.398,19,48,50.867,45
7.721,30.08,31.398,19,48,50.867,45
4.39,20.719,22.529,13,37,42.069,37
8.523,29.707,31.972,20,48,51.361,46
4.971,29.063,29.398,21,44,45.325,41
9.201,33.928,35.228,25,53,55.362,50
6.215,36.121,39.313,24,64,71.185,63
9.398,36.036,38.273,25,61,65.022,58
6.575,28.686,29.949,17,46,48.694,43
4.0,30.933,34.62,19,58,67.391,59
6.155,30.025,34.018,19,55,63.627,56
6.721,27.67,31.398,18,52,60.268,53
4.209,17.139,18.245,11,29,32.824,29
5.347,20.192,21.767,13,35,39.654,35
6.495,34.905,37.114,22,55,56.946,51
5.0,29.378,31.353,17,47,49.53,44
5.574,28.18,29.193,16,45,47.777,42
5.933,27.686,28.949,16,45,47.694,42
7.886,30.927,32.165,18,50,53.318,47
7.301,29.513,30.807,17,46,48.638,43
7.155,27.379,28.398,16,44,46.405,41
6.495,26.675,27.438,14,43,45.86,40
5.523,36.923,40.108,24,65,72.557,64
6.0,22.993,24.563,15,39,43.026,38
4.0,36.933,40.62,25,66,73.391,65
4.879,36.594,40.506,24,64,70.896,63
7.77,30.407,33.859,19,56,64.976,57
7.987,28.686,29.949,17,46,48.694,43
7.671,25.983,27.051,17,42,45.192,40
5.0,29.542,31.33,20,49,52.939,47
4.886,36.933,40.62,25,66,73.391,65
4.0,33.197,37.16,23,60,67.683,60
6.432,35.407,38.858,24,63,69.976,62
8.432,34.901,38.103,23,62,69.059,61
5.972,32.41,34.87,20,52,54.863,49
7.573,29.191,30.705,18,47,49.61,44
8.315,29.191,30.705,18,47,49.61,44
7.481,30.542,32.33,21,51,53.939,48
7.252,37.428,40.864,25,66,73.474,65
7.745,37.428,40.864,25,66,73.474,65
5.73,31.938,33.676,20,52,55.152,49
6.714,31.223,33.222,20,51,53.943,48
5.699,31.223,33.222,20,51,53.943,48
7.018,30.08,31.398,19,48,50.867,45
4.284,17.456,19.307,12,31,34.946,31
8.695,31.873,33.597,19,50,51.614,46
6.597,30.18,31.193,18,47,49.777,44
5.984,34.739,36.472,22,56,58.524,52
7.638,28.686,29.949,17,46,48.694,43
6.433,32.944,35.017,21,54,57.369,51
5.0,32.944,35.017,21,54,57.369,51
7.79,31.047,33.086,22,52,54.856,49
5.711,28.105,29.108,17,47,53.322,47
6.631,32.944,35.017,21,54,57.369,51
5.662,35.407,38.858,24,62,69.976,62
5.678,37.159,38.631,25,61,66.152,59
6.15,44.212,46.154,31,72,76.983,69
7.527,36.256,38.483,25,61,66.149,59
4.208,15.348,16.858,10,21,21.883,20
4.78,23.536,23.636,16,36,37.91,34
4.06,24.719,26.529,17,42,46.069,41
4.292,15.057,15.551,10,21,22.004,20
4.74,22.59,23.159,14,37,40.741,36
5.08,19.536,19.636,12,31,33.91,30
5.23,21.085,21.722,16,32,32.993,30
4.31,21.085,21.722,16,32,32.993,30
5.95,38.685,40.392,26,64,69.568,62
4.187,18.612,19.483,13,30,32.408,29
7.31,34.729,36.722,24,58,62.734,56
7.041,36.256,38.483,25,61,66.149,59
7.301,38.729,40.722,28,63,66.734,60
6.349,37.783,40.245,26,64,69.564,62
6.629,41.783,44.245,30,69,73.564,66
7.926,34.202,35.961,24,56,60.318,54
8.005,31.729,33.722,21,54,59.734,53
5.189,26.907,28.222,19,44,46.863,42
7.247,34.729,36.722,24,58,62.734,56
8.286,30.202,31.961,20,51,56.318,50
7.344,37.783,40.245,26,64,69.564,62
4.47,26.479,29.932,16,39,41.583,38
7.11,28.326,28.619,18,45,48.448,43
5.66,35.933,39.62,24,64,72.391,64
5.301,38.685,40.392,26,64,69.568,62
5.423,40.212,42.154,27,67,72.983,65
7.498,25.675,27.199,16,44,49.903,44
5.101,16.853,17.699,10,29,33.033,29
7.498,40.256,42.483,29,66,70.149,63
4.429,20.482,20.114,14,30,31.08,28
4.6,22.853,27.227,10,35,37.423,34
4.051,14.415,14.136,10,21,22.502,20
4.87,20.482,20.114,14,30,31.08,28
5.32,29.64,34.5,16,51,56.074,50
7.01,24.149,25.438,15,41,46.488,41
4.44,41.271,41.477,27,67,69.448,62
4.78,22.612,23.483,17,35,36.408,33
4.222,15.348,16.858,10,21,21.883,20
6.802,33.202,34.961,23,55,59.318,53
6.082,42.685,44.392,30,69,73.568,66
7.847,35.729,37.722,25,59,63.734,57
9.347,37.616,40.557,25,65,72.268,64
4.602,33.627,37.069,22,60,69.102,61
6.149,28.344,29.682,19,47,52.033,46
7.921,31.729,33.722,21,54,59.734,53
6.137,19.875,20.705,12,33,37.531,33
8.036,34.451,36.728,23,59,65.694,58
6.921,25.29,26.159,17,41,45.203,40
8.032,25.402,26.466,17,41,44.946,40
8.854,34.068,36.79,23,59,65.355,58
8.745,37.121,40.313,25,65,72.185,64
7.337,24.258,24.642,16,38,41.871,37
8.62,39.143,42.319,26,68,75.683,67
9.602,36.472,38.733,24,62,69.193,61
9.398,37.999,40.495,25,65,72.608,64
7.921,27.261,28.841,18,44,48.223,43
8.06,27.2,27.858,18,44,48.958,43
8.036,26.817,27.921,18,44,48.618,43
8.215,25.928,27.228,17,43,47.362,42
8.678,30.562,33.035,19,54,61.438,54
7.721,31.398,33.205,21,53,58.864,52
8.114,29.871,31.444,20,50,55.449,49
7.921,29.487,31.506,20,50,55.109,49
7.553,22.928,24.228,14,39,44.362,39
7.553,24.455,25.989,15,42,47.777,42
7.745,25.982,27.75,16,45,51.192,45
5.201,22.928,24.228,14,39,44.362,39
6.244,24.455,25.989,15,42,47.777,42
8.658,32.089,34.796,20,57,64.853,57
8.31,33.616,36.557,21,60,68.268,60
8.066,31.509,33.512,21,53,58.607,52
9.367,33.036,35.273,22,56,62.022,55
7.398,29.111,29.557,19,47,52.713,46
8.076,27.509,29.512,17,48,54.607,48
8.62,29.036,31.273,18,51,58.022,51
9.602,34.562,37.035,23,59,65.438,58
9.456,36.089,38.796,24,62,68.853,61
7.854,26.423,27.472,17,43,47.445,42
9.569,33.419,35.211,22,56,62.362,55
9.699,34.946,36.972,23,59,65.777,58
8.215,27.95,29.233,18,46,50.86,45
8.081,29.477,30.995,19,49,54.275,48
9.0,35.595,38.552,24,62,68.77,61
6.469,25.29,26.159,17,41,45.203,40
9.456,38.637,41.563,25,67,74.766,66
7.523,27.312,28.165,18,44,48.701,43
8.745,28.839,29.926,19,47,52.117,46
8.638,31.892,33.449,21,53,58.947,52
4.959,25.17,26.443,15,43,48.986,43
8.071,26.928,28.228,18,44,48.362,43
8.456,28.455,29.989,19,47,51.777,46
8.097,29.982,31.75,20,50,55.192,49
6.824,23.369,23.949,15,37,40.614,36
7.538,24.896,25.71,16,40,44.03,39
9.097,32.53,34.517,21,55,61.106,54
9.187,34.057,36.279,22,58,64.521,57
9.456,35.584,38.04,23,61,67.936,60
8.268,31.014,33.267,21,53,58.524,52
9.824,37.111,39.802,24,64,71.351,63
5.886,26.237,26.637,19,40,42.373,38
6.092,28.576,29.705,21,45,47.994,43
7.509,27.961,29.745,19,47,51.694,46
7.886,25.785,26.404,17,41,45.286,40
7.268,33.562,36.035,22,58,64.438,57
7.678,30.254,31.381,20,50,55.788,49
8.301,35.143,38.319,22,63,71.683,63
8.066,29.487,31.506,20,50,55.109,49
6.538,22.348,22.943,15,35,38.116,34
7.092,23.875,24.705,16,38,41.531,37
7.886,37.505,40.25,25,65,72.525,64
7.292,32.164,33.08,21,53,59.543,52
7.921,29.871,31.444,20,50,55.449,49
8.638,31.003,32.756,20,52,57.69,51
8.337,26.817,27.921,18,44,48.618,43
8.678,39.526,42.256,26,68,76.023,67
7.824,35.978,38.489,24,62,69.109,61
6.678,21.402,22.466,13,36,40.946,36
8.187,30.365,31.688,20,50,55.532,49
7.553,29.871,31.444,20,50,55.449,49
6.097,22.142,23.591,16,34,35.167,32
6.492,24.192,25.767,17,41,43.654,39
5.24,26.719,28.529,19,45,48.069,43
5.222,28.385,31.853,18,53,61.477,54
5.824,20.186,21.404,12,36,43.211,37
6.581,19.847,21.29,11,34,40.716,35
6.31,24.767,26.688,15,45,53.457,46
5.194,30.874,33.734,19,57,67.117,58
5.0,18.66,19.642,11,33,39.796,34
5.0,21.713,23.165,13,39,46.626,40
4.971,14.079,14.358,8,24,29.55,25
7.018,31.82,34.211,21,56,64.287,56
5.301,21.133,21.881,14,35,40.381,35
5.699,22.66,23.642,15,38,43.796,38
4.0,29.197,33.16,19,55,63.683,56
4.539,12.552,12.597,7,21,26.135,22
4.523,15.606,16.12,9,27,32.965,28
8.523,21.848,24.392,12,40,47.076,41
