pXC50,MATS3v,SM05_EA.ri.,D.Dtr08,MATS3p,SM14_EA,SM06_EA.ri.,SM08_EA.ri.,Eig01_AEA.ri.,SpMax_AEA.ri.,SM11_EA.ri.,SM03_EA.ri.,SM07_EA.ri.,SM09_EA.ri.,SM10_EA.ri.,SM13_EA,SM12_EA,Eig01_AEA.ed.,SpMax_AEA.ed.,SpMAD_AEA.bo.,Eig01_EA.ri.,SpMax_EA.ri.,SM15_EA,SpDiam_EA.ed.,SM15_AEA.ed.,SM12_EA.ri.,PHI,S2K,S3K,X1A,SpDiam_AEA.ri.,C.003,Rbrid,RCI,RFD,SsssCH,SpMAD_EA.ed.,SM13_EA.ri.,PW2,SpDiam_EA.ri.,SM11_EA.ed.,SM12_EA.ed.,X4v,nR08,SM14_EA.ri.,SM15_EA.ri.,SpDiam_AEA.ed.,SM09_EA,SM10_EA,SM08_EA.ed.,SM09_EA.ed.,RBN,RBF,nRCONR2,SpMin1_Bh.m.,SpMin1_Bh.p.,SpMin1_Bh.s.,SpMin1_Bh.v.,Uindex,SM10_EA.ed.,nCIR,SpMAD_EA.ri.,X3A
8.222,-0.022,6.472,0.0,0.022,17.399,7.92,10.109,4.374,4.374,13.527,3.967,8.842,11.184,12.389,16.2,15.022,7.241,7.241,1.5,3.327,3.327,18.591,19.814,30.014,14.713,6.093,8.343,4.09,0.438,5.537,0,1,1.143,0.095,0.0,4.354,15.877,0.577,5.327,28.199,30.73,6.591,0,17.06,18.236,6.973,11.449,12.67,20.684,23.159,2,0.035,0,2.13,2.09,1.548,2.108,37.805,25.687,5,1.386,0.177
5.917,-0.058,6.373,0.0,0.008,17.504,7.754,9.911,4.374,4.374,13.324,4.003,8.671,10.984,12.182,16.31,15.134,7.241,7.241,1.515,3.326,3.326,18.693,19.706,30.004,14.514,6.913,8.833,5.707,0.441,5.537,0,0,1.059,0.0,0.0,4.436,15.687,0.589,5.326,28.198,30.727,5.462,0,16.879,18.066,6.973,11.584,12.789,20.686,23.163,3,0.06,0,2.117,2.061,1.548,2.087,47.03,25.685,3,1.322,0.182
8.167,-0.037,6.472,0.0,0.013,17.399,7.92,10.109,4.374,4.374,13.527,3.967,8.842,11.184,12.389,16.2,15.022,7.241,7.241,1.499,3.327,3.327,18.591,19.814,30.014,14.713,5.701,8.016,3.895,0.438,5.537,0,1,1.143,0.095,0.0,4.354,15.877,0.577,5.327,28.199,30.73,6.031,0,17.06,18.236,6.973,11.449,12.67,20.684,23.159,2,0.038,0,2.15,2.129,1.548,2.139,37.805,25.687,5,1.386,0.177
5.695,-0.176,6.34,0.0,-0.083,16.967,7.657,9.789,4.247,4.247,13.091,3.967,8.599,10.843,11.991,15.802,14.657,6.822,6.822,1.527,3.178,3.178,18.126,18.206,29.348,14.228,6.118,7.479,4.58,0.449,5.407,1,0,1.0,0.0,0.464,4.431,15.348,0.59,5.178,26.98,29.378,4.129,0,16.483,17.614,6.503,11.188,12.369,19.886,22.208,3,0.064,0,2.065,2.035,1.34,2.049,41.875,24.615,2,1.369,0.185
6.542,0.015,6.5,0.0,0.01,17.739,7.945,10.014,4.384,4.384,13.279,4.134,8.761,11.012,12.195,16.526,15.332,7.32,7.32,1.543,3.254,3.254,18.948,20.667,30.339,14.44,7.393,9.947,5.399,0.435,5.42,0,0,1.0,0.0,-1.964,4.62,15.565,0.597,5.254,28.291,30.813,4.671,0,16.723,17.869,7.121,11.735,12.956,20.834,23.272,5,0.086,0,2.043,2.026,1.392,2.032,53.667,25.805,4,1.391,0.173
6.385,0.018,6.32,0.0,-0.026,17.066,7.817,9.854,4.306,4.306,13.071,3.941,8.577,10.818,12.008,15.882,14.73,7.047,7.047,1.524,3.219,3.219,18.24,19.686,29.584,14.232,6.642,9.234,4.677,0.437,5.328,1,0,1.0,0.0,0.265,4.409,15.344,0.587,5.219,27.489,29.976,4.698,0,16.498,17.635,6.849,11.232,12.435,20.184,22.553,4,0.073,0,2.109,2.033,1.492,2.061,46.585,25.052,4,1.402,0.177
7.588,0.018,6.32,0.0,-0.026,17.066,7.817,9.854,4.306,4.306,13.071,3.941,8.577,10.818,12.008,15.882,14.73,7.047,7.047,1.524,3.219,3.219,18.24,19.686,29.584,14.232,6.642,9.234,4.677,0.437,5.328,1,0,1.0,0.0,0.265,4.409,15.344,0.587,5.219,27.489,29.976,4.698,0,16.498,17.635,6.849,11.232,12.435,20.184,22.553,4,0.073,0,2.109,2.033,1.492,2.061,46.585,25.052,4,1.402,0.177
6.757,0.003,6.334,0.0,-0.027,17.066,7.828,9.869,4.307,4.307,13.09,3.952,8.593,10.835,12.025,15.882,14.73,7.047,7.047,1.52,3.223,3.223,18.24,19.686,29.584,14.251,6.858,9.415,4.788,0.437,5.329,1,0,1.0,0.0,-0.053,4.409,15.365,0.587,5.223,27.489,29.976,5.068,0,16.519,17.657,6.849,11.232,12.435,20.184,22.553,5,0.086,0,2.121,2.043,1.526,2.072,46.585,25.052,4,1.406,0.177
7.336,0.005,6.394,0.0,-0.03,17.066,7.881,9.939,4.312,4.312,13.184,3.997,8.665,10.919,12.109,15.882,14.73,7.047,7.047,1.521,3.243,3.243,18.24,19.686,29.584,14.348,6.642,9.234,4.677,0.437,5.334,1,0,1.0,0.0,0.453,4.409,15.468,0.587,5.243,27.489,29.976,4.899,0,16.626,17.77,6.849,11.232,12.435,20.184,22.553,5,0.089,0,2.118,2.04,1.516,2.069,46.585,25.052,4,1.421,0.177
5.0,-0.148,6.807,211.222,-0.19,18.047,8.265,10.573,4.59,4.59,14.211,4.249,9.266,11.729,12.993,16.788,15.544,7.718,7.718,1.554,3.584,3.584,19.303,22.561,30.805,15.468,3.403,5.407,2.248,0.417,5.627,3,7,1.5,0.7,2.562,4.833,16.713,0.597,5.584,29.346,32.001,6.643,3,17.972,19.23,7.397,11.804,13.07,21.454,24.054,2,0.036,1,2.237,2.185,1.705,2.203,30.14,26.709,10,1.499,0.161
5.301,-0.098,6.807,224.538,-0.127,18.048,8.268,10.575,4.59,4.59,14.212,4.249,9.267,11.729,12.994,16.789,15.546,7.718,7.718,1.542,3.584,3.584,19.304,22.562,30.805,15.469,3.798,5.925,2.506,0.42,5.627,3,7,1.5,0.7,2.575,4.751,16.713,0.591,5.584,29.347,32.001,6.772,3,17.973,19.23,7.484,11.805,13.072,21.456,24.055,3,0.052,1,2.237,2.185,1.705,2.203,31.915,26.71,10,1.486,0.16
5.0,-0.127,6.807,252.825,-0.142,18.048,8.272,10.576,4.59,4.59,14.212,4.249,9.267,11.729,12.994,16.789,15.546,7.718,7.718,1.524,3.584,3.584,19.304,22.562,30.805,15.469,4.619,6.988,3.064,0.425,5.642,3,7,1.5,0.7,2.456,4.609,16.713,0.584,5.584,29.347,32.001,6.845,3,17.973,19.23,7.627,11.806,13.074,21.456,24.055,5,0.081,1,2.237,2.185,1.705,2.203,35.655,26.71,10,1.458,0.163
5.0,-0.164,6.779,198.548,-0.198,18.038,8.232,10.541,4.589,4.589,14.184,4.235,9.235,11.699,12.964,16.778,15.534,7.718,7.718,1.566,3.583,3.583,19.295,22.557,30.797,15.442,3.027,4.908,2.06,0.413,5.659,3,7,1.5,0.7,2.48,4.893,16.689,0.606,5.583,29.34,31.996,6.376,3,17.951,19.21,7.397,11.792,13.058,21.444,24.046,1,0.019,1,2.237,2.185,1.705,2.203,28.426,26.702,10,1.507,0.161
5.0,-0.187,6.75,179.971,-0.226,18.009,8.21,10.53,4.59,4.59,14.18,4.178,9.22,11.691,12.958,16.747,15.5,7.718,7.718,1.582,3.584,3.584,19.269,22.545,30.764,15.44,2.479,4.196,1.717,0.409,5.611,3,7,1.526,0.737,2.536,4.93,16.688,0.605,5.584,29.324,31.983,6.208,3,17.95,19.21,7.399,11.748,13.017,21.414,24.023,1,0.021,1,2.236,2.179,1.705,2.2,25.194,26.683,10,1.535,0.159
5.0,-0.262,6.745,184.479,-0.31,17.951,8.202,10.514,4.581,4.581,14.158,4.187,9.206,11.672,12.938,16.691,15.445,7.706,7.706,1.582,3.579,3.579,19.209,22.306,30.702,15.417,2.479,4.196,1.781,0.409,5.602,3,7,1.526,0.737,2.556,4.909,16.663,0.607,5.579,29.269,31.927,6.185,3,17.925,19.184,7.389,11.701,12.968,21.351,23.964,1,0.021,1,2.236,2.179,1.705,2.2,25.264,26.624,10,1.535,0.161
5.0,-0.249,7.091,200.728,-0.294,18.481,8.513,10.899,4.626,4.626,14.607,4.491,9.595,12.096,13.368,17.21,15.947,7.731,7.731,1.611,3.607,3.607,19.75,22.79,31.173,15.872,2.769,4.478,1.938,0.406,5.648,3,7,1.526,0.737,2.489,5.239,17.128,0.62,5.607,29.661,32.307,6.687,3,18.392,19.655,7.408,12.153,13.431,21.78,24.381,1,0.019,1,2.236,2.179,1.705,2.2,28.417,27.031,10,1.563,0.156
5.0,-0.183,6.829,191.176,-0.219,18.053,8.274,10.591,4.591,4.591,14.232,4.266,9.289,11.751,13.013,16.794,15.549,7.718,7.718,1.581,3.585,3.585,19.31,22.568,30.8,15.488,2.689,4.445,1.833,0.409,5.612,3,7,1.526,0.737,2.527,5.005,16.733,0.611,5.585,29.343,31.998,6.479,3,17.991,19.248,7.247,11.807,13.072,21.447,24.049,1,0.02,1,2.236,2.179,1.705,2.2,26.82,26.705,10,1.542,0.159
5.222,-0.195,6.785,193.486,-0.223,18.021,8.234,10.546,4.59,4.59,14.19,4.241,9.241,11.705,12.969,16.761,15.515,7.718,7.718,1.582,3.584,3.584,19.28,22.547,30.767,15.449,2.659,4.414,1.881,0.409,5.611,3,7,1.526,0.737,2.349,4.987,16.696,0.611,5.584,29.326,31.984,6.24,3,17.957,19.216,7.012,11.772,13.037,21.419,24.026,1,0.021,1,2.236,2.179,1.705,2.2,26.858,26.685,10,1.526,0.16
5.0,-0.197,6.927,233.317,-0.245,18.277,8.348,10.644,4.591,4.591,14.257,4.408,9.356,11.794,13.046,17.028,15.79,7.718,7.718,1.607,3.585,3.585,19.525,22.551,31.001,15.507,3.24,5.1,2.387,0.408,5.612,3,7,1.526,0.737,1.955,5.191,16.746,0.623,5.585,29.425,32.067,6.425,3,18.0,19.254,7.041,12.073,13.326,21.582,24.165,1,0.02,1,2.236,2.179,1.705,2.2,31.972,26.803,10,1.518,0.16
5.0,-0.192,6.826,190.35,-0.236,18.069,8.272,10.591,4.593,4.593,14.236,4.266,9.288,11.752,13.016,16.809,15.563,7.72,7.72,1.58,3.586,3.586,19.327,22.586,30.82,15.492,2.689,4.445,1.833,0.409,5.614,3,7,1.526,0.737,2.525,5.005,16.738,0.61,5.586,29.365,32.019,6.514,3,17.997,19.254,7.264,11.815,13.082,21.471,24.073,1,0.02,1,2.236,2.179,1.705,2.2,26.782,26.728,10,1.541,0.158
5.0,-0.269,6.608,206.629,-0.284,17.552,8.049,10.236,4.443,4.443,13.676,4.15,8.961,11.31,12.529,16.33,15.129,7.291,7.291,1.555,3.393,3.393,18.769,20.089,29.967,14.879,2.81,4.657,2.179,0.411,5.499,3,7,1.526,0.737,2.631,4.768,16.06,0.603,5.393,28.357,30.924,6.046,3,17.262,18.458,6.973,11.5,12.736,20.734,23.243,1,0.02,0,2.232,2.179,1.699,2.199,27.0,25.809,10,1.506,0.164
5.0,-0.188,6.829,54.297,-0.231,18.422,8.294,10.709,4.708,4.708,14.5,4.178,9.378,11.93,13.229,17.124,15.836,8.017,8.017,1.606,3.706,3.706,19.719,23.853,31.292,15.797,2.15,3.735,1.394,0.407,5.75,3,6,1.5,0.667,2.412,5.117,17.087,0.608,5.706,30.081,32.811,5.963,1,18.386,19.686,7.698,11.974,13.273,21.934,24.629,1,0.022,1,2.06,1.994,1.507,2.016,23.631,27.361,10,1.562,0.155
5.0,-0.129,6.432,174.198,-0.149,17.028,7.915,10.041,4.296,4.296,13.373,3.975,8.76,11.065,12.269,15.849,14.698,6.949,6.949,1.573,3.277,3.277,18.195,19.327,29.478,14.55,2.615,4.426,1.781,0.412,5.316,5,7,1.526,0.737,3.622,4.799,15.69,0.6,5.277,27.286,29.738,6.076,3,16.86,18.017,6.631,11.181,12.394,20.082,22.417,1,0.021,1,2.237,2.178,1.711,2.2,25.241,24.889,10,1.535,0.16
6.201,-0.045,6.423,0.0,-0.028,16.969,7.918,9.994,4.214,4.214,13.239,3.981,8.721,10.983,12.168,15.812,14.685,6.778,6.778,1.551,3.169,3.169,18.111,18.427,29.404,14.39,4.354,6.866,3.022,0.426,5.255,1,4,1.261,0.348,0.231,4.549,15.498,0.59,5.169,27.001,29.404,4.799,0,16.638,17.762,6.465,11.226,12.425,19.948,22.232,3,0.058,0,2.097,2.097,1.449,2.099,35.591,24.656,7,1.47,0.172
7.257,-0.087,6.489,0.0,-0.098,16.927,7.971,10.034,4.213,4.213,13.263,4.056,8.769,11.017,12.197,15.768,14.643,6.776,6.776,1.575,3.169,3.169,18.07,18.421,29.343,14.411,4.206,6.874,3.032,0.429,5.253,1,4,1.261,0.348,0.211,4.481,15.515,0.586,5.169,26.968,29.375,4.46,0,16.653,17.775,6.454,11.187,12.386,19.903,22.191,3,0.057,0,2.097,2.097,1.449,2.099,37.587,24.618,7,1.488,0.174
6.021,-0.088,6.583,0.0,-0.119,16.982,8.048,10.115,4.213,4.213,13.339,4.151,8.86,11.101,12.274,15.828,14.707,6.776,6.776,1.537,3.169,3.169,18.121,18.421,29.415,14.482,4.957,7.77,3.493,0.43,5.253,1,4,1.261,0.348,0.197,4.497,15.582,0.588,5.169,26.997,29.399,4.639,0,16.715,17.833,6.454,11.266,12.459,19.955,22.234,5,0.086,0,2.097,2.097,1.449,2.099,41.595,24.654,7,1.483,0.175
7.067,-0.088,6.583,0.0,-0.119,17.017,8.049,10.121,4.23,4.23,13.358,4.151,8.863,11.111,12.288,15.857,14.73,6.79,6.79,1.538,3.184,3.184,18.162,18.482,29.429,14.505,4.957,7.77,3.493,0.43,5.271,1,4,1.261,0.348,0.171,4.496,15.612,0.587,5.184,27.037,29.444,4.648,0,16.751,17.875,6.592,11.276,12.473,19.98,22.263,5,0.086,0,2.096,2.098,1.449,2.099,41.263,24.689,7,1.483,0.174
6.447,-0.076,6.353,0.0,-0.094,16.95,7.869,9.924,4.213,4.213,13.14,3.911,8.644,10.895,12.081,15.785,14.652,6.788,6.788,1.529,3.151,3.151,18.099,18.475,29.395,14.289,4.25,6.897,2.962,0.43,5.254,1,4,1.261,0.348,0.393,4.41,15.388,0.577,5.151,27.099,29.514,4.511,0,16.524,17.641,6.59,11.17,12.38,19.987,22.298,3,0.056,0,2.098,2.097,1.459,2.1,35.575,24.733,7,1.467,0.169
7.019,-0.09,6.379,0.0,-0.102,16.965,7.884,9.935,4.213,4.213,13.147,3.958,8.659,10.905,12.089,15.802,14.672,6.788,6.788,1.535,3.151,3.151,18.112,18.475,29.401,14.295,4.652,7.303,3.264,0.429,5.254,1,4,1.261,0.348,0.378,4.477,15.393,0.584,5.151,27.1,29.515,4.644,0,16.528,17.645,6.467,11.203,12.407,19.993,22.301,3,0.056,0,2.098,2.097,1.459,2.1,37.511,24.736,7,1.449,0.171
6.87,-0.077,6.395,0.0,-0.087,16.905,7.899,9.974,4.213,4.213,13.221,3.946,8.697,10.962,12.15,15.742,14.613,6.776,6.776,1.546,3.169,3.169,18.051,18.421,29.328,14.375,3.848,6.352,2.775,0.426,5.253,1,4,1.261,0.348,0.24,4.467,15.483,0.585,5.169,26.964,29.372,4.358,0,16.625,17.75,6.578,11.139,12.346,19.89,22.183,3,0.058,0,2.097,2.097,1.449,2.099,33.755,24.612,7,1.494,0.172
6.268,-0.089,6.32,0.0,-0.097,16.905,7.832,9.876,4.205,4.205,13.071,3.899,8.597,10.838,12.02,15.742,14.613,6.776,6.776,1.54,3.141,3.141,18.051,18.421,29.328,14.216,4.011,6.512,2.861,0.426,5.246,1,4,1.261,0.348,0.123,4.467,15.309,0.585,5.141,26.964,29.372,4.539,0,16.44,17.551,6.578,11.139,12.346,19.89,22.183,3,0.056,0,2.112,2.103,1.493,2.109,33.755,24.612,7,1.479,0.172
5.921,0.214,6.125,0.0,0.058,16.748,7.462,9.632,4.268,4.268,13.001,3.704,8.425,10.709,11.877,15.571,14.41,6.992,6.992,1.434,3.224,3.224,17.921,18.307,29.265,14.16,5.603,6.738,4.606,0.472,5.273,0,0,1.0,0.0,0.0,3.978,15.305,0.561,5.224,27.255,29.728,2.356,0,16.464,17.619,6.724,10.905,12.094,19.881,22.32,7,0.219,0,1.99,2.076,1.065,2.038,41.757,24.792,1,1.366,0.197
4.433,0.072,6.41,0.0,0.052,17.433,7.812,10.033,4.442,4.442,13.539,3.951,8.776,11.147,12.365,16.2,14.984,7.41,7.41,1.457,3.395,3.395,18.662,20.771,30.108,14.75,7.113,8.863,5.478,0.457,5.478,0,0,1.0,0.0,0.0,4.104,15.949,0.57,5.333,28.162,30.724,4.198,0,17.162,18.372,7.345,11.323,12.562,20.55,23.054,7,0.132,0,2.041,2.054,1.39,2.069,48.49,25.623,2,1.419,0.189
4.433,-0.008,6.771,0.0,-0.023,17.679,8.189,10.345,4.475,4.475,13.762,4.353,9.086,11.409,12.618,16.458,15.259,7.449,7.449,1.528,3.423,3.423,18.898,21.186,30.303,14.964,7.826,10.489,5.928,0.436,5.513,0,0,1.0,0.0,0.021,4.512,16.146,0.598,5.423,28.379,30.95,5.919,0,17.353,18.555,7.251,11.663,12.883,20.788,23.27,5,0.082,0,2.094,2.083,1.476,2.096,56.338,25.841,4,1.425,0.182
4.87,-0.019,6.645,0.0,-0.032,17.598,8.092,10.26,4.473,4.473,13.703,4.196,8.987,11.332,12.551,16.365,15.155,7.448,7.448,1.516,3.422,3.422,18.826,21.174,30.241,14.913,6.656,9.431,5.294,0.439,5.51,0,0,1.0,0.0,0.0,4.33,16.102,0.584,5.422,28.359,30.933,4.931,0,17.315,18.523,7.25,11.518,12.756,20.735,23.234,5,0.088,0,2.049,2.082,1.39,2.095,48.962,25.813,4,1.449,0.182
7.499,-0.09,6.42,0.0,-0.094,16.92,7.913,9.985,4.213,4.213,13.228,3.992,8.711,10.971,12.157,15.76,14.633,6.776,6.776,1.552,3.169,3.169,18.064,18.421,29.336,14.38,4.24,6.757,3.061,0.425,5.253,1,4,1.261,0.348,0.226,4.534,15.488,0.591,5.169,26.966,29.374,4.491,0,16.629,17.754,6.454,11.173,12.374,19.896,22.186,3,0.058,0,2.097,2.097,1.449,2.099,35.645,24.615,7,1.475,0.173
8.035,-0.085,6.445,0.0,-0.085,16.92,7.93,9.998,4.213,4.213,13.237,4.024,8.729,10.984,12.167,15.76,14.633,6.776,6.776,1.552,3.169,3.169,18.064,18.421,29.336,14.388,4.038,6.561,2.954,0.425,5.253,1,4,1.261,0.348,0.203,4.534,15.494,0.591,5.169,26.966,29.374,4.365,0,16.635,17.759,6.454,11.173,12.374,19.896,22.186,3,0.058,0,2.097,2.097,1.449,2.099,35.645,24.615,7,1.49,0.173
4.924,-0.253,7.394,0.0,-0.255,18.964,8.797,11.2,4.785,4.785,14.967,4.795,9.897,12.417,13.702,17.661,16.368,8.03,8.03,1.586,3.769,3.769,20.268,24.08,31.64,16.256,6.045,8.672,4.402,0.423,5.827,1,2,1.12,0.16,0.512,5.03,17.543,0.613,5.769,30.177,32.876,7.592,0,18.84,20.138,7.832,12.508,13.801,22.16,24.802,5,0.072,0,2.053,2.081,1.453,2.095,51.831,27.498,6,1.527,0.169
5.074,0.094,6.565,0.0,0.063,17.57,8.005,10.197,4.468,4.468,13.668,4.101,8.925,11.285,12.506,16.337,15.124,7.444,7.444,1.476,3.418,3.418,18.8,21.143,30.227,14.88,8.206,10.651,6.228,0.45,5.505,0,0,1.0,0.0,0.0,4.173,16.074,0.573,5.418,28.339,30.912,4.98,0,17.287,18.497,7.379,11.476,12.714,20.715,23.216,8,0.131,0,2.043,2.074,1.39,2.087,54.844,25.793,3,1.414,0.185
5.0,-0.155,6.74,186.601,-0.196,17.993,8.21,10.523,4.588,4.588,14.169,4.178,9.209,11.679,12.948,16.731,15.484,7.717,7.717,1.565,3.583,3.583,19.253,22.533,30.76,15.43,2.829,4.677,1.964,0.413,5.626,3,7,1.5,0.7,2.528,4.83,16.678,0.601,5.583,29.322,31.98,6.403,3,17.94,19.201,7.406,11.732,13.003,21.411,24.02,1,0.02,1,2.237,2.185,1.705,2.204,26.765,26.68,10,1.523,0.161
5.301,-0.149,6.392,0.0,-0.118,16.97,7.711,9.837,4.252,4.252,13.133,4.014,8.649,10.888,12.035,15.805,14.66,6.822,6.822,1.524,3.183,3.183,18.129,18.214,29.35,14.268,6.017,7.609,4.662,0.452,5.412,1,0,1.0,0.0,0.386,4.369,15.387,0.583,5.183,26.983,29.382,3.565,0,16.521,17.651,6.591,11.191,12.373,19.89,22.211,4,0.08,0,2.066,2.039,1.339,2.051,44.872,24.619,2,1.405,0.183
9.0,0.037,6.264,0.0,0.021,17.001,7.724,9.746,4.283,4.283,12.942,3.883,8.497,10.713,11.882,15.822,14.672,7.019,7.019,1.529,3.181,3.181,18.171,19.495,29.505,14.088,5.809,8.316,4.028,0.437,5.349,0,0,1.0,0.0,0.228,4.404,15.192,0.586,5.181,27.375,29.856,4.071,0,16.333,17.461,6.821,11.185,12.382,20.093,22.454,4,0.075,0,2.094,2.032,1.476,2.055,42.082,24.946,4,1.418,0.178
7.824,0.0,4.842,0.0,-0.004,14.007,6.674,8.367,3.718,3.718,11.005,2.601,6.939,8.983,10.198,12.948,12.063,5.872,5.872,1.321,2.724,2.724,14.947,13.657,26.565,12.113,18.731,19.852,18.165,0.509,4.708,1,0,0.0,0.0,-0.062,2.743,13.017,0.508,4.706,22.75,24.87,2.383,0,14.071,15.025,5.865,8.928,10.167,16.659,18.582,15,0.238,0,2.044,1.974,1.335,1.996,143.766,20.75,0,1.268,0.25
4.0,0.016,5.275,0.0,0.02,16.221,6.909,8.786,4.109,4.109,11.778,2.976,7.468,9.629,10.805,15.055,13.914,6.703,6.703,1.301,2.919,2.919,17.373,16.513,28.54,12.894,18.762,19.601,21.005,0.505,5.133,0,0,0.0,0.0,0.0,2.876,13.923,0.512,4.896,26.241,28.628,3.519,0,15.013,16.067,6.697,10.413,11.626,19.093,21.467,18,0.277,0,2.044,1.984,1.363,2.036,153.648,23.858,0,1.258,0.247
8.319,-0.021,5.174,0.0,-0.022,14.151,6.887,8.583,3.718,3.718,11.195,2.969,7.221,9.216,10.395,13.11,12.238,5.872,5.872,1.337,2.724,2.724,15.077,13.657,26.658,12.279,20.171,21.246,19.615,0.504,4.71,2,0,0.0,0.0,0.629,2.867,13.169,0.516,4.709,22.802,24.912,2.957,0,14.207,15.146,5.826,9.173,10.369,16.774,18.667,17,0.236,0,2.071,1.986,1.403,2.017,173.935,20.821,0,1.287,0.246
8.481,-0.03,5.174,0.0,-0.031,14.151,6.887,8.583,3.718,3.718,11.195,2.969,7.221,9.216,10.395,13.11,12.238,5.872,5.872,1.34,2.724,2.724,15.077,13.657,26.658,12.279,20.171,21.246,19.615,0.504,4.71,2,0,0.0,0.0,0.74,2.87,13.169,0.516,4.709,22.802,24.912,2.942,0,14.207,15.146,5.831,9.173,10.369,16.774,18.667,17,0.236,0,2.074,1.987,1.413,2.02,173.983,20.821,0,1.29,0.246
8.722,0.014,5.775,0.0,0.051,16.315,7.171,9.333,4.197,4.197,12.718,3.395,8.094,10.406,11.591,15.147,13.993,6.732,6.732,1.325,3.178,3.178,17.476,17.135,28.607,13.884,11.997,11.915,14.351,0.499,5.173,0,0,0.0,0.0,-0.293,3.233,15.03,0.533,5.142,26.376,28.777,3.492,0,16.19,17.342,6.715,10.491,11.684,19.196,21.577,13,0.26,0,2.073,1.98,1.442,2.021,83.221,23.983,0,1.319,0.232
7.565,-0.1,5.872,0.0,-0.083,16.238,7.385,9.464,4.184,4.184,12.775,3.449,8.183,10.478,11.675,15.077,13.943,6.703,6.703,1.342,3.184,3.184,17.385,16.521,28.553,13.943,18.87,19.857,21.091,0.501,5.176,0,0,0.0,0.0,0.0,2.999,15.078,0.521,5.17,26.242,28.629,2.953,0,16.238,17.386,6.665,10.474,11.675,19.103,21.472,18,0.247,0,2.091,2.007,1.429,2.039,174.017,23.861,0,1.302,0.243
8.886,0.02,6.292,0.0,0.032,16.901,7.791,9.877,4.268,4.268,13.153,3.836,8.601,10.877,12.068,15.735,14.6,6.909,6.909,1.524,3.236,3.236,18.055,19.226,29.417,14.317,5.251,7.629,3.536,0.436,5.31,0,1,1.095,0.095,0.541,4.397,15.442,0.583,5.236,27.119,29.559,4.603,0,16.599,17.744,6.597,11.129,12.328,19.966,22.283,4,0.077,0,2.082,2.074,1.443,2.079,37.767,24.738,5,1.434,0.176
6.339,-0.125,6.916,0.0,-0.102,18.083,8.288,10.594,4.49,4.49,14.158,4.385,9.337,11.744,12.968,16.845,15.616,7.463,7.463,1.562,3.422,3.422,19.32,21.419,30.759,15.374,4.21,5.774,3.006,0.43,5.584,2,2,1.286,0.286,1.204,4.962,16.58,0.608,5.422,28.83,31.393,4.638,0,17.796,19.009,7.18,11.922,13.166,21.215,23.722,3,0.053,0,2.166,2.136,1.516,2.146,36.66,26.291,6,1.511,0.168
5.643,-0.151,6.569,86.755,-0.174,17.398,8.048,10.156,4.402,4.402,13.5,4.139,8.877,11.178,12.386,16.19,15.009,7.157,7.157,1.546,3.346,3.346,18.599,20.176,29.83,14.69,5.221,8.041,3.716,0.429,5.439,0,2,1.167,0.167,0.0,4.574,15.847,0.59,5.346,27.928,30.451,4.393,1,17.035,18.215,6.959,11.441,12.663,20.501,22.917,4,0.075,0,2.032,2.019,1.2,2.021,43.323,25.448,8,1.463,0.169
7.155,-0.286,7.247,0.0,-0.299,18.766,8.651,11.018,4.785,4.785,14.772,4.691,9.718,12.222,13.507,17.459,16.164,8.03,8.03,1.582,3.769,3.769,20.076,24.08,31.428,16.066,5.832,8.445,4.206,0.423,5.835,1,2,1.125,0.167,0.837,4.971,17.359,0.615,5.769,30.019,32.735,6.536,0,18.664,19.971,7.444,12.314,13.602,21.955,24.611,5,0.069,0,2.068,2.047,1.453,2.054,49.69,27.323,6,1.523,0.172
6.896,-0.035,6.342,0.0,-0.104,16.673,7.822,9.854,4.242,4.242,13.071,3.965,8.588,10.821,12.005,15.509,14.387,6.851,6.851,1.516,3.22,3.22,17.821,18.966,29.151,14.229,5.474,8.179,4.141,0.439,5.292,0,1,1.091,0.091,0.162,4.232,15.344,0.578,5.22,26.801,29.235,3.932,0,16.497,17.636,6.653,10.946,12.145,19.703,21.987,4,0.071,0,2.096,2.093,1.476,2.083,42.086,24.44,5,1.466,0.18
6.0,-0.067,6.343,0.0,-0.128,16.754,7.807,9.802,4.223,4.223,12.934,3.998,8.553,10.739,11.902,15.596,14.477,6.852,6.852,1.5,3.145,3.145,17.896,18.972,29.241,14.065,6.051,8.707,4.401,0.438,5.274,1,1,1.091,0.091,-1.347,4.305,15.145,0.584,5.145,26.844,29.271,4.432,0,16.269,17.373,6.654,11.051,12.241,19.773,22.047,4,0.067,0,2.099,2.106,1.477,2.099,44.327,24.491,5,1.443,0.18
5.0,-0.187,6.59,91.627,-0.201,17.407,8.061,10.164,4.402,4.402,13.505,4.177,8.889,11.186,12.392,16.201,15.023,7.157,7.157,1.549,3.346,3.346,18.606,20.176,29.834,14.693,5.635,8.448,4.03,0.428,5.44,0,2,1.167,0.167,0.0,4.622,15.85,0.596,5.346,27.928,30.451,4.53,1,17.038,18.217,6.572,11.467,12.684,20.505,22.918,4,0.075,0,2.032,2.019,1.2,2.021,45.461,25.449,8,1.444,0.17
