pXC50,SpMax2_Bh.p.,JGI3,SpMax3_Bh.i.,SpMax2_Bh.v.,SpMax3_Bh.e.,SpMax3_Bh.p.,SpMax3_Bh.v.,SpMax3_Bh.m.,GGI3,RBF,RBN,SpMin2_Bh.i.,IDE,NNRS,RCI,RFD,SpMaxA_AEA.ri.,X3A,HVcpx,SpMax2_Bh.m.,PW4,SpMin2_Bh.e.,Vindex,Yindex,PHI,S2K,AECC,SpMAD_AEA.ed.,SM04_EA.ed.,SpDiam_AEA.ri.,SpMaxA_AEA.ed.,SpMaxA_EA.ed.,SpMaxA_EA.ri.,X4A,X5A,MSD,PW5,NRS,S3K,SpMaxA_EA,SpMax2_Bh.e.,D.Dtr06,BIC4,BIC5,Eig01_AEA.ed.,MATS2v,MWC08,MWC09,MWC10,nCIR,Rbrid,SM03_EA.ed.,SM05_EA.ed.,SM07_EA,SM08_AEA.ed.,SM08_EA,SM09_AEA.ed.,SM09_EA,SM10_AEA.ed.,SM10_EA,SM11_AEA.ed.
6.194,3.644,0.049,3.724,3.638,3.675,3.561,3.551,3.555,2.0,0.094,5,1.708,3.417,0.333,1.385,0.462,0.186,0.174,3.262,3.656,0.183,1.763,0.246,0.689,4.756,6.633,10.478,1.592,11.224,5.69,0.316,0.589,0.146,0.105,0.066,5.725,0.108,1,3.03,0.146,3.768,143.851,0.883,0.883,7.9,0.047,10.295,11.23,12.171,6,3,8.071,13.501,9.238,16.838,10.561,18.837,11.763,20.852,13.054,22.879
5.009,3.618,0.053,3.601,3.618,3.553,3.468,3.458,3.447,2.0,0.022,1,1.671,3.012,0.333,1.385,0.462,0.211,0.169,2.912,3.646,0.196,1.711,0.298,0.904,3.359,4.913,7.95,1.635,11.221,5.69,0.359,0.67,0.165,0.101,0.065,4.479,0.122,1,2.097,0.166,3.729,113.202,0.87,0.87,7.9,0.143,10.268,11.207,12.152,6,3,8.071,13.501,9.238,16.836,10.555,18.836,11.763,20.852,13.052,22.879
6.31,3.631,0.05,3.702,3.629,3.65,3.534,3.523,3.53,2.0,0.08,4,1.693,3.292,0.333,1.385,0.462,0.194,0.172,3.153,3.653,0.186,1.745,0.262,0.753,4.255,6.028,9.636,1.603,11.223,5.69,0.329,0.614,0.152,0.103,0.066,5.29,0.111,1,2.699,0.152,3.756,133.176,0.881,0.881,7.9,0.063,10.287,11.223,12.165,6,3,8.071,13.501,9.238,16.837,10.559,18.837,11.763,20.852,13.053,22.879
5.77,3.621,0.051,3.669,3.62,3.613,3.489,3.481,3.495,2.0,0.064,3,1.68,3.157,0.333,1.385,0.462,0.202,0.171,3.033,3.649,0.19,1.727,0.279,0.825,3.775,5.442,8.762,1.618,11.222,5.69,0.343,0.641,0.158,0.102,0.065,4.873,0.115,1,2.372,0.159,3.744,122.941,0.88,0.88,7.9,0.081,10.278,11.216,12.159,6,3,8.071,13.501,9.238,16.836,10.557,18.837,11.763,20.852,13.053,22.879
5.009,3.612,0.053,3.617,3.612,3.557,3.417,3.415,3.446,2.0,0.045,2,1.67,3.012,0.333,1.385,0.462,0.211,0.169,2.912,3.645,0.196,1.713,0.298,0.904,3.319,4.877,7.95,1.635,11.221,5.69,0.359,0.67,0.165,0.101,0.065,4.479,0.122,1,2.078,0.166,3.733,113.202,0.878,0.878,7.9,0.101,10.268,11.207,12.152,6,3,8.071,13.501,9.238,16.836,10.555,18.836,11.763,20.852,13.052,22.879
5.229,3.617,0.053,3.614,3.616,3.562,3.467,3.454,3.44,2.0,0.044,2,1.674,3.012,0.333,1.385,0.462,0.211,0.169,2.912,3.644,0.196,1.717,0.298,0.904,3.359,4.913,7.95,1.635,11.221,5.69,0.359,0.67,0.165,0.101,0.065,4.479,0.122,1,2.097,0.166,3.733,113.202,0.881,0.881,7.9,0.098,10.268,11.207,12.152,6,3,8.071,13.501,9.238,16.836,10.555,18.836,11.763,20.852,13.052,22.879
5.194,3.608,0.057,3.63,3.608,3.564,3.422,3.405,3.399,2.049,0.085,4,1.737,3.037,0.333,1.308,0.308,0.212,0.166,2.941,3.642,0.21,1.777,0.293,0.89,3.848,5.474,8.0,1.625,11.257,5.734,0.364,0.699,0.165,0.103,0.064,4.551,0.12,1,2.216,0.167,3.745,78.118,0.87,0.87,8.017,0.135,10.26,11.204,12.151,6,2,8.111,13.657,9.231,16.848,10.567,18.874,11.792,20.915,13.097,22.968
6.086,3.699,0.07,3.713,3.704,3.678,3.62,3.61,3.595,2.674,0.074,4,1.865,3.354,0.5,1.211,0.211,0.16,0.17,3.166,3.763,0.207,1.906,0.198,0.546,4.403,6.676,9.125,1.543,10.679,5.378,0.261,0.449,0.12,0.111,0.071,5.818,0.111,2,3.152,0.124,3.881,169.212,0.765,0.765,7.044,0.027,10.236,11.137,12.052,7,2,7.506,12.553,8.701,16.125,10.006,17.985,11.045,19.861,12.271,21.751
6.469,3.78,0.061,3.731,3.766,3.683,3.566,3.561,3.575,2.271,0.058,3,1.743,3.206,0.5,1.222,0.222,0.187,0.167,3.052,3.757,0.206,1.782,0.229,0.666,3.756,5.629,8.455,1.579,11.291,5.742,0.321,0.615,0.145,0.104,0.066,5.082,0.109,2,2.434,0.147,3.884,88.15,0.848,0.848,8.017,0.032,10.356,11.291,12.231,7,2,8.143,13.668,9.276,16.872,10.607,18.891,11.819,20.927,13.118,22.977
6.636,3.605,0.06,3.624,3.604,3.557,3.42,3.402,3.39,2.049,0.068,3,1.735,2.943,0.333,1.308,0.308,0.222,0.164,2.844,3.635,0.211,1.774,0.303,0.932,3.376,4.895,7.421,1.637,11.244,5.729,0.382,0.732,0.173,0.102,0.065,4.308,0.123,1,2.006,0.175,3.74,72.294,0.879,0.879,8.017,0.091,10.23,11.173,12.12,6,2,8.095,13.651,9.22,16.837,10.556,18.865,11.785,20.909,13.09,22.964
8.523,3.845,0.034,3.861,3.84,3.816,3.713,3.704,3.709,1.063,0.12,6,1.884,3.739,1.0,1.0,0.0,0.144,0.199,3.581,3.845,0.162,1.911,0.186,0.48,5.768,8.212,12.25,1.469,9.778,4.788,0.217,0.303,0.106,0.131,0.088,7.074,0.093,3,5.27,0.106,3.913,269.237,0.807,0.807,5.648,-0.083,9.723,10.543,11.375,3,0,6.763,11.079,7.892,15.105,9.189,16.777,9.899,18.455,11.055,20.138
7.921,3.833,0.015,3.854,3.823,3.803,3.697,3.69,3.693,0.465,0.111,6,1.802,3.765,1.0,1.0,0.0,0.143,0.191,3.589,3.829,0.158,1.857,0.157,0.399,4.96,7.502,12.375,1.469,10.044,4.929,0.228,0.335,0.106,0.125,0.083,7.209,0.089,4,4.693,0.106,3.944,261.516,0.794,0.794,6.143,-0.103,9.891,10.735,11.582,4,0,7.081,11.58,8.196,15.443,9.468,17.174,10.272,18.914,11.422,20.662
8.699,3.799,0.012,3.834,3.797,3.778,3.665,3.653,3.644,0.278,0.116,5,1.779,3.462,1.0,1.0,0.0,0.179,0.199,3.315,3.81,0.141,1.829,0.203,0.527,4.145,6.021,10.053,1.473,9.64,4.812,0.27,0.379,0.129,0.126,0.086,5.897,0.084,3,4.292,0.133,3.892,134.15,0.784,0.784,5.676,-0.131,9.57,10.402,11.238,3,0,6.763,11.054,7.886,15.007,9.127,16.685,9.893,18.368,11.019,20.055
8.155,3.798,0.03,3.835,3.8,3.788,3.672,3.67,3.696,0.938,0.109,5,1.838,3.634,1.0,1.0,0.0,0.155,0.198,3.488,3.829,0.162,1.878,0.198,0.519,5.146,7.478,11.435,1.479,9.886,4.912,0.242,0.35,0.116,0.129,0.085,6.603,0.092,3,4.462,0.115,3.895,251.397,0.794,0.794,6.061,-0.059,9.738,10.569,11.409,3,0,6.862,11.319,8.001,15.287,9.285,17.006,10.06,18.734,11.214,20.47
7.276,3.862,0.034,3.852,3.85,3.808,3.715,3.696,3.778,1.188,0.115,6,1.89,3.762,1.0,1.0,0.0,0.144,0.196,3.586,3.876,0.16,1.918,0.189,0.489,6.172,8.554,12.32,1.499,10.068,4.922,0.225,0.326,0.107,0.129,0.083,7.185,0.087,3,5.103,0.107,3.922,280.602,0.804,0.804,6.084,-0.032,9.847,10.683,11.525,3,0,7.055,11.566,8.2,15.518,9.461,17.257,10.278,19.004,11.419,20.758
8.155,3.848,0.022,3.873,3.846,3.824,3.706,3.7,3.719,0.75,0.12,6,1.884,3.804,1.0,1.0,0.0,0.143,0.201,3.643,3.862,0.153,1.909,0.182,0.467,5.937,8.357,12.92,1.497,9.951,4.906,0.224,0.323,0.107,0.128,0.085,7.391,0.091,3,5.209,0.106,3.917,283.287,0.8,0.807,6.058,-0.073,9.805,10.634,11.468,3,0,6.969,11.37,8.103,15.364,9.364,17.073,10.138,18.792,11.278,20.518
7.62,3.821,0.015,3.866,3.814,3.83,3.757,3.752,3.751,0.465,0.127,7,1.816,3.855,1.0,1.0,0.0,0.134,0.195,3.67,3.823,0.154,1.859,0.15,0.378,5.459,8.136,13.12,1.455,9.925,4.836,0.203,0.284,0.097,0.127,0.085,7.633,0.088,4,5.4,0.099,3.923,279.442,0.799,0.799,5.677,-0.131,9.872,10.706,11.545,4,0,6.986,11.329,8.099,15.269,9.378,16.952,10.123,18.641,11.271,20.335
8.495,3.849,0.017,3.862,3.841,3.816,3.702,3.695,3.702,0.5,0.145,8,1.891,3.867,1.0,1.0,0.0,0.142,0.205,3.688,3.832,0.16,1.923,0.167,0.415,6.885,9.609,13.208,1.417,9.537,4.732,0.216,0.3,0.101,0.137,0.092,7.759,0.088,3,6.072,0.105,3.912,275.655,0.794,0.813,5.616,-0.092,9.576,10.381,11.193,3,0,6.475,10.824,7.567,14.851,8.962,16.516,9.574,18.19,10.785,19.869
9.0,3.842,0.03,3.846,3.838,3.798,3.691,3.682,3.688,0.938,0.106,5,1.88,3.638,1.0,1.0,0.0,0.155,0.198,3.491,3.844,0.162,1.905,0.196,0.513,5.197,7.522,11.478,1.481,9.886,4.907,0.242,0.349,0.116,0.129,0.085,6.636,0.093,3,4.494,0.114,3.909,251.478,0.8,0.8,6.058,-0.077,9.737,10.567,11.407,3,0,6.862,11.319,8.001,15.287,9.285,17.006,10.06,18.734,11.214,20.47
7.745,3.87,0.039,3.868,3.86,3.833,3.748,3.722,3.798,1.438,0.113,6,1.895,3.793,1.0,1.0,0.0,0.149,0.193,3.582,3.882,0.154,1.929,0.188,0.485,5.904,8.157,12.462,1.494,10.587,5.218,0.254,0.416,0.105,0.127,0.082,7.373,0.083,3,5.269,0.118,3.951,295.164,0.799,0.799,7.111,-0.028,9.964,10.803,11.662,3,0,7.644,12.531,8.844,16.186,10.1,18.06,11.136,19.95,12.331,21.853
7.523,3.811,0.016,3.849,3.814,3.803,3.687,3.68,3.693,0.5,0.12,6,1.848,3.79,1.0,1.0,0.0,0.143,0.202,3.635,3.842,0.156,1.87,0.182,0.465,5.973,8.385,12.833,1.473,9.786,4.77,0.217,0.302,0.102,0.129,0.086,7.288,0.092,3,5.129,0.106,3.896,266.307,0.801,0.801,5.641,-0.004,9.733,10.559,11.389,3,0,6.823,11.12,7.918,15.139,9.204,16.809,9.914,18.484,11.062,20.164
7.959,3.788,0.028,3.831,3.795,3.789,3.655,3.657,3.678,0.715,0.109,5,1.798,3.497,1.0,1.0,0.0,0.167,0.196,3.335,3.835,0.169,1.842,0.205,0.54,4.862,7.033,10.143,1.459,9.795,4.865,0.263,0.379,0.121,0.13,0.085,6.117,0.084,3,4.037,0.124,3.901,148.562,0.832,0.832,6.055,-0.092,9.644,10.475,11.312,3,0,6.742,11.254,7.907,15.195,9.189,16.922,9.979,18.659,11.129,20.403
7.745,3.841,0.03,3.844,3.837,3.797,3.69,3.682,3.685,0.938,0.104,5,1.881,3.638,1.0,1.0,0.0,0.155,0.198,3.491,3.84,0.162,1.905,0.196,0.513,5.218,7.54,11.478,1.481,9.886,4.908,0.242,0.349,0.116,0.129,0.085,6.636,0.093,3,4.507,0.114,3.907,251.478,0.805,0.805,6.058,-0.072,9.737,10.567,11.407,3,0,6.862,11.319,8.001,15.287,9.285,17.006,10.06,18.734,11.214,20.47
8.699,3.758,0.02,3.835,3.753,3.78,3.663,3.651,3.651,0.41,0.116,5,1.768,3.362,1.0,1.0,0.0,0.185,0.198,3.207,3.768,0.145,1.818,0.213,0.561,3.966,5.856,9.222,1.44,9.529,4.783,0.281,0.39,0.132,0.13,0.086,5.557,0.081,3,4.095,0.137,3.876,123.909,0.784,0.784,5.622,-0.136,9.482,10.309,11.141,3,0,6.629,10.955,7.745,14.884,9.014,16.566,9.759,18.253,10.898,19.945
6.796,3.618,0.053,3.601,3.618,3.553,3.468,3.458,3.447,2.0,0.022,1,1.671,3.012,0.333,1.385,0.462,0.211,0.169,2.912,3.646,0.196,1.711,0.298,0.904,3.359,4.913,7.95,1.635,11.221,5.69,0.359,0.67,0.165,0.101,0.065,4.479,0.122,1,2.097,0.166,3.729,113.202,0.87,0.87,7.9,0.143,10.268,11.207,12.152,6,3,8.071,13.501,9.238,16.836,10.555,18.836,11.763,20.852,13.052,22.879
4.959,3.613,0.054,3.597,3.612,3.536,3.42,3.405,3.393,2.0,0.045,2,1.671,2.861,0.333,1.385,0.462,0.221,0.167,2.779,3.64,0.205,1.713,0.316,0.987,3.03,4.466,7.105,1.648,11.219,5.69,0.376,0.702,0.173,0.101,0.064,4.12,0.125,1,1.856,0.174,3.73,104.027,0.882,0.882,7.9,0.116,10.255,11.196,12.14,6,3,8.071,13.501,9.238,16.835,10.553,18.836,11.763,20.852,13.052,22.879
5.796,3.622,0.053,3.655,3.62,3.599,3.493,3.476,3.456,2.0,0.064,3,1.682,3.012,0.333,1.385,0.462,0.211,0.169,2.912,3.645,0.196,1.728,0.298,0.904,3.472,5.014,7.95,1.635,11.221,5.69,0.359,0.67,0.165,0.101,0.065,4.479,0.122,1,2.15,0.166,3.741,113.202,0.884,0.884,7.9,0.095,10.268,11.207,12.152,6,3,8.071,13.501,9.238,16.836,10.555,18.836,11.763,20.852,13.052,22.879
4.886,3.603,0.054,3.54,3.604,3.474,3.307,3.316,3.378,2.0,0.024,1,1.661,2.861,0.333,1.385,0.462,0.221,0.167,2.779,3.64,0.205,1.702,0.316,0.987,2.887,4.334,7.105,1.648,11.219,5.69,0.376,0.702,0.173,0.101,0.064,4.12,0.125,1,1.789,0.174,3.722,104.027,0.876,0.876,7.9,0.123,10.255,11.196,12.14,6,3,8.071,13.501,9.238,16.835,10.553,18.836,11.763,20.852,13.052,22.879
7.481,3.863,0.028,3.874,3.857,3.835,3.752,3.745,3.746,1.125,0.103,6,1.895,3.91,1.0,1.0,0.0,0.127,0.192,3.737,3.858,0.173,1.931,0.153,0.391,5.99,8.992,13.786,1.476,10.214,4.966,0.199,0.294,0.095,0.127,0.083,7.928,0.095,4,4.98,0.094,3.938,420.734,0.8,0.806,6.169,-0.072,10.016,10.859,11.708,4,0,7.154,11.745,8.281,15.633,9.583,17.383,10.389,19.142,11.556,20.909
8.046,3.821,0.02,3.84,3.813,3.784,3.669,3.657,3.648,0.528,0.125,6,1.789,3.596,1.0,1.0,0.0,0.165,0.196,3.417,3.819,0.141,1.844,0.193,0.496,4.717,6.72,10.905,1.496,9.867,4.856,0.258,0.358,0.122,0.127,0.083,6.468,0.078,3,4.654,0.122,3.915,152.633,0.791,0.791,5.929,-0.07,9.698,10.533,11.374,3,0,6.974,11.365,8.107,15.302,9.331,17.016,10.146,18.737,11.264,20.463
6.509,3.828,0.027,3.866,3.812,3.812,3.698,3.687,3.712,0.722,0.128,6,1.784,3.553,1.0,1.0,0.0,0.163,0.198,3.39,3.813,0.142,1.835,0.201,0.526,5.076,7.022,10.714,1.492,9.879,4.862,0.263,0.379,0.116,0.127,0.083,6.245,0.081,3,4.895,0.124,3.916,153.012,0.774,0.796,6.058,-0.116,9.698,10.533,11.374,3,0,6.969,11.383,8.112,15.31,9.335,17.031,10.157,18.76,11.276,20.496
8.523,3.805,0.009,3.866,3.8,3.812,3.692,3.683,3.686,0.222,0.13,6,1.784,3.565,1.0,1.0,0.0,0.168,0.202,3.402,3.804,0.136,1.833,0.194,0.498,4.693,6.688,10.75,1.459,9.62,4.752,0.252,0.343,0.122,0.129,0.086,6.303,0.08,3,4.855,0.124,3.897,144.393,0.772,0.794,5.551,-0.138,9.569,10.394,11.221,3,0,6.763,11.028,7.876,14.997,9.118,16.669,9.864,18.345,10.986,20.025
7.469,3.835,0.02,3.85,3.826,3.793,3.674,3.662,3.656,0.535,0.104,5,1.789,3.522,0.75,1.111,0.111,0.163,0.186,3.348,3.834,0.162,1.846,0.174,0.451,3.805,5.917,10.286,1.484,10.05,4.995,0.258,0.386,0.12,0.12,0.08,6.191,0.085,3,3.543,0.123,3.956,124.617,0.827,0.827,6.194,-0.091,9.873,10.73,11.589,5,1,7.081,11.611,8.241,15.449,9.488,17.188,10.346,18.936,11.486,20.691
7.097,3.657,0.048,3.74,3.648,3.691,3.577,3.569,3.574,2.0,0.107,6,1.722,3.532,0.333,1.385,0.462,0.179,0.175,3.366,3.66,0.181,1.78,0.231,0.633,5.278,7.255,11.333,1.579,11.226,5.69,0.304,0.567,0.14,0.106,0.067,6.171,0.106,1,3.394,0.141,3.779,154.917,0.884,0.884,7.9,0.033,10.304,11.237,12.176,6,3,8.071,13.501,9.238,16.838,10.563,18.838,11.763,20.853,13.055,22.879
5.0,3.836,0.029,3.851,3.825,3.801,3.682,3.666,3.734,1.028,0.13,7,1.796,3.713,1.0,1.0,0.0,0.169,0.196,3.504,3.846,0.137,1.851,0.188,0.484,5.606,7.528,11.833,1.539,10.83,5.483,0.293,0.511,0.122,0.122,0.08,7.046,0.072,3,5.032,0.134,3.956,180.974,0.768,0.768,7.616,0.033,9.976,10.834,11.696,3,0,7.858,13.003,9.048,16.519,10.314,18.475,11.437,20.45,12.669,22.44
8.222,3.866,0.018,3.859,3.86,3.812,3.699,3.691,3.698,0.625,0.094,5,1.894,3.762,0.75,1.091,0.091,0.14,0.191,3.599,3.863,0.174,1.93,0.158,0.406,5.103,7.817,12.4,1.463,10.047,4.973,0.221,0.33,0.104,0.125,0.083,7.236,0.099,3,4.277,0.104,3.948,311.912,0.822,0.835,6.183,-0.058,9.916,10.759,11.607,5,1,6.986,11.531,8.103,15.422,9.427,17.153,10.208,18.895,11.389,20.646
6.674,3.582,0.066,3.531,3.58,3.445,3.255,3.244,3.262,2.049,0.026,1,1.721,2.644,0.333,1.308,0.308,0.246,0.163,2.587,3.609,0.212,1.759,0.34,1.103,2.508,3.804,5.941,1.665,11.227,5.721,0.422,0.809,0.191,0.1,0.066,3.673,0.127,1,1.535,0.194,3.709,59.889,0.874,0.874,8.017,0.163,10.179,11.124,12.071,6,2,8.078,13.643,9.207,16.825,10.541,18.856,11.776,20.902,13.082,22.959
8.301,3.812,0.024,3.841,3.806,3.783,3.667,3.654,3.645,0.653,0.118,6,1.785,3.528,1.0,1.0,0.0,0.164,0.194,3.355,3.815,0.147,1.841,0.2,0.523,4.941,6.909,10.286,1.495,9.889,4.84,0.26,0.368,0.118,0.125,0.084,6.213,0.083,3,4.805,0.123,3.909,149.816,0.793,0.793,5.976,-0.006,9.708,10.547,11.388,3,0,6.974,11.387,8.116,15.312,9.343,17.03,10.167,18.755,11.288,20.486
7.292,3.823,0.019,3.882,3.827,3.833,3.711,3.706,3.725,0.688,0.094,5,1.854,3.825,0.75,1.091,0.091,0.136,0.192,3.655,3.861,0.168,1.882,0.156,0.399,5.286,7.988,13.038,1.485,10.115,4.984,0.213,0.319,0.101,0.123,0.082,7.518,0.099,3,4.504,0.101,3.924,328.974,0.822,0.835,6.186,-0.048,9.976,10.822,11.672,5,1,7.081,11.587,8.204,15.495,9.502,17.22,10.293,18.956,11.46,20.702
8.523,3.842,0.03,3.845,3.837,3.8,3.69,3.686,3.702,0.938,0.106,5,1.88,3.634,1.0,1.0,0.0,0.155,0.198,3.488,3.84,0.162,1.908,0.198,0.519,5.197,7.522,11.435,1.479,9.886,4.912,0.242,0.35,0.116,0.129,0.085,6.603,0.092,3,4.494,0.115,3.907,251.397,0.8,0.8,6.061,-0.077,9.738,10.569,11.409,3,0,6.862,11.319,8.001,15.287,9.285,17.006,10.06,18.734,11.214,20.47
8.0,3.818,0.011,3.838,3.81,3.781,3.668,3.655,3.646,0.278,0.114,5,1.786,3.549,1.0,1.0,0.0,0.171,0.199,3.4,3.816,0.146,1.841,0.197,0.506,4.35,6.391,10.75,1.467,9.701,4.814,0.258,0.362,0.123,0.128,0.084,6.226,0.082,3,4.324,0.127,3.904,143.391,0.782,0.782,5.676,-0.111,9.617,10.451,11.287,3,0,6.823,11.136,7.928,15.071,9.171,16.754,9.941,18.441,11.066,20.132
8.699,3.799,0.023,3.836,3.8,3.78,3.665,3.653,3.646,0.59,0.116,5,1.778,3.486,1.0,1.0,0.0,0.172,0.198,3.327,3.82,0.143,1.824,0.203,0.529,4.327,6.194,10.15,1.496,9.865,4.836,0.271,0.379,0.123,0.125,0.083,6.023,0.081,3,4.253,0.129,3.901,141.995,0.82,0.82,5.951,-0.115,9.683,10.522,11.365,3,0,6.952,11.335,8.116,15.297,9.335,17.012,10.17,18.734,11.29,20.461
7.699,3.842,0.028,3.846,3.837,3.799,3.691,3.683,3.687,0.938,0.113,6,1.882,3.715,1.0,1.0,0.0,0.148,0.198,3.567,3.839,0.165,1.909,0.192,0.498,6.027,8.431,12.167,1.48,9.933,4.878,0.233,0.336,0.108,0.13,0.084,6.945,0.091,3,4.909,0.11,3.909,266.04,0.815,0.815,6.06,-0.024,9.778,10.61,11.45,3,0,6.917,11.383,8.038,15.336,9.323,17.056,10.1,18.785,11.253,20.522
6.46,3.689,0.01,3.819,3.69,3.759,3.606,3.617,3.636,0.215,0.122,5,1.667,3.375,1.0,1.0,0.0,0.188,0.198,3.224,3.764,0.146,1.717,0.209,0.547,3.867,5.769,9.333,1.446,9.529,4.822,0.284,0.398,0.135,0.13,0.087,5.602,0.081,3,4.025,0.139,3.836,125.313,0.78,0.78,5.676,-0.138,9.483,10.311,11.144,3,0,6.629,10.955,7.745,14.884,9.016,16.566,9.763,18.254,10.906,19.946
8.398,3.811,0.012,3.832,3.802,3.778,3.667,3.653,3.656,0.278,0.116,5,1.781,3.462,1.0,1.0,0.0,0.179,0.199,3.315,3.833,0.141,1.831,0.203,0.527,4.414,6.253,10.053,1.473,9.64,4.814,0.27,0.379,0.129,0.126,0.086,5.897,0.084,3,4.481,0.133,3.889,134.15,0.784,0.784,5.676,-0.105,9.57,10.402,11.238,3,0,6.763,11.054,7.886,15.007,9.127,16.685,9.893,18.368,11.019,20.055
8.699,3.811,0.016,3.846,3.813,3.797,3.687,3.679,3.684,0.438,0.109,5,1.848,3.646,1.0,1.0,0.0,0.154,0.202,3.496,3.833,0.157,1.871,0.19,0.49,5.203,7.528,11.5,1.457,9.63,4.744,0.234,0.325,0.11,0.13,0.088,6.677,0.093,3,4.649,0.114,3.892,237.808,0.798,0.798,5.619,-0.084,9.613,10.433,11.259,3,0,6.629,10.936,7.733,14.966,9.055,16.633,9.732,18.306,10.901,19.984
8.347,3.863,0.03,3.87,3.856,3.824,3.72,3.71,3.708,1.063,0.125,8,1.896,3.985,1.0,1.0,0.0,0.149,0.198,3.75,3.857,0.15,1.933,0.163,0.406,7.094,9.526,14.148,1.456,10.474,5.36,0.245,0.402,0.114,0.131,0.086,8.408,0.082,3,6.48,0.114,3.938,317.029,0.768,0.768,7.111,0.048,9.886,10.708,11.553,3,0,7.545,12.431,8.737,16.07,10.011,17.947,11.035,19.842,12.24,21.752
8.699,3.84,0.02,3.855,3.837,3.812,3.7,3.692,3.737,0.625,0.122,6,1.872,3.812,1.0,1.0,0.0,0.142,0.203,3.652,3.867,0.153,1.897,0.177,0.448,6.248,8.614,12.958,1.467,9.736,4.754,0.217,0.301,0.101,0.13,0.088,7.43,0.092,3,5.574,0.106,3.908,269.389,0.806,0.806,5.629,-0.034,9.701,10.521,11.346,3,0,6.763,11.037,7.876,15.083,9.168,16.746,9.864,18.415,11.016,20.089
7.357,3.736,0.01,3.827,3.741,3.77,3.656,3.645,3.638,0.215,0.119,5,1.747,3.375,1.0,1.0,0.0,0.188,0.198,3.224,3.781,0.146,1.79,0.209,0.547,3.916,5.812,9.333,1.446,9.529,4.817,0.284,0.398,0.135,0.13,0.087,5.602,0.081,3,4.06,0.139,3.859,125.313,0.814,0.814,5.676,-0.145,9.483,10.311,11.144,3,0,6.629,10.955,7.745,14.884,9.016,16.566,9.763,18.254,10.906,19.946
8.398,3.818,0.028,3.832,3.808,3.778,3.668,3.654,3.657,0.715,0.116,5,1.781,3.467,1.0,1.0,0.0,0.172,0.194,3.302,3.834,0.149,1.828,0.206,0.54,4.87,6.651,10.1,1.497,9.892,4.842,0.275,0.396,0.123,0.127,0.082,5.944,0.081,3,4.614,0.13,3.894,141.172,0.82,0.82,6.06,-0.068,9.694,10.533,11.38,3,0,6.969,11.398,8.124,15.317,9.347,17.042,10.19,18.775,11.314,20.515
8.301,3.835,0.021,3.856,3.838,3.809,3.691,3.683,3.697,0.688,0.125,6,1.878,3.775,1.0,1.0,0.0,0.144,0.199,3.591,3.859,0.156,1.902,0.182,0.464,5.704,8.158,12.375,1.477,9.859,4.812,0.228,0.317,0.104,0.131,0.085,7.26,0.087,3,4.964,0.107,3.935,266.932,0.794,0.794,5.929,-0.079,9.736,10.561,11.392,3,0,6.868,11.28,7.987,15.271,9.272,16.979,10.023,18.695,11.173,20.416
8.398,3.811,0.019,3.861,3.813,3.814,3.712,3.702,3.7,0.563,0.122,6,1.847,3.748,1.0,1.0,0.0,0.148,0.203,3.587,3.837,0.157,1.871,0.18,0.457,5.789,8.235,12.304,1.447,9.635,4.736,0.225,0.312,0.105,0.133,0.089,7.142,0.091,3,5.159,0.109,3.895,255.329,0.806,0.806,5.617,-0.091,9.625,10.439,11.261,3,0,6.629,10.936,7.733,14.97,9.062,16.635,9.73,18.307,10.902,19.983
7.301,3.802,0.037,3.837,3.804,3.783,3.666,3.654,3.647,1.278,0.145,8,1.783,3.603,1.0,1.0,0.0,0.154,0.187,3.407,3.822,0.179,1.826,0.203,0.538,6.251,8.411,11.042,1.521,10.283,5.071,0.251,0.394,0.11,0.122,0.082,6.549,0.096,3,5.013,0.118,3.913,175.74,0.744,0.771,6.523,0.064,9.952,10.811,11.674,3,0,7.298,11.952,8.417,15.715,9.652,17.493,10.566,19.283,11.713,21.084
6.387,3.787,0.066,3.725,3.774,3.678,3.562,3.558,3.57,2.361,0.061,3,1.85,3.141,0.5,1.235,0.235,0.194,0.165,3.009,3.766,0.193,1.891,0.237,0.699,3.326,5.081,8.333,1.596,11.293,5.733,0.334,0.64,0.151,0.101,0.065,4.857,0.11,2,2.14,0.153,3.89,83.291,0.867,0.867,8.017,0.017,10.349,11.286,12.228,7,2,8.143,13.668,9.279,16.874,10.615,18.892,11.822,20.928,13.123,22.977
8.081,3.826,0.016,3.843,3.82,3.796,3.689,3.68,3.697,0.438,0.109,5,1.853,3.646,1.0,1.0,0.0,0.154,0.202,3.496,3.863,0.157,1.873,0.19,0.49,5.492,7.774,11.5,1.457,9.63,4.747,0.234,0.325,0.11,0.13,0.088,6.677,0.093,3,4.83,0.114,3.889,237.808,0.798,0.798,5.619,-0.065,9.613,10.433,11.259,3,0,6.629,10.936,7.733,14.966,9.055,16.633,9.732,18.306,10.901,19.984
8.523,3.8,0.019,3.859,3.791,3.8,3.68,3.667,3.658,0.563,0.109,6,1.856,3.748,1.0,1.0,0.0,0.148,0.203,3.587,3.798,0.157,1.895,0.18,0.457,6.472,8.798,12.304,1.447,9.635,4.737,0.225,0.312,0.105,0.133,0.089,7.142,0.091,3,5.58,0.109,3.898,255.329,0.797,0.797,5.617,-0.084,9.625,10.439,11.261,3,0,6.629,10.936,7.733,14.97,9.062,16.635,9.73,18.307,10.902,19.983
