pXC50,N.,nN,nS,Sv,nHM,MW,Se,Sp,nCsp2,Si,nAT,nCsp3,C.,nBT,nAB,nSK,SCBO,nBO,AMW,H.,Me,Mi,Mp,Mv,nB,nBM,nBR,nC
7.163,1.8,1,1,35.646,2,465.99,56.069,37.375,13,61.601,55,9,40.0,58,16,31,42.0,34,8.473,43.6,1.019,1.12,0.68,0.648,0,16,0,22
7.51,1.8,1,1,36.361,2,481.99,57.396,37.83,13,62.811,56,9,39.3,59,16,32,43.0,35,8.607,42.9,1.025,1.122,0.676,0.649,0,16,0,22
7.73,1.9,1,2,34.592,3,468.03,52.934,36.807,13,57.897,52,8,40.4,55,16,30,41.0,33,9.001,42.3,1.018,1.113,0.708,0.665,0,16,0,21
7.496,1.8,1,2,36.119,3,482.06,55.818,38.568,13,61.312,55,9,40.0,58,16,31,42.0,34,8.765,43.6,1.015,1.115,0.701,0.657,0,16,0,22
5.839,1.9,1,2,36.021,3,500.03,55.589,37.716,13,60.315,54,8,38.9,57,16,32,45.0,35,9.26,40.7,1.029,1.117,0.698,0.667,0,18,0,21
7.048,1.8,1,1,35.646,2,465.99,56.069,37.375,13,61.601,55,9,40.0,58,16,31,42.0,34,8.473,43.6,1.019,1.12,0.68,0.648,0,16,0,22
7.311,1.9,1,1,35.12,2,463.97,54.185,36.614,13,59.186,53,9,41.5,57,16,31,43.0,35,8.754,41.5,1.022,1.117,0.691,0.663,0,16,0,22
7.228,2.0,1,1,34.308,2,465.94,52.629,35.307,14,56.98,51,7,41.2,54,16,31,43.0,34,9.136,39.2,1.032,1.117,0.692,0.673,0,17,0,21
6.959,1.9,1,1,35.12,2,463.97,54.185,36.614,14,59.186,53,8,41.5,56,16,31,43.0,34,8.754,41.5,1.022,1.117,0.691,0.663,0,17,0,22
6.807,1.6,1,2,43.075,3,576.13,65.356,45.239,19,71.146,64,8,42.2,68,22,38,55.0,42,9.002,40.6,1.021,1.112,0.707,0.673,0,24,0,27
6.327,7.4,4,1,36.415,2,488.99,55.396,37.653,15,60.641,54,7,40.7,58,21,33,47.5,37,9.055,38.9,1.026,1.123,0.697,0.674,0,21,0,22
7.162,9.4,5,1,35.91,2,489.98,54.614,36.898,14,59.724,53,7,39.6,57,21,33,47.5,37,9.245,37.7,1.03,1.127,0.696,0.678,0,21,0,21
6.975,9.4,5,1,35.91,2,489.98,54.614,36.898,14,59.724,53,7,39.6,57,21,33,47.5,37,9.245,37.7,1.03,1.127,0.696,0.678,0,21,0,21
5.147,2.2,1,0,29.149,0,339.42,46.247,30.438,14,51.488,46,6,43.5,49,16,25,36.0,28,7.379,45.7,1.005,1.119,0.662,0.634,0,16,0,20
4.971,2.2,1,0,29.976,1,373.86,46.571,31.296,14,51.432,46,6,43.5,49,16,26,37.0,29,8.127,43.5,1.012,1.118,0.68,0.652,0,16,0,20
6.035,2.2,1,0,30.174,1,418.31,46.476,31.79,14,51.33,46,6,43.5,49,16,26,37.0,29,9.094,43.5,1.01,1.116,0.691,0.656,0,16,1,20
5.961,2.0,1,0,30.675,0,353.45,49.131,32.199,14,54.903,49,7,42.9,52,16,26,37.0,29,7.213,46.9,1.003,1.12,0.657,0.626,0,16,0,21
4.392,2.0,1,0,30.675,0,353.45,49.131,32.199,14,54.903,49,7,42.9,52,16,26,37.0,29,7.213,46.9,1.003,1.12,0.657,0.626,0,16,0,21
5.518,2.0,1,0,30.675,0,353.45,49.131,32.199,14,54.903,49,7,42.9,52,16,26,37.0,29,7.213,46.9,1.003,1.12,0.657,0.626,0,16,0,21
4.888,2.0,1,0,30.675,0,353.45,49.131,32.199,14,54.903,49,7,42.9,52,16,26,37.0,29,7.213,46.9,1.003,1.12,0.657,0.626,0,16,0,21
5.65,2.2,1,0,29.532,0,357.41,46.76,30.375,14,51.828,46,6,43.5,49,16,26,37.0,29,7.77,43.5,1.017,1.127,0.66,0.642,0,16,0,20
4.906,2.2,1,0,29.532,0,357.41,46.76,30.375,14,51.828,46,6,43.5,49,16,26,37.0,29,7.77,43.5,1.017,1.127,0.66,0.642,0,16,0,20
4.627,2.2,1,0,29.532,0,357.41,46.76,30.375,14,51.828,46,6,43.5,49,16,26,37.0,29,7.77,43.5,1.017,1.127,0.66,0.642,0,16,0,20
5.008,2.2,1,0,29.532,0,357.41,46.76,30.375,14,51.828,46,6,43.5,49,16,26,37.0,29,7.77,43.5,1.017,1.127,0.66,0.642,0,16,0,20
6.063,2.2,1,0,29.976,1,373.86,46.571,31.296,14,51.432,46,6,43.5,49,16,26,37.0,29,8.127,43.5,1.012,1.118,0.68,0.652,0,16,0,20
4.549,2.2,1,0,29.976,1,373.86,46.571,31.296,14,51.432,46,6,43.5,49,16,26,37.0,29,8.127,43.5,1.012,1.118,0.68,0.652,0,16,0,20
4.988,2.2,1,0,29.976,1,373.86,46.571,31.296,14,51.432,46,6,43.5,49,16,26,37.0,29,8.127,43.5,1.012,1.118,0.68,0.652,0,16,0,20
5.74,4.2,2,0,31.073,0,384.42,49.12,31.591,14,53.99,48,6,41.7,51,16,28,41.0,31,8.009,41.7,1.023,1.125,0.658,0.647,0,18,0,20
5.261,2.0,1,0,31.39,0,369.45,50.458,32.654,14,56.113,50,7,42.0,53,16,27,38.0,30,7.389,46.0,1.009,1.122,0.653,0.628,0,16,0,21
4.301,2.1,1,0,29.863,0,355.42,47.574,30.892,14,52.697,47,6,42.6,50,16,26,37.0,29,7.562,44.7,1.012,1.121,0.657,0.635,0,16,0,20
5.066,2.2,1,0,30.359,1,391.85,47.083,31.233,14,51.772,46,6,43.5,49,16,27,38.0,30,8.518,41.3,1.024,1.125,0.679,0.66,0,16,0,20
4.889,2.0,1,0,32.218,1,403.89,50.782,33.512,14,56.057,50,7,42.0,53,16,28,39.0,31,8.078,44.0,1.016,1.121,0.67,0.644,0,16,0,21
6.049,2.0,1,0,32.218,1,403.89,50.782,33.512,14,56.057,50,7,42.0,53,16,28,39.0,31,8.078,44.0,1.016,1.121,0.67,0.644,0,16,0,21
6.561,2.0,1,0,32.218,1,403.89,50.782,33.512,14,56.057,50,7,42.0,53,16,28,39.0,31,8.078,44.0,1.016,1.121,0.67,0.644,0,16,0,21
5.935,2.2,1,0,30.359,1,391.85,47.083,31.233,14,51.772,46,6,43.5,49,16,27,38.0,30,8.518,41.3,1.024,1.125,0.679,0.66,0,16,0,20
5.861,2.2,1,0,30.359,1,391.85,47.083,31.233,14,51.772,46,6,43.5,49,16,27,38.0,30,8.518,41.3,1.024,1.125,0.679,0.66,0,16,0,20
4.51,1.9,1,0,34.459,1,433.92,54.993,35.727,14,60.681,54,8,40.7,57,16,30,41.0,33,8.036,44.4,1.018,1.124,0.662,0.638,0,16,0,22
6.325,2.0,1,0,32.601,1,421.88,51.294,33.449,14,56.396,50,7,42.0,53,16,29,40.0,32,8.438,42.0,1.026,1.128,0.669,0.652,0,16,0,21
5.774,2.3,1,1,28.636,2,379.89,43.764,30.182,12,47.937,43,6,41.9,46,15,25,35.5,28,8.835,41.9,1.018,1.115,0.702,0.666,0,15,0,18
6.199,1.8,1,0,36.744,1,453.95,56.665,38.273,18,62.472,56,7,44.6,60,21,32,46.5,36,8.106,42.9,1.012,1.116,0.683,0.656,0,21,0,25
6.064,2.0,1,0,32.406,1,417.87,50.225,33.205,14,54.851,49,7,42.9,53,16,29,41.0,33,8.528,40.8,1.025,1.119,0.678,0.661,0,16,0,21
6.633,1.9,1,0,33.933,1,431.9,53.109,34.966,14,58.266,52,8,42.3,56,16,30,42.0,34,8.306,42.3,1.021,1.12,0.672,0.653,0,16,0,22
5.89,1.8,1,0,34.557,1,415.95,55.222,36.58,14,61.678,55,9,41.8,58,16,29,40.0,32,7.563,47.3,1.004,1.121,0.665,0.628,0,16,0,23
5.851,1.8,1,0,34.557,1,415.95,55.222,36.58,14,61.678,55,9,41.8,58,16,29,40.0,32,7.563,47.3,1.004,1.121,0.665,0.628,0,16,0,23
4.953,1.8,1,0,37.03,1,449.96,56.338,38.818,20,62.262,56,6,46.4,60,22,32,47.0,36,8.035,42.9,1.006,1.112,0.693,0.661,0,22,0,26
6.371,2.0,1,1,32.69,2,419.96,50.531,34.705,14,55.767,50,7,42.0,53,16,28,39.0,31,8.399,44.0,1.011,1.115,0.694,0.654,0,16,0,21
6.527,3.7,2,0,34.051,1,416.94,54.44,35.824,14,60.761,54,8,40.7,57,16,29,40.0,32,7.721,46.3,1.008,1.125,0.663,0.631,0,16,0,22
6.741,1.9,1,0,34.03,1,413.93,53.338,35.818,14,59.262,53,9,43.4,57,16,29,41.0,33,7.81,45.3,1.006,1.118,0.676,0.642,0,16,0,23
6.593,2.1,1,0,30.691,1,389.86,47.898,31.75,14,52.641,47,6,42.6,50,16,27,38.0,30,8.295,42.6,1.019,1.12,0.676,0.653,0,16,0,20
5.875,1.6,1,0,41.513,1,510.02,64.76,43.25,20,71.512,64,8,43.8,68,22,36,51.0,40,7.969,43.8,1.012,1.117,0.676,0.649,0,22,0,28
6.276,1.9,1,0,34.218,1,427.91,52.782,35.512,14,58.057,52,7,44.2,55,16,30,43.0,33,8.229,42.3,1.015,1.116,0.683,0.658,0,17,0,23
6.239,1.5,1,0,41.281,1,506.04,67.854,43.227,14,75.551,67,12,38.8,70,16,35,46.0,38,7.553,47.8,1.013,1.128,0.645,0.616,0,16,0,26
6.618,1.9,1,0,34.227,1,458.38,53.243,36.313,14,59.16,53,9,43.4,57,16,29,41.0,33,8.649,45.3,1.005,1.116,0.685,0.646,0,16,1,23
7.777,2.1,1,1,30.405,2,399.93,48.858,32.159,9,53.977,48,9,37.5,50,11,26,33.5,28,8.332,45.8,1.018,1.125,0.67,0.633,0,11,0,18
6.924,1.9,1,1,33.458,2,427.99,54.625,35.682,9,60.807,54,11,37.0,56,11,28,35.5,30,7.926,48.1,1.012,1.126,0.661,0.62,0,11,0,20
7.876,1.8,1,1,34.985,2,442.02,57.509,37.443,9,64.222,57,12,36.8,59,11,29,36.5,31,7.755,49.1,1.009,1.127,0.657,0.614,0,11,0,21
8.301,1.7,1,1,36.512,2,456.05,60.392,39.205,9,67.637,60,13,36.7,62,11,30,37.5,32,7.601,50.0,1.007,1.127,0.653,0.609,0,11,0,22
7.907,1.6,1,1,38.039,2,470.08,63.276,40.966,9,71.053,63,14,36.5,65,11,31,38.5,33,7.462,50.8,1.004,1.128,0.65,0.604,0,11,0,23
7.289,2.0,1,1,31.932,2,413.96,51.742,33.921,9,57.392,51,10,37.3,53,11,27,34.5,29,8.117,47.1,1.015,1.125,0.665,0.626,0,11,0,19
8.329,1.9,1,1,32.932,2,425.97,52.742,34.921,11,58.392,52,9,38.5,54,11,28,36.5,30,8.192,46.2,1.014,1.123,0.672,0.633,0,12,0,20
7.939,2.0,1,1,31.405,2,411.94,49.858,33.159,11,54.977,49,8,38.8,51,11,27,35.5,29,8.407,44.9,1.018,1.122,0.677,0.641,0,12,0,19
8.013,1.8,1,1,34.458,2,440.0,55.625,36.682,9,61.807,55,12,38.2,58,11,29,37.5,32,8.0,47.3,1.011,1.124,0.667,0.627,0,11,0,21
7.595,1.7,1,1,35.985,2,454.03,58.509,38.443,9,65.222,58,13,37.9,61,11,30,38.5,33,7.828,48.3,1.009,1.125,0.663,0.62,0,11,0,22
7.726,2.0,1,1,31.12,2,415.93,50.185,32.614,9,55.186,49,9,36.7,51,11,27,34.5,29,8.488,44.9,1.024,1.126,0.666,0.635,0,11,0,18
7.907,1.9,1,1,32.646,2,429.96,53.069,34.375,9,58.601,52,10,36.5,54,11,28,35.5,30,8.268,46.2,1.021,1.127,0.661,0.628,0,11,0,19
7.708,1.8,1,1,34.173,2,443.99,55.953,36.137,9,62.016,55,11,36.4,57,11,29,36.5,31,8.073,47.3,1.017,1.128,0.657,0.621,0,11,0,20
8.086,1.7,1,1,35.7,2,458.02,58.836,37.898,9,65.432,58,12,36.2,60,11,30,37.5,32,7.897,48.3,1.014,1.128,0.653,0.616,0,11,0,21
7.51,2.0,1,2,31.592,3,432.0,49.934,33.807,9,54.897,49,9,36.7,51,11,27,34.5,29,8.816,44.9,1.019,1.12,0.69,0.645,0,11,0,18
7.249,1.9,1,2,33.119,3,446.03,52.818,35.568,9,58.312,52,10,36.5,54,11,28,35.5,30,8.577,46.2,1.016,1.121,0.684,0.637,0,11,0,19
7.231,1.8,1,2,34.646,3,460.06,55.702,37.33,9,61.727,55,11,36.4,57,11,29,36.5,31,8.365,47.3,1.013,1.122,0.679,0.63,0,11,0,20
7.724,1.7,1,2,36.172,3,474.09,58.585,39.091,9,65.142,58,12,36.2,60,11,30,37.5,32,8.174,48.3,1.01,1.123,0.674,0.624,0,11,0,21
7.876,1.9,1,1,34.405,2,447.97,52.858,36.159,15,57.977,52,7,42.3,55,17,30,41.5,33,8.615,42.3,1.017,1.115,0.695,0.662,0,17,0,22
7.674,1.9,1,1,34.788,2,465.96,53.371,36.097,15,58.316,52,7,42.3,55,17,31,42.5,34,8.961,40.4,1.026,1.121,0.694,0.669,0,17,0,22
8.031,1.6,1,1,41.458,2,524.07,62.625,43.682,21,68.807,62,7,45.2,66,23,36,51.5,40,8.453,41.9,1.01,1.11,0.705,0.669,0,23,0,28
8.804,2.0,1,1,32.593,2,437.93,50.302,33.852,13,54.771,49,7,40.8,52,16,29,40.0,32,8.937,40.8,1.027,1.118,0.691,0.665,0,16,0,20
8.943,2.0,1,2,33.065,3,454.0,50.051,35.046,13,54.481,49,7,40.8,52,16,29,40.0,32,9.265,40.8,1.021,1.112,0.715,0.675,0,16,0,20
9.112,2.0,1,2,33.065,3,454.0,50.051,35.046,13,54.481,49,7,40.8,52,16,29,40.0,32,9.265,40.8,1.021,1.112,0.715,0.675,0,16,0,20
7.876,2.0,1,2,33.893,4,488.44,50.375,35.903,13,54.425,49,7,40.8,52,16,30,41.0,33,9.968,38.8,1.028,1.111,0.733,0.692,0,16,0,20
8.504,4.2,2,2,32.56,3,454.99,49.269,34.29,12,53.564,48,7,39.6,51,16,29,40.0,32,9.479,39.6,1.026,1.116,0.714,0.678,0,16,0,19
7.854,6.4,3,2,32.054,3,455.98,48.487,33.534,11,52.648,47,7,38.3,50,16,29,40.0,32,9.702,38.3,1.032,1.12,0.713,0.682,0,16,0,18
7.298,2.0,1,1,32.834,2,443.94,52.513,34.068,10,57.395,51,9,37.3,53,11,29,37.5,31,8.705,43.1,1.03,1.125,0.668,0.644,0,12,0,19
5.0,2.2,1,1,29.781,2,415.88,46.745,30.545,10,50.565,45,7,37.8,47,11,27,35.5,29,9.242,40.0,1.039,1.124,0.679,0.662,0,12,0,17
8.845,1.9,1,1,33.292,1,417.52,52.862,34.756,13,58.242,52,8,40.4,55,16,29,40.0,32,8.029,44.2,1.017,1.12,0.668,0.64,0,16,0,21
8.893,1.9,1,2,33.764,2,433.59,52.611,35.949,13,57.953,52,8,40.4,55,16,29,40.0,32,8.338,44.2,1.012,1.114,0.691,0.649,0,16,0,21
8.724,2.0,1,1,32.791,2,482.38,50.207,34.347,13,54.668,49,7,40.8,52,16,29,40.0,32,9.844,40.8,1.025,1.116,0.701,0.669,0,16,1,20
8.197,2.0,1,2,33.263,3,498.45,49.956,35.54,13,54.379,49,7,40.8,52,16,29,40.0,32,10.172,40.8,1.02,1.11,0.725,0.679,0,16,1,20
8.214,2.0,1,1,32.149,1,421.48,50.491,32.932,13,55.166,49,7,40.8,52,16,29,40.0,32,8.602,40.8,1.03,1.126,0.672,0.656,0,16,0,20
8.133,2.0,1,2,32.621,2,437.55,50.24,34.125,13,54.877,49,7,40.8,52,16,29,40.0,32,8.93,40.8,1.025,1.12,0.696,0.666,0,16,0,20
8.012,1.9,1,1,34.442,1,471.49,54.4,34.568,13,59.261,52,8,40.4,55,16,32,43.0,35,9.067,38.5,1.046,1.14,0.665,0.662,0,16,0,21
7.836,0.0,0,2,35.42,2,486.57,54.931,36.517,14,59.889,53,8,41.5,56,16,32,43.0,35,9.181,39.6,1.036,1.13,0.689,0.668,0,16,0,22
7.646,2.0,1,1,31.765,1,403.49,49.978,32.994,13,54.827,49,7,40.8,52,16,28,39.0,31,8.234,42.9,1.02,1.119,0.673,0.648,0,16,0,20
7.435,4.0,2,1,33.26,1,428.5,51.196,34.239,13,55.91,50,7,42.0,53,16,30,43.0,33,8.57,40.0,1.024,1.118,0.685,0.665,0,17,0,21
6.854,4.0,2,2,33.732,2,444.57,50.945,35.432,13,55.62,50,7,42.0,53,16,30,43.0,33,8.891,40.0,1.019,1.112,0.709,0.675,0,17,0,21
7.261,1.8,1,1,35.819,1,443.56,56.745,37.517,13,62.657,56,10,41.1,60,16,31,43.0,35,7.921,44.6,1.013,1.119,0.67,0.64,0,16,0,23
8.848,2.0,1,1,32.593,2,437.93,50.302,33.852,13,54.771,49,7,40.8,52,16,29,40.0,32,8.937,40.8,1.027,1.118,0.691,0.665,0,16,0,20
8.35,2.0,1,1,32.593,2,437.93,50.302,33.852,13,54.771,49,7,40.8,52,16,29,40.0,32,8.937,40.8,1.027,1.118,0.691,0.665,0,16,0,20
8.554,2.0,1,2,33.065,3,454.0,50.051,35.046,13,54.481,49,7,40.8,52,16,29,40.0,32,9.265,40.8,1.021,1.112,0.715,0.675,0,16,0,20
8.955,2.0,1,2,33.065,3,454.0,50.051,35.046,13,54.481,49,7,40.8,52,16,29,40.0,32,9.265,40.8,1.021,1.112,0.715,0.675,0,16,0,20
6.071,2.9,3,0,34.442,1,768.18,103.923,67.307,22,116.493,103,18,38.8,108,17,54,71.5,59,7.458,47.6,1.009,1.131,0.653,0.633,1,21,0,40
5.854,8.5,4,2,33.366,3,484.99,48.818,34.534,15,53.327,47,5,42.6,50,17,31,43.5,34,10.319,34.0,1.039,1.135,0.735,0.71,0,18,0,20
6.432,8.0,4,2,34.893,3,499.02,51.702,36.296,15,56.743,50,6,42.0,53,17,32,44.5,35,9.98,36.0,1.034,1.135,0.726,0.698,0,18,0,21
5.921,7.5,4,2,36.42,3,513.05,54.585,38.057,15,60.158,53,7,41.5,56,17,33,45.5,36,9.68,37.7,1.03,1.135,0.718,0.687,0,18,0,22
5.959,7.8,4,2,35.893,3,511.03,52.702,37.296,15,57.743,51,7,43.1,55,17,33,46.5,37,10.02,35.3,1.033,1.132,0.731,0.704,0,18,0,22
5.676,7.4,4,2,38.893,3,547.06,55.702,40.296,21,60.743,54,4,46.3,58,23,36,52.5,40,10.131,33.3,1.032,1.125,0.746,0.72,0,24,0,25
6.602,8.0,4,1,34.421,2,482.95,51.952,35.103,15,57.032,50,6,42.0,53,17,32,44.5,35,9.659,36.0,1.039,1.141,0.702,0.688,0,18,0,21
5.678,10.2,5,1,33.668,2,459.95,50.404,34.682,15,55.1,49,5,40.8,52,17,31,45.5,34,9.387,36.7,1.029,1.124,0.708,0.687,0,20,0,20
7.046,8.5,4,1,32.769,3,493.84,47.76,34.881,15,52.439,47,5,42.6,50,17,29,41.5,32,10.507,38.3,1.016,1.116,0.742,0.697,0,18,1,20
6.824,8.5,4,1,32.572,3,449.39,47.854,34.387,15,52.542,47,5,42.6,50,17,29,41.5,32,9.561,38.3,1.018,1.118,0.732,0.693,0,18,0,20
7.097,8.0,4,1,33.271,2,428.98,50.414,35.29,15,56.013,50,6,42.0,53,17,29,41.5,32,8.58,42.0,1.008,1.12,0.706,0.665,0,18,0,21
6.367,8.5,4,1,32.572,3,449.39,47.854,34.387,15,52.542,47,5,42.6,50,17,29,41.5,32,9.561,38.3,1.018,1.118,0.732,0.693,0,18,0,20
6.284,8.5,4,1,32.769,3,493.84,47.76,34.881,15,52.439,47,5,42.6,50,17,29,41.5,32,10.507,38.3,1.016,1.116,0.742,0.697,0,18,1,20
6.824,8.5,4,1,32.572,3,449.39,47.854,34.387,15,52.542,47,5,42.6,50,17,29,41.5,32,9.561,38.3,1.018,1.118,0.732,0.693,0,18,0,20
6.194,7.7,4,0,34.761,1,464.91,53.76,35.216,15,59.527,52,7,42.3,55,17,32,44.5,35,8.941,38.5,1.034,1.145,0.677,0.668,0,18,0,22
6.745,7.3,4,0,36.287,1,478.94,56.643,36.978,15,62.942,55,8,41.8,58,17,33,45.5,36,8.708,40.0,1.03,1.144,0.672,0.66,0,18,0,23
7.398,7.7,4,0,34.438,2,445.38,52.545,36.262,15,58.452,52,7,42.3,55,17,30,42.5,33,8.565,42.3,1.01,1.124,0.697,0.662,0,18,0,22
7.523,7.3,4,0,35.965,2,459.41,55.429,38.023,15,61.867,55,8,41.8,58,17,31,43.5,34,8.353,43.6,1.008,1.125,0.691,0.654,0,18,0,23
7.523,7.5,4,0,35.438,2,457.39,53.545,37.262,15,59.452,53,8,43.4,57,17,31,44.5,35,8.63,41.5,1.01,1.122,0.703,0.669,0,18,0,23
6.796,7.3,4,0,35.965,2,459.41,55.429,38.023,15,61.867,55,8,41.8,58,17,31,43.5,34,8.353,43.6,1.008,1.125,0.691,0.654,0,18,0,23
7.155,7.7,4,0,35.588,2,499.35,54.083,36.074,15,59.471,52,7,42.3,55,17,33,45.5,36,9.603,36.5,1.04,1.144,0.694,0.684,0,18,0,22
5.801,8.0,4,0,33.911,2,443.36,50.662,35.5,15,56.037,50,7,44.0,54,17,30,43.5,34,8.867,40.0,1.013,1.121,0.71,0.678,0,18,0,22
7.597,7.7,4,0,35.266,3,479.82,52.869,37.119,15,58.396,52,7,42.3,55,17,31,43.5,34,9.227,40.4,1.017,1.123,0.714,0.678,0,18,0,22
7.71,7.7,4,0,36.416,3,533.79,54.407,36.932,15,59.415,52,7,42.3,55,17,34,46.5,37,10.265,34.6,1.046,1.143,0.71,0.7,0,18,0,22
7.244,6.9,4,0,39.544,2,557.39,60.622,39.744,16,66.305,58,8,41.4,61,17,37,50.5,40,9.61,36.2,1.045,1.143,0.685,0.682,0,19,0,24
5.0,7.3,4,0,38.018,2,543.36,57.738,37.983,16,62.89,55,7,41.8,58,17,36,49.5,39,9.879,34.5,1.05,1.143,0.691,0.691,0,19,0,23
7.444,9.3,5,0,36.609,2,514.37,56.185,37.08,15,61.969,54,7,40.7,57,17,34,46.5,37,9.525,37.0,1.04,1.148,0.687,0.678,0,18,0,22
5.009,8.5,5,0,39.851,2,556.41,61.396,40.296,16,67.594,59,8,40.7,62,17,37,50.5,40,9.431,37.3,1.041,1.146,0.683,0.675,0,19,0,24
7.678,7.6,5,2,44.896,4,670.57,69.414,45.716,15,75.477,66,9,36.4,69,17,42,58.5,45,10.16,36.4,1.052,1.144,0.693,0.68,0,22,0,24
7.658,9.3,5,0,37.512,2,544.35,56.956,37.227,15,61.973,54,7,40.7,57,17,36,50.5,39,10.081,33.3,1.055,1.148,0.689,0.695,0,20,0,22
7.229,9.4,5,0,37.083,2,524.36,55.302,37.318,15,60.554,53,7,43.4,56,17,35,49.5,38,9.894,34.0,1.043,1.143,0.704,0.7,0,19,0,23
6.18,6.9,4,1,39.732,3,577.45,60.698,40.392,15,66.225,58,8,39.7,61,17,37,51.5,40,9.956,36.2,1.047,1.142,0.696,0.685,0,20,0,23
7.051,7.3,4,0,37.115,2,513.38,56.967,37.835,15,62.886,55,8,41.8,58,17,34,46.5,37,9.334,38.2,1.036,1.143,0.688,0.675,0,18,0,23
6.319,6.9,4,0,38.642,2,527.41,59.851,39.597,15,66.302,58,9,41.4,61,17,35,47.5,38,9.093,39.7,1.032,1.143,0.683,0.666,0,18,0,24
7.137,8.0,4,0,35.604,3,535.76,52.851,35.625,15,57.209,50,6,42.0,53,17,34,46.5,37,10.715,32.0,1.057,1.144,0.713,0.712,0,18,0,21
8.097,7.5,4,0,36.303,2,515.35,55.411,36.529,15,60.681,53,7,41.5,56,17,34,46.5,37,9.724,35.8,1.045,1.145,0.689,0.685,0,18,0,22
7.638,8.7,4,0,33.362,3,505.73,48.64,33.409,15,52.585,46,5,43.5,49,17,32,44.5,35,10.994,30.4,1.057,1.143,0.726,0.725,0,18,0,20
7.886,11.1,5,0,32.029,2,472.28,47.534,31.796,14,51.724,45,5,42.2,48,17,31,43.5,34,10.495,31.1,1.056,1.149,0.707,0.712,0,18,0,19
8.523,11.1,5,0,32.857,3,506.72,47.858,32.654,14,51.668,45,5,42.2,48,17,32,44.5,35,11.26,28.9,1.064,1.148,0.726,0.73,0,18,0,19
8.0,11.1,5,1,32.216,3,492.34,47.611,32.443,12,51.644,45,6,40.0,48,16,31,43.0,34,10.941,31.1,1.058,1.148,0.721,0.716,0,17,0,18
7.921,7.5,4,0,36.588,2,511.36,55.083,37.074,15,60.471,53,8,43.4,57,17,34,47.5,38,9.648,35.8,1.039,1.141,0.7,0.69,0,18,0,23
7.854,7.1,4,0,38.115,2,525.39,57.967,38.835,15,63.886,56,9,42.9,60,17,35,48.5,39,9.382,37.5,1.035,1.141,0.693,0.681,0,18,0,24
7.886,7.5,4,0,36.588,2,511.36,55.083,37.074,15,60.471,53,8,43.4,57,17,34,47.5,38,9.648,35.8,1.039,1.141,0.7,0.69,0,18,0,23
7.387,12.8,6,0,33.126,1,482.84,50.083,32.091,14,54.282,47,5,40.4,50,17,33,47.5,36,10.273,29.8,1.066,1.155,0.683,0.705,0,20,0,19
8.155,12.8,6,0,33.953,2,517.28,50.407,32.949,14,54.226,47,5,40.4,50,17,34,48.5,37,11.006,27.7,1.072,1.154,0.701,0.722,0,20,0,19
8.155,12.0,6,0,35.802,1,550.84,54.505,33.665,14,58.716,50,6,40.0,53,17,37,51.5,40,11.017,26.0,1.09,1.174,0.673,0.716,0,20,0,20
6.959,13.0,6,0,32.696,1,462.85,48.429,32.182,14,52.863,46,5,43.5,49,17,32,46.5,35,10.062,30.4,1.053,1.149,0.7,0.711,0,19,0,20
8.301,12.8,6,0,32.803,2,463.31,48.869,33.136,14,53.207,47,5,40.4,50,17,31,45.5,34,9.858,34.0,1.04,1.132,0.705,0.698,0,20,0,19
8.398,12.0,6,0,33.503,1,442.9,51.429,34.04,14,56.678,50,6,40.0,53,17,31,45.5,34,8.858,38.0,1.029,1.134,0.681,0.67,0,20,0,20
8.523,9.8,5,0,33.105,1,411.93,51.44,34.648,14,57.591,51,7,41.2,54,17,29,41.5,32,8.077,43.1,1.009,1.129,0.679,0.649,0,18,0,21
7.921,9.8,5,0,32.278,0,377.49,51.116,33.79,14,57.647,51,7,41.2,54,17,28,40.5,31,7.402,45.1,1.002,1.13,0.663,0.633,0,18,0,21
5.292,12.0,6,0,33.503,1,442.9,51.429,34.04,14,56.678,50,6,40.0,53,17,31,45.5,34,8.858,38.0,1.029,1.134,0.681,0.67,0,20,0,20
8.097,6.8,4,0,36.837,0,416.57,58.665,39.069,15,66.394,59,10,42.4,63,17,31,44.5,35,7.061,47.5,0.994,1.125,0.662,0.624,0,18,0,25
8.0,6.5,4,0,38.364,0,430.6,61.549,40.83,15,69.81,62,11,41.9,66,17,32,45.5,36,6.945,48.4,0.993,1.126,0.659,0.619,0,18,0,26
8.301,6.8,4,0,36.837,0,416.57,58.665,39.069,15,66.394,59,10,42.4,63,17,31,44.5,35,7.061,47.5,0.994,1.125,0.662,0.624,0,18,0,25
7.757,1.7,1,1,38.888,2,508.03,61.28,40.591,15,67.226,60,9,40.0,63,16,34,46.0,37,8.467,43.3,1.021,1.12,0.677,0.648,0,17,0,24
8.959,0.0,0,0,33.664,0,388.5,56.334,35.387,12,63.069,56,10,39.3,58,12,28,36.0,30,6.937,50.0,1.006,1.126,0.632,0.601,0,12,0,22
8.721,1.8,1,0,35.827,0,427.51,57.738,37.114,14,64.283,57,10,42.1,61,16,31,43.0,35,7.5,45.6,1.013,1.128,0.651,0.629,0,16,0,24
8.638,1.8,1,0,36.271,1,443.96,57.549,38.034,14,63.887,57,10,42.1,61,16,31,43.0,35,7.789,45.6,1.01,1.121,0.667,0.636,0,16,0,24
