pXC50,nAB,SCBO,nBM,Si,O.,nS,nCL,Se,nAT,Mi,nSK,nBT,nBO,MW,nF
5.658,12,43.0,13,69.682,3.3,0,0,62.188,60,1.161,34,62,36,488.52,6
5.18,24,47.0,24,60.611,5.5,0,0,54.585,55,1.102,31,59,35,408.52,0
5.149,24,45.0,24,58.192,1.9,0,0,51.931,53,1.098,29,57,33,376.52,0
5.076,24,47.0,24,60.611,5.5,0,0,54.585,55,1.102,31,59,35,408.52,0
5.31,24,48.0,24,61.82,7.1,0,0,55.912,56,1.104,32,60,36,424.52,0
5.495,24,46.0,24,59.401,3.7,0,0,53.258,54,1.1,30,58,34,392.52,0
4.301,6,26.0,7,47.195,7.1,0,0,41.702,42,1.124,20,44,22,274.39,0
4.824,0,33.0,1,84.968,2.7,0,0,72.977,75,1.133,29,78,32,402.73,0
5.509,6,35.0,7,67.56,3.3,0,0,58.894,60,1.126,27,64,31,367.58,0
6.585,23,43.5,24,47.048,2.4,0,0,43.036,42,1.12,28,45,31,377.38,3
4.301,6,32.0,8,61.856,5.5,0,0,54.236,55,1.125,25,57,27,342.52,0
6.155,12,40.0,15,47.905,7.3,1,0,44.407,41,1.168,29,42,30,438.38,6
5.886,16,44.0,17,68.666,6.7,0,0,61.421,60,1.144,33,62,35,464.53,3
4.824,12,37.0,13,61.441,5.5,0,0,54.352,55,1.117,27,58,30,364.52,0
5.796,18,47.0,20,55.245,6.1,1,1,51.076,49,1.127,33,52,36,492.93,3
5.244,24,46.0,24,59.401,3.7,0,0,53.258,54,1.1,30,58,34,392.52,0
5.678,18,46.0,20,55.301,6.1,1,0,50.752,49,1.129,32,52,35,458.49,3
6.337,0,34.0,1,82.553,2.7,0,0,71.094,73,1.131,29,77,33,400.71,0
4.509,12,30.0,14,33.123,16.7,0,0,31.055,30,1.104,20,32,22,270.25,0
5.174,18,46.0,20,54.905,6.1,1,1,50.563,49,1.121,32,52,35,474.94,2
5.104,28,56.0,29,67.417,3.3,0,0,61.0,60,1.124,37,64,41,500.55,3
5.469,6,63.0,15,120.297,5.6,0,0,105.588,107,1.124,49,109,51,671.01,0
7.854,28,63.0,29,85.646,3.9,0,1,77.069,76,1.127,44,80,48,621.14,3
6.151,12,35.0,12,54.938,4.3,0,0,49.436,47,1.169,28,48,29,407.39,6
6.102,24,59.0,26,79.477,1.4,0,1,71.069,70,1.135,41,74,45,580.1,3
6.462,29,62.5,30,77.457,4.3,0,0,70.094,69,1.123,42,74,47,568.63,3
5.523,28,60.0,28,83.809,1.4,0,1,74.734,74,1.133,42,78,46,593.14,3
4.699,16,42.0,19,49.36,9.1,1,1,45.494,44,1.122,28,47,31,422.89,1
6.432,21,48.5,23,58.562,5.8,1,1,53.254,52,1.126,32,56,36,474.98,1
6.796,21,49.5,24,50.316,6.7,1,1,46.604,45,1.118,31,49,35,456.91,1
4.056,16,45.0,19,56.655,7.8,1,3,52.178,51,1.111,31,54,34,500.85,0
5.682,16,44.0,19,56.711,7.8,1,2,51.854,51,1.112,30,54,33,466.41,0
5.643,16,45.0,19,61.392,9.1,1,1,55.742,55,1.116,31,58,34,462.0,0
6.321,29,62.5,30,79.663,2.8,0,0,71.65,71,1.122,42,76,47,566.66,3
5.481,16,42.0,19,49.36,9.1,1,1,45.494,44,1.122,28,47,31,422.89,1
5.855,16,43.0,19,54.981,6.1,1,1,49.934,49,1.122,29,52,32,434.95,1
5.359,16,44.0,19,57.107,7.8,1,1,52.043,51,1.12,30,54,33,449.96,1
5.87,16,43.0,19,50.616,8.9,1,1,46.789,45,1.125,29,48,32,439.89,2
6.071,16,43.0,19,50.118,8.9,1,1,46.505,45,1.114,29,48,32,500.79,1
5.638,21,45.5,23,49.233,6.8,1,1,45.385,44,1.119,29,48,33,431.9,1
5.177,22,43.0,22,46.961,0.0,0,1,43.16,41,1.145,29,44,32,422.8,5
7.131,29,59.5,30,75.247,3.0,0,0,67.767,67,1.123,40,71,44,540.62,3
7.222,28,58.0,28,78.812,1.4,0,1,70.53,70,1.126,40,74,44,563.1,3
5.215,22,42.0,22,47.017,0.0,0,0,42.836,41,1.147,28,44,31,388.36,5
4.894,22,42.0,22,46.621,0.0,0,1,42.647,41,1.137,28,44,31,404.81,4
5.857,16,44.0,19,54.031,8.3,1,1,49.673,48,1.126,30,51,33,453.92,2
5.917,16,43.0,19,50.22,8.9,1,2,46.6,45,1.116,29,48,32,456.34,1
6.447,23,46.5,24,59.927,3.7,0,1,53.902,54,1.11,31,57,34,430.96,0
6.967,23,47.5,24,63.342,3.5,0,1,56.785,57,1.111,32,60,35,444.99,0
6.319,16,42.0,19,50.276,8.9,1,1,46.276,45,1.117,28,48,31,421.9,1
5.779,21,46.5,23,52.648,6.4,1,1,48.269,47,1.12,30,51,34,445.93,1
5.878,16,42.0,19,53.352,8.3,1,1,48.647,48,1.111,28,51,31,417.94,0
7.301,23,49.5,24,64.342,3.4,0,1,57.785,58,1.109,33,62,37,457.0,0
5.908,23,49.5,24,62.136,5.4,0,1,56.229,56,1.11,33,60,37,458.97,0
5.884,23,44.5,24,53.096,4.2,0,1,48.134,48,1.106,29,51,32,402.9,0
5.677,23,45.5,24,56.511,3.9,0,1,51.018,51,1.108,30,54,33,416.93,0
6.287,21,48.5,23,58.562,5.8,1,1,53.254,52,1.126,32,56,36,474.98,1
5.963,21,46.5,23,52.648,6.4,1,1,48.269,47,1.12,30,51,34,445.93,1
5.0,18,52.0,19,67.751,11.5,0,2,62.425,61,1.111,37,66,42,543.42,0
5.37,22,40.0,22,46.337,0.0,0,0,41.811,41,1.13,26,44,29,352.38,3
5.699,18,49.0,19,64.448,12.1,0,0,58.894,58,1.111,34,63,39,460.51,0
6.409,0,25.0,2,59.853,1.9,0,0,51.465,53,1.129,21,55,23,288.52,0
4.824,0,35.0,2,83.763,4.1,0,0,72.421,74,1.132,30,77,33,416.71,0
6.636,29,57.5,30,67.128,5.0,0,0,61.225,60,1.119,38,64,42,513.54,3
7.638,23,51.5,23,74.895,1.5,0,1,66.749,66,1.135,37,69,40,528.06,3
5.567,29,59.5,30,75.247,3.0,0,0,67.767,67,1.123,40,71,44,540.62,3
6.959,28,58.0,28,77.895,1.4,0,1,69.749,69,1.129,40,73,44,564.09,3
6.347,0,38.0,1,94.008,3.6,0,0,81.072,83,1.133,33,87,37,458.8,0
7.301,0,39.0,0,98.842,5.7,0,0,85.61,87,1.136,35,91,39,492.82,0
7.523,0,38.0,3,90.384,2.5,0,0,77.861,80,1.13,32,83,35,440.78,0
4.801,22,45.0,22,50.716,0.0,0,1,46.556,44,1.153,31,47,34,454.82,6
4.301,0,39.0,3,91.593,3.7,0,0,79.188,81,1.131,33,84,36,456.78,0
4.877,22,43.0,22,46.565,0.0,0,2,42.971,41,1.136,29,44,32,439.25,4
4.818,22,42.0,22,46.225,0.0,0,2,42.458,41,1.127,28,44,31,421.26,3
5.508,22,45.0,22,50.716,0.0,0,1,46.556,44,1.153,31,47,34,454.82,6
6.051,12,38.0,12,58.241,4.0,0,2,52.967,50,1.165,31,51,32,490.3,6
6.77,12,39.0,12,61.656,3.8,0,2,55.85,53,1.163,32,54,33,504.33,6
6.252,12,37.0,12,58.297,4.0,0,1,52.643,50,1.166,30,51,31,455.86,6
4.262,12,44.0,16,60.703,11.3,1,1,55.825,53,1.145,33,54,34,508.94,3
6.745,12,36.0,12,58.353,4.0,0,0,52.319,50,1.167,29,51,30,421.42,6
5.391,12,38.0,15,50.454,9.1,1,1,46.403,44,1.147,28,45,29,436.87,3
6.796,12,36.0,12,58.353,4.0,0,0,52.319,50,1.167,29,51,30,421.42,6
6.02,12,36.0,12,58.353,4.0,0,0,52.319,50,1.167,29,51,30,421.42,6
6.783,12,40.0,12,66.337,5.3,0,1,59.738,57,1.164,33,58,34,499.92,6
5.523,12,38.0,12,58.241,4.0,0,2,52.967,50,1.165,31,51,32,490.3,6
6.71,12,37.0,12,57.032,2.0,0,2,51.64,49,1.164,30,50,31,474.3,6
6.721,12,41.0,12,63.997,5.6,0,0,58.068,54,1.185,34,55,35,505.42,9
7.046,12,35.0,12,56.227,2.1,0,0,50.21,48,1.171,28,49,29,406.41,6
6.939,12,38.0,12,65.183,3.6,0,0,58.087,56,1.164,31,57,32,449.48,6
6.921,12,35.0,12,56.227,2.1,0,0,50.21,48,1.171,28,49,29,406.41,6
6.77,12,35.0,12,57.144,2.0,0,0,50.992,49,1.166,28,50,29,405.42,6
4.262,18,49.0,21,61.229,7.4,1,2,56.494,54,1.134,35,56,37,547.41,3
4.523,12,43.0,15,58.229,7.8,1,2,53.494,51,1.142,32,53,34,511.38,3
5.74,12,39.0,15,50.398,9.1,1,2,46.727,44,1.145,29,45,30,471.31,3
5.385,12,42.0,16,51.537,8.9,1,1,47.622,45,1.145,30,46,31,461.88,3
5.476,12,43.0,16,57.288,12.0,1,1,52.942,50,1.146,32,51,33,494.91,3
6.509,12,32.0,12,46.898,2.5,0,0,42.341,40,1.172,25,41,26,363.33,6
6.201,28,64.0,29,89.062,3.8,0,1,79.952,79,1.127,45,83,49,635.17,3
6.362,29,61.5,30,76.247,2.9,0,0,68.767,68,1.121,41,73,46,552.63,3
6.171,29,60.5,30,78.663,2.9,0,0,70.65,70,1.124,41,74,45,554.65,3
7.409,28,59.0,28,82.228,1.4,0,1,73.414,73,1.126,41,77,45,577.13,3
7.699,28,64.0,30,85.566,3.9,1,1,77.145,76,1.126,44,80,48,641.2,3
9.0,12,60.0,16,102.015,7.7,0,0,90.614,91,1.121,45,96,50,614.84,0
5.69,16,42.0,19,51.565,6.5,1,1,47.051,46,1.121,28,49,31,420.92,1
5.662,16,44.0,19,56.711,7.8,1,2,51.854,51,1.112,30,54,33,466.41,0
5.664,16,44.0,19,53.636,8.3,1,2,49.484,48,1.117,30,51,33,470.37,1
6.745,0,27.0,3,58.647,3.8,0,0,50.909,52,1.128,22,54,24,302.5,0
6.646,28,58.0,28,78.812,1.4,0,1,70.53,70,1.126,40,74,44,563.1,3
5.299,22,42.0,22,46.621,0.0,0,1,42.647,41,1.137,28,44,31,404.81,4
5.076,22,42.0,22,47.017,0.0,0,0,42.836,41,1.147,28,44,31,388.36,5
7.469,23,48.5,24,60.927,3.6,0,1,54.902,55,1.108,32,59,36,442.97,0
4.914,16,42.0,19,49.36,9.1,1,1,45.494,44,1.122,28,47,31,422.89,1
5.742,22,43.0,22,53.507,0.0,0,0,48.09,47,1.138,29,50,32,398.43,4
5.971,16,44.0,19,54.901,10.2,1,1,50.487,49,1.12,30,52,33,451.93,1
5.844,21,50.5,24,56.067,10.0,1,1,51.924,50,1.121,33,54,37,489.94,1
7.201,23,55.5,24,77.025,5.9,0,1,69.629,68,1.133,40,71,43,573.05,3
5.787,23,46.5,24,59.927,3.7,0,1,53.902,54,1.11,31,57,34,430.96,0
6.453,21,49.5,23,57.064,5.9,1,1,52.153,51,1.119,32,56,37,471.97,1
6.77,0,36.0,1,90.802,5.0,0,0,78.516,80,1.135,32,83,35,448.76,0
4.872,22,42.0,22,46.621,0.0,0,1,42.647,41,1.137,28,44,31,404.81,4
4.301,0,41.0,3,90.257,1.3,0,0,77.752,80,1.128,33,85,38,449.79,0
4.842,22,43.0,22,46.565,0.0,0,2,42.971,41,1.136,29,44,32,439.25,4
4.523,12,45.0,16,64.119,10.7,1,1,58.709,56,1.145,34,57,35,522.97,3
5.504,12,39.0,15,53.869,8.5,1,1,49.287,47,1.146,29,48,30,450.9,3
6.658,12,37.0,12,58.297,4.0,0,1,52.643,50,1.166,30,51,31,455.86,6
6.502,18,42.0,18,57.728,2.0,0,0,52.109,50,1.155,31,52,33,439.43,6
6.211,12,37.0,12,58.693,4.0,0,0,52.832,50,1.174,30,51,31,439.41,7
4.523,12,42.0,16,54.813,8.3,1,2,50.611,48,1.142,31,49,32,497.35,3
4.262,12,42.0,16,53.873,12.8,1,1,50.058,47,1.146,31,48,32,480.88,3
5.071,12,40.0,15,53.813,8.5,1,2,49.611,47,1.145,30,48,31,485.34,3
6.111,12,39.0,12,62.922,5.6,0,1,56.854,54,1.165,32,55,33,485.89,6
5.999,23,44.5,24,51.807,6.4,0,1,47.36,47,1.102,29,50,32,403.88,0
4.036,29,51.5,29,58.246,1.9,0,2,53.014,53,1.099,33,57,37,471.4,0
4.955,29,55.5,29,63.969,0.0,0,2,58.211,57,1.122,37,61,41,538.42,3
5.075,29,58.5,29,67.566,1.7,0,0,61.723,59,1.145,40,63,44,556.51,7
5.222,33,57.5,33,67.504,0.0,0,1,60.451,61,1.107,36,66,41,489.05,0
4.815,29,55.5,29,62.68,1.8,0,2,57.436,56,1.119,37,60,41,539.4,3
4.87,33,60.5,33,72.912,0.0,0,0,65.33,65,1.122,39,70,44,521.62,3
5.08,33,60.5,33,70.706,1.6,0,0,63.774,63,1.122,39,68,44,523.59,3
9.0,12,52.0,14,90.766,6.2,0,0,80.192,81,1.121,39,86,44,530.76,0
4.208,33,56.5,33,64.089,0.0,0,1,57.567,58,1.105,35,63,40,475.02,0
4.921,33,60.5,33,72.912,0.0,0,0,65.33,65,1.122,39,70,44,521.62,3
4.742,29,58.5,29,67.171,1.7,0,1,61.534,59,1.138,40,63,44,572.96,6
4.208,29,54.5,29,62.736,1.8,0,1,57.112,56,1.12,36,60,40,504.96,3
5.409,18,44.0,20,47.224,7.0,0,4,44.447,43,1.098,30,46,33,481.16,0
5.62,18,41.0,20,50.863,6.5,0,0,46.036,46,1.106,27,49,30,357.43,0
4.523,18,43.0,20,55.488,8.0,0,0,50.247,50,1.11,29,53,32,387.46,0
5.42,18,44.0,21,53.073,8.3,0,0,48.363,48,1.106,29,51,32,385.44,0
4.523,18,40.0,21,43.824,5.0,0,0,39.942,40,1.096,25,43,28,325.38,0
5.585,18,44.0,20,47.224,7.0,0,4,44.447,43,1.098,30,46,33,481.16,0
5.26,18,45.0,20,50.639,6.5,0,4,47.331,46,1.101,31,49,34,495.19,0
6.553,24,58.0,25,84.563,4.0,0,1,75.85,75,1.128,42,78,45,596.13,3
6.438,24,58.0,25,84.563,4.0,0,1,75.85,75,1.128,42,78,45,596.13,3
7.337,24,58.0,25,84.563,4.0,0,1,75.85,75,1.128,42,78,45,596.13,3
4.523,18,47.0,20,55.264,8.0,0,4,51.542,50,1.105,33,53,36,525.22,0
4.699,18,48.0,21,52.849,8.3,0,4,49.658,48,1.101,33,51,36,523.2,0
6.699,24,58.0,25,84.563,4.0,0,1,75.85,75,1.128,42,78,45,596.13,3
7.131,24,58.0,25,84.563,4.0,0,1,75.85,75,1.128,42,78,45,596.13,3
6.516,28,61.0,29,79.733,4.2,0,1,72.083,71,1.123,42,75,46,592.09,3
7.367,24,59.0,25,87.978,3.8,0,1,78.734,78,1.128,43,81,46,610.16,3
7.252,24,61.0,25,88.978,3.8,0,1,79.734,79,1.126,44,83,48,622.17,3
4.523,18,44.0,21,43.6,5.0,0,4,41.236,40,1.09,29,43,32,463.14,0
5.056,18,45.0,20,50.639,6.5,0,4,47.331,46,1.101,31,49,34,495.19,0
5.77,18,41.0,20,48.658,9.1,0,0,44.48,44,1.106,27,47,30,359.4,0
5.125,18,40.0,20,47.448,7.0,0,0,43.153,43,1.103,26,46,29,343.4,0
5.215,18,47.0,20,55.264,8.0,0,4,51.542,50,1.105,33,53,36,525.22,0
5.523,18,43.0,20,46.015,4.8,0,4,43.12,42,1.096,29,45,32,465.16,0
4.523,18,48.0,21,52.849,8.3,0,4,49.658,48,1.101,33,51,36,523.2,0
4.523,18,47.0,20,55.264,8.0,0,4,51.542,50,1.105,33,53,36,525.22,0
5.569,18,46.0,21,46.018,9.5,0,4,43.891,42,1.096,31,45,34,495.14,0
5.131,18,43.0,20,55.488,8.0,0,0,50.247,50,1.11,29,53,32,387.46,0
5.292,18,45.0,20,48.434,9.1,0,4,45.775,44,1.101,31,47,34,497.16,0
4.824,18,45.0,20,48.434,9.1,0,4,45.775,44,1.101,31,47,34,497.16,0
5.201,18,45.0,20,48.434,9.1,0,4,45.775,44,1.101,31,47,34,497.16,0
5.432,18,45.0,20,50.639,6.5,0,4,47.331,46,1.101,31,49,34,495.19,0
5.796,18,42.0,21,46.242,9.5,0,0,42.596,42,1.101,27,45,30,357.38,0
4.523,18,39.0,20,46.239,4.8,0,0,41.825,42,1.101,25,45,28,327.4,0
5.215,18,41.0,20,48.658,9.1,0,0,44.48,44,1.106,27,47,30,359.4,0
6.699,18,41.0,20,50.863,6.5,0,0,46.036,46,1.106,27,49,30,357.43,0
5.538,18,40.0,20,47.448,7.0,0,0,43.153,43,1.103,26,46,29,343.4,0
4.523,18,43.0,20,46.015,4.8,0,4,43.12,42,1.096,29,45,32,465.16,0
4.523,18,43.0,20,46.015,4.8,0,4,43.12,42,1.096,29,45,32,465.16,0
5.18,18,46.0,21,46.018,9.5,0,4,43.891,42,1.096,31,45,34,495.14,0
5.585,18,44.0,20,47.224,7.0,0,4,44.447,43,1.098,30,46,33,481.16,0
5.377,18,45.0,20,50.639,6.5,0,4,47.331,46,1.101,31,49,34,495.19,0
4.523,18,44.0,20,47.224,7.0,0,4,44.447,43,1.098,30,46,33,481.16,0
5.319,18,43.0,20,55.488,8.0,0,0,50.247,50,1.11,29,53,32,387.46,0
4.523,18,44.0,21,43.6,5.0,0,4,41.236,40,1.09,29,43,32,463.14,0
5.009,18,41.0,20,48.658,9.1,0,0,44.48,44,1.106,27,47,30,359.4,0
6.372,24,57.0,25,82.437,2.7,0,1,73.741,73,1.129,41,76,44,581.12,3
6.676,24,58.0,25,84.563,4.0,0,1,75.85,75,1.128,42,78,45,596.13,3
6.48,28,61.0,29,79.733,4.2,0,1,72.083,71,1.123,42,75,46,592.09,3
6.42,24,61.0,25,94.809,3.6,0,1,84.501,84,1.129,45,87,48,638.22,3
8.046,24,60.0,25,91.394,3.7,0,1,81.618,81,1.128,44,84,47,624.19,3
4.523,18,39.0,20,46.239,4.8,0,0,41.825,42,1.101,25,45,28,327.4,0
6.344,23,52.5,26,60.925,7.4,1,0,55.963,54,1.128,35,57,38,500.53,3
8.18,23,53.5,26,63.052,8.9,1,0,58.072,56,1.126,36,59,39,515.54,3
6.591,24,57.0,25,81.148,4.2,0,1,72.967,72,1.127,41,75,44,582.1,3
5.197,23,51.5,26,56.221,10.0,1,0,52.305,50,1.124,34,53,37,487.48,3
4.575,28,56.0,30,58.965,5.8,1,0,54.291,52,1.134,36,56,40,511.52,3
6.352,23,49.5,25,58.716,5.8,1,0,53.636,52,1.129,33,55,36,472.52,3
4.525,23,51.5,26,58.799,5.8,1,0,53.854,52,1.131,34,55,37,485.52,3
5.398,24,56.0,25,87.308,5.1,0,0,77.418,78,1.119,40,81,43,538.74,0
6.258,23,52.5,26,57.85,7.8,1,0,53.592,51,1.134,35,54,38,504.49,4
5.347,23,51.5,26,57.51,7.8,1,0,53.08,51,1.128,34,54,37,486.5,3
5.0,23,52.5,26,60.925,7.4,1,0,55.963,54,1.128,35,57,38,500.53,3
9.036,29,58.5,31,67.048,5.0,1,0,61.301,60,1.117,38,64,42,533.6,3
6.939,29,53.5,29,61.503,3.6,0,0,56.014,55,1.118,35,59,39,471.5,3
8.553,23,47.5,25,52.802,6.4,1,0,48.651,47,1.123,31,50,34,443.47,3
5.523,23,48.5,26,53.02,8.3,1,1,48.982,48,1.105,31,51,34,452.94,0
8.143,23,44.5,25,48.312,6.8,1,1,44.553,44,1.098,28,47,31,409.91,0
8.854,23,51.5,25,64.257,7.0,1,0,58.629,57,1.127,35,60,38,501.56,3
8.796,23,49.5,25,59.633,5.7,1,0,54.418,53,1.125,33,56,36,471.53,3
6.322,24,55.0,25,83.023,4.1,0,0,73.719,74,1.122,39,77,42,526.7,1
6.544,23,53.5,26,64.341,7.0,1,0,58.847,57,1.129,36,60,39,514.56,3
4.896,23,48.5,26,53.416,8.3,1,0,49.171,48,1.113,31,51,34,436.49,1
8.292,22,45.0,24,53.226,6.3,1,1,48.538,48,1.109,29,51,32,426.95,0
7.377,23,48.5,25,56.218,6.0,1,0,51.534,50,1.124,32,53,35,457.5,3
6.971,29,53.5,29,61.503,3.6,0,0,56.014,55,1.118,35,59,39,471.5,3
8.268,22,49.0,24,61.131,5.6,1,0,55.52,54,1.132,33,57,36,474.54,3
8.921,28,58.0,30,65.471,5.2,1,0,60.032,58,1.129,38,62,42,540.57,4
8.824,22,46.0,24,56.641,5.9,1,1,51.422,51,1.111,30,54,33,440.98,0
7.886,23,52.5,25,69.878,4.8,1,0,63.069,62,1.127,36,65,39,513.62,3
8.721,23,49.5,25,56.557,6.0,1,0,52.047,50,1.131,33,53,36,475.49,4
8.523,23,49.5,25,56.162,6.0,1,1,51.858,50,1.123,33,53,36,491.94,3
8.569,22,47.0,24,50.83,6.7,1,1,47.193,45,1.13,31,48,34,466.89,3
8.62,22,48.0,24,54.245,6.3,1,1,50.076,48,1.13,32,51,35,480.92,3
6.79,22,47.0,24,54.301,6.3,1,0,49.752,48,1.131,31,51,34,446.48,3
6.0,23,47.5,24,56.298,6.0,0,0,51.458,50,1.126,32,53,35,437.44,3
7.886,22,48.0,24,54.64,6.3,1,0,50.265,48,1.138,32,51,35,464.47,4
7.42,22,49.0,24,58.056,5.9,1,0,53.149,51,1.138,33,54,36,478.5,4
8.137,22,44.0,24,49.81,6.7,1,1,45.654,45,1.107,28,48,31,412.92,0
6.78,22,48.0,24,59.922,3.8,1,0,54.192,53,1.131,32,56,35,458.54,3
6.0,22,48.0,24,59.922,3.8,1,0,54.192,53,1.131,32,56,35,458.54,3
8.377,22,50.0,24,58.716,5.8,1,0,53.636,52,1.129,33,56,37,472.52,3
9.097,22,50.0,24,64.546,5.3,1,0,58.403,57,1.132,34,60,37,488.57,3
6.252,23,48.5,25,56.218,6.0,1,0,51.534,50,1.124,32,53,35,457.5,3
8.745,23,50.5,25,63.048,5.4,1,0,57.301,56,1.126,34,59,37,485.56,3
7.991,23,44.5,23,54.088,4.2,0,0,49.131,48,1.127,30,51,33,409.43,3
6.0,23,47.5,24,56.298,6.0,0,0,51.458,50,1.126,32,53,35,437.44,3
8.284,29,56.5,29,71.749,3.1,0,0,64.665,64,1.121,38,68,42,513.59,3
6.883,23,44.5,23,54.088,4.2,0,0,49.131,48,1.127,30,51,33,409.43,3
7.357,22,46.0,24,50.886,6.7,1,0,46.869,45,1.131,30,48,33,432.45,3
8.959,28,56.0,30,61.716,5.5,1,0,56.636,55,1.122,36,59,40,508.55,3
8.398,22,49.0,24,57.66,5.9,1,1,52.96,51,1.131,33,54,36,494.95,3
8.456,22,46.0,24,53.17,6.3,1,2,48.862,48,1.108,30,51,33,461.39,0
8.62,23,49.5,25,59.633,5.7,1,0,54.418,53,1.125,33,56,36,471.53,3
8.092,23,51.5,25,66.463,5.1,1,0,60.185,59,1.126,35,62,38,499.59,3
8.444,22,47.0,24,56.585,5.9,1,2,51.745,51,1.11,31,54,34,475.42,0
8.328,22,46.0,24,50.094,6.7,1,2,46.491,45,1.113,30,48,33,465.35,1
6.57,22,43.0,24,49.866,6.7,1,0,45.331,45,1.108,27,48,30,378.48,0
8.244,22,48.0,24,57.716,5.9,1,0,52.636,51,1.132,32,54,35,460.51,3
8.585,23,50.5,25,63.048,5.4,1,0,57.301,56,1.126,34,59,37,485.56,3
7.509,23,48.5,25,56.218,6.0,1,0,51.534,50,1.124,32,53,35,457.5,3
8.959,23,45.5,25,51.727,6.4,1,1,47.436,47,1.101,29,50,32,423.94,0
8.495,23,52.5,25,67.673,6.7,1,0,61.512,60,1.128,36,63,39,515.59,3
6.051,28,60.0,30,78.009,5.7,1,1,70.385,70,1.114,40,74,44,576.16,0
6.276,22,47.0,24,59.139,5.7,1,1,53.523,53,1.116,31,56,34,456.0,0
8.77,22,48.0,24,57.716,5.9,1,0,52.636,51,1.132,32,54,35,460.51,3
6.167,22,48.0,24,57.716,5.9,1,0,52.636,51,1.132,32,54,35,460.51,3
7.229,23,41.5,23,49.598,4.4,0,1,45.033,45,1.102,27,48,30,375.87,0
5.775,22,49.0,25,57.78,5.8,1,0,52.316,52,1.111,31,55,34,431.55,0
6.712,22,52.0,24,62.15,5.6,1,0,57.058,54,1.151,36,57,39,528.51,6
6.306,29,54.5,29,64.919,3.4,0,0,58.898,58,1.119,36,62,40,485.53,3
7.444,29,50.5,29,57.013,3.8,0,1,51.916,52,1.096,32,56,36,437.94,0
6.155,22,49.0,24,61.131,5.6,1,0,55.52,54,1.132,33,57,36,474.54,3
5.489,22,50.0,24,64.546,5.3,1,0,58.403,57,1.132,34,60,37,488.57,3
8.252,22,46.0,24,56.641,5.9,1,1,51.422,51,1.111,30,54,33,440.98,0
7.886,22,50.0,24,62.341,7.3,1,0,56.847,55,1.133,34,58,37,490.54,3
7.699,22,47.0,24,50.83,6.7,1,1,47.193,45,1.13,31,48,34,466.89,3
7.873,23,51.5,26,53.886,6.3,1,0,49.869,48,1.123,33,51,36,468.48,3
5.097,24,54.0,25,81.394,5.5,0,0,72.432,73,1.115,38,76,41,509.69,0
5.163,23,53.5,26,64.341,7.0,1,0,58.847,57,1.129,36,60,39,514.56,3
5.752,23,52.5,26,57.454,7.8,1,1,53.403,51,1.127,35,54,38,520.94,3
9.0,22,49.0,24,61.131,5.6,1,0,55.52,54,1.132,33,57,36,474.54,3
7.328,29,53.5,29,61.503,3.6,0,0,56.014,55,1.118,35,59,39,471.5,3
6.187,24,56.0,25,82.493,2.7,0,0,73.418,73,1.13,40,76,43,546.68,3
6.268,22,46.0,24,56.641,5.9,1,1,51.422,51,1.111,30,54,33,440.98,0
6.121,23,48.5,26,56.491,7.8,1,0,51.542,51,1.108,31,54,34,432.53,0
7.125,29,54.5,29,64.919,3.4,0,0,58.898,58,1.119,36,62,40,485.53,3
8.086,23,53.5,25,71.088,6.3,1,0,64.396,63,1.128,37,66,40,529.62,3
5.848,22,50.0,24,62.341,7.3,1,0,56.847,55,1.133,34,58,37,490.54,3
6.0,22,49.0,24,62.42,3.6,1,0,56.294,55,1.135,33,58,36,473.56,3
6.728,22,50.0,24,64.546,5.3,1,0,58.403,57,1.132,34,60,37,488.57,3
6.535,22,49.0,24,61.131,5.6,1,0,55.52,54,1.132,33,57,36,474.54,3
7.62,22,49.0,24,61.131,5.6,1,0,55.52,54,1.132,33,57,36,474.54,3
6.866,22,46.0,24,55.724,6.0,1,1,50.64,50,1.114,30,53,33,441.97,0
6.076,22,47.0,24,54.301,6.3,1,0,49.752,48,1.131,31,51,34,446.48,3
7.77,22,48.0,24,50.774,6.7,1,2,47.516,45,1.128,32,48,35,501.33,3
8.886,22,50.0,24,55.32,6.3,1,0,51.291,48,1.152,34,51,37,500.45,6
6.0,22,50.0,24,64.546,5.3,1,0,58.403,57,1.132,34,60,37,488.57,3
5.865,23,53.5,26,64.341,7.0,1,0,58.847,57,1.129,36,60,39,514.56,3
8.432,22,45.0,24,49.754,6.7,1,2,45.978,45,1.106,29,48,32,447.36,0
8.18,23,43.5,23,56.428,3.9,0,1,50.8,51,1.106,29,54,32,403.93,0
8.921,29,55.5,31,62.558,5.3,1,1,57.203,57,1.098,35,61,39,500.04,0
5.804,22,48.0,24,59.922,3.8,1,0,54.192,53,1.131,32,56,35,458.54,3
5.0,23,47.5,26,53.076,8.3,1,0,48.658,48,1.106,30,51,33,418.5,0
8.086,23,50.5,25,60.842,7.4,1,0,55.745,54,1.127,34,57,37,487.53,3
6.071,27,54.5,29,58.882,5.8,1,0,54.072,52,1.132,35,56,39,498.52,3
6.438,24,55.0,25,83.023,4.1,0,0,73.719,74,1.122,39,77,42,526.7,1
6.377,22,48.0,24,57.716,5.9,1,0,52.636,51,1.132,32,54,35,460.51,3
6.022,22,49.0,24,61.131,5.6,1,0,55.52,54,1.132,33,57,36,474.54,3
6.149,22,50.0,24,64.546,5.3,1,0,58.403,57,1.132,34,60,37,488.57,3
