pXC50,RBF,Se,Si,nAT,Sv,Sp,nH,nBT,O.,nSK,MW,nBO,Mp
5.565,0.07,53.625,59.721,53,35.774,37.131,21,57,1.9,32,449.95,36,0.701
4.0,0.146,40.978,45.657,40,24.82,25.818,18,41,10.0,22,326.42,23,0.645
5.179,0.031,31.24,33.695,30,22.39,23.097,9,32,3.3,21,343.61,23,0.77
4.699,0.17,46.669,52.568,46,27.686,28.693,22,47,8.7,24,334.42,25,0.624
4.699,0.065,43.534,48.947,43,27.893,28.75,18,46,2.3,25,339.41,28,0.669
6.234,0.068,56.291,62.97,56,35.545,38.023,26,59,5.4,30,448.03,33,0.679
4.963,0.078,47.596,53.2,48,32.051,34.432,21,51,2.1,27,421.36,30,0.717
4.699,0.093,50.574,56.717,51,33.38,35.699,23,54,2.0,28,390.94,31,0.7
5.356,0.073,39.553,43.312,39,26.395,27.966,16,41,7.7,23,349.86,25,0.717
4.699,0.063,31.218,33.383,30,22.443,23.335,9,32,6.7,21,342.22,23,0.778
4.796,0.2,49.552,55.983,49,29.213,30.455,24,50,8.2,25,348.45,26,0.622
4.699,0.057,33.454,36.91,33,22.315,23.381,13,35,6.1,20,287.37,22,0.709
4.699,0.094,50.309,56.405,50,32.145,33.478,22,53,4.0,28,379.47,31,0.67
4.815,0.066,56.967,64.026,57,35.717,38.165,27,61,5.3,30,425.6,34,0.67
4.699,0.128,45.356,50.445,45,29.423,30.472,19,47,6.7,26,349.42,28,0.677
7.613,0.091,53.116,59.002,52,34.417,35.108,21,55,3.8,31,426.47,34,0.675
5.0,0.135,37.018,41.322,36,22.106,22.409,16,37,11.1,20,280.32,21,0.622
4.699,0.074,50.418,56.362,50,33.42,34.512,20,54,2.0,30,401.48,34,0.69
4.699,0.098,39.553,43.312,39,26.395,27.966,16,41,7.7,23,349.86,25,0.717
4.699,0.096,48.694,54.567,49,31.74,33.534,22,52,4.1,27,358.47,30,0.684
4.699,0.077,50.636,56.531,50,30.599,32.307,24,52,10.0,26,380.51,28,0.646
4.699,0.082,58.294,65.235,58,36.432,38.62,27,61,6.9,31,441.6,34,0.666
4.699,0.073,53.073,58.697,52,33.588,34.796,22,55,9.6,30,430.53,33,0.669
5.367,0.067,57.294,64.235,57,35.432,37.62,27,60,7.0,30,429.59,33,0.66
4.907,0.083,56.956,63.112,56,36.115,37.557,24,60,8.9,32,456.57,36,0.671
4.699,0.089,42.465,46.499,42,30.122,31.517,15,45,2.4,27,396.29,30,0.75
4.699,0.095,39.334,43.06,39,27.954,29.546,14,42,2.6,25,367.88,28,0.758
4.699,0.057,50.523,56.139,50,32.491,34.5,22,53,6.0,28,419.97,31,0.69
5.246,0.111,43.189,47.703,43,28.281,30.517,19,45,7.0,24,361.52,26,0.71
4.699,0.078,47.792,53.8,48,30.875,32.944,22,51,2.1,26,367.91,29,0.686
4.699,0.082,45.483,50.943,46,30.499,32.319,20,49,2.2,26,340.45,29,0.703
5.648,0.079,36.574,39.795,36,25.066,26.699,14,38,8.3,22,380.28,24,0.742
4.699,0.083,45.643,51.073,45,29.113,29.961,19,48,4.4,26,354.42,29,0.666
4.699,0.078,47.691,53.302,48,31.853,33.938,21,51,2.1,27,376.91,30,0.707
5.301,0.174,45.669,51.568,45,26.686,27.693,22,46,8.9,23,322.41,24,0.615
4.879,0.069,55.411,61.82,55,34.905,36.858,25,58,7.3,30,427.57,33,0.67
5.24,0.054,53.407,59.554,53,34.018,36.262,24,56,5.7,29,434.0,32,0.684
4.699,0.115,57.345,64.813,58,36.321,38.819,28,61,3.4,30,400.56,33,0.669
4.699,0.091,42.625,47.123,42,27.477,28.807,18,44,7.1,24,347.44,26,0.686
4.699,0.087,43.88,49.698,44,27.409,29.017,21,46,2.3,23,312.42,25,0.659
5.788,0.078,61.178,68.65,61,37.959,40.381,29,64,6.6,32,455.63,35,0.662
4.699,0.095,39.334,43.06,39,27.954,29.546,14,42,2.6,25,367.88,28,0.758
4.699,0.083,44.996,50.283,45,29.882,31.256,19,48,2.2,26,346.43,29,0.695
4.699,0.095,39.585,43.349,39,27.482,28.352,14,42,5.1,25,351.81,28,0.727
4.699,0.063,31.084,33.834,30,21.171,21.557,10,32,6.7,20,291.33,22,0.719
4.699,0.085,44.367,50.358,45,28.026,30.08,22,47,2.2,23,306.44,25,0.668
4.699,0.063,59.851,67.441,60,37.244,39.926,29,64,5.0,31,439.63,35,0.665
4.699,0.159,43.098,48.697,43,25.642,27.637,22,44,7.0,21,310.46,22,0.643
4.699,0.13,45.749,49.661,44,29.722,29.966,16,46,13.6,28,404.44,30,0.681
4.959,0.163,42.785,48.152,42,25.159,25.932,20,43,9.5,22,308.38,23,0.617
4.699,0.113,50.461,57.398,51,30.794,33.057,26,53,3.9,25,338.49,27,0.648
4.708,0.1,47.327,53.693,48,29.74,32.489,24,50,2.1,24,340.53,26,0.677
4.699,0.083,46.156,51.413,45,29.496,29.898,18,48,4.4,27,372.41,30,0.664
4.699,0.1,48.978,53.827,48,30.765,31.994,21,50,12.5,27,391.48,29,0.667
6.06,0.081,36.255,38.854,35,25.364,25.494,11,37,11.4,24,342.75,26,0.728
4.699,0.103,54.461,61.398,55,34.794,37.057,26,58,3.6,29,386.53,32,0.674
4.699,0.089,42.142,46.555,42,29.294,30.659,16,45,2.4,26,361.85,29,0.73
4.967,0.127,59.672,67.022,60,38.036,40.273,28,63,5.0,32,428.57,35,0.671
4.699,0.059,32.051,35.78,32,21.413,22.279,13,34,3.1,19,251.31,21,0.696
4.807,0.088,34.353,38.214,34,22.704,25.154,15,34,2.9,19,409.17,19,0.74
4.699,0.106,45.225,50.04,45,29.646,31.983,20,47,6.7,25,422.37,27,0.711
4.699,0.133,44.683,49.654,44,28.138,28.926,19,45,9.1,25,341.4,26,0.657
4.699,0.096,48.443,54.278,49,32.213,34.728,22,52,2.0,27,374.54,30,0.709
4.699,0.069,54.407,60.554,54,35.018,37.262,24,58,5.6,30,446.01,34,0.69
4.699,0.065,43.534,48.947,43,27.893,28.75,18,46,2.3,25,339.41,28,0.669
4.699,0.051,36.454,39.91,36,25.315,26.381,13,39,5.6,23,323.4,26,0.733
4.699,0.093,41.025,45.97,41,26.821,28.421,18,43,2.4,23,327.84,25,0.693
4.78,0.079,59.294,66.235,59,37.432,39.62,27,63,6.8,32,453.61,36,0.672
5.27,0.089,52.352,59.272,53,33.574,35.847,25,56,1.9,28,371.52,31,0.676
6.003,0.065,43.534,48.947,43,27.893,28.75,18,46,2.3,25,339.41,28,0.669
6.627,0.079,59.84,66.527,59,37.641,39.318,26,63,8.5,33,470.6,37,0.666
7.428,0.12,47.651,52.448,47,32.105,33.364,18,50,6.4,29,406.5,32,0.71
4.752,0.154,49.974,56.484,50,30.97,33.194,24,52,4.0,26,372.54,28,0.664
5.42,0.083,56.512,63.402,56,36.188,37.489,24,60,3.6,32,433.53,36,0.669
4.699,0.094,50.011,55.883,50,33.369,35.188,21,53,2.0,29,404.93,32,0.704
4.876,0.068,55.302,61.693,55,35.685,37.648,24,59,5.5,31,436.58,35,0.685
4.971,0.074,50.418,56.362,50,33.42,34.512,20,54,2.0,30,401.48,34,0.69
5.365,0.051,55.967,63.026,56,34.717,37.165,27,59,5.4,29,413.59,32,0.664
4.699,0.083,36.32,39.138,34,24.18,23.648,10,36,8.8,24,357.34,26,0.696
4.699,0.078,47.792,53.8,48,30.875,32.944,22,51,2.1,26,367.91,29,0.686
5.738,0.085,55.236,62.687,56,35.101,37.608,27,59,1.8,29,385.55,32,0.672
4.699,0.109,43.633,47.328,43,31.523,33.034,14,46,4.7,29,418.53,32,0.768
4.699,0.104,45.025,49.97,45,30.821,32.421,18,48,2.2,27,375.88,30,0.72
5.485,0.069,55.956,62.112,55,35.115,36.557,24,58,9.1,31,444.56,34,0.665
4.699,0.087,43.36,47.638,43,30.789,31.904,15,46,2.3,28,386.86,31,0.742
4.699,0.091,52.425,57.906,52,34.357,36.091,22,55,7.7,30,422.54,33,0.694
4.26,0.15,39.582,44.156,39,24.116,24.921,18,40,10.3,21,290.35,22,0.639
4.125,0.158,37.323,42.238,37,22.39,23.909,18,38,5.4,19,282.41,20,0.646
4.301,0.163,42.022,47.777,42,24.455,25.989,22,43,7.1,20,278.39,21,0.619
7.983,0.109,54.8,60.024,53,34.524,35.557,22,55,11.3,31,472.96,33,0.671
4.699,0.086,33.538,36.458,33,22.701,24.233,13,35,9.1,20,307.42,22,0.734
5.172,0.105,72.636,81.576,72,46.072,47.921,32,76,2.8,40,547.67,44,0.666
4.602,0.171,35.211,38.827,34,21.766,22.296,14,35,11.8,20,298.36,21,0.656
6.0,0.157,52.429,59.94,52,28.487,30.188,29,51,9.6,23,331.47,22,0.581
6.57,0.143,56.429,63.94,56,32.487,34.188,29,56,8.9,27,379.51,27,0.61
5.469,0.104,72.745,82.348,73,45.153,47.813,35,77,4.1,38,513.7,42,0.655
4.155,0.105,37.135,40.004,36,26.003,26.659,12,38,8.3,24,363.21,26,0.741
4.051,0.103,37.705,41.199,37,25.843,26.188,13,39,8.1,24,319.34,26,0.708
5.252,0.154,50.676,56.196,50,31.885,32.898,22,52,10.0,28,382.45,30,0.658
4.469,0.16,49.891,53.993,48,31.976,31.739,18,50,16.7,30,414.4,32,0.661
4.292,0.089,42.371,46.531,42,28.875,29.705,16,45,7.1,26,344.39,29,0.707
4.194,0.16,49.891,53.993,48,31.976,31.739,18,50,16.7,30,414.4,32,0.661
4.319,0.158,38.025,41.95,37,23.304,23.614,16,38,13.5,21,292.32,22,0.638
4.0,0.103,37.043,41.322,37,24.16,25.25,16,39,5.4,21,280.35,23,0.682
5.959,0.108,69.752,78.806,70,44.406,46.841,32,74,2.9,38,508.68,42,0.669
4.602,0.196,46.331,51.445,45,28.369,28.631,19,46,11.1,26,361.4,27,0.636
5.301,0.178,44.574,49.697,44,26.863,27.892,21,45,11.4,23,319.39,24,0.634
4.602,0.167,35.694,39.475,35,22.702,23.563,15,36,8.6,20,294.76,21,0.673
4.456,0.103,37.367,41.266,37,24.988,26.108,15,39,5.4,22,314.79,24,0.706
5.699,0.154,38.807,42.867,38,23.81,24.369,17,39,13.2,21,291.33,22,0.641
4.602,0.167,35.883,39.871,35,22.258,22.642,15,36,8.6,20,278.31,21,0.647
4.301,0.186,58.2,64.774,57,36.444,37.159,24,59,8.8,33,452.52,35,0.652
4.456,0.191,47.447,52.199,46,28.788,29.046,20,47,15.2,26,364.39,27,0.631
6.357,0.101,74.847,84.846,75,46.175,48.819,36,79,4.0,39,528.72,43,0.651
5.796,0.101,74.847,84.846,75,46.175,48.819,36,79,4.0,39,528.72,43,0.651
4.824,0.191,46.669,52.568,46,27.686,28.693,22,47,8.7,24,334.42,25,0.624
4.602,0.121,33.251,36.492,32,21.052,20.886,12,33,12.5,20,276.28,21,0.653
4.721,0.149,46.113,51.362,45,27.874,28.387,20,47,11.1,25,348.4,27,0.631
4.745,0.195,40.978,45.657,40,24.82,25.818,18,41,10.0,22,326.42,23,0.645
4.167,0.205,44.116,48.724,43,27.186,27.994,19,44,11.6,24,354.82,25,0.651
4.658,0.182,44.116,48.724,43,27.186,27.994,19,44,11.6,24,354.82,25,0.651
4.886,0.146,47.665,51.38,46,31.706,32.301,17,48,13.0,29,438.28,31,0.702
4.409,0.13,44.909,49.365,44,28.831,29.375,18,46,11.4,26,354.39,28,0.668
5.046,0.171,40.909,45.365,40,24.831,25.375,18,41,12.5,22,306.35,23,0.634
4.301,0.125,39.458,44.943,39,22.444,23.478,20,40,7.7,19,268.36,20,0.602
5.794,0.167,55.312,63.355,55,30.013,31.949,31,54,9.1,24,345.5,23,0.581
4.602,0.167,35.883,39.871,35,22.258,22.642,15,36,8.6,20,278.31,21,0.647
4.432,0.17,46.676,52.196,46,27.885,28.898,22,47,10.9,24,334.41,25,0.628
5.0,0.169,57.654,64.651,57,34.18,35.637,28,59,10.5,29,404.51,31,0.625
4.699,0.049,39.658,44.076,39,24.304,25.568,18,41,10.3,21,310.41,23,0.656
4.699,0.174,45.894,51.279,45,27.379,28.142,21,46,11.1,24,335.4,25,0.625
6.118,0.049,38.291,43.446,39,24.708,27.131,19,41,0.0,20,283.45,22,0.696
4.699,0.148,28.029,29.954,26,18.208,17.062,7,27,19.2,19,265.21,20,0.656
4.071,0.128,38.574,43.528,38,22.918,23.716,18,39,7.9,20,278.35,21,0.624
4.921,0.093,40.92,46.279,41,24.434,25.983,21,43,7.3,20,275.38,22,0.634
5.658,0.081,35.931,38.91,35,24.536,24.636,12,37,11.4,23,308.31,25,0.704
4.699,0.034,26.596,29.494,27,18.843,20.46,11,29,0.0,16,225.33,18,0.758
7.319,0.158,57.756,65.149,57,33.201,34.642,29,57,10.5,28,395.51,28,0.608
6.032,0.151,53.545,60.524,53,30.96,32.426,27,53,9.4,26,365.48,26,0.612
5.538,0.146,47.018,51.492,46,30.051,30.585,19,48,13.0,27,369.4,29,0.665
4.921,0.13,44.909,49.365,44,28.831,29.375,18,46,11.4,26,354.39,28,0.668
