pXC50,N.,nN,nS,nHet,H.,nHM,nF,Mp,nBM,SCBO,nX,X.,nAB
6.959,6.4,3,1,7,40.4,1,0,0.705,19,42.0,0,0.0,16
8.301,7.9,3,1,9,28.9,1,2,0.729,19,41.0,2,5.3,16
7.432,6.8,3,1,10,31.8,1,3,0.708,19,44.0,3,6.8,16
7.0,7.9,3,1,9,28.9,3,0,0.778,19,41.0,2,5.3,16
7.745,7.3,3,1,10,29.3,1,3,0.717,19,43.0,3,7.3,16
5.377,7.1,3,1,8,35.7,1,0,0.716,19,41.0,0,0.0,16
8.161,7.9,3,1,8,31.6,1,1,0.731,19,40.0,1,2.6,16
7.569,7.3,3,1,7,36.6,1,0,0.722,19,40.0,0,0.0,16
5.745,0.0,0,0,9,41.9,0,0,0.627,9,32.0,0,0.0,6
6.097,12.9,4,0,7,38.7,0,0,0.659,9,27.0,0,0.0,6
7.027,14.3,4,0,8,32.1,1,0,0.697,9,27.0,1,3.6,6
5.19,12.0,3,0,7,32.0,1,0,0.701,8,24.0,1,4.0,6
5.947,10.7,3,0,7,35.7,0,1,0.656,8,25.0,1,3.6,6
7.658,14.3,4,0,8,32.1,1,0,0.697,9,27.0,1,3.6,6
7.139,5.1,2,0,9,28.2,1,2,0.734,16,41.0,3,7.7,12
7.143,12.5,4,0,10,31.3,2,0,0.706,9,30.0,2,6.3,6
6.444,12.5,4,0,8,37.5,0,0,0.653,9,28.0,0,0.0,6
5.141,10.7,3,0,6,39.3,0,0,0.658,8,24.0,0,0.0,6
6.509,14.3,4,0,7,35.7,0,0,0.667,9,26.0,0,0.0,6
6.051,10.7,3,0,7,35.7,1,0,0.689,8,25.0,1,3.6,6
2.854,0.0,0,0,6,45.5,0,2,0.557,0,12.0,2,9.1,0
5.167,2.4,2,0,10,43.9,0,0,0.666,26,66.0,0,0.0,22
4.959,0.0,0,0,5,43.3,0,1,0.636,7,22.0,1,3.3,6
4.959,0.0,0,0,5,45.9,0,1,0.638,7,26.0,1,2.7,6
7.046,2.9,1,0,7,42.9,0,0,0.63,9,27.0,0,0.0,6
7.284,14.3,4,0,8,32.1,1,0,0.715,9,27.0,1,3.6,6
4.0,11.4,4,0,7,34.3,0,0,0.698,15,35.0,0,0.0,12
7.745,7.9,3,1,10,31.6,1,3,0.695,14,37.0,3,7.9,10
7.325,0.0,0,0,6,40.0,1,1,0.665,7,23.0,2,6.7,6
7.131,14.3,4,0,9,28.6,2,0,0.728,9,28.0,2,7.1,6
4.0,15.4,4,0,8,30.8,0,0,0.668,9,26.0,0,0.0,6
6.959,3.1,1,0,8,37.5,1,0,0.661,9,27.0,1,3.1,6
5.266,0.0,0,0,5,43.3,0,1,0.636,7,22.0,1,3.3,6
7.377,14.3,4,0,8,32.1,0,1,0.665,9,27.0,1,3.6,6
6.0,0.0,0,0,6,40.0,2,0,0.695,7,23.0,2,6.7,6
5.699,9.8,4,0,9,34.1,0,0,0.685,16,40.0,0,0.0,12
4.0,12.9,4,0,7,38.7,0,0,0.659,9,27.0,0,0.0,6
6.62,10.8,4,0,9,37.8,0,0,0.651,10,32.0,0,0.0,6
7.228,0.0,0,0,6,40.0,2,0,0.712,7,23.0,2,6.7,6
4.0,14.3,4,1,7,35.7,1,0,0.709,9,26.0,0,0.0,6
5.244,0.0,0,0,5,43.3,1,0,0.667,7,22.0,1,3.3,6
5.573,0.0,0,0,5,40.5,0,1,0.672,13,31.0,1,2.7,12
6.444,0.0,0,0,5,48.7,0,1,0.625,7,25.0,1,2.6,6
5.777,0.0,0,0,5,43.3,1,0,0.683,7,22.0,1,3.3,6
8.398,7.1,3,1,9,35.7,1,2,0.696,14,39.0,2,4.8,10
7.585,10.8,4,1,10,27.0,1,2,0.729,19,41.0,2,5.4,16
5.745,12.9,4,0,9,32.3,0,0,0.664,9,30.0,0,0.0,6
7.0,0.0,0,0,5,47.2,1,0,0.654,7,24.0,1,2.8,6
5.479,0.0,0,0,5,43.3,1,0,0.667,7,22.0,1,3.3,6
5.208,5.9,2,0,6,35.3,1,1,0.729,17,33.0,2,5.9,16
7.481,7.7,3,1,9,30.8,1,3,0.717,21,41.0,3,7.7,20
4.362,0.0,0,0,5,43.3,1,0,0.667,7,22.0,1,3.3,6
6.208,0.0,0,0,5,45.5,0,1,0.632,7,23.0,1,3.0,6
5.943,0.0,0,0,5,44.2,0,1,0.66,13,33.0,1,2.3,12
5.509,0.0,0,0,3,40.0,0,0,0.706,15,32.0,0,0.0,12
6.398,0.0,0,0,6,40.0,1,1,0.665,7,23.0,2,6.7,6
6.854,8.3,2,1,8,25.0,2,1,0.775,14,27.0,2,8.3,12
4.532,0.0,0,0,6,40.0,2,0,0.695,7,23.0,2,6.7,6
7.523,8.3,3,1,8,30.6,1,2,0.729,21,39.0,2,5.6,20
5.788,2.7,1,0,7,45.9,0,0,0.617,5,26.0,0,0.0,0
5.116,0.0,0,0,8,33.3,2,1,0.718,14,36.0,3,7.7,12
7.387,10.0,4,1,11,27.5,1,3,0.716,19,43.0,3,7.5,16
5.097,9.7,3,0,7,29.0,0,0,0.714,15,34.5,0,0.0,11
6.114,0.0,0,0,3,37.5,0,0,0.717,14,31.0,0,0.0,12
6.481,0.0,0,0,4,37.5,0,0,0.7,14,30.0,0,0.0,12
5.569,0.0,0,0,7,34.3,0,0,0.679,14,33.0,0,0.0,12
4.191,0.0,0,0,4,36.4,0,0,0.676,8,20.0,0,0.0,6
6.244,0.0,0,0,4,43.2,0,0,0.673,14,30.0,0,0.0,12
5.602,2.1,2,0,10,46.8,0,0,0.656,26,70.0,0,0.0,22
5.408,0.0,0,0,8,38.1,0,0,0.66,15,36.0,0,0.0,12
5.886,2.4,2,0,10,42.9,0,0,0.674,28,70.0,0,0.0,22
5.013,0.0,0,0,8,47.5,0,0,0.651,24,58.0,0,0.0,22
5.62,0.0,0,0,3,35.7,0,0,0.72,14,28.0,0,0.0,12
5.509,2.0,2,0,10,48.0,0,0,0.652,26,72.0,0,0.0,22
7.824,8.1,3,0,9,29.7,1,1,0.728,15,38.5,2,5.4,11
5.337,9.8,4,0,9,31.7,1,0,0.732,20,42.5,1,2.4,17
6.721,8.1,3,0,9,29.7,1,1,0.728,15,38.5,2,5.4,11
8.187,9.8,4,0,9,31.7,1,0,0.732,20,42.5,1,2.4,17
6.921,5.1,2,1,6,35.9,1,0,0.733,19,39.0,0,0.0,16
6.357,7.5,3,0,8,35.0,1,0,0.707,16,38.0,1,2.5,12
6.06,7.5,3,0,6,37.5,0,0,0.699,19,39.0,0,0.0,16
5.959,9.8,4,1,9,31.7,2,0,0.749,20,42.5,1,2.4,17
6.699,6.8,3,0,11,31.8,0,3,0.669,16,42.0,3,6.8,12
7.721,7.0,3,0,10,32.6,0,3,0.674,16,41.0,3,7.0,12
5.347,5.8,3,0,7,36.5,0,0,0.71,26,51.5,0,0.0,23
7.432,10.3,4,0,8,33.3,1,0,0.719,19,40.0,1,2.6,16
7.638,9.8,4,0,9,31.7,1,0,0.72,20,42.5,1,2.4,17
6.201,9.8,4,0,10,29.3,0,2,0.696,20,43.5,2,4.9,17
6.328,8.9,4,0,9,35.6,0,0,0.686,20,43.5,0,0.0,17
5.959,6.5,3,0,13,28.3,0,6,0.664,16,45.0,6,13.0,12
6.367,7.5,3,0,8,35.0,1,0,0.707,16,38.0,1,2.5,12
5.26,0.0,0,0,10,12.0,7,0,1.065,12,29.0,7,28.0,12
6.807,12.5,5,0,9,32.5,0,0,0.697,20,41.5,0,0.0,17
6.174,7.1,3,1,7,35.7,1,0,0.728,20,41.5,0,0.0,17
6.824,5.1,2,1,7,33.3,1,1,0.732,19,40.0,1,2.6,16
5.509,9.8,4,0,8,34.1,0,0,0.699,20,41.5,0,0.0,17
4.602,0.0,0,0,12,22.2,6,0,0.894,14,37.0,6,16.7,12
7.569,7.9,3,0,8,31.6,1,0,0.737,19,40.0,1,2.6,16
4.398,10.0,3,0,8,33.3,0,1,0.661,9,28.0,1,3.3,6
4.569,5.4,2,1,8,29.7,1,3,0.728,21,40.0,3,8.1,20
6.06,8.3,2,1,8,25.0,1,2,0.716,14,27.0,2,8.3,12
7.523,4.2,2,1,9,31.3,1,3,0.728,27,51.0,3,6.3,26
8.097,5.0,2,1,8,32.5,1,3,0.718,21,41.0,3,7.5,20
7.26,5.4,2,1,6,35.1,1,1,0.732,21,38.0,1,2.7,20
7.0,4.3,2,1,8,31.9,1,3,0.733,27,50.0,3,6.4,26
6.444,6.7,2,1,6,33.3,1,0,0.736,19,32.5,0,0.0,17
8.301,6.1,2,1,10,27.3,1,3,0.7,18,36.0,3,9.1,16
6.699,10.7,3,1,9,25.0,3,0,0.787,18,33.0,2,7.1,16
8.097,6.0,3,1,10,36.0,1,3,0.694,21,47.0,3,6.0,20
6.886,5.0,2,1,9,30.0,2,3,0.739,21,42.0,4,10.0,20
8.097,5.4,2,1,9,27.0,2,3,0.752,21,41.0,4,10.8,20
7.585,7.4,2,1,8,29.6,2,1,0.736,14,28.0,2,7.4,12
7.137,8.3,2,1,8,25.0,3,0,0.793,14,27.0,2,8.3,12
7.26,6.7,2,2,8,30.0,3,0,0.786,18,33.0,1,3.3,16
8.155,5.4,2,1,9,27.0,1,4,0.727,21,41.0,4,10.8,20
7.31,5.4,2,1,8,29.7,1,1,0.736,24,42.0,1,2.7,22
7.036,5.6,2,1,8,36.1,2,0,0.72,18,35.0,1,2.8,16
7.284,7.4,2,1,8,29.6,3,0,0.77,14,28.0,2,7.4,12
6.19,10.7,3,1,8,28.6,2,0,0.756,18,32.0,1,3.6,16
6.444,7.4,2,1,9,25.9,1,3,0.699,14,29.0,3,11.1,12
7.469,5.4,2,1,6,35.1,1,1,0.732,21,38.0,1,2.7,20
6.928,7.4,2,1,7,33.3,2,0,0.738,14,27.0,1,3.7,12
4.25,0.0,0,0,4,36.4,0,0,0.676,8,20.0,0,0.0,6
7.523,2.8,1,1,8,33.3,2,2,0.738,14,33.0,3,8.3,12
7.959,5.3,2,1,11,26.3,1,4,0.705,18,40.0,4,10.5,16
4.076,0.0,0,0,2,61.0,0,0,0.609,1,37.0,0,0.0,0
4.021,0.0,0,0,12,37.7,0,0,0.643,14,44.0,0,0.0,12
4.469,0.0,0,0,5,57.8,0,0,0.609,2,41.0,0,0.0,0
7.004,5.0,2,1,8,32.5,1,3,0.718,21,41.0,3,7.5,20
6.456,8.3,2,1,7,29.2,2,0,0.777,14,26.0,1,4.2,12
6.387,2.6,1,0,6,44.7,0,0,0.641,9,28.0,0,0.0,6
4.0,6.3,3,1,7,35.4,1,0,0.737,25,49.0,0,0.0,22
5.495,0.0,0,0,9,16.0,5,1,0.955,12,28.0,6,24.0,12
5.73,0.0,0,0,6,42.4,2,0,0.686,7,24.0,2,6.1,6
8.208,7.9,3,1,9,28.9,2,1,0.753,19,41.0,2,5.3,16
7.921,7.9,3,1,8,31.6,2,0,0.768,19,40.0,1,2.6,16
7.432,14.3,4,0,9,28.6,2,0,0.728,9,28.0,2,7.1,6
7.387,7.7,3,1,8,33.3,1,0,0.725,19,40.0,0,0.0,16
7.222,7.1,3,2,8,35.7,2,0,0.744,19,41.0,0,0.0,16
6.495,7.3,3,1,7,36.6,1,0,0.722,19,40.0,0,0.0,16
6.959,8.3,3,1,9,27.8,2,2,0.753,21,40.0,3,8.3,20
5.347,0.0,0,0,6,40.0,1,1,0.681,7,23.0,2,6.7,6
6.398,0.0,0,0,5,41.7,1,0,0.688,12,29.5,1,2.8,11
7.187,8.3,3,1,8,30.6,3,0,0.794,21,39.0,2,5.6,20
8.0,9.8,4,0,9,31.7,0,1,0.697,20,42.5,1,2.4,17
8.194,9.1,4,0,8,36.4,0,0,0.691,20,42.5,0,0.0,17
6.0,5.1,2,1,7,33.3,2,0,0.768,19,40.0,1,2.6,16
5.409,0.0,0,0,5,34.8,0,0,0.666,5,21.0,0,0.0,0
8.0,7.9,3,1,9,28.9,1,2,0.729,19,41.0,2,5.3,16
5.086,7.1,3,1,7,35.7,1,0,0.728,20,41.5,0,0.0,17
5.032,3.0,2,0,8,42.4,0,0,0.676,24,56.0,0,0.0,22
5.678,7.0,3,0,10,32.6,0,3,0.674,16,41.0,3,7.0,12
6.42,8.3,2,1,7,29.2,2,0,0.757,14,26.0,1,4.2,12
7.469,5.4,2,1,8,29.7,2,0,0.761,24,42.0,1,2.7,22
6.324,8.3,2,1,7,29.2,1,1,0.719,14,26.0,1,4.2,12
6.237,8.6,3,1,9,40.0,2,0,0.683,10,29.0,1,2.9,6
5.367,7.0,3,2,9,34.9,2,0,0.737,20,43.0,0,0.0,16
6.18,6.7,3,1,11,31.1,1,3,0.703,19,45.0,3,6.7,16
7.143,6.7,2,1,9,30.0,1,3,0.688,14,30.0,3,10.0,12
7.456,2.6,1,1,8,36.8,1,3,0.682,13,32.5,3,7.9,11
4.699,0.0,0,0,5,33.3,0,0,0.703,14,30.0,0,0.0,12
8.222,6.1,2,1,8,33.3,2,0,0.732,18,34.0,1,3.0,16
6.237,6.7,2,1,11,26.7,2,3,0.698,10,30.0,4,13.3,6
6.886,3.2,1,0,6,38.7,0,1,0.656,8,26.0,1,3.2,6
6.602,6.1,2,1,8,39.4,2,0,0.694,10,28.0,1,3.0,6
7.357,6.7,2,1,10,26.7,1,4,0.686,14,31.0,4,13.3,12
4.638,0.0,0,0,3,52.2,0,0,0.641,10,29.0,0,0.0,6
4.42,0.0,0,0,3,48.5,0,0,0.65,9,23.0,0,0.0,6
6.125,3.7,2,0,10,33.3,0,0,0.699,27,55.5,0,0.0,23
4.72,0.0,0,0,11,36.7,0,0,0.65,14,42.0,0,0.0,12
6.824,3.6,1,1,7,32.1,1,0,0.713,10,27.0,0,0.0,6
4.638,0.0,0,0,2,45.7,0,0,0.686,14,28.0,0,0.0,12
4.877,4.0,1,1,5,36.0,1,0,0.723,9,23.0,0,0.0,6
4.171,0.0,0,0,3,38.1,0,0,0.686,8,19.0,0,0.0,6
5.602,0.0,0,0,7,31.3,0,0,0.687,14,32.0,0,0.0,12
1.06,0.0,0,0,5,50.0,0,0,0.554,0,10.0,0,0.0,0
6.301,0.0,0,0,8,44.1,0,0,0.663,24,54.0,0,0.0,22
4.64,0.0,0,0,3,33.3,0,0,0.703,8,18.0,0,0.0,6
5.137,2.6,2,0,10,42.1,0,0,0.672,26,64.0,0,0.0,22
5.328,2.1,2,0,10,46.8,0,0,0.656,26,70.0,0,0.0,22
5.276,2.3,2,0,10,45.5,0,0,0.66,26,68.0,0,0.0,22
6.081,0.0,0,0,4,40.0,0,0,0.69,14,31.0,0,0.0,12
6.301,10.7,3,0,7,35.7,1,0,0.706,8,25.0,1,3.6,6
5.51,10.7,3,0,7,35.7,1,0,0.689,8,25.0,1,3.6,6
7.339,2.9,1,2,6,38.2,2,0,0.742,11,30.0,0,0.0,6
6.454,10.3,3,0,8,34.5,1,0,0.681,9,27.0,1,3.4,6
7.602,10.7,3,0,7,35.7,1,0,0.689,8,25.0,1,3.6,6
5.0,9.1,2,0,5,36.4,0,0,0.666,12,21.5,0,0.0,11
6.143,0.0,0,0,9,42.3,0,0,0.644,14,40.0,0,0.0,12
5.222,2.4,1,0,6,39.0,1,0,0.702,18,37.0,1,2.4,16
3.276,0.0,0,0,4,54.5,0,0,0.563,0,10.0,0,0.0,0
3.032,0.0,0,0,4,52.6,0,0,0.559,0,9.0,0,0.0,0
3.187,0.0,0,0,5,47.4,0,1,0.556,0,10.0,1,5.3,0
6.367,14.0,6,0,12,37.2,0,0,0.641,11,38.0,0,0.0,6
6.699,0.0,0,0,8,21.4,0,0,0.711,14,33.0,0,0.0,12
7.712,5.1,2,0,8,30.8,1,1,0.736,16,40.0,2,5.1,12
5.347,12.5,4,0,8,37.5,0,0,0.653,9,28.0,0,0.0,6
4.469,3.6,1,0,5,32.1,0,0,0.71,14,29.5,0,0.0,11
4.0,11.8,4,0,7,41.2,0,0,0.653,9,28.0,0,0.0,6
6.0,12.9,4,0,7,38.7,0,0,0.659,9,27.0,0,0.0,6
5.208,8.9,4,0,9,35.6,0,0,0.686,17,43.0,0,0.0,12
7.137,16.7,5,0,10,30.0,0,0,0.661,11,31.0,0,0.0,6
6.328,16.7,5,0,11,26.7,1,0,0.689,11,32.0,1,3.3,6
4.0,17.2,5,0,7,37.9,0,0,0.663,9,26.0,0,0.0,6
6.854,14.3,4,0,10,25.0,0,3,0.66,9,29.0,3,10.7,6
4.0,10.5,4,0,7,36.8,0,0,0.689,15,36.0,0,0.0,12
4.0,11.8,4,0,9,35.3,0,0,0.657,10,31.0,0,0.0,6
7.194,14.3,4,0,8,32.1,0,1,0.665,9,27.0,1,3.6,6
5.347,14.3,4,0,8,32.1,0,1,0.665,9,27.0,1,3.6,6
6.398,12.9,4,0,7,38.7,0,0,0.659,9,27.0,0,0.0,6
5.854,16.0,4,0,7,32.0,0,0,0.676,9,25.0,0,0.0,6
6.066,14.3,4,0,8,32.1,1,0,0.697,9,27.0,1,3.6,6
4.0,14.3,4,1,7,35.7,1,0,0.709,9,26.0,0,0.0,6
7.523,12.9,4,0,8,35.5,1,0,0.687,9,28.0,1,3.2,6
6.886,16.7,5,0,9,33.3,1,0,0.684,9,28.0,1,3.3,6
6.319,16.7,5,0,10,30.0,0,0,0.661,11,31.0,0,0.0,6
7.252,14.3,4,0,8,32.1,1,0,0.697,9,27.0,1,3.6,6
7.229,12.5,4,0,9,34.4,1,0,0.68,9,29.0,1,3.1,6
4.0,13.8,4,0,8,34.5,0,0,0.659,9,27.0,0,0.0,6
5.398,18.5,5,0,8,33.3,0,0,0.664,9,26.0,0,0.0,6
6.658,12.9,4,0,7,38.7,0,0,0.659,9,27.0,0,0.0,6
6.114,14.3,4,0,8,32.1,1,0,0.697,9,27.0,1,3.6,6
6.585,18.8,6,0,13,25.0,0,0,0.656,13,36.0,0,0.0,6
4.0,10.8,4,0,7,43.2,0,0,0.647,9,29.0,0,0.0,6
6.553,14.3,4,0,7,35.7,0,0,0.667,9,26.0,0,0.0,6
6.108,0.0,0,0,6,40.0,2,0,0.695,7,23.0,2,6.7,6
7.495,5.0,2,0,7,40.0,1,1,0.694,10,33.0,2,5.0,6
5.469,14.3,4,0,7,35.7,0,0,0.667,9,26.0,0,0.0,6
6.409,10.0,4,0,7,45.0,0,0,0.643,9,30.0,0,0.0,6
5.928,0.0,0,0,5,45.5,1,0,0.66,7,23.0,1,3.0,6
7.337,16.7,5,0,11,26.7,1,0,0.689,11,32.0,1,3.3,6
7.0,14.3,4,0,8,32.1,0,1,0.665,9,27.0,1,3.6,6
6.097,12.9,4,0,7,38.7,0,0,0.659,9,27.0,0,0.0,6
6.921,16.7,5,0,11,26.7,1,0,0.689,11,32.0,1,3.3,6
4.0,11.8,4,0,7,41.2,0,0,0.653,9,28.0,0,0.0,6
4.0,16.7,5,0,8,36.7,0,0,0.656,9,27.0,0,0.0,6
4.119,0.0,0,0,3,40.0,0,0,0.67,8,17.0,0,0.0,6
8.0,9.4,3,1,9,28.1,1,2,0.717,14,34.0,2,6.3,10
4.0,12.9,4,0,7,38.7,0,0,0.659,9,27.0,0,0.0,6
6.398,2.9,1,0,7,42.9,0,0,0.63,9,27.0,0,0.0,6
7.237,8.3,3,1,7,33.3,2,0,0.757,21,38.0,1,2.8,20
5.717,0.0,0,0,5,44.1,0,1,0.643,7,25.0,1,2.9,6
5.461,0.0,0,0,5,45.5,0,1,0.632,7,23.0,1,3.0,6
6.377,4.8,2,0,7,33.3,1,1,0.738,20,42.5,2,4.8,17
6.244,0.0,0,0,5,47.2,0,1,0.628,7,24.0,1,2.8,6
6.357,6.1,2,0,6,42.4,0,0,0.648,9,26.0,0,0.0,6
8.284,6.7,3,1,10,35.6,1,3,0.687,14,41.0,3,6.7,10
6.538,5.6,2,0,7,38.9,1,1,0.694,10,30.0,2,5.6,6
4.02,3.1,1,0,8,37.5,1,0,0.661,9,27.0,1,3.1,6
6.222,0.0,0,0,5,40.7,0,1,0.642,7,21.0,1,3.7,6
7.456,7.7,3,1,10,28.2,2,3,0.739,21,42.0,4,10.3,20
6.921,0.0,0,0,6,40.0,1,1,0.681,7,23.0,2,6.7,6
6.721,0.0,0,0,6,44.1,1,0,0.654,7,24.0,1,2.9,6
6.469,8.6,3,1,10,28.6,1,3,0.704,14,36.0,3,8.6,10
4.83,0.0,0,0,4,46.7,0,0,0.638,7,21.0,0,0.0,6
4.947,0.0,0,0,4,48.5,0,0,0.634,7,22.0,0,0.0,6
7.796,7.3,3,1,10,34.1,1,3,0.687,14,38.0,3,7.3,10
6.119,8.6,3,0,8,31.4,1,1,0.728,15,35.0,2,5.7,12
6.42,3.2,1,1,6,41.9,1,0,0.679,8,24.5,0,0.0,5
7.337,6.8,3,1,7,34.1,1,0,0.741,24,46.5,0,0.0,21
7.097,3.1,1,0,7,40.6,0,0,0.634,9,26.0,0,0.0,6
6.041,0.0,0,0,5,45.5,0,1,0.632,7,23.0,1,3.0,6
8.0,10.8,4,1,9,29.7,1,1,0.73,19,40.0,1,2.7,16
6.187,0.0,0,0,5,45.7,0,0,0.639,8,25.0,0,0.0,6
5.287,0.0,0,0,6,40.0,2,0,0.712,7,23.0,2,6.7,6
6.62,0.0,0,0,5,45.5,1,0,0.66,7,23.0,1,3.0,6
6.086,0.0,0,0,5,43.3,1,0,0.667,7,22.0,1,3.3,6
7.155,3.1,1,0,8,37.5,0,1,0.632,9,27.0,1,3.1,6
4.532,0.0,0,0,5,45.5,0,1,0.632,7,23.0,1,3.0,6
5.788,0.0,0,0,6,40.0,2,0,0.695,7,23.0,2,6.7,6
7.0,8.3,3,0,7,33.3,1,0,0.723,21,38.0,1,2.8,20
7.222,0.0,0,0,6,43.2,1,0,0.676,13,34.0,1,2.3,12
8.678,10.0,4,1,11,27.5,1,3,0.716,19,43.0,3,7.5,16
6.807,0.0,0,0,6,40.0,2,0,0.695,7,23.0,2,6.7,6
5.085,0.0,0,1,7,44.4,1,0,0.652,9,27.0,0,0.0,6
7.155,0.0,0,0,6,42.4,0,0,0.638,8,25.0,0,0.0,6
6.167,8.3,3,1,6,36.1,1,0,0.733,21,37.0,0,0.0,20
6.013,0.0,0,0,5,47.2,0,1,0.628,7,24.0,1,2.8,6
4.883,0.0,0,0,6,40.0,2,0,0.695,7,23.0,2,6.7,6
6.604,0.0,0,0,5,43.3,0,1,0.636,7,22.0,1,3.3,6
6.529,0.0,0,0,6,40.0,0,2,0.634,7,23.0,2,6.7,6
6.509,2.9,1,0,6,41.2,1,0,0.677,9,27.0,1,2.9,6
4.128,0.0,0,0,4,36.4,0,0,0.676,8,20.0,0,0.0,6
8.481,9.8,4,0,10,34.1,0,2,0.665,15,38.5,2,4.9,11
6.523,2.4,1,0,5,40.5,0,0,0.688,15,37.0,0,0.0,12
5.301,10.7,3,1,7,32.1,1,0,0.725,18,31.0,0,0.0,16
5.721,7.4,2,1,6,37.0,1,0,0.706,14,26.0,0,0.0,12
6.77,8.3,2,1,7,29.2,2,0,0.757,14,26.0,1,4.2,12
5.658,5.9,2,1,6,35.3,1,0,0.73,20,35.0,0,0.0,18
5.481,3.2,1,0,6,41.9,0,0,0.64,8,24.5,0,0.0,5
6.347,11.5,3,2,8,26.9,2,0,0.777,18,31.0,0,0.0,16
4.83,0.0,0,0,6,42.4,2,0,0.686,7,24.0,2,6.1,6
6.785,7.4,2,2,7,29.6,2,0,0.776,18,31.0,0,0.0,16
6.553,8.3,2,1,8,25.0,2,1,0.754,14,27.0,2,8.3,12
8.337,8.3,3,1,8,30.6,2,1,0.755,21,39.0,2,5.6,20
8.301,7.9,3,1,9,34.2,1,2,0.697,14,36.0,2,5.3,10
6.62,2.9,1,0,7,38.2,2,0,0.702,9,28.0,2,5.9,6
6.721,8.3,2,1,8,25.0,3,0,0.793,14,27.0,2,8.3,12
5.301,0.0,0,0,4,40.0,0,0,0.69,14,31.0,0,0.0,12
6.678,8.3,2,1,7,29.2,2,0,0.777,14,26.0,1,4.2,12
5.602,2.7,1,0,5,45.9,0,0,0.646,9,27.0,0,0.0,6
5.699,7.1,2,1,7,35.7,1,0,0.697,14,27.0,0,0.0,12
6.222,8.3,2,1,6,33.3,1,0,0.721,14,25.0,0,0.0,12
4.0,0.0,0,0,4,40.0,0,0,0.69,14,31.0,0,0.0,12
6.155,0.0,0,1,4,37.5,1,0,0.737,14,30.0,0,0.0,12
5.585,3.2,1,0,5,41.9,0,0,0.658,9,25.0,0,0.0,6
5.569,0.0,0,0,4,38.9,0,0,0.699,15,33.0,0,0.0,12
6.301,2.9,1,0,6,41.2,1,0,0.691,9,27.0,1,2.9,6
5.638,2.5,1,0,5,42.5,0,0,0.673,14,33.5,0,0.0,11
7.248,5.6,2,0,7,33.3,1,1,0.729,15,35.0,2,5.6,12
6.119,0.0,0,0,4,36.4,0,0,0.709,15,32.0,0,0.0,12
5.721,2.7,1,0,5,45.9,0,0,0.646,9,27.0,0,0.0,6
6.0,0.0,0,0,3,37.5,0,0,0.717,15,31.0,0,0.0,12
6.678,0.0,0,0,4,42.1,0,0,0.682,14,32.0,0,0.0,12
4.0,6.9,2,0,6,37.9,0,1,0.659,8,25.0,1,3.4,6
2.959,0.0,0,0,1,57.1,0,0,0.635,6,27.0,0,0.0,0
5.699,0.0,0,0,11,38.5,0,0,0.646,14,43.0,0,0.0,12
5.301,0.0,0,0,5,37.0,0,0,0.67,9,24.0,0,0.0,6
6.244,10.0,3,0,8,33.3,0,1,0.661,9,28.0,1,3.3,6
7.49,10.0,3,0,8,33.3,0,1,0.661,9,28.0,1,3.3,6
4.389,4.0,1,1,5,36.0,1,0,0.723,9,23.0,0,0.0,6
5.048,4.5,1,1,5,31.8,1,0,0.741,9,22.0,0,0.0,6
4.54,0.0,0,0,5,37.5,0,0,0.683,13,29.0,0,0.0,12
5.62,3.6,1,0,4,39.3,0,0,0.685,13,25.5,0,0.0,11
