pXC50,nDB,nH,nBT,Se,nAT,Si,nN,nO,O.,nAB,Sp,Sv,nC,nBO,MW
7.456,12,110,231.0,226.548,225.0,255.678,16,16,7.1,34,143.444,135.913,81,121,1628.21
7.678,8,68,150.0,146.068,145.0,163.958,10,10,6.9,28,94.978,90.013,55,82,1093.47
6.0,9,73,161.0,157.592,156.0,176.705,11,12,7.7,28,101.416,96.518,58,88,1180.56
6.0,8,72,161.0,155.835,155.0,174.788,10,10,6.5,34,102.501,97.067,61,89,1169.57
6.423,8,67,144.0,141.286,140.0,159.041,11,10,7.1,22,90.222,85.508,50,77,1046.42
6.0,9,75,170.0,162.243,162.0,182.203,11,8,4.9,38,109.007,102.373,65,95,1234.72
6.064,8,67,145.0,142.614,141.0,160.25,11,11,7.8,22,90.677,86.223,50,78,1062.42
6.485,8,67,150.0,146.614,145.0,164.25,11,11,7.6,28,94.677,90.223,54,83,1110.46
7.62,12,106,231.0,225.788,224.0,253.475,14,17,7.6,41,145.126,138.058,85,125,1660.19
6.0,9,74,162.0,156.886,156.0,176.945,12,10,6.4,32,100.217,95.736,60,88,1123.46
6.0,8,69,154.0,148.843,148.0,167.247,11,9,6.1,32,97.529,92.32,57,85,1116.51
6.0,14,105,230.0,225.653,223.0,253.349,17,18,8.1,34,143.075,136.784,81,125,1669.17
7.086,8,66,149.0,145.759,144.0,163.8,12,8,5.6,28,94.194,89.866,54,83,1113.46
8.237,11,99,212.0,207.701,206.0,233.894,15,15,7.3,34,132.177,125.543,75,113,1515.03
6.272,8,70,156.0,150.617,150.0,169.536,12,8,5.3,33,99.08,93.627,58,86,1127.54
6.0,9,83,187.0,179.675,179.0,201.944,13,10,5.6,43,118.564,112.238,71,104,1342.81
6.109,8,68,152.0,147.919,147.0,165.595,9,10,6.8,29,99.393,92.836,57,84,1230.38
7.056,9,77,172.0,167.359,166.0,187.536,11,12,7.2,34,108.938,103.572,64,95,1256.66
5.0,9,67,151.0,147.614,146.0,165.25,11,11,7.5,28,95.677,91.223,55,84,1122.47
7.432,8,65,147.0,143.977,142.0,161.883,13,8,5.6,27,92.438,88.361,52,82,1102.44
6.272,11,99,212.0,207.381,206.0,233.313,13,15,7.3,35,132.927,126.027,77,113,1511.03
6.073,8,76,169.0,162.268,162.0,182.781,12,8,4.9,38,107.365,101.207,64,93,1205.66
6.0,10,79,178.0,173.89,172.0,194.742,13,13,7.6,34,112.404,107.329,65,99,1314.71
6.983,13,102,223.0,218.341,216.0,245.226,16,17,7.9,34,138.853,132.521,79,121,1612.11
6.481,9,71,158.0,154.708,153.0,173.29,11,12,7.8,28,99.654,94.991,57,87,1166.53
8.276,8,66,147.0,143.185,142.0,160.543,10,10,7.0,28,93.217,88.487,54,81,1079.44
8.276,8,66,147.0,143.185,142.0,160.543,10,10,7.0,28,93.217,88.487,54,81,1079.44
6.0,8,70,156.0,150.945,150.0,169.745,12,9,6.0,32,98.535,93.341,57,86,1131.53
9.6,14,103,220.0,217.77,215.0,244.934,17,18,8.4,28,136.314,130.257,75,117,1595.09
7.987,8,66,148.0,144.512,143.0,161.752,10,11,7.7,28,93.671,89.201,54,82,1095.44
6.618,13,102,223.0,218.341,216.0,245.226,16,17,7.9,34,138.853,132.521,79,121,1612.11
8.284,11,97,211.0,206.995,205.0,232.326,14,16,7.8,34,134.285,126.553,75,114,1641.9
6.276,11,96,208.0,204.042,202.0,229.19,14,16,7.9,34,129.865,123.709,74,112,1501.98
6.488,11,99,212.0,207.381,206.0,233.313,13,15,7.3,35,132.927,126.027,77,113,1511.03
6.296,8,72,163.0,156.501,156.0,175.951,12,8,5.1,38,103.842,98.153,62,91,1177.6
6.362,8,66,149.0,145.759,144.0,163.8,12,8,5.6,28,94.194,89.866,54,83,1113.46
5.921,8,67,144.0,141.286,140.0,159.041,11,10,7.1,22,90.222,85.508,50,77,1046.42
6.354,13,102,221.0,217.341,215.0,244.226,16,17,7.9,34,137.853,131.521,78,119,1600.1
6.187,9,68,153.0,149.716,148.0,167.749,12,11,7.4,28,96.683,92.244,55,85,1137.49
6.0,6,54,119.0,114.756,114.0,129.211,8,8,7.0,22,73.194,70.006,44,65,823.06
5.71,8,65,147.0,143.977,142.0,161.883,13,8,5.6,27,92.438,88.361,52,82,1102.44
6.5,8,67,144.0,141.286,140.0,159.041,11,10,7.1,22,90.222,85.508,50,77,1046.42
6.932,8,66,148.0,144.512,143.0,161.752,10,11,7.7,28,93.671,89.201,54,82,1095.44
5.0,8,68,152.0,147.919,147.0,165.595,9,10,6.8,29,99.393,92.836,57,84,1230.38
6.728,11,96,207.0,202.715,201.0,227.98,14,15,7.5,34,129.41,122.995,74,111,1485.98
6.0,7,70,149.0,144.297,144.0,162.954,10,8,5.6,27,93.83,88.111,54,79,1051.48
6.0,8,72,161.0,156.108,155.0,175.174,12,8,5.2,28,103.967,97.522,58,89,1232.53
9.009,13,98,210.0,207.573,205.0,233.396,16,17,8.3,28,130.331,124.467,72,112,1524.0
5.854,8,67,154.0,149.385,148.0,167.274,12,9,6.1,33,98.631,93.642,57,87,1163.95
5.0,11,92,196.0,193.93,191.0,217.778,14,18,9.4,22,120.251,115.085,65,104,1421.85
9.42,15,104,224.0,222.199,219.0,249.642,18,19,8.7,28,138.774,132.993,76,120,1638.12
6.0,8,67,151.0,145.959,145.0,163.832,11,9,6.2,32,95.768,90.793,56,84,1102.48
6.947,11,99,212.0,207.381,206.0,233.313,13,15,7.3,35,132.927,126.027,77,113,1511.03
8.092,12,97,212.0,208.472,206.0,233.898,15,17,8.3,34,132.325,126.446,75,115,1545.01
6.119,8,65,141.0,138.403,137.0,155.626,11,10,7.3,22,88.461,83.981,49,76,1032.39
6.0,8,77,173.0,166.377,166.0,186.908,11,9,5.4,40,110.575,104.427,67,96,1244.69
6.987,11,97,209.0,204.497,203.0,229.897,13,15,7.4,35,131.166,124.5,76,112,1497.0
8.8,7,72,159.0,152.355,152.0,171.739,10,9,5.9,34,98.751,93.978,61,87,1089.43
6.384,8,66,154.0,147.85,147.0,165.705,12,8,5.4,38,98.558,93.573,59,88,1135.51
6.206,8,67,144.0,141.286,140.0,159.041,11,10,7.1,22,90.222,85.508,50,77,1046.42
8.187,8,66,148.0,144.512,143.0,161.752,10,11,7.7,28,93.671,89.201,54,82,1095.44
9.0,13,98,210.0,207.573,205.0,233.396,16,17,8.3,28,130.331,124.467,72,112,1524.0
6.69,13,110,235.0,229.875,228.0,258.887,16,17,7.5,34,145.899,138.628,83,125,1668.23
6.0,8,72,162.0,157.163,156.0,175.998,10,11,7.1,34,102.955,97.782,61,90,1185.57
7.523,14,134,273.0,268.445,267.0,304.242,20,18,6.7,34,167.99,158.696,93,139,1884.61
7.027,13,108,232.0,226.991,225.0,255.472,16,17,7.6,34,144.137,137.101,82,124,1654.2
6.611,8,70,157.0,151.945,151.0,170.745,12,9,6.0,33,99.535,94.341,58,87,1143.54
6.0,8,62,136.0,133.417,132.0,149.712,10,10,7.6,22,85.694,81.433,48,74,1003.34
7.745,12,98,209.0,204.919,203.0,230.977,16,15,7.4,28,129.422,123.037,72,111,1492.0
6.0,11,99,213.0,208.701,207.0,234.894,15,15,7.2,35,133.177,126.543,76,114,1527.04
6.951,11,79,175.0,172.217,170.0,192.951,13,14,8.2,28,109.859,105.044,62,96,1294.68
8.319,12,98,215.0,211.097,209.0,236.824,15,16,7.7,35,137.291,129.574,77,117,1680.94
6.842,14,135,275.0,270.227,269.0,306.159,19,18,6.7,35,169.746,160.202,95,140,1895.63
6.382,8,74,166.0,159.384,159.0,179.366,12,8,5.0,38,105.603,99.68,63,92,1191.63
5.0,8,68,152.0,147.919,147.0,165.595,9,10,6.8,29,99.393,92.836,57,84,1230.38
6.0,9,79,177.0,170.908,170.0,192.114,13,10,5.9,38,112.041,106.185,66,98,1278.72
7.886,9,75,169.0,164.475,163.0,184.121,11,12,7.4,34,107.177,102.045,63,94,1242.63
6.606,11,97,209.0,204.497,203.0,229.897,13,15,7.4,35,131.166,124.5,76,112,1497.0
6.46,10,77,175.0,171.006,169.0,191.327,13,13,7.7,34,110.643,105.802,64,98,1300.68
6.217,8,67,149.0,144.966,144.0,162.46,9,10,6.9,29,94.972,89.992,56,82,1090.46
6.0,9,70,158.0,154.777,153.0,173.011,11,12,7.8,28,102.313,96.308,57,88,1292.42
9.7,15,106,227.0,225.082,222.0,253.057,18,19,8.6,28,140.535,134.52,77,121,1652.15
8.268,13,96,207.0,204.69,202.0,229.981,16,17,8.4,28,128.569,122.94,71,111,1509.97
6.0,11,106,222.0,217.133,216.0,245.056,14,15,6.9,34,138.217,130.629,79,116,1556.13
6.587,12,101,215.0,210.755,209.0,237.528,16,15,7.2,28,135.603,127.408,74,114,1645.95
7.854,12,105,229.0,224.006,222.0,251.558,15,17,7.7,40,143.37,136.553,83,124,1649.17
6.02,8,67,145.0,142.614,141.0,160.25,11,11,7.8,22,90.677,86.223,50,78,1062.42
7.131,14,107,233.0,228.537,226.0,256.764,17,18,8.0,34,144.836,138.31,82,126,1683.2
5.0,9,67,151.0,147.614,146.0,165.25,11,11,7.5,28,95.677,91.223,55,84,1122.47
6.0,15,99,208.0,208.33,205.0,234.313,17,19,9.3,18,128.245,122.918,68,109,1522.98
6.224,13,100,216.0,212.784,210.0,239.02,16,18,8.6,28,133.546,127.709,74,116,1566.04
9.1,15,97,213.0,211.446,208.0,236.898,17,19,9.1,28,132.484,127.391,73,116,1581.01
8.2,7,66,150.0,143.705,143.0,161.493,10,9,6.3,34,93.467,89.398,58,84,1047.34
7.222,8,65,147.0,143.977,142.0,161.883,13,8,5.6,27,92.438,88.361,52,82,1102.44
6.208,12,103,218.0,213.639,212.0,240.943,16,15,7.1,28,137.365,128.935,75,115,1659.98
8.143,11,98,211.0,206.926,205.0,232.605,14,16,7.8,34,131.626,125.236,75,113,1516.01
6.0,10,68,151.0,149.363,147.0,167.539,14,12,8.2,22,94.387,90.475,51,83,1133.47
6.491,10,85,187.0,182.541,181.0,204.987,13,13,7.2,34,117.688,111.91,68,102,1356.8
6.121,9,68,154.0,151.043,149.0,168.958,12,12,8.1,28,97.137,92.959,55,86,1153.49
6.0,8,62,136.0,133.417,132.0,149.712,10,10,7.6,22,85.694,81.433,48,74,1003.34
6.062,8,67,144.0,141.286,140.0,159.041,11,10,7.1,22,90.222,85.508,50,77,1046.42
7.276,13,122,252.0,247.497,246.0,279.96,18,17,6.9,34,155.717,147.305,87,130,1756.41
7.215,14,109,236.0,231.42,229.0,260.18,17,18,7.9,34,146.598,139.837,83,127,1697.23
6.0,8,72,162.0,157.163,156.0,175.998,10,11,7.1,34,102.955,97.782,61,90,1185.57
6.0,8,66,149.0,145.759,144.0,163.8,12,8,5.6,28,94.194,89.866,54,83,1113.46
6.143,10,88,197.0,191.533,190.0,214.529,12,14,7.4,40,124.66,118.657,74,109,1433.88
6.996,11,93,203.0,198.73,197.0,223.067,13,15,7.6,35,127.643,121.446,74,110,1468.94
6.401,10,85,187.0,182.541,181.0,204.987,13,13,7.2,34,117.688,111.91,68,102,1356.8
6.0,8,74,167.0,160.384,160.0,180.366,12,8,5.0,39,106.603,100.68,64,93,1203.64
6.28,8,58,149.0,149.861,144.0,166.517,12,8,5.6,28,93.694,92.933,54,91,1257.38
4.88,7,67,148.0,142.159,142.0,160.201,9,8,5.6,34,92.768,88.188,58,81,1018.34
6.091,8,67,145.0,142.614,141.0,160.25,11,11,7.8,22,90.677,86.223,50,78,1062.42
7.456,13,96,211.0,207.37,205.0,232.399,14,17,8.3,35,132.319,126.424,76,115,1542.0
7.796,13,110,235.0,229.875,228.0,258.887,16,17,7.5,34,145.899,138.628,83,125,1668.23
8.602,11,96,209.0,204.886,203.0,230.199,15,15,7.4,34,133.075,125.333,74,113,1626.89
7.481,13,106,233.0,228.435,226.0,256.266,16,18,8.0,40,145.831,139.289,84,127,1692.2
7.638,11,98,210.0,205.599,204.0,231.396,14,15,7.4,34,131.172,124.521,75,112,1500.01
6.0,6,56,119.0,115.312,115.0,130.417,8,7,6.1,22,73.501,69.818,44,63,809.08
6.0,8,67,150.0,146.294,145.0,163.669,9,11,7.6,29,95.427,90.707,56,83,1106.46
6.0,8,64,140.0,137.621,136.0,154.709,12,10,7.4,22,87.705,83.476,48,76,1033.38
6.0,8,72,165.0,158.679,158.0,177.798,11,9,5.7,38,107.711,100.69,63,93,1318.5
6.0,8,72,159.0,153.828,153.0,173.16,12,9,5.9,32,100.296,94.868,58,87,1145.56
7.2,6,62,141.0,134.29,134.0,150.872,8,8,6.0,34,88.239,84.113,56,79,975.26
6.214,8,67,145.0,142.614,141.0,160.25,11,11,7.8,22,90.677,86.223,50,78,1062.42
7.276,13,106,229.0,224.108,222.0,252.057,16,17,7.7,34,142.376,135.574,81,123,1640.17
6.107,13,108,232.0,226.991,225.0,255.472,16,17,7.6,34,144.137,137.101,82,124,1654.2
7.208,12,100,212.0,207.802,206.0,234.392,16,15,7.3,28,131.183,124.564,73,112,1506.03
6.0,13,100,216.0,212.784,210.0,239.02,16,18,8.6,28,133.546,127.709,74,116,1566.04
5.921,8,68,157.0,150.734,150.0,169.12,12,8,5.3,38,100.319,95.1,60,89,1149.54
6.3,8,69,151.0,147.17,146.0,165.456,11,10,6.8,27,94.984,90.035,54,82,1096.48
5.0,8,69,153.0,149.177,148.0,167.084,9,11,7.4,29,97.188,92.234,57,84,1120.49
6.0,8,62,136.0,133.417,132.0,149.712,10,10,7.6,22,85.694,81.433,48,74,1003.34
6.458,8,72,163.0,156.501,156.0,175.951,12,8,5.1,38,103.842,98.153,62,91,1177.6
6.0,8,68,152.0,147.919,147.0,165.595,9,10,6.8,29,99.393,92.836,57,84,1230.38
6.0,8,69,153.0,149.177,148.0,167.084,9,11,7.4,29,97.188,92.234,57,84,1120.49
7.51,11,96,207.0,202.715,201.0,227.98,14,15,7.5,34,129.41,122.995,74,111,1485.98
7.161,8,57,147.0,148.079,142.0,164.601,13,8,5.6,27,91.938,91.427,52,90,1246.36
7.796,12,107,232.0,226.89,225.0,254.974,15,17,7.6,40,145.132,138.08,84,125,1663.2
6.821,11,98,210.0,205.599,204.0,231.396,14,15,7.4,34,131.172,124.521,75,112,1500.01
8.097,11,97,209.0,204.817,203.0,230.479,15,15,7.4,34,130.416,124.016,74,112,1501.0
7.824,13,106,233.0,228.435,226.0,256.266,16,18,8.0,40,145.831,139.289,84,127,1692.2
6.0,8,67,150.0,146.294,145.0,163.669,9,11,7.6,29,95.427,90.707,56,83,1106.46
9.8,15,104,223.0,220.871,218.0,248.432,18,18,8.3,28,138.319,132.278,76,119,1622.12
6.0,15,97,213.0,211.446,208.0,236.898,17,19,9.1,28,132.484,127.391,73,116,1581.01
6.234,11,99,212.0,207.381,206.0,233.313,13,15,7.3,35,132.927,126.027,77,113,1511.03
7.367,12,107,233.0,227.733,226.0,255.983,16,16,7.1,40,148.342,139.703,84,126,1788.11
6.315,8,69,156.0,151.13,150.0,169.875,12,8,5.3,33,99.018,94.01,58,87,1145.53
5.665,8,69,151.0,147.17,146.0,165.456,11,10,6.8,27,94.984,90.035,54,82,1096.48
6.0,9,79,176.0,171.243,170.0,191.951,11,12,7.1,35,111.7,106.098,66,97,1282.7
6.0,9,79,176.0,168.33,168.0,189.615,13,8,4.8,37,111.779,104.942,65,97,1266.78
6.264,8,69,153.0,149.177,148.0,167.084,9,11,7.4,29,97.188,92.234,57,84,1120.49
6.0,8,69,153.0,149.177,148.0,167.084,9,11,7.4,29,97.188,92.234,57,84,1120.49
6.0,8,82,186.0,178.199,178.0,200.257,11,9,5.1,50,118.422,112.461,75,104,1317.13
6.0,8,65,141.0,138.403,137.0,155.626,11,10,7.3,22,88.461,83.981,49,76,1032.39
4.0,5,51,102.0,100.116,100.0,113.879,7,6,6.0,16,62.518,59.028,36,51,677.94
5.34,6,54,118.0,113.428,113.0,128.002,8,7,6.2,22,72.739,69.291,44,64,807.06
7.569,8,66,147.0,143.185,142.0,160.543,10,10,7.0,28,93.217,88.487,54,81,1079.44
8.0,11,98,210.0,205.599,204.0,231.396,14,15,7.4,34,131.172,124.521,75,112,1500.01
6.0,17,151,323.0,313.445,312.0,353.85,21,21,6.7,56,199.155,189.702,119,172,2211.91
6.0,8,71,150.0,147.054,146.0,165.871,11,10,6.8,22,93.745,88.562,52,79,1074.48
6.886,11,98,210.0,205.599,204.0,231.396,14,15,7.4,34,131.172,124.521,75,112,1500.01
7.161,11,99,212.0,207.381,206.0,233.313,13,15,7.3,35,132.927,126.027,77,113,1511.03
5.15,7,65,145.0,139.275,139.0,156.786,9,8,5.8,34,91.007,86.661,57,80,1004.31
6.0,9,71,158.0,154.708,153.0,173.29,11,12,7.8,28,99.654,94.991,57,87,1166.53
6.264,8,69,153.0,149.177,148.0,167.084,9,11,7.4,29,97.188,92.234,57,84,1120.49
8.481,12,98,214.0,210.253,208.0,235.814,14,17,8.2,35,134.081,127.951,77,116,1556.03
7.46,13,105,233.0,228.504,226.0,255.987,16,18,8.0,40,148.49,140.606,84,128,1818.09
6.0,8,82,186.0,178.199,178.0,200.257,11,9,5.1,50,118.422,112.461,75,104,1317.13
6.777,14,111,239.0,234.304,232.0,263.595,17,18,7.8,34,148.359,141.364,84,128,1711.26
6.623,8,73,162.0,156.708,156.0,176.31,12,8,5.1,33,103.461,97.508,60,89,1190.04
6.0,8,75,169.0,162.486,162.0,182.864,13,8,4.9,39,107.609,101.702,64,94,1218.66
6.0,11,99,212.0,207.381,206.0,233.313,13,15,7.3,35,132.927,126.027,77,113,1511.03
6.2,6,54,118.0,113.428,113.0,128.002,8,7,6.2,22,72.739,69.291,44,64,807.06
6.276,1,28,67.0,62.734,63.0,70.686,6,1,1.6,26,43.512,40.825,27,39,484.68
7.796,11,96,208.0,204.042,202.0,229.19,14,16,7.9,34,129.865,123.709,74,112,1501.98
6.0,10,70,155.0,153.574,151.0,172.164,14,13,8.6,22,96.603,92.717,52,85,1163.5
7.102,10,78,172.0,169.115,167.0,189.453,12,14,8.4,28,107.853,103.023,61,94,1267.65
6.0,8,75,168.0,161.857,161.0,182.041,12,8,5.0,33,106.95,100.777,62,93,1231.7
6.246,8,58,149.0,149.861,144.0,166.517,12,8,5.6,28,93.694,92.933,54,91,1257.38
6.9,15,100,213.0,212.432,209.0,238.811,18,19,9.1,22,131.251,125.939,70,113,1562.02
6.672,8,67,149.0,145.286,144.0,163.041,11,10,6.9,28,94.222,89.508,54,82,1094.46
6.0,8,71,161.0,154.719,154.0,174.034,13,8,5.2,37,102.086,96.648,60,90,1166.58
6.569,9,76,171.0,166.577,165.0,186.619,12,12,7.3,34,108.183,103.066,63,95,1257.65
6.0,8,67,145.0,142.614,141.0,160.25,11,11,7.8,22,90.677,86.223,50,78,1062.42
6.0,8,69,156.0,150.941,150.0,169.48,12,8,5.3,33,99.938,94.454,58,87,1161.98
8.215,12,101,215.0,210.755,209.0,237.528,16,15,7.2,28,135.603,127.408,74,114,1645.95
6.0,8,72,161.0,156.108,155.0,175.174,12,8,5.2,28,103.967,97.522,58,89,1232.53
6.427,8,66,149.0,145.192,144.0,162.804,12,8,5.6,28,97.024,91.15,54,83,1235.26
6.46,11,91,200.0,195.846,194.0,219.652,13,15,7.7,35,125.882,119.92,73,109,1454.91
6.0,13,100,216.0,212.784,210.0,239.02,16,18,8.6,28,133.546,127.709,74,116,1566.04
6.0,10,76,175.0,171.075,169.0,191.047,13,13,7.7,34,113.302,107.119,64,99,1426.57
6.754,11,99,212.0,207.381,206.0,233.313,13,15,7.3,35,132.927,126.027,77,113,1511.03
8.2,15,102,220.0,217.988,215.0,245.017,18,18,8.4,28,136.558,130.751,75,118,1608.09
9.2,15,100,213.0,212.432,209.0,238.811,18,19,9.1,22,131.251,125.939,70,113,1562.02
8.0,7,74,162.0,155.239,155.0,175.154,10,9,5.8,34,100.512,95.505,62,88,1103.46
6.0,6,48,105.0,103.258,102.0,115.806,8,8,7.8,16,66.205,62.8,36,57,785.06
6.73,8,66,149.0,145.759,144.0,163.8,12,8,5.6,28,94.194,89.866,54,83,1113.46
6.0,7,59,133.0,128.777,128.0,144.38,9,8,6.3,28,85.018,80.455,50,74,978.32
6.0,8,67,145.0,142.614,141.0,160.25,11,11,7.8,22,90.677,86.223,50,78,1062.42
6.0,9,68,154.0,151.043,149.0,168.958,12,12,8.1,28,97.137,92.959,55,86,1153.49
6.585,11,99,212.0,207.381,206.0,233.313,13,15,7.3,35,132.927,126.027,77,113,1511.03
7.004,10,77,170.0,167.006,165.0,187.327,13,13,7.9,28,106.643,101.802,60,93,1252.64
6.143,10,88,197.0,191.533,190.0,214.529,12,14,7.4,40,124.66,118.657,74,109,1433.88
6.0,8,75,168.0,161.668,161.0,181.645,12,8,5.0,33,107.87,101.222,62,93,1248.15
7.469,8,58,149.0,149.861,144.0,166.517,12,8,5.6,28,93.694,92.933,54,91,1257.38
7.821,12,105,229.0,224.006,222.0,251.558,15,17,7.7,40,143.37,136.553,83,124,1649.17
7.26,9,67,152.0,148.941,147.0,166.46,11,12,8.2,28,96.131,91.938,55,85,1138.47
6.0,13,102,223.0,218.341,216.0,245.226,16,17,7.9,34,138.853,132.521,79,121,1612.11
6.0,9,81,180.0,173.792,173.0,195.529,13,10,5.8,38,113.802,107.712,67,99,1292.75
6.354,8,68,155.0,150.166,149.0,168.191,11,9,6.0,33,99.387,94.148,58,87,1162.96
6.287,9,76,171.0,166.577,165.0,186.619,12,12,7.3,34,108.183,103.066,63,95,1257.65
6.0,13,100,216.0,212.784,210.0,239.02,16,18,8.6,28,133.546,127.709,74,116,1566.04
6.682,13,106,229.0,224.108,222.0,252.057,16,17,7.7,34,142.376,135.574,81,123,1640.17
6.0,8,66,149.0,145.381,144.0,163.008,12,8,5.6,28,96.035,90.755,54,83,1146.36
6.0,11,99,212.0,207.381,206.0,233.313,13,15,7.3,35,132.927,126.027,77,113,1511.03
5.987,8,65,145.0,140.403,139.0,157.626,11,10,7.2,22,90.461,85.981,51,80,1056.41
6.0,8,67,144.0,141.286,140.0,159.041,11,10,7.1,22,90.222,85.508,50,77,1046.42
6.347,8,67,149.0,145.286,144.0,163.041,11,10,6.9,28,94.222,89.508,54,82,1094.46
7.658,11,100,214.0,209.482,208.0,235.811,14,15,7.2,35,133.933,127.048,77,114,1526.05
5.964,8,73,165.0,158.603,158.0,178.449,13,8,5.1,38,104.848,99.175,62,92,1192.62
7.051,13,105,229.0,224.177,222.0,251.777,16,17,7.7,34,145.035,136.891,81,124,1766.06
7.759,12,97,212.0,208.472,206.0,233.898,15,17,8.3,34,132.325,126.446,75,115,1545.01
8.174,12,97,214.0,210.322,208.0,235.535,14,17,8.2,35,136.74,129.268,77,117,1681.92
6.256,13,104,226.0,221.224,219.0,248.641,16,17,7.8,34,140.615,134.047,80,122,1626.14
9.3,15,102,220.0,217.988,215.0,245.017,18,18,8.4,28,136.558,130.751,75,118,1608.09
5.0,12,90,195.0,193.374,190.0,216.572,14,19,10.0,22,119.944,115.273,65,105,1435.83
6.0,8,64,141.0,138.948,137.0,155.918,12,11,8.0,22,88.16,84.191,48,77,1049.38
8.452,35,209,437.0,437.063,430.0,493.024,41,38,8.8,28,266.405,255.852,139,228,3159.1
8.648,34,207,434.0,434.507,427.0,489.819,41,39,9.1,28,264.098,254.04,137,227,3149.06
6.742,13,107,230.0,224.882,223.0,253.346,17,16,7.2,34,142.927,135.881,81,123,1639.19
6.979,3,35,74.0,70.745,71.0,80.348,5,3,4.2,16,45.813,43.153,28,39,489.68
6.421,3,46,100.0,93.265,94.0,105.922,6,3,3.2,22,61.626,57.809,39,54,646.91
6.0,11,99,212.0,207.381,206.0,233.313,13,15,7.3,35,132.927,126.027,77,113,1511.03
6.0,8,70,159.0,154.377,153.0,172.815,11,10,6.5,33,101.603,96.389,59,89,1192.99
7.796,9,68,152.0,148.396,147.0,166.167,10,11,7.5,28,96.433,91.728,56,84,1121.48
6.0,11,68,157.0,154.697,152.0,172.377,12,14,9.2,28,99.046,95.389,56,89,1197.5
6.0,11,72,166.0,163.883,161.0,183.022,15,13,8.1,28,105.228,101.092,58,94,1287.04
7.125,3,39,85.0,80.512,81.0,91.178,5,3,3.7,22,53.336,50.207,34,46,565.78
6.0,9,69,157.0,153.923,152.0,172.108,12,11,7.2,29,100.302,95.599,57,88,1197.97
6.52,9,64,146.0,142.628,141.0,159.337,10,11,7.8,28,92.91,88.675,54,82,1093.42
7.268,3,39,85.0,80.512,81.0,91.178,5,3,3.7,22,53.336,50.207,34,46,565.78
6.0,9,69,161.0,157.21,155.0,175.736,13,10,6.5,33,102.791,98.288,59,92,1239.0
6.607,3,41,93.0,87.396,88.0,98.593,5,3,3.4,28,59.097,55.734,39,52,627.85
6.0,9,74,160.0,156.465,155.0,176.227,13,10,6.5,22,100.376,94.959,55,86,1177.01
6.0,9,68,157.0,153.043,151.0,170.958,12,12,7.9,32,99.137,94.959,57,89,1177.51
6.0,3,39,90.0,84.512,85.0,95.178,5,3,3.5,28,57.336,54.207,38,51,613.82
6.0,9,66,149.0,145.512,144.0,162.752,10,11,7.6,28,94.671,90.201,55,83,1107.45
7.051,3,43,96.0,90.279,91.0,102.009,5,3,3.3,28,60.859,57.261,40,53,641.88
7.051,4,44,97.0,91.708,92.0,103.716,6,4,4.3,22,60.319,56.997,38,53,648.88
6.0,8,69,147.0,144.17,143.0,162.456,11,10,7.0,22,91.984,87.035,51,78,1060.45
6.117,9,72,163.0,158.81,157.0,177.788,12,12,7.6,32,102.66,98.013,59,91,1205.57
8.46,1,31,71.0,67.239,67.0,75.821,3,2,3.0,18,44.222,42.162,29,40,491.63
8.12,3,32,72.0,67.76,68.0,76.434,4,3,4.4,18,45.046,42.605,29,40,484.65
6.0,3,37,82.0,77.629,78.0,87.763,5,3,3.8,22,51.574,48.68,33,45,551.75
6.738,3,39,85.0,80.512,81.0,91.178,5,3,3.7,22,53.336,50.207,34,46,565.78
7.11,3,36,80.0,74.527,75.0,84.265,4,3,4.0,18,49.569,46.659,32,44,524.72
6.017,3,32,70.0,67.087,67.0,75.644,4,4,6.0,16,43.5,41.32,27,38,476.63
8.365,1,31,70.0,65.912,66.0,74.612,3,1,1.5,18,43.768,41.448,29,39,475.63
6.201,3,39,85.0,80.512,81.0,91.178,5,3,3.7,22,53.336,50.207,34,46,565.78
6.0,15,95,213.0,210.89,207.0,235.692,17,20,9.7,29,132.177,127.579,73,118,1594.99
6.0,13,96,215.0,211.115,208.0,236.423,17,17,8.2,33,134.433,128.789,75,119,1607.47
7.42,3,34,79.0,75.069,75.0,84.292,5,3,4.0,22,50.671,47.981,32,45,572.16
6.0,16,100,227.0,224.184,220.0,250.463,19,20,9.1,29,141.569,136.503,78,127,1723.56
7.119,4,44,100.0,94.028,94.0,106.298,8,4,4.3,22,61.569,58.513,38,56,676.9
6.0,9,72,165.0,160.908,159.0,180.021,13,11,6.9,33,105.069,100.147,60,93,1251.04
6.0,14,91,206.0,203.974,200.0,227.499,16,20,10.0,28,130.069,124.348,70,115,1667.81
7.854,8,66,147.0,143.185,142.0,160.543,10,10,7.0,28,93.217,88.487,54,81,1079.44
6.0,14,74,175.0,172.316,169.0,191.995,16,15,8.9,29,110.285,106.716,62,101,1347.66
6.0,9,69,161.0,157.21,155.0,175.736,13,10,6.5,33,102.791,98.288,59,92,1239.0
6.597,3,33,71.0,67.861,68.0,76.933,5,3,4.4,16,44.052,41.627,27,38,475.65
6.0,8,66,147.0,143.185,142.0,160.543,10,10,7.0,28,93.217,88.487,54,81,1079.44
6.0,14,101,225.0,221.312,218.0,247.961,18,18,8.3,33,140.416,134.579,78,124,1678.56
6.0,9,70,161.0,156.697,155.0,175.397,13,10,6.5,33,102.853,97.905,59,91,1221.01
