pXC50,GGI7,Eig11_AEA.ri.,Eig11_EA.ri.,Eig11_EA,SM05_AEA.dm.,ATSC5p,Eig11_EA.ed.,SM06_AEA.ri.,Psi_i_1,TIC3,SpMax6_Bh.p.,Eig13_AEA.ed.,ATSC5m,SpMin5_Bh.i.,TIC4,TIC5,Eig14_AEA.bo.,SpMin7_Bh.i.,SpMax8_Bh.v.,Eig12_AEA.ed.,SNar,Xt,Eig12_AEA.ri.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,X1v,RDCHI,SpMin6_Bh.i.,Eig12_EA,Eig12_EA.bo.,SM06_AEA.dm.,Eig14_AEA.ri.,Eig12_EA.ed.,Eig12_EA.ri.,SM07_AEA.ri.,SpMin5_Bh.s.,Yindex,SpMax7_Bh.e.,SpMax6_Bh.v.,Eig13_AEA.ri.,Eig15_AEA.ri.,SpMin7_Bh.p.,Eig11_AEA.ed.,SpMin7_Bh.e.,Eig14_AEA.ed.,X1MulPer,SpMax8_Bh.p.,Eig12_AEA.bo.,SpMax7_Bh.i.,X1sol,Chi0_EA.ri.,GMTI,Eig14_EA.ri.,CATS2D_07_AL,SpMin6_Bh.e.,Chi1_EA.ed.,ATS1p,X1Per,ATS1v,SpMax7_Bh.p.,SpMax3_Bh.i.,X1Kup
6.0,0.323,1.641,0.646,0.67,0.67,11.833,1.495,1.495,15.053,246.07,2.957,2.714,31.872,1.184,250.07,254.07,0.909,1.064,2.727,2.867,18.781,0.231,1.389,13.764,13.764,13.764,13.764,13.764,9.075,3.98,1.103,0.516,0.57,0.516,0.644,0.83,0.446,0.83,0.825,0.462,3.111,2.963,1.087,0.333,1.376,3.102,1.153,2.301,8.647,2.735,1.657,3.206,12.635,18.098,9146.0,-0.309,3,1.179,5.0,3.541,7.196,3.504,2.941,3.778,8.938
6.495,0.214,1.027,0.092,0.1,0.1,12.569,0.191,0.191,13.778,204.15,3.006,2.516,33.347,1.114,204.15,204.15,0.628,0.916,2.555,2.664,16.126,0.249,0.607,11.736,11.736,11.736,11.736,11.736,8.632,3.186,1.006,-0.372,-0.459,-0.372,0.235,-0.984,-0.362,-0.984,0.665,0.836,2.896,2.934,0.483,-0.09,1.252,2.723,1.001,2.29,7.054,2.566,0.929,2.973,10.782,15.001,3763.0,-0.67,0,1.062,3.737,3.438,5.82,3.368,2.649,3.516,7.442
5.523,0.171,0.611,-0.356,-0.366,-0.366,13.478,-0.984,-0.984,13.753,206.213,3.011,2.347,34.918,1.133,206.213,206.213,0.337,0.939,2.551,2.558,15.433,0.255,0.513,11.308,11.308,11.308,11.308,11.308,8.789,3.097,1.029,-0.433,-0.491,-0.433,0.051,-1.115,-0.402,-1.115,0.731,0.882,2.882,2.936,0.374,-0.108,1.284,2.715,1.032,2.252,7.179,2.574,0.771,2.992,10.244,14.111,3288.0,-0.866,0,1.094,3.582,3.455,5.966,3.364,2.676,3.52,7.62
8.26,0.234,2.0,1.0,1.0,1.0,14.162,2.275,2.275,17.21,276.457,2.992,3.247,37.317,1.319,279.212,279.212,1.582,1.064,2.75,3.268,21.553,0.215,1.967,15.341,15.341,15.341,15.341,15.341,10.984,4.335,1.236,1.0,1.027,1.0,1.433,2.136,0.965,2.136,0.825,0.343,3.111,2.976,1.524,0.825,1.376,3.414,1.153,2.963,9.796,2.755,2.179,3.206,14.23,19.972,13032.0,0.459,5,1.292,5.669,3.696,8.107,3.623,2.941,3.827,10.097
6.0,0.323,1.639,0.643,0.667,0.667,11.002,1.492,1.492,14.643,222.366,2.941,2.461,30.354,1.175,226.366,230.366,0.749,0.895,2.715,2.821,18.087,0.235,1.127,13.337,13.337,13.337,13.337,13.337,9.029,3.885,1.064,0.175,0.193,0.175,0.437,0.428,0.161,0.428,0.825,0.474,3.015,2.91,0.736,0.107,1.258,3.097,0.979,2.0,8.305,2.735,1.34,3.106,12.386,17.186,8201.0,-0.423,3,1.153,4.861,3.517,6.87,3.47,2.835,3.772,8.587
5.678,0.259,1.061,0.091,0.094,0.094,13.98,0.182,0.182,14.015,213.065,3.006,2.365,35.633,1.187,213.065,213.065,0.537,0.931,2.575,2.637,16.126,0.249,0.578,11.746,11.746,11.746,11.746,11.746,9.038,3.173,1.006,-0.401,-0.454,-0.401,0.179,-1.087,-0.385,-1.087,0.709,0.857,2.914,2.933,0.494,0.039,1.236,2.794,1.024,2.273,7.429,2.605,0.914,3.016,10.782,15.017,3711.0,-0.786,0,1.069,3.74,3.486,6.168,3.398,2.732,3.549,7.874
6.824,0.399,2.0,1.0,1.0,1.0,13.236,2.136,2.136,16.505,233.556,3.015,3.005,34.222,1.207,239.556,239.556,0.966,1.002,2.715,3.219,19.997,0.224,1.248,14.381,14.381,14.381,14.381,14.381,9.76,3.659,1.038,0.269,0.315,0.269,0.611,0.741,0.263,0.741,0.693,0.612,2.87,3.009,0.887,0.486,1.223,3.247,1.058,2.745,8.575,2.735,1.498,2.939,12.612,17.57,6900.0,-0.356,2,1.106,4.835,3.628,7.106,3.552,2.861,3.863,8.965
5.699,0.286,1.128,0.219,0.253,0.253,14.046,0.437,0.437,15.078,243.814,3.032,2.513,36.922,1.208,243.814,243.814,0.517,1.016,2.64,2.66,16.819,0.244,0.611,12.346,12.346,12.346,12.346,12.346,9.637,3.309,1.079,-0.366,-0.396,-0.366,0.375,-0.921,-0.355,-0.921,0.743,0.776,2.904,3.024,0.558,0.112,1.286,2.894,1.085,2.321,8.26,2.671,0.887,3.006,11.14,15.45,4370.0,-0.576,1,1.145,4.181,3.56,6.883,3.464,2.792,3.663,8.687
7.31,0.293,0.521,-0.428,-0.445,-0.445,9.793,-0.632,-0.632,11.586,184.968,2.808,1.855,29.011,1.204,184.968,184.968,0.251,0.871,2.4,2.0,13.523,0.272,0.142,10.296,10.296,10.296,10.296,10.296,7.996,3.187,0.897,-0.74,-0.837,-0.74,-0.064,-1.512,-0.616,-1.512,0.552,0.834,2.756,2.801,0.068,-0.286,1.062,2.296,0.916,1.555,6.881,2.447,0.5,2.832,10.06,13.98,3404.0,-0.909,0,0.98,3.747,3.342,5.794,3.267,2.548,3.586,7.174
5.712,0.158,0.613,-0.336,-0.35,-0.35,12.646,-0.763,-0.763,12.779,218.705,2.848,2.0,30.671,1.078,218.705,218.705,0.078,0.746,2.517,2.352,13.929,0.268,0.352,10.351,10.351,10.351,10.351,10.351,7.745,3.035,0.969,-0.631,-0.696,-0.631,-0.032,-1.717,-0.617,-1.717,0.749,0.917,2.83,2.844,-0.009,-0.242,1.083,2.45,0.823,1.744,7.445,2.539,0.575,2.899,9.186,13.025,2831.0,-0.99,0,1.065,3.546,3.389,6.204,3.314,2.624,3.629,7.7
5.0,0.187,0.611,-0.356,-0.366,-0.366,12.63,-0.997,-0.997,13.948,201.395,3.015,2.427,33.291,1.147,201.395,201.395,0.479,0.919,2.523,2.618,15.838,0.251,0.556,11.855,11.855,11.855,11.855,11.855,8.962,3.146,1.003,-0.407,-0.482,-0.407,0.06,-1.168,-0.385,-1.168,0.677,0.862,2.826,3.009,0.375,-0.093,1.214,2.841,1.006,2.27,7.004,2.552,0.821,2.933,10.803,14.435,3693.0,-0.813,1,1.065,3.735,3.454,5.817,3.375,2.643,3.59,7.476
6.5,0.479,2.0,1.0,1.0,1.0,13.116,2.275,2.275,17.935,326.265,3.031,3.022,44.914,1.192,330.265,330.265,1.53,1.122,2.864,3.32,22.076,0.213,1.586,16.615,16.615,16.615,16.615,16.615,10.861,4.341,1.173,0.721,0.781,0.721,1.367,1.543,0.599,1.543,0.8,0.471,3.262,3.033,1.465,0.982,1.514,3.414,1.192,2.89,10.024,2.849,1.863,3.324,15.3,22.273,15284.0,0.424,4,1.23,5.833,3.666,8.274,3.657,2.977,3.897,10.295
5.866,0.433,0.778,-0.094,-0.109,-0.109,12.963,-0.303,-0.303,14.702,223.064,3.015,2.526,34.644,1.193,223.064,223.064,0.567,0.997,2.57,2.676,16.531,0.246,0.611,12.381,12.381,12.381,12.381,12.381,9.099,3.261,1.009,-0.366,-0.423,-0.366,0.331,-1.026,-0.356,-1.026,0.691,0.801,2.874,3.009,0.386,0.019,1.239,2.935,1.053,2.325,7.766,2.618,0.929,3.009,10.95,15.058,4278.0,-0.59,2,1.086,4.013,3.538,6.477,3.448,2.649,3.66,8.246
6.347,0.327,1.442,0.47,0.526,0.526,15.787,0.946,0.946,16.685,285.71,3.153,2.695,41.922,1.362,289.71,289.71,0.907,1.036,2.763,2.907,18.898,0.23,1.248,13.846,13.846,13.846,13.846,13.846,10.811,3.665,1.197,0.269,0.31,0.269,0.611,0.738,0.263,0.738,0.938,0.611,3.215,3.143,0.791,0.483,1.331,3.199,1.111,2.567,9.397,2.837,1.45,3.303,12.64,17.571,6753.0,-0.356,1,1.287,4.935,3.681,7.86,3.584,3.015,3.806,9.86
6.602,0.28,0.653,-0.263,-0.292,-0.292,15.431,-0.543,-0.543,14.003,244.568,2.926,2.339,38.55,1.2,244.568,244.568,0.34,0.929,2.572,2.453,15.315,0.256,0.626,11.301,11.301,11.301,11.301,11.301,9.673,3.208,1.019,-0.31,-0.329,-0.31,0.173,-0.629,-0.29,-0.629,0.807,0.867,3.012,2.906,0.488,-0.005,1.266,2.598,1.021,2.0,7.937,2.584,0.793,3.099,10.844,14.934,3685.0,-0.667,0,1.093,3.964,3.517,6.591,3.414,2.814,3.632,8.356
6.444,0.389,0.923,-0.036,-0.038,-0.038,13.2,-0.084,-0.084,14.065,227.329,2.892,2.488,34.737,1.173,231.329,233.329,0.441,0.856,2.557,2.581,15.72,0.252,0.638,11.785,11.785,11.785,11.785,11.785,8.294,3.267,0.997,-0.318,-0.344,-0.318,0.181,-0.546,-0.302,-0.546,0.762,0.842,2.945,2.892,0.485,0.12,1.155,2.752,0.925,2.0,8.021,2.56,0.933,3.013,10.635,15.148,4162.0,-0.729,4,1.079,4.065,3.438,6.625,3.389,2.764,3.653,8.226
5.699,0.0,-0.394,-1.169,-1.303,-1.303,4.246,-3.3,-3.3,7.774,104.039,2.109,1.052,13.903,0.715,104.039,104.039,-0.5,0.0,1.561,1.202,9.652,0.322,-0.794,7.364,7.364,7.364,7.364,7.364,5.042,2.555,0.314,-1.727,-2.126,-1.727,-1.0,-4.632,-1.455,-4.632,0.065,1.261,2.15,2.11,-0.887,-1.102,0.556,1.422,0.056,0.73,4.094,1.601,-0.331,2.255,7.128,9.736,1134.0,-1.824,0,0.424,2.551,2.901,3.384,2.858,1.731,3.342,4.238
5.0,0.209,0.611,-0.355,-0.366,-0.366,12.93,-0.997,-0.997,14.603,206.213,3.015,2.565,34.728,1.16,206.213,206.213,0.647,0.924,2.523,2.724,16.126,0.249,0.564,12.365,12.365,12.365,12.365,12.365,9.462,3.175,1.003,-0.399,-0.474,-0.399,0.061,-1.173,-0.378,-1.173,0.68,0.854,2.826,3.009,0.375,0.0,1.214,3.006,1.008,2.353,7.163,2.552,0.981,2.933,11.254,14.661,4102.0,-0.776,2,1.065,3.771,3.478,5.933,3.403,2.643,3.762,7.659
6.959,0.389,0.914,-0.035,-0.038,-0.038,15.403,-0.084,-0.084,14.415,243.611,2.926,2.488,39.214,1.2,247.611,249.611,0.34,0.931,2.571,2.581,15.72,0.252,0.62,11.785,11.785,11.785,11.785,11.785,9.807,3.267,1.019,-0.318,-0.319,-0.318,0.171,-0.546,-0.289,-0.546,0.808,0.842,3.009,2.906,0.449,0.082,1.261,2.752,1.02,2.0,8.062,2.584,0.764,3.096,11.238,15.416,4162.0,-0.705,0,1.093,4.065,3.525,6.683,3.435,2.816,3.632,8.475
6.319,0.292,1.967,0.965,1.0,1.0,13.781,2.275,2.275,17.51,265.993,3.032,3.226,39.909,1.379,285.212,287.212,1.123,1.064,2.91,3.34,21.266,0.217,1.944,15.303,15.303,15.303,15.303,15.303,10.663,4.164,1.099,0.952,1.0,0.952,0.964,2.142,0.928,2.142,0.933,0.401,3.111,3.039,1.723,0.635,1.376,3.414,1.152,2.659,9.99,2.93,2.0,3.206,13.992,19.678,11705.0,0.011,5,1.153,5.464,3.669,8.193,3.616,2.941,3.868,10.22
4.839,0.24,0.742,-0.28,-0.277,-0.277,10.652,-0.632,-0.632,12.435,215.556,2.844,1.858,29.692,1.296,215.556,215.556,0.255,0.804,2.61,2.304,14.216,0.265,0.521,10.779,10.779,10.779,10.779,10.779,8.012,3.268,0.958,-0.445,-0.445,-0.445,0.119,-0.65,-0.428,-0.65,0.793,0.825,2.923,2.854,0.198,-0.12,1.201,2.391,0.888,1.738,7.698,2.621,0.555,3.017,10.151,14.395,3884.0,-0.806,0,1.038,3.951,3.387,6.455,3.33,2.67,3.589,7.934
5.706,0.069,0.251,-0.693,-0.718,-0.718,8.484,-1.818,-1.818,10.892,169.995,2.661,1.538,23.316,0.977,173.995,173.995,-0.253,0.721,2.125,1.603,12.425,0.284,-0.04,8.885,8.885,8.885,8.885,8.885,6.633,2.875,0.935,-1.031,-1.062,-1.031,-0.635,-2.587,-1.02,-2.587,0.55,0.946,2.644,2.639,-0.516,-0.84,1.112,2.104,0.835,1.401,6.412,2.132,0.01,2.769,7.881,11.403,1905.0,-1.551,1,1.008,3.123,3.193,5.314,3.128,2.41,3.615,6.572
7.222,0.142,0.34,-0.585,-0.618,-0.618,9.427,-1.594,-1.594,10.348,169.367,2.768,1.555,24.416,0.927,171.367,171.367,-0.365,0.684,2.4,1.592,12.019,0.288,-0.01,8.84,8.84,8.84,8.84,8.84,6.795,2.94,0.905,-1.0,-1.082,-1.0,-0.581,-1.861,-0.989,-1.861,0.557,0.953,2.723,2.76,-0.16,-0.858,1.062,2.0,0.758,1.102,6.51,2.447,0.251,2.832,8.347,12.085,2152.0,-1.449,0,0.979,3.351,3.24,5.489,3.168,2.586,3.586,6.732
7.398,0.338,1.984,0.983,1.0,1.0,12.398,2.275,2.275,18.217,281.702,2.981,3.284,37.319,1.266,285.702,291.702,1.324,1.073,2.839,3.414,22.482,0.211,1.668,16.319,16.319,16.319,16.319,16.319,10.367,4.162,1.121,0.748,0.914,0.748,1.138,1.83,0.681,1.83,0.825,0.397,3.111,2.967,1.619,0.785,1.376,3.511,1.153,3.002,9.942,2.844,2.0,3.206,14.064,20.246,12532.0,0.186,3,1.188,5.462,3.647,8.182,3.629,2.941,3.869,10.218
6.222,0.314,0.721,-0.222,-0.235,-0.235,10.973,-0.466,-0.466,12.509,237.814,2.979,2.124,33.694,1.212,239.814,241.814,0.429,0.856,2.664,2.334,14.909,0.259,0.562,11.262,11.262,11.262,11.262,11.262,7.925,3.354,1.128,-0.372,-0.406,-0.372,0.138,-0.724,-0.345,-0.724,0.702,0.833,2.943,2.993,0.367,0.09,1.221,2.433,0.934,1.892,7.513,2.67,0.793,3.024,10.651,15.355,4377.0,-0.81,3,1.197,4.132,3.373,6.291,3.337,2.731,3.66,7.786
8.569,0.28,2.12,1.115,1.14,1.14,15.248,2.777,2.777,21.302,340.256,3.096,3.396,45.873,1.34,346.256,346.256,1.639,1.192,2.983,3.414,24.038,0.204,1.967,17.262,17.262,17.262,17.262,17.262,12.537,4.462,1.192,1.0,1.0,1.0,1.362,2.275,0.965,2.275,0.947,0.32,3.228,3.073,1.687,1.0,1.445,3.595,1.262,3.396,12.114,2.976,2.0,3.304,15.149,21.849,16791.0,0.42,2,1.262,5.929,3.83,9.952,3.771,3.096,3.837,12.401
5.215,0.161,1.578,0.599,0.643,0.643,9.5,1.5,1.5,14.061,196.477,2.912,2.447,26.41,1.064,196.477,196.477,0.669,0.855,2.715,2.828,18.087,0.235,1.003,12.852,12.852,12.852,12.852,12.852,8.311,3.706,1.037,0.072,0.082,0.072,0.248,0.174,0.063,0.174,0.797,0.485,2.872,2.91,0.612,0.128,1.098,3.164,0.907,2.0,7.68,2.725,1.262,2.935,11.582,16.422,6581.0,-0.605,1,1.112,4.51,3.42,6.303,3.388,2.735,3.777,7.869
6.678,0.0,-0.507,-1.315,-1.417,-1.417,3.794,-4.251,-4.251,7.802,104.211,2.083,1.0,12.67,0.668,106.211,110.211,-0.944,0.031,1.725,1.098,8.959,0.334,-0.796,6.889,6.889,6.889,6.889,6.889,4.459,2.457,0.301,-1.778,-2.181,-1.778,-1.0,-5.019,-1.748,-5.019,0.088,1.252,2.278,2.09,-1.0,0.0,0.66,1.197,0.162,0.695,4.327,1.666,-0.5,2.356,6.165,8.535,956.0,-2.0,0,0.45,2.323,2.878,3.566,2.853,1.777,3.238,4.417
4.523,0.161,1.571,0.594,0.643,0.643,8.521,1.5,1.5,13.827,189.66,2.885,2.447,25.188,1.064,189.66,189.66,0.669,0.832,2.684,2.828,18.087,0.235,0.998,12.852,12.852,12.852,12.852,12.852,8.171,3.706,0.951,0.072,0.082,0.072,0.24,0.174,0.063,0.174,0.75,0.485,2.854,2.894,0.609,0.105,1.114,3.164,0.886,2.0,7.535,2.688,1.262,2.925,11.582,16.53,6581.0,-0.601,0,1.022,4.51,3.375,6.18,3.356,2.735,3.777,7.707
4.658,0.145,1.593,0.607,0.639,0.639,10.458,1.491,1.491,14.605,210.568,2.941,2.327,29.552,1.064,224.078,224.078,0.625,1.052,2.779,2.801,17.682,0.238,0.967,12.386,12.386,12.386,12.386,12.386,8.777,3.642,1.064,0.0,0.0,0.0,0.151,0.0,0.0,0.0,0.825,0.504,3.111,2.91,0.441,0.095,1.376,3.158,1.136,2.0,8.524,2.771,1.139,3.206,10.899,15.812,5846.0,-0.804,2,1.153,4.473,3.463,7.017,3.409,2.941,3.791,8.677
4.0,0.18,1.967,0.965,1.0,1.0,11.289,2.275,2.275,16.828,232.078,2.941,3.245,29.435,1.4,236.078,238.078,1.295,0.972,2.742,3.414,21.671,0.215,1.79,15.329,15.329,15.329,15.329,15.329,9.725,4.029,1.064,0.835,1.041,0.835,1.055,2.102,0.795,2.102,0.825,0.431,3.071,2.91,1.708,0.657,1.227,3.414,1.028,2.924,9.056,2.756,2.182,3.145,13.565,19.254,10148.0,0.099,2,1.153,5.263,3.59,7.431,3.556,2.889,3.81,9.278
6.569,0.161,1.598,0.612,0.643,0.643,9.979,1.5,1.5,14.253,201.329,2.928,2.447,26.828,1.064,203.329,203.329,0.669,0.858,2.715,2.828,18.087,0.235,1.008,12.852,12.852,12.852,12.852,12.852,8.451,3.706,1.038,0.072,0.082,0.072,0.257,0.174,0.063,0.174,0.825,0.485,2.919,2.91,0.616,0.151,1.101,3.164,0.91,2.0,7.821,2.735,1.262,2.978,11.582,16.358,6581.0,-0.611,1,1.112,4.51,3.457,6.425,3.413,2.802,3.778,8.025
5.721,0.204,1.593,0.608,0.639,0.639,9.511,1.493,1.493,14.033,202.477,2.86,2.436,26.629,1.064,204.477,204.477,0.735,0.826,2.741,2.822,18.087,0.235,0.967,12.869,12.869,12.869,12.869,12.869,8.314,3.692,0.935,0.0,0.0,0.0,0.345,0.0,0.0,0.0,0.809,0.494,2.906,2.875,0.475,0.143,1.118,3.163,0.894,2.0,7.679,2.744,1.175,2.975,11.582,16.396,6505.0,-0.529,3,1.02,4.529,3.417,6.308,3.384,2.79,3.78,7.868
5.319,0.266,2.0,1.0,1.0,1.0,11.183,2.275,2.275,16.824,232.078,2.941,3.177,29.467,1.275,238.078,238.078,1.295,1.038,2.769,3.414,21.671,0.215,1.967,15.323,15.323,15.323,15.323,15.323,9.729,4.059,1.064,1.0,1.0,1.0,1.055,2.275,0.965,2.275,0.825,0.412,3.111,2.931,1.594,0.659,1.325,3.414,1.103,2.95,9.062,2.78,2.108,3.206,13.565,19.252,10468.0,0.1,3,1.153,5.249,3.59,7.435,3.556,2.918,3.817,9.284
7.699,0.347,1.196,0.252,0.28,0.28,9.292,0.703,0.703,14.117,196.968,2.907,2.39,26.366,1.075,196.968,196.968,0.691,0.924,2.694,2.809,17.512,0.239,0.764,12.863,12.863,12.863,12.863,12.863,8.612,3.421,1.064,-0.171,-0.189,-0.171,0.347,-0.406,-0.158,-0.406,0.764,0.729,2.993,2.909,0.51,0.161,1.244,3.038,0.994,2.338,7.436,2.698,1.011,3.076,11.112,16.079,5113.0,-0.482,2,1.153,4.318,3.433,6.131,3.386,2.806,3.79,7.745
5.699,0.145,1.593,0.607,0.639,0.639,8.987,1.491,1.491,13.555,190.477,2.846,2.327,23.968,1.064,196.477,196.477,0.658,0.825,2.715,2.801,17.682,0.238,0.967,12.386,12.386,12.386,12.386,12.386,7.836,3.642,0.934,0.0,0.0,0.0,0.151,0.0,0.0,0.0,0.809,0.504,2.903,2.867,0.441,0.095,1.12,3.158,0.894,2.0,7.586,2.735,1.173,2.975,10.899,15.812,5846.0,-0.804,2,1.021,4.473,3.389,6.258,3.356,2.745,3.78,7.738
6.82,0.102,0.269,-0.658,-0.691,-0.691,9.881,-1.517,-1.517,10.435,190.612,2.796,1.357,25.257,1.092,190.612,190.612,-0.386,0.683,2.516,1.642,11.731,0.292,-0.133,8.759,8.759,8.759,8.759,8.759,6.667,2.865,0.925,-1.115,-1.153,-1.115,-0.576,-2.207,-1.093,-2.207,0.571,1.019,2.733,2.785,-0.379,-0.824,1.012,2.158,0.773,1.124,6.337,2.544,-0.033,2.83,8.274,11.941,2044.0,-1.436,0,1.032,3.16,3.249,5.352,3.176,2.565,3.569,6.604
5.921,0.293,0.521,-0.428,-0.445,-0.445,8.465,-0.632,-0.632,11.27,184.968,2.798,1.855,25.37,1.155,184.968,184.968,0.251,0.866,2.4,2.0,13.523,0.272,0.165,10.296,10.296,10.296,10.296,10.296,7.18,3.187,0.884,-0.74,-0.837,-0.74,-0.018,-1.512,-0.645,-1.512,0.552,0.834,2.76,2.797,0.085,-0.273,1.093,2.296,0.901,1.555,6.881,2.447,0.5,2.832,9.651,13.769,3404.0,-0.982,2,0.974,3.747,3.254,5.794,3.231,2.517,3.586,7.075
6.0,0.293,0.521,-0.428,-0.445,-0.445,8.59,-0.632,-0.632,11.421,191.82,2.804,1.855,25.703,1.198,191.82,191.82,0.251,0.88,2.4,2.0,13.523,0.272,0.156,10.296,10.296,10.296,10.296,10.296,7.272,3.187,0.899,-0.74,-0.837,-0.74,-0.032,-1.512,-0.637,-1.512,0.56,0.834,2.767,2.802,0.08,-0.277,1.145,2.296,0.943,1.555,6.974,2.447,0.5,2.841,9.651,13.835,3404.0,-0.963,2,0.986,3.747,3.276,5.877,3.242,2.526,3.586,7.178
6.487,0.102,-0.008,-0.97,-1.0,-1.0,7.855,-2.177,-2.177,9.902,171.995,2.746,1.313,20.377,0.953,175.995,175.995,-0.5,0.618,2.344,1.462,11.326,0.297,-0.028,8.386,8.386,8.386,8.386,8.386,6.306,2.864,0.839,-1.0,-1.229,-1.0,-0.765,-2.7,-0.991,-2.7,0.633,0.942,2.669,2.748,-0.439,-0.935,1.003,1.715,0.706,1.067,6.083,2.389,0.0,2.779,7.792,11.087,1869.0,-1.648,0,0.883,3.152,3.183,5.096,3.111,2.509,3.603,6.259
8.097,0.43,2.003,0.997,1.023,1.023,15.602,2.126,2.126,19.964,341.673,3.293,3.306,50.372,1.507,351.673,351.673,1.618,1.217,2.92,3.365,22.652,0.21,1.814,16.721,16.721,16.721,16.721,16.721,12.021,4.254,1.4,0.904,0.977,0.904,1.592,2.056,0.812,2.056,1.14,0.43,3.166,3.281,1.618,1.004,1.515,3.618,1.278,3.209,11.626,2.933,2.018,3.221,15.011,21.356,14215.0,0.593,4,1.463,5.73,3.773,9.578,3.726,2.935,3.823,11.889
5.314,0.0,-0.37,-1.226,-1.303,-1.303,4.13,-3.3,-3.3,7.957,114.211,2.201,1.052,13.88,0.739,114.211,114.211,-0.66,0.0,1.609,1.202,9.652,0.322,-0.746,7.364,7.364,7.364,7.364,7.364,4.557,2.555,0.332,-1.727,-2.025,-1.727,-0.977,-4.632,-1.665,-4.632,0.152,1.261,2.418,2.209,-0.805,-1.0,0.536,1.422,0.096,0.73,4.417,1.598,-0.5,2.491,6.72,9.444,1134.0,-1.895,0,0.44,2.551,2.874,3.641,2.868,1.992,3.432,4.498
5.0,0.259,0.812,-0.138,-0.151,-0.151,7.078,-0.382,-0.382,12.819,190.905,2.877,2.247,27.316,1.064,190.905,190.905,0.205,0.88,2.655,2.334,15.027,0.258,0.3,11.255,11.255,11.255,11.255,11.255,7.622,3.271,0.981,-0.616,-0.757,-0.616,-0.005,-1.577,-0.513,-1.577,0.613,0.726,3.002,2.867,0.23,-0.049,1.245,2.572,0.97,2.0,6.962,2.683,0.764,3.097,10.368,14.478,4135.0,-0.809,3,1.053,3.71,3.316,5.719,3.291,2.773,3.455,7.159
7.816,0.205,0.521,-0.428,-0.445,-0.445,14.614,-0.632,-0.632,12.382,224.101,2.931,1.82,35.578,1.248,224.101,224.101,-0.024,0.96,2.543,2.167,13.523,0.272,0.512,10.202,10.202,10.202,10.202,10.202,8.122,3.075,1.092,-0.469,-0.526,-0.469,-0.087,-1.068,-0.455,-1.068,0.88,0.994,3.057,2.928,0.268,-0.371,1.343,2.376,1.064,1.641,7.705,2.572,0.635,3.166,9.723,14.062,3083.0,-1.064,0,1.176,3.616,3.428,6.528,3.344,2.829,3.586,8.051
6.252,0.356,0.718,-0.329,-0.318,-0.318,9.193,-0.632,-0.632,11.996,191.82,2.803,1.858,27.425,1.283,191.82,191.82,0.272,0.879,2.426,2.308,13.929,0.268,0.521,10.743,10.743,10.743,10.743,10.743,7.509,3.21,0.911,-0.445,-0.445,-0.445,0.118,-0.753,-0.428,-0.753,0.552,0.866,2.797,2.802,0.139,-0.227,1.165,2.391,0.939,1.742,7.207,2.447,0.598,2.864,10.079,14.22,3743.0,-0.897,0,0.999,3.802,3.315,6.051,3.281,2.552,3.586,7.417
6.398,0.205,0.4,-0.505,-0.544,-0.544,9.686,-1.242,-1.242,10.764,176.15,2.769,1.555,26.893,0.936,178.15,178.15,-0.113,0.691,2.4,1.781,12.425,0.284,0.144,9.307,9.307,9.307,9.307,9.307,6.935,2.973,0.906,-0.809,-0.872,-0.809,-0.433,-1.851,-0.761,-1.851,0.557,0.971,2.758,2.76,-0.098,-0.636,1.062,2.163,0.758,1.335,6.645,2.447,0.307,2.832,8.758,12.618,2425.0,-1.299,0,0.975,3.403,3.25,5.585,3.195,2.588,3.586,6.857
4.602,0.134,0.0,-0.967,-1.0,-1.0,10.164,-2.148,-2.148,10.781,188.213,2.819,1.343,24.008,1.075,200.213,200.213,-0.247,0.809,2.489,1.542,11.731,0.292,-0.009,8.853,8.853,8.853,8.853,8.853,6.999,2.895,0.952,-1.0,-1.096,-1.0,-0.552,-2.427,-0.991,-2.427,0.727,0.977,2.869,2.807,-0.031,-0.763,1.183,2.0,0.919,1.311,6.64,2.52,0.108,2.985,8.203,11.546,2110.0,-1.55,0,1.057,3.222,3.31,5.625,3.213,2.659,3.608,6.967
6.766,0.205,0.521,-0.428,-0.445,-0.445,10.873,-0.733,-0.733,11.24,189.95,2.778,1.71,29.412,1.129,191.95,193.95,-0.02,0.853,2.549,2.0,13.118,0.276,0.366,9.744,9.744,9.744,9.744,9.744,7.324,3.054,0.908,-0.581,-0.698,-0.581,-0.121,-1.352,-0.541,-1.352,0.573,0.962,2.938,2.762,0.055,-0.546,1.189,2.209,0.926,1.555,6.954,2.572,0.555,3.011,9.296,13.626,2774.0,-1.059,2,1.012,3.555,3.304,5.872,3.247,2.717,3.586,7.219
7.523,0.326,1.84,0.84,0.883,0.883,14.55,1.643,1.643,15.934,289.394,2.979,2.67,41.449,1.396,302.904,308.904,0.823,1.064,2.91,2.82,19.068,0.229,1.322,13.762,13.762,13.762,13.762,13.762,10.143,3.897,1.129,0.426,0.472,0.426,0.565,0.759,0.376,0.759,0.924,0.55,3.141,2.993,1.205,0.514,1.393,3.054,1.153,2.397,9.714,2.919,1.573,3.226,12.813,18.876,8336.0,-0.334,4,1.198,5.178,3.595,8.043,3.549,2.941,3.785,9.967
