pXC50,RBN,nSK,MW,Se,nAT,Si,RBF,nBM,nCsp2,nH,nAB,nN,nC,SCBO,Sv,Sp,nBT,nBO,nHet,N.,C.,Me,nDB,O.,AMW,H.,Mi,Mp
7.0,11,46,628.7,78.509,77,87.078,0.136,28,28,31,24,4,35,66.0,50.997,52.074,81,50,11,5.2,45.5,1.02,4,5.2,8.165,40.3,1.131,0.676
8.089,8,43,585.67,74.079,73,82.37,0.104,27,27,30,24,3,34,62.0,48.26,49.614,77,47,9,4.1,46.6,1.015,3,4.1,8.023,41.1,1.128,0.68
7.572,8,47,633.71,78.079,77,86.37,0.098,33,33,30,30,3,38,70.0,52.26,53.614,82,52,9,3.9,49.4,1.014,3,3.9,8.23,39.0,1.122,0.696
7.887,9,46,622.69,76.298,75,84.453,0.114,33,32,29,30,4,36,68.0,50.755,51.858,79,50,10,5.3,48.0,1.017,3,4.0,8.303,38.7,1.126,0.691
8.554,9,50,674.77,84.065,83,93.284,0.102,37,35,33,34,4,40,75.0,55.809,57.381,88,55,10,4.8,48.2,1.013,3,3.6,8.13,39.8,1.124,0.691
7.0,5,31,455.01,54.305,54,60.056,0.088,21,19,23,18,2,24,46.0,35.997,38.256,57,34,7,3.7,44.4,1.006,3,5.6,8.426,42.6,1.112,0.708
7.398,5,39,537.63,70.079,69,78.37,0.068,20,20,30,18,3,30,54.0,44.26,45.614,73,43,9,4.3,43.5,1.016,2,4.3,7.792,43.5,1.136,0.661
6.921,6,35,523.11,58.382,58,63.976,0.097,26,23,23,23,2,27,53.5,40.184,42.904,62,39,8,3.4,46.6,1.007,3,5.2,9.019,39.7,1.103,0.74
7.155,5,34,468.51,58.327,57,64.626,0.083,20,20,23,18,2,26,48.0,37.659,38.324,60,37,8,3.5,45.6,1.023,2,5.3,8.219,40.4,1.134,0.672
6.187,6,38,536.61,62.403,61,68.546,0.092,27,25,23,24,2,29,57.0,41.846,42.972,65,42,9,3.3,47.5,1.023,3,4.9,8.797,37.7,1.124,0.704
7.138,6,45,613.68,76.407,75,84.58,0.075,27,27,30,24,3,35,65.0,49.975,51.069,80,50,10,4.0,46.7,1.019,3,5.3,8.182,40.0,1.128,0.681
7.0,9,47,644.7,79.836,78,88.287,0.11,28,28,31,24,4,35,67.0,51.711,52.529,82,51,12,5.1,44.9,1.024,4,6.4,8.265,39.7,1.132,0.673
5.854,6,41,551.65,69.541,69,77.536,0.081,30,28,28,29,3,34,61.5,46.304,47.944,74,46,7,4.3,49.3,1.008,1,1.4,7.995,40.6,1.124,0.695
6.745,6,38,514.63,67.323,67,75.453,0.085,25,25,29,24,2,32,55.0,43.809,45.699,71,42,6,3.0,47.8,1.005,1,1.5,7.681,43.3,1.126,0.682
6.854,6,36,506.63,61.632,61,68.543,0.092,24,23,25,23,2,29,52.5,40.943,42.824,65,40,7,3.3,47.5,1.01,1,1.6,8.305,41.0,1.124,0.702
9.222,6,36,507.62,60.85,60,67.626,0.094,24,22,24,23,3,28,52.5,40.438,42.069,64,40,8,5.0,46.7,1.014,1,1.7,8.46,40.0,1.127,0.701
6.854,6,36,507.62,60.85,60,67.626,0.094,24,22,24,23,3,28,52.5,40.438,42.069,64,40,8,5.0,46.7,1.014,1,1.7,8.46,40.0,1.127,0.701
6.824,6,36,490.56,61.883,61,68.832,0.092,24,23,25,23,2,29,52.5,40.471,41.631,65,40,7,3.3,47.5,1.014,1,3.3,8.042,41.0,1.128,0.682
