pXC50,D.Dtr07,PDI,X5A,H.047,nR07,ATSC7s,SpDiam_EA.ri.,nHM,SpMax2_Bh.m.,P_VSA_m_4,H.051,C.006,GATS7m,P_VSA_i_1,PW5,Eig01_EA.ri.,SpMax_EA.ri.,SpDiam_EA.ed.,RBF,X4A,Eig01_AEA.ed.,SpMax_AEA.ed.,Chi1_EA.dm.,TPSA.Tot.,SpDiam_EA,ATSC7m,SM14_AEA.ed.,SM11_EA.ed.,SM12_EA.ed.,SM13_EA.ed.,GATS5v,SM14_EA.ed.,SM15_EA.ed.,Eig01_EA,SM09_AEA.bo.,SpMax_EA,SM10_EA.ed.,SM12_AEA.ed.,CATS2D_05_NL,ATSC7e,piPC04,SM08_EA.bo.,GATS6i,SM06_EA.ed.,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,SM08_EA.ed.,SpMin5_Bh.i.,SM10_AEA.ed.,SpMin3_Bh.s.,SM13_AEA.ed.,MPC06,SpMax3_Bh.m.,Xindex,ATSC7p,ATSC8s,nCrs,SM15_AEA.ed.,SpDiam_AEA.bo.,LOC,MWC09,MWC10,SM09_EA.ed.,piPC05,piPC06,MATS2m,CATS2D_02_AN
5.699,0.0,0.845,0.08,5,0,97.135,4.903,0,3.684,0.0,0,1,1.014,0.0,0.067,3.01,3.01,17.964,0.116,0.124,6.696,6.696,14.137,112.73,5.111,23.698,27.038,26.192,28.565,30.896,1.029,33.261,35.609,3.13,3.13,3.13,23.895,23.312,1,0.547,3.892,10.424,0.937,14.727,10.697,10.697,10.697,19.271,1.108,19.604,1.068,25.173,3.497,3.446,0.632,5.553,129.076,3,28.907,5.23,2.158,10.542,11.408,21.5,3.892,3.761,0.113,1
5.0,0.0,0.885,0.084,11,0,155.895,5.016,0,3.826,0.0,0,1,1.106,0.0,0.084,3.016,3.016,17.97,0.141,0.125,6.697,6.697,19.11,141.83,5.133,44.516,27.252,26.38,28.739,31.058,1.058,33.411,35.748,3.133,3.133,3.133,24.096,23.545,1,0.84,4.724,11.164,0.984,15.002,10.7,10.7,10.7,19.504,1.478,19.859,1.21,25.396,4.111,3.717,0.403,11.821,202.92,3,29.112,5.244,0.933,10.985,11.847,21.716,5.014,4.748,0.061,1
4.796,0.0,0.872,0.087,7,0,134.102,4.912,0,3.685,0.0,0,2,0.913,0.0,0.071,3.006,3.006,17.954,0.16,0.128,6.696,6.696,19.137,177.13,5.117,29.088,26.913,26.127,28.506,30.844,1.125,33.216,35.57,3.129,3.129,3.129,23.821,23.192,1,0.77,4.007,10.538,0.881,14.639,10.696,10.696,10.696,19.184,1.297,19.495,1.072,25.05,3.638,3.534,0.554,6.167,155.489,3,28.782,5.233,2.737,10.577,11.432,21.421,4.078,3.97,0.064,1
4.444,0.0,0.924,0.08,9,0,132.635,5.044,0,3.811,0.0,0,1,1.125,0.0,0.092,3.044,3.044,17.096,0.145,0.119,6.541,6.541,16.035,123.32,5.087,41.298,26.981,26.029,28.343,30.623,0.969,32.934,35.232,3.087,3.087,3.087,23.784,23.32,2,0.714,5.196,12.228,0.944,14.847,10.33,10.33,10.33,19.273,1.423,19.678,1.215,25.148,4.382,3.673,0.339,11.969,157.844,3,28.817,5.518,1.052,11.045,11.916,21.449,5.595,5.81,0.02,0
4.108,0.0,0.92,0.077,12,0,104.789,5.104,0,3.823,0.0,0,2,0.982,0.0,0.09,3.104,3.104,18.971,0.094,0.117,6.857,6.857,18.138,103.94,5.229,34.487,27.455,26.913,29.333,31.715,1.069,34.129,36.526,3.229,3.229,3.229,24.561,23.685,1,0.573,4.733,11.123,0.934,15.184,11.304,11.304,11.304,19.832,1.41,19.937,1.213,25.568,4.263,3.698,0.358,10.342,141.747,6,29.347,5.342,0.819,11.041,11.93,22.12,5.02,4.847,-0.006,1
4.092,0.0,0.859,0.088,7,0,202.934,4.887,0,3.764,0.0,2,0,1.051,0.0,0.089,2.887,2.887,15.604,0.193,0.128,6.177,6.177,15.154,184.84,4.94,36.913,26.286,24.77,26.985,29.122,0.948,31.321,33.484,2.94,2.94,2.94,22.678,22.732,3,1.038,4.589,11.136,0.904,14.243,9.128,9.128,9.128,18.42,1.327,19.198,1.099,24.507,3.932,3.62,0.586,9.379,284.173,0,28.069,5.077,2.642,10.684,11.523,20.425,5.039,4.85,0.068,0
4.012,0.0,0.887,0.087,8,0,62.252,4.852,0,3.74,0.0,0,3,0.966,0.0,0.072,2.942,2.942,17.307,0.103,0.126,6.608,6.608,16.314,98.74,5.075,14.366,26.732,25.88,28.223,30.537,1.046,32.875,35.202,3.075,3.075,3.075,23.593,23.024,0,0.382,3.932,10.261,0.69,14.49,10.418,10.418,10.418,19.003,1.19,19.334,1.024,24.876,3.497,3.411,0.443,3.361,101.267,6,28.592,5.189,0.92,10.48,11.334,21.231,3.951,3.784,-0.019,1
5.572,0.0,1.017,0.072,12,0,37.583,5.105,2,4.076,70.426,2,0,1.041,31.278,0.105,3.105,3.105,18.152,0.115,0.11,6.766,6.766,5.983,63.13,5.221,24.556,27.505,26.975,29.373,31.747,1.007,34.141,36.526,3.221,3.221,3.221,24.625,23.752,0,0.19,5.827,13.061,0.937,15.286,11.138,11.138,11.138,19.915,1.35,20.022,1.069,25.626,4.691,3.701,0.281,8.904,40.145,0,29.387,5.51,1.088,11.276,12.181,22.209,6.386,6.817,0.129,0
5.65,0.0,0.954,0.082,7,0,29.131,4.846,1,3.887,39.149,2,0,1.167,0.0,0.081,2.881,2.881,17.414,0.154,0.124,6.643,6.643,5.983,50.68,5.14,18.819,26.789,25.984,28.339,30.665,1.052,33.014,35.353,3.14,3.14,3.14,23.686,23.072,0,0.219,5.001,11.96,0.902,14.545,10.528,10.528,10.528,19.074,1.303,19.376,0.808,24.928,3.738,3.491,0.437,5.537,31.52,0,28.653,5.311,1.329,10.581,11.45,21.312,5.125,5.374,0.108,0
5.444,0.0,0.953,0.083,7,0,30.053,4.822,3,4.072,109.575,2,0,0.934,31.278,0.087,2.87,2.87,17.414,0.158,0.121,6.643,6.643,6.624,63.13,5.14,23.099,26.822,26.011,28.364,30.687,0.986,33.034,35.371,3.14,3.14,3.14,23.718,23.112,0,0.232,5.06,12.056,0.903,14.598,10.528,10.528,10.528,19.114,1.299,19.426,0.808,24.964,3.807,3.504,0.431,6.773,29.423,0,28.684,5.311,1.33,10.668,11.539,21.345,5.239,5.439,0.226,0
5.046,0.0,0.873,0.072,7,0,94.529,5.042,0,3.726,0.0,0,2,0.928,0.0,0.081,3.114,3.114,19.035,0.083,0.114,6.867,6.867,17.037,103.94,5.236,33.646,27.516,26.96,29.383,31.766,0.962,34.182,36.58,3.236,3.236,3.236,24.607,23.737,1,0.522,4.234,10.648,1.083,15.203,11.331,11.331,11.331,19.87,1.326,19.975,1.213,25.625,4.06,3.547,0.49,9.193,163.427,6,29.411,5.347,1.448,10.923,11.818,22.162,4.29,4.277,0.077,1
7.796,0.0,0.847,0.082,5,0,105.723,4.841,1,3.704,38.564,1,2,1.336,38.564,0.086,2.954,2.954,17.401,0.143,0.123,6.591,6.591,12.589,96.41,5.036,28.95,26.512,25.719,28.079,30.395,1.146,32.743,35.071,3.066,3.066,3.066,23.429,22.787,3,0.55,3.584,9.904,0.999,14.269,10.361,10.361,10.361,18.812,0.875,19.085,1.13,24.647,3.258,3.467,0.694,7.061,31.533,5,28.38,5.149,2.024,10.194,11.048,21.041,3.638,3.466,-0.053,1
5.444,0.0,0.843,0.082,5,0,97.742,5.133,1,3.791,32.22,1,2,1.226,32.22,0.072,3.245,3.245,18.417,0.163,0.122,7.053,7.053,19.733,99.98,5.272,38.709,27.711,27.026,29.44,31.838,1.285,34.249,36.655,3.286,3.286,3.286,24.643,23.864,3,0.538,3.784,10.678,0.928,15.154,11.338,11.338,11.338,19.871,1.297,20.036,1.197,25.786,3.638,3.545,0.614,10.758,80.17,5,29.639,5.361,2.376,10.55,11.408,22.218,3.912,3.892,0.12,1
8.262,0.0,0.915,0.079,13,0,166.688,5.053,0,3.843,0.0,0,1,1.161,0.0,0.104,3.053,3.053,18.401,0.138,0.119,6.752,6.752,19.029,106.94,5.164,41.239,27.111,26.478,28.875,31.236,1.05,33.629,36.007,3.164,3.164,3.164,24.151,23.389,7,0.866,5.066,11.615,0.997,14.925,10.997,10.997,10.997,19.485,1.426,19.697,1.071,25.247,4.511,3.662,0.354,12.441,127.414,4,28.98,5.357,1.018,11.018,11.89,21.738,5.529,5.495,-0.027,1
5.292,0.0,0.916,0.076,13,0,125.11,5.112,0,3.842,0.0,0,1,1.147,0.0,0.107,3.112,3.112,18.692,0.154,0.115,6.792,6.792,18.712,106.94,5.216,30.064,27.141,26.594,29.012,31.392,1.005,33.804,36.2,3.216,3.216,3.216,24.25,23.409,6,0.701,5.066,11.626,0.924,14.955,11.155,11.155,11.155,19.546,1.32,19.707,1.002,25.271,4.522,3.619,0.354,9.641,99.406,2,29.016,5.396,1.059,11.041,11.928,21.814,5.565,5.562,-0.025,1
7.208,0.0,0.915,0.079,13,0,166.688,5.053,0,3.843,0.0,0,1,1.161,0.0,0.104,3.053,3.053,18.401,0.138,0.119,6.752,6.752,19.029,106.94,5.164,41.239,27.111,26.478,28.875,31.236,1.05,33.629,36.007,3.164,3.164,3.164,24.151,23.389,7,0.866,5.066,11.615,0.997,14.925,10.997,10.997,10.997,19.485,1.426,19.697,1.071,25.247,4.511,3.662,0.354,12.441,127.414,4,28.98,5.357,1.018,11.018,11.89,21.738,5.529,5.495,-0.027,1
4.0,0.0,0.843,0.082,5,0,97.742,5.133,1,3.791,32.22,1,2,1.226,32.22,0.072,3.245,3.245,18.417,0.163,0.122,7.053,7.053,19.733,99.98,5.272,38.709,27.711,27.026,29.44,31.838,1.285,34.249,36.655,3.286,3.286,3.286,24.643,23.864,3,0.538,3.784,10.678,0.928,15.154,11.338,11.338,11.338,19.871,1.297,20.036,1.197,25.786,3.638,3.545,0.614,10.758,80.17,5,29.639,5.361,2.376,10.55,11.408,22.218,3.912,3.892,0.12,1
5.77,0.0,0.842,0.083,4,0,68.445,4.711,2,3.9,64.439,3,1,0.889,64.439,0.077,2.944,2.944,17.931,0.138,0.125,6.695,6.695,6.917,125.28,5.091,12.149,26.781,26.082,28.468,30.815,1.21,33.191,35.55,3.126,3.126,3.126,23.762,23.032,2,0.378,3.714,10.192,0.836,14.494,10.693,10.693,10.693,19.09,0.791,19.304,0.799,24.904,3.219,3.331,0.682,3.685,73.48,1,28.661,5.205,1.906,10.301,11.17,21.351,3.761,3.497,-0.007,1
4.432,0.0,0.842,0.083,4,0,68.445,4.711,2,3.9,64.439,3,1,0.889,64.439,0.077,2.944,2.944,17.931,0.138,0.125,6.695,6.695,6.917,125.28,5.091,12.149,26.781,26.082,28.468,30.815,1.21,33.191,35.55,3.126,3.126,3.126,23.762,23.032,2,0.378,3.714,10.192,0.836,14.494,10.693,10.693,10.693,19.09,0.791,19.304,0.799,24.904,3.219,3.331,0.682,3.685,73.48,1,28.661,5.205,1.906,10.301,11.17,21.351,3.761,3.497,-0.007,1
4.0,0.0,0.925,0.079,19,0,213.812,5.066,0,3.891,0.0,5,4,1.062,0.0,0.093,3.066,3.066,17.159,0.152,0.122,6.523,6.523,31.53,162.95,5.069,87.491,27.349,26.316,28.623,30.879,0.941,33.178,35.455,3.069,3.069,3.069,24.098,23.7,0,1.438,5.584,12.378,1.103,15.236,10.274,10.274,10.274,19.624,1.607,20.072,1.221,25.522,4.963,3.792,0.243,25.059,274.795,5,29.179,5.499,0.961,11.521,12.388,21.765,5.973,6.163,-0.02,0
4.625,0.0,0.935,0.089,17,0,143.781,4.913,0,3.85,0.0,4,0,1.162,0.0,0.094,2.913,2.913,15.454,0.185,0.13,6.164,6.164,14.391,112.57,4.919,38.624,26.397,24.926,27.131,29.271,0.875,31.462,33.623,2.919,2.919,2.919,22.826,22.84,3,0.662,5.22,11.682,0.954,14.379,9.094,9.094,9.094,18.564,1.512,19.3,1.098,24.617,4.277,3.819,0.306,13.606,173.911,0,28.181,5.152,0.694,10.916,11.751,20.585,5.685,5.433,-0.07,0
8.328,0.0,0.909,0.071,6,0,129.633,5.119,1,3.736,38.564,2,1,1.308,38.564,0.117,3.119,3.119,19.027,0.088,0.111,6.941,6.941,14.834,96.41,5.251,24.287,27.285,27.061,29.525,31.969,1.079,34.428,36.88,3.251,3.251,3.251,24.639,23.475,2,0.637,4.735,11.43,0.926,15.03,11.684,11.684,11.684,19.79,0.897,19.693,0.915,25.377,4.19,3.55,0.532,6.974,104.7,3,29.198,5.412,1.519,10.799,11.703,22.158,5.232,5.355,-0.061,1
6.921,0.0,0.857,0.079,13,0,124.202,4.975,1,3.764,38.564,1,2,1.042,38.564,0.104,2.975,2.975,17.54,0.175,0.117,6.606,6.606,26.464,114.87,5.095,31.651,26.645,25.853,28.214,30.529,0.961,32.88,35.211,3.095,3.095,3.095,23.571,22.948,1,0.986,4.648,11.308,1.009,14.484,10.447,10.447,10.447,18.978,1.067,19.281,0.779,24.793,3.912,3.512,0.682,9.257,98.035,0,28.503,5.22,1.935,10.571,11.443,21.185,5.124,5.252,0.015,1
4.959,0.0,0.915,0.075,12,0,129.035,5.195,0,3.852,0.0,2,1,1.013,0.0,0.105,3.195,3.195,19.366,0.161,0.114,7.022,7.022,24.407,83.91,5.316,44.769,27.57,27.365,29.848,32.312,1.054,34.793,37.268,3.316,3.316,3.316,24.928,23.773,4,0.635,5.139,11.708,1.022,15.317,11.985,11.985,11.985,20.064,1.424,20.01,1.17,25.668,4.564,3.691,0.346,15.489,82.457,2,29.479,5.48,1.193,11.198,12.094,22.435,5.6,5.607,0.037,1
8.319,0.0,0.908,0.075,10,0,144.071,5.194,0,3.85,0.0,2,0,1.103,0.0,0.106,3.194,3.194,19.364,0.143,0.112,7.022,7.022,22.791,94.91,5.316,37.069,27.55,27.355,29.84,32.306,1.007,34.788,37.264,3.316,3.316,3.316,24.916,23.751,6,0.689,5.109,11.695,1.012,15.291,11.985,11.985,11.985,20.045,1.391,19.987,1.17,25.647,4.511,3.68,0.346,12.423,82.785,2,29.46,5.477,0.904,11.159,12.056,22.42,5.585,5.588,0.021,1
7.523,0.0,0.877,0.091,9,0,72.731,4.854,1,3.723,38.564,2,2,1.253,38.564,0.102,2.854,2.854,16.603,0.172,0.131,6.458,6.458,11.228,96.41,4.992,19.031,26.161,25.304,27.626,29.912,0.999,32.222,34.517,2.992,2.992,2.992,23.039,22.462,2,0.373,4.292,10.721,0.977,13.987,9.987,9.987,9.987,18.479,0.821,18.784,0.775,24.309,3.178,3.491,0.674,5.388,33.842,0,28.016,5.077,2.0,10.051,10.89,20.69,4.72,4.482,-0.117,1
8.143,0.0,0.888,0.075,7,0,122.797,4.979,1,3.776,38.564,1,2,1.167,38.564,0.094,2.979,2.979,17.524,0.139,0.115,6.606,6.606,22.134,114.87,5.105,25.641,26.828,25.998,28.344,30.649,1.033,32.987,35.307,3.105,3.105,3.105,23.723,23.124,2,0.944,4.699,11.421,1.004,14.636,10.443,10.443,10.443,19.142,0.893,19.44,0.772,24.974,4.025,3.533,0.494,7.364,73.924,0,28.686,5.252,1.813,10.688,11.568,21.352,5.167,5.337,-0.039,1
7.032,0.0,0.862,0.08,13,0,106.602,4.956,1,3.737,38.564,2,2,1.099,38.564,0.111,2.956,2.956,17.831,0.189,0.121,6.67,6.67,19.426,114.87,5.114,27.996,26.717,26.127,28.513,30.866,1.024,33.244,35.609,3.114,3.114,3.114,23.799,22.984,2,0.814,4.629,11.363,1.039,14.538,10.735,10.735,10.735,19.124,1.072,19.278,0.774,24.847,3.829,3.509,0.677,7.425,84.134,0,28.591,5.256,1.966,10.509,11.38,21.392,5.113,5.185,-0.017,1
7.569,0.0,0.908,0.073,9,0,72.546,5.055,1,3.744,38.564,2,2,1.329,38.564,0.112,3.055,3.055,17.666,0.088,0.115,6.665,6.665,12.465,96.41,5.154,19.312,26.841,26.16,28.533,30.874,0.873,33.241,35.595,3.154,3.154,3.154,23.848,23.115,2,0.355,4.563,11.182,0.946,14.642,10.7,10.7,10.7,19.205,0.921,19.409,0.863,24.976,4.078,3.534,0.522,5.784,35.03,2,28.709,5.286,1.529,10.644,11.533,21.454,5.055,5.134,-0.092,1
6.268,0.0,0.958,0.067,9,0,72.367,5.196,1,3.781,38.564,2,2,1.132,38.564,0.116,3.196,3.196,18.425,0.077,0.105,6.826,6.826,12.465,112.2,5.275,23.47,27.39,26.977,29.396,31.79,0.986,34.204,36.609,3.275,3.275,3.275,24.605,23.616,1,0.423,5.234,12.359,0.965,15.17,11.342,11.342,11.342,19.85,1.014,19.862,1.03,25.501,4.585,3.623,0.419,6.757,48.697,2,29.283,5.591,1.406,11.085,12.008,22.167,5.758,6.108,-0.07,1
6.824,0.0,0.869,0.085,11,0,99.998,4.939,1,3.73,38.564,2,2,1.084,38.564,0.109,2.939,2.939,17.757,0.182,0.124,6.662,6.662,13.612,105.64,5.096,25.61,26.66,26.078,28.462,30.816,1.034,33.192,35.555,3.096,3.096,3.096,23.746,22.913,2,0.62,4.487,11.163,1.034,14.452,10.699,10.699,10.699,19.062,0.901,19.189,0.775,24.785,3.526,3.496,0.689,6.937,66.955,0,28.539,5.222,1.991,10.336,11.197,21.339,4.928,4.834,-0.061,1
7.377,0.0,0.908,0.083,13,0,110.084,4.956,1,3.803,38.564,1,2,1.156,38.564,0.096,2.956,2.956,17.401,0.159,0.123,6.592,6.592,20.729,105.64,5.069,30.573,26.615,25.762,28.113,30.421,1.025,32.764,35.088,3.069,3.069,3.069,23.488,22.927,3,0.659,4.92,11.425,1.091,14.45,10.364,10.364,10.364,18.916,0.937,19.271,1.025,24.768,3.989,3.731,0.427,9.636,52.161,0,28.468,5.162,1.642,10.648,11.504,21.114,5.435,5.427,-0.054,1
8.0,0.0,0.863,0.082,11,0,111.088,4.961,1,3.756,38.564,1,2,1.129,38.564,0.097,2.961,2.961,17.464,0.167,0.122,6.597,6.597,18.945,105.64,5.076,27.149,26.572,25.773,28.133,30.45,1.004,32.799,35.129,3.076,3.076,3.076,23.487,22.863,2,0.738,4.484,11.076,1.033,14.369,10.398,10.398,10.398,18.883,0.899,19.181,0.779,24.714,3.638,3.504,0.676,7.71,64.821,0,28.434,5.173,1.958,10.393,11.252,21.101,4.94,4.94,-0.021,1
4.959,0.0,0.886,0.072,7,0,104.077,5.191,0,3.665,0.0,3,1,1.08,0.0,0.103,3.191,3.191,19.327,0.156,0.11,7.021,7.021,19.324,83.91,5.314,26.455,27.46,27.332,29.822,32.292,1.057,34.777,37.255,3.314,3.314,3.314,24.883,23.636,4,0.56,4.761,11.403,1.018,15.181,11.982,11.982,11.982,19.984,1.221,19.843,0.983,25.545,4.277,3.493,0.464,8.394,69.853,2,29.381,5.469,2.189,10.942,11.849,22.378,5.229,5.348,0.094,1
8.0,0.0,0.889,0.077,11,0,120.138,4.975,1,3.774,38.564,1,4,1.144,38.564,0.101,2.975,2.975,17.522,0.128,0.116,6.606,6.606,23.879,114.87,5.102,27.337,26.822,25.99,28.337,30.641,1.08,32.979,35.3,3.102,3.102,3.102,23.716,23.119,2,0.936,4.708,11.412,1.046,14.633,10.442,10.442,10.442,19.136,0.889,19.436,0.939,24.969,4.078,3.538,0.486,7.663,74.437,0,28.68,5.308,1.767,10.696,11.572,21.344,5.215,5.362,-0.038,1
6.886,0.0,0.853,0.077,15,0,144.982,5.009,1,3.772,38.564,1,2,0.904,38.564,0.106,3.009,3.009,17.784,0.182,0.117,6.656,6.656,27.328,124.1,5.157,38.845,27.105,26.398,28.767,31.095,1.065,33.453,35.794,3.157,3.157,3.157,24.097,23.375,1,1.282,4.801,11.674,1.108,14.892,10.681,10.681,10.681,19.46,1.113,19.664,0.779,25.238,4.094,3.523,0.688,10.429,108.109,0,28.976,5.344,1.905,10.784,11.669,21.702,5.271,5.466,0.046,1
6.208,0.0,0.91,0.071,6,0,66.354,4.961,2,3.78,69.841,4,2,1.415,69.841,0.103,3.012,3.012,17.669,0.097,0.113,6.666,6.666,12.465,124.65,5.159,19.554,26.847,26.168,28.54,30.881,0.81,33.247,35.602,3.159,3.159,3.159,23.854,23.12,1,0.352,4.509,11.182,1.012,14.645,10.704,10.704,10.704,19.21,0.918,19.413,0.796,24.981,4.025,3.588,0.532,5.876,20.936,2,28.716,5.297,1.576,10.636,11.529,21.462,4.712,4.972,-0.074,1
7.456,0.0,0.851,0.086,5,0,111.982,4.951,1,3.702,38.564,1,2,1.275,38.564,0.097,2.951,2.951,17.39,0.132,0.125,6.591,6.591,12.589,96.41,5.062,32.242,26.51,25.716,28.076,30.392,1.005,32.74,35.068,3.062,3.062,3.062,23.426,22.785,3,0.57,3.611,9.905,1.053,14.268,10.359,10.359,10.359,18.81,1.041,19.084,0.904,24.645,3.332,3.483,0.684,8.158,45.043,6,28.378,5.179,1.967,10.212,11.061,21.039,3.784,3.526,-0.057,1
7.745,0.0,0.847,0.082,5,0,105.723,4.841,1,3.704,38.564,1,2,1.336,38.564,0.086,2.954,2.954,17.401,0.143,0.123,6.591,6.591,12.589,96.41,5.036,28.95,26.512,25.719,28.079,30.395,1.146,32.743,35.071,3.066,3.066,3.066,23.429,22.787,3,0.55,3.584,9.904,0.999,14.269,10.361,10.361,10.361,18.812,0.875,19.085,1.13,24.647,3.258,3.467,0.694,7.061,31.533,5,28.38,5.149,2.024,10.194,11.048,21.041,3.638,3.466,-0.053,1
7.886,0.0,0.908,0.073,7,0,76.061,5.113,1,3.731,38.564,2,1,1.359,38.564,0.117,3.113,3.113,18.998,0.088,0.113,6.938,6.938,13.185,96.41,5.244,23.448,27.266,27.046,29.51,31.953,1.058,34.413,36.864,3.244,3.244,3.244,24.622,23.449,2,0.374,4.653,11.271,0.951,14.996,11.673,11.673,11.673,19.769,0.903,19.657,0.933,25.355,4.06,3.526,0.541,6.933,36.936,3,29.181,5.394,1.529,10.713,11.611,22.141,5.124,5.169,-0.081,1
7.638,0.0,0.867,0.084,10,0,105.957,4.955,1,3.758,38.564,1,3,1.142,38.564,0.095,2.955,2.955,17.4,0.19,0.124,6.592,6.592,18.403,105.64,5.068,30.136,26.558,25.735,28.092,30.405,1.101,32.751,35.079,3.068,3.068,3.068,23.452,22.852,3,0.658,4.504,11.062,1.137,14.351,10.364,10.364,10.364,18.855,0.931,19.175,1.055,24.702,3.738,3.519,0.62,8.27,50.164,0,28.419,5.159,2.06,10.429,11.283,21.07,4.993,5.029,-0.016,1
6.046,0.0,0.898,0.07,7,0,101.764,5.145,1,3.758,38.564,1,1,1.327,38.564,0.111,3.145,3.145,19.177,0.081,0.109,6.986,6.986,14.546,96.41,5.272,29.519,27.405,27.197,29.675,32.129,1.019,34.601,37.065,3.272,3.272,3.272,24.766,23.587,3,0.493,4.672,11.321,1.077,15.117,11.83,11.83,11.83,19.897,0.904,19.794,0.933,25.493,4.159,3.526,0.542,8.864,45.007,3,29.321,5.414,1.519,10.809,11.711,22.273,5.154,5.224,-0.04,1
7.481,0.0,0.907,0.075,7,0,93.932,5.018,1,3.787,38.564,1,2,1.164,38.564,0.094,3.018,3.018,17.524,0.125,0.115,6.606,6.606,18.057,96.41,5.105,28.065,26.828,25.998,28.344,30.649,0.964,32.987,35.307,3.105,3.105,3.105,23.723,23.124,3,0.421,4.699,11.421,0.99,14.636,10.443,10.443,10.443,19.142,1.002,19.44,1.141,24.974,4.025,3.552,0.494,8.903,65.719,3,28.686,5.252,1.813,10.688,11.568,21.352,5.167,5.337,-0.026,1
5.319,0.0,0.816,0.083,3,0,99.222,4.946,0,3.644,0.0,2,1,0.918,0.0,0.074,3.023,3.023,17.949,0.135,0.121,6.696,6.696,16.366,94.91,5.103,18.347,26.874,26.107,28.489,30.831,1.204,33.204,35.561,3.128,3.128,3.128,23.795,23.145,2,0.498,3.738,10.313,0.803,14.583,10.696,10.696,10.696,19.146,0.815,19.439,0.987,25.007,3.367,3.369,0.653,4.776,73.29,3,28.745,5.218,2.04,10.423,11.286,21.391,3.829,3.689,0.097,1
7.799,0.0,0.87,0.083,8,0,162.71,4.954,1,3.757,38.564,1,2,1.248,38.564,0.096,2.954,2.954,17.397,0.156,0.122,6.592,6.592,13.251,96.41,5.067,24.802,26.533,25.724,28.083,30.399,1.038,32.746,35.075,3.067,3.067,3.067,23.437,22.82,3,0.813,4.405,11.024,0.913,14.309,10.363,10.363,10.363,18.83,0.853,19.135,0.772,24.674,3.526,3.506,0.674,6.809,104.29,0,28.397,5.155,1.928,10.32,11.175,21.051,4.891,4.825,-0.04,1
7.357,0.0,0.873,0.072,5,0,125.173,5.191,0,3.65,0.0,3,0,1.142,0.0,0.111,3.191,3.191,19.327,0.128,0.106,7.021,7.021,17.708,94.91,5.314,23.092,27.455,27.331,29.821,32.292,1.025,34.777,37.255,3.314,3.314,3.314,24.882,23.627,4,0.654,4.726,11.389,1.066,15.171,11.982,11.982,11.982,19.98,0.956,19.829,0.981,25.538,4.234,3.472,0.495,6.904,73.882,2,29.377,5.455,1.885,10.907,11.818,22.376,5.218,5.334,0.081,1
5.721,0.0,0.873,0.076,7,0,136.307,5.096,1,3.763,38.564,1,2,1.36,38.564,0.1,3.096,3.096,18.692,0.132,0.118,6.871,6.871,11.965,96.41,5.2,30.706,27.159,26.755,29.195,31.607,1.24,34.04,36.462,3.2,3.2,3.2,24.366,23.364,5,0.643,4.573,11.48,0.901,14.862,11.362,11.362,11.362,19.574,1.012,19.593,0.791,25.259,3.714,3.5,0.713,9.14,63.423,0,29.064,5.348,1.885,10.554,11.437,21.906,5.0,4.986,0.05,1
6.268,0.0,0.878,0.093,11,0,73.214,4.743,1,3.748,38.564,2,3,0.959,38.564,0.092,2.743,2.743,14.942,0.188,0.137,6.08,6.08,11.404,96.41,4.853,18.698,25.429,24.001,26.206,28.349,0.906,30.538,32.7,2.853,2.853,2.853,21.896,21.876,2,0.363,4.199,10.59,1.01,13.444,8.838,8.838,8.838,17.629,0.821,18.346,0.844,23.65,3.219,3.545,0.633,5.817,48.248,0,27.212,4.923,2.179,9.971,10.794,19.654,4.61,4.315,-0.12,1
7.509,71.885,0.853,0.087,5,1,116.947,4.864,1,3.701,38.564,1,2,1.235,38.564,0.096,2.949,2.949,17.392,0.122,0.126,6.59,6.59,12.589,96.41,5.036,35.596,26.509,25.716,28.075,30.392,0.868,32.739,35.067,3.061,3.061,3.061,23.426,22.785,3,0.604,3.638,9.903,1.099,14.268,10.358,10.358,10.358,18.809,0.881,19.084,1.151,24.645,3.555,3.498,0.681,9.256,56.956,7,28.377,5.152,1.913,10.23,11.076,21.038,3.807,3.714,-0.062,1
6.523,0.0,0.871,0.07,5,0,134.649,5.193,0,3.642,0.0,3,0,1.192,0.0,0.111,3.193,3.193,19.349,0.111,0.107,7.022,7.022,15.397,94.91,5.315,20.855,27.459,27.334,29.824,32.294,1.091,34.78,37.258,3.315,3.315,3.315,24.885,23.632,4,0.714,4.735,11.391,1.131,15.179,11.984,11.984,11.984,19.986,0.951,19.833,0.965,25.542,4.205,3.459,0.518,5.797,136.661,2,29.381,5.445,1.718,10.902,11.816,22.38,5.218,5.31,0.093,1
6.585,0.0,0.88,0.073,5,0,95.729,5.163,0,3.61,0.0,4,0,1.095,0.0,0.105,3.163,3.163,19.064,0.139,0.109,6.979,6.979,15.512,94.91,5.291,16.348,27.32,27.194,29.673,32.135,1.072,34.609,37.077,3.291,3.291,3.291,24.75,23.492,3,0.486,4.699,11.341,0.939,15.051,11.843,11.843,11.843,19.858,0.934,19.693,0.981,25.403,4.143,3.472,0.485,5.177,72.762,2,29.242,5.437,1.913,10.806,11.714,22.255,5.174,5.284,0.041,1
