pXC50,HVcpx,AECC,IDE,MSD,SpMin3_Bh.e.,SpMin3_Bh.i.,SpMin3_Bh.p.,SpMin3_Bh.v.,ATS5s,IAC,TIC0,CATS2D_02_LL,SpMin3_Bh.m.,ATSC5p,Eig04_AEA.dm.,ATS1e,ATS1i,SpMax8_Bh.p.,SpMax8_Bh.v.,SpMaxA_AEA.dm.,SpMax8_Bh.m.,TIC3,TIC4,TIC5,ATSC5v,SpMin2_Bh.i.,ATS8m,ATS6s,Eig10_EA.bo.,Eig10_EA.ri.,SpMaxA_AEA.ri.,SpMaxA_EA,ATSC6v,CATS2D_04_LL,ECC,GGI10,SpMax3_Bh.i.,SpMax3_Bh.p.,SpMax3_Bh.v.,Se,Eig10_AEA.bo.,RDCHI,GGI9,MDDD,SAtot,AMR,ATSC6i,ISIZ,nAT,nBT,Sp,SpMax8_Bh.e.,SpMax8_Bh.i.,SpMin8_Bh.e.,SpMin8_Bh.i.,SpMin8_Bh.m.,SpMin8_Bh.p.,SpMin8_Bh.v.,Sv,VvdwMG,VvdwZAZ,Vx,X0v,ATS4m
5.06,3.704,13.548,3.85,7.604,1.83,1.786,1.956,1.96,6.142,91.469,91.469,10,1.965,13.634,2.889,4.137,4.25,2.876,2.868,0.109,2.866,274.475,282.475,288.475,18.836,1.884,3.831,6.261,1.5,1.0,0.119,0.091,20.253,7,420.0,0.206,3.891,3.726,3.728,57.698,2.5,4.227,0.285,34.843,549.707,113.611,1.832,332.475,57,60,37.148,3.05,3.112,1.024,0.972,1.254,1.256,1.259,35.802,215.968,391.91,518.721,17.215,4.097
4.886,3.764,14.188,3.909,7.884,1.831,1.787,1.959,1.963,6.18,94.797,94.797,10,1.969,14.777,2.888,4.2,4.312,2.883,2.879,0.106,2.88,311.02,315.02,315.02,20.878,1.888,3.874,6.209,1.5,1.0,0.116,0.089,21.509,7,454.0,0.235,3.89,3.726,3.729,61.396,2.5,4.317,0.295,37.711,588.066,119.858,1.867,361.775,61,64,39.426,3.111,3.206,1.096,1.02,1.347,1.376,1.383,37.66,228.358,411.93,548.953,18.245,4.136
7.203,3.648,12.933,3.794,7.356,1.832,1.786,1.955,1.964,6.123,87.299,87.299,12,1.977,13.634,2.888,4.129,4.245,2.876,2.868,0.113,2.866,283.72,290.475,290.475,18.983,1.887,3.752,6.135,1.5,1.0,0.123,0.094,20.289,7,388.0,0.173,3.887,3.726,3.727,57.185,2.5,4.166,0.209,32.32,546.874,113.395,1.796,332.475,57,60,37.211,3.05,3.111,1.025,0.972,1.26,1.256,1.26,35.419,214.769,385.84,515.797,16.914,4.068
6.092,3.648,12.933,3.794,7.356,1.81,1.767,1.946,1.947,6.108,89.449,89.449,7,1.942,13.238,2.888,4.119,4.236,2.876,2.868,0.113,2.866,288.457,291.212,291.212,18.584,1.842,3.76,6.143,1.5,1.0,0.123,0.094,19.499,7,388.0,0.173,3.878,3.709,3.712,56.403,2.5,4.166,0.209,32.32,541.554,111.238,1.764,325.212,56,59,36.455,3.05,3.111,1.024,0.972,1.258,1.256,1.259,34.913,211.971,379.54,508.97,16.784,4.072
6.91,3.585,12.31,3.746,7.142,1.721,1.673,1.886,1.898,6.065,89.805,89.805,8,1.914,14.597,2.888,4.084,4.193,2.873,2.867,0.116,2.866,276.764,276.764,276.764,18.614,1.808,3.778,6.084,1.319,1.0,0.127,0.097,19.482,6,357.0,0.162,3.852,3.73,3.722,54.378,2.419,4.085,0.192,30.176,532.002,112.229,1.754,310.764,54,57,36.097,3.049,3.11,1.04,0.981,1.267,1.26,1.278,34.079,209.643,372.39,503.289,16.984,4.096
5.924,3.646,12.933,3.795,7.355,1.721,1.674,1.886,1.898,6.102,93.296,93.296,10,1.915,15.049,2.888,4.132,4.243,2.877,2.868,0.113,2.866,293.72,293.72,293.72,19.435,1.808,3.84,6.145,1.319,1.0,0.123,0.094,19.703,6,388.0,0.17,3.87,3.732,3.729,57.261,2.419,4.141,0.232,32.244,558.079,117.07,1.821,332.475,57,60,37.858,3.051,3.121,1.05,0.985,1.323,1.299,1.318,35.606,219.235,389.69,526.694,17.907,4.121
7.943,3.588,12.433,3.772,7.282,1.727,1.682,1.888,1.899,6.134,93.296,93.296,9,1.915,14.997,2.888,4.132,4.243,2.898,2.867,0.113,2.88,293.72,293.72,293.72,19.278,1.81,3.86,6.115,1.5,1.0,0.124,0.095,20.295,6,373.0,0.174,3.873,3.732,3.729,57.261,2.5,4.123,0.202,31.582,558.079,117.27,1.839,332.475,57,60,37.858,3.05,3.115,1.068,1.001,1.344,1.285,1.337,35.606,219.235,389.69,526.694,17.907,4.154
6.633,3.768,14.25,3.913,7.909,1.831,1.788,1.959,1.962,6.18,94.797,94.797,10,1.968,14.777,2.888,4.2,4.312,2.941,2.91,0.106,2.866,311.02,315.02,315.02,20.878,1.884,3.875,6.215,1.5,1.0,0.116,0.089,21.525,7,456.0,0.219,3.89,3.726,3.729,61.396,2.5,4.318,0.295,37.418,588.066,119.858,1.877,361.775,61,64,39.426,3.111,3.206,1.153,1.064,1.35,1.376,1.408,37.66,228.358,411.93,548.953,18.245,4.136
5.52,3.825,14.879,3.969,8.184,1.832,1.789,1.962,1.965,6.216,95.633,95.633,10,1.972,15.902,2.829,4.258,4.371,2.941,2.91,0.103,2.957,315.944,323.944,329.944,22.846,1.888,3.917,6.162,1.5,1.0,0.113,0.086,22.724,7,491.0,0.247,3.889,3.726,3.729,65.094,2.5,4.407,0.305,40.474,626.424,126.105,1.911,391.454,65,68,41.705,3.148,3.219,1.153,1.064,1.491,1.389,1.429,39.519,240.748,431.95,579.186,19.275,4.173
7.812,3.713,13.613,3.861,7.664,1.833,1.789,1.958,1.967,6.162,88.472,88.472,12,1.98,14.779,2.828,4.192,4.308,2.941,2.91,0.109,2.866,308.265,315.02,315.02,20.996,1.888,3.8,6.083,1.5,1.0,0.119,0.091,21.543,7,422.0,0.185,3.886,3.726,3.728,60.883,2.5,4.257,0.219,34.645,585.232,119.642,1.839,361.775,61,64,39.489,3.111,3.206,1.153,1.064,1.362,1.376,1.414,37.277,227.16,405.86,546.03,17.944,4.108
6.951,3.713,13.613,3.861,7.664,1.811,1.769,1.949,1.949,6.147,90.738,90.738,7,1.945,14.373,2.828,4.183,4.299,2.941,2.91,0.109,2.866,312.904,315.659,315.659,20.602,1.843,3.808,6.092,1.5,1.0,0.119,0.091,20.764,7,422.0,0.185,3.878,3.709,3.712,60.101,2.5,4.257,0.219,34.645,579.913,117.485,1.811,354.413,60,63,38.733,3.111,3.206,1.153,1.064,1.355,1.376,1.406,36.772,224.362,399.56,539.203,17.814,4.112
7.721,3.655,13.033,3.816,7.452,1.723,1.676,1.891,1.902,6.106,91.115,91.115,8,1.918,15.76,2.828,4.15,4.258,2.941,2.91,0.113,2.866,301.008,301.008,301.008,20.664,1.81,3.825,6.03,1.337,1.0,0.123,0.094,20.769,6,391.0,0.174,3.852,3.73,3.722,58.076,2.432,4.177,0.202,32.356,570.361,118.476,1.798,339.763,58,61,38.375,3.111,3.206,1.153,1.064,1.379,1.376,1.429,35.937,222.033,392.41,533.522,18.014,4.135
6.848,3.711,13.613,3.862,7.663,1.723,1.676,1.891,1.902,6.141,94.529,94.529,10,1.918,16.204,2.828,4.194,4.306,2.941,2.91,0.109,2.866,318.265,318.265,318.265,21.443,1.81,3.884,6.094,1.337,1.0,0.119,0.091,21.006,6,422.0,0.182,3.87,3.733,3.73,60.96,2.432,4.233,0.242,34.574,596.437,123.317,1.866,361.775,61,64,40.137,3.111,3.206,1.153,1.064,1.49,1.376,1.429,37.464,231.626,409.71,556.927,18.937,4.159
7.991,3.657,13.161,3.841,7.593,1.728,1.684,1.893,1.903,6.172,94.529,94.529,9,1.919,16.145,2.828,4.194,4.306,2.941,2.91,0.11,2.977,318.265,318.265,318.265,21.313,1.812,3.903,6.062,1.5,1.0,0.12,0.092,21.61,6,408.0,0.186,3.873,3.732,3.729,60.96,2.5,4.215,0.212,33.902,596.437,123.517,1.878,361.775,61,64,40.137,3.111,3.206,1.153,1.064,1.382,1.376,1.429,37.464,231.626,409.71,556.927,18.937,4.19
5.886,3.652,13.034,3.827,7.502,1.72,1.672,1.887,1.897,6.142,89.805,89.805,8,1.911,15.237,2.888,4.084,4.193,2.913,2.91,0.116,2.866,276.764,276.764,276.764,19.159,1.809,3.694,6.003,1.347,1.0,0.126,0.097,19.879,8,378.0,0.139,3.856,3.733,3.725,54.378,2.418,4.124,0.143,33.158,532.002,112.229,1.726,310.764,54,57,36.097,3.111,3.155,1.145,1.064,1.279,1.357,1.364,34.079,209.643,372.39,503.289,16.984,4.093
5.695,3.656,13.167,3.855,7.664,1.726,1.682,1.889,1.899,6.206,93.296,93.296,9,1.912,15.639,2.888,4.132,4.243,2.925,2.91,0.113,2.938,293.72,293.72,293.72,19.815,1.811,3.74,6.033,1.5,1.0,0.123,0.095,20.629,8,395.0,0.147,3.876,3.734,3.731,57.261,2.5,4.163,0.183,34.747,558.079,117.27,1.81,332.475,57,60,37.858,3.111,3.171,1.145,1.064,1.357,1.36,1.386,35.606,219.235,389.69,526.694,17.907,4.15
6.686,3.714,13.7,3.892,7.809,1.721,1.675,1.892,1.901,6.179,91.115,91.115,8,1.914,16.403,2.828,4.15,4.258,2.941,2.91,0.113,2.906,301.008,301.008,301.008,21.194,1.811,3.745,5.944,1.359,1.0,0.123,0.094,21.056,8,411.0,0.151,3.856,3.733,3.725,58.076,2.428,4.216,0.153,35.444,570.361,118.476,1.779,339.763,58,61,38.375,3.111,3.206,1.145,1.064,1.406,1.376,1.427,35.937,222.033,392.41,533.522,18.014,4.132
5.87,3.773,14.355,3.94,8.043,1.721,1.675,1.892,1.901,6.212,94.529,94.529,10,1.914,16.848,2.828,4.194,4.306,2.941,2.91,0.109,2.921,318.265,318.265,318.265,21.966,1.811,3.812,6.014,1.363,1.0,0.119,0.091,21.241,8,445.0,0.184,3.873,3.735,3.732,60.96,2.428,4.274,0.193,37.925,596.437,123.317,1.845,361.775,61,64,40.137,3.111,3.206,1.145,1.064,1.477,1.376,1.427,37.464,231.626,409.71,556.927,18.937,4.156
7.0,3.295,10.0,3.424,5.806,1.715,1.665,1.858,1.873,5.725,57.803,57.803,21,1.893,12.896,2.352,3.908,4.027,2.735,2.715,0.13,2.687,220.474,230.084,234.084,18.112,1.92,3.08,5.52,1.043,0.983,0.157,0.12,15.144,9,230.0,0.049,3.774,3.604,3.601,45.149,2.083,3.635,0.111,19.198,424.092,95.778,1.304,254.084,46,49,30.836,2.854,2.925,0.886,0.821,1.181,1.062,1.107,28.531,172.935,301.93,413.721,13.358,3.71
7.0,3.079,8.6,3.219,5.193,1.646,1.576,1.835,1.856,5.621,60.386,60.386,7,1.879,11.546,2.218,3.893,4.036,2.715,2.702,0.15,2.697,215.329,221.329,221.329,17.174,1.822,2.88,5.459,0.0,0.0,0.181,0.138,15.204,1,172.0,0.041,3.724,3.489,3.486,45.134,1.153,3.282,0.06,14.4,414.443,83.953,1.195,254.084,46,48,28.603,2.87,2.95,0.869,0.801,1.153,1.102,1.122,26.079,160.463,277.55,383.289,12.463,3.581
6.398,3.27,9.952,3.41,5.728,1.684,1.625,1.854,1.874,5.638,63.456,63.456,11,1.895,12.155,2.378,3.95,4.096,2.735,2.715,0.142,2.687,230.366,234.366,234.366,17.904,1.819,3.017,5.397,0.556,0.471,0.173,0.131,14.8,6,209.0,0.078,3.746,3.55,3.54,48.018,1.641,3.417,0.088,17.32,441.529,89.342,1.162,275.121,49,51,30.364,2.855,2.942,0.886,0.821,1.2,1.114,1.147,27.606,170.055,294.85,406.694,13.093,3.59
7.301,3.412,10.889,3.572,6.41,1.723,1.67,1.875,1.887,6.013,75.327,75.327,18,1.907,15.647,2.94,4.082,4.209,2.845,2.837,0.118,2.844,272.465,281.22,281.22,22.376,1.921,3.549,5.95,1.483,1.0,0.138,0.106,20.307,11,294.0,0.107,3.789,3.603,3.601,54.345,2.486,3.886,0.187,25.693,511.015,108.164,1.754,317.975,55,58,35.819,2.991,3.066,0.994,0.926,1.274,1.198,1.23,33.321,202.91,356.32,486.86,15.896,3.976
6.097,3.229,9.35,3.383,5.692,1.622,1.569,1.81,1.829,5.621,59.55,59.55,11,1.872,10.182,2.418,3.85,3.983,2.726,2.705,0.174,2.683,202.869,205.624,205.624,15.032,1.709,2.776,5.491,0.0,0.0,0.184,0.137,13.848,6,187.0,0.074,3.688,3.48,3.475,44.36,1.114,3.291,0.084,17.1,422.876,81.159,1.135,247.133,45,46,28.052,2.854,2.925,0.886,0.821,1.181,1.062,1.107,25.773,162.131,285.06,387.359,12.548,3.492
5.523,3.487,11.444,3.634,6.655,1.855,1.81,1.963,1.981,5.921,72.291,72.291,19,2.009,14.324,2.457,4.091,4.212,2.873,2.858,0.123,2.847,263.702,279.212,281.212,19.914,1.88,3.591,5.827,1.5,1.0,0.133,0.102,19.945,8,309.0,0.119,3.891,3.747,3.74,55.127,2.5,4.011,0.104,26.414,508.375,108.472,1.703,325.212,56,59,36.574,3.037,3.102,1.027,0.973,1.245,1.247,1.25,33.826,205.708,362.62,493.688,15.926,3.902
4.097,3.05,8.786,3.191,5.099,1.765,1.744,1.904,1.895,6.204,79.551,79.551,13,1.885,18.993,2.932,4.165,4.272,2.892,2.881,0.124,2.891,309.72,313.72,313.72,26.624,1.807,3.516,6.166,1.414,1.269,0.147,0.117,24.656,11,246.0,0.054,3.739,3.623,3.62,56.781,2.414,3.717,0.132,21.735,511.269,106.979,2.055,332.475,57,62,36.483,3.088,3.167,1.092,1.019,1.401,1.32,1.354,34.256,198.104,357.0,475.133,16.381,4.364
6.222,3.395,10.72,3.527,6.195,1.785,1.739,1.909,1.926,5.922,65.841,65.841,22,1.954,15.888,2.266,4.051,4.18,2.749,2.737,0.121,2.744,243.254,252.764,260.764,22.552,1.917,3.304,5.775,1.414,1.0,0.147,0.113,21.087,13,268.0,0.07,3.831,3.678,3.673,52.8,2.414,3.804,0.144,22.816,493.416,103.715,1.762,310.764,54,57,35.12,2.911,2.984,0.915,0.847,1.228,1.142,1.174,32.111,195.047,339.17,467.674,14.927,3.865
6.0,3.173,9.348,3.331,5.577,1.747,1.692,1.903,1.921,5.869,70.168,70.168,5,1.949,11.528,2.343,3.972,4.102,2.774,2.766,0.13,2.775,234.078,240.078,240.078,17.029,1.836,3.164,5.662,1.0,0.983,0.161,0.125,15.976,4,215.0,0.049,3.773,3.591,3.58,47.68,2.0,3.558,0.127,17.656,439.523,88.859,1.285,268.078,48,51,30.302,2.916,2.987,0.945,0.888,1.17,1.155,1.163,28.289,170.525,288.74,407.841,13.434,3.826
5.523,2.864,7.118,2.928,4.324,1.567,1.504,1.744,1.772,5.2,48.579,48.579,12,1.815,7.847,1.704,3.711,3.845,2.353,2.34,0.177,2.359,177.421,185.421,187.421,11.484,1.804,2.208,5.114,-0.512,-0.458,0.214,0.162,10.224,5,121.0,0.0,3.517,3.33,3.316,37.265,0.645,3.027,0.0,9.204,343.828,69.261,0.819,199.421,38,40,24.074,2.549,2.626,0.389,0.269,0.837,0.826,0.829,22.004,134.484,231.95,319.9,10.231,3.243
7.0,3.365,10.565,3.497,6.046,1.673,1.61,1.848,1.866,5.753,70.076,70.076,5,1.893,12.1,2.356,4.014,4.16,2.735,2.715,0.132,2.699,252.913,255.668,255.668,18.875,1.795,3.239,5.679,1.0,0.96,0.159,0.122,16.972,1,243.0,0.058,3.749,3.534,3.529,51.12,2.0,3.604,0.107,21.316,476.837,97.921,1.408,296.423,52,54,32.37,2.873,2.958,0.886,0.821,1.201,1.13,1.162,29.627,183.514,320.51,439.535,14.142,3.723
7.0,3.283,9.909,3.409,5.736,1.641,1.573,1.832,1.847,5.727,65.156,65.156,4,1.863,11.37,2.378,3.924,4.065,2.735,2.715,0.138,2.698,222.311,225.066,225.066,17.405,1.789,3.058,5.64,1.0,0.96,0.166,0.127,15.111,1,218.0,0.045,3.73,3.491,3.493,46.352,2.0,3.493,0.097,18.975,442.327,90.665,1.269,261.066,47,49,29.847,2.872,2.952,0.886,0.821,1.181,1.106,1.124,27.574,170.995,300.57,408.987,13.065,3.679
5.699,3.476,11.481,3.634,6.614,1.724,1.671,1.876,1.888,6.033,75.327,75.327,18,1.907,15.606,2.947,4.082,4.209,2.844,2.836,0.118,2.846,272.465,281.22,281.22,22.384,1.921,3.421,5.958,1.483,1.0,0.138,0.106,20.352,11,310.0,0.111,3.79,3.604,3.602,54.345,2.486,3.904,0.177,27.514,511.015,108.164,1.731,317.975,55,58,35.819,2.991,3.067,0.994,0.926,1.273,1.202,1.231,33.321,202.91,356.32,486.86,15.896,3.976
4.699,2.596,5.813,2.667,3.783,1.556,1.487,1.756,1.776,5.3,50.26,50.26,8,1.795,8.799,2.132,3.776,3.922,2.069,2.017,0.181,2.028,161.66,165.66,165.66,12.912,1.824,0.977,5.187,-0.375,-0.352,0.222,0.169,11.616,2,93.0,0.0,3.382,3.127,3.104,40.032,0.625,2.862,0.0,7.375,352.802,66.247,0.89,219.66,41,43,24.597,2.346,2.496,0.626,0.512,1.063,0.942,0.986,22.058,133.674,233.47,317.924,10.275,3.239
6.0,3.663,13.357,3.869,7.874,1.818,1.766,1.966,1.995,6.076,89.981,89.981,12,2.043,18.301,2.53,4.326,4.475,2.945,2.93,0.104,2.942,293.215,312.235,312.235,27.366,1.847,3.366,5.887,1.129,1.107,0.127,0.097,24.832,8,374.0,0.083,3.858,3.692,3.677,70.414,2.129,4.176,0.171,31.429,629.908,116.303,1.897,444.235,72,75,42.91,3.144,3.222,1.153,1.07,1.494,1.389,1.428,38.535,232.994,413.9,560.266,17.981,3.95
6.301,3.159,9.143,3.295,5.341,1.666,1.615,1.818,1.84,5.672,65.607,65.607,11,1.858,11.997,2.395,3.884,4.006,2.735,2.715,0.165,2.687,207.133,211.133,211.133,17.164,1.817,3.097,5.545,0.096,0.085,0.192,0.15,14.759,7,192.0,0.078,3.723,3.547,3.537,44.683,1.183,3.312,0.072,16.0,450.614,85.394,1.104,247.133,45,47,28.909,2.854,2.925,0.886,0.821,1.169,1.062,1.107,26.6,165.998,290.55,396.794,13.096,3.699
7.0,3.348,10.545,3.481,5.964,1.653,1.585,1.843,1.858,5.779,66.925,66.925,4,1.873,12.368,2.28,3.961,4.106,2.735,2.715,0.138,2.69,234.366,237.121,237.121,18.53,1.793,3.1,5.628,1.0,0.965,0.166,0.127,15.589,1,232.0,0.074,3.743,3.502,3.504,48.236,2.0,3.517,0.107,20.066,450.761,92.248,1.268,275.121,49,51,30.608,2.863,2.948,0.886,0.821,1.181,1.104,1.126,28.101,173.922,303.21,416.13,13.272,3.681
7.0,3.373,10.696,3.538,6.214,1.686,1.626,1.857,1.875,5.816,70.076,70.076,5,1.9,13.094,2.451,4.014,4.16,2.735,2.715,0.132,2.713,250.913,253.668,253.668,19.5,1.798,3.193,5.729,1.0,0.965,0.159,0.122,17.577,1,246.0,0.086,3.761,3.553,3.548,51.12,2.0,3.583,0.117,22.423,476.837,96.53,1.413,296.423,52,54,32.37,2.889,2.981,0.886,0.821,1.256,1.149,1.189,29.627,183.514,320.51,439.535,14.194,3.735
6.523,3.063,8.45,3.193,5.04,1.676,1.613,1.843,1.866,5.652,60.386,60.386,6,1.899,11.923,2.084,3.893,4.036,2.711,2.7,0.152,2.687,220.574,227.329,227.329,17.68,1.816,2.784,5.543,0.0,0.0,0.183,0.14,16.195,2,169.0,0.029,3.739,3.532,3.526,45.134,1.082,3.264,0.041,14.31,418.628,83.33,1.279,254.084,46,48,28.603,2.854,2.925,0.871,0.797,1.181,1.062,1.107,26.079,160.463,277.55,383.289,12.41,3.606
6.523,3.296,10.091,3.467,5.98,1.693,1.633,1.869,1.888,5.71,66.506,66.506,11,1.908,13.112,2.395,4.005,4.15,2.735,2.715,0.136,2.687,238.913,242.913,242.913,19.285,1.821,3.14,5.443,1.0,0.971,0.166,0.126,15.697,6,222.0,0.095,3.759,3.558,3.549,50.901,2.0,3.477,0.104,19.174,470.353,93.576,1.23,296.423,52,54,32.126,2.874,3.009,0.934,0.821,1.417,1.239,1.308,29.133,179.647,312.15,430.1,14.04,3.658
7.0,3.283,9.909,3.409,5.736,1.651,1.582,1.839,1.856,5.726,66.925,66.925,4,1.872,11.688,2.352,3.961,4.106,2.735,2.715,0.138,2.699,234.366,237.121,237.121,18.104,1.792,3.081,5.646,1.0,0.96,0.166,0.127,16.005,1,218.0,0.045,3.738,3.499,3.499,48.236,2.0,3.493,0.097,18.975,450.761,92.248,1.314,275.121,49,51,30.608,2.873,2.953,0.886,0.821,1.181,1.106,1.124,28.101,173.922,303.21,416.13,13.272,3.686
5.301,2.848,7.0,2.907,4.232,1.454,1.386,1.643,1.665,5.358,48.579,48.579,10,1.697,8.858,1.911,3.711,3.844,2.376,2.362,0.175,2.379,175.421,183.421,185.421,12.908,1.793,2.162,5.097,-0.581,-0.511,0.211,0.161,10.809,3,119.0,0.0,3.528,3.301,3.294,37.265,0.691,2.998,0.0,9.502,342.39,70.285,0.839,199.421,38,40,24.074,2.598,2.691,0.597,0.503,0.973,0.872,0.906,22.004,134.484,231.95,319.9,10.308,3.346
6.523,3.082,8.526,3.206,5.092,1.641,1.572,1.825,1.846,5.518,57.29,57.29,6,1.871,10.157,1.937,3.833,3.974,2.71,2.699,0.156,2.687,190.574,197.329,197.329,15.206,1.816,2.751,5.324,-0.078,-0.072,0.188,0.143,12.953,0,162.0,0.029,3.716,3.486,3.483,42.251,0.973,3.249,0.041,13.839,388.366,78.912,1.031,233.329,43,45,26.841,2.854,2.925,0.865,0.797,1.146,1.062,1.107,24.552,150.87,260.25,359.884,11.54,3.471
7.328,3.485,11.519,3.65,6.741,1.809,1.762,1.929,1.946,5.832,80.506,80.506,10,1.956,15.093,2.667,4.088,4.219,2.875,2.793,0.111,2.866,272.365,281.975,281.975,21.195,1.877,4.03,5.808,1.5,1.0,0.133,0.102,20.456,2,311.0,0.107,3.864,3.7,3.702,54.349,2.5,3.987,0.129,27.278,527.388,115.32,1.699,317.975,55,58,36.722,2.88,2.961,0.886,0.831,1.181,1.114,1.142,33.653,210.957,363.15,506.495,17.261,4.134
6.699,3.744,14.172,3.959,8.366,1.821,1.768,1.969,1.998,6.105,92.981,92.981,13,2.046,18.945,2.554,4.364,4.513,2.945,2.932,0.101,2.951,306.923,333.161,333.161,28.294,1.853,3.461,5.911,1.145,1.123,0.123,0.094,25.444,9,411.0,0.14,3.859,3.693,3.678,73.297,2.145,4.301,0.154,33.774,655.985,120.904,1.939,467.161,75,78,44.671,3.151,3.223,1.153,1.071,1.508,1.399,1.429,40.062,242.587,431.2,583.671,18.688,3.976
7.222,3.295,10.0,3.424,5.806,1.723,1.666,1.877,1.896,5.835,64.945,64.945,21,1.92,14.997,2.308,4.048,4.186,2.749,2.739,0.127,2.762,254.009,260.764,266.764,21.894,1.908,3.135,5.662,1.0,0.983,0.157,0.12,18.235,9,230.0,0.049,3.784,3.593,3.587,52.683,2.0,3.635,0.111,19.198,473.995,95.645,1.513,310.764,54,57,33.881,2.958,3.033,0.946,0.87,1.312,1.221,1.25,30.638,184.644,323.39,442.292,14.239,3.763
7.0,3.365,10.565,3.497,6.046,1.65,1.584,1.835,1.852,5.715,73.096,73.096,5,1.865,14.687,2.359,3.962,4.101,2.735,2.715,0.132,2.812,236.366,239.121,239.121,19.136,1.792,4.053,5.651,1.0,0.96,0.159,0.122,17.984,1,243.0,0.058,3.736,3.703,3.518,48.305,2.0,3.604,0.107,21.316,487.955,104.653,1.451,275.121,49,51,33.268,2.873,2.952,0.886,0.821,1.181,1.106,1.124,29.417,191.507,328.49,459.037,15.677,3.987
6.0,3.194,9.238,3.322,5.468,1.642,1.57,1.838,1.855,5.684,65.454,65.454,4,1.873,11.324,2.338,3.942,4.089,2.726,2.715,0.144,2.698,224.568,227.323,227.323,17.755,1.788,2.954,5.573,0.577,0.55,0.173,0.132,14.814,1,194.0,0.045,3.732,3.482,3.483,47.236,1.577,3.388,0.081,16.68,434.343,87.833,1.206,268.078,48,50,29.608,2.872,2.951,0.886,0.821,1.181,1.106,1.124,27.101,167.257,288.55,399.867,12.987,3.637
7.759,3.082,8.526,3.206,5.092,1.673,1.616,1.829,1.854,5.527,54.632,54.632,13,1.89,10.994,1.855,3.843,3.98,2.735,2.715,0.155,2.687,197.46,204.215,204.215,15.985,1.817,2.757,5.309,-0.078,-0.072,0.189,0.143,13.832,7,162.0,0.029,3.724,3.539,3.526,43.032,0.973,3.249,0.041,13.839,398.3,79.148,1.094,240.215,44,46,27.597,2.854,2.925,0.886,0.821,1.181,1.062,1.107,25.058,153.668,266.55,366.711,11.67,3.47
7.959,3.557,12.259,3.741,7.123,1.812,1.764,1.93,1.948,5.875,80.506,80.506,10,1.959,15.795,2.718,4.088,4.219,2.876,2.802,0.111,2.866,272.365,281.975,281.975,21.688,1.877,3.655,5.795,1.495,1.026,0.133,0.101,20.391,2,331.0,0.086,3.866,3.703,3.704,54.349,2.496,4.026,0.121,29.893,527.388,115.32,1.67,317.975,55,58,36.722,2.965,3.047,0.939,0.866,1.216,1.18,1.198,33.653,210.957,363.15,506.495,17.261,4.131
7.337,3.504,11.556,3.671,6.817,1.809,1.762,1.928,1.946,5.841,80.506,80.506,10,1.955,15.055,2.747,4.088,4.219,2.851,2.785,0.111,2.866,275.975,281.975,281.975,21.217,1.877,3.907,5.787,1.5,1.0,0.133,0.102,19.999,2,312.0,0.103,3.864,3.702,3.703,54.349,2.5,4.003,0.159,27.778,527.388,115.32,1.7,317.975,55,58,36.722,2.88,2.961,0.886,0.83,1.181,1.113,1.141,33.653,210.957,363.15,506.495,17.261,4.089
7.18,3.575,12.296,3.761,7.199,1.812,1.764,1.93,1.947,5.884,80.506,80.506,10,1.957,15.758,2.777,4.088,4.219,2.855,2.801,0.11,2.866,275.975,281.975,281.975,21.71,1.877,3.848,5.778,1.495,1.026,0.133,0.101,19.933,2,332.0,0.111,3.866,3.704,3.705,54.349,2.496,4.042,0.121,30.428,527.388,115.32,1.672,317.975,55,58,36.722,2.965,3.046,0.939,0.866,1.215,1.178,1.197,33.653,210.957,363.15,506.495,17.261,4.086
6.301,3.174,9.2,3.309,5.392,1.677,1.62,1.842,1.862,5.566,60.386,60.386,11,1.885,11.195,2.343,3.893,4.038,2.735,2.715,0.148,2.687,212.084,216.084,216.084,16.516,1.818,2.877,5.368,0.0,0.0,0.18,0.137,13.895,6,184.0,0.078,3.736,3.544,3.534,45.134,1.168,3.315,0.073,15.18,412.706,83.848,1.095,254.084,46,48,28.603,2.854,2.925,0.886,0.821,1.181,1.062,1.107,26.079,160.463,277.55,383.289,12.17,3.519
6.0,3.348,10.545,3.481,5.964,1.641,1.573,1.834,1.848,5.786,65.156,65.156,4,1.859,12.063,2.346,3.924,4.065,2.735,2.715,0.138,2.687,222.311,225.066,225.066,17.858,1.79,3.087,5.611,1.0,0.965,0.166,0.127,14.824,1,232.0,0.074,3.733,3.492,3.496,46.352,2.0,3.517,0.107,20.066,442.327,90.665,1.234,261.066,47,49,29.847,2.854,2.925,0.886,0.821,1.181,1.062,1.107,27.574,170.995,300.57,408.987,13.065,3.673
7.0,3.436,11.261,3.576,6.322,1.653,1.588,1.838,1.854,5.768,73.096,73.096,5,1.863,15.383,2.299,3.962,4.101,2.774,2.715,0.132,2.866,236.366,239.121,239.121,19.612,1.793,3.589,5.619,1.0,0.965,0.159,0.121,17.809,1,259.0,0.082,3.741,3.706,3.524,48.305,2.0,3.633,0.107,23.323,487.955,104.653,1.416,275.121,49,51,33.268,2.864,2.942,0.886,0.821,1.181,1.077,1.107,29.417,191.507,328.49,459.037,15.677,3.983
