pXC50,C.019,nCconjX,nCXr.,C.036,nC.N.N.,P_VSA_MR_7,SsCl,NdsN,Cl.089,nCL,NsCl,P_VSA_e_4,CATS2D_02_DA,P_VSA_LogP_2,N.074,NssNH,D.Dtr06,P_VSA_m_4,CATS2D_03_AA,GATS1m,nR06,SpMax3_Bh.m.,Hy,Eig03_AEA.bo.,CATS2D_05_DL,P_VSA_LogP_6,CATS2D_04_DL,NdssC,nHDon,SAdon,CATS2D_07_DL,nRCONHR,H.050,MATS3s,CATS2D_06_DL,P_VSA_s_5,nArOR,GATS5m,CATS2D_03_DL,GATS2m,X.,nCsp2,P_VSA_LogP_8,CATS2D_03_DA,H.049,C.,TPSA.NO.,nCbH,nX,PCD,X5Av,P_VSA_LogP_5,P_VSA_p_3,P_VSA_v_3,nBnz,TPSA.Tot.,Eig03_EA.bo.,SM13_AEA.ri.,SssO,P_VSA_p_2,P_VSA_s_4,CATS2D_05_DA,GATS4m,SdsN,nR.Cs,P_VSA_v_2,CATS2D_03_AL
4.358,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,3,40.614,0,2,152.739,0.0,1,0.664,2,3.538,0.337,3.849,2,0.0,2,3,2,36.022,0,1,2,-0.127,2,36.022,2,0.925,4,0.789,0.0,15,0.0,1,0,44.7,97.49,7,0,2.332,0.02,41.615,115.538,115.538,2,97.49,3.183,3.183,10.404,133.456,77.217,1,1.102,0.0,0,133.456,8
4.699,0,0,0,0,0,39.133,0.0,0,0,0,0,0.0,1,45.612,0,0,338.003,38.027,1,0.776,3,3.786,0.282,4.081,0,0.0,0,1,2,32.897,2,0,2,-0.002,0,0.0,1,1.0,1,0.887,0.0,15,0.0,0,0,37.9,120.41,8,0,3.307,0.039,27.847,157.897,157.897,2,154.09,3.677,3.677,5.509,150.099,90.111,2,1.181,0.0,0,150.099,18
5.389,0,0,0,0,0,50.626,5.703,0,1,1,1,39.149,0,14.35,0,0,66.508,44.956,0,0.674,1,3.605,-0.59,3.557,0,0.0,0,0,0,0.0,0,0,0,0.09,0,0.0,0,0.793,0,0.67,2.9,6,89.896,0,0,34.3,83.2,3,1,1.433,0.058,9.327,95.542,95.542,1,91.58,2.98,2.98,0.0,102.248,35.617,0,1.146,0.0,0,102.248,12
4.358,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,45.098,0,1,212.88,0.0,2,0.822,2,3.764,-0.361,3.952,1,40.762,2,2,1,18.011,2,1,1,0.032,3,18.011,2,0.909,4,0.881,0.0,12,0.0,1,0,39.3,81.01,3,0,1.492,0.03,45.18,129.265,129.265,1,81.01,3.463,3.463,10.808,102.932,79.895,1,1.064,0.0,0,102.932,12
4.358,0,0,0,0,0,5.807,0.0,0,0,0,0,0.0,0,29.289,0,0,168.916,5.807,0,0.901,2,3.654,-0.751,3.809,0,0.0,0,1,0,0.0,0,0,0,0.073,0,0.0,0,1.182,0,0.858,0.0,7,0.0,0,0,35.8,57.69,3,0,1.329,0.054,9.44,81.852,81.852,1,66.07,3.153,3.153,0.0,74.101,41.897,0,1.366,0.0,0,74.101,13
5.024,0,0,0,0,0,37.607,0.0,0,0,0,0,0.0,0,2.535,0,1,156.134,0.0,0,0.848,2,3.776,-0.399,3.948,2,5.449,4,0,1,18.011,0,0,1,-0.303,1,18.011,0,0.874,4,0.879,0.0,15,0.0,0,0,45.2,38.06,9,0,2.134,0.029,21.619,132.281,132.281,2,38.06,3.509,3.509,0.0,47.341,112.413,1,1.072,0.0,0,47.341,2
4.649,0,0,0,0,0,90.608,6.015,0,1,1,1,39.149,2,2.535,0,1,185.413,39.149,0,0.594,3,3.758,-0.301,4.053,1,0.0,3,0,1,18.011,1,0,1,-0.048,3,18.011,1,0.689,2,0.726,2.4,14,39.149,1,1,43.9,51.97,8,1,2.914,0.026,38.409,154.009,154.009,2,51.97,3.652,3.652,5.547,64.236,97.088,0,0.977,0.0,0,64.236,5
4.974,0,0,0,0,0,16.663,0.0,0,0,0,0,0.0,0,17.045,0,0,182.455,0.0,2,0.759,2,3.84,-0.403,4.172,3,26.731,3,1,1,16.663,0,0,1,0.01,2,16.663,0,0.98,1,0.846,1.7,16,0.0,0,0,44.1,52.23,8,1,2.988,0.03,44.407,136.928,136.928,2,52.23,3.768,3.768,0.0,64.72,99.931,0,1.123,0.0,0,79.68,8
4.836,0,0,0,0,0,78.297,11.691,0,2,2,2,78.297,0,3.124,0,0,218.308,78.297,0,0.516,2,3.658,-0.217,4.096,0,0.0,2,2,1,42.683,0,0,1,0.176,0,0.0,0,0.83,2,0.543,11.9,14,86.057,2,0,42.9,66.84,7,5,2.158,0.024,72.009,199.695,199.695,2,66.84,3.568,3.568,4.094,107.097,88.737,0,0.95,0.0,0,151.978,8
4.358,0,0,0,0,0,5.807,0.0,0,0,0,0,0.0,1,29.397,0,1,193.836,5.807,0,0.815,2,3.739,-0.256,3.904,0,17.22,1,1,1,18.011,0,1,1,-0.005,0,18.011,1,0.953,3,0.854,0.0,11,0.0,1,0,37.5,88.85,4,0,1.64,0.049,28.82,113.621,113.621,1,97.23,3.447,3.447,5.058,109.494,80.999,1,1.406,0.0,0,109.494,11
4.897,0,0,0,0,0,39.149,6.483,0,1,1,1,39.149,0,16.836,0,1,190.075,70.426,0,0.752,2,3.791,-0.408,4.064,1,13.13,4,0,1,18.011,3,0,1,-0.192,3,18.011,0,0.806,3,0.793,1.8,10,39.149,0,0,39.3,21.26,4,1,1.368,0.049,6.686,186.289,186.289,1,49.5,3.431,3.431,6.023,29.011,90.982,0,0.942,0.0,0,29.011,1
4.369,0,0,0,0,0,58.101,5.914,0,1,1,1,39.149,0,41.252,0,2,282.831,84.341,0,0.551,3,3.869,0.225,4.042,5,0.285,4,3,2,36.022,3,0,2,-0.14,2,36.022,0,0.842,4,0.608,2.0,17,84.341,1,0,45.1,70.67,8,1,2.104,0.025,12.2,211.928,211.928,2,102.76,3.627,3.627,6.141,100.436,106.712,3,0.914,0.0,2,100.436,4
4.54,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,25.614,0,1,205.195,0.0,0,0.508,2,3.823,0.228,3.975,2,13.915,2,3,2,34.796,4,1,2,-0.088,4,80.75,0,0.38,5,0.596,2.0,17,45.954,2,0,44.0,88.26,8,1,2.723,0.03,39.785,180.471,180.471,2,88.26,3.162,3.162,4.845,121.231,95.74,1,0.836,0.0,0,121.231,6
4.358,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,35.913,0,1,115.168,31.278,2,0.765,1,3.81,-0.382,3.916,3,30.349,2,2,1,18.011,3,1,1,-0.073,2,18.011,0,0.781,3,0.956,0.0,16,0.0,1,0,42.9,62.55,5,0,1.566,0.031,12.693,170.133,170.133,1,90.79,3.476,3.476,0.0,80.932,107.799,1,0.677,0.0,0,80.932,4
4.836,0,0,0,0,0,15.146,0.0,0,0,0,0,0.0,1,37.381,0,1,172.361,0.0,1,0.786,2,3.575,-0.265,3.798,4,0.0,2,2,1,18.011,0,1,1,0.061,3,18.011,1,0.871,1,0.922,0.0,9,50.747,1,0,38.1,84.15,4,0,1.497,0.038,22.186,82.642,82.642,1,84.15,3.093,3.093,5.296,110.573,53.051,0,1.025,0.0,1,110.573,8
4.358,0,0,0,0,0,138.882,6.158,0,1,1,1,39.149,1,2.106,0,0,161.954,39.149,0,0.506,2,3.743,-0.177,3.953,2,0.0,2,0,1,16.54,0,0,1,-0.063,1,16.54,0,1.02,1,0.657,2.9,14,39.149,0,0,42.9,98.06,8,1,3.858,0.022,35.908,134.777,134.777,2,98.06,3.492,3.492,0.0,117.928,77.464,0,1.119,0.0,0,117.928,13
4.836,0,0,0,0,0,55.934,5.778,0,1,1,1,39.149,1,20.116,0,1,188.84,39.149,0,0.513,2,3.805,-0.256,3.93,1,10.898,1,1,1,18.011,2,0,1,0.065,2,18.011,0,0.673,2,0.62,10.5,16,46.908,0,2,47.4,55.13,4,4,2.785,0.021,85.54,162.102,162.102,1,55.13,3.446,3.446,0.0,69.449,84.429,0,0.939,0.0,0,114.329,4
4.358,0,0,0,0,0,33.326,0.0,0,0,0,0,0.0,1,33.689,0,1,100.05,32.22,1,0.755,1,3.811,-0.323,3.861,0,17.22,0,1,1,18.011,1,1,1,-0.113,0,18.011,0,1.097,3,1.007,0.0,13,0.0,0,0,40.4,72.95,5,0,2.444,0.036,15.285,142.331,142.331,1,98.25,3.419,3.419,0.0,87.888,79.972,2,0.994,0.0,0,87.888,6
4.358,0,0,0,0,0,49.744,0.0,0,0,0,0,0.0,0,38.837,0,0,188.242,0.0,3,1.045,2,3.634,-0.769,3.688,0,0.0,0,0,0,0.0,0,0,0,0.035,0,0.0,0,1.082,0,1.112,0.0,1,0.0,0,0,32.3,50.08,0,0,0.936,0.044,8.025,49.99,49.99,0,50.08,2.717,2.717,0.0,57.769,16.85,0,0.972,0.0,0,57.769,9
4.358,0,0,0,0,0,22.212,0.0,0,0,0,0,0.0,2,4.592,0,1,182.303,5.807,0,0.789,2,3.747,0.309,4.032,2,4.901,3,1,2,33.191,2,0,2,-0.065,2,33.191,3,1.136,4,0.819,0.0,15,0.0,2,0,38.5,115.95,6,0,3.226,0.028,83.396,143.435,143.435,2,124.33,3.625,3.625,20.633,146.648,98.332,4,1.142,0.0,0,146.648,6
4.553,0,0,0,0,1,14.717,0.0,1,0,0,0,0.0,1,22.481,1,1,407.71,0.0,2,0.674,3,3.805,-0.322,4.02,4,0.0,2,2,1,17.888,0,0,1,0.018,4,17.888,1,1.165,1,0.751,0.0,21,50.747,1,1,44.4,122.81,11,0,3.777,0.022,64.649,173.411,173.411,3,122.81,3.608,3.608,10.804,163.258,136.607,0,1.125,3.873,0,163.258,18
4.358,0,0,0,0,0,16.663,0.0,0,0,0,0,0.0,1,40.614,0,2,78.987,45.192,0,0.64,1,3.73,1.159,3.688,2,14.384,3,2,3,52.685,2,0,3,-0.091,2,52.685,1,1.196,2,0.693,0.0,11,45.192,0,0,36.8,88.27,4,0,2.064,0.023,49.849,137.435,137.435,1,120.36,2.94,2.94,10.018,116.492,66.661,1,0.959,0.0,0,116.492,2
4.872,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,23.562,0,0,145.187,0.0,2,0.472,2,3.968,-0.711,3.929,0,0.0,0,3,0,0.0,0,0,0,-0.015,0,91.908,0,0.755,0,0.715,4.1,3,91.908,0,0,36.7,57.69,0,2,0.185,0.049,0.0,131.731,131.731,0,57.69,3.005,3.005,0.0,81.683,14.645,0,1.038,0.0,0,81.683,8
4.358,0,0,0,0,0,18.011,0.0,0,0,0,0,0.0,1,2.106,0,1,125.452,0.0,0,0.487,2,3.738,0.374,3.694,2,0.0,4,1,2,60.694,0,0,2,0.009,0,63.965,0,1.156,6,0.599,3.3,13,45.954,0,0,46.7,49.33,8,1,2.265,0.032,12.183,136.963,136.963,2,49.33,3.036,3.036,0.0,85.839,75.81,0,0.769,0.0,0,85.839,2
4.358,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,42.564,0,1,88.807,0.0,2,0.803,1,3.769,-0.349,3.952,1,40.762,1,2,1,18.011,2,1,1,0.023,3,18.011,2,0.942,4,0.864,0.0,12,0.0,1,0,39.7,81.01,3,0,1.523,0.025,45.18,126.73,126.73,1,81.01,3.463,3.463,10.786,102.932,79.895,1,1.049,0.0,0,102.932,12
4.477,0,0,0,0,0,22.456,0.0,0,0,0,0,0.0,0,10.529,0,0,230.835,0.0,2,0.738,3,3.656,-0.717,3.917,0,2.328,0,0,0,0.0,0,0,0,0.068,0,0.0,0,0.919,0,0.947,0.0,11,50.747,0,1,40.0,65.19,5,0,2.199,0.031,21.238,94.18,94.18,1,65.19,3.361,3.361,0.0,79.451,87.3,0,1.025,0.0,0,79.451,7
4.358,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,62.363,0,1,204.74,0.0,2,0.853,2,3.707,-0.372,3.918,2,23.542,2,2,1,18.011,2,1,1,0.038,3,18.011,2,1.003,4,0.978,0.0,8,0.0,1,0,37.9,77.1,3,0,1.057,0.033,35.672,92.739,92.739,1,77.1,3.23,3.23,16.853,104.425,31.553,1,0.945,0.0,0,104.425,13
4.984,0,0,0,0,0,18.011,0.0,1,0,0,0,0.0,2,11.815,1,1,172.111,0.0,0,0.994,2,3.697,-0.435,3.818,2,1.899,3,1,1,18.011,3,0,1,-0.063,4,18.011,0,0.856,2,1.055,0.0,13,0.0,0,0,40.7,27.63,10,0,2.118,0.033,25.852,132.069,132.069,2,27.63,3.258,3.258,0.0,37.921,115.537,0,1.038,4.825,0,37.921,3
4.668,0,0,0,0,0,39.149,5.886,0,1,1,1,39.149,1,28.968,0,1,239.588,39.149,1,0.676,3,3.624,-0.342,3.66,2,0.0,3,1,1,18.011,1,1,1,-0.096,0,18.011,0,0.663,3,0.776,2.2,13,39.149,1,0,41.3,35.58,8,1,2.277,0.033,18.448,151.217,151.217,2,35.58,2.9,2.9,0.0,49.404,90.455,0,0.836,0.0,0,49.404,3
5.177,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,38.556,0,2,157.996,45.192,0,0.69,2,3.781,0.284,3.732,6,0.285,7,2,2,36.022,2,0,2,-0.18,5,36.022,0,1.121,4,0.666,0.0,14,45.192,0,0,43.6,41.13,8,0,2.02,0.031,12.313,158.49,158.49,2,73.22,3.001,3.001,0.0,61.166,93.46,0,0.88,0.0,0,61.166,1
4.848,0,0,0,0,0,22.593,0.0,0,0,0,0,0.0,0,28.544,0,0,453.213,37.085,1,0.808,3,3.791,-0.695,4.236,0,7.508,0,2,0,0.0,0,0,0,0.035,0,0.0,0,1.145,0,0.795,0.0,15,0.0,0,0,36.4,103.36,7,0,3.058,0.04,26.21,182.937,182.937,2,139.98,3.726,3.726,5.014,133.28,111.668,0,1.241,0.0,0,133.28,12
4.358,0,0,0,0,0,16.786,0.0,0,0,0,0,0.0,3,61.528,0,2,397.085,0.0,1,0.874,3,3.74,0.177,3.805,3,2.328,3,3,2,36.022,2,2,2,-0.08,4,36.022,0,1.023,4,0.941,0.0,14,0.0,1,1,39.1,91.4,4,0,1.555,0.036,14.99,128.973,128.973,1,91.4,3.046,3.046,0.0,131.366,87.331,1,1.002,0.0,0,131.366,7
4.358,0,0,0,0,0,39.149,5.853,0,1,1,1,39.149,0,38.127,0,2,147.068,84.341,0,0.593,2,3.785,0.311,3.662,6,0.285,6,1,2,36.022,1,0,2,-0.163,4,36.022,0,0.741,5,0.602,2.7,13,84.341,0,0,43.2,24.06,7,1,2.081,0.035,15.814,186.529,186.529,2,56.15,2.92,2.92,0.0,36.022,83.984,0,0.995,0.0,0,36.022,0
4.358,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,2,42.339,1,2,218.788,0.0,2,0.797,2,3.643,0.267,3.82,2,0.0,2,2,2,36.022,0,2,2,-0.12,0,52.623,1,1.154,3,0.893,0.0,14,0.0,2,0,40.8,94.46,8,0,2.099,0.026,59.126,141.789,141.789,2,94.46,3.001,3.001,5.13,131.495,98.643,1,0.864,0.0,0,131.495,3
4.441,0,0,0,0,0,44.956,6.2,0,1,1,1,39.149,0,29.289,0,0,168.916,44.956,0,0.737,2,3.717,-0.711,3.809,0,0.0,0,1,0,0.0,0,0,0,0.073,0,0.0,0,0.974,0,0.736,2.0,7,39.149,0,0,36.0,57.69,3,1,1.329,0.055,9.755,112.491,112.491,1,66.07,3.153,3.153,0.0,74.101,33.072,0,1.109,0.0,0,74.101,10
4.64,0,0,0,0,0,39.149,5.93,0,1,1,1,39.149,0,14.939,0,0,264.13,39.149,0,0.666,3,3.726,-0.37,4.068,2,14.96,2,1,1,42.683,2,0,1,0.015,4,0.0,0,0.666,2,0.711,4.1,13,39.149,0,0,42.9,40.54,7,2,1.993,0.035,22.178,153.006,153.006,2,40.54,3.321,3.321,0.0,70.953,78.283,0,0.838,0.0,0,85.913,4
4.773,0,0,0,0,0,108.213,6.065,0,1,1,1,39.149,0,0.9,0,0,283.695,71.368,0,0.602,3,3.842,-0.778,3.943,0,0.0,0,0,0,0.0,0,0,0,-0.015,0,0.0,0,0.959,0,0.894,2.2,21,39.149,0,2,48.9,43.6,9,1,3.719,0.03,33.316,229.203,229.203,2,68.9,3.508,3.508,0.0,52.011,143.185,0,0.975,0.0,2,52.011,7
4.358,0,0,0,0,0,33.203,0.0,0,0,0,0,0.0,2,28.872,0,1,173.905,0.0,1,0.482,2,3.896,1.018,4.014,2,23.542,2,1,3,50.908,4,0,3,0.027,4,63.965,2,0.391,2,0.583,2.3,15,45.954,3,0,41.9,104.29,7,1,3.003,0.026,48.774,152.852,152.852,2,104.29,3.61,3.61,10.606,133.033,68.11,1,0.823,0.0,0,133.033,7
4.358,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,40.982,0,1,71.226,0.0,2,0.833,1,3.724,-0.382,3.816,3,17.22,4,2,1,18.011,1,1,1,0.011,2,18.011,0,0.958,3,0.96,0.0,12,0.0,1,0,41.5,62.55,4,0,1.885,0.032,15.878,109.674,109.674,1,62.55,3.032,3.032,0.0,80.932,71.721,1,0.92,0.0,0,80.932,6
5.105,0,0,0,0,0,39.149,5.948,0,1,1,1,39.149,0,6.698,0,1,218.069,39.149,0,0.711,3,3.631,0.175,4.015,4,0.0,3,0,2,60.694,5,0,2,0.02,3,18.011,1,0.623,3,0.755,2.0,16,39.149,0,0,44.0,41.49,10,1,3.403,0.028,31.261,178.521,178.521,3,41.49,3.271,3.271,6.124,71.694,112.413,0,0.907,0.0,0,71.694,4
4.461,0,0,0,0,0,22.456,0.0,0,0,0,0,0.0,0,4.592,0,0,142.909,0.0,3,0.65,2,3.653,-0.684,3.927,0,2.144,0,1,0,0.0,0,0,0,0.05,0,0.0,0,1.026,0,0.725,0.0,14,50.747,0,0,41.9,99.17,8,0,3.25,0.019,34.819,117.803,117.803,2,99.17,3.511,3.511,10.725,125.079,103.644,0,1.143,0.0,0,125.079,17
4.358,0,0,0,0,0,22.593,0.0,0,0,0,0,0.0,5,36.022,0,2,153.04,37.085,0,0.777,2,3.861,1.942,4.044,4,19.982,6,1,4,67.313,1,0,4,-0.177,2,36.022,0,0.987,4,0.87,2.9,14,0.0,0,0,40.0,114.18,7,1,3.131,0.035,16.073,124.514,124.514,2,150.8,3.629,3.629,0.0,153.556,66.334,0,0.965,0.0,0,168.516,6
4.452,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,3,44.825,0,3,405.371,0.0,0,0.8,3,3.769,0.792,3.911,10,6.763,7,3,3,54.032,5,1,3,-0.067,6,54.032,0,0.862,5,0.922,0.0,21,0.0,3,0,42.2,105.76,13,0,2.901,0.027,37.499,185.861,185.861,3,105.76,3.448,3.448,9.915,151.467,142.899,2,1.067,0.0,0,151.467,2
4.358,0,0,0,0,0,16.786,0.0,1,0,0,0,0.0,0,2.535,1,0,136.301,0.0,1,0.783,2,3.597,-0.32,3.778,2,0.0,3,1,1,42.806,2,0,1,-0.017,3,0.0,1,1.036,1,0.959,0.0,12,0.0,0,1,44.4,54.71,4,0,2.129,0.027,87.286,102.741,102.741,1,54.71,3.11,3.11,5.16,83.839,86.264,0,1.164,3.459,0,83.839,7
4.658,0,0,0,0,0,16.663,0.0,0,0,0,0,0.0,0,13.921,0,0,313.629,0.0,0,0.919,3,3.729,-0.425,4.012,2,11.771,2,0,1,42.683,2,0,1,-0.044,2,0.0,1,1.063,2,0.956,0.0,15,0.0,0,1,40.6,50.52,6,0,2.893,0.034,45.691,147.625,147.625,2,50.52,3.423,3.423,5.401,75.247,117.863,0,0.941,0.0,0,75.247,9
5.108,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,49.405,0,1,271.087,0.0,1,0.959,3,3.732,-0.438,3.944,3,0.0,3,2,1,18.011,2,1,1,-0.026,4,18.011,0,0.93,3,0.986,0.0,14,0.0,0,0,38.5,55.89,7,0,2.499,0.033,20.89,144.701,144.701,2,55.89,3.173,3.173,0.0,77.674,101.753,0,0.995,0.0,0,77.674,7
4.358,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,28.31,0,1,46.595,0.0,0,0.501,1,3.477,-0.249,3.57,3,0.0,1,2,1,18.011,1,1,1,-0.084,1,63.965,0,0.815,1,0.537,2.8,8,45.954,2,0,38.9,49.41,3,1,1.407,0.03,8.997,117.615,117.615,1,49.41,2.737,2.737,0.0,71.425,49.203,0,0.684,0.0,0,71.425,4
4.358,0,0,0,0,0,5.807,0.0,0,0,0,0,0.0,1,28.539,0,1,336.448,5.807,2,0.822,3,3.733,-0.268,3.903,0,0.0,1,1,1,18.011,0,1,1,-0.024,0,18.011,2,0.912,1,0.87,0.0,13,0.0,1,0,37.0,88.18,8,0,1.93,0.042,41.437,133.411,133.411,2,96.56,3.447,3.447,10.222,114.111,102.219,0,1.253,0.0,0,114.111,9
4.962,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,15.979,0,0,76.807,0.0,1,1.185,1,3.359,-0.886,3.487,0,0.0,0,0,0,0.0,0,0,0,0.019,0,0.0,1,1.284,0,1.078,0.0,6,0.0,0,0,35.3,12.47,3,0,1.197,0.042,25.739,100.148,100.148,1,12.47,2.489,2.489,6.061,14.124,75.679,0,1.042,0.0,0,14.124,5
4.358,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,40.982,0,1,71.226,31.278,1,0.793,1,3.724,-0.382,3.816,3,13.13,4,2,1,18.011,1,1,1,0.026,3,18.011,0,0.897,3,0.942,0.0,12,0.0,1,0,41.5,49.41,4,0,1.885,0.036,6.371,132.771,132.771,1,77.65,3.032,3.032,0.0,71.425,67.631,1,0.761,0.0,0,71.425,7
4.669,0,0,0,0,0,16.786,0.0,0,0,0,0,0.0,0,14.939,0,0,180.963,31.278,0,0.764,2,3.758,-0.778,3.858,0,0.746,0,1,0,0.0,0,0,0,0.08,0,0.0,1,0.976,0,0.849,0.0,14,0.0,0,0,41.5,45.67,8,0,2.691,0.035,25.198,154.706,154.706,2,73.91,3.159,3.159,5.434,59.179,101.338,0,1.142,0.0,0,59.179,6
5.658,2,1,1,1,1,56.94,6.097,1,1,1,1,39.149,0,3.002,1,0,238.672,39.149,3,0.565,3,3.792,-0.74,3.984,0,0.0,0,3,0,0.0,0,0,0,0.153,0,0.0,2,0.716,0,0.643,2.6,16,39.149,0,1,46.2,53.35,8,1,2.824,0.021,55.092,173.592,173.592,2,53.35,3.557,3.557,10.76,66.81,107.567,0,0.809,4.08,2,66.81,10
5.084,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,43.383,0,1,380.531,32.22,1,0.768,4,3.787,-0.41,4.162,0,0.0,1,2,1,18.011,2,0,1,0.021,1,18.011,0,0.901,2,0.905,0.0,20,0.0,0,0,43.3,63.57,11,0,3.399,0.033,21.725,195.541,195.541,3,91.81,3.774,3.774,5.396,85.549,119.313,1,1.113,0.0,0,85.549,9
4.358,0,0,0,0,0,34.796,0.0,0,0,0,0,0.0,3,29.826,0,2,164.96,0.0,1,0.917,2,3.527,0.194,3.702,3,2.144,5,1,2,36.022,4,1,2,-0.02,2,36.022,0,1.025,5,0.877,0.0,14,0.0,1,0,40.0,58.95,7,0,3.186,0.026,15.07,124.644,124.644,2,58.95,3.08,3.08,0.0,79.851,94.708,2,1.099,0.0,0,79.851,4
4.592,0,0,0,0,0,5.67,0.0,0,0,0,0,0.0,0,14.939,0,0,274.514,0.0,0,0.778,3,3.701,-0.79,3.934,0,0.0,0,1,0,0.0,0,0,0,0.059,0,0.0,0,1.126,0,0.867,0.0,13,50.747,0,0,42.6,66.13,8,0,2.148,0.036,12.313,113.468,113.468,2,66.13,3.456,3.456,0.0,84.686,93.43,0,1.03,0.0,0,84.686,12
4.358,0,0,0,0,0,37.905,0.0,1,0,0,0,0.0,2,54.965,2,1,472.109,0.0,1,0.782,5,3.716,0.176,3.899,2,11.771,5,7,2,49.683,2,1,2,0.029,4,18.011,0,0.932,3,0.95,0.0,18,0.0,0,0,40.9,104.72,5,0,2.694,0.025,66.591,145.066,145.066,1,104.72,3.444,3.444,5.429,137.131,103.707,0,0.983,4.708,4,137.131,7
4.358,0,0,0,0,0,11.615,0.0,0,0,0,0,0.0,1,35.618,0,1,645.142,11.615,2,0.797,4,3.856,-0.281,4.021,1,14.96,0,1,1,18.011,4,1,1,-0.036,4,18.011,1,0.937,2,0.83,1.5,19,0.0,1,0,38.8,122.32,12,1,2.251,0.042,37.445,181.933,181.933,3,139.08,3.617,3.617,10.298,156.818,127.635,2,1.254,0.0,0,171.779,16
5.313,0,0,0,0,0,39.149,6.032,0,1,1,1,39.149,1,36.524,0,1,341.031,39.149,1,0.722,3,3.672,-0.371,3.785,6,0.0,2,1,1,18.011,1,1,1,0.048,3,18.011,2,0.69,1,0.817,1.7,13,39.149,2,0,39.7,50.8,7,1,1.694,0.036,45.483,168.767,168.767,2,50.8,3.025,3.025,10.891,68.28,89.166,0,1.163,0.0,0,68.28,7
4.358,0,0,0,0,0,39.149,6.197,0,1,1,1,39.149,0,14.939,0,0,252.629,39.149,0,0.705,3,3.715,-0.396,4.064,2,0.0,2,1,1,42.683,2,0,1,0.032,4,0.0,0,0.794,2,0.754,2.0,13,39.149,0,0,42.9,40.54,8,1,1.971,0.037,13.057,153.361,153.361,2,40.54,3.311,3.311,0.0,70.953,87.759,0,0.932,0.0,0,70.953,4
5.313,0,0,0,0,0,129.757,12.173,0,2,2,2,78.297,2,2.535,0,1,111.579,109.575,0,0.533,2,3.868,-0.22,3.914,3,13.13,1,0,1,18.011,0,0,1,0.085,2,18.011,0,0.748,2,0.694,5.9,12,78.297,1,1,44.1,42.74,3,2,2.579,0.032,22.481,189.203,189.203,1,70.98,3.475,3.475,0.0,53.236,65.425,0,0.924,0.0,0,53.236,3
4.358,0,0,0,0,0,22.456,0.0,0,0,0,0,0.0,1,0.0,0,1,133.176,0.0,1,0.72,2,3.465,-0.198,3.817,0,2.328,0,0,1,18.011,0,0,1,0.016,0,18.011,0,0.84,3,0.766,0.0,11,50.747,0,1,39.4,73.98,4,0,2.402,0.022,38.453,93.296,93.296,1,73.98,3.249,3.249,0.0,94.338,91.492,2,1.053,0.0,0,94.338,6
4.358,0,0,0,0,0,46.738,0.0,0,0,0,0,0.0,1,42.564,0,1,356.849,30.826,3,0.677,3,3.848,-0.304,4.095,1,23.542,3,2,1,18.011,1,1,1,0.036,2,18.011,2,0.794,3,0.797,0.0,15,0.0,1,3,40.7,106.54,3,0,1.841,0.029,68.757,155.802,155.802,1,134.78,3.597,3.597,10.926,140.162,77.648,1,0.733,0.0,0,140.162,10
4.622,0,0,0,0,0,34.061,0.0,0,0,0,0,0.0,0,8.423,0,0,231.108,0.0,1,0.946,2,3.651,0.141,3.815,2,104.246,2,0,2,85.367,4,0,2,0.041,4,34.061,0,1.035,2,1.152,0.0,12,0.0,2,0,42.9,46.94,10,0,1.696,0.035,12.62,190.26,190.26,2,46.94,2.937,2.937,0.0,91.615,101.011,0,0.987,0.0,0,91.615,6
4.358,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1,24.709,0,2,181.591,0.0,0,0.521,2,3.725,0.273,3.65,7,0.0,4,2,2,36.022,1,1,2,-0.14,3,81.976,0,0.792,5,0.598,2.2,14,45.954,2,0,41.3,67.43,8,1,2.119,0.031,23.183,170.192,170.192,2,67.43,2.875,2.875,5.002,97.311,93.46,0,0.727,0.0,0,97.311,0
6.0,2,1,1,1,1,56.94,6.096,1,1,1,1,39.149,0,3.002,1,0,238.672,39.149,3,0.462,3,3.815,-0.699,3.984,0,0.0,0,3,0,0.0,0,0,0,0.152,0,0.0,2,0.304,0,0.584,5.6,16,39.149,0,1,47.2,53.35,8,2,2.824,0.024,53.566,163.241,163.241,2,53.35,3.557,3.557,10.758,66.81,155.524,0,0.847,4.077,2,66.81,10
