pXC50,nCsp3,nC,MW,RBN,nSK,Se,SCBO,nAT,Si,nBT,nDB,Sp,Sv,nCsp2,nBO,nHet,nH,nCsp,nTB
8.4,2,19,380.53,3,26,42.189,41.0,42,46.534,45,2,31.341,29.335,17,29,7,16,0,0
5.6,9,31,535.71,10,40,72.854,59.5,73,82.305,78,1,48.847,46.428,22,45,9,33,0,0
6.9,11,29,467.67,7,35,67.207,51.0,68,76.514,73,0,45.143,42.197,18,40,6,33,0,0
5.6,0,11,246.67,0,17,24.825,26.0,24,26.977,26,1,17.858,17.682,11,19,6,7,0,0
5.6,1,17,357.32,2,26,37.909,39.5,36,41.381,38,1,25.341,26.079,15,28,9,10,1,1
5.6,1,14,268.37,4,19,31.018,29.5,31,34.574,33,0,22.716,21.38,13,21,5,12,0,0
5.6,0,21,359.41,4,27,44.473,41.5,44,49.03,47,0,30.71,29.896,21,30,6,17,0,0
5.6,4,22,346.46,5,26,47.694,38.0,48,53.567,50,1,32.534,30.74,18,28,4,22,0,0
8.6,1,24,440.57,4,32,52.2,50.5,52,58.026,56,1,37.466,35.718,23,36,8,20,0,0
5.6,3,20,379.4,3,28,44.163,44.5,43,48.872,47,0,29.926,29.749,17,32,8,15,0,0
6.3,8,19,370.93,4,26,48.887,37.0,49,55.671,52,0,32.745,30.697,11,29,7,23,0,0
4.2,0,12,210.26,1,16,26.058,26.0,26,29.239,28,0,18.307,17.666,12,18,4,10,0,0
5.6,1,21,410.41,4,30,47.6,45.0,46,52.207,49,1,31.591,31.684,20,33,9,16,0,0
5.6,4,19,318.41,2,24,41.92,38.0,42,47.109,45,1,28.807,27.488,15,27,5,18,0,0
5.6,11,27,457.63,7,34,64.65,49.0,65,73.308,68,2,42.836,40.385,15,37,7,31,1,1
5.6,3,19,364.42,6,27,44.752,41.0,44,50.03,47,0,29.995,29.387,16,30,8,17,0,0
6.2,7,35,630.84,9,46,80.032,69.5,80,89.723,86,1,55.5,52.636,28,52,11,34,0,0
5.6,3,20,344.4,3,26,42.363,41.0,42,46.903,46,3,29.5,28.676,17,30,6,16,0,0
5.6,5,23,497.58,8,35,59.502,52.0,58,65.405,61,6,39.256,38.324,18,38,12,23,0,0
5.9,7,21,379.51,5,28,53.0,39.0,53,60.062,55,3,34.552,32.805,14,30,7,25,0,0
5.6,3,11,320.46,0,20,28.724,33.0,28,31.165,32,0,22.739,21.217,8,24,9,8,0,0
5.6,5,21,374.49,5,28,50.007,42.5,50,56.521,53,1,33.58,32.058,16,31,7,22,0,0
6.8,1,19,334.83,4,24,39.033,38.0,39,43.428,42,0,28.449,27.074,18,27,5,15,0,0
5.6,5,19,334.41,3,25,43.247,38.0,43,48.318,46,0,29.262,28.203,13,28,6,18,1,1
5.6,5,21,426.92,6,30,50.843,44.0,50,56.805,53,0,34.375,33.268,16,33,9,20,0,0
5.6,3,21,350.42,6,26,45.323,38.0,45,50.492,47,1,30.711,29.597,18,28,5,19,0,0
5.6,6,15,283.37,3,21,38.138,31.5,38,43.192,41,0,25.051,23.983,9,24,6,17,0,0
5.6,8,15,303.41,3,22,43.232,30.0,43,49.232,45,1,27.029,25.751,7,24,7,21,0,0
5.6,0,20,346.39,3,26,41.549,41.0,41,46.034,44,1,28.983,28.345,20,29,6,15,0,0
7.5,2,22,410.43,3,30,48.341,45.0,47,53.543,50,1,32.381,32.165,20,33,8,17,0,0
7.7,1,26,523.55,4,37,56.032,56.0,54,61.301,58,1,38.972,38.756,25,41,11,17,0,0
6.5,4,18,290.4,2,22,39.592,35.0,40,44.9,43,0,27.353,25.773,14,25,4,18,0,0
8.0,4,28,525.69,6,38,65.28,57.5,65,72.979,69,2,45.211,43.034,24,42,10,27,0,0
5.6,2,14,286.74,1,20,31.593,30.5,31,34.807,33,1,22.381,21.735,11,22,6,11,1,1
5.8,2,22,432.55,4,31,51.527,47.0,51,57.235,54,2,35.921,34.433,20,34,9,20,0,0
5.6,4,22,346.46,5,26,47.694,38.0,48,53.567,50,1,32.534,30.74,18,28,4,22,0,0
5.6,10,31,526.75,10,39,76.403,55.0,77,87.052,80,2,50.126,46.987,21,42,8,38,0,0
5.6,0,16,263.32,2,20,33.051,31.5,33,36.78,35,1,23.279,22.413,16,22,4,13,0,0
8.699,1,24,458.56,4,33,52.712,51.5,52,58.365,56,1,37.404,36.101,23,37,9,19,0,0
5.3,0,13,226.25,1,17,27.393,27.0,27,30.076,29,0,18.966,18.58,13,19,4,10,0,0
5.6,3,22,471.31,4,27,45.105,41.5,45,49.584,48,1,33.881,31.224,19,30,5,18,0,0
5.8,1,17,326.4,3,23,37.564,34.0,37,41.036,39,3,26.591,25.535,16,25,6,14,0,0
5.6,1,15,345.22,3,21,34.382,32.0,34,38.12,36,1,24.637,23.46,14,23,6,13,0,0
5.6,4,16,323.41,1,23,36.447,36.0,36,40.282,40,1,26.176,25.116,12,27,7,13,0,0
4.4,1,14,224.28,0,17,28.949,26.0,29,32.282,31,1,20.273,19.392,13,19,3,12,0,0
6.1,13,34,621.82,6,46,85.152,67.0,85,96.341,91,2,55.836,53.239,21,52,12,39,0,0
5.6,4,24,397.52,6,30,52.789,47.0,53,59.438,57,0,36.336,34.563,20,34,6,23,0,0
5.6,5,17,310.39,4,23,41.247,34.5,41,46.318,43,2,27.262,26.203,12,25,6,18,0,0
5.6,0,14,272.32,2,19,28.654,30.0,28,31.127,30,1,21.097,20.435,14,21,5,9,0,0
5.6,4,24,439.47,3,32,53.334,46.0,52,59.085,55,2,35.353,34.912,20,35,8,20,0,0
6.8,7,24,590.56,8,37,66.047,52.0,65,73.655,68,3,44.233,42.016,17,40,13,28,0,0
6.4,1,21,345.43,4,26,45.029,39.0,45,50.235,47,2,31.017,29.708,20,28,5,19,0,0
5.6,5,22,438.48,6,32,53.36,47.0,52,59.41,55,1,34.909,34.539,17,35,10,20,0,0
5.6,5,20,378.45,4,28,47.636,42.5,47,53.445,51,0,31.756,30.914,15,32,8,19,0,0
6.1,5,23,428.55,5,32,56.211,48.0,56,63.517,60,1,37.591,36.1,18,36,9,24,0,0
5.6,2,12,264.33,3,18,30.68,25.0,30,33.621,31,3,20.83,20.008,10,19,6,12,0,0
5.6,5,26,425.58,7,32,58.556,47.0,59,66.268,62,3,39.858,37.617,21,35,6,27,0,0
5.1,0,13,227.26,1,17,27.353,27.0,27,30.495,29,0,19.0,18.555,13,19,4,10,0,0
4.0,0,8,178.23,1,12,18.375,19.0,18,19.956,19,1,13.636,12.998,8,13,4,6,0,0
5.6,5,23,378.48,7,28,51.091,40.0,51,57.322,53,1,34.233,32.651,18,30,5,23,0,0
5.6,1,22,387.45,3,29,47.534,44.5,47,52.947,50,1,32.75,31.893,21,32,7,18,0,0
5.6,4,12,282.38,6,19,34.625,26.5,34,38.954,35,1,22.631,21.532,8,20,7,15,0,0
5.6,0,11,212.23,0,16,24.502,25.0,24,27.033,26,1,17.0,16.854,11,18,5,8,0,0
5.6,1,18,402.82,4,28,42.705,42.0,41,46.899,44,0,29.029,29.071,17,31,10,13,0,0
7.8,1,28,475.61,3,35,55.982,56.0,56,61.943,60,1,41.222,39.223,25,39,7,21,2,1
5.6,5,20,417.43,3,30,49.771,42.5,48,55.251,51,1,31.841,31.901,15,33,10,18,0,0
5.6,3,29,462.59,8,35,60.781,54.0,61,67.979,65,1,42.307,40.31,26,39,6,26,0,0
5.6,1,21,327.41,4,25,41.818,40.0,42,46.611,45,1,29.801,28.467,20,28,4,17,0,0
5.6,1,22,366.46,4,28,45.912,45.5,46,51.481,50,0,32.603,31.289,21,32,6,18,0,0
8.0,3,26,536.61,7,38,61.647,56.5,60,67.954,64,1,41.773,40.968,23,42,12,22,0,0
5.6,5,19,386.52,7,27,49.418,40.0,49,55.278,51,3,32.887,31.158,14,29,8,22,0,0
5.6,2,19,312.35,2,24,36.269,39.5,36,39.863,39,0,26.523,25.908,14,27,5,12,3,2
5.6,3,15,255.35,6,19,35.818,27.0,36,40.611,37,1,23.801,22.467,12,20,4,17,0,0
5.6,7,20,366.52,9,27,52.774,38.0,53,60.351,55,1,34.103,32.111,13,29,7,26,0,0
5.6,0,14,244.26,2,18,30.611,26.0,30,33.329,31,1,20.386,20.02,14,19,4,12,0,0
5.7,2,18,322.34,2,24,38.814,37.0,38,42.325,41,2,26.398,26.063,16,27,6,14,0,0
5.6,1,15,332.43,3,22,34.756,35.0,34,37.541,36,3,25.477,24.195,14,24,7,12,0,0
4.6,0,12,210.26,1,16,26.058,26.0,26,29.239,28,0,18.307,17.666,12,18,4,10,0,0
4.0,1,9,175.21,0,13,22.284,20.0,22,24.95,23,1,14.756,14.359,8,14,4,9,0,0
5.6,0,14,271.72,2,19,29.491,30.0,29,32.309,31,1,21.375,20.714,14,21,5,10,0,0
5.6,1,21,418.52,4,30,48.643,46.0,48,53.82,51,2,34.159,32.906,20,33,9,18,0,0
4.0,0,13,238.27,2,18,28.385,29.0,28,31.448,30,1,19.762,19.381,13,20,5,10,0,0
6.2,12,33,591.79,5,44,80.941,65.0,81,91.716,87,2,53.62,50.997,21,50,11,37,0,0
5.6,5,23,358.47,3,27,48.694,40.5,49,54.567,52,2,33.534,31.74,18,30,4,22,0,0
5.6,0,15,283.25,2,21,31.273,32.0,30,33.206,32,3,21.324,21.703,15,23,6,9,0,0
5.6,3,23,400.54,6,29,48.88,46.0,49,54.444,53,0,35.216,33.202,20,33,6,20,0,0
5.6,4,20,410.42,4,30,47.592,46.5,46,52.579,50,0,31.387,31.485,16,34,10,16,0,0
4.9,0,6,151.21,0,10,15.265,16.0,15,16.83,16,0,11.426,10.778,6,11,4,5,0,0
5.6,1,17,310.4,3,22,36.236,33.0,36,39.827,38,3,26.137,24.82,16,24,5,14,0,0
6.3,4,11,328.27,4,18,32.233,24.5,32,36.329,33,0,22.836,20.953,7,19,7,14,0,0
5.6,1,11,267.35,2,17,26.771,24.0,26,28.627,27,3,19.71,18.647,10,18,6,9,0,0
5.6,10,34,579.76,7,43,79.956,61.0,80,89.972,84,5,53.029,50.395,24,47,9,37,0,0
5.6,1,11,303.18,2,18,27.116,26.0,26,28.884,27,2,20.33,19.422,10,19,7,8,0,0
8.5,1,20,390.51,3,28,46.316,43.0,46,51.61,49,1,32.705,31.191,19,31,8,18,0,0
8.3,2,22,458.43,5,33,52.323,48.0,50,57.172,53,1,33.745,34.309,20,36,11,17,0,0
8.0,6,28,481.67,4,35,61.632,53.0,62,69.188,66,1,43.506,40.804,20,39,7,27,2,1
5.6,3,29,497.03,8,36,61.105,55.0,61,67.923,65,1,43.165,41.137,26,40,7,25,0,0
5.9,0,12,272.24,3,20,29.484,32.5,28,31.661,30,3,19.364,19.998,12,22,8,8,0,0
5.6,5,17,294.39,2,22,39.92,33.0,40,45.109,43,0,26.807,25.488,12,25,5,18,0,0
4.2,2,8,196.25,1,13,21.585,18.5,21,23.581,22,2,14.852,14.24,6,14,5,8,0,0
5.6,2,17,400.31,2,28,41.112,39.5,38,44.732,40,1,25.671,27.261,15,30,11,10,0,0
7.75,6,24,439.58,6,33,57.985,50.0,58,65.806,62,0,39.142,37.407,17,37,9,25,1,1
6.6,0,21,449.55,5,31,47.062,51.0,46,51.036,50,3,34.494,33.26,21,35,10,15,0,0
6.4,0,13,287.67,0,20,27.378,31.0,26,28.898,28,4,19.761,20.09,12,22,7,6,1,1
6.9,6,17,342.87,3,24,43.12,35.0,43,48.84,46,0,29.222,27.644,11,27,7,19,0,0
5.6,0,19,429.31,3,26,39.793,41.0,39,42.878,42,3,29.943,28.56,19,29,7,13,0,0
4.0,1,14,209.26,1,16,26.847,25.0,27,29.784,29,1,19.267,18.37,13,18,2,11,0,0
5.6,0,14,271.72,2,19,29.491,30.0,29,32.309,31,1,21.375,20.714,14,21,5,10,0,0
5.6,2,15,270.38,4,19,32.909,29.0,33,36.617,35,0,23.682,22.106,13,21,4,14,0,0
5.6,0,14,222.26,1,17,27.065,27.5,27,29.867,29,0,19.512,18.865,14,19,3,10,0,0
5.6,4,18,372.49,6,26,46.534,39.0,46,51.863,48,3,31.125,29.632,14,28,8,20,0,0
7.8,1,21,436.34,3,28,46.251,43.0,46,51.449,49,1,33.165,31.535,20,31,7,18,0,0
5.6,7,27,491.59,6,36,63.792,52.0,63,71.572,67,1,41.949,40.625,20,40,9,27,0,0
8.6,3,26,484.63,6,35,59.294,53.5,59,66.065,63,1,41.443,39.486,23,39,9,24,0,0
5.6,2,20,318.4,5,24,41.927,36.0,42,46.737,44,1,29.012,27.687,18,26,4,18,0,0
5.6,0,14,272.32,2,19,28.654,30.0,28,31.127,30,1,21.097,20.435,14,21,5,9,0,0
6.0,7,18,340.48,5,25,48.891,34.0,49,55.936,51,1,31.341,29.584,11,27,7,24,0,0
5.9,0,20,349.36,3,26,39.96,41.0,39,43.875,42,1,27.915,27.706,20,29,6,13,0,0
5.6,0,14,273.3,2,19,27.88,30.0,27,29.838,29,1,20.546,20.129,14,21,5,8,0,0
6.0,3,13,351.18,4,21,33.153,30.5,32,36.124,34,2,22.784,22.362,10,23,8,11,0,0
4.0,1,11,215.23,2,16,25.611,25.5,25,28.159,27,0,17.21,17.074,10,18,5,9,0,0
8.0,2,19,347.41,5,26,43.465,40.5,43,48.402,46,1,29.506,28.697,17,29,7,17,0,0
5.6,1,11,330.59,0,17,23.036,26.0,22,23.868,24,2,19.057,18.071,10,19,6,5,0,0
5.6,4,22,392.92,6,28,49.011,42.0,49,54.883,52,0,34.188,32.369,18,31,6,21,0,0
4.0,2,8,212.25,1,14,22.913,19.5,22,24.79,23,2,15.307,14.955,6,15,6,8,0,0
5.6,3,23,370.49,7,28,49.687,43.0,50,55.939,53,1,34.33,32.542,20,31,5,22,0,0
5.6,3,21,332.43,5,25,44.811,37.0,45,50.152,47,1,30.773,29.214,18,27,4,20,0,0
5.6,1,16,416.25,3,23,36.214,36.5,36,40.371,39,0,27.739,25.552,15,26,7,13,0,0
5.6,1,21,395.49,5,28,46.618,41.0,46,51.495,48,2,32.603,31.279,20,30,7,18,0,0
5.7,0,12,227.31,1,16,25.033,26.0,25,27.661,27,0,18.949,17.832,12,18,4,9,0,0
5.6,2,14,317.76,3,22,35.022,32.0,34,38.515,35,1,23.841,23.471,11,23,8,12,1,1
5.6,0,14,386.46,5,26,37.505,41.0,36,40.66,39,2,27.011,26.502,14,29,12,10,0,0
5.6,4,19,315.41,4,24,40.811,38.5,41,45.983,45,0,28.597,27.268,15,28,5,17,0,0
5.6,4,24,414.5,7,31,53.342,47.0,53,59.358,57,1,36.239,34.971,20,35,7,22,0,0
5.6,4,25,460.53,6,34,58.88,49.0,58,65.192,61,3,38.909,37.928,21,37,9,24,0,0
4.0,0,12,226.26,1,17,27.385,26.0,27,30.448,29,4,18.762,18.381,12,19,5,10,0,0
5.6,4,10,363.19,4,18,32.651,24.0,32,36.707,33,0,22.404,20.487,6,19,8,14,0,0
6.0,0,14,283.29,2,21,32.0,32.5,31,35.286,33,1,21.705,21.786,14,23,7,10,0,0
5.7,0,14,290.31,2,20,29.167,31.0,28,31.466,30,1,21.034,20.819,14,22,6,8,0,0
5.6,1,16,348.2,5,23,35.025,34.0,34,37.878,36,3,25.449,24.783,15,25,7,11,0,0
5.6,2,18,355.45,5,25,42.549,38.0,42,46.95,44,2,29.358,28.083,16,27,7,17,0,0
4.0,0,6,214.03,0,11,15.745,16.0,15,16.961,16,1,11.585,11.331,6,12,5,4,0,0
5.9,4,17,316.39,5,23,43.465,31.0,43,48.571,44,1,27.682,26.643,13,24,6,20,0,0
8.3,4,22,406.48,7,30,52.669,44.0,52,58.568,55,0,34.693,33.686,18,33,8,22,0,0
5.6,9,27,500.67,7,37,69.072,52.0,69,78.388,73,2,45.091,42.922,18,41,10,32,0,0
5.6,0,8,218.27,0,15,21.687,24.5,21,23.91,23,0,15.682,15.316,8,17,7,6,0,0
5.6,7,23,419.56,7,31,57.061,45.0,57,64.98,60,0,37.591,35.801,16,34,8,26,0,0
5.6,0,14,234.28,1,18,28.058,31.0,28,31.239,31,0,20.307,19.666,14,21,4,10,0,0
5.6,3,18,405.26,2,27,42.338,41.0,41,46.001,44,3,29.671,29.046,15,30,9,14,0,0
6.1,0,20,439.36,3,27,42.342,42.0,42,46.455,45,1,32.046,30.174,20,30,7,15,0,0
5.6,3,21,347.45,6,26,46.912,38.0,47,52.651,49,1,31.779,30.235,18,28,5,21,0,0
4.0,2,15,241.28,1,18,30.243,27.0,30,33.539,32,1,20.966,20.28,13,20,3,12,0,0
5.9,2,22,388.53,3,28,47.88,43.0,48,53.444,51,1,34.216,32.202,20,31,6,20,0,0
5.6,5,23,402.49,5,30,52.342,45.0,52,58.358,56,0,35.239,33.971,18,34,7,22,0,0
5.8,5,17,281.39,3,21,39.702,31.0,40,45.026,42,0,26.563,24.993,12,23,4,19,0,0
5.6,1,15,333.3,2,24,35.909,35.5,34,39.381,36,1,23.341,24.079,14,26,9,10,0,0
5.6,4,20,410.42,4,30,47.592,46.5,46,52.579,50,0,31.387,31.485,16,34,10,16,0,0
4.2,1,9,175.21,1,13,22.284,20.0,22,24.95,23,1,14.756,14.359,8,14,4,9,0,0
7.4,2,22,416.48,5,31,51.778,47.0,51,57.524,54,2,34.728,33.96,20,34,9,20,0,0
7.2,2,27,532.52,4,39,60.2,59.0,58,65.959,63,1,40.301,40.637,25,44,12,19,0,0
5.6,1,19,288.37,4,22,37.716,34.0,38,42.112,40,1,26.796,25.445,18,24,3,16,0,0
6.6,2,20,358.41,4,27,42.542,43.0,42,47.406,45,0,29.779,29.146,17,30,7,15,1,1
5.6,4,20,360.46,6,27,47.123,41.5,47,53.106,50,1,31.819,30.531,16,30,7,20,0,0
5.6,0,11,338.12,0,17,24.571,26.0,24,26.754,26,1,19.659,18.171,11,19,6,7,0,0
4.6,0,11,245.28,2,17,24.804,27.5,24,26.664,26,1,18.097,17.735,11,19,6,7,0,0
5.6,5,27,470.57,8,35,61.436,52.0,61,68.398,64,3,41.216,39.74,22,38,8,26,0,0
5.6,1,13,275.33,2,19,29.756,29.5,29,32.625,31,1,21.102,20.457,12,21,6,10,0,0
5.6,1,18,277.34,3,21,35.942,32.0,36,39.824,38,3,25.245,24.139,17,23,3,15,0,0
4.2,1,14,237.28,2,18,29.167,29.0,29,32.365,31,1,20.517,19.886,13,20,4,11,0,0
5.6,7,23,415.55,4,31,55.992,46.5,56,63.434,60,1,37.347,35.606,16,35,8,25,0,0
6.6,3,20,460.54,8,32,54.578,46.0,53,60.409,55,3,35.529,34.772,17,34,12,21,0,0
7.4,9,31,525.78,10,38,72.167,55.0,73,81.849,76,1,49.552,45.911,20,41,7,35,2,1
5.6,1,15,327.2,1,20,31.171,33.0,31,34.496,34,0,23.421,22.218,14,23,5,11,0,0
5.6,0,14,333.22,2,19,28.371,30.0,28,30.628,30,1,22.512,21.077,14,21,5,9,0,0
5.6,6,22,424.5,6,31,53.916,45.0,53,60.615,56,0,35.216,34.351,16,34,9,22,0,0
5.6,6,34,616.81,8,45,77.149,68.5,77,86.308,83,1,53.739,51.109,28,51,11,32,0,0
5.6,8,29,515.67,10,38,71.189,54.0,71,80.142,74,2,46.506,44.341,21,41,9,33,0,0
5.6,3,26,411.9,4,30,48.033,47.0,48,52.598,51,3,35.625,34.02,22,33,4,18,1,1
5.8,5,16,331.43,4,23,40.549,34.5,40,44.95,43,3,27.358,26.083,11,26,7,17,0,0
5.7,1,16,352.21,1,22,32.389,37.0,32,35.579,35,0,24.665,23.713,14,25,6,10,1,1
5.6,4,19,353.48,5,25,44.105,36.5,44,49.155,46,1,30.665,28.895,15,27,6,19,0,0
5.6,1,21,340.41,3,26,42.036,42.0,42,46.694,46,1,30.046,28.961,20,30,5,16,0,0
6.3,2,22,406.45,4,30,49.971,45.0,49,55.283,52,1,33.415,32.828,20,33,8,19,0,0
5.6,2,17,362.34,3,26,40.902,37.5,39,44.922,41,1,26.313,26.826,15,28,9,13,0,0
5.6,2,17,347.32,5,25,38.8,36.0,37,42.424,39,3,25.307,25.805,15,27,8,12,0,0
5.6,2,14,378.19,1,20,31.338,30.5,31,34.584,33,1,24.182,22.224,11,22,6,11,1,1
5.6,3,23,354.49,5,27,48.36,42.0,49,54.73,52,1,33.875,31.827,20,30,4,22,0,0
7.3,2,23,449.55,5,32,52.822,48.0,52,58.492,55,2,36.614,35.321,21,35,9,20,0,0
5.6,1,18,387.24,5,26,39.127,40.0,38,42.376,41,3,28.455,27.804,17,29,8,12,0,0
8.1,4,26,455.63,3,33,57.749,50.0,58,64.773,61,1,40.745,38.277,20,36,7,25,2,1
7.8,5,22,434.98,5,31,54.207,46.0,54,61.252,58,0,36.995,35.213,17,35,9,23,0,0
5.6,3,20,345.44,4,26,45.022,40.5,45,50.607,48,1,30.813,29.509,17,29,6,19,0,0
5.6,7,28,484.66,7,36,67.752,52.0,68,76.806,71,2,44.841,42.406,21,39,8,32,0,0
5.6,5,27,466.59,6,35,61.101,53.0,61,68.561,64,2,41.557,39.826,21,38,8,26,1,1
7.9,4,26,455.63,4,33,57.749,50.0,58,64.773,61,1,40.745,38.277,20,36,7,25,2,1
5.6,3,15,317.33,4,23,37.28,34.0,36,41.456,38,1,24.165,24.222,12,25,8,13,0,0
5.6,2,17,400.31,2,28,41.112,39.5,38,44.732,40,1,25.671,27.261,15,30,11,10,0,0
5.6,1,21,418.52,4,30,48.643,46.0,48,53.82,51,2,34.159,32.906,20,33,9,18,0,0
5.6,1,21,327.41,5,25,41.818,39.5,42,46.611,45,0,29.801,28.467,20,28,4,17,0,0
5.7,2,24,490.59,7,35,58.065,54.0,57,64.069,60,4,39.591,38.389,22,38,11,22,0,0
5.8,1,16,293.36,4,22,37.254,33.0,37,41.777,39,0,25.29,24.456,15,24,6,15,0,0
8.5,2,25,488.59,6,35,56.923,53.5,56,62.99,60,1,39.62,38.343,23,39,10,21,0,0
5.9,0,19,302.35,2,23,37.16,36.5,37,40.907,40,2,26.489,25.633,19,26,4,14,0,0
4.8,1,14,224.28,1,17,28.949,27.0,29,32.282,31,0,20.273,19.392,13,19,3,12,0,0
6.1,2,18,356.81,2,25,39.873,37.5,39,43.978,42,1,27.841,27.172,16,28,7,14,0,0
6.2,3,27,436.55,7,33,56.898,50.5,57,63.564,61,2,39.546,37.783,24,37,6,24,0,0
5.6,1,16,313.76,5,22,34.702,33.0,34,37.934,36,3,24.591,23.955,15,24,6,12,0,0
5.6,1,16,366.75,2,25,37.014,36.5,35,40.242,37,1,24.955,25.412,15,27,9,10,0,0
5.6,0,11,227.25,0,17,26.604,26.0,26,29.531,28,1,18.006,17.875,11,19,6,9,0,0
5.6,2,19,345.46,3,25,40.003,41.5,40,44.488,44,0,29.483,27.928,17,29,6,15,0,0
6.3,8,20,385.94,5,27,50.996,38.0,51,57.797,54,0,33.955,31.917,12,30,7,24,0,0
6.8,4,16,391.8,0,27,42.887,38.0,41,46.559,43,1,27.966,28.143,11,29,11,14,1,1
7.6,1,20,473.8,4,28,42.665,43.0,42,46.399,45,1,32.904,31.001,19,31,8,14,0,0
8.5,1,21,429.41,3,31,48.072,46.0,46,52.966,49,1,31.563,32.043,20,34,10,15,0,0
8.1,9,28,466.58,2,35,61.109,55.0,61,68.189,68,1,41.762,40.025,19,42,7,26,0,0
5.6,10,35,611.75,11,45,82.618,63.0,82,92.019,87,1,54.142,52.023,25,50,10,37,0,0
6.8,9,26,474.62,6,35,65.196,49.5,65,73.6,69,2,42.534,40.594,17,39,9,30,0,0
5.6,0,15,331.76,3,23,35.207,34.5,34,38.645,36,1,24.324,24.14,15,25,8,11,0,0
5.6,3,25,394.51,6,30,51.687,47.5,52,57.939,56,0,36.33,34.542,22,34,5,22,0,0
5.6,2,17,398.32,3,28,41.927,39.5,39,45.602,41,1,26.188,27.593,15,30,11,11,0,0
5.6,4,22,455.49,4,33,54.647,47.0,53,61.038,56,2,35.398,35.229,18,36,11,20,0,0
4.1,1,9,191.21,2,14,23.611,21.0,23,26.159,24,1,15.21,15.074,8,15,5,9,0,0
5.6,0,14,265.3,2,20,31.487,31.5,31,34.947,33,1,21.767,21.402,14,22,6,11,0,0
7.5,6,36,612.77,8,46,79.141,70.0,79,88.933,85,1,54.336,52.118,30,52,10,33,0,0
5.6,1,16,366.75,2,25,37.014,36.5,35,40.242,37,1,24.955,25.412,15,27,9,10,0,0
5.6,1,15,335.21,3,22,34.8,33.0,34,38.167,36,1,25.0,24.089,14,24,7,12,0,0
5.6,1,16,368.29,2,26,37.716,37.5,35,40.977,37,1,23.972,25.351,15,28,10,9,0,0
5.6,3,21,361.5,6,26,44.778,40.0,45,49.946,48,0,32.211,30.181,18,29,5,19,0,0
5.6,3,22,401.53,2,29,48.098,45.0,48,53.527,52,1,34.461,32.697,19,33,7,19,0,0
5.6,1,16,297.31,5,22,34.891,33.0,34,38.329,36,3,23.671,23.511,15,24,6,12,0,0
5.6,7,23,435.56,8,32,58.389,46.0,58,66.189,61,0,38.046,36.516,16,35,9,26,0,0
5.6,8,17,304.85,3,21,41.691,28.5,42,47.302,44,0,27.938,25.853,9,23,4,21,0,0
8.1,6,28,497.67,4,36,62.96,54.0,63,70.398,67,1,43.961,41.518,20,40,8,27,2,1
8.1,2,25,454.6,4,33,55.083,51.5,55,61.441,59,1,39.228,37.245,23,37,8,22,0,0
8.801,1,22,451.97,4,31,49.749,47.0,49,54.681,52,2,35.773,34.239,21,34,9,18,0,0
5.8,2,13,258.25,2,19,30.047,28.5,29,32.495,31,2,19.875,20.009,11,21,6,10,0,0
5.6,7,23,420.54,7,31,56.287,45.0,56,63.691,59,0,37.04,35.494,16,34,8,25,0,0
5.6,0,12,371.57,1,18,25.676,27.5,25,27.615,27,2,21.273,19.504,12,20,6,7,0,0
5.6,2,17,362.34,3,26,40.902,37.5,39,44.922,41,1,26.313,26.826,15,28,9,13,0,0
5.6,11,21,374.53,9,27,56.883,34.0,57,64.647,58,3,35.489,33.277,10,28,6,30,0,0
5.7,0,14,271.72,2,19,29.491,30.0,29,32.309,31,1,21.375,20.714,14,21,5,10,0,0
5.6,6,18,359.9,5,25,47.112,34.0,47,53.382,49,1,31.194,29.391,12,27,7,22,0,0
5.6,3,16,314.8,5,22,37.36,32.5,37,41.638,39,0,25.904,24.789,13,24,6,15,0,0
5.6,4,22,403.52,4,29,47.283,46.5,47,52.658,52,0,33.944,32.365,18,34,7,18,0,0
5.6,1,21,343.41,4,26,43.145,41.0,43,47.82,46,1,30.256,29.181,20,29,5,17,0,0
6.4,0,20,313.38,3,24,38.934,39.0,39,43.196,42,1,28.04,26.94,20,27,4,15,0,0
5.6,0,12,277.75,2,18,26.684,28.0,26,28.814,28,0,20.261,19.374,12,20,6,8,0,0
5.6,1,14,347.74,4,24,35.793,35.0,34,38.519,35,2,23.989,24.374,12,25,10,10,1,1
7.5,6,28,483.69,5,35,63.516,52.0,64,71.603,67,1,44.267,41.33,20,38,7,29,2,1
5.6,3,21,345.43,4,26,45.029,40.0,45,50.235,48,0,31.017,29.708,18,29,5,19,0,0
7.2,11,23,474.54,6,34,60.523,46.0,59,67.995,63,2,38.131,37.503,12,38,11,25,0,0
7.4,11,31,560.71,7,41,75.545,58.0,75,85.316,80,1,49.239,47.227,20,46,10,34,0,0
5.6,6,22,386.5,7,29,51.007,45.0,51,57.521,54,1,34.58,33.058,15,32,7,22,1,1
5.6,0,20,346.39,3,26,41.549,41.0,41,46.034,44,1,28.983,28.345,20,29,6,15,0,0
5.6,3,18,307.38,3,23,40.145,34.0,40,44.82,42,3,27.256,26.181,15,25,5,17,0,0
5.6,1,19,317.44,4,23,37.683,37.0,38,41.906,41,0,28.233,26.412,18,26,4,15,0,0
5.2,0,14,236.3,2,18,29.942,29.0,30,33.654,32,1,21.068,20.193,14,20,4,12,0,0
