pXC50,nCsp2,Ui,Eig07_EA.bo.,Eta_betaP,Eig06_EA.bo.,piID,Eig03_EA.bo.,SM13_AEA.ri.,Eta_beta,C.,PCD,SpMaxA_AEA.ed.,Eta_FL,piPC03,piPC02,SM02_EA.bo.,Eig05_EA.bo.,SM15_AEA.ri.,Eig12_AEA.bo.,Eig09_AEA.bo.,Eig07_AEA.bo.,Eig15_AEA.dm.,SpMaxA_EA,SpMaxA_EA.ed.,piPC05,piPC08,Eig09_EA.bo.,piPC01,SCBO,Eig08_AEA.bo.,Eig12_AEA.ri.,S0K,SpMaxA_AEA.ri.,Eig15_AEA.bo.,Eig12_EA.ri.,nBM,Uc,Eig12_EA,SM06_AEA.dm.,ZM2Kup,piPC04,SpMaxA_AEA.bo.,piPC06,SpAD_EA.bo.,ZM2Per,ZM2V,Eig08_EA,SM02_AEA.dm.,Chi1_EA.ed.,Eig13_AEA.bo.,Eig08_AEA.ed.,ZM2MulPer,Eig05_AEA.bo.,Mi,nC,Eig12_EA.bo.,SpMax6_Bh.m.,piPC07,Eig09_AEA.ri.,Eig14_AEA.bo.,Eig07_AEA.ed.,Eta_F,P_VSA_e_2,SM02_AEA.bo.,C.028,ZM1Per,Eig06_AEA.bo.,Eig08_EA.ed.,SM03_AEA.ri.
4.0,9,2.907,1.924,12.5,1.949,8.95,3.107,3.107,29.5,36.7,1.999,0.233,5.449,4.601,4.107,4.792,2.391,2.391,1.618,2.077,2.82,0.19,0.109,0.365,5.302,5.823,1.046,3.57,34.5,2.682,1.34,116.211,0.141,0.77,0.378,12,3.7,0.437,0.437,390.811,5.028,0.157,5.364,50.496,602.64,386.0,1.391,1.391,4.767,1.475,4.042,411.986,3.216,1.131,18,0.515,3.104,5.48,1.886,1.292,4.117,19.448,114.832,4.802,0,583.91,2.925,3.405,3.405
4.1,13,3.322,2.325,17.5,2.546,10.432,3.362,3.362,41.25,37.5,2.314,0.158,8.129,4.783,4.369,5.056,2.819,2.819,2.5,2.633,3.252,1.0,0.075,0.234,5.63,5.929,1.629,3.892,48.0,3.081,2.0,164.117,0.099,2.0,1.0,15,4.0,1.0,1.0,494.044,5.169,0.11,5.737,69.034,705.69,458.0,1.667,1.667,6.844,2.408,4.417,490.468,3.59,1.134,27,1.5,3.362,5.968,2.39,2.0,4.944,31.88,136.868,5.124,0,695.6,3.493,4.345,4.345
4.0,10,3.0,1.5,12.0,2.076,7.634,3.053,3.053,28.0,37.2,1.131,0.283,5.828,4.391,3.961,4.644,2.571,2.571,1.0,2.312,2.5,-0.058,0.134,0.484,5.096,5.306,1.177,3.497,32.0,2.407,0.842,96.039,0.172,0.5,-0.161,10,3.459,-0.162,-0.162,389.491,4.809,0.18,5.065,45.171,570.66,361.0,1.0,1.0,4.058,1.0,3.661,385.115,3.432,1.136,16,-0.177,2.924,5.131,2.0,0.83,3.899,24.883,88.701,4.749,0,555.25,2.916,2.167,2.167
4.0,13,3.322,1.956,17.0,2.296,9.376,3.475,3.475,34.5,37.8,2.191,0.245,6.615,4.687,4.277,4.963,2.965,2.965,1.372,2.5,2.873,-0.017,0.114,0.402,5.596,5.914,1.5,3.664,38.0,2.818,0.944,118.382,0.146,0.795,0.089,15,4.0,0.14,0.14,417.312,5.116,0.166,5.734,56.426,702.48,453.0,1.414,1.414,4.683,1.297,4.049,486.089,3.692,1.121,17,0.165,3.399,5.877,2.005,1.0,4.437,25.324,140.106,4.927,0,695.65,3.103,3.521,3.521
4.1,11,3.322,2.23,15.0,2.593,8.784,3.418,3.418,31.25,38.6,1.66,0.261,5.887,4.577,4.212,4.898,2.643,2.643,1.3,2.523,3.058,0.235,0.121,0.446,5.425,5.974,1.5,3.638,37.0,2.711,0.929,116.211,0.155,0.767,-0.043,12,3.7,-0.045,-0.045,413.296,5.081,0.173,5.617,54.423,651.7,420.0,1.482,1.482,4.419,1.0,4.33,449.79,3.492,1.125,17,-0.055,3.25,5.847,2.028,1.0,4.643,26.213,88.651,4.931,0,636.78,3.438,4.15,4.15
6.236,18,3.585,2.471,19.5,2.659,9.937,3.547,3.547,38.25,43.4,2.581,0.201,7.433,4.8,4.331,5.017,2.882,2.882,2.392,2.758,3.302,0.753,0.095,0.32,5.71,6.291,1.754,3.807,44.0,2.953,2.0,145.58,0.123,1.292,1.0,17,4.17,1.0,1.0,459.828,5.254,0.133,5.834,62.584,714.21,460.0,1.633,1.633,5.641,1.76,4.63,490.535,3.607,1.11,23,1.284,3.28,6.106,2.258,1.661,4.803,29.978,205.416,5.037,0,694.91,3.449,4.557,4.557
4.0,16,3.7,2.569,21.0,2.724,9.331,3.459,3.459,42.25,40.4,1.95,0.208,8.79,4.828,4.382,5.069,3.04,3.04,2.403,2.916,3.427,1.0,0.099,0.356,5.693,6.171,2.042,3.85,46.0,2.938,2.0,150.0,0.127,1.387,0.995,18,4.248,1.0,1.0,556.856,5.273,0.133,5.786,65.954,803.36,513.0,1.484,1.484,5.617,2.248,3.989,549.711,3.764,1.13,21,1.251,3.232,5.97,2.269,1.953,5.225,40.339,123.723,5.1,0,787.33,3.556,3.174,3.174
4.0,16,3.459,2.308,18.5,2.473,8.889,3.413,3.413,36.5,42.9,1.848,0.242,7.6,4.663,4.22,4.905,2.731,2.731,1.675,2.5,3.151,0.322,0.114,0.411,5.597,6.06,1.5,3.689,39.0,2.916,1.272,120.382,0.147,0.937,0.27,16,4.087,0.295,0.295,453.605,5.179,0.155,5.618,56.062,680.15,435.0,1.484,1.484,4.908,1.391,3.849,463.626,3.521,1.125,18,0.369,3.022,5.867,2.0,1.0,4.782,31.549,114.796,4.934,0,670.01,3.347,3.172,3.172
6.463,20,3.7,2.722,21.5,2.791,11.623,3.58,3.58,44.5,44.1,3.392,0.184,8.888,5.021,4.522,5.209,2.938,2.938,2.5,3.232,3.52,1.0,0.087,0.324,6.116,7.264,2.302,3.951,51.0,3.409,2.0,176.117,0.112,1.859,1.0,18,4.248,1.025,1.025,599.053,5.562,0.119,6.405,74.615,922.17,587.0,2.079,2.079,6.574,2.5,4.992,625.66,3.674,1.113,26,1.5,3.426,6.804,2.867,2.445,5.07,39.65,184.681,5.22,0,886.88,3.546,5.621,5.621
4.1,11,3.0,1.935,15.0,2.06,10.447,2.893,2.893,30.25,43.2,3.003,0.268,5.289,4.673,4.078,4.762,2.36,2.36,1.199,2.199,2.835,-0.784,0.126,0.435,5.84,7.02,1.067,3.497,32.0,2.452,0.855,94.107,0.163,0.399,-0.064,13,3.807,-0.07,-0.07,361.217,5.261,0.179,6.14,47.273,555.77,354.0,1.187,1.187,4.346,0.888,3.536,375.289,3.201,1.123,16,-0.084,2.904,6.573,1.984,0.691,4.007,17.561,79.293,4.736,0,505.68,2.933,2.773,2.773
4.0,10,3.248,2.061,16.0,2.224,9.52,3.647,3.647,35.25,35.8,1.883,0.243,6.605,4.833,4.341,5.027,2.757,2.757,2.1,2.482,3.009,0.456,0.112,0.444,5.609,6.029,1.48,3.726,40.5,2.923,1.796,138.881,0.141,1.0,0.798,14,3.907,0.819,0.819,477.284,5.336,0.156,5.719,61.105,750.92,479.0,1.618,1.618,5.194,1.912,4.418,510.605,3.501,1.134,19,1.07,3.163,5.911,2.327,1.196,4.732,27.723,95.364,5.009,1,687.94,3.055,4.365,4.365
4.0,24,4.0,2.37,26.0,2.663,10.795,3.532,3.532,46.25,44.1,3.287,0.213,9.595,4.992,4.505,5.193,2.871,2.871,2.5,2.847,3.223,0.991,0.097,0.378,5.98,6.709,1.92,3.951,51.0,2.955,2.0,152.974,0.123,2.241,1.0,24,4.644,1.0,1.0,483.549,5.482,0.137,6.144,72.007,782.6,506.0,1.463,1.463,6.291,2.5,4.287,540.44,3.56,1.111,26,1.5,3.461,6.518,2.32,2.5,4.501,40.794,247.742,5.168,0,727.25,3.356,3.937,3.937
4.0,10,3.248,2.045,14.0,2.481,10.969,3.141,3.141,32.25,38.0,3.233,0.235,5.893,4.968,4.307,4.994,2.818,2.818,1.798,2.601,2.879,0.126,0.112,0.405,6.286,7.677,1.648,3.676,38.5,2.866,1.374,122.382,0.143,0.799,0.414,16,4.087,0.487,0.487,432.765,5.658,0.161,6.713,58.041,658.38,418.0,1.381,1.381,4.97,1.458,4.086,443.38,3.492,1.131,19,0.592,3.151,7.216,2.231,0.945,4.618,22.339,117.791,4.933,1,590.71,3.403,3.501,3.501
4.06,14,3.17,2.081,15.0,2.391,8.238,3.347,3.347,32.25,40.5,1.732,0.254,6.598,4.431,4.111,4.796,2.772,2.772,1.191,2.5,2.916,0.093,0.119,0.418,5.284,5.269,1.5,3.611,36.0,2.662,0.863,119.627,0.144,0.787,-0.071,14,3.907,-0.076,-0.076,410.111,4.862,0.155,5.021,51.571,682.81,430.0,1.299,1.299,5.041,1.0,3.621,460.892,3.591,1.117,17,-0.087,3.3,4.995,2.071,0.886,4.241,24.447,151.561,4.836,0,737.03,3.188,3.094,3.094
4.1,14,3.17,2.085,16.0,2.171,9.771,3.274,3.274,36.5,40.7,1.992,0.193,7.198,4.775,4.263,4.949,2.493,2.493,2.109,2.808,2.917,0.939,0.091,0.302,5.569,5.836,1.875,3.761,42.0,2.868,1.967,143.58,0.119,1.64,0.965,14,3.907,1.0,1.0,429.132,5.186,0.128,5.523,61.5,649.56,416.0,1.492,1.492,5.716,2.0,4.062,442.151,3.39,1.127,24,1.0,3.255,5.736,2.347,2.0,4.441,27.813,128.492,5.011,0,629.4,3.099,3.384,3.384
4.365,21,3.807,2.53,24.5,2.833,12.032,3.892,3.892,45.5,45.6,3.512,0.193,8.62,5.131,4.6,5.288,3.203,3.203,2.637,3.013,3.278,1.0,0.09,0.331,6.212,7.209,2.127,3.951,51.0,3.111,2.128,166.974,0.115,1.799,1.118,22,4.524,1.125,1.125,519.605,5.665,0.128,6.515,76.922,845.65,541.0,1.757,1.757,5.985,2.5,4.867,576.126,3.886,1.11,26,1.567,3.309,6.879,2.55,2.152,5.115,38.125,155.099,5.234,0,777.68,3.616,5.206,5.206
4.0,7,3.087,1.682,13.0,2.279,8.984,3.374,3.374,30.75,37.7,1.597,0.229,4.92,4.733,4.216,4.902,2.741,2.741,2.214,2.536,2.922,0.084,0.108,0.402,5.616,6.529,1.5,3.701,39.5,2.635,1.837,125.372,0.138,1.0,0.839,12,3.7,0.865,0.865,383.034,5.243,0.144,5.907,57.547,564.23,364.0,1.301,1.301,5.179,2.0,3.904,391.014,3.527,1.137,23,1.054,3.173,6.22,2.096,1.555,4.255,20.787,111.635,5.002,0,493.49,3.257,3.201,3.201
4.1,11,3.392,2.164,16.0,2.861,9.725,3.704,3.704,34.5,38.1,2.462,0.281,7.224,4.772,4.314,5.001,3.012,3.012,1.985,2.675,3.092,0.51,0.128,0.537,5.632,6.431,1.667,3.701,39.5,2.797,1.621,123.851,0.158,0.695,0.632,15,4.0,0.647,0.647,574.716,5.26,0.162,5.829,59.447,820.04,510.0,1.489,1.489,4.633,1.288,4.746,547.957,3.716,1.163,16,0.805,3.164,6.043,2.087,1.0,4.901,31.631,93.814,5.002,0,811.9,3.534,4.669,4.669
6.255,23,3.954,2.644,27.0,2.862,12.645,3.916,3.916,50.75,45.9,4.085,0.17,9.791,5.325,4.668,5.357,2.968,2.968,2.534,2.953,3.36,1.104,0.081,0.291,6.476,7.778,2.125,4.034,55.5,3.046,2.063,182.117,0.104,2.278,1.044,28,4.858,1.145,1.145,580.328,5.966,0.114,6.837,83.26,884.61,565.0,1.556,1.556,6.964,2.5,4.615,596.285,3.712,1.114,28,1.549,3.296,7.32,2.521,2.405,5.126,39.594,203.51,5.272,0,772.55,3.51,4.387,4.387
4.11,6,2.322,1.0,5.0,1.46,6.702,2.506,2.506,17.75,32.4,0.582,0.34,3.65,4.025,3.638,4.317,1.863,1.863,0.421,1.453,2.197,-0.805,0.161,0.555,4.605,4.511,0.074,3.219,24.0,2.0,0.021,76.711,0.207,-0.285,-0.757,4,2.322,-0.823,-0.823,267.694,4.382,0.226,4.595,34.062,437.91,275.0,0.748,0.748,3.336,0.0,3.27,296.296,2.887,1.134,12,-1.0,2.866,4.575,0.947,0.0,3.414,12.558,130.163,4.489,0,414.65,2.555,1.602,1.602
4.0,10,2.907,1.172,12.5,1.5,7.902,2.936,2.936,24.5,37.1,1.862,0.283,5.021,4.278,3.845,4.527,2.135,2.135,0.5,1.362,2.208,-1.036,0.139,0.395,5.057,5.229,0.155,3.314,26.5,2.189,0.098,76.711,0.185,-0.037,-0.793,12,3.7,-0.842,-0.842,284.784,4.799,0.206,5.015,37.82,420.42,276.0,0.729,0.729,3.688,0.413,3.193,294.164,3.002,1.132,13,-1.014,2.79,5.241,1.066,0.293,3.274,15.357,128.185,4.497,0,399.42,2.5,1.726,1.726
6.331,20,3.7,2.714,21.5,2.791,11.603,3.579,3.579,44.0,44.6,3.419,0.189,8.922,5.014,4.5,5.187,2.933,2.933,2.5,3.13,3.517,1.0,0.09,0.333,6.109,7.251,2.184,3.932,50.0,3.386,2.0,168.77,0.115,1.859,1.0,18,4.248,1.0,1.0,588.144,5.55,0.122,6.395,72.722,907.33,577.0,2.017,2.017,6.454,2.466,4.886,614.279,3.665,1.112,25,1.5,3.358,6.794,2.684,2.096,5.069,38.795,180.448,5.193,0,876.46,3.538,5.229,5.229
5.265,21,3.755,2.415,22.5,2.716,11.625,3.638,3.638,41.75,48.8,3.894,0.214,8.633,4.996,4.422,5.109,2.885,2.885,2.468,2.817,3.253,0.435,0.101,0.354,6.035,7.071,1.882,3.818,44.5,2.929,2.0,136.881,0.131,1.182,0.994,21,4.459,1.0,1.0,502.154,5.571,0.141,6.315,65.498,757.53,485.0,1.446,1.446,5.274,2.272,4.463,515.316,3.59,1.111,21,1.426,3.209,6.752,2.318,1.647,4.853,34.21,140.89,5.064,0,718.44,3.416,3.984,3.984
4.0,14,3.248,1.656,15.5,2.187,9.43,3.205,3.205,28.75,48.4,2.639,0.291,5.869,4.591,4.056,4.741,2.543,2.543,0.941,2.118,2.636,-0.72,0.139,0.469,5.553,6.643,0.927,3.481,31.5,2.378,0.512,92.239,0.181,0.253,-0.435,14,3.907,-0.461,-0.461,372.43,5.138,0.197,5.903,45.651,561.56,361.0,0.866,0.866,4.036,0.647,3.373,384.151,3.306,1.098,15,-0.577,2.701,6.293,1.464,0.475,3.628,19.72,126.694,4.707,0,546.41,3.051,2.087,2.087
4.553,7,2.807,1.159,10.5,1.5,7.38,2.858,2.858,22.0,33.3,1.367,0.356,3.821,4.147,3.861,4.543,2.173,2.173,0.582,1.304,2.175,-1.0,0.166,0.583,4.96,5.274,0.019,3.296,26.0,1.618,0.0,70.711,0.211,-0.282,-1.0,9,3.322,-1.0,-1.0,262.925,4.573,0.24,5.155,37.695,441.14,288.0,0.618,0.618,3.451,0.5,3.0,310.313,3.028,1.129,12,-1.27,2.687,5.329,0.949,0.293,3.394,14.337,103.635,4.538,0,423.0,2.5,1.372,1.372
4.842,18,3.585,2.441,20.0,2.57,9.821,3.622,3.622,37.5,45.5,2.637,0.222,7.704,4.758,4.29,4.977,2.888,2.888,1.931,2.705,3.26,0.51,0.105,0.353,5.714,6.353,1.676,3.738,41.0,2.953,1.448,126.606,0.136,0.882,0.429,17,4.17,0.433,0.433,456.093,5.23,0.147,5.795,58.886,695.09,446.0,1.514,1.514,5.072,1.403,4.536,477.908,3.623,1.111,20,0.571,3.027,6.113,2.216,1.299,4.735,30.347,155.69,4.977,0,676.83,3.37,4.321,4.321
5.349,17,3.459,2.433,19.0,2.556,10.13,3.593,3.593,37.5,43.5,2.867,0.209,7.636,4.808,4.304,4.99,2.879,2.879,1.987,2.755,3.288,0.439,0.099,0.326,5.806,6.614,1.684,3.738,41.0,2.803,1.738,136.881,0.129,1.0,0.729,16,4.087,0.846,0.846,487.089,5.316,0.143,6.042,59.518,730.72,468.0,1.359,1.359,5.282,1.396,4.151,499.584,3.583,1.118,20,0.934,3.269,6.33,2.243,1.129,4.755,29.205,120.089,4.977,0,728.85,3.312,3.573,3.573
4.0,14,3.17,1.643,16.0,1.892,9.359,3.128,3.128,29.5,47.1,2.469,0.304,6.181,4.654,4.06,4.745,2.493,2.493,0.89,2.179,2.636,-0.886,0.144,0.516,5.741,6.548,1.019,3.466,31.0,2.5,0.452,85.484,0.187,0.42,-0.574,14,3.907,-0.572,-0.572,346.37,5.219,0.201,5.901,45.945,515.4,328.0,1.0,1.0,3.72,0.716,3.503,350.842,3.264,1.113,16,-0.762,2.737,6.278,1.779,0.5,3.764,21.622,102.494,4.71,0,486.01,2.83,2.275,2.275
4.893,19,3.907,2.538,24.5,2.669,12.784,3.538,3.538,44.25,45.5,4.705,0.203,8.343,5.164,4.525,5.212,2.829,2.829,2.5,2.685,3.209,0.757,0.096,0.343,6.247,7.282,1.774,3.892,48.0,3.072,2.0,139.207,0.122,2.063,0.981,27,4.807,1.0,1.0,530.875,5.814,0.138,6.578,71.362,851.8,545.0,1.644,1.644,6.023,2.383,4.282,580.964,3.547,1.105,20,1.5,3.329,7.024,2.168,2.17,4.558,29.417,215.215,5.103,0,761.49,3.359,4.052,4.052
4.1,12,3.0,1.5,13.5,1.564,7.897,2.913,2.913,23.75,46.4,2.086,0.336,4.742,4.263,3.784,4.466,1.924,1.924,0.5,0.944,2.5,-1.413,0.158,0.484,5.178,4.973,-0.509,3.258,25.0,1.754,0.0,65.487,0.213,-0.43,-1.0,13,3.807,-1.0,-1.0,235.173,4.712,0.234,4.904,35.564,363.01,238.0,0.426,0.426,3.395,0.17,2.919,254.551,2.822,1.112,13,-1.5,2.687,5.033,0.413,-0.074,3.247,13.462,91.189,4.419,0,372.49,2.566,0.964,0.964
4.975,18,3.755,2.326,22.0,2.821,11.008,3.511,3.511,43.0,43.1,3.091,0.192,8.128,5.123,4.514,5.201,2.946,2.946,2.378,2.912,3.16,0.772,0.091,0.323,6.097,7.021,2.09,3.902,48.5,3.038,2.0,156.0,0.117,2.118,1.0,23,4.585,1.0,1.0,549.222,5.754,0.128,6.438,72.355,854.24,545.0,1.633,1.633,6.174,2.241,4.523,578.042,3.649,1.115,22,1.323,3.35,6.769,2.447,2.161,4.754,31.867,179.369,5.143,0,773.66,3.592,4.363,4.363
4.1,10,3.087,1.157,13.5,2.133,9.255,2.903,2.903,25.5,41.7,2.613,0.345,5.075,4.582,3.98,4.663,2.613,2.613,0.533,1.162,2.298,-1.294,0.166,0.549,5.882,7.106,-0.221,3.314,26.5,1.421,0.087,69.487,0.216,-0.22,-0.831,13,3.807,-0.874,-0.874,316.994,5.24,0.24,6.276,39.226,483.97,309.0,0.0,0.0,3.106,0.201,2.84,328.579,3.341,1.127,10,-1.261,2.596,6.667,0.759,-0.147,3.514,16.358,90.74,4.562,3,441.25,2.985,0.0,0.0
5.135,17,3.585,2.385,21.0,2.814,11.118,3.513,3.513,41.5,42.6,3.395,0.202,8.388,4.887,4.382,5.069,2.94,2.94,2.47,2.828,3.274,0.975,0.095,0.333,5.843,6.625,1.835,3.829,45.0,2.887,2.0,149.58,0.123,1.564,1.0,17,4.17,1.0,1.0,555.429,5.395,0.13,6.055,65.434,830.26,531.0,1.534,1.534,5.697,2.182,4.449,566.985,3.641,1.12,20,1.369,3.194,6.394,2.426,1.669,4.917,33.32,147.412,5.081,0,797.32,3.536,4.215,4.215
5.416,9,3.0,1.642,12.5,2.254,8.873,3.213,3.213,26.25,40.6,1.859,0.311,5.052,4.572,4.052,4.736,2.624,2.624,0.967,1.837,2.727,-0.517,0.148,0.545,5.691,6.579,0.754,3.434,30.0,2.306,0.162,90.239,0.19,0.317,-0.44,10,3.459,-0.637,-0.637,379.896,5.18,0.204,6.075,45.39,565.04,360.0,1.006,1.006,3.539,0.555,3.608,384.09,3.355,1.127,13,-0.703,2.773,6.297,1.64,0.388,4.162,20.392,44.073,4.732,0,564.35,3.11,2.351,2.351
4.1,9,2.807,1.512,10.5,1.648,7.271,2.916,2.916,23.5,37.8,1.148,0.288,4.451,4.238,3.818,4.5,1.949,1.949,0.693,2.0,2.554,-0.784,0.133,0.426,4.908,4.542,0.908,3.367,28.0,2.101,0.265,88.239,0.178,0.014,-0.756,9,3.322,-0.75,-0.75,310.046,4.529,0.192,4.756,39.543,466.71,302.0,1.0,1.0,3.955,0.478,3.294,322.422,2.855,1.132,14,-0.809,2.866,4.831,1.769,0.389,3.472,16.025,70.075,4.58,0,485.66,2.668,2.136,2.136
5.084,15,3.322,2.082,18.0,2.459,10.288,3.522,3.522,36.25,45.2,2.545,0.241,7.514,4.868,4.277,4.963,2.752,2.752,1.91,2.705,2.955,0.605,0.115,0.425,5.909,6.712,1.756,3.689,39.0,2.86,1.628,128.382,0.148,1.111,0.651,15,4.0,0.738,0.738,489.566,5.435,0.155,6.113,57.738,735.01,465.0,1.414,1.414,4.742,1.539,4.268,496.557,3.486,1.117,19,0.819,3.137,6.401,2.258,1.375,4.813,29.572,120.196,4.963,0,700.1,3.343,3.465,3.465
5.336,18,3.585,2.477,20.5,2.656,10.139,3.676,3.676,40.75,42.3,2.664,0.196,8.435,4.864,4.369,5.056,2.97,2.97,2.194,2.919,3.311,0.976,0.093,0.311,5.793,6.462,1.936,3.829,45.0,2.934,1.795,156.0,0.12,1.346,0.784,17,4.17,0.813,0.813,521.919,5.332,0.13,5.973,64.308,802.33,513.0,1.611,1.611,5.628,1.905,4.621,551.757,3.676,1.112,22,0.997,3.24,6.235,2.436,1.479,4.803,34.316,211.113,5.069,0,791.28,3.444,4.52,4.52
5.396,13,3.322,1.577,16.5,2.164,9.402,3.502,3.502,30.75,42.1,2.656,0.23,6.033,4.59,4.111,4.796,2.687,2.687,1.182,2.213,2.566,-0.405,0.113,0.329,5.326,6.012,1.078,3.555,34.0,2.5,0.869,100.042,0.15,0.529,-0.028,17,4.17,-0.031,-0.031,361.04,5.127,0.167,5.469,48.601,565.84,369.0,1.0,1.0,4.527,0.975,3.393,394.97,3.425,1.112,16,-0.037,2.783,5.801,1.664,0.958,3.414,18.859,158.936,4.745,0,543.33,3.013,2.275,2.275
4.1,13,3.17,1.437,14.0,1.5,9.159,3.164,3.164,25.25,45.5,2.788,0.336,5.161,4.635,4.007,4.691,2.224,2.224,0.5,2.118,2.457,-1.531,0.157,0.542,5.531,6.729,0.927,3.367,28.0,2.251,0.0,65.059,0.204,-0.118,-1.0,16,4.087,-1.0,-1.0,265.395,5.235,0.225,5.844,41.847,392.86,256.0,0.761,0.761,3.373,0.26,3.269,271.171,3.055,1.121,15,-1.204,2.687,6.342,1.603,0.042,3.414,14.996,107.244,4.575,1,334.63,2.5,1.905,1.905
4.459,15,3.7,2.639,20.5,2.733,11.236,3.529,3.529,37.0,43.6,3.972,0.247,7.32,5.028,4.404,5.091,2.961,2.961,1.301,2.607,3.35,0.115,0.117,0.413,6.205,7.397,1.596,3.714,40.0,2.945,0.961,120.211,0.151,0.952,-0.024,20,4.392,-0.024,-0.024,483.439,5.661,0.169,6.604,59.847,729.25,466.0,1.547,1.547,4.47,1.098,4.599,499.556,3.584,1.116,17,-0.03,3.155,6.997,2.0,1.0,4.695,28.453,116.109,4.963,0,686.03,3.376,4.144,4.144
4.1,15,3.392,2.057,19.0,2.201,10.127,3.711,3.711,35.5,42.9,3.039,0.228,7.39,4.786,4.238,4.924,2.652,2.652,1.484,2.535,2.919,0.212,0.106,0.346,5.681,6.364,1.489,3.651,37.5,2.86,1.215,122.211,0.141,0.965,0.306,18,4.248,0.363,0.363,446.519,5.315,0.155,5.791,54.329,667.85,429.0,1.414,1.414,4.767,1.181,3.771,460.981,3.39,1.126,18,0.396,3.051,6.098,2.024,1.093,4.359,25.917,154.026,4.862,0,649.09,3.029,3.052,3.052
4.0,9,2.807,1.5,11.0,1.728,7.887,2.86,2.86,25.5,36.1,1.536,0.306,5.523,4.266,3.839,4.522,2.303,2.303,0.938,1.651,2.5,-0.703,0.143,0.494,5.165,5.64,0.383,3.367,28.0,2.09,0.503,88.239,0.186,0.07,-0.369,9,3.322,-0.417,-0.417,354.319,4.778,0.199,5.294,39.206,507.12,324.0,1.0,1.0,4.091,0.5,3.306,348.094,3.161,1.151,13,-0.49,2.889,5.495,1.281,0.481,3.414,19.548,80.349,4.58,0,514.13,2.732,1.938,1.938
5.793,7,2.322,1.0,8.5,1.177,7.209,2.524,2.524,19.5,37.8,1.193,0.338,3.647,4.163,3.676,4.357,2.016,2.016,0.097,1.091,2.0,-1.269,0.159,0.516,5.028,4.973,-0.168,3.178,23.0,1.717,-0.049,71.059,0.209,-0.393,-0.946,7,3.0,-1.0,-1.0,229.764,4.558,0.229,5.125,33.462,352.53,226.0,0.521,0.521,3.169,0.0,2.865,242.994,2.882,1.124,14,-1.1,2.866,5.152,0.788,-0.127,3.414,12.363,111.752,4.413,0,341.79,2.347,0.868,0.868
4.1,14,3.248,1.5,14.5,1.845,9.181,3.329,3.329,26.75,51.9,2.732,0.302,5.407,4.56,4.003,4.687,1.942,1.942,0.706,2.118,2.5,-1.0,0.145,0.463,5.485,6.491,0.927,3.418,29.5,2.432,0.234,76.711,0.19,-0.037,-0.716,14,3.907,-0.785,-0.785,343.823,5.09,0.21,5.775,42.703,519.91,334.0,1.0,1.0,3.684,0.5,3.4,355.19,2.915,1.097,14,-1.09,2.721,6.108,1.618,0.115,3.414,16.295,104.525,4.632,0,500.33,2.823,2.275,2.275
4.1,10,3.087,1.766,13.5,2.535,9.053,3.405,3.405,32.5,37.7,1.965,0.234,6.153,4.586,4.171,4.856,2.655,2.655,2.0,2.557,2.71,0.452,0.109,0.415,5.313,5.811,1.535,3.676,38.5,2.655,1.682,136.881,0.141,1.0,0.681,13,3.807,0.686,0.686,457.434,5.054,0.143,5.388,55.237,663.04,430.0,1.258,1.258,5.52,1.751,3.756,459.201,3.505,1.133,20,0.995,3.235,5.443,2.095,1.0,4.159,24.458,99.11,4.911,1,668.98,3.287,3.082,3.082
4.0,11,3.0,1.5,12.0,1.931,7.893,2.79,2.79,24.0,41.4,1.797,0.333,4.961,4.201,3.818,4.5,2.128,2.128,0.552,1.591,2.5,-0.959,0.157,0.528,5.0,5.468,0.249,3.332,27.0,1.993,0.013,76.711,0.203,0.118,-0.798,10,3.459,-0.872,-0.872,309.91,4.621,0.219,4.851,38.187,489.2,314.0,0.687,0.687,3.581,0.5,3.247,336.482,3.029,1.108,12,-1.144,2.843,5.132,1.134,0.279,3.255,16.407,145.868,4.549,0,489.4,2.867,1.65,1.65
4.1,15,3.322,1.919,18.5,2.644,9.568,3.101,3.101,36.25,39.6,2.764,0.236,8.147,4.71,4.19,4.875,2.734,2.734,1.575,2.5,2.858,0.454,0.11,0.391,5.698,5.98,1.5,3.664,38.0,2.713,1.315,130.606,0.144,0.872,0.377,15,4.0,0.436,0.436,462.493,5.219,0.157,5.776,53.706,665.03,428.0,1.183,1.183,4.971,1.532,3.499,464.041,3.466,1.129,19,0.48,3.082,5.922,2.0,1.215,4.319,30.856,136.106,4.868,0,672.58,3.408,2.58,2.58
4.0,6,2.459,1.52,7.5,1.642,8.834,2.587,2.587,22.75,36.4,1.488,0.279,3.932,4.493,3.917,4.6,2.224,2.224,1.319,2.066,2.529,-0.469,0.132,0.473,5.455,6.33,1.0,3.418,29.5,2.42,0.915,94.107,0.17,0.306,0.0,7,3.0,0.0,0.0,301.252,5.057,0.186,5.758,43.556,477.56,302.0,1.239,1.239,4.371,0.632,3.608,319.338,3.13,1.133,16,0.0,2.932,6.017,1.952,0.349,3.654,13.047,78.629,4.684,0,428.52,2.678,2.907,2.907
