pXC50,nDB,N.,nBM,nN,AMW,Mp,nAB,H.,C.,Me,Mi,Mv,MW,nAT,nB
5.0,1,6.5,13,3,6.727,0.654,12,50.0,41.3,0.988,1.127,0.61,309.45,46,0
4.481,1,3.4,29,2,9.041,0.727,28,37.3,49.2,1.015,1.107,0.701,533.43,59,0
5.301,1,10.8,18,4,8.28,0.696,17,37.8,45.9,1.013,1.121,0.68,306.35,37,0
5.585,1,12.8,19,5,8.599,0.698,18,35.9,46.2,1.02,1.131,0.688,335.37,39,0
6.0,1,12.8,19,5,9.061,0.697,18,33.3,46.2,1.033,1.14,0.698,353.36,39,0
6.155,1,12.8,19,5,8.599,0.698,18,35.9,46.2,1.02,1.131,0.688,335.37,39,0
6.0,1,13.9,18,5,9.037,0.692,17,33.3,44.4,1.034,1.136,0.695,325.33,36,0
4.602,1,13.9,18,5,9.037,0.692,17,33.3,44.4,1.034,1.136,0.695,325.33,36,0
5.0,1,6.8,19,5,8.063,0.675,18,45.2,41.1,1.009,1.136,0.639,588.58,73,0
4.523,1,11.9,17,5,8.652,0.658,16,38.1,40.5,1.037,1.158,0.659,363.38,42,0
4.602,0,2.6,6,1,7.34,0.669,6,53.8,38.5,0.986,1.127,0.602,286.27,39,0
4.602,0,2.4,6,1,7.15,0.663,6,54.8,38.1,0.985,1.128,0.595,300.3,42,0
5.301,0,2.1,11,1,5.864,0.644,11,56.3,41.7,0.971,1.123,0.581,281.48,48,0
4.602,1,6.3,13,5,6.997,0.628,12,50.0,37.5,1.006,1.148,0.596,559.75,80,0
4.754,3,6.7,21,3,9.019,0.724,18,35.6,48.9,1.018,1.111,0.705,405.86,45,0
4.523,3,6.3,15,3,8.289,0.689,12,41.7,43.8,1.012,1.121,0.662,397.89,48,0
6.114,2,7.5,24,4,7.821,0.684,22,41.5,45.3,1.006,1.12,0.66,414.5,53,0
4.824,4,6.3,21,3,9.656,0.696,17,33.3,43.8,1.048,1.137,0.697,463.47,48,0
5.5,3,1.4,21,1,8.697,0.67,18,42.0,40.6,1.031,1.135,0.651,600.1,69,0
4.824,1,8.2,18,4,7.397,0.669,17,44.9,42.9,1.0,1.125,0.638,362.47,49,0
5.222,1,7.7,18,4,7.903,0.681,17,44.2,42.3,1.004,1.125,0.646,410.94,52,0
5.046,1,7.7,18,4,7.903,0.681,17,44.2,42.3,1.004,1.125,0.646,410.94,52,0
5.5,3,1.5,21,1,8.59,0.673,18,42.6,41.2,1.027,1.133,0.65,584.1,68,0
5.143,0,5.0,15,3,7.468,0.668,15,50.0,38.3,0.996,1.127,0.615,448.08,60,0
5.824,1,5.5,23,3,7.264,0.678,22,45.5,45.5,0.994,1.118,0.642,399.53,55,0
4.301,3,4.2,20,3,8.023,0.655,17,42.3,42.3,1.024,1.138,0.644,569.63,71,0
5.523,2,4.2,20,4,6.751,0.656,18,51.6,41.1,0.986,1.125,0.605,641.37,95,0
4.3,5,4.4,16,2,8.054,0.687,11,40.0,46.7,1.013,1.115,0.669,362.41,45,0
4.523,0,8.6,12,3,6.839,0.667,12,48.6,42.9,0.985,1.126,0.621,239.35,35,0
4.845,1,2.7,12,1,8.699,0.717,11,43.2,43.2,1.006,1.111,0.667,321.85,37,0
4.523,1,12.1,18,7,8.793,0.659,17,39.7,37.9,1.036,1.156,0.652,509.97,58,0
6.042,5,0.0,17,0,8.982,0.725,12,32.4,54.1,1.025,1.096,0.723,332.32,37,0
5.569,4,5.1,26,4,7.24,0.667,22,46.2,43.6,0.998,1.121,0.633,564.74,78,0
5.377,4,3.9,25,3,7.286,0.664,21,46.1,43.4,1.001,1.121,0.632,553.71,76,0
4.301,3,0.0,15,0,9.146,0.667,12,38.6,40.9,1.047,1.14,0.663,402.42,44,0
4.523,4,6.5,10,4,7.758,0.637,6,46.8,35.5,1.019,1.139,0.614,481.0,62,0
4.809,0,8.7,11,2,7.575,0.674,11,43.5,43.5,1.003,1.125,0.646,174.22,23,0
5.0,1,5.3,11,2,9.296,0.679,10,44.7,39.5,1.013,1.126,0.643,353.24,38,0
5.0,1,5.3,11,2,9.296,0.679,10,44.7,39.5,1.013,1.126,0.643,353.24,38,0
5.0,1,5.3,11,2,9.296,0.679,10,44.7,39.5,1.013,1.126,0.643,353.24,38,0
4.2,2,6.1,14,3,7.499,0.663,12,44.9,42.9,1.006,1.131,0.636,367.46,49,0
4.422,0,16.7,11,3,8.066,0.697,11,38.9,44.4,1.004,1.129,0.673,145.18,18,0
4.429,1,9.1,12,2,9.285,0.745,11,36.4,45.5,1.012,1.108,0.706,204.27,22,0
6.678,0,7.1,22,3,8.656,0.753,22,40.5,47.6,0.992,1.101,0.693,363.54,42,0
4.917,0,9.7,17,3,7.591,0.704,17,41.9,48.4,0.991,1.115,0.668,235.31,31,0
4.815,0,7.7,11,2,7.24,0.664,11,46.2,42.3,0.998,1.126,0.63,188.25,26,0
4.186,1,5.0,12,1,9.463,0.77,11,35.0,50.0,1.008,1.094,0.725,189.25,20,0
5.032,2,13.7,24,7,8.305,0.685,22,41.2,39.2,1.012,1.132,0.656,423.55,51,0
4.699,2,13.7,24,7,8.305,0.685,22,41.2,39.2,1.012,1.132,0.656,423.55,51,0
5.495,0,8.7,11,2,8.273,0.726,11,43.5,43.5,0.992,1.112,0.667,190.29,23,0
4.678,0,4.8,11,1,9.203,0.745,11,38.1,47.6,1.011,1.115,0.7,193.26,21,0
5.0,1,4.9,20,3,7.436,0.681,18,44.3,45.9,0.998,1.116,0.648,453.58,61,0
5.05,1,6.7,20,4,7.576,0.679,18,43.3,45.0,1.002,1.12,0.65,454.57,60,0
4.847,0,4.8,11,1,8.346,0.748,11,42.9,47.6,0.986,1.099,0.682,175.27,21,0
4.754,0,4.8,11,1,8.346,0.748,11,42.9,47.6,0.986,1.099,0.682,175.27,21,0
5.051,1,9.4,18,5,7.764,0.66,17,43.4,41.5,1.013,1.142,0.639,411.5,53,0
5.051,1,9.4,18,5,8.104,0.659,17,41.5,41.5,1.023,1.149,0.646,429.49,53,0
4.602,2,3.9,14,2,7.068,0.672,12,47.1,45.1,0.992,1.117,0.633,360.49,51,0
4.222,2,11.9,18,5,8.319,0.69,16,38.1,45.2,1.015,1.132,0.675,349.4,42,0
4.569,2,11.9,18,5,9.176,0.687,16,33.3,45.2,1.04,1.148,0.694,385.38,42,0
5.0,3,10.2,20,5,8.684,0.69,17,38.8,40.8,1.022,1.126,0.67,425.51,49,0
4.301,1,10.2,18,5,7.663,0.674,17,42.9,42.9,1.005,1.127,0.648,375.47,49,0
4.301,1,11.6,13,5,8.369,0.677,12,41.9,39.5,1.016,1.134,0.652,359.85,43,0
4.301,1,12.5,18,6,8.218,0.671,17,39.6,41.7,1.02,1.139,0.659,394.45,48,0
5.0,1,6.7,18,3,9.063,0.689,17,37.8,44.4,1.032,1.142,0.678,407.85,45,0
4.42,2,11.9,18,5,8.747,0.689,16,35.7,45.2,1.028,1.14,0.685,367.39,42,0
4.222,2,11.4,18,5,8.396,0.675,16,38.6,43.2,1.024,1.143,0.665,369.41,44,0
4.523,3,6.5,9,3,6.814,0.642,6,50.0,39.1,0.996,1.132,0.604,313.44,46,0
4.924,0,2.7,6,1,7.682,0.685,6,51.4,40.5,0.989,1.123,0.62,284.25,37,0
4.602,0,2.7,6,1,7.682,0.685,6,51.4,40.5,0.989,1.123,0.62,284.25,37,0
4.747,0,2.5,6,1,7.457,0.677,6,52.5,40.0,0.987,1.124,0.612,298.28,40,0
4.602,0,2.5,6,1,7.457,0.677,6,52.5,40.0,0.987,1.124,0.612,298.28,40,0
4.602,0,2.9,6,1,7.948,0.693,6,50.0,41.2,0.991,1.121,0.63,270.22,34,0
4.602,0,2.9,6,1,7.948,0.693,6,50.0,41.2,0.991,1.121,0.63,270.22,34,0
5.721,0,3.2,6,1,8.264,0.704,6,48.4,41.9,0.994,1.12,0.642,256.19,31,0
4.924,0,3.2,6,1,8.264,0.704,6,48.4,41.9,0.994,1.12,0.642,256.19,31,0
4.602,0,2.7,11,1,6.415,0.672,11,51.4,45.9,0.974,1.114,0.615,237.37,37,0
5.143,0,2.7,11,1,6.415,0.672,11,51.4,45.9,0.974,1.114,0.615,237.37,37,0
5.654,0,2.9,6,1,7.948,0.693,6,50.0,41.2,0.991,1.121,0.63,270.22,34,0
5.141,0,2.9,6,1,7.948,0.693,6,50.0,41.2,0.991,1.121,0.63,270.22,34,0
5.222,0,5.4,11,2,9.171,0.742,11,43.2,43.2,1.0,1.112,0.678,339.31,37,0
5.0,0,7.3,11,3,8.202,0.697,11,46.3,41.5,0.998,1.125,0.645,336.29,41,0
5.0,0,7.3,11,3,8.202,0.697,11,46.3,41.5,0.998,1.125,0.645,336.29,41,0
5.097,0,6.8,11,3,7.962,0.69,11,47.7,40.9,0.995,1.126,0.636,350.32,44,0
4.602,0,9.3,11,4,8.17,0.688,11,46.5,39.5,1.0,1.131,0.639,351.31,43,0
4.301,2,10.7,14,6,7.581,0.652,11,44.6,39.3,1.011,1.141,0.629,424.53,56,0
4.523,2,10.9,24,7,7.682,0.671,22,45.3,39.1,1.003,1.131,0.634,491.68,64,0
4.06,1,8.0,23,4,8.129,0.684,22,40.0,46.0,1.014,1.132,0.666,406.47,50,0
4.523,0,10.5,22,6,7.273,0.668,22,45.6,42.1,0.996,1.129,0.634,414.56,57,0
4.921,2,9.3,24,7,7.544,0.656,22,46.7,37.3,1.006,1.134,0.621,565.77,75,0
4.523,4,7.5,10,4,6.915,0.647,6,49.1,39.6,0.996,1.132,0.61,366.51,53,0
7.523,2,9.9,18,7,7.236,0.644,16,49.3,35.2,1.002,1.139,0.604,513.74,71,0
5.0,2,13.7,18,7,7.874,0.661,16,45.1,35.3,1.01,1.14,0.627,401.55,51,0
5.0,3,7.2,20,5,7.3,0.67,17,47.8,40.6,0.994,1.125,0.625,503.73,69,0
4.523,3,9.3,15,5,7.25,0.658,12,46.3,40.7,1.0,1.131,0.626,391.52,54,0
4.523,3,6.1,9,3,6.683,0.639,6,51.0,38.8,0.993,1.132,0.598,327.47,49,0
4.523,3,6.1,9,3,7.05,0.638,6,49.0,38.8,1.004,1.139,0.606,345.46,49,0
4.523,3,5.8,9,3,6.567,0.636,6,51.9,38.5,0.992,1.133,0.593,341.5,52,0
5.238,2,7.1,12,4,6.402,0.622,10,53.6,35.7,0.992,1.139,0.578,358.54,56,0
5.092,2,6.5,12,4,6.235,0.619,10,54.8,35.5,0.989,1.139,0.571,386.6,62,0
4.987,2,7.1,12,4,6.402,0.622,10,53.6,35.7,0.992,1.139,0.578,358.54,56,0
5.503,1,7.4,23,4,7.417,0.677,22,44.4,44.4,0.998,1.122,0.644,400.52,54,0
5.0,2,5.6,18,3,7.25,0.662,16,46.3,42.6,1.0,1.124,0.63,391.51,54,0
5.0,4,9.8,10,4,8.363,0.671,6,46.3,34.1,1.013,1.137,0.628,342.89,41,0
5.0,1,10.1,19,7,8.124,0.667,18,44.9,37.7,1.012,1.136,0.635,560.54,69,0
6.046,1,10.6,19,7,8.28,0.671,18,43.9,37.9,1.014,1.136,0.64,546.51,66,0
5.0,1,8.8,19,6,8.258,0.669,18,44.1,38.2,1.016,1.134,0.64,561.52,68,0
5.444,1,9.1,19,6,8.083,0.667,18,45.5,37.9,1.011,1.135,0.633,533.51,66,0
5.959,1,8.6,19,6,7.994,0.668,18,45.7,38.6,1.009,1.133,0.633,559.55,70,0
6.523,1,10.1,19,7,8.124,0.667,18,44.9,37.7,1.012,1.136,0.635,560.54,69,0
5.854,1,10.0,19,6,8.424,0.675,18,43.3,38.3,1.016,1.135,0.645,505.45,60,0
5.0,1,9.8,16,6,8.076,0.657,15,44.3,37.7,1.019,1.15,0.631,492.63,61,0
4.397,2,9.1,17,4,7.648,0.699,15,45.5,43.2,0.99,1.119,0.647,336.5,44,0
4.305,1,8.5,16,4,7.458,0.692,15,46.8,42.6,0.988,1.12,0.639,350.53,47,0
4.523,2,5.5,14,3,6.864,0.656,12,49.1,41.8,0.992,1.125,0.615,377.53,55,0
4.523,2,5.2,13,3,7.097,0.663,11,50.0,39.7,0.992,1.125,0.613,411.62,58,0
4.523,3,5.4,9,3,6.563,0.64,6,51.8,39.3,0.99,1.131,0.595,367.54,56,0
4.523,3,5.4,9,3,6.563,0.64,6,51.8,39.3,0.99,1.131,0.595,367.54,56,0
4.523,2,5.2,8,3,6.372,0.631,6,53.4,37.9,0.988,1.133,0.584,369.56,58,0
4.523,2,5.2,8,3,6.372,0.631,6,53.4,37.9,0.988,1.133,0.584,369.56,58,0
4.523,3,5.1,9,3,6.467,0.637,6,52.5,39.0,0.989,1.131,0.591,381.57,59,0
4.523,3,5.1,9,3,6.467,0.637,6,52.5,39.0,0.989,1.131,0.591,381.57,59,0
4.3,0,11.4,17,5,7.669,0.665,17,43.2,40.9,1.008,1.132,0.641,337.42,44,0
4.301,0,6.6,18,4,7.354,0.655,17,45.9,41.0,1.005,1.128,0.627,448.57,61,0
5.0,2,5.8,13,3,8.148,0.697,11,48.1,36.5,0.998,1.12,0.632,423.68,52,0
4.523,0,11.8,17,6,7.744,0.681,17,45.1,41.2,0.998,1.131,0.641,394.95,51,0
4.523,1,11.1,18,6,8.129,0.679,17,42.6,40.7,1.01,1.131,0.65,438.96,54,0
4.523,1,11.3,18,6,7.98,0.683,17,43.4,41.5,1.004,1.13,0.649,422.96,53,0
4.523,2,11.1,19,6,8.5,0.691,17,42.6,38.9,1.011,1.13,0.654,459.02,54,0
5.66,1,7.1,23,4,8.261,0.699,22,41.1,44.6,1.009,1.122,0.667,462.59,56,0
4.301,2,6.8,24,4,8.586,0.696,22,39.0,44.1,1.019,1.123,0.674,506.6,59,0
5.699,2,7.1,20,4,8.045,0.668,18,41.1,42.9,1.019,1.131,0.654,450.51,56,0
5.0,3,9.1,15,6,6.979,0.649,11,48.5,39.4,0.996,1.133,0.612,460.64,66,0
6.699,1,2.4,13,1,7.473,0.689,12,47.6,45.2,0.99,1.114,0.639,313.85,42,0
6.097,1,2.2,13,1,6.727,0.658,12,50.0,43.5,0.989,1.119,0.614,309.44,46,0
6.222,1,2.2,13,1,6.521,0.663,12,51.1,44.4,0.981,1.117,0.612,293.44,45,0
6.398,1,2.2,13,1,7.72,0.659,12,44.4,44.4,1.015,1.14,0.637,347.41,45,0
5.155,2,10.6,13,5,7.863,0.661,11,48.9,31.9,1.006,1.138,0.61,369.57,47,0
4.824,1,6.4,19,3,8.773,0.724,18,40.4,46.8,1.005,1.113,0.685,412.34,47,0
6.022,0,6.5,22,3,8.616,0.73,22,41.3,47.8,0.998,1.111,0.684,396.34,46,0
6.469,0,6.3,18,3,8.299,0.716,18,43.8,45.8,0.996,1.115,0.666,398.36,48,0
4.602,1,8.0,18,4,7.49,0.676,17,44.0,44.0,1.0,1.123,0.645,374.48,50,0
4.0,2,8.7,13,4,7.446,0.673,11,47.8,39.1,0.995,1.127,0.625,342.51,46,0
4.0,1,8.5,12,4,6.99,0.666,11,51.1,38.3,0.986,1.129,0.607,328.53,47,0
4.0,1,7.4,12,4,6.826,0.663,11,51.9,38.9,0.983,1.128,0.604,368.6,54,0
4.0,1,7.4,12,4,6.826,0.663,11,51.9,38.9,0.983,1.128,0.604,368.6,54,0
4.327,1,8.3,12,4,7.095,0.673,11,50.0,39.6,0.986,1.126,0.615,340.54,48,0
5.0,3,6.5,20,4,7.333,0.66,17,48.4,38.7,0.999,1.128,0.617,454.65,62,0
5.0,3,8.3,21,5,8.06,0.673,17,43.3,40.0,1.013,1.132,0.644,483.62,60,0
4.301,2,8.2,20,4,9.641,0.682,17,30.6,44.9,1.056,1.142,0.704,472.41,49,0
4.301,2,6.0,19,3,9.988,0.666,17,30.0,44.0,1.073,1.162,0.699,499.4,50,0
4.523,3,6.7,9,3,6.61,0.646,6,51.1,40.0,0.988,1.13,0.601,297.44,45,0
4.523,3,5.8,15,3,7.26,0.669,12,46.2,44.2,0.997,1.127,0.634,377.5,52,0
4.824,1,10.2,17,5,7.542,0.673,16,46.9,38.8,0.997,1.13,0.628,369.54,49,0
4.523,4,6.8,16,3,8.951,0.717,12,36.4,47.7,1.018,1.113,0.698,393.85,44,0
4.854,1,7.5,17,3,7.684,0.681,16,42.5,45.0,1.004,1.121,0.655,307.38,40,0
6.118,0,2.2,17,1,7.379,0.662,17,45.7,43.5,1.005,1.119,0.634,339.42,46,0
4.398,1,3.4,29,3,7.168,0.671,28,48.3,42.7,0.993,1.119,0.625,637.91,89,0
4.0,3,5.1,15,4,6.907,0.634,12,50.0,38.5,1.002,1.136,0.6,538.73,78,0
4.0,3,5.3,15,4,7.236,0.635,12,48.0,38.7,1.01,1.141,0.609,542.69,75,0
4.523,3,4.0,9,2,6.53,0.641,6,52.0,40.0,0.989,1.128,0.596,326.48,50,0
4.398,1,14.3,21,7,7.744,0.659,20,42.9,38.8,1.011,1.139,0.638,379.47,49,0
5.699,2,7.1,20,4,7.724,0.669,18,42.9,42.9,1.01,1.125,0.647,432.52,56,0
4.602,4,7.8,16,4,8.254,0.699,12,41.2,45.1,1.007,1.119,0.668,420.93,51,0
5.959,1,7.1,20,4,7.939,0.7,17,42.9,44.6,1.0,1.116,0.66,444.6,56,0
5.638,1,3.7,25,2,8.122,0.726,23,40.7,50.0,0.996,1.102,0.684,438.58,54,0
5.0,1,1.5,13,1,7.695,0.631,12,46.3,40.3,1.026,1.156,0.615,515.59,67,0
5.0,2,13.2,13,7,7.236,0.638,10,47.2,35.8,1.006,1.144,0.61,383.51,53,0
5.0,3,5.6,14,4,6.816,0.631,11,52.8,34.7,0.997,1.136,0.585,490.74,72,0
5.0,3,5.7,14,4,6.982,0.638,11,51.4,35.7,0.999,1.134,0.594,488.72,70,0
4.398,2,1.7,14,1,6.807,0.651,12,52.5,39.0,0.99,1.123,0.598,401.62,59,0
4.523,2,6.3,8,3,6.572,0.631,6,52.1,37.5,0.993,1.135,0.589,315.46,48,0
4.523,2,5.9,8,3,6.461,0.629,6,52.9,37.3,0.991,1.135,0.585,329.49,51,0
4.523,2,5.6,8,3,6.361,0.626,6,53.7,37.0,0.99,1.135,0.58,343.52,54,0
4.523,2,1.7,8,1,6.786,0.636,6,53.4,36.2,0.996,1.129,0.586,393.6,58,0
4.523,2,2.1,18,1,8.364,0.688,16,41.7,43.8,1.017,1.12,0.661,401.49,48,0
4.921,2,10.6,19,5,9.912,0.689,17,31.9,42.6,1.054,1.149,0.7,465.85,47,0
4.699,0,8.3,11,2,10.796,0.737,11,33.3,41.7,1.043,1.124,0.718,259.1,24,0
5.0,1,3.8,14,2,7.24,0.668,12,46.2,44.2,0.998,1.119,0.634,376.49,52,0
10.0,1,4.5,14,3,6.86,0.654,12,49.3,41.8,0.993,1.125,0.614,459.64,67,0
10.0,3,3.1,16,2,7.61,0.671,12,46.2,41.5,1.004,1.12,0.634,494.66,65,0
4.602,1,7.7,19,4,7.164,0.675,18,46.2,44.2,0.992,1.122,0.636,372.51,52,0
4.523,3,7.3,15,4,7.101,0.66,12,47.3,41.8,0.996,1.127,0.624,390.53,55,0
4.64,2,1.9,14,1,7.614,0.662,12,47.2,39.6,1.008,1.122,0.625,403.54,53,0
4.699,3,4.4,13,3,6.966,0.642,10,51.5,36.8,0.997,1.131,0.596,473.7,68,0
4.523,3,6.4,9,3,6.924,0.65,6,48.9,40.4,0.996,1.129,0.612,325.45,47,0
4.523,2,5.5,8,3,6.464,0.633,6,52.7,38.2,0.99,1.133,0.588,355.53,55,0
4.523,1,3.6,7,2,6.3,0.619,6,54.5,36.4,0.992,1.135,0.574,346.52,55,0
4.602,2,5.9,14,4,7.656,0.633,12,45.6,38.2,1.022,1.148,0.618,520.61,68,0
4.301,5,3.5,17,3,7.441,0.645,12,50.0,36.0,1.008,1.137,0.603,639.91,86,0
5.398,0,11.8,16,6,8.284,0.639,16,41.2,37.3,1.034,1.16,0.636,422.46,51,0
5.123,0,0.0,17,0,7.876,0.716,17,40.0,53.3,0.999,1.097,0.686,236.28,30,0
4.62,2,4.7,15,2,9.833,0.701,12,32.6,46.5,1.049,1.137,0.706,422.81,43,0
4.523,1,4.2,17,2,7.718,0.671,16,43.8,45.8,1.01,1.137,0.646,370.45,48,0
4.721,2,2.9,14,1,9.054,0.728,12,41.2,44.1,1.01,1.108,0.681,307.82,34,0
4.0,2,9.1,17,4,7.282,0.672,15,45.5,43.2,0.996,1.126,0.637,320.43,44,0
4.398,1,8.5,17,4,7.882,0.664,16,42.6,42.6,1.015,1.141,0.645,370.44,47,0
4.06,1,0.0,13,0,7.837,0.668,12,42.9,45.7,1.016,1.123,0.65,274.31,35,0
4.602,1,0.0,13,0,10.162,0.747,12,34.4,50.0,1.031,1.111,0.724,325.17,32,0
4.456,1,0.0,19,0,8.102,0.701,18,39.5,51.2,1.01,1.109,0.681,348.39,43,0
4.481,1,0.0,13,0,6.731,0.647,12,50.8,42.6,0.994,1.125,0.606,410.57,61,0
4.237,1,0.0,19,0,8.009,0.694,18,40.5,50.0,1.011,1.112,0.673,336.38,42,0
4.523,0,18.2,26,8,8.464,0.694,26,36.4,43.2,1.015,1.133,0.682,372.43,44,0
4.602,1,10.3,18,6,7.906,0.65,17,43.1,39.7,1.021,1.151,0.634,458.54,58,0
5.046,1,11.1,27,7,7.581,0.684,26,42.9,44.4,0.998,1.125,0.653,477.62,63,0
4.301,0,7.0,16,3,6.777,0.671,16,48.8,44.2,0.983,1.122,0.623,291.43,43,0
4.523,0,7.5,16,3,7.385,0.676,16,45.0,45.0,0.997,1.129,0.642,295.39,40,0
4.699,6,5.4,22,3,9.206,0.695,16,35.7,44.6,1.037,1.133,0.688,515.55,56,0
5.097,1,7.3,23,4,9.209,0.667,22,34.5,43.6,1.051,1.154,0.68,506.47,55,0
5.0,1,7.5,16,3,9.085,0.694,15,37.5,42.5,1.031,1.135,0.678,363.42,40,0
5.0,1,10.8,17,4,8.714,0.728,15,37.8,45.9,1.006,1.113,0.692,322.42,37,0
4.398,3,5.2,9,3,7.38,0.647,6,51.7,34.5,1.001,1.134,0.597,428.05,58,0
4.523,2,3.1,8,2,6.792,0.635,6,53.1,35.9,0.996,1.131,0.586,434.66,64,0
4.523,2,2.9,8,2,6.775,0.639,6,52.9,36.8,0.994,1.13,0.589,460.7,68,0
4.523,1,3.2,7,2,6.327,0.628,6,54.0,38.1,0.989,1.131,0.581,398.6,63,0
4.523,1,2.9,7,2,6.183,0.624,6,55.1,37.7,0.987,1.132,0.575,426.66,69,0
4.523,1,3.0,7,2,6.338,0.632,6,53.7,38.8,0.988,1.13,0.584,424.64,67,0
4.523,0,6.8,16,3,6.987,0.666,16,47.7,43.2,0.991,1.124,0.625,307.43,44,0
5.26,1,9.3,28,5,8.139,0.694,27,38.9,46.3,1.01,1.119,0.675,439.51,54,0
4.301,0,6.3,10,2,7.387,0.67,10,50.0,37.5,0.994,1.126,0.614,236.37,32,0
4.301,0,5.7,10,2,7.154,0.663,10,51.4,37.1,0.991,1.127,0.605,250.4,35,0
4.301,0,6.9,10,2,7.667,0.679,10,48.3,37.9,0.997,1.125,0.624,222.34,29,0
4.337,0,7.7,10,2,8.012,0.689,10,46.2,38.5,1.001,1.123,0.638,208.31,26,0
5.204,0,5.3,10,2,6.959,0.657,10,52.6,36.8,0.988,1.128,0.597,264.43,38,0
6.678,0,4.9,10,2,6.792,0.652,10,53.7,36.6,0.986,1.129,0.591,278.46,41,0
4.301,0,6.3,10,2,7.387,0.67,10,50.0,37.5,0.994,1.126,0.614,236.37,32,0
4.851,0,5.7,10,2,7.154,0.663,10,51.4,37.1,0.991,1.127,0.605,250.4,35,0
4.301,0,6.7,10,2,7.812,0.689,10,46.7,40.0,0.997,1.121,0.637,234.35,30,0
5.228,0,5.1,10,2,7.088,0.666,10,51.3,38.5,0.989,1.125,0.607,276.44,39,0
4.301,0,6.7,10,2,7.945,0.671,10,46.7,36.7,1.008,1.128,0.627,238.34,30,0
4.345,1,6.3,11,2,8.323,0.675,10,43.8,37.5,1.018,1.126,0.642,266.35,32,0
5.534,0,6.1,16,2,8.193,0.718,16,42.4,45.5,0.997,1.11,0.67,270.38,33,0
5.432,0,5.6,16,2,7.9,0.707,16,44.4,44.4,0.994,1.112,0.656,284.41,36,0
7.398,0,4.8,16,2,7.44,0.69,16,47.6,42.9,0.99,1.116,0.635,312.47,42,0
5.143,0,4.4,16,2,7.256,0.683,16,48.9,42.2,0.988,1.117,0.627,326.5,45,0
5.149,0,6.1,16,2,9.237,0.744,16,39.4,45.5,1.007,1.108,0.695,304.82,33,0
6.108,0,6.1,16,2,10.584,0.759,16,39.4,45.5,1.004,1.105,0.701,349.27,33,0
6.921,0,6.1,16,2,12.008,0.798,16,39.4,45.5,0.999,1.101,0.71,396.27,33,0
4.301,1,5.6,17,2,8.733,0.711,16,38.9,44.4,1.016,1.112,0.682,314.39,36,0
5.658,0,4.7,22,2,8.058,0.726,22,41.9,48.8,0.992,1.103,0.678,346.48,43,0
4.301,0,7.9,21,3,8.459,0.729,21,39.5,47.4,1.0,1.108,0.688,321.43,38,0
7.228,0,4.5,22,2,8.238,0.72,22,40.9,47.7,1.0,1.106,0.679,362.48,44,0
4.301,0,4.3,22,2,8.011,0.711,22,42.6,46.8,0.998,1.108,0.668,376.51,47,0
4.301,0,9.4,16,3,8.48,0.716,16,40.6,43.8,1.004,1.116,0.675,271.37,32,0
4.963,0,8.6,16,3,8.154,0.705,16,42.9,42.9,1.0,1.118,0.661,285.4,35,0
7.5,0,9.7,16,3,8.238,0.725,16,41.9,45.2,0.994,1.113,0.674,255.37,31,0
4.545,0,9.4,16,3,9.605,0.713,16,34.4,43.8,1.036,1.137,0.699,307.35,32,0
4.301,0,13.3,16,4,8.545,0.724,16,40.0,43.3,1.001,1.119,0.679,256.36,30,0
5.046,0,3.6,0,1,5.545,0.591,0,60.7,32.1,0.982,1.144,0.534,155.27,28,0
5.301,0,0.0,6,0,7.923,0.688,6,50.0,41.7,0.995,1.118,0.629,285.23,36,0
4.62,3,4.6,15,3,8.179,0.641,12,44.6,36.9,1.031,1.151,0.624,531.63,65,0
4.0,1,8.2,18,5,7.436,0.647,17,45.9,39.3,1.01,1.138,0.622,453.57,61,0
5.0,1,5.3,18,2,8.167,0.689,17,39.5,47.4,1.015,1.123,0.672,310.35,38,0
5.0,1,6.5,16,2,8.785,0.722,15,38.7,45.2,1.011,1.11,0.687,272.35,31,0
4.509,1,8.6,18,5,7.888,0.649,17,43.1,39.7,1.021,1.144,0.635,457.53,58,0
4.602,1,1.9,19,1,6.913,0.674,18,48.1,46.2,0.988,1.113,0.63,359.5,52,0
4.602,1,1.9,19,1,6.913,0.674,18,48.1,46.2,0.988,1.113,0.63,359.5,52,0
5.495,0,2.0,18,1,6.439,0.676,18,51.0,46.9,0.974,1.112,0.619,315.49,49,0
4.222,1,2.9,12,1,6.952,0.657,11,48.6,42.9,0.995,1.121,0.619,243.33,35,0
5.066,1,7.7,23,5,7.563,0.653,22,44.6,40.0,1.012,1.131,0.631,491.6,65,0
5.0,1,7.1,23,4,7.724,0.669,22,42.9,42.9,1.01,1.125,0.647,432.52,56,0
4.0,3,4.8,15,2,8.154,0.693,12,42.9,42.9,1.008,1.116,0.657,342.45,42,0
4.523,2,8.3,20,6,7.898,0.651,18,43.1,40.3,1.021,1.145,0.636,568.66,72,0
4.0,2,3.1,14,1,8.48,0.723,12,40.6,46.9,1.004,1.104,0.681,271.36,32,0
4.0,2,2.6,14,1,8.088,0.695,12,43.6,43.6,1.006,1.112,0.656,315.42,39,0
4.0,2,2.3,14,1,7.443,0.686,12,47.7,43.2,0.992,1.113,0.634,327.48,44,0
4.0,2,4.5,14,2,7.738,0.691,12,45.5,43.2,0.997,1.115,0.645,340.48,44,0
4.0,3,4.1,15,2,7.807,0.686,12,44.9,42.9,1.002,1.116,0.646,382.52,49,0
