pXC50,MW,Sp,Sv,nSK,nBO,Se,nAT,Si,nBT,nC,SCBO,nH,RBN,RBF,O.
6.7,269.29,21.222,21.117,20,22,31.814,31,35.156,33,13,32.0,11,3,0.091,6.5
7.2,345.19,23.358,22.601,21,24,31.683,31,34.835,34,15,34.0,10,1,0.029,0.0
6.0,297.85,24.103,22.282,19,20,35.211,35,39.847,36,12,25.5,16,5,0.139,0.0
5.4,348.81,28.142,27.262,25,28,38.476,38,42.223,41,19,40.0,13,3,0.073,2.6
7.5,479.99,36.659,35.437,32,34,55.498,54,61.139,56,20,45.0,22,9,0.161,9.3
5.8,226.31,20.83,19.72,17,19,30.825,31,35.069,33,13,26.0,14,1,0.03,0.0
5.8,401.48,32.392,31.358,29,33,44.658,44,48.906,48,21,47.0,15,4,0.083,4.5
5.4,436.85,31.693,31.707,30,32,47.992,46,52.697,48,20,43.0,16,6,0.125,4.3
5.7,526.75,50.126,46.987,39,42,76.403,77,87.052,80,31,55.0,38,9,0.113,2.6
7.1,342.87,29.222,27.644,24,27,43.12,43,48.84,46,17,35.0,19,3,0.065,0.0
5.4,247.38,24.324,22.52,18,19,38.585,39,44.441,40,14,23.0,21,3,0.075,2.6
5.5,265.34,24.04,22.94,20,22,34.934,35,39.196,37,16,31.0,15,3,0.081,2.9
8.5,388.26,26.892,25.997,24,26,38.803,38,43.2,40,15,35.5,14,5,0.125,2.6
5.4,338.46,29.659,27.874,24,26,42.003,42,46.657,44,19,35.5,18,5,0.114,4.8
5.0,235.09,15.648,14.648,13,15,20.084,20,22.084,22,10,20.5,7,0,0.0,0.0
5.4,266.38,25.353,23.773,20,22,37.592,38,42.9,40,16,30.0,18,3,0.075,0.0
7.2,427.99,36.966,34.96,30,33,56.2,56,63.794,59,21,42.0,26,6,0.102,1.8
5.2,377.38,29.858,29.799,28,31,44.244,43,48.033,46,20,43.0,15,3,0.065,11.6
4.7,176.2,14.0,13.854,13,14,21.502,21,24.033,22,8,19.0,8,1,0.045,4.8
6.7,430.45,33.932,33.771,32,36,49.265,48,54.37,52,23,50.5,16,5,0.096,2.1
8.2,308.43,28.364,26.816,23,26,42.796,43,48.896,46,17,34.0,20,3,0.065,0.0
5.4,308.42,28.569,27.015,23,25,42.803,43,48.524,45,18,34.0,20,5,0.111,2.3
5.7,210.25,18.512,17.865,16,18,26.065,26,28.867,28,13,25.5,10,1,0.036,3.8
5.4,316.41,27.273,26.246,23,25,43.451,43,49.315,45,15,31.0,20,6,0.133,4.7
5.4,295.4,24.722,23.401,21,24,34.12,34,38.072,37,15,33.5,13,1,0.027,0.0
5.4,410.47,33.455,32.824,30,33,51.032,50,57.2,53,21,44.0,20,5,0.094,2.0
5.9,424.5,36.273,35.246,32,37,52.451,52,58.315,57,24,50.5,20,3,0.053,3.8
5.4,443.51,36.875,35.965,32,36,57.101,56,63.915,60,24,45.0,24,3,0.05,3.6
5.7,426.99,37.926,35.664,30,33,56.989,57,64.338,60,23,41.5,27,7,0.117,3.5
5.7,534.72,46.427,43.977,38,41,69.341,69,78.066,72,28,54.0,31,10,0.139,2.9
5.4,460.58,40.978,39.266,34,37,62.32,62,69.813,65,26,48.0,28,7,0.108,6.5
7.4,413.96,35.205,33.433,29,32,53.316,53,60.378,56,20,41.0,24,6,0.107,1.9
5.4,323.44,29.574,28.036,24,26,44.905,45,51.023,47,18,35.0,21,6,0.128,2.2
5.2,227.26,19.0,18.555,17,19,27.353,27,30.495,29,13,27.0,10,1,0.034,0.0
4.1,209.27,19.063,18.171,16,18,26.84,27,30.156,29,13,26.0,11,1,0.034,0.0
5.4,387.27,26.727,25.319,23,25,34.582,34,37.253,36,17,35.5,11,2,0.056,5.9
5.4,339.46,28.699,27.17,24,26,41.214,41,46.112,43,17,35.5,17,6,0.14,2.4
6.0,290.34,25.489,24.633,22,25,36.16,36,39.907,39,18,35.0,14,2,0.051,5.6
5.4,334.4,29.466,28.402,25,28,43.254,43,47.946,46,20,37.5,18,4,0.087,7.0
8.3,373.37,27.864,28.133,27,29,42.676,41,47.211,43,18,39.0,14,5,0.116,2.4
5.4,373.36,27.563,28.03,27,29,43.891,42,47.824,44,16,39.5,15,5,0.114,14.3
5.2,327.85,28.216,26.622,23,26,41.018,41,46.342,44,17,34.0,18,3,0.068,0.0
5.4,440.81,29.87,30.564,30,32,45.622,43,49.621,45,19,42.0,13,3,0.067,4.7
5.4,353.48,30.665,28.895,25,27,44.105,44,49.155,46,19,36.5,19,5,0.109,4.5
4.7,230.67,17.404,16.967,16,18,23.498,23,25.768,25,11,26.0,7,1,0.04,0.0
5.4,186.28,18.58,17.204,14,15,27.505,28,31.488,29,12,20.5,14,1,0.034,0.0
7.6,342.87,29.222,27.644,24,27,43.12,43,48.84,46,17,35.0,19,3,0.065,0.0
6.4,314.8,25.904,24.789,22,24,37.36,37,41.638,39,16,33.0,15,4,0.103,2.7
5.4,514.63,45.193,43.508,38,41,68.531,68,76.438,71,29,55.0,30,10,0.141,7.4
5.8,409.45,31.506,30.986,29,32,45.32,44,48.953,47,20,44.0,15,5,0.106,11.4
4.3,193.23,15.972,15.601,14,15,25.494,25,28.575,26,9,19.5,11,1,0.038,8.0
6.4,530.76,48.25,45.12,38,41,71.712,72,81.141,75,29,54.0,34,10,0.133,2.8
6.5,381.56,33.779,31.551,27,30,49.858,50,56.73,53,19,38.5,23,5,0.094,0.0
5.4,527.68,47.506,45.341,39,42,72.189,72,81.142,75,30,56.0,33,10,0.133,5.6
6.4,380.49,34.364,32.816,29,33,48.796,49,54.896,53,23,46.5,20,4,0.075,0.0
5.8,326.4,26.591,25.535,23,25,37.564,37,41.036,39,17,34.0,14,3,0.077,8.1
5.5,236.29,21.273,20.392,18,20,29.949,30,33.282,32,15,29.0,12,2,0.063,3.3
5.8,483.53,40.387,39.575,36,40,58.963,58,64.824,62,28,54.0,22,5,0.081,6.9
5.4,372.43,30.546,29.993,28,32,44.676,44,49.857,48,19,45.0,16,5,0.104,2.3
5.4,450.55,37.909,36.39,33,38,51.323,51,56.238,56,26,54.0,18,4,0.071,3.9
4.5,176.26,14.943,13.81,12,14,19.931,20,22.162,22,9,19.0,8,0,0.0,0.0
5.4,595.76,53.483,51.11,44,48,81.283,81,91.182,85,34,62.0,37,8,0.094,6.2
4.7,213.04,12.341,11.836,11,12,16.527,16,17.878,17,7,17.0,5,0,0.0,6.3
5.0,243.3,20.529,19.929,18,20,31.371,31,35.362,33,12,27.5,13,2,0.061,3.2
5.8,341.22,20.091,18.925,18,20,24.007,23,24.927,25,11,27.0,5,0,0.0,8.7
5.4,675.76,56.625,55.303,50,57,83.283,82,92.367,89,39,75.0,32,8,0.09,3.7
5.4,368.29,23.972,25.351,26,28,37.716,35,40.977,37,16,37.5,9,2,0.054,2.9
5.4,306.41,27.603,26.289,23,26,40.912,41,46.481,44,17,35.5,18,4,0.091,0.0
4.7,213.05,12.137,11.638,11,12,16.52,16,18.25,17,6,17.0,5,0,0.0,0.0
5.8,311.45,27.245,25.455,22,24,38.887,39,43.903,41,16,32.5,17,5,0.122,0.0
5.5,401.96,33.08,31.051,27,31,47.305,47,52.887,51,19,39.0,20,5,0.098,2.1
5.4,376.46,32.273,31.246,28,32,48.451,48,54.315,52,20,41.5,20,3,0.058,4.2
6.4,454.53,38.489,37.487,34,38,56.662,56,62.94,60,25,52.5,22,7,0.117,5.4
7.0,241.27,19.972,19.601,18,20,29.494,29,32.575,31,13,27.5,11,2,0.065,6.9
5.4,499.67,46.052,43.627,37,40,69.861,70,78.933,73,29,53.0,33,8,0.11,4.3
5.4,361.45,30.142,28.842,26,29,41.338,41,45.325,44,20,41.0,15,3,0.068,4.9
5.6,268.31,21.773,21.424,20,22,32.589,32,36.445,34,13,31.0,12,2,0.059,3.1
5.4,235.32,21.256,20.181,17,18,34.145,34,38.82,35,12,23.0,17,5,0.143,5.9
6.0,286.42,27.33,25.542,21,23,42.687,43,48.939,45,16,29.0,22,3,0.067,2.3
6.7,253.34,22.836,21.741,19,21,33.927,34,38.568,36,14,29.0,15,2,0.056,0.0
5.4,334.41,29.262,28.203,25,27,43.247,43,48.318,45,19,37.0,18,5,0.111,4.7
7.0,412.46,33.995,33.387,31,35,48.752,48,54.03,52,23,49.5,17,5,0.096,2.1
5.4,485.58,42.426,40.96,36,39,63.545,63,70.524,66,28,53.0,27,9,0.136,7.9
4.5,243.27,19.25,19.071,18,20,28.673,28,32.077,30,12,28.0,10,3,0.1,0.0
5.6,357.46,31.245,29.993,26,28,49.443,49,55.857,51,18,36.0,23,9,0.176,6.1
5.8,425.5,33.665,32.722,29,30,53.516,52,58.661,53,19,39.0,23,11,0.208,15.4
5.4,357.88,30.432,28.864,25,28,45.229,45,50.967,48,18,36.0,20,4,0.083,2.2
5.4,320.38,27.5,26.676,24,26,40.363,40,44.903,42,18,36.0,16,5,0.119,5.0
5.4,528.69,45.421,43.255,38,42,66.389,66,74.105,70,28,56.5,28,7,0.1,4.5
5.4,423.43,32.625,32.659,31,34,48.56,47,53.626,50,22,46.5,16,3,0.06,2.1
5.3,239.25,19.21,19.074,18,21,27.611,27,30.159,30,13,29.0,9,1,0.033,7.4
5.8,498.69,46.603,43.933,37,40,70.636,71,80.221,74,29,53.0,34,8,0.108,2.8
5.4,420.97,33.54,31.787,28,31,49.734,49,55.594,52,18,41.0,21,5,0.096,4.1
5.6,314.81,25.699,24.59,22,24,37.353,37,42.01,39,15,32.5,15,5,0.128,0.0
7.5,357.23,25.637,24.46,22,25,35.382,35,39.12,38,16,35.0,13,2,0.053,2.9
7.0,399.93,33.444,31.907,28,31,50.432,50,56.963,53,19,40.0,22,4,0.075,2.0
5.4,471.55,40.665,39.433,35,38,60.662,60,67.109,63,27,52.0,25,8,0.127,8.3
6.9,365.88,28.012,26.712,24,26,40.865,40,45.266,42,15,36.0,16,6,0.143,5.0
5.4,422.51,35.733,34.682,31,34,54.731,54,61.485,57,22,45.0,23,7,0.123,3.7
5.4,318.4,29.012,27.687,24,26,41.927,42,46.737,44,20,36.0,18,5,0.114,4.8
5.2,327.85,28.216,26.622,23,26,41.018,41,46.342,44,17,34.0,18,3,0.068,0.0
5.4,328.83,27.665,26.316,23,25,40.243,40,45.053,42,17,34.0,17,5,0.119,2.5
7.5,398.99,36.268,33.751,28,31,54.654,55,62.501,58,21,39.0,27,6,0.103,0.0
5.7,351.46,30.824,29.552,26,29,47.225,47,53.604,50,18,38.0,21,6,0.12,2.1
7.4,396.55,36.319,34.353,29,32,56.985,57,64.976,60,21,41.0,28,7,0.117,3.5
6.4,392.43,30.392,30.208,28,30,48.545,47,54.54,49,18,39.0,19,7,0.143,2.1
4.0,167.21,11.881,11.493,11,12,16.593,16,18.04,17,6,16.5,5,0,0.0,6.3
5.4,374.35,27.313,27.826,27,29,41.902,40,45.922,42,18,39.0,13,3,0.071,5.0
5.4,498.61,43.256,41.736,37,41,64.498,64,72.316,68,28,55.5,27,8,0.118,3.1
5.4,370.36,27.858,28.111,27,29,41.574,40,45.713,42,19,40.5,13,2,0.048,2.5
6.5,391.88,30.62,29.763,27,29,47.062,46,52.888,48,17,37.5,19,7,0.146,2.2
5.4,275.41,24.449,22.654,19,20,35.894,36,40.531,37,14,26.5,17,6,0.162,2.8
5.4,409.48,31.034,30.373,28,30,47.52,46,52.962,48,18,39.0,18,7,0.146,2.2
7.6,245.69,18.409,17.988,17,19,25.6,25,28.266,27,11,27.0,8,1,0.037,0.0
6.469,425.57,35.688,33.981,30,33,53.512,53,60.149,56,20,42.5,23,7,0.125,3.8
5.754,465.64,40.211,38.034,33,37,60.28,60,67.979,64,23,46.5,27,6,0.094,3.3
4.699,352.51,31.012,29.003,25,28,44.872,45,50.816,48,18,36.5,20,4,0.083,0.0
5.0,416.55,35.466,33.718,30,34,50.2,50,56.026,54,22,45.5,20,5,0.093,2.0
5.0,417.54,34.711,33.213,30,34,49.418,49,55.109,53,21,45.5,19,5,0.094,2.0
6.585,404.55,34.262,32.519,29,33,49.192,49,55.398,53,20,44.0,20,5,0.094,0.0
6.77,502.69,40.557,38.431,34,37,60.902,60,68.191,63,21,48.5,26,8,0.127,5.0
6.678,466.63,39.455,37.529,33,36,59.498,59,67.062,62,22,46.5,26,7,0.113,3.4
6.06,340.5,30.012,28.003,24,26,43.872,44,49.816,46,17,34.5,20,7,0.152,0.0
7.585,337.49,30.006,27.982,24,27,42.771,43,48.318,46,18,35.5,19,4,0.087,0.0
6.0,352.51,31.012,29.003,25,28,44.872,45,50.816,48,18,36.5,20,4,0.083,0.0
4.959,339.47,28.495,26.971,24,27,41.207,41,46.484,44,16,35.5,17,4,0.091,0.0
6.387,339.47,28.495,26.971,24,27,41.207,41,46.484,44,16,35.5,17,4,0.091,0.0
6.319,417.37,30.603,28.502,25,28,42.218,42,47.243,45,17,36.5,17,4,0.089,0.0
5.0,406.52,32.955,31.707,29,33,47.636,47,53.192,51,19,44.0,18,5,0.098,2.1
5.699,418.58,36.023,34.046,30,34,52.076,52,58.813,56,21,45.0,22,5,0.089,0.0
5.0,415.57,36.017,34.025,30,34,50.974,51,57.315,55,22,45.5,21,5,0.091,0.0
5.0,382.49,31.159,29.906,27,30,45.643,45,50.82,48,18,39.5,18,5,0.104,4.4
5.432,382.49,31.159,29.906,27,30,45.643,45,50.82,48,18,39.5,18,5,0.104,4.4
5.0,478.65,39.33,37.147,33,37,55.487,55,61.57,59,23,49.0,22,6,0.102,3.6
5.0,396.52,32.921,31.433,28,31,48.527,48,54.235,51,19,40.5,20,5,0.098,4.2
6.027,374.89,28.801,27.492,25,27,40.756,40,45.139,42,16,36.5,15,6,0.143,2.5
6.018,374.89,28.801,27.492,25,27,40.756,40,45.139,42,16,36.5,15,6,0.143,2.5
6.041,354.48,29.705,28.191,25,27,43.316,43,48.61,45,17,36.5,18,6,0.133,2.3
6.796,458.59,37.625,36.065,32,35,56.876,56,63.951,59,22,44.5,24,7,0.119,1.8
5.0,410.6,36.75,34.298,29,32,54.851,55,62.271,58,21,40.5,26,8,0.138,1.8
5.0,373.9,29.557,27.997,25,27,41.538,41,46.056,43,17,36.5,16,6,0.14,2.4
5.0,426.55,35.137,33.674,30,33,52.738,52,58.86,55,20,42.5,22,7,0.127,5.8
6.152,464.52,34.495,34.109,32,35,52.949,51,58.669,54,20,44.5,19,6,0.111,3.9
5.678,541.64,39.364,38.559,36,39,60.338,58,66.712,61,21,50.5,22,7,0.115,5.2
6.456,427.56,35.171,33.649,30,33,52.698,52,59.279,55,20,42.5,22,6,0.109,1.9
6.499,445.55,35.108,34.033,31,34,53.211,52,59.619,55,20,43.5,21,6,0.109,1.9
5.4,513.65,45.745,43.815,38,42,69.305,69,77.727,73,29,54.5,31,10,0.137,5.8
6.276,480.71,43.285,40.395,34,38,65.821,66,75.098,70,24,46.5,32,7,0.1,1.5
5.4,309.37,26.739,25.85,23,26,39.331,39,43.95,42,18,35.5,16,1,0.024,2.6
6.721,367.52,32.222,30.223,26,29,46.982,47,52.943,50,19,37.5,21,5,0.1,2.1
5.824,390.59,38.171,35.45,29,33,58.214,59,66.972,63,23,41.0,30,4,0.063,0.0
5.304,507.63,43.478,41.999,37,40,67.81,67,76.438,70,26,52.0,30,13,0.186,4.5
5.0,490.97,40.517,39.239,35,38,58.883,58,64.555,61,27,51.0,23,8,0.131,8.6
5.125,211.25,17.551,17.161,16,18,25.276,25,28.322,27,11,26.0,9,1,0.037,0.0
6.745,445.55,38.284,36.989,33,38,57.505,57,64.774,62,24,50.5,24,5,0.081,1.8
6.523,444.57,38.836,37.296,33,38,58.28,58,66.063,63,24,50.5,25,5,0.079,0.0
5.638,396.54,36.887,34.87,30,35,53.563,54,60.727,59,24,47.5,24,4,0.068,0.0
5.0,346.46,28.159,26.906,24,26,42.643,42,47.82,44,15,36.0,18,4,0.091,4.8
7.409,398.51,35.58,34.058,30,34,52.007,52,58.521,56,23,47.0,22,3,0.054,1.9
7.244,397.53,36.131,34.364,30,35,52.781,53,59.81,58,23,47.5,23,4,0.069,0.0
6.377,411.56,37.892,35.891,31,36,55.665,56,63.225,61,24,48.5,25,4,0.066,0.0
5.886,375.47,33.029,31.751,28,32,49.232,49,55.232,53,21,43.0,21,4,0.075,4.1
7.602,398.51,35.58,34.058,30,35,52.007,52,58.521,57,23,47.5,22,4,0.07,1.9
7.469,398.51,35.58,34.058,30,35,52.007,52,58.521,57,23,47.5,22,4,0.07,1.9
5.187,390.48,34.239,32.971,29,33,51.342,51,57.358,55,22,44.0,22,5,0.091,5.9
5.0,312.42,27.819,26.531,23,25,43.123,43,49.106,45,16,33.0,20,3,0.067,2.3
5.469,375.44,31.75,30.893,28,31,46.534,46,51.947,49,21,43.0,18,3,0.061,2.2
5.155,406.57,39.398,36.88,31,36,56.127,57,63.56,62,27,49.0,26,4,0.065,0.0
5.3,213.26,18.517,17.886,16,18,27.167,27,30.365,29,12,24.5,11,1,0.034,3.7
5.0,346.38,27.989,27.665,26,29,40.8,40,45.069,43,18,40.5,14,2,0.047,5.0
7.06,439.5,37.688,36.665,33,40,54.567,54,60.069,61,26,53.0,21,1,0.016,7.4
5.0,570.69,50.739,48.793,43,51,73.203,73,81.228,81,35,68.0,30,3,0.037,5.5
5.4,312.42,27.819,26.531,23,25,43.123,43,49.106,45,16,33.0,20,3,0.067,2.3
5.4,351.35,26.892,27.073,26,28,40.353,39,43.99,41,17,40.0,13,6,0.146,10.3
5.4,324.34,25.676,25.533,24,26,37.993,37,41.828,39,17,36.0,13,5,0.128,5.4
5.6,346.38,27.989,27.665,26,29,40.8,40,45.069,43,18,41.0,14,5,0.116,5.0
5.387,475.4,36.597,34.718,30,33,54.523,54,61.161,57,22,41.5,24,6,0.105,3.7
5.817,471.97,35.477,34.47,32,35,51.396,50,56.472,53,20,46.5,18,3,0.057,6.0
6.167,255.36,23.597,22.268,19,21,35.811,36,40.983,38,14,28.5,17,3,0.079,0.0
5.4,532.46,37.642,36.025,32,34,57.541,56,64.128,58,20,41.5,24,10,0.172,5.4
5.0,529.57,42.159,41.756,39,43,62.53,61,69.453,65,28,58.5,22,6,0.092,1.6
5.2,476.89,35.995,35.797,34,38,50.596,49,54.942,53,25,52.0,15,4,0.075,4.1
5.2,366.46,32.239,30.971,27,29,49.342,49,55.358,51,20,38.0,22,7,0.137,6.1
4.4,239.31,21.074,20.214,18,20,31.043,31,35.152,33,13,27.0,13,1,0.03,0.0
5.6,319.16,22.114,21.718,20,22,33.462,32,36.213,34,12,27.0,12,2,0.059,12.5
5.2,331.37,27.978,27.323,25,28,39.447,39,43.535,42,20,39.5,14,3,0.071,2.6
5.921,530.5,44.006,41.755,36,39,65.625,65,73.405,68,26,49.5,29,9,0.132,4.6
7.359,380.59,32.841,30.157,25,27,49.051,49,55.404,51,17,33.0,24,6,0.118,4.1
7.155,328.39,24.875,24.326,23,25,35.993,35,39.574,37,14,35.5,12,4,0.108,5.7
5.585,515.66,47.074,44.858,39,45,67.767,68,75.893,74,32,61.0,29,5,0.068,2.9
5.0,485.99,39.563,38.257,34,37,60.047,59,66.971,62,24,47.5,25,9,0.145,5.1
5.6,468.6,42.523,40.552,35,40,62.992,63,70.604,68,28,53.0,28,2,0.029,4.8
7.959,357.45,31.813,30.509,27,31,46.022,46,51.607,50,21,43.0,19,3,0.06,2.2
6.509,452.6,42.069,39.837,34,39,61.665,62,69.394,67,28,52.0,28,5,0.075,3.2
7.252,427.56,38.347,36.606,32,37,56.992,57,64.434,62,24,49.5,25,5,0.081,1.8
4.0,403.53,36.552,34.805,30,34,55.0,55,62.062,59,23,45.0,25,4,0.068,3.6
5.31,389.5,34.79,33.278,29,33,52.116,52,58.647,56,22,44.0,23,4,0.071,3.8
5.0,370.42,30.415,29.828,27,30,46.971,46,52.283,49,19,40.0,19,5,0.102,6.5
7.155,358.48,33.33,31.542,27,30,48.687,49,54.939,52,22,41.0,22,6,0.115,2.0
5.4,362.78,28.04,27.649,26,30,37.927,37,40.645,41,20,42.5,11,1,0.024,8.1
5.6,291.41,24.904,23.369,20,22,37.222,37,41.74,39,14,29.5,17,2,0.051,5.4
9.237,441.51,33.222,32.661,30,32,52.872,51,58.665,53,18,41.0,21,6,0.113,7.8
5.0,443.38,34.171,32.33,29,32,45.644,45,49.917,48,21,43.0,16,4,0.083,2.2
5.398,413.59,37.529,35.035,30,35,52.538,53,59.148,58,24,47.5,23,4,0.069,0.0
5.6,346.38,27.989,27.665,26,29,40.8,40,45.069,43,18,41.0,14,5,0.116,5.0
5.4,415.54,37.551,35.805,31,35,56.0,56,63.062,60,24,45.5,25,7,0.117,3.6
5.4,301.81,25.455,24.095,21,23,37.134,37,41.927,39,15,31.0,16,2,0.051,0.0
5.4,587.61,47.284,45.594,41,44,73.651,72,82.206,75,26,57.0,31,15,0.2,8.3
7.745,413.59,37.529,35.035,30,35,52.538,53,59.148,58,24,47.5,23,4,0.069,0.0
7.0,401.87,32.75,31.691,28,31,48.898,48,53.641,51,21,39.0,20,2,0.039,10.4
7.699,353.49,30.461,28.697,25,28,44.098,44,49.527,47,18,36.5,19,5,0.106,2.3
6.319,397.53,36.131,34.364,30,35,52.781,53,59.81,58,23,47.5,23,4,0.069,0.0
5.0,367.52,32.222,30.223,26,29,46.982,47,52.943,50,19,37.5,21,5,0.1,2.1
6.058,401.87,32.75,31.691,28,31,48.898,48,53.641,51,21,39.0,20,2,0.039,10.4
5.2,384.42,31.955,31.391,29,33,45.691,45,50.113,49,22,45.5,16,4,0.082,6.7
8.553,382.28,28.983,27.879,25,27,42.996,42,47.705,44,16,34.5,17,4,0.091,4.8
6.886,641.67,53.387,50.216,43,48,77.578,77,86.282,82,32,61.5,34,7,0.085,5.2
6.959,394.62,34.603,31.684,26,28,51.934,52,58.819,54,18,34.0,26,6,0.111,3.8
6.4,468.99,38.87,37.368,33,36,58.752,58,65.714,61,23,46.0,25,7,0.115,5.2
5.6,518.61,42.961,41.967,38,42,66.145,65,74.106,69,26,55.0,27,8,0.116,4.6
5.0,532.64,44.722,43.494,39,43,69.029,68,77.522,72,27,56.0,29,8,0.111,4.4
5.397,325.48,29.006,26.982,23,25,41.771,42,47.318,44,17,33.5,19,4,0.091,0.0
5.257,470.51,37.097,36.827,34,37,58.712,57,65.113,60,22,47.0,23,7,0.117,8.8
5.2,437.58,36.688,34.981,31,34,54.512,54,61.149,57,21,47.0,23,5,0.088,3.7
4.0,402.98,35.722,33.466,28,30,54.981,55,62.71,57,20,38.0,27,8,0.14,1.8
6.301,354.51,33.103,31.111,26,28,51.774,52,59.351,54,19,36.0,26,8,0.148,1.9
6.222,354.51,33.103,31.111,26,28,51.774,52,59.351,54,19,36.0,26,8,0.148,1.9
4.6,194.25,18.057,17.15,15,17,24.738,25,27.657,27,13,25.0,10,1,0.037,0.0
5.4,430.98,32.449,30.679,28,31,43.833,43,48.059,46,18,42.5,15,6,0.13,2.3
5.0,368.51,31.466,29.718,26,29,46.2,46,52.026,49,18,37.5,20,4,0.082,2.2
5.4,518.96,40.489,39.897,37,41,58.505,57,63.851,61,27,55.0,20,6,0.098,7.0
5.0,469.59,41.767,40.046,35,38,62.211,62,69.687,65,27,51.5,27,9,0.138,4.8
5.4,512.48,42.79,40.513,35,38,62.414,62,69.781,65,26,49.0,27,9,0.138,3.2
5.2,450.56,39.461,37.935,33,37,60.505,60,67.944,64,25,47.5,27,8,0.125,5.0
5.0,425.55,37.017,35.562,31,34,58.531,58,66.268,61,21,43.5,27,5,0.082,5.2
6.979,366.61,33.148,29.969,24,26,49.607,50,56.61,52,17,31.0,26,6,0.115,2.0
5.8,437.23,25.972,24.293,23,26,32.084,31,34.009,34,15,36.5,8,3,0.088,9.7
5.4,293.3,23.426,23.316,22,25,33.822,33,36.784,36,16,36.0,11,1,0.028,9.1
6.721,614.29,53.853,50.264,42,46,82.116,82,93.039,86,30,57.0,40,9,0.105,3.7
5.456,521.74,48.586,45.723,38,42,76.832,77,87.76,81,28,50.0,39,7,0.086,3.9
6.706,491.54,36.705,36.33,34,37,56.058,54,61.796,57,22,49.0,20,6,0.105,5.6
5.2,513.71,42.313,39.936,35,40,62.683,62,70.108,67,23,52.0,27,5,0.075,4.8
5.585,392.48,33.517,32.441,29,33,50.52,50,56.861,54,21,43.0,21,2,0.037,2.0
7.1,354.51,33.103,31.111,26,28,51.774,52,59.351,54,19,36.0,26,8,0.148,1.9
5.0,334.41,29.262,28.203,25,28,43.247,43,48.318,46,19,37.5,18,4,0.087,4.7
6.481,398.53,36.006,34.22,29,31,56.178,56,63.734,58,22,39.5,27,7,0.121,3.6
5.5,277.31,22.767,22.402,21,24,32.487,32,35.947,35,15,35.0,11,2,0.057,3.1
5.4,348.38,29.159,28.59,26,29,42.698,42,46.741,45,20,39.0,16,2,0.044,9.5
5.2,393.48,34.449,33.191,29,31,52.451,52,58.485,54,22,41.5,23,10,0.185,7.7
5.2,581.11,46.421,44.664,40,44,67.232,66,74.017,70,29,60.0,26,11,0.157,6.1
5.0,518.46,36.205,37.357,37,41,56.083,53,61.559,57,24,54.5,16,5,0.088,1.9
5.8,333.33,25.676,25.832,25,27,37.142,36,40.365,38,17,39.5,11,3,0.079,8.3
6.824,460.65,42.637,40.208,34,38,65.745,66,75.178,70,25,47.5,32,4,0.057,1.5
5.4,438.53,38.034,36.772,33,38,55.334,55,61.73,60,25,51.5,22,3,0.05,3.6
5.2,464.66,40.762,38.341,33,37,61.054,61,69.268,65,23,46.5,28,7,0.108,1.6
5.0,373.5,34.336,32.563,28,31,50.789,51,57.438,54,22,41.0,23,5,0.093,2.0
5.072,348.39,28.955,28.391,26,30,42.691,42,47.113,46,19,40.5,16,2,0.043,7.1
5.3,529.63,43.66,42.578,38,41,69.392,68,78.324,71,26,51.0,30,8,0.113,2.9
5.4,258.4,26.08,24.026,19,20,40.367,41,46.358,42,16,25.5,22,6,0.143,2.4
5.0,560.74,48.398,46.023,40,45,72.483,72,81.145,77,29,58.5,32,8,0.104,5.6
5.0,450.38,35.75,34.128,30,33,52.832,52,59.081,55,21,41.5,22,5,0.091,1.9
5.0,467.97,38.347,37.015,33,35,56.836,56,63.346,58,24,47.5,23,8,0.138,3.6
5.0,366.83,29.358,28.504,26,29,41.687,41,45.847,44,19,40.5,15,3,0.068,4.9
5.385,468.6,42.523,40.552,35,40,62.992,63,70.604,68,28,53.0,28,2,0.029,4.8
5.4,446.95,36.557,35.236,31,34,55.945,55,62.472,58,22,42.5,24,8,0.138,5.5
5.2,493.67,45.631,43.186,37,41,67.643,68,76.68,72,29,54.0,31,7,0.097,1.5
