pXC50,MATS4v,MATS4p,GATS4v,P_VSA_MR_7,SIC4,BIC5,SIC3,SIC5,BIC4,CIC3,CIC4,HNar,GNar,PDI,BIC3,SpMax3_Bh.p.,Uindex,LOC,SpMax2_Bh.m.,BAC,CIC5,GATS5v,X0A,X2A,MATS4m,X4v,SpMin1_Bh.m.,Eta_sh_p,MCD,SpMax4_Bh.p.,TIE,MATS7i,JGI6,SsCH3,X5v,NRS,Rperim,X3v,Mp,SM13_EA.bo.,C.001,nCp,SpMax2_Bh.e.,SM15_EA.bo.,JGI1,Yindex,Eig02_EA.bo.,SM12_AEA.ri.,SpMin1_Bh.v.,nCIC,nCIR,TRS,Eta_B_A,SpMax4_Bh.v.,SpMAD_AEA.ed.,JGT,C.006,NsCH3,P_VSA_LogP_1,SaasC,D.Dtr06,SM08_EA.bo.,CATS2D_09_AA,C.003
5.0,0.014,-0.011,0.958,7.958,0.887,0.883,0.855,0.896,0.874,0.96,0.75,1.794,1.925,0.887,0.843,3.816,119.699,1.853,3.853,82.0,0.69,0.949,0.733,0.316,0.012,7.052,2.128,0.156,0.286,3.658,231.941,-0.015,0.018,5.869,5.073,2,12,9.845,0.614,17.681,3,3,3.909,20.287,0.198,0.645,3.444,3.444,2.084,2,2,12,0.022,3.646,1.472,0.429,2,3,26.476,1.182,384.394,11.446,1,2
5.0,0.014,-0.012,0.958,7.958,0.886,0.882,0.853,0.895,0.872,0.969,0.753,1.789,1.923,0.887,0.84,3.817,114.863,1.882,3.846,82.0,0.69,0.94,0.734,0.316,0.009,6.828,2.128,0.16,0.293,3.658,222.991,-0.003,0.017,5.861,4.911,2,12,9.595,0.614,17.682,3,3,3.909,20.288,0.202,0.667,3.443,3.443,2.084,2,2,12,0.023,3.643,1.476,0.437,2,3,26.476,1.084,372.166,11.446,1,2
5.0,-0.02,-0.064,1.003,14.668,0.883,0.868,0.85,0.883,0.868,0.962,0.747,1.858,1.988,0.887,0.835,3.833,76.504,1.021,3.869,45.0,0.747,0.947,0.721,0.298,-0.044,7.176,2.125,0.13,0.405,3.767,143.287,0.005,0.018,3.73,5.016,3,15,9.507,0.62,17.821,2,2,3.925,20.463,0.192,0.565,3.443,3.443,2.08,3,3,15,0.022,3.687,1.519,0.424,2,2,17.65,1.155,327.47,11.486,0,2
5.0,-0.013,-0.045,0.983,7.958,0.892,0.877,0.878,0.892,0.877,0.788,0.693,1.774,1.917,0.886,0.863,3.815,101.621,1.716,3.844,73.0,0.693,0.948,0.736,0.316,-0.042,6.319,2.127,0.173,0.316,3.655,191.448,-0.004,0.018,5.305,4.31,2,12,8.944,0.617,17.672,3,3,3.909,20.279,0.218,0.623,3.443,3.443,2.084,2,2,12,0.026,3.637,1.485,0.464,2,3,26.476,1.075,341.671,11.435,1,2
5.0,0.034,0.018,0.924,14.668,0.887,0.878,0.847,0.898,0.868,1.035,0.762,1.843,1.968,0.908,0.828,3.827,120.421,1.679,3.853,82.0,0.688,0.911,0.724,0.307,0.053,8.108,2.128,0.134,0.367,3.808,240.302,0.022,0.016,5.85,5.906,3,18,11.232,0.629,18.195,3,3,3.911,20.85,0.186,0.562,3.612,3.612,2.084,3,3,18,0.021,3.681,1.493,0.415,2,3,26.476,1.295,668.808,11.869,1,2
5.0,0.02,-0.025,0.949,33.571,0.885,0.866,0.862,0.885,0.866,0.953,0.796,1.764,1.922,0.891,0.844,3.747,151.669,1.144,3.848,180.0,0.796,0.904,0.737,0.314,0.053,6.673,2.126,0.207,0.321,3.665,311.405,-0.041,0.018,10.719,4.514,3,18,9.971,0.613,18.006,6,6,3.915,20.63,0.241,0.436,3.474,3.474,2.082,3,3,18,0.029,3.67,1.506,0.483,2,6,52.951,2.194,790.98,11.846,2,2
5.0,0.001,-0.039,0.983,14.668,0.884,0.88,0.853,0.893,0.871,0.978,0.775,1.798,1.927,0.89,0.841,3.817,124.196,1.95,3.846,92.0,0.716,0.957,0.733,0.311,-0.03,7.67,2.128,0.16,0.279,3.658,234.312,0.005,0.016,7.725,5.422,2,12,10.534,0.613,17.828,4,4,3.909,20.467,0.193,0.691,3.443,3.443,2.084,2,2,12,0.02,3.646,1.488,0.421,3,4,35.301,1.152,392.31,11.506,1,2
5.0,-0.001,-0.033,0.974,24.744,0.906,0.884,0.874,0.906,0.884,0.813,0.606,1.897,2.003,0.911,0.853,3.823,86.779,0.907,4.003,29.0,0.606,0.934,0.716,0.311,0.007,7.429,2.127,0.093,0.45,3.766,147.263,0.004,0.017,2.016,5.442,3,18,10.001,0.645,17.796,1,1,3.907,20.402,0.179,0.512,3.444,3.444,2.082,3,3,18,0.02,3.681,1.458,0.384,2,1,8.825,2.005,533.87,11.629,1,1
5.0,0.029,-0.023,0.953,7.958,0.875,0.859,0.847,0.875,0.859,0.976,0.798,1.769,1.915,0.882,0.832,3.808,96.868,1.442,3.842,78.0,0.798,0.954,0.737,0.317,0.055,6.053,2.125,0.179,0.324,3.602,182.557,0.04,0.018,5.361,4.344,2,12,8.233,0.619,17.696,3,3,3.906,20.302,0.224,0.698,3.443,3.443,2.08,2,2,12,0.026,3.558,1.492,0.464,1,3,26.476,1.065,329.696,11.446,2,1
6.699,-0.119,-0.121,1.085,0.0,0.915,0.876,0.892,0.926,0.866,0.647,0.508,2.079,2.158,1.007,0.844,3.86,52.583,0.383,4.048,5.0,0.444,0.875,0.687,0.285,-0.056,4.841,2.159,0.094,0.8,3.578,58.43,0.039,0.013,0.0,3.637,4,28,7.082,0.704,19.328,0,0,3.989,22.213,0.154,0.328,3.708,3.708,2.141,5,6,30,0.02,3.583,1.507,0.357,4,0,0.0,4.836,578.945,12.448,0,1
7.174,0.153,0.146,0.788,16.786,0.856,0.852,0.835,0.872,0.836,1.116,0.973,1.691,1.865,0.867,0.816,3.695,171.771,1.635,3.854,262.0,0.862,1.018,0.75,0.319,0.077,5.254,2.056,0.265,0.212,3.645,379.016,-0.005,0.018,13.695,3.311,2,11,7.922,0.613,17.577,7,7,3.922,20.044,0.274,0.638,3.503,3.503,2.037,2,2,11,0.033,3.644,1.524,0.527,1,8,72.659,1.277,247.62,11.676,1,2
7.921,0.173,0.157,0.755,0.0,0.792,0.806,0.766,0.82,0.779,1.59,1.41,1.626,1.809,0.849,0.753,3.659,232.003,3.225,3.806,357.0,1.223,1.036,0.764,0.327,0.111,5.136,2.056,0.317,0.12,3.644,528.882,-0.023,0.018,17.567,3.284,1,6,7.661,0.604,17.279,9,9,3.892,19.725,0.3,0.907,3.474,3.474,2.038,1,1,6,0.036,3.643,1.541,0.565,1,10,90.31,0.813,238.704,11.444,0,3
7.854,0.107,0.053,0.852,0.0,0.808,0.808,0.78,0.825,0.792,1.529,1.332,1.685,1.86,0.858,0.764,3.733,206.723,2.598,3.833,341.0,1.218,0.949,0.751,0.322,0.125,6.166,2.064,0.267,0.207,3.68,472.751,-0.042,0.02,15.332,4.047,2,12,9.009,0.613,17.314,8,8,3.908,19.741,0.28,0.645,3.464,3.464,2.051,2,2,12,0.033,3.678,1.524,0.527,0,9,81.485,1.503,547.226,11.642,0,2
9.0,0.071,0.037,0.892,0.0,0.872,0.87,0.832,0.89,0.853,1.182,0.899,1.771,1.924,0.892,0.814,3.755,180.36,1.283,3.854,231.0,0.777,0.992,0.736,0.311,0.057,7.49,2.057,0.193,0.274,3.715,413.503,-0.095,0.017,8.869,4.766,3,17,10.64,0.616,17.389,4,5,3.927,19.825,0.211,0.418,3.474,3.474,2.038,3,3,17,0.025,3.721,1.514,0.446,3,5,46.184,1.649,589.857,11.677,0,2
6.824,0.03,0.027,0.934,16.786,0.892,0.871,0.863,0.898,0.865,0.925,0.727,1.78,1.933,0.9,0.837,3.765,142.75,0.941,3.853,153.0,0.689,0.982,0.734,0.311,-0.017,5.609,2.056,0.19,0.315,3.681,298.48,-0.026,0.017,6.397,3.558,3,17,8.446,0.627,17.532,3,3,3.922,19.991,0.223,0.448,3.474,3.474,2.034,3,3,17,0.026,3.689,1.508,0.462,1,4,37.359,2.123,517.586,11.763,1,1
6.071,0.101,0.053,0.87,16.786,0.859,0.847,0.837,0.868,0.838,1.134,0.982,1.71,1.89,0.873,0.817,3.707,169.797,2.545,3.892,341.0,0.918,0.972,0.746,0.314,0.104,6.598,2.04,0.26,0.233,3.671,386.742,-0.059,0.021,15.264,4.208,2,14,9.511,0.612,19.562,8,8,3.962,22.523,0.274,0.501,3.506,3.506,2.031,3,4,16,0.034,3.671,1.545,0.53,0,9,81.485,1.191,233.49,12.473,2,2
9.745,0.069,0.032,0.883,0.0,0.816,0.831,0.769,0.837,0.81,1.492,1.191,1.565,1.748,0.835,0.763,3.63,249.925,2.846,3.718,258.0,1.054,0.965,0.778,0.329,0.072,3.893,2.037,0.368,0.0,3.563,519.162,-0.129,0.023,17.236,2.069,0,0,6.307,0.586,16.164,9,9,3.813,18.459,0.286,1.732,3.131,3.131,2.025,0,0,0,0.033,3.551,1.552,0.576,1,9,79.427,0.0,0.0,10.555,0,4
8.796,0.116,0.099,0.809,0.0,0.818,0.834,0.767,0.841,0.812,1.48,1.156,1.545,1.735,0.832,0.761,3.626,226.07,2.792,3.711,246.0,1.01,0.983,0.782,0.336,0.076,3.283,2.034,0.391,0.0,3.511,463.62,-0.11,0.02,16.79,2.004,0,0,5.475,0.586,16.112,9,9,3.803,18.401,0.303,1.733,3.13,3.13,2.022,0,0,0,0.037,3.514,1.562,0.594,1,9,79.427,0.0,0.0,10.519,0,4
6.538,-0.008,-0.046,0.981,33.571,0.921,0.898,0.876,0.926,0.893,0.857,0.546,1.891,2.023,0.922,0.849,3.769,113.895,0.787,3.904,87.0,0.513,0.89,0.715,0.297,0.008,7.758,2.145,0.134,0.466,3.733,223.638,-0.017,0.016,7.73,5.323,4,27,11.432,0.633,19.458,4,4,3.985,22.392,0.177,0.369,3.505,3.505,2.132,5,6,29,0.023,3.749,1.512,0.404,2,4,35.301,1.845,958.731,12.486,0,4
6.481,0.042,-0.032,0.921,16.786,0.855,0.842,0.823,0.855,0.842,1.164,0.951,1.714,1.883,0.864,0.81,3.717,114.928,1.39,3.799,137.0,0.951,0.868,0.746,0.317,0.093,5.412,2.128,0.251,0.293,3.63,219.966,-0.059,0.019,13.213,3.669,2,12,8.079,0.603,16.841,7,7,3.887,19.247,0.25,0.701,3.288,3.288,2.084,2,2,12,0.031,3.621,1.525,0.506,1,7,61.776,0.736,371.784,11.153,0,4
8.066,0.116,0.045,0.831,0.0,0.821,0.837,0.774,0.844,0.814,1.438,1.142,1.556,1.742,0.83,0.768,3.606,237.86,2.842,3.704,249.0,0.998,0.974,0.78,0.34,0.134,3.338,2.033,0.383,0.0,3.51,470.406,-0.152,0.026,16.562,1.889,0,0,5.269,0.584,16.011,9,9,3.797,18.291,0.309,1.713,3.129,3.129,2.018,0,0,0,0.037,3.513,1.547,0.592,1,9,79.427,0.0,0.0,10.458,0,3
6.77,0.15,0.063,0.785,0.0,0.8,0.815,0.756,0.822,0.794,1.571,1.286,1.537,1.729,0.826,0.75,3.611,249.978,2.799,3.707,278.0,1.146,0.972,0.784,0.343,0.184,3.397,2.033,0.402,0.0,3.542,507.35,-0.161,0.028,18.339,1.905,0,0,5.325,0.584,16.308,10,10,3.798,18.61,0.343,1.717,3.153,3.153,2.019,0,0,0,0.041,3.536,1.552,0.635,1,10,88.252,0.0,0.0,10.674,0,3
8.125,0.085,0.061,0.839,0.0,0.802,0.817,0.759,0.823,0.796,1.558,1.279,1.537,1.729,0.829,0.753,3.631,250.013,2.799,3.721,278.0,1.143,0.922,0.784,0.337,0.076,3.527,2.037,0.398,0.0,3.582,524.665,-0.136,0.026,18.923,2.021,0,0,5.972,0.586,16.799,10,10,3.817,19.226,0.329,1.702,3.206,3.206,2.026,0,0,0,0.041,3.574,1.564,0.63,2,10,88.252,0.0,0.0,10.871,0,3
7.921,0.009,-0.029,0.958,33.571,0.919,0.893,0.881,0.919,0.893,0.811,0.55,1.82,1.973,0.911,0.855,3.769,117.767,0.982,3.875,135.0,0.55,0.87,0.726,0.3,0.021,7.072,2.128,0.174,0.407,3.717,249.501,-0.027,0.016,7.608,4.933,3,22,10.562,0.629,19.236,4,4,3.967,22.133,0.202,0.438,3.451,3.451,2.121,4,5,24,0.026,3.713,1.534,0.447,1,4,35.301,0.763,898.002,12.358,0,4
10.337,0.105,0.076,0.845,0.0,0.805,0.813,0.749,0.821,0.798,1.715,1.33,1.535,1.735,0.818,0.742,3.675,431.159,2.885,3.765,529.0,1.224,0.974,0.783,0.326,0.075,5.019,2.035,0.397,0.0,3.603,1120.11,-0.085,0.023,19.203,3.094,0,0,8.32,0.586,17.137,11,11,3.853,19.573,0.333,1.709,3.282,3.282,2.027,0,0,0,0.041,3.602,1.609,0.636,0,11,97.077,0.0,0.0,11.211,0,4
6.0,0.035,-0.009,0.932,26.262,0.883,0.859,0.864,0.883,0.859,0.903,0.78,1.817,1.977,0.899,0.841,3.74,96.792,1.128,3.852,108.0,0.78,0.888,0.726,0.3,0.061,6.716,2.126,0.186,0.458,3.732,198.901,-0.054,0.018,6.894,4.518,4,22,9.285,0.623,17.501,3,3,3.928,19.962,0.225,0.505,3.472,3.472,2.082,4,4,22,0.03,3.733,1.526,0.47,0,4,34.872,1.35,422.827,11.621,2,2
7.252,0.144,0.072,0.792,0.0,0.82,0.836,0.735,0.843,0.813,1.683,1.147,1.569,1.749,0.836,0.729,3.624,226.195,2.886,3.69,222.0,1.0,0.942,0.777,0.344,0.175,3.377,2.035,0.359,0.0,3.551,450.501,-0.127,0.024,15.574,1.964,0,0,5.261,0.586,15.814,8,8,3.792,18.077,0.303,1.666,2.978,2.978,2.021,0,0,0,0.035,3.536,1.524,0.575,2,8,70.602,0.0,0.0,10.335,0,4
6.0,0.014,-0.043,0.958,16.786,0.863,0.842,0.845,0.863,0.842,1.037,0.917,1.789,1.96,0.892,0.824,3.751,96.801,1.069,3.86,126.0,0.917,0.825,0.73,0.302,0.066,6.808,2.126,0.208,0.458,3.733,201.61,-0.029,0.019,10.895,4.688,4,22,9.631,0.618,17.735,5,5,3.934,20.238,0.255,0.508,3.508,3.508,2.082,4,4,22,0.034,3.739,1.53,0.515,0,6,52.522,1.362,422.66,11.734,2,2
7.699,0.164,0.095,0.777,0.0,0.838,0.831,0.764,0.838,0.831,1.485,1.023,1.535,1.727,0.829,0.758,3.578,214.066,2.679,3.71,245.0,1.023,1.067,0.784,0.34,0.176,3.338,2.035,0.404,0.0,3.549,440.348,-0.077,0.028,16.659,1.957,0,0,4.973,0.586,16.031,9,9,3.8,18.315,0.328,1.817,3.142,3.142,2.022,0,0,0,0.039,3.534,1.569,0.616,0,9,79.427,0.0,0.0,10.462,0,3
6.0,0.06,0.011,0.906,16.786,0.865,0.85,0.828,0.871,0.844,1.166,0.911,1.895,2.033,0.912,0.808,3.767,92.359,0.975,3.857,69.0,0.874,0.91,0.713,0.299,0.09,8.028,2.126,0.132,0.549,3.732,188.615,-0.066,0.019,5.232,5.615,5,28,10.652,0.62,17.487,3,3,3.935,19.945,0.2,0.423,3.472,3.472,2.082,5,5,28,0.027,3.745,1.51,0.425,1,3,26.476,1.384,659.084,11.621,2,2
6.222,0.134,0.085,0.809,0.0,0.847,0.839,0.774,0.847,0.839,1.397,0.945,1.537,1.727,0.822,0.766,3.553,191.528,2.668,3.696,215.0,0.945,1.059,0.784,0.335,0.12,3.099,2.035,0.399,0.0,3.52,385.176,-0.119,0.026,14.085,1.708,0,0,4.703,0.586,15.998,7,7,3.791,18.279,0.317,1.883,3.123,3.123,2.022,0,0,0,0.037,3.526,1.572,0.608,0,8,72.659,0.0,0.0,10.43,0,3
6.0,0.037,-0.022,0.935,16.786,0.88,0.859,0.862,0.88,0.859,0.923,0.804,1.82,1.977,0.894,0.841,3.734,100.076,1.188,3.85,111.0,0.804,0.863,0.726,0.301,0.077,6.883,2.126,0.183,0.449,3.728,205.58,-0.029,0.018,8.484,4.696,4,22,9.453,0.616,17.492,3,3,3.928,19.953,0.221,0.502,3.472,3.472,2.082,4,4,22,0.029,3.727,1.523,0.464,1,5,45.755,1.347,432.664,11.614,3,2
8.523,0.075,0.07,0.871,0.0,0.892,0.87,0.865,0.892,0.87,0.877,0.697,1.631,1.835,0.875,0.843,3.65,120.445,2.732,3.825,258.0,0.697,0.966,0.76,0.303,0.025,4.64,2.036,0.328,0.214,3.552,264.801,-0.095,0.02,13.747,2.957,1,9,7.477,0.615,20.057,8,8,3.913,23.111,0.279,0.654,3.566,3.566,2.036,2,3,11,0.038,3.548,1.63,0.585,0,8,70.602,0.404,148.92,12.635,1,2
7.678,0.117,0.067,0.829,0.0,0.847,0.854,0.798,0.868,0.833,1.309,0.992,1.644,1.821,0.852,0.785,3.63,157.816,3.116,3.771,207.0,0.859,0.946,0.76,0.331,0.13,4.14,2.047,0.296,0.15,3.613,323.094,-0.062,0.021,13.383,2.562,1,6,6.325,0.603,17.051,7,7,3.861,19.552,0.287,0.929,3.189,3.189,2.04,1,1,6,0.033,3.609,1.526,0.549,1,7,61.776,0.832,181.254,11.188,0,3
8.523,0.141,0.08,0.792,0.0,0.822,0.838,0.734,0.844,0.816,1.703,1.139,1.556,1.742,0.834,0.729,3.63,237.86,2.842,3.71,249.0,0.998,0.985,0.78,0.34,0.158,3.566,2.035,0.379,0.0,3.551,487.408,-0.113,0.026,17.182,2.036,0,0,5.563,0.586,16.011,9,9,3.804,18.291,0.309,1.713,3.129,3.129,2.022,0,0,0,0.037,3.537,1.547,0.592,1,9,79.427,0.0,0.0,10.458,0,4
7.167,0.114,0.062,0.84,0.0,0.859,0.85,0.79,0.859,0.85,1.324,0.887,1.556,1.742,0.829,0.781,3.559,237.801,2.842,3.71,249.0,0.887,1.005,0.78,0.335,0.098,3.313,2.035,0.377,0.0,3.543,498.314,-0.105,0.024,13.922,1.896,0,0,5.177,0.588,16.086,7,7,3.797,18.358,0.309,1.729,3.138,3.138,2.022,0,0,0,0.036,3.533,1.558,0.595,1,8,72.659,0.0,0.0,10.551,0,3
6.097,0.142,0.071,0.803,0.0,0.833,0.827,0.76,0.833,0.827,1.443,1.004,1.543,1.726,0.819,0.755,3.551,149.974,2.577,3.669,163.0,1.004,1.025,0.783,0.341,0.173,2.764,2.034,0.388,0.0,3.435,277.719,-0.099,0.026,13.23,1.571,0,0,4.058,0.584,15.695,7,7,3.781,17.974,0.308,1.995,2.949,2.949,2.019,0,0,0,0.035,3.441,1.547,0.592,1,7,61.776,0.0,0.0,10.156,0,3
7.886,0.157,0.095,0.778,0.0,0.797,0.841,0.727,0.847,0.791,1.762,1.31,1.565,1.748,0.835,0.722,3.63,249.677,2.856,3.709,256.0,0.986,0.992,0.778,0.343,0.178,3.766,2.039,0.368,0.0,3.573,512.556,-0.098,0.022,17.474,2.207,0,0,5.656,0.586,15.917,9,9,3.806,18.177,0.314,1.726,3.126,3.126,2.024,0,0,0,0.036,3.556,1.528,0.587,1,9,79.427,0.0,0.0,10.42,0,4
6.0,0.037,-0.007,0.927,16.786,0.879,0.858,0.852,0.879,0.858,0.988,0.804,1.84,1.989,0.902,0.831,3.733,96.767,1.035,3.839,86.0,0.804,0.91,0.723,0.305,0.062,6.778,2.127,0.164,0.5,3.711,196.138,-0.037,0.018,6.973,4.734,4,24,9.307,0.618,17.415,3,3,3.918,19.866,0.216,0.507,3.472,3.472,2.084,4,4,24,0.028,3.707,1.496,0.445,1,4,34.872,1.371,415.987,11.571,2,2
8.456,0.137,0.085,0.806,0.0,0.811,0.81,0.729,0.818,0.803,1.753,1.222,1.541,1.734,0.827,0.721,3.598,274.202,2.765,3.729,318.0,1.177,1.04,0.783,0.33,0.118,3.877,2.035,0.402,0.0,3.539,607.046,-0.103,0.026,17.514,2.151,0,0,5.95,0.588,16.351,9,9,3.824,18.657,0.311,1.858,3.138,3.138,2.025,0,0,0,0.037,3.536,1.59,0.606,0,10,90.31,0.0,0.0,10.718,0,4
8.0,0.144,0.074,0.801,0.0,0.796,0.797,0.714,0.804,0.789,1.812,1.294,1.545,1.735,0.825,0.708,3.596,225.107,2.685,3.717,254.0,1.244,1.011,0.782,0.334,0.16,3.542,2.034,0.393,0.0,3.538,468.724,-0.087,0.026,16.695,2.013,0,0,5.305,0.586,16.149,9,9,3.818,18.459,0.303,1.941,3.12,3.12,2.023,0,0,0,0.036,3.522,1.572,0.592,1,9,79.427,0.0,0.0,10.519,0,4
8.337,0.167,0.095,0.764,0.0,0.792,0.833,0.692,0.838,0.787,2.016,1.363,1.562,1.748,0.836,0.688,3.636,274.25,2.821,3.733,294.0,1.059,0.974,0.778,0.341,0.2,4.126,2.038,0.375,0.0,3.592,578.512,-0.111,0.024,19.629,2.436,0,0,6.151,0.586,16.065,10,10,3.828,18.352,0.311,1.787,3.165,3.165,2.026,0,0,0,0.037,3.574,1.542,0.587,1,10,88.252,0.0,0.0,10.503,0,5
8.959,0.153,0.095,0.792,0.0,0.832,0.844,0.746,0.852,0.824,1.652,1.094,1.55,1.741,0.829,0.739,3.638,287.937,2.783,3.743,325.0,0.962,1.035,0.781,0.333,0.143,4.053,2.035,0.39,0.0,3.551,635.082,-0.131,0.024,17.853,2.362,0,0,6.051,0.588,16.285,9,9,3.829,18.577,0.316,1.715,3.219,3.219,2.023,0,0,0,0.037,3.538,1.572,0.603,0,10,90.31,0.0,0.0,10.689,0,4
6.577,-0.006,-0.048,0.976,33.571,0.924,0.901,0.877,0.929,0.896,0.85,0.525,1.873,2.012,0.908,0.851,3.769,117.047,0.799,3.907,106.0,0.492,0.907,0.717,0.295,0.027,7.915,2.145,0.145,0.458,3.733,242.491,-0.023,0.018,7.325,5.228,4,27,11.482,0.631,19.466,4,4,3.987,22.397,0.175,0.379,3.505,3.505,2.132,5,6,29,0.024,3.749,1.526,0.41,2,4,35.301,1.724,977.35,12.501,0,4
5.0,-0.029,-0.052,1.009,41.529,0.908,0.889,0.872,0.908,0.889,0.876,0.628,1.788,1.937,0.902,0.853,3.819,133.594,1.055,3.891,131.0,0.628,0.909,0.733,0.308,-0.003,7.84,2.126,0.178,0.346,3.746,277.779,0.015,0.019,7.447,5.549,3,18,11.401,0.621,18.363,4,4,3.912,21.018,0.222,0.494,3.8,3.8,2.082,3,3,18,0.026,3.683,1.508,0.471,2,4,35.301,2.375,725.023,12.007,2,2
7.569,0.107,0.052,0.859,33.571,0.858,0.86,0.802,0.884,0.834,1.437,1.028,1.807,1.964,0.912,0.779,3.793,173.689,1.136,3.868,284.0,0.838,0.949,0.728,0.307,0.108,9.096,2.057,0.184,0.36,3.747,427.227,-0.053,0.017,11.274,5.66,5,27,12.764,0.626,17.967,6,6,3.933,20.435,0.222,0.353,3.508,3.508,2.041,5,5,27,0.028,3.766,1.518,0.451,1,6,52.951,2.437,703.843,12.111,2,3
7.553,0.082,0.03,0.887,33.571,0.872,0.862,0.823,0.886,0.848,1.294,0.935,1.857,2.001,0.921,0.801,3.816,162.517,1.003,3.869,212.0,0.829,0.925,0.72,0.303,0.091,10.37,2.126,0.149,0.423,3.773,401.56,-0.05,0.017,7.563,6.77,6,33,14.35,0.627,17.969,4,4,3.936,20.437,0.205,0.32,3.508,3.508,2.082,6,6,33,0.026,3.782,1.508,0.424,1,4,35.301,2.476,1087.73,12.119,2,3
4.0,-0.007,-0.022,0.996,16.786,0.894,0.872,0.871,0.9,0.866,0.857,0.708,1.923,2.05,0.925,0.844,3.74,89.382,0.961,3.891,54.0,0.668,0.941,0.709,0.295,-0.006,7.055,2.173,0.114,0.54,3.651,173.748,0.019,0.015,3.403,4.964,4,27,9.717,0.631,19.433,2,2,3.965,22.377,0.176,0.435,3.507,3.507,2.153,5,6,29,0.023,3.667,1.509,0.392,4,2,17.65,1.467,764.174,12.378,6,2
7.222,0.082,0.048,0.865,0.0,0.843,0.842,0.789,0.86,0.825,1.457,1.084,1.701,1.871,0.861,0.772,3.748,201.236,2.747,3.824,298.0,0.967,0.941,0.748,0.318,0.072,6.07,2.057,0.253,0.211,3.688,450.376,-0.002,0.019,13.702,3.947,2,12,9.155,0.614,17.223,7,7,3.899,19.651,0.25,0.597,3.447,3.447,2.041,2,2,12,0.03,3.689,1.528,0.499,1,8,72.659,1.534,545.181,11.574,0,3
9.509,0.082,0.055,0.857,0.0,0.837,0.852,0.788,0.859,0.831,1.357,1.045,1.556,1.742,0.834,0.782,3.63,237.867,2.842,3.714,249.0,0.903,0.943,0.78,0.332,0.067,3.444,2.035,0.379,0.0,3.542,491.079,-0.12,0.022,17.037,2.036,0,0,6.011,0.586,16.136,9,9,3.807,18.428,0.294,1.729,3.131,3.131,2.023,0,0,0,0.035,3.53,1.563,0.586,1,9,79.427,0.0,0.0,10.536,0,4
8.77,0.116,0.063,0.836,0.0,0.825,0.833,0.768,0.85,0.808,1.657,1.254,1.665,1.847,0.867,0.753,3.734,265.732,1.802,3.852,495.0,1.071,0.968,0.755,0.32,0.101,6.943,2.059,0.291,0.179,3.682,645.82,-0.068,0.018,20.099,4.413,2,12,10.397,0.612,17.51,11,11,3.924,19.926,0.279,0.581,3.475,3.475,2.043,2,2,12,0.034,3.687,1.546,0.541,0,12,107.96,1.455,654.429,11.807,0,3
7.62,0.11,0.056,0.841,0.0,0.806,0.813,0.75,0.832,0.787,1.812,1.407,1.714,1.887,0.881,0.733,3.849,236.803,1.715,3.858,454.0,1.216,0.942,0.745,0.316,0.108,7.87,2.063,0.25,0.247,3.727,570.634,-0.066,0.018,18.743,5.078,3,18,11.56,0.621,17.712,10,10,3.93,20.151,0.26,0.476,3.476,3.476,2.048,3,3,18,0.032,3.73,1.531,0.507,0,11,99.135,2.151,1063.07,11.998,0,3
8.538,0.141,0.08,0.792,0.0,0.822,0.838,0.734,0.844,0.816,1.703,1.139,1.556,1.742,0.834,0.729,3.63,237.86,2.842,3.71,249.0,0.998,0.985,0.78,0.34,0.158,3.566,2.035,0.379,0.0,3.551,487.408,-0.113,0.026,17.182,2.036,0,0,5.563,0.586,16.011,9,9,3.804,18.291,0.309,1.713,3.129,3.129,2.022,0,0,0,0.037,3.537,1.547,0.592,1,9,79.427,0.0,0.0,10.458,0,4
6.137,0.086,0.051,0.856,0.0,0.826,0.821,0.767,0.832,0.814,1.517,1.135,1.676,1.84,0.861,0.756,3.663,144.787,3.293,3.801,157.0,1.091,0.956,0.754,0.324,0.081,4.535,2.062,0.268,0.158,3.589,270.09,-0.02,0.02,13.798,2.893,1,6,6.867,0.603,16.664,7,7,3.889,19.087,0.224,0.919,3.305,3.305,2.039,1,1,6,0.028,3.578,1.515,0.482,0,7,61.776,1.063,176.052,10.986,0,3
4.485,0.039,0.038,0.908,22.831,0.867,0.848,0.854,0.867,0.848,0.998,0.908,1.759,1.921,0.892,0.836,3.824,128.601,1.765,3.912,167.0,0.908,0.871,0.737,0.308,0.009,8.054,2.128,0.205,0.333,3.732,291.856,0.092,0.017,10.838,5.951,3,17,12.928,0.618,20.148,6,6,3.968,23.215,0.236,0.595,3.508,3.508,2.101,3,3,17,0.031,3.747,1.517,0.49,2,6,52.951,1.356,464.926,12.688,2,4
5.959,0.174,0.1,0.744,0.0,0.783,0.786,0.729,0.79,0.78,1.762,1.406,1.55,1.736,0.83,0.725,3.637,237.131,2.796,3.723,255.0,1.362,0.991,0.781,0.338,0.205,4.093,2.061,0.383,0.0,3.582,477.762,-0.08,0.027,19.72,2.406,0,0,6.074,0.585,16.338,10,10,3.833,18.671,0.309,1.875,3.206,3.206,2.035,0,0,0,0.038,3.564,1.546,0.597,0,10,88.252,0.0,0.0,10.624,0,3
