pXC50,MATS6e,MATS6s,P_VSA_LogP_4,P_VSA_MR_2,PW4,MATS4s,GATS8p,AMR,ATS1m,ATS1p,ATS1s,ATS1v,ATS2m,ATS2p,ATS2v,ATS3p,ATS3v,ATS4m,ATS4p,ATS4v,ATS5e,ATS5m,ATS5p,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC3i,ATSC3p,ATSC4i,ATSC4p,ATSC4v,ATSC5i,ATSC5p,ATSC5v,ATSC6i,ATSC6p,ATSC6v,ATSC7i,ATSC7p,ATSC7v,ATSC8i,ATSC8p,ATSC8v,BBI
4.051,0.012,-0.039,341.467,364.238,0.21,0.065,1.14,188.231,4.193,4.175,5.803,4.174,4.643,4.649,4.63,4.904,4.861,4.968,5.057,5.001,5.785,5.117,5.217,5.164,5.915,6.06,5.268,5.327,5.283,6.02,6.179,5.3,5.358,7.245,5.309,6.041,6.207,5.197,5.255,7.317,5.206,2.441,20.465,2.992,25.439,30.828,3.465,29.39,34.874,3.908,32.936,38.408,4.356,36.818,43.595,4.394,36.738,41.497,91
4.959,-0.039,-0.043,52.858,44.313,0.167,-0.032,1.157,87.168,3.862,3.424,5.267,3.411,4.137,3.854,3.809,4.03,3.965,4.296,4.068,4.001,5.203,4.377,4.031,3.982,5.137,5.317,4.339,3.955,3.907,4.999,5.162,4.22,3.886,6.495,3.835,4.979,5.142,4.12,3.747,6.554,3.741,1.202,11.598,1.254,12.268,15.887,1.2,12.17,15.305,1.106,10.899,13.943,1.03,10.487,12.698,0.896,8.691,11.355,38
4.495,-0.039,-0.043,52.858,44.313,0.167,-0.032,1.157,87.168,3.862,3.424,5.267,3.411,4.137,3.854,3.809,4.03,3.965,4.296,4.068,4.001,5.203,4.377,4.031,3.982,5.137,5.317,4.339,3.955,3.907,4.999,5.162,4.22,3.886,6.495,3.835,4.979,5.142,4.12,3.747,6.554,3.741,1.202,11.598,1.254,12.268,15.887,1.2,12.17,15.305,1.106,10.899,13.943,1.03,10.487,12.698,0.896,8.691,11.355,38
4.796,-0.039,-0.043,52.858,44.313,0.167,-0.032,1.157,87.168,3.862,3.424,5.267,3.411,4.137,3.854,3.809,4.03,3.965,4.296,4.068,4.001,5.203,4.377,4.031,3.982,5.137,5.317,4.339,3.955,3.907,4.999,5.162,4.22,3.886,6.495,3.835,4.979,5.142,4.12,3.747,6.554,3.741,1.202,11.598,1.254,12.268,15.887,1.2,12.17,15.305,1.106,10.899,13.943,1.03,10.487,12.698,0.896,8.691,11.355,38
4.796,-0.039,-0.043,52.858,44.313,0.167,-0.032,1.157,87.168,3.862,3.424,5.267,3.411,4.137,3.854,3.809,4.03,3.965,4.296,4.068,4.001,5.203,4.377,4.031,3.982,5.137,5.317,4.339,3.955,3.907,4.999,5.162,4.22,3.886,6.495,3.835,4.979,5.142,4.12,3.747,6.554,3.741,1.202,11.598,1.254,12.268,15.887,1.2,12.17,15.305,1.106,10.899,13.943,1.03,10.487,12.698,0.896,8.691,11.355,38
4.699,-0.039,-0.043,52.858,44.313,0.167,-0.032,1.157,87.168,3.862,3.424,5.267,3.411,4.137,3.854,3.809,4.03,3.965,4.296,4.068,4.001,5.203,4.377,4.031,3.982,5.137,5.317,4.339,3.955,3.907,4.999,5.162,4.22,3.886,6.495,3.835,4.979,5.142,4.12,3.747,6.554,3.741,1.202,11.598,1.254,12.268,15.887,1.2,12.17,15.305,1.106,10.899,13.943,1.03,10.487,12.698,0.896,8.691,11.355,38
4.678,-0.039,-0.043,52.858,44.313,0.167,-0.032,1.157,87.168,3.862,3.424,5.267,3.411,4.137,3.854,3.809,4.03,3.965,4.296,4.068,4.001,5.203,4.377,4.031,3.982,5.137,5.317,4.339,3.955,3.907,4.999,5.162,4.22,3.886,6.495,3.835,4.979,5.142,4.12,3.747,6.554,3.741,1.202,11.598,1.254,12.268,15.887,1.2,12.17,15.305,1.106,10.899,13.943,1.03,10.487,12.698,0.896,8.691,11.355,38
4.249,-0.039,-0.043,52.858,44.313,0.167,-0.032,1.157,87.168,3.862,3.424,5.267,3.411,4.137,3.854,3.809,4.03,3.965,4.296,4.068,4.001,5.203,4.377,4.031,3.982,5.137,5.317,4.339,3.955,3.907,4.999,5.162,4.22,3.886,6.495,3.835,4.979,5.142,4.12,3.747,6.554,3.741,1.202,11.598,1.254,12.268,15.887,1.2,12.17,15.305,1.106,10.899,13.943,1.03,10.487,12.698,0.896,8.691,11.355,38
4.174,-0.039,-0.043,52.858,44.313,0.167,-0.032,1.157,87.168,3.862,3.424,5.267,3.411,4.137,3.854,3.809,4.03,3.965,4.296,4.068,4.001,5.203,4.377,4.031,3.982,5.137,5.317,4.339,3.955,3.907,4.999,5.162,4.22,3.886,6.495,3.835,4.979,5.142,4.12,3.747,6.554,3.741,1.202,11.598,1.254,12.268,15.887,1.2,12.17,15.305,1.106,10.899,13.943,1.03,10.487,12.698,0.896,8.691,11.355,38
6.18,0.022,-0.02,0.0,35.313,0.153,-0.118,0.0,35.25,2.604,2.549,4.355,2.549,3.013,2.983,2.961,3.124,3.059,2.502,2.91,2.737,3.821,1.491,2.176,1.876,2.441,2.836,0.253,0.975,0.694,0.635,0.899,0.007,0.135,0.693,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.466,3.684,0.332,3.092,5.891,0.137,1.518,3.254,0.028,0.337,0.766,0.003,0.033,0.074,0.0,0.0,0.0,15
4.854,-0.076,-0.084,0.0,23.542,0.174,-0.029,0.903,73.452,3.193,3.281,4.826,3.236,3.51,3.696,3.608,3.817,3.684,3.319,3.725,3.555,4.644,3.127,3.581,3.39,4.474,4.768,2.958,3.44,3.25,4.316,4.606,2.921,3.315,5.134,3.143,4.16,4.431,2.961,3.211,5.094,3.084,1.119,8.849,1.044,8.607,12.854,0.899,7.695,11.512,0.775,6.584,9.861,0.675,5.694,8.517,0.602,4.77,7.154,26
4.921,-0.063,-0.065,0.0,23.542,0.156,0.004,1.038,57.906,2.963,3.073,4.654,3.017,3.298,3.499,3.399,3.647,3.496,3.13,3.563,3.371,4.526,2.898,3.362,3.16,4.333,4.645,2.746,3.19,2.998,4.163,4.459,2.668,3.065,5.039,2.897,4.099,4.396,2.313,2.891,5.017,2.674,0.866,7.042,0.785,6.646,10.897,0.635,5.502,8.915,0.538,4.515,7.391,0.472,3.854,6.289,0.378,3.448,5.604,20
4.018,-0.036,-0.005,0.0,23.542,0.188,-0.007,0.647,50.118,2.912,2.908,4.656,2.891,3.267,3.33,3.275,3.463,3.38,3.266,3.386,3.292,4.46,2.962,3.212,3.075,4.229,4.523,2.572,2.962,2.785,3.921,4.237,1.96,2.603,4.828,2.368,3.438,3.789,1.283,2.027,4.29,1.749,0.687,5.453,0.619,5.001,8.681,0.51,4.355,7.555,0.391,3.437,6.03,0.259,2.466,4.402,0.134,1.332,2.53,19
5.244,-0.036,-0.005,0.0,23.542,0.188,-0.007,0.647,50.118,2.912,2.908,4.656,2.891,3.267,3.33,3.275,3.463,3.38,3.266,3.386,3.292,4.46,2.962,3.212,3.075,4.229,4.523,2.572,2.962,2.785,3.921,4.237,1.96,2.603,4.828,2.368,3.438,3.789,1.283,2.027,4.29,1.749,0.687,5.453,0.619,5.001,8.681,0.51,4.355,7.555,0.391,3.437,6.03,0.259,2.466,4.402,0.134,1.332,2.53,19
5.824,0.0,0.012,0.0,23.542,0.161,0.051,0.947,73.123,3.187,3.301,4.879,3.245,3.495,3.72,3.612,3.893,3.756,3.547,3.863,3.705,4.899,3.305,3.748,3.556,4.752,5.058,3.116,3.592,3.389,4.58,4.89,2.938,3.444,5.356,3.239,4.431,4.736,2.849,3.311,5.218,3.117,1.119,9.042,1.074,8.911,14.336,0.95,8.159,13.14,0.81,7.017,11.304,0.697,6.002,9.665,0.609,5.189,8.36,24
4.203,-0.079,-0.095,0.0,23.542,0.186,0.037,0.26,49.78,2.844,2.882,4.53,2.845,3.157,3.285,3.209,3.422,3.302,3.059,3.364,3.209,4.409,2.753,3.181,2.998,4.123,4.428,2.391,2.939,2.725,3.889,4.215,1.972,2.563,4.804,2.318,3.435,3.785,0.87,1.842,4.369,1.555,0.678,5.386,0.625,5.202,8.642,0.506,4.447,7.426,0.387,3.592,5.901,0.255,2.434,4.244,0.11,1.08,2.083,17
5.678,-0.043,-0.049,0.0,23.542,0.169,-0.037,0.0,42.517,2.848,2.727,4.691,2.759,3.3,3.192,3.2,3.405,3.4,3.312,3.28,3.223,4.345,2.654,2.817,2.683,3.713,4.054,1.512,2.039,1.809,2.441,2.836,0.253,0.975,3.091,0.694,0.635,0.899,0.007,0.135,0.693,0.067,0.6,4.763,0.491,4.067,8.055,0.287,2.514,5.55,0.112,1.109,2.764,0.026,0.317,0.813,0.002,0.031,0.08,20
4.116,0.18,0.208,0.0,0.0,0.2,0.007,0.0,42.199,2.785,2.679,4.538,2.694,3.107,3.086,3.067,3.236,3.164,3.007,3.173,3.062,4.271,2.658,2.86,2.736,3.857,4.154,2.121,2.231,2.075,2.905,3.251,0.56,1.29,3.871,1.062,1.298,1.682,0.021,0.361,1.386,0.189,0.529,4.219,0.466,4.066,7.103,0.306,2.907,5.637,0.146,1.49,3.19,0.044,0.474,1.129,0.008,0.098,0.229,16
5.142,0.088,0.08,0.0,0.0,0.168,-0.012,0.247,59.019,3.249,3.075,4.823,3.016,3.613,3.537,3.42,3.651,3.538,3.52,3.58,3.435,4.592,3.293,3.367,3.248,4.367,4.602,3.16,3.134,3.061,4.246,4.482,2.878,2.834,5.715,2.775,3.923,4.199,2.171,2.274,5.458,2.15,0.834,7.995,0.789,7.656,10.626,0.638,5.98,8.89,0.501,4.524,6.977,0.37,3.282,5.383,0.207,1.924,3.402,22
4.396,-0.059,-0.099,0.0,0.0,0.162,-0.092,0.0,30.612,2.514,2.401,4.265,2.422,2.844,2.807,2.791,2.832,2.762,2.235,2.471,2.342,3.351,1.367,1.771,1.554,2.177,2.539,0.236,0.796,0.584,0.635,0.899,0.007,0.135,0.693,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.317,2.669,0.192,1.792,3.685,0.078,0.884,1.975,0.018,0.227,0.556,0.002,0.032,0.077,0.0,0.0,0.0,12
5.62,-0.068,-0.01,120.889,121.512,0.195,0.189,1.213,75.135,3.252,3.152,4.925,3.176,3.642,3.52,3.54,3.615,3.644,3.721,3.508,3.531,4.216,3.417,3.373,3.357,3.983,4.144,3.18,3.189,3.158,3.743,3.912,2.931,2.985,5.069,2.94,3.574,3.743,2.674,2.713,4.937,2.672,0.77,5.69,0.784,5.711,5.767,0.697,5.453,5.863,0.553,4.345,4.656,0.44,3.561,4.003,0.37,2.828,3.017,32
6.484,0.152,0.146,0.0,0.0,0.163,-0.034,0.0,36.574,2.7,2.568,4.48,2.598,3.054,2.985,2.981,3.13,3.095,2.867,2.926,2.842,3.926,2.058,2.396,2.229,3.11,3.438,1.28,1.551,1.356,1.953,2.278,0.225,0.655,2.833,0.503,0.635,0.899,0.007,0.135,0.693,0.067,0.451,3.596,0.33,2.893,5.653,0.171,1.703,3.696,0.06,0.668,1.544,0.014,0.162,0.41,0.002,0.031,0.078,15
4.301,0.101,0.082,0.0,0.0,0.214,0.057,0.0,41.869,2.785,2.679,4.554,2.694,3.144,3.103,3.091,3.308,3.26,3.159,3.262,3.163,4.399,2.427,2.826,2.645,3.63,3.998,1.392,1.963,1.677,2.177,2.539,0.236,0.796,2.944,0.584,0.635,0.899,0.007,0.135,0.693,0.067,0.573,4.528,0.5,4.393,7.832,0.285,2.829,5.834,0.106,1.171,2.655,0.021,0.234,0.554,0.003,0.033,0.076,17
4.12,-0.015,-0.012,0.0,0.0,0.189,-0.049,0.0,36.574,2.7,2.568,4.487,2.598,3.047,2.99,2.982,3.095,3.051,2.842,2.897,2.822,3.916,2.256,2.42,2.283,3.298,3.61,1.371,1.683,1.507,2.177,2.539,0.236,0.796,2.944,0.584,0.635,0.899,0.007,0.135,0.693,0.067,0.434,3.471,0.319,2.804,5.44,0.175,1.777,3.716,0.07,0.754,1.767,0.019,0.225,0.566,0.002,0.031,0.078,15
5.235,0.055,0.093,0.0,23.542,0.181,0.073,1.149,82.988,3.514,3.647,4.981,3.481,3.823,4.06,3.869,4.208,4.049,3.939,4.245,4.049,5.062,3.753,4.149,3.948,4.97,5.272,3.72,4.106,3.866,4.733,4.962,3.775,4.031,5.701,3.83,4.86,5.132,3.512,3.849,5.907,3.635,1.564,14.002,1.775,16.766,20.859,1.59,14.844,18.76,1.521,15.534,18.496,1.33,14.428,15.826,1.236,13.405,15.74,34
5.155,0.063,0.119,0.0,23.542,0.175,0.097,0.252,66.769,3.352,3.508,4.824,3.314,3.641,3.917,3.69,4.062,3.867,3.776,4.15,3.89,4.958,3.657,4.051,3.808,4.958,5.275,3.469,3.884,3.638,4.804,5.09,2.98,3.544,5.81,3.332,4.498,4.842,2.407,3.085,5.381,2.819,1.352,13.023,1.501,16.356,19.059,1.327,14.438,17.095,1.15,12.712,15.987,0.815,8.533,11.442,0.525,5.726,8.023,26
6.658,0.01,0.032,0.0,23.542,0.152,0.09,2.382,72.29,3.387,3.537,4.869,3.349,3.625,3.909,3.697,3.971,3.817,3.615,3.963,3.753,4.846,3.371,3.782,3.574,4.707,5.014,3.223,3.639,3.393,4.422,4.74,3.177,3.595,5.276,3.305,4.158,4.379,3.3,3.616,4.97,3.362,1.262,11.024,1.288,12.882,16.754,1.077,10.296,13.722,0.924,9.452,12.038,0.858,9.581,10.493,0.823,9.719,10.038,27
6.325,0.012,0.076,0.0,23.542,0.151,0.082,1.339,67.535,3.346,3.485,4.827,3.294,3.589,3.854,3.643,3.913,3.765,3.581,3.885,3.688,4.758,3.36,3.702,3.495,4.564,4.879,3.269,3.658,3.376,4.236,4.467,3.309,3.637,5.069,3.382,4.479,4.763,3.161,3.536,5.422,3.288,1.185,10.404,1.213,11.511,15.607,0.977,9.719,12.303,0.922,10.345,11.486,0.846,10.036,10.394,0.817,9.571,11.143,26
6.081,0.07,0.122,0.0,23.542,0.165,0.064,1.199,82.988,3.514,3.647,4.98,3.481,3.823,4.06,3.869,4.183,4.028,3.82,4.162,3.972,5.001,3.569,3.978,3.789,4.726,5.006,3.487,3.794,3.607,4.499,4.734,3.384,3.645,5.585,3.465,4.444,4.744,3.244,3.628,5.345,3.356,1.545,13.823,1.65,15.481,19.94,1.36,12.727,16.745,1.124,10.753,13.858,0.931,8.779,10.726,0.943,10.17,10.926,34
5.456,0.053,0.099,0.0,23.542,0.18,0.063,0.359,77.274,3.478,3.6,4.941,3.433,3.809,4.019,3.826,4.189,4.007,3.926,4.26,4.022,5.024,3.811,4.173,3.946,4.959,5.243,3.657,4.008,3.8,4.855,5.126,3.38,3.745,5.924,3.584,4.568,4.858,3.043,3.386,5.632,3.223,1.547,14.531,1.776,18.342,20.593,1.635,17.429,19.443,1.42,14.811,17.942,1.103,10.783,13.733,0.787,7.705,10.164,32
5.699,-0.004,0.017,0.0,23.542,0.194,0.048,0.14,51.141,2.92,2.896,4.65,2.881,3.266,3.306,3.26,3.509,3.438,3.365,3.51,3.405,4.592,2.99,3.355,3.193,4.368,4.68,2.539,2.996,2.784,3.895,4.231,1.536,2.353,4.871,2.089,2.944,3.349,0.423,1.405,3.584,1.054,0.732,5.641,0.707,5.837,9.775,0.579,5.225,8.926,0.39,3.701,6.706,0.189,1.852,3.633,0.061,0.657,1.371,19
5.689,-0.016,-0.003,0.0,23.542,0.165,0.034,0.95,63.921,3.086,3.162,4.795,3.118,3.41,3.582,3.49,3.757,3.64,3.465,3.723,3.583,4.767,3.199,3.59,3.414,4.597,4.897,2.987,3.405,3.218,4.393,4.697,2.782,3.223,5.237,3.037,4.21,4.507,2.607,3.047,5.097,2.866,0.965,7.688,0.916,7.543,12.374,0.793,6.788,11.189,0.656,5.654,9.35,0.546,4.648,7.703,0.451,3.874,6.397,22
4.921,-0.052,-0.022,0.0,23.542,0.176,0.01,0.802,54.719,2.973,3.0,4.705,2.973,3.317,3.421,3.352,3.601,3.51,3.375,3.561,3.444,4.614,3.081,3.402,3.247,4.414,4.706,2.779,3.168,2.994,4.15,4.46,2.305,2.866,5.071,2.651,3.766,4.098,1.725,2.387,4.687,2.132,0.809,6.337,0.758,6.175,10.401,0.636,5.416,9.231,0.494,4.323,7.396,0.352,3.269,5.642,0.207,1.986,3.609,20
4.649,0.152,0.146,0.0,0.0,0.163,-0.034,0.0,36.574,2.7,2.568,4.48,2.598,3.054,2.985,2.981,3.13,3.095,2.867,2.926,2.842,3.926,2.058,2.396,2.229,3.11,3.438,1.28,1.551,1.356,1.953,2.278,0.225,0.655,2.833,0.503,0.635,0.899,0.007,0.135,0.693,0.067,0.451,3.596,0.33,2.893,5.653,0.171,1.703,3.696,0.06,0.668,1.544,0.014,0.162,0.41,0.002,0.031,0.078,15
5.444,0.218,0.223,115.645,110.512,0.16,-0.033,0.0,44.549,2.708,2.618,4.548,2.639,3.058,2.931,2.943,2.992,3.027,2.956,2.847,2.839,3.723,2.265,2.515,2.387,3.194,3.499,1.649,1.865,1.7,2.507,2.821,0.454,1.079,3.526,0.889,1.298,1.682,0.021,0.361,1.386,0.189,0.448,3.143,0.428,2.984,3.731,0.33,2.693,3.937,0.179,1.432,2.41,0.067,0.683,1.073,0.017,0.2,0.408,17
5.377,0.442,0.47,85.367,85.367,0.137,-0.18,0.0,34.147,2.443,2.351,4.303,2.375,2.741,2.64,2.645,2.61,2.615,2.154,2.236,2.167,2.982,0.67,1.59,1.308,1.693,2.115,0.035,0.545,0.298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.318,2.202,0.247,1.687,2.393,0.124,1.222,2.04,0.026,0.33,0.661,0.0,0.0,0.0,0.0,0.0,0.0,12
6.161,-0.015,-0.012,0.0,0.0,0.189,-0.049,0.0,36.574,2.7,2.568,4.487,2.598,3.047,2.99,2.982,3.095,3.051,2.842,2.897,2.822,3.916,2.256,2.42,2.283,3.298,3.61,1.371,1.683,1.507,2.177,2.539,0.236,0.796,2.944,0.584,0.635,0.899,0.007,0.135,0.693,0.067,0.434,3.471,0.319,2.804,5.44,0.175,1.777,3.716,0.07,0.754,1.767,0.019,0.225,0.566,0.002,0.031,0.078,15
5.828,-0.059,-0.099,0.0,0.0,0.162,-0.092,0.0,30.612,2.514,2.401,4.265,2.422,2.844,2.807,2.791,2.832,2.762,2.235,2.471,2.342,3.351,1.367,1.771,1.554,2.177,2.539,0.236,0.796,0.584,0.635,0.899,0.007,0.135,0.693,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.317,2.669,0.192,1.792,3.685,0.078,0.884,1.975,0.018,0.227,0.556,0.002,0.032,0.077,0.0,0.0,0.0,12
4.959,-0.039,-0.04,0.0,23.542,0.19,-0.067,0.011,41.44,2.776,2.695,4.544,2.706,3.109,3.116,3.084,3.232,3.161,2.959,3.101,3.001,4.148,2.627,2.78,2.655,3.745,4.04,1.997,2.266,2.11,3.126,3.439,1.308,1.557,4.477,1.386,2.071,2.417,0.231,0.728,2.89,0.544,0.523,4.107,0.432,3.645,6.595,0.289,2.695,5.102,0.157,1.551,3.142,0.065,0.677,1.491,0.018,0.202,0.478,16
7.597,0.013,0.019,0.0,23.542,0.152,0.103,2.066,72.196,3.392,3.559,4.862,3.368,3.638,3.959,3.731,4.04,3.863,3.629,4.03,3.802,4.941,3.383,3.839,3.615,4.771,5.081,3.241,3.699,3.443,4.575,4.897,3.207,3.676,5.345,3.379,4.344,4.59,3.321,3.674,5.147,3.415,1.336,12.219,1.352,13.589,18.029,1.119,10.767,14.681,0.957,9.811,12.665,0.918,10.285,11.556,0.872,10.221,10.985,27
7.0,0.012,0.076,0.0,23.542,0.151,0.082,1.339,67.535,3.346,3.485,4.827,3.294,3.589,3.854,3.643,3.913,3.765,3.581,3.885,3.688,4.758,3.36,3.702,3.495,4.564,4.879,3.269,3.658,3.376,4.236,4.467,3.309,3.637,5.069,3.382,4.479,4.763,3.161,3.536,5.422,3.288,1.185,10.404,1.213,11.511,15.607,0.977,9.719,12.303,0.922,10.345,11.486,0.846,10.036,10.394,0.817,9.571,11.143,26
5.222,-0.063,-0.095,0.0,23.542,0.162,-0.053,0.0,35.477,2.604,2.549,4.336,2.549,2.919,2.956,2.913,3.079,2.997,2.642,2.847,2.719,3.801,1.817,2.289,2.072,2.916,3.296,0.485,1.375,1.071,1.298,1.682,0.021,0.361,1.386,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.444,3.541,0.32,2.841,5.274,0.163,1.63,3.309,0.051,0.588,1.287,0.008,0.099,0.223,0.0,0.0,0.0,13
7.144,0.021,0.026,22.156,69.241,0.155,0.048,0.393,76.02,3.52,3.302,5.129,3.283,3.832,3.729,3.683,3.951,3.901,4.197,4.029,3.962,5.164,4.152,4.037,3.963,5.156,5.367,4.137,4.035,3.956,5.072,5.291,3.838,3.732,6.529,3.664,4.678,4.951,2.934,3.03,6.255,2.886,1.122,10.057,1.219,11.205,15.795,1.23,11.289,15.931,1.229,11.402,16.161,0.911,8.357,13.154,0.451,4.271,7.738,31
5.678,-0.026,-0.028,0.0,23.542,0.17,-0.032,0.369,59.547,3.163,3.036,4.984,3.066,3.565,3.485,3.485,3.716,3.697,3.712,3.71,3.652,4.822,3.49,3.565,3.478,4.669,4.916,3.351,3.363,3.298,4.464,4.698,3.134,3.067,5.948,3.009,4.205,4.478,2.436,2.533,5.755,2.413,0.86,6.638,0.822,6.658,11.961,0.698,5.901,10.733,0.548,4.765,8.8,0.383,3.462,6.741,0.203,1.941,4.346,26
5.585,0.033,0.023,22.0,0.0,0.184,-0.021,1.081,74.95,3.486,3.274,5.226,3.333,3.904,3.718,3.756,3.927,3.947,4.016,3.891,3.878,5.025,3.759,3.73,3.681,4.828,5.061,3.637,3.576,3.531,4.677,4.896,3.614,3.532,5.861,3.51,4.694,4.893,3.693,3.541,6.049,3.532,1.066,8.332,0.994,8.099,14.013,0.842,7.058,12.58,0.734,6.015,10.545,0.714,5.61,9.479,0.709,5.73,9.476,36
4.225,0.069,0.07,175.335,130.314,0.196,0.028,1.023,351.484,4.974,4.877,6.573,4.891,5.478,5.388,5.388,5.705,5.678,5.748,5.834,5.758,6.9,5.723,5.862,5.764,6.897,7.125,5.795,5.882,5.799,6.956,7.17,5.84,5.916,8.037,5.842,7.009,7.237,5.818,5.911,8.108,5.826,6.782,56.242,7.919,66.636,97.336,8.206,69.9,104.186,8.33,70.648,104.771,8.634,72.572,107.141,8.684,73.267,110.462,186
6.463,0.091,0.107,0.0,0.0,0.186,-0.022,0.0,42.537,2.857,2.712,4.663,2.747,3.222,3.14,3.141,3.332,3.31,3.27,3.241,3.19,4.327,2.788,2.895,2.793,3.891,4.177,2.146,2.253,2.113,2.952,3.306,0.564,1.329,3.892,1.086,1.298,1.682,0.021,0.361,1.386,0.189,0.567,4.4,0.476,4.02,7.474,0.304,2.867,5.851,0.14,1.443,3.278,0.043,0.484,1.243,0.007,0.094,0.239,18
4.469,-0.086,-0.115,0.0,0.0,0.162,-0.041,0.0,35.499,2.604,2.549,4.338,2.549,2.911,2.968,2.923,3.1,3.013,2.662,2.842,2.712,3.755,1.8,2.241,2.031,2.867,3.241,0.481,1.338,1.047,1.298,1.682,0.021,0.361,1.386,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.45,3.668,0.32,2.771,5.31,0.156,1.509,3.12,0.049,0.555,1.213,0.008,0.099,0.223,0.0,0.0,0.0,13
4.254,0.012,-0.039,341.467,364.238,0.21,0.065,1.14,188.231,4.193,4.175,5.803,4.174,4.643,4.649,4.63,4.904,4.861,4.968,5.057,5.001,5.785,5.117,5.217,5.164,5.915,6.06,5.268,5.327,5.283,6.02,6.179,5.3,5.358,7.245,5.309,6.041,6.207,5.197,5.255,7.317,5.206,2.441,20.465,2.992,25.439,30.828,3.465,29.39,34.874,3.908,32.936,38.408,4.356,36.818,43.595,4.394,36.738,41.497,91
4.339,0.06,0.056,175.335,130.314,0.198,0.021,1.027,353.259,4.983,4.879,6.589,4.896,5.484,5.391,5.393,5.708,5.684,5.768,5.839,5.768,6.912,5.745,5.87,5.776,6.91,7.135,5.816,5.89,5.812,6.971,7.184,5.865,5.924,8.062,5.855,7.021,7.246,5.845,5.919,8.14,5.841,6.794,56.287,7.933,66.631,97.241,8.245,70.095,104.572,8.379,70.917,105.142,8.689,72.939,107.912,8.729,73.46,110.755,187
7.549,0.087,0.07,0.0,0.0,0.183,0.052,0.0,41.869,2.785,2.679,4.547,2.694,3.151,3.099,3.09,3.323,3.276,3.148,3.25,3.146,4.327,2.371,2.812,2.633,3.608,3.966,1.409,1.976,1.7,2.273,2.648,0.242,0.859,2.996,0.622,0.635,0.899,0.007,0.135,0.693,0.067,0.578,4.588,0.496,4.337,7.84,0.287,2.767,5.621,0.109,1.185,2.63,0.023,0.267,0.631,0.003,0.033,0.076,17
4.301,-0.05,-0.049,0.0,23.542,0.212,0.061,0.245,55.742,2.981,2.989,4.705,2.963,3.31,3.403,3.339,3.587,3.497,3.452,3.612,3.503,4.731,3.187,3.494,3.344,4.523,4.819,2.805,3.257,3.063,4.218,4.54,2.254,2.866,5.17,2.622,3.778,4.139,1.055,2.142,4.682,1.822,0.803,6.238,0.798,6.544,10.769,0.688,6.009,10.145,0.532,4.887,8.297,0.348,3.305,5.906,0.153,1.522,3.039,20
4.078,0.133,0.073,0.0,0.0,0.187,0.046,0.0,35.907,2.615,2.531,4.347,2.535,2.961,2.941,2.922,3.083,3.006,2.648,2.91,2.757,3.924,1.658,2.291,2.059,2.822,3.25,0.285,1.258,0.883,0.635,0.899,0.007,0.135,0.693,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.446,3.66,0.339,3.122,5.771,0.155,1.629,3.428,0.043,0.535,1.212,0.003,0.033,0.074,0.0,0.0,0.0,14
4.528,-0.059,-0.099,0.0,0.0,0.162,-0.092,0.0,30.612,2.514,2.401,4.265,2.422,2.844,2.807,2.791,2.832,2.762,2.235,2.471,2.342,3.351,1.367,1.771,1.554,2.177,2.539,0.236,0.796,0.584,0.635,0.899,0.007,0.135,0.693,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.317,2.669,0.192,1.792,3.685,0.078,0.884,1.975,0.018,0.227,0.556,0.002,0.032,0.077,0.0,0.0,0.0,12
4.284,-0.022,0.018,163.572,164.195,0.195,0.154,1.219,72.129,3.255,3.132,4.934,3.165,3.648,3.494,3.528,3.58,3.626,3.72,3.457,3.501,4.156,3.43,3.32,3.327,3.923,4.073,3.174,3.149,3.128,3.703,3.856,2.935,2.949,5.073,2.92,3.557,3.71,2.691,2.664,4.981,2.648,0.705,5.662,0.705,5.637,5.226,0.629,5.111,4.887,0.509,4.206,4.37,0.411,3.416,3.582,0.347,2.847,2.785,32
