pXC50,Eig03_EA,SM11_AEA.bo.,Eig03_EA.bo.,SM13_AEA.ri.,RDSQ,Eig06_AEA.bo.,X2,ZM2V,ZM2Per,ATS1m,ATS5m,ZM2MulPer,Eig08_AEA.dm.,SM03_AEA.bo.,ZM2Kup,Psi_e_1,Eig05_AEA.dm.,Eta_epsi,MW,ZM1Per,Eig03_AEA.ri.,Eig13_AEA.bo.,Eig13_AEA.ed.,GGI5,Eig07_AEA.bo.,ZM1MulPer,ATSC6p,Eig08_EA.bo.,MPC01,MWC01,nBO,SRW02,ZM1V,ZM2Mad,SpAD_AEA.ed.,Dz,GGI10,Eig07_EA,SM15_AEA.bo.,XMOD,ATS8m,ATS4m,X3sol,piPC02,SM02_EA.bo.,SRW04,SpAD_EA.ed.,Eig07_AEA.ri.,ATSC4i,ATS2m,Eig15_AEA.ed.,SpMax4_Bh.m.,P_VSA_LogP_5,Eig08_EA.ed.,SM03_AEA.ri.,GMTIV,SM08_AEA.bo.,Eig06_AEA.ed.,SpMax4_Bh.p.,SpMax4_Bh.v.,IC3,Eig07_EA.bo.,ATSC5p,GMTI,SpAD_EA.bo.,S1K,Pol,X5v
6.049,2.616,2.616,3.573,3.573,195.92,3.006,10.291,380.0,593.65,3.47,3.759,402.586,1.524,6.083,393.249,3.871,2.771,23.786,328.77,555.05,3.57,0.971,2.701,0.914,2.886,414.592,6.381,1.602,3.296,3.296,26,3.97,384.0,184.167,42.357,50.333,0.091,1.445,1.445,73.01,3.358,3.809,9.215,4.159,4.844,5.342,122.159,2.428,0.98,3.846,2.055,3.394,81.739,2.781,2.781,18421.0,13.226,4.804,3.046,3.082,4.837,2.022,6.484,5569.0,50.127,14.547,39,2.163
5.824,2.616,2.616,3.573,3.573,195.92,3.006,10.291,356.0,556.57,3.416,3.712,377.795,1.524,6.083,376.386,3.852,2.67,24.0,308.36,496.25,3.6,0.971,2.701,0.914,2.886,361.356,6.131,1.602,3.296,3.296,26,3.97,336.0,174.409,42.357,50.0,0.091,1.445,1.445,69.834,3.128,3.77,8.926,4.159,4.844,5.342,122.159,2.428,1.111,3.766,2.055,3.256,81.424,2.781,2.781,14815.0,13.226,4.804,3.113,3.13,4.856,2.022,7.197,5569.0,50.127,14.279,39,2.139
6.049,2.647,2.647,3.588,3.588,205.817,3.015,10.46,382.0,597.89,3.469,3.755,406.614,1.524,6.099,406.932,3.98,2.764,25.467,324.36,544.05,3.612,1.079,2.769,0.976,2.886,398.801,6.827,1.602,3.332,3.332,27,4.007,372.0,182.067,43.907,53.0,0.099,1.445,1.445,74.178,3.256,3.827,9.334,4.174,4.86,5.371,125.093,2.428,1.098,3.805,2.49,3.259,94.482,2.785,2.785,18510.0,13.237,4.891,3.06,3.1,4.834,2.026,7.732,6336.0,51.323,15.181,41,2.101
7.387,2.872,2.872,3.652,3.652,279.26,3.551,14.232,478.0,762.0,3.653,4.094,509.565,1.92,6.331,517.172,5.524,2.833,31.71,409.44,728.81,3.838,1.656,3.397,1.379,3.328,552.752,9.325,2.375,3.526,3.526,33,4.205,512.0,210.994,51.796,67.0,0.214,2.006,2.006,89.313,3.641,4.168,10.068,4.449,5.136,5.572,152.712,2.974,1.973,4.117,2.713,3.53,94.911,4.915,4.915,37655.0,13.272,5.07,3.404,3.423,5.204,2.514,11.135,11136.0,66.284,20.006,53,2.384
5.45,2.387,2.387,2.733,2.733,164.8,2.815,8.93,292.0,460.31,3.386,3.726,309.588,1.256,5.794,298.121,3.308,2.274,23.419,306.82,443.88,3.312,0.424,2.265,0.743,2.344,332.791,8.297,1.178,3.178,3.178,23,3.85,312.0,153.466,35.474,45.333,0.021,1.099,1.099,67.119,2.803,3.942,8.027,3.882,4.564,5.165,98.411,2.077,1.068,3.757,1.704,3.334,15.753,2.136,2.136,10616.0,12.637,4.204,3.217,3.204,4.603,1.258,8.945,4047.0,40.788,14.73,35,2.105
5.3,2.44,2.44,2.74,2.74,175.569,2.879,9.551,295.0,463.02,3.415,3.747,312.175,1.181,5.85,299.758,3.531,2.341,24.719,320.85,443.04,3.382,0.773,2.351,0.854,2.558,333.018,8.867,1.237,3.219,3.219,24,3.892,310.0,159.359,37.698,47.333,0.049,1.244,1.244,69.059,3.135,3.98,8.437,3.922,4.605,5.22,104.536,2.206,1.195,3.809,1.812,3.347,15.753,2.275,2.275,11827.0,12.678,4.523,3.235,3.223,4.758,1.535,9.492,4616.0,42.336,15.691,37,2.428
5.0,2.387,2.387,2.733,2.733,164.8,2.815,8.93,284.0,446.27,3.378,3.72,300.617,1.181,5.794,287.612,3.309,2.236,23.352,305.84,420.12,3.314,0.424,2.265,0.743,2.344,312.295,8.265,1.178,3.178,3.178,23,3.85,292.0,152.085,35.474,44.833,0.021,1.099,1.099,66.619,2.807,3.941,8.027,3.882,4.564,5.165,98.411,2.078,1.105,3.752,1.704,3.337,15.753,2.136,2.136,9760.0,12.637,4.204,3.223,3.21,4.656,1.258,8.909,4047.0,40.788,14.73,35,2.204
5.9,2.387,2.387,2.948,2.948,164.8,2.869,8.93,308.0,480.37,3.346,3.691,326.858,1.127,5.896,309.781,3.286,2.23,21.452,298.79,450.63,3.327,0.695,2.265,0.743,2.585,334.778,6.828,1.5,3.178,3.178,23,3.85,312.0,149.199,35.474,44.333,0.021,1.099,1.099,66.044,2.719,3.905,8.027,4.043,4.727,5.165,98.411,2.079,0.932,3.714,1.704,3.336,34.338,2.136,2.136,11313.0,12.755,4.204,3.219,3.207,4.705,1.588,7.428,4047.0,44.965,13.996,35,1.895
6.2,2.387,2.387,2.948,2.948,164.8,2.869,8.93,308.0,480.81,3.346,3.689,327.153,1.127,5.896,309.781,3.288,2.23,21.452,298.79,450.67,3.326,0.695,2.265,0.743,2.585,334.91,6.635,1.5,3.178,3.178,23,3.85,312.0,149.366,35.474,44.333,0.021,1.099,1.099,66.044,2.74,3.907,8.027,4.043,4.727,5.165,98.411,2.081,0.943,3.714,1.704,3.337,34.338,2.136,2.136,11201.0,12.755,4.204,3.226,3.213,4.927,1.588,7.09,4047.0,44.965,13.996,35,1.896
5.4,2.387,2.387,2.948,2.948,164.8,2.869,8.93,320.0,500.17,3.354,3.694,341.442,1.127,5.896,323.893,3.28,2.23,21.552,299.78,472.15,3.323,0.695,2.265,0.743,2.585,352.415,6.004,1.5,3.178,3.178,23,3.85,328.0,150.864,35.474,44.833,0.021,1.099,1.099,66.544,2.756,3.91,8.027,4.043,4.727,5.165,98.411,2.079,0.935,3.719,1.704,3.335,42.956,2.136,2.136,11959.0,12.755,4.204,3.211,3.201,4.708,1.588,6.542,4047.0,44.965,13.934,35,1.83
5.8,2.392,2.392,2.946,2.946,155.005,2.849,8.576,307.0,479.02,3.32,3.645,326.365,0.901,5.861,311.486,3.147,2.231,20.852,287.77,448.19,3.329,0.387,2.176,0.625,2.367,333.219,5.84,1.193,3.135,3.135,22,3.807,310.0,146.947,33.844,42.833,0.02,1.098,1.098,63.544,2.597,3.886,7.777,4.003,4.687,5.13,95.699,2.076,0.879,3.693,1.69,3.332,41.953,1.979,1.979,10231.0,12.751,4.209,3.204,3.194,4.83,1.273,6.462,3513.0,42.908,13.252,32,1.711
5.6,2.486,2.486,3.168,3.168,179.788,2.92,9.719,336.0,524.33,3.441,3.664,358.132,1.182,5.934,343.235,3.566,2.317,24.219,328.82,503.31,3.454,0.928,2.502,0.563,2.847,376.894,7.121,1.5,3.258,3.258,25,3.932,352.0,160.02,37.799,49.333,0.066,1.406,1.406,72.851,3.312,3.959,8.479,4.078,4.762,5.231,102.903,2.37,1.001,3.793,1.759,3.372,47.395,2.136,2.136,16063.0,12.717,4.308,3.244,3.236,5.053,1.84,7.469,5689.0,47.462,15.879,36,1.829
5.5,2.486,2.486,3.168,3.168,179.788,2.92,9.719,324.0,503.61,3.433,3.666,344.709,1.182,5.934,327.471,3.56,2.284,24.152,327.84,477.71,3.456,0.928,2.502,0.563,2.847,356.077,7.45,1.5,3.258,3.258,25,3.932,332.0,158.197,37.799,48.833,0.066,1.406,1.406,72.397,3.308,3.942,8.479,4.078,4.762,5.231,102.903,2.372,1.103,3.785,1.759,3.385,33.909,2.136,2.136,15441.0,12.717,4.308,3.259,3.251,5.095,1.84,7.877,5689.0,47.462,15.879,36,1.924
6.1,2.51,2.51,3.175,3.175,187.596,2.938,10.072,340.0,528.37,3.478,3.693,361.169,1.345,5.952,347.235,3.709,2.33,25.519,342.85,508.91,3.487,1.028,2.503,0.674,2.853,380.697,7.948,1.5,3.296,3.296,26,3.97,356.0,163.688,39.193,51.333,0.099,1.425,1.425,75.851,3.362,3.985,8.721,4.094,4.779,5.263,105.051,2.387,1.079,3.823,1.932,3.397,47.395,2.292,2.292,18210.0,12.72,4.312,3.268,3.265,5.13,1.845,8.429,6658.0,48.552,16.844,37,1.922
6.2,2.519,2.519,3.176,3.176,195.51,2.949,10.426,344.0,534.05,3.513,3.727,365.328,1.483,5.97,351.235,3.851,2.333,26.819,356.88,514.67,3.502,1.204,2.638,0.563,2.856,384.859,8.875,1.5,3.332,3.332,27,4.007,360.0,167.688,40.413,53.333,0.095,1.441,1.441,78.851,3.319,4.005,8.971,4.111,4.796,5.293,107.933,2.401,1.161,3.852,2.178,3.435,47.395,2.73,2.73,20529.0,12.723,4.313,3.359,3.35,5.203,1.849,9.105,7731.0,49.983,17.811,38,2.051
5.3,2.641,2.641,3.256,3.256,196.482,2.994,10.45,346.0,542.91,3.475,3.795,370.557,1.199,6.02,350.246,3.711,2.338,25.452,341.87,502.04,3.582,0.938,2.503,0.979,2.806,371.625,8.399,1.5,3.296,3.296,26,3.97,346.0,171.03,41.118,50.833,0.099,1.382,1.382,74.569,3.266,4.031,9.136,4.143,4.828,5.303,114.656,2.342,1.255,3.85,2.0,3.376,28.415,2.674,2.674,15370.0,12.898,4.587,3.269,3.263,4.863,1.798,9.36,5950.0,50.025,16.844,41,2.061
6.1,2.717,2.717,3.279,3.279,234.945,3.118,11.604,388.0,609.45,3.614,3.951,411.175,1.711,6.099,396.586,4.278,2.354,28.919,383.91,571.04,3.671,1.617,2.927,0.993,2.891,421.536,9.746,1.731,3.434,3.434,30,4.111,396.0,196.465,46.301,57.833,0.116,1.562,1.562,85.371,3.451,4.137,10.51,4.22,4.905,5.434,129.399,2.52,1.404,3.987,2.503,3.551,28.415,3.315,3.315,23904.0,12.935,4.656,3.43,3.424,5.028,1.927,10.651,9284.0,55.776,18.33,46,2.586
6.1,2.476,2.476,3.18,3.18,185.313,2.945,9.72,346.0,542.87,3.441,3.76,369.645,1.182,5.973,352.678,3.564,2.335,24.219,328.82,512.06,3.402,0.929,2.502,0.917,2.761,381.249,7.588,1.5,3.258,3.258,25,3.932,356.0,164.356,39.071,49.333,0.074,1.272,1.272,72.705,3.192,3.986,8.846,4.111,4.796,5.252,107.653,2.243,1.057,3.808,2.0,3.347,36.29,2.275,2.275,15287.0,12.847,4.55,3.23,3.221,4.984,1.761,8.259,5281.0,47.982,15.879,39,1.983
6.4,2.613,2.613,3.315,3.315,198.19,2.945,10.25,381.0,601.1,3.488,3.838,407.599,1.465,6.027,397.012,3.829,2.335,25.733,346.81,584.13,3.552,0.957,2.503,0.917,2.848,443.452,7.661,1.76,3.296,3.296,26,3.97,412.0,176.637,41.225,52.833,0.091,1.473,1.473,76.035,3.313,4.066,8.846,4.159,4.844,5.303,114.493,2.367,1.175,3.872,2.189,3.35,45.411,3.293,3.293,19042.0,12.948,4.577,3.23,3.222,4.984,1.978,8.377,5802.0,49.864,16.781,42,1.996
6.3,2.628,2.628,3.466,3.466,243.017,3.389,12.052,424.0,660.49,3.621,3.963,449.119,1.576,6.19,433.406,4.399,2.365,28.319,390.89,606.79,3.559,1.618,2.982,0.868,2.962,444.701,8.785,1.971,3.466,3.466,31,4.143,416.0,197.685,47.243,59.333,0.14,1.574,1.574,87.512,3.451,4.124,10.66,4.35,5.037,5.46,131.018,2.55,1.214,3.993,2.737,3.6,41.534,3.344,3.344,28472.0,12.995,5.045,3.467,3.458,5.139,2.117,8.896,10573.0,61.012,18.578,46,2.369
6.2,2.541,2.541,3.444,3.444,259.733,3.39,12.747,424.0,659.33,3.682,3.991,449.252,1.732,6.218,431.587,4.683,2.589,30.919,418.95,614.71,3.526,2.226,3.247,1.035,2.965,452.252,10.17,2.057,3.526,3.526,33,4.205,424.0,205.021,49.896,63.333,0.103,1.608,1.608,93.603,3.606,4.161,11.218,4.376,5.063,5.509,136.164,2.583,1.417,4.036,2.744,3.602,39.476,3.375,3.375,34390.0,12.998,5.085,3.471,3.463,5.284,2.12,11.049,13527.0,63.595,20.492,48,2.572
6.5,2.57,2.57,3.447,3.447,251.318,3.39,12.394,432.0,673.81,3.658,3.975,459.854,1.681,6.204,441.7,4.531,2.515,29.719,405.91,630.51,3.528,1.864,3.137,1.035,2.964,465.689,8.976,2.035,3.497,3.497,32,4.174,436.0,202.852,48.656,61.833,0.124,1.587,1.587,91.103,3.507,4.139,10.976,4.363,5.05,5.485,133.909,2.555,1.326,4.016,2.743,3.601,57.571,3.358,3.358,33081.0,12.995,5.085,3.468,3.46,5.395,2.118,9.503,11986.0,62.455,19.471,47,2.395
6.5,2.476,2.476,3.18,3.18,185.313,2.945,9.72,332.0,519.75,3.433,3.756,354.051,1.182,5.973,336.214,3.569,2.335,24.119,327.83,489.62,3.419,0.929,2.502,0.917,2.761,363.971,8.246,1.5,3.258,3.258,25,3.932,340.0,162.525,39.071,48.833,0.074,1.272,1.272,72.25,3.182,3.983,8.846,4.111,4.796,5.252,107.653,2.246,1.064,3.799,2.0,3.348,32.486,2.275,2.275,14505.0,12.847,4.55,3.238,3.227,4.833,1.761,9.136,5281.0,47.982,15.942,39,2.069
5.7,2.628,2.628,3.466,3.466,243.017,3.389,12.052,410.0,637.31,3.614,3.955,433.521,1.576,6.19,416.941,4.401,2.365,28.219,389.9,584.35,3.567,1.618,2.982,0.868,2.962,427.423,10.006,1.971,3.466,3.466,31,4.143,400.0,195.853,47.243,58.833,0.14,1.574,1.574,87.057,3.444,4.117,10.66,4.35,5.037,5.46,131.018,2.552,1.217,3.985,2.737,3.601,37.73,3.344,3.344,27528.0,12.995,5.045,3.475,3.466,4.887,2.117,9.862,10573.0,61.012,18.64,46,2.469
6.8,2.628,2.628,3.466,3.466,243.017,3.389,12.052,422.0,655.43,3.621,3.956,446.866,1.576,6.19,431.054,4.391,2.365,28.319,390.89,605.71,3.564,1.618,2.982,0.868,2.962,444.531,9.806,1.971,3.466,3.466,31,4.143,416.0,197.186,47.243,59.333,0.14,1.574,1.574,87.557,3.444,4.119,10.66,4.35,5.037,5.46,131.018,2.546,1.194,3.989,2.737,3.601,55.824,3.344,3.344,29248.0,12.995,5.045,3.473,3.464,5.028,2.117,9.727,10573.0,61.012,18.578,46,2.407
5.9,2.57,2.57,3.447,3.447,251.318,3.39,12.394,418.0,650.67,3.652,3.967,444.258,1.681,6.204,425.235,4.534,2.515,29.619,404.92,608.07,3.532,1.864,3.137,1.035,2.964,448.41,10.021,2.035,3.497,3.497,32,4.174,420.0,201.02,48.656,61.333,0.124,1.587,1.587,90.649,3.501,4.135,10.976,4.363,5.05,5.485,133.909,2.558,1.336,4.009,2.743,3.602,53.767,3.358,3.358,32063.0,12.995,5.085,3.476,3.467,5.269,2.118,10.491,11986.0,62.455,19.533,47,2.495
6.4,2.634,2.634,3.613,3.613,262.594,3.405,13.015,454.0,708.87,3.724,4.02,482.883,2.225,6.248,454.45,4.699,2.671,30.705,439.36,680.5,3.58,1.928,3.234,1.09,3.384,510.592,10.121,2.063,3.526,3.526,33,4.205,476.0,217.945,50.808,63.667,0.144,2.001,2.001,96.142,3.661,4.187,11.675,4.401,5.088,5.525,140.069,2.943,1.321,4.115,2.743,3.604,44.719,4.459,4.459,40406.0,13.056,5.085,3.476,3.468,5.269,2.636,10.476,13215.0,64.192,20.766,49,2.676
6.6,2.83,2.83,3.742,3.742,297.771,3.539,14.973,526.0,843.45,3.789,4.082,560.778,2.226,6.363,561.587,5.89,2.717,35.462,472.92,829.06,3.818,2.331,3.328,1.389,3.39,636.861,10.389,2.091,3.611,3.611,36,4.29,590.0,240.453,55.783,73.833,0.178,2.002,2.002,102.484,3.682,4.297,11.387,4.472,5.159,5.638,161.002,2.948,1.736,4.239,2.924,3.603,92.356,4.71,4.71,61997.0,13.277,5.25,3.476,3.468,5.284,2.641,11.59,17310.0,69.566,23.193,55,2.639
5.0,2.314,2.314,2.636,2.636,151.294,2.538,8.38,257.0,402.75,3.284,3.386,271.936,1.256,5.724,270.259,3.122,2.246,22.333,272.38,371.87,3.265,0.369,2.06,0.514,2.342,270.705,7.249,1.167,3.135,3.135,22,3.807,256.0,133.756,33.478,43.0,0.021,1.09,1.09,61.479,2.758,3.563,7.385,3.818,4.5,5.106,91.804,2.029,1.102,3.614,1.555,3.199,12.252,2.136,2.136,8507.0,12.489,3.67,3.205,3.195,4.603,1.241,8.178,3730.0,39.011,13.5,32,1.863
5.1,2.314,2.314,2.906,2.906,151.294,2.669,8.38,273.0,423.26,3.239,3.334,289.501,1.124,5.833,281.918,3.102,1.788,20.367,264.35,378.66,3.278,0.576,2.06,0.514,2.5,272.824,6.122,1.375,3.135,3.135,22,3.807,256.0,129.655,33.478,42.0,0.021,1.09,1.09,60.404,2.676,3.525,7.385,3.989,4.673,5.106,91.804,2.076,0.977,3.563,1.555,3.202,30.837,2.136,2.136,9022.0,12.624,3.67,3.217,3.206,4.795,1.5,6.69,3730.0,43.188,12.77,32,1.661
4.3,2.413,2.413,3.009,3.009,176.42,3.149,9.121,316.0,489.6,3.318,3.645,336.353,1.171,5.998,326.327,3.437,2.334,21.867,289.36,445.93,3.374,0.874,2.401,0.833,2.739,326.657,6.245,1.5,3.219,3.219,24,3.892,304.0,143.321,37.056,46.5,0.021,1.113,1.113,66.45,2.86,3.752,8.059,4.094,4.779,5.198,101.481,2.097,1.066,3.644,1.704,3.258,65.082,2.136,2.136,12128.0,12.846,4.264,3.255,3.248,4.973,1.636,6.767,4456.0,47.458,14.195,37,1.813
5.0,2.101,2.101,2.974,2.974,109.303,2.862,7.314,306.0,471.64,3.192,3.04,329.951,0.612,5.82,317.292,2.638,2.443,16.395,246.25,485.39,3.073,0.108,1.216,0.208,2.71,378.76,1.464,0.85,2.944,2.944,18,3.611,348.0,119.299,27.093,38.0,0.0,0.541,0.541,56.049,3.025,3.151,5.46,3.907,4.59,4.89,71.214,1.431,0.564,3.565,1.0,3.123,71.133,0.637,0.637,11531.0,12.582,3.285,2.956,2.972,4.297,0.957,1.441,2381.0,37.519,11.396,20,0.828
5.0,2.622,2.622,3.609,3.609,249.033,3.39,12.27,445.0,696.17,3.672,4.124,472.014,1.754,6.229,444.247,4.335,2.339,28.671,412.35,640.45,3.583,1.625,3.047,0.973,3.247,470.686,9.159,1.952,3.466,3.466,31,4.143,440.0,215.441,48.749,59.167,0.136,1.891,1.891,89.99,3.863,4.181,11.132,4.434,5.121,5.476,136.275,2.811,1.33,4.075,2.397,3.589,55.849,3.706,3.706,27796.0,13.189,5.014,3.444,3.429,5.267,2.519,8.78,9822.0,63.304,19.037,46,2.537
4.523,2.696,2.696,2.836,2.836,204.218,3.0,10.788,292.0,462.17,3.558,3.692,309.862,1.854,5.948,292.135,3.95,2.202,25.833,331.53,412.07,3.657,1.0,3.0,0.646,3.0,296.578,10.849,1.356,3.332,3.332,27,4.007,280.0,196.025,42.422,48.5,0.064,1.795,1.795,74.025,3.293,3.861,10.323,3.937,4.62,5.389,127.885,2.696,1.765,4.006,2.306,3.26,12.672,2.583,2.583,12190.0,12.832,5.061,3.202,3.201,3.959,2.0,11.306,6308.0,45.807,14.685,38,5.212
7.367,2.854,2.854,3.289,3.289,230.231,3.155,12.558,402.0,648.57,3.588,3.677,428.575,1.446,6.161,440.563,4.842,2.241,30.143,374.45,619.11,3.836,1.305,2.982,1.025,3.049,468.315,8.582,1.964,3.434,3.434,30,4.111,436.0,195.412,46.578,60.5,0.119,1.674,1.674,81.836,3.516,3.886,9.247,4.287,4.973,5.468,137.671,2.605,1.845,4.047,2.377,3.393,67.038,3.767,3.767,31452.0,13.125,4.785,3.309,3.316,4.679,2.167,9.935,9971.0,58.019,18.157,43,2.719
7.119,3.071,3.071,3.43,3.43,273.01,3.215,13.827,447.0,723.35,3.693,4.075,479.275,1.797,6.258,490.109,5.352,2.532,34.21,418.51,689.78,4.025,1.678,3.081,1.421,3.083,521.27,13.138,2.066,3.526,3.526,33,4.205,486.0,219.569,52.424,67.5,0.189,1.677,1.677,91.107,3.787,4.13,10.35,4.366,5.053,5.572,154.158,2.609,2.147,4.147,2.796,3.404,83.281,4.619,4.619,37687.0,13.256,5.17,3.318,3.325,5.254,2.212,12.996,12090.0,62.696,20.991,51,3.136
8.523,3.062,3.062,3.422,3.422,260.085,3.209,13.636,445.0,719.34,3.66,4.024,475.324,1.789,6.244,492.897,5.452,2.54,32.957,406.47,700.8,4.019,1.407,3.059,1.136,3.078,537.087,10.87,2.017,3.497,3.497,32,4.174,498.0,215.071,50.992,66.0,0.172,1.676,1.676,87.63,3.761,4.088,9.639,4.353,5.04,5.549,151.187,2.607,2.22,4.133,2.641,3.402,76.159,4.608,4.608,37578.0,13.244,5.147,3.318,3.325,5.197,2.203,11.796,11257.0,61.52,20.006,49,2.951
7.509,3.073,3.073,3.217,3.217,268.967,3.372,14.204,477.0,773.7,3.701,4.035,511.143,1.791,6.258,532.169,5.64,2.637,34.424,422.47,751.72,3.882,1.492,3.187,1.205,3.171,575.75,11.343,2.148,3.526,3.526,33,4.205,534.0,218.979,51.934,69.0,0.226,1.89,1.89,91.231,3.72,4.125,10.047,4.366,5.053,5.572,152.18,2.818,2.095,4.184,2.739,3.454,89.216,4.94,4.94,43969.0,13.191,5.22,3.315,3.321,5.272,2.437,12.281,12558.0,62.503,20.928,48,2.931
4.523,2.191,2.191,2.207,2.207,121.732,2.109,7.467,152.0,237.96,3.133,3.246,160.537,0.727,5.468,158.453,2.813,1.589,20.567,235.41,218.52,3.151,0.0,1.766,0.528,2.0,159.482,8.389,0.199,2.996,2.996,19,3.664,150.0,114.49,29.055,35.5,0.0,1.0,1.0,50.9,2.09,3.399,6.528,3.401,4.078,5.043,80.47,1.997,1.272,3.46,1.289,3.069,0.0,0.417,0.417,3390.0,12.335,3.732,2.951,2.972,3.975,1.0,9.046,2383.0,28.251,11.711,25,2.934
5.936,2.877,2.877,3.668,3.668,293.842,3.394,13.934,463.0,725.41,3.777,4.226,492.941,1.96,6.329,464.656,5.124,2.657,32.638,455.42,676.64,3.853,2.006,3.285,1.317,3.226,504.115,13.504,2.152,3.584,3.584,35,4.263,468.0,253.785,54.687,65.667,0.166,1.967,1.967,98.658,3.851,4.358,13.878,4.434,5.121,5.631,164.542,2.956,1.788,4.207,3.0,3.646,41.797,4.557,4.557,38296.0,13.379,5.324,3.46,3.472,5.004,2.52,15.084,14346.0,67.41,20.816,53,3.878
6.076,2.703,2.703,3.44,3.44,275.59,3.39,13.612,451.0,707.8,3.818,4.155,481.325,2.331,6.259,437.986,4.936,2.823,32.171,472.46,691.42,3.679,1.858,3.247,0.941,3.342,523.107,11.142,2.086,3.555,3.555,34,4.234,488.0,251.799,52.997,65.167,0.172,2.011,2.011,102.491,3.933,4.348,13.322,4.401,5.088,5.565,148.267,2.971,1.548,4.216,3.047,3.706,55.632,4.286,4.286,40291.0,13.102,5.287,3.562,3.549,5.134,2.573,13.331,14071.0,65.65,22.353,50,3.618
6.783,2.708,2.708,3.44,3.44,307.603,3.41,14.412,469.0,735.74,3.885,4.261,498.52,2.477,6.309,455.986,5.373,2.826,34.171,498.5,713.5,3.688,2.003,3.262,1.021,3.345,536.591,13.173,2.111,3.638,3.638,37,4.317,502.0,269.799,56.554,69.167,0.152,2.011,2.011,109.462,4.104,4.401,14.471,4.449,5.136,5.645,160.312,2.971,1.666,4.285,3.098,3.788,55.632,5.113,5.113,46491.0,13.133,5.288,3.734,3.718,5.237,2.599,14.336,17681.0,70.06,22.924,52,4.215
6.25,2.712,2.712,3.654,3.654,325.343,3.411,15.089,482.0,759.26,3.909,4.342,513.829,2.489,6.375,468.986,5.56,2.888,35.471,512.53,727.62,3.692,2.003,3.434,1.212,3.345,545.817,15.961,2.153,3.664,3.664,38,4.344,510.0,282.131,58.956,71.167,0.194,2.012,2.012,111.598,4.126,4.465,15.215,4.483,5.17,5.694,171.821,2.972,1.918,4.326,3.162,3.803,55.632,5.652,5.652,48122.0,13.362,5.332,3.738,3.724,5.263,2.601,16.697,18648.0,71.987,23.877,57,4.509
6.914,2.861,2.861,3.409,3.409,276.534,3.394,13.257,474.0,742.81,3.761,4.132,504.304,1.914,6.26,481.111,4.941,2.628,31.505,443.36,705.64,3.811,2.006,3.233,1.126,3.226,528.609,9.397,2.108,3.555,3.555,34,4.234,492.0,246.088,52.421,64.667,0.146,1.807,1.807,97.43,3.839,4.303,13.133,4.398,5.085,5.58,153.035,2.799,1.418,4.172,3.0,3.639,54.855,4.546,4.546,38901.0,13.154,5.264,3.368,3.423,5.004,2.519,11.192,13549.0,65.483,19.836,48,3.255
6.652,2.877,2.877,3.668,3.668,293.842,3.394,13.934,487.0,766.33,3.788,4.224,519.613,1.978,6.329,494.111,5.129,2.735,32.805,457.39,719.76,3.852,2.006,3.285,1.317,3.226,537.835,12.056,2.152,3.584,3.584,35,4.263,500.0,258.42,54.687,66.667,0.166,1.967,1.967,99.566,3.867,4.373,13.878,4.434,5.121,5.631,164.542,2.955,1.658,4.218,3.0,3.639,54.855,4.557,4.557,40348.0,13.379,5.324,3.393,3.428,5.034,2.52,13.466,14346.0,67.41,20.78,53,3.548
6.355,2.84,2.84,3.666,3.666,296.847,3.449,14.496,466.0,734.58,3.785,4.261,497.432,2.491,6.332,470.343,5.31,2.913,34.738,474.41,724.43,3.845,1.856,3.414,1.462,3.387,556.412,13.377,2.154,3.584,3.584,35,4.263,514.0,253.413,56.049,69.167,0.199,2.036,2.036,100.613,3.884,4.416,13.46,4.394,5.081,5.631,164.225,2.992,1.709,4.227,3.0,3.535,35.987,5.234,5.234,43132.0,13.373,5.322,3.388,3.403,5.105,2.63,14.775,14539.0,66.0,23.13,55,3.541
6.107,2.876,2.876,3.578,3.578,235.645,3.389,12.436,455.0,715.37,3.655,4.005,488.139,1.895,6.229,462.111,4.372,2.625,28.205,403.29,681.3,3.85,1.542,3.013,1.126,3.222,513.875,7.804,1.728,3.434,3.434,30,4.111,476.0,226.42,47.038,58.667,0.153,1.784,1.784,86.935,3.534,4.174,11.869,4.347,5.034,5.485,141.814,2.77,1.233,4.087,2.837,3.637,54.855,4.163,4.163,31526.0,13.271,5.296,3.35,3.409,4.74,2.518,7.716,9556.0,59.79,18.268,45,2.598
6.536,2.69,2.69,3.44,3.44,273.374,3.35,13.252,400.0,622.04,3.74,3.983,426.01,2.041,6.236,401.261,4.838,2.769,32.6,431.64,569.92,3.675,1.888,3.195,0.966,3.281,413.264,14.649,2.086,3.555,3.555,34,4.234,390.0,217.017,52.385,64.5,0.156,2.005,2.005,96.904,3.803,4.107,12.186,4.388,5.075,5.549,143.833,2.999,1.762,4.089,3.045,3.556,55.002,3.898,3.898,32591.0,13.068,5.284,3.564,3.553,5.236,2.442,15.119,14199.0,64.906,21.803,49,3.591
