pXC50,nCsp2,H.,C.,N.,Me,nC,nBM,SCBO,nSK,nBO,Sv,MW,Sp
4.268,12,42.9,40.0,5.7,1.013,14,14,29.0,20,21,23.175,310.83,24.756
5.872,20,31.6,52.6,5.3,1.024,20,26,43.0,26,30,27.536,344.34,27.636
5.183,19,37.5,50.0,10.0,1.006,20,23,39.5,25,28,27.63,330.39,28.529
5.635,15,41.0,46.2,7.7,1.004,18,17,35.0,23,26,26.294,325.82,27.659
5.806,20,40.0,43.6,3.6,1.015,24,18,47.0,33,35,37.259,482.62,39.193
5.316,16,29.7,43.2,13.5,1.042,16,18,40.0,26,28,26.734,369.39,26.778
5.567,18,50.7,39.7,2.7,0.996,29,18,47.0,36,38,44.212,513.13,47.392
5.477,14,48.0,40.0,4.0,1.0,20,14,35.5,26,27,31.169,372.53,33.398
5.843,16,28.9,42.1,15.8,1.043,16,21,41.5,27,29,27.868,402.85,28.188
5.218,16,30.2,39.5,16.3,1.048,17,23,46.5,30,32,30.491,427.44,30.244
4.268,15,40.9,40.9,9.1,1.02,18,18,38.0,26,28,28.632,354.4,29.171
5.028,13,45.0,38.3,5.0,1.02,23,11,44.0,33,36,37.389,457.53,38.335
5.521,18,36.4,45.5,9.1,1.017,20,23,43.0,28,31,30.578,392.47,31.602
5.308,18,35.0,47.5,7.5,1.015,19,22,40.5,26,29,28.697,383.5,30.273
5.616,13,45.7,48.6,5.7,0.983,17,13,29.0,19,22,22.73,248.35,24.341
5.285,11,35.7,42.9,7.1,1.019,12,10,26.5,18,19,19.954,278.38,21.261
5.553,17,42.6,44.7,4.3,1.01,21,18,39.5,27,30,30.643,364.43,31.682
4.814,11,31.4,37.1,14.3,1.061,13,15,35.5,24,26,23.976,333.29,23.04
5.897,20,39.1,47.8,4.3,1.007,22,23,43.0,28,31,31.589,390.49,33.114
5.546,17,40.9,43.2,9.1,1.007,19,19,38.5,26,28,29.39,366.48,30.909
5.558,18,29.3,43.9,9.8,1.03,18,22,45.5,29,32,31.086,460.62,33.023
4.268,23,36.7,51.0,4.1,1.012,25,22,48.0,31,35,34.116,410.45,34.921
5.081,16,43.9,46.3,4.9,0.992,19,15,34.0,23,25,27.159,322.46,29.205
5.974,14,32.4,44.1,8.8,1.036,15,16,35.0,23,25,24.218,329.36,24.528
4.715,20,33.3,46.7,11.1,1.022,21,21,47.0,30,34,32.073,417.48,32.847
5.506,14,31.3,43.8,15.6,1.028,14,18,33.5,22,24,23.417,331.81,24.273
5.356,16,33.3,47.2,5.6,1.025,17,15,35.0,24,26,26.475,379.28,27.852
5.212,22,35.4,50.0,10.4,1.01,24,28,51.0,31,36,33.697,407.46,34.506
4.851,19,27.0,51.4,8.1,1.031,19,23,43.5,27,31,28.359,395.46,29.205
4.268,9,46.3,39.0,7.3,1.003,16,12,30.5,22,24,25.895,317.45,27.665
5.654,17,38.1,42.9,14.3,1.016,18,20,39.5,26,28,28.192,348.4,28.75
5.024,14,36.7,50.0,6.7,0.998,15,16,30.0,19,22,21.889,331.25,23.818
5.31,19,41.4,44.8,10.3,1.004,26,24,53.0,34,39,38.299,452.56,39.796
5.664,16,41.9,44.2,2.3,1.014,19,12,35.0,25,26,28.647,404.28,30.029
5.099,19,40.4,46.8,6.4,1.002,22,23,43.0,28,31,31.895,389.51,33.665
5.582,20,42.0,44.0,10.0,1.005,22,21,43.0,29,31,32.751,387.48,34.029
5.817,31,32.0,41.0,0.0,1.07,41,31,93.0,68,74,68.728,956.73,65.454
5.495,17,41.5,51.2,2.4,0.996,21,18,38.0,24,28,27.665,315.39,29.006
5.926,17,40.8,46.9,4.1,0.999,23,16,43.0,29,33,33.588,420.59,36.068
5.826,20,32.5,50.0,7.5,1.018,20,23,42.0,27,30,29.705,487.16,31.199
5.161,14,34.9,39.5,9.3,1.041,17,18,40.0,28,30,29.835,422.88,30.369
5.269,25,37.3,51.0,5.9,1.007,26,29,51.5,32,36,35.423,421.48,36.472
5.564,18,44.1,41.2,7.4,1.008,28,22,54.5,38,43,43.67,535.7,45.875
5.016,18,36.8,47.4,7.9,1.02,18,19,36.5,24,26,26.038,323.35,26.432
5.329,17,26.3,47.4,5.3,1.07,18,16,40.5,28,30,28.04,410.75,27.068
4.965,9,41.2,38.2,0.0,1.029,13,12,30.0,20,21,22.636,314.41,23.898
5.664,14,36.2,42.6,4.3,1.035,20,16,43.0,30,33,32.561,448.91,33.335
5.201,13,49.2,39.0,8.5,0.996,23,17,41.5,30,33,35.858,407.57,38.074
5.8,15,40.0,42.0,4.0,1.024,21,20,45.0,30,33,33.26,428.5,34.239
5.757,19,33.3,50.0,9.5,1.019,21,25,46.5,28,31,29.864,370.39,30.193
5.379,16,33.3,53.3,0.0,1.024,16,15,31.0,20,22,21.493,266.26,21.625
5.376,11,41.7,35.4,8.3,1.029,17,12,38.0,28,29,31.528,447.38,33.057
5.431,11,41.7,50.0,8.3,0.989,12,12,22.5,14,16,16.15,182.24,17.057
5.611,15,43.9,38.6,1.8,1.015,22,17,45.0,32,34,37.295,542.42,40.313
5.289,17,45.5,47.7,4.5,0.988,21,18,36.5,24,27,28.499,316.43,30.319
5.475,10,43.6,41.0,2.6,1.008,16,12,31.0,22,24,25.754,335.48,27.756
5.511,16,44.6,42.9,1.8,1.012,24,18,44.0,31,34,35.632,423.5,36.869
5.198,14,37.2,44.2,0.0,1.033,19,12,38.5,27,29,29.405,388.42,29.92
5.294,16,31.4,45.7,8.6,1.028,16,16,36.5,24,26,25.69,357.44,26.722
5.797,10,39.0,41.5,4.9,1.027,17,12,37.5,25,27,27.492,360.42,28.261
4.986,17,37.8,44.4,6.7,1.014,20,22,42.5,28,31,31.27,411.54,33.006
5.641,20,39.7,43.1,5.2,1.02,25,25,53.0,35,39,38.808,493.58,40.006
5.315,14,37.1,45.7,2.9,1.023,16,17,33.0,22,24,24.229,315.37,25.04
5.252,20,43.8,42.2,9.4,1.005,27,24,52.5,36,40,41.068,484.61,42.773
5.513,23,35.8,47.2,11.3,1.018,25,20,52.0,34,38,36.629,454.5,37.21
4.268,12,43.8,41.7,10.4,1.005,20,14,39.5,27,30,30.751,363.46,32.029
5.608,22,35.1,42.1,10.5,1.023,24,30,57.5,37,41,40.236,552.71,42.125
5.061,18,34.0,48.9,10.6,1.011,23,24,49.0,31,34,33.997,445.96,35.557
5.28,13,42.6,38.9,9.3,1.016,21,18,44.0,31,34,34.894,441.56,36.347
5.809,16,33.3,48.5,6.1,1.026,16,15,33.0,22,24,23.677,314.36,24.313
5.815,12,31.0,44.8,3.4,1.029,13,13,30.0,20,22,21.834,323.44,23.358
5.15,14,36.1,41.7,8.3,1.024,15,14,33.5,23,25,25.217,347.45,26.483
4.268,13,46.8,40.4,6.4,1.003,19,13,34.0,25,27,29.589,359.89,31.398
5.551,13,36.1,41.7,8.3,1.031,15,17,34.0,23,25,24.745,331.38,25.29
5.335,14,39.1,39.1,8.7,1.028,18,15,39.5,28,30,30.534,402.47,31.273
5.435,18,37.8,48.6,10.8,0.997,18,22,37.0,23,26,25.907,318.43,27.478
5.794,7,49.0,34.7,0.0,1.025,17,7,30.0,25,26,29.04,356.41,29.773
5.539,6,38.9,38.9,5.6,0.999,14,5,30.0,22,23,26.326,402.72,30.466
6.024,16,37.1,51.4,2.9,1.011,18,18,35.5,22,25,24.327,291.32,24.938
6.097,13,46.3,43.9,2.4,1.001,18,13,31.0,22,24,25.907,297.38,27.222
5.511,21,44.4,46.3,5.6,0.998,25,23,45.0,30,33,34.957,401.52,36.785
5.605,14,22.6,45.2,9.7,1.058,14,16,36.5,24,26,24.741,473.11,25.472
5.389,18,38.1,39.7,9.5,1.035,25,21,57.0,39,42,41.588,536.55,41.523
4.268,17,34.2,44.7,13.2,1.02,17,21,39.5,25,27,26.831,351.42,27.631
5.419,21,28.6,50.0,4.8,1.037,21,21,45.5,30,33,31.905,459.32,32.761
5.685,15,29.0,48.4,6.5,1.034,15,15,33.5,22,24,23.337,332.4,24.199
5.342,20,36.1,55.6,2.8,1.002,20,20,37.5,23,26,25.612,299.34,26.483
4.8,16,38.8,42.9,6.1,1.022,21,16,43.5,30,33,33.04,425.5,34.029
5.462,17,38.6,45.5,6.8,1.018,20,22,41.5,27,30,29.611,363.4,30.165
5.118,10,45.2,35.7,11.9,1.016,15,14,32.5,23,24,25.939,317.39,26.722
5.255,18,33.3,54.5,3.0,1.015,18,19,36.0,22,25,23.8,289.3,24.176
5.569,9,42.9,40.0,8.6,1.017,14,13,29.5,20,22,22.369,273.32,22.949
5.265,19,35.9,48.7,10.3,1.012,19,23,40.5,25,28,27.149,330.37,27.739
5.928,20,27.9,48.8,9.3,1.033,21,26,50.5,31,34,32.426,448.51,33.182
5.313,17,34.9,46.5,2.3,1.031,20,16,41.0,28,31,30.185,397.43,30.71
5.351,15,33.3,45.5,9.1,1.027,15,15,33.5,22,24,23.503,313.36,24.074
5.507,20,35.7,41.1,7.1,1.03,23,23,53.5,36,39,39.15,544.68,40.784
5.093,21,34.9,48.8,4.7,1.024,21,21,42.0,28,30,30.417,394.83,31.017
6.237,17,37.2,44.2,9.3,1.024,19,22,41.5,27,30,29.106,364.39,29.409
5.596,25,36.4,49.1,5.5,1.01,27,26,53.5,35,39,39.162,546.47,41.233
5.954,13,38.9,41.7,8.3,1.025,15,15,32.0,22,23,24.197,319.77,24.807
5.03,9,39.3,42.9,7.1,1.037,12,8,23.0,17,18,18.354,240.25,18.392
6.202,9,48.4,41.9,3.2,0.99,13,11,22.5,16,17,19.611,233.36,21.438
4.597,10,23.3,40.0,16.7,1.053,12,17,35.5,23,25,23.34,365.45,24.097
5.702,19,38.6,43.9,7.0,1.023,25,21,52.0,35,39,38.116,474.51,38.602
5.555,21,43.6,47.3,7.3,0.992,26,24,48.0,31,34,36.068,408.54,38.091
5.877,11,45.2,45.2,6.5,0.995,14,12,25.5,17,19,19.918,226.3,21.034
5.481,17,40.9,43.2,9.1,1.013,19,19,38.0,26,28,28.918,350.41,29.716
4.268,7,50.0,35.4,4.2,1.006,17,8,30.5,24,25,28.884,352.5,30.853
5.489,16,36.4,45.5,6.8,1.024,20,17,43.0,28,31,30.467,397.46,31.296
4.929,14,39.6,39.6,10.4,1.017,19,17,44.0,29,32,32.313,429.57,34.017
5.208,13,38.2,44.1,8.8,1.006,15,17,32.0,21,23,23.787,315.45,25.574
5.773,16,27.5,40.0,17.5,1.055,16,23,45.5,29,31,28.965,413.41,28.483
4.229,21,37.5,45.8,6.3,1.021,22,21,44.0,30,32,32.965,423.88,33.784
4.268,20,40.0,45.5,3.6,1.014,25,21,48.5,33,35,37.072,462.56,38.546
5.449,20,34.8,45.7,8.7,1.018,21,24,46.0,30,33,32.765,436.55,34.25
5.786,24,33.3,47.1,9.8,1.019,24,31,55.0,34,38,36.786,487.6,38.256
4.957,13,29.7,40.5,13.5,1.044,15,22,41.0,26,29,26.921,389.45,27.426
4.918,9,42.6,36.2,4.3,1.022,17,11,37.5,27,29,30.919,428.6,33.08
4.268,16,42.9,45.2,4.8,0.994,19,15,35.0,24,26,28.346,354.53,30.853
5.823,17,31.6,47.4,7.9,1.022,18,19,40.0,26,29,28.33,401.92,29.886
5.279,16,34.3,48.6,2.9,1.023,17,12,33.0,23,24,25.819,413.1,27.313
5.509,16,32.4,43.2,5.4,1.031,16,17,38.5,25,27,27.097,392.51,28.58
4.969,12,47.4,39.5,5.3,1.0,15,14,29.0,20,21,23.874,290.42,25.659
5.185,21,40.4,45.6,3.5,1.011,26,22,51.0,34,38,38.711,495.03,40.71
4.886,19,45.2,50.0,4.8,0.981,21,19,36.5,23,26,27.521,299.42,29.483
5.288,7,45.5,40.9,0.0,1.018,9,7,16.0,12,12,13.778,166.19,14.17
5.253,13,41.7,41.7,8.3,1.006,20,20,42.0,28,32,32.104,412.58,34.318
4.74,15,40.5,42.9,2.4,1.021,18,19,38.0,25,27,27.997,359.43,29.017
5.498,16,35.9,46.2,10.3,1.014,18,22,39.5,25,28,27.336,350.43,28.387
5.204,14,29.4,41.2,17.6,1.042,14,20,38.0,24,26,24.514,342.37,24.568
5.321,13,47.8,39.1,4.3,1.008,18,13,32.0,24,25,28.17,330.42,29.443
6.363,5,54.2,32.2,6.8,1.001,19,4,32.0,27,28,33.32,380.55,35.5
4.44,11,37.2,37.2,9.3,1.041,16,18,39.5,27,29,28.722,392.43,28.966
5.186,11,27.6,41.4,6.9,1.065,12,14,30.5,21,22,21.435,330.36,21.591
5.238,19,32.6,46.5,9.3,1.036,20,20,43.5,29,32,30.602,412.83,30.75
5.846,18,41.7,45.8,8.3,0.997,22,22,43.0,28,32,32.202,388.53,34.216
5.855,16,28.6,48.6,2.9,1.049,17,17,38.0,25,27,25.969,404.18,25.892
5.662,11,43.2,40.5,5.4,1.012,15,10,29.5,21,22,24.062,304.4,25.352
5.288,14,25.7,42.9,11.4,1.06,15,21,41.0,26,28,26.255,392.8,26.085
5.428,23,34.8,52.2,8.7,1.008,24,25,48.5,30,35,32.676,392.44,33.5
5.861,9,31.8,40.9,13.6,1.037,9,13,23.5,15,16,15.735,221.26,16.097
5.513,17,40.4,44.7,8.5,1.008,21,22,42.5,28,31,31.755,439.34,33.375
5.187,21,38.9,46.3,5.6,1.012,25,24,50.0,33,37,36.852,459.56,38.335
5.475,14,38.0,38.0,14.0,1.033,19,20,45.5,31,34,32.885,425.45,32.881
5.747,18,36.6,46.3,7.3,1.016,19,22,40.5,26,29,28.557,365.44,29.597
5.352,8,43.8,35.4,6.3,1.017,17,13,38.0,27,30,31.226,427.62,33.631
5.313,10,42.3,36.5,11.5,1.02,19,14,41.5,30,32,33.389,430.54,34.591
5.257,19,36.5,46.2,5.8,1.021,24,18,49.0,33,37,36.04,461.53,37.028
4.617,18,37.5,42.9,5.4,1.02,24,19,52.0,35,39,38.941,527.69,41.085
5.767,14,34.1,41.5,14.6,1.023,17,22,41.5,27,30,29.039,398.51,30.284
5.416,15,32.3,48.4,12.9,1.015,15,21,35.0,21,24,22.568,294.36,23.409
5.516,11,37.8,43.2,10.8,1.015,16,19,36.5,23,27,25.336,326.41,26.387
4.703,17,37.1,48.6,8.6,1.011,17,19,34.5,22,24,24.128,291.33,24.733
5.216,10,44.7,42.1,2.6,1.013,16,12,30.0,21,23,24.095,287.34,24.915
5.237,11,39.0,39.0,7.3,1.023,16,14,35.5,25,27,28.098,397.94,29.864
5.571,21,32.6,48.8,7.0,1.029,21,21,44.5,29,32,30.912,407.83,31.261
5.485,13,50.0,40.9,4.5,0.993,18,13,30.0,22,23,26.74,298.42,28.534
5.829,17,32.6,44.2,9.3,1.036,19,18,44.5,29,32,30.481,410.44,30.75
5.382,14,38.8,42.9,6.1,1.017,21,21,45.0,30,34,33.512,441.57,35.222
5.688,12,35.7,46.4,7.1,1.017,13,16,28.5,18,20,19.767,258.32,20.614
5.162,18,34.1,45.5,11.4,1.028,20,25,46.5,29,32,30.6,389.4,30.654
5.348,21,32.8,40.3,0.0,1.069,27,21,61.0,45,49,45.661,634.49,43.556
5.151,13,50.0,43.2,4.5,0.986,19,13,31.0,22,24,27.026,294.43,29.08
5.457,14,37.1,45.7,2.9,1.015,16,17,33.0,22,24,24.701,331.44,26.233
5.308,11,42.4,39.4,12.1,1.015,13,13,28.0,19,20,21.149,258.31,21.739
5.437,19,31.7,46.3,12.2,1.027,19,25,45.0,28,31,29.546,391.44,30.085
5.353,14,38.2,47.1,2.9,1.021,16,14,31.0,21,23,23.041,283.3,23.392
5.049,19,34.8,45.7,8.7,1.024,21,24,46.0,30,33,32.293,420.48,33.057
5.768,14,40.0,48.6,5.7,1.005,17,17,33.0,21,24,23.633,278.33,24.489
4.445,13,41.0,43.6,7.7,1.012,17,14,33.0,23,24,26.009,329.81,27.114
6.002,22,37.7,45.3,7.5,1.021,24,22,49.5,33,36,35.874,444.48,36.386
4.518,12,41.5,39.0,7.3,1.021,16,14,33.0,24,25,26.798,347.43,27.813
5.723,17,43.4,45.3,5.7,1.002,24,16,44.0,30,34,34.477,401.5,35.995
5.438,20,31.0,50.0,4.8,1.029,21,22,45.0,29,32,31.077,424.88,31.903
5.156,14,31.3,43.8,15.6,1.034,14,18,33.5,22,24,22.973,315.36,23.352
4.983,16,36.4,43.2,4.5,1.032,19,15,40.0,28,31,30.206,400.44,30.716
4.268,7,55.2,34.5,10.3,0.984,20,11,33.5,26,28,32.977,356.58,35.932
5.241,19,37.7,39.6,9.4,1.026,21,23,49.0,33,35,36.382,506.05,38.091
5.547,15,30.6,44.4,8.3,1.036,16,17,39.5,25,28,26.405,373.44,27.176
5.564,14,43.2,45.9,5.4,0.994,17,17,32.0,21,23,24.632,296.42,26.443
5.23,18,37.3,43.1,9.8,1.016,22,23,48.5,32,36,35.313,465.6,37.017
5.381,8,33.3,42.9,4.8,1.027,9,8,20.5,14,15,15.406,225.31,16.494
5.56,12,37.8,43.2,8.1,1.016,16,16,34.5,23,26,25.697,347.47,27.273
5.315,15,35.3,47.1,5.9,1.027,16,15,33.5,22,24,23.536,296.3,23.636
5.411,8,34.5,37.9,6.9,1.041,11,10,27.5,19,20,20.383,298.37,21.17
5.323,10,44.4,37.8,4.4,1.025,17,10,33.0,25,25,28.073,348.39,28.591
4.575,19,39.5,46.5,7.0,1.011,20,20,39.5,26,28,28.896,347.4,29.71
5.188,15,43.6,40.0,10.9,1.01,22,21,46.0,31,35,35.014,420.52,36.25
5.841,19,36.7,42.9,8.2,1.016,21,22,47.5,31,34,34.479,470.64,36.659
5.741,21,35.7,52.4,2.4,1.014,22,21,42.0,27,30,29.568,357.38,30.154
4.268,9,34.4,40.6,6.3,1.049,13,10,30.0,21,23,22.078,310.71,21.949
5.256,18,39.5,50.0,7.9,0.998,19,22,37.5,23,26,25.94,301.37,27.04
5.142,16,31.7,43.9,4.9,1.046,18,17,41.0,28,30,29.507,420.85,29.812
5.319,20,36.4,41.8,7.3,1.024,23,23,52.5,35,38,38.435,528.68,40.33
4.819,14,30.6,41.7,8.3,1.053,15,16,36.0,25,26,26.125,428.64,26.307
5.507,18,34.1,46.3,9.8,1.022,19,23,42.0,27,30,29.051,378.44,29.841
5.472,13,38.5,43.6,7.7,1.017,17,17,36.5,24,27,26.557,341.42,27.597
4.548,10,45.7,42.9,5.7,1.001,15,15,28.5,19,21,22.16,256.33,23.25
5.485,12,36.4,42.4,12.1,1.02,14,18,33.5,21,23,22.81,300.37,23.625
5.144,17,44.4,44.4,3.7,1.004,24,16,43.0,30,33,34.697,404.5,36.205
4.744,14,39.4,48.5,3.0,1.012,16,17,31.0,20,22,22.327,267.3,22.938
5.454,13,43.1,39.2,3.9,1.021,20,15,41.0,29,32,32.787,418.51,34.0
5.57,12,50.0,40.0,4.0,0.996,20,12,33.0,25,27,30.622,360.92,32.915
4.748,13,48.8,43.9,4.9,0.987,18,13,30.0,21,23,25.499,280.4,27.319
5.426,16,39.0,46.3,4.9,1.011,19,18,37.5,25,28,28.062,352.44,29.352
5.365,9,60.6,37.9,1.5,0.967,25,11,32.5,26,27,36.294,354.66,40.853
5.673,10,41.7,36.1,13.9,1.018,13,14,30.5,21,22,23.358,305.4,24.392
5.063,22,28.9,48.9,8.9,1.034,22,25,50.5,32,36,33.593,464.91,34.153
5.798,13,39.5,42.1,7.9,1.011,16,17,34.0,23,25,26.029,345.48,27.79
5.771,19,30.8,48.7,10.3,1.022,19,23,42.0,27,30,29.277,415.32,30.648
5.395,22,33.3,46.3,3.7,1.036,25,22,53.5,36,40,38.163,506.52,38.386
5.248,14,40.5,40.5,4.8,1.021,17,14,34.0,25,26,28.329,425.33,29.921
5.47,18,36.8,42.1,5.3,1.025,24,19,53.0,36,40,39.655,543.69,41.54
5.436,16,45.5,45.5,9.1,0.988,20,21,38.0,24,27,28.3,316.44,30.114
5.396,24,30.6,51.0,6.1,1.032,25,24,53.0,34,38,35.514,453.43,35.312
4.268,8,43.8,40.6,6.3,1.015,13,8,25.0,18,20,20.348,246.29,20.943
5.805,14,26.3,42.1,13.2,1.056,16,21,42.0,28,31,28.64,441.52,29.284
4.939,13,53.6,39.3,7.1,0.98,22,13,35.0,26,28,32.934,350.56,35.921
5.08,16,38.9,47.2,5.6,1.007,17,15,33.5,22,24,24.82,310.4,26.137
5.303,20,45.6,43.9,3.5,1.002,25,20,44.0,31,33,36.224,418.53,37.966
6.398,21,34.1,52.3,2.3,1.02,23,21,44.0,29,31,31.789,452.29,32.75
5.896,15,39.1,43.5,2.2,1.018,20,15,39.5,28,30,31.824,435.98,33.83
5.931,14,40.0,35.6,8.9,1.031,16,16,38.0,27,28,29.721,410.52,30.921
5.775,18,29.3,46.3,9.8,1.04,19,21,44.0,29,32,29.954,408.42,29.989
5.455,8,46.2,36.5,7.7,1.012,19,9,37.5,28,31,32.4,404.54,34.103
5.946,13,48.3,39.7,3.4,1.006,23,16,41.5,30,33,35.465,412.53,37.182
5.71,20,32.6,46.5,11.6,1.023,20,21,44.5,29,32,31.185,423.91,32.25
5.694,17,37.5,43.8,8.3,1.015,21,20,44.5,30,33,33.292,438.57,35.012
5.323,10,34.4,40.6,3.1,1.039,13,12,29.0,21,22,23.279,437.12,24.744
5.407,12,40.5,40.5,5.4,1.021,15,13,30.5,22,23,24.889,338.84,26.21
5.824,13,27.6,44.8,13.8,1.051,13,17,34.0,21,23,20.998,284.25,20.364
6.398,16,40.9,43.2,4.5,1.021,19,15,37.0,26,28,28.831,354.39,29.375
5.059,14,38.6,40.9,11.4,1.025,18,19,40.0,27,29,29.127,367.4,29.415
5.222,19,34.0,42.6,10.6,1.025,20,25,48.0,31,34,33.812,518.45,35.608
5.432,23,34.1,52.3,6.8,1.013,23,28,47.5,29,33,31.369,381.41,31.949
5.112,10,37.5,37.5,12.5,1.039,12,10,28.0,20,21,21.052,276.28,20.886
5.371,23,36.2,51.1,6.4,1.01,24,28,48.5,30,34,32.896,395.44,33.71
4.268,11,42.5,40.0,10.0,1.014,16,13,32.5,23,25,26.03,332.82,27.12
5.368,8,37.5,37.5,6.3,1.046,12,6,26.0,20,20,21.718,319.16,22.114
5.499,9,48.6,42.9,2.9,0.995,15,8,25.0,18,20,21.665,243.33,23.006
5.482,14,49.0,41.2,5.9,0.994,21,14,36.0,26,28,31.289,351.49,33.302
5.267,17,37.5,47.5,5.0,1.017,19,16,37.0,25,27,27.702,354.81,28.563
5.541,16,34.9,46.5,7.0,1.029,20,18,43.5,28,30,29.799,377.38,29.858
5.899,16,37.5,43.8,8.3,1.015,21,22,46.0,30,33,33.292,438.57,35.012
5.533,20,34.0,51.1,8.5,1.015,24,22,49.5,31,34,33.391,408.44,33.955
5.056,11,45.2,45.2,6.5,0.995,14,12,25.5,17,19,19.918,226.3,21.034
4.607,10,33.3,45.8,4.2,1.026,11,9,23.0,16,17,17.601,253.34,18.739
4.63,17,42.2,44.4,4.4,1.01,20,18,37.5,26,28,29.756,370.86,31.085
4.268,14,46.0,42.0,8.0,0.999,21,18,39.5,27,30,31.52,363.48,33.165
4.229,9,22.2,50.0,0.0,1.057,9,11,21.0,14,15,14.852,247.1,15.557
5.494,20,36.6,48.8,9.8,1.007,20,23,41.0,26,29,28.817,362.46,30.176
5.525,16,40.5,45.2,2.4,1.019,19,15,36.0,25,27,27.81,339.37,28.369
5.326,16,35.3,47.1,8.8,1.021,16,18,33.5,22,24,23.955,313.76,24.591
5.5,23,38.0,50.0,6.0,1.007,25,28,49.5,31,35,34.423,409.47,35.472
5.498,13,40.5,40.5,7.1,1.015,17,17,36.0,25,27,28.27,375.51,30.006
6.398,15,47.7,43.2,4.5,0.993,19,14,32.0,23,24,27.853,328.87,29.938
4.878,11,33.3,44.4,11.1,1.025,12,16,28.0,18,20,19.261,259.31,19.858
5.884,13,47.4,40.4,5.3,1.004,23,12,41.0,30,32,35.245,409.53,36.972
5.535,17,35.1,48.6,8.1,1.012,18,22,38.0,24,27,26.315,335.41,27.381
5.312,17,38.5,48.7,7.7,1.007,19,19,37.5,24,27,26.655,317.37,27.495
5.363,13,32.1,46.4,10.7,1.025,13,17,30.0,19,21,20.261,271.32,20.858
5.839,16,40.0,44.4,0.0,1.028,20,12,38.0,27,29,29.745,370.38,30.034
5.064,9,36.4,42.4,3.0,1.055,14,8,28.0,21,23,22.003,299.27,21.512
5.801,6,58.3,33.3,4.2,0.986,16,6,23.0,20,20,26.321,280.46,28.819
5.815,15,29.0,48.4,6.5,1.042,15,15,33.5,22,24,22.865,316.33,23.006
5.549,15,27.3,45.5,9.1,1.058,15,21,38.5,24,26,23.933,327.27,23.028
6.398,13,31.3,40.6,12.5,1.053,13,17,34.0,22,23,22.24,302.27,21.58
5.327,7,29.2,37.5,20.8,1.047,9,11,27.0,17,17,17.251,249.28,17.347
5.424,20,35.7,41.1,7.1,1.03,23,23,53.5,36,39,39.15,544.68,40.784
5.815,17,39.0,46.3,4.9,1.011,19,16,37.0,25,27,28.062,352.44,29.352
5.421,17,32.5,47.5,10.0,1.022,19,25,43.5,27,31,29.164,396.88,30.244
4.918,7,46.0,36.0,6.0,1.012,18,13,38.0,27,30,31.566,409.58,33.745
5.064,10,37.5,35.0,12.5,1.047,14,12,35.0,25,26,26.03,349.34,25.563
5.758,13,32.4,37.8,10.8,1.054,14,17,38.0,25,27,25.669,364.37,25.443
5.057,18,44.7,44.7,6.4,0.998,21,19,38.5,26,28,30.235,347.45,31.779
5.289,20,27.9,48.8,9.3,1.033,21,26,50.5,31,34,32.426,448.51,33.182
5.253,19,30.8,48.7,5.1,1.034,19,20,41.5,27,30,28.438,380.4,28.739
5.604,18,44.2,46.5,2.3,1.001,20,16,35.0,24,25,27.907,321.4,29.222
5.037,14,34.8,37.0,13.0,1.051,17,18,42.0,30,32,31.102,438.46,30.943
5.427,17,39.2,41.2,3.9,1.025,21,16,43.0,31,33,34.447,460.57,35.886
5.088,13,37.0,48.1,11.1,1.006,13,16,27.0,17,19,18.999,243.71,19.921
5.941,21,44.3,41.0,11.5,1.003,25,22,49.0,34,36,38.847,457.59,40.563
5.365,12,44.4,42.2,8.9,0.997,19,16,37.0,25,29,29.202,352.5,31.216
5.466,14,37.2,41.9,9.3,1.02,18,21,41.0,27,30,29.765,400.52,31.25
5.48,14,28.6,50.0,3.6,1.027,14,14,30.5,20,22,21.76,321.82,23.114
5.57,20,35.7,41.1,7.1,1.03,23,23,53.5,36,39,39.15,544.68,40.784
6.115,16,34.3,48.6,2.9,1.02,17,15,34.0,23,25,25.539,390.27,26.938
4.906,9,37.1,34.3,14.3,1.041,12,14,31.5,22,23,23.261,323.37,23.54
4.396,17,35.1,48.6,8.1,1.012,18,22,38.5,24,27,26.315,335.41,27.381
5.505,24,43.5,44.9,5.8,1.003,31,23,57.0,39,43,44.793,522.65,46.739
5.388,16,41.0,46.2,5.1,1.003,18,15,34.5,23,25,26.347,324.43,27.898
5.289,19,41.2,45.1,7.8,1.007,23,20,44.0,30,33,34.084,420.93,35.642
5.335,14,31.0,48.3,6.9,1.036,14,17,31.0,20,22,21.122,288.7,21.278
5.274,14,27.3,42.4,12.1,1.046,14,19,37.0,24,26,25.012,380.86,25.824
5.304,14,41.0,43.6,10.3,1.003,17,20,36.0,23,26,26.148,324.44,27.693
5.62,8,47.4,36.8,5.3,1.009,14,8,26.5,20,21,23.589,294.41,25.114
5.044,20,43.1,44.8,5.2,1.006,26,20,48.0,33,37,37.718,443.54,39.21
4.268,13,50.9,39.6,5.7,0.992,21,13,35.0,26,28,31.815,353.51,34.063
5.46,16,30.8,41.0,15.4,1.042,16,21,41.5,27,29,27.755,384.41,27.784
5.147,19,34.1,45.5,4.5,1.032,20,20,42.5,29,31,31.319,430.89,32.119
4.268,15,41.2,39.2,2.0,1.021,20,17,43.0,30,32,34.241,514.36,36.79
5.497,15,30.3,48.5,9.1,1.024,16,18,36.0,23,26,24.813,388.26,25.972
