pXC50,nC,SCBO,nCL,RBN,nBO,Sp,Si,Se,MW,nCsp3,nF,nBT,nX,nHet,X.,nAT,Mi,nH,nSK,Sv,nCsp,nTB,N.,nBM,nCsp2,C.,RBF,nAB
7.824,19,38.0,0,4,30,30.415,52.283,46.971,370.42,6,1,49,1,8,2.2,46,1.137,19,27,29.828,0,0,8.7,14,13,41.3,0.082,12
6.955,19,38.0,0,4,30,31.608,51.993,46.72,386.49,6,1,49,1,8,2.2,46,1.13,19,27,30.3,0,0,8.7,14,13,41.3,0.082,12
7.377,20,38.0,0,4,30,31.722,54.489,48.527,368.45,7,1,51,1,7,2.1,48,1.135,21,27,30.64,0,0,8.3,14,13,41.7,0.078,12
7.398,20,39.0,0,4,31,31.659,54.828,49.04,386.44,7,2,51,2,8,4.2,48,1.142,20,28,31.023,0,0,8.3,14,13,41.7,0.078,12
7.745,18,38.0,0,4,30,28.591,49.207,44.6,374.38,5,2,46,2,9,4.7,43,1.144,16,27,28.684,0,0,9.3,14,13,41.9,0.087,12
9.0,20,40.0,0,5,32,32.114,56.038,50.367,402.44,7,2,52,2,9,4.1,49,1.144,20,29,31.738,0,0,8.2,14,13,40.8,0.096,12
8.046,21,42.0,0,5,34,33.114,57.038,51.367,414.45,8,2,54,2,9,4.0,50,1.141,20,30,32.738,0,0,8.0,14,13,42.0,0.093,12
8.699,21,42.0,0,7,34,34.33,60.662,54.578,432.47,8,2,56,2,10,3.8,53,1.145,22,31,33.979,0,0,7.5,14,13,39.6,0.125,12
7.699,21,46.0,0,7,36,36.432,62.792,56.982,480.54,8,2,58,2,12,3.6,55,1.142,22,33,35.881,0,0,7.3,16,13,38.2,0.121,12
8.222,22,47.0,0,8,37,38.193,66.207,59.865,494.57,9,2,61,2,12,3.4,58,1.141,24,34,37.408,0,0,6.9,16,13,37.9,0.131,12
9.0,23,49.0,0,5,39,39.193,67.207,60.865,506.58,10,2,63,2,12,3.4,59,1.139,24,35,38.408,0,0,6.8,16,13,39.0,0.079,12
7.921,22,43.0,0,6,35,36.091,64.077,57.461,446.5,9,2,59,2,10,3.6,56,1.144,24,32,35.506,0,0,7.1,14,13,39.3,0.102,12
8.155,21,43.0,0,7,35,34.784,61.872,55.905,448.47,8,2,57,2,11,3.7,54,1.146,22,32,34.694,0,0,7.4,14,13,38.9,0.123,12
8.699,20,43.0,0,5,33,31.597,53.706,48.702,413.42,6,2,50,2,10,4.3,47,1.143,17,30,31.706,1,1,10.6,15,13,42.6,0.1,12
9.0,24,51.0,0,6,41,41.96,73.12,65.851,535.63,11,2,68,2,13,3.1,64,1.143,27,37,40.956,0,0,7.8,16,13,37.5,0.088,12
6.585,15,33.0,0,3,25,23.614,40.167,36.505,318.31,2,2,37,2,8,5.7,35,1.148,12,23,23.916,0,0,11.4,14,13,42.9,0.081,12
7.509,18,38.0,0,4,30,28.591,49.207,44.6,374.38,5,2,46,2,9,4.7,43,1.144,16,27,28.684,0,0,9.3,14,13,41.9,0.087,12
7.174,18,37.0,0,5,29,29.353,51.622,46.483,376.4,5,2,47,2,9,4.4,45,1.147,18,27,29.211,0,0,8.9,14,13,40.0,0.106,12
7.602,18,37.0,0,5,29,29.353,51.622,46.483,376.4,5,2,47,2,9,4.4,45,1.147,18,27,29.211,0,0,8.9,14,13,40.0,0.106,12
6.801,17,37.0,0,6,29,28.046,49.417,44.927,378.37,4,2,45,2,10,4.7,43,1.149,16,27,28.399,0,0,9.3,14,13,39.5,0.133,12
6.652,17,40.0,0,6,30,29.693,50.337,46.003,410.44,4,2,46,2,11,4.5,44,1.144,16,28,29.586,0,0,9.1,16,13,38.6,0.13,12
9.0,21,43.0,0,4,34,34.12,59.536,53.469,429.47,7,2,55,2,10,3.8,52,1.145,21,31,33.759,0,0,9.6,15,14,40.4,0.073,12
8.398,20,40.0,0,4,32,32.114,56.038,50.367,402.44,7,2,52,2,9,4.1,49,1.144,20,29,31.738,0,0,8.2,14,13,40.8,0.077,12
7.824,19,43.0,0,4,33,32.455,54.752,49.887,436.48,6,2,51,2,11,4.2,48,1.141,18,30,32.113,0,0,8.3,16,13,39.6,0.078,12
5.328,19,45.0,0,6,35,38.216,66.029,59.236,482.65,9,0,61,0,13,0.0,58,1.138,26,32,36.345,0,0,10.3,16,10,32.8,0.098,12
4.523,19,39.0,0,5,31,35.205,61.481,54.178,402.58,9,0,57,0,9,0.0,54,1.139,26,28,33.013,0,0,11.1,14,10,35.2,0.088,12
5.967,23,42.5,0,6,33,38.199,64.445,56.927,426.61,9,1,60,1,7,1.8,57,1.131,27,30,35.692,0,0,7.0,18,14,40.4,0.1,17
5.97,18,38.5,0,4,28,29.847,48.578,43.836,372.46,3,1,45,1,8,2.3,43,1.13,17,26,28.773,0,0,9.3,19,15,41.9,0.089,17
5.987,18,38.5,0,4,28,29.847,48.578,43.836,372.46,3,1,45,1,8,2.3,43,1.13,17,26,28.773,0,0,9.3,19,15,41.9,0.089,17
5.898,18,38.5,0,4,28,29.847,48.578,43.836,372.46,3,1,45,1,8,2.3,43,1.13,17,26,28.773,0,0,9.3,19,15,41.9,0.089,17
7.432,17,35.5,0,4,26,27.631,43.954,39.625,342.43,2,1,41,1,7,2.6,39,1.127,15,24,26.532,0,0,10.3,18,15,43.6,0.098,17
6.395,17,37.5,0,4,27,28.085,45.163,40.953,358.43,2,1,42,1,8,2.5,40,1.129,15,25,27.246,0,0,10.0,19,15,42.5,0.095,17
6.793,17,37.5,0,4,27,28.085,45.163,40.953,358.43,2,1,42,1,8,2.5,40,1.129,15,25,27.246,0,0,10.0,19,15,42.5,0.095,17
6.706,17,37.5,0,4,27,28.085,45.163,40.953,358.43,2,1,42,1,8,2.5,40,1.129,15,25,27.246,0,0,10.0,19,15,42.5,0.095,17
5.256,23,48.5,0,6,35,35.546,56.333,51.232,452.52,2,2,53,2,9,4.0,50,1.127,18,32,34.683,0,0,8.0,25,21,46.0,0.113,23
5.193,23,48.5,0,6,35,35.546,56.333,51.232,452.52,2,2,53,2,9,4.0,50,1.127,18,32,34.683,0,0,8.0,25,21,46.0,0.113,23
5.123,23,48.5,0,6,35,35.546,56.333,51.232,452.52,2,2,53,2,9,4.0,50,1.127,18,32,34.683,0,0,8.0,25,21,46.0,0.113,23
6.886,18,34.5,0,5,26,29.699,48.575,43.065,342.48,4,1,45,1,6,2.3,43,1.13,19,24,27.87,0,0,9.3,17,14,41.9,0.111,17
6.328,18,36.5,0,5,27,30.154,49.784,44.392,358.48,4,1,46,1,7,2.3,44,1.131,19,25,28.585,0,0,9.1,18,14,40.9,0.109,17
6.276,18,36.5,0,5,27,30.154,49.784,44.392,358.48,4,1,46,1,7,2.3,44,1.131,19,25,28.585,0,0,9.1,18,14,40.9,0.109,17
6.076,18,36.5,0,5,27,30.154,49.784,44.392,358.48,4,1,46,1,7,2.3,44,1.131,19,25,28.585,0,0,9.1,18,14,40.9,0.109,17
6.921,20,36.5,0,6,28,33.222,55.405,48.832,370.54,6,1,51,1,6,2.0,49,1.131,23,26,30.924,0,0,8.2,17,14,40.8,0.118,17
6.602,20,38.5,0,6,29,33.677,56.614,50.16,386.54,6,1,52,1,7,2.0,50,1.132,23,27,31.639,0,0,8.0,18,14,40.0,0.115,17
6.347,20,38.5,0,6,29,33.677,56.614,50.16,386.54,6,1,52,1,7,2.0,50,1.132,23,27,31.639,0,0,8.0,18,14,40.0,0.115,17
6.208,21,40.5,0,5,31,34.677,57.614,51.16,398.55,7,1,54,1,7,2.0,51,1.13,23,28,32.639,0,0,7.8,18,14,41.2,0.093,17
6.215,20,38.5,0,6,29,33.677,56.614,50.16,386.54,6,1,52,1,7,2.0,50,1.132,23,27,31.639,0,0,8.0,18,14,40.0,0.115,17
6.26,21,40.5,0,5,31,34.677,57.614,51.16,398.55,7,1,54,1,7,2.0,51,1.13,23,28,32.639,0,0,7.8,18,14,41.2,0.093,17
6.229,21,40.5,0,5,31,34.677,57.614,51.16,398.55,7,1,54,1,7,2.0,51,1.13,23,28,32.639,0,0,7.8,18,14,41.2,0.093,17
6.187,23,40.5,0,6,32,37.745,63.235,55.6,410.61,9,1,59,1,6,1.8,56,1.129,27,29,34.978,0,0,7.1,17,14,41.1,0.102,17
6.602,23,42.5,0,6,33,38.199,64.445,56.927,426.61,9,1,60,1,7,1.8,57,1.131,27,30,35.692,0,0,7.0,18,14,40.4,0.1,17
6.469,23,42.5,0,6,33,38.199,64.445,56.927,426.61,9,1,60,1,7,1.8,57,1.131,27,30,35.692,0,0,7.0,18,14,40.4,0.1,17
6.469,20,40.5,0,5,31,33.37,55.409,49.603,400.52,6,1,52,1,8,2.0,49,1.131,21,28,31.827,0,0,8.2,18,14,40.8,0.096,17
6.102,20,40.5,0,5,31,33.37,55.409,49.603,400.52,6,1,52,1,8,2.0,49,1.131,21,28,31.827,0,0,8.2,18,14,40.8,0.096,17
6.081,20,40.5,0,5,31,33.37,55.409,49.603,400.52,6,1,52,1,8,2.0,49,1.131,21,28,31.827,0,0,8.2,18,14,40.8,0.096,17
7.443,20,36.5,0,6,28,33.222,55.405,48.832,370.54,6,1,51,1,6,2.0,49,1.131,23,26,30.924,0,0,8.2,17,14,40.8,0.118,17
6.824,20,38.5,0,6,29,33.677,56.614,50.16,386.54,6,1,52,1,7,2.0,50,1.132,23,27,31.639,0,0,8.0,18,14,40.0,0.115,17
6.699,20,38.5,0,6,29,33.677,56.614,50.16,386.54,6,1,52,1,7,2.0,50,1.132,23,27,31.639,0,0,8.0,18,14,40.0,0.115,17
6.602,20,38.5,0,6,29,33.677,56.614,50.16,386.54,6,1,52,1,7,2.0,50,1.132,23,27,31.639,0,0,8.0,18,14,40.0,0.115,17
6.745,20,36.5,0,6,28,33.222,55.405,48.832,370.54,6,1,51,1,6,2.0,49,1.131,23,26,30.924,0,0,8.2,17,14,40.8,0.118,17
5.873,20,38.5,0,6,29,33.677,56.614,50.16,386.54,6,1,52,1,7,2.0,50,1.132,23,27,31.639,0,0,8.0,18,14,40.0,0.115,17
6.046,20,38.5,0,6,29,33.677,56.614,50.16,386.54,6,1,52,1,7,2.0,50,1.132,23,27,31.639,0,0,8.0,18,14,40.0,0.115,17
6.125,20,38.5,0,6,29,33.677,56.614,50.16,386.54,6,1,52,1,7,2.0,50,1.132,23,27,31.639,0,0,8.0,18,14,40.0,0.115,17
6.684,23,45.5,0,6,33,35.915,57.199,51.276,420.55,3,1,54,1,7,2.0,51,1.122,21,30,34.112,0,0,7.8,24,20,45.1,0.111,23
6.775,23,45.5,0,6,33,35.915,57.199,51.276,420.55,3,1,54,1,7,2.0,51,1.122,21,30,34.112,0,0,7.8,24,20,45.1,0.111,23
6.699,23,45.5,0,6,33,35.915,57.199,51.276,420.55,3,1,54,1,7,2.0,51,1.122,21,30,34.112,0,0,7.8,24,20,45.1,0.111,23
5.202,23,45.5,0,6,33,35.915,57.199,51.276,420.55,3,1,54,1,7,2.0,51,1.122,21,30,34.112,0,0,7.8,24,20,45.1,0.111,23
4.999,23,45.5,0,6,33,35.915,57.199,51.276,420.55,3,1,54,1,7,2.0,51,1.122,21,30,34.112,0,0,7.8,24,20,45.1,0.111,23
5.258,23,45.5,0,6,33,35.915,57.199,51.276,420.55,3,1,54,1,7,2.0,51,1.122,21,30,34.112,0,0,7.8,24,20,45.1,0.111,23
6.0,11,29.0,0,2,21,17.881,30.211,27.629,263.23,0,2,28,2,8,7.7,26,1.162,7,19,18.642,0,0,19.2,16,11,42.3,0.071,16
7.0,15,35.0,0,4,26,24.62,42.666,38.607,333.33,3,2,39,2,9,5.4,37,1.153,13,24,24.937,0,0,13.5,17,12,40.5,0.103,16
6.377,17,38.0,0,4,29,27.381,47.081,42.491,359.37,5,2,44,2,9,4.9,41,1.148,15,26,27.464,0,0,12.2,17,12,41.5,0.091,16
7.076,18,39.0,0,4,30,29.142,50.496,45.374,373.4,6,2,47,2,9,4.5,44,1.148,17,27,28.991,0,0,11.4,17,12,40.9,0.085,16
7.229,16,37.0,0,4,28,25.62,43.666,39.607,345.34,4,2,41,2,9,5.3,38,1.149,13,25,25.937,0,0,13.2,17,12,42.1,0.098,16
6.59,17,44.0,0,5,31,27.96,44.38,41.127,403.4,0,2,42,2,11,5.1,39,1.138,11,28,28.312,0,0,12.8,24,17,43.6,0.119,22
5.446,13,36.0,0,5,26,23.96,40.38,37.127,355.36,2,2,37,2,11,5.7,35,1.154,11,24,24.312,0,0,14.3,18,11,37.1,0.135,16
7.638,14,32.0,0,4,24,23.165,40.456,36.28,305.32,3,2,37,2,8,5.7,35,1.156,13,22,23.222,0,0,14.3,16,11,40.0,0.108,16
7.42,17,42.0,0,5,32,31.25,54.124,48.88,424.48,6,2,50,2,12,4.3,47,1.152,18,29,30.914,0,0,12.8,18,11,36.2,0.1,16
7.347,15,38.0,0,6,28,27.483,47.21,42.894,383.42,4,2,43,2,11,4.9,41,1.151,15,26,27.366,0,0,12.2,18,11,36.6,0.14,16
5.658,16,40.0,0,4,30,28.483,48.21,43.894,395.43,5,2,45,2,11,4.8,42,1.148,15,27,28.366,0,0,11.9,18,11,38.1,0.089,16
4.983,14,37.0,0,6,27,25.722,43.795,40.011,369.39,3,2,40,2,11,5.3,38,1.153,13,25,25.839,0,0,13.2,18,11,36.8,0.15,16
6.161,18,40.0,0,4,31,30.148,52.994,47.476,388.42,6,2,49,2,10,4.3,46,1.152,18,28,30.012,0,0,13.0,17,12,39.1,0.082,16
6.1,15,39.0,0,4,29,26.722,44.795,41.011,381.4,4,2,42,2,11,5.1,39,1.149,13,26,26.839,0,0,12.8,18,11,38.5,0.095,16
6.1,21,37.0,0,6,29,32.54,55.066,48.796,349.47,8,0,52,0,5,0.0,49,1.124,23,26,30.762,0,0,6.1,14,13,42.9,0.115,12
6.6,22,38.0,0,6,30,33.233,56.322,50.091,366.47,8,1,53,1,5,2.0,50,1.126,23,27,31.651,0,0,4.0,14,14,44.0,0.113,12
5.9,22,38.0,1,6,30,34.154,55.927,49.902,382.92,8,0,53,1,5,2.0,50,1.119,23,27,32.095,0,0,4.0,14,14,44.0,0.113,12
7.0,23,38.0,0,6,30,35.057,59.398,52.461,362.51,9,0,56,0,4,0.0,53,1.121,26,27,32.794,0,0,3.8,14,14,43.4,0.107,12
6.9,22,38.0,0,6,30,33.233,56.322,50.091,366.47,8,1,53,1,5,2.0,50,1.126,23,27,31.651,0,0,4.0,14,14,44.0,0.113,12
6.5,23,40.0,0,6,32,35.449,60.947,54.301,396.5,9,1,57,1,6,1.9,54,1.129,25,29,33.892,0,0,3.7,14,14,42.6,0.105,12
7.1,23,43.5,0,6,33,36.125,58.325,52.385,423.55,6,1,55,1,7,1.9,52,1.122,22,30,34.332,0,0,5.8,19,17,44.2,0.109,17
6.5,21,37.0,0,7,29,32.688,56.532,50.418,370.46,7,1,52,1,6,2.0,50,1.131,23,27,31.365,0,0,4.0,14,14,42.0,0.135,12
7.1,22,38.0,0,6,30,34.449,59.947,53.301,384.49,8,1,55,1,6,1.9,53,1.131,25,28,32.892,0,0,3.8,14,14,41.5,0.109,12
6.9,21,38.0,0,6,30,32.478,55.405,49.309,367.46,8,1,52,1,6,2.0,49,1.131,22,27,31.145,0,0,6.1,14,13,42.9,0.115,12
6.8,21,37.0,0,6,29,33.239,57.821,51.192,369.48,8,1,53,1,6,2.0,51,1.134,24,27,31.672,0,0,5.9,14,13,41.2,0.113,12
7.45,22,38.0,0,6,30,35.0,61.236,54.076,383.51,9,1,56,1,6,1.9,54,1.134,26,28,33.199,0,0,5.6,14,13,40.7,0.107,12
7.6,22,38.0,0,6,30,35.0,61.236,54.076,383.51,9,1,56,1,6,1.9,54,1.134,26,28,33.199,0,0,5.6,14,13,40.7,0.107,12
7.6,23,39.0,0,6,31,36.762,64.651,56.96,397.54,10,1,59,1,6,1.8,57,1.134,28,29,34.726,0,0,5.3,14,13,40.4,0.102,12
8.2,23,39.0,0,6,31,36.762,64.651,56.96,397.54,10,1,59,1,6,1.8,57,1.134,28,29,34.726,0,0,5.3,14,13,40.4,0.102,12
7.07,27,52.5,0,8,40,41.705,70.027,62.723,487.58,7,1,66,1,9,1.6,62,1.129,26,36,40.429,0,0,8.1,24,20,43.5,0.121,23
6.872,26,51.5,0,7,39,40.495,67.9,60.614,472.57,6,1,64,1,9,1.7,60,1.132,25,35,39.209,0,0,10.0,24,20,43.3,0.109,23
6.821,27,52.5,0,8,40,42.256,71.316,63.498,486.6,7,1,67,1,9,1.6,63,1.132,27,36,40.736,0,0,9.5,24,20,42.9,0.119,23
6.68,24,48.5,0,5,37,36.148,60.457,54.327,451.49,5,3,57,3,9,5.7,53,1.141,20,33,35.713,0,0,9.4,23,19,45.3,0.088,23
6.5,31,60.5,0,8,45,45.705,74.027,66.723,535.62,5,1,71,1,9,1.5,66,1.122,26,40,44.429,0,0,7.6,30,26,47.0,0.113,29
6.342,30,58.5,0,8,46,48.79,84.143,74.469,556.71,10,1,79,1,11,1.4,74,1.137,33,41,46.832,0,0,10.8,24,20,40.5,0.101,23
5.319,20,42.0,0,5,30,31.489,47.986,43.105,372.49,2,0,46,0,7,0.0,43,1.116,16,27,29.95,1,1,14.0,20,17,46.5,0.109,18
5.0,17,35.5,0,4,26,27.603,46.481,40.912,306.41,7,0,44,0,6,0.0,41,1.134,18,23,26.289,1,1,14.6,16,9,41.5,0.091,15
7.523,21,45.0,1,7,34,33.665,55.776,51.134,462.87,3,2,51,3,11,6.1,49,1.138,17,32,33.753,0,0,8.2,17,18,42.9,0.137,12
7.569,22,45.0,1,8,35,35.637,60.317,55.127,479.9,5,2,55,3,11,5.7,53,1.138,20,33,35.5,0,0,5.7,16,17,41.5,0.145,12
7.921,23,45.0,1,8,35,36.943,62.523,56.683,477.93,6,2,57,3,10,5.5,55,1.137,22,33,36.312,0,0,5.5,16,17,41.8,0.14,12
8.222,22,46.0,1,7,35,35.426,59.191,54.018,476.9,4,2,54,3,11,5.8,52,1.138,19,33,35.28,0,0,7.7,17,18,42.3,0.13,12
7.42,22,43.0,0,7,33,34.324,59.164,53.476,429.46,5,2,54,2,9,3.8,52,1.138,21,31,33.958,0,0,5.8,16,17,42.3,0.13,12
7.959,23,44.0,0,8,34,36.086,62.579,56.36,443.49,6,2,57,2,9,3.6,55,1.138,23,32,35.485,0,0,5.5,16,17,41.8,0.14,12
7.222,21,43.0,0,7,33,33.915,55.59,50.822,494.32,4,2,51,3,10,6.1,49,1.134,18,31,33.456,0,0,6.1,16,17,42.9,0.137,12
6.714,21,43.0,1,7,33,34.614,55.403,50.665,465.94,4,2,51,3,10,6.1,49,1.131,18,31,33.731,0,0,6.1,16,17,42.9,0.137,12
8.523,19,38.0,0,4,29,28.108,44.439,41.105,442.22,2,4,41,5,8,12.8,39,1.139,12,27,28.224,0,0,2.6,15,17,48.7,0.098,12
8.398,19,38.0,1,4,29,27.614,44.542,41.2,397.77,2,4,41,5,8,12.8,39,1.142,12,27,28.026,0,0,2.6,15,17,48.7,0.098,12
7.523,19,36.0,2,4,27,30.074,42.968,39.702,439.14,2,0,41,3,6,7.7,39,1.102,14,25,28.346,0,0,2.6,15,17,48.7,0.098,12
8.222,19,37.0,2,4,28,30.012,43.308,40.214,457.13,2,1,41,4,7,10.3,39,1.11,13,26,28.729,0,0,2.6,15,17,48.7,0.098,12
9.0,19,38.0,2,4,29,29.949,43.648,40.727,475.12,2,2,41,5,8,12.8,39,1.119,12,27,29.112,0,0,2.6,15,17,48.7,0.098,12
8.699,21,38.0,0,4,29,31.756,50.59,45.847,434.3,4,2,47,3,6,6.7,45,1.124,18,27,30.511,0,0,2.2,15,17,46.7,0.085,12
7.854,24,46.0,0,5,37,38.165,64.097,57.843,540.39,7,4,59,5,10,8.9,56,1.145,22,34,37.374,0,0,5.4,15,17,42.9,0.085,12
7.638,24,46.0,1,5,37,37.671,64.199,57.938,495.94,7,4,59,5,10,8.9,56,1.146,22,34,37.176,0,0,5.4,15,17,42.9,0.085,12
8.097,21,41.0,0,5,32,32.637,53.768,48.974,485.3,4,4,49,5,9,10.6,47,1.144,17,30,32.299,0,0,4.3,15,17,44.7,0.102,12
7.824,19,39.0,0,4,30,28.563,45.649,42.432,458.22,2,4,42,5,9,12.5,40,1.141,12,28,28.939,0,0,2.5,15,17,47.5,0.095,12
8.155,21,42.0,0,7,33,32.54,53.688,49.527,502.28,4,4,49,5,10,10.6,47,1.142,16,31,32.707,0,0,2.1,15,17,44.7,0.143,12
8.523,21,44.0,0,7,34,32.784,53.771,49.745,515.28,3,4,49,5,11,10.6,47,1.144,15,32,33.202,0,0,4.3,16,18,44.7,0.143,12
8.301,19,39.0,0,5,30,28.563,45.649,42.432,458.22,2,4,42,5,9,12.5,40,1.141,12,28,28.939,0,0,2.5,15,17,47.5,0.119,12
8.097,19,39.0,1,5,30,28.068,45.751,42.527,413.77,2,4,42,5,9,12.5,40,1.144,12,28,28.741,0,0,2.5,15,17,47.5,0.119,12
8.222,21,41.0,0,6,32,32.637,53.768,48.974,485.3,4,4,49,5,9,10.6,47,1.144,17,30,32.299,0,0,4.3,15,17,44.7,0.122,12
8.097,21,41.0,1,6,32,32.142,53.87,49.069,440.85,4,4,49,5,9,10.6,47,1.146,17,30,32.101,0,0,4.3,15,17,44.7,0.122,12
8.046,23,45.0,0,6,36,35.853,59.392,54.185,527.34,6,4,55,5,10,9.6,52,1.142,19,33,35.54,0,0,3.8,15,17,44.2,0.109,12
7.292,20,38.0,0,5,29,31.0,49.673,45.065,435.29,3,2,46,3,7,6.8,44,1.129,17,27,30.005,0,0,4.5,15,17,45.5,0.109,12
6.167,20,38.0,0,5,29,31.0,49.673,45.065,435.29,3,2,46,3,7,6.8,44,1.129,17,27,30.005,0,0,4.5,15,17,45.5,0.109,12
7.699,22,43.0,0,7,33,34.671,56.507,51.603,493.33,4,2,52,3,9,6.0,50,1.13,19,31,33.962,0,0,4.0,16,18,44.0,0.135,12
6.757,22,43.0,0,7,33,34.671,56.507,51.603,493.33,4,2,52,3,9,6.0,50,1.13,19,31,33.962,0,0,4.0,16,18,44.0,0.135,12
7.824,22,43.0,0,7,33,35.222,57.796,52.378,492.35,4,2,53,3,9,5.9,51,1.133,20,31,34.268,0,0,5.9,16,18,43.1,0.132,12
6.583,22,43.0,0,7,33,35.222,57.796,52.378,492.35,4,2,53,3,9,5.9,51,1.133,20,31,34.268,0,0,5.9,16,18,43.1,0.132,12
6.848,21,42.0,0,6,32,33.461,54.381,49.494,478.32,3,2,50,3,9,6.3,48,1.133,18,30,32.742,0,0,6.3,16,18,43.8,0.12,12
6.6,21,42.0,0,6,32,33.461,54.381,49.494,478.32,3,2,50,3,9,6.3,48,1.133,18,30,32.742,0,0,6.3,16,18,43.8,0.12,12
6.914,20,40.0,0,5,30,30.693,48.467,44.509,449.27,2,2,45,3,8,7.0,43,1.127,15,28,30.193,0,0,4.7,16,18,46.5,0.111,12
7.921,20,40.0,0,5,30,30.693,48.467,44.509,449.27,2,2,45,3,8,7.0,43,1.127,15,28,30.193,0,0,4.7,16,18,46.5,0.111,12
6.9,21,41.0,0,5,31,32.455,51.883,47.392,463.3,3,2,48,3,8,6.5,46,1.128,17,29,31.72,0,0,4.3,16,18,45.7,0.104,12
7.77,21,41.0,0,5,31,32.455,51.883,47.392,463.3,3,2,48,3,8,6.5,46,1.128,17,29,31.72,0,0,4.3,16,18,45.7,0.104,12
6.127,22,42.0,0,5,32,34.216,55.298,50.276,477.33,4,2,51,3,8,6.1,49,1.129,19,30,33.247,0,0,4.1,16,18,44.9,0.098,12
6.991,22,42.0,0,5,32,34.216,55.298,50.276,477.33,4,2,51,3,8,6.1,49,1.129,19,30,33.247,0,0,4.1,16,18,44.9,0.098,12
5.0,30,58.5,1,11,43,47.392,77.544,69.52,557.1,6,0,72,1,10,1.4,69,1.124,29,40,45.422,1,1,8.7,26,23,43.5,0.153,23
8.0,24,40.0,0,3,32,36.057,60.398,53.461,374.52,10,0,58,0,4,0.0,54,1.118,26,28,33.794,0,0,3.7,14,14,44.4,0.052,12
8.222,25,45.0,0,3,34,36.54,59.066,52.796,397.51,6,0,57,0,5,0.0,53,1.114,23,30,34.762,0,0,5.7,20,19,47.2,0.053,18
9.658,23,43.5,0,3,33,34.233,55.86,50.24,387.47,6,0,54,0,6,0.0,50,1.117,21,29,32.95,0,0,6.0,19,17,46.0,0.056,17
5.933,22,43.5,0,3,33,34.029,56.232,50.232,387.48,6,0,54,0,7,0.0,50,1.125,21,29,32.751,0,0,10.0,19,16,44.0,0.056,17
8.301,21,36.0,0,3,28,31.534,52.567,46.694,334.45,7,0,50,0,4,0.0,47,1.118,22,25,29.74,0,0,4.3,14,14,44.7,0.06,12
8.854,22,38.0,0,3,30,32.534,53.567,47.694,346.46,8,0,52,0,4,0.0,48,1.116,22,26,30.74,0,0,4.2,14,14,45.8,0.058,12
7.745,23,39.0,0,3,31,34.296,56.983,50.578,360.49,9,0,55,0,4,0.0,51,1.117,24,27,32.267,0,0,3.9,14,14,45.1,0.055,12
8.699,22,39.0,1,3,31,33.392,53.511,48.018,380.9,8,0,52,1,5,2.1,48,1.115,21,27,31.568,0,0,4.2,14,14,45.8,0.058,12
6.886,22,38.0,0,3,30,32.534,53.567,47.694,346.46,8,0,52,0,4,0.0,48,1.116,22,26,30.74,0,0,4.2,14,14,45.8,0.058,12
8.097,22,39.0,1,3,31,33.392,53.511,48.018,380.9,8,0,52,1,5,2.1,48,1.115,21,27,31.568,0,0,4.2,14,14,45.8,0.058,12
8.921,23,40.0,0,3,32,34.233,57.322,51.091,378.48,9,1,55,1,5,2.0,51,1.124,23,28,32.651,0,0,3.9,14,14,45.1,0.055,12
8.046,20,35.0,0,2,27,29.773,49.152,43.811,320.42,6,0,47,0,4,0.0,44,1.117,20,24,28.214,0,0,4.5,14,14,45.5,0.043,12
7.921,21,36.0,0,2,28,31.534,52.567,46.694,334.45,7,0,50,0,4,0.0,47,1.118,22,25,29.74,0,0,4.3,14,14,44.7,0.04,12
7.699,23,38.0,0,3,30,35.057,59.398,52.461,362.51,9,0,56,0,4,0.0,53,1.121,26,27,32.794,0,0,3.8,14,14,43.4,0.054,12
6.561,24,39.0,0,3,31,36.819,62.813,55.345,376.54,10,0,59,0,4,0.0,56,1.122,28,28,34.321,0,0,3.6,14,14,42.9,0.051,12
8.523,24,40.0,0,4,32,36.057,60.398,53.461,374.52,10,0,58,0,4,0.0,54,1.118,26,28,33.794,0,0,3.7,14,14,44.4,0.069,12
8.699,21,41.0,0,5,31,32.455,51.883,47.392,463.3,3,2,48,3,8,6.5,46,1.128,17,29,31.72,0,0,4.3,16,18,45.7,0.104,12
8.022,23,43.0,0,5,33,35.978,58.713,53.16,491.36,5,2,54,3,8,5.8,52,1.129,21,31,34.774,0,0,3.8,16,18,44.2,0.093,12
7.469,22,42.0,0,5,32,34.216,55.298,50.276,477.33,4,2,51,3,8,6.1,49,1.129,19,30,33.247,0,0,4.1,16,18,44.9,0.098,12
7.314,22,42.0,0,5,32,34.216,55.298,50.276,477.33,4,2,51,3,8,6.1,49,1.129,19,30,33.247,0,0,4.1,16,18,44.9,0.098,12
8.071,21,42.0,0,5,32,32.392,52.222,47.905,481.29,3,3,48,4,9,8.7,46,1.135,16,30,32.104,0,0,4.3,16,18,45.7,0.104,12
8.523,21,42.0,1,5,32,33.313,51.827,47.716,497.74,3,2,48,4,9,8.7,46,1.127,16,30,32.548,0,0,4.3,16,18,45.7,0.104,12
7.678,22,43.0,0,6,33,34.671,56.507,51.603,493.33,4,2,52,3,9,6.0,50,1.13,19,31,33.962,0,0,4.0,16,18,44.0,0.115,12
5.0,22,45.0,0,6,34,34.364,55.301,51.047,507.31,3,2,51,3,10,6.1,49,1.129,17,32,34.15,0,0,4.1,17,19,44.9,0.118,12
