pXC50,SpMax1_Bh.e.,piPC08,SpMax1_Bh.i.,piPC07,SRW07,SRW09,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,CATS2D_04_AP,SM14_EA.bo.,SaasN,SM13_EA.bo.,SpMax1_Bh.m.,SM12_EA.bo.,SM15_EA.bo.,SM11_EA.bo.,Eig01_EA.bo.,SM11_AEA.ri.,SpDiam_EA.bo.,SpMax_EA.bo.,SM09_EA.bo.,SM10_EA.bo.,piPC10,NaasN,Eig01_AEA.ri.,SpMax_AEA.ri.,C.043,piPC06,SM15_EA.ed.,SM07_EA.bo.,SM14_EA.ed.,SpDiam_EA.ed.,SM13_EA.ed.,D.Dtr09,SM08_EA.bo.,SaaN,SpMAD_EA.ed.,SpMAD_EA.dm.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpMax_EA,piPC04,D.Dtr05,piPC09,PW3,piPC05,C.030,nR09,CATS2D_02_PL,SM12_EA.ed.,SRW05,nPyrazoles,SM12_EA.dm.,SM14_EA.dm.,Eig04_AEA.ed.,Eta_sh_y,SM04_EA.dm.,nR05,nPyrimidines,SpDiam_AEA.ri.,SM08_EA.dm.,SM10_EA.dm.,SpAD_EA.dm.,SM02_EA.dm.,SM11_EA.ed.
6.417,4.145,7.565,4.192,7.102,5.352,7.455,12.146,12.146,12.146,3,21.839,1.975,20.29,4.124,18.774,23.373,17.218,4.733,4.733,7.733,4.733,14.158,15.74,8.155,1,4.311,4.311,1,6.629,37.48,11.109,34.995,19.685,32.504,94.479,12.765,13.355,4.478,0.061,3.348,3.348,5.348,3.348,5.615,105.539,7.861,0.354,6.195,1,1,1,30.031,3.045,1,0.283,0.217,5.733,0.377,0.739,2,1,5.386,0.469,0.366,1.72,0.908,27.541
6.358,4.133,7.46,4.18,7.012,4.844,7.081,12.088,12.088,12.088,3,21.84,1.847,20.291,4.116,18.775,23.374,17.22,4.732,4.732,7.732,4.732,14.16,15.742,8.008,1,4.302,4.302,1,6.574,37.407,11.109,34.926,19.554,32.44,87.031,12.765,13.128,4.552,0.138,3.339,3.339,5.339,3.339,5.578,45.628,7.737,0.365,6.16,1,1,1,29.971,2.398,1,0.504,0.395,5.709,0.413,1.159,1,1,5.375,0.787,0.634,3.44,1.376,27.485
6.174,4.11,7.293,4.156,6.837,4.727,6.862,11.499,11.499,11.499,2,21.515,0.0,19.979,4.089,18.5,23.021,16.948,4.627,4.627,7.627,4.627,13.927,15.524,7.896,0,4.204,4.204,1,6.394,36.64,10.911,34.204,18.703,31.762,90.651,12.619,12.508,4.199,0.085,3.232,3.232,5.232,3.232,5.593,47.47,7.562,0.339,6.128,1,1,1,29.335,2.398,1,2.468,2.727,5.217,0.309,1.506,1,1,5.277,1.968,2.214,2.302,1.294,26.888
4.0,4.11,7.321,4.156,6.867,4.727,6.862,11.499,11.499,11.499,2,21.611,0.0,20.088,4.116,18.616,23.108,17.08,4.627,4.627,7.627,4.627,14.083,15.657,7.951,0,4.204,4.204,1,6.466,36.707,11.088,34.284,18.703,31.854,99.578,12.759,12.475,4.36,0.079,3.232,3.232,5.232,3.232,5.661,52.202,7.596,0.353,6.177,1,1,1,29.444,2.398,1,2.468,2.727,5.278,0.353,1.506,1,1,5.277,1.968,2.214,2.302,1.294,27.014
7.149,4.165,7.804,4.21,7.281,5.416,7.554,12.088,12.088,12.088,3,22.055,1.865,20.513,4.143,19.001,23.583,17.449,4.737,4.737,7.737,4.737,14.388,15.97,8.545,1,4.303,4.303,2,6.781,37.411,11.321,34.93,19.555,32.445,147.247,12.984,17.566,4.715,0.0,3.339,3.339,5.339,3.339,5.756,81.99,8.115,0.361,6.317,1,2,1,29.977,3.045,1,0.0,0.0,5.713,0.427,0.0,2,1,5.376,0.0,0.0,0.0,0.0,27.492
7.046,4.174,7.804,4.215,7.281,5.416,7.554,12.088,12.088,12.088,3,22.055,1.893,20.513,4.148,19.001,23.583,17.449,4.737,4.737,7.737,4.737,14.388,15.97,8.545,1,4.303,4.303,1,6.781,37.411,11.321,34.93,19.555,32.445,147.247,12.984,13.226,4.715,0.0,3.339,3.339,5.339,3.339,5.756,81.99,8.115,0.361,6.317,1,2,1,29.977,3.045,1,0.0,0.0,5.713,0.423,0.0,2,1,5.376,0.0,0.0,0.0,0.0,27.492
7.097,4.181,7.89,4.223,7.362,5.733,7.803,12.147,12.147,12.147,3,22.058,2.066,20.516,4.154,19.004,23.586,17.452,4.738,4.738,7.738,4.738,14.392,15.973,8.651,1,4.312,4.312,1,6.837,37.491,11.326,35.008,19.687,32.52,160.199,12.989,13.599,4.64,0.0,3.349,3.349,5.349,3.349,5.796,139.283,8.22,0.362,6.355,1,2,1,30.05,3.434,1,0.0,0.0,5.751,0.386,0.0,3,1,5.388,0.0,0.0,0.0,0.0,27.562
7.523,4.144,7.518,4.191,7.058,5.352,7.455,12.146,12.146,12.146,3,21.834,1.981,20.285,6.88,18.768,23.369,17.212,4.733,4.733,7.733,4.733,14.151,15.733,8.05,1,4.31,4.31,1,6.598,37.476,11.1,34.989,19.683,32.497,82.153,12.756,13.306,4.606,0.0,3.347,3.347,5.347,3.347,5.581,92.649,7.792,0.36,6.169,1,1,1,30.022,3.045,1,0.0,0.0,5.68,0.377,0.0,2,1,5.385,0.0,0.0,0.0,0.0,27.529
7.056,4.132,7.39,4.179,6.946,4.844,7.081,12.086,12.086,12.086,3,21.831,1.725,20.281,4.116,18.765,23.366,17.208,4.732,4.732,7.732,4.732,14.146,15.729,7.866,1,4.301,4.301,1,6.526,37.394,11.093,34.91,19.551,32.421,76.128,12.75,12.696,4.683,0.0,3.338,3.338,5.338,3.338,5.531,39.793,7.628,0.36,6.123,1,1,1,29.947,2.398,1,0.0,0.0,5.657,0.457,0.0,1,1,5.374,0.0,0.0,0.0,0.0,27.456
5.793,4.133,7.424,4.181,6.983,4.844,7.081,12.109,12.109,12.109,4,21.832,1.656,20.283,4.117,18.766,23.367,17.209,4.732,4.732,7.732,4.732,14.148,15.73,7.911,1,4.304,4.304,1,6.548,37.425,11.096,34.94,19.605,32.449,81.322,12.752,12.674,4.591,0.0,3.341,3.341,5.341,3.341,5.543,42.576,7.67,0.365,6.137,1,1,1,29.975,2.398,1,0.0,0.0,5.667,0.439,0.0,1,1,5.377,0.0,0.0,0.0,0.0,27.483
5.886,4.14,7.509,4.186,7.061,4.844,7.096,12.867,12.867,12.867,3,21.902,1.867,20.352,4.123,18.834,23.439,17.279,4.751,4.751,7.751,4.751,14.222,15.799,8.079,1,4.445,4.445,1,6.627,38.399,11.179,35.863,20.803,33.323,91.812,12.823,13.267,4.797,0.132,3.486,3.486,5.486,3.486,5.603,48.173,7.79,0.357,6.192,1,1,1,30.798,2.398,1,0.504,0.395,5.798,0.349,1.159,1,1,5.518,0.787,0.634,3.44,1.376,28.261
6.149,4.132,7.494,4.178,7.046,4.844,7.066,11.966,11.966,11.966,3,21.816,1.75,20.269,4.115,18.755,23.348,17.2,4.724,4.724,7.724,4.724,14.143,15.724,8.047,1,4.283,4.283,1,6.573,37.254,11.094,34.783,19.355,32.306,98.176,12.751,13.08,4.378,0.127,3.318,3.318,5.318,3.318,5.579,51.628,7.783,0.358,6.161,1,1,1,29.846,2.398,1,0.504,0.395,5.613,0.383,1.159,1,1,5.357,0.787,0.634,3.44,1.376,27.369
6.18,4.132,7.494,4.178,7.046,4.844,7.066,11.966,11.966,11.966,3,21.816,1.75,20.269,4.115,18.755,23.348,17.2,4.724,4.724,7.724,4.724,14.143,15.724,8.047,1,4.283,4.283,1,6.573,37.254,11.094,34.783,19.355,32.306,98.176,12.751,13.08,4.378,0.127,3.318,3.318,5.318,3.318,5.579,51.628,7.783,0.358,6.161,1,1,1,29.846,2.398,1,0.504,0.395,5.613,0.383,1.159,1,1,5.357,0.787,0.634,3.44,1.376,27.369
6.469,4.163,7.933,4.202,7.384,4.844,7.066,11.958,11.958,11.958,3,22.024,1.935,20.481,4.138,18.983,23.544,17.426,4.729,4.729,7.729,4.729,14.377,15.974,8.751,1,4.283,4.283,1,6.865,37.248,11.324,34.777,19.334,32.302,102.101,13.023,13.549,4.362,0.0,3.316,3.316,5.316,3.316,5.891,53.175,8.388,0.346,6.502,1,1,1,29.844,2.398,1,0.0,0.0,5.592,0.326,0.0,1,1,5.356,0.0,0.0,0.0,0.0,27.369
6.201,4.159,7.871,4.197,7.355,4.844,7.066,11.965,11.965,11.965,4,22.016,1.459,20.474,4.136,18.967,23.541,17.413,4.729,4.729,7.729,4.729,14.355,15.943,8.622,1,4.285,4.285,1,6.828,37.256,11.294,34.785,19.352,32.309,83.899,12.97,12.751,4.519,0.154,3.318,3.318,5.318,3.318,5.779,43.664,8.297,0.34,6.404,1,1,1,29.85,2.398,1,7.949,9.254,5.606,0.392,2.977,1,1,5.358,5.38,6.654,4.164,1.984,27.374
6.457,4.182,7.86,4.221,7.337,5.476,7.644,12.089,12.089,12.089,3,22.17,3.999,20.625,4.155,19.108,23.7,17.554,4.741,4.741,7.741,4.741,14.485,16.067,8.642,2,4.305,4.305,1,6.826,37.458,11.409,34.984,19.561,32.506,156.288,13.068,13.284,4.809,0.0,3.341,3.341,5.341,3.341,5.798,86.762,8.208,0.366,6.362,1,2,1,30.045,3.045,1,0.0,0.0,5.747,0.44,0.0,2,1,5.378,0.0,0.0,0.0,0.0,27.568
6.613,4.188,7.942,4.229,7.414,5.778,7.874,12.148,12.148,12.148,3,22.172,4.191,20.628,4.16,19.111,23.703,17.557,4.742,4.742,7.742,4.742,14.488,16.07,8.739,2,4.314,4.314,1,6.88,37.535,11.414,35.058,19.691,32.576,169.241,13.072,13.657,4.726,0.0,3.35,3.35,5.35,3.35,5.836,146.636,8.305,0.366,6.398,1,2,1,30.113,3.434,1,0.0,0.0,5.793,0.403,0.0,3,1,5.389,0.0,0.0,0.0,0.0,27.633
6.979,4.167,7.804,4.211,7.281,5.416,7.554,12.088,12.088,12.088,3,22.055,1.877,20.513,4.145,19.001,23.583,17.449,4.737,4.737,7.737,4.737,14.388,15.97,8.545,1,4.303,4.303,1,6.781,37.411,11.321,34.93,19.555,32.445,147.247,12.984,17.23,4.715,0.0,3.339,3.339,5.339,3.339,5.756,81.99,8.115,0.361,6.317,1,2,1,29.977,3.045,2,0.0,0.0,5.713,0.427,0.0,2,1,5.376,0.0,0.0,0.0,0.0,27.492
6.301,4.133,7.424,4.181,6.983,4.844,7.081,12.109,12.109,12.109,4,21.832,1.656,20.283,4.117,18.766,23.367,17.209,4.732,4.732,7.732,4.732,14.148,15.73,7.911,1,4.304,4.304,1,6.548,37.425,11.096,34.94,19.605,32.449,81.322,12.752,12.674,4.591,0.0,3.341,3.341,5.341,3.341,5.543,42.576,7.67,0.365,6.137,1,1,1,29.975,2.398,1,0.0,0.0,5.667,0.439,0.0,1,1,5.377,0.0,0.0,0.0,0.0,27.483
6.712,4.129,7.422,4.176,6.965,4.844,7.066,11.956,11.956,11.956,3,21.806,1.639,20.257,4.113,18.742,23.338,17.186,4.723,4.723,7.723,4.723,14.126,15.71,7.932,1,4.28,4.28,1,6.515,37.228,11.072,34.754,19.326,32.274,87.896,12.734,12.619,4.333,0.185,3.314,3.314,5.314,3.314,5.532,46.153,7.694,0.342,6.116,1,1,1,29.81,2.398,1,10.731,12.404,5.567,0.371,4.057,1,1,5.352,7.386,9.058,4.616,2.456,27.327
6.827,4.13,7.416,4.177,6.96,4.844,7.066,11.956,11.956,11.956,3,21.806,1.695,20.257,4.113,18.742,23.338,17.186,4.723,4.723,7.723,4.723,14.126,15.71,7.934,1,4.28,4.28,1,6.51,37.228,11.072,34.754,19.326,32.274,93.955,12.735,12.732,4.262,0.178,3.314,3.314,5.314,3.314,5.536,49.436,7.68,0.338,6.118,1,1,1,29.81,2.398,1,10.731,12.404,5.567,0.354,4.057,1,1,5.353,7.386,9.058,4.616,2.456,27.327
5.695,4.109,7.293,4.154,6.832,4.727,6.862,11.505,11.505,11.505,2,21.551,0.0,20.023,4.09,18.534,23.06,16.994,4.629,4.629,7.629,4.629,13.972,15.545,7.825,0,4.21,4.21,0,6.382,36.677,10.949,34.247,18.719,31.811,79.473,12.61,12.236,4.317,0.15,3.238,3.238,5.238,3.238,5.473,41.693,7.537,0.356,6.014,1,1,1,29.392,2.398,1,0.504,0.395,5.034,0.362,1.159,1,1,5.282,0.787,0.634,3.44,1.376,26.954
6.072,4.134,7.48,4.18,7.027,4.844,7.081,12.088,12.088,12.088,3,21.84,1.853,20.292,4.117,18.776,23.374,17.22,4.732,4.732,7.732,4.732,14.161,15.742,8.05,1,4.302,4.302,1,6.585,37.408,11.11,34.927,19.555,32.442,93.298,12.766,13.174,4.474,0.132,3.339,3.339,5.339,3.339,5.589,49.03,7.76,0.356,6.172,1,1,1,29.973,2.398,1,0.504,0.395,5.71,0.394,1.159,1,1,5.375,0.787,0.634,3.44,1.376,27.487
6.398,4.167,7.879,4.208,7.351,5.861,7.776,11.967,11.967,11.967,3,22.015,1.996,20.473,4.141,18.966,23.539,17.411,4.729,4.729,7.729,4.729,14.353,15.942,8.629,1,4.287,4.287,1,6.826,37.26,11.292,34.79,19.36,32.315,82.633,12.968,13.459,4.583,0.0,3.32,3.32,5.32,3.32,5.776,42.84,8.302,0.338,6.402,1,1,1,29.857,3.932,1,0.0,0.0,5.662,0.383,0.0,1,1,5.361,0.0,0.0,0.0,0.0,27.382
5.959,4.161,7.858,4.2,7.326,4.844,7.066,11.958,11.958,11.958,3,22.014,1.956,20.471,4.136,18.964,23.538,17.409,4.728,4.728,7.728,4.728,14.349,15.939,8.604,1,4.282,4.282,1,6.809,37.247,11.283,34.777,19.333,32.301,89.774,12.963,13.449,4.461,0.0,3.316,3.316,5.316,3.316,5.766,46.838,8.28,0.337,6.391,1,1,1,29.842,2.398,1,0.0,0.0,5.587,0.367,0.0,1,1,5.355,0.0,0.0,0.0,0.0,27.366
7.071,4.175,7.89,4.219,7.362,5.733,7.803,12.147,12.147,12.147,3,22.058,2.051,20.516,4.15,19.004,23.586,17.452,4.738,4.738,7.738,4.738,14.392,15.973,8.651,1,4.312,4.312,1,6.837,37.491,11.326,35.008,19.687,32.52,160.199,12.989,17.638,4.64,0.0,3.349,3.349,5.349,3.349,5.796,139.283,8.22,0.362,6.355,1,2,1,30.05,3.434,2,0.0,0.0,5.751,0.389,0.0,3,1,5.388,0.0,0.0,0.0,0.0,27.562
8.0,4.168,7.86,4.212,7.337,5.476,7.644,12.089,12.089,12.089,3,22.17,1.853,20.625,4.147,19.108,23.7,17.554,4.741,4.741,7.741,4.741,14.485,16.067,8.642,1,4.306,4.306,1,6.826,37.458,11.409,34.984,19.561,32.506,156.288,13.068,17.348,4.809,0.0,3.341,3.341,5.341,3.341,5.798,86.762,8.208,0.366,6.362,1,2,2,30.045,3.045,2,0.0,0.0,5.747,0.458,0.0,2,1,5.378,0.0,0.0,0.0,0.0,27.568
7.114,4.165,7.804,4.208,7.281,5.416,7.554,12.088,12.088,12.088,3,22.055,1.872,20.513,4.143,19.001,23.583,17.449,4.737,4.737,7.737,4.737,14.388,15.97,8.545,1,4.303,4.303,1,6.781,37.411,11.321,34.93,19.555,32.445,147.247,12.984,17.394,4.715,0.0,3.339,3.339,5.339,3.339,5.756,81.99,8.115,0.361,6.317,1,2,1,29.977,3.045,2,0.0,0.0,5.713,0.427,0.0,2,1,5.376,0.0,0.0,0.0,0.0,27.492
6.474,4.148,7.501,4.196,7.046,4.844,7.081,12.147,12.147,12.147,3,21.835,1.868,20.286,4.127,18.769,23.37,17.212,4.733,4.733,7.733,4.733,14.152,15.734,8.014,1,4.313,4.313,1,6.589,37.478,11.101,34.991,19.676,32.499,78.94,12.758,12.944,4.601,0.0,3.35,3.35,5.35,3.35,5.562,41.015,7.759,0.364,6.164,1,1,1,30.024,2.398,1,0.0,0.0,5.682,0.435,0.0,1,1,5.385,0.0,0.0,0.0,0.0,27.531
6.616,4.144,7.501,4.194,7.046,4.844,7.081,12.147,12.147,12.147,3,21.835,1.805,20.286,4.126,18.769,23.37,17.212,4.733,4.733,7.733,4.733,14.152,15.734,8.014,1,4.312,4.312,1,6.589,37.478,11.101,34.991,19.676,32.499,78.94,12.758,12.861,4.601,0.032,3.35,3.35,5.35,3.35,5.562,41.015,7.759,0.364,6.164,1,1,1,30.024,2.398,1,0.0,0.0,5.682,0.439,0.05,1,1,5.385,0.001,0.0,0.8,0.278,27.531
6.959,4.144,7.518,4.192,7.058,5.352,7.455,12.146,12.146,12.146,3,21.834,1.899,20.285,4.124,18.768,23.369,17.212,4.733,4.733,7.733,4.733,14.151,15.733,8.05,1,4.31,4.31,1,6.598,37.476,11.1,34.989,19.683,32.497,82.153,12.756,13.069,4.606,0.0,3.347,3.347,5.347,3.347,5.581,92.649,7.792,0.36,6.169,1,1,1,30.022,3.045,1,0.0,0.0,5.68,0.414,0.0,2,1,5.385,0.0,0.0,0.0,0.0,27.529
6.255,4.13,7.493,4.175,7.047,4.844,7.066,11.958,11.958,11.958,3,21.816,1.749,20.269,4.113,18.755,23.348,17.2,4.724,4.724,7.724,4.724,14.142,15.724,8.06,1,4.281,4.281,1,6.575,37.245,11.089,34.774,19.331,32.298,93.712,12.75,13.018,4.302,0.172,3.315,3.315,5.315,3.315,5.586,49.269,7.782,0.351,6.168,1,1,1,29.839,2.398,1,0.504,0.395,5.584,0.349,1.205,1,1,5.353,0.792,0.636,4.483,1.505,27.362
5.959,4.162,7.968,4.201,7.432,4.844,7.066,11.958,11.958,11.958,3,22.027,1.872,20.485,4.138,18.988,23.547,17.431,4.729,4.729,7.729,4.729,14.383,15.981,8.812,1,4.282,4.282,1,6.905,37.247,11.332,34.777,19.332,32.302,109.114,13.034,13.485,4.291,0.032,3.315,3.315,5.315,3.315,5.925,57.052,8.432,0.344,6.533,1,1,1,29.843,2.398,1,0.001,0.0,5.586,0.314,0.138,1,1,5.355,0.011,0.003,1.043,0.434,27.368
6.553,4.158,7.871,4.196,7.355,4.844,7.066,11.958,11.958,11.958,3,22.015,1.678,20.472,4.135,18.965,23.539,17.41,4.729,4.729,7.729,4.729,14.35,15.94,8.622,1,4.282,4.282,1,6.828,37.247,11.281,34.776,19.331,32.301,78.704,12.964,12.982,4.456,0.059,3.315,3.315,5.315,3.315,5.779,40.881,8.297,0.353,6.404,1,1,1,29.842,2.398,1,0.083,0.05,5.585,0.355,0.531,1,1,5.355,0.22,0.136,1.539,0.781,27.366
6.959,4.172,7.89,4.217,7.362,5.733,7.803,12.147,12.147,12.147,3,22.058,2.046,20.516,4.149,19.004,23.586,17.452,4.738,4.738,7.738,4.738,14.392,15.973,8.651,1,4.312,4.312,1,6.837,37.491,11.326,35.008,19.687,32.52,160.199,12.989,17.809,4.64,0.0,3.349,3.349,5.349,3.349,5.796,139.283,8.22,0.362,6.355,1,2,1,30.05,3.434,2,0.0,0.0,5.751,0.389,0.0,3,1,5.387,0.0,0.0,0.0,0.0,27.562
5.469,4.168,7.867,4.21,7.341,5.416,7.564,12.098,12.098,12.098,3,22.167,1.759,20.623,4.15,19.105,23.698,17.551,4.744,4.744,7.744,4.744,14.481,16.063,8.609,1,4.31,4.31,1,6.845,37.471,11.406,34.997,19.577,32.518,155.018,13.064,16.946,4.801,0.0,3.345,3.345,5.345,3.345,5.804,85.839,8.192,0.366,6.365,1,2,1,30.057,3.045,2,0.0,0.0,5.73,0.463,0.0,2,1,5.383,0.0,0.0,0.0,0.0,27.578
7.056,4.175,7.804,4.215,7.281,5.416,7.554,12.088,12.088,12.088,3,22.055,1.89,20.513,4.148,19.001,23.583,17.449,4.737,4.737,7.737,4.737,14.388,15.97,8.545,1,4.303,4.303,1,6.781,37.411,11.321,34.93,19.555,32.445,147.247,12.984,13.219,4.715,0.0,3.339,3.339,5.339,3.339,5.756,81.99,8.115,0.361,6.317,1,2,1,29.977,3.045,1,0.0,0.0,5.713,0.423,0.0,2,1,5.376,0.0,0.0,0.0,0.0,27.492
6.971,4.147,7.547,4.194,7.077,5.416,7.545,12.15,12.15,12.15,3,21.835,1.909,20.286,4.126,18.769,23.37,17.213,4.733,4.733,7.733,4.733,14.153,15.735,8.095,1,4.313,4.313,1,6.611,37.483,11.106,34.997,19.703,32.505,87.109,12.76,13.144,4.687,0.0,3.35,3.35,5.35,3.35,5.593,98.563,7.83,0.358,6.181,1,1,1,30.03,3.045,1,0.0,0.0,5.687,0.441,0.0,2,1,5.388,0.0,0.0,0.0,0.0,27.538
6.265,4.142,7.518,4.19,7.058,5.352,7.455,12.146,12.146,12.146,3,21.834,1.836,20.285,4.123,18.768,23.369,17.212,4.733,4.733,7.733,4.733,14.151,15.733,8.05,1,4.31,4.31,1,6.598,37.476,11.1,34.989,19.683,32.497,82.153,12.756,12.986,4.606,0.031,3.347,3.347,5.347,3.347,5.581,92.649,7.792,0.36,6.169,1,1,1,30.022,3.045,1,0.0,0.0,5.68,0.418,0.05,2,1,5.387,0.001,0.0,0.8,0.278,27.529
6.215,4.142,7.518,4.19,7.058,5.352,7.455,12.146,12.146,12.146,3,21.834,1.836,20.285,4.123,18.768,23.369,17.212,4.733,4.733,7.733,4.733,14.151,15.733,8.05,1,4.31,4.31,1,6.598,37.476,11.1,34.989,19.683,32.497,82.153,12.756,12.986,4.606,0.031,3.347,3.347,5.347,3.347,5.581,92.649,7.792,0.36,6.169,1,1,1,30.022,3.045,1,0.0,0.0,5.68,0.418,0.05,2,1,5.387,0.001,0.0,0.8,0.278,27.529
5.602,4.144,7.604,4.191,7.136,4.844,7.081,12.147,12.147,12.147,3,21.844,2.046,20.295,4.124,18.779,23.377,17.224,4.733,4.733,7.733,4.733,14.165,15.746,8.229,1,4.311,4.311,1,6.656,37.488,11.115,35.005,19.683,32.516,103.351,12.772,13.638,4.371,0.115,3.347,3.347,5.347,3.347,5.64,53.899,7.917,0.352,6.228,1,1,1,30.045,2.398,1,0.504,0.395,5.747,0.347,1.159,1,1,5.384,0.787,0.634,3.44,1.376,27.557
5.467,4.135,7.561,4.18,7.106,4.844,7.081,12.099,12.099,12.099,3,21.904,1.825,20.36,4.119,18.847,23.434,17.296,4.734,4.734,7.734,4.734,14.243,15.818,8.151,1,4.309,4.309,1,6.654,37.487,11.198,35.014,19.579,32.536,96.378,12.843,13.17,4.576,0.191,3.345,3.345,5.345,3.345,5.646,50.524,7.857,0.371,6.225,1,1,1,30.076,2.398,1,0.684,0.546,5.729,0.426,1.454,1,1,5.382,1.028,0.845,5.16,1.693,27.597
6.585,4.158,7.868,4.194,7.334,4.844,7.05,11.875,11.875,11.875,3,22.034,1.727,20.493,4.134,18.987,23.556,17.434,4.724,4.724,7.724,4.724,14.379,15.965,8.66,1,4.273,4.273,1,6.823,37.149,11.321,34.687,19.21,32.22,85.521,12.993,12.957,4.521,0.064,3.306,3.306,5.306,3.306,5.784,44.577,8.307,0.354,6.41,1,1,1,29.77,2.398,1,0.283,0.217,5.505,0.388,0.739,1,1,5.346,0.469,0.366,1.72,0.908,27.302
7.0,4.163,7.894,4.201,7.36,4.844,7.081,12.088,12.088,12.088,3,22.063,1.865,20.52,4.14,19.011,23.588,17.457,4.737,4.737,7.737,4.737,14.399,15.985,8.691,1,4.304,4.304,1,6.868,37.413,11.339,34.934,19.555,32.449,83.676,13.009,13.209,4.685,0.0,3.339,3.339,5.339,3.339,5.803,43.524,8.326,0.355,6.437,1,1,1,29.982,2.398,1,0.0,0.0,5.719,0.432,0.0,1,1,5.376,0.0,0.0,0.0,0.0,27.497
5.959,4.156,7.898,4.197,7.382,4.844,7.081,12.194,12.194,12.194,3,22.106,1.828,20.561,4.173,19.049,23.634,17.494,4.749,4.749,7.749,4.749,14.432,16.018,8.651,1,4.321,4.321,1,6.895,37.563,11.366,35.077,19.776,32.587,80.891,13.036,17.63,4.7,0.0,3.359,3.359,5.359,3.359,5.816,41.908,8.316,0.361,6.454,1,1,1,30.115,2.398,1,0.0,0.0,5.859,0.422,0.0,1,1,5.394,0.0,0.0,0.0,0.0,27.625
7.268,4.181,7.89,4.223,7.362,5.733,7.803,12.147,12.147,12.147,3,22.058,2.064,20.516,4.154,19.004,23.586,17.452,4.738,4.738,7.738,4.738,14.392,15.973,8.651,1,4.312,4.312,1,6.837,37.491,11.326,35.008,19.687,32.52,160.199,12.989,13.592,4.64,0.0,3.349,3.349,5.349,3.349,5.796,139.283,8.22,0.362,6.355,1,2,1,30.05,3.434,1,0.0,0.0,5.751,0.386,0.0,3,1,5.387,0.0,0.0,0.0,0.0,27.562
6.654,4.171,7.804,4.219,7.281,5.416,7.554,12.088,12.088,12.088,3,22.055,1.873,20.513,4.149,19.001,23.583,17.449,4.737,4.737,7.737,4.737,14.388,15.97,8.545,1,4.302,4.302,2,6.781,37.411,11.321,34.93,19.555,32.445,147.247,12.984,17.485,4.715,0.0,3.339,3.339,5.339,3.339,5.756,81.99,8.115,0.361,6.317,1,2,1,29.977,3.045,1,0.0,0.0,5.713,0.417,0.0,2,1,5.375,0.0,0.0,0.0,0.0,27.492
7.721,4.182,7.923,4.22,7.388,5.476,7.653,12.089,12.089,12.089,3,22.187,1.846,20.643,4.157,19.125,23.718,17.57,4.741,4.741,7.741,4.741,14.5,16.082,8.751,1,4.306,4.306,1,6.88,37.481,11.423,35.009,19.563,32.533,166.107,13.082,13.154,4.733,0.0,3.341,3.341,5.341,3.341,5.838,91.987,8.283,0.368,6.407,1,2,1,30.074,3.045,1,0.0,0.0,5.753,0.436,0.0,2,1,5.379,0.0,0.0,0.0,0.0,27.598
6.821,4.14,7.518,4.186,7.058,5.352,7.455,12.146,12.146,12.146,3,21.834,1.774,20.285,4.122,18.768,23.369,17.212,4.733,4.733,7.733,4.733,14.151,15.733,8.05,1,4.31,4.31,1,6.598,37.476,11.1,34.989,19.683,32.497,82.153,12.756,12.903,4.606,0.066,3.347,3.347,5.347,3.347,5.581,92.649,7.792,0.36,6.169,1,1,1,30.022,3.045,1,0.283,0.217,5.68,0.421,0.739,2,1,5.395,0.469,0.366,1.72,0.908,27.529
6.558,4.14,7.518,4.186,7.058,5.352,7.455,12.146,12.146,12.146,3,21.834,1.774,20.285,4.122,18.768,23.369,17.212,4.733,4.733,7.733,4.733,14.151,15.733,8.05,1,4.31,4.31,1,6.598,37.476,11.1,34.989,19.683,32.497,82.153,12.756,12.903,4.606,0.066,3.347,3.347,5.347,3.347,5.581,92.649,7.792,0.36,6.169,1,1,1,30.022,3.045,1,0.283,0.217,5.68,0.421,0.739,2,1,5.395,0.469,0.366,1.72,0.908,27.529
6.432,4.142,7.528,4.189,7.065,4.949,7.195,12.145,12.145,12.145,3,21.834,1.939,20.285,4.122,18.768,23.369,17.211,4.733,4.733,7.733,4.733,14.15,15.733,8.084,1,4.309,4.309,1,6.61,37.475,11.099,34.989,19.681,32.497,89.35,12.756,13.251,4.437,0.0,3.346,3.346,5.346,3.346,5.589,46.238,7.81,0.351,6.183,1,1,1,30.021,2.398,1,0.0,0.0,5.68,0.379,0.0,1,1,5.384,0.0,0.0,0.0,0.0,27.528
5.644,4.134,7.441,4.18,7.029,4.844,7.081,12.254,12.254,12.254,3,21.893,1.835,20.345,4.118,18.827,23.428,17.271,4.742,4.742,7.742,4.742,14.207,15.788,7.97,1,4.328,4.328,1,6.588,37.663,11.146,35.174,19.941,32.681,82.4,12.802,13.153,4.569,0.138,3.364,3.364,5.364,3.364,5.6,42.861,7.676,0.37,6.176,1,1,1,30.204,2.398,1,0.504,0.395,5.569,0.413,1.159,1,1,5.401,0.787,0.634,3.44,1.376,27.709
