pXC50,nHet,nDB,nBM,Mi,nBO,SCBO,nSK,MW,nN,nAB,N.,nS,Sv,RBF,AMW,nCsp2,nHM
7.201,13,4,21,1.129,44,56.5,42,598.74,4,17,5.3,1,47.893,0.192,7.878,18,1
5.655,10,5,17,1.123,40,51.0,39,619.63,2,12,2.7,1,46.499,0.213,8.373,18,2
9.092,11,6,17,1.123,38,49.5,36,528.71,4,11,6.3,2,41.355,0.212,8.261,17,2
10.377,14,6,11,1.149,44,52.5,43,604.85,8,5,8.8,0,51.996,0.217,6.647,9,0
8.585,13,6,17,1.135,41,52.5,39,556.71,6,11,8.5,1,44.453,0.219,7.841,15,1
10.06,14,6,11,1.148,46,54.5,45,632.91,8,5,8.2,0,55.05,0.224,6.525,9,0
8.287,12,6,17,1.131,38,49.5,36,513.63,5,11,7.9,1,40.378,0.215,8.153,16,1
8.484,12,6,18,1.126,44,56.0,41,580.72,4,12,5.5,1,46.651,0.184,7.955,19,1
5.0,9,4,10,1.133,31,38.0,31,452.63,2,6,3.2,1,37.421,0.206,7.185,10,1
10.886,13,6,11,1.147,42,50.5,41,575.8,7,5,8.1,0,49.448,0.207,6.695,9,0
9.886,14,6,17,1.142,43,54.5,40,552.66,8,11,11.1,0,44.782,0.187,7.676,15,0
5.0,10,4,16,1.123,41,51.0,39,619.63,2,12,2.7,1,46.499,0.197,8.373,16,2
9.222,14,6,11,1.15,42,50.5,41,576.79,8,5,9.4,0,48.942,0.233,6.786,9,0
7.77,10,4,22,1.121,38,51.0,34,481.54,3,18,5.6,1,36.95,0.121,8.917,19,1
7.644,10,4,22,1.121,38,51.0,34,481.54,3,18,5.6,1,36.95,0.121,8.917,19,1
6.441,8,4,16,1.117,30,40.0,27,386.46,2,12,4.4,1,30.018,0.104,8.588,14,1
7.023,9,4,16,1.123,31,41.0,28,401.48,3,12,6.4,1,31.04,0.1,8.542,13,1
7.821,10,4,22,1.119,40,53.0,36,507.61,3,18,4.9,1,40.335,0.123,8.321,19,1
7.671,9,4,22,1.118,39,52.0,35,494.58,2,18,3.4,1,38.982,0.113,8.527,20,1
7.654,10,4,22,1.122,39,52.0,35,495.57,3,18,5.3,1,38.477,0.115,8.694,19,1
7.237,10,4,22,1.122,39,52.0,35,495.57,3,18,5.3,1,38.477,0.115,8.694,19,1
7.458,9,4,22,1.11,39,52.0,35,555.48,2,18,3.4,1,39.624,0.113,9.577,20,2
5.8,9,4,18,1.115,34,48.0,31,434.51,4,12,8.2,1,33.82,0.096,8.868,15,1
7.573,9,4,22,1.109,39,52.0,35,508.66,2,18,3.4,2,39.786,0.127,8.621,20,2
6.857,7,4,10,1.123,20,27.0,19,280.68,2,6,7.1,0,19.837,0.069,10.024,10,1
7.664,9,4,22,1.108,39,52.0,35,602.48,2,18,3.4,1,39.915,0.113,10.388,20,2
7.377,10,4,22,1.114,42,55.0,38,599.54,2,18,3.1,1,43.392,0.13,9.224,20,2
7.293,13,6,30,1.114,53,71.0,48,690.85,2,24,2.4,2,54.279,0.149,8.425,26,2
7.156,10,4,16,1.123,40,50.0,37,544.81,2,12,2.7,1,45.359,0.118,7.463,14,2
7.58,11,4,24,1.112,43,60.0,39,604.52,5,18,8.2,1,42.92,0.108,9.91,20,2
6.105,9,4,18,1.117,35,49.0,32,448.54,4,12,7.7,1,35.346,0.091,8.626,15,1
6.036,10,6,17,1.129,43,54.5,41,580.82,4,11,4.9,1,49.329,0.193,7.171,17,1
5.457,11,7,13,1.137,43,53.0,42,584.79,4,6,4.7,0,50.625,0.195,6.8,14,0
4.83,8,5,17,1.107,29,40.0,27,368.31,0,12,0.0,0,27.879,0.122,9.444,17,0
7.144,15,8,8,1.149,34,42.0,35,502.54,4,0,6.2,0,38.797,0.25,7.731,8,0
5.084,8,3,9,1.131,40,46.0,36,498.68,2,6,2.7,0,43.814,0.115,6.739,9,0
5.471,9,3,14,1.128,33,41.5,31,448.94,2,11,3.6,0,35.481,0.138,8.017,13,1
6.328,12,6,18,1.125,32,44.0,31,450.46,2,12,4.1,1,32.878,0.2,9.193,16,1
9.387,14,6,11,1.15,38,46.5,36,504.62,8,5,11.8,0,40.782,0.2,7.421,9,0
9.921,12,6,18,1.125,40,52.0,39,578.77,2,12,2.7,2,45.564,0.203,7.928,16,2
6.9,10,4,24,1.113,43,60.0,39,540.64,4,18,6.3,1,43.115,0.104,8.582,21,1
7.529,11,4,24,1.117,44,61.0,40,555.66,5,18,7.7,1,44.136,0.116,8.549,20,1
8.0,15,7,7,1.149,35,42.0,35,502.54,4,0,6.2,0,38.797,0.2,7.731,7,0
5.0,7,3,15,1.126,33,42.0,31,424.54,2,12,3.4,0,36.465,0.131,7.196,15,0
9.137,13,6,17,1.134,39,50.5,37,528.65,6,11,9.2,1,41.399,0.209,8.133,15,1
9.886,14,6,11,1.148,43,51.5,41,574.77,8,5,9.6,0,48.416,0.176,6.925,9,0
7.046,16,6,23,1.117,42,56.5,40,628.15,3,17,4.8,3,43.154,0.219,10.131,19,4
7.035,10,4,24,1.109,43,60.0,39,603.53,4,18,6.5,1,43.425,0.106,9.734,21,2
7.194,8,5,11,1.13,28,36.0,26,357.4,3,6,6.7,0,28.853,0.085,7.942,11,0
7.543,8,4,22,1.113,38,51.0,34,476.59,2,18,3.4,1,38.599,0.113,8.217,20,1
7.201,8,5,17,1.116,29,40.0,27,366.35,2,12,4.9,0,28.492,0.116,8.935,17,0
9.076,14,6,17,1.142,47,58.5,44,608.78,8,11,9.5,0,50.889,0.184,7.247,15,0
8.0,12,6,17,1.133,39,50.5,37,526.68,6,11,9.0,1,42.211,0.217,7.861,16,1
7.775,11,4,22,1.13,41,54.0,37,530.56,2,18,3.4,1,39.749,0.113,9.148,20,1
7.842,10,4,16,1.128,39,49.0,35,502.61,2,12,3.2,1,39.75,0.106,8.107,14,1
7.729,12,4,21,1.133,40,52.5,36,513.6,5,17,8.3,1,39.519,0.125,8.56,16,1
7.936,14,4,21,1.144,42,54.5,38,549.58,5,17,8.3,1,40.286,0.125,9.16,16,1
7.105,8,4,16,1.123,30,40.0,27,388.45,2,12,4.5,1,29.687,0.085,8.828,14,1
7.87,10,4,22,1.124,40,53.0,36,512.57,2,18,3.4,1,39.365,0.113,8.837,20,1
5.78,11,4,10,1.141,30,37.0,28,481.35,2,6,4.3,1,30.864,0.122,10.241,8,2
8.301,11,4,16,1.131,38,48.0,35,506.6,2,12,3.2,1,39.465,0.138,8.171,14,1
7.215,10,4,10,1.134,30,37.0,28,412.51,2,6,3.8,1,32.028,0.148,7.933,8,1
7.796,10,4,16,1.125,36,46.0,33,539.46,2,12,3.5,1,37.534,0.117,9.464,14,2
9.222,9,5,17,1.121,36,47.0,33,470.59,2,12,3.4,1,37.84,0.145,7.976,16,1
7.301,8,5,11,1.127,28,36.0,26,378.49,2,6,4.2,1,30.072,0.14,7.885,10,1
4.0,13,6,12,1.133,36,45.0,34,518.67,2,6,3.1,2,39.225,0.197,8.104,8,2
7.0,11,4,10,1.151,31,38.0,29,434.48,2,6,4.0,1,31.749,0.135,8.69,8,1
4.0,10,4,10,1.139,32,39.0,30,442.56,2,6,3.5,1,34.75,0.169,7.764,8,1
7.398,11,4,10,1.152,30,37.0,28,420.45,2,6,4.3,1,30.222,0.122,8.946,8,1
6.879,7,4,16,1.114,28,38.0,25,356.43,2,12,4.9,1,27.777,0.091,8.693,14,1
6.327,9,4,18,1.115,34,48.0,31,434.51,4,12,8.2,1,33.82,0.096,8.868,15,1
6.231,8,4,18,1.113,33,47.0,30,418.51,4,12,8.3,1,33.105,0.078,8.719,15,1
6.354,9,4,18,1.117,35,49.0,32,448.54,4,12,7.7,1,35.346,0.091,8.626,15,1
6.327,10,4,18,1.111,35,49.0,32,487.39,4,12,8.3,1,34.76,0.078,10.154,15,3
4.071,6,2,13,1.119,22,29.5,21,290.29,0,11,0.0,0,22.976,0.167,8.294,12,0
5.651,10,4,16,1.115,32,42.0,29,455.34,2,12,4.4,1,31.673,0.083,10.119,14,3
5.829,8,4,16,1.111,30,40.0,27,402.53,2,12,4.4,2,30.491,0.083,8.945,14,2
6.955,10,4,10,1.142,37,44.0,35,514.7,2,6,2.8,1,42.053,0.192,7.249,8,1
4.699,8,4,10,1.126,22,29.0,20,296.33,2,6,6.3,1,21.438,0.059,9.26,8,1
5.723,10,4,18,1.113,36,50.0,33,480.61,4,12,7.5,2,36.533,0.089,9.068,15,2
5.292,11,4,18,1.107,36,50.0,33,519.46,4,12,8.2,2,35.947,0.077,10.601,15,4
5.466,10,4,18,1.113,36,50.0,33,501.42,4,12,7.8,1,36.286,0.074,9.832,15,3
5.35,9,4,18,1.115,34,48.0,31,434.51,4,12,8.2,1,33.82,0.077,8.868,15,1
5.387,10,4,18,1.119,36,50.0,33,464.54,4,12,7.5,1,36.061,0.089,8.765,15,1
6.889,10,5,11,1.13,29,37.0,27,396.46,2,6,4.3,1,29.975,0.143,8.435,9,1
8.119,10,4,16,1.129,36,46.0,33,476.57,2,12,3.4,1,37.224,0.131,8.217,14,1
7.538,12,6,18,1.124,40,52.0,37,550.71,2,12,3.0,2,42.511,0.157,8.22,14,2
6.664,12,6,12,1.131,32,41.0,30,460.58,2,6,3.7,2,33.93,0.161,8.529,8,2
4.712,11,4,10,1.14,35,42.0,33,486.62,2,6,3.1,1,38.519,0.197,7.603,8,1
6.75,11,5,11,1.149,31,39.0,29,432.46,2,6,4.2,1,31.222,0.14,9.01,10,1
7.357,9,4,16,1.127,33,43.0,30,432.51,2,12,3.9,1,33.455,0.111,8.481,14,1
6.87,14,4,16,1.158,40,50.0,37,550.52,2,12,3.5,1,38.425,0.1,9.658,14,1
7.167,9,4,10,1.129,30,37.0,27,394.49,2,6,4.1,1,30.787,0.135,8.051,8,1
7.004,10,4,10,1.139,30,37.0,28,414.5,2,6,3.9,1,31.697,0.132,8.127,8,1
7.237,8,4,10,1.13,27,34.0,25,366.48,2,6,4.3,1,29.072,0.122,7.797,8,1
7.102,9,4,10,1.129,28,35.0,26,400.92,2,6,4.3,1,29.899,0.122,8.53,8,2
7.553,9,4,10,1.137,29,36.0,27,398.5,2,6,4.0,1,30.982,0.135,7.97,8,1
8.167,9,4,10,1.137,29,36.0,27,398.5,2,6,4.0,1,30.982,0.135,7.97,8,1
8.62,10,4,16,1.123,38,48.0,34,486.59,2,12,3.3,1,38.555,0.141,8.11,14,1
5.249,9,2,8,1.154,28,33.0,26,392.49,2,6,4.1,1,29.846,0.118,8.01,6,1
5.842,9,4,10,1.137,28,35.0,26,384.47,2,6,4.3,1,29.455,0.122,8.18,8,1
6.469,10,4,18,1.109,34,48.0,31,473.36,4,12,8.9,1,33.233,0.083,10.519,15,3
7.367,10,4,10,1.133,29,36.0,27,398.48,2,6,4.1,1,30.502,0.137,8.132,8,1
7.62,8,5,11,1.127,27,35.0,25,364.46,2,6,4.4,1,28.545,0.128,8.099,10,1
8.046,9,4,10,1.128,29,36.0,26,380.46,2,6,4.3,1,29.26,0.122,8.271,8,1
6.955,8,5,11,1.131,35,43.0,33,476.7,2,6,2.9,1,40.759,0.197,6.909,10,1
8.143,8,5,17,1.119,34,45.0,31,440.56,2,12,3.6,1,35.599,0.121,8.01,16,1
6.91,10,4,10,1.131,29,36.0,27,416.92,2,6,4.2,1,30.614,0.12,8.686,8,2
8.638,11,4,22,1.126,39,52.0,35,496.56,4,18,7.1,1,37.971,0.117,8.867,18,1
7.219,10,4,17,1.128,35,47.0,32,460.49,2,12,4.0,1,34.312,0.113,9.21,14,1
6.606,8,4,18,1.112,32,46.0,29,404.48,4,12,8.9,1,31.578,0.083,8.988,15,1
8.097,10,4,22,1.124,40,53.0,36,512.57,2,18,3.4,1,39.365,0.113,8.837,20,1
7.886,11,4,22,1.13,41,54.0,37,530.56,2,18,3.4,1,39.749,0.113,9.148,20,1
7.738,13,4,21,1.138,42,54.5,38,545.62,5,17,7.9,1,41.429,0.134,8.661,16,1
6.057,8,4,18,1.115,34,48.0,31,432.54,4,12,7.8,1,34.632,0.074,8.481,15,1
5.94,9,4,18,1.118,36,50.0,33,462.57,4,12,7.3,1,36.873,0.086,8.41,15,1
7.959,11,4,16,1.14,36,46.0,33,482.52,2,12,3.7,1,35.749,0.105,8.936,14,1
6.496,8,4,10,1.13,26,33.0,24,352.45,2,6,4.5,1,27.545,0.109,8.01,8,1
8.092,8,4,10,1.131,28,35.0,26,380.51,2,6,4.0,1,30.599,0.135,7.61,8,1
5.102,11,4,18,1.113,36,50.0,33,503.39,4,12,8.2,1,35.474,0.077,10.273,15,3
7.215,9,4,10,1.132,37,44.0,34,492.7,2,6,2.9,1,41.474,0.192,7.039,8,1
7.959,9,4,10,1.132,29,36.0,27,396.51,2,6,3.9,1,31.314,0.151,7.775,8,1
4.0,8,2,8,1.147,27,32.0,25,374.5,2,6,4.1,1,29.463,0.118,7.643,6,1
7.284,9,4,10,1.132,28,35.0,26,382.48,2,6,4.2,1,29.787,0.14,7.968,8,1
5.789,9,4,18,1.11,34,48.0,31,450.58,4,12,8.2,2,34.292,0.077,9.196,15,2
8.721,9,4,16,1.12,36,46.0,32,456.56,2,12,3.6,1,36.313,0.117,8.153,14,1
5.532,9,4,10,1.137,27,34.0,25,370.44,2,6,4.5,1,27.928,0.109,8.419,8,1
6.457,10,4,10,1.139,29,36.0,27,400.47,2,6,4.2,1,30.17,0.12,8.343,8,1
6.575,9,5,11,1.134,28,36.0,26,382.45,2,6,4.4,1,28.928,0.128,8.499,10,1
5.301,25,11,17,1.144,84,98.0,83,1174.62,9,6,5.1,0,101.282,0.201,6.599,17,0
5.347,6,3,15,1.13,31,40.0,29,392.55,4,12,7.0,0,34.837,0.136,6.887,16,0
6.77,8,4,10,1.128,24,31.0,22,324.39,2,6,5.3,1,24.492,0.1,8.537,8,1
6.77,6,4,16,1.113,23,33.0,21,282.27,2,12,6.5,0,22.009,0.091,9.105,14,0
5.0,8,4,16,1.122,31,41.0,28,399.51,3,12,6.1,1,31.852,0.096,8.153,14,1
6.4,8,4,16,1.117,30,40.0,27,386.46,2,12,4.4,1,30.018,0.104,8.588,14,1
7.62,13,6,18,1.129,45,57.0,44,651.21,2,12,2.5,1,50.641,0.222,8.14,19,2
6.546,10,4,16,1.123,37,47.0,36,579.56,2,12,3.0,1,42.446,0.206,8.65,16,2
5.426,8,3,15,1.128,34,43.0,32,440.54,2,12,3.3,0,37.18,0.145,7.342,15,0
5.695,8,3,15,1.128,34,43.0,32,440.54,2,12,3.3,0,37.18,0.145,7.342,15,0
5.281,8,3,9,1.135,33,39.0,31,432.57,2,6,3.2,0,37.234,0.138,6.866,9,0
