pXC50,CMC.80,Infective.80,Neoplastic.80,DLS_07,Inflammat.80,Hypertens.80,Mv,cRo5,CATS2D_08_LL,H.,SpMax3_Bh.m.,ATSC5p,GATS1v,CATS2D_03_LL,Eta_L_A,Depressant.80,CATS2D_02_DD,SpMin2_Bh.s.,Eig08_AEA.ri.,ATS8m,Eig09_AEA.ri.,Eig01_AEA.dm.,SpMax_AEA.dm.,Eig14_AEA.bo.,SRW08,SpMin4_Bh.e.,RDCHI,Eta_FL_A,Eig09_EA.ri.,Chi1_EA.ri.,Chi1_EA.ed.,SpMaxA_AEA.ed.,X1v,Vindex,Yindex,SpMax3_Bh.i.,CATS2D_08_DL,Eta_betaS,SpMaxA_EA.ed.,S2K,Chi0_EA.ri.,Chi0_EA.dm.,Xt,SNar,SpMaxA_EA,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Eig09_AEA.dm.,X3v,MDDD,TIC2,Sp,AMR,Chi0_EA.ed.,Eig14_AEA.ri.,piPC07,Eig14_EA.ri.,SRW10,CID,ATS7p,SM03_AEA.ed.,TIC3,Psi_i_1,Eig11_EA.ed.,SM06_AEA.ri.,IVDM,Eig08_EA,SM02_AEA.dm.,ATSC2m,SpAD_AEA.dm.,CENT,SpMax8_Bh.i.,Eig12_AEA.ri.,Psi_i_0,X1,SpMaxA_EA.ri.,SpMaxA_AEA.dm.,Eig09_EA,SM03_AEA.dm.,Eig07_EA.ed.,SM02_AEA.ri.,Eig13_EA.ed.,SM08_AEA.ri.,Chi0_EA.bo.,piPC01,SCBO,ATS8v,VAR,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,NdssC,NRS,CMC.50,SpMin5_Bh.m.,ATS1p,ATSC8i,X1Mad,Eig08_EA.ri.,Eig07_EA,SM15_AEA.bo.,Psychotic.80,ATS1i,SpAD_AEA.ed.,ATS2v,ON0V,TIC1,X3,ATS5p,Eig14_EA.ed.,SM09_AEA.ri.,Eig11_AEA.dm.,ATSC1i,SpAD_AEA.ri.,Eig15_EA,SM09_AEA.dm.,S0K,X2,SpMin8_Bh.v.,SpDiam_AEA.dm.,SpMin8_Bh.p.,ATSC5m,nH,C.003,TIC4,ATSC8p,Eig10_EA,SM04_AEA.dm.,SpMin5_Bh.p.,SRW04,SpMaxA_AEA.ri.,SpAD_EA,SpAD_AEA.bo.,PHI,Chi1_EA.dm.
5.269,1,1,0,1.0,0,0,0.646,1,0,47.5,3.838,9.247,0.891,5,0.257,0,0,1.134,2.0,3.245,1.482,3.443,3.443,0.455,8.034,1.257,3.498,0.227,0.49,11.697,4.213,0.292,8.168,0.226,0.571,3.698,1,12.25,0.444,8.543,14.543,16.711,0.263,14.504,0.137,14.104,14.104,14.104,14.104,14.104,1.0,3.929,17.324,173.716,28.284,92.192,8.781,0.0,4.664,-0.852,9.623,3.764,3.379,6.832,189.367,11.732,-0.898,-0.898,4.328,1.0,1.0,15.097,32.255,571.0,2.911,0.461,15.059,10.165,0.122,0.156,0.606,0.606,2.501,2.501,-1.494,-1.494,12.471,3.367,28.0,3.098,70.0,10.878,10.878,10.878,10.878,10.878,0,2,0,1.438,3.375,0.621,9.137,0.995,1.149,1.149,1,3.861,32.051,3.63,7.286,133.52,6.635,3.632,-1.974,-1.974,0.162,0.497,31.582,-1.0,-1.0,88.239,8.691,0.997,5.443,0.947,48.508,19.0,0,192.122,6.275,0.058,0.058,1.352,5.056,0.178,31.285,31.384,6.712,21.188
4.776,0,0,0,1.0,0,0,0.73,1,13,31.8,3.991,10.399,0.707,5,0.21,0,2,1.077,2.407,4.634,2.158,3.919,3.919,1.0,8.565,1.264,3.896,0.257,1.083,17.437,5.123,0.23,9.961,0.267,0.73,3.723,1,19.5,0.378,10.877,20.217,23.631,0.23,18.898,0.107,18.996,18.996,18.996,18.996,18.996,1.897,4.724,26.942,207.054,33.25,121.556,10.975,0.58,5.823,-0.253,10.191,4.096,3.941,7.468,228.705,15.188,2.367,2.367,4.78,1.526,1.526,17.395,49.439,1532.0,2.921,1.452,19.607,14.006,0.094,0.126,1.228,1.228,5.11,5.11,-0.005,-0.005,16.946,3.738,41.0,3.842,124.0,15.207,15.207,15.207,15.207,15.207,2,2,0,1.272,3.491,0.792,12.15,1.26,1.826,1.826,0,3.994,48.529,3.863,8.021,177.402,9.645,4.011,-0.826,-0.826,1.193,0.614,46.851,-0.412,-0.412,140.452,13.64,1.053,5.919,1.011,34.082,14.0,0,228.705,8.783,1.0,1.0,1.511,5.476,0.131,46.216,47.031,9.075,28.58
5.22,1,1,0,1.0,0,0,0.649,1,5,47.5,3.489,8.699,0.896,16,0.212,0,0,1.182,2.264,3.017,1.861,4.588,4.588,0.529,8.244,1.475,3.338,0.276,0.856,11.872,4.159,0.284,7.938,0.254,0.731,3.636,0,12.25,0.447,6.337,14.616,9.288,0.253,15.603,0.133,14.345,14.345,14.345,14.345,14.345,1.197,4.623,13.637,136.949,28.506,93.735,8.731,0.044,6.481,-0.891,9.895,3.788,3.717,7.015,171.003,12.44,-0.463,-0.463,4.338,1.266,1.266,16.562,36.434,533.0,2.885,0.382,15.328,10.237,0.129,0.199,0.889,0.889,2.99,2.99,-1.496,-1.496,12.306,3.481,31.5,3.341,55.0,11.403,11.403,11.403,11.403,11.403,0,2,0,1.417,3.447,0.883,9.663,1.263,1.381,1.381,1,3.864,34.601,3.711,7.783,106.77,7.169,3.873,-2.0,-2.0,0.366,0.495,33.871,-1.0,-1.0,88.239,9.069,1.045,6.588,0.996,21.657,19.0,0,189.367,7.21,0.233,0.233,1.239,5.142,0.175,33.824,34.114,4.28,10.078
5.128,1,1,0,1.0,0,0,0.712,1,8,36.6,3.828,7.086,0.781,6,0.217,0,0,1.052,2.073,3.869,2.0,4.464,4.464,1.242,8.405,1.417,3.926,0.275,1.0,15.388,5.266,0.232,9.815,0.194,0.543,3.871,0,16.75,0.377,8.106,18.638,13.688,0.223,20.167,0.109,18.068,18.068,18.068,18.068,18.068,1.241,5.353,24.0,183.13,31.046,107.829,10.96,0.9,6.42,-0.01,10.01,4.005,3.811,7.226,207.66,14.841,2.136,2.136,4.663,1.142,1.142,11.493,45.704,1162.0,2.881,1.618,18.374,12.793,0.1,0.154,1.0,1.0,3.423,3.423,1.372,1.372,15.361,3.714,40.0,3.66,111.0,14.358,14.358,14.358,14.358,14.358,0,4,0,1.357,3.509,0.945,11.364,1.046,1.414,1.414,1,3.934,43.117,3.802,7.443,143.077,9.443,3.827,-0.032,-0.032,1.0,0.591,42.992,-0.283,-0.283,118.211,11.153,1.107,6.464,1.062,17.863,15.0,0,207.66,7.275,1.0,1.0,1.414,5.371,0.141,42.696,43.289,5.418,15.811
4.456,1,0,0,1.0,0,0,0.69,1,8,40.0,3.851,9.523,0.8,15,0.219,0,0,1.138,2.396,3.747,2.208,4.905,4.905,1.115,8.443,1.405,3.906,0.26,1.167,14.824,5.053,0.23,9.553,0.204,0.549,3.798,2,15.75,0.366,8.55,18.19,13.701,0.23,18.898,0.109,17.861,17.861,17.861,17.861,17.861,1.743,5.176,27.506,184.339,33.307,116.892,10.564,0.761,5.945,-0.252,10.048,4.016,3.893,7.299,214.869,14.939,2.136,2.136,4.672,1.396,1.396,17.683,48.822,1158.0,2.925,1.354,18.745,12.936,0.102,0.169,1.225,1.225,4.554,4.554,-0.23,-0.23,15.578,3.714,40.0,3.56,111.0,14.289,14.289,14.289,14.289,14.289,5,3,0,1.434,3.579,0.915,12.044,1.366,1.61,1.61,0,3.985,44.773,3.853,8.783,155.041,9.499,3.89,-0.543,-0.543,1.418,0.581,43.097,-0.406,-0.406,120.382,11.81,1.107,6.905,1.062,26.382,18.0,0,221.624,8.038,1.0,1.0,1.444,5.389,0.141,42.975,44.182,6.143,11.259
4.95,0,0,0,1.0,0,0,0.724,1,0,27.9,3.894,8.077,0.728,5,0.197,0,1,1.062,2.556,3.844,2.306,4.462,4.462,1.062,8.634,1.289,3.999,0.268,1.215,17.355,5.275,0.223,9.341,0.246,0.65,3.693,3,20.25,0.371,10.499,20.253,28.38,0.228,19.304,0.105,19.386,19.386,19.386,19.386,19.386,2.039,4.693,32.01,186.965,30.591,115.22,11.177,0.731,6.17,-0.146,10.285,4.128,3.528,7.536,202.574,15.315,2.501,2.501,4.82,1.634,1.634,5.508,50.745,1715.0,2.929,1.43,19.652,14.396,0.098,0.139,1.414,1.414,4.98,4.98,0.523,0.523,17.108,3.784,43.0,3.431,147.0,15.738,15.738,15.738,15.738,15.738,1,2,0,1.304,3.413,0.944,12.584,1.462,1.794,1.794,0,4.007,50.444,3.82,7.614,166.6,10.077,3.784,-0.444,-0.444,1.61,0.847,48.499,-0.387,-0.387,134.825,14.273,1.055,6.462,1.056,20.924,12.0,0,208.574,6.385,1.301,1.301,1.641,5.517,0.133,48.152,48.696,8.534,39.964
5.47,1,1,0,1.0,0,0,0.634,1,4,45.8,3.584,9.038,0.95,12,0.213,1,0,1.099,2.345,3.343,2.183,3.561,3.561,0.944,8.471,1.51,3.838,0.266,1.175,14.155,4.797,0.228,8.601,0.192,0.5,3.739,3,16.0,0.352,7.736,17.374,17.304,0.234,18.205,0.11,17.154,17.154,17.154,17.154,17.154,1.51,4.411,24.024,199.143,32.023,103.393,10.066,0.515,6.559,-0.349,10.12,3.982,3.661,7.286,227.549,14.661,1.305,1.305,4.615,1.368,1.368,17.957,43.336,996.0,2.97,1.102,18.249,12.436,0.108,0.127,1.203,1.203,3.869,3.869,-0.801,-0.801,14.889,3.651,37.5,3.434,92.0,13.794,13.794,13.794,13.794,13.794,1,2,0,1.567,3.515,1.017,12.052,1.326,1.63,1.63,1,4.074,43.009,3.832,9.593,165.16,9.338,3.851,-0.896,-0.896,1.022,0.751,41.629,-0.475,-0.475,122.211,11.448,1.11,5.561,1.101,26.379,22.0,0,243.814,7.071,1.006,1.006,1.432,5.361,0.145,41.592,41.865,5.412,18.679
5.275,1,1,1,1.0,0,0,0.635,1,5,45.8,3.524,10.319,0.987,14,0.224,1,0,1.091,2.129,3.45,2.0,3.696,3.696,0.822,8.502,1.295,3.567,0.244,1.0,13.678,4.221,0.263,8.426,0.27,0.735,3.668,0,15.75,0.432,8.106,17.112,21.095,0.247,16.414,0.123,16.643,16.643,16.643,16.643,16.643,1.477,4.268,24.284,197.774,32.057,100.774,9.384,0.384,6.12,-0.548,10.158,3.957,3.671,7.402,211.284,13.903,0.336,0.336,4.569,1.121,1.121,19.104,43.785,984.0,3.009,0.98,17.82,12.167,0.123,0.137,1.0,1.0,4.102,4.102,-1.073,-1.073,14.997,3.584,35.0,3.424,90.0,13.123,13.123,13.123,13.123,13.123,2,2,0,1.563,3.48,0.816,11.375,1.119,1.473,1.473,1,4.041,43.143,3.814,10.31,165.7,9.035,3.915,-1.345,-1.345,1.0,0.61,40.248,-0.83,-0.83,113.457,11.617,1.308,5.696,1.239,32.758,22.0,0,217.284,6.04,0.74,0.74,1.525,5.352,0.16,40.312,41.022,6.321,23.457
5.36,1,1,1,1.0,1,1,0.603,1,5,50.8,3.653,15.22,1.078,7,0.247,0,0,1.182,2.515,3.598,2.298,3.679,3.679,1.153,8.589,1.628,3.917,0.234,1.295,15.757,5.255,0.232,10.204,0.221,0.607,3.846,0,18.0,0.406,9.466,19.896,21.829,0.224,19.997,0.11,19.499,19.499,19.499,19.499,19.499,1.363,5.348,31.427,263.792,38.034,117.003,11.464,1.029,7.12,0.084,10.258,4.086,4.001,7.439,295.302,16.723,1.848,1.848,4.768,1.49,1.49,24.715,46.859,1403.0,3.09,1.591,20.774,13.956,0.107,0.119,1.305,1.305,5.136,5.136,0.791,0.791,17.464,3.714,40.0,3.737,127.0,15.15,15.15,15.15,15.15,15.15,1,2,0,1.729,3.658,1.155,13.469,1.518,1.807,1.807,1,4.264,48.623,3.97,11.683,198.082,10.189,4.338,0.141,0.141,1.0,0.805,45.763,-0.172,-0.172,132.881,12.263,1.27,5.679,1.26,39.697,30.0,0,298.056,9.253,1.0,1.0,1.692,5.46,0.141,45.798,46.151,6.989,22.155
5.013,1,1,1,1.0,1,1,0.624,1,0,45.5,3.624,7.491,1.007,13,0.25,1,0,1.098,2.05,3.212,2.0,3.837,3.837,0.653,8.359,1.479,3.634,0.231,1.0,13.094,4.503,0.256,8.137,0.213,0.573,3.802,1,15.25,0.408,7.141,16.167,20.486,0.242,17.107,0.12,15.999,15.999,15.999,15.999,15.999,1.062,4.466,21.174,181.486,28.478,91.041,9.477,0.196,5.75,-0.694,9.98,3.906,3.392,7.204,197.95,13.901,1.992,1.992,4.507,1.048,1.048,17.232,41.221,770.0,2.927,0.943,16.822,11.542,0.117,0.148,1.0,1.0,2.916,2.916,-1.522,-1.522,14.258,3.57,34.5,3.222,84.0,12.833,12.833,12.833,12.833,12.833,1,3,1,1.513,3.389,0.666,10.996,1.044,1.199,1.199,1,4.012,40.308,3.758,8.1,151.693,8.399,3.717,-1.779,-1.779,1.0,0.673,39.018,-1.0,-1.0,100.039,10.54,1.107,5.837,1.062,23.53,20.0,1,203.46,4.424,1.0,1.0,1.52,5.283,0.158,39.0,39.346,4.956,24.721
4.573,1,1,1,1.0,0,0,0.607,1,7,52.4,3.461,10.735,0.942,14,0.351,1,0,1.392,2.243,2.472,1.449,3.466,3.466,0.275,8.388,1.416,3.213,0.141,0.472,11.831,3.985,0.305,8.875,0.258,0.786,3.656,0,12.25,0.522,5.197,14.217,12.747,0.25,16.008,0.145,13.983,13.983,13.983,13.983,13.983,0.62,6.108,11.67,145.458,28.273,87.407,8.331,0.102,6.831,-0.851,10.106,3.767,3.583,7.191,178.477,13.889,0.203,0.203,4.278,1.257,1.257,21.112,34.869,354.0,2.775,0.642,15.403,9.843,0.14,0.151,0.517,0.517,3.044,3.044,-1.917,-1.917,12.78,3.367,28.0,3.024,41.0,11.394,11.394,11.394,11.394,11.394,0,1,0,1.458,3.474,0.747,9.307,1.236,1.361,1.361,1,3.951,35.633,3.808,7.45,112.529,7.968,3.956,-2.221,-2.221,0.237,0.611,34.647,-1.094,-1.094,86.439,8.792,1.167,5.466,1.122,32.399,22.0,0,200.477,7.345,0.367,0.367,1.343,5.187,0.187,34.578,34.38,3.355,7.384
4.573,1,1,1,1.0,1,1,0.602,1,4,47.8,3.597,6.619,1.126,2,0.255,1,0,1.245,2.0,3.166,1.952,3.815,3.815,0.959,8.19,1.38,3.636,0.229,0.946,12.831,4.751,0.266,8.045,0.256,0.685,3.759,0,15.25,0.426,9.353,16.539,18.637,0.248,16.296,0.124,16.181,16.181,16.181,16.181,16.181,1.256,3.708,24.222,212.574,28.693,92.229,10.08,0.173,5.917,-0.793,9.797,3.893,3.347,7.006,221.329,12.929,0.41,0.41,4.513,1.0,1.0,19.286,37.888,848.0,2.968,0.954,16.642,11.613,0.119,0.153,1.0,1.0,2.661,2.661,-1.059,-1.059,14.841,3.497,32.0,3.147,112.0,12.32,12.32,12.32,12.32,12.32,1,2,1,1.513,3.343,0.613,10.911,1.0,1.207,1.207,1,4.044,37.167,3.664,8.35,161.842,7.535,3.718,-1.802,-1.802,1.0,0.666,35.692,-0.905,-0.905,104.039,9.827,1.142,5.815,1.14,25.344,22.0,0,221.329,3.926,1.0,1.0,1.601,5.187,0.163,35.711,35.772,7.157,20.48
4.451,0,0,0,1.0,0,0,0.658,0,4,40.0,3.864,13.117,0.924,6,0.238,0,0,1.237,2.654,4.056,2.548,4.169,4.169,2.5,8.86,1.672,4.77,0.246,1.491,20.519,6.574,0.18,11.902,0.133,0.345,3.918,0,24.25,0.317,10.626,24.863,31.324,0.193,26.929,0.084,24.344,24.344,24.344,24.344,24.344,2.244,6.808,55.074,286.413,40.227,131.634,14.027,1.984,6.211,0.983,10.503,4.322,3.939,7.722,308.413,20.929,2.779,2.779,5.103,1.688,1.688,21.438,64.41,2598.0,3.206,2.0,24.969,17.422,0.083,0.104,1.613,1.613,5.695,5.695,2.275,2.275,22.031,3.951,51.0,3.952,213.0,19.651,19.651,19.651,19.651,19.651,2,3,0,1.538,3.728,1.275,16.133,1.626,2.101,2.101,0,4.332,62.566,4.143,10.61,236.581,13.735,4.179,2.275,2.275,1.722,0.894,60.092,0.989,0.989,172.117,16.033,1.429,6.169,1.376,39.882,24.0,1,312.413,8.106,1.346,1.346,1.696,5.733,0.109,60.003,60.744,7.323,36.916
4.923,1,0,0,1.0,0,0,0.668,1,4,40.8,3.744,7.567,0.866,6,0.189,0,0,1.106,2.405,3.539,2.315,3.665,3.665,1.569,8.559,1.517,4.158,0.301,1.286,16.423,5.816,0.205,9.358,0.175,0.472,3.847,3,18.75,0.327,8.718,20.51,23.316,0.213,21.959,0.097,20.093,20.093,20.093,20.093,20.093,1.464,4.271,31.47,186.386,34.023,109.522,12.252,1.228,6.949,0.265,10.2,4.11,3.922,7.331,227.246,16.151,2.275,2.275,4.812,1.416,1.416,15.809,48.165,1442.0,2.959,2.0,20.245,14.225,0.094,0.115,1.357,1.357,4.087,4.087,1.315,1.315,17.267,3.818,44.5,3.652,132.0,15.825,15.825,15.825,15.825,15.825,1,3,0,1.495,3.575,1.122,13.765,1.399,1.618,1.618,0,4.108,47.888,3.887,9.067,156.545,10.327,3.95,0.714,0.714,1.064,0.705,46.941,-0.091,-0.091,132.881,12.328,1.107,5.665,1.091,21.157,20.0,0,248.366,7.877,1.042,1.042,1.572,5.468,0.128,46.906,47.257,5.686,38.261
4.456,1,1,0,1.0,0,0,0.648,1,24,45.3,3.93,13.531,0.92,11,0.238,0,0,1.176,2.346,4.163,2.0,4.689,4.689,1.576,8.583,1.513,3.843,0.243,1.0,15.834,5.248,0.236,11.846,0.245,0.712,3.9,0,17.0,0.405,9.553,19.921,17.483,0.223,20.167,0.11,19.524,19.524,19.524,19.524,19.524,1.243,7.495,23.272,222.851,37.046,117.621,11.528,1.396,5.883,0.396,10.235,4.084,4.289,7.46,250.07,16.874,1.927,1.927,4.772,1.341,1.341,25.406,47.098,1451.0,2.996,1.602,20.521,13.958,0.101,0.151,1.0,1.0,3.721,3.721,1.353,1.353,17.031,3.773,42.5,4.145,91.0,15.164,15.164,15.164,15.164,15.164,1,3,0,1.653,3.705,1.699,12.516,1.345,1.547,1.547,1,4.142,47.499,3.968,9.833,181.498,10.262,4.239,0.578,0.578,1.0,0.749,45.736,-0.143,-0.143,124.127,12.38,1.179,6.689,1.151,38.846,24.0,0,260.07,15.389,0.97,0.97,1.594,5.46,0.139,45.797,46.042,7.095,15.763
5.176,1,1,1,1.0,1,1,0.647,1,0,43.9,3.616,7.14,0.97,5,0.255,1,0,1.19,2.0,3.343,1.979,4.076,4.076,0.555,8.199,1.442,3.612,0.234,0.974,13.093,4.552,0.262,8.17,0.219,0.595,3.788,0,15.25,0.415,7.717,16.299,20.439,0.243,16.989,0.123,15.87,15.87,15.87,15.87,15.87,1.233,4.081,20.11,167.66,27.875,87.915,9.634,0.521,5.546,-0.428,9.783,3.874,3.417,7.045,179.66,13.162,0.484,0.484,4.473,1.02,1.02,16.284,39.448,725.0,2.925,0.789,16.304,11.258,0.118,0.163,1.0,1.0,2.667,2.667,-0.513,-0.513,14.432,3.512,32.5,3.191,87.0,12.309,12.309,12.309,12.309,12.309,0,3,0,1.417,3.355,0.615,10.507,1.0,1.247,1.247,1,3.921,37.364,3.682,7.41,140.357,7.995,3.618,-1.0,-1.0,1.0,0.578,36.201,-0.89,-0.89,94.042,9.625,1.081,6.076,1.062,22.745,18.0,0,179.66,4.204,0.676,0.676,1.526,5.209,0.162,36.04,37.805,5.425,26.378
4.456,1,1,1,1.0,1,1,0.589,1,0,52.9,3.359,6.511,1.133,2,0.258,1,0,1.039,0.561,1.444,0.188,3.408,3.408,-0.5,7.808,1.189,2.639,0.215,-0.452,8.566,2.841,0.409,5.636,0.489,1.519,3.55,0,9.75,0.646,6.205,10.981,16.055,0.322,9.652,0.192,10.447,10.447,10.447,10.447,10.447,-0.11,2.255,9.938,141.954,21.625,66.203,6.348,-0.887,4.876,-1.598,9.454,3.47,3.317,6.653,143.954,8.263,-2.0,-2.0,3.882,-0.362,-0.362,15.55,23.909,280.0,2.582,-0.446,11.218,7.579,0.181,0.213,-0.63,-0.63,0.324,0.324,-4.477,-4.477,9.67,2.996,19.0,2.278,38.0,7.808,7.808,7.808,7.808,7.808,0,1,0,1.417,3.045,0.356,6.895,-0.301,0.195,0.195,0,3.705,24.618,3.299,7.226,104.37,4.549,3.569,-5.276,-5.276,-0.779,0.427,22.906,-1.871,-1.871,62.0,6.587,0.802,5.408,0.776,21.87,18.0,0,143.954,4.747,-0.848,-0.848,1.239,4.762,0.251,22.863,22.908,5.218,20.614
5.149,1,1,0,1.0,0,0,0.655,1,2,41.2,3.719,11.199,0.93,3,0.249,0,0,1.106,2.56,3.831,2.392,4.47,4.47,1.271,8.776,1.576,3.936,0.226,1.373,17.52,5.416,0.22,10.574,0.201,0.57,3.85,2,19.75,0.371,8.148,20.351,24.672,0.216,21.383,0.102,19.679,19.679,19.679,19.679,19.679,1.543,6.41,26.68,231.519,34.552,111.113,11.38,0.906,6.93,-0.062,10.471,4.13,4.117,7.64,251.029,17.507,2.805,2.805,4.809,1.593,1.593,21.232,51.464,1398.0,3.183,1.984,20.862,14.253,0.096,0.135,1.417,1.417,5.092,5.092,2.136,2.136,17.671,3.761,42.0,3.768,107.0,16.306,16.306,16.306,16.306,16.306,1,3,0,1.513,3.616,1.626,13.178,1.521,1.798,1.798,1,4.159,52.269,3.982,9.945,191.784,10.958,4.14,-0.166,-0.166,1.334,0.999,50.802,-0.23,-0.23,138.452,13.965,1.342,6.47,1.346,33.444,21.0,0,253.029,10.687,1.171,1.171,1.468,5.572,0.13,50.607,51.154,5.718,33.289
4.877,1,1,1,1.0,1,1,0.609,1,7,49.2,3.775,12.502,1.064,8,0.273,0,0,1.293,2.452,3.88,2.31,4.726,4.726,1.37,8.68,1.558,4.023,0.206,1.301,16.145,5.251,0.24,11.901,0.21,0.567,3.888,4,18.5,0.425,9.802,20.445,22.197,0.22,20.572,0.11,20.048,20.048,20.048,20.048,20.048,1.464,7.561,33.342,279.792,38.381,118.269,11.635,0.982,6.885,0.048,10.366,4.117,3.967,7.542,301.566,17.813,2.136,2.136,4.812,1.471,1.471,26.715,49.508,1532.0,3.131,1.858,21.407,14.379,0.101,0.148,1.328,1.328,4.052,4.052,0.791,0.791,18.12,3.75,41.5,3.831,142.0,15.593,15.593,15.593,15.593,15.593,2,2,0,1.725,3.702,1.226,13.107,1.435,1.61,1.61,1,4.264,49.927,4.016,10.933,217.094,11.087,4.145,0.129,0.129,1.239,0.868,47.204,-0.182,-0.182,141.207,12.781,1.355,6.726,1.302,41.164,29.0,0,305.566,9.005,1.0,1.0,1.605,5.501,0.139,47.221,47.259,7.377,22.739
5.118,0,0,0,0.5,0,0,0.634,1,1,44.4,3.766,12.24,0.984,3,0.257,0,1,1.218,2.726,3.971,2.489,4.439,4.439,2.103,8.78,1.598,4.559,0.226,1.467,19.901,6.588,0.188,12.6,0.16,0.421,3.78,1,23.0,0.328,11.297,24.326,22.634,0.2,24.967,0.089,23.56,23.56,23.56,23.56,23.56,1.941,6.384,44.065,314.039,41.875,134.751,14.055,1.818,7.339,0.809,10.444,4.281,4.1,7.632,336.304,19.926,3.064,3.064,5.05,1.801,1.801,27.782,61.554,2382.0,3.217,2.077,24.547,16.884,0.085,0.117,1.524,1.524,6.057,6.057,2.391,2.391,21.017,3.932,50.0,3.876,219.0,18.736,18.736,18.736,18.736,18.736,2,2,0,1.705,3.765,1.351,15.674,1.647,2.053,2.053,0,4.359,59.488,4.091,12.283,247.706,12.297,4.277,1.584,1.584,1.648,0.971,56.933,0.583,0.583,177.525,15.174,1.49,6.439,1.475,39.711,28.0,0,342.304,9.599,1.473,1.473,1.706,5.666,0.114,56.896,57.391,8.168,18.806
4.451,1,1,1,1.0,1,1,0.641,1,0,44.1,3.568,4.26,0.944,4,0.219,1,1,1.058,1.554,2.937,1.29,3.546,3.546,0.005,7.812,1.291,3.371,0.267,0.328,10.61,3.872,0.276,6.378,0.231,0.587,3.673,0,12.75,0.374,7.164,13.27,16.486,0.273,13.405,0.134,12.845,12.845,12.845,12.845,12.845,0.618,2.792,15.601,150.974,22.904,74.324,8.01,-0.347,4.722,-1.113,9.318,3.667,3.047,6.64,158.974,10.079,-1.468,-1.468,4.196,0.618,0.618,12.337,29.25,464.0,2.574,0.236,13.144,9.237,0.128,0.177,0.36,0.36,2.275,2.275,-2.874,-2.874,11.293,3.314,26.5,2.854,58.0,9.899,9.899,9.899,9.899,9.899,1,2,1,1.298,3.124,0.447,8.547,0.577,1.0,1.0,0,3.756,28.629,3.42,5.793,125.812,5.905,3.184,-3.0,-3.0,0.166,0.517,28.356,-1.362,-1.362,76.711,7.902,0.853,5.546,0.832,15.502,15.0,0,158.974,3.569,0.046,0.046,1.403,4.949,0.182,28.225,28.525,5.241,18.971
5.213,1,0,0,1.0,0,0,0.69,1,5,39.1,3.685,8.156,0.822,19,0.187,0,0,1.1,2.405,3.629,2.0,3.672,3.672,1.316,8.375,1.517,4.134,0.299,1.0,15.267,5.594,0.217,9.042,0.182,0.469,3.793,2,16.75,0.341,9.768,19.24,11.358,0.223,20.167,0.101,18.982,18.982,18.982,18.982,18.982,1.483,4.165,28.857,176.759,33.08,110.576,11.638,0.932,6.177,-0.054,9.958,4.058,3.615,7.172,216.11,15.108,2.136,2.136,4.752,1.414,1.414,12.814,45.525,1332.0,2.925,1.75,19.261,13.614,0.1,0.122,1.0,1.0,3.573,3.573,0.877,0.877,16.352,3.761,42.0,3.445,134.0,14.831,14.831,14.831,14.831,14.831,2,3,0,1.533,3.556,0.772,12.974,1.398,1.526,1.526,1,4.001,44.365,3.845,8.143,136.62,9.284,3.843,-0.134,-0.134,1.0,0.541,43.464,-0.224,-0.224,126.606,11.833,1.107,5.672,1.062,19.24,18.0,0,233.329,6.599,1.0,1.0,1.555,5.38,0.134,43.322,44.177,6.878,12.656
4.451,1,1,1,1.0,0,0,0.615,1,0,50.0,3.458,5.283,0.987,0,0.349,0,0,1.032,0.0,0.778,-0.328,4.88,4.88,0.0,7.463,0.868,2.454,0.121,-1.047,7.074,2.311,0.467,5.582,0.444,1.285,3.116,0,7.75,0.671,5.053,8.677,9.565,0.357,7.86,0.22,8.259,8.259,8.259,8.259,8.259,0.015,3.552,6.107,97.457,17.779,58.51,4.935,0.0,2.565,0.0,8.991,3.261,2.535,6.405,97.457,7.211,-4.372,-4.372,3.584,-1.0,-1.0,16.889,21.815,149.0,2.097,-0.86,9.142,6.109,0.193,0.375,-1.225,-1.225,-1.284,-1.284,-6.274,-6.274,7.946,2.773,15.0,1.421,22.0,6.369,6.369,6.369,6.369,6.369,2,1,0,0.883,2.916,0.186,5.217,-0.961,-0.548,-0.548,0,3.434,19.739,3.152,4.733,75.192,4.086,2.985,0.0,0.0,-0.97,0.369,19.161,0.0,0.0,44.106,5.479,0.505,6.575,0.423,20.275,13.0,0,97.457,2.217,-1.427,-1.427,0.811,4.554,0.287,19.03,19.18,4.321,8.17
