pXC50,MATS2i,SssNH,CATS2D_04_DL,JGI1,nCrs,C.002,P_VSA_i_4,P_VSA_e_3,JGI7,NssCH2,NssNH,C.028,MATS3v,Chi1_EA.ed.,Chi0_EA.ed.,SaaN,nArCN,nTB,NtN,StN,NtsC,StsC,BLI,GATS3v,GMTI,GATS5v,NNRS,nCIR,CATS2D_06_LL,Rbrid,SpMAD_AEA.dm.,Eta_FL_A,GATS3p,ALOGP,ALOGP2,ATS3i,Yindex,JGI6,AMR,IDMT,SpMax2_Bh.p.,Eig15_EA.bo.,CATS2D_05_LL,SpMax7_Bh.m.,ON1V,Eta_alpha,RBN,JGT,Eig14_EA,SM08_AEA.dm.,CATS2D_06_AA,DLS_02,MATS5v,SpMax8_Bh.m.,SpMin1_Bh.p.,C.026,D.Dtr10,Eig12_EA.ed.,SM07_AEA.ri.,IAC,TIC0,GATS2p,GATS2v,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.
8.0,-0.125,3.834,5,0.087,8,11,51.582,51.582,0.007,13,1,4,0.119,7.239,15.146,9.979,0,0,0,0.0,0,0.0,1.091,0.86,22328.0,1.168,0.333,12,28,4,1.568,0.198,0.894,8.341,69.571,5.471,0.31,0.012,149.317,38885.7,4.024,1.067,26,3.18,5.013,17.533,8,0.268,1.247,1.247,0,0.5,-0.169,3.065,2.163,2,535.982,2.943,2.943,91.19,91.19,1.084,1.041,24.811,24.811,24.811
7.959,-0.038,7.562,9,0.133,8,10,72.717,72.717,0.011,14,2,4,0.068,7.902,16.562,9.907,0,0,0,0.0,0,0.0,1.047,0.901,31949.0,1.066,0.333,12,22,4,1.507,0.203,0.91,8.102,65.634,5.597,0.287,0.014,169.854,60008.3,4.024,1.402,16,3.402,5.442,19.929,10,0.354,1.347,1.347,0,0.33,-0.094,3.297,2.163,4,663.177,3.329,3.329,111.793,111.793,0.927,0.941,27.62,27.62,27.62
8.699,-0.096,7.497,8,0.111,8,10,72.717,72.717,0.008,14,2,4,0.083,7.982,16.84,9.916,0,0,0,0.0,0,0.0,1.015,0.891,31269.0,1.117,0.333,12,20,4,1.508,0.213,0.905,6.032,36.389,5.621,0.299,0.01,164.515,58634.7,4.018,1.482,20,3.332,5.617,19.333,10,0.317,1.247,1.247,0,0.5,-0.131,3.124,2.164,2,674.228,3.262,3.262,109.285,109.285,1.073,1.03,27.88,27.88,27.88
7.896,-0.14,0.0,5,0.139,4,4,49.683,49.683,0.009,4,0,2,0.078,2.985,6.356,4.673,0,0,0,0.0,0,0.0,1.001,0.865,1798.0,1.157,0.333,6,7,2,1.539,0.226,0.886,3.454,11.933,4.526,1.058,0.013,66.543,2591.95,3.657,-2.203,7,2.51,1.92,8.014,0,0.382,-1.529,-1.529,0,0.83,-0.222,2.163,2.152,2,85.609,-3.024,-3.024,42.67,42.67,0.925,0.908,10.914,10.914,10.914
6.125,0.357,0.0,0,0.25,0,1,6.249,6.249,0.016,2,0,0,-0.248,3.591,7.762,0.0,0,1,0,0.0,1,2.635,0.983,1.282,3294.0,0.911,1.0,1,4,0,1.528,0.238,1.357,3.764,14.168,4.673,1.02,0.02,80.956,6756.55,3.547,-1.503,4,2.716,2.331,9.467,6,0.516,-1.0,-1.0,1,1.0,0.078,2.598,2.032,1,0.0,-2.0,-2.0,60.37,60.37,0.744,0.785,12.853,12.853,12.853
5.561,0.076,3.23,2,0.205,0,3,21.135,21.135,0.013,5,1,0,-0.07,4.358,9.297,0.0,0,1,0,0.0,1,2.565,1.057,1.072,4580.0,0.918,1.0,1,6,0,1.452,0.206,1.129,4.557,20.764,4.923,0.919,0.015,89.535,9613.46,3.564,-1.339,4,2.76,3.072,10.467,9,0.433,-1.0,-1.0,0,1.0,0.042,2.66,2.028,1,0.0,-0.681,-0.681,66.808,66.808,1.021,1.016,14.637,14.637,14.637
6.114,0.249,3.339,2,0.214,4,3,21.135,21.135,0.018,4,1,0,-0.178,3.803,8.058,0.0,0,1,0,0.0,1,2.603,0.968,1.185,3523.0,0.943,0.5,3,4,1,1.531,0.228,1.258,3.41,11.629,4.745,0.792,0.022,78.824,6531.63,3.5,-1.47,4,2.682,2.332,9.467,4,0.464,-1.0,-1.0,0,1.0,0.045,2.499,2.09,1,88.009,-1.993,-1.993,58.439,58.439,0.87,0.89,13.301,13.301,13.301
5.824,0.243,0.0,0,0.238,0,1,6.249,6.249,0.015,3,0,0,-0.126,3.74,8.262,0.0,0,1,0,0.0,1,2.642,1.019,1.146,3803.0,0.815,1.0,1,6,0,1.492,0.226,1.196,4.113,16.915,4.788,0.998,0.019,85.704,7932.31,3.547,-1.445,4,2.766,2.731,9.967,7,0.503,-1.0,-1.0,1,1.0,0.137,2.715,2.032,1,0.0,-0.919,-0.919,63.607,63.607,0.833,0.854,13.723,13.723,13.723
5.631,0.195,3.447,1,0.238,3,2,21.135,21.135,0.02,2,1,0,-0.127,3.542,7.618,0.0,0,1,0,0.0,1,2.707,1.081,1.128,3350.0,0.939,0.5,3,5,1,1.648,0.209,1.146,4.025,16.198,4.713,0.852,0.024,84.931,6303.09,3.547,-1.601,10,2.728,2.374,9.967,4,0.514,-1.0,-1.0,0,1.0,0.048,2.499,1.962,1,0.0,-2.0,-2.0,60.439,60.439,0.832,0.814,13.093,13.093,13.093
6.174,0.102,0.0,0,0.192,6,6,6.249,6.249,0.01,7,0,0,-0.099,4.724,10.117,0.0,0,1,0,0.0,1,2.666,1.059,1.113,6930.0,0.827,1.0,2,8,0,1.514,0.188,1.152,5.622,31.61,5.158,0.677,0.017,101.97,13710.6,3.753,-0.826,4,2.866,3.531,11.967,7,0.433,-0.593,-0.593,1,1.0,0.108,2.86,2.05,1,0.0,-0.48,-0.48,74.529,74.529,0.996,0.999,16.629,16.629,16.629
6.538,0.145,3.348,2,0.205,4,3,21.135,21.135,0.017,5,1,0,-0.067,3.952,8.557,0.0,0,1,0,0.0,1,2.609,1.003,1.064,4060.0,0.832,0.5,3,6,1,1.497,0.217,1.116,3.759,14.13,4.852,0.767,0.02,83.572,7687.79,3.502,-1.364,4,2.747,2.732,9.967,5,0.451,-1.0,-1.0,0,1.0,0.122,2.665,2.09,1,94.62,-0.99,-0.99,61.735,61.735,0.947,0.949,14.171,14.171,14.171
5.267,0.176,0.0,2,0.211,4,3,36.022,36.022,0.02,4,0,0,-0.016,3.189,6.949,0.0,0,0,0,0.0,0,0.0,1.015,1.037,2541.0,0.867,0.5,3,2,1,1.514,0.201,1.118,2.27,5.153,4.755,0.885,0.025,71.063,4435.03,3.457,-1.821,1,2.567,2.468,8.467,3,0.496,-1.371,-1.371,0,1.0,0.052,2.537,2.088,1,76.084,-2.548,-2.548,55.68,55.68,0.967,0.951,11.939,11.939,11.939
6.62,0.239,3.207,2,0.237,0,1,21.135,21.135,0.016,2,1,0,-0.162,3.486,7.482,0.0,0,1,0,0.0,1,2.615,0.979,1.164,3025.0,0.944,1.0,1,5,0,1.482,0.239,1.242,3.228,10.421,4.622,0.946,0.019,75.662,6016.94,3.547,-1.813,3,2.624,2.214,8.967,6,0.478,-1.319,-1.319,0,1.0,0.032,2.575,2.02,1,0.0,-2.0,-2.0,57.089,57.089,0.862,0.879,12.353,12.353,12.353
6.268,0.181,3.119,2,0.184,0,1,21.135,21.135,0.014,4,1,0,-0.063,3.726,8.048,0.0,0,1,0,0.0,1,2.524,1.0,1.057,3049.0,0.831,1.0,1,5,0,1.438,0.241,1.135,3.199,10.236,4.631,0.944,0.017,75.991,6058.06,3.462,-1.871,2,2.698,2.364,8.967,7,0.401,-1.305,-1.305,0,1.0,0.1,2.585,2.019,1,0.0,-2.046,-2.046,57.089,57.089,0.928,0.945,12.776,12.776,12.776
5.684,0.099,3.224,2,0.214,0,2,21.135,21.135,0.013,4,1,0,-0.084,4.064,8.772,0.0,0,1,0,0.0,1,2.56,1.036,1.082,3947.0,1.016,1.0,1,6,0,1.469,0.216,1.142,4.101,16.815,4.834,0.951,0.016,84.934,8177.68,3.513,-1.4,4,2.756,2.822,9.967,8,0.449,-1.0,-1.0,0,1.0,-0.043,2.591,2.028,1,0.0,-0.918,-0.918,63.607,63.607,0.987,0.983,13.93,13.93,13.93
6.032,0.126,3.216,2,0.225,0,1,21.135,21.135,0.015,3,1,0,-0.086,3.769,8.167,0.0,0,1,0,0.0,1,2.555,1.013,1.079,3398.0,0.883,1.0,1,6,0,1.46,0.228,1.13,3.577,12.794,4.738,0.979,0.017,80.41,6933.03,3.509,-1.447,4,2.745,2.572,9.467,7,0.463,-1.0,-1.0,0,1.0,0.07,2.586,2.027,1,0.0,-1.802,-1.802,60.37,60.37,0.948,0.945,13.223,13.223,13.223
4.9,0.262,0.0,1,0.229,4,2,3.124,3.124,0.026,4,0,0,-0.047,3.676,7.995,0.0,0,0,0,0.0,0,0.0,0.946,1.065,3573.0,1.083,0.25,12,1,4,1.555,0.198,1.111,1.443,2.081,4.953,0.933,0.025,82.305,5777.72,3.632,-1.0,5,2.704,2.522,9.9,1,0.509,-0.824,-0.824,1,1.0,-0.108,2.632,2.019,2,46.668,-0.529,-0.529,59.997,59.997,0.833,0.807,14.281,14.281,14.281
6.886,-0.009,0.0,0,0.144,6,8,10.047,10.047,0.015,14,0,0,-0.074,8.185,16.99,0.0,0,0,0,0.0,0,0.0,1.041,1.066,38097.0,0.943,1.0,6,18,0,1.473,0.223,1.06,7.49,56.1,5.645,0.229,0.015,169.841,70686.4,3.882,1.249,22,3.269,5.722,19.6,9,0.305,1.0,1.0,0,0.5,0.059,3.084,2.122,2,0.0,2.701,2.701,102.622,102.622,1.03,1.035,28.032,28.032,28.032
7.335,0.016,7.286,4,0.111,4,6,52.807,52.807,0.008,10,2,2,0.037,6.464,13.703,4.932,0,0,0,0.0,0,0.0,0.971,0.96,17687.0,1.09,0.4,9,14,3,1.502,0.23,1.01,4.926,24.263,5.276,0.33,0.012,126.308,30909.5,3.869,0.571,15,3.124,4.079,15.2,9,0.298,0.85,0.85,0,1.0,-0.12,3.033,2.163,4,257.133,2.636,2.636,91.267,91.267,0.974,0.951,22.56,22.56,22.56
7.525,0.005,7.306,6,0.108,4,7,52.807,52.807,0.008,11,2,2,0.042,6.714,14.203,4.939,0,0,0,0.0,0,0.0,0.985,0.958,19810.0,1.084,0.4,9,17,3,1.498,0.223,1.007,5.382,28.965,5.334,0.31,0.011,130.909,35063.5,3.869,0.729,15,3.14,4.329,15.7,10,0.291,0.884,0.884,0,0.83,-0.11,3.056,2.163,4,273.249,2.719,2.719,94.573,94.573,0.995,0.972,23.267,23.267,23.267
8.285,-0.005,7.322,6,0.105,4,8,52.807,52.807,0.007,12,2,2,0.046,6.964,14.703,4.944,0,0,0,0.0,0,0.0,0.999,0.956,22081.0,1.076,0.4,9,17,3,1.49,0.216,1.004,5.838,34.083,5.388,0.293,0.011,135.51,39573.3,3.87,0.843,15,3.154,4.579,16.2,11,0.285,0.893,0.893,0,0.67,-0.1,3.082,2.163,4,289.446,2.787,2.787,97.848,97.848,1.015,0.992,23.974,23.974,23.974
8.012,-0.015,7.334,6,0.103,4,9,52.807,52.807,0.007,13,2,2,0.049,7.214,15.203,4.949,0,0,0,0.0,0,0.0,1.011,0.955,24504.0,1.07,0.4,9,17,3,1.486,0.21,1.002,6.294,39.618,5.44,0.278,0.011,140.111,44453.5,3.87,0.909,15,3.17,4.829,16.7,12,0.279,0.919,0.919,0,0.67,-0.09,3.106,2.163,4,305.723,2.861,2.861,101.094,101.094,1.033,1.01,24.681,24.681,24.681
8.1,-0.024,7.344,6,0.1,4,10,52.807,52.807,0.007,14,2,2,0.051,7.464,15.703,4.953,0,0,0,0.0,0,0.0,1.024,0.955,27083.0,1.064,0.4,9,17,3,1.479,0.204,1.001,6.751,45.569,5.49,0.265,0.01,144.712,49718.6,3.87,0.93,16,3.191,5.079,17.2,13,0.273,1.0,1.0,0,0.67,-0.083,3.125,2.163,4,322.079,2.902,2.902,104.314,104.314,1.05,1.027,25.388,25.388,25.388
7.945,-0.032,7.353,6,0.098,4,11,52.807,52.807,0.007,15,2,2,0.053,7.714,16.203,4.957,0,0,0,0.0,0,0.0,1.035,0.954,29822.0,1.058,0.4,9,18,3,1.475,0.199,0.999,7.207,51.937,5.537,0.254,0.01,149.313,55383.3,3.87,0.947,17,3.215,5.329,17.7,14,0.267,1.076,1.076,0,0.67,-0.076,3.141,2.163,4,338.51,2.902,2.902,107.512,107.512,1.066,1.042,26.095,26.095,26.095
8.587,0.03,7.319,6,0.118,4,8,52.807,52.807,0.008,11,2,2,0.056,6.892,15.0,4.945,0,0,0,0.0,0,0.0,1.017,0.956,22172.0,1.093,0.5,7,17,2,1.466,0.216,1.008,6.037,36.448,5.415,0.334,0.011,142.669,43370.5,3.857,0.507,15,3.144,4.746,16.7,13,0.315,0.79,0.79,0,0.67,-0.118,3.088,2.163,4,315.798,2.641,2.641,102.978,102.978,0.979,0.963,24.56,24.56,24.56
8.45,0.019,7.331,6,0.115,4,9,52.807,52.807,0.008,12,2,2,0.058,7.142,15.5,4.95,0,0,0,0.0,0,0.0,1.03,0.956,24597.0,1.087,0.5,7,17,2,1.461,0.21,1.006,6.493,42.164,5.466,0.317,0.011,147.27,48572.0,3.857,0.658,15,3.144,4.996,17.2,14,0.309,0.899,0.899,0,0.67,-0.109,3.118,2.163,4,332.073,2.77,2.77,106.166,106.166,0.998,0.982,25.267,25.267,25.267
8.471,0.009,7.341,6,0.112,4,10,52.807,52.807,0.007,13,2,2,0.06,7.392,16.0,4.954,0,0,0,0.0,0,0.0,1.042,0.956,27178.0,1.081,0.5,7,17,2,1.456,0.204,1.004,6.95,48.297,5.514,0.303,0.011,151.871,54172.2,3.858,0.78,16,3.148,5.246,17.7,15,0.302,1.0,1.0,0,0.67,-0.102,3.144,2.163,4,348.41,2.893,2.893,109.335,109.335,1.017,1.0,25.974,25.974,25.974
8.325,0.0,7.35,6,0.11,4,11,52.807,52.807,0.007,14,2,2,0.061,7.642,16.5,4.958,0,0,0,0.0,0,0.0,1.053,0.956,29919.0,1.076,0.5,7,18,2,1.452,0.199,1.003,7.406,54.846,5.56,0.29,0.01,156.472,60185.9,3.858,0.878,17,3.178,5.496,18.2,16,0.295,1.084,1.084,0,0.67,-0.095,3.144,2.163,4,364.812,2.902,2.902,112.485,112.485,1.034,1.017,26.681,26.681,26.681
8.572,-0.012,7.324,7,0.111,4,8,52.807,52.807,0.007,11,2,2,0.046,6.653,14.269,4.943,0,0,0,0.0,0,0.0,1.03,0.956,19342.0,1.078,0.5,7,18,2,1.46,0.214,0.996,6.054,36.646,5.39,0.333,0.011,136.206,36661.9,3.856,0.5,15,3.09,4.586,15.867,12,0.294,0.687,0.687,0,0.83,-0.099,3.051,2.163,3,290.433,2.538,2.538,94.939,94.939,1.028,1.011,23.19,23.19,23.19
8.259,-0.021,7.336,7,0.108,4,9,52.807,52.807,0.007,12,2,2,0.048,6.903,14.769,4.948,0,0,0,0.0,0,0.0,1.043,0.955,21531.0,1.072,0.5,7,18,2,1.455,0.208,0.994,6.51,42.377,5.441,0.317,0.011,140.807,41259.0,3.856,0.638,15,3.119,4.836,16.367,13,0.287,0.724,0.724,0,0.67,-0.09,3.051,2.163,3,306.162,2.711,2.711,98.09,98.09,1.046,1.029,23.897,23.897,23.897
8.254,-0.03,7.346,7,0.105,4,10,52.807,52.807,0.007,13,2,2,0.05,7.153,15.269,4.952,0,0,0,0.0,0,0.0,1.055,0.955,23868.0,1.067,0.5,7,18,2,1.449,0.202,0.993,6.966,48.525,5.491,0.302,0.01,145.408,46227.5,3.856,0.74,16,3.148,5.086,16.867,14,0.28,0.775,0.775,0,0.67,-0.083,3.054,2.163,3,321.994,2.856,2.856,101.221,101.221,1.063,1.046,24.604,24.604,24.604
8.246,-0.038,7.355,7,0.103,4,11,52.807,52.807,0.007,14,2,2,0.051,7.403,15.769,4.956,0,0,0,0.0,0,0.0,1.066,0.955,26357.0,1.062,0.5,7,19,2,1.445,0.196,0.992,7.422,55.089,5.538,0.29,0.01,150.009,51582.0,3.857,0.801,17,3.177,5.336,17.367,15,0.274,0.852,0.852,0,0.67,-0.077,3.078,2.163,3,337.925,2.902,2.902,104.334,104.334,1.078,1.061,25.311,25.311,25.311
5.866,0.258,0.0,0,0.203,0,2,10.047,10.047,0.018,4,0,0,-0.233,6.474,13.556,0.0,0,0,0,0.0,0,0.0,0.985,1.253,21589.0,0.927,1.0,4,18,0,1.475,0.267,1.268,5.656,31.986,5.268,0.32,0.013,145.558,41901.8,3.877,0.905,18,3.184,4.122,16.6,9,0.41,1.0,1.0,0,0.83,0.07,2.939,2.113,2,0.0,2.275,2.275,87.726,87.726,0.782,0.829,22.894,22.894,22.894
6.562,-0.024,0.0,0,0.138,8,10,10.047,10.047,0.015,16,0,0,-0.035,8.685,17.99,0.0,0,0,0,0.0,0,0.0,1.061,1.033,43113.0,0.859,1.0,6,18,0,1.45,0.212,1.033,8.402,70.6,5.746,0.225,0.013,179.043,82296.5,3.881,1.432,26,3.281,6.222,20.6,9,0.293,1.247,1.247,0,0.5,0.134,3.143,2.114,2,0.0,3.079,3.079,108.767,108.767,1.056,1.06,29.446,29.446,29.446
7.721,-0.146,0.0,4,0.118,4,4,49.683,49.683,0.0,4,0,2,0.032,2.924,6.183,4.697,0,0,0,0.0,0,0.0,0.974,0.926,1569.0,1.116,0.333,6,6,2,1.507,0.235,0.974,2.79,7.784,4.528,1.061,0.013,61.738,2131.14,3.65,-2.561,8,2.467,1.933,7.3,0,0.329,-1.802,-1.802,0,0.67,-0.188,1.78,2.158,1,78.581,-3.218,-3.218,37.473,37.473,1.063,0.996,10.414,10.414,10.414
5.444,0.139,0.0,0,0.177,3,4,3.124,3.124,0.012,7,0,0,-0.12,5.286,11.379,0.0,0,0,0,0.0,0,0.0,0.99,1.128,10824.0,0.939,0.75,5,11,1,1.537,0.217,1.161,4.57,20.882,5.193,0.45,0.018,112.114,19311.7,3.86,-0.114,11,2.899,3.557,13.4,6,0.41,0.259,0.259,1,1.0,0.031,2.866,2.068,2,0.0,1.256,1.256,76.799,76.799,0.923,0.926,19.342,19.342,19.342
7.77,-0.097,0.0,4,0.175,3,3,49.683,49.683,0.018,3,0,2,-0.098,3.1,6.486,4.802,0,0,0,0.0,0,0.0,0.975,1.043,2308.0,1.154,0.25,10,6,4,1.594,0.209,1.073,3.341,11.162,4.634,0.908,0.02,69.263,3104.35,3.779,-1.832,10,2.488,1.997,8.514,0,0.441,-1.377,-1.377,0,0.83,-0.247,2.416,2.124,2,88.096,-2.659,-2.659,43.798,43.798,0.902,0.89,11.602,11.602,11.602
5.07,0.252,0.0,0,0.188,0,0,19.91,19.91,0.015,1,0,1,-0.121,5.591,11.962,4.218,0,0,0,0.0,0,0.0,0.894,1.09,10638.0,0.997,1.0,3,9,0,1.549,0.28,1.21,4.463,19.916,4.947,0.636,0.017,112.991,21397.7,3.764,-0.162,12,2.91,3.011,14.133,8,0.444,0.441,0.441,3,1.0,-0.044,2.722,2.072,1,0.0,2.136,2.136,80.686,80.686,0.823,0.824,20.006,20.006,20.006
8.481,-0.079,7.504,8,0.1,4,6,72.717,72.717,0.008,12,2,4,0.093,8.158,17.308,9.807,0,0,0,0.0,0,0.0,0.987,0.88,31441.0,1.1,0.333,12,20,4,1.479,0.237,0.89,6.05,36.601,5.567,0.297,0.01,165.556,58990.0,4.033,1.473,20,3.308,5.225,19.333,12,0.286,1.247,1.247,0,0.5,-0.114,3.119,2.195,2,675.111,3.143,3.143,107.285,107.285,1.045,1.022,28.25,28.25,28.25
9.167,-0.027,3.83,4,0.102,8,11,54.706,54.706,0.008,15,1,4,0.075,7.976,16.705,9.99,0,0,0,0.0,0,0.0,1.099,0.915,31660.0,1.141,0.333,12,22,4,1.552,0.193,0.937,8.086,65.38,5.607,0.268,0.01,167.6,58036.7,4.025,1.446,25,3.34,5.663,19.433,11,0.296,1.247,1.247,0,0.33,-0.128,3.147,2.163,2,662.927,3.205,3.205,106.077,106.077,1.036,1.011,27.38,27.38,27.38
9.959,-0.075,3.758,4,0.109,8,11,54.706,54.706,0.007,15,1,4,0.104,8.232,17.34,9.951,0,0,0,0.0,0,0.0,1.083,0.877,34418.0,1.144,0.333,12,22,4,1.566,0.198,0.892,7.345,53.955,5.63,0.283,0.01,171.872,65132.9,4.025,1.485,26,3.369,5.804,20.267,11,0.311,1.25,1.25,0,0.33,-0.137,3.228,2.163,2,710.389,3.291,3.291,115.126,115.126,1.066,1.026,28.587,28.587,28.587
4.0,0.133,3.325,2,0.16,0,0,57.83,57.83,0.012,5,1,0,-0.078,4.538,9.519,8.941,0,0,0,0.0,0,0.0,0.94,1.031,6151.0,0.876,1.0,3,2,0,1.492,0.267,1.025,1.883,3.545,4.893,0.551,0.011,92.538,10598.4,3.708,-1.074,2,2.745,2.626,10.833,4,0.351,-0.84,-0.84,0,1.0,0.079,2.687,2.061,0,0.0,-0.837,-0.837,66.88,66.88,0.957,0.951,15.706,15.706,15.706
4.0,0.171,3.331,2,0.224,0,0,57.83,57.83,0.015,5,1,0,-0.193,5.097,10.619,8.997,0,0,0,0.0,0,0.0,0.956,1.166,9535.0,0.845,1.0,3,2,0,1.531,0.237,1.179,3.457,11.952,5.107,0.505,0.012,107.966,17949.2,3.708,-0.641,2,2.866,3.21,12.667,6,0.438,-0.413,-0.413,0,1.0,0.042,2.689,2.06,0,0.0,1.402,1.402,82.334,82.334,0.943,0.913,17.809,17.809,17.809
5.119,0.043,3.413,2,0.121,6,5,57.83,57.83,0.01,10,1,0,-0.046,5.394,11.236,9.246,0,0,0,0.0,0,0.0,1.033,1.023,9445.0,0.912,1.0,4,2,0,1.465,0.212,1.034,4.481,20.083,5.267,0.439,0.013,109.28,15779.3,3.787,-0.518,2,2.866,3.685,12.5,5,0.276,-0.274,-0.274,0,1.0,0.046,2.866,2.089,0,0.0,2.136,2.136,73.245,73.245,1.088,1.083,18.275,18.275,18.275
5.469,0.101,3.379,2,0.16,0,0,57.83,57.83,0.012,5,1,0,-0.068,4.538,9.519,9.111,0,0,0,0.0,0,0.0,0.998,1.037,6151.0,0.859,1.0,3,2,0,1.473,0.241,1.028,3.349,11.218,5.022,0.551,0.011,97.433,10598.4,3.719,-1.0,2,2.756,3.018,11.0,5,0.351,-0.84,-0.84,0,1.0,0.088,2.687,2.067,0,0.0,-0.837,-0.837,65.314,65.314,0.972,0.97,15.706,15.706,15.706
5.187,0.111,3.39,2,0.16,2,2,54.706,54.706,0.012,5,1,0,-0.109,4.538,9.519,9.148,0,0,0,0.0,0,0.0,1.03,1.107,6151.0,0.855,1.0,3,4,0,1.474,0.216,1.151,4.543,20.637,5.075,0.551,0.011,98.056,10598.4,3.787,-1.0,2,2.781,3.196,11.1,5,0.351,-0.84,-0.84,0,1.0,0.081,2.687,2.075,0,0.0,-0.837,-0.837,64.199,64.199,1.052,1.043,15.706,15.706,15.706
5.276,0.12,0.0,0,0.149,4,4,40.003,40.003,0.012,9,0,1,0.028,7.685,16.562,8.568,0,0,0,0.0,0,0.0,0.898,0.956,33336.0,1.021,0.429,17,7,4,1.564,0.246,0.975,4.452,19.82,5.397,0.288,0.017,153.173,61929.0,3.847,1.137,9,3.255,4.562,19.0,9,0.372,1.119,1.119,5,0.5,-0.067,3.209,2.207,4,371.912,3.917,3.917,117.531,117.531,0.832,0.802,28.635,28.635,28.635
5.278,0.106,0.0,0,0.146,4,5,40.003,40.003,0.011,10,0,1,0.037,7.935,17.062,8.578,0,0,0,0.0,0,0.0,0.91,0.953,36615.0,0.988,0.429,17,9,4,1.556,0.24,0.974,5.032,25.321,5.448,0.272,0.016,157.817,68655.0,3.847,1.172,10,3.261,4.812,19.5,10,0.366,1.125,1.125,5,0.33,-0.037,3.215,2.207,4,391.994,3.931,3.931,121.169,121.169,0.857,0.826,29.342,29.342,29.342
5.62,0.082,0.0,0,0.146,4,4,40.003,40.003,0.012,10,0,1,0.077,7.981,17.168,8.614,0,0,0,0.0,0,0.0,0.916,0.906,35639.0,1.027,0.429,17,8,4,1.552,0.239,0.915,4.801,23.048,5.454,0.282,0.017,157.921,67233.8,3.847,1.157,10,3.31,4.979,19.5,10,0.367,1.132,1.132,5,0.33,-0.08,3.21,2.207,4,386.527,3.92,3.92,121.169,121.169,0.883,0.838,29.342,29.342,29.342
5.635,0.07,0.0,0,0.143,4,5,40.003,40.003,0.011,11,0,1,0.082,8.231,17.668,8.624,0,0,0,0.0,0,0.0,0.928,0.906,39078.0,0.995,0.429,17,10,4,1.545,0.233,0.917,5.381,28.953,5.502,0.266,0.016,162.565,74369.6,3.847,1.18,11,3.34,5.229,20.0,11,0.361,1.134,1.134,5,0.33,-0.05,3.215,2.207,4,407.038,3.934,3.934,124.762,124.762,0.905,0.86,30.049,30.049,30.049
5.373,0.1,0.0,0,0.136,4,5,40.003,40.003,0.011,11,0,1,0.047,7.43,15.719,8.714,0,0,0,0.0,0,0.0,0.928,0.943,27604.0,0.976,0.429,17,7,4,1.537,0.238,0.964,4.959,24.592,5.4,0.302,0.014,147.1,48551.9,3.847,1.004,9,3.211,4.595,17.833,7,0.344,1.089,1.089,1,0.5,-0.012,3.071,2.207,4,330.561,3.173,3.173,108.559,108.559,0.882,0.852,26.764,26.764,26.764
5.242,0.087,0.0,0,0.133,4,6,40.003,40.003,0.01,12,0,1,0.053,7.68,16.219,8.723,0,0,0,0.0,0,0.0,0.941,0.942,30429.0,0.944,0.429,17,9,4,1.532,0.231,0.963,5.539,30.681,5.452,0.285,0.014,151.744,54139.6,3.847,1.071,10,3.216,4.845,18.333,8,0.337,1.113,1.113,1,0.5,0.015,3.084,2.207,4,349.181,3.347,3.347,112.067,112.067,0.905,0.875,27.471,27.471,27.471
5.686,0.077,0.0,0,0.141,1,6,40.003,40.003,0.012,12,0,1,0.1,8.066,17.288,8.858,0,0,0,0.0,0,0.0,0.98,0.902,31880.0,0.959,0.333,16,10,4,1.502,0.22,0.934,6.699,44.879,5.52,0.313,0.015,162.705,62844.1,3.847,1.187,11,3.338,5.595,19.333,13,0.353,1.122,1.122,1,0.33,0.008,3.211,2.207,4,382.793,3.137,3.137,121.041,121.041,0.923,0.887,28.764,28.764,28.764
5.263,0.066,0.0,0,0.138,1,7,40.003,40.003,0.011,13,0,1,0.101,8.316,17.788,8.868,0,0,0,0.0,0,0.0,0.991,0.904,35017.0,0.935,0.333,16,12,4,1.498,0.215,0.935,7.279,52.987,5.565,0.296,0.015,167.349,69597.8,3.847,1.199,12,3.405,5.845,19.833,14,0.346,1.138,1.138,1,0.33,0.028,3.216,2.207,4,402.771,3.321,3.321,124.403,124.403,0.942,0.907,29.471,29.471,29.471
5.801,0.101,0.0,0,0.148,1,4,40.003,40.003,0.011,10,0,1,0.096,7.475,16.239,8.738,0,0,0,0.0,0,0.0,0.956,0.899,27642.0,1.062,0.333,16,8,4,1.516,0.231,0.931,5.787,33.487,5.421,0.326,0.016,153.503,53051.7,3.847,1.085,11,3.279,5.095,18.333,11,0.366,1.118,1.118,1,0.33,-0.085,3.21,2.207,4,351.545,3.122,3.122,114.228,114.228,0.879,0.843,27.35,27.35,27.35
5.321,0.089,0.0,0,0.144,1,5,40.003,40.003,0.01,11,0,1,0.098,7.725,16.739,8.747,0,0,0,0.0,0,0.0,0.968,0.901,30467.0,1.03,0.333,16,10,4,1.511,0.226,0.932,6.367,40.536,5.472,0.308,0.016,158.147,59017.5,3.847,1.128,12,3.279,5.345,18.833,12,0.359,1.123,1.123,1,0.33,-0.058,3.215,2.207,4,370.631,3.308,3.308,117.65,117.65,0.901,0.866,28.057,28.057,28.057
