pXC50,nR09,D.Dtr09,Eig02_EA.ri.,Eig02_EA,SM10_AEA.bo.,Eig02_AEA.ri.,nR05,N.072,Eig10_EA.ed.,SM05_AEA.ri.,Eig09_EA.bo.,Eig07_EA.bo.,CATS2D_07_DL,Eig02_EA.ed.,SM11_AEA.dm.,MAXDP,CATS2D_05_AN,CATS2D_07_AL,X5,Eig09_AEA.bo.,SpMax2_Bh.p.,ATS8p,Eig12_AEA.ed.,Eig11_EA,SM05_AEA.dm.,Eta_beta,Eig12_AEA.ri.,Eig11_AEA.bo.,Eig10_AEA.ed.,Eig02_AEA.bo.,MATS6m,Eig01_AEA.dm.,SpMax_AEA.dm.,SNar,Xt,ATSC8i,Eig07_EA,SM15_AEA.bo.,Eig07_AEA.bo.,Eig11_EA.ed.,SM06_AEA.ri.,Eig07_AEA.ri.,Eig11_AEA.ri.,Eig11_EA.ri.,Eig09_EA.ri.,Eig11_EA.bo.,SRW05,ATSC6i,Eig13_AEA.ri.,Eig11_AEA.ed.,Eig13_EA,Eig13_EA.bo.,Eig13_EA.ed.,Eig13_EA.ri.,SM07_AEA.dm.,SM08_AEA.ri.,Eig07_EA.ri.,SpMin4_Bh.e.,SpMin4_Bh.p.,CATS2D_02_DA,Rbrid,ATS6i,ATS7p,MATS6i,X3sol,SdssC,Eig09_AEA.ri.,Eig09_EA
8.022,2,198.01,3.068,3.17,3.17,4.14,2,2,2.59,2.59,1.97,2.393,2,11.098,11.098,6.011,2,11,7.207,2.841,3.881,3.81,3.392,0.843,0.843,35.5,1.626,2.287,3.668,4.532,0.357,3.919,3.919,19.709,0.225,1.112,1.979,1.979,3.262,2.101,2.101,2.935,1.814,0.81,1.352,1.192,3.045,1.372,1.083,3.588,0.086,0.102,0.218,0.085,0.086,0.218,1.872,1.481,1.673,1,2,5.015,3.88,0.188,10.784,-1.126,2.356,1.354
8.0,2,187.543,3.047,3.146,3.146,4.115,2,2,2.641,2.641,1.715,2.32,2,11.033,11.033,5.991,2,8,7.069,2.648,3.878,3.758,3.262,0.866,0.866,35.5,1.6,2.268,3.669,4.529,0.312,3.919,3.919,19.304,0.228,1.07,1.888,1.888,3.186,2.134,2.134,2.857,1.854,0.85,1.161,1.167,3.045,1.321,1.082,3.465,0.085,0.102,0.211,0.084,0.085,0.211,1.817,1.57,1.777,1,2,5.03,3.881,0.236,9.866,-1.096,2.166,1.182
8.0,2,196.636,3.093,3.219,3.219,4.182,2,2,2.67,2.67,1.97,2.327,2,11.377,11.377,6.058,2,8,7.437,2.841,3.879,3.852,3.378,1.006,1.006,36.0,1.632,2.345,3.67,4.539,0.199,3.919,3.919,19.709,0.225,1.147,1.889,1.889,3.195,2.43,2.43,2.862,1.99,0.984,1.353,1.285,3.045,1.45,1.085,3.557,0.09,0.106,0.223,0.088,0.09,0.223,1.825,1.598,1.826,1,2,5.117,3.955,0.1,10.395,-1.094,2.356,1.354
8.056,2,196.007,3.109,3.225,3.225,4.194,2,2,2.745,2.745,1.818,2.339,2,11.468,11.468,6.058,2,8,7.466,2.729,3.879,3.852,3.389,1.028,1.028,36.0,1.653,2.374,3.67,4.54,0.307,3.919,3.919,19.709,0.225,1.147,1.936,1.936,3.216,2.553,2.553,2.882,2.014,1.008,1.334,1.327,3.045,1.482,1.097,3.635,0.103,0.122,0.257,0.101,0.103,0.257,1.827,1.595,1.82,1,2,5.174,3.946,0.166,10.26,-1.094,2.338,1.347
8.0,2,196.007,3.111,3.225,3.225,4.196,2,2,2.745,2.745,1.818,2.339,2,11.468,11.468,6.059,2,7,7.466,2.729,3.879,3.853,3.389,1.028,1.028,36.0,1.653,2.374,3.67,4.54,0.3,3.919,3.919,19.709,0.225,1.141,1.936,1.936,3.216,2.553,2.553,2.917,2.014,1.008,1.292,1.327,3.045,1.47,1.099,3.635,0.103,0.122,0.257,0.101,0.103,0.257,1.872,1.597,1.808,1,2,5.17,3.949,0.121,10.26,-1.091,2.31,1.347
8.0,2,205.1,3.13,3.296,3.296,4.25,2,2,2.825,2.825,1.97,2.352,2,11.877,11.877,6.125,2,8,7.76,2.841,3.881,3.937,3.403,1.028,1.028,36.5,1.654,2.374,3.72,4.544,0.206,3.92,3.92,20.115,0.223,1.227,2.021,2.021,3.231,2.561,2.561,2.97,2.014,1.008,1.353,1.327,3.045,1.61,1.208,3.669,0.227,0.25,0.504,0.222,0.227,0.504,1.902,1.598,1.827,1,2,5.25,4.015,0.051,11.07,-1.092,2.356,1.354
8.155,2,213.678,3.131,3.3,3.3,4.252,2,2,2.961,2.961,1.97,2.471,2,11.887,11.887,6.21,2,10,8.077,2.843,3.881,4.086,3.424,1.031,1.031,37.0,1.655,2.377,3.784,4.544,0.146,3.92,3.92,20.52,0.221,1.495,2.022,2.022,3.233,2.582,2.582,2.971,2.016,1.01,1.436,1.331,3.045,1.822,1.242,3.67,0.259,0.287,0.594,0.254,0.259,0.594,1.903,1.599,1.829,1,2,5.368,4.169,0.104,11.337,-1.089,2.452,1.475
8.0,2,223.034,3.131,3.301,3.301,4.252,2,2,2.961,2.961,1.97,2.513,2,11.889,11.889,6.248,2,9,8.301,2.843,3.88,4.139,3.427,1.031,1.031,38.5,1.656,2.378,3.784,4.544,0.143,3.92,3.92,21.213,0.217,1.532,2.022,2.022,3.25,2.583,2.583,2.971,2.016,1.011,1.438,1.332,3.045,1.782,1.385,3.67,0.5,0.558,0.855,0.436,0.5,0.855,1.903,1.598,1.828,1,2,5.34,4.183,-0.02,11.777,-1.14,2.456,1.48
7.658,2,213.678,3.13,3.3,3.3,4.252,2,2,2.961,2.961,1.97,2.471,2,11.887,11.887,6.177,2,10,8.077,2.843,3.881,3.992,3.424,1.031,1.031,37.25,1.655,2.377,3.784,4.544,0.146,3.92,3.92,20.52,0.221,1.203,2.022,2.022,3.233,2.582,2.582,2.971,2.016,1.01,1.409,1.331,3.045,1.575,1.232,3.67,0.259,0.287,0.594,0.247,0.259,0.594,1.902,1.598,1.827,1,2,5.248,4.095,0.061,11.573,-1.15,2.445,1.475
8.0,2,212.911,3.13,3.3,3.3,4.252,2,2,2.96,2.96,1.97,2.471,2,11.896,11.896,6.193,2,8,8.092,2.842,3.881,3.994,3.444,1.029,1.029,37.25,1.689,2.378,3.783,4.544,0.212,3.921,3.921,20.52,0.221,1.196,2.025,2.025,3.233,2.57,2.57,2.973,2.014,1.009,1.353,1.332,3.045,1.561,1.302,3.672,0.364,0.41,0.849,0.32,0.364,0.849,1.903,1.598,1.827,1,2,5.247,4.099,0.053,11.922,-1.167,2.357,1.355
5.678,0,0.0,2.554,2.619,2.619,3.593,1,1,-2.347,-2.347,-0.718,0.591,0,8.437,8.437,4.822,0,3,3.222,0.854,3.623,2.462,1.555,-1.0,-1.0,19.25,-0.13,0.251,2.0,3.913,0.153,4.274,4.274,10.633,0.307,0.31,0.461,0.461,1.909,-2.876,-2.876,1.486,0.0,-1.0,-0.543,-1.5,2.398,0.464,-0.331,1.941,-1.376,-1.724,-4.166,-1.4,-1.376,-4.166,0.464,0.934,1.239,0,0,4.119,2.774,0.169,5.784,-0.861,0.474,-0.54
4.848,0,0.0,2.847,2.883,2.883,3.872,1,1,-1.116,-1.116,-0.169,1.5,0,9.894,9.894,5.119,0,0,3.792,1.425,3.622,2.717,2.0,-0.593,-0.593,23.5,0.0,0.811,2.659,4.18,-0.192,4.313,4.313,12.137,0.287,0.4,1.0,1.0,2.5,-1.347,-1.347,2.0,0.398,-0.584,-0.133,-0.823,2.398,0.502,0.0,2.206,-1.0,-1.5,-3.0,-1.0,-1.0,-3.0,1.0,1.163,1.485,0,0,4.169,2.912,0.122,7.135,-2.322,0.911,-0.133
4.0,0,0.0,2.78,2.805,2.805,3.797,1,1,2.077,2.077,1.5,1.772,0,9.275,9.275,5.408,0,3,5.313,2.5,3.829,3.087,2.566,0.45,0.45,32.0,0.835,1.648,3.247,4.138,-0.085,4.191,4.191,16.414,0.247,0.476,1.255,1.255,2.758,0.699,0.699,2.265,1.34,0.395,1.0,0.52,2.398,0.689,0.408,2.812,-0.576,-0.738,-1.13,-0.554,-0.576,-1.13,1.255,1.239,1.51,0,0,4.374,3.156,0.094,8.658,-2.382,2.0,1.0
5.824,0,0.0,3.022,3.103,3.103,4.077,0,0,7.781,7.781,3.445,3.446,9,10.075,10.075,5.268,0,27,23.214,3.901,3.94,5.699,5.337,2.487,2.487,122.5,3.366,3.805,5.785,4.452,0.124,3.632,3.632,67.21,0.122,6.739,2.604,2.604,3.911,7.649,7.649,3.572,3.458,2.408,2.492,3.179,0.0,5.792,3.316,5.749,2.364,3.03,6.946,2.236,2.364,6.946,2.522,1.908,2.002,3,0,6.483,5.634,-0.043,32.653,-3.548,3.518,2.54
4.824,0,0.0,3.021,3.101,3.101,4.075,0,0,7.722,7.722,3.095,3.244,5,10.063,10.063,5.321,0,28,23.155,3.741,3.939,5.786,5.337,2.484,2.484,104.5,3.352,3.663,5.769,4.45,0.108,3.632,3.632,67.21,0.122,7.513,2.601,2.601,3.873,7.616,7.616,3.568,3.453,2.4,2.493,2.986,0.0,6.213,3.311,5.741,2.36,2.693,6.944,2.231,2.36,6.944,2.519,1.9,2.025,3,0,6.564,5.705,-0.059,32.76,-3.369,3.519,2.541
4.824,0,0.0,3.022,3.1,3.1,4.076,0,0,7.706,7.706,3.093,3.243,5,10.062,10.062,5.191,0,36,20.596,3.732,3.938,5.612,5.227,2.357,2.357,104.5,3.236,3.654,5.767,4.45,0.091,3.632,3.632,61.835,0.127,6.313,2.589,2.589,3.872,7.596,7.596,3.557,3.297,2.207,2.314,2.984,0.0,5.598,3.158,5.738,2.169,2.693,5.527,2.116,2.169,5.527,2.507,1.888,1.989,3,0,6.483,5.55,-0.12,29.784,-3.535,3.385,2.432
4.824,0,0.0,2.977,3.063,3.063,4.035,0,0,6.935,6.935,3.107,3.445,9,9.943,9.943,5.119,0,20,17.701,3.745,3.905,5.434,4.853,2.242,2.242,98.0,3.183,3.567,5.335,4.415,0.091,3.633,3.633,53.282,0.137,5.081,2.538,2.538,3.901,5.857,5.857,3.518,3.21,2.15,2.321,2.812,0.0,4.164,3.166,4.968,2.176,2.695,5.405,2.125,2.176,5.405,2.493,1.9,1.987,4,0,6.137,5.357,-0.042,24.846,-4.995,3.386,2.419
4.824,0,0.0,3.007,3.091,3.091,4.064,0,0,6.96,6.96,3.445,3.446,11,10.04,10.04,5.464,0,27,22.802,3.901,3.928,5.73,5.336,2.445,2.445,125.0,3.349,3.78,5.339,4.44,0.089,3.633,3.633,68.191,0.121,6.769,2.564,2.564,3.906,6.954,6.954,3.532,3.422,2.372,2.493,3.152,0.0,5.417,3.307,5.338,2.356,2.998,6.933,2.22,2.356,6.933,2.497,1.909,2.001,5,0,6.395,5.641,-0.04,31.782,-6.393,3.517,2.537
5.0,0,0.0,2.8,3.057,3.057,3.987,1,2,2.731,2.731,1.685,2.644,2,10.293,10.293,5.933,0,8,7.086,2.701,3.867,4.056,3.378,1.0,1.0,40.75,1.819,2.5,3.799,4.427,-0.263,3.689,3.689,21.096,0.218,1.112,2.016,2.016,3.361,2.275,2.275,2.909,1.892,0.847,1.207,1.5,2.398,1.209,1.496,3.414,0.597,0.695,1.234,0.522,0.597,1.234,1.72,1.459,1.605,3,0,4.87,4.057,0.095,12.811,-1.018,2.262,1.307
7.0,2,972.642,3.039,3.08,3.08,4.067,3,19,8.77,8.77,3.279,3.315,46,10.327,10.327,8.78,2,50,32.507,4.054,4.028,6.312,5.985,2.799,2.799,165.25,3.748,3.992,6.065,4.528,0.004,4.29,4.29,101.371,0.099,13.968,2.925,2.925,4.098,8.599,8.599,3.909,3.786,2.752,2.794,3.234,3.434,11.31,3.708,6.036,2.717,3.141,8.364,2.682,2.717,8.364,2.87,1.927,2.018,22,10,7.15,6.193,0.073,51.683,-24.773,3.824,2.839
6.699,0,0.0,2.915,2.974,2.974,3.957,0,18,8.372,8.372,3.206,3.249,34,9.297,9.297,8.481,3,40,27.141,3.985,3.887,6.232,5.872,2.709,2.709,142.0,3.65,3.917,5.941,4.172,-0.011,4.29,4.29,89.352,0.106,12.553,2.831,2.831,4.047,8.338,8.338,3.817,3.698,2.67,2.752,3.101,0.0,10.316,3.634,5.916,2.639,3.008,8.103,2.618,2.639,8.103,2.793,1.814,2.011,25,8,7.126,6.128,0.083,45.42,-26.001,3.777,2.787
6.699,0,0.0,2.931,3.008,3.008,3.985,0,17,8.374,8.374,3.194,3.254,35,9.695,9.695,8.139,2,34,26.029,3.974,3.892,6.082,5.876,2.697,2.697,137.75,3.666,3.928,5.941,4.172,-0.005,4.29,4.29,84.958,0.108,10.893,2.821,2.821,4.015,8.338,8.338,3.808,3.685,2.657,2.746,3.141,0.0,9.217,3.602,5.912,2.615,3.021,8.101,2.574,2.615,8.101,2.776,1.919,2.01,21,8,6.995,5.985,0.08,43.544,-23.397,3.781,2.794
5.0,0,0.0,3.081,3.11,3.11,4.1,0,7,6.987,6.987,3.09,3.264,13,10.269,10.269,7.995,1,30,14.521,3.846,3.851,5.626,5.284,2.331,2.331,73.5,3.132,3.645,5.53,4.386,-0.045,5.026,5.026,45.082,0.149,6.975,2.753,2.753,3.953,6.934,6.934,3.736,3.331,2.33,2.554,2.829,0.0,5.412,3.015,5.361,2.041,2.236,5.69,1.967,2.041,5.69,2.7,1.803,1.972,9,2,6.451,5.541,0.054,24.616,-7.916,3.577,2.582
5.097,0,0.0,2.9,2.933,2.933,3.921,0,3,3.416,3.416,2.034,2.671,6,9.321,9.321,6.293,0,14,7.694,2.92,3.875,4.213,3.435,1.116,1.116,40.25,2.005,2.532,4.147,4.254,-0.007,3.975,3.975,22.887,0.209,1.661,2.112,2.112,3.449,2.655,2.655,2.98,2.119,1.114,1.513,1.476,0.0,1.817,1.591,3.691,0.686,0.792,1.406,0.599,0.686,1.406,1.747,1.595,1.813,4,0,5.42,4.27,0.121,12.212,-2.767,2.53,1.539
4.796,0,0.0,2.976,3.008,3.008,3.999,0,3,3.925,3.925,2.058,2.676,6,9.673,9.673,6.315,0,14,7.67,2.942,3.877,4.253,3.671,1.289,1.289,41.5,2.076,2.636,4.313,4.307,0.037,3.975,3.975,23.293,0.207,1.72,2.112,2.112,3.45,3.218,3.218,2.981,2.29,1.28,1.561,1.617,0.0,1.838,1.591,4.083,0.686,0.792,1.406,0.599,0.686,1.406,1.803,1.598,1.813,4,0,5.448,4.297,0.098,12.647,-2.867,2.584,1.599
4.553,0,0.0,2.976,3.008,3.008,3.999,0,3,3.925,3.925,2.058,2.676,6,9.673,9.673,6.315,0,14,7.67,2.942,3.877,4.253,3.671,1.289,1.289,41.5,2.076,2.636,4.313,4.307,0.037,3.975,3.975,23.293,0.207,1.72,2.112,2.112,3.45,3.218,3.218,2.981,2.29,1.28,1.561,1.617,0.0,1.838,1.591,4.083,0.686,0.792,1.406,0.599,0.686,1.406,1.803,1.598,1.813,4,0,5.448,4.297,0.098,12.647,-2.867,2.584,1.599
5.857,0,0.0,3.028,3.173,3.173,4.128,0,3,4.234,4.234,2.158,2.878,5,10.975,10.975,7.177,0,15,9.086,3.1,3.862,4.34,3.76,1.459,1.459,53.75,2.358,2.915,4.558,4.457,0.119,4.65,4.65,29.126,0.185,2.464,2.217,2.217,3.594,3.659,3.659,3.164,2.465,1.466,1.624,2.059,0.0,2.439,2.327,4.21,1.348,1.695,3.014,1.285,1.348,3.014,2.139,1.697,1.877,2,0,5.421,4.373,-0.134,14.035,-5.536,2.68,1.727
4.032,0,0.0,2.065,2.36,2.36,3.252,0,0,-3.433,-3.433,-1.272,-0.487,0,7.423,7.423,4.242,0,0,3.097,0.567,3.327,0.0,1.172,-1.567,-1.567,17.25,-0.826,-0.248,1.569,3.802,-1.331,3.81,3.81,8.959,0.334,0.0,-0.425,-0.425,0.861,-4.439,-4.439,0.465,-0.731,-1.371,-0.807,-1.945,0.0,0.065,-1.0,1.25,-2.0,-2.62,-5.719,-1.894,-2.0,-5.719,-0.308,0.647,0.841,0,1,2.347,0.386,0.478,5.885,-0.257,0.076,-0.888
6.421,1,205.13,3.031,3.122,3.122,4.109,1,2,4.646,4.646,2.315,2.943,4,10.196,10.196,6.684,0,13,10.589,3.15,3.88,4.439,4.247,1.527,1.527,58.0,2.43,3.019,4.665,4.458,0.14,3.837,3.837,31.035,0.18,2.102,2.31,2.31,3.666,4.366,4.366,3.302,2.506,1.492,1.758,2.131,2.398,2.139,2.412,4.445,1.444,2.012,3.462,1.384,1.444,3.462,2.293,1.694,1.886,1,1,5.442,4.41,-0.118,16.152,-2.37,2.793,1.833
4.824,0,0.0,3.021,3.1,3.1,4.075,0,0,7.706,7.706,3.444,3.444,5,10.062,10.062,5.356,0,31,23.921,3.897,3.939,5.742,5.34,2.508,2.508,125.5,3.377,3.808,5.767,4.45,0.12,3.632,3.632,71.369,0.118,6.988,2.59,2.59,3.897,7.596,7.596,3.557,3.47,2.408,2.52,3.176,0.0,6.446,3.325,5.738,2.384,3.027,6.965,2.236,2.384,6.965,2.521,1.923,2.01,3,0,6.619,5.657,-0.09,34.234,-3.439,3.522,2.523
4.824,0,0.0,3.024,3.106,3.106,4.08,0,0,7.841,7.841,3.445,3.446,13,10.094,10.094,5.688,0,34,27.903,3.903,3.942,5.959,5.339,2.537,2.537,152.0,3.477,3.901,5.794,4.454,0.088,3.633,3.633,83.101,0.11,8.454,2.621,2.621,3.921,7.718,7.718,3.586,3.517,2.493,2.495,3.445,0.0,6.668,3.444,5.759,2.46,3.181,6.956,2.406,2.46,6.956,2.531,1.916,2.014,6,0,6.6,5.861,-0.039,38.717,-7.818,3.524,2.55
4.824,0,0.0,3.021,3.1,3.1,4.075,0,0,7.706,7.706,3.444,3.444,5,10.062,10.062,5.412,0,34,24.659,3.896,3.939,5.781,5.34,2.514,2.514,128.5,3.379,3.808,5.767,4.45,0.1,3.632,3.632,75.528,0.115,7.565,2.589,2.589,3.896,7.596,7.596,3.556,3.472,2.408,2.522,3.176,0.0,6.934,3.326,5.738,2.386,3.027,6.965,2.237,2.386,6.965,2.522,1.928,2.016,3,0,6.695,5.726,-0.091,35.734,-3.421,3.522,2.522
7.867,0,0.0,2.824,2.903,2.903,3.875,0,2,2.411,2.411,1.554,2.054,9,9.268,9.268,5.681,0,4,5.997,2.571,3.713,4.016,3.247,1.0,1.0,33.5,1.973,2.5,3.514,4.106,-0.16,3.797,3.797,19.304,0.228,1.501,1.799,1.799,2.996,2.363,2.363,2.771,1.993,0.988,1.103,1.5,0.0,1.667,1.49,3.429,0.498,0.582,1.234,0.485,0.498,1.234,1.725,1.648,1.818,2,0,5.232,4.093,0.014,9.499,-1.338,2.113,1.146
5.432,0,0.0,2.799,2.996,2.996,3.936,1,2,2.487,2.487,1.977,2.316,0,10.339,10.339,5.919,0,5,6.969,2.839,3.833,3.533,3.247,1.0,1.0,43.75,2.0,2.5,3.544,4.264,-0.118,4.754,4.754,21.266,0.217,0.768,1.663,1.663,3.113,2.275,2.275,2.65,2.0,1.0,1.339,1.5,2.398,1.103,1.866,3.414,0.91,1.088,2.136,0.866,0.91,2.136,1.625,1.513,1.71,0,0,4.737,3.704,-0.036,12.277,-1.7,2.349,1.361
6.143,1,200.458,3.026,3.122,3.122,4.107,1,2,4.665,4.665,2.316,2.981,6,10.196,10.196,6.624,0,13,10.379,3.152,3.879,4.348,4.254,1.527,1.527,56.75,2.43,3.019,4.667,4.452,0.152,3.836,3.836,30.342,0.182,2.122,2.301,2.301,3.667,4.366,4.366,3.297,2.506,1.492,1.759,2.129,2.398,2.101,2.37,4.445,1.414,2.007,3.462,1.339,1.414,3.462,2.291,1.692,1.88,1,1,5.376,4.343,-0.022,15.401,-2.663,2.795,1.836
9.728,2,463.788,3.054,3.2,3.2,4.157,2,3,6.136,6.136,2.565,3.011,4,12.336,12.336,7.248,0,26,12.953,3.489,3.89,5.011,4.632,1.828,1.828,54.75,2.515,2.973,5.126,4.283,0.108,3.976,3.976,37.561,0.163,3.673,2.415,2.415,3.779,5.131,5.131,3.411,2.807,1.775,2.094,2.077,3.045,3.609,2.482,4.806,1.487,1.97,3.693,1.478,1.487,3.693,2.402,1.903,1.99,3,3,5.923,4.911,0.064,19.393,-1.228,3.165,2.192
7.845,2,514.851,3.209,3.266,3.266,4.248,2,3,6.152,6.152,2.593,3.014,5,12.336,12.336,7.952,0,31,14.151,3.513,3.951,5.196,4.633,1.849,1.849,56.75,2.695,2.981,5.174,4.413,0.064,3.983,3.983,40.046,0.158,4.553,2.438,2.438,3.736,5.202,5.202,3.421,2.832,1.806,2.1,2.082,3.045,4.384,2.6,4.845,1.596,1.925,3.863,1.598,1.596,3.863,2.333,1.824,1.941,3,3,6.131,5.139,0.041,20.633,-1.226,3.169,2.195
8.409,2,451.466,3.053,3.198,3.198,4.155,2,3,5.136,5.136,2.149,2.77,4,12.336,12.336,7.152,0,20,11.896,3.06,3.881,4.932,4.509,1.7,1.7,47.75,2.486,2.912,4.808,4.282,0.081,3.976,3.976,35.076,0.169,3.524,2.392,2.392,3.648,4.338,4.338,3.384,2.643,1.602,1.901,1.985,3.045,3.408,2.476,4.632,1.476,1.701,3.312,1.472,1.476,3.312,2.327,1.737,1.92,3,3,5.93,4.864,0.058,18.21,-1.221,2.943,1.981
8.415,2,483.981,3.31,3.432,3.432,4.396,2,3,6.428,6.428,2.736,3.095,6,12.887,12.887,7.474,0,23,13.615,3.559,4.003,5.144,4.799,1.942,1.942,53.75,2.778,3.118,5.313,4.44,-0.002,3.979,3.979,37.967,0.162,4.481,2.533,2.533,3.855,6.118,6.118,3.519,2.904,1.859,2.125,2.246,3.045,3.794,2.618,5.106,1.618,2.08,4.362,1.618,1.618,4.362,2.496,1.831,1.973,3,4,6.008,5.053,0.017,20.724,-1.201,3.206,2.229
4.222,0,0.0,2.84,2.899,2.899,3.879,0,0,0.762,0.762,0.936,1.746,1,10.159,10.159,5.818,0,4,6.338,2.158,3.749,3.101,2.574,0.06,0.06,29.25,0.706,1.308,3.102,4.28,-0.22,3.828,3.828,15.433,0.255,0.563,1.247,1.247,2.715,0.116,0.116,2.238,1.042,0.058,0.665,0.072,0.0,0.896,0.458,2.645,-0.589,-0.784,-1.265,-0.588,-0.589,-1.265,1.225,1.216,1.518,0,2,4.662,3.355,-0.081,8.616,-0.626,1.697,0.63
9.36,2,476.513,3.053,3.198,3.198,4.155,2,3,5.89,5.89,2.582,2.958,4,12.336,12.336,7.204,0,21,12.064,3.511,3.881,4.995,4.632,1.828,1.828,50.0,2.503,2.967,4.988,4.282,0.065,3.985,3.985,36.175,0.166,3.772,2.394,2.394,3.72,5.135,5.135,3.385,2.807,1.775,2.087,2.077,3.045,3.62,2.479,4.807,1.485,1.922,3.78,1.473,1.485,3.78,2.333,1.756,1.923,3,3,5.949,4.907,0.045,19.349,-0.758,3.168,2.195
9.038,2,448.638,3.31,3.432,3.432,4.396,2,3,6.132,6.132,2.253,2.976,4,12.887,12.887,7.21,0,21,11.978,3.245,3.882,5.078,4.631,1.826,1.826,47.25,2.486,2.93,5.126,4.44,0.0,3.979,3.979,34.383,0.171,4.158,2.41,2.41,3.764,5.121,5.121,3.407,2.804,1.77,2.039,2.077,3.045,3.565,2.476,4.804,1.474,1.904,3.479,1.473,1.474,3.479,2.4,1.831,1.969,3,3,5.961,4.993,0.03,18.8,-1.188,3.134,2.176
8.427,2,451.466,3.053,3.198,3.198,4.155,2,3,5.136,5.136,2.149,2.77,4,12.336,12.336,7.168,0,24,11.896,3.06,3.881,4.971,4.509,1.7,1.7,47.25,2.487,2.912,4.808,4.282,0.07,3.976,3.976,35.076,0.169,3.642,2.392,2.392,3.648,4.338,4.338,3.384,2.694,1.686,1.903,1.985,3.045,3.535,2.476,4.632,1.476,1.701,3.312,1.473,1.476,3.312,2.328,1.779,1.941,3,3,5.948,4.891,0.044,18.21,-1.148,2.944,1.981
7.356,2,512.023,3.31,3.433,3.433,4.397,2,3,6.4,6.4,2.738,3.139,5,12.887,12.887,7.994,0,28,14.233,3.564,3.951,5.282,4.843,1.947,1.947,56.75,2.826,3.151,5.247,4.445,0.004,3.986,3.986,39.353,0.159,5.092,2.47,2.47,3.769,6.143,6.143,3.468,2.911,1.869,2.13,2.23,3.045,4.402,2.6,5.174,1.596,1.972,4.15,1.599,1.596,4.15,2.458,1.831,1.971,3,3,6.141,5.219,0.027,21.223,-1.265,3.22,2.275
4.602,0,0.0,2.661,2.659,2.659,3.66,0,1,1.308,1.308,1.377,1.751,2,7.459,7.459,5.216,0,6,4.483,2.438,3.86,3.638,2.456,0.176,0.176,28.75,0.849,1.465,3.105,4.034,0.117,3.824,3.824,16.296,0.248,0.837,1.231,1.231,2.673,0.24,0.24,2.218,0.926,0.099,1.0,0.206,0.0,1.09,0.604,2.673,-0.398,-0.503,-0.88,-0.399,-0.398,-0.88,1.214,1.491,1.669,1,0,4.894,3.757,-0.009,7.949,-0.291,2.0,1.0
5.032,0,0.0,2.612,2.655,2.655,3.637,0,1,1.582,1.582,1.382,1.5,0,7.355,7.355,5.229,0,4,4.695,2.441,3.848,3.683,2.596,0.407,0.407,30.25,0.926,1.56,3.169,4.03,0.089,3.824,3.824,16.989,0.243,0.869,1.205,1.205,2.5,0.663,0.663,2.163,1.309,0.362,1.0,0.45,0.0,1.063,0.848,2.767,-0.126,-0.148,-0.312,-0.123,-0.126,-0.312,1.124,1.475,1.67,1,0,4.874,3.766,-0.01,8.448,-0.335,2.0,1.0
4.456,0,0.0,2.657,2.655,2.655,3.656,0,1,1.582,1.582,1.382,1.5,1,7.355,7.355,5.254,0,5,4.695,2.441,3.862,3.731,2.596,0.407,0.407,29.25,0.927,1.56,3.169,4.03,0.09,3.824,3.824,16.989,0.243,0.931,1.205,1.205,2.5,0.663,0.663,2.164,1.405,0.403,1.0,0.45,0.0,1.096,0.85,2.767,-0.126,-0.148,-0.312,-0.124,-0.126,-0.312,1.125,1.534,1.707,1,0,4.887,3.817,-0.038,8.448,-0.287,2.0,1.0
5.092,0,0.0,2.608,2.825,2.825,3.744,0,1,1.514,1.514,1.381,1.949,1,8.324,8.324,5.224,0,5,4.733,2.44,3.86,3.638,2.508,0.181,0.181,29.75,0.9,1.465,3.168,4.051,-0.056,3.824,3.824,16.701,0.245,0.742,1.414,1.414,2.82,0.25,0.25,2.306,0.934,0.101,1.0,0.21,0.0,0.959,0.796,2.714,-0.151,-0.18,-0.371,-0.141,-0.151,-0.371,1.199,1.467,1.641,1,0,4.762,3.752,-0.04,9.526,-0.404,2.0,1.0
4.62,0,0.0,2.831,2.857,2.857,3.851,0,1,2.136,2.136,1.5,2.061,1,8.834,8.834,5.191,0,5,5.112,2.5,3.859,3.633,2.741,0.561,0.561,31.0,0.926,1.778,3.247,4.052,-0.057,4.46,4.46,17.682,0.238,0.993,1.519,1.519,2.922,1.304,1.304,2.508,1.562,0.554,1.078,0.64,0.0,1.331,0.849,3.114,-0.129,-0.152,-0.327,-0.126,-0.129,-0.327,1.466,1.483,1.671,1,0,4.928,3.75,0.024,7.949,-0.722,2.094,1.115
6.553,0,0.0,2.946,3.029,3.029,4.0,1,2,4.996,4.996,2.106,2.654,1,11.012,11.012,6.784,0,14,10.738,3.035,3.853,4.495,4.118,1.54,1.54,53.75,2.299,2.829,5.023,4.356,0.026,4.471,4.471,31.323,0.179,2.194,2.111,2.111,3.436,3.673,3.673,3.071,2.502,1.47,1.694,1.834,2.398,2.086,2.267,4.179,1.284,1.718,3.025,1.203,1.284,3.025,2.017,1.554,1.787,3,1,5.413,4.465,-0.075,17.469,-2.926,2.773,1.847
