pXC50,Si,nBT,Sv,Se,nAT,MW,nH,nSK,nBO,Sp,nC,nCsp3,SCBO,nBM,nO,nAB,N.
4.0,44.524,40,23.015,38.803,39,260.38,20,19,20,24.569,14,6,25.0,8,1,6,10.3
5.4,50.612,47,30.619,46.287,45,450.8,18,27,29,32.455,17,5,37.0,14,3,12,6.7
5.3,73.322,68,40.374,65.356,65,486.66,31,34,37,42.836,26,11,47.0,16,4,12,3.1
8.719,66.776,60,35.179,59.287,59,422.6,30,29,30,37.591,21,9,38.0,14,5,12,3.4
8.68,70.776,65,39.179,63.287,63,470.64,30,33,35,41.591,25,7,46.0,20,5,18,3.2
8.26,64.38,57,34.802,57.941,56,462.54,25,31,32,35.642,20,8,40.0,14,5,12,3.6
7.17,60.946,56,33.126,54.52,54,406.55,26,28,30,35.068,20,8,38.0,14,5,12,3.7
7.5,60.946,56,33.126,54.52,54,406.55,26,28,30,35.068,20,8,38.0,14,5,12,3.7
5.0,75.976,70,39.352,66.752,67,441.63,35,32,35,42.017,25,15,42.0,12,4,10,4.5
5.0,72.561,67,37.825,63.869,64,427.6,33,31,34,40.256,24,14,41.0,12,4,10,4.7
5.0,23.426,22,17.05,22.073,21,246.25,4,17,18,17.057,12,0,27.5,13,0,11,9.5
4.0,46.896,43,24.816,40.796,41,284.41,20,21,23,26.364,15,6,29.5,12,0,11,14.6
4.0,44.398,41,23.795,38.694,39,269.39,19,20,22,25.358,15,5,28.5,12,0,11,12.8
8.3,36.651,34,20.236,32.145,32,242.32,14,18,20,21.08,12,3,26.5,12,0,11,18.8
4.0,41.9,39,22.773,36.592,37,254.37,18,19,21,24.353,15,4,27.5,12,0,11,10.8
9.27,57.697,54,32.367,51.596,51,421.6,23,28,31,34.54,18,9,37.5,12,3,11,9.8
7.5,103.49,97,55.932,90.825,92,627.34,47,45,50,60.54,38,18,61.0,20,2,18,4.3
5.3,40.066,37,21.762,35.029,35,256.35,16,19,21,22.841,13,4,27.5,12,0,11,17.1
6.7,49.385,46,28.348,43.909,44,341.87,20,24,26,30.182,19,5,34.0,14,1,12,6.8
6.5,52.8,49,29.875,46.792,47,355.9,22,25,27,31.944,20,6,35.0,14,1,12,6.4
7.9,53.8,51,30.875,47.792,48,367.91,22,26,29,32.944,21,7,37.0,14,1,12,6.3
6.8,58.481,55,32.289,51.68,52,363.5,25,27,30,34.302,22,8,38.0,14,2,12,5.8
6.4,55.066,52,30.762,48.796,49,349.47,23,26,29,32.54,21,7,37.0,14,2,12,6.1
5.7,61.896,58,33.815,54.563,55,377.53,27,28,31,36.063,23,9,39.0,14,2,12,5.5
7.1,54.196,51,30.43,47.981,48,351.46,22,26,29,32.023,21,7,37.0,14,1,12,6.3
7.8,57.272,54,31.574,50.352,51,347.5,25,26,29,33.847,22,8,37.0,14,1,12,5.9
5.7,67.517,63,36.154,59.003,60,389.59,31,29,32,39.131,25,11,40.0,14,1,12,5.0
5.7,60.69,57,34.003,54.007,54,391.51,25,29,32,35.756,23,8,41.0,15,3,12,5.6
5.7,57.275,54,32.477,51.123,51,377.48,23,28,31,33.995,22,7,40.0,15,3,12,5.9
6.4,54.196,51,30.43,47.981,48,351.46,22,26,29,32.023,21,7,37.0,14,1,12,6.3
6.2,53.8,51,30.875,47.792,48,367.91,22,26,29,32.944,21,7,37.0,14,1,12,6.3
5.7,58.481,55,32.289,51.68,52,363.5,25,27,30,34.302,22,8,38.0,14,2,12,5.8
6.3,57.272,54,31.574,50.352,51,347.5,25,26,29,33.847,22,8,37.0,14,1,12,5.9
6.5,54.536,51,30.814,48.494,48,369.45,21,27,30,31.961,21,7,38.0,14,1,12,6.3
5.7,63.106,59,34.53,55.891,56,393.53,27,29,32,36.517,23,9,40.0,14,3,12,5.4
5.7,61.102,57,31.627,53.12,54,339.53,29,25,28,34.37,21,13,33.0,8,1,6,5.6
6.7,57.272,54,31.574,50.352,51,347.5,25,26,29,33.847,22,8,37.0,14,1,12,5.9
6.0,56.687,52,29.101,49.236,50,313.49,27,23,25,31.608,19,11,30.0,8,1,6,6.0
7.7,53.8,51,30.875,47.792,48,367.91,22,26,29,32.944,21,7,37.0,14,1,12,6.3
7.1,53.8,51,30.875,47.792,48,367.91,22,26,29,32.944,21,7,37.0,14,1,12,6.3
8.2,53.8,51,30.875,47.792,48,367.91,22,26,29,32.944,21,7,37.0,14,1,12,6.3
6.5,57.216,54,32.401,50.676,51,381.94,24,27,30,34.705,22,8,38.0,14,1,12,5.9
6.8,57.216,54,32.401,50.676,51,381.94,24,27,30,34.705,22,8,38.0,14,1,12,5.9
6.9,100.075,94,54.405,87.941,89,613.31,45,44,49,58.779,37,17,60.0,20,2,18,4.5
7.1,106.906,100,57.459,93.708,95,641.37,49,46,51,62.302,39,19,62.0,20,2,18,4.2
7.0,110.321,103,58.986,96.592,98,655.4,51,47,52,64.063,40,20,63.0,20,2,18,4.1
6.5,99.075,92,53.405,86.941,88,601.3,45,43,47,57.779,36,16,58.0,20,2,18,4.5
5.7,102.49,95,54.932,89.825,91,615.33,47,44,48,59.54,37,17,59.0,20,2,18,4.4
7.5,106.906,100,57.459,93.708,95,641.37,49,46,51,62.302,39,19,62.0,20,2,18,4.2
7.3,111.586,104,58.873,97.596,99,636.96,52,47,52,63.66,40,20,63.0,20,3,18,4.0
6.9,108.171,101,57.346,94.712,96,622.93,50,46,51,61.898,39,19,62.0,20,3,18,4.2
7.3,110.321,103,58.986,96.592,98,655.4,51,47,52,64.063,40,20,63.0,20,2,18,4.1
7.4,106.906,100,57.459,93.708,95,641.37,49,46,51,62.302,39,19,62.0,20,2,18,4.2
6.733,70.53,70,40.68,62.618,63,568.5,29,34,41,44.489,27,15,48.0,13,2,12,6.3
7.602,67.115,67,39.154,59.734,60,554.47,27,33,40,42.728,26,14,47.0,13,2,12,6.7
4.0,44.5,40,24.439,39.451,38,324.35,15,23,25,24.415,14,5,31.5,12,0,11,15.8
6.5,46.896,43,24.816,40.796,41,284.41,20,21,23,26.364,15,6,29.5,12,0,11,14.6
5.3,43.481,40,23.289,37.912,38,270.38,18,20,22,24.603,14,5,28.5,12,0,11,15.8
4.0,40.983,38,22.268,35.811,36,255.36,17,19,21,23.597,14,4,27.5,12,0,11,13.9
7.3,40.983,38,22.268,35.811,36,255.36,17,19,21,23.597,14,4,27.5,12,0,11,13.9
9.51,61.112,57,33.894,54.48,54,435.63,25,29,32,36.301,19,10,38.5,12,3,11,9.3
6.0,67.563,63,35.561,59.189,60,400.64,32,28,31,38.989,23,13,38.5,13,2,11,3.3
8.9,71.357,66,38.474,63.131,63,477.72,31,32,35,41.586,22,13,41.5,12,3,11,7.9
5.721,89.861,83,49.876,80.309,79,607.72,35,44,48,51.358,32,14,60.0,17,5,12,6.3
5.13,66.521,62,36.057,58.774,59,407.56,29,30,33,38.279,24,10,41.0,14,3,12,5.1
5.65,61.84,58,34.643,54.887,55,411.97,26,29,32,36.921,23,9,40.0,14,2,12,5.5
6.95,69.936,65,37.584,61.658,62,421.59,31,31,34,40.04,25,11,42.0,14,3,12,4.8
6.95,65.255,61,36.17,57.771,58,426.0,28,30,33,38.682,24,10,41.0,14,2,12,5.2
6.48,69.88,65,38.411,61.981,62,456.03,30,32,35,40.898,25,11,43.0,14,3,12,4.8
7.62,73.351,68,39.111,64.541,65,435.62,33,32,35,41.802,26,12,43.0,14,3,12,4.6
7.52,68.671,64,37.696,60.654,61,440.03,30,31,34,40.444,25,11,42.0,14,2,12,4.9
6.97,73.295,68,39.938,64.865,65,470.06,32,33,36,42.659,26,12,44.0,14,3,12,4.6
7.01,76.766,71,40.637,67.425,68,449.65,35,33,36,43.563,27,13,44.0,14,3,12,4.4
6.95,66.465,62,36.884,59.098,59,442.0,28,31,34,39.137,24,10,42.0,14,3,12,5.1
5.0,61.784,58,35.47,55.211,55,446.41,25,30,33,37.779,23,9,41.0,14,2,12,5.5
6.9,69.88,65,38.411,61.981,62,456.03,30,32,35,40.898,25,11,43.0,14,3,12,4.8
6.87,65.199,61,36.997,58.094,58,460.44,27,31,34,39.54,24,10,42.0,14,2,12,5.2
6.61,73.295,68,39.938,64.865,65,470.06,32,33,36,42.659,26,12,44.0,14,3,12,4.6
6.89,72.438,67,39.508,64.531,64,466.59,30,34,37,41.193,25,11,47.0,16,5,12,6.3
6.68,75.853,70,41.035,67.414,67,480.62,32,35,38,42.955,26,12,48.0,16,5,12,6.0
6.89,73.351,68,39.111,64.541,65,435.62,33,32,35,41.802,26,12,43.0,14,3,12,4.6
6.71,73.295,68,39.938,64.865,65,470.06,32,33,36,42.659,26,12,44.0,14,3,12,4.6
7.25,76.766,71,40.637,67.425,68,449.65,35,33,36,43.563,27,13,44.0,14,3,12,4.4
6.82,76.71,71,41.465,67.749,68,484.09,34,34,37,44.421,27,13,45.0,14,3,12,4.4
5.3,70.936,67,38.584,62.658,63,433.6,31,32,36,41.04,26,12,44.0,14,3,12,4.8
6.63,74.351,70,40.111,65.541,66,447.63,33,33,37,42.802,27,13,45.0,14,3,12,4.5
7.42,77.766,73,41.637,68.425,69,461.66,35,34,38,44.563,28,14,46.0,14,3,12,4.3
9.17,63.066,60,36.707,56.771,56,445.52,23,33,37,37.699,24,6,48.5,20,4,17,8.9
6.458,96.803,90,53.449,85.723,86,607.82,41,45,49,56.552,36,12,64.0,24,4,18,5.8
5.0,72.4,69,40.254,64.047,65,467.75,33,32,36,44.392,27,14,43.0,13,2,12,1.5
7.4,40.066,37,21.762,35.029,35,256.35,16,19,21,22.841,13,4,27.5,12,0,11,17.1
6.49,107.341,99,58.238,94.919,95,666.9,46,49,53,61.535,38,14,68.0,24,5,18,6.3
7.4,40.983,38,22.268,35.811,36,255.36,17,19,21,23.597,14,4,27.5,12,0,11,13.9
4.0,47.813,44,25.321,41.578,42,283.42,21,21,23,27.12,16,6,29.5,12,0,11,11.9
6.7,50.311,46,26.343,43.68,44,298.44,22,22,24,28.125,16,7,30.5,12,0,11,13.6
6.5,84.348,80,49.208,74.77,76,537.75,35,41,45,52.654,37,5,62.0,32,1,30,3.9
6.7,87.178,81,48.261,76.538,78,517.77,39,39,42,52.177,35,8,56.0,26,1,24,3.8
6.754,74.565,73,41.274,65.945,66,474.63,31,35,42,43.529,28,16,49.0,13,2,12,6.1
6.959,81.81,76,42.854,71.596,72,480.69,37,35,39,45.813,28,16,46.0,13,2,12,5.6
7.42,78.395,73,41.327,68.712,69,466.66,35,34,38,44.052,27,15,45.0,13,2,12,5.8
6.5,93.424,86,48.842,81.188,83,511.82,45,38,41,53.461,34,15,51.0,19,1,18,3.6
5.854,62.991,58,33.109,55.472,55,391.51,27,28,31,34.699,21,13,36.0,8,2,6,5.5
6.42,63.33,58,33.492,55.985,55,409.5,26,29,32,34.637,21,13,37.0,8,2,6,5.5
7.556,64.185,58,33.068,56.312,56,388.53,28,28,30,34.773,19,10,36.5,12,3,11,10.7
8.17,69.438,66,38.562,61.556,62,430.59,30,32,36,41.034,27,9,45.0,18,3,18,3.2
6.91,61.315,58,34.299,54.243,55,373.53,27,28,31,36.813,25,7,40.0,18,2,18,1.8
7.4,65.939,62,36.541,58.454,59,403.56,29,30,33,39.029,26,8,42.0,18,3,18,1.7
8.05,71.643,68,39.374,63.112,64,428.62,32,32,36,42.341,28,10,45.0,18,2,18,3.1
6.0,62.315,59,35.299,55.243,56,385.54,27,29,32,37.813,26,7,42.0,19,2,18,1.8
6.0,66.939,63,37.541,59.454,60,415.57,29,31,34,40.029,27,8,44.0,19,3,18,1.7
6.85,72.643,69,40.374,64.112,65,440.63,32,33,37,43.341,29,10,47.0,19,2,18,3.1
6.0,64.73,61,35.826,57.127,58,387.56,29,29,32,38.574,26,8,41.0,18,2,18,1.7
6.54,64.73,61,35.826,57.127,58,387.56,29,29,32,38.574,26,8,41.0,18,2,18,1.7
7.13,69.355,65,38.068,61.338,62,417.59,31,31,34,40.79,27,9,43.0,18,3,18,1.6
6.78,75.059,71,40.901,65.996,67,442.65,34,33,37,44.103,29,11,46.0,18,2,18,3.0
6.61,75.059,71,40.901,65.996,67,442.65,34,33,37,44.103,29,11,46.0,18,2,18,3.0
8.378,81.85,75,44.078,72.618,72,522.67,34,38,41,45.966,27,11,51.5,19,5,17,8.3
6.074,44.109,41,24.488,38.92,39,282.38,18,21,23,25.807,16,3,30.0,13,1,12,10.3
9.4,69.86,64,38.895,62.982,62,468.55,28,34,36,40.091,25,7,47.0,20,7,18,3.2
9.1,69.86,64,38.895,62.982,62,468.55,28,34,36,40.091,25,7,47.0,20,7,18,3.2
8.476,74.019,68,40.024,65.851,65,482.6,30,35,38,41.443,24,10,48.0,18,5,16,9.2
8.2,71.983,66,39.212,64.32,64,453.58,31,33,35,41.154,26,8,44.0,18,6,18,1.6
9.8,67.302,62,37.798,60.432,60,457.99,28,32,34,39.796,25,7,43.0,18,5,18,1.7
9.6,70.773,65,38.497,62.992,63,437.58,31,32,34,40.699,26,8,43.0,18,5,18,1.6
9.39,55.651,52,31.181,49.887,49,383.45,21,28,31,31.938,19,6,40.0,17,4,16,10.2
8.6,69.86,64,38.895,62.982,62,468.55,28,34,36,40.091,25,7,47.0,20,7,18,3.2
9.6,70.773,65,38.497,62.992,63,437.58,31,32,34,40.699,26,8,43.0,18,5,18,1.6
9.0,67.302,62,37.798,60.432,60,457.99,28,32,34,39.796,25,7,43.0,18,5,18,1.7
9.4,71.983,66,39.212,64.32,64,453.58,31,33,35,41.154,26,8,44.0,18,6,18,1.6
9.25,67.302,62,37.798,60.432,60,457.99,28,32,34,39.796,25,7,43.0,18,5,18,1.7
5.0,39.235,41,20.763,34.054,35,213.35,19,16,22,22.858,15,15,22.0,0,0,0,2.9
5.0,55.986,53,32.17,50.349,50,378.46,22,28,31,33.443,22,7,42.0,19,4,16,4.0
7.37,59.598,56,33.51,53.08,53,401.94,25,28,31,35.608,23,10,38.0,13,2,12,1.9
7.125,70.955,65,38.734,63.196,62,475.56,28,34,37,39.853,25,11,45.0,14,3,12,4.8
6.479,56.398,52,29.794,49.461,50,326.48,26,24,26,32.057,20,9,32.0,12,2,12,4.0
7.275,62.102,58,32.627,54.12,55,351.54,29,26,29,35.37,22,11,35.0,12,1,12,5.5
7.364,67.643,63,35.374,59.112,60,380.58,32,28,31,38.341,24,12,37.0,12,2,12,3.3
7.9,65.125,60,36.68,58.429,57,459.51,24,33,36,37.33,24,8,45.5,18,3,17,5.3
7.319,70.955,65,38.734,63.196,62,475.56,28,34,37,39.853,25,11,45.0,14,3,12,4.8
8.788,57.195,55,32.664,51.2,51,397.54,23,28,32,34.642,21,9,39.5,13,3,11,5.9
6.26,60.318,57,34.202,54.014,54,391.5,25,29,32,35.961,24,6,41.0,18,4,18,1.9
7.21,60.318,57,34.202,54.014,54,391.5,25,29,32,35.961,24,6,41.0,18,4,18,1.9
6.8,52.883,50,30.369,47.011,47,368.9,21,26,29,32.188,20,7,37.0,14,1,12,8.5
8.0,60.923,57,34.138,54.105,54,412.96,25,29,32,36.165,22,9,40.0,14,2,12,7.4
7.8,64.046,60,35.455,56.443,57,410.0,28,29,32,38.228,24,10,40.0,14,1,12,5.3
7.9,61.84,58,34.643,54.887,55,411.97,26,29,32,36.921,23,9,40.0,14,2,12,5.5
6.9,52.883,50,30.369,47.011,47,368.9,21,26,29,32.188,20,7,37.0,14,1,12,8.5
7.6,52.883,50,30.369,47.011,47,368.9,21,26,29,32.188,20,7,37.0,14,1,12,8.5
8.1,63.129,59,34.949,55.661,56,410.99,27,29,32,37.472,23,10,40.0,14,1,12,7.1
7.0,63.129,59,34.949,55.661,56,410.99,27,29,32,37.472,23,10,40.0,14,1,12,7.1
6.5,60.923,57,34.138,54.105,54,412.96,25,29,32,36.165,22,9,40.0,14,2,12,7.4
7.3,52.883,50,30.369,47.011,47,368.9,21,26,29,32.188,20,7,37.0,14,1,12,8.5
7.7,63.129,59,34.949,55.661,56,410.99,27,29,32,37.472,23,10,40.0,14,1,12,7.1
7.4,60.923,57,34.138,54.105,54,412.96,25,29,32,36.165,22,9,40.0,14,2,12,7.4
6.6,51.967,49,29.864,46.229,46,369.89,20,26,29,31.432,19,7,37.0,14,1,12,10.9
7.4,105.989,99,56.954,92.927,94,642.36,48,46,51,61.546,38,19,62.0,20,2,18,5.3
7.96,60.318,57,34.202,54.014,54,391.5,25,29,32,35.961,24,6,41.0,18,4,18,1.9
6.73,60.318,57,34.202,54.014,54,391.5,25,29,32,35.961,24,6,41.0,18,4,18,1.9
6.82,60.318,57,34.202,54.014,54,391.5,25,29,32,35.961,24,6,41.0,18,4,18,1.9
7.14,54.113,50,29.39,48.458,48,345.43,23,25,27,30.654,19,7,33.0,12,5,12,2.1
7.75,60.318,57,34.202,54.014,54,391.5,25,29,32,35.961,24,6,41.0,18,4,18,1.9
6.05,60.528,57,33.917,54.342,54,395.49,25,29,32,35.415,23,7,40.5,17,5,17,1.9
7.51,55.322,51,30.105,49.785,49,361.43,23,26,28,31.108,19,7,34.0,12,6,12,2.0
6.4,55.322,51,30.105,49.785,49,361.43,23,26,28,31.108,19,7,34.0,12,6,12,2.0
8.561,58.737,54,31.632,52.669,52,375.46,25,27,29,32.87,20,8,35.0,12,6,12,1.9
7.1,58.737,54,31.632,52.669,52,375.46,25,27,29,32.87,20,8,35.0,12,6,12,1.9
8.66,54.057,50,30.218,48.782,48,379.87,22,26,28,31.512,19,7,34.0,12,5,12,2.1
7.47,54.057,50,30.218,48.782,48,379.87,22,26,28,31.512,19,7,34.0,12,5,12,2.1
8.62,54.452,50,29.774,48.971,48,363.42,22,26,28,30.591,19,7,34.0,12,5,12,2.1
6.99,54.452,50,29.774,48.971,48,363.42,22,26,28,30.591,19,7,34.0,12,5,12,2.1
6.35,58.737,54,31.632,52.669,52,375.46,25,27,29,32.87,20,8,35.0,12,6,12,1.9
6.19,58.737,54,31.632,52.669,52,375.46,25,27,29,32.87,20,8,35.0,12,6,12,1.9
8.24,54.113,50,29.39,48.458,48,345.43,23,25,27,30.654,19,7,33.0,12,5,12,2.1
6.4,65.358,61,34.971,58.109,58,399.53,29,29,32,36.938,23,11,38.0,12,5,12,1.7
5.978,69.015,64,36.176,60.105,61,392.6,32,29,32,39.137,24,12,39.0,13,1,12,6.6
6.529,67.517,63,36.154,59.003,60,389.59,31,29,32,39.131,25,11,40.0,14,1,12,5.0
7.31,60.734,57,32.729,53.898,54,369.5,27,27,30,34.722,22,10,36.0,12,4,12,1.9
7.8,55.903,53,31.675,50.131,50,365.46,23,27,30,33.199,22,6,38.5,17,4,17,2.0
6.02,62.97,59,35.545,56.291,56,448.03,26,30,33,38.023,22,8,43.0,18,3,16,5.4
5.421,62.053,58,35.039,55.509,55,449.02,25,30,33,37.267,21,8,43.0,18,3,16,7.3
6.24,65.358,61,34.971,58.109,58,399.53,29,29,32,36.938,23,11,38.0,12,5,12,1.7
6.26,67.149,64,37.256,59.781,60,419.56,29,31,35,39.483,26,10,43.5,17,4,17,1.7
4.72,56.957,55,35.098,51.738,51,475.43,20,31,35,37.148,22,6,45.0,18,2,16,7.8
6.22,65.366,62,37.986,58.531,58,486.44,25,33,37,40.029,24,8,47.0,18,2,16,8.6
7.76,63.899,61,36.497,56.858,57,434.61,26,31,35,38.955,24,8,45.0,18,2,16,7.0
5.745,50.65,48,28.014,44.436,45,326.51,22,23,26,30.523,18,7,32.5,12,0,11,8.9
8.35,65.422,62,37.159,58.207,58,452.0,26,32,36,39.171,24,8,46.5,21,2,21,8.6
5.0,51.484,52,28.246,45.476,46,309.44,23,23,29,30.29,20,14,32.0,6,2,6,2.2
6.271,48.069,49,26.719,42.592,43,295.41,21,22,28,28.529,19,13,31.0,6,2,6,2.3
5.558,52.694,53,28.961,46.803,47,325.44,23,24,30,30.745,20,14,33.0,6,3,6,2.1
5.457,51.484,52,28.246,45.476,46,309.44,23,23,29,30.29,20,14,32.0,6,2,6,2.2
7.08,60.741,58,35.745,54.32,54,456.41,23,31,35,37.813,23,7,45.5,21,1,21,9.3
8.05,61.693,59,35.685,55.302,55,436.58,24,31,35,37.648,23,7,45.0,18,3,16,7.3
7.76,63.843,61,37.325,57.182,57,469.05,25,32,36,39.813,24,8,46.0,18,2,16,7.0
7.04,61.637,59,36.513,55.625,55,471.02,23,32,36,38.506,23,7,46.0,18,3,16,7.3
7.68,65.478,62,36.331,57.883,58,417.56,27,31,35,38.313,24,8,45.5,21,2,21,8.6
6.876,83.437,78,44.286,73.821,74,514.75,38,36,40,47.637,28,16,48.0,14,5,12,2.7
6.516,78.757,74,42.872,69.934,70,519.16,35,35,39,46.279,27,15,47.0,14,4,12,2.9
6.971,74.472,70,41.014,66.236,66,507.12,32,34,38,44.0,26,14,46.0,14,3,12,3.0
6.472,74.472,70,41.014,66.236,66,507.12,32,34,38,44.0,26,14,46.0,14,3,12,3.0
6.469,77.607,74,42.233,69.054,69,498.7,34,35,40,45.114,27,15,48.0,14,5,12,2.9
6.91,83.456,76,44.436,74.359,73,556.71,35,38,41,46.449,27,15,49.0,14,5,12,2.7
6.434,83.456,76,44.436,74.359,73,556.71,35,38,41,46.449,27,15,49.0,14,5,12,2.7
7.041,81.041,75,43.909,72.476,71,554.69,33,38,42,45.688,27,15,50.0,14,5,12,2.8
6.742,74.491,68,41.164,66.774,65,549.08,29,36,39,42.813,25,13,47.0,14,3,12,3.1
6.104,74.491,68,41.164,66.774,65,549.08,29,36,39,42.813,25,13,47.0,14,3,12,3.1
6.583,79.511,72,42.961,71.174,69,562.66,31,38,41,44.108,26,14,49.0,14,4,12,2.9
6.45,79.511,72,42.961,71.174,69,562.66,31,38,41,44.108,26,14,49.0,14,4,12,2.9
6.52,79.511,72,42.961,71.174,69,562.66,31,38,41,44.108,26,14,49.0,14,4,12,2.9
5.356,82.777,76,43.67,73.334,73,520.73,37,36,39,46.574,27,15,47.0,14,5,12,2.7
6.167,83.117,76,44.053,73.847,73,538.72,36,37,40,46.512,27,15,48.0,14,5,12,2.7
6.161,86.192,79,45.196,76.218,76,534.76,39,37,40,48.336,28,16,48.0,14,5,12,2.6
6.194,86.192,79,45.196,76.218,76,534.76,39,37,40,48.336,28,16,48.0,14,5,12,2.6
6.524,86.192,79,45.196,76.218,76,534.76,39,37,40,48.336,28,16,48.0,14,5,12,2.6
5.859,77.283,71,41.096,68.309,68,492.69,34,34,37,43.841,26,14,45.0,14,3,12,2.9
6.851,83.437,78,44.286,73.821,74,514.75,38,36,40,47.637,28,16,48.0,14,5,12,2.7
5.0,26.842,25,18.577,24.956,24,260.28,6,18,19,18.818,13,1,28.5,13,0,11,8.3
6.49,71.773,67,39.497,63.992,64,449.59,31,33,36,41.699,27,9,45.0,18,5,18,1.6
5.78,71.773,67,39.497,63.992,64,449.59,31,33,36,41.699,27,9,45.0,18,5,18,1.6
7.25,67.149,63,37.256,59.781,60,419.56,29,31,34,39.483,26,8,43.0,18,4,18,1.7
6.38,67.149,63,37.256,59.781,60,419.56,29,31,34,39.483,26,8,43.0,18,4,18,1.7
6.92,62.524,59,35.014,55.571,56,389.53,27,29,32,37.267,25,7,41.0,18,3,18,1.8
6.77,62.524,59,35.014,55.571,56,389.53,27,29,32,37.267,25,7,41.0,18,3,18,1.8
6.697,78.188,72,41.749,69.374,69,502.7,34,35,38,44.364,25,13,48.0,16,5,12,5.8
6.627,78.188,72,41.749,69.374,69,502.7,34,35,38,44.364,25,13,48.0,16,5,12,5.8
6.772,79.394,73,41.561,69.93,70,488.72,36,34,37,44.671,25,14,45.0,14,4,12,5.7
6.903,74.555,69,41.172,66.272,66,572.02,32,34,37,44.665,24,13,45.0,14,3,12,6.1
6.967,76.026,70,40.208,67.014,67,475.69,34,33,36,43.148,25,13,44.0,14,3,12,4.5
6.264,76.026,70,40.208,67.014,67,475.69,34,33,36,43.148,25,13,44.0,14,3,12,4.5
6.921,75.97,70,41.035,67.338,67,510.13,33,34,37,44.006,25,13,45.0,14,3,12,4.5
6.996,75.97,70,41.035,67.338,67,510.13,33,34,37,44.006,25,13,45.0,14,3,12,4.5
6.476,80.121,73,42.501,70.923,70,525.7,34,36,39,44.785,26,14,47.0,14,3,12,4.3
6.614,75.97,70,41.035,67.338,67,510.13,33,34,37,44.006,25,13,45.0,14,3,12,4.5
6.439,85.936,80,45.308,75.923,76,529.77,39,37,41,48.642,28,16,49.0,14,5,12,3.9
6.654,80.121,73,42.501,70.923,70,525.7,34,36,39,44.785,26,14,47.0,14,3,12,4.3
6.662,83.726,77,43.593,73.596,74,501.76,39,35,38,47.188,27,15,46.0,14,4,12,4.1
6.554,74.555,69,41.172,66.272,66,572.02,32,34,37,44.665,24,13,45.0,14,3,12,6.1
6.79,80.651,74,42.449,71.225,71,505.72,36,35,38,45.364,26,14,46.0,14,4,12,4.2
6.399,80.255,74,42.894,71.036,71,522.17,36,35,38,46.284,26,14,46.0,14,4,12,4.2
7.377,80.153,74,43.091,70.941,71,566.62,36,35,38,46.779,26,14,46.0,14,4,12,4.2
6.373,84.936,78,44.308,74.923,75,517.76,39,36,39,47.642,27,15,47.0,14,5,12,4.0
6.325,84.745,77,44.743,75.134,74,555.73,36,38,41,47.0,27,15,49.0,14,4,12,4.1
6.588,84.745,77,44.743,75.134,74,555.73,36,38,41,47.0,27,15,49.0,14,4,12,4.1
6.762,82.813,76,43.99,73.585,73,532.73,36,37,40,46.58,26,14,50.0,16,6,12,5.5
6.777,79.046,73,42.179,69.709,70,506.17,36,34,37,45.83,26,14,45.0,14,3,12,4.3
6.221,81.255,76,43.894,72.036,72,534.18,36,36,40,47.284,27,15,48.0,14,4,12,4.2
6.021,76.97,72,42.035,68.338,68,522.14,33,35,39,45.006,26,14,47.0,14,3,12,4.4
6.602,80.255,74,42.894,71.036,71,522.17,36,35,38,46.284,26,14,46.0,14,4,12,4.2
6.714,79.046,73,42.179,69.709,70,506.17,36,34,37,45.83,26,14,45.0,14,3,12,4.3
7.086,79.102,73,41.351,69.385,70,471.73,37,33,36,44.972,26,14,44.0,14,3,12,4.3
6.699,79.102,73,41.351,69.385,70,471.73,37,33,36,44.972,26,14,44.0,14,3,12,4.3
6.312,75.686,70,39.824,66.501,67,457.7,35,32,35,43.211,25,13,43.0,14,3,12,4.5
6.664,76.769,71,41.319,67.72,68,482.71,34,34,37,44.455,26,13,47.0,15,3,12,5.9
7.509,76.769,71,41.319,67.72,68,482.71,34,34,37,44.455,26,13,47.0,15,3,12,5.9
6.415,76.026,70,40.208,67.014,67,475.69,34,33,36,43.148,25,13,44.0,14,3,12,4.5
6.398,74.769,69,39.319,65.72,66,458.69,34,32,35,42.455,24,13,43.0,14,3,12,6.1
6.824,76.026,70,40.208,67.014,67,475.69,34,33,36,43.148,25,13,44.0,14,3,12,4.5
6.71,82.44,76,43.968,73.116,73,535.8,37,36,39,47.529,26,14,49.0,16,5,12,4.1
6.407,82.44,76,43.968,73.116,73,535.8,37,36,39,47.529,26,14,49.0,16,5,12,4.1
6.9,84.936,78,44.308,74.923,75,517.76,39,36,39,47.642,27,15,47.0,14,5,12,4.0
6.759,81.33,74,43.216,72.25,71,541.7,34,37,40,45.239,26,14,48.0,14,4,12,4.2
6.815,84.936,78,44.308,74.923,75,517.76,39,36,39,47.642,27,15,47.0,14,5,12,4.0
6.963,91.766,84,47.361,80.69,81,545.82,43,38,41,51.165,29,17,49.0,14,5,12,3.7
7.409,82.539,75,43.931,73.578,72,557.7,34,38,41,45.694,26,14,49.0,14,5,12,4.2
6.1,71.019,66,39.078,62.876,63,446.6,30,33,36,41.284,26,11,46.0,15,3,12,6.3
5.8,70.615,65,38.35,62.683,62,457.57,29,33,36,39.915,25,11,44.0,14,3,12,4.8
6.1,72.019,68,40.078,63.876,64,458.61,30,34,38,42.284,27,12,48.0,15,3,12,6.3
