pXC50,Me,nH,AMW,nN,nDB,N.,nHet,nC,H.,C.,nCsp2,nCsp3,nHM,nS,Si,Sv,nAT,RBN,Sp,RBF,Mi,nBO,SCBO,nSK,Mv,X.,nAB,nBT,MW,Se
4.301,1.024,10,11.765,3,2,9.1,7,16,30.3,48.5,15,1,2,1,36.336,24.813,33,2,25.972,0.056,1.101,26,36.0,23,0.752,3.0,16,36,388.26,33.8
4.301,1.006,23,8.359,4,3,7.5,8,22,43.4,41.5,15,7,2,1,59.428,34.798,53,5,37.051,0.089,1.121,33,42.0,30,0.657,1.9,12,56,443.01,53.298
4.301,1.019,22,8.046,2,4,3.7,8,24,40.7,44.4,17,7,0,0,60.405,35.6,54,6,36.352,0.103,1.119,36,46.0,32,0.659,0.0,12,58,434.48,55.003
4.301,1.021,27,7.474,3,5,5.2,10,21,46.6,36.2,11,10,0,0,65.943,35.389,58,13,36.335,0.22,1.137,32,40.0,31,0.61,0.0,6,59,433.51,59.2
4.726,0.997,28,7.43,2,3,3.6,7,20,50.9,36.4,11,9,2,2,61.862,33.41,55,11,36.568,0.196,1.125,28,36.5,27,0.607,0.0,11,56,408.64,54.825
4.301,1.006,30,7.578,4,4,6.7,10,20,50.0,33.3,6,13,2,2,68.068,36.167,60,7,39.034,0.113,1.134,32,41.0,30,0.603,0.0,6,62,454.68,60.356
5.702,1.005,21,7.833,3,1,5.9,6,24,41.2,47.1,20,4,0,0,56.86,33.95,51,4,35.233,0.073,1.115,34,46.0,30,0.666,0.0,22,55,399.48,51.24
4.301,1.017,25,7.785,3,6,5.2,9,24,43.1,41.4,18,6,0,0,65.319,37.148,58,8,38.119,0.133,1.126,35,46.5,33,0.64,0.0,11,60,451.52,58.989
4.601,1.01,15,9.305,3,2,7.3,7,19,36.6,46.3,16,3,2,2,45.245,29.029,41,3,30.79,0.067,1.104,30,42.5,26,0.708,0.0,21,45,381.51,41.414
4.864,1.014,25,7.769,1,4,1.9,8,21,46.3,38.9,12,9,1,1,60.657,33.819,54,7,35.517,0.125,1.123,31,40.5,29,0.626,0.0,11,56,419.54,54.745
4.301,1.008,19,7.568,5,2,11.6,7,17,44.2,39.5,11,6,0,0,48.817,27.224,43,3,28.267,0.065,1.135,27,34.5,24,0.633,0.0,11,46,325.41,43.349
4.301,1.021,25,7.834,6,1,10.5,10,22,43.9,38.6,13,9,0,0,65.786,35.788,57,4,36.677,0.067,1.154,35,44.0,32,0.628,5.3,16,60,446.53,58.196
4.0,1.005,14,7.952,0,1,0.0,3,18,40.0,51.4,17,1,0,0,38.535,23.832,35,3,24.693,0.081,1.101,23,32.5,21,0.681,0.0,17,37,278.32,35.167
4.301,1.012,24,7.936,4,3,7.4,9,21,44.4,38.9,13,8,1,1,60.903,34.4,54,6,36.103,0.105,1.128,33,41.5,30,0.637,0.0,11,57,428.56,54.629
4.483,1.002,19,8.034,3,3,6.8,6,19,43.2,43.2,16,3,1,1,49.155,28.895,44,5,30.665,0.109,1.117,27,36.0,25,0.657,0.0,12,46,353.48,44.105
4.54,1.036,12,8.923,2,3,5.7,7,16,34.3,45.7,14,2,0,0,39.12,24.251,35,5,24.091,0.135,1.118,25,36.0,23,0.693,0.0,16,37,312.3,36.258
4.587,1.079,8,10.375,3,1,10.0,9,13,26.7,43.3,11,2,0,0,34.803,21.466,30,3,20.239,0.094,1.16,24,32.5,22,0.716,10.0,15,32,311.24,32.36
5.105,1.012,11,9.478,1,1,3.6,5,12,39.3,42.9,9,3,2,2,30.833,19.459,28,3,21.017,0.1,1.101,19,25.0,17,0.695,0.0,10,30,265.38,28.327
5.505,1.008,23,7.731,3,0,5.6,7,24,42.6,44.4,20,4,0,0,60.485,35.191,54,6,36.449,0.105,1.12,34,45.5,31,0.652,0.0,23,57,417.5,54.451
5.267,1.021,24,8.009,4,3,6.9,10,24,41.4,41.4,16,8,0,0,65.402,37.642,58,7,38.364,0.113,1.128,38,49.0,34,0.649,0.0,16,62,464.52,59.207
4.943,1.011,15,9.092,3,2,7.9,7,16,39.5,42.1,11,5,2,2,42.245,26.029,38,2,27.79,0.049,1.112,26,33.5,23,0.685,0.0,11,41,345.48,38.414
4.301,1.035,10,9.823,2,5,6.3,7,15,31.3,46.9,12,3,1,1,35.415,23.196,32,1,23.523,0.029,1.107,25,33.0,22,0.725,0.0,6,35,314.34,33.124
4.301,1.018,17,8.342,3,2,6.7,7,21,37.8,46.7,18,3,0,0,50.239,30.611,45,2,31.165,0.041,1.116,32,42.5,28,0.68,0.0,17,49,375.41,45.8
5.067,1.038,6,14.486,1,3,4.8,6,9,28.6,42.9,8,1,3,2,22.844,16.431,21,2,17.847,0.091,1.088,16,21.5,15,0.782,4.8,5,22,304.2,21.789
4.899,1.015,14,8.906,2,4,5.3,6,18,36.8,47.4,15,3,1,1,42.036,26.535,38,3,27.591,0.073,1.106,27,36.5,24,0.698,0.0,11,41,338.41,38.564
4.301,0.988,23,6.224,1,1,2.4,3,16,54.8,38.1,7,9,0,0,47.484,24.246,42,6,26.29,0.14,1.131,20,24.0,19,0.577,0.0,6,43,261.4,41.476
4.756,1.014,14,7.951,4,0,11.8,6,14,41.2,41.2,11,3,0,0,38.488,22.149,34,3,22.739,0.083,1.132,22,30.0,20,0.651,0.0,16,36,270.32,34.48
7.464,0.992,21,7.225,3,1,7.1,5,16,50.0,38.1,5,10,1,1,47.361,25.707,42,3,27.972,0.068,1.128,23,28.5,21,0.612,0.0,5,44,303.47,41.662
4.301,1.009,15,9.49,5,1,11.4,8,21,34.1,47.7,15,4,2,2,48.617,31.83,44,5,33.585,0.106,1.105,32,45.5,29,0.723,0.0,17,47,417.55,44.407
5.018,1.034,20,9.047,2,2,4.1,10,19,40.8,38.8,13,6,2,0,55.293,32.255,49,10,33.068,0.2,1.128,30,38.0,29,0.658,4.1,12,50,443.31,50.651
4.823,1.033,14,8.294,0,2,0.0,6,15,40.0,42.9,12,3,0,0,39.163,22.976,35,5,23.057,0.139,1.119,22,29.5,21,0.656,0.0,11,36,290.29,36.149
4.301,1.006,9,9.491,1,3,4.8,4,8,42.9,38.1,4,4,2,2,23.209,14.218,21,0,15.801,0.0,1.105,13,16.0,12,0.677,0.0,0,22,199.32,21.116
4.911,1.007,17,8.769,5,2,12.2,8,16,41.5,39.0,11,4,2,2,46.032,27.357,41,6,29.347,0.143,1.123,25,34.5,24,0.667,0.0,11,42,359.52,41.291
5.509,1.02,16,9.25,4,3,9.5,9,17,38.1,40.5,15,2,2,2,46.953,28.765,42,6,30.25,0.136,1.118,28,39.5,26,0.685,0.0,17,44,388.51,42.844
4.793,1.008,18,8.329,2,3,4.5,6,20,40.9,45.5,14,5,1,1,48.866,29.589,44,5,31.114,0.109,1.111,28,38.5,26,0.672,0.0,11,46,366.47,44.331
4.301,1.023,16,8.631,2,4,4.4,7,22,35.6,48.9,21,1,0,0,49.95,31.304,45,4,31.614,0.083,1.11,32,44.5,29,0.696,0.0,17,48,388.4,46.025
4.301,1.032,12,9.179,1,2,3.1,6,14,37.5,43.8,12,2,1,0,35.771,21.869,32,6,22.25,0.182,1.118,21,28.5,20,0.683,3.1,11,33,293.72,33.036
4.301,1.022,14,9.161,4,0,10.0,8,18,35.0,45.0,15,3,1,1,44.617,28.051,40,4,28.841,0.091,1.115,30,40.5,26,0.701,0.0,21,44,366.43,40.884
4.301,1.007,25,8.191,3,3,4.9,8,28,41.0,45.9,23,5,1,1,67.82,40.905,61,7,42.858,0.108,1.112,40,54.0,36,0.671,0.0,22,65,499.63,61.411
7.638,1.024,24,8.667,3,4,5.3,11,22,42.1,38.6,14,8,2,1,64.183,37.162,57,5,38.625,0.083,1.126,36,46.0,33,0.652,1.8,12,60,494.01,58.389
4.301,1.013,17,8.377,3,2,7.3,7,17,41.5,41.5,12,5,1,1,45.95,27.083,41,3,28.358,0.068,1.121,27,34.5,24,0.661,0.0,11,44,343.44,41.549
4.301,1.027,11,9.61,2,1,5.9,6,17,32.4,50.0,16,1,1,0,37.645,24.649,34,3,25.04,0.081,1.107,26,37.0,23,0.725,2.9,20,37,326.75,34.927
4.301,1.005,20,8.011,2,1,4.3,6,20,43.5,43.5,15,5,1,1,51.282,30.116,46,6,31.875,0.122,1.115,29,38.0,26,0.655,0.0,16,49,368.49,46.214
4.462,1.022,14,8.387,2,1,5.4,6,17,37.8,45.9,16,1,0,0,41.325,25.063,37,4,25.398,0.103,1.117,25,34.5,23,0.677,0.0,17,39,310.33,37.814
4.301,1.01,23,7.873,3,4,5.9,8,20,45.1,39.2,14,6,1,1,57.405,32.379,51,8,34.097,0.151,1.126,30,40.0,28,0.635,0.0,12,53,401.53,51.527
7.198,1.001,19,6.739,3,1,8.1,5,13,51.4,35.1,7,6,0,0,42.235,21.708,37,2,23.017,0.053,1.141,19,23.0,18,0.587,0.0,6,38,249.35,37.029
4.301,1.014,17,8.19,3,4,7.7,7,15,43.6,38.5,10,5,1,1,43.95,25.083,39,4,26.358,0.1,1.127,23,30.0,22,0.643,0.0,6,40,319.42,39.549
4.301,1.027,14,9.611,2,1,5.3,7,17,36.8,44.7,14,3,2,0,42.419,26.53,38,5,27.421,0.125,1.116,26,35.0,24,0.698,5.3,16,40,365.23,39.018
4.301,1.019,17,7.985,5,3,12.2,8,16,41.5,39.0,12,4,0,0,46.611,26.412,41,3,26.96,0.07,1.137,26,34.5,24,0.644,0.0,11,43,327.38,41.793
4.331,1.012,17,7.784,3,1,7.5,6,17,42.5,42.5,13,4,0,0,45.03,25.896,40,5,26.71,0.119,1.126,25,34.0,23,0.647,0.0,16,42,311.37,40.473
4.755,1.013,18,8.786,2,4,4.1,7,24,36.7,49.0,19,5,1,1,54.076,34.304,49,5,35.568,0.093,1.104,36,48.0,31,0.7,0.0,16,54,430.51,49.658
5.585,0.993,22,7.01,2,1,4.3,4,20,47.8,43.5,14,6,0,0,51.567,28.74,46,7,30.534,0.146,1.121,26,35.0,24,0.625,0.0,16,48,322.44,45.694
4.301,0.978,20,6.472,2,0,5.1,2,17,51.3,43.6,8,8,0,0,43.733,23.784,39,2,25.864,0.049,1.121,21,28.0,19,0.61,0.0,10,41,252.39,38.156
4.301,0.996,29,7.155,3,4,4.8,6,27,46.8,43.5,16,11,0,0,69.521,39.057,62,5,41.279,0.076,1.121,37,47.0,33,0.63,0.0,12,66,443.59,61.774
5.003,1.059,7,10.61,1,3,4.0,7,11,28.0,44.0,11,0,1,1,27.711,18.363,25,4,18.21,0.154,1.108,19,27.5,18,0.735,0.0,11,26,265.26,26.466
7.251,0.994,19,7.422,3,1,7.7,5,15,48.7,38.5,5,9,1,1,43.946,24.181,39,3,26.211,0.073,1.127,22,27.5,20,0.62,0.0,5,41,289.44,38.778
7.638,1.019,15,7.267,1,3,3.2,5,11,48.4,35.5,5,6,0,0,35.242,18.568,31,2,19.154,0.063,1.137,17,20.0,16,0.599,0.0,0,32,225.27,31.596
4.301,0.989,21,6.036,1,2,2.7,3,13,56.8,35.1,3,10,0,0,42.069,20.719,37,3,22.529,0.079,1.137,17,19.0,16,0.56,0.0,0,38,223.35,36.592
4.62,1.043,6,10.762,4,0,16.7,7,11,25.0,45.8,11,0,1,1,26.747,18.229,24,2,18.341,0.074,1.114,21,30.5,18,0.76,0.0,19,27,258.28,25.022
7.0,0.991,35,6.691,7,0,10.1,8,26,50.7,37.7,15,11,0,0,78.51,41.24,69,10,44.154,0.139,1.138,37,46.0,34,0.598,0.0,18,72,461.68,68.41
4.301,1.001,28,7.544,4,3,6.7,8,24,46.7,40.0,16,8,1,1,67.524,37.739,60,6,40.171,0.095,1.125,35,46.5,32,0.629,0.0,17,63,452.63,60.069
7.523,0.995,36,7.153,7,1,9.6,9,28,49.3,38.4,17,11,1,0,82.87,44.594,73,12,47.773,0.158,1.135,40,50.0,37,0.611,1.4,18,76,522.16,72.618
4.301,1.0,14,8.896,2,1,5.9,5,15,41.2,44.1,12,3,2,2,37.537,23.293,34,4,25.33,0.111,1.104,22,30.5,20,0.685,0.0,15,36,302.45,33.985
7.488,1.019,20,8.099,4,4,8.9,9,16,44.4,35.6,8,8,1,1,51.072,28.346,45,5,29.58,0.106,1.135,27,33.5,25,0.63,0.0,5,47,364.47,45.862
4.301,1.017,16,8.109,2,2,5.0,6,18,40.0,45.0,16,2,0,0,44.741,26.59,40,4,27.159,0.095,1.119,26,36.0,24,0.665,0.0,16,42,324.36,40.698
5.282,1.006,20,7.663,1,2,2.4,5,17,47.6,40.5,9,8,1,0,47.223,26.261,42,2,27.841,0.045,1.124,24,29.0,22,0.625,2.4,6,44,321.83,42.243
4.883,0.985,27,6.152,1,1,2.0,3,19,55.1,38.8,8,11,0,0,55.315,28.299,49,6,30.813,0.118,1.129,24,28.0,22,0.578,0.0,6,51,301.47,48.243
4.778,1.018,18,7.889,1,2,2.6,6,14,47.4,36.8,8,6,1,0,43.017,23.449,38,6,24.534,0.158,1.132,20,25.0,20,0.617,2.6,6,38,299.78,38.687
4.301,0.986,23,5.442,1,1,2.7,3,11,62.2,29.7,1,10,0,0,42.484,19.246,37,7,21.29,0.194,1.148,13,14.0,14,0.52,0.0,0,36,201.35,36.476
4.301,1.05,18,8.318,1,2,2.4,9,15,42.9,35.7,8,7,0,0,48.716,26.013,42,6,25.705,0.143,1.16,24,29.0,24,0.619,7.1,6,42,349.34,44.112
7.824,1.001,32,7.055,7,0,10.6,9,25,48.5,37.9,15,10,0,0,75.435,40.096,66,10,42.33,0.145,1.143,37,46.0,34,0.608,1.5,18,69,465.64,66.039
4.301,1.015,17,8.941,5,1,11.9,9,16,40.5,38.1,10,6,2,2,47.242,28.072,42,5,29.801,0.111,1.125,28,36.5,25,0.668,0.0,15,45,375.52,42.618
6.959,0.997,40,7.313,7,1,8.3,10,34,47.6,40.5,22,12,1,0,94.909,52.362,84,13,55.751,0.148,1.13,48,61.0,44,0.623,1.2,24,88,614.26,83.712
5.757,0.996,29,6.993,7,0,11.7,8,23,48.3,38.3,15,8,0,0,68.265,36.659,60,9,38.87,0.143,1.138,34,43.0,31,0.611,0.0,18,63,419.59,59.76
5.282,1.01,11,8.512,1,1,3.8,4,11,42.3,42.3,9,2,1,1,28.913,17.272,26,2,18.369,0.074,1.112,16,22.0,15,0.664,0.0,10,27,221.3,26.251
7.046,1.006,27,8.118,6,0,10.0,10,23,45.0,38.3,15,8,2,1,67.84,38.367,60,10,40.824,0.159,1.131,36,45.0,33,0.639,1.7,18,63,487.08,60.385
5.377,0.996,29,7.075,7,1,11.5,8,24,47.5,39.3,17,7,0,0,69.265,37.659,61,9,39.87,0.141,1.135,35,45.0,32,0.617,0.0,18,64,431.6,60.76
4.624,0.993,19,7.035,3,2,7.5,4,17,47.5,42.5,11,6,0,0,45.026,24.993,40,2,26.563,0.047,1.126,24,31.0,21,0.625,0.0,10,43,281.39,39.702
5.466,1.011,15,9.202,4,0,10.3,7,17,38.5,43.6,14,3,2,1,43.558,26.976,39,2,28.551,0.048,1.117,27,37.0,24,0.692,2.6,20,42,358.88,39.436
5.0,0.99,37,6.681,7,0,9.6,8,28,50.7,38.4,15,13,0,0,82.926,43.767,73,8,46.915,0.104,1.136,40,49.0,36,0.6,0.0,18,77,487.72,72.294
6.222,1.003,38,7.542,7,2,9.0,12,28,48.7,35.9,15,13,2,1,88.624,47.738,78,12,51.091,0.148,1.136,43,54.0,40,0.612,1.3,18,81,588.25,78.232
7.824,0.995,36,7.085,7,0,9.7,9,27,50.0,37.5,15,12,1,0,81.87,43.594,72,10,46.773,0.133,1.137,39,48.0,36,0.605,1.4,18,75,510.15,71.618
4.301,1.031,11,9.149,1,2,3.4,6,12,37.9,41.4,10,2,1,1,32.332,19.702,29,6,20.278,0.2,1.115,19,26.0,18,0.679,0.0,10,30,265.31,29.905
5.806,1.004,13,8.48,1,1,3.1,4,15,40.6,46.9,13,2,1,1,35.328,21.799,32,1,23.131,0.029,1.104,21,28.0,19,0.681,0.0,12,34,271.36,32.134
6.699,0.994,31,6.883,7,0,11.1,8,24,49.2,38.1,15,9,0,0,71.68,38.186,63,10,40.631,0.152,1.138,35,44.0,32,0.606,0.0,18,66,433.62,62.643
7.398,0.996,40,7.078,7,1,8.8,10,30,50.0,37.5,16,14,1,0,90.909,48.362,80,14,51.751,0.169,1.136,43,53.0,40,0.605,1.3,18,83,566.22,79.712
4.892,1.017,23,7.951,1,3,2.0,8,20,45.1,39.2,11,9,1,1,57.242,32.292,51,4,33.756,0.074,1.122,31,39.5,28,0.633,0.0,11,54,405.51,51.862
4.301,1.029,20,8.736,5,3,9.8,11,20,39.2,39.2,16,4,1,1,57.91,33.751,51,10,34.523,0.189,1.135,33,44.0,31,0.662,2.0,16,53,445.52,52.476
6.569,0.999,39,7.18,8,1,10.1,11,29,49.4,36.7,16,13,1,0,89.992,47.857,79,12,50.995,0.146,1.139,43,53.0,40,0.606,1.3,18,82,567.21,78.93
4.535,1.053,11,10.742,3,4,7.9,10,17,28.9,44.7,15,2,2,0,42.506,27.927,38,6,27.812,0.15,1.119,29,39.0,27,0.735,5.3,12,40,408.21,40.007
4.828,1.022,8,9.858,4,1,15.4,6,12,30.8,46.2,12,0,1,1,28.953,19.041,26,2,19.648,0.071,1.114,20,29.0,18,0.732,0.0,16,28,256.31,26.578
5.086,1.018,17,8.342,3,3,6.7,7,21,37.8,46.7,20,1,0,0,50.239,30.611,45,7,31.165,0.149,1.116,30,42.0,28,0.68,0.0,18,47,375.41,45.8
5.806,1.007,30,8.249,5,1,7.7,11,24,46.2,36.9,12,12,3,2,73.301,41.301,65,13,44.443,0.191,1.128,38,47.0,35,0.635,1.5,16,68,536.18,65.454
4.301,1.045,10,9.112,2,1,6.9,6,13,34.5,44.8,10,3,0,0,33.171,19.873,29,2,19.602,0.065,1.144,21,27.5,19,0.685,6.9,11,31,264.25,30.302
4.866,1.024,15,8.883,6,2,15.4,9,15,38.5,38.5,11,3,1,1,44.535,26.048,39,6,26.881,0.15,1.142,25,34.5,24,0.668,2.6,11,40,346.43,39.945
4.301,1.016,15,8.036,1,2,2.7,5,17,40.5,45.9,14,3,0,0,41.242,24.568,37,3,25.154,0.077,1.115,24,32.0,22,0.664,0.0,12,39,297.33,37.596
5.312,1.007,21,8.072,1,3,2.0,6,22,42.9,44.9,17,5,1,1,54.408,32.336,49,4,34.085,0.077,1.11,31,42.5,28,0.66,0.0,17,52,395.51,49.323
4.301,1.013,30,7.626,0,2,0.0,8,30,44.1,44.1,22,8,0,0,75.903,43.62,68,5,45.057,0.07,1.116,41,54.0,38,0.641,0.0,22,71,518.6,68.872
4.301,1.015,18,8.42,4,2,9.1,8,18,40.9,40.9,14,4,1,1,49.448,29.105,44,8,30.364,0.174,1.124,28,38.0,26,0.661,0.0,16,46,370.47,44.651
4.301,1.014,16,8.855,4,1,10.5,8,14,42.1,36.8,8,6,2,2,42.743,25.05,38,4,26.796,0.1,1.125,24,30.5,22,0.659,0.0,11,40,336.48,38.516
4.301,1.022,21,8.354,3,3,5.5,9,25,38.2,45.5,20,5,0,0,61.488,37.094,55,6,37.597,0.102,1.118,38,51.5,34,0.674,0.0,21,59,459.49,56.222
4.301,1.006,27,8.159,5,5,8.2,10,24,44.3,39.3,16,8,2,2,68.527,39.42,61,7,42.063,0.109,1.123,37,47.5,34,0.646,0.0,11,64,497.7,61.363
4.301,1.027,11,8.686,1,1,3.2,5,15,35.5,48.4,13,2,0,0,34.412,21.515,31,2,21.631,0.059,1.11,23,30.0,20,0.694,0.0,12,34,269.27,31.829
4.301,0.99,20,7.44,2,1,4.8,4,18,47.6,42.9,11,7,1,1,46.863,26.686,42,2,28.966,0.044,1.116,25,31.5,22,0.635,0.0,11,45,312.47,41.56
5.112,1.023,16,8.631,2,1,4.4,7,22,35.6,48.9,19,2,0,0,49.95,31.304,45,6,31.614,0.125,1.11,32,45.5,29,0.696,0.0,21,48,388.4,46.025
4.9,1.014,14,8.176,0,1,0.0,4,18,38.9,50.0,15,3,0,0,39.744,24.547,36,1,25.148,0.026,1.104,25,34.0,22,0.682,0.0,16,39,294.32,36.494
4.301,1.008,19,8.785,7,1,13.2,9,25,35.8,47.2,22,2,1,1,59.109,37.212,53,6,38.71,0.105,1.115,38,54.5,34,0.702,0.0,27,57,465.58,53.418
4.301,1.016,10,7.926,2,1,8.3,4,10,41.7,41.7,9,1,0,0,27.076,15.58,24,2,15.966,0.08,1.128,15,21.0,14,0.649,0.0,10,25,190.22,24.393
4.301,1.014,23,7.956,3,3,5.4,8,25,41.1,44.6,19,6,0,0,62.694,36.906,56,4,37.904,0.067,1.12,37,48.5,33,0.659,0.0,17,60,445.51,56.778
4.391,1.02,17,9.353,7,5,14.9,11,19,36.2,40.4,13,5,2,2,52.823,32.588,47,5,34.051,0.1,1.124,33,45.0,30,0.693,0.0,10,50,439.57,47.938
4.687,1.023,15,9.797,3,4,7.9,8,15,39.5,39.5,9,6,3,1,42.628,26.024,38,3,27.619,0.075,1.122,25,31.5,23,0.685,5.3,5,40,372.3,38.869
7.159,1.02,17,9.531,4,2,10.0,8,15,42.5,37.5,8,7,1,0,45.369,25.943,40,4,27.068,0.095,1.134,25,32.0,23,0.649,2.5,10,42,381.26,40.803
4.311,1.006,17,7.985,3,1,7.9,6,15,44.7,39.5,11,4,1,1,42.74,24.369,38,5,25.904,0.128,1.125,22,29.0,21,0.641,0.0,12,39,303.42,38.222
4.043,1.019,11,9.205,1,0,3.2,5,15,35.5,48.4,15,0,1,1,34.123,21.987,31,2,22.824,0.061,1.101,22,30.5,20,0.709,0.0,17,33,285.34,31.578
4.301,1.013,13,7.709,1,2,3.3,4,13,43.3,43.3,9,4,0,0,33.618,19.327,30,1,19.938,0.031,1.121,19,24.0,17,0.644,0.0,6,32,231.27,30.385
4.615,1.008,26,7.331,2,3,3.6,7,23,46.4,41.1,14,9,0,0,63.026,34.938,56,6,36.421,0.102,1.125,33,41.5,30,0.624,0.0,11,59,410.51,56.443
5.123,1.009,24,8.009,4,1,6.7,8,28,40.0,46.7,23,5,0,0,66.983,40.213,60,5,41.455,0.077,1.116,41,55.5,36,0.67,0.0,27,65,480.56,60.552
7.0,0.996,34,7.19,7,0,10.1,9,26,49.3,37.7,15,11,1,0,78.454,42.067,69,11,45.012,0.153,1.137,38,47.0,35,0.61,1.4,18,72,496.12,68.734
6.77,1.005,30,7.563,7,0,10.9,10,24,46.9,37.5,15,9,1,0,72.833,39.728,64,10,41.944,0.149,1.138,37,46.0,34,0.621,1.6,18,67,484.06,64.294
4.458,1.018,22,8.722,2,4,3.4,9,28,37.3,47.5,24,4,1,1,65.325,40.787,59,6,42.0,0.094,1.107,42,59.0,37,0.691,0.0,26,64,514.59,60.08
6.398,1.003,39,7.348,8,1,9.9,12,30,48.1,37.0,16,14,1,0,92.202,49.572,81,10,52.449,0.118,1.138,46,56.0,42,0.612,1.2,18,85,595.22,81.258
6.648,1.003,38,7.811,7,3,8.4,12,33,45.8,39.8,23,10,2,1,93.624,52.738,83,13,56.091,0.149,1.128,49,64.0,45,0.635,1.2,24,87,648.3,83.232
7.301,0.992,32,7.149,6,0,9.2,8,25,49.2,38.5,15,10,1,1,73.517,39.879,65,10,43.035,0.147,1.131,36,45.0,33,0.614,0.0,18,68,464.7,64.501
4.301,1.025,10,8.767,0,2,0.0,4,15,34.5,51.7,14,1,0,0,31.914,20.493,29,3,20.625,0.097,1.1,21,29.0,19,0.707,0.0,12,31,254.25,29.727
4.301,1.001,19,7.475,3,0,7.0,5,19,44.2,44.2,14,5,0,0,48.235,27.708,43,3,29.017,0.065,1.122,27,35.5,24,0.644,0.0,17,46,321.41,43.029
4.77,1.018,22,9.001,5,1,9.6,11,19,42.3,36.5,12,7,3,2,58.641,34.194,52,12,36.398,0.222,1.128,32,41.0,30,0.658,1.9,16,54,468.05,52.92
4.301,1.015,14,7.697,2,3,6.3,5,13,43.8,40.6,9,4,0,0,36.116,20.348,32,4,20.943,0.121,1.129,19,25.0,18,0.636,0.0,6,33,246.29,32.487
5.372,0.993,33,6.783,7,0,10.6,8,25,50.0,37.9,15,10,0,0,75.095,39.713,66,10,42.393,0.145,1.138,36,45.0,33,0.602,0.0,18,69,447.65,65.527
6.051,0.995,36,7.345,7,0,9.2,9,31,47.4,40.8,21,10,1,0,85.87,47.594,76,11,50.773,0.138,1.13,44,56.0,40,0.626,1.3,24,80,558.19,75.618
7.699,1.008,31,7.328,7,0,10.6,10,25,47.0,37.9,15,10,0,0,75.775,40.48,66,10,42.268,0.145,1.148,38,47.0,35,0.613,3.0,18,69,483.63,66.552
4.301,1.036,11,8.915,1,3,3.1,6,15,34.4,46.9,14,1,0,0,35.621,22.229,32,3,22.085,0.088,1.113,23,31.5,21,0.695,0.0,11,34,285.27,33.156
5.433,0.994,31,6.883,7,0,11.1,8,24,49.2,38.1,15,9,0,0,71.68,38.186,63,9,40.631,0.136,1.138,35,44.0,32,0.606,0.0,18,66,433.62,62.643
4.921,1.023,18,7.547,4,2,10.3,8,13,46.2,33.3,3,10,0,0,44.737,23.632,39,1,24.171,0.024,1.147,24,28.5,21,0.606,0.0,5,42,294.35,39.902
6.372,1.005,36,7.946,8,1,10.0,12,32,45.0,40.0,22,10,2,0,90.521,51.158,80,11,54.091,0.131,1.132,48,61.0,44,0.639,2.5,24,84,635.66,80.37
4.531,1.004,13,8.366,3,0,9.7,5,13,41.9,41.9,10,3,1,1,34.7,20.6,31,3,21.926,0.091,1.119,20,27.5,18,0.665,0.0,15,33,259.36,31.127
6.678,0.995,42,6.991,7,1,8.4,10,31,50.6,37.3,16,15,1,0,94.325,49.889,83,13,53.512,0.151,1.136,44,54.0,41,0.601,1.2,18,86,580.25,82.596
5.037,1.01,23,8.103,3,3,5.6,8,23,42.6,42.6,17,6,1,1,60.405,35.378,54,5,37.097,0.086,1.119,35,46.5,31,0.655,0.0,17,58,437.56,54.527
6.77,0.992,35,6.767,7,0,10.0,8,27,50.0,38.6,15,12,0,0,79.51,42.24,70,8,45.154,0.108,1.136,39,48.0,35,0.603,0.0,18,74,473.69,69.41
4.821,1.008,19,7.765,1,2,2.2,5,21,42.2,46.7,16,5,0,0,50.073,29.622,45,5,30.676,0.104,1.113,29,39.0,26,0.658,0.0,16,48,349.41,45.363
7.046,0.996,32,7.055,8,0,11.9,9,26,47.8,38.8,15,10,0,0,76.178,41.208,67,10,43.637,0.143,1.137,38,49.0,35,0.615,0.0,18,70,472.66,66.745
7.549,0.993,33,6.861,7,0,10.4,8,26,49.3,38.8,15,11,0,0,76.095,40.713,67,9,43.393,0.127,1.136,38,47.0,34,0.608,0.0,18,71,459.66,66.527
7.824,0.998,32,7.304,7,0,10.6,9,25,48.5,37.9,15,10,1,0,75.039,40.54,66,10,43.25,0.145,1.137,37,46.0,34,0.614,1.5,18,69,482.09,65.85
7.125,1.014,32,7.473,7,0,10.1,11,26,46.4,37.7,15,11,0,0,79.529,42.39,69,10,43.966,0.139,1.153,40,49.0,37,0.614,4.3,18,72,515.65,69.948
7.456,0.996,37,7.349,8,0,10.3,10,31,47.4,39.7,20,11,1,0,88.368,48.615,78,12,51.779,0.146,1.133,45,57.0,41,0.623,1.3,24,82,573.21,77.719
4.484,1.011,17,7.985,3,2,7.1,6,19,40.5,45.2,17,2,0,0,47.03,27.896,42,4,28.71,0.091,1.12,27,37.5,25,0.664,0.0,17,44,335.39,42.473
4.203,1.015,23,8.441,3,5,5.2,9,26,39.7,44.8,20,5,1,1,64.614,39.093,58,7,40.551,0.115,1.114,38,51.0,35,0.674,0.0,12,61,489.59,58.854
4.648,0.99,23,7.056,3,1,6.7,5,17,51.1,37.8,5,11,1,1,50.776,27.234,45,3,29.733,0.064,1.128,24,29.5,22,0.605,0.0,5,47,317.5,44.545
