pXC50,TPSA.Tot.,CATS2D_05_LL,nS,SpMax1_Bh.s.,CATS2D_06_LL,CATS2D_07_LL,Eta_alpha_A,P_VSA_s_6,GATS4e,SpMax1_Bh.m.,X1A,CATS2D_04_AL,PCR,Eig02_AEA.dm.,SaaS,JGI3,AMW,Eig01_AEA.dm.,SpMax_AEA.dm.,NaaS,PCD,MATS1i,P_VSA_e_3,P_VSA_i_4,GATS4i,MATS4p,SpDiam_AEA.dm.,SpMAD_AEA.bo.,P_VSA_i_1,P_VSA_MR_8,nHet,MATS6p,P_VSA_m_4,P_VSA_s_3,RBF,CATS2D_06_PL,nHM,CATS2D_02_AP,CATS2D_04_PL,CATS2D_05_PL,Eta_B_A,nCONN,NdS,S.108,SdS,SsNH2,GATS4v,GATS1e,GATS7m,AAC,AECC,ALOGP,ALOGP2,AMR,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e
8.14,65.52,1,1,4.942,2,3,0.502,33.449,1.123,4.214,0.459,2,1.439,2.597,1.549,0.042,8.358,2.839,2.839,1,2.449,0.08,51.337,51.337,1.289,-0.203,4.839,1.46,31.278,31.278,4,0.312,31.278,37.721,0.111,0,1,0,0,0,0.016,0,0,0,0.0,0.0,1.097,0.757,1.45,1.59,7.933,2.564,6.573,65.679,0.688,3.355,3.475,3.105,3.007,4.506,2.935,3.776
7.26,44.89,4,0,7.429,3,2,0.48,25.145,1.44,3.903,0.466,2,1.292,2.718,0.0,0.024,6.732,3.556,3.556,0,1.69,-0.023,34.796,34.796,0.998,-0.04,5.556,1.428,0.0,0.0,3,-0.09,0.0,20.356,0.162,0,0,0,0,0,0.013,0,0,0,0.0,0.0,0.977,0.79,0.991,1.402,9.667,3.24,10.5,72.741,0.579,3.643,3.78,3.115,3.2,4.689,3.151,4.152
7.046,36.1,4,0,7.428,3,2,0.481,25.145,1.701,3.911,0.464,4,1.281,2.719,0.0,0.038,6.574,3.677,3.677,0,1.649,-0.154,19.91,19.91,1.002,-0.023,5.677,1.449,0.0,0.0,3,-0.126,0.0,20.356,0.15,0,0,0,0,0,0.017,0,0,0,0.0,0.0,0.972,0.752,0.818,1.377,9.632,3.446,11.876,77.638,0.55,3.716,3.854,3.172,3.26,4.742,3.207,4.243
6.523,27.82,1,0,5.432,2,1,0.48,23.321,1.024,3.874,0.493,0,1.255,2.45,0.0,0.032,6.71,2.798,2.798,0,1.135,-0.137,34.796,34.796,0.878,0.064,4.55,1.439,0.0,0.0,2,0.053,0.0,6.968,0.15,0,0,0,0,0,0.007,0,0,0,0.0,0.0,0.845,1.307,0.934,1.361,5.7,1.945,3.783,41.523,0.5,3.061,3.217,2.529,2.567,4.193,2.529,3.503
8.0,36.1,3,0,7.428,4,4,0.478,25.145,1.741,3.931,0.455,6,1.303,3.059,0.0,0.053,6.919,3.734,3.734,0,1.733,-0.172,19.91,19.91,1.167,-0.158,5.734,1.5,0.0,0.0,3,-0.08,0.0,10.647,0.088,0,0,0,0,0,0.023,0,0,0,0.0,0.0,1.093,0.747,0.868,1.429,7.118,2.59,6.709,68.099,0.611,3.565,3.697,3.069,3.115,4.657,3.075,4.066
6.155,44.89,2,0,7.429,2,2,0.478,25.145,1.509,3.904,0.464,2,1.303,2.719,0.0,0.026,6.919,3.556,3.556,0,1.733,-0.022,34.796,34.796,1.006,-0.048,5.556,1.432,0.0,0.0,3,-0.015,0.0,17.822,0.147,0,0,0,0,0,0.013,0,0,0,0.0,0.0,0.984,0.789,0.837,1.429,8.882,2.784,7.751,68.14,0.611,3.565,3.699,3.062,3.125,4.64,3.083,4.059
8.155,36.1,1,0,7.428,2,3,0.478,25.145,1.766,3.915,0.459,5,1.303,2.731,0.0,0.036,6.919,3.678,3.678,0,1.733,-0.172,19.91,19.91,1.103,-0.084,5.678,1.47,0.0,0.0,3,-0.138,0.0,15.287,0.118,0,0,0,0,0,0.019,0,0,0,0.0,0.0,1.019,0.747,0.782,1.429,8.0,2.534,6.42,68.436,0.611,3.565,3.697,3.069,3.115,4.646,3.075,4.066
7.92,65.52,1,1,5.047,1,4,0.527,111.746,1.05,4.216,0.453,3,1.427,2.834,1.501,0.057,11.008,3.214,3.214,1,2.498,0.093,51.337,51.337,1.325,-0.258,5.214,1.487,31.278,31.278,6,0.171,109.575,44.722,0.111,0,3,0,0,0,0.026,0,0,0,0.0,0.0,1.199,0.631,0.718,1.88,8.647,3.893,15.152,75.288,0.611,3.377,3.472,3.334,3.089,4.582,3.019,3.805
7.03,65.52,3,1,5.05,2,4,0.521,111.746,1.052,4.23,0.447,5,1.54,2.944,1.496,0.038,10.554,3.214,3.214,1,3.629,0.119,51.337,51.337,1.177,-0.025,5.214,1.49,31.278,31.278,6,-0.141,109.575,47.908,0.114,0,3,0,0,0,0.021,0,0,0,0.0,0.0,1.045,0.604,0.813,1.747,10.909,5.557,30.879,95.461,0.708,3.616,3.704,3.533,3.357,4.819,3.296,4.041
7.699,27.82,1,0,4.859,2,3,0.487,0.0,0.915,3.888,0.466,0,1.323,2.706,0.0,0.02,6.462,2.788,2.788,0,1.784,-0.026,34.796,34.796,1.101,-0.113,4.788,1.406,0.0,0.0,2,-0.02,0.0,12.688,0.156,0,0,0,0,0,0.009,0,0,0,0.0,0.0,1.029,1.231,0.787,1.273,8.067,2.658,7.062,63.31,0.688,3.497,3.642,2.947,3.059,4.488,3.002,3.995
7.301,19.03,2,0,4.855,2,2,0.488,0.0,0.875,3.892,0.464,2,1.296,2.716,0.0,0.039,6.172,2.952,2.952,0,1.691,-0.165,19.91,19.91,0.969,0.004,4.952,1.433,0.0,0.0,2,0.006,0.0,15.223,0.158,0,0,0,0,0,0.014,0,0,0,0.0,0.0,0.922,1.14,0.983,1.235,8.824,3.65,13.32,73.205,0.611,3.658,3.806,3.069,3.203,4.607,3.135,4.191
7.0,19.03,4,0,4.855,3,2,0.489,0.0,0.864,3.89,0.465,2,1.284,2.718,0.0,0.037,6.06,2.95,2.95,0,1.648,-0.156,19.91,19.91,0.969,0.003,4.95,1.423,0.0,0.0,2,-0.119,0.0,17.757,0.171,0,0,0,0,0,0.013,0,0,0,0.0,0.0,0.924,1.143,0.785,1.219,9.611,4.106,16.858,77.806,0.579,3.73,3.879,3.122,3.272,4.658,3.2,4.273
7.62,16.96,1,0,4.81,3,4,0.487,0.0,1.078,3.924,0.46,0,1.337,2.741,0.0,0.039,6.462,3.017,3.017,0,1.88,-0.185,19.91,19.91,1.243,-0.254,5.017,1.445,0.0,0.0,2,0.02,0.0,10.154,0.125,0,0,0,0,0,0.015,0,0,0,0.0,0.0,1.164,1.137,0.736,1.273,7.4,2.542,6.463,63.452,0.688,3.497,3.641,2.954,3.048,4.492,2.993,4.003
6.357,8.17,1,0,5.43,2,1,0.483,23.321,0.693,3.919,0.478,1,1.234,2.74,0.0,0.068,6.241,3.121,3.121,0,1.127,-0.512,5.023,5.023,1.065,-0.085,4.906,1.521,0.0,0.0,2,-0.369,0.0,6.968,0.115,0,0,0,0,0,0.022,0,0,0,0.0,0.0,0.983,1.083,0.422,1.296,5.75,2.687,7.219,51.714,0.417,3.301,3.455,2.72,2.778,4.356,2.724,3.814
6.456,27.82,1,0,4.862,3,4,0.486,0.0,1.159,3.892,0.463,0,1.339,2.679,0.0,0.022,6.653,2.831,2.831,0,1.837,-0.025,34.796,34.796,1.027,-0.04,4.831,1.418,0.0,0.0,2,0.077,0.0,10.154,0.138,0,0,0,0,0,0.01,0,0,0,0.0,0.0,0.953,1.234,0.874,1.296,7.286,2.336,5.458,58.555,0.733,3.405,3.549,2.883,2.973,4.427,2.923,3.886
7.509,73.71,5,1,5.215,10,9,0.511,133.901,1.044,4.057,0.439,8,1.35,3.313,0.0,0.037,8.681,3.89,3.89,0,2.377,0.129,52.562,52.562,1.149,-0.094,5.89,1.539,45.192,45.192,5,0.052,84.341,18.633,0.05,4,2,1,2,3,0.029,1,1,1,5.152,5.844,1.059,0.718,1.469,1.61,9.0,4.592,21.083,95.217,0.5,3.73,3.849,3.435,3.387,4.848,3.331,4.226
7.569,130.19,0,3,5.214,4,4,0.539,94.752,1.266,4.266,0.438,6,1.293,3.31,3.409,0.034,10.12,3.89,3.89,2,1.846,0.197,52.562,52.562,1.242,-0.168,5.793,1.555,107.747,107.747,6,0.302,107.747,70.848,0.065,3,3,1,1,2,0.023,1,1,1,5.093,5.768,1.016,0.884,1.627,1.734,6.444,3.348,11.208,83.04,0.5,3.497,3.595,3.445,3.259,4.612,3.149,3.975
7.301,73.71,5,1,5.215,10,9,0.511,133.901,1.044,4.057,0.439,8,1.35,3.313,0.0,0.037,8.681,3.89,3.89,0,2.377,0.129,52.562,52.562,1.149,-0.094,5.89,1.539,45.192,45.192,5,0.052,84.341,18.633,0.05,4,2,1,2,3,0.029,1,1,1,5.152,5.844,1.059,0.718,1.469,1.61,9.0,4.592,21.083,95.217,0.5,3.73,3.849,3.435,3.387,4.848,3.331,4.226
8.097,86.85,1,1,8.201,3,4,0.483,119.22,1.053,4.028,0.439,6,1.323,3.312,0.0,0.036,9.043,3.89,3.89,0,2.111,0.042,52.562,67.522,1.003,-0.044,5.89,1.547,45.192,45.192,6,0.17,45.192,23.331,0.059,3,1,1,1,2,0.026,1,1,1,5.025,5.707,1.039,0.707,1.631,1.841,7.9,3.042,9.252,77.979,0.5,3.605,3.711,3.332,3.18,4.832,3.174,4.09
7.301,101.95,3,2,5.215,6,6,0.518,94.752,1.134,4.236,0.439,7,1.323,3.311,1.692,0.036,8.613,3.89,3.89,1,2.111,0.151,52.562,52.562,1.15,-0.083,5.89,1.548,76.47,76.47,5,0.169,76.47,44.583,0.054,4,2,1,2,2,0.026,1,1,1,5.14,5.825,1.015,0.865,1.543,1.588,7.75,3.881,15.059,89.247,0.5,3.654,3.771,3.412,3.341,4.748,3.258,4.148
6.638,44.89,1,0,7.429,2,1,0.467,48.466,2.106,3.896,0.486,2,1.259,2.444,0.0,0.04,7.799,3.562,3.562,0,1.194,-0.122,34.796,34.796,0.894,0.093,5.429,1.482,0.0,0.0,3,0.011,0.0,9.567,0.105,0,0,0,0,0,0.014,0,0,0,0.0,0.0,0.798,0.838,0.886,1.616,5.636,1.615,2.61,41.752,0.455,3.035,3.167,2.617,2.543,4.326,2.544,3.438
4.398,37.71,0,0,7.433,0,0,0.458,36.145,0.947,3.931,0.448,0,1.16,2.771,0.0,0.072,6.976,3.828,3.828,0,0.903,-0.513,7.903,7.903,0.747,0.134,5.746,1.53,0.0,0.0,5,-0.03,0.0,10.974,0.097,0,0,0,0,0,0.028,0,0,0,0.0,0.0,0.737,0.759,1.416,1.621,6.333,1.134,1.286,55.923,0.313,3.514,3.649,3.034,2.881,4.563,2.889,4.087
5.602,83.23,0,0,7.433,0,0,0.444,99.673,1.179,3.931,0.457,0,1.216,2.648,0.0,0.057,8.634,3.827,3.827,0,1.221,-0.081,68.306,68.306,0.826,0.044,5.746,1.492,0.0,0.0,7,-0.035,0.0,10.974,0.12,0,0,0,0,0,0.018,0,0,0,0.0,0.0,0.934,0.656,0.719,1.829,7.0,3.402,11.576,77.979,0.313,3.343,3.464,3.029,2.714,4.648,2.774,3.854
7.284,73.13,7,0,7.429,11,11,0.47,127.175,0.8,3.984,0.439,10,1.358,3.306,0.0,0.055,7.57,3.769,3.769,0,2.466,0.089,19.665,19.665,1.276,-0.206,5.769,1.54,0.0,0.0,5,0.099,0.0,19.553,0.047,0,0,0,0,0,0.031,0,0,0,0.0,0.0,1.139,0.807,1.199,1.531,8.522,2.703,7.308,87.133,0.48,3.815,3.92,3.382,3.37,5.009,3.353,4.306
6.222,36.1,1,0,7.428,3,4,0.477,25.145,1.906,3.921,0.457,5,1.317,2.775,0.0,0.044,7.143,3.686,3.686,0,1.779,-0.182,19.91,19.91,0.957,0.079,5.686,1.488,0.0,0.0,3,-0.063,0.0,12.753,0.097,0,0,0,0,0,0.02,0,0,0,0.0,0.0,0.854,0.746,0.84,1.46,7.188,2.213,4.896,63.681,0.647,3.48,3.609,3.013,3.033,4.595,3.002,3.964
7.125,36.1,1,0,7.428,2,1,0.469,48.466,2.087,3.904,0.479,3,1.241,2.606,0.0,0.06,7.373,3.69,3.69,0,1.148,-0.337,19.91,19.91,0.832,0.181,5.565,1.532,0.0,0.0,3,-0.071,0.0,9.567,0.091,0,0,0,0,0,0.021,0,0,0,0.0,0.0,0.753,0.779,0.593,1.562,5.583,1.821,3.317,46.649,0.417,3.165,3.299,2.709,2.656,4.401,2.644,3.616
6.229,34.03,1,0,8.201,2,3,0.466,40.105,1.484,3.946,0.455,2,1.33,3.173,0.0,0.051,7.743,3.591,3.591,0,1.918,-0.143,19.91,34.87,1.19,-0.234,5.591,1.494,0.0,0.0,4,0.032,0.0,21.874,0.097,0,0,0,0,0,0.024,0,0,0,0.0,0.0,1.159,0.612,0.692,1.633,7.412,2.418,5.847,63.897,0.611,3.496,3.618,3.084,3.03,4.69,3.021,3.983
6.444,25.24,1,0,8.201,3,4,0.468,40.105,1.228,3.952,0.451,5,1.311,2.957,0.0,0.052,7.464,3.706,3.706,0,1.834,-0.241,5.023,19.984,0.975,-0.099,5.706,1.514,0.0,0.0,4,-0.26,0.0,21.874,0.088,0,0,0,0,0,0.028,0,0,0,0.0,0.0,1.029,0.589,0.548,1.593,8.0,2.624,6.885,68.794,0.579,3.58,3.704,3.143,3.102,4.742,3.085,4.09
6.745,25.24,1,0,8.201,2,3,0.468,40.105,1.508,3.954,0.452,5,1.318,3.179,0.0,0.055,7.464,3.709,3.709,0,1.872,-0.241,5.023,19.984,1.082,-0.094,5.709,1.513,0.0,0.0,4,-0.259,0.0,21.874,0.088,0,0,0,0,0,0.027,0,0,0,0.0,0.0,1.032,0.589,0.533,1.593,7.333,2.624,6.885,68.794,0.579,3.58,3.704,3.143,3.102,4.743,3.085,4.09
6.143,44.89,1,0,8.201,3,4,0.464,40.105,1.339,3.918,0.456,2,1.324,2.946,0.0,0.022,8.083,3.561,3.561,0,1.835,-0.033,34.796,49.756,0.943,-0.042,5.561,1.472,0.0,0.0,4,0.112,0.0,21.874,0.107,0,0,0,0,0,0.021,0,0,0,0.0,0.0,0.992,0.638,1.05,1.678,7.938,2.212,4.894,59.001,0.647,3.404,3.524,3.022,2.954,4.635,2.953,3.864
7.699,36.1,3,0,7.428,4,4,0.478,25.145,1.449,3.918,0.455,6,1.138,2.874,0.0,0.053,6.01,3.716,3.716,0,0.786,-0.185,19.91,19.91,1.088,-0.084,5.716,1.505,0.0,0.0,3,-0.058,0.0,20.134,0.075,0,0,0,0,0,0.023,0,0,0,0.0,0.0,1.022,0.755,0.955,1.352,7.118,3.195,10.211,69.231,0.278,3.714,3.862,3.092,3.211,4.621,3.146,4.318
5.914,44.89,3,0,7.429,4,4,0.477,25.145,1.493,3.92,0.457,3,1.317,3.016,0.0,0.038,7.143,3.585,3.585,0,1.779,-0.02,34.796,34.796,1.119,-0.129,5.585,1.492,0.0,0.0,3,0.035,0.0,10.647,0.097,0,0,0,0,0,0.02,0,0,0,0.0,0.0,1.03,0.789,0.995,1.46,7.188,2.384,5.684,63.202,0.647,3.48,3.61,3.006,3.044,4.598,3.011,3.957
7.301,19.03,1,0,4.856,2,3,0.488,0.0,0.761,3.895,0.461,3,1.309,2.706,0.0,0.033,6.304,2.967,2.967,0,1.736,-0.175,19.91,19.91,1.048,-0.04,4.967,1.444,0.0,0.0,2,-0.175,0.0,12.688,0.143,0,0,0,0,0,0.015,0,0,0,0.0,0.0,0.949,1.138,0.772,1.253,8.0,3.193,10.198,68.604,0.647,3.581,3.727,3.014,3.128,4.553,3.067,4.101
7.0,65.52,4,1,4.942,3,3,0.502,33.449,1.301,4.228,0.446,3,1.379,2.929,1.604,0.021,7.319,3.158,3.158,1,2.483,0.081,51.337,51.337,0.942,0.106,5.158,1.487,31.278,31.278,4,-0.12,31.278,50.616,0.073,0,1,0,0,0,0.018,0,0,0,0.0,0.0,0.872,0.741,1.863,1.453,10.05,4.065,16.523,85.998,0.5,3.742,3.87,3.367,3.377,4.729,3.293,4.28
5.456,19.03,1,0,4.858,3,4,0.487,0.0,0.921,3.901,0.459,3,1.323,2.679,0.0,0.052,6.462,3.039,3.039,0,1.784,-0.185,19.91,19.91,0.913,0.105,5.039,1.452,0.0,0.0,2,-0.074,0.0,10.154,0.125,0,0,0,0,0,0.016,0,0,0,0.0,0.0,0.8,1.137,0.759,1.273,7.2,2.872,8.25,63.85,0.688,3.497,3.641,2.954,3.048,4.496,2.993,4.003
7.72,74.75,1,1,4.957,2,3,0.492,44.448,1.044,4.214,0.46,3,1.421,2.827,1.535,0.037,8.245,2.876,2.876,1,2.462,0.002,51.337,51.337,1.333,-0.281,4.876,1.452,31.278,31.278,5,0.322,31.278,42.964,0.129,0,1,0,0,0,0.018,0,0,0,0.0,0.0,1.226,0.835,1.346,1.711,9.294,2.547,6.489,72.142,0.611,3.502,3.615,3.224,3.087,4.664,3.034,3.948
7.398,36.1,2,0,7.428,2,2,0.48,25.145,1.759,3.912,0.462,4,1.292,2.721,0.0,0.04,6.732,3.677,3.677,0,1.69,-0.163,19.91,19.91,1.008,-0.027,5.677,1.466,0.0,0.0,3,0.006,0.0,17.822,0.135,0,0,0,0,0,0.018,0,0,0,0.0,0.0,0.977,0.749,0.851,1.402,8.833,2.99,8.94,73.037,0.579,3.644,3.779,3.122,3.19,4.695,3.143,4.158
7.39,65.52,4,1,4.942,4,3,0.502,33.449,1.528,4.228,0.447,3,1.379,2.936,1.605,0.03,7.319,3.325,3.325,1,2.483,0.081,51.337,51.337,1.014,0.054,5.325,1.488,31.278,31.278,4,0.06,31.278,50.616,0.073,0,1,0,0,0,0.017,0,0,0,0.0,0.0,0.923,0.741,2.278,1.453,9.4,4.276,18.281,86.024,0.5,3.742,3.87,3.367,3.377,4.729,3.293,4.28
6.081,25.24,1,0,7.428,2,1,0.472,48.466,1.771,3.938,0.474,3,1.239,2.722,0.0,0.07,7.05,3.709,3.709,0,1.184,-0.51,5.023,5.023,1.106,-0.103,5.589,1.565,0.0,0.0,3,-0.409,0.0,9.567,0.08,0,0,0,0,0,0.026,0,0,0,0.0,0.0,0.993,0.727,0.393,1.514,5.692,2.027,4.11,51.545,0.385,3.28,3.416,2.794,2.758,4.468,2.736,3.767
6.69,53.49,2,1,4.955,3,3,0.509,33.571,1.177,4.218,0.452,4,1.447,2.686,1.563,0.036,8.012,2.896,2.896,1,2.513,-0.116,33.571,33.571,1.075,-0.134,4.896,1.501,31.278,31.278,3,-0.184,31.278,40.906,0.071,0,1,0,0,0,0.023,0,0,0,0.0,0.0,1.068,0.762,1.251,1.494,7.8,3.193,10.192,65.639,0.688,3.371,3.481,3.092,3.062,4.47,2.974,3.826
6.824,8.17,1,0,4.805,3,4,0.488,0.0,0.888,3.93,0.456,3,1.323,2.82,0.0,0.056,6.304,3.122,3.122,0,1.83,-0.322,5.023,5.023,1.105,-0.084,5.122,1.473,0.0,0.0,2,-0.259,0.0,10.154,0.114,0,0,0,0,0,0.021,0,0,0,0.0,0.0,0.99,1.047,0.585,1.253,7.313,3.078,9.475,68.746,0.647,3.581,3.725,3.021,3.118,4.557,3.058,4.108
7.42,65.52,1,1,4.986,2,3,0.515,72.597,1.162,4.214,0.455,2,1.43,2.834,1.53,0.041,9.683,2.944,2.944,1,2.458,0.086,51.337,51.337,1.302,-0.246,4.944,1.47,31.278,31.278,5,0.199,70.426,41.221,0.111,0,2,0,0,0,0.022,0,0,0,0.0,0.0,1.174,0.658,1.066,1.776,8.625,3.228,10.421,70.484,0.647,3.366,3.473,3.226,3.049,4.544,2.978,3.791
8.222,73.71,6,1,5.215,10,10,0.502,94.752,1.126,4.029,0.439,8,1.35,3.311,0.0,0.037,7.548,3.89,3.89,0,2.377,0.115,52.562,52.562,1.134,-0.067,5.89,1.539,45.192,45.192,4,0.034,45.192,18.318,0.047,4,1,1,2,3,0.029,1,1,1,5.178,5.87,1.042,0.87,1.456,1.442,9.0,4.413,19.478,95.454,0.5,3.79,3.92,3.378,3.417,4.867,3.356,4.296
7.921,73.71,4,1,8.201,9,8,0.502,148.861,0.961,4.056,0.439,8,1.35,3.314,0.0,0.037,9.538,3.89,3.89,0,2.377,0.088,52.562,67.522,0.999,-0.095,5.89,1.539,45.192,45.192,6,0.075,84.341,24.569,0.054,4,2,1,2,3,0.029,1,1,1,5.092,5.784,1.092,0.601,1.5,1.79,9.0,4.311,18.584,90.392,0.5,3.672,3.781,3.445,3.324,4.879,3.289,4.157
6.398,44.89,2,0,7.429,4,3,0.474,25.145,1.617,3.921,0.457,3,1.347,2.55,0.0,0.031,7.76,3.572,3.572,0,1.883,-0.013,34.796,34.796,0.991,0.016,5.572,1.462,0.0,0.0,3,-0.008,0.0,10.218,0.08,0,0,0,0,0,0.016,0,0,0,0.0,0.0,0.851,0.795,1.222,1.532,6.429,2.0,3.999,53.949,0.733,3.284,3.406,2.883,2.861,4.477,2.848,3.709
6.74,118.62,8,0,7.451,8,9,0.465,122.579,0.992,3.981,0.434,10,1.374,3.808,0.0,0.039,8.187,3.816,3.816,0,3.138,-0.011,36.022,36.022,0.885,0.084,5.816,1.527,0.0,0.0,8,-0.122,0.0,57.159,0.067,0,0,0,0,0,0.025,0,0,0,0.0,0.0,0.894,0.685,1.296,1.56,13.059,3.386,11.462,122.797,0.316,4.148,4.236,3.789,3.719,5.326,3.724,4.691
7.67,53.49,4,1,4.978,4,5,0.507,33.571,1.384,4.231,0.446,6,1.552,2.733,1.558,0.021,8.188,2.97,2.97,1,3.621,-0.065,33.571,33.571,1.007,0.064,4.97,1.5,31.278,31.278,3,-0.147,31.278,44.092,0.083,0,1,0,0,0,0.018,0,0,0,0.0,0.0,0.953,0.745,1.531,1.417,10.05,4.857,23.589,85.812,0.773,3.61,3.711,3.339,3.337,4.732,3.262,4.057
7.3,74.75,3,1,4.974,3,3,0.494,44.448,1.091,4.228,0.452,5,1.534,2.867,1.53,0.024,8.363,2.947,2.947,1,3.591,0.05,51.337,51.337,1.19,-0.056,4.947,1.464,31.278,31.278,5,0.075,31.278,46.15,0.128,0,1,0,0,0,0.015,0,0,0,0.0,0.0,1.07,0.812,1.445,1.619,11.591,4.212,17.738,92.315,0.708,3.715,3.819,3.444,3.356,4.884,3.307,4.155
7.88,83.98,1,1,4.982,2,2,0.484,55.448,1.126,4.214,0.461,3,1.407,2.836,1.518,0.047,8.158,3.196,3.196,1,2.473,-0.066,51.337,51.337,1.377,-0.313,5.196,1.443,31.278,31.278,6,0.045,31.278,48.208,0.143,0,1,0,0,0,0.019,0,0,0,0.0,0.0,1.224,0.873,0.971,1.75,9.421,2.531,6.406,78.605,0.55,3.63,3.737,3.331,3.16,4.801,3.124,4.095
6.85,65.52,4,1,4.942,3,2,0.502,33.449,1.629,4.228,0.446,2,1.389,2.929,1.598,0.025,7.8,3.156,3.156,1,2.451,0.095,51.337,51.337,0.851,0.265,5.156,1.46,31.278,31.278,4,-0.169,31.278,50.616,0.086,0,1,0,0,0,0.014,0,0,0,0.0,0.0,0.71,0.733,1.888,1.509,8.611,3.357,11.269,76.849,0.55,3.595,3.717,3.283,3.249,4.619,3.173,4.109
7.387,101.95,2,2,5.215,6,6,0.529,133.901,1.135,4.237,0.439,7,1.323,3.313,1.671,0.036,10.059,3.89,3.89,1,2.111,0.172,52.562,52.562,1.184,-0.148,5.89,1.548,76.47,76.47,6,0.198,115.618,44.898,0.059,4,3,1,2,2,0.026,1,1,1,5.114,5.799,1.055,0.734,1.675,1.779,7.75,4.059,16.474,89.01,0.5,3.586,3.687,3.467,3.309,4.726,3.23,4.067
8.398,86.85,2,1,5.22,4,4,0.493,104.26,1.096,4.028,0.439,6,1.323,3.311,0.0,0.036,8.154,3.89,3.89,0,2.111,0.076,52.562,52.562,1.136,-0.056,5.89,1.547,45.192,45.192,5,0.144,45.192,17.396,0.054,3,1,1,1,2,0.026,1,1,1,5.085,5.767,1.024,0.882,1.598,1.645,7.9,3.322,11.038,82.803,0.5,3.667,3.784,3.32,3.253,4.799,3.221,4.164
7.301,115.09,0,2,5.22,2,3,0.511,104.26,1.254,4.236,0.438,5,1.293,3.31,1.661,0.034,9.566,3.89,3.89,1,1.846,0.119,52.562,52.562,1.182,-0.098,5.793,1.555,76.47,76.47,6,0.283,76.47,43.661,0.065,3,2,1,1,1,0.023,1,1,1,5.047,5.722,0.985,0.906,1.734,1.829,6.444,2.79,7.782,76.596,0.5,3.512,3.611,3.355,3.163,4.671,3.108,3.994
8.155,73.71,5,1,8.201,9,9,0.492,109.712,0.897,4.028,0.439,8,1.35,3.312,0.0,0.037,8.248,3.89,3.89,0,2.377,0.08,52.562,67.522,0.988,-0.058,5.89,1.539,45.192,45.192,5,0.048,45.192,24.254,0.05,4,1,1,2,3,0.029,1,1,1,5.118,5.81,1.057,0.616,1.432,1.61,9.0,4.133,17.079,90.629,0.5,3.735,3.857,3.39,3.356,4.897,3.315,4.232
5.92,65.52,3,1,4.964,3,3,0.502,33.449,1.26,4.228,0.451,4,1.544,2.628,1.544,0.025,8.466,2.946,2.946,1,3.542,0.11,51.337,51.337,1.143,0.041,4.946,1.47,31.278,31.278,4,-0.015,31.278,40.906,0.114,0,1,0,0,0,0.013,0,0,0,0.0,0.0,0.956,0.737,1.531,1.503,10.15,4.228,17.877,85.851,0.773,3.598,3.707,3.349,3.296,4.759,3.232,4.018
8.602,68.23,2,0,8.513,0,0,0.434,145.708,1.076,3.913,0.452,4,1.185,3.851,0.0,0.048,8.318,4.34,4.34,0,1.226,-0.171,3.124,48.005,0.875,0.026,6.34,1.5,0.0,0.0,9,-0.127,0.0,28.588,0.163,0,0,0,0,0,0.032,0,0,0,0.0,0.0,1.018,0.739,0.886,1.82,11.625,2.059,4.238,77.146,0.24,3.865,3.955,3.48,3.223,5.076,3.281,4.465
8.77,36.1,3,0,7.428,4,4,0.478,25.145,1.449,3.918,0.455,6,1.138,2.874,0.0,0.053,6.01,3.716,3.716,0,0.786,-0.185,19.91,19.91,1.088,-0.084,5.716,1.505,0.0,0.0,3,-0.058,0.0,20.134,0.075,0,0,0,0,0,0.023,0,0,0,0.0,0.0,1.022,0.755,0.955,1.352,7.118,3.195,10.211,69.231,0.278,3.714,3.862,3.092,3.211,4.621,3.146,4.318
7.52,83.98,3,1,4.992,3,2,0.488,55.448,1.14,4.228,0.454,5,1.526,2.945,1.513,0.033,8.279,3.196,3.196,1,3.631,-0.004,51.337,51.337,1.234,-0.111,5.196,1.456,31.278,31.278,6,-0.085,31.278,51.393,0.14,0,1,0,0,0,0.016,0,0,0,0.0,0.0,1.082,0.848,1.121,1.667,11.75,4.195,17.601,98.778,0.654,3.82,3.92,3.53,3.412,4.996,3.376,4.276
6.377,44.89,1,0,7.429,2,3,0.477,25.145,1.526,3.907,0.462,2,1.317,2.72,0.0,0.027,7.143,3.557,3.557,0,1.779,-0.02,34.796,34.796,1.126,-0.126,5.557,1.444,0.0,0.0,3,0.046,0.0,15.287,0.129,0,0,0,0,0,0.014,0,0,0,0.0,0.0,1.039,0.789,0.824,1.46,8.063,2.328,5.419,63.539,0.647,3.48,3.61,3.006,3.044,4.588,3.011,3.956
6.585,44.89,3,0,7.429,4,4,0.477,25.145,1.193,3.908,0.457,3,1.144,2.795,0.0,0.038,6.121,3.575,3.575,0,0.808,-0.049,34.796,34.796,1.01,-0.047,5.575,1.49,0.0,0.0,3,0.037,0.0,20.134,0.081,0,0,0,0,0,0.02,0,0,0,0.0,0.0,0.939,0.791,1.12,1.377,7.188,2.99,8.937,64.335,0.294,3.64,3.789,3.031,3.148,4.56,3.086,4.233
