pXC50,N.,Mi,nX,nF,X.,nN,Me,Mv,AMW,nHet,nBT,nCsp3,MW,H.,nH,Sp,RBN,SCBO,Se,C.,Mp,nAB,nAT,nB
5.0,12.0,1.122,0,0,0.0,6,1.002,0.671,7.93,7,53,1,396.49,40.0,20,34.819,6,46.0,50.123,46.0,0.696,24,50,0
4.312,8.3,1.124,0,0,0.0,4,1.01,0.655,7.843,7,50,2,376.45,41.7,20,32.478,7,41.0,48.458,43.8,0.677,18,48,0
5.0,5.1,1.12,0,0,0.0,2,1.02,0.661,8.523,7,40,1,332.41,41.0,16,26.807,5,34.0,39.774,41.0,0.687,12,39,0
5.301,5.6,1.118,0,0,0.0,2,1.025,0.674,8.844,7,37,0,318.38,38.9,14,25.046,5,33.0,36.891,41.7,0.696,12,36,0
4.602,5.7,1.121,0,0,0.0,2,1.025,0.664,8.753,7,36,1,306.37,40.0,14,24.046,5,31.0,35.891,40.0,0.687,12,35,0
6.292,5.6,1.135,0,0,0.0,4,1.009,0.6,7.511,12,73,15,540.78,50.0,36,46.228,2,44.0,72.661,33.3,0.642,0,72,0
8.523,5.7,1.126,0,0,0.0,3,1.0,0.623,7.16,6,55,5,379.5,47.2,25,34.756,9,40.0,53.007,41.5,0.656,16,53,0
4.77,3.2,1.118,0,0,0.0,3,1.004,0.64,7.599,11,100,12,721.94,45.3,43,64.074,16,73.5,95.345,43.2,0.674,29,95,0
6.721,4.7,1.147,3,3,3.5,4,1.02,0.603,7.563,14,87,19,642.82,48.2,41,53.438,12,54.0,86.658,35.3,0.629,6,85,0
6.192,4.7,1.127,0,0,0.0,3,1.012,0.628,7.493,9,66,8,479.58,45.3,29,41.642,11,48.0,64.756,40.6,0.651,12,64,0
6.076,3.3,1.141,0,0,0.0,2,0.988,0.546,6.109,6,61,17,372.64,59.0,36,36.966,10,27.0,60.283,31.1,0.606,0,61,0
8.62,6.4,1.126,0,0,0.0,5,1.001,0.625,7.639,11,82,15,595.86,47.4,37,52.324,8,55.0,78.109,38.5,0.671,12,78,0
8.495,6.0,1.128,0,0,0.0,5,0.999,0.612,7.372,11,86,16,611.91,49.4,41,54.847,11,55.0,82.876,37.3,0.661,12,83,0
8.569,5.8,1.129,0,0,0.0,5,0.997,0.609,7.278,11,89,17,625.94,50.0,43,56.608,12,56.0,85.759,37.2,0.658,12,86,0
6.509,5.4,1.144,0,0,0.0,3,0.987,0.546,6.136,6,56,15,343.6,58.9,33,33.995,9,25.0,55.29,30.4,0.607,0,56,0
6.237,3.4,1.139,0,0,0.0,2,0.99,0.556,6.282,6,60,17,370.62,57.6,34,36.205,10,28.0,58.4,32.2,0.614,0,59,0
7.602,6.4,1.126,0,0,0.0,5,1.001,0.625,7.639,11,82,15,595.86,47.4,37,52.324,8,55.0,78.109,38.5,0.671,12,78,0
7.155,6.3,1.128,0,0,0.0,5,1.0,0.616,7.473,11,83,15,597.88,48.8,39,53.086,10,54.0,79.992,37.5,0.664,12,80,0
8.658,6.3,1.128,0,0,0.0,5,1.0,0.616,7.473,11,83,15,597.88,48.8,39,53.086,10,54.0,79.992,37.5,0.664,12,80,0
5.377,3.0,1.137,0,0,0.0,2,0.987,0.558,6.223,6,68,20,410.69,57.6,38,40.728,10,32.0,65.167,33.3,0.617,0,66,0
8.398,7.0,1.135,0,0,0.0,5,1.008,0.605,7.574,12,73,15,537.78,49.3,35,46.017,9,45.0,71.552,33.8,0.648,6,71,0
8.796,6.4,1.126,0,0,0.0,5,1.001,0.625,7.639,11,82,15,595.86,47.4,37,52.324,8,55.0,78.109,38.5,0.671,12,78,0
6.125,3.3,1.114,0,0,0.0,1,1.002,0.654,7.576,3,31,1,227.28,43.3,13,20.483,3,25.0,30.058,46.7,0.683,12,30,0
4.301,6.1,1.12,0,0,0.0,3,1.005,0.652,7.662,6,51,2,375.46,42.9,21,33.233,6,41.0,49.24,44.9,0.678,18,49,0
4.301,6.1,1.118,0,0,0.0,3,1.006,0.656,8.072,7,51,3,395.52,42.9,21,33.881,7,40.5,49.316,42.9,0.691,17,49,0
4.301,6.5,1.117,0,0,0.0,3,1.009,0.665,8.293,7,48,2,381.49,41.3,19,32.12,6,39.5,46.433,43.5,0.698,17,46,0
7.62,6.3,1.135,0,0,0.0,5,0.998,0.593,7.138,11,81,18,563.87,51.9,41,50.847,11,47.0,78.876,34.2,0.644,6,79,0
5.642,5.3,1.137,0,0,0.0,4,1.005,0.591,6.863,10,76,14,514.69,50.7,38,46.694,8,47.0,75.392,36.0,0.623,6,75,0
5.437,6.5,1.14,0,0,0.0,5,1.006,0.589,6.879,11,78,14,529.71,50.6,39,47.699,8,48.0,77.494,35.1,0.619,6,77,0
7.699,5.3,1.134,0,0,0.0,5,0.993,0.584,6.8,11,98,24,646.03,53.7,51,60.654,8,54.0,94.294,34.7,0.638,6,95,0
4.301,7.1,1.117,0,0,0.0,2,0.998,0.657,7.581,3,29,0,212.27,42.9,12,19.273,2,24.0,27.949,46.4,0.688,12,28,0
5.189,6.1,1.127,1,0,1.5,4,1.001,0.628,7.501,8,69,10,495.07,47.0,31,43.904,11,50.0,66.083,40.9,0.665,20,66,0
5.111,5.7,1.126,0,0,0.0,4,0.995,0.616,6.952,7,73,10,486.67,48.6,34,45.807,12,51.5,69.643,41.4,0.654,21,70,0
6.42,5.6,1.118,0,0,0.0,2,1.025,0.674,8.844,7,37,0,318.38,38.9,14,25.046,5,33.0,36.891,41.7,0.696,12,36,0
7.495,4.9,1.117,0,0,0.0,2,0.991,0.631,7.818,5,42,6,320.52,48.8,20,28.614,8,28.5,40.636,39.0,0.698,11,41,0
7.252,6.5,1.127,0,0,0.0,5,1.001,0.62,7.582,11,80,14,583.85,48.1,37,51.324,9,53.0,77.109,37.7,0.667,12,77,0
8.771,5.3,1.137,0,0,0.0,5,0.999,0.585,6.637,11,97,21,623.88,52.1,49,58.506,12,58.0,93.912,36.2,0.622,10,94,0
6.0,4.3,1.11,0,0,0.0,2,1.014,0.681,8.576,7,48,0,394.48,39.1,18,32.568,6,43.0,46.658,45.7,0.708,18,46,0
4.301,7.1,1.122,0,0,0.0,5,1.0,0.644,7.452,8,74,6,521.67,44.3,31,47.29,7,57.0,69.978,44.3,0.676,24,70,0
4.642,2.9,1.113,0,0,0.0,1,1.021,0.678,8.332,5,35,0,283.3,38.2,13,23.392,5,31.5,34.713,47.1,0.688,11,34,0
5.959,2.7,1.115,0,0,0.0,1,1.016,0.664,8.036,5,38,1,297.33,40.5,15,25.154,5,32.5,37.596,45.9,0.68,11,37,0
6.495,0.0,1.158,3,3,13.0,0,1.088,0.701,10.967,7,23,3,252.23,30.4,7,15.631,4,20.5,25.014,39.1,0.68,5,23,0
4.307,3.6,1.11,2,0,7.1,1,1.041,0.731,10.648,6,29,0,298.13,32.1,9,20.892,3,27.5,29.149,46.4,0.746,11,28,0
6.658,6.9,1.15,4,4,13.8,2,1.087,0.769,11.803,9,31,1,342.29,20.7,6,21.364,3,34.0,31.52,48.3,0.737,16,29,0
6.959,6.3,1.138,3,3,9.4,2,1.059,0.733,10.573,8,34,2,338.33,28.1,9,23.188,3,34.0,33.891,46.9,0.725,16,32,0
7.022,7.7,1.135,3,3,11.5,2,1.085,0.791,12.705,9,28,1,330.33,19.2,5,20.313,3,31.5,28.2,46.2,0.781,15,26,0
6.347,7.7,1.135,3,3,11.5,2,1.085,0.791,12.705,9,28,1,330.33,19.2,5,20.313,3,31.5,28.2,46.2,0.781,15,26,0
6.495,6.3,1.17,6,6,18.8,2,1.107,0.769,12.259,11,34,2,392.3,18.8,6,23.0,3,37.0,35.429,46.9,0.719,16,32,0
6.614,3.2,1.14,3,3,9.7,1,1.054,0.708,10.107,7,32,2,313.32,32.3,10,21.943,4,29.5,32.673,45.2,0.708,11,31,0
5.22,2.9,1.111,1,0,2.9,1,1.03,0.702,9.345,6,35,0,317.74,35.3,12,24.25,5,32.5,35.036,47.1,0.713,11,34,0
6.921,6.9,1.162,5,5,17.2,2,1.105,0.782,12.423,10,31,1,360.28,17.2,5,21.301,3,35.0,32.033,48.3,0.735,16,29,0
8.0,6.3,1.131,0,0,0.0,4,0.991,0.601,6.676,6,65,9,420.61,50.8,32,40.591,9,43.0,62.432,39.7,0.644,16,63,0
6.62,6.9,1.135,5,3,17.2,2,1.092,0.813,13.558,10,31,1,393.18,17.2,5,23.142,3,35.0,31.655,48.3,0.798,16,29,0
5.699,4.9,1.138,3,3,7.3,2,1.038,0.684,9.279,8,43,5,380.42,36.6,15,28.472,4,37.0,42.542,43.9,0.694,16,41,0
6.229,10.7,1.146,3,3,10.7,3,1.079,0.765,11.618,9,30,1,325.29,21.4,6,20.671,3,33.0,30.225,46.4,0.738,16,28,0
5.359,2.5,1.106,0,0,0.0,1,1.015,0.689,8.334,5,42,0,333.36,37.5,15,28.154,5,39.0,40.596,50.0,0.704,16,40,0
5.311,2.3,1.118,0,0,0.0,1,1.008,0.642,7.567,5,44,3,325.39,44.2,19,28.676,6,34.5,43.363,44.2,0.667,11,43,0
5.77,4.2,1.164,3,3,12.5,1,1.075,0.684,10.469,7,24,3,251.25,33.3,8,16.182,3,20.5,25.789,37.5,0.674,5,24,0
7.222,8.3,1.154,3,3,8.3,3,1.061,0.686,9.982,10,38,6,359.36,33.3,12,24.409,4,33.0,38.203,38.9,0.678,10,36,0
7.824,7.9,1.141,3,3,7.9,3,1.07,0.734,10.773,11,41,3,409.37,26.3,10,27.102,4,41.0,40.647,44.7,0.713,16,38,0
6.77,2.9,1.14,3,3,8.8,1,1.046,0.69,9.628,7,35,3,327.35,35.3,12,23.705,4,30.5,35.556,44.1,0.697,11,34,0
6.292,2.9,1.14,3,3,8.8,1,1.046,0.69,9.628,7,35,3,327.35,35.3,12,23.705,4,30.5,35.556,44.1,0.697,11,34,0
6.959,6.9,1.138,3,3,10.3,2,1.069,0.756,11.183,8,31,1,324.3,24.1,7,21.426,3,33.0,31.007,48.3,0.739,16,29,0
6.377,6.9,1.138,3,3,10.3,2,1.069,0.756,11.183,8,31,1,324.3,24.1,7,21.426,3,33.0,31.007,48.3,0.739,16,29,0
7.155,10.7,1.146,3,3,10.7,3,1.079,0.765,11.618,9,30,1,325.29,21.4,6,20.671,3,33.0,30.225,46.4,0.738,16,28,0
5.0,6.7,1.125,0,0,0.0,5,0.997,0.629,7.17,8,79,9,537.72,46.7,35,49.813,12,59.0,74.745,42.7,0.664,26,75,0
9.0,5.7,1.129,0,0,0.0,4,0.989,0.599,6.581,6,73,13,460.68,51.4,36,45.114,10,47.0,69.199,40.0,0.644,16,70,0
4.301,5.0,1.123,0,0,0.0,3,1.003,0.631,7.893,9,62,6,473.58,46.7,28,41.063,11,44.5,60.152,38.3,0.684,17,60,0
4.924,7.0,1.131,0,0,0.0,3,1.016,0.631,7.66,7,45,5,329.39,44.2,19,27.926,5,33.5,43.683,39.5,0.649,11,43,0
4.411,5.3,1.164,5,5,13.2,2,1.077,0.705,10.166,10,39,1,386.3,28.9,11,25.392,6,37.0,40.934,44.7,0.668,12,38,0
5.69,7.5,1.126,0,0,0.0,3,1.031,0.67,8.534,8,41,1,341.35,37.5,15,26.858,7,37.0,41.244,42.5,0.671,12,40,0
4.889,4.5,1.122,0,0,0.0,2,1.021,0.655,8.054,7,45,2,354.39,40.9,18,29.375,8,37.0,44.909,43.2,0.668,12,44,0
7.523,5.9,1.152,3,3,8.8,2,1.074,0.694,10.835,11,35,5,368.39,32.4,11,23.506,6,32.0,36.505,35.3,0.691,10,34,0
7.456,6.3,1.134,3,3,9.4,2,1.088,0.773,12.763,12,34,2,408.43,21.9,7,24.631,5,37.5,34.815,40.6,0.77,15,32,0
7.125,9.1,1.164,3,3,13.6,2,1.097,0.745,11.92,8,23,2,262.23,22.7,5,15.665,2,24.0,24.124,40.9,0.712,10,22,0
5.366,2.9,1.109,2,0,5.9,1,1.04,0.726,10.358,7,35,0,352.18,32.4,11,25.108,5,33.5,35.36,47.1,0.738,11,34,0
5.087,2.9,1.109,2,0,5.9,1,1.04,0.726,10.358,7,35,0,352.18,32.4,11,25.108,5,33.5,35.36,47.1,0.738,11,34,0
4.068,3.2,1.117,0,0,0.0,1,1.037,0.685,8.815,6,33,1,273.26,35.5,11,21.085,3,29.5,32.156,45.2,0.68,11,31,0
4.296,5.6,1.126,0,0,0.0,2,1.01,0.635,7.565,5,37,2,272.33,44.4,16,23.705,4,28.5,36.371,41.7,0.658,11,36,0
4.989,2.2,1.115,0,0,0.0,1,1.015,0.659,7.944,6,48,2,365.41,41.3,19,31.131,7,39.5,46.691,45.7,0.677,17,46,0
4.129,3.4,1.118,0,0,0.0,1,1.029,0.673,8.457,5,30,0,245.25,37.9,11,19.631,3,26.5,29.829,44.8,0.677,11,29,0
5.115,2.9,1.123,1,1,2.9,1,1.036,0.689,8.861,6,35,0,301.29,35.3,12,23.33,5,32.5,35.225,47.1,0.686,11,34,0
4.793,6.8,1.138,0,0,0.0,3,1.013,0.606,7.259,7,45,6,319.4,47.7,21,27.688,7,30.0,44.567,36.4,0.629,6,44,0
6.26,6.1,1.124,0,0,0.0,3,0.996,0.628,7.132,5,51,4,349.47,46.9,23,32.54,7,38.0,48.796,42.9,0.664,16,49,0
8.276,6.7,1.13,0,0,0.0,3,1.005,0.621,7.276,6,46,5,327.42,46.7,21,29.233,8,33.5,45.24,40.0,0.65,11,45,0
8.367,5.0,1.141,2,1,5.0,2,1.024,0.628,8.22,7,40,5,328.8,45.0,18,26.023,8,28.0,40.974,37.5,0.651,6,40,0
8.921,4.2,1.12,0,0,0.0,2,1.0,0.634,7.301,5,50,5,350.45,45.8,22,31.989,7,37.0,48.022,43.8,0.666,12,48,0
5.928,6.3,1.139,0,0,0.0,5,1.01,0.596,7.06,12,80,14,557.72,49.4,39,49.154,14,51.0,79.821,35.4,0.622,6,79,0
8.06,6.6,1.128,0,0,0.0,4,0.993,0.613,6.862,6,64,9,418.59,49.2,30,39.83,8,44.0,60.549,41.0,0.653,16,61,0
8.432,4.3,1.132,0,0,0.0,2,0.998,0.595,6.733,5,47,6,316.44,51.1,24,29.75,9,30.0,46.905,38.3,0.633,6,47,0
8.045,6.9,1.127,0,0,0.0,4,0.994,0.618,6.975,6,61,8,404.56,48.3,28,38.069,8,43.0,57.665,41.4,0.656,16,58,0
5.77,2.9,1.14,3,3,8.8,1,1.046,0.69,9.628,7,35,3,327.35,35.3,12,23.705,4,30.5,35.556,44.1,0.697,11,34,0
6.119,6.1,1.147,3,3,9.1,2,1.054,0.696,9.95,8,34,3,328.34,33.3,11,22.949,4,30.5,34.774,42.4,0.695,11,33,0
5.432,2.9,1.142,3,3,8.6,1,1.032,0.665,8.953,6,36,4,313.37,40.0,14,24.012,5,28.5,36.112,42.9,0.686,11,35,0
6.469,2.9,1.14,3,3,8.6,1,1.056,0.697,10.383,9,36,3,363.41,34.3,12,24.807,5,32.5,36.96,40.0,0.709,11,35,0
5.481,2.7,1.151,3,3,8.1,1,1.036,0.636,8.632,7,38,8,319.38,43.2,16,24.228,4,26.5,38.323,37.8,0.655,5,37,0
6.465,7.1,1.137,3,3,7.1,3,1.042,0.703,9.653,9,45,4,405.43,33.3,14,29.716,3,41.0,43.76,45.2,0.708,16,42,0
6.013,2.9,1.142,3,3,8.6,1,1.032,0.665,8.953,6,36,4,313.37,40.0,14,24.012,5,28.5,36.112,42.9,0.686,11,35,0
5.26,0.0,1.14,3,3,8.6,0,1.048,0.677,9.439,7,36,4,330.35,37.1,13,23.915,6,29.5,36.665,42.9,0.683,11,35,0
5.602,0.0,1.171,3,3,13.0,0,1.098,0.68,10.268,7,23,3,236.16,30.4,7,14.437,4,20.5,25.265,39.1,0.628,5,23,0
5.569,5.9,1.119,0,0,0.0,2,1.017,0.663,8.54,6,35,2,290.37,41.2,14,23.591,4,28.5,34.564,41.2,0.694,11,34,0
6.745,2.9,1.142,3,3,8.6,1,1.054,0.691,9.81,8,36,3,343.35,34.3,12,24.159,5,31.5,36.883,42.9,0.69,11,35,0
6.398,2.7,1.151,3,3,8.1,1,1.036,0.636,8.632,7,38,8,319.38,43.2,16,24.228,4,26.5,38.323,37.8,0.655,5,37,0
7.009,7.9,1.141,3,3,7.9,3,1.049,0.71,9.984,9,40,3,379.39,31.6,12,26.955,4,38.0,39.876,44.7,0.709,16,38,0
5.119,3.1,1.125,2,2,6.3,1,1.036,0.705,9.604,6,34,3,307.34,34.4,11,23.006,2,30.5,33.16,46.9,0.719,11,32,0
5.027,2.9,1.14,3,3,8.6,1,1.056,0.697,10.383,9,36,3,363.41,34.3,12,24.807,5,32.5,36.96,40.0,0.709,11,35,0
7.824,6.9,1.136,3,3,10.3,2,1.072,0.762,11.874,9,31,2,344.36,24.1,7,22.074,4,32.5,31.084,44.8,0.761,15,29,0
4.889,2.9,1.111,1,0,2.9,1,1.03,0.702,9.345,6,35,0,317.74,35.3,12,24.25,5,32.5,35.036,47.1,0.713,11,34,0
4.326,3.6,1.114,0,0,0.0,1,1.018,0.671,8.187,4,29,0,229.25,39.3,11,19.176,3,25.5,28.502,46.4,0.685,11,28,0
5.824,3.3,1.121,3,3,10.0,1,1.051,0.763,11.313,7,32,1,339.38,26.7,8,23.375,3,33.0,31.538,50.0,0.779,16,30,0
7.119,2.9,1.14,3,3,8.8,1,1.046,0.69,9.628,7,35,3,327.35,35.3,12,23.705,4,30.5,35.556,44.1,0.697,11,34,0
6.569,6.3,1.138,3,3,9.4,2,1.059,0.733,10.573,8,34,2,338.33,28.1,9,23.188,3,34.0,33.891,46.9,0.725,16,32,0
6.553,6.3,1.138,3,3,9.4,2,1.059,0.733,10.573,8,34,2,338.33,28.1,9,23.188,3,34.0,33.891,46.9,0.725,16,32,0
7.046,10.7,1.146,3,3,10.7,3,1.079,0.765,11.618,9,30,1,325.29,21.4,6,20.671,3,33.0,30.225,46.4,0.738,16,28,0
4.244,3.4,1.118,0,0,0.0,1,1.029,0.673,8.457,5,30,0,245.25,37.9,11,19.631,3,26.5,29.829,44.8,0.677,11,29,0
7.523,7.1,1.156,3,3,10.7,2,1.098,0.733,12.155,11,29,3,340.33,25.0,7,19.983,4,30.0,30.738,35.7,0.714,10,28,0
7.222,5.3,1.145,4,4,10.5,2,1.079,0.736,11.432,12,40,3,434.42,26.3,10,27.443,6,41.0,41.018,42.1,0.722,16,38,0
4.368,3.0,1.122,0,0,0.0,1,1.032,0.659,8.342,6,34,1,275.28,39.4,13,21.847,4,28.5,34.04,42.4,0.662,11,33,0
6.699,6.3,1.17,6,6,18.8,2,1.107,0.769,12.259,11,34,2,392.3,18.8,6,23.0,3,37.0,35.429,46.9,0.719,16,32,0
5.394,2.3,1.111,0,0,0.0,1,1.018,0.677,8.259,6,46,1,363.39,38.6,17,30.369,6,41.0,44.807,47.7,0.69,16,44,0
8.155,10.5,1.143,3,3,7.9,4,1.075,0.747,11.115,12,41,2,422.37,23.7,9,27.347,6,43.5,40.865,44.7,0.72,21,38,0
6.481,2.9,1.14,3,3,8.8,1,1.046,0.69,9.628,7,35,3,327.35,35.3,12,23.705,5,30.5,35.556,44.1,0.697,11,34,0
6.071,5.6,1.158,3,3,8.3,2,1.043,0.64,8.899,8,37,8,320.37,41.7,15,23.472,4,26.5,37.542,36.1,0.652,5,36,0
6.886,3.1,1.136,3,3,9.4,1,1.052,0.717,10.167,7,34,3,325.33,31.3,10,22.943,2,31.5,33.673,46.9,0.717,11,32,0
6.658,4.9,1.127,0,0,0.0,3,1.002,0.619,7.14,7,64,8,435.57,47.5,29,39.733,10,46.0,61.101,41.0,0.651,20,61,0
6.658,8.8,1.131,0,0,0.0,5,1.025,0.652,8.167,11,60,6,465.51,40.4,23,37.608,10,52.0,58.425,40.4,0.66,20,57,0
5.319,5.8,1.109,0,0,0.0,3,0.998,0.678,7.837,5,56,1,407.5,40.4,21,36.779,5,50.0,51.912,50.0,0.707,26,52,0
5.886,5.7,1.122,0,0,0.0,3,0.994,0.628,7.085,5,56,6,375.51,47.2,25,35.302,8,42.0,52.68,43.4,0.666,20,53,0
5.719,6.1,1.118,0,0,0.0,2,1.005,0.656,7.706,4,35,2,254.31,42.4,14,22.489,1,28.0,33.16,45.5,0.681,12,33,0
6.018,3.3,1.11,2,0,6.7,1,1.024,0.709,9.872,5,31,1,296.16,36.7,11,22.199,3,27.0,30.705,46.7,0.74,12,30,0
5.0,4.3,1.13,0,0,0.0,1,1.008,0.612,7.183,3,23,2,165.21,47.8,11,14.722,2,16.0,23.174,39.1,0.64,6,23,0
5.959,3.3,1.136,2,2,6.7,1,1.036,0.679,8.775,5,31,1,263.26,36.7,11,20.358,3,27.0,31.083,46.7,0.679,12,30,0
5.0,6.5,1.129,0,0,0.0,3,1.032,0.651,8.99,11,47,3,413.52,41.3,19,31.131,7,39.0,47.491,34.8,0.677,12,46,0
6.155,3.3,1.136,2,2,6.7,1,1.036,0.679,8.775,5,31,1,263.26,36.7,11,20.358,3,27.0,31.083,46.7,0.679,12,30,0
5.0,3.0,1.116,0,0,0.0,1,0.998,0.641,7.312,3,34,2,241.31,45.5,15,22.245,4,26.0,32.942,45.5,0.674,12,33,0
5.0,3.0,1.116,0,0,0.0,1,0.998,0.641,7.312,3,34,2,241.31,45.5,15,22.245,4,26.0,32.942,45.5,0.674,12,33,0
5.635,3.2,1.11,0,0,0.0,1,1.002,0.665,7.719,3,33,2,239.29,41.9,13,21.483,1,27.0,31.058,48.4,0.693,12,31,0
6.602,3.4,1.11,0,0,0.0,1,1.017,0.683,8.319,4,31,1,241.26,37.9,11,20.176,1,27.0,29.502,48.3,0.696,12,29,0
6.678,2.5,1.116,0,0,0.0,1,1.012,0.652,7.784,5,43,5,311.36,42.5,17,26.915,3,33.0,40.48,45.0,0.673,12,40,0
4.301,4.9,1.115,0,0,0.0,3,0.999,0.651,7.765,7,64,5,473.64,44.3,27,42.165,9,49.5,60.967,44.3,0.691,23,61,0
5.347,3.0,1.116,0,0,0.0,1,0.998,0.641,7.312,3,34,2,241.31,45.5,15,22.245,3,26.0,32.942,45.5,0.674,12,33,0
4.301,5.2,1.114,0,0,0.0,3,1.001,0.658,7.924,7,61,4,459.61,43.1,25,40.404,9,48.5,58.083,44.8,0.697,23,58,0
8.347,5.8,1.145,0,0,0.0,5,1.0,0.563,6.393,11,88,23,549.8,54.7,47,51.745,6,46.0,86.028,32.6,0.602,0,86,0
7.921,5.9,1.147,0,0,0.0,5,1.0,0.558,6.327,11,86,22,537.79,55.3,47,50.745,14,44.0,85.028,31.8,0.597,0,85,0
8.301,5.6,1.145,0,0,0.0,5,0.999,0.562,6.335,11,91,24,563.83,55.1,49,53.506,6,47.0,88.912,32.6,0.601,0,89,0
8.26,6.0,1.145,0,0,0.0,5,1.002,0.565,6.455,11,85,22,535.77,54.2,45,49.983,6,45.0,83.145,32.5,0.602,0,83,0
6.684,10.0,1.144,1,1,2.0,5,1.019,0.628,7.749,9,52,6,387.46,44.0,22,32.182,6,38.0,50.956,38.0,0.644,12,50,0
8.268,6.3,1.145,0,0,0.0,5,1.003,0.568,6.522,11,82,21,521.74,53.8,43,48.222,6,44.0,80.261,32.5,0.603,0,80,0
7.879,6.9,1.128,0,0,0.0,4,1.008,0.633,7.492,8,60,7,434.54,44.8,26,38.216,11,45.5,58.436,41.4,0.659,17,58,0
8.337,10.4,1.128,0,0,0.0,5,1.022,0.663,8.615,10,51,4,413.5,39.6,19,32.824,4,43.5,49.08,39.6,0.684,17,48,0
5.301,5.0,1.122,0,0,0.0,2,1.028,0.662,8.71,8,41,1,348.41,40.0,16,27.261,6,35.0,41.102,40.0,0.682,12,40,0
5.125,4.8,1.123,0,0,0.0,2,1.014,0.646,7.771,6,44,5,326.38,42.9,18,27.921,6,34.5,42.582,42.9,0.665,11,42,0
4.602,4.9,1.124,0,0,0.0,2,1.016,0.642,8.157,7,42,3,334.43,43.9,18,27.568,6,33.0,41.658,39.0,0.672,12,41,0
4.602,5.1,1.12,0,0,0.0,2,1.02,0.661,8.523,7,40,1,332.41,41.0,16,26.807,5,34.0,39.774,41.0,0.687,12,39,0
4.602,4.3,1.126,0,0,0.0,2,1.009,0.625,7.713,7,48,5,362.49,46.8,22,31.091,7,35.0,47.425,38.3,0.662,12,47,0
4.602,4.9,1.124,0,0,0.0,2,1.016,0.642,8.157,7,42,3,334.43,43.9,18,27.568,7,33.0,41.658,39.0,0.672,12,41,0
6.523,5.1,1.137,0,0,0.0,2,1.004,0.588,6.778,5,39,6,264.36,51.3,20,24.228,8,24.0,39.138,35.9,0.621,6,39,0
5.301,6.3,1.12,0,0,0.0,2,1.031,0.679,9.136,7,33,0,292.34,37.5,12,22.284,4,30.0,33.007,40.6,0.696,12,32,0
5.301,5.3,1.123,0,0,0.0,2,1.02,0.652,8.432,7,39,2,320.4,42.1,16,25.807,6,32.0,38.774,39.5,0.679,12,38,0
6.0,4.5,1.125,0,0,0.0,2,1.03,0.653,8.601,9,45,2,378.44,40.9,18,29.477,7,37.0,45.313,38.6,0.67,12,44,0
7.538,4.5,1.131,0,0,0.0,2,1.0,0.601,6.873,5,44,5,302.41,50.0,22,27.989,6,29.0,44.022,38.6,0.636,6,44,0
