pXC50,P_VSA_i_4,CATS2D_06_DL,GATS8m,JGI6,H.049,SaaN,PCR,SaasC,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2s,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5e,ATSC5i,ATSC5m,ATSC5p,ATSC5s,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID
5.873,103.776,3,0.909,0.013,1,8.784,1.402,3.138,1.596,12.7,3.946,15.57,124.187,7.547,0.375,4.097,4.229,3.711,3.66,5.199,3.608,4.627,4.824,4.06,4.026,5.634,3.937,4.863,5.102,4.11,4.132,5.847,4.025,4.875,5.099,4.101,4.13,5.97,4.027,4.883,5.115,3.978,4.123,5.921,4.003,4.946,5.216,3.935,4.082,5.969,3.943,4.85,5.134,3.773,3.959,5.796,3.823,4.706,4.989,3.681,3.824,5.709,3.698,0.028,0.869,11.967,5.027,10.148,6.682,0.258,1.371,23.616,8.465,21.687,11.539,0.272,1.599,33.211,10.798,38.219,14.5,0.501,1.628,34.005,10.207,63.384,13.656,0.267,1.597,32.141,10.911,49.792,14.935,0.537,1.623,35.855,11.5,72.371,16.442,0.267,1.468,31.739,10.039,49.175,14.743,0.396,1.286,28.78,8.295,57.746,12.112,35,42,0.262,0.617,0.788,0.873,0.891,0.891,3.44
7.097,134.223,1,1.216,0.011,2,12.898,1.483,4.158,1.618,10.962,2.88,8.293,104.877,8.816,0.586,3.846,3.966,3.606,3.456,5.053,3.434,4.312,4.467,3.971,3.834,5.448,3.779,4.491,4.699,3.918,3.886,5.533,3.787,4.447,4.652,3.903,3.814,5.61,3.725,4.396,4.614,3.76,3.722,5.551,3.65,4.313,4.52,3.77,3.668,5.553,3.608,4.275,4.486,3.633,3.599,5.48,3.542,4.191,4.406,3.43,3.525,5.291,3.43,0.054,0.7,6.432,3.162,9.388,3.535,0.201,1.102,12.489,5.423,16.118,6.293,0.209,1.224,20.247,7.516,25.032,8.723,0.306,1.21,19.497,6.676,32.453,7.744,0.248,1.116,18.109,6.138,30.97,7.14,0.28,1.047,15.84,5.671,32.65,7.186,0.211,0.989,14.176,5.142,31.833,6.245,0.186,0.885,14.426,5.101,30.901,5.951,3,39,0.279,0.701,0.85,0.899,0.908,0.908,3.304
5.301,100.652,1,0.815,0.013,1,8.812,1.51,5.535,1.645,12.429,5.599,31.348,120.122,10.236,0.581,3.895,3.999,3.781,3.596,5.072,3.543,4.363,4.5,4.199,3.983,5.477,3.896,4.592,4.78,4.214,4.077,5.63,3.95,4.566,4.768,4.066,3.969,5.677,3.843,4.488,4.71,3.922,3.843,5.594,3.746,4.409,4.61,3.951,3.81,5.6,3.717,4.368,4.571,3.856,3.739,5.545,3.656,4.274,4.475,3.686,3.689,5.361,3.571,0.026,0.632,4.297,3.378,8.725,3.918,0.132,1.043,9.498,6.003,13.435,7.072,0.154,1.273,28.14,9.441,22.984,10.44,0.255,1.304,27.788,8.908,33.505,9.904,0.187,1.201,19.252,7.639,30.936,8.574,0.235,1.11,24.147,7.292,32.458,8.435,0.202,1.048,23.013,6.466,33.858,6.894,0.161,0.941,17.665,6.185,30.112,6.715,6,42,0.28,0.643,0.779,0.874,0.882,0.882,3.374
5.301,50.357,3,1.056,0.015,1,12.542,1.444,1.173,1.9,7.318,3.806,14.489,87.052,9.818,0.667,3.663,3.74,3.506,3.296,4.892,3.267,4.121,4.238,3.93,3.634,5.405,3.59,4.236,4.388,3.908,3.693,5.382,3.627,4.212,4.315,4.013,3.663,5.586,3.613,4.238,4.354,3.893,3.647,5.5,3.601,4.293,4.424,4.071,3.686,5.658,3.623,4.293,4.465,3.621,3.605,5.447,3.511,4.178,4.404,3.233,3.411,5.181,3.237,0.099,0.482,3.979,2.924,9.166,2.91,0.355,0.765,10.172,4.843,25.842,4.934,0.311,0.834,14.466,6.214,25.171,6.163,0.435,0.828,15.113,5.916,34.569,5.229,0.35,0.821,15.595,6.163,34.259,5.129,0.536,0.876,20.565,6.51,42.72,5.958,0.364,0.85,16.677,6.31,31.726,6.261,0.33,0.698,16.28,6.016,30.838,7.29,13,33,0.346,0.693,0.817,0.879,0.89,0.89,3.148
5.301,100.652,2,0.934,0.012,1,8.767,1.509,5.261,1.722,12.517,6.179,38.184,122.109,10.009,0.563,3.903,4.0,3.762,3.606,5.109,3.561,4.374,4.501,4.173,3.996,5.533,3.921,4.609,4.782,4.304,4.106,5.745,3.993,4.579,4.77,4.094,3.99,5.735,3.876,4.503,4.709,3.92,3.872,5.647,3.776,4.424,4.611,3.942,3.817,5.664,3.735,4.379,4.574,3.816,3.751,5.593,3.676,4.287,4.476,3.751,3.699,5.455,3.599,0.059,0.629,4.468,3.178,9.059,3.563,0.172,1.032,9.656,5.676,15.127,6.54,0.308,1.249,26.232,8.889,33.762,9.745,0.339,1.28,23.528,8.48,38.21,9.33,0.301,1.176,22.304,7.676,39.588,8.167,0.341,1.083,20.749,6.878,38.578,7.933,0.3,1.03,17.807,6.086,40.303,6.388,0.272,0.916,15.598,5.893,37.399,6.31,11,44,0.293,0.663,0.797,0.897,0.913,0.913,3.408
5.18,103.776,0,1.532,0.015,1,9.002,1.401,3.491,1.597,9.333,2.721,7.402,98.122,8.411,0.444,3.816,3.939,3.547,3.421,4.944,3.386,4.335,4.508,3.93,3.818,5.37,3.753,4.562,4.783,3.945,3.929,5.534,3.823,4.527,4.755,3.902,3.846,5.617,3.746,4.391,4.612,3.751,3.737,5.528,3.659,4.288,4.479,3.71,3.695,5.458,3.613,4.294,4.513,3.582,3.623,5.399,3.524,4.219,4.445,3.404,3.513,5.291,3.37,0.027,0.674,7.183,3.31,8.376,3.992,0.196,1.105,14.934,5.656,13.616,6.956,0.21,1.294,23.084,8.179,20.511,10.064,0.296,1.263,23.302,7.451,34.639,9.326,0.242,1.102,18.863,6.227,29.145,7.683,0.195,1.006,15.341,5.782,25.583,7.571,0.111,0.965,15.002,5.772,25.819,7.558,0.176,0.905,18.607,5.937,34.352,6.878,3,37,0.28,0.657,0.751,0.837,0.846,0.846,3.229
6.003,127.522,1,0.719,0.02,1,7.681,1.406,0.421,2.045,8.739,4.414,19.483,84.465,12.233,0.48,3.547,3.618,3.547,3.219,4.942,3.228,4.044,4.132,4.074,3.583,5.988,3.591,4.134,4.247,4.001,3.684,5.608,3.649,4.224,4.37,3.985,3.6,5.802,3.581,4.058,4.206,3.869,3.441,5.699,3.437,3.942,4.065,4.03,3.318,5.654,3.332,3.636,3.784,3.335,3.046,5.115,3.051,3.536,3.68,3.297,2.838,5.218,2.891,0.25,0.684,0.377,2.107,39.865,1.484,0.805,1.421,2.268,3.906,136.211,2.489,0.509,1.166,5.781,5.019,71.859,3.919,0.805,1.259,11.087,5.989,124.936,4.284,0.652,1.07,7.982,4.484,96.85,3.062,0.502,1.037,12.193,5.031,96.172,2.947,0.351,0.592,3.632,2.453,55.74,2.02,0.369,0.645,2.326,2.422,49.841,2.142,30,37,0.384,0.742,0.83,0.882,0.882,0.882,3.189
6.564,115.612,2,1.135,0.014,1,8.656,1.515,3.404,1.645,11.786,5.056,25.563,112.716,8.852,0.581,3.9,4.008,3.658,3.557,5.126,3.524,4.37,4.511,4.033,3.928,5.551,3.87,4.603,4.798,4.06,4.008,5.744,3.924,4.59,4.792,3.992,3.918,5.819,3.834,4.509,4.727,3.83,3.812,5.721,3.736,4.413,4.622,3.827,3.753,5.644,3.69,4.374,4.586,3.738,3.691,5.669,3.637,4.282,4.486,3.577,3.638,5.457,3.556,0.048,0.73,6.533,3.624,9.545,4.043,0.159,1.181,12.658,6.214,16.194,7.133,0.225,1.457,21.852,8.851,34.976,9.976,0.385,1.503,22.698,8.358,55.033,9.062,0.368,1.337,20.641,7.366,53.155,8.189,0.276,1.182,17.74,6.636,38.141,8.146,0.327,1.167,15.985,5.822,48.226,6.953,0.193,1.023,15.359,5.846,35.065,6.63,6,42,0.28,0.643,0.771,0.882,0.913,0.913,3.374
7.187,119.337,1,1.122,0.011,2,13.056,1.483,4.203,1.599,11.704,3.086,9.522,109.773,8.534,0.567,3.906,4.028,3.641,3.504,5.087,3.476,4.39,4.561,4.01,3.885,5.488,3.829,4.555,4.755,3.969,3.961,5.601,3.859,4.573,4.801,3.933,3.885,5.68,3.785,4.432,4.643,3.79,3.774,5.573,3.698,4.418,4.639,3.804,3.739,5.605,3.664,4.389,4.623,3.668,3.664,5.534,3.597,4.273,4.493,3.505,3.592,5.35,3.496,0.035,0.741,7.445,3.511,9.31,4.151,0.231,1.176,15.243,5.903,16.344,7.144,0.171,1.305,21.204,8.011,23.289,9.597,0.346,1.327,23.808,7.683,37.572,9.474,0.221,1.157,18.572,6.316,28.02,7.609,0.281,1.131,18.637,6.566,35.252,8.683,0.245,1.079,17.559,5.843,34.33,7.491,0.165,0.949,16.245,5.687,30.262,7.044,6,41,0.272,0.69,0.843,0.888,0.896,0.896,3.34
7.387,131.943,2,1.081,0.014,1,8.7,1.524,3.994,1.802,13.452,3.679,13.533,125.841,9.196,0.529,4.013,4.11,3.918,3.673,5.198,3.623,4.498,4.622,4.217,4.046,5.912,3.979,4.726,4.9,4.208,4.147,5.916,4.049,4.74,4.931,4.133,4.069,5.995,3.972,4.675,4.9,3.939,3.94,5.841,3.849,4.513,4.718,3.939,3.868,5.699,3.784,4.516,4.712,3.841,3.815,5.749,3.748,4.485,4.696,3.711,3.77,5.691,3.665,0.131,0.795,9.478,4.445,24.603,4.376,0.387,1.243,16.177,7.571,67.959,8.169,0.349,1.486,25.718,10.412,51.43,11.011,0.447,1.527,26.802,9.977,60.608,10.776,0.427,1.386,24.984,8.947,69.405,10.184,0.305,1.241,21.556,8.001,43.139,9.588,0.371,1.219,20.216,7.089,67.153,7.508,0.463,1.146,20.734,7.372,69.688,8.087,21,48,0.298,0.653,0.785,0.868,0.875,0.875,3.471
5.827,133.549,1,1.22,0.014,1,8.5,1.422,3.156,1.631,9.227,2.117,4.481,91.082,8.623,0.5,3.702,3.83,3.442,3.307,4.921,3.273,4.157,4.319,3.806,3.673,5.289,3.604,4.358,4.575,3.816,3.747,5.435,3.646,4.292,4.5,3.79,3.668,5.492,3.581,4.19,4.391,3.637,3.571,5.445,3.501,4.136,4.332,3.594,3.512,5.416,3.444,4.11,4.326,3.358,3.414,5.305,3.325,4.011,4.249,3.098,3.26,5.102,3.122,0.054,0.609,6.246,2.838,11.793,3.291,0.162,0.939,11.924,4.925,17.031,5.92,0.203,1.07,19.264,6.754,26.639,8.03,0.265,1.035,18.145,5.766,30.443,6.843,0.2,0.928,14.744,5.044,30.035,5.943,0.216,0.879,13.314,4.638,28.424,5.914,0.136,0.808,12.622,4.555,28.978,5.737,0.144,0.702,13.64,4.634,30.53,5.717,11,32,0.294,0.695,0.813,0.891,0.901,0.901,3.147
5.187,100.652,1,1.213,0.01,1,8.766,1.52,4.355,1.537,10.885,4.529,20.515,107.745,8.719,0.621,3.829,3.937,3.587,3.507,5.031,3.466,4.282,4.419,3.953,3.877,5.416,3.807,4.492,4.68,3.954,3.952,5.55,3.848,4.481,4.691,3.897,3.851,5.62,3.75,4.369,4.58,3.769,3.742,5.531,3.666,4.298,4.498,3.778,3.694,5.551,3.638,4.254,4.45,3.61,3.653,5.457,3.585,4.189,4.394,3.409,3.591,5.273,3.475,0.019,0.611,6.356,3.217,8.506,3.722,0.121,0.994,11.815,5.441,12.292,6.443,0.09,1.193,19.249,7.857,19.582,9.168,0.241,1.243,20.801,7.375,31.753,8.554,0.125,1.078,17.741,6.528,26.428,7.581,0.227,1.042,15.511,5.531,31.858,6.701,0.13,0.957,13.342,5.067,29.522,5.851,0.119,0.863,14.24,5.538,26.432,6.511,3,39,0.265,0.598,0.717,0.84,0.881,0.881,3.304
6.602,117.437,2,1.187,0.012,2,13.056,1.512,4.203,1.567,11.704,3.842,14.761,109.765,8.663,0.6,3.877,3.99,3.626,3.526,5.075,3.49,4.341,4.49,3.985,3.89,5.468,3.825,4.554,4.76,3.979,3.963,5.6,3.866,4.508,4.713,3.926,3.882,5.649,3.782,4.446,4.663,3.784,3.787,5.578,3.704,4.383,4.596,3.798,3.732,5.596,3.66,4.335,4.551,3.654,3.662,5.508,3.597,4.248,4.462,3.495,3.597,5.353,3.503,0.026,0.678,6.826,3.418,9.07,3.963,0.141,1.091,13.086,5.794,14.969,6.882,0.173,1.296,21.536,8.06,25.339,9.408,0.278,1.278,20.894,7.37,33.564,8.68,0.175,1.164,19.077,6.791,30.111,7.999,0.266,1.116,17.413,6.348,34.292,8.122,0.153,1.036,15.64,5.651,32.027,6.862,0.163,0.942,15.387,5.482,31.385,6.414,3,40,0.267,0.633,0.78,0.884,0.91,0.91,3.34
6.602,82.641,1,0.871,0.014,1,7.89,1.434,2.734,1.787,7.211,3.472,12.052,78.491,11.029,0.571,3.411,3.491,3.369,3.154,4.712,3.116,3.833,3.929,3.801,3.511,5.121,3.454,3.979,4.119,3.766,3.589,5.175,3.487,3.936,4.082,3.724,3.488,5.273,3.385,3.788,3.941,3.52,3.311,5.16,3.233,3.645,3.783,3.626,3.182,5.184,3.114,3.51,3.683,3.068,2.936,4.861,2.875,3.235,3.438,2.673,2.623,4.424,2.507,0.056,0.38,1.283,1.614,5.16,1.539,0.16,0.6,3.269,2.756,10.872,2.586,0.144,0.699,8.469,4.423,15.215,4.264,0.209,0.713,10.116,4.305,20.308,3.971,0.165,0.587,9.162,3.628,25.044,3.104,0.2,0.503,9.226,2.946,24.759,2.572,0.131,0.412,4.602,2.172,18.51,2.087,0.094,0.299,3.301,1.88,12.671,2.061,6,29,0.343,0.687,0.802,0.888,0.902,0.902,3.011
6.187,117.437,1,1.238,0.01,2,12.971,1.52,4.028,1.584,10.885,3.807,14.495,105.216,8.961,0.621,3.815,3.925,3.594,3.472,5.041,3.443,4.265,4.404,3.96,3.834,5.429,3.778,4.461,4.652,3.957,3.904,5.558,3.814,4.421,4.619,3.897,3.811,5.603,3.723,4.339,4.545,3.776,3.715,5.54,3.647,4.273,4.47,3.782,3.663,5.542,3.615,4.234,4.432,3.614,3.609,5.461,3.555,4.154,4.357,3.415,3.54,5.276,3.439,0.035,0.636,5.755,3.056,8.408,3.363,0.146,1.021,10.916,5.102,13.511,5.744,0.183,1.205,18.3,7.194,23.474,7.979,0.259,1.193,18.376,6.577,30.205,7.243,0.198,1.071,16.519,6.139,28.868,6.972,0.224,1.019,14.626,5.374,29.993,6.452,0.168,0.957,12.722,4.76,30.999,5.251,0.149,0.853,13.304,5.099,27.983,5.727,3,39,0.274,0.627,0.77,0.883,0.912,0.912,3.304
5.167,88.89,0,1.51,0.017,1,9.071,1.396,3.51,1.574,10.04,3.257,10.605,103.417,8.151,0.429,3.878,4.002,3.584,3.47,4.986,3.431,4.411,4.599,3.971,3.869,5.409,3.805,4.623,4.831,3.995,4.013,5.584,3.904,4.692,4.939,3.941,3.955,5.708,3.831,4.551,4.809,3.781,3.808,5.592,3.713,4.328,4.513,3.767,3.741,5.496,3.663,4.381,4.606,3.647,3.691,5.483,3.6,4.301,4.52,3.481,3.619,5.355,3.476,0.01,0.715,8.198,3.658,8.595,4.586,0.225,1.178,17.465,6.078,14.078,7.762,0.178,1.38,23.843,8.665,18.122,10.887,0.3,1.424,28.328,9.168,39.169,12.081,0.296,1.227,24.261,7.506,33.173,9.852,0.171,1.051,16.198,6.081,25.32,8.135,0.152,1.056,17.015,5.888,29.932,7.876,0.159,0.979,19.667,6.43,32.843,7.744,6,39,0.272,0.636,0.752,0.831,0.839,0.839,3.267
5.427,103.776,2,1.2,0.012,1,8.864,1.392,3.35,1.532,11.704,4.002,16.014,113.292,7.726,0.4,3.991,4.121,3.643,3.58,5.051,3.53,4.536,4.724,4.006,3.98,5.496,3.892,4.795,5.041,4.005,4.096,5.669,3.961,4.777,5.036,3.946,4.016,5.725,3.874,4.669,4.935,3.803,3.882,5.649,3.764,4.543,4.787,3.81,3.802,5.613,3.709,4.495,4.738,3.677,3.733,5.566,3.654,4.404,4.633,3.525,3.695,5.406,3.581,0.034,0.792,10.297,4.338,9.533,5.709,0.214,1.299,20.708,7.512,17.126,10.074,0.249,1.543,30.762,10.585,25.52,14.107,0.317,1.5,31.536,10.19,38.422,13.934,0.286,1.335,27.418,8.647,34.293,11.889,0.27,1.221,23.144,7.386,36.551,10.498,0.228,1.165,20.909,6.084,35.486,8.663,0.194,1.06,19.586,6.225,31.057,8.476,3,40,0.258,0.612,0.75,0.85,0.857,0.857,3.34
6.339,102.551,3,1.121,0.012,1,8.88,1.601,3.227,1.531,12.567,5.094,25.947,123.204,8.553,0.647,3.995,4.107,3.735,3.647,5.16,3.613,4.478,4.624,4.116,4.039,5.57,3.98,4.697,4.898,4.115,4.13,5.712,4.034,4.692,4.895,4.058,4.073,5.779,3.967,4.64,4.868,3.88,3.948,5.704,3.844,4.546,4.77,3.878,3.861,5.673,3.777,4.493,4.72,3.775,3.785,5.619,3.72,4.393,4.611,3.653,3.742,5.47,3.655,0.019,0.742,7.817,3.825,9.416,4.501,0.153,1.23,15.014,6.488,14.233,7.743,0.185,1.48,24.073,9.322,22.148,11.126,0.247,1.5,24.235,8.984,33.112,10.846,0.223,1.394,23.4,8.607,32.346,10.56,0.227,1.278,21.07,7.759,35.369,10.058,0.17,1.214,18.976,6.677,34.595,8.196,0.17,1.089,17.885,6.359,32.487,7.565,3,47,0.253,0.613,0.747,0.876,0.91,0.91,3.44
6.022,100.652,1,1.597,0.014,1,8.373,1.43,3.229,1.633,7.8,2.946,8.678,83.132,9.076,0.545,3.563,3.675,3.36,3.212,4.805,3.177,4.004,4.154,3.739,3.573,5.167,3.51,4.147,4.324,3.748,3.645,5.283,3.554,4.116,4.297,3.7,3.568,5.378,3.481,4.011,4.194,3.491,3.451,5.251,3.369,3.95,4.145,3.447,3.344,5.253,3.268,3.872,4.087,3.166,3.182,5.128,3.099,3.702,3.935,2.67,2.952,4.796,2.809,0.037,0.509,4.523,2.404,6.891,2.593,0.151,0.804,9.27,4.092,11.913,4.585,0.117,0.895,13.889,5.523,15.904,5.946,0.23,0.905,13.76,4.794,24.262,4.975,0.111,0.771,11.556,4.511,20.158,4.895,0.179,0.734,11.026,4.151,23.463,5.069,0.123,0.654,9.751,3.61,24.807,4.079,0.138,0.535,10.862,3.522,25.436,3.731,9,30,0.303,0.704,0.809,0.878,0.89,0.89,3.059
5.511,100.652,1,1.112,0.012,1,8.813,1.508,5.241,1.618,13.207,4.834,23.369,118.962,8.365,0.563,3.979,4.086,3.692,3.605,5.158,3.57,4.457,4.606,4.048,3.971,5.556,3.909,4.645,4.832,4.066,4.07,5.691,3.975,4.665,4.867,4.004,4.02,5.764,3.91,4.635,4.872,3.848,3.918,5.688,3.814,4.52,4.739,3.852,3.826,5.66,3.749,4.443,4.647,3.728,3.765,5.602,3.696,4.422,4.646,3.577,3.729,5.457,3.62,0.026,0.714,8.353,4.101,9.883,4.824,0.2,1.149,16.605,7.014,19.022,8.275,0.17,1.359,23.35,9.154,23.953,10.835,0.272,1.419,24.793,9.048,36.332,11.062,0.206,1.344,24.653,8.708,34.67,11.046,0.274,1.212,21.242,7.528,36.944,9.728,0.243,1.122,17.639,6.254,35.952,7.709,0.19,1.07,19.325,6.947,34.093,8.623,9,43,0.271,0.637,0.784,0.869,0.876,0.876,3.407
6.234,119.091,2,1.107,0.013,2,12.937,1.476,3.231,1.599,11.778,3.307,10.934,110.671,8.534,0.567,3.907,4.029,3.642,3.508,5.084,3.478,4.388,4.553,3.999,3.877,5.485,3.818,4.586,4.812,3.946,3.937,5.583,3.833,4.541,4.761,3.927,3.882,5.649,3.782,4.482,4.705,3.792,3.799,5.595,3.713,4.425,4.645,3.786,3.736,5.601,3.66,4.373,4.597,3.645,3.661,5.519,3.585,4.29,4.516,3.515,3.575,5.368,3.483,0.058,0.743,7.473,3.549,9.607,4.21,0.183,1.174,14.73,5.921,16.252,7.16,0.241,1.322,23.586,8.144,26.793,9.848,0.328,1.294,22.689,7.483,34.7,9.17,0.228,1.192,20.219,6.925,31.449,8.541,0.307,1.145,18.47,6.325,35.379,8.264,0.209,1.06,16.74,5.923,33.781,7.61,0.17,0.966,16.733,5.689,30.829,7.064,3,40,0.272,0.668,0.816,0.899,0.907,0.907,3.339
6.119,103.776,1,1.202,0.012,1,8.815,1.392,3.278,1.668,11.704,2.772,7.685,110.226,8.096,0.4,3.968,4.088,3.656,3.527,5.07,3.498,4.505,4.68,4.014,3.91,5.524,3.851,4.716,4.937,4.007,4.029,5.662,3.92,4.699,4.936,3.948,3.976,5.696,3.848,4.66,4.923,3.808,3.846,5.663,3.742,4.495,4.723,3.816,3.754,5.621,3.68,4.436,4.661,3.681,3.689,5.552,3.627,4.368,4.585,3.542,3.651,5.435,3.55,0.036,0.763,9.184,4.087,9.327,5.041,0.294,1.226,19.428,6.888,20.773,8.509,0.381,1.426,27.729,9.351,27.824,11.786,0.294,1.412,28.029,9.38,35.906,12.51,0.361,1.296,27.487,8.412,37.636,11.276,0.354,1.157,21.563,6.777,37.974,9.316,0.244,1.101,18.767,5.629,35.037,7.629,0.308,1.009,18.295,5.838,36.187,7.687,3,40,0.284,0.64,0.765,0.85,0.857,0.857,3.34
5.301,100.652,2,1.187,0.012,1,8.799,1.512,4.51,1.52,11.704,4.851,23.527,112.499,8.443,0.6,3.89,4.002,3.619,3.558,5.064,3.513,4.357,4.503,3.979,3.931,5.456,3.853,4.583,4.786,3.977,4.012,5.596,3.899,4.559,4.773,3.925,3.922,5.656,3.809,4.486,4.712,3.782,3.814,5.589,3.722,4.401,4.615,3.791,3.755,5.583,3.678,4.359,4.577,3.651,3.693,5.518,3.621,4.268,4.479,3.49,3.641,5.348,3.534,0.025,0.654,7.414,3.591,9.035,4.324,0.134,1.067,13.94,6.16,13.495,7.578,0.128,1.295,22.405,8.776,21.652,10.624,0.236,1.312,22.928,8.241,32.96,10.083,0.172,1.2,20.713,7.302,29.835,8.819,0.22,1.119,18.185,6.602,32.561,8.513,0.159,1.059,16.456,5.814,32.667,7.127,0.143,0.947,15.868,5.813,29.598,6.997,3,40,0.258,0.606,0.732,0.845,0.882,0.882,3.34
5.878,103.776,0,1.455,0.015,1,8.927,1.411,3.399,1.558,10.72,2.964,8.788,104.957,7.834,0.444,3.896,4.029,3.557,3.47,5.021,3.421,4.402,4.601,3.908,3.838,5.406,3.759,4.585,4.803,3.947,3.954,5.561,3.841,4.655,4.903,3.931,3.927,5.702,3.814,4.566,4.801,3.796,3.859,5.613,3.754,4.549,4.796,3.785,3.811,5.639,3.712,4.465,4.692,3.667,3.753,5.563,3.641,4.458,4.72,3.409,3.656,5.457,3.5,0.027,0.729,9.262,3.857,10.026,5.038,0.228,1.142,18.628,6.359,16.66,8.468,0.139,1.304,24.383,8.607,20.296,11.185,0.376,1.373,27.931,8.265,40.93,11.184,0.173,1.243,23.454,7.782,28.538,10.535,0.362,1.22,23.312,7.281,38.274,10.304,0.12,1.119,19.068,6.825,31.135,9.522,0.265,1.067,24.838,7.143,43.651,9.269,18,36,0.268,0.647,0.796,0.879,0.886,0.886,3.267
6.845,119.337,1,1.223,0.013,3,12.883,1.486,4.335,1.599,11.074,2.949,8.694,110.023,8.534,0.567,3.906,4.028,3.641,3.504,5.089,3.476,4.39,4.561,4.01,3.885,5.482,3.829,4.555,4.753,3.987,3.972,5.592,3.874,4.603,4.824,3.942,3.923,5.705,3.815,4.524,4.764,3.795,3.795,5.62,3.708,4.411,4.635,3.799,3.729,5.59,3.659,4.355,4.572,3.697,3.66,5.547,3.603,4.283,4.502,3.504,3.609,5.37,3.516,0.035,0.741,7.445,3.511,9.522,4.151,0.231,1.176,15.243,5.903,16.574,7.144,0.171,1.31,21.106,7.996,20.566,9.566,0.336,1.368,23.718,7.917,36.993,9.75,0.258,1.224,22.152,7.272,34.369,9.102,0.308,1.126,18.72,6.331,34.292,8.324,0.205,1.063,16.067,5.576,33.881,7.085,0.209,0.97,16.14,5.357,32.766,6.468,6,41,0.272,0.682,0.836,0.888,0.896,0.896,3.34
5.301,100.652,1,1.196,0.014,1,8.611,1.422,3.31,1.582,9.227,3.818,14.579,92.404,8.363,0.5,3.714,3.835,3.438,3.344,4.884,3.297,4.191,4.36,3.804,3.707,5.272,3.625,4.386,4.606,3.813,3.775,5.41,3.665,4.326,4.542,3.788,3.695,5.488,3.599,4.212,4.415,3.629,3.599,5.404,3.521,4.166,4.365,3.59,3.548,5.41,3.471,4.133,4.345,3.352,3.467,5.277,3.363,4.052,4.291,3.09,3.327,5.067,3.171,0.019,0.59,6.675,3.111,8.3,3.776,0.134,0.94,13.299,5.422,13.719,6.755,0.129,1.084,20.258,7.226,20.644,8.769,0.25,1.065,19.483,6.145,30.115,7.457,0.126,0.935,15.57,5.289,23.562,6.353,0.223,0.902,14.263,4.81,30.158,6.203,0.096,0.821,13.169,4.924,25.581,6.317,0.111,0.728,14.374,5.118,26.162,6.442,11,32,0.283,0.687,0.825,0.881,0.89,0.89,3.147
7.097,133.549,1,1.152,0.013,1,8.787,1.51,5.136,1.549,12.429,4.104,16.842,117.2,8.403,0.581,3.938,4.059,3.653,3.579,5.134,3.539,4.398,4.547,4.022,3.958,5.515,3.886,4.629,4.829,4.026,4.051,5.684,3.944,4.639,4.861,3.957,3.971,5.732,3.854,4.548,4.784,3.811,3.848,5.628,3.753,4.432,4.641,3.823,3.783,5.627,3.71,4.434,4.662,3.692,3.734,5.593,3.659,4.351,4.577,3.531,3.677,5.417,3.572,0.038,0.723,8.038,3.705,12.127,4.429,0.128,1.141,14.738,6.471,14.698,7.998,0.134,1.38,22.956,8.87,26.113,10.769,0.255,1.404,25.038,8.825,38.328,11.031,0.182,1.254,22.607,7.828,33.247,9.78,0.225,1.159,18.39,6.523,34.926,8.456,0.198,1.136,18.152,6.241,39.035,7.902,0.179,1.024,17.881,6.194,34.237,7.635,6,42,0.261,0.632,0.773,0.863,0.88,0.88,3.374
