pXC50,SpMin3_Bh.v.,SpMin3_Bh.p.,SpMin8_Bh.p.,Sp,IDDE,SpMin3_Bh.m.,TIC2,LLS_02,SpMin6_Bh.p.,SpMax2_Bh.v.,SpMin4_Bh.m.,S2K,Eta_epsi,Eig08_AEA.bo.,TIC4,Eig12_AEA.ri.,Eig08_AEA.ri.,SM05_EA.bo.,Eig08_EA.ri.,P_VSA_LogP_3,SpMaxA_AEA.dm.,IC4,Eta_C,Eig06_AEA.ri.,ATS6e,NaasN,DLS_cons,NdO,ATS2i,Uindex,ATS7i,SpMin4_Bh.s.,SpMax5_Bh.e.,TIE,ATSC2i,ATSC6m,ATS3e,SpMax7_Bh.s.,N.073,P_VSA_i_3,GGI9,SpMax4_Bh.i.,CIC0,ATSC8v,SM07_EA.bo.,DLS_07,ZM2MulPer,ATSC1m,TPSA.NO.,P_VSA_MR_1,ATS4e,SpMin5_Bh.e.,SM10_EA.bo.,SpMax8_Bh.p.,nHAcc,ATSC1v,SpMax7_Bh.m.,Rperim,SpMax7_Bh.p.,SpMax5_Bh.i.,ATS5i,nH,nR06,ATS4i,ATSC3m,Eig07_EA.bo.,SpMax8_Bh.i.,Eig02_AEA.bo.
5.001,1.973,1.957,1.066,39.801,4.455,1.976,214.825,0.75,1.374,3.936,1.84,10.517,34.605,3.119,283.58,2.029,2.636,8.353,1.553,157.427,0.127,5.351,25.501,3.206,4.701,0,0.59,3,4.655,57.24,4.868,0.95,3.653,81.793,1.014,25.374,4.826,4.669,0,370.635,0.277,3.797,4.017,10.767,11.335,1.0,595.012,8.037,72.47,211.88,4.869,1.508,15.881,2.863,5,4.875,3.205,24,2.915,3.645,4.941,19,4,5.019,27.263,2.504,2.986,4.412
5.146,1.973,1.957,1.065,39.801,4.514,1.976,210.825,0.75,1.374,3.935,1.835,10.517,34.605,3.079,283.58,2.03,2.574,8.353,1.547,157.427,0.127,5.351,25.406,3.355,4.703,0,0.59,3,4.655,57.245,4.868,0.949,3.654,81.437,1.014,26.402,4.826,4.669,0,370.635,0.277,3.797,4.017,10.801,11.331,1.0,595.209,8.037,72.47,211.88,4.864,1.508,15.87,2.861,5,4.875,3.305,24,2.916,3.645,4.942,19,4,5.02,30.045,2.41,2.986,4.362
4.545,1.963,1.941,1.063,36.324,4.503,1.941,163.483,0.88,1.253,3.924,1.897,9.069,31.133,2.916,251.438,2.0,2.432,8.226,1.428,176.38,0.138,5.029,19.537,2.89,4.674,0,0.76,3,4.582,49.671,4.766,0.954,3.611,64.753,0.97,23.208,4.754,4.587,0,292.338,0.221,3.792,4.096,9.297,11.226,1.0,523.823,10.134,72.47,211.88,4.755,1.456,15.799,2.751,5,5.027,2.851,24,2.844,3.603,4.834,19,4,4.913,25.568,2.346,2.939,4.306
5.597,1.962,1.939,1.063,38.04,4.415,1.94,186.193,0.75,1.251,3.931,1.832,9.876,33.305,3.138,256.193,2.025,2.673,8.337,1.5,157.427,0.13,5.124,23.933,3.222,4.698,0,0.69,3,4.58,54.621,4.763,0.946,3.612,77.331,0.934,24.92,4.776,4.65,0,347.093,0.301,3.791,3.912,9.046,11.314,1.0,597.257,6.847,72.47,188.338,4.773,1.455,15.858,2.849,5,4.303,3.233,24,2.859,3.603,4.831,17,4,4.91,26.561,2.481,2.939,4.356
5.636,1.96,1.937,1.063,37.284,4.415,1.876,199.818,0.88,1.248,3.912,1.831,9.835,33.405,3.138,257.121,2.025,2.669,8.337,1.497,138.475,0.13,5.247,23.6,3.211,4.654,0,0.75,3,4.568,54.621,4.712,0.943,3.586,76.791,0.972,22.53,4.747,4.683,0,335.322,0.301,3.789,3.797,8.212,11.314,1.0,612.857,6.147,85.36,176.567,4.749,1.42,15.858,2.849,6,3.963,3.233,24,2.858,3.587,4.779,16,4,4.888,25.078,2.481,2.939,4.356
5.389,1.962,1.939,1.063,38.04,4.597,1.94,185.828,0.75,1.252,3.933,1.849,9.876,33.305,3.05,264.193,2.028,2.536,8.369,1.495,157.427,0.13,5.284,24.159,3.207,4.695,0,0.69,3,4.58,54.623,4.763,0.947,3.612,79.061,0.934,23.893,4.777,4.65,0,347.093,0.301,3.791,3.912,9.003,11.361,1.0,599.052,6.847,72.47,188.338,4.777,1.456,15.91,2.837,5,4.303,3.268,24,2.858,3.603,4.83,17,4,4.91,27.662,2.373,2.939,4.456
5.712,1.962,1.939,1.063,38.04,4.597,1.94,189.438,0.75,1.251,3.932,1.84,9.876,33.305,3.109,264.193,2.027,2.61,8.353,1.54,157.427,0.13,5.284,23.975,3.197,4.689,0,0.69,3,4.58,54.632,4.762,0.947,3.612,77.99,0.934,21.841,4.776,4.65,0,347.093,0.261,3.791,3.912,8.951,11.337,1.0,597.914,6.847,72.47,188.338,4.778,1.456,15.883,2.792,5,4.303,3.202,24,2.879,3.603,4.831,17,4,4.909,25.769,2.503,2.939,4.412
5.706,1.962,1.939,1.063,38.04,4.597,1.94,185.438,0.75,1.25,3.931,1.834,9.876,33.305,3.075,264.193,2.028,2.56,8.353,1.533,157.427,0.13,5.284,23.882,3.246,4.692,0,0.69,3,4.58,54.639,4.762,0.946,3.612,77.644,0.934,22.867,4.777,4.65,0,347.093,0.261,3.791,3.912,8.994,11.332,1.0,598.111,6.847,72.47,188.338,4.771,1.455,15.873,2.789,5,4.303,3.303,24,2.877,3.603,4.832,17,4,4.91,28.454,2.406,2.939,4.362
4.964,1.878,1.858,1.065,34.824,4.482,1.835,169.566,0.88,1.234,3.961,1.642,8.211,29.838,3.109,239.133,2.028,2.595,8.481,1.567,138.475,0.142,5.314,21.686,2.754,4.566,0,0.63,3,4.487,47.157,4.586,0.858,3.346,68.053,0.837,23.479,4.688,4.49,0,312.551,0.186,3.742,3.764,7.01,11.508,1.0,545.271,5.942,63.24,164.795,4.721,1.296,16.077,2.869,4,3.805,3.246,22,2.927,3.383,4.78,15,4,4.866,24.877,2.427,2.986,4.368
4.917,1.899,1.867,1.065,37.563,4.672,1.931,226.859,0.75,1.429,3.929,1.835,10.403,33.105,2.821,275.668,2.0,2.493,8.294,1.478,110.046,0.142,5.301,25.62,2.747,4.697,0,0.81,3,4.678,58.495,4.785,0.946,3.586,86.3,1.058,26.885,4.822,4.49,0,394.177,0.247,3.739,3.967,10.544,11.287,1.0,532.899,9.6,72.47,211.88,4.822,1.458,15.832,2.873,5,5.545,3.303,18,2.923,3.601,4.931,21,3,4.985,36.04,2.286,2.987,4.362
5.529,1.994,1.968,1.065,39.801,4.514,1.958,210.825,0.75,1.396,3.93,1.835,10.517,34.605,3.079,283.58,2.029,2.571,8.353,1.543,157.427,0.127,5.351,25.379,3.348,4.712,0,0.59,3,4.655,57.245,4.788,0.946,3.631,81.502,1.014,24.842,4.826,4.696,0,370.635,0.277,3.794,4.017,10.301,11.331,1.0,595.209,8.037,72.47,211.88,4.864,1.467,15.87,2.875,5,4.875,3.304,24,2.998,3.618,4.942,19,4,5.02,30.045,2.41,2.987,4.362
6.796,2.023,1.99,1.239,42.085,4.514,1.965,250.293,0.75,1.504,3.929,1.835,11.024,36.405,3.07,313.076,2.029,2.571,8.309,1.543,110.046,0.127,5.306,31.014,3.348,4.817,0,0.72,3,4.853,57.245,4.948,0.949,3.633,86.782,1.264,30.76,5.044,4.49,0,441.262,0.277,3.794,4.209,13.552,11.293,1.0,558.072,11.877,72.47,270.735,5.064,1.471,15.833,2.941,5,6.792,3.304,24,3.022,3.621,5.115,25,4,5.27,44.266,2.39,3.158,4.362
5.425,1.959,1.946,1.065,40.256,4.901,1.933,219.896,0.88,1.512,3.931,1.834,10.71,36.071,3.083,294.009,2.127,2.577,8.424,1.541,147.951,0.123,5.445,26.611,3.343,4.824,0,0.65,3,4.675,59.816,4.891,0.946,3.613,86.513,1.039,27.243,4.83,4.695,0,381.635,0.301,3.791,4.01,11.149,11.398,1.0,639.626,7.837,81.7,211.88,4.864,1.455,15.923,2.877,6,4.797,3.303,24,2.969,3.604,4.983,19,4,4.993,29.306,2.412,2.988,4.362
5.569,1.949,1.934,1.065,40.142,4.85,1.915,209.726,0.88,1.297,3.933,1.834,10.816,35.89,3.295,279.294,2.128,2.659,8.494,1.591,138.475,0.12,5.476,27.632,3.358,4.731,0,0.61,3,4.588,62.492,4.802,0.946,3.615,99.251,0.93,19.115,4.809,4.765,0,362.699,0.361,3.791,3.835,8.622,11.473,1.0,682.392,4.254,96.26,164.795,4.826,1.455,15.993,2.878,6,3.63,3.326,24,3.026,3.604,4.871,15,4,4.943,25.01,2.568,2.988,4.405
5.699,1.996,1.989,1.065,40.051,4.831,1.924,217.61,0.75,1.616,3.933,1.834,11.089,38.124,3.171,284.423,2.209,2.709,8.584,1.661,138.475,0.117,5.47,28.597,3.358,4.779,0,0.59,5,4.62,65.191,4.85,0.946,3.621,113.695,1.002,21.361,4.839,4.99,0,413.446,0.361,3.793,3.788,8.76,11.553,1.0,730.722,3.978,118.29,164.795,4.88,1.456,16.059,2.877,7,3.684,3.402,24,3.026,3.608,4.914,15,4,4.987,24.965,3.14,2.988,4.478
5.532,1.981,1.973,1.222,41.188,4.586,1.932,231.644,0.63,1.532,3.933,1.834,11.481,44.99,3.623,291.702,2.306,3.181,8.608,2.067,138.475,0.107,5.209,35.811,3.543,4.979,0,0.53,3,4.79,76.588,4.896,0.946,3.623,162.977,2.552,25.853,4.917,7.718,0,323.55,0.475,3.793,3.795,9.28,11.541,1.0,828.16,3.316,72.47,164.795,5.026,1.458,16.02,2.904,11,4.013,3.402,24,3.028,3.611,5.039,15,4,5.167,20.704,3.143,3.15,4.567
5.542,1.952,1.94,1.065,37.977,4.595,1.925,196.835,0.75,1.251,3.931,1.834,10.059,34.819,3.142,264.193,2.028,2.673,8.404,1.629,147.951,0.127,5.284,25.109,3.34,4.697,0,0.59,3,4.587,57.237,4.768,0.946,3.614,90.115,1.046,21.786,4.793,4.696,0,335.322,0.277,3.791,3.802,8.413,11.369,1.0,634.621,5.825,72.47,191.527,4.784,1.455,15.894,2.789,6,4.058,3.303,24,2.877,3.604,4.835,16,4,4.919,26.944,2.691,2.968,4.362
7.066,1.963,1.951,1.068,42.017,4.663,1.933,234.852,0.75,1.623,3.931,1.834,11.356,37.371,3.145,307.72,2.03,2.679,8.409,1.635,147.951,0.12,5.399,28.208,3.359,4.868,0,0.64,3,4.741,62.588,4.902,0.946,3.619,89.551,1.113,30.834,4.899,4.696,0,405.177,0.287,3.791,4.109,9.02,11.374,1.0,644.144,9.023,81.7,200.109,4.88,1.469,15.898,2.877,6,5.393,3.304,24,3.026,3.609,5.019,21,4,5.014,34.522,2.75,2.987,4.362
9.0,2.008,2.007,1.697,64.643,5.282,2.01,490.807,0.5,1.897,3.903,1.981,18.124,60.81,3.628,577.172,2.668,3.36,8.609,2.285,157.427,0.081,5.95,58.773,3.509,5.654,0,0.41,5,5.406,102.799,5.933,1.157,3.807,200.86,3.01,70.724,5.497,6.999,0,602.82,0.711,3.911,4.811,26.958,11.538,0.0,879.148,21.384,130.81,423.76,5.684,1.732,16.026,3.281,13,11.389,3.615,30,3.52,3.834,5.937,43,5,5.91,59.009,3.0,3.563,4.538
9.0,2.008,2.007,1.697,64.643,5.282,2.01,490.807,0.5,1.897,3.903,1.981,18.124,60.81,3.628,577.172,2.668,3.36,8.609,2.285,157.427,0.081,5.95,58.773,3.509,5.654,0,0.41,5,5.406,102.799,5.933,1.157,3.807,200.86,3.01,70.724,5.497,6.999,0,602.82,0.711,3.911,4.811,26.958,11.538,0.0,879.148,21.384,130.81,423.76,5.684,1.732,16.026,3.281,13,11.389,3.615,30,3.52,3.834,5.937,43,5,5.91,59.009,3.0,3.563,4.538
7.167,2.008,2.007,1.697,66.404,5.172,2.01,503.982,0.38,1.905,3.908,1.981,18.332,62.11,3.628,580.611,2.856,3.36,8.622,2.285,157.427,0.08,5.806,62.469,3.523,5.739,0,0.41,5,5.438,105.843,6.007,1.159,3.813,209.809,3.078,77.734,5.533,6.999,0,626.362,0.711,3.911,4.871,29.551,11.546,0.0,889.984,22.441,130.81,411.989,5.733,1.754,16.029,3.281,13,11.941,3.615,30,3.52,3.843,6.002,45,5,5.961,61.484,3.003,3.563,4.54
8.481,2.01,2.008,1.728,68.165,5.303,2.012,526.571,0.38,1.907,3.907,1.981,18.997,63.41,3.629,612.935,2.865,3.36,8.622,2.285,157.427,0.078,5.951,64.989,3.501,5.791,0,0.46,5,5.469,108.846,6.084,1.172,3.818,216.206,3.14,81.839,5.564,6.999,0,649.904,0.782,3.911,4.93,30.766,11.546,0.0,892.336,23.485,130.81,494.386,5.769,1.772,16.03,3.347,13,12.489,3.615,30,3.521,3.848,6.02,47,5,6.004,63.805,3.001,3.599,4.538
8.585,2.01,2.008,1.728,68.165,5.303,2.012,526.571,0.38,1.907,3.907,1.981,18.997,63.41,3.629,612.935,2.865,3.36,8.622,2.285,157.427,0.078,5.951,64.989,3.501,5.791,0,0.46,5,5.469,108.846,6.084,1.172,3.818,216.206,3.14,81.839,5.564,6.999,0,649.904,0.782,3.911,4.93,30.766,11.546,0.0,892.336,23.485,130.81,494.386,5.769,1.772,16.03,3.347,13,12.489,3.615,30,3.521,3.848,6.02,47,5,6.004,63.805,3.001,3.599,4.538
8.495,2.035,2.035,1.981,254.581,7.479,2.041,2224.7,0.25,2.001,3.973,2.039,100.851,255.0,4.065,2943.73,3.778,3.886,9.144,2.849,264.987,0.019,7.076,456.122,3.926,7.28,0,0.34,30,6.828,1042.94,7.59,1.302,3.903,3795.56,8.841,353.968,7.0,7.434,1,2849.71,3.843,3.961,7.009,167.98,11.685,0.0,2857.74,92.785,1314.11,1165.34,7.12,1.823,15.729,3.662,77,48.043,3.787,27,3.673,3.942,7.388,204,4,7.354,263.367,3.287,3.886,4.145
8.854,2.018,2.027,1.995,265.865,7.618,2.019,2249.55,0.38,2.0,3.964,2.015,107.645,274.1,4.077,3026.04,3.812,3.901,9.217,2.863,84.857,0.018,6.893,503.738,3.93,7.353,0,0.34,36,6.882,1711.82,7.689,1.304,3.873,6622.73,9.057,378.461,7.058,7.471,1,3012.35,4.271,3.922,7.057,183.171,11.723,0.0,3106.9,97.157,1545.0,1094.71,7.183,1.811,15.693,3.668,89,49.409,3.784,15,3.671,3.919,7.465,214,2,7.414,279.779,3.285,3.894,4.15
8.108,2.021,2.03,1.973,208.456,7.15,2.021,1796.6,0.38,1.994,3.936,2.015,79.653,208.233,4.063,2423.25,3.774,3.884,8.974,2.848,94.334,0.023,7.086,368.333,3.964,7.104,0,0.34,26,6.645,855.718,7.452,1.321,3.869,3063.93,7.288,294.303,6.815,7.435,1,2373.89,3.614,3.95,6.733,151.022,11.527,0.0,2326.51,77.123,1051.8,1024.09,6.946,1.81,15.576,3.656,62,40.245,3.78,20,3.673,3.917,7.24,170,2,7.178,219.72,3.276,3.876,4.278
5.0,2.018,2.026,1.983,265.65,7.474,2.027,2229.29,0.38,2.011,3.849,2.021,105.079,264.567,4.07,3034.5,3.822,3.892,9.009,2.855,155.457,0.018,6.897,506.459,3.936,7.361,0,0.34,33,6.901,1589.59,7.701,1.319,3.875,6128.85,9.158,387.405,7.079,7.435,0,3086.02,4.137,3.929,7.118,196.212,11.372,0.0,2817.03,101.407,1320.77,1317.41,7.201,1.821,14.987,3.67,79,52.744,3.793,17,3.692,3.923,7.455,224,2,7.446,288.576,3.278,3.893,4.152
6.444,1.981,1.955,1.565,56.302,4.715,1.982,412.23,0.63,1.774,3.88,1.973,14.897,49.467,3.413,463.779,2.437,3.05,8.461,1.957,119.522,0.1,5.456,47.246,3.499,5.387,0,0.69,5,5.261,85.341,5.614,1.093,3.767,146.634,2.056,57.698,5.376,4.716,0,579.278,0.631,3.87,4.763,23.264,11.399,0.5,676.294,21.694,127.57,388.446,5.575,1.715,15.903,3.145,9,10.906,3.444,24,3.281,3.808,5.716,41,4,5.833,56.038,2.997,3.434,4.371
5.235,1.972,1.947,1.577,51.165,4.868,1.988,382.049,0.63,1.751,3.856,1.978,15.76,47.9,3.436,426.578,2.309,2.991,8.439,1.998,119.522,0.104,5.613,40.339,3.337,5.322,0,0.42,7,5.081,98.774,5.402,1.087,3.758,189.877,1.759,53.765,5.216,6.999,0,511.857,0.476,3.854,4.482,19.212,11.381,0.0,708.633,16.932,179.29,317.82,5.31,1.562,15.891,3.168,11,8.567,3.415,18,3.346,3.751,5.471,33,3,5.515,48.113,2.933,3.449,4.365
5.315,1.972,1.95,1.566,51.165,5.054,1.986,384.049,0.63,1.727,3.856,1.978,15.76,47.9,3.448,434.578,2.286,2.974,8.445,1.933,119.522,0.104,5.718,40.516,3.356,5.32,0,0.42,7,5.081,98.784,5.422,1.087,3.759,190.668,1.759,53.299,5.216,6.999,0,511.857,0.501,3.86,4.482,18.788,11.386,0.0,709.956,16.932,179.29,329.591,5.315,1.561,15.894,3.148,11,8.567,3.389,18,3.305,3.75,5.543,33,3,5.509,48.234,2.956,3.438,4.365
5.408,1.971,1.944,1.535,51.051,5.008,1.979,373.46,0.63,1.709,3.855,1.878,16.57,47.567,3.43,421.99,2.276,2.973,8.43,1.932,119.522,0.104,5.703,40.424,3.319,5.263,0,0.42,7,5.038,98.766,5.356,1.084,3.739,186.836,1.744,51.858,5.155,6.999,0,488.314,0.471,3.818,4.381,17.059,11.378,0.0,721.224,15.52,179.29,294.278,5.242,1.56,15.891,3.176,11,8.04,3.528,18,3.334,3.743,5.433,31,3,5.424,46.014,2.927,3.424,4.365
5.466,1.997,1.991,1.599,53.404,4.882,1.992,368.036,0.63,1.774,3.878,1.979,16.272,49.4,3.564,441.788,2.495,3.045,8.481,2.058,166.904,0.096,5.738,39.272,3.443,5.321,0,0.32,7,5.066,91.931,5.406,1.087,3.776,170.183,1.775,51.002,5.219,6.999,0,488.314,0.467,3.903,4.504,18.301,11.419,0.0,766.612,15.479,179.29,294.278,5.285,1.608,15.928,3.203,11,8.029,3.528,24,3.355,3.766,5.472,31,4,5.467,45.565,2.993,3.467,4.365
5.19,2.007,2.007,1.702,56.409,5.273,1.993,410.408,0.5,1.778,3.997,1.979,16.158,52.2,3.564,482.773,2.518,3.075,8.71,2.084,166.475,0.089,5.96,43.057,3.443,5.384,0,0.32,7,5.131,88.117,5.479,1.092,3.782,162.563,1.921,53.647,5.279,6.999,1,488.314,0.511,3.905,4.57,18.944,11.7,0.0,832.352,15.92,195.08,294.278,5.352,1.7,16.242,3.286,11,8.197,3.528,27,3.355,3.783,5.549,32,4,5.531,46.83,3.0,3.501,4.53
4.784,1.971,1.944,1.547,49.404,4.898,1.98,361.063,0.63,1.709,3.856,1.963,15.051,46.6,3.443,405.593,2.279,2.974,8.443,1.933,119.522,0.107,5.556,38.282,3.347,5.256,0,0.42,7,5.035,95.079,5.354,1.084,3.753,182.236,1.694,49.767,5.17,6.999,0,488.314,0.485,3.844,4.403,16.641,11.385,0.0,705.308,15.846,179.29,306.049,5.271,1.56,15.894,3.114,11,8.006,3.387,18,3.269,3.748,5.44,31,3,5.467,45.295,2.952,3.424,4.365
5.6,1.973,1.958,1.43,45.659,4.603,1.985,272.248,0.63,1.709,3.88,1.977,13.375,41.933,3.231,350.0,2.211,2.761,8.453,1.758,166.904,0.109,5.469,29.705,3.298,5.006,0,0.39,6,4.853,73.663,5.065,1.058,3.767,125.801,1.447,36.551,5.011,4.768,0,392.543,0.404,3.895,4.221,12.665,11.418,0.0,695.759,11.88,150.19,247.193,5.06,1.561,15.941,2.997,9,6.186,3.387,24,3.14,3.752,5.191,24,4,5.224,36.286,2.976,3.333,4.365
5.767,1.972,1.959,1.43,45.597,4.949,1.981,286.881,0.63,1.709,3.882,1.968,13.53,43.448,3.325,360.0,2.296,2.882,8.512,1.86,157.427,0.107,5.625,31.162,3.351,5.013,0,0.39,6,4.858,76.602,5.074,1.046,3.768,145.637,1.558,35.816,5.024,6.999,0,380.772,0.444,3.899,4.127,12.126,11.476,0.0,733.201,10.876,150.19,250.382,5.078,1.561,15.989,2.997,10,5.905,3.387,24,3.14,3.752,5.197,23,4,5.235,35.462,2.98,3.334,4.365
5.682,1.972,1.959,1.43,45.597,4.949,1.981,288.49,0.63,1.709,3.882,1.966,13.53,43.448,3.505,360.0,2.255,2.973,8.499,1.932,157.427,0.107,5.625,31.069,3.353,5.013,0,0.39,6,4.858,76.606,5.069,1.047,3.768,143.706,1.558,35.871,5.024,6.999,0,380.772,0.419,3.899,4.127,12.009,11.454,0.0,732.406,10.876,150.19,250.382,5.07,1.561,15.964,2.997,10,5.905,3.388,24,3.139,3.752,5.198,23,4,5.23,35.517,2.984,3.336,4.365
5.712,1.972,1.959,1.431,45.597,4.851,1.981,286.49,0.63,1.709,3.882,1.966,13.53,43.448,3.55,352.0,2.229,2.973,8.499,1.932,157.427,0.107,5.5,30.998,3.354,5.014,0,0.39,6,4.858,76.618,5.07,1.047,3.768,142.451,1.558,35.876,5.024,6.999,0,380.772,0.414,3.899,4.127,12.339,11.452,0.0,732.27,10.876,150.19,250.382,5.07,1.561,15.96,2.997,10,5.905,3.389,24,3.139,3.753,5.193,23,4,5.23,35.517,2.989,3.339,4.365
5.824,1.972,1.945,1.417,47.011,4.851,1.98,286.49,0.63,1.709,3.887,1.951,13.9,42.4,3.55,352.0,2.226,2.973,8.499,1.893,157.427,0.107,5.5,33.366,3.337,5.01,0,0.39,6,4.851,76.618,5.063,1.063,3.768,131.906,1.424,37.147,5.017,4.766,0,380.772,0.414,3.894,4.127,12.509,11.452,0.0,732.27,8.254,150.19,235.422,5.064,1.561,15.96,3.004,9,5.794,3.528,24,3.179,3.752,5.19,23,4,5.221,41.271,2.989,3.332,4.365
5.896,1.973,1.964,1.503,47.875,4.898,1.981,311.683,0.63,1.709,3.883,1.97,14.228,44.7,3.559,377.193,2.236,2.973,8.503,1.932,157.427,0.104,5.547,32.302,3.397,5.071,0,0.32,6,4.927,79.622,5.103,1.058,3.768,136.277,1.527,39.909,5.052,4.86,0,427.085,0.414,3.897,4.305,12.911,11.456,0.0,736.297,12.85,159.42,270.735,5.126,1.561,15.964,3.005,10,6.682,3.39,24,3.159,3.752,5.294,26,4,5.285,37.113,2.993,3.369,4.365
5.64,1.976,1.963,1.481,46.761,4.803,1.983,272.947,0.63,1.71,3.963,1.977,13.299,43.667,3.513,355.454,2.213,2.971,8.769,1.932,172.711,0.107,5.469,31.002,3.294,5.04,0,0.29,7,4.883,76.595,5.071,1.069,3.768,143.947,1.52,37.014,5.048,6.999,0,411.711,0.464,3.903,4.167,12.789,11.806,0.0,766.611,13.304,167.26,247.193,5.112,1.564,16.4,3.014,10,6.183,3.528,24,3.355,3.754,5.24,24,4,5.262,39.344,2.996,3.386,4.854
5.142,1.941,1.949,1.116,31.779,4.45,1.922,201.849,1.0,1.349,3.848,1.548,8.423,29.252,2.879,238.379,1.323,2.413,7.976,1.41,85.286,0.127,5.297,20.001,3.076,4.576,0,0.8,2,4.474,49.463,4.604,0.64,3.321,72.206,0.895,22.996,4.618,4.543,0,351.829,0.264,3.556,3.816,7.796,10.827,1.0,466.465,6.69,98.64,176.567,4.75,1.273,15.17,2.746,5,4.37,3.013,18,2.801,3.381,4.773,17,3,4.939,17.955,2.147,2.961,4.246
5.078,2.0,1.995,1.571,59.517,4.746,1.982,439.499,0.5,1.787,3.88,1.975,15.949,52.933,3.525,500.757,2.452,3.272,8.465,2.187,119.522,0.092,5.564,52.024,3.525,5.454,0,0.52,5,5.338,82.085,5.68,1.145,3.809,141.221,2.204,61.248,5.473,4.717,0,613.82,0.645,3.876,4.838,26.349,11.401,0.0,716.848,22.662,136.8,411.989,5.619,1.766,15.904,3.145,10,11.485,3.553,30,3.428,3.861,5.813,43,5,5.869,61.835,2.998,3.44,4.371
6.032,1.978,1.974,1.499,48.801,5.046,1.978,342.727,0.63,1.601,4.043,1.884,12.275,42.719,3.486,401.54,2.618,3.086,8.501,2.021,132.667,0.084,5.736,39.607,3.309,5.353,1,0.67,3,4.994,66.051,5.522,1.099,3.571,102.061,1.481,47.476,5.129,4.889,1,486.086,0.483,3.79,4.585,23.188,11.529,1.0,635.651,12.09,97.63,294.278,5.249,1.641,16.141,3.054,6,7.677,3.365,25,3.202,3.6,5.519,29,4,5.431,35.511,2.845,3.274,4.497
6.186,1.972,1.944,1.511,51.705,5.101,1.98,357.929,0.63,1.732,3.945,1.931,14.645,46.433,3.373,418.897,2.408,2.973,8.546,1.931,147.951,0.102,5.585,36.823,3.443,5.286,0,0.56,5,5.068,82.602,5.362,1.068,3.748,132.759,1.715,51.178,5.134,4.745,0,484.338,0.531,3.863,4.521,15.974,11.514,0.5,718.017,16.516,133.56,353.133,5.292,1.562,16.03,3.034,9,8.459,3.414,24,3.32,3.743,5.434,32,4,5.488,41.394,2.986,3.39,4.417
6.102,1.977,1.986,1.649,58.137,5.232,1.981,421.566,0.5,1.769,3.947,1.96,17.034,53.367,3.566,492.043,2.514,2.977,8.584,1.937,147.951,0.089,5.789,45.346,3.443,5.408,0,0.42,6,5.218,88.202,5.486,1.116,3.799,153.913,1.96,57.521,5.327,4.888,0,567.567,0.642,3.886,4.702,20.648,11.537,0.0,806.225,18.18,159.86,400.217,5.401,1.715,16.039,3.305,11,9.565,3.528,30,3.356,3.828,5.635,36,5,5.573,51.225,3.065,3.516,4.417
5.572,1.995,1.992,1.767,70.018,5.381,1.989,543.927,0.5,1.905,3.947,1.982,20.933,61.7,3.517,634.895,2.622,3.342,8.569,2.278,147.951,0.08,5.99,60.578,3.464,5.697,0,0.52,5,5.478,105.678,5.897,1.19,3.799,176.673,2.465,78.585,5.562,4.747,0,718.989,0.833,3.888,5.115,33.172,11.524,0.0,817.118,26.306,146.03,506.157,5.693,1.764,16.033,3.394,11,13.544,3.63,30,3.558,3.841,5.924,51,5,5.926,67.195,2.999,3.655,4.417
5.3,1.971,1.944,1.376,43.972,4.777,1.98,284.251,0.75,1.709,3.865,1.892,12.541,40.367,3.081,340.0,2.0,2.69,8.372,1.663,137.533,0.117,5.313,30.224,2.975,5.055,0,0.61,5,4.943,65.148,5.03,1.049,3.694,104.441,1.588,42.832,5.067,4.717,0,402.711,0.415,3.816,4.214,10.648,11.353,0.5,622.577,14.282,136.36,282.506,5.101,1.553,15.886,2.963,9,7.033,3.383,24,3.017,3.72,5.289,27,4,5.289,42.431,2.368,3.206,4.365
5.527,1.972,1.944,1.496,47.188,4.603,1.98,312.985,0.75,1.709,3.867,1.904,13.398,43.833,3.16,372.733,2.215,2.778,8.422,1.753,119.522,0.109,5.402,34.454,3.443,5.154,0,0.51,6,5.022,73.692,5.075,1.057,3.735,125.66,1.696,48.396,5.14,4.754,0,463.169,0.486,3.842,4.324,12.02,11.379,0.5,678.571,14.97,144.64,317.82,5.213,1.557,15.895,3.006,10,7.586,3.386,24,3.201,3.736,5.464,29,4,5.39,44.018,2.982,3.383,4.365
5.475,1.972,1.944,1.511,52.926,4.806,1.98,360.966,0.63,1.763,3.867,1.948,14.654,49.2,3.566,420.714,2.3,2.974,8.484,1.933,119.522,0.1,5.325,42.916,3.501,5.292,0,0.45,6,5.17,85.787,5.523,1.114,3.753,151.399,1.886,50.825,5.289,4.756,0,544.796,0.576,3.846,4.557,17.32,11.414,0.0,741.836,18.125,153.87,282.506,5.401,1.665,15.909,3.034,11,9.157,3.528,24,3.355,3.76,5.532,35,4,5.61,50.989,2.984,3.397,4.365
