pXC50,SpMin2_Bh.s.,SpMin3_Bh.s.,Eig05_EA.ed.,SM14_AEA.dm.,Eig05_EA.ri.,Eig07_EA.ri.,Eig07_EA.bo.,MATS1i,ATS4i,Eig05_AEA.ri.,SM09_EA.bo.,SM11_EA.bo.,SM12_EA.bo.,ATS4e,Eig05_AEA.ed.,SM03_EA.bo.,SM10_EA.bo.,Eig06_AEA.bo.,P_VSA_s_3,X3v,Eta_B_A,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i
4.0,1.006,0.768,5.725,5.725,1.676,1.048,1.539,-0.204,4.72,2.75,13.869,16.873,18.398,4.526,5.248,4.705,15.419,2.994,26.964,3.401,0.031,1.996,7.1,-0.876,0.768,65.965,9.138,0.455,3.623,3.736,3.314,3.01,4.955,3.088,4.145,4.295,3.734,3.433,5.474,3.502,4.385,4.541,3.901,3.517,5.86,3.593,3.874,3.485,6.276,3.548,4.387,4.619,3.583,3.301,5.937,3.334,4.03,4.236,3.353,3.07,5.469,3.11,3.949,4.18
4.012,1.033,0.771,5.725,5.725,1.676,1.048,1.539,-0.19,4.708,2.75,13.869,16.873,18.398,4.523,5.248,4.705,15.419,2.994,19.394,3.768,0.031,2.041,7.1,-0.845,0.714,73.784,9.292,0.455,3.64,3.747,3.361,3.102,4.926,3.126,4.143,4.282,3.766,3.517,5.405,3.534,4.409,4.571,3.946,3.611,5.829,3.633,3.984,3.627,6.11,3.617,4.429,4.651,3.674,3.444,5.84,3.409,4.096,4.311,3.437,3.241,5.421,3.188,3.971,4.193
3.074,0.96,0.648,5.828,5.828,1.778,1.011,1.508,-0.338,4.696,2.841,13.093,15.945,17.395,4.508,5.016,4.494,14.563,2.711,11.688,3.242,0.032,1.876,7.2,-2.411,5.811,62.109,8.584,0.227,3.693,3.799,3.328,2.989,4.975,3.085,4.224,4.354,3.766,3.418,5.516,3.497,4.513,4.673,3.871,3.497,5.974,3.57,3.757,3.456,5.934,3.5,4.38,4.58,3.542,3.328,5.773,3.35,4.229,4.435,3.393,3.174,5.613,3.188,4.067,4.273
4.77,0.953,0.737,5.287,5.287,1.585,1.338,1.706,-0.299,4.671,2.691,13.767,16.782,18.316,4.486,4.959,4.649,15.327,3.048,9.688,3.564,0.029,1.974,8.5,-0.7,0.49,77.184,9.78,0.417,3.679,3.777,3.438,3.11,5.012,3.174,4.184,4.306,3.863,3.511,5.475,3.565,4.451,4.597,3.964,3.593,5.925,3.632,3.864,3.582,5.789,3.595,4.394,4.582,3.821,3.528,5.776,3.523,4.267,4.453,3.688,3.349,5.802,3.352,4.034,4.231
5.119,1.057,0.787,4.46,4.46,1.438,0.959,1.38,-0.279,4.713,2.486,13.729,16.76,18.298,4.485,4.685,4.527,15.294,2.656,8.722,3.366,0.032,1.803,6.444,-1.998,3.991,61.982,8.106,0.5,3.612,3.73,3.214,2.978,4.851,3.035,4.137,4.289,3.639,3.426,5.326,3.46,4.458,4.646,3.729,3.515,5.826,3.527,3.526,3.461,5.762,3.43,4.305,4.557,3.303,3.285,5.472,3.241,4.016,4.232,3.166,3.012,5.387,2.999,3.82,4.065
4.326,1.158,0.776,5.828,5.828,1.775,1.017,1.53,-0.22,4.881,2.839,13.804,16.838,18.378,4.657,5.016,4.663,15.367,2.736,16.985,3.784,0.032,1.919,7.2,-1.239,1.536,67.797,8.332,0.455,3.7,3.817,3.315,3.061,4.964,3.123,4.241,4.395,3.751,3.517,5.534,3.548,4.551,4.747,3.839,3.64,5.822,3.649,3.769,3.606,6.003,3.598,4.538,4.784,3.575,3.435,5.892,3.421,4.216,4.436,3.367,3.196,5.534,3.204,4.103,4.326
6.77,0.876,0.667,3.66,3.66,1.308,0.565,0.716,-0.393,4.473,2.341,13.681,16.714,18.253,4.213,4.086,4.388,15.252,2.316,11.479,2.315,0.023,1.653,7.188,-0.001,0.0,62.421,7.561,0.588,3.49,3.632,3.051,2.899,4.698,2.919,3.961,4.165,3.361,3.243,5.109,3.238,4.054,4.252,3.365,3.315,5.22,3.276,3.172,3.262,5.279,3.178,4.067,4.366,2.83,3.068,4.964,2.949,3.745,3.983,2.811,2.909,4.816,2.83,3.793,4.073
6.699,0.909,0.714,3.663,3.663,1.386,0.738,1.14,-0.37,4.426,2.428,13.666,16.707,18.248,4.178,4.087,4.311,15.241,2.528,8.293,2.277,0.022,1.742,8.0,-0.958,0.917,64.101,7.843,0.556,3.539,3.67,3.114,2.913,4.792,2.953,4.001,4.18,3.425,3.259,5.228,3.274,4.175,4.382,3.429,3.319,5.491,3.296,3.213,3.248,5.31,3.187,4.027,4.287,2.874,3.065,5.029,2.96,3.874,4.145,2.829,2.883,4.941,2.816,3.732,3.961
4.553,1.156,0.782,5.725,5.725,1.693,1.058,1.538,-0.234,4.932,2.757,13.751,16.776,18.311,4.728,5.248,4.59,15.311,2.966,6.187,3.846,0.031,1.807,7.1,-2.543,6.468,67.966,8.037,0.455,3.727,3.841,3.31,3.076,4.982,3.134,4.253,4.4,3.732,3.536,5.44,3.568,4.593,4.775,3.893,3.675,5.878,3.693,3.842,3.664,6.191,3.664,4.633,4.87,3.578,3.508,5.963,3.475,4.293,4.534,3.352,3.265,5.529,3.239,4.103,4.327
4.693,0.981,0.778,5.9,5.9,1.741,1.015,1.466,-0.265,4.469,2.822,13.82,16.848,18.385,4.25,5.016,4.718,15.38,2.66,16.985,3.469,0.034,1.948,6.444,-0.663,0.439,59.304,8.973,0.476,3.557,3.666,3.263,2.957,4.775,3.035,4.082,4.233,3.656,3.368,5.374,3.416,4.298,4.489,3.645,3.393,5.536,3.42,3.541,3.324,5.554,3.335,4.145,4.364,3.369,3.168,5.482,3.183,3.853,4.065,3.094,2.851,5.114,2.886,3.639,3.842
6.903,0.814,0.63,2.953,2.953,1.233,0.564,0.708,-0.433,4.213,2.262,13.662,16.705,18.246,3.966,3.595,4.227,15.238,2.302,8.293,2.004,0.017,1.693,7.133,-0.447,0.2,58.139,7.894,0.625,3.398,3.537,2.995,2.797,4.64,2.833,3.848,4.04,3.285,3.126,5.059,3.135,3.945,4.162,3.26,3.163,5.109,3.137,3.087,3.093,5.08,3.038,3.85,4.117,2.692,2.903,4.847,2.797,3.595,3.86,2.565,2.669,4.654,2.589,3.472,3.733
6.0,0.72,0.577,2.953,2.953,1.233,0.564,0.718,-0.414,4.004,2.262,13.663,16.707,18.251,3.787,3.595,4.227,15.247,2.306,8.293,1.883,0.017,1.724,7.133,-0.324,0.105,56.384,8.468,0.625,3.333,3.464,2.986,2.75,4.638,2.801,3.764,3.951,3.272,3.057,5.062,3.089,3.761,3.941,3.244,3.079,5.062,3.081,3.067,3.003,5.016,2.976,3.694,3.946,2.66,2.793,4.789,2.712,3.418,3.67,2.529,2.538,4.59,2.489,3.305,3.55
6.086,0.983,0.747,4.664,4.664,1.413,0.936,1.385,-0.367,4.673,2.481,13.731,16.761,18.299,4.473,4.776,4.527,15.295,2.724,6.187,3.178,0.029,1.846,7.105,-2.02,4.081,63.228,8.353,0.476,3.656,3.764,3.278,2.974,4.914,3.055,4.183,4.322,3.693,3.391,5.404,3.46,4.449,4.611,3.804,3.472,5.863,3.524,3.65,3.44,5.787,3.459,4.36,4.583,3.426,3.306,5.668,3.291,4.144,4.369,3.267,3.1,5.446,3.096,3.948,4.169
6.553,0.809,0.545,3.634,3.634,1.197,0.301,0.368,-0.478,4.35,2.225,13.665,16.706,18.247,4.098,4.084,4.311,15.238,2.281,8.293,2.048,0.024,1.79,6.333,-1.426,2.032,53.783,8.048,0.625,3.419,3.55,3.013,2.75,4.69,2.811,3.889,4.069,3.346,3.113,5.118,3.151,4.077,4.278,3.361,3.17,5.422,3.171,3.172,3.1,5.272,3.071,3.896,4.131,2.909,2.908,5.117,2.853,3.715,3.973,2.669,2.617,4.987,2.574,3.381,3.628
6.796,0.786,0.58,2.953,2.953,1.241,0.567,0.718,-0.246,4.065,2.268,13.663,16.707,18.251,3.855,3.595,4.227,15.247,2.306,8.722,2.02,0.017,1.666,7.133,0.244,0.06,57.578,8.09,0.625,3.355,3.483,2.974,2.819,4.621,2.846,3.792,3.971,3.257,3.136,5.037,3.142,3.836,4.025,3.228,3.182,5.059,3.153,3.065,3.116,5.007,3.055,3.794,4.058,2.661,2.893,4.83,2.779,3.498,3.763,2.524,2.618,4.62,2.541,3.321,3.554
6.699,0.917,0.646,2.953,2.953,1.241,0.567,0.708,-0.264,4.263,2.268,13.662,16.705,18.246,4.024,3.595,4.227,15.238,2.302,8.722,2.141,0.017,1.635,7.133,0.122,0.015,59.333,7.565,0.625,3.418,3.555,2.982,2.864,4.624,2.876,3.873,4.058,3.27,3.2,5.033,3.186,4.007,4.23,3.244,3.258,5.106,3.206,3.084,3.197,5.075,3.113,3.933,4.207,2.691,3.0,4.878,2.862,3.681,3.959,2.559,2.757,4.677,2.645,3.512,3.771
6.959,0.877,0.665,3.661,3.661,1.318,0.572,0.74,-0.37,4.501,2.352,13.686,16.717,18.255,4.269,4.086,4.388,15.256,2.321,11.479,2.412,0.019,1.742,7.294,-1.091,1.191,64.196,7.843,0.556,3.539,3.67,3.114,2.913,4.795,2.953,3.999,4.184,3.413,3.262,5.212,3.274,4.112,4.309,3.45,3.344,5.302,3.324,3.305,3.298,5.52,3.244,4.17,4.452,2.941,3.118,5.175,3.018,3.846,4.088,2.957,2.953,4.959,2.904,3.869,4.113
6.481,0.814,0.63,2.953,2.953,1.233,0.564,0.708,-0.433,4.213,2.262,13.662,16.705,18.246,3.966,3.595,4.227,15.238,2.302,8.293,2.004,0.017,1.693,7.133,-0.447,0.2,58.139,7.894,0.625,3.398,3.537,2.995,2.797,4.64,2.833,3.848,4.04,3.285,3.126,5.059,3.135,3.945,4.162,3.26,3.163,5.109,3.137,3.087,3.093,5.08,3.038,3.85,4.117,2.692,2.903,4.847,2.797,3.595,3.86,2.565,2.669,4.654,2.589,3.472,3.733
5.314,1.158,0.788,4.664,4.664,1.478,0.959,1.385,-0.254,4.871,2.523,13.731,16.761,18.299,4.641,4.776,4.527,15.295,2.724,8.722,3.75,0.029,1.763,7.105,-1.808,3.269,66.965,7.803,0.476,3.687,3.809,3.259,3.064,4.897,3.106,4.223,4.385,3.666,3.519,5.358,3.531,4.54,4.741,3.772,3.643,5.758,3.628,3.646,3.61,5.869,3.571,4.51,4.768,3.424,3.441,5.722,3.379,4.186,4.419,3.249,3.203,5.408,3.164,4.05,4.295
7.569,1.154,0.788,4.46,4.46,1.456,0.959,1.38,-0.275,4.841,2.496,13.729,16.76,18.298,4.59,4.685,4.527,15.294,2.656,8.722,3.685,0.032,1.703,6.444,-0.588,0.346,65.135,7.555,0.5,3.645,3.776,3.206,3.053,4.809,3.077,4.193,4.369,3.625,3.504,5.278,3.503,4.498,4.705,3.708,3.621,5.704,3.59,3.517,3.578,5.694,3.508,4.42,4.695,3.295,3.391,5.485,3.31,4.088,4.325,3.132,3.161,5.263,3.093,3.97,4.24
5.91,0.917,0.646,2.953,2.953,1.241,0.567,0.708,-0.264,4.263,2.268,13.662,16.705,18.246,4.024,3.595,4.227,15.238,2.302,8.722,2.141,0.017,1.635,7.133,0.122,0.015,59.333,7.565,0.625,3.418,3.555,2.982,2.864,4.624,2.876,3.873,4.058,3.27,3.2,5.033,3.186,4.007,4.23,3.244,3.258,5.106,3.206,3.084,3.197,5.075,3.113,3.933,4.207,2.691,3.0,4.878,2.862,3.681,3.959,2.559,2.757,4.677,2.645,3.512,3.771
6.78,0.984,0.7,3.661,3.661,1.326,0.576,0.74,-0.216,4.538,2.358,13.686,16.717,18.255,4.312,4.086,4.388,15.256,2.321,11.907,2.55,0.019,1.685,7.294,-0.523,0.273,65.39,7.558,0.556,3.556,3.685,3.103,2.972,4.781,2.991,4.021,4.2,3.399,3.327,5.19,3.319,4.166,4.368,3.437,3.424,5.3,3.381,3.303,3.383,5.517,3.305,4.232,4.517,2.941,3.197,5.199,3.07,3.914,4.169,2.946,3.031,4.971,2.955,3.887,4.119
7.658,1.134,0.788,4.664,4.664,1.483,0.959,1.389,-0.242,4.826,2.526,13.733,16.763,18.3,4.591,4.776,4.527,15.297,2.785,8.722,3.744,0.029,1.698,7.105,-0.522,0.273,69.78,7.686,0.476,3.671,3.799,3.246,3.099,4.872,3.122,4.195,4.36,3.653,3.536,5.31,3.536,4.51,4.712,3.754,3.663,5.732,3.637,3.611,3.65,5.757,3.59,4.5,4.764,3.396,3.495,5.619,3.411,4.205,4.452,3.224,3.252,5.393,3.191,4.003,4.254
4.907,0.981,0.79,4.427,4.427,1.401,0.958,1.337,-0.329,4.455,2.454,13.749,16.772,18.307,4.225,4.71,4.59,15.309,2.63,8.722,3.435,0.03,1.776,6.353,-1.231,1.516,58.472,8.331,0.5,3.542,3.658,3.204,2.961,4.693,3.016,4.062,4.22,3.561,3.37,5.164,3.397,4.284,4.482,3.563,3.397,5.45,3.395,3.385,3.329,5.335,3.3,4.103,4.339,3.181,3.176,5.213,3.129,3.81,4.039,2.934,2.861,4.916,2.831,3.553,3.791
5.714,0.922,0.73,4.983,4.983,1.504,1.124,1.422,-0.426,4.731,2.566,13.758,16.776,18.31,4.547,4.941,4.649,15.315,2.875,10.892,3.404,0.03,1.847,7.81,-2.208,4.873,69.889,8.409,0.435,3.733,3.85,3.365,3.057,4.996,3.136,4.261,4.414,3.782,3.462,5.504,3.533,4.505,4.659,3.912,3.552,5.971,3.614,3.804,3.535,5.937,3.578,4.476,4.679,3.625,3.462,5.84,3.464,4.36,4.579,3.463,3.308,5.674,3.305,4.201,4.439
7.097,1.143,0.777,5.725,5.725,1.715,1.07,1.577,-0.221,4.882,2.768,13.786,16.803,18.335,4.667,5.248,4.649,15.342,3.023,9.373,3.825,0.031,1.758,7.1,-1.617,2.615,71.138,7.923,0.455,3.712,3.831,3.297,3.11,4.958,3.149,4.225,4.379,3.711,3.555,5.392,3.573,4.523,4.7,3.859,3.708,5.813,3.707,3.792,3.725,5.986,3.696,4.635,4.875,3.55,3.579,5.911,3.519,4.348,4.61,3.333,3.331,5.527,3.277,4.065,4.287
6.387,0.903,0.701,4.911,4.911,1.483,1.015,1.408,-0.36,4.622,2.548,13.753,16.774,18.308,4.445,4.912,4.649,15.311,2.866,7.097,3.143,0.033,1.906,7.2,-1.811,3.28,63.17,9.073,0.455,3.642,3.735,3.321,2.958,4.984,3.064,4.149,4.265,3.758,3.371,5.557,3.468,4.421,4.554,3.866,3.451,5.96,3.536,3.749,3.412,5.93,3.477,4.322,4.504,3.525,3.28,5.844,3.307,4.117,4.318,3.355,3.066,5.547,3.115,3.902,4.076
5.398,1.014,0.764,4.727,4.727,1.421,1.079,1.588,-0.235,4.745,2.501,13.731,16.761,18.299,4.546,4.789,4.527,15.296,2.843,39.307,4.133,0.026,1.892,8.429,-0.783,0.613,77.845,8.594,0.435,3.74,3.848,3.456,3.193,4.953,3.198,4.259,4.397,3.824,3.583,5.417,3.573,4.507,4.666,3.926,3.649,5.836,3.638,3.844,3.661,5.729,3.614,4.488,4.708,3.698,3.571,5.647,3.51,4.345,4.551,3.573,3.457,5.612,3.389,4.239,4.464
6.167,0.887,0.689,4.664,4.664,1.418,0.937,1.391,-0.328,4.558,2.484,13.736,16.764,18.301,4.359,4.776,4.527,15.3,2.889,6.187,3.064,0.029,1.824,7.105,-0.289,0.083,64.516,8.709,0.476,3.589,3.695,3.258,2.973,4.895,3.047,4.094,4.224,3.675,3.367,5.351,3.438,4.338,4.485,3.776,3.451,5.817,3.505,3.605,3.421,5.698,3.436,4.197,4.403,3.38,3.288,5.522,3.271,4.035,4.256,3.226,3.076,5.402,3.071,3.748,3.953
4.174,1.009,0.759,4.727,4.727,1.42,1.052,1.684,-0.251,4.695,2.5,13.731,16.761,18.299,4.501,4.789,4.527,15.296,3.025,39.307,3.935,0.026,1.974,8.429,-0.935,0.873,74.655,9.344,0.435,3.675,3.774,3.453,3.129,4.967,3.155,4.192,4.322,3.824,3.51,5.401,3.532,4.455,4.607,3.919,3.587,5.833,3.604,3.842,3.606,5.751,3.578,4.394,4.6,3.698,3.491,5.681,3.454,4.213,4.412,3.57,3.339,5.659,3.3,4.045,4.256
4.863,0.982,0.939,5.882,5.882,1.823,1.397,1.965,-0.29,4.887,2.885,13.753,16.772,18.308,4.697,5.028,4.649,15.317,3.049,17.971,3.867,0.025,1.76,11.692,-0.276,0.076,93.324,8.031,0.357,3.946,4.052,3.546,3.331,5.176,3.378,4.467,4.612,3.921,3.69,5.715,3.728,4.695,4.87,3.99,3.771,6.031,3.793,3.887,3.776,5.958,3.773,4.656,4.86,3.753,3.729,5.872,3.698,4.579,4.795,3.687,3.635,5.797,3.602,4.496,4.704
5.585,0.908,0.704,4.911,4.911,1.487,1.029,1.408,-0.323,4.665,2.55,13.753,16.774,18.308,4.473,4.912,4.649,15.311,2.866,10.892,3.18,0.033,1.883,7.2,-2.413,5.824,64.992,8.759,0.455,3.661,3.776,3.318,2.982,4.975,3.076,4.172,4.305,3.752,3.397,5.501,3.481,4.441,4.584,3.862,3.478,5.951,3.552,3.74,3.45,5.893,3.497,4.362,4.567,3.52,3.334,5.808,3.339,4.188,4.416,3.351,3.123,5.554,3.145,3.942,4.146
6.955,0.941,0.915,4.73,4.73,1.495,1.332,1.573,-0.365,4.721,2.56,13.734,16.763,18.301,4.524,4.789,4.527,15.3,2.879,10.78,3.348,0.025,1.813,9.182,-1.122,1.259,75.297,8.114,0.417,3.805,3.919,3.417,3.128,5.041,3.194,4.328,4.485,3.789,3.503,5.507,3.562,4.556,4.735,3.878,3.563,5.912,3.614,3.766,3.544,5.792,3.567,4.451,4.658,3.644,3.479,5.691,3.479,4.395,4.599,3.574,3.384,5.669,3.389,4.319,4.531
6.996,1.128,0.922,5.887,5.887,1.807,1.43,2.1,-0.191,4.952,2.88,13.786,16.796,18.338,4.744,5.238,4.663,15.366,3.049,13.965,4.293,0.023,1.757,11.778,0.113,0.013,95.161,8.231,0.533,3.967,4.073,3.601,3.387,5.197,3.431,4.474,4.613,3.966,3.772,5.652,3.804,4.722,4.892,4.043,3.839,6.035,3.851,3.914,3.755,5.948,3.752,4.619,4.837,3.793,3.633,5.831,3.634,4.496,4.692,3.718,3.556,5.767,3.56,4.43,4.625
5.0,1.01,0.76,4.727,4.727,1.421,1.079,1.684,-0.223,4.697,2.501,13.731,16.761,18.299,4.506,4.789,4.527,15.296,3.025,39.307,3.991,0.026,1.926,8.429,0.018,0.0,76.695,9.04,0.435,3.694,3.795,3.45,3.162,4.96,3.176,4.204,4.334,3.816,3.54,5.396,3.548,4.465,4.615,3.92,3.614,5.83,3.619,3.84,3.634,5.734,3.596,4.421,4.631,3.691,3.532,5.652,3.482,4.248,4.446,3.56,3.399,5.611,3.344,4.099,4.305
7.024,0.922,0.716,4.727,4.727,1.457,1.216,1.488,-0.397,4.681,2.522,13.734,16.763,18.301,4.488,4.789,4.527,15.3,2.867,6.187,3.25,0.026,1.847,8.429,-1.471,2.164,70.549,8.409,0.435,3.739,3.848,3.378,3.047,5.013,3.13,4.25,4.4,3.751,3.431,5.459,3.507,4.455,4.615,3.848,3.512,5.861,3.572,3.737,3.504,5.762,3.529,4.416,4.628,3.611,3.415,5.672,3.424,4.322,4.523,3.501,3.288,5.641,3.302,4.184,4.399
4.796,1.014,0.764,4.73,4.73,1.444,1.335,1.761,-0.211,4.776,2.534,13.731,16.761,18.3,4.576,4.789,4.527,15.301,3.025,39.307,4.28,0.025,1.883,9.182,-0.487,0.238,82.127,8.686,0.417,3.764,3.869,3.487,3.234,4.998,3.238,4.273,4.41,3.846,3.611,5.441,3.601,4.508,4.66,3.974,3.681,5.854,3.669,3.871,3.706,5.747,3.647,4.481,4.686,3.726,3.604,5.659,3.547,4.377,4.587,3.634,3.512,5.64,3.446,4.273,4.486
5.509,0.957,0.739,5.001,5.001,1.433,0.977,1.619,-0.287,4.642,2.577,13.751,16.772,18.307,4.463,4.86,4.649,15.312,2.938,9.112,3.755,0.033,2.048,7.857,0.095,0.009,81.781,13.158,0.435,3.651,3.746,3.671,3.136,4.893,3.163,4.169,4.287,4.576,3.579,5.411,3.573,4.421,4.567,4.064,3.601,5.814,3.606,4.234,3.62,5.724,3.596,4.35,4.533,4.314,3.594,5.623,3.521,4.201,4.38,4.123,3.382,5.563,3.31,3.923,4.107
4.363,1.122,0.916,6.599,6.599,2.023,1.465,2.091,-0.211,5.004,3.104,13.808,16.809,18.347,4.799,5.333,4.771,15.38,3.049,16.183,4.468,0.026,1.757,10.852,-0.624,0.389,94.502,8.231,0.533,3.962,4.075,3.591,3.394,5.186,3.436,4.483,4.624,3.988,3.797,5.688,3.824,4.758,4.926,4.089,3.885,6.112,3.893,3.984,3.83,6.084,3.828,4.717,4.927,3.88,3.758,6.025,3.747,4.631,4.829,3.835,3.682,5.942,3.689,4.573,4.767
5.409,0.949,0.733,5.001,5.001,1.46,1.156,1.619,-0.264,4.658,2.605,13.751,16.772,18.307,4.474,4.86,4.649,15.312,2.938,15.178,3.491,0.033,2.11,7.857,-0.301,0.091,74.547,11.255,0.435,3.659,3.757,3.533,3.073,4.957,3.135,4.178,4.301,4.065,3.465,5.516,3.531,4.428,4.578,3.964,3.546,5.85,3.583,4.039,3.548,5.819,3.56,4.366,4.556,4.051,3.477,5.791,3.463,4.223,4.418,3.867,3.269,5.764,3.256,3.94,4.133
4.796,1.011,0.762,4.73,4.73,1.444,1.335,1.752,-0.211,4.725,2.534,13.731,16.761,18.301,4.54,4.789,4.527,15.302,3.032,39.307,4.264,0.025,1.883,9.182,-0.032,0.001,82.196,8.686,0.417,3.764,3.869,3.487,3.234,4.982,3.238,4.283,4.431,3.842,3.601,5.441,3.596,4.497,4.648,3.972,3.671,5.85,3.662,3.874,3.698,5.74,3.641,4.456,4.659,3.723,3.595,5.649,3.539,4.36,4.574,3.628,3.499,5.616,3.434,4.245,4.449
5.0,0.982,0.939,5.882,5.882,1.823,1.397,1.965,-0.29,4.887,2.885,13.753,16.772,18.308,4.697,5.028,4.649,15.317,3.049,17.971,3.867,0.025,1.76,11.692,-0.276,0.076,93.324,8.031,0.357,3.946,4.052,3.546,3.331,5.176,3.378,4.467,4.612,3.921,3.69,5.715,3.728,4.695,4.87,3.99,3.771,6.031,3.793,3.887,3.776,5.958,3.773,4.656,4.86,3.753,3.729,5.872,3.698,4.579,4.795,3.687,3.635,5.797,3.602,4.496,4.704
5.77,0.909,0.707,4.983,4.983,1.495,1.096,1.422,-0.429,4.691,2.562,13.758,16.776,18.31,4.522,4.941,4.649,15.315,2.875,13.379,3.333,0.03,1.87,7.81,-1.56,2.434,67.939,8.685,0.435,3.715,3.813,3.373,3.029,5.004,3.124,4.247,4.379,3.788,3.424,5.535,3.514,4.456,4.587,3.915,3.514,5.957,3.594,3.812,3.5,5.947,3.56,4.44,4.623,3.629,3.416,5.843,3.436,4.301,4.498,3.467,3.261,5.652,3.279,4.169,4.387
7.018,0.958,0.742,4.715,4.715,1.419,0.937,1.408,-0.27,4.643,2.495,13.734,16.763,18.301,4.448,4.787,4.527,15.299,2.845,6.187,3.614,0.027,1.955,7.75,-0.895,0.802,78.503,12.162,0.455,3.641,3.746,3.601,3.134,4.876,3.131,4.156,4.287,3.933,3.525,5.368,3.516,4.412,4.568,4.013,3.599,5.803,3.58,4.137,3.618,5.688,3.555,4.329,4.535,4.185,3.59,5.55,3.454,4.169,4.383,3.997,3.379,5.464,3.248,3.9,4.109
6.244,1.093,0.896,5.672,5.672,1.703,1.392,1.764,-0.451,4.983,2.768,13.775,16.787,18.318,4.796,5.198,4.705,15.328,2.968,15.103,4.218,0.028,1.749,8.625,-1.304,1.7,84.282,7.645,0.385,3.921,4.046,3.484,3.27,5.096,3.311,4.48,4.661,3.893,3.667,5.607,3.698,4.735,4.924,4.046,3.794,6.064,3.818,3.995,3.841,6.111,3.843,4.846,5.066,3.86,3.815,6.09,3.778,4.767,4.999,3.757,3.712,5.943,3.674,4.67,4.91
3.376,0.994,0.793,5.12,5.12,1.612,1.099,1.693,-0.341,4.733,2.691,12.921,15.708,17.158,4.547,4.884,4.369,14.42,2.695,5.513,3.372,0.027,1.817,7.81,-0.99,0.981,68.955,8.409,0.478,3.733,3.824,3.36,3.084,5.009,3.157,4.246,4.373,3.752,3.482,5.506,3.543,4.514,4.671,3.824,3.58,5.89,3.612,3.757,3.573,5.853,3.588,4.5,4.705,3.691,3.535,5.825,3.533,4.384,4.589,3.538,3.377,5.706,3.378,4.214,4.428
5.959,0.894,0.695,4.715,4.715,1.419,0.937,1.435,-0.255,4.548,2.495,13.739,16.767,18.306,4.362,4.787,4.527,15.309,2.92,6.187,3.408,0.027,1.986,7.75,-0.559,0.312,77.529,12.905,0.455,3.591,3.688,3.597,3.101,4.876,3.108,4.095,4.22,3.911,3.455,5.354,3.48,4.338,4.482,3.991,3.532,5.796,3.544,4.129,3.569,5.671,3.517,4.202,4.388,4.177,3.536,5.499,3.41,4.041,4.231,3.989,3.317,5.425,3.2,3.753,3.936
5.77,0.893,0.694,4.715,4.715,1.424,0.94,1.435,-0.322,4.556,2.497,13.739,16.767,18.306,4.372,4.787,4.527,15.309,2.92,6.187,3.205,0.027,1.986,7.75,-0.791,0.625,70.324,9.857,0.455,3.598,3.693,3.363,3.016,4.913,3.086,4.099,4.223,3.745,3.396,5.378,3.464,4.342,4.485,3.84,3.478,5.804,3.53,3.777,3.471,5.71,3.488,4.218,4.4,3.668,3.375,5.575,3.36,4.065,4.251,3.499,3.161,5.517,3.154,3.77,3.95
6.114,1.053,0.903,5.308,5.308,1.83,1.395,1.893,-0.368,4.855,2.895,13.761,16.778,18.311,4.663,4.982,4.705,15.317,3.032,13.379,3.484,0.034,1.802,8.565,-0.834,0.695,77.105,8.084,0.4,3.846,3.953,3.45,3.186,5.071,3.25,4.397,4.546,3.877,3.576,5.629,3.636,4.651,4.808,3.974,3.664,6.048,3.713,3.914,3.651,6.027,3.686,4.588,4.757,3.768,3.584,5.992,3.602,4.53,4.725,3.676,3.52,5.805,3.528,4.493,4.699
5.42,0.894,0.695,4.715,4.715,1.423,0.939,1.435,-0.298,4.552,2.496,13.739,16.767,18.306,4.368,4.787,4.527,15.309,2.92,6.187,3.325,0.027,1.986,7.75,-0.682,0.465,72.923,11.339,0.455,3.595,3.691,3.483,3.04,4.888,3.095,4.098,4.222,3.829,3.413,5.362,3.471,4.341,4.483,3.916,3.493,5.798,3.536,3.964,3.499,5.683,3.5,4.212,4.394,3.948,3.422,5.524,3.38,4.056,4.242,3.767,3.206,5.455,3.173,3.764,3.943
4.703,1.129,0.918,5.017,5.017,1.633,1.396,1.657,-0.338,4.981,2.662,13.758,16.777,18.31,4.762,4.947,4.649,15.315,2.885,18.067,3.987,0.026,1.749,9.917,-0.879,0.772,83.762,7.645,0.385,3.921,4.047,3.479,3.279,5.094,3.318,4.476,4.649,3.873,3.68,5.615,3.699,4.752,4.954,3.992,3.768,6.062,3.774,3.915,3.74,6.035,3.742,4.692,4.909,3.786,3.679,5.979,3.663,4.607,4.818,3.71,3.596,5.864,3.586,4.558,4.772
