pXC50,RBN,AMW,H.,SCBO,Si,nH,nCsp2,Se,nBT,Sv,Sp,nC,nSK,nBO,nN,MW,Mi,nCsp3,nAT,Mv,Mp,nHet,C.,nDB
4.699,8,8.229,39.0,53.0,65.903,23,24,60.105,62.0,39.621,40.358,27,36,39,3,485.53,1.117,3,59.0,0.672,0.684,9,45.8,5
4.0,5,8.471,39.6,48.0,59.302,21,19,53.665,57.0,35.799,37.097,24,32,36,4,448.94,1.119,5,53.0,0.675,0.7,8,45.3,1
4.183,3,8.1,39.4,30.0,36.618,13,14,33.385,35.0,22.327,22.938,16,20,22,1,267.3,1.11,2,33.0,0.677,0.695,4,48.5,2
4.0,4,7.225,47.1,37.0,57.401,24,11,51.232,54.0,31.697,33.205,21,27,30,2,368.47,1.126,10,51.0,0.622,0.651,6,41.2,4
4.0,5,9.337,37.5,37.0,44.454,15,15,40.742,42.0,27.744,29.244,17,25,27,3,373.49,1.111,2,40.0,0.694,0.731,8,42.5,2
4.699,5,7.991,39.6,49.5,58.86,21,25,53.24,56.0,35.95,37.233,26,32,35,3,423.5,1.111,1,53.0,0.678,0.703,6,49.1,3
4.0,5,8.941,40.5,36.0,47.242,17,12,42.618,44.0,28.072,29.801,16,25,27,5,375.52,1.125,4,42.0,0.668,0.71,9,38.1,1
4.0,3,8.448,43.8,26.0,36.245,14,6,32.891,33.0,20.25,21.046,11,18,19,2,270.34,1.133,5,32.0,0.633,0.658,7,34.4,4
4.0,6,7.993,43.1,47.5,65.192,25,16,58.403,62.0,37.706,39.654,24,33,37,5,463.61,1.124,8,58.0,0.65,0.684,9,41.4,2
4.0,7,7.152,47.6,30.5,47.734,20,9,42.131,43.0,25.73,27.023,16,22,23,4,300.4,1.137,6,42.0,0.613,0.643,6,38.1,0
4.699,13,7.677,45.5,50.5,74.148,30,18,66.28,68.0,41.98,44.387,27,36,38,4,506.68,1.123,8,66.0,0.636,0.673,9,40.9,2
4.0,6,6.149,55.8,23.0,49.355,24,5,42.571,43.0,24.068,26.091,14,19,19,4,264.42,1.148,9,43.0,0.56,0.607,5,32.6,1
4.0,1,8.743,33.3,33.5,33.448,10,15,30.385,33.0,21.381,21.762,15,20,23,4,262.29,1.115,0,30.0,0.713,0.725,5,50.0,0
4.699,9,7.627,44.1,54.0,76.275,30,20,68.865,71.0,43.422,44.852,29,38,41,2,518.61,1.122,9,68.0,0.639,0.66,9,42.6,5
4.0,9,8.951,42.3,41.5,58.372,22,15,52.622,54.0,34.625,36.909,21,30,32,4,465.44,1.123,6,52.0,0.666,0.71,9,40.4,1
4.0,10,6.733,51.7,35.0,65.856,30,10,58.211,59.0,33.992,35.944,21,28,29,2,390.53,1.135,11,58.0,0.586,0.62,7,36.2,3
5.483,8,6.631,51.4,48.0,83.68,38,15,73.41,77.0,44.186,47.33,29,36,39,4,490.71,1.131,14,74.0,0.597,0.64,7,39.2,3
4.0,7,7.562,44.6,43.0,62.737,25,16,56.669,59.0,35.632,36.869,24,31,34,1,423.5,1.12,8,56.0,0.636,0.658,7,42.9,3
4.0,4,9.607,38.1,36.0,47.722,16,12,43.727,44.0,28.431,29.33,17,26,28,1,403.48,1.136,5,42.0,0.677,0.698,9,40.5,2
4.483,7,6.864,50.0,41.5,70.517,31,12,61.978,64.0,37.1,39.29,23,31,33,5,425.59,1.137,11,62.0,0.598,0.634,8,37.1,3
4.0,7,6.638,51.4,45.5,79.265,36,13,69.527,73.0,41.659,44.569,27,34,37,4,464.67,1.132,14,70.0,0.595,0.637,7,38.6,3
5.509,7,6.398,53.7,39.0,76.265,36,9,66.527,69.0,38.659,41.569,24,31,33,4,428.64,1.138,15,67.0,0.577,0.62,7,35.8,3
4.0,4,8.176,38.9,33.0,39.744,14,16,36.494,38.0,24.547,25.148,18,22,24,0,294.32,1.104,2,36.0,0.682,0.699,4,50.0,3
4.0,5,8.464,41.2,29.0,38.14,14,10,34.258,35.0,22.767,23.898,15,20,21,3,287.77,1.122,3,34.0,0.67,0.703,5,44.1,3
4.381,7,6.864,50.0,41.5,70.517,31,12,61.978,64.0,37.1,39.29,23,31,33,5,425.59,1.137,11,62.0,0.598,0.634,8,37.1,3
4.699,2,9.442,30.0,33.0,33.578,9,14,31.265,32.0,21.504,21.119,14,21,23,3,283.26,1.119,0,30.0,0.717,0.704,7,46.7,4
4.0,7,8.383,41.2,44.0,57.571,21,17,51.963,53.0,33.368,34.585,20,30,32,5,427.53,1.129,3,51.0,0.654,0.678,10,39.2,3
4.0,6,7.467,45.8,35.5,54.196,22,12,48.676,50.0,29.885,30.898,19,26,28,2,358.43,1.129,7,48.0,0.623,0.644,7,39.6,2
4.699,3,8.69,34.0,49.5,52.113,16,20,47.691,50.0,33.391,33.955,24,31,34,4,408.44,1.109,2,47.0,0.71,0.722,7,51.1,3
5.475,8,6.476,53.3,35.0,68.434,32,9,59.76,61.0,34.605,37.046,21,28,29,4,388.57,1.141,12,60.0,0.577,0.617,7,35.0,3
4.699,3,9.666,38.6,40.0,48.788,17,17,44.483,47.0,30.427,31.818,21,27,30,2,425.3,1.109,4,44.0,0.692,0.723,6,47.7,4
5.465,9,6.726,50.7,44.0,75.849,34,15,66.643,69.0,40.132,42.807,26,33,35,4,450.64,1.132,11,67.0,0.599,0.639,7,38.8,3
4.058,9,6.655,51.6,39.5,70.434,32,13,61.76,63.0,36.605,39.046,23,30,31,4,412.59,1.136,10,62.0,0.59,0.63,7,37.1,3
5.46,9,6.749,50.7,45.0,78.348,35,15,68.745,71.0,41.153,43.813,26,34,36,5,465.66,1.135,11,69.0,0.596,0.635,8,37.7,3
5.648,9,6.638,51.4,45.0,79.265,36,15,69.527,72.0,41.659,44.569,27,34,36,4,464.67,1.132,12,70.0,0.595,0.637,7,38.6,3
5.401,16,6.598,52.2,55.0,102.258,47,16,89.701,92.0,52.744,56.29,33,43,45,5,593.85,1.136,17,90.0,0.586,0.625,10,36.7,4
4.0,5,8.264,43.2,29.0,41.392,16,13,37.476,38.0,24.208,25.318,16,21,22,1,305.78,1.119,3,37.0,0.654,0.684,5,43.2,1
4.0,9,6.932,51.6,42.0,72.271,33,13,63.618,66.0,38.298,41.449,24,31,33,3,443.67,1.129,11,64.0,0.598,0.648,7,37.5,3
4.0,5,9.129,37.2,42.0,47.534,16,18,43.189,46.0,30.335,32.341,20,27,30,4,392.54,1.105,2,43.0,0.705,0.752,7,46.5,1
4.309,10,7.264,47.5,41.5,67.395,28,13,59.64,60.0,35.782,37.228,21,31,32,6,428.55,1.142,8,59.0,0.606,0.631,10,35.6,4
5.365,10,6.558,52.1,46.0,82.68,38,15,72.41,75.0,43.186,46.33,28,35,37,4,478.7,1.133,13,73.0,0.592,0.635,7,38.4,3
5.164,9,6.541,53.1,37.0,73.059,34,9,63.97,65.0,36.847,39.262,22,30,31,4,418.6,1.142,13,64.0,0.576,0.613,8,34.4,3
4.0,4,9.538,36.8,36.0,42.165,14,14,38.967,40.0,26.437,27.693,16,24,26,2,362.46,1.11,2,38.0,0.696,0.729,8,42.1,4
4.0,6,8.624,38.6,40.5,48.95,17,19,44.549,46.0,30.083,31.358,20,27,29,3,379.47,1.112,1,44.0,0.684,0.713,7,45.5,3
4.793,8,6.603,52.5,35.0,67.517,31,8,58.978,60.0,34.1,36.29,20,28,29,5,389.56,1.144,12,59.0,0.578,0.615,8,33.9,3
4.0,8,8.234,44.4,43.5,60.613,24,15,54.378,56.0,34.872,37.296,21,30,32,4,444.63,1.122,6,54.0,0.646,0.691,9,38.9,3
4.0,3,6.947,47.9,36.0,53.856,23,15,47.469,51.0,30.047,32.086,21,25,28,3,333.47,1.122,6,48.0,0.626,0.668,4,43.8,2
4.451,7,6.763,50.8,42.5,73.933,33,12,64.861,67.0,38.627,41.052,24,32,34,5,439.62,1.137,12,65.0,0.594,0.632,8,36.9,3
4.699,7,7.149,48.0,35.0,56.449,24,14,50.2,51.0,30.871,32.444,21,26,27,1,357.46,1.129,7,50.0,0.617,0.649,5,42.0,2
5.292,8,6.324,54.3,40.0,79.68,38,9,69.41,72.0,40.186,43.33,25,32,34,4,442.67,1.138,16,70.0,0.574,0.619,7,35.7,3
4.0,6,6.027,55.9,33.5,67.304,33,7,57.879,61.0,33.482,36.688,21,26,28,5,355.59,1.141,14,59.0,0.567,0.622,5,35.6,0
4.0,2,6.982,48.6,26.0,41.737,18,9,36.927,39.0,22.687,24.012,15,19,21,2,258.35,1.128,6,37.0,0.613,0.649,4,40.5,2
4.0,8,6.692,51.7,37.0,67.773,31,10,59.992,62.0,35.497,37.699,23,29,31,1,401.55,1.13,13,60.0,0.592,0.628,6,38.3,3
4.699,6,8.259,38.6,40.0,48.867,17,19,44.807,46.0,29.81,30.369,21,27,29,1,363.39,1.111,2,44.0,0.677,0.69,6,47.7,5
4.0,7,8.131,43.1,47.5,65.239,25,16,59.065,61.0,37.335,38.767,23,33,36,3,471.58,1.125,7,58.0,0.644,0.668,10,39.7,3
4.699,7,8.556,35.8,52.0,58.492,19,27,54.018,56.0,37.051,37.585,27,34,37,1,453.47,1.104,0,53.0,0.699,0.709,7,50.9,3
4.0,2,8.724,40.5,31.0,42.057,15,9,38.014,39.0,24.218,24.813,14,22,24,4,322.78,1.137,5,37.0,0.655,0.671,8,37.8,2
4.0,5,7.066,49.1,35.0,60.026,26,9,53.443,55.0,31.938,33.421,20,27,29,2,374.48,1.133,11,53.0,0.603,0.631,7,37.7,3
4.0,2,9.666,38.6,40.5,48.788,17,18,44.483,47.0,30.427,31.818,21,27,30,2,425.3,1.109,3,44.0,0.692,0.723,6,47.7,2
4.0,2,6.983,48.6,27.0,42.109,18,8,36.92,39.0,22.488,23.807,14,19,21,4,258.36,1.138,6,37.0,0.608,0.643,5,37.8,1
4.0,9,8.011,46.7,44.0,67.863,28,12,60.8,62.0,37.355,39.727,21,32,34,4,480.67,1.131,9,60.0,0.623,0.662,11,35.0,4
4.0,4,8.615,36.4,32.0,37.282,12,13,33.924,34.0,22.337,22.432,14,21,22,4,284.3,1.13,1,33.0,0.677,0.68,7,42.4,4
4.699,2,8.144,40.5,32.0,41.824,15,10,37.916,39.0,24.084,24.404,15,22,24,3,301.33,1.13,5,37.0,0.651,0.66,7,40.5,5
4.0,8,8.035,45.2,30.5,47.946,19,9,42.753,43.0,26.126,27.37,14,23,24,5,337.45,1.142,5,42.0,0.622,0.652,9,33.3,1
4.0,7,7.394,46.2,38.0,58.611,24,14,52.56,54.0,32.412,33.659,21,28,30,2,384.47,1.127,7,52.0,0.623,0.647,7,40.4,2
4.0,4,9.02,38.0,47.0,55.97,19,18,50.523,54.0,34.545,36.324,22,31,35,6,450.99,1.119,4,50.0,0.691,0.726,9,44.0,1
4.0,4,8.639,40.0,30.5,39.036,14,12,35.564,37.0,23.535,24.591,15,21,23,2,302.38,1.115,3,35.0,0.672,0.703,6,42.9,2
4.0,5,8.822,40.0,29.0,39.606,14,13,35.88,36.0,23.371,24.046,15,21,22,2,308.76,1.132,2,35.0,0.668,0.687,6,42.9,1
4.0,4,7.188,50.0,42.0,70.065,31,10,62.061,65.0,37.486,40.142,23,31,34,3,445.64,1.13,13,62.0,0.605,0.647,8,37.1,5
4.432,4,7.22,51.2,26.5,48.697,22,6,43.098,44.0,25.642,27.637,15,21,22,2,310.46,1.132,9,43.0,0.596,0.643,6,34.9,2
4.699,6,7.676,42.2,39.0,49.863,19,20,45.036,47.0,29.907,31.222,22,26,28,1,345.42,1.108,2,45.0,0.665,0.694,4,48.9,2
4.0,4,7.132,46.9,37.0,55.066,23,14,48.796,52.0,30.762,32.54,21,26,29,3,349.47,1.124,7,49.0,0.628,0.664,5,42.9,2
4.0,5,8.599,38.2,51.5,61.674,21,21,55.658,59.0,37.6,38.892,25,34,38,6,472.97,1.121,4,55.0,0.684,0.707,9,45.5,2
4.0,4,9.936,32.1,25.0,32.929,9,7,30.469,28.0,18.686,17.449,10,19,19,2,278.21,1.176,3,28.0,0.667,0.623,9,35.7,3
4.0,3,11.309,28.0,27.0,28.106,7,10,26.229,26.0,18.583,18.96,10,18,19,4,282.73,1.124,0,25.0,0.743,0.758,8,40.0,2
5.167,9,6.73,51.5,42.0,77.557,35,10,68.072,70.0,39.868,42.267,24,33,35,5,457.64,1.141,14,68.0,0.586,0.622,9,35.3,4
5.377,7,6.398,53.7,39.0,76.265,36,9,66.527,69.0,38.659,41.569,24,31,33,4,428.64,1.138,15,67.0,0.577,0.62,7,35.8,3
4.0,6,6.567,52.5,37.0,69.434,32,9,60.76,63.0,35.605,38.046,22,29,31,4,400.58,1.138,13,61.0,0.584,0.624,7,36.1,3
4.0,6,7.948,42.4,26.5,37.325,14,9,33.814,34.0,21.063,21.398,13,19,20,2,262.29,1.131,4,33.0,0.638,0.648,6,39.4,1
4.26,13,6.373,54.5,36.0,75.846,36,9,65.847,66.0,37.175,39.819,21,30,30,6,420.63,1.149,12,66.0,0.563,0.603,9,31.8,3
4.0,6,7.538,47.4,28.0,42.448,18,12,37.676,39.0,24.159,26.205,16,20,21,2,286.43,1.117,4,38.0,0.636,0.69,4,42.1,1
4.0,6,6.957,49.1,39.5,64.604,28,13,56.992,59.0,34.552,36.523,22,29,31,4,396.54,1.133,9,57.0,0.606,0.641,7,38.6,3
4.01,7,6.821,50.9,33.0,60.687,27,9,53.211,54.0,31.046,32.767,18,26,27,5,361.5,1.145,9,53.0,0.586,0.618,8,34.0,3
4.804,7,6.763,50.8,42.5,73.933,33,12,64.861,67.0,38.627,41.052,24,32,34,5,439.62,1.137,12,65.0,0.594,0.632,8,36.9,3
4.0,8,6.476,53.3,35.0,68.434,32,9,59.76,61.0,34.605,37.046,21,28,29,4,388.57,1.141,12,60.0,0.577,0.617,7,35.0,3
4.0,8,8.448,39.6,44.5,53.737,19,18,48.425,51.0,32.411,33.915,21,29,32,5,405.52,1.12,3,48.0,0.675,0.707,8,43.8,2
4.0,5,6.687,50.8,39.0,66.438,30,13,58.556,62.0,35.562,38.034,24,29,32,2,394.56,1.126,11,59.0,0.603,0.645,5,40.7,1
4.0,7,6.398,53.7,39.0,76.265,36,9,66.527,69.0,38.659,41.569,24,31,33,4,428.64,1.138,15,67.0,0.577,0.62,7,35.8,3
4.332,7,7.089,47.6,46.5,71.019,30,17,62.876,66.0,39.078,41.284,26,33,36,4,446.6,1.127,9,63.0,0.62,0.655,7,41.3,2
5.771,7,6.864,50.0,41.5,70.517,31,12,61.978,64.0,37.1,39.29,23,31,33,5,425.59,1.137,11,62.0,0.598,0.634,8,37.1,3
5.527,10,6.458,52.6,49.0,88.012,41,15,77.076,81.0,46.218,49.847,31,37,40,3,503.75,1.128,16,78.0,0.593,0.639,6,39.7,3
5.542,15,6.665,51.7,54.0,98.843,45,16,86.818,89.0,51.217,54.529,32,42,44,5,579.82,1.136,16,87.0,0.589,0.627,10,36.8,4
4.114,10,6.67,52.5,34.0,67.727,31,9,59.305,59.0,33.815,35.745,19,28,28,5,393.55,1.148,10,59.0,0.573,0.606,9,32.2,3
4.873,7,6.864,50.0,41.5,70.517,31,12,61.978,64.0,37.1,39.29,23,31,33,5,425.59,1.137,11,62.0,0.598,0.634,8,37.1,3
4.0,6,7.497,43.9,34.0,45.784,18,18,40.894,43.0,26.861,28.25,20,23,25,1,307.39,1.117,2,41.0,0.655,0.689,3,48.8,0
4.0,6,7.685,43.2,30.0,41.531,16,14,37.371,38.0,23.875,24.705,16,21,22,2,284.34,1.122,2,37.0,0.645,0.668,5,43.2,2
4.0,6,8.057,40.3,55.0,69.319,25,22,62.989,66.0,41.148,42.119,28,37,41,3,499.56,1.118,6,62.0,0.664,0.679,9,45.2,5
4.0,3,7.135,47.9,34.0,54.694,23,11,48.083,50.0,29.452,31.029,19,25,27,4,342.46,1.139,8,48.0,0.614,0.646,6,39.6,1
4.0,2,8.194,40.7,22.0,30.412,11,8,27.829,28.0,17.515,17.631,11,16,17,1,221.23,1.126,3,27.0,0.649,0.653,5,40.7,2
4.0,4,7.28,51.8,36.0,63.151,29,7,55.6,59.0,33.716,37.12,20,27,30,3,407.66,1.128,13,56.0,0.602,0.663,7,35.7,3
4.0,4,7.947,45.2,24.5,34.617,14,10,30.909,32.0,20.106,21.682,13,17,18,2,246.36,1.117,3,31.0,0.649,0.699,4,41.9,1
4.0,6,8.603,37.8,33.0,41.744,14,12,38.469,38.0,24.492,24.307,15,23,24,2,318.31,1.128,3,37.0,0.662,0.657,8,40.5,3
4.0,5,6.382,52.9,32.0,57.687,27,12,50.236,52.0,30.101,32.608,20,24,25,3,325.5,1.131,8,51.0,0.59,0.639,4,39.2,4
4.0,5,8.666,37.1,32.5,40.362,13,9,36.345,36.0,22.875,22.688,12,22,23,7,303.32,1.153,3,35.0,0.654,0.648,10,34.3,4
4.0,5,7.693,41.5,38.0,45.611,17,18,40.818,44.0,27.467,28.801,20,24,27,3,315.4,1.112,2,41.0,0.67,0.702,4,48.8,0
4.0,1,9.234,32.3,31.0,34.332,10,15,32.382,33.0,21.923,21.534,15,21,23,0,286.25,1.107,0,31.0,0.707,0.695,6,48.4,2
4.0,5,8.834,37.3,49.0,56.831,19,22,52.054,54.0,35.214,36.267,24,32,35,2,450.52,1.114,2,51.0,0.69,0.711,8,47.1,5
4.0,5,7.817,42.3,44.5,58.568,22,17,52.669,55.0,33.686,34.693,22,30,33,4,406.48,1.126,5,52.0,0.648,0.667,8,42.3,3
4.0,2,7.912,41.5,35.0,46.077,17,14,41.44,44.0,27.07,27.949,19,24,27,2,324.38,1.124,5,41.0,0.66,0.682,5,46.3,2
4.0,5,7.473,43.9,34.5,45.737,18,16,40.927,43.0,26.687,28.012,19,23,25,2,306.39,1.116,3,41.0,0.651,0.683,4,46.3,1
4.0,8,7.451,46.4,53.0,77.086,32,22,68.538,73.0,44.223,47.205,31,37,41,3,514.11,1.117,9,69.0,0.641,0.684,6,44.9,3
4.0,4,7.22,47.4,27.0,42.946,18,10,38.254,39.0,23.402,24.466,15,20,21,2,274.35,1.13,5,38.0,0.616,0.644,5,39.5,3
4.0,5,7.522,48.9,31.0,50.906,22,8,45.425,46.0,27.357,29.091,16,23,24,2,338.47,1.131,8,45.0,0.608,0.646,7,35.6,4
4.0,5,7.451,48.0,37.0,56.112,24,13,49.982,52.0,31.169,33.398,20,26,28,2,372.53,1.122,7,50.0,0.623,0.668,6,40.0,3
4.466,8,8.092,49.2,39.5,66.861,29,13,59.105,60.0,36.104,38.637,22,30,31,4,477.45,1.133,9,59.0,0.612,0.655,8,37.3,3
4.0,4,10.193,39.5,34.5,41.874,15,16,38.022,40.0,26.658,28.796,18,23,25,2,387.32,1.102,2,38.0,0.702,0.758,5,47.4,1
4.0,4,7.684,45.0,29.0,45.784,18,9,40.869,41.0,24.806,25.409,15,22,23,3,307.36,1.145,6,40.0,0.62,0.635,7,37.5,3
4.494,12,6.454,54.0,35.0,72.431,34,9,62.963,63.0,35.648,38.057,20,29,29,6,406.6,1.15,11,63.0,0.566,0.604,9,31.7,3
4.0,4,9.201,38.2,32.0,37.352,13,16,33.905,36.0,24.218,26.085,17,21,23,2,312.84,1.099,1,34.0,0.712,0.767,4,50.0,0
4.873,9,6.457,53.7,38.0,76.474,36,9,66.854,68.0,38.374,41.023,23,31,32,4,432.63,1.141,14,67.0,0.573,0.612,8,34.3,3
4.463,6,7.084,48.1,38.0,61.189,26,13,54.109,56.0,33.025,34.762,21,28,30,4,382.51,1.133,8,54.0,0.612,0.644,7,38.9,5
4.318,7,6.706,51.8,34.0,64.102,29,9,56.094,57.0,32.573,34.529,19,27,28,5,375.53,1.145,10,56.0,0.582,0.617,8,33.9,3
4.0,6,6.269,55.6,28.0,62.019,30,3,53.876,55.0,30.078,32.285,17,24,25,4,338.51,1.149,14,54.0,0.557,0.598,7,31.5,3
4.845,7,6.78,50.8,40.0,69.517,31,11,60.978,63.0,36.1,38.29,22,30,32,5,413.58,1.14,11,61.0,0.592,0.628,8,36.1,3
4.0,4,9.347,40.4,41.0,52.203,19,19,47.367,50.0,31.954,33.58,22,28,31,2,439.33,1.111,3,47.0,0.68,0.714,6,46.8,1
4.0,8,8.157,43.9,31.5,46.076,18,12,41.658,42.0,26.304,27.568,16,23,24,2,334.43,1.124,4,41.0,0.642,0.672,7,39.0,2
4.0,5,7.914,41.3,54.0,70.607,26,21,63.763,68.0,41.454,42.671,28,37,42,4,498.58,1.121,7,63.0,0.658,0.677,9,44.4,3
4.103,7,8.12,47.2,35.0,60.575,25,9,53.858,54.0,32.701,34.483,18,28,29,5,430.38,1.143,9,53.0,0.617,0.651,10,34.0,3
4.282,6,6.478,53.1,38.0,72.849,34,9,63.643,66.0,37.132,39.807,23,30,32,4,414.61,1.138,14,64.0,0.58,0.622,7,35.9,3
4.0,4,9.451,40.5,36.0,46.73,17,13,42.731,44.0,28.603,30.619,17,25,27,2,396.95,1.113,4,42.0,0.681,0.729,8,40.5,3
4.0,6,8.089,44.7,30.0,42.578,17,12,38.556,39.0,24.282,25.563,15,21,22,1,307.4,1.12,3,38.0,0.639,0.673,6,39.5,2
4.275,7,7.466,45.7,34.0,52.441,21,13,46.56,47.0,28.466,29.483,17,25,26,5,343.43,1.14,4,46.0,0.619,0.641,8,37.0,5
5.378,8,6.908,50.8,36.0,67.857,30,9,59.49,60.0,34.483,36.228,20,29,30,5,407.55,1.15,11,59.0,0.584,0.614,9,33.9,3
5.628,9,6.558,52.1,46.0,82.68,38,15,72.41,75.0,43.186,46.33,28,35,37,4,478.7,1.133,13,73.0,0.592,0.635,7,38.4,3
4.132,8,6.706,51.8,34.0,63.73,29,9,56.101,57.0,32.772,34.733,20,27,28,3,375.52,1.138,11,56.0,0.585,0.62,7,35.7,3
4.0,5,10.688,47.4,25.0,42.835,18,7,38.269,39.0,24.264,26.478,14,20,21,2,406.14,1.127,7,38.0,0.639,0.697,6,36.8,1
5.227,7,6.398,53.7,39.0,76.265,36,9,66.527,69.0,38.659,41.569,24,31,33,4,428.64,1.138,15,67.0,0.577,0.62,7,35.8,3
4.0,8,8.19,43.6,30.5,43.578,17,12,39.556,40.0,25.282,26.563,16,22,23,1,319.41,1.117,4,39.0,0.648,0.681,6,41.0,2
4.0,6,7.798,42.1,32.0,42.159,16,16,38.378,39.0,25.074,25.909,18,22,23,0,296.34,1.109,2,38.0,0.66,0.682,4,47.4,3
4.0,6,9.404,34.8,47.0,51.115,16,19,46.509,50.0,32.851,34.591,21,30,34,6,432.57,1.111,2,46.0,0.714,0.752,9,45.7,2
4.0,3,8.51,35.7,29.0,31.448,10,13,28.385,30.0,19.381,19.762,13,18,20,4,238.27,1.123,0,28.0,0.692,0.706,5,46.4,1
4.0,2,8.512,42.3,21.0,29.285,11,7,26.244,27.0,17.073,18.165,10,15,16,3,221.31,1.126,3,26.0,0.657,0.699,5,38.5,2
4.0,4,7.532,47.8,34.0,51.697,22,13,46.098,47.0,28.642,30.637,18,24,25,2,346.49,1.124,5,46.0,0.623,0.666,6,39.1,3
4.0,3,8.054,40.9,37.0,49.365,18,15,44.909,46.0,28.831,29.375,19,26,28,2,354.39,1.122,4,44.0,0.655,0.668,7,43.2,6
4.0,4,8.728,41.0,32.0,44.079,16,8,40.429,41.0,25.206,25.716,14,23,25,2,340.39,1.13,6,39.0,0.646,0.659,9,35.9,4
4.0,5,9.184,32.5,42.5,45.199,13,16,41.68,42.0,27.788,27.347,17,27,29,5,367.35,1.13,1,40.0,0.695,0.684,10,42.5,5
4.0,7,6.064,56.4,29.5,63.099,31,4,54.323,57.0,30.67,33.381,18,24,26,5,333.54,1.147,14,55.0,0.558,0.607,6,32.7,1
4.0,4,9.647,33.3,33.0,37.333,11,13,34.185,35.0,23.193,23.563,14,22,24,4,318.36,1.131,1,33.0,0.703,0.714,8,42.4,1
4.0,10,7.76,46.4,41.0,63.155,26,14,56.847,57.0,34.84,36.523,21,30,31,2,434.56,1.128,7,56.0,0.622,0.652,9,37.5,4
4.0,5,7.904,42.1,32.0,42.741,16,13,38.698,39.0,24.59,25.159,16,22,23,2,300.34,1.125,3,38.0,0.647,0.662,6,42.1,3
4.0,7,6.49,51.9,34.0,58.315,27,12,51.243,53.0,31.299,33.813,22,25,26,1,337.5,1.121,8,52.0,0.602,0.65,3,42.3,0
4.0,9,7.203,50.0,35.0,58.899,26,12,51.858,53.0,31.497,33.955,19,26,27,4,374.56,1.133,7,52.0,0.606,0.653,7,36.5,3
4.39,8,6.902,49.2,46.0,73.434,32,17,64.76,67.0,39.605,42.046,26,33,35,4,448.62,1.13,9,65.0,0.609,0.647,7,40.0,3
4.875,9,6.51,53.2,36.0,70.933,33,8,61.861,63.0,35.627,38.052,21,29,30,5,403.59,1.144,13,62.0,0.575,0.614,8,33.9,3
4.699,9,7.657,48.4,42.0,69.859,30,12,62.029,64.0,38.453,41.58,23,32,34,4,474.71,1.127,11,62.0,0.62,0.671,9,37.1,8
4.0,8,8.421,37.3,49.5,57.236,19,20,52.003,53.0,34.654,35.176,23,32,34,5,429.47,1.122,2,51.0,0.679,0.69,9,45.1,5
4.0,5,6.824,52.1,31.0,53.982,25,10,47.101,50.0,29.046,32.04,19,23,25,3,327.54,1.125,9,48.0,0.605,0.668,4,39.6,3
4.0,13,6.746,52.6,42.0,87.514,40,6,76.923,76.0,43.088,45.159,23,36,36,6,512.69,1.152,17,76.0,0.567,0.594,13,30.3,6
4.0,7,8.945,37.0,43.5,51.368,17,18,47.204,48.0,31.513,32.267,20,29,31,3,411.47,1.117,2,46.0,0.685,0.701,9,43.5,4
5.712,8,6.603,52.5,35.0,67.517,31,9,58.978,60.0,34.1,36.29,20,28,29,5,389.56,1.144,11,59.0,0.578,0.615,8,33.9,3
4.699,5,7.618,47.1,36.0,57.693,24,11,51.302,53.0,31.685,33.648,19,27,29,4,388.54,1.131,8,51.0,0.621,0.66,8,37.3,4
4.02,9,6.803,50.8,40.5,71.644,32,13,63.087,64.0,37.32,39.5,23,31,32,4,428.59,1.137,10,63.0,0.592,0.627,8,36.5,3
4.0,7,6.74,50.8,41.5,71.434,32,13,62.76,65.0,37.605,40.046,24,31,33,4,424.6,1.134,11,63.0,0.597,0.636,7,38.1,3
4.222,7,6.74,50.8,41.5,71.434,32,13,62.76,65.0,37.605,40.046,24,31,33,4,424.6,1.134,11,63.0,0.597,0.636,7,38.1,3
4.362,7,6.646,51.5,42.5,74.849,34,13,65.643,68.0,39.132,41.807,25,32,34,4,438.63,1.134,12,66.0,0.593,0.633,7,37.9,3
5.3,11,6.277,54.9,39.0,81.178,39,9,70.512,72.0,40.207,43.336,24,32,33,5,445.68,1.143,15,71.0,0.566,0.61,8,33.8,3
4.0,8,6.603,52.5,35.0,67.517,31,8,58.978,60.0,34.1,36.29,20,28,29,5,389.56,1.144,12,59.0,0.578,0.615,8,33.9,3
4.928,11,6.592,52.2,41.5,76.348,35,13,66.745,68.0,39.153,41.813,24,32,33,5,441.64,1.14,11,67.0,0.584,0.624,8,35.8,3
4.0,3,9.604,33.3,27.5,30.079,9,11,27.687,29.0,19.261,19.858,12,18,20,3,259.31,1.114,1,27.0,0.713,0.735,6,44.4,2
4.271,9,6.902,49.2,45.5,73.434,32,17,64.76,67.0,39.605,42.046,26,33,35,4,448.62,1.13,9,65.0,0.609,0.647,7,40.0,2
4.0,11,7.009,50.0,35.0,64.395,28,10,56.64,56.0,32.782,34.228,18,28,28,6,392.52,1.15,8,56.0,0.585,0.611,10,32.1,4
4.538,17,6.765,51.2,51.0,93.51,42,16,82.152,83.0,48.185,51.012,29,40,41,6,554.77,1.14,13,82.0,0.588,0.622,11,35.4,4
4.0,9,6.603,52.5,35.0,67.145,31,9,58.985,60.0,34.299,36.495,21,28,29,3,389.55,1.138,12,59.0,0.581,0.619,7,35.6,3
