pXC50,Mp,Si,nBT,nH,nAT,Sv,X.,Sp,Se,Mv,H.,nBO,nCsp3,AMW,SCBO,nSK,nAB,C.,Me,Mi,MW,N.,nB,nBM,nBR,nC,nCL,nCsp
5.005,0.695,57.069,55,22,51,33.444,0.0,35.432,51.091,0.656,43.1,33,6,7.972,43.5,29,21,43.1,1.002,1.119,406.55,7.8,0,21,0,22,0,0
4.67,0.677,32.993,30,12,29,18.81,0.0,19.625,29.673,0.649,41.4,18,2,8.701,23.5,17,11,34.5,1.023,1.138,252.33,13.8,0,11,0,10,0,0
4.301,0.723,37.488,37,14,34,23.204,0.0,24.58,33.505,0.682,41.2,23,1,7.598,32.5,20,17,52.9,0.985,1.103,258.34,5.9,0,18,0,18,0,0
5.367,0.67,69.654,65,27,62,39.862,0.0,41.529,62.949,0.643,43.5,38,9,8.026,48.0,35,12,40.3,1.015,1.123,497.62,4.8,0,15,0,25,0,1
5.911,0.667,39.451,36,16,35,22.062,0.0,23.352,35.447,0.63,45.7,20,4,8.011,27.5,19,11,37.1,1.013,1.127,280.38,5.7,0,13,0,13,0,0
4.301,0.699,37.202,35,12,33,22.524,0.0,23.08,34.0,0.683,36.4,23,3,9.223,30.5,21,11,39.4,1.03,1.127,304.36,12.1,0,13,0,13,0,0
4.371,0.823,22.876,23,6,21,16.185,0.0,17.284,21.451,0.771,28.6,17,0,11.158,23.5,15,11,47.6,1.021,1.089,234.32,9.5,0,12,0,10,0,0
4.301,0.769,27.131,25,8,24,17.431,8.3,18.466,24.844,0.726,33.3,17,2,14.5,23.0,16,10,37.5,1.035,1.13,348.01,16.7,0,11,2,9,0,0
4.301,0.679,69.85,67,27,62,40.133,0.0,42.108,61.876,0.647,43.5,40,10,7.51,52.5,35,17,43.5,0.998,1.127,465.61,11.3,0,20,0,27,0,1
4.301,0.725,44.371,43,16,40,27.249,0.0,29.0,40.524,0.681,40.0,27,4,9.012,36.0,24,12,42.5,1.013,1.109,360.49,5.0,0,15,0,17,0,0
4.301,0.702,38.986,37,15,35,23.225,0.0,24.586,34.607,0.664,42.9,22,0,7.467,31.0,20,18,48.6,0.989,1.114,261.35,8.6,0,18,0,17,0,0
5.787,0.738,45.466,43,15,41,28.937,4.9,30.278,42.204,0.706,36.6,28,3,10.056,38.0,26,12,43.9,1.029,1.109,412.31,2.4,0,16,0,18,2,0
4.399,0.679,54.037,51,21,48,31.026,2.1,32.574,48.611,0.646,43.8,30,7,8.094,37.0,27,12,41.7,1.013,1.126,388.5,4.2,0,13,0,20,0,0
4.301,0.688,53.356,51,23,48,30.574,0.0,33.006,46.981,0.637,47.9,28,4,6.822,38.5,25,17,47.9,0.979,1.112,327.48,4.2,0,19,0,23,0,0
4.301,0.712,43.289,40,10,38,28.04,10.5,27.068,40.676,0.738,26.3,30,1,10.809,40.5,28,11,47.4,1.07,1.139,410.75,5.3,0,16,0,18,1,0
4.552,0.703,37.793,35,14,34,22.636,0.0,23.898,34.975,0.666,41.2,21,4,9.247,30.0,20,6,38.2,1.029,1.112,314.41,0.0,0,12,0,13,0,0
4.301,0.684,24.657,23,10,22,14.15,0.0,15.057,21.738,0.643,45.5,13,1,7.192,18.5,12,11,45.5,0.988,1.121,158.22,9.1,0,11,0,10,0,0
4.301,0.678,31.575,31,11,28,18.601,0.0,18.972,28.494,0.664,39.3,20,4,8.188,27.0,17,14,42.9,1.018,1.128,229.26,10.7,0,14,0,12,0,0
4.301,0.638,65.813,60,28,58,35.266,0.0,36.978,58.32,0.608,48.3,32,8,7.113,41.0,30,16,37.9,1.006,1.135,412.54,6.9,0,17,0,22,0,0
4.301,0.656,24.865,23,11,22,13.413,0.0,14.438,21.68,0.61,50.0,12,2,6.692,17.0,11,10,40.9,0.985,1.13,147.22,9.1,0,10,0,9,0,0
5.143,0.738,23.751,22,4,21,16.132,0.0,15.489,22.793,0.768,19.0,18,0,12.011,27.5,17,11,38.1,1.085,1.131,252.23,19.0,0,15,0,8,0,0
4.301,0.707,63.638,59,25,57,37.295,1.8,40.313,57.833,0.654,43.9,34,7,9.516,45.0,32,12,38.6,1.015,1.116,542.42,1.8,0,17,1,22,0,0
4.566,0.712,42.196,41,15,38,25.94,0.0,27.04,37.934,0.683,39.5,26,1,7.931,37.5,23,21,50.0,0.998,1.11,301.37,7.9,0,22,0,19,0,0
4.301,0.669,30.704,28,11,27,17.503,0.0,18.074,27.898,0.648,40.7,17,5,8.937,21.5,16,5,33.3,1.033,1.137,241.3,11.1,0,7,0,9,0,0
4.301,0.729,39.906,38,15,36,24.412,0.0,26.233,35.683,0.678,41.7,23,1,8.151,32.5,21,17,47.2,0.991,1.109,293.42,8.3,0,18,0,17,0,0
4.33,0.683,45.737,44,18,41,26.687,0.0,28.012,40.927,0.651,43.9,26,4,7.473,34.0,23,12,46.3,0.998,1.116,306.39,4.9,0,14,0,19,0,0
4.301,0.697,44.993,41,20,40,25.018,2.5,27.87,39.563,0.625,50.0,21,6,8.859,26.5,20,11,37.5,0.989,1.125,354.35,7.5,0,11,1,15,0,0
4.809,0.736,40.039,38,13,36,25.217,0.0,26.483,36.858,0.7,36.1,25,1,9.651,33.5,23,11,41.7,1.024,1.112,347.45,8.3,0,14,0,15,0,0
5.895,0.764,27.628,27,8,25,18.414,4.0,19.091,25.553,0.737,32.0,19,0,9.812,26.0,17,12,52.0,1.022,1.105,245.29,4.0,0,13,0,13,0,0
4.301,0.667,32.704,30,10,29,19.724,0.0,19.33,30.375,0.68,34.5,20,1,9.043,27.0,19,6,41.4,1.047,1.128,262.24,6.9,0,10,0,12,0,0
4.301,0.657,39.239,37,17,35,21.665,0.0,23.006,34.825,0.619,48.6,20,5,6.952,25.5,18,11,42.9,0.995,1.121,243.33,2.9,0,11,0,15,0,0
4.301,0.683,45.325,41,15,40,26.787,0.0,27.301,41.313,0.67,37.5,26,2,9.035,35.0,25,12,37.5,1.033,1.133,361.42,12.5,0,15,0,15,0,0
4.301,0.629,45.737,42,18,40,24.632,0.0,25.171,40.902,0.616,45.0,24,8,7.659,32.0,22,6,35.0,1.023,1.143,306.36,10.0,0,11,0,14,0,0
4.301,0.674,46.943,44,20,42,26.499,0.0,28.319,41.483,0.631,47.6,24,4,6.962,32.5,22,17,45.2,0.988,1.118,292.41,4.8,0,17,0,19,0,0
5.824,0.807,38.344,38,12,35,25.711,0.0,28.256,35.178,0.735,34.3,26,0,10.212,37.5,23,21,45.7,1.005,1.096,357.42,8.6,0,22,0,16,0,0
5.648,0.736,46.242,45,16,42,29.347,0.0,30.898,42.12,0.699,38.1,29,1,8.582,40.0,26,18,50.0,1.003,1.101,360.46,4.8,0,20,0,21,0,0
4.597,0.726,24.672,23,9,22,15.025,9.1,15.983,22.495,0.683,40.9,14,3,9.913,17.0,13,6,40.9,1.022,1.121,218.09,4.5,0,6,0,9,2,0
4.301,0.698,36.697,35,14,33,21.918,0.0,23.034,32.833,0.664,42.4,21,1,7.585,29.5,19,17,48.5,0.995,1.112,250.32,6.1,0,17,0,16,0,0
4.537,0.633,50.611,48,24,45,26.466,0.0,28.5,44.585,0.588,53.3,24,12,6.409,27.0,21,6,40.0,0.991,1.125,288.42,0.0,0,6,0,18,0,0
4.466,0.742,36.541,35,12,33,23.195,0.0,24.477,33.756,0.703,36.4,23,3,9.71,30.5,21,11,42.4,1.023,1.107,320.42,6.1,0,13,0,14,0,0
4.301,0.696,49.495,46,18,44,29.279,2.3,30.603,44.618,0.665,40.9,28,3,8.442,37.0,26,12,43.2,1.014,1.125,371.47,6.8,0,15,0,19,0,0
4.301,0.649,68.727,63,31,61,36.869,0.0,39.586,60.33,0.604,50.8,32,10,6.649,41.0,30,6,41.0,0.989,1.127,405.59,4.9,0,12,0,25,0,0
4.301,0.694,50.444,47,20,45,29.202,0.0,31.216,44.88,0.649,44.4,27,4,7.833,36.5,25,17,42.2,0.997,1.121,352.5,8.9,0,18,0,19,0,0
4.301,0.628,57.05,51,26,50,29.358,2.0,31.375,50.214,0.587,52.0,25,10,7.118,29.0,24,6,34.0,1.004,1.141,355.91,6.0,0,7,0,17,1,0
4.482,0.688,57.771,55,25,52,33.101,0.0,35.768,50.865,0.637,48.1,30,4,6.798,41.5,27,17,48.1,0.978,1.111,353.52,3.8,0,20,0,25,0,0
4.301,0.669,71.022,65,29,63,39.76,0.0,42.176,63.171,0.631,46.0,36,8,7.614,47.5,34,17,39.7,1.003,1.127,479.66,7.9,0,20,0,25,0,0
4.301,0.65,36.112,33,16,32,19.445,0.0,20.796,31.716,0.608,50.0,17,4,6.76,22.5,16,11,40.6,0.991,1.129,216.31,6.3,0,11,0,13,0,0
4.301,0.621,43.071,39,20,38,22.17,0.0,23.603,37.978,0.583,52.6,19,7,6.588,23.0,18,6,36.8,0.999,1.133,250.35,2.6,0,7,0,14,0,0
4.301,0.702,46.526,45,19,42,27.521,0.0,29.483,41.214,0.655,45.2,26,2,7.129,36.5,23,17,50.0,0.981,1.108,299.42,4.8,0,19,0,21,0,0
4.949,0.644,37.322,34,16,33,20.16,0.0,21.25,33.043,0.611,48.5,18,5,7.04,23.0,17,6,39.4,1.001,1.131,232.31,6.1,0,8,0,13,0,0
4.301,0.638,58.062,53,25,51,30.805,0.0,32.552,51.0,0.604,49.0,28,8,6.97,36.5,26,15,37.3,1.0,1.138,355.49,9.8,0,16,0,19,0,0
4.301,0.696,48.238,45,18,43,28.39,0.0,29.909,43.323,0.66,41.9,27,4,8.243,36.5,25,11,41.9,1.008,1.122,354.47,9.3,0,15,0,18,0,0
4.371,0.764,45.952,46,16,42,29.819,0.0,32.091,41.869,0.71,38.1,30,3,8.965,40.5,26,17,50.0,0.997,1.094,376.53,4.8,0,19,0,21,0,0
4.301,0.695,44.661,42,16,40,26.777,0.0,27.807,40.774,0.669,40.0,26,2,8.61,34.5,24,17,42.5,1.019,1.117,344.42,5.0,0,17,0,17,0,0
4.636,0.667,52.989,49,21,47,29.852,0.0,31.335,47.643,0.635,44.7,28,8,7.989,35.0,26,6,38.3,1.014,1.127,375.49,6.4,0,9,0,18,0,1
4.301,0.66,57.113,54,23,51,32.39,0.0,33.654,51.458,0.635,45.1,31,8,7.48,40.5,28,15,43.1,1.009,1.12,381.46,2.0,0,17,0,22,0,0
4.301,0.665,22.741,21,9,20,12.645,0.0,13.301,19.956,0.632,45.0,12,1,7.36,17.0,11,10,40.0,0.998,1.137,147.2,15.0,0,10,0,8,0,0
4.301,0.757,39.273,39,11,36,26.848,2.8,27.244,36.935,0.746,30.6,28,1,9.743,39.5,25,17,55.6,1.026,1.091,350.76,0.0,0,20,0,20,1,0
4.301,0.692,43.239,41,17,39,25.665,0.0,27.006,38.825,0.658,43.6,24,2,7.471,33.5,22,17,48.7,0.996,1.109,291.37,2.6,0,18,0,19,0,0
4.301,0.644,72.438,66,30,64,39.508,0.0,41.193,64.531,0.617,46.9,36,8,7.29,46.0,34,12,39.1,1.008,1.132,466.59,6.3,0,16,0,25,0,0
4.301,0.677,39.614,36,16,35,22.148,0.0,23.693,35.113,0.633,45.7,20,3,7.897,26.5,19,11,37.1,1.003,1.132,276.4,11.4,0,12,0,13,0,0
4.7,0.712,50.206,47,17,45,30.972,2.2,32.051,45.843,0.688,37.8,30,0,8.81,43.0,28,18,46.7,1.019,1.116,396.47,4.4,0,22,0,21,0,0
4.301,0.729,42.116,40,15,38,26.127,0.0,27.688,38.011,0.688,39.5,25,1,8.459,35.5,23,17,47.4,1.0,1.108,321.43,7.9,0,19,0,18,0,0
4.301,0.662,48.445,45,19,43,27.423,0.0,28.472,43.356,0.638,44.2,26,3,7.567,35.0,24,16,41.9,1.008,1.127,325.4,7.0,0,17,0,18,0,0
4.301,0.707,51.202,49,20,46,30.303,0.0,32.523,46.291,0.659,43.5,29,6,8.447,38.0,26,12,41.3,1.006,1.113,388.55,4.3,0,15,0,19,0,0
4.301,0.635,39.443,36,20,35,20.026,0.0,22.239,33.996,0.572,57.1,16,7,5.781,20.0,15,6,40.0,0.971,1.127,202.35,2.9,0,7,0,14,0,0
4.301,0.697,61.488,59,22,55,36.873,0.0,38.341,55.745,0.67,40.0,37,5,8.41,49.0,33,22,43.6,1.014,1.118,462.57,7.3,0,23,0,24,0,0
4.301,0.697,39.408,37,14,35,23.336,0.0,24.387,35.556,0.667,40.0,23,4,8.64,30.5,21,11,40.0,1.016,1.126,302.39,11.4,0,13,0,14,0,0
4.301,0.663,33.993,31,11,30,20.031,0.0,19.881,31.149,0.668,36.7,20,2,8.709,28.5,19,11,40.0,1.038,1.133,261.26,10.0,0,14,0,12,0,0
4.301,0.613,56.732,51,28,50,28.278,0.0,30.648,49.512,0.566,56.0,23,11,6.129,27.0,22,6,36.0,0.99,1.135,306.47,2.0,0,7,0,18,0,0
4.421,0.638,45.069,41,21,40,23.719,0.0,25.529,39.592,0.593,52.5,20,7,6.484,25.0,19,6,40.0,0.99,1.127,259.38,2.5,0,8,0,16,0,0
4.301,0.72,40.199,38,14,36,24.622,0.0,25.932,36.229,0.684,38.9,24,1,8.622,33.5,22,17,44.4,1.006,1.117,310.41,11.1,0,18,0,16,0,0
4.301,0.663,46.239,43,17,41,26.611,0.0,27.165,41.8,0.649,41.5,26,3,7.985,35.5,24,15,41.5,1.02,1.128,327.37,7.3,0,17,0,17,0,0
4.301,0.662,50.651,48,21,45,28.235,0.0,29.779,44.912,0.627,46.7,27,7,7.187,36.0,24,12,42.2,0.998,1.126,323.43,6.7,0,15,0,19,0,0
4.301,0.736,50.788,49,17,46,32.227,0.0,33.835,46.793,0.701,37.0,32,2,9.251,45.5,29,17,45.7,1.017,1.104,425.54,4.3,0,22,0,21,0,0
4.413,0.646,41.658,38,17,37,23.095,0.0,23.915,37.48,0.624,45.9,21,4,7.441,27.5,20,11,40.5,1.013,1.126,275.33,2.7,0,12,0,15,0,0
4.301,0.706,46.784,44,19,42,27.524,2.4,29.671,41.712,0.655,45.2,25,4,8.84,33.5,23,17,45.2,0.993,1.114,371.3,4.8,0,17,1,19,0,0
4.301,0.624,26.284,23,11,23,13.843,0.0,14.347,23.334,0.602,47.8,12,3,7.27,17.0,12,6,34.8,1.015,1.143,167.21,8.7,0,8,0,8,0,0
5.389,0.658,47.595,44,20,42,26.063,2.4,27.637,42.236,0.621,47.6,24,7,7.663,29.5,22,11,38.1,1.006,1.133,321.84,7.1,0,11,0,16,1,0
4.301,0.688,31.282,30,12,28,18.392,0.0,19.273,27.949,0.657,42.9,18,2,7.581,24.5,16,11,46.4,0.998,1.117,212.27,7.1,0,12,0,13,0,0
4.301,0.69,68.527,65,27,61,39.42,0.0,42.063,61.363,0.646,44.3,38,9,8.159,49.5,34,17,39.3,1.006,1.123,497.7,8.2,0,20,0,24,0,0
4.301,0.686,57.358,54,23,51,32.75,0.0,34.983,50.865,0.642,45.1,31,6,7.717,42.0,28,20,41.2,0.997,1.125,393.56,9.8,0,21,0,21,0,0
4.579,0.665,42.16,40,17,37,23.228,2.7,24.614,37.476,0.628,45.9,23,11,9.223,27.5,20,5,35.1,1.013,1.139,341.24,10.8,0,7,1,13,0,0
4.424,0.658,56.342,52,25,50,30.622,2.0,32.915,49.785,0.612,50.0,27,8,7.218,33.0,25,12,40.0,0.996,1.127,360.92,4.0,0,12,0,20,1,0
4.301,0.621,31.827,28,13,28,17.041,0.0,17.392,28.713,0.609,46.4,15,3,7.544,19.0,15,6,35.7,1.025,1.137,211.24,3.6,0,7,0,10,0,0
4.301,0.712,46.917,43,17,42,28.329,2.4,29.921,42.887,0.674,40.5,26,3,10.127,34.0,25,12,40.5,1.021,1.117,425.33,4.8,0,14,1,17,0,0
4.301,0.633,55.773,52,24,49,29.498,0.0,31.0,49.225,0.602,49.0,28,12,7.03,36.0,25,6,36.7,1.005,1.138,344.46,8.2,0,11,0,18,0,0
4.301,0.691,48.03,45,17,43,28.896,0.0,29.71,43.473,0.672,39.5,28,1,8.079,39.5,26,17,46.5,1.011,1.117,347.4,7.0,0,20,0,20,0,0
4.301,0.654,66.228,62,30,59,35.848,0.0,38.58,58.229,0.608,50.8,32,9,6.62,40.5,29,17,42.4,0.987,1.123,390.57,3.4,0,17,0,25,0,0
4.301,0.812,24.177,23,7,22,16.686,9.1,17.869,22.687,0.758,31.8,16,1,11.825,21.0,15,6,45.5,1.031,1.099,260.15,4.5,0,8,0,10,2,0
4.0,0.694,32.328,31,13,29,18.799,0.0,20.131,29.134,0.648,44.8,18,5,8.115,22.0,16,6,41.4,1.005,1.115,235.33,3.4,0,7,0,12,0,0
4.301,0.641,65.441,61,28,58,35.465,0.0,37.182,58.327,0.611,48.3,33,10,7.113,41.5,30,15,39.7,1.006,1.128,412.53,3.4,0,16,0,23,0,0
4.301,0.689,44.528,43,18,40,25.972,0.0,27.557,39.6,0.649,45.0,25,4,7.26,33.5,22,17,47.5,0.99,1.113,290.39,5.0,0,17,0,19,0,0
4.301,0.75,47.85,46,14,43,31.185,2.3,32.25,43.982,0.725,32.6,32,0,9.858,44.5,29,17,46.5,1.023,1.113,423.91,11.6,0,21,0,20,1,0
4.301,0.686,72.859,68,30,65,41.453,0.0,44.58,65.029,0.638,46.2,38,7,7.858,50.0,35,18,40.0,1.0,1.121,510.74,6.2,0,21,0,26,0,0
4.425,0.818,21.087,20,6,19,14.33,5.3,15.54,19.378,0.754,31.6,14,0,13.481,19.5,13,11,42.1,1.02,1.11,256.14,15.8,0,11,1,8,0,0
4.623,0.711,31.202,30,12,28,18.579,0.0,19.921,28.025,0.664,42.9,18,3,8.297,23.5,16,11,42.9,1.001,1.114,232.33,7.1,0,11,0,12,0,0
4.301,0.647,46.9,43,18,41,25.719,0.0,26.512,41.567,0.627,43.9,25,6,7.668,32.5,23,11,36.6,1.014,1.144,314.39,14.6,0,12,0,15,0,1
4.301,0.792,21.189,20,6,19,14.132,5.3,15.046,19.473,0.744,31.6,14,0,11.142,19.5,13,11,42.1,1.025,1.115,211.69,15.8,0,11,0,8,1,0
4.868,0.735,46.368,45,18,42,28.346,0.0,30.853,41.753,0.675,42.9,27,5,8.441,35.5,24,11,45.2,0.994,1.104,354.53,4.8,0,14,0,19,0,0
4.803,0.684,51.445,48,19,46,30.423,0.0,31.472,46.356,0.661,41.3,29,3,7.857,41.0,27,18,45.7,1.008,1.118,361.43,6.5,0,21,0,21,0,0
4.301,0.7,52.156,50,18,47,32.116,0.0,32.921,47.582,0.683,38.3,32,1,8.222,44.0,29,18,48.9,1.012,1.11,386.43,4.3,0,21,0,23,0,0
5.259,0.731,34.119,33,13,31,21.084,0.0,22.676,30.807,0.68,41.9,20,2,8.237,27.0,18,12,48.4,0.994,1.101,255.36,3.2,0,13,0,15,0,0
4.377,0.644,56.401,54,24,50,30.697,0.0,32.205,50.232,0.614,48.0,30,11,7.129,36.0,26,10,40.0,1.005,1.128,356.46,4.0,0,11,0,20,0,0
4.301,0.713,42.266,40,15,38,25.988,2.6,27.108,38.367,0.684,39.5,25,2,8.6,34.0,23,12,47.4,1.01,1.112,326.8,5.3,0,15,0,18,1,0
4.47,0.765,33.209,31,9,30,22.163,0.0,22.96,31.091,0.739,30.0,22,2,10.646,32.5,21,11,43.3,1.036,1.107,319.39,10.0,0,15,0,13,0,1
4.597,0.865,20.29,19,3,18,15.065,16.7,15.563,19.473,0.837,16.7,16,0,14.707,21.0,15,6,44.4,1.082,1.127,264.72,11.1,0,8,0,8,1,0
4.301,0.788,34.462,33,10,31,23.035,6.5,24.432,31.665,0.743,32.3,23,0,10.879,32.0,21,16,45.2,1.021,1.112,337.25,12.9,0,17,0,14,2,0
4.301,0.707,35.993,34,12,32,21.81,0.0,22.625,32.673,0.682,37.5,22,3,9.011,29.5,20,11,40.6,1.021,1.125,288.36,12.5,0,13,0,13,0,0
4.301,0.7,61.491,59,20,55,37.776,0.0,38.489,56.516,0.687,36.4,39,4,8.955,53.0,35,22,43.6,1.028,1.118,492.55,7.3,0,25,0,24,0,0
5.157,0.715,35.495,34,10,32,23.009,0.0,22.875,33.047,0.719,31.3,24,0,9.196,34.5,22,17,50.0,1.033,1.109,294.28,6.3,0,19,0,16,0,0
4.301,0.664,46.84,42,19,41,25.644,2.4,27.222,41.12,0.625,46.3,23,4,7.777,30.0,22,12,36.6,1.003,1.142,318.85,14.6,0,13,0,15,1,0
4.301,0.728,34.62,32,13,31,20.787,0.0,22.574,31.204,0.671,41.9,19,2,9.014,25.0,18,6,38.7,1.007,1.117,279.42,9.7,0,9,0,12,0,0
4.301,0.726,43.774,41,11,39,28.496,2.6,28.301,41.306,0.731,28.2,30,2,10.842,41.5,28,11,41.0,1.059,1.122,422.83,10.3,0,17,0,16,1,0
4.301,0.674,28.827,28,6,25,17.988,0.0,16.852,26.92,0.72,24.0,22,2,10.488,33.0,19,18,36.0,1.077,1.153,262.21,24.0,0,20,0,9,0,0
4.301,0.647,49.106,45,20,43,26.531,0.0,27.819,43.123,0.617,46.5,25,7,7.266,32.5,23,11,37.2,1.003,1.142,312.42,14.0,0,12,0,16,0,1
4.301,0.72,47.614,47,15,43,30.369,0.0,30.949,43.589,0.706,34.9,32,1,8.591,45.0,28,16,51.2,1.014,1.107,369.4,7.0,0,21,0,22,0,0
4.301,0.638,41.113,38,16,36,22.391,0.0,22.955,36.691,0.622,44.4,22,7,7.676,30.0,20,6,36.1,1.019,1.142,276.33,11.1,0,11,0,13,0,0
4.301,0.677,54.986,52,23,49,30.949,0.0,33.188,48.872,0.632,46.9,29,7,7.541,37.0,26,16,40.8,0.997,1.122,369.53,6.1,0,16,0,20,0,0
4.301,0.709,34.575,33,11,31,21.601,0.0,21.972,31.494,0.697,35.5,22,1,8.558,32.5,20,15,48.4,1.016,1.115,265.29,9.7,0,17,0,15,0,1
4.301,0.681,43.528,41,18,39,24.972,0.0,26.557,38.6,0.64,46.2,23,3,7.138,31.5,21,17,46.2,0.99,1.116,278.38,5.1,0,17,0,18,0,0
4.301,0.739,39.04,37,12,35,24.983,2.9,25.864,35.64,0.714,34.3,25,1,9.297,35.0,23,18,48.6,1.018,1.115,325.39,8.6,0,19,0,17,0,0
4.301,0.63,41.943,38,20,37,21.499,0.0,23.319,36.483,0.581,54.1,18,7,6.28,22.0,17,6,37.8,0.986,1.134,232.36,5.4,0,7,0,14,0,0
4.404,0.655,36.953,34,14,33,21.262,0.0,21.602,33.822,0.644,42.4,20,2,7.948,26.0,19,12,42.4,1.025,1.12,262.28,0.0,0,12,0,14,0,0
4.301,0.788,32.212,31,8,29,21.845,0.0,22.852,30.386,0.753,27.6,23,1,11.739,30.5,21,5,37.9,1.048,1.111,340.44,13.8,0,10,0,11,0,0
4.301,0.694,42.494,38,12,37,25.458,0.0,25.682,39.044,0.688,32.4,26,3,10.391,34.0,25,0,29.7,1.055,1.148,384.45,21.6,0,8,0,11,0,0
5.347,0.649,44.243,40,15,39,25.514,0.0,25.313,40.571,0.654,38.5,25,2,8.547,33.0,24,12,38.5,1.04,1.134,333.33,7.7,0,14,0,15,0,0
4.301,0.667,58.568,55,22,52,33.686,0.0,34.693,52.669,0.648,42.3,33,6,7.817,45.0,30,20,42.3,1.013,1.126,406.48,7.7,0,22,0,22,0,0
4.301,0.653,74.889,72,31,66,40.901,0.0,43.086,65.97,0.62,47.0,41,16,7.176,49.5,35,11,39.4,1.0,1.135,473.64,10.6,0,13,0,26,0,1
4.301,0.689,49.574,45,20,44,28.104,0.0,30.318,44.283,0.639,45.5,25,6,8.285,32.5,24,11,36.4,1.006,1.127,364.54,9.1,0,13,0,16,0,0
5.219,0.661,53.694,51,23,48,29.961,0.0,31.745,47.803,0.624,47.9,28,8,7.03,35.0,25,12,43.8,0.996,1.119,337.45,2.1,0,13,0,21,0,0
4.301,0.685,42.685,40,15,38,25.417,2.6,26.017,39.022,0.669,39.5,25,3,8.81,32.0,23,12,42.1,1.027,1.123,334.78,5.3,0,13,0,16,1,0
4.301,0.665,47.234,44,20,42,26.257,0.0,27.944,41.643,0.625,47.6,24,4,7.01,33.0,22,16,42.9,0.992,1.125,294.41,7.1,0,17,0,18,0,0
4.301,0.635,34.196,31,15,30,17.94,0.0,19.04,29.934,0.598,50.0,16,4,6.843,20.0,15,6,36.7,0.998,1.14,205.29,10.0,0,7,0,11,0,0
4.645,0.693,40.116,38,14,36,24.348,0.0,24.943,36.487,0.676,38.9,24,2,8.176,34.0,22,12,47.2,1.014,1.114,294.33,5.6,0,16,0,17,0,0
4.301,0.596,57.311,51,29,50,27.342,0.0,29.824,49.447,0.547,58.0,22,14,5.91,24.0,21,0,32.0,0.989,1.146,295.48,6.0,0,2,0,16,0,0
4.301,0.661,63.022,58,29,56,33.815,0.0,37.017,55.196,0.604,51.8,29,9,6.85,36.0,27,12,39.3,0.986,1.125,383.61,5.4,0,13,0,22,0,0
4.887,0.732,50.657,50,18,46,31.874,0.0,33.659,46.003,0.693,39.1,32,3,8.402,44.0,28,22,50.0,1.0,1.101,386.5,4.3,0,23,0,23,0,0
4.301,0.712,34.704,33,11,31,21.503,0.0,22.074,31.898,0.694,35.5,22,1,9.334,30.0,20,16,41.9,1.029,1.119,289.34,9.7,0,16,0,13,0,0
4.301,0.733,39.329,39,12,36,26.02,0.0,26.386,36.611,0.723,33.3,27,1,8.787,38.5,24,17,55.6,1.017,1.092,316.32,0.0,0,20,0,20,0,0
4.301,0.628,36.318,33,18,32,18.257,0.0,20.103,31.272,0.571,56.3,15,6,5.947,18.0,14,6,37.5,0.977,1.135,190.32,6.3,0,6,0,12,0,0
4.698,0.69,53.863,52,20,48,31.632,0.0,33.125,48.534,0.659,41.7,32,6,8.261,44.0,28,20,41.7,1.011,1.122,396.51,8.3,0,22,0,20,0,0
4.301,0.664,54.228,50,23,48,29.848,0.0,31.881,47.461,0.622,47.9,27,6,6.947,36.0,25,12,41.7,0.989,1.13,333.48,10.4,0,14,0,20,0,1
4.301,0.618,52.107,47,26,46,26.036,0.0,28.432,45.301,0.566,56.5,21,10,6.01,25.0,20,6,37.0,0.985,1.133,276.44,2.2,0,7,0,17,0,0
4.301,0.678,51.487,50,22,46,28.928,0.0,31.182,45.771,0.629,47.8,28,11,7.446,33.0,24,6,41.3,0.995,1.119,342.5,4.3,0,8,0,19,0,0
4.301,0.688,48.026,45,19,43,27.993,0.0,29.563,42.702,0.651,44.2,26,2,7.382,36.5,24,17,46.5,0.993,1.117,317.42,7.0,0,19,0,20,0,0
4.301,0.665,51.492,48,19,46,30.051,0.0,30.585,47.018,0.653,41.3,29,5,8.03,39.5,27,15,43.5,1.022,1.119,369.4,2.2,0,18,0,20,0,0
4.852,0.676,33.78,32,13,30,19.413,0.0,20.279,30.051,0.647,43.3,19,4,7.576,25.0,17,6,43.3,1.002,1.126,227.29,10.0,0,9,0,13,0,0
4.301,0.65,53.066,49,23,47,28.762,0.0,30.54,46.796,0.612,48.9,26,6,6.924,33.0,24,12,40.4,0.996,1.129,325.45,6.4,0,13,0,19,0,0
4.301,0.689,45.82,43,17,41,27.181,0.0,28.256,41.145,0.663,41.5,26,1,7.79,37.0,24,16,46.3,1.004,1.118,319.39,7.3,0,19,0,19,0,0
4.857,0.679,28.076,26,10,25,16.58,0.0,16.966,25.393,0.663,40.0,16,1,8.089,23.5,15,11,44.0,1.016,1.123,202.23,8.0,0,13,0,11,0,0
4.301,0.722,51.196,50,15,46,32.885,0.0,33.199,46.909,0.715,32.6,35,1,8.901,51.0,31,26,50.0,1.02,1.113,409.43,10.9,0,28,0,23,0,1
4.579,0.668,40.163,39,14,36,23.976,0.0,24.057,37.149,0.666,38.9,25,4,8.397,31.0,22,12,44.4,1.032,1.116,302.3,0.0,0,12,0,16,0,0
4.842,0.725,31.701,31,12,29,19.876,0.0,21.023,28.629,0.685,41.4,19,0,7.596,27.5,17,17,55.2,0.987,1.093,220.28,0.0,0,17,0,16,0,0
