pXC50,Eig05_EA,piPC10,P_VSA_e_2,SM13_AEA.bo.,ATS5i,ATS6p,CATS2D_08_AL,S2K,ATSC6v,nCar,P_VSA_p_3,P_VSA_v_3,ATS7i,CIC0,SpMax8_Bh.i.,ATS3p,ATS4i,ATS4p,ATSC4m,P_VSA_e_1,P_VSA_i_2,P_VSA_m_1,P_VSA_p_1,P_VSA_s_2,P_VSA_v_1,ATSC7i,ATSC5v,ATSC6p,ATSC8m,ATSC8p,ATSC8v,ATSC1v,P_VSA_LogP_7,P_VSA_MR_1,Eig05_AEA.ri.,Eig05_EA.ri.,ATSC3v,ATSC4p,ATSC5p,ATS5p,ATSC4v,SpMin3_Bh.p.,NsssN,Chi1_EA.dm.,GGI8,SpMin7_Bh.m.,Hypnotic.80,PHI,ATSC3p,GATS2p,P_VSA_i_3,ATS6m,Eig02_EA.dm.,MATS2p,MATS1s,ATSC3m,SpMin3_Bh.i.,C.006,Eig03_EA.dm.,ATSC2v,Eig04_EA.dm.,Eig04_AEA.dm.
9.252,2.553,8.602,133.585,2.553,5.506,4.482,12,10.331,21.83,15,133.585,133.585,5.497,4.499,3.206,4.437,5.492,4.47,43.067,353.133,133.585,353.133,368.093,353.133,353.133,2.358,22.63,14.944,48.011,16.077,23.881,8.109,341.362,323.337,3.517,2.464,19.429,15.386,15.073,4.462,22.102,1.938,2,46.692,0.48,1.545,0,6.766,13.601,0.943,378.278,4.275,0.8,0.057,0.026,39.339,1.76,6,0.68,14.143,0.563,2.987
9.569,2.289,7.552,155.026,2.289,5.424,4.431,6,9.011,22.173,12,155.026,155.026,5.35,4.473,3.198,4.436,5.458,4.446,49.908,353.133,122.806,353.133,353.133,353.133,353.133,1.966,23.035,16.583,40.148,14.554,20.565,8.348,385.353,329.591,3.241,2.181,20.286,17.567,16.529,4.426,23.35,1.943,2,34.353,0.409,1.509,0,6.406,15.34,0.813,378.278,4.145,1.909,0.179,-0.024,40.704,1.683,5,0.916,14.298,0.8,3.193
9.699,2.289,7.552,155.026,2.289,5.424,4.431,6,9.011,22.173,12,155.026,155.026,5.35,4.473,3.198,4.436,5.458,4.446,49.908,353.133,122.806,353.133,353.133,353.133,353.133,1.966,23.035,16.583,40.148,14.554,20.565,8.348,385.353,329.591,3.241,2.181,20.286,17.567,16.529,4.426,23.35,1.943,2,34.353,0.409,1.509,0,6.406,15.34,0.813,378.278,4.145,1.909,0.179,-0.024,40.704,1.683,5,0.916,14.298,0.8,3.193
8.721,2.242,8.754,145.923,2.242,5.198,4.224,8,7.513,15.752,18,145.923,145.923,5.111,4.271,3.002,4.255,5.23,4.276,32.467,270.735,145.923,270.735,285.695,270.735,270.735,1.75,17.791,11.402,31.074,11.898,16.594,6.211,223.651,238.611,3.171,2.073,15.336,13.03,12.411,4.247,18.145,1.964,1,21.641,0.279,1.46,0,4.709,11.393,0.848,270.735,4.002,0.0,0.101,0.015,27.445,1.771,2,0.0,10.552,0.0,2.79
9.456,2.256,8.012,141.289,2.256,5.294,4.323,9,7.415,17.951,13,141.289,141.289,5.239,4.188,3.128,4.331,5.267,4.355,41.64,282.506,109.07,282.506,282.506,282.506,282.506,1.831,19.238,13.402,31.448,10.15,14.799,6.491,314.726,261.292,3.19,2.129,15.909,14.99,13.809,4.328,19.72,1.93,2,23.709,0.3,1.494,0,4.772,12.265,0.728,282.506,4.151,0.916,0.228,0.19,32.624,1.676,4,0.8,10.971,0.172,2.898
9.444,2.247,8.016,141.289,2.247,5.324,4.33,9,7.415,18.647,13,141.289,141.289,5.222,4.188,3.105,4.345,5.296,4.376,42.657,282.506,109.07,282.506,282.506,282.506,282.506,1.843,19.916,13.856,34.713,10.864,15.433,6.491,314.726,258.964,3.166,2.068,16.224,15.144,14.288,4.353,19.989,1.939,2,23.709,0.381,1.493,0,4.772,12.518,0.721,282.506,4.151,0.916,0.24,0.267,32.552,1.678,4,0.8,11.06,0.172,3.009
9.495,2.247,8.016,160.242,2.247,5.391,4.384,6,7.491,20.265,15,160.242,160.242,5.254,4.338,3.173,4.389,5.306,4.432,42.991,306.049,128.022,306.049,306.049,306.049,306.049,1.897,22.183,15.187,36.774,13.103,18.007,7.101,326.497,282.506,3.165,2.065,17.349,16.589,15.997,4.411,21.785,1.94,2,23.709,0.381,1.513,0,4.853,13.23,0.734,306.049,4.138,0.916,0.211,0.112,34.842,1.682,4,0.8,11.91,0.172,3.009
9.602,2.256,8.012,160.242,2.256,5.342,4.378,6,7.491,19.591,15,160.242,160.242,5.271,4.338,3.16,4.382,5.299,4.407,42.814,306.049,128.022,306.049,306.049,306.049,306.049,1.89,21.1,14.723,33.667,12.383,17.368,7.101,326.497,282.506,3.183,2.1,17.348,16.386,15.238,4.382,21.511,1.931,2,23.709,0.3,1.505,0,4.853,13.227,0.734,306.049,4.138,0.916,0.211,0.086,34.89,1.679,4,0.8,11.91,0.172,2.898
9.481,2.323,8.106,120.641,2.323,5.358,4.308,6,8.812,18.752,14,159.79,159.79,5.291,4.215,3.069,4.319,5.322,4.325,38.433,294.278,120.641,294.278,309.238,294.278,294.278,1.793,20.092,13.614,44.723,13.4,18.309,6.873,282.506,262.153,3.25,2.151,17.67,14.147,13.932,4.307,19.278,1.907,2,32.621,0.348,1.513,0,5.914,13.073,0.895,358.571,4.129,0.8,0.043,-0.001,37.025,1.745,6,0.563,12.187,0.075,2.918
4.76,1.781,6.313,55.221,1.781,4.949,3.818,0,5.502,12.595,6,55.221,55.221,4.868,3.588,2.717,3.882,4.821,3.911,24.273,188.338,49.414,188.338,188.338,188.338,188.338,0.885,12.667,10.015,19.816,4.781,6.599,4.954,188.338,188.338,2.758,1.736,11.317,8.621,9.922,3.945,11.417,1.682,0,16.289,0.148,1.073,1,3.843,8.337,1.185,275.334,3.64,0.368,-0.098,-0.145,25.063,1.49,2,0.265,9.132,0.0,2.562
5.018,0.605,0.0,59.392,0.605,4.042,2.412,0,3.51,3.896,6,59.392,59.392,3.307,3.193,1.802,3.157,4.309,3.006,13.172,117.711,59.392,117.711,117.711,117.711,117.711,0.137,4.891,2.463,0.97,0.301,0.498,3.212,117.711,82.398,1.524,0.55,6.375,4.135,3.188,2.774,6.091,1.269,0,8.174,0.0,0.52,0,2.629,4.311,1.196,160.394,1.577,0.0,-0.082,-0.285,12.64,0.933,0,0.0,5.192,0.0,1.0
6.58,0.286,0.0,33.72,0.286,4.02,2.129,0,3.644,2.618,6,33.72,33.72,3.229,2.905,2.06,3.07,4.168,2.903,12.597,70.627,33.72,70.627,70.627,70.627,70.627,0.106,4.265,1.599,2.45,0.356,0.697,2.511,70.627,70.627,1.196,0.258,5.297,3.412,2.618,2.607,4.949,1.234,0,9.991,0.0,0.613,0,2.78,3.841,1.277,198.677,2.117,0.0,-0.087,-0.318,11.998,0.84,1,0.0,4.17,0.0,1.611
9.081,2.203,7.545,109.418,2.203,5.106,3.938,3,7.852,12.504,12,109.418,109.418,5.066,3.93,3.198,3.977,5.018,3.995,26.205,223.651,109.418,223.651,223.651,223.651,223.651,1.228,11.803,8.721,23.665,6.099,9.415,5.073,211.88,223.651,3.157,2.094,10.295,8.186,8.518,3.972,11.24,1.696,2,32.388,0.231,1.437,0,5.283,7.489,0.773,280.303,3.785,0.86,0.205,-0.069,23.145,1.473,4,0.86,8.279,0.8,2.778
5.35,1.618,6.687,78.581,1.618,4.84,3.69,0,5.133,11.168,9,78.581,78.581,4.641,3.501,2.66,3.836,4.737,3.873,21.664,176.567,72.773,176.567,176.567,176.567,176.567,0.788,11.623,8.938,15.937,4.105,5.392,4.493,153.024,176.567,2.618,1.618,10.545,8.467,9.189,3.871,11.088,1.71,0,14.834,0.117,1.094,1,3.465,8.057,1.163,220.879,3.528,0.0,-0.104,-0.136,21.759,1.507,0,0.0,8.331,0.0,2.166
7.854,2.196,7.475,150.015,2.196,5.373,4.136,7,7.944,17.409,14,150.015,150.015,5.144,4.24,3.132,4.417,5.367,4.41,42.07,282.506,118.738,282.506,282.506,282.506,282.506,1.503,19.249,13.213,31.491,10.814,13.294,6.816,313.784,258.964,3.156,2.102,17.675,15.931,15.028,4.28,19.978,1.917,2,32.482,0.315,1.501,0,5.05,13.93,0.787,343.796,3.972,1.058,0.172,0.005,35.964,1.689,4,0.86,12.466,0.8,3.083
8.194,2.252,8.753,135.367,2.252,5.169,4.219,9,7.309,16.087,16,135.367,135.367,5.163,4.258,3.084,4.227,5.243,4.255,33.114,282.506,135.367,282.506,297.467,282.506,282.506,1.795,17.12,11.521,31.717,10.638,15.409,6.393,258.964,252.71,3.192,2.115,15.076,12.375,11.813,4.228,17.627,1.918,1,24.141,0.356,1.464,0,4.633,10.949,0.825,282.506,4.018,0.0,0.136,0.002,28.199,1.745,2,0.0,10.833,0.0,2.818
8.175,2.376,7.659,146.332,2.376,5.441,4.202,5,8.686,18.48,13,146.332,146.332,5.216,4.238,3.259,4.422,5.395,4.455,42.319,294.278,115.054,294.278,294.278,294.278,294.278,1.597,20.792,13.698,35.011,11.139,13.504,6.917,313.784,270.735,3.318,2.227,16.929,16.033,16.307,4.361,20.01,1.916,2,37.133,0.315,1.549,0,5.648,13.423,0.74,366.567,4.101,1.058,0.234,0.009,36.304,1.69,4,0.86,12.387,0.86,3.215
8.334,2.196,7.475,139.681,2.196,5.359,4.112,6,7.908,16.935,13,139.681,139.681,5.119,4.158,3.113,4.393,5.353,4.384,41.443,270.735,108.404,270.735,270.735,270.735,270.735,1.454,18.592,12.769,31.561,10.475,12.877,6.45,278.471,247.193,3.153,2.096,16.767,15.307,14.364,4.25,19.276,1.908,2,32.482,0.315,1.5,0,5.012,13.323,0.764,332.025,3.981,1.058,0.196,0.014,34.519,1.686,4,0.86,11.755,0.8,3.083
7.903,2.196,7.475,129.348,2.196,5.346,4.096,5,7.873,16.799,12,129.348,129.348,5.133,4.081,3.127,4.346,5.319,4.353,38.509,258.964,98.07,258.964,258.964,258.964,258.964,1.451,18.202,12.503,30.277,9.873,11.953,6.085,266.7,235.422,3.147,2.086,15.642,14.603,14.122,4.235,18.292,1.897,2,32.482,0.315,1.497,0,4.975,12.245,0.802,320.254,3.971,1.058,0.158,0.014,32.827,1.665,4,0.86,11.022,0.8,3.083
7.81,2.196,7.475,129.348,2.196,5.346,4.088,5,7.873,16.489,12,129.348,129.348,5.109,4.081,3.113,4.362,5.34,4.36,40.701,258.964,98.07,258.964,258.964,258.964,258.964,1.425,18.035,12.325,30.961,10.002,12.205,6.085,266.7,235.422,3.149,2.09,15.906,14.838,13.899,4.226,18.627,1.896,2,32.482,0.315,1.492,0,4.975,12.59,0.769,320.254,3.983,1.058,0.192,0.018,32.023,1.661,4,0.86,11.068,0.8,3.083
8.648,2.196,7.475,121.534,2.196,5.419,4.129,7,7.731,17.603,14,121.534,121.534,5.174,4.329,3.214,4.385,5.416,4.377,40.591,282.506,121.534,282.506,282.506,282.506,282.506,1.467,19.466,12.525,27.5,8.984,12.662,6.895,282.506,258.964,3.17,2.143,17.978,14.336,13.748,4.265,19.776,1.98,2,32.482,0.315,1.517,0,4.827,13.217,0.902,343.796,3.938,1.058,0.094,-0.001,33.706,1.692,4,0.86,12.574,0.8,3.083
7.446,2.31,7.846,160.326,2.31,5.401,4.178,7,8.462,17.549,14,160.326,160.326,5.17,4.224,3.247,4.457,5.386,4.469,41.118,270.735,129.049,270.735,270.735,270.735,270.735,1.573,19.234,13.505,31.264,10.955,13.193,6.472,302.013,247.193,3.263,2.185,17.259,16.064,15.356,4.342,19.76,1.922,2,36.3,0.315,1.501,0,5.409,13.913,0.768,332.025,4.08,1.725,0.189,0.036,34.757,1.689,4,1.058,11.986,0.86,3.338
8.528,2.196,7.475,150.015,2.196,5.373,4.136,7,7.944,17.409,14,150.015,150.015,5.144,4.24,3.132,4.417,5.367,4.41,42.07,282.506,118.738,282.506,282.506,282.506,282.506,1.503,19.249,13.213,31.491,10.814,13.294,6.816,313.784,258.964,3.156,2.102,17.675,15.931,15.028,4.28,19.978,1.917,2,32.482,0.315,1.501,0,5.05,13.93,0.787,343.796,3.972,1.058,0.172,0.005,35.964,1.689,4,0.86,12.466,0.8,3.083
7.21,2.33,7.559,133.706,2.33,5.352,4.154,5,8.312,17.292,13,172.854,172.854,5.142,4.051,3.127,4.422,5.34,4.408,40.875,258.964,102.428,258.964,258.964,258.964,258.964,1.479,18.536,13.471,33.353,10.753,12.567,6.107,278.471,235.422,3.251,2.126,16.274,15.363,14.886,4.277,18.686,1.898,2,33.123,0.315,1.499,0,5.41,13.454,0.731,359.403,4.147,1.058,0.193,0.008,37.813,1.689,4,0.86,11.314,0.8,3.247
7.57,2.376,7.833,160.326,2.376,5.394,4.18,7,8.462,17.441,14,160.326,160.326,5.176,4.224,3.217,4.461,5.387,4.465,42.522,270.735,129.049,270.735,270.735,270.735,270.735,1.595,19.254,13.456,31.584,10.973,13.197,6.472,302.013,247.193,3.345,2.297,17.246,16.128,15.312,4.325,19.797,1.923,2,34.826,0.315,1.502,0,5.409,13.899,0.768,332.025,4.078,1.725,0.189,0.036,34.301,1.693,4,1.058,11.986,0.86,3.338
8.002,2.189,7.386,155.084,2.189,5.462,4.232,4,9.066,20.428,14,155.084,155.084,5.271,4.425,3.215,4.488,5.473,4.485,47.277,329.591,123.807,329.591,329.591,329.591,329.591,1.646,21.84,15.326,31.859,11.479,15.635,7.953,360.869,258.964,3.147,2.097,20.446,17.386,16.713,4.376,22.472,1.938,2,33.517,0.209,1.556,0,5.922,15.589,0.836,390.881,3.942,1.058,0.142,0.014,41.329,1.715,4,0.86,14.537,0.8,3.082
7.857,2.534,7.667,134.417,2.534,5.464,4.229,6,8.368,18.692,12,134.417,134.417,5.235,4.276,3.225,4.428,5.425,4.461,42.857,306.049,103.139,306.049,306.049,306.049,306.049,1.627,21.362,14.096,36.841,11.017,13.384,7.223,337.326,282.506,3.49,2.418,17.064,15.795,16.48,4.369,20.377,1.929,2,34.561,0.365,1.545,0,5.436,12.94,0.797,367.338,4.072,1.058,0.181,-0.005,36.555,1.683,4,0.86,13.134,0.8,3.175
7.455,2.312,7.572,123.372,2.312,5.345,4.13,5,8.276,16.853,12,162.521,162.521,5.132,3.973,3.126,4.368,5.318,4.375,37.695,247.193,92.094,247.193,247.193,247.193,247.193,1.44,18.144,13.021,30.558,10.143,11.85,5.744,266.7,223.651,3.211,2.099,15.257,14.869,14.74,4.275,18.056,1.885,2,33.123,0.34,1.493,0,5.372,12.398,0.774,347.632,4.078,1.058,0.149,0.006,32.491,1.666,4,0.86,10.566,0.8,3.154
8.198,2.591,7.836,148.429,2.591,5.453,4.24,7,8.787,18.369,14,148.429,148.429,5.228,4.269,3.245,4.476,5.435,4.48,44.201,270.735,117.152,270.735,270.735,270.735,270.735,1.658,20.525,14.072,34.996,11.47,14.154,6.887,302.013,247.193,3.576,2.531,17.984,16.641,15.962,4.369,20.678,1.93,2,34.833,0.406,1.503,0,5.725,14.475,0.787,357.17,4.211,1.058,0.193,-0.031,36.719,1.69,4,0.98,12.854,0.86,3.335
8.77,2.713,7.952,165.222,2.713,5.506,4.365,7,9.59,21.694,14,165.222,165.222,5.339,4.445,3.283,4.546,5.551,4.558,51.125,341.362,133.944,341.362,341.362,341.362,341.362,1.85,22.166,16.112,44.369,13.766,16.477,8.042,372.64,317.82,3.675,2.604,20.004,18.349,16.97,4.465,23.185,1.937,3,37.145,0.529,1.566,0,6.399,15.688,0.705,427.797,4.282,1.2,0.27,-0.009,39.993,1.69,4,1.058,14.391,0.86,3.336
9.066,2.603,7.831,148.429,2.603,5.453,4.22,7,8.787,18.497,14,148.429,148.429,5.198,4.269,3.231,4.476,5.435,4.485,43.774,270.735,117.152,270.735,270.735,270.735,270.735,1.608,20.569,14.255,34.63,11.244,13.767,6.887,302.013,247.193,3.592,2.556,17.984,16.646,16.146,4.368,20.669,1.931,2,34.833,0.477,1.505,0,5.725,14.475,0.787,357.17,4.106,1.058,0.193,-0.031,36.719,1.692,4,0.98,12.854,0.86,3.335
8.502,2.276,7.565,144.04,2.276,5.372,4.157,6,8.348,17.432,14,183.188,183.188,5.144,4.134,3.132,4.452,5.365,4.458,46.555,270.735,112.762,270.735,270.735,270.735,270.735,1.503,19.215,13.665,34.052,11.227,13.266,6.472,302.013,247.193,3.209,2.119,17.326,16.457,15.61,4.312,19.785,1.91,2,34.389,0.315,1.501,0,5.449,14.119,0.736,371.174,4.16,1.058,0.187,0.003,36.186,1.689,4,0.86,12.016,0.8,3.274
8.213,2.196,7.475,139.681,2.196,5.36,4.112,6,7.908,16.962,13,139.681,139.681,5.134,4.158,3.131,4.383,5.347,4.385,41.012,270.735,108.404,270.735,270.735,270.735,270.735,1.475,18.691,12.77,30.91,10.343,12.629,6.45,290.242,247.193,3.152,2.094,16.629,15.37,14.566,4.256,19.175,1.908,2,32.482,0.315,1.497,0,5.012,13.047,0.805,332.025,3.974,1.058,0.154,0.01,33.746,1.674,4,0.86,11.721,0.8,3.083
8.382,2.312,7.572,133.706,2.312,5.352,4.153,6,8.312,17.295,13,172.854,172.854,5.142,4.051,3.126,4.405,5.341,4.401,40.158,258.964,102.428,258.964,258.964,258.964,258.964,1.471,18.543,13.463,31.325,10.617,12.555,6.107,290.242,235.422,3.217,2.109,16.266,15.346,15.083,4.296,18.685,1.899,2,33.123,0.34,1.5,0,5.41,13.257,0.758,359.403,4.076,1.058,0.165,0.002,34.691,1.689,4,0.86,11.311,0.8,3.154
5.732,2.689,8.487,173.624,2.689,5.483,4.339,10,9.531,19.619,18,173.624,173.624,5.261,4.394,3.276,4.52,5.464,4.523,43.391,306.049,142.346,306.049,306.049,306.049,306.049,1.806,20.865,15.381,35.242,11.984,14.201,7.24,325.555,282.506,3.655,2.582,18.503,16.72,16.585,4.439,21.003,1.959,2,32.482,0.492,1.56,0,5.995,14.472,0.833,367.338,4.246,1.058,0.118,0.004,37.568,1.72,4,0.86,13.011,0.8,3.12
7.87,2.331,7.565,131.882,2.331,5.377,4.15,6,8.12,17.572,12,131.882,131.882,5.175,4.181,3.182,4.385,5.377,4.403,40.875,282.506,100.604,282.506,282.506,282.506,282.506,1.536,19.238,12.971,33.704,10.636,13.047,6.657,302.013,258.964,3.282,2.212,16.344,15.186,15.18,4.295,19.362,1.917,2,33.952,0.34,1.517,0,5.205,12.591,0.799,343.796,4.017,1.058,0.17,0.004,34.653,1.678,4,0.86,12.098,0.8,3.108
9.658,2.086,7.332,130.88,2.086,5.162,4.159,4,6.481,16.107,12,170.029,170.029,4.96,3.976,2.911,4.247,5.126,4.243,39.693,247.193,98.661,247.193,247.193,247.193,247.193,1.254,18.086,12.531,30.693,9.254,12.188,5.794,279.413,223.651,2.949,1.711,15.148,14.704,13.673,4.207,18.586,1.904,2,22.821,0.226,1.149,0,4.374,11.931,0.706,286.342,3.963,0.916,0.195,0.022,32.13,1.671,4,0.8,9.982,0.172,2.866
8.495,2.524,8.781,144.643,2.524,5.454,4.452,12,9.776,20.908,16,144.643,144.643,5.475,4.412,3.206,4.403,5.441,4.435,41.024,341.362,144.643,341.362,356.322,341.362,341.362,2.267,21.5,14.905,43.622,14.287,20.576,7.604,317.82,311.566,3.477,2.407,18.448,14.82,14.678,4.431,20.695,1.928,2,32.688,0.442,1.513,0,6.341,13.397,0.86,377.507,4.262,0.8,0.113,0.006,36.313,1.754,6,0.655,13.033,0.13,2.923
8.337,2.307,8.777,158.769,2.307,5.294,4.329,10,9.007,18.433,18,158.769,158.769,5.202,4.355,3.146,4.3,5.263,4.342,33.086,282.506,158.769,282.506,297.467,282.506,282.506,1.893,19.853,13.243,31.66,11.581,16.028,6.462,247.193,252.71,3.248,2.161,15.943,12.991,13.978,4.364,17.884,1.966,1,23.274,0.31,1.513,0,5.776,11.746,0.985,282.506,4.101,0.8,-0.03,0.049,30.549,1.772,3,0.0,11.172,0.0,2.886
6.84,1.414,6.183,62.826,1.414,4.587,3.093,0,3.853,7.071,9,62.826,62.826,3.945,3.447,2.414,3.64,4.552,3.595,16.885,141.253,62.826,141.253,141.253,141.253,141.253,0.37,8.7,4.712,4.251,1.188,1.777,3.699,117.711,141.253,2.38,1.364,9.361,6.485,6.088,3.46,8.974,1.684,0,13.072,0.0,0.97,1,2.351,6.736,1.059,183.937,2.742,0.0,-0.038,-0.059,16.487,1.345,0,0.0,6.748,0.0,1.784
9.409,2.552,8.823,184.01,2.552,5.565,4.558,13,10.919,22.357,22,184.01,184.01,5.556,4.567,3.309,4.558,5.558,4.578,44.935,341.362,184.01,341.362,356.322,341.362,341.362,2.547,22.866,16.452,46.441,16.098,22.094,7.865,317.82,311.566,3.506,2.432,19.513,16.443,16.524,4.558,22.058,2.028,2,41.151,0.502,1.524,0,6.948,14.807,0.892,391.652,4.394,1.058,0.064,-0.012,38.389,1.87,4,0.8,13.742,0.214,2.988
8.959,2.524,8.781,131.051,2.524,5.468,4.439,13,9.737,20.501,15,131.051,131.051,5.476,4.417,3.206,4.398,5.439,4.428,40.614,329.591,131.051,329.591,344.551,329.591,329.591,2.285,21.339,14.305,44.449,13.763,20.712,7.563,317.82,299.794,3.481,2.42,18.382,14.342,14.211,4.421,20.484,1.928,2,34.48,0.442,1.519,0,6.3,12.991,0.919,354.736,4.261,0.8,0.072,0.021,37.171,1.754,6,0.563,13.159,0.075,2.923
5.0,1.245,6.116,108.752,1.245,4.17,3.312,0,5.674,5.987,9,108.752,108.752,4.186,3.062,2.476,3.555,4.244,3.406,19.019,129.482,70.725,129.482,129.482,129.482,129.482,0.604,5.634,5.396,14.188,4.02,4.301,3.282,138.159,94.169,2.205,1.192,7.166,6.141,5.841,3.394,5.917,1.706,0,6.769,0.117,0.992,1,4.194,7.47,1.068,173.795,3.433,0.0,-0.022,-0.172,23.117,1.365,1,0.0,5.863,0.0,2.453
5.0,1.215,6.211,79.802,1.215,4.252,3.157,1,4.798,5.812,9,79.802,79.802,4.095,3.097,2.367,3.45,4.314,3.362,16.005,129.482,73.995,129.482,129.482,129.482,129.482,0.49,5.899,4.595,10.463,2.915,3.614,3.255,105.94,94.169,2.2,1.195,6.803,5.161,4.96,3.306,5.909,1.702,0,3.475,0.094,0.949,1,3.383,5.923,1.157,173.795,3.156,0.0,-0.088,-0.171,18.431,1.334,1,0.0,5.744,0.0,1.76
5.0,1.685,6.884,83.65,1.685,4.951,3.901,0,5.958,13.247,9,83.65,83.65,4.911,3.791,2.835,3.97,4.929,3.994,27.41,223.651,77.842,223.651,223.651,223.651,223.651,1.078,13.386,10.264,23.521,7.215,10.03,5.596,211.88,188.338,2.654,1.63,12.468,9.714,10.228,3.986,12.876,1.788,0,17.775,0.158,1.163,1,4.175,9.47,1.134,267.964,3.709,0.0,-0.057,-0.137,28.623,1.515,1,0.0,10.198,0.0,2.497
5.0,2.009,6.832,80.05,2.009,4.915,3.785,0,6.323,11.149,9,80.05,80.05,4.802,3.353,2.778,3.904,4.874,3.92,23.296,164.795,74.242,164.795,209.676,172.555,164.795,1.271,11.433,9.506,22.576,5.945,5.505,4.184,141.253,164.795,2.966,1.916,10.29,8.96,9.774,3.922,10.842,1.718,0,16.459,0.294,1.098,1,4.52,9.65,1.114,209.108,3.837,0.68,-0.043,-0.088,27.651,1.513,1,0.0,7.99,0.0,2.884
5.0,1.903,6.77,78.226,1.903,4.865,3.682,0,5.338,10.236,9,78.226,78.226,4.66,3.353,2.685,3.832,4.756,3.867,21.477,164.795,72.418,164.795,179.756,164.795,164.795,0.864,10.612,9.064,16.893,4.133,5.058,4.2,141.253,179.756,2.865,1.825,9.863,8.584,9.295,3.864,10.153,1.711,0,14.273,0.117,1.029,1,3.659,8.132,1.162,209.108,3.733,0.0,-0.106,-0.091,21.496,1.504,0,0.0,7.906,0.0,2.661
5.0,1.903,6.77,72.605,1.903,4.836,3.787,0,5.54,11.317,9,111.754,111.754,4.638,3.353,2.657,3.897,4.734,3.954,23.734,164.795,66.798,164.795,164.795,164.795,164.795,0.774,11.539,9.944,19.881,4.704,5.643,4.166,141.253,164.795,2.852,1.765,10.309,8.892,9.823,3.952,10.936,1.709,0,14.242,0.117,1.014,1,3.886,8.402,1.064,248.257,3.89,0.0,-0.069,-0.128,22.711,1.507,0,0.0,8.026,0.0,2.678
5.0,1.693,6.717,81.115,1.693,5.006,3.878,0,5.722,13.367,9,81.115,81.115,4.859,3.652,2.683,3.96,4.914,4.022,25.909,200.109,75.308,200.109,200.109,200.109,200.109,0.968,13.955,10.437,19.481,5.048,6.639,5.048,176.567,200.109,2.692,1.692,12.296,10.172,10.655,4.021,13.626,1.8,0,14.834,0.117,1.143,1,3.939,9.193,1.178,244.422,3.693,0.0,-0.109,-0.128,24.638,1.662,0,0.0,9.284,0.0,2.166
5.0,2.006,6.805,75.14,2.006,4.896,3.904,0,6.129,12.159,9,114.288,114.288,4.762,3.51,2.765,3.959,4.843,3.969,25.156,188.338,69.332,188.338,188.338,188.338,188.338,0.888,12.507,10.446,25.692,6.447,8.088,4.739,164.795,153.024,2.957,1.818,11.97,9.131,10.49,4.015,11.293,1.713,0,17.712,0.137,1.156,1,4.371,9.855,1.036,271.799,4.06,0.0,-0.027,-0.118,29.292,1.516,1,0.0,9.015,0.0,2.69
6.28,1.414,6.183,65.583,1.414,4.67,3.17,0,3.853,7.829,9,65.583,65.583,4.054,3.596,2.486,3.675,4.61,3.648,17.54,141.253,65.583,141.253,141.253,141.253,141.253,0.412,9.592,5.009,4.645,1.254,2.069,3.911,117.711,141.253,2.385,1.372,9.768,6.523,6.268,3.526,9.682,1.69,0,13.859,0.0,1.014,1,2.351,6.705,1.049,141.253,2.73,0.0,-0.008,-0.079,16.825,1.345,0,0.0,7.202,0.0,1.764
5.0,1.903,6.77,81.115,1.903,4.996,3.88,0,5.375,13.851,9,81.115,81.115,4.879,3.652,2.826,3.927,4.852,4.005,24.325,200.109,75.308,200.109,200.109,200.109,200.109,0.997,14.148,10.564,20.146,5.183,6.712,5.048,176.567,200.109,2.877,1.848,11.509,9.656,10.861,4.032,12.84,1.721,0,15.139,0.117,1.215,1,3.7,8.673,1.109,244.422,3.689,0.0,-0.04,-0.14,22.983,1.534,0,0.0,9.278,0.0,2.425
5.0,1.55,6.775,78.104,1.55,4.598,3.476,0,5.11,7.777,9,78.104,78.104,4.439,3.321,2.511,3.685,4.616,3.662,19.941,153.024,72.297,153.024,153.024,153.024,153.024,0.675,8.37,6.433,15.352,4.098,5.439,3.821,129.482,117.711,2.524,1.507,8.334,6.806,7.337,3.633,7.82,1.729,0,14.558,0.117,1.042,1,3.44,7.205,1.077,208.337,3.466,0.744,-0.023,-0.155,20.962,1.471,2,0.0,6.814,0.0,2.215
5.0,1.926,6.835,76.459,1.926,4.915,3.856,0,5.306,12.253,9,76.459,76.459,4.798,3.694,2.758,3.95,4.876,3.954,25.775,200.109,70.652,200.109,200.109,200.109,200.109,1.011,12.709,9.813,20.766,6.432,8.647,5.171,176.567,153.024,2.904,1.876,12.448,9.083,9.971,3.962,11.52,1.706,0,15.173,0.145,1.232,1,3.409,9.928,1.129,244.422,3.699,0.0,-0.077,-0.101,28.219,1.504,0,0.0,9.551,0.0,2.228
5.0,1.618,6.762,81.115,1.618,4.986,3.827,0,5.596,12.478,9,81.115,81.115,4.8,3.63,2.775,3.943,4.916,3.974,26.91,188.338,75.308,188.338,188.338,188.338,188.338,0.938,12.977,9.757,21.069,5.733,7.661,4.943,164.795,129.482,2.618,1.618,11.803,9.236,10.228,3.978,11.534,1.718,0,13.143,0.137,1.158,1,3.912,9.497,1.14,275.334,3.718,0.0,-0.053,-0.162,27.705,1.515,1,0.0,9.083,0.0,2.224
