pXC50,ATS8i,SddssS,nS..O.2,P_VSA_s_1,CATS2D_08_LL,NddssS,S.110,ATSC3p,SdO,SpMax3_Bh.v.,ATSC4p,ATSC2p,ATSC1p,ATS1p,CATS2D_07_LL,ATSC6p,ATS2p,ATSC5p,ATSC3v,DBI,nS,SpMax3_Bh.e.,P_VSA_LogP_3,Sp,X2v,SpMin6_Bh.s.,MATS6e,X4sol,AMR,X1v,ATSC2v,VvdwMG,Vx,ATSC4m,ATS4p,ATS3p,ATSC8p,ATSC5m,X1sol,X5v,ATSC4v,ATSC1v,ATSC3m,ATSC7p,ATS1v,ATS5v,ATSC8m,Eta_alpha,ATS4m,SpMin2_Bh.v.,ATS4v,X0sol,X4v,GATS8p,ATS5m,ATS3v,ATS6p,SpDiam_EA.bo.,X0v,X1Kup,ATS5p,HDcpx,ATSC5v,CATS2D_01_LL,ZM1Mad,ATSC7m,O.058,VvdwZAZ,SpMax3_Bh.i.
6.0,5.717,0.0,0,0.0,0,0,0,17.333,26.875,3.696,19.417,12.435,7.61,3.924,2,19.315,4.334,19.57,24.079,4.796,0,3.83,180.129,47.535,10.919,0.875,-0.155,10.588,140.745,13.492,17.539,267.728,645.017,54.441,4.594,4.529,19.027,59.399,17.419,4.084,26.504,10.293,47.28,19.977,3.877,4.508,51.817,17.133,4.43,2.104,4.503,25.175,5.63,1.028,4.399,4.441,4.588,7.002,21.019,13.37,4.609,1.772,27.293,20,209.907,53.795,2,480.0,3.899
5.523,5.471,0.0,0,0.0,0,0,0,13.603,25.594,3.689,14.531,9.538,5.972,3.697,1,12.971,4.117,12.918,19.912,4.062,0,3.795,90.065,38.802,8.824,0.84,-0.138,8.39,113.782,11.108,14.603,219.555,527.475,43.378,4.301,4.295,12.96,45.241,14.07,3.048,20.971,8.618,40.321,14.632,3.653,4.154,39.568,13.7,4.104,2.019,4.191,20.269,4.625,0.931,4.046,4.184,4.247,7.002,17.262,10.973,4.255,1.717,19.51,11,167.664,39.76,2,392.29,3.865
6.666,5.064,0.0,0,0.0,1,0,0,11.942,12.883,3.51,12.489,8.466,5.231,3.5,4,11.573,3.912,11.367,17.238,4.123,0,3.718,108.075,32.58,6.871,0.786,-0.122,5.901,94.268,8.715,12.625,188.11,450.748,37.151,4.13,4.116,8.747,36.568,11.048,2.5,18.349,7.572,32.551,10.878,3.433,3.981,25.98,10.967,3.858,1.96,3.993,16.709,3.476,0.955,3.83,3.982,4.076,6.999,14.424,8.622,4.102,1.664,17.025,12,119.675,31.651,1,330.66,3.802
6.0,5.388,0.0,0,0.0,0,0,0,13.881,13.255,3.692,15.507,9.929,6.162,3.729,1,13.814,4.129,14.88,19.782,3.808,0,3.812,137.446,39.341,8.537,0.825,-0.142,8.146,117.759,10.959,14.426,222.095,533.671,41.592,4.328,4.308,13.687,43.897,14.159,3.178,21.796,8.604,37.372,14.457,3.672,4.16,36.466,13.967,4.029,2.053,4.19,20.106,4.365,0.998,3.999,4.188,4.261,7.002,17.172,10.866,4.295,1.716,21.441,17,161.035,37.532,1,390.92,3.874
5.613,5.195,0.0,0,0.0,6,0,0,13.363,13.204,3.689,14.637,9.778,5.949,3.654,9,13.199,4.087,14.823,19.798,3.536,0,3.787,90.065,36.341,8.434,0.825,-0.154,7.767,105.333,10.453,14.654,202.1,484.884,41.05,4.295,4.263,11.578,42.635,12.676,3.251,21.025,8.519,38.312,11.908,3.593,4.133,29.56,12.467,3.998,2.036,4.158,17.985,4.811,1.073,3.93,4.131,4.176,7.002,15.777,10.362,4.287,1.691,21.568,11,149.368,32.707,1,357.84,3.832
6.276,5.357,0.0,0,0.0,1,0,0,13.537,13.295,3.653,14.94,9.408,5.782,3.608,4,13.09,4.044,13.932,19.773,3.742,0,3.797,132.748,35.796,7.732,0.825,-0.148,7.505,103.886,10.011,14.026,203.897,489.269,42.626,4.302,4.268,12.559,44.813,12.641,3.298,21.647,8.22,38.545,13.299,3.555,4.145,35.139,12.3,4.02,2.02,4.165,18.408,4.473,1.052,4.02,4.142,4.221,7.0,15.646,9.897,4.262,1.695,20.556,12,142.474,37.25,1,361.69,3.846
5.837,5.243,0.0,0,0.0,1,0,0,12.904,13.401,3.743,14.833,8.919,5.603,3.716,4,14.028,4.113,14.19,17.743,3.674,0,3.808,184.827,38.819,7.904,0.81,-0.156,8.938,121.074,10.514,12.406,222.905,535.648,38.673,4.307,4.295,12.936,39.436,14.659,2.955,20.312,7.548,32.98,14.403,3.671,4.204,32.916,14.467,4.084,2.046,4.193,20.813,4.112,1.039,4.11,4.196,4.301,7.138,17.153,10.422,4.3,1.728,19.265,18,165.035,37.342,1,389.4,3.845
4.019,4.782,0.0,0,0.0,4,0,0,9.177,23.737,3.382,8.994,7.216,4.581,3.44,2,8.172,3.811,8.223,14.081,3.742,0,3.605,55.916,31.517,5.985,0.604,0.07,6.041,93.395,8.604,11.038,186.38,446.528,31.802,3.896,3.955,5.965,30.526,11.613,1.896,13.713,6.672,29.585,7.68,3.406,3.659,21.439,11.2,3.696,2.021,3.791,17.364,2.856,0.763,3.475,3.854,3.734,6.916,14.508,8.472,3.793,1.659,12.779,7,128.159,25.422,2,330.51,3.673
5.631,5.012,0.0,0,0.0,6,0,0,10.7,12.895,3.673,11.15,7.993,4.891,3.445,9,9.774,3.854,10.446,15.178,3.464,0,3.786,132.748,29.506,6.691,0.509,-0.208,6.008,86.066,8.321,11.326,168.326,402.475,33.226,4.018,4.021,9.622,31.906,10.603,2.442,15.718,6.633,30.675,9.971,3.396,3.861,25.318,10.4,3.806,2.016,3.908,15.579,3.34,1.068,3.739,3.919,3.917,7.002,12.948,8.242,3.972,1.651,14.946,10,125.057,27.128,1,298.79,3.832
6.259,5.108,0.0,0,0.0,0,0,0,11.947,13.108,3.678,13.594,8.548,5.47,3.58,1,12.665,3.973,12.953,17.315,4.0,0,3.786,90.065,34.58,7.693,0.787,-0.098,6.812,101.836,9.402,12.854,196.974,472.375,39.26,4.219,4.17,10.309,38.557,11.997,2.682,19.699,7.829,33.379,11.668,3.521,4.063,27.492,11.967,3.944,2.025,4.087,17.864,3.749,1.104,3.891,4.054,4.133,7.002,15.285,9.309,4.196,1.682,18.834,12,139.035,33.093,1,350.26,3.832
4.7,4.279,0.0,0,0.0,0,0,0,6.377,0.0,3.354,6.58,4.873,3.013,3.166,0,5.574,3.557,5.812,9.717,1.581,0,3.466,65.392,22.347,4.552,0.276,-0.087,5.406,70.518,6.165,7.425,128.629,305.615,18.493,3.627,3.698,4.119,17.278,8.343,1.661,9.976,4.439,18.816,5.576,3.123,3.344,11.847,8.2,3.308,1.961,3.486,11.665,2.388,0.905,3.122,3.591,3.377,7.469,10.11,6.098,3.497,1.572,8.885,7,95.912,14.092,0,211.68,3.519
6.42,5.26,0.0,0,0.0,0,0,0,13.62,13.258,3.692,15.213,9.448,5.749,3.707,1,14.267,4.114,14.648,18.7,3.742,0,3.792,127.97,38.438,8.802,0.819,-0.112,8.66,117.809,10.936,13.276,220.835,530.598,42.509,4.311,4.296,12.901,45.106,14.341,3.186,20.739,7.823,37.845,14.719,3.654,4.163,38.736,14.181,4.12,2.048,4.185,20.769,4.474,1.051,4.064,4.183,4.265,7.002,17.521,10.496,4.287,1.717,20.098,14,178.554,43.169,1,388.83,3.845
4.523,5.418,0.0,0,0.0,1,0,0,13.497,25.21,3.647,14.217,9.656,5.919,3.638,4,14.301,4.061,13.65,19.443,4.123,0,3.797,90.065,37.25,7.853,0.825,-0.116,8.025,108.237,10.506,14.109,214.558,515.282,44.109,4.289,4.27,13.065,45.066,13.552,3.277,20.263,8.247,39.011,14.643,3.597,4.188,38.173,13.133,4.115,2.005,4.194,19.985,4.464,0.99,4.087,4.17,4.303,7.0,16.809,10.369,4.282,1.713,19.684,12,157.457,43.378,2,385.14,3.846
5.569,5.289,0.0,0,0.0,0,0,0,13.13,34.861,3.692,14.849,9.353,5.763,3.706,1,13.748,4.112,14.239,18.396,4.123,0,3.817,127.97,38.733,8.659,0.823,-0.075,8.708,120.329,10.958,13.163,224.362,539.203,42.897,4.323,4.298,11.914,43.342,14.963,3.188,20.673,7.773,35.91,13.805,3.673,4.184,35.199,14.533,4.137,2.076,4.222,21.847,4.349,1.026,4.066,4.213,4.259,7.002,17.651,10.822,4.291,1.732,20.09,14,179.212,40.218,1,399.56,3.883
5.523,5.294,0.0,0,0.0,0,0,0,13.455,13.136,3.633,15.303,9.473,5.969,3.68,2,14.305,4.082,13.96,19.232,4.123,0,3.787,137.446,38.341,8.285,0.825,-0.177,7.778,114.883,10.27,13.926,219.896,528.306,42.282,4.297,4.28,12.603,41.632,13.47,2.843,21.997,8.414,36.198,14.567,3.62,4.156,33.305,13.467,3.997,2.036,4.152,19.985,3.978,1.047,4.013,4.155,4.282,6.949,17.05,10.177,4.275,1.709,20.022,15,151.035,40.447,1,385.98,3.845
4.523,4.807,-3.905,1,6.046,6,1,1,9.798,38.374,3.741,10.901,7.857,4.659,3.629,10,10.947,4.013,10.308,9.812,4.0,1,3.891,100.38,34.432,9.225,0.499,-0.052,10.94,114.541,11.136,8.362,209.194,502.193,31.686,4.1,4.112,9.846,28.145,15.441,3.351,11.945,4.69,25.267,10.315,3.593,3.989,30.832,14.581,4.273,2.017,4.021,22.053,4.82,1.222,4.201,4.046,4.077,7.901,17.574,9.157,4.06,1.732,10.439,8,229.822,28.577,3,354.3,3.913
4.523,5.182,0.0,0,0.0,0,0,0,11.967,13.185,3.691,13.444,8.647,5.449,3.611,1,12.63,4.009,12.978,16.851,3.674,0,3.789,120.757,35.273,7.815,0.764,-0.125,7.863,105.395,9.943,12.378,200.241,480.349,37.706,4.213,4.17,10.873,40.216,13.159,2.803,18.887,7.424,33.808,12.508,3.575,4.092,30.703,12.8,4.001,2.016,4.101,18.692,3.991,0.954,3.976,4.069,4.165,7.002,15.718,9.821,4.197,1.7,18.366,11,156.578,34.494,1,350.45,3.833
6.356,5.486,0.0,0,0.0,1,0,0,15.676,13.497,3.695,17.179,10.823,6.542,3.769,4,16.149,4.2,16.118,21.822,3.742,0,3.798,127.97,41.04,9.069,0.825,-0.098,8.938,122.423,11.558,15.287,232.885,560.0,47.588,4.417,4.404,15.119,47.374,14.659,3.869,24.107,8.878,41.88,16.637,3.719,4.286,42.039,14.752,4.14,2.051,4.284,20.813,5.114,0.991,4.162,4.289,4.409,7.0,18.18,11.44,4.401,1.736,22.868,16,174.866,45.698,1,414.29,3.85
7.347,5.321,0.0,0,0.0,0,0,0,13.582,13.318,3.692,15.303,9.802,6.094,3.73,1,14.215,4.14,14.822,18.73,3.808,0,3.806,118.493,39.489,8.923,0.816,-0.069,9.631,118.771,11.272,13.472,222.694,535.133,42.396,4.345,4.315,12.915,43.994,15.125,3.351,21.166,8.021,36.389,14.174,3.705,4.2,36.872,14.633,4.129,2.042,4.236,21.261,4.665,1.037,4.071,4.226,4.279,7.002,17.834,11.112,4.316,1.733,20.873,13,186.342,40.444,1,396.14,3.863
6.027,4.981,0.0,0,0.0,0,0,0,9.798,12.856,3.613,10.428,7.088,4.411,3.395,1,9.347,3.793,9.835,14.183,3.391,0,3.785,108.075,28.296,6.21,0.465,-0.157,5.866,83.097,7.953,10.548,161.532,385.897,30.125,3.968,3.96,8.62,30.652,10.209,2.197,14.748,6.276,28.305,9.339,3.346,3.827,23.733,9.967,3.76,1.996,3.86,14.709,3.131,1.076,3.708,3.853,3.882,7.002,12.424,7.868,3.935,1.639,14.168,10,118.341,25.748,1,283.7,3.832
6.652,5.105,0.0,0,0.0,0,0,0,10.993,13.014,3.652,12.522,7.896,5.045,3.5,1,10.422,3.896,11.899,16.091,3.606,0,3.786,90.065,31.819,6.894,0.77,-0.145,6.318,93.14,8.902,12.018,180.716,432.708,35.161,4.138,4.09,9.729,37.351,11.141,2.483,17.901,7.277,31.818,10.359,3.443,3.948,26.854,10.967,3.862,2.021,4.008,16.286,3.526,1.029,3.785,3.979,3.986,7.002,14.078,8.809,4.087,1.662,17.68,10,129.035,28.051,1,318.3,3.832
7.222,5.262,0.0,0,0.0,0,0,0,13.175,13.235,3.691,14.639,9.34,5.816,3.686,1,13.792,4.085,14.043,18.658,3.674,0,3.791,137.446,37.58,8.221,0.82,-0.132,8.04,113.004,10.459,13.511,212.502,510.266,40.066,4.284,4.264,12.142,40.988,13.659,3.076,20.57,8.077,35.302,13.826,3.632,4.142,32.45,13.467,4.017,2.054,4.156,19.399,4.209,0.984,3.991,4.15,4.241,7.002,16.465,10.366,4.266,1.708,19.943,16,157.035,36.878,1,373.62,3.845
7.102,5.03,0.0,0,0.0,0,0,0,10.547,12.944,3.637,11.788,7.368,4.703,3.445,1,9.69,3.846,10.559,15.215,3.464,0,3.785,90.065,30.057,6.763,0.607,-0.163,6.008,88.392,8.325,11.175,171.124,409.302,33.807,4.065,4.041,9.077,33.827,10.603,2.425,16.892,6.766,29.712,10.005,3.393,3.873,25.24,10.467,3.805,2.012,3.936,15.579,3.268,1.056,3.74,3.931,3.927,7.002,13.371,8.229,3.993,1.651,15.581,10,124.702,27.476,1,301.0,3.832
5.658,0.0,0.0,0,0.0,0,0,0,5.938,0.0,3.072,7.614,4.806,2.358,3.029,0,2.642,3.462,6.837,6.952,1.581,2,3.259,0.0,18.358,5.269,0.132,-0.612,6.391,64.927,6.411,5.451,108.784,257.193,20.644,3.501,3.581,0.0,24.858,7.797,2.886,9.069,2.902,14.482,3.528,2.937,2.88,0.0,7.367,3.403,1.626,3.267,10.251,3.738,0.0,3.059,3.401,2.633,6.855,9.62,4.781,3.149,1.514,6.914,2,125.026,14.287,0,178.38,3.335
4.523,5.166,0.0,0,0.0,0,0,0,12.264,13.214,3.691,13.75,8.81,5.469,3.641,1,13.181,4.038,14.034,17.363,3.536,0,3.787,137.446,35.819,7.782,0.794,-0.124,7.944,108.89,10.013,12.653,202.91,486.86,36.947,4.254,4.216,11.322,39.938,13.176,2.912,18.999,7.546,33.64,12.248,3.591,4.117,29.621,12.967,4.01,2.055,4.138,18.692,4.065,0.988,3.955,4.114,4.167,7.002,15.758,9.923,4.246,1.7,19.684,14,153.368,32.732,1,356.32,3.832
6.866,5.332,0.0,0,0.0,0,0,0,13.587,13.292,3.691,15.45,9.803,6.203,3.727,1,14.678,4.12,15.163,19.088,3.873,0,3.794,127.97,39.796,8.587,0.82,-0.095,8.604,119.468,10.982,14.01,226.091,543.422,42.586,4.353,4.31,13.085,44.826,14.591,3.199,21.715,8.495,36.834,14.431,3.683,4.218,35.899,14.3,4.108,2.052,4.233,20.976,4.397,1.053,4.069,4.21,4.305,7.002,17.796,10.847,4.342,1.725,21.624,14,169.913,41.081,1,399.71,3.848
6.288,5.26,0.0,0,0.0,0,0,0,13.62,13.255,3.692,15.196,9.448,5.749,3.707,1,14.246,4.114,14.488,18.7,3.742,0,3.792,127.97,38.438,8.799,0.818,-0.099,8.349,117.809,10.936,13.276,220.835,530.598,42.698,4.304,4.296,13.089,41.974,14.341,3.274,20.735,7.823,37.845,14.387,3.654,4.156,39.181,14.181,4.076,2.048,4.175,20.769,4.342,1.017,4.043,4.183,4.258,7.002,17.521,10.496,4.278,1.717,19.997,14,178.554,39.404,1,388.83,3.845
5.0,5.422,0.0,0,0.0,0,0,0,13.27,13.333,3.691,14.784,9.842,6.203,3.727,1,15.79,4.113,15.686,18.705,3.873,0,3.787,127.97,39.796,8.347,0.825,-0.106,8.881,120.101,11.129,14.056,226.091,543.422,40.48,4.361,4.292,13.678,45.988,14.624,3.164,20.424,8.495,37.742,15.447,3.683,4.285,38.102,14.3,4.173,2.053,4.265,20.976,4.405,0.915,4.139,4.206,4.365,7.002,17.796,11.006,4.4,1.728,22.093,13,170.911,41.58,1,399.71,3.832
5.628,5.112,0.0,0,0.0,0,0,0,11.157,13.03,3.653,12.533,7.954,5.092,3.507,1,10.72,3.907,11.882,16.265,3.742,0,3.786,132.748,32.273,7.025,0.769,-0.121,6.607,94.684,9.011,11.925,184.712,442.458,36.169,4.149,4.103,9.687,39.017,11.641,2.542,18.012,7.201,32.849,10.523,3.463,3.984,27.984,11.3,3.915,2.019,4.03,16.993,3.575,1.049,3.853,3.997,4.014,7.002,14.232,8.897,4.104,1.672,17.603,10,134.474,29.5,1,327.09,3.832
6.516,5.329,0.0,0,0.0,0,0,0,12.515,13.15,3.684,14.305,9.085,5.81,3.628,1,12.748,4.018,13.051,18.143,4.123,0,3.786,99.541,36.341,8.042,0.82,-0.147,6.768,107.51,9.891,13.686,206.566,495.781,40.275,4.254,4.211,11.424,41.105,12.497,2.773,20.673,8.339,34.699,13.642,3.565,4.083,32.773,12.467,3.961,2.027,4.113,18.571,3.704,0.842,3.925,4.09,4.189,7.002,16.155,9.799,4.213,1.691,19.498,13,143.035,37.017,1,367.56,3.832
8.638,5.375,0.0,0,0.0,0,0,0,13.962,13.262,3.693,15.487,9.945,6.218,3.753,1,13.787,4.143,14.742,19.718,3.937,0,3.824,156.398,40.341,8.573,0.825,-0.133,8.37,123.323,11.135,14.319,228.76,549.934,41.17,4.33,4.316,14.218,42.384,14.659,3.064,21.584,8.62,36.983,14.189,3.697,4.157,36.636,14.467,4.039,2.041,4.196,20.813,4.294,1.065,3.999,4.199,4.249,7.002,17.619,11.043,4.288,1.724,20.877,18,165.035,37.148,1,405.58,3.887
6.372,5.34,0.0,0,0.0,1,0,0,13.674,13.319,3.663,15.244,9.411,5.81,3.628,4,13.634,4.054,14.29,19.874,3.742,0,3.797,99.541,36.341,7.756,0.825,-0.162,7.505,106.756,10.011,14.104,206.566,495.781,42.487,4.313,4.276,12.86,43.096,12.641,3.309,21.921,8.339,37.632,13.695,3.565,4.154,34.14,12.467,4.007,2.021,4.171,18.408,4.473,1.057,4.005,4.147,4.246,7.0,15.777,9.918,4.281,1.695,20.805,13,141.035,37.777,1,367.56,3.846
4.0,5.542,0.0,0,0.0,1,0,0,15.802,13.521,3.743,17.928,11.14,6.818,3.879,5,20.676,4.284,19.079,22.088,4.0,0,3.808,184.827,45.103,9.719,0.825,-0.105,10.444,137.287,12.535,15.715,253.881,611.229,46.854,4.545,4.474,16.705,51.047,16.659,3.908,24.781,9.325,40.77,20.357,3.826,4.502,43.291,16.467,4.306,2.088,4.433,23.382,5.327,0.947,4.344,4.368,4.638,7.002,19.722,12.445,4.62,1.761,26.438,22,191.368,52.289,1,446.24,3.846
6.309,5.176,0.0,0,0.0,0,0,0,13.037,13.202,3.691,14.376,9.591,5.78,3.674,1,13.924,4.08,14.916,17.489,3.674,1,3.787,116.666,36.466,8.847,0.769,-0.144,8.473,111.839,10.823,12.907,207.376,497.757,38.713,4.247,4.209,12.154,44.115,13.613,3.192,19.256,7.622,36.886,13.287,3.601,4.116,33.262,13.3,4.049,2.014,4.116,19.046,4.737,0.911,4.033,4.083,4.204,7.002,16.535,9.928,4.258,1.7,19.379,11,175.317,35.498,1,360.17,3.832
6.55,5.476,0.0,0,0.0,1,0,0,15.606,13.5,3.695,17.15,10.771,6.508,3.77,4,16.135,4.202,16.122,22.282,3.674,0,3.798,137.446,41.103,8.928,0.825,-0.165,8.938,122.206,11.459,15.662,231.687,557.076,46.603,4.418,4.406,15.042,46.944,14.659,3.833,24.357,9.128,41.155,16.621,3.71,4.281,39.642,14.467,4.112,2.054,4.276,20.813,5.108,0.992,4.138,4.276,4.41,7.0,17.879,11.366,4.402,1.728,22.97,18,165.035,44.595,1,408.22,3.847
4.523,5.057,0.0,0,0.0,0,0,0,11.002,13.038,3.659,12.666,7.637,4.872,3.507,1,10.793,3.892,11.85,15.635,3.742,0,3.786,90.065,32.057,6.94,0.654,-0.148,6.607,95.972,8.837,11.271,184.454,441.827,35.012,4.142,4.093,9.895,35.729,11.641,2.504,17.743,6.827,30.402,10.761,3.458,3.971,26.554,11.467,3.895,2.013,4.021,16.993,3.497,1.048,3.828,3.989,4.005,7.002,14.155,8.744,4.091,1.672,16.914,11,133.035,29.094,1,330.32,3.832
5.0,5.227,0.0,0,0.0,4,0,0,12.509,13.032,3.759,15.142,9.72,6.101,3.842,7,14.078,4.227,15.134,17.051,3.317,0,3.865,94.762,45.29,9.375,0.736,-0.019,11.501,143.785,12.357,13.411,262.813,633.023,39.946,4.451,4.404,11.167,42.328,17.906,3.224,21.068,8.096,33.086,13.517,3.825,4.311,34.219,17.5,4.259,2.056,4.352,25.941,4.61,0.904,4.205,4.339,4.343,7.146,21.616,12.166,4.414,1.776,21.063,15,216.793,37.758,1,454.55,3.895
5.174,0.0,0.0,0,0.0,0,0,0,4.615,0.0,3.044,4.82,3.409,1.767,2.882,0,2.317,3.301,4.029,6.02,1.414,1,3.195,36.963,15.949,3.79,0.0,-0.537,5.286,55.135,5.118,4.297,94.726,222.89,12.561,3.242,3.356,0.0,13.969,6.949,1.618,5.874,2.256,10.935,0.823,2.841,2.575,0.0,6.533,3.177,1.68,3.064,9.027,2.376,0.0,2.714,3.236,2.134,7.524,7.895,4.398,2.804,1.489,4.572,4,95.826,3.466,0,146.33,3.258
6.319,3.137,0.0,0,0.0,0,0,0,5.71,0.0,2.996,6.363,4.915,2.579,3.017,0,4.336,3.372,6.522,6.852,1.732,2,3.203,9.476,19.12,4.701,0.163,-0.399,5.413,67.131,6.51,5.8,116.177,275.233,17.983,3.424,3.459,1.694,23.623,7.867,1.814,7.973,3.353,15.54,4.907,2.912,3.036,4.313,7.367,3.375,1.592,3.214,10.673,2.888,0.817,3.238,3.274,3.016,6.706,9.99,4.661,3.294,1.512,6.716,2,113.685,18.977,0,190.74,3.296
6.524,5.09,0.0,0,0.0,0,0,0,11.291,13.054,3.663,12.806,7.994,5.131,3.53,1,11.305,3.918,12.246,16.342,3.742,0,3.786,99.541,32.819,7.049,0.738,-0.128,6.607,97.554,9.011,12.001,187.381,448.97,36.116,4.163,4.113,9.982,37.246,11.641,2.553,18.255,7.317,31.933,10.929,3.474,3.995,26.977,11.467,3.901,2.02,4.037,16.993,3.575,1.06,3.836,4.002,4.044,7.002,14.362,8.918,4.126,1.672,17.834,11,133.035,30.102,1,332.96,3.832
4.523,4.782,0.0,0,0.0,4,0,0,9.177,23.737,3.382,8.994,7.216,4.581,3.44,2,8.172,3.811,8.223,14.081,3.742,0,3.605,55.916,31.517,5.985,0.604,0.07,6.041,93.395,8.604,11.038,186.38,446.528,31.802,3.896,3.955,5.965,30.526,11.613,1.896,13.713,6.672,29.585,7.68,3.406,3.659,21.439,11.2,3.696,2.021,3.791,17.364,2.856,0.763,3.475,3.854,3.734,6.916,14.508,8.472,3.793,1.659,12.779,7,128.159,25.422,2,330.51,3.673
6.588,4.675,0.0,0,0.0,0,0,0,9.217,0.0,3.51,10.539,6.644,4.167,3.394,3,9.443,3.771,10.138,12.596,2.915,0,3.687,85.286,28.074,5.652,0.469,-0.041,6.252,89.069,7.409,9.203,161.144,384.95,25.09,3.99,3.981,7.065,23.851,10.254,1.913,14.575,5.688,21.429,8.308,3.341,3.817,18.417,10.233,3.67,1.964,3.857,14.656,2.712,1.057,3.587,3.879,3.845,7.163,12.673,7.335,3.963,1.64,14.042,14,112.958,21.315,0,279.69,3.767
5.6,5.038,0.0,0,0.0,0,0,0,8.811,13.373,3.654,10.506,6.423,3.83,3.527,2,9.855,3.926,10.863,13.067,3.317,0,3.776,56.857,33.586,6.873,0.481,-0.141,8.996,110.637,9.19,9.517,198.253,475.498,32.593,4.222,4.168,9.32,36.696,13.542,2.536,15.811,5.58,28.351,8.913,3.523,4.119,27.102,13.133,4.146,1.993,4.152,19.673,3.602,1.102,4.106,4.121,4.057,7.126,15.559,9.042,4.19,1.715,16.055,5,165.841,26.537,1,345.35,3.813
9.398,4.781,0.0,0,0.0,2,0,0,11.574,12.512,3.406,12.801,7.841,4.757,3.439,4,6.944,3.89,9.657,15.989,3.742,0,3.581,90.065,29.58,7.776,0.469,-0.176,7.81,82.52,8.538,10.917,166.392,397.757,38.368,4.06,4.131,7.565,33.926,11.019,3.534,18.145,6.318,31.751,7.272,3.42,3.646,22.091,10.733,3.796,2.021,3.917,16.19,4.697,1.031,3.584,4.038,3.582,6.725,13.644,8.388,3.752,1.657,13.752,7,146.954,20.905,1,296.54,3.599
10.301,5.074,0.0,0,0.0,11,0,0,11.617,13.12,3.743,11.766,8.211,4.875,3.533,16,9.642,3.967,10.161,15.6,3.536,0,3.808,137.446,31.745,7.024,0.606,-0.23,8.1,96.02,8.946,10.89,180.927,433.223,32.704,4.029,4.124,11.209,30.31,12.176,3.018,15.338,6.269,30.46,10.729,3.5,3.921,27.99,11.9,3.927,2.054,3.956,17.278,4.028,1.112,3.942,4.041,3.988,7.138,14.175,8.855,3.951,1.688,12.566,14,147.382,27.163,1,319.51,3.841
6.2,4.563,-3.759,0,5.807,0,1,1,10.509,37.658,3.624,12.473,7.434,4.405,3.585,3,9.533,3.971,11.665,12.096,3.873,2,3.787,69.594,34.023,8.873,0.567,0.215,10.573,112.424,11.395,8.708,205.456,493.073,36.704,4.133,4.111,7.32,37.951,15.365,3.483,13.102,4.999,30.784,8.529,3.551,3.871,23.853,14.067,4.255,2.045,4.013,20.873,5.092,1.209,4.068,4.024,3.795,7.84,17.194,9.212,3.98,1.713,13.892,2,227.445,29.568,3,346.09,3.82
5.878,5.501,0.0,0,0.0,10,0,0,13.5,25.034,3.717,14.714,10.289,6.164,3.772,6,13.881,4.164,13.889,18.281,5.339,0,3.842,161.177,42.438,9.411,0.663,0.016,8.52,127.893,11.485,13.866,253.078,609.269,47.59,4.318,4.326,14.692,44.53,16.12,2.772,21.315,7.954,39.89,14.355,3.753,4.236,46.605,16.219,4.164,2.042,4.219,24.717,3.87,0.903,4.251,4.253,4.343,7.352,19.817,11.34,4.303,1.775,19.611,11,197.987,50.848,2,447.41,3.882
5.6,5.314,0.0,0,0.0,7,0,0,14.03,24.285,3.582,14.552,10.59,6.437,3.759,7,12.81,4.181,13.858,20.88,4.183,0,3.737,37.905,42.017,8.933,0.825,-0.195,9.363,123.909,11.985,15.588,239.809,576.894,45.132,4.344,4.347,12.264,42.971,15.669,3.663,21.702,9.055,41.607,12.839,3.726,4.139,35.626,15.033,4.107,2.043,4.22,22.338,4.886,0.995,4.012,4.241,4.202,7.745,19.107,11.804,4.266,1.737,20.712,10,181.621,38.245,2,422.14,3.787
5.0,5.255,0.0,0,0.0,7,0,0,13.723,23.664,3.577,14.085,10.233,6.126,3.725,7,12.105,4.156,13.159,20.42,4.062,0,3.729,37.905,40.256,8.75,0.825,-0.208,9.219,119.14,11.596,15.034,230.217,553.488,43.456,4.307,4.32,11.604,41.126,15.131,3.595,21.099,8.561,40.965,12.131,3.694,4.101,33.829,14.533,4.079,2.043,4.183,21.631,4.791,0.978,3.987,4.211,4.154,7.745,18.146,11.442,4.222,1.73,19.61,10,176.846,36.435,2,404.84,3.782
9.097,5.489,-7.135,1,11.853,6,2,2,21.069,52.56,3.818,24.261,14.179,8.721,4.058,7,22.879,4.486,24.449,25.067,4.528,2,3.928,125.568,52.983,15.181,0.901,0.167,15.809,162.657,17.364,17.349,304.048,733.638,70.255,4.757,4.711,17.891,69.672,21.718,6.544,29.293,10.133,59.667,20.713,3.999,4.562,54.366,20.367,4.616,2.106,4.63,29.985,9.16,0.961,4.478,4.598,4.629,7.869,25.558,14.491,4.719,1.805,32.548,9,336.719,61.166,4,537.0,3.968
6.355,5.717,-3.87,1,6.046,5,1,1,20.285,40.359,3.812,25.054,14.816,9.458,4.106,7,26.83,4.511,27.576,26.736,4.637,1,3.914,100.808,58.381,13.919,0.901,0.045,15.684,177.345,17.073,19.731,335.753,810.997,70.355,4.86,4.754,20.304,81.03,22.387,5.825,32.916,11.977,57.227,24.695,4.056,4.739,60.696,21.533,4.752,2.084,4.754,32.552,8.269,0.892,4.631,4.672,4.819,7.906,27.971,15.468,4.881,1.822,37.26,12,302.067,73.216,3,597.41,3.951
