pXC50,MW,Sp,Sv,nBO,SCBO,nC,nBM,nAB,nSK,nBT,Se,nAT,Si,nCsp2,RBF,RBN,nH
7.3,340.48,31.341,29.584,27,34.0,18,13,12,25,51,48.891,49,55.936,11,0.098,5,24
6.8,349.36,27.915,27.706,29,41.0,20,23,22,26,42,39.96,39,43.875,20,0.071,3,13
5.3,253.28,20.972,20.601,21,30.0,14,17,16,19,32,30.494,30,33.575,14,0.063,2,11
4.7,215.23,17.21,17.074,18,25.5,11,15,15,16,27,25.611,25,28.159,10,0.074,2,9
6.3,347.41,29.506,28.697,29,40.5,19,22,21,26,46,43.465,43,48.402,17,0.109,5,17
5.0,330.59,19.057,18.071,19,26.0,11,12,10,17,24,23.036,22,23.868,10,0.0,0,5
5.0,356.59,23.75,23.282,24,32.0,15,14,12,22,32,31.473,30,33.035,15,0.031,1,8
4.5,212.25,15.307,14.955,15,19.5,8,7,5,14,23,22.913,22,24.79,6,0.043,1,8
6.4,370.49,34.33,32.542,31,43.0,23,23,22,28,53,49.687,50,55.939,20,0.132,7,22
5.3,494.65,45.08,42.88,40,55.0,29,25,22,37,70,66.869,67,75.391,21,0.1,7,30
5.15,332.43,30.773,29.214,27,37.0,21,19,18,25,47,44.811,45,50.152,18,0.106,5,20
6.3,416.25,27.739,25.552,26,36.5,16,21,21,23,39,36.214,36,40.371,15,0.077,3,13
5.4,395.49,32.603,31.279,30,41.0,21,20,18,28,48,46.618,46,51.495,20,0.104,5,18
5.0,348.37,27.108,27.016,27,34.5,16,13,11,25,44,43.414,42,48.077,10,0.068,3,17
5.0,227.31,18.949,17.832,18,26.0,12,16,16,16,27,25.033,25,27.661,12,0.037,1,9
5.8,317.76,23.841,23.471,23,32.0,14,14,12,22,35,35.022,34,38.515,11,0.086,3,12
5.0,386.46,27.011,26.502,29,41.0,14,22,20,26,39,37.505,36,40.66,14,0.128,5,10
5.0,365.52,35.063,32.815,30,38.5,22,16,15,27,57,53.563,54,60.896,12,0.07,4,27
7.4,329.39,28.29,27.456,28,40.0,19,23,22,25,43,40.254,40,44.777,19,0.093,4,15
5.1,414.5,36.239,34.971,35,47.0,24,23,22,31,57,53.342,53,59.358,20,0.123,7,22
6.3,460.53,38.909,37.928,37,49.0,25,21,18,34,61,58.88,58,65.192,21,0.098,6,24
5.5,363.19,22.404,20.487,19,24.0,10,10,10,18,33,32.651,32,36.707,6,0.121,4,14
6.3,283.29,21.705,21.786,23,32.5,14,18,17,21,33,32.0,31,35.286,14,0.061,2,10
5.3,348.2,25.449,24.783,25,34.0,16,15,12,23,36,35.025,34,37.878,15,0.139,5,11
6.1,355.45,29.358,28.083,27,38.0,18,20,18,25,44,42.549,42,46.95,16,0.114,5,17
4.3,214.03,11.585,11.331,12,16.0,6,7,6,11,16,15.745,15,16.961,6,0.0,0,4
5.6,316.39,27.682,26.643,24,31.0,17,13,12,23,44,43.465,43,48.571,13,0.114,5,20
5.3,406.48,34.693,33.686,33,44.0,22,22,22,30,55,52.669,52,58.568,18,0.127,7,22
5.8,500.67,45.091,42.922,41,52.0,27,20,18,37,73,69.072,69,78.388,18,0.096,7,32
6.1,218.27,15.682,15.316,17,24.5,8,15,15,15,23,21.687,21,23.91,8,0.0,0,6
5.0,419.56,37.591,35.801,34,45.0,23,22,22,31,60,57.061,57,64.98,16,0.117,7,26
6.8,234.28,20.307,19.666,21,31.0,14,20,20,18,31,28.058,28,31.239,14,0.032,1,10
5.6,372.14,22.71,23.002,26,37.0,15,17,12,23,32,30.611,29,32.005,15,0.031,1,6
5.3,405.26,29.671,29.046,30,41.0,18,19,16,27,44,42.338,41,46.001,15,0.045,2,14
5.7,439.36,32.046,30.174,30,42.0,20,23,22,27,45,42.342,42,46.455,20,0.067,3,15
5.7,347.45,31.779,30.235,28,38.0,21,19,18,26,49,46.912,47,52.651,18,0.122,6,21
5.3,402.49,35.239,33.971,34,45.0,23,22,22,30,56,52.342,52,58.358,18,0.089,5,22
6.4,281.39,26.563,24.993,23,31.0,17,16,16,21,42,39.702,40,45.026,12,0.071,3,19
5.2,333.3,23.341,24.079,26,35.5,15,18,17,24,36,35.909,34,39.381,14,0.056,2,10
6.2,410.42,31.387,31.485,34,46.5,20,25,25,30,50,47.592,46,52.579,16,0.08,4,16
4.2,175.21,14.756,14.359,14,20.0,9,11,10,13,23,22.284,22,24.95,8,0.043,1,9
8.0,343.85,28.671,27.337,27,35.0,17,16,16,24,45,42.345,42,47.551,11,0.067,3,18
5.3,419.48,35.301,34.499,36,52.5,24,29,27,32,53,49.458,49,54.774,22,0.094,5,17
5.3,532.52,40.301,40.637,44,59.0,27,29,28,39,63,60.2,58,65.959,25,0.063,4,19
5.3,288.37,26.796,25.445,24,34.0,19,19,18,22,40,37.716,38,42.112,18,0.1,4,16
6.2,358.41,29.779,29.146,30,43.0,20,23,22,27,45,42.542,42,47.406,17,0.089,4,15
5.7,500.63,41.898,40.201,40,54.5,26,28,27,36,64,60.622,60,67.275,23,0.109,7,24
5.0,360.46,31.819,30.531,30,41.5,20,22,21,27,50,47.123,47,53.106,16,0.12,6,20
5.2,338.12,19.659,18.171,19,26.0,11,13,12,17,26,24.571,24,26.754,11,0.0,0,7
6.5,380.44,31.239,30.583,32,42.5,20,21,21,28,50,46.821,46,52.576,14,0.06,3,18
5.0,381.44,28.995,28.377,29,35.0,17,9,6,26,46,44.458,43,49.044,10,0.043,2,17
5.3,470.57,41.216,39.74,38,52.0,27,25,22,35,64,61.436,61,68.398,22,0.125,8,26
6.7,275.33,21.102,20.457,21,29.5,13,16,15,19,31,29.756,29,32.625,12,0.065,2,10
5.0,300.77,24.142,23.262,23,32.0,15,17,16,21,36,34.476,34,38.223,14,0.083,3,13
6.2,277.34,25.245,24.139,23,32.0,18,15,12,21,38,35.942,36,39.824,17,0.079,3,15
5.3,319.82,26.875,25.536,24,30.5,16,12,11,22,42,40.353,40,45.179,10,0.071,3,18
4.3,237.28,20.517,19.886,20,29.0,14,17,16,18,31,29.167,29,32.365,13,0.065,2,11
5.0,415.55,37.347,35.606,35,46.5,23,22,21,31,60,55.992,56,63.434,16,0.067,4,25
5.9,460.54,35.529,34.772,34,46.0,20,21,18,32,55,54.578,53,60.409,17,0.145,8,21
6.1,525.78,49.552,45.911,41,55.0,31,24,22,38,76,72.167,73,81.849,20,0.132,10,35
5.3,327.2,23.421,22.218,23,33.0,15,20,20,20,34,31.171,31,34.496,14,0.029,1,11
5.3,333.22,22.512,21.077,21,30.0,14,17,16,19,30,28.371,28,30.628,14,0.067,2,9
6.2,424.5,35.216,34.351,34,45.0,22,22,22,31,56,53.916,53,60.615,16,0.107,6,22
5.3,616.81,53.739,51.109,51,68.5,34,34,33,45,83,77.149,77,86.308,28,0.096,8,32
5.3,515.67,46.506,44.341,41,54.0,29,24,22,38,74,71.189,71,80.142,21,0.135,10,33
5.3,411.9,35.625,34.02,33,47.0,26,22,18,30,51,48.033,48,52.598,22,0.078,4,18
5.6,331.43,27.358,26.083,26,34.5,16,14,11,23,43,40.549,40,44.95,11,0.093,4,17
5.3,352.21,24.665,23.713,25,37.0,16,21,20,22,35,32.389,32,35.579,14,0.029,1,10
5.3,353.48,30.665,28.895,27,36.5,19,18,17,25,46,44.105,44,49.155,15,0.109,5,19
6.1,340.41,30.046,28.961,30,42.0,21,23,22,26,46,42.036,42,46.694,20,0.065,3,16
5.5,406.45,33.415,32.828,33,45.0,22,23,22,30,52,49.971,49,55.283,20,0.077,4,19
5.0,362.34,26.313,26.826,28,37.5,17,18,17,26,41,40.902,39,44.922,15,0.073,3,13
5.0,347.32,25.307,25.805,27,36.0,17,15,12,25,39,38.8,37,42.424,15,0.128,5,12
5.0,378.19,24.182,22.224,22,30.5,14,13,11,20,33,31.338,31,34.584,11,0.03,1,11
5.2,354.49,33.875,31.827,30,42.0,23,23,22,27,52,48.36,49,54.73,20,0.096,5,22
6.4,449.55,36.614,35.321,35,48.0,23,24,22,32,55,52.822,52,58.492,21,0.091,5,20
6.3,455.63,40.745,38.277,36,50.0,26,24,22,33,61,57.749,58,64.773,20,0.049,3,25
6.4,434.98,36.995,35.213,35,46.0,22,22,22,31,58,54.207,54,61.252,17,0.086,5,23
5.3,484.66,44.841,42.406,39,52.0,28,24,22,36,71,67.752,68,76.806,21,0.099,7,32
5.0,466.59,41.557,39.826,38,53.0,27,25,22,35,64,61.101,61,68.561,21,0.094,6,26
6.2,455.63,40.745,38.277,36,50.0,26,24,22,33,61,57.749,58,64.773,20,0.066,4,25
5.3,325.33,24.921,25.027,26,36.0,16,19,18,24,38,37.211,36,40.911,16,0.132,5,12
5.1,317.33,24.165,24.222,25,34.0,15,17,16,23,38,37.28,36,41.456,12,0.105,4,13
5.0,400.31,25.671,27.261,30,39.5,17,18,17,28,40,41.112,38,44.732,15,0.05,2,10
7.0,418.52,34.159,32.906,33,46.0,21,24,22,30,51,48.643,48,53.82,20,0.078,4,18
5.0,327.41,29.801,28.467,28,39.5,21,23,23,25,45,41.818,42,46.611,20,0.111,5,17
5.3,490.59,39.591,38.389,38,54.0,24,28,24,35,60,58.065,57,64.069,22,0.117,7,22
6.8,384.91,32.438,30.885,30,39.0,19,17,16,27,51,48.331,48,54.465,12,0.078,4,21
5.3,293.36,25.29,24.456,24,33.0,16,18,18,22,39,37.254,37,41.777,15,0.103,4,15
7.7,329.82,26.909,25.81,26,34.0,16,16,16,23,42,39.462,39,44.136,11,0.071,3,16
7.3,488.59,39.62,38.343,39,53.5,25,28,27,35,60,56.923,56,62.99,23,0.1,6,21
7.7,302.35,26.489,25.633,26,36.5,19,19,17,23,40,37.16,37,40.907,19,0.05,2,14
5.0,224.28,20.273,19.392,19,27.0,14,16,16,17,31,28.949,29,32.282,13,0.032,1,12
5.4,356.81,27.841,27.172,28,37.5,18,18,17,25,42,39.873,39,43.978,16,0.048,2,14
8.3,436.55,39.546,37.783,37,50.5,27,25,23,33,61,56.898,57,63.564,24,0.115,7,24
6.0,424.5,36.273,35.246,36,50.5,24,28,27,32,56,52.451,52,58.315,22,0.107,6,20
5.2,313.76,24.591,23.955,24,33.0,16,15,12,22,36,34.702,34,37.934,15,0.139,5,12
7.2,366.75,24.955,25.412,27,36.5,16,18,17,25,37,37.014,35,40.242,15,0.054,2,10
7.3,420.97,33.54,31.787,31,41.0,18,18,16,28,52,49.734,49,55.594,11,0.096,5,21
5.3,297.37,23.415,22.589,24,33.0,14,17,16,21,35,32.564,32,35.867,12,0.029,1,11
4.8,227.25,18.006,17.875,19,26.0,11,13,12,17,28,26.604,26,29.531,11,0.0,0,9
5.0,345.46,29.483,27.928,29,41.5,19,25,25,25,44,40.003,40,44.488,17,0.068,3,15
5.4,385.94,33.955,31.917,30,38.0,20,16,16,27,54,50.996,51,57.797,12,0.093,5,24
5.0,473.8,32.904,31.001,31,43.0,20,23,22,28,45,42.665,42,46.399,19,0.089,4,14
8.801,466.58,41.762,40.025,42,55.0,28,25,24,35,68,61.109,61,68.189,19,0.029,2,26
5.7,474.62,42.534,40.594,39,49.5,26,19,17,35,69,65.196,65,73.6,17,0.087,6,30
5.7,331.76,24.324,24.14,25,34.5,15,18,17,23,36,35.207,34,38.645,15,0.083,3,11
5.3,394.51,36.33,34.542,34,47.5,25,27,27,30,56,51.687,52,57.939,22,0.107,6,22
5.3,398.32,26.188,27.593,30,39.5,17,18,17,28,41,41.927,39,45.602,15,0.073,3,11
5.0,455.49,35.398,35.229,36,47.0,22,20,18,33,56,54.647,53,61.038,18,0.071,4,20
4.9,191.21,15.21,15.074,15,21.0,9,11,10,14,24,23.611,23,26.159,8,0.083,2,9
6.1,301.37,27.04,25.94,26,36.0,19,19,18,23,41,37.934,38,42.196,18,0.024,1,15
5.3,219.27,18.733,18.128,17,23.0,11,11,10,16,30,29.378,29,32.99,8,0.133,4,13
6.2,265.3,21.767,21.402,22,31.5,14,18,17,20,33,31.487,31,34.947,14,0.061,2,11
7.0,612.77,54.336,52.118,52,70.0,36,35,34,46,85,79.141,79,88.933,30,0.094,8,33
5.3,366.75,24.955,25.412,27,36.5,16,18,17,25,37,37.014,35,40.242,15,0.054,2,10
5.0,335.21,25.0,24.089,24,33.0,15,17,16,22,36,34.8,34,38.167,14,0.083,3,12
5.3,368.29,23.972,25.351,28,37.5,16,18,17,26,37,37.716,35,40.977,15,0.054,2,9
5.1,475.51,37.784,37.395,37,46.5,24,18,17,34,61,59.756,58,66.334,15,0.115,7,24
6.1,361.5,32.211,30.181,29,40.0,21,22,22,26,48,44.778,45,49.946,18,0.125,6,19
5.7,401.53,34.461,32.697,33,45.0,22,23,22,29,52,48.098,48,53.527,19,0.038,2,19
7.9,427.99,36.966,34.96,33,42.0,21,17,16,30,59,56.2,56,63.794,12,0.102,6,26
5.1,297.31,23.671,23.511,24,33.0,16,15,12,22,36,34.891,34,38.329,15,0.139,5,12
5.9,435.56,38.046,36.516,35,46.0,23,22,22,32,61,58.389,58,66.189,16,0.131,8,26
7.4,351.44,31.597,30.268,31,44.5,22,27,27,27,48,43.811,44,48.983,21,0.083,4,17
5.3,304.85,27.938,25.853,23,28.5,17,11,11,21,44,41.691,42,47.302,9,0.068,3,21
6.0,497.67,43.961,41.518,40,54.0,28,24,22,36,67,62.96,63,70.398,20,0.06,4,27
7.3,454.6,39.228,37.245,37,51.5,25,28,27,33,59,55.083,55,61.441,23,0.068,4,22
5.4,258.25,19.875,20.009,21,28.5,13,13,11,19,31,30.047,29,32.495,11,0.065,2,10
5.6,420.54,37.04,35.494,34,45.0,23,22,22,31,59,56.287,56,63.691,16,0.119,7,25
5.1,371.57,21.273,19.504,20,27.5,12,13,11,18,27,25.676,25,27.615,12,0.037,1,7
7.2,362.34,26.313,26.826,28,37.5,17,18,17,26,41,40.902,39,44.922,15,0.073,3,13
5.3,374.53,35.489,33.277,28,34.0,21,9,6,27,58,56.883,57,64.647,10,0.155,9,30
7.3,271.72,21.375,20.714,21,30.0,14,17,16,19,31,29.491,29,32.309,14,0.065,2,10
6.5,359.9,31.194,29.391,27,34.0,18,13,12,25,49,47.112,47,53.382,12,0.102,5,22
5.6,314.8,25.904,24.789,24,32.5,16,17,17,22,39,37.36,37,41.638,13,0.128,5,15
7.1,403.52,33.944,32.365,34,46.5,22,25,25,29,52,47.283,47,52.658,18,0.077,4,18
6.8,343.41,30.256,29.181,29,41.0,21,23,22,26,46,43.145,43,47.82,20,0.087,4,17
5.0,432.37,36.222,34.142,31,41.0,23,18,16,29,54,52.334,52,57.997,17,0.13,7,23
5.7,321.38,27.739,26.85,26,36.0,19,19,18,24,42,40.331,40,44.95,18,0.119,5,16
5.7,277.75,20.261,19.374,20,28.0,12,16,16,18,28,26.684,26,28.814,12,0.071,2,8
5.6,483.69,44.267,41.33,38,52.0,28,24,22,35,67,63.516,64,71.603,20,0.075,5,29
5.3,345.43,31.017,29.708,29,40.0,21,22,22,26,48,45.029,45,50.235,18,0.083,4,19
7.0,474.54,38.131,37.503,38,46.0,23,14,12,34,63,60.523,59,67.995,12,0.095,6,25
6.5,281.4,26.358,24.795,23,31.0,16,16,16,21,42,39.694,40,45.398,12,0.119,5,19
5.6,376.45,32.478,31.444,31,42.5,21,22,21,28,51,48.458,48,53.943,17,0.098,5,20
5.7,560.71,49.239,47.227,46,58.0,31,23,22,41,80,75.545,75,85.316,20,0.088,7,34
5.0,348.83,26.449,25.363,25,34.0,16,17,16,23,38,36.887,36,39.98,14,0.105,4,13
6.8,379.5,35.12,33.321,33,46.5,24,27,27,29,54,49.578,50,55.813,21,0.074,4,21
5.8,386.5,34.58,33.058,32,45.0,22,22,20,29,54,51.007,51,57.521,15,0.13,7,22
6.2,346.39,28.983,28.345,29,41.0,20,23,22,26,44,41.549,41,46.034,20,0.068,3,15
5.0,307.38,27.256,26.181,25,34.0,18,15,12,23,42,40.145,40,44.82,15,0.071,3,17
6.1,317.44,28.233,26.412,26,37.0,19,22,22,23,41,37.683,38,41.906,18,0.098,4,15
6.2,413.08,24.438,23.178,22,30.0,14,14,12,21,33,32.836,32,35.673,14,0.091,3,11
7.9,342.87,29.222,27.644,27,35.0,17,16,16,24,46,43.12,43,48.84,11,0.065,3,19
5.3,428.91,34.915,33.832,35,49.5,23,28,27,31,52,48.563,48,53.634,22,0.096,5,17
4.1,210.25,18.512,17.865,18,25.0,13,13,12,16,28,26.065,26,28.867,12,0.036,1,10
5.8,499.59,42.705,41.429,41,55.0,28,24,22,37,67,63.723,63,71.027,20,0.06,4,26
6.5,437.63,38.756,36.32,34,43.5,22,18,17,31,61,57.952,58,65.77,14,0.098,6,27
7.1,282.38,25.807,24.488,23,31.0,16,16,16,21,41,38.92,39,44.109,12,0.122,5,18
5.4,375.53,34.893,32.891,31,40.5,21,18,17,28,56,52.665,53,60.225,15,0.089,5,25
8.0,373.23,26.091,25.174,25,34.5,16,18,17,23,38,36.709,36,40.33,15,0.079,3,13
5.5,383.49,34.574,33.036,32,45.0,23,24,22,29,53,49.905,50,56.023,21,0.113,6,21
6.4,359.42,30.506,29.697,30,42.0,20,23,22,27,47,44.465,44,49.402,19,0.064,3,17
5.3,542.68,43.989,42.06,43,58.5,28,29,27,38,65,60.822,60,66.408,24,0.092,6,22
5.3,545.66,45.529,43.862,43,58.0,29,27,24,39,70,66.949,66,73.654,25,0.1,7,27
5.0,453.58,41.517,39.53,38,52.0,28,27,26,34,65,60.891,61,68.106,22,0.108,7,27
6.0,352.48,32.546,30.783,28,37.0,20,17,16,26,52,49.898,50,56.564,14,0.154,8,24
5.4,527.69,47.302,45.143,44,57.0,29,26,26,39,77,72.181,72,81.514,18,0.104,8,33
6.2,291.15,21.023,20.321,21,29.5,13,17,17,19,29,27.705,27,30.127,13,0.069,2,8
5.9,363.31,26.591,24.459,23,31.0,15,16,16,21,38,36.014,36,40.246,13,0.105,4,15
5.9,424.45,34.205,33.907,36,50.5,23,26,23,32,52,49.011,48,53.694,23,0.077,4,16
5.3,342.42,31.012,29.687,29,41.0,22,23,22,26,47,43.927,44,48.737,20,0.064,3,18
5.2,374.45,32.506,31.398,31,43.0,22,23,22,28,50,47.316,47,52.864,20,0.08,4,19
6.0,376.52,33.216,31.202,30,41.5,21,22,21,27,50,46.88,47,52.444,18,0.1,5,20
7.4,343.81,26.398,25.799,26,35.5,15,18,17,24,40,38.898,38,43.302,14,0.125,5,14
5.5,359.42,30.506,29.697,30,42.0,20,23,22,27,47,44.465,44,49.402,19,0.064,3,17
5.0,339.45,28.904,27.369,26,35.5,18,18,17,24,43,41.222,41,45.74,15,0.116,5,17
5.3,301.16,20.659,19.691,20,28.5,13,17,17,18,29,27.287,27,30.08,13,0.069,2,9
5.6,454.53,37.432,36.593,36,47.0,23,22,22,33,60,58.127,57,65.24,16,0.117,7,24
5.3,425.54,37.222,35.761,34,42.5,22,17,17,31,61,58.538,58,65.896,13,0.131,8,27
5.3,391.44,31.148,30.713,30,39.0,19,17,16,28,50,49.327,48,55.457,13,0.14,7,20
6.4,372.86,30.364,29.226,29,38.0,19,17,16,26,47,44.64,44,49.808,14,0.064,3,18
5.4,464.6,41.017,39.263,37,48.0,25,22,22,34,66,63.381,63,71.731,16,0.136,9,29
5.3,444.23,27.875,28.071,29,37.5,17,14,11,27,42,42.24,40,45.89,13,0.119,5,13
5.1,278.78,21.779,20.406,20,26.5,13,12,11,18,31,29.349,29,32.146,10,0.032,1,11
6.0,377.85,31.114,30.009,30,41.5,21,23,23,27,46,43.469,43,47.764,21,0.087,4,16
7.1,439.54,35.949,34.686,37,53.0,23,31,30,32,54,49.534,49,54.694,22,0.074,4,17
5.3,326.38,28.284,27.434,28,41.0,20,23,22,25,42,39.153,39,43.279,18,0.048,2,14
5.0,327.43,29.029,27.751,26,33.0,17,13,12,24,47,45.232,45,51.232,11,0.106,5,21
5.3,306.41,26.682,25.106,25,35.0,18,17,16,22,39,35.909,36,39.617,13,0.051,2,14
6.3,276.37,25.591,24.246,23,32.0,17,18,18,21,39,36.709,37,41.484,15,0.077,3,16
5.8,315.35,25.676,25.233,25,34.0,17,17,16,23,40,38.843,38,43.29,14,0.1,4,15
5.3,324.42,29.023,27.73,26,34.0,18,14,12,24,46,44.131,44,49.734,14,0.087,4,20
7.7,360.88,30.642,29.084,27,35.0,18,16,16,25,48,46.338,46,52.093,12,0.167,8,21
6.5,305.36,26.495,25.655,26,35.0,18,14,12,23,41,38.262,38,42.405,12,0.024,1,15
6.8,329.87,28.978,27.149,25,33.0,17,16,16,23,45,42.902,43,48.757,12,0.111,5,20
5.2,261.75,19.807,18.659,19,27.0,12,16,16,17,27,25.356,25,27.605,12,0.074,2,8
5.3,332.43,30.773,29.214,27,37.0,21,19,18,25,47,44.811,45,50.152,18,0.128,6,20
5.3,430.98,32.449,30.679,31,42.5,18,22,21,28,46,43.833,43,48.059,16,0.13,6,15
5.0,273.37,25.017,23.708,21,27.0,15,9,6,20,40,39.029,39,44.235,9,0.075,3,19
7.4,342.46,28.909,27.39,26,34.0,17,14,12,24,44,42.323,42,47.238,13,0.114,5,18
5.3,399.82,29.654,29.411,29,36.0,19,13,12,27,46,45.782,44,50.242,13,0.13,6,17
5.7,348.39,28.955,28.391,29,40.5,19,22,21,26,45,42.691,42,47.113,17,0.067,3,16
6.1,384.45,32.54,31.673,33,46.5,22,27,27,29,50,46.425,46,51.821,21,0.08,4,17
5.3,206.61,13.131,13.429,16,23.5,7,15,15,14,19,18.051,17,19.519,7,0.0,0,3
6.3,448.55,38.495,37.209,37,47.0,24,16,12,33,62,58.614,58,65.9,15,0.065,4,25
5.6,260.31,23.273,22.392,23,33.0,17,18,16,20,35,31.949,32,35.282,17,0.029,1,12
6.2,505.6,40.801,39.609,40,55.0,25,26,22,36,63,60.174,59,66.195,21,0.095,6,23
6.9,451.56,36.381,35.169,35,47.5,21,23,21,32,56,53.956,53,59.943,17,0.125,7,21
5.7,347.37,27.233,27.16,29,41.0,17,23,22,26,42,40.018,39,44.153,17,0.119,5,13
5.3,360.37,27.62,27.638,28,37.5,18,18,17,26,43,42.458,41,47.128,15,0.07,3,15
5.9,302.36,26.284,25.434,26,36.0,18,16,12,23,40,37.153,37,41.279,17,0.05,2,14
5.8,420.49,34.972,34.156,35,46.5,22,22,21,31,56,52.847,52,59.07,16,0.071,4,21
8.1,348.41,29.745,28.871,29,40.0,20,22,22,26,46,43.432,43,48.449,18,0.109,5,17
5.0,367.49,28.824,27.303,28,39.5,17,22,21,25,41,38.524,38,42.202,16,0.073,3,13
5.3,292.38,27.04,25.641,24,33.0,19,18,18,22,41,38.785,39,43.658,17,0.098,4,17
8.5,343.85,28.671,27.337,27,35.0,17,16,16,24,45,42.345,42,47.551,11,0.067,3,18
5.0,390.49,34.034,32.772,32,43.5,21,22,21,29,54,51.334,51,57.73,16,0.13,7,22
5.6,340.49,30.216,28.202,27,35.5,18,16,15,24,47,43.88,44,49.444,12,0.064,3,20
6.2,363.47,30.904,29.369,29,40.5,20,22,21,26,46,43.222,43,47.74,18,0.109,5,17
7.2,475.36,32.205,31.119,31,44.0,18,21,18,29,46,45.316,44,49.456,16,0.152,7,15
5.6,428.91,34.915,33.832,35,49.5,23,28,27,31,52,48.563,48,53.634,22,0.096,5,17
6.8,313.42,28.057,26.705,25,33.0,17,16,16,23,45,43.091,43,49.153,12,0.111,5,20
5.0,355.48,32.756,31.003,28,35.5,20,13,11,26,53,51.007,51,57.69,12,0.17,9,25
5.3,374.4,29.381,29.165,29,38.5,19,18,17,27,46,45.341,44,50.543,15,0.087,4,17
7.0,244.7,19.165,18.494,19,27.0,12,16,16,17,28,26.382,26,29.183,12,0.036,1,9
5.0,285.75,23.137,22.241,22,31.0,15,17,16,20,34,32.374,32,35.724,14,0.088,3,12
6.1,352.5,31.216,29.202,28,37.5,19,17,15,25,48,44.88,45,50.444,14,0.083,4,20
6.0,400.47,34.478,33.444,34,46.0,23,23,22,30,54,50.458,50,55.943,20,0.111,6,20
6.1,321.78,26.137,25.241,26,36.0,18,19,18,23,38,35.374,35,38.724,18,0.026,1,12
5.2,435.55,40.506,38.487,37,51.5,29,28,27,33,62,57.687,58,64.109,25,0.113,7,25
5.1,401.27,30.216,29.331,30,41.0,19,19,16,27,44,42.011,41,45.791,17,0.114,5,14
5.3,428.47,32.267,31.825,33,45.0,21,23,22,30,48,46.534,45,51.048,20,0.063,3,15
6.7,420.97,33.54,31.787,31,41.0,18,18,16,28,52,49.734,49,55.594,11,0.096,5,21
5.0,358.39,29.131,28.649,29,38.0,20,17,16,26,46,44.021,43,48.962,16,0.065,3,17
5.3,331.82,28.08,26.735,25,32.0,18,13,12,23,43,41.36,41,45.807,13,0.14,6,18
6.6,469.58,39.159,37.607,38,53.0,26,29,28,34,58,54.494,54,60.282,25,0.069,4,20
5.8,502.64,43.228,41.245,42,59.5,29,34,33,37,64,59.083,59,65.441,28,0.094,6,22
5.3,277.36,24.472,23.423,21,26.0,14,8,6,20,40,39.356,39,44.445,8,0.075,3,19
6.2,377.37,26.193,26.465,29,39.5,17,21,21,26,39,37.993,36,40.929,15,0.077,3,10
7.4,365.45,29.392,28.358,29,42.0,18,24,22,26,44,41.658,41,45.906,18,0.091,4,15
6.2,425.97,35.284,33.25,31,42.0,22,20,18,29,51,49.313,49,54.515,20,0.098,5,20
6.5,383.51,33.245,31.455,32,46.0,22,27,26,28,49,44.887,45,49.903,22,0.061,3,17
8.4,362.89,31.972,30.128,29,40.0,21,22,22,26,48,44.8,45,50.259,18,0.083,4,19
7.5,506.58,39.557,38.726,40,54.5,25,28,27,36,60,57.436,56,63.33,23,0.083,5,20
6.8,386.51,33.455,31.675,31,44.0,22,24,22,28,49,45.996,46,51.029,21,0.102,5,18
5.9,368.86,28.994,27.648,28,38.0,19,19,18,25,41,38.56,38,41.771,18,0.049,2,13
6.8,233.3,20.495,19.655,18,23.0,12,5,0,17,33,32.262,32,36.405,8,0.061,2,15
7.1,404.49,32.398,31.379,32,45.0,20,24,22,29,48,45.76,45,50.405,20,0.083,4,16
5.3,375.42,30.96,30.412,31,43.0,20,20,16,28,48,45.793,45,50.611,18,0.083,4,17
5.1,221.28,20.063,19.171,19,28.0,14,17,16,17,30,27.84,28,31.156,14,0.067,2,11
6.1,311.43,28.574,27.036,25,33.0,17,16,16,23,46,43.905,44,50.023,12,0.13,6,21
6.2,268.35,24.046,22.961,22,30.0,15,13,10,20,38,36.036,36,40.694,12,0.079,3,16
5.4,492.51,37.642,37.723,40,54.5,24,28,27,36,59,56.865,55,63.121,22,0.068,4,19
5.9,241.3,18.438,17.821,19,28.5,11,16,15,17,26,24.469,24,26.827,10,0.038,1,7
6.2,428.52,33.83,32.862,32,44.0,19,21,18,30,52,51.182,50,56.654,17,0.154,8,20
5.3,317.41,25.392,24.358,24,34.0,14,18,16,22,39,37.658,37,41.906,13,0.103,4,15
6.4,380.39,29.171,29.244,32,44.5,19,25,25,28,46,43.382,42,47.955,16,0.065,3,14
8.4,288.76,23.142,22.262,22,30.0,14,16,16,20,35,33.476,33,37.223,12,0.114,4,13
5.8,269.33,23.495,22.655,22,29.5,15,13,11,20,37,35.262,35,39.405,12,0.081,3,15
5.3,462.44,36.699,34.405,33,42.5,21,18,17,30,54,51.513,51,57.246,16,0.093,5,21
5.9,287.34,25.279,24.413,25,35.0,18,19,18,22,38,35.051,35,38.78,18,0.026,1,13
5.0,363.45,29.057,27.993,28,34.0,17,9,6,25,46,43.945,43,48.704,10,0.043,2,18
6.6,568.76,49.944,47.308,45,61.0,31,29,26,41,77,73.156,73,81.936,25,0.117,9,32
6.1,305.33,25.216,24.796,26,36.0,18,19,18,23,38,35.563,35,39.12,18,0.026,1,12
5.5,252.34,23.796,22.445,21,29.0,16,16,16,19,37,34.716,35,39.112,12,0.027,1,16
