pXC50,P_VSA_v_2,SAacc,P_VSA_p_2,TPSA.NO.,GMTI,SpMin4_Bh.e.,X0v,SpMax5_Bh.e.,CSI,SMTIV,X0sol,SpMax5_Bh.i.,SpMaxA_EA.ri.,UNIP,Xu,Psi_i_s,SMTI,SpMin5_Bh.i.,RDCHI,SpMaxA_AEA.ri.,IDDM,Sv,Eig07_EA,SM15_AEA.bo.,SpMaxA_EA,Eta_epsi,Eig15_EA.ed.,SM10_AEA.ri.,ECC,ON1,LPRS,SpMin5_Bh.v.,SpMax6_Bh.s.,Chi0_EA.ed.,X1sol,SpMin5_Bh.e.,SpMaxA_AEA.bo.,ATS1v,Dz,IVDM,X1,IDM,SpMax4_Bh.s.,SpMin5_Bh.m.,X1Mad,SpMaxA_AEA.ed.,ATS8p,MDDD,TIC5,BID,nSK,Psi_e_0,Eig15_EA,SM09_AEA.dm.,CID,Chi0_EA.ri.,VAR,SpMax8_Bh.s.,Chi0_EA.bo.,TIC4,TIC2,VvdwZAZ,Eig07_AEA.ri.,Eig15_AEA.ri.,Uindex,SpMin4_Bh.p.
7.231,226.801,226.801,226.801,147.05,19372.0,1.658,22.118,3.55,950.0,30435.0,27.75,3.55,0.097,134.0,33.427,98.75,18126.0,1.389,4.241,0.121,5.243,44.292,2.278,2.278,0.099,45.333,2.54,2.54,422.0,7.979,207.155,1.644,4.858,13.869,18.396,1.424,0.122,3.901,89.0,5.155,18.396,9.321,6.447,1.671,17.402,0.216,4.359,40.656,384.593,3.695,39,15.247,1.0,1.0,4.406,25.971,219.0,4.638,24.422,384.593,350.983,476.39,3.253,2.0,50.022,1.828
7.394,226.801,226.801,226.801,147.05,19952.0,1.653,22.118,3.566,1019.0,31224.0,27.75,3.57,0.097,138.0,33.608,98.75,18607.0,1.408,4.27,0.121,5.242,44.292,2.247,2.247,0.099,45.333,2.648,2.648,452.0,7.979,208.068,1.676,4.855,13.865,18.396,1.44,0.122,3.901,89.0,5.155,18.396,9.307,6.461,1.679,17.402,0.216,4.308,41.999,384.593,3.695,39,15.253,1.0,1.0,4.406,25.971,226.0,4.622,24.422,384.593,350.983,476.39,3.228,2.0,50.162,1.817
7.539,215.801,215.801,215.801,137.82,16939.0,1.652,22.059,3.549,842.0,28298.0,27.706,3.547,0.099,121.0,32.266,97.528,15964.0,1.386,4.075,0.124,5.211,42.877,2.278,2.278,0.102,43.652,2.275,2.275,375.0,7.646,198.158,1.643,4.951,12.969,18.078,1.423,0.125,3.877,86.333,5.106,17.789,9.268,6.447,1.671,16.62,0.221,4.501,35.019,356.389,3.67,38,14.855,1.0,1.0,4.379,25.123,198.0,4.564,23.431,356.389,329.144,465.51,3.246,1.996,47.97,1.803
9.5,131.469,129.57,131.469,98.05,39857.0,1.709,27.633,3.686,2084.0,57890.0,31.548,3.742,0.066,354.0,40.698,93.5,40786.0,1.59,5.585,0.092,5.39,56.367,1.841,1.841,0.07,53.9,1.676,1.676,1048.0,10.5,264.437,1.866,4.37,18.911,20.921,1.625,0.099,4.012,93.5,5.365,20.921,9.485,4.784,1.879,20.03,0.149,4.502,88.047,537.251,3.786,43,16.117,0.843,0.843,4.451,29.913,438.0,4.265,28.017,504.432,421.632,644.72,2.836,1.796,181.855,1.904
8.301,70.695,66.897,70.695,60.89,16580.0,1.639,19.23,3.479,898.0,25142.0,23.217,3.533,0.082,141.0,30.481,68.611,14949.0,1.453,4.427,0.112,5.016,36.304,1.934,1.934,0.088,31.552,1.894,1.894,395.0,7.083,173.825,1.68,4.34,13.391,16.884,1.505,0.123,3.704,69.333,4.997,16.187,8.796,4.78,1.649,15.002,0.184,3.922,33.449,273.438,3.532,33,12.122,0.683,0.683,4.255,23.61,148.0,4.17,19.306,273.438,234.909,375.16,2.873,1.571,43.189,1.787
7.398,70.941,70.941,70.941,51.22,14316.0,1.709,19.142,3.586,941.0,21290.0,22.313,3.636,0.089,163.0,30.29,64.167,14297.0,1.545,4.431,0.121,4.923,39.428,1.546,1.546,0.089,34.833,-0.098,-0.098,460.0,7.361,167.244,1.758,4.23,13.356,15.118,1.594,0.132,3.704,65.0,4.898,15.118,8.587,4.522,1.789,14.745,0.192,4.144,39.908,370.163,3.47,31,11.47,-0.042,-0.042,4.143,21.471,159.0,3.935,19.208,370.163,316.679,444.96,2.52,0.939,73.285,1.883
8.222,95.24,93.341,80.28,63.38,21404.0,1.635,20.572,3.545,1015.0,31753.0,24.648,3.585,0.076,165.0,33.285,83.167,19564.0,1.49,4.591,0.102,5.184,41.473,2.231,2.231,0.08,36.981,2.38,2.38,453.0,7.972,201.379,1.706,4.691,14.711,17.597,1.532,0.112,3.825,79.0,5.147,18.008,9.137,4.856,1.721,17.451,0.168,4.135,37.978,346.265,3.643,37,13.738,0.936,0.936,4.36,25.708,166.0,4.322,21.967,346.265,292.211,440.06,3.216,1.906,50.941,1.809
8.155,95.24,93.341,80.28,63.38,20361.0,1.577,20.219,3.534,988.0,31535.0,24.131,3.573,0.078,161.0,32.641,81.667,18523.0,1.453,4.576,0.104,5.145,39.607,2.024,2.024,0.081,35.348,2.38,2.38,439.0,7.778,194.775,1.676,4.689,14.494,17.641,1.498,0.114,3.788,77.0,5.116,17.597,9.055,4.855,1.657,16.58,0.171,4.07,36.278,314.457,3.616,36,13.344,0.935,0.935,4.337,25.382,156.0,4.3,21.39,314.457,264.403,423.97,2.973,1.899,48.959,1.758
7.886,80.28,78.381,80.28,65.07,25782.0,1.643,22.423,3.7,1147.0,38499.0,27.363,3.726,0.073,188.0,34.748,83.611,23105.0,1.596,4.794,0.096,5.264,43.051,2.182,2.182,0.074,37.019,2.56,2.56,503.0,8.361,216.123,1.721,4.579,15.731,19.794,1.627,0.104,3.884,81.833,5.233,19.097,9.287,4.843,1.715,17.918,0.156,4.143,37.566,338.321,3.693,39,14.4,1.031,1.031,4.421,27.648,155.0,4.328,23.102,330.321,264.706,456.47,3.109,2.025,50.442,1.822
7.824,82.179,78.381,82.179,68.31,24354.0,1.64,22.402,3.547,1119.0,38146.0,27.319,3.579,0.072,181.0,34.068,83.222,21777.0,1.559,4.719,0.098,5.226,41.373,2.182,2.182,0.076,36.805,2.532,2.532,489.0,8.028,209.165,1.705,4.553,14.87,19.477,1.591,0.108,3.838,80.667,5.186,18.491,9.206,4.941,1.691,16.922,0.16,4.069,36.499,314.457,3.668,38,14.028,1.0,1.0,4.395,26.883,161.0,4.329,22.318,314.457,282.457,436.06,3.108,1.951,48.641,1.788
9.699,80.28,78.381,80.28,63.38,18909.0,1.628,20.528,3.54,951.0,28774.0,24.794,3.579,0.078,156.0,31.886,75.278,17193.0,1.461,4.513,0.107,5.105,39.051,1.957,1.957,0.083,34.219,1.953,1.953,422.0,7.528,187.663,1.681,4.512,14.051,17.794,1.506,0.117,3.775,73.833,5.074,17.097,8.973,4.814,1.688,15.913,0.175,4.043,34.327,305.22,3.589,35,12.929,0.792,0.792,4.309,24.731,144.0,4.188,20.813,305.22,262.691,418.45,2.899,1.768,46.989,1.72
8.155,53.91,50.112,53.91,48.0,22720.0,1.641,22.033,3.672,1035.0,31674.0,25.786,3.724,0.075,171.0,33.318,72.944,20234.0,1.591,4.704,0.1,5.187,42.39,2.151,2.151,0.078,36.052,2.511,2.511,451.0,7.917,201.729,1.716,4.333,15.09,18.884,1.615,0.111,3.87,76.833,5.164,18.187,9.134,4.768,1.719,17.071,0.164,4.164,35.705,345.02,3.643,37,13.668,1.0,1.0,4.374,26.458,138.0,4.172,22.199,345.02,296.491,438.3,3.08,2.0,46.756,1.824
7.602,80.28,78.381,80.28,65.07,25476.0,1.642,22.423,3.702,1092.0,38323.0,27.363,3.726,0.073,186.0,34.676,83.611,22871.0,1.595,4.782,0.096,5.265,43.051,2.181,2.181,0.074,37.019,2.85,2.85,480.0,8.361,215.791,1.711,4.615,15.731,19.794,1.621,0.104,3.884,81.833,5.233,19.097,9.292,4.842,1.707,17.918,0.156,4.202,36.906,318.321,3.694,39,14.394,1.232,1.232,4.421,27.641,149.0,4.328,23.102,315.566,261.951,456.47,3.109,2.198,50.399,1.824
7.301,137.923,136.024,122.963,83.61,21404.0,1.571,20.019,3.545,1015.0,32777.0,24.648,3.585,0.076,165.0,33.285,87.167,19564.0,1.469,4.591,0.102,5.184,40.661,2.231,2.231,0.08,37.148,2.38,2.38,453.0,7.972,201.379,1.692,4.728,14.711,17.597,1.512,0.112,3.806,80.0,5.147,18.008,9.137,5.077,1.711,17.389,0.168,4.083,37.978,336.321,3.643,37,13.771,0.936,0.936,4.36,25.744,166.0,4.459,21.967,336.321,282.267,431.55,3.216,1.906,50.941,1.764
6.699,140.12,138.221,80.28,63.38,24132.0,1.563,20.335,3.547,1075.0,40832.0,23.777,3.587,0.073,176.0,34.703,104.583,22246.0,1.466,4.692,0.099,5.259,41.096,2.216,2.216,0.079,40.224,2.528,2.528,484.0,8.278,215.57,1.693,5.075,15.191,17.187,1.514,0.108,3.817,87.5,5.212,18.809,9.295,7.999,1.674,17.968,0.167,4.051,42.915,327.008,3.693,39,15.189,0.973,0.973,4.408,26.907,186.0,4.728,22.953,327.008,272.954,440.97,3.192,1.924,54.979,1.762
8.046,113.379,109.58,113.379,81.12,17637.0,1.638,19.599,3.486,923.0,27600.0,24.087,3.535,0.08,149.0,31.161,74.278,15991.0,1.453,4.455,0.109,5.061,37.019,1.954,1.954,0.085,33.019,1.922,1.922,408.0,7.278,180.636,1.679,4.512,13.605,17.294,1.503,0.12,3.72,72.333,5.031,16.597,8.887,4.933,1.645,15.354,0.18,3.945,33.723,280.539,3.561,34,12.503,0.697,0.697,4.281,24.157,145.0,4.23,19.753,280.539,242.009,383.95,2.891,1.613,45.071,1.791
6.252,106.65,104.751,106.65,81.81,27067.0,1.642,22.754,3.706,1176.0,41522.0,28.233,3.729,0.071,194.0,35.392,89.944,24368.0,1.604,4.812,0.094,5.301,43.766,2.328,2.328,0.073,38.486,2.898,2.898,518.0,8.556,222.98,1.726,4.77,15.949,20.205,1.629,0.102,3.897,84.833,5.262,19.508,9.362,4.932,1.714,18.271,0.153,4.151,38.92,347.659,3.718,40,14.82,1.158,1.158,4.443,28.114,164.0,4.382,23.718,342.904,277.288,465.26,3.286,2.111,52.315,1.822
7.699,95.24,93.341,80.28,63.38,20361.0,1.577,19.702,3.545,988.0,30371.0,23.777,3.585,0.078,161.0,32.641,81.333,18523.0,1.469,4.576,0.104,5.145,39.946,2.024,2.024,0.081,35.681,2.38,2.38,439.0,7.778,194.775,1.694,4.69,14.494,17.187,1.516,0.114,3.791,77.0,5.116,17.597,9.055,4.856,1.714,17.036,0.171,4.061,36.278,327.008,3.616,36,13.354,0.935,0.935,4.337,25.21,156.0,4.3,21.39,327.008,272.954,422.76,2.973,1.904,48.959,1.759
8.699,80.28,78.381,80.28,65.07,18909.0,1.627,20.268,3.524,951.0,29304.0,24.794,3.559,0.078,156.0,31.886,76.278,17193.0,1.452,4.513,0.107,5.105,38.524,1.957,1.957,0.083,33.619,1.953,1.953,422.0,7.528,187.663,1.668,4.512,14.051,17.794,1.495,0.117,3.763,73.833,5.074,17.097,8.973,4.823,1.645,15.913,0.175,4.018,34.327,294.825,3.589,35,12.897,0.792,0.792,4.309,24.731,144.0,4.196,20.707,292.825,252.296,415.81,2.899,1.768,46.989,1.715
7.523,80.28,78.381,80.28,65.07,28820.0,1.643,24.536,3.702,1207.0,46915.0,30.104,3.726,0.07,205.0,36.118,91.167,26067.0,1.596,4.876,0.092,5.337,44.706,2.187,2.187,0.071,39.19,2.996,2.996,534.0,8.694,230.543,1.718,4.795,16.009,21.159,1.626,0.1,3.917,86.5,5.29,19.885,9.436,4.939,1.711,18.088,0.149,4.216,40.427,338.321,3.742,41,15.13,1.187,1.187,4.465,28.816,165.0,4.4,23.947,333.566,280.003,486.89,3.111,2.17,54.212,1.793
7.301,91.28,89.381,91.28,72.61,12820.0,1.618,18.748,3.439,761.0,20307.0,22.225,3.486,0.089,120.0,28.759,66.944,11922.0,1.429,4.173,0.122,4.923,35.292,1.798,1.798,0.095,32.786,1.014,1.014,343.0,6.722,158.949,1.668,4.356,12.492,15.811,1.479,0.134,3.652,66.833,4.896,15.114,8.628,4.624,1.64,13.778,0.2,4.018,30.612,272.825,3.473,31,11.494,0.432,0.432,4.182,22.038,139.0,3.853,18.977,272.825,253.215,377.2,2.737,1.425,43.435,1.765
6.0,95.24,93.341,80.28,63.38,21404.0,1.635,20.572,3.545,1015.0,31753.0,24.648,3.585,0.076,165.0,33.285,83.167,19564.0,1.49,4.591,0.102,5.184,41.473,2.231,2.231,0.08,36.981,2.38,2.38,453.0,7.972,201.379,1.706,4.691,14.711,17.597,1.532,0.112,3.825,79.0,5.147,18.008,9.137,4.856,1.721,17.451,0.168,4.135,37.978,346.265,3.643,37,13.738,0.936,0.936,4.36,25.708,166.0,4.322,21.967,346.265,292.211,440.06,3.216,1.906,50.941,1.809
8.398,80.28,78.381,80.28,63.38,24875.0,1.638,21.975,3.562,1128.0,36702.0,26.656,3.606,0.074,184.0,34.187,81.111,22159.0,1.461,4.761,0.097,5.226,42.051,2.174,2.174,0.076,36.319,2.614,2.614,492.0,8.083,209.716,1.679,4.516,15.167,19.277,1.507,0.107,3.863,79.833,5.194,18.581,9.201,4.874,1.669,17.398,0.159,4.067,37.474,329.008,3.668,38,14.044,1.121,1.121,4.398,26.89,148.0,4.309,22.478,327.008,276.954,441.81,3.11,2.098,48.683,1.769
7.921,105.425,103.526,105.425,82.14,26020.0,1.638,22.176,3.569,1153.0,39889.0,27.526,3.603,0.074,190.0,34.797,88.278,23291.0,1.46,4.771,0.097,5.265,42.239,2.186,2.186,0.075,37.186,2.752,2.752,505.0,8.306,216.393,1.676,4.793,15.388,19.705,1.5,0.105,3.867,82.833,5.224,19.008,9.281,4.943,1.655,17.766,0.158,4.054,37.726,305.72,3.693,39,14.458,1.193,1.193,4.42,27.424,149.0,4.328,22.964,305.72,262.911,447.96,3.116,2.174,50.511,1.765
8.301,80.28,78.381,80.28,63.38,19449.0,1.637,20.528,3.546,1010.0,29492.0,24.794,3.599,0.078,160.0,32.059,75.278,17639.0,1.456,4.546,0.107,5.103,39.051,1.954,1.954,0.083,34.219,2.065,2.065,447.0,7.528,188.464,1.681,4.516,14.033,17.794,1.507,0.117,3.775,73.833,5.074,17.097,8.962,4.804,1.665,15.911,0.175,4.001,35.654,305.22,3.589,35,12.933,0.877,0.877,4.309,24.743,163.0,4.199,20.851,303.22,264.691,418.45,2.895,1.887,47.085,1.753
6.959,121.61,119.711,106.65,81.81,20422.0,1.595,19.326,3.516,990.0,31730.0,23.941,3.564,0.08,162.0,32.666,86.167,18596.0,1.471,4.555,0.105,5.145,39.134,2.026,2.026,0.081,35.848,2.291,2.291,440.0,7.75,194.928,1.725,4.683,14.254,17.114,1.524,0.113,3.771,78.0,5.107,17.525,9.051,5.085,1.683,16.906,0.171,3.985,36.278,302.457,3.616,36,13.396,0.914,0.914,4.334,25.041,153.0,4.431,21.415,302.457,260.403,414.25,3.066,1.942,49.006,1.796
9.0,83.404,81.505,83.404,70.0,27828.0,1.644,22.947,3.701,1236.0,41841.0,28.07,3.726,0.069,200.0,35.577,85.944,25028.0,1.597,4.898,0.094,5.299,44.072,2.154,2.154,0.073,38.419,2.858,2.858,544.0,8.611,224.015,1.735,4.674,16.246,20.294,1.631,0.102,3.895,84.333,5.27,19.597,9.358,4.835,1.721,18.333,0.155,4.199,41.008,345.02,3.718,40,14.758,1.225,1.225,4.444,28.456,186.0,4.328,23.757,339.02,270.066,467.47,3.096,2.195,52.345,1.824
7.097,105.425,103.526,105.425,80.45,20114.0,1.626,20.988,3.54,980.0,31531.0,25.664,3.579,0.076,163.0,32.596,81.444,18378.0,1.462,4.554,0.104,5.145,39.766,2.026,2.026,0.081,35.686,1.954,1.954,437.0,7.694,194.604,1.685,4.717,14.189,18.188,1.507,0.114,3.791,76.833,5.107,17.491,9.057,4.876,1.69,16.235,0.171,4.082,36.444,310.457,3.616,36,13.343,0.792,0.792,4.334,25.142,152.0,4.201,21.428,310.457,290.847,438.14,2.987,1.768,48.93,1.723
7.602,122.963,121.064,122.963,85.3,27067.0,1.639,22.74,3.702,1176.0,41417.0,28.233,3.726,0.071,194.0,35.392,89.444,24368.0,1.596,4.812,0.094,5.301,43.766,2.328,2.328,0.073,38.486,2.898,2.898,518.0,8.556,222.98,1.72,4.773,15.949,20.205,1.627,0.102,3.897,84.833,5.262,19.508,9.362,4.943,1.71,18.271,0.153,4.162,38.92,347.659,3.718,40,14.811,1.158,1.158,4.443,28.183,164.0,4.479,23.679,339.659,274.043,465.26,3.242,2.083,52.315,1.822
6.301,114.599,112.7,99.639,79.01,20422.0,1.588,19.234,3.515,990.0,32138.0,23.941,3.562,0.08,162.0,32.666,87.167,18596.0,1.452,4.555,0.105,5.145,38.828,2.026,2.026,0.081,35.914,2.291,2.291,440.0,7.75,194.928,1.697,4.684,14.254,17.114,1.495,0.113,3.765,78.5,5.107,17.525,9.051,5.098,1.662,16.849,0.171,3.973,36.278,295.22,3.616,36,13.408,0.914,0.914,4.334,25.096,153.0,4.472,21.415,295.22,253.166,412.04,3.066,1.942,49.006,1.788
9.0,80.28,78.381,80.28,65.07,19449.0,1.636,20.268,3.533,1010.0,29977.0,24.794,3.582,0.078,160.0,32.059,76.278,17639.0,1.451,4.546,0.107,5.103,38.524,1.954,1.954,0.083,33.619,2.065,2.065,447.0,7.528,188.464,1.675,4.517,14.033,17.794,1.501,0.117,3.763,73.833,5.074,17.097,8.962,4.815,1.65,15.911,0.175,3.966,35.654,294.825,3.589,35,12.903,0.877,0.877,4.309,24.743,163.0,4.266,20.721,290.07,251.541,415.81,2.895,1.887,47.085,1.739
8.222,83.404,81.505,83.404,70.0,21622.0,1.638,21.345,3.557,1059.0,34256.0,26.371,3.599,0.075,173.0,33.362,81.778,19880.0,1.527,4.624,0.102,5.185,40.545,2.149,2.149,0.079,35.719,2.483,2.483,474.0,8.083,202.197,1.694,4.708,14.961,18.76,1.563,0.112,3.798,78.333,5.147,18.063,9.133,4.937,1.698,16.793,0.167,4.074,37.02,314.457,3.642,37,13.613,0.995,0.995,4.359,26.263,173.0,4.328,21.785,312.457,273.928,441.47,3.071,1.94,51.0,1.803
6.921,52.011,50.112,52.011,43.07,4741.0,1.408,16.147,3.03,358.0,8534.0,18.491,3.089,0.121,63.0,21.45,47.731,4564.0,1.235,3.307,0.165,4.499,26.051,1.414,1.414,0.129,22.01,-1.922,-1.922,163.0,4.889,102.713,1.351,3.819,8.802,12.621,1.255,0.181,3.37,47.733,4.44,11.059,7.805,4.359,1.226,9.529,0.271,3.225,13.977,170.015,3.191,23,8.463,-0.794,-0.794,3.883,16.248,58.0,3.516,13.287,170.015,154.405,285.1,2.355,0.058,31.426,1.545
7.0,120.385,118.486,105.425,82.14,21679.0,1.632,19.903,3.522,1019.0,33850.0,24.648,3.571,0.078,167.0,33.373,88.5,19833.0,1.484,4.613,0.102,5.183,40.134,2.036,2.036,0.079,36.548,2.291,2.291,455.0,8.083,201.895,1.718,4.695,14.777,17.652,1.528,0.111,3.795,80.0,5.147,18.063,9.133,5.095,1.675,17.452,0.167,4.058,39.045,307.72,3.643,37,13.763,0.914,0.914,4.36,25.893,163.0,4.473,22.13,304.965,262.911,428.91,3.066,1.942,50.968,1.812
9.0,70.45,66.775,70.45,60.89,16580.0,1.637,19.23,3.467,898.0,25100.0,23.217,3.524,0.082,141.0,30.481,68.611,14949.0,1.445,4.427,0.112,5.016,36.304,1.934,1.934,0.088,31.552,1.894,1.894,395.0,7.083,173.825,1.678,4.377,13.391,16.884,1.497,0.123,3.706,69.333,4.997,16.187,8.796,4.775,1.643,15.0,0.184,3.93,33.449,273.438,3.532,33,12.122,0.683,0.683,4.255,23.539,148.0,4.163,19.306,273.438,234.909,375.16,2.877,1.571,43.189,1.781
8.398,79.796,77.897,79.796,65.19,13576.0,1.615,18.113,3.41,824.0,21981.0,22.062,3.456,0.089,126.0,29.095,66.444,12564.0,1.426,4.273,0.122,4.918,33.997,1.749,1.749,0.095,30.219,0.995,0.995,370.0,6.778,160.431,1.643,4.348,12.839,15.9,1.47,0.134,3.624,65.833,4.907,15.204,8.609,4.795,1.621,13.97,0.2,3.818,33.796,252.311,3.472,31,11.368,0.431,0.431,4.185,22.203,156.0,4.083,18.264,252.311,226.659,364.25,2.682,1.35,43.588,1.704
6.0,125.16,123.261,80.28,63.38,24428.0,1.563,21.091,3.547,1110.0,41603.0,25.148,3.587,0.073,178.0,34.787,100.694,22521.0,1.467,4.722,0.099,5.257,41.54,2.3,2.3,0.079,39.795,2.379,2.379,500.0,8.25,216.038,1.692,4.942,15.118,17.869,1.513,0.108,3.827,86.333,5.212,18.792,9.293,7.427,1.669,17.755,0.167,4.123,44.267,319.008,3.693,39,15.064,1.0,1.0,4.408,26.94,186.0,4.725,22.929,319.008,274.954,450.11,3.231,1.955,54.986,1.758
7.921,80.28,78.381,80.28,63.38,24008.0,1.64,22.657,3.537,1065.0,34471.0,26.871,3.585,0.084,179.0,33.979,79.694,21491.0,1.559,4.677,0.107,5.227,43.104,2.182,2.182,0.085,37.519,2.625,2.625,466.0,8.014,208.697,1.697,4.512,14.794,19.15,1.585,0.111,3.885,79.833,5.18,18.453,9.208,4.815,1.698,17.278,0.182,4.126,35.546,349.65,3.668,38,14.099,1.148,1.148,4.394,26.63,142.0,4.188,22.784,349.65,314.896,457.99,3.11,2.129,48.634,1.824
7.292,105.425,103.526,105.425,82.14,28891.0,1.644,23.331,3.714,1210.0,44335.0,28.94,3.742,0.07,205.0,36.108,92.278,26030.0,1.597,4.866,0.092,5.338,44.766,2.184,2.184,0.071,39.186,2.622,2.622,534.0,8.806,230.371,1.735,4.778,16.372,20.705,1.632,0.1,3.918,86.833,5.298,20.008,9.433,4.943,1.727,18.766,0.149,4.149,39.041,329.02,3.742,41,15.204,1.106,1.106,4.466,28.838,163.0,4.514,24.217,321.41,267.795,479.92,3.113,2.09,54.245,1.824
6.638,53.745,53.745,38.785,31.35,6073.0,1.48,12.451,3.058,550.0,9568.0,14.33,3.109,0.118,89.0,22.557,49.167,5790.0,1.208,3.71,0.163,4.431,26.102,1.167,1.167,0.122,24.448,-2.347,-2.347,255.0,4.944,104.89,1.482,3.884,9.384,10.416,1.236,0.173,3.343,48.0,4.423,10.81,7.558,4.576,1.445,10.367,0.258,3.302,21.0,208.477,3.145,22,8.167,-1.0,-1.0,3.832,15.446,78.0,3.674,13.704,208.477,182.703,279.89,2.14,0.0,34.887,1.657
7.222,68.796,66.897,68.796,55.96,18067.0,1.638,20.377,3.632,978.0,28078.0,24.277,3.655,0.08,152.0,31.341,70.611,16366.0,1.455,4.523,0.109,5.057,37.469,1.941,1.941,0.085,31.819,1.925,1.925,432.0,7.306,181.349,1.648,4.395,13.846,17.775,1.497,0.12,3.748,70.833,5.041,16.67,8.877,4.82,1.635,15.108,0.18,3.958,35.862,275.438,3.561,34,12.485,0.698,0.698,4.282,24.341,170.0,4.104,19.951,275.438,231.464,397.33,2.879,1.602,45.125,1.702
8.301,57.47,55.571,57.47,49.17,10570.0,1.543,16.58,3.377,750.0,17302.0,19.803,3.45,0.099,125.0,26.575,57.389,9876.0,1.357,4.058,0.137,4.732,31.417,1.527,1.527,0.106,29.305,-0.721,-0.721,341.0,5.889,137.405,1.65,4.32,10.819,13.692,1.418,0.154,3.523,58.167,4.694,13.114,8.164,4.508,1.689,12.06,0.224,3.536,25.377,253.323,3.339,27,9.976,-0.3,-0.3,4.037,18.945,102.0,3.884,16.347,253.323,229.814,334.94,2.475,0.647,40.646,1.748
6.42,52.011,50.112,52.011,43.07,15001.0,1.574,19.095,3.467,814.0,21515.0,22.51,3.515,0.084,129.0,29.587,64.278,13483.0,1.497,4.33,0.115,4.971,36.315,1.924,1.924,0.09,30.652,1.606,1.606,357.0,6.806,166.037,1.688,4.324,12.846,16.367,1.557,0.127,3.722,66.333,4.952,15.67,8.714,4.633,1.667,14.647,0.189,3.968,31.188,276.539,3.503,32,11.8,0.655,0.655,4.226,22.687,132.0,3.893,19.095,272.539,240.539,384.0,2.866,1.571,41.257,1.73
6.523,60.785,60.785,60.785,49.81,8190.0,1.484,14.812,3.247,658.0,12609.0,17.485,3.314,0.107,110.0,25.06,51.833,7924.0,1.248,3.905,0.147,4.613,30.202,1.426,1.426,0.111,28.467,-1.046,-1.046,310.0,5.806,124.334,1.56,4.14,10.594,12.296,1.282,0.16,3.46,54.5,4.597,12.296,7.938,4.496,1.577,11.666,0.233,3.613,26.992,256.683,3.266,25,9.243,-0.503,-0.503,3.952,17.968,102.0,3.759,15.996,254.683,225.564,326.0,2.381,0.431,42.171,1.675
6.602,68.796,66.897,68.796,55.96,10598.0,1.56,16.998,3.334,661.0,17005.0,20.648,3.399,0.094,103.0,27.081,61.444,9806.0,1.389,4.031,0.129,4.825,31.756,1.736,1.736,0.101,27.452,0.615,0.615,296.0,6.278,144.639,1.575,4.324,11.853,14.9,1.422,0.142,3.571,60.833,4.809,14.204,8.441,4.678,1.576,13.109,0.212,3.728,27.448,226.574,3.409,29,10.631,0.242,0.242,4.122,20.651,124.0,3.825,16.965,226.574,195.82,338.16,2.67,1.175,39.346,1.692
6.347,91.28,89.381,91.28,72.61,12820.0,1.604,18.488,3.419,761.0,20607.0,22.225,3.46,0.089,120.0,28.759,67.944,11922.0,1.425,4.173,0.122,4.923,34.766,1.798,1.798,0.095,32.186,1.014,1.014,343.0,6.722,158.949,1.657,4.393,12.492,15.811,1.471,0.134,3.638,66.833,4.896,15.114,8.628,4.651,1.627,13.778,0.2,3.942,30.612,262.539,3.473,31,11.463,0.432,0.432,4.182,22.038,139.0,4.02,18.871,262.539,244.929,374.56,2.737,1.425,43.435,1.724
6.377,140.717,138.818,140.717,110.99,14302.0,1.612,19.565,3.461,797.0,23461.0,23.803,3.512,0.084,129.0,30.03,74.111,13421.0,1.429,4.227,0.115,5.014,36.808,1.802,1.802,0.09,34.986,1.876,1.876,362.0,7.25,171.432,1.668,4.605,13.212,16.76,1.478,0.127,3.683,71.833,4.979,16.063,8.826,4.941,1.635,14.619,0.189,4.172,31.642,287.22,3.533,33,12.202,0.678,0.678,4.239,23.468,145.0,4.29,19.963,287.22,271.61,396.56,2.739,1.571,47.47,1.783
6.398,68.796,66.897,68.796,55.96,10598.0,1.583,17.153,3.352,661.0,16723.0,20.648,3.417,0.094,103.0,27.081,60.444,9806.0,1.407,4.031,0.129,4.825,32.282,1.736,1.736,0.101,28.052,0.615,0.615,296.0,6.278,144.639,1.625,4.31,11.853,14.9,1.451,0.142,3.586,60.833,4.809,14.204,8.441,4.633,1.613,13.109,0.212,3.822,27.448,240.379,3.409,29,10.646,0.242,0.242,4.122,20.651,124.0,3.823,17.043,240.379,207.624,340.8,2.67,1.175,39.346,1.698
6.824,60.785,60.785,60.785,49.81,8190.0,1.484,14.812,3.247,658.0,12609.0,17.485,3.314,0.107,110.0,25.06,51.833,7924.0,1.248,3.905,0.147,4.613,30.202,1.426,1.426,0.111,28.467,-1.046,-1.046,310.0,5.806,124.334,1.56,4.14,10.594,12.296,1.282,0.16,3.46,54.5,4.597,12.296,7.938,4.496,1.577,11.666,0.233,3.613,26.992,256.683,3.266,25,9.243,-0.503,-0.503,3.952,17.968,102.0,3.759,15.996,254.683,225.564,326.0,2.381,0.431,42.171,1.675
