pXC50,piID,piPC03,piPC04,SM04_EA.bo.,piPC06,piPC08,piPC10,PCD,piPC07,piPC09,nAB,nBM,Uc,piPC02,SM02_EA.bo.,Eig09_EA.bo.,nCsp2,Ui,nCIC,Eta_betaP,SM05_AEA.bo.,SpMax2_Bh.e.,X5,TRS,nCIR,SpMax2_Bh.i.,Eig09_AEA.bo.,Eig12_AEA.bo.,SpMax2_Bh.v.,Wap,SpMaxA_AEA.dm.,MPC10,Qindex,MPC08,SM03_AEA.bo.,Eta_beta,TPC,Eig12_EA.bo.,Eig04_EA.bo.,SM14_AEA.ri.,MPC06,GNar,MPC04,Xindex,SpMax2_Bh.p.,SpMin3_Bh.p.,SM04_EA.ri.,MPC05,MPC07,MPC09,X5sol,X4,SpMin3_Bh.e.,SpMin3_Bh.i.,Eig12_EA.ri.,Eig08_AEA.bo.,SRW08,PCR,Eig09_EA,SM03_AEA.dm.,MPC03,MWC05,Eig12_AEA.ri.,MWC06,IDDE,SRW10,Eig09_AEA.ri.,Eig09_EA.ed.
4.254,9.945,4.682,5.27,6.959,5.9,6.615,7.22,3.435,6.259,6.935,16,17,4.17,4.078,4.762,0.927,13,3.322,3,16.5,8.506,3.905,4.043,16,3,3.931,2.163,0.862,3.805,5208.0,0.175,4.007,15,4.06,5.875,29.25,6.51,-0.528,2.657,2.657,4.007,2.107,3.932,0.373,3.783,1.587,5.516,3.97,4.025,4.043,4.314,6.025,1.414,1.373,-0.418,2.321,8.145,1.528,0.618,0.618,3.689,7.213,0.556,8.084,4.122,9.752,1.618,1.372
4.254,7.451,4.314,4.874,6.66,5.608,5.586,4.764,1.643,5.696,5.203,6,9,3.322,3.773,4.454,0.275,6,3.0,1,13.0,8.353,3.61,3.623,6,1,3.663,1.512,0.84,3.352,1711.0,0.215,2.485,8,3.401,5.691,25.0,5.808,-1.28,2.199,2.199,3.85,1.854,3.689,0.678,3.335,1.762,5.314,3.85,3.714,3.091,3.623,4.658,1.455,1.39,-1.0,1.563,7.962,1.283,0.213,0.213,3.466,6.995,0.0,7.867,4.143,9.625,1.104,0.295
4.254,9.127,4.627,5.27,6.988,6.264,6.93,7.048,2.517,6.631,7.215,11,12,3.7,4.016,4.7,0.674,10,2.907,2,12.5,8.534,3.697,5.155,12,3,3.752,1.764,0.964,3.583,5177.0,0.196,4.078,13,4.443,5.844,25.5,6.609,-0.296,2.693,2.693,4.407,1.944,4.025,0.503,3.599,1.678,5.57,4.304,4.466,4.394,5.892,6.035,1.511,1.466,-0.243,1.99,8.279,1.381,0.602,0.602,3.738,7.295,0.688,8.192,4.096,9.978,1.488,1.089
4.254,10.766,4.841,5.452,7.076,6.402,7.257,7.719,2.108,6.849,7.433,10,10,3.459,4.223,4.909,1.606,8,2.585,5,8.5,8.825,3.961,8.997,29,15,3.997,2.593,1.81,3.854,68846.0,0.111,6.05,27,5.707,6.141,27.25,8.658,0.709,2.86,2.86,5.198,2.155,4.654,0.296,3.856,1.915,6.138,4.977,5.46,5.889,8.997,10.551,1.735,1.691,0.55,2.949,8.839,1.243,1.371,1.371,4.29,7.854,1.527,8.791,4.209,10.588,2.35,3.867
4.254,7.918,4.345,4.909,6.649,5.59,6.006,6.124,2.201,5.765,6.256,11,12,3.7,3.755,4.437,-0.621,11,2.907,2,11.5,8.217,3.769,2.884,11,2,3.794,0.796,-0.037,3.681,1633.0,0.205,2.773,11,3.401,5.573,20.75,5.717,-1.896,2.229,2.229,3.689,1.993,3.584,0.519,3.679,1.53,5.152,3.664,3.526,3.296,3.262,4.262,1.388,1.346,-1.252,1.251,7.864,1.385,-0.515,-0.515,3.367,6.895,-0.563,7.767,3.774,9.487,0.27,-1.242
4.254,8.365,4.49,4.978,6.847,5.486,5.668,6.249,2.07,5.651,5.873,11,13,3.807,4.003,4.687,0.98,11,3.087,2,13.0,8.617,3.89,3.869,11,2,3.896,2.163,0.621,3.776,3713.0,0.218,3.85,15,3.829,5.919,26.0,6.295,-1.0,2.817,2.817,3.912,1.904,3.784,0.443,3.756,1.69,5.552,3.912,3.892,3.761,4.172,5.182,1.479,1.491,-0.7,2.485,8.242,1.329,0.658,0.658,3.638,7.231,0.139,8.105,3.88,9.858,1.659,1.604
4.254,8.173,4.479,5.151,7.129,5.843,6.403,6.29,2.207,6.23,6.178,10,12,3.7,3.975,4.659,-0.86,6,3.0,2,11.0,8.728,3.807,3.156,11,3,3.839,0.893,0.0,3.653,2214.0,0.262,3.091,15,3.714,5.86,21.25,5.966,-1.5,2.459,2.459,3.829,1.901,3.829,0.544,3.711,1.524,5.684,3.829,3.871,3.434,4.62,5.236,1.376,1.402,-1.0,1.0,8.208,1.37,-0.594,-0.594,3.497,7.152,0.0,8.09,3.572,9.9,0.368,-1.583
4.254,7.785,4.41,4.932,6.798,5.081,5.313,5.558,1.879,4.843,5.324,10,13,3.807,3.922,4.605,0.378,8,3.17,2,12.5,8.419,3.894,3.366,10,2,3.909,1.654,0.466,3.744,2213.0,0.202,3.296,12,3.497,5.758,24.75,5.905,-1.386,2.818,2.818,3.526,1.963,3.714,0.465,3.719,1.745,5.429,3.689,3.367,3.401,3.366,4.808,1.467,1.398,-1.0,2.118,7.96,1.318,0.295,0.295,3.497,7.043,0.0,7.907,3.614,9.547,1.29,0.67
4.254,4.477,2.89,2.833,5.313,1.609,0.0,0.0,0.0,1.386,0.0,0,0,0.0,2.773,3.434,-1.788,0,0.0,1,0.0,7.678,3.552,1.148,4,1,3.629,-0.788,0.0,3.391,260.0,0.361,0.0,8,0.0,4.92,6.0,4.477,0.0,0.351,0.351,1.609,1.762,2.833,0.801,3.412,1.497,5.13,2.565,1.386,0.0,1.148,2.031,1.168,1.055,0.0,-0.453,7.79,1.0,-1.788,-1.788,2.89,6.494,0.0,7.399,2.446,9.512,-0.859,-5.812
4.254,5.661,3.77,4.267,6.159,3.726,0.0,0.0,1.128,3.446,0.0,5,6,2.807,3.268,3.942,-2.52,4,2.17,1,6.0,7.826,3.194,1.048,5,1,3.236,-0.321,0.0,2.92,288.0,0.364,0.0,7,0.0,5.123,12.0,4.533,0.0,1.142,1.142,1.946,1.783,3.045,0.831,2.93,1.32,4.8,2.485,1.609,0.0,1.571,2.786,0.906,0.884,0.0,-0.315,7.396,1.249,-1.732,-1.732,2.89,6.412,0.0,7.284,2.522,9.011,-0.76,-6.277
4.254,8.305,4.498,5.014,6.757,5.398,5.586,6.035,1.33,5.574,5.781,5,9,3.322,4.03,4.714,1.322,8,2.907,3,10.0,8.659,3.885,5.443,15,4,3.898,2.414,1.027,3.798,8711.0,0.151,4.595,19,4.443,5.999,25.5,6.974,-0.299,2.709,2.709,4.419,1.991,4.304,0.367,3.856,1.707,5.863,4.382,4.454,4.522,6.155,7.965,1.53,1.483,-0.25,2.52,8.491,1.191,1.008,1.008,3.97,7.544,0.688,8.462,4.335,10.178,2.012,2.591
4.254,6.237,3.876,4.355,6.37,4.523,3.446,0.0,1.501,4.495,0.0,6,8,3.17,3.45,4.127,-2.032,5,2.585,1,9.5,7.951,3.505,1.898,6,1,3.539,-0.244,0.0,3.192,399.0,0.346,0.0,7,1.099,5.264,16.5,4.736,0.0,1.596,1.596,2.485,1.801,2.996,0.776,3.129,1.348,4.819,3.045,2.079,0.0,1.898,2.505,0.95,0.887,0.0,0.195,7.475,1.317,-1.546,-1.546,2.89,6.428,0.0,7.272,2.914,9.096,-0.613,-3.9
4.254,8.823,4.484,4.973,6.869,5.352,5.426,5.852,2.627,5.392,5.562,11,15,4.0,4.039,4.723,0.999,10,3.392,2,16.5,8.491,3.91,3.544,11,2,3.938,2.176,0.997,3.709,3675.0,0.172,3.434,12,3.434,5.875,30.5,6.196,-0.73,2.74,2.74,3.638,1.968,3.689,0.389,3.642,1.861,5.421,3.714,3.555,3.401,3.544,5.171,1.444,1.402,-0.528,2.552,8.041,1.424,0.659,0.659,3.555,7.083,0.454,7.917,4.202,9.596,1.579,1.605
4.254,9.5575,4.682,5.2525,7.0565,5.9855,6.5985,6.8925,2.551,6.2825,6.789,12,15,4.0,4.135,4.82,1.354,13,3.322,3,16.25,8.723,3.8985,5.2755,17,4,3.9325,2.4355,1.067,3.811,7965.5,0.152,4.363,17,4.4545,5.9975,30.625,6.862,-0.252,2.857,2.857,4.3505,2.043,4.069,0.3725,3.8135,1.774,5.7415,4.304,4.4485,4.443,5.8535,6.773,1.548,1.517,-0.1895,2.5555,8.392,1.385,1.0,1.0,3.829,7.4095,0.703,8.306,4.096,10.05,2.0,2.2475
4.254,9.915,4.828,5.278,7.287,5.979,6.445,6.647,2.159,6.29,6.71,12,16,4.087,4.369,5.056,2.01,13,3.459,4,19.0,8.994,3.891,7.712,24,5,3.933,2.909,2.213,3.776,26529.0,0.139,5.024,23,4.92,6.272,40.25,7.756,1.141,3.011,3.011,4.682,2.077,4.382,0.288,3.772,1.949,6.007,4.644,4.82,5.037,8.7,9.105,1.726,1.699,0.946,2.947,8.733,1.278,1.483,1.483,4.159,7.716,1.952,8.605,4.503,10.414,2.471,3.14
4.254,9.5575,4.682,5.2525,7.0565,5.9855,6.5985,6.8925,2.551,6.2825,6.789,12,15,4.0,4.135,4.82,1.354,13,3.322,3,16.25,8.723,3.8985,5.2755,17,4,3.9325,2.4355,1.067,3.811,7965.5,0.152,4.363,17,4.4545,5.9975,30.625,6.862,-0.252,2.857,2.857,4.3505,2.043,4.069,0.3725,3.8135,1.774,5.7415,4.304,4.4485,4.443,5.8535,6.773,1.548,1.517,-0.1895,2.5555,8.392,1.385,1.0,1.0,3.829,7.4095,0.703,8.306,4.096,10.05,2.0,2.2475
4.254,9.675,4.714,5.278,6.999,5.854,6.419,7.0,2.84,6.16,6.711,16,17,4.17,4.143,4.828,1.149,12,3.322,3,17.0,8.595,3.804,4.671,16,3,3.832,2.25,1.091,3.688,8064.0,0.176,4.317,16,4.234,5.964,31.5,6.835,-0.262,2.783,2.783,4.174,2.067,4.043,0.339,3.778,1.672,5.541,4.111,4.234,4.263,5.737,6.785,1.51,1.466,-0.195,2.381,8.266,1.415,0.848,0.848,3.807,7.336,0.718,8.206,4.524,9.868,1.806,1.876
4.254,8.767,4.48,4.955,7.086,5.712,6.148,6.486,1.8,5.973,6.538,6,11,3.585,4.103,4.787,1.076,7,3.17,3,13.5,8.778,3.928,5.595,19,4,3.943,2.114,1.0,3.769,8775.0,0.157,4.575,18,4.625,6.009,28.0,6.967,-0.495,3.039,3.039,4.511,2.032,4.094,0.403,3.809,1.872,5.845,4.382,4.543,4.691,6.716,6.569,1.698,1.637,-0.398,2.5,8.403,1.258,0.947,0.947,3.807,7.397,0.581,8.304,4.096,10.084,1.919,2.275
4.254,9.159,4.641,5.194,6.958,5.778,6.197,6.541,2.419,5.933,6.338,11,14,3.907,4.09,4.775,1.431,13,3.248,3,15.0,8.63,3.903,4.916,17,4,3.917,2.489,1.0,3.84,6753.0,0.208,4.263,17,4.331,5.956,28.25,6.741,-0.526,2.903,2.903,4.234,2.045,4.025,0.372,3.843,1.591,5.577,4.205,4.248,4.263,6.21,6.366,1.479,1.476,-0.362,2.5,8.318,1.359,0.992,0.992,3.784,7.332,0.55,8.218,4.071,9.972,1.821,2.275
4.254,8.273,4.292,4.742,6.586,4.813,5.156,5.829,2.465,4.892,5.491,11,12,3.7,3.778,4.46,-0.168,10,2.907,2,11.5,8.158,3.892,2.781,11,2,3.939,1.132,0.185,3.759,2204.0,0.219,3.219,10,3.219,5.58,21.75,5.808,-1.323,2.068,2.068,3.178,2.028,3.466,0.415,3.757,1.545,5.135,3.401,3.135,3.258,3.135,4.286,1.271,1.203,-0.944,1.837,7.81,1.424,-0.138,-0.138,3.367,6.851,-0.229,7.67,3.852,9.366,0.824,-0.299
4.254,7.463,4.223,4.553,6.497,4.957,4.549,4.877,1.192,4.971,4.765,6,9,3.322,3.839,4.522,0.629,9,2.807,2,11.0,8.325,3.87,4.171,12,2,3.902,1.742,0.812,3.734,3975.0,0.168,3.526,12,3.526,5.76,24.75,6.271,-0.669,2.73,2.73,3.738,1.969,3.714,0.395,3.734,1.758,5.544,3.871,3.664,3.555,4.171,5.327,1.483,1.443,-0.532,2.432,8.117,1.19,0.574,0.574,3.611,7.124,0.429,7.953,3.698,9.694,1.487,1.132
4.254,10.134,4.808,5.327,7.128,5.989,6.582,7.015,2.816,6.25,6.824,12,15,4.0,4.29,4.977,1.53,16,3.322,3,18.5,8.83,3.899,6.739,18,3,3.922,2.548,1.738,3.818,14316.0,0.13,4.779,19,4.771,6.169,37.0,7.318,0.644,2.943,2.943,4.595,1.993,4.304,0.359,3.816,1.859,5.9,4.533,4.663,4.787,6.992,8.593,1.702,1.675,0.501,2.912,8.589,1.385,1.27,1.27,4.043,7.596,1.454,8.484,4.349,10.252,2.238,3.689
4.254,7.63,4.201,4.726,6.433,5.387,5.748,5.507,1.769,5.622,5.886,6,8,3.17,3.624,4.304,-0.792,8,2.585,2,9.5,8.159,3.642,3.511,12,3,3.707,0.715,-0.064,3.498,1966.0,0.236,2.773,11,3.638,5.506,18.75,5.861,-1.677,2.032,2.032,3.829,1.993,3.664,0.556,3.509,1.601,5.313,3.871,3.761,3.434,3.511,4.395,1.312,1.247,-1.396,1.108,7.977,1.302,-0.667,-0.667,3.434,6.954,-0.356,7.84,3.14,9.682,0.329,-1.262
4.254,8.425,4.516,5.011,6.813,5.379,5.688,5.915,2.134,5.638,5.717,12,14,3.907,4.007,4.691,1.172,14,3.17,2,15.5,8.501,3.907,4.255,12,2,3.932,2.247,0.977,3.845,3640.0,0.165,3.689,13,3.85,5.871,28.25,6.292,-0.584,2.756,2.756,3.871,1.944,3.892,0.458,3.851,1.754,5.709,3.97,3.932,3.761,4.255,6.179,1.584,1.53,-0.445,2.5,8.235,1.339,1.0,1.0,3.714,7.235,0.568,8.098,3.789,9.871,2.0,2.136
4.254,8.11,4.466,4.828,6.735,5.252,5.557,5.652,0.88,5.509,5.609,0,7,3.0,4.111,4.796,1.486,8,3.0,2,9.5,8.744,3.757,5.979,10,2,3.798,2.502,1.939,3.595,13071.0,0.152,4.654,16,4.635,6.12,29.5,7.23,0.909,2.826,2.826,4.443,1.909,4.263,0.384,3.629,1.811,5.737,4.357,4.595,4.682,8.66,8.331,1.602,1.568,0.772,2.606,8.513,1.122,1.45,1.45,4.043,7.597,1.781,8.479,4.0,10.127,2.402,2.892
4.254,8.41,4.434,5.051,6.791,5.876,6.475,6.263,2.457,6.211,6.756,11,12,3.7,3.818,4.5,-0.663,9,2.907,2,12.0,8.282,3.587,3.689,12,3,3.605,0.961,0.065,3.408,2278.0,0.218,3.045,11,3.714,5.61,22.0,5.953,-1.649,2.596,2.596,3.829,1.993,3.664,0.527,3.387,1.525,5.32,3.892,3.829,3.584,3.689,4.361,1.248,1.202,-1.24,1.458,7.971,1.413,-0.488,-0.488,3.434,6.961,-0.325,7.837,3.5,9.646,0.509,-1.184
4.254,8.593,4.416,4.976,6.705,5.763,6.464,6.699,2.085,6.112,6.567,6,9,3.322,3.839,4.522,-0.349,10,2.807,3,11.5,8.454,3.709,4.489,17,6,3.735,1.241,0.132,3.6,4554.0,0.262,4.007,16,4.466,5.734,22.25,6.507,-1.52,2.492,2.492,4.344,2.097,4.007,0.485,3.585,1.366,5.42,4.248,4.419,4.22,5.441,5.565,1.14,1.086,-1.167,1.404,8.232,1.32,-0.244,-0.244,3.689,7.242,-0.253,8.168,3.625,9.96,0.701,-0.65
4.445,9.752,4.806,5.268,7.314,6.156,6.807,6.964,2.352,6.547,7.138,11,15,4.0,4.324,5.011,1.853,12,3.392,4,16.0,8.989,3.94,6.274,21,5,3.98,2.82,2.106,3.813,16749.0,0.152,4.745,23,4.663,6.233,33.5,7.4,0.971,3.069,3.069,4.522,2.085,4.234,0.288,3.853,1.778,6.11,4.454,4.644,4.745,7.365,7.869,1.609,1.616,0.649,2.901,8.684,1.318,1.359,1.359,4.06,7.662,1.648,8.55,4.566,10.363,2.357,3.154
4.254,8.535,4.58,5.112,7.196,5.761,6.021,6.263,2.175,5.827,5.894,12,14,3.907,4.143,4.828,-0.029,11,3.17,2,15.5,8.873,3.868,4.192,12,2,3.905,1.229,0.884,3.776,3848.0,0.205,3.807,17,3.989,6.049,29.25,6.36,-1.0,3.132,3.132,4.159,1.873,3.912,0.481,3.773,1.636,5.686,4.078,3.951,3.738,5.251,5.838,1.46,1.494,-0.7,2.644,8.422,1.342,-0.024,-0.024,3.714,7.347,0.154,8.257,3.754,10.097,0.856,-0.062
4.254,10.285,4.736,5.321,7.25,6.14,6.977,7.729,3.471,6.629,7.37,12,16,4.087,4.205,4.89,1.364,14,3.459,3,18.5,8.85,3.977,5.11,17,4,3.98,2.457,0.803,3.897,7385.0,0.203,4.443,18,4.394,6.06,31.75,6.813,-0.956,2.738,2.738,4.22,2.034,4.043,0.385,3.919,1.684,5.75,4.234,4.369,4.443,5.596,6.298,1.477,1.498,-0.652,2.615,8.376,1.509,0.921,0.921,3.784,7.368,0.265,8.269,3.88,10.04,1.898,2.27
4.254,8.003,4.169,4.67,6.444,4.9,5.38,6.055,2.431,4.992,5.719,11,12,3.7,3.683,4.363,-0.52,8,2.907,2,12.5,7.989,3.778,2.337,11,2,3.821,0.902,-0.09,3.582,1561.0,0.176,3.045,9,3.091,5.464,22.25,5.572,-1.952,2.045,2.045,3.135,2.071,3.332,0.436,3.53,1.493,4.767,3.258,3.045,3.091,2.583,3.816,1.392,1.379,-1.247,1.276,7.609,1.436,-0.417,-0.417,3.178,6.666,-0.512,7.477,3.507,9.129,0.46,-0.936
4.254,8.579,4.407,4.968,6.806,5.43,5.736,5.887,2.209,5.481,5.602,12,14,3.907,4.025,4.71,0.271,14,3.17,2,16.5,8.474,3.905,4.004,12,2,3.939,1.498,0.921,3.83,4381.0,0.155,3.714,13,3.85,5.879,30.0,6.37,-0.558,2.751,2.751,3.871,1.944,3.807,0.4,3.83,1.728,5.567,3.892,3.807,3.714,4.004,5.91,1.457,1.405,-0.444,2.5,8.128,1.347,0.23,0.23,3.555,7.128,0.545,7.983,3.573,9.703,1.188,0.578
4.254,12.078,5.089,5.696,7.385,6.75,7.745,8.535,3.344,7.242,8.206,11,16,4.087,4.449,5.136,2.068,16,3.524,5,17.5,9.14,3.945,9.565,29,15,3.957,2.917,2.007,3.857,75415.0,0.128,6.107,29,5.787,6.372,37.75,8.733,0.811,3.281,3.281,5.273,2.116,4.718,0.304,3.845,1.786,6.309,5.056,5.533,5.966,9.565,10.875,1.547,1.507,0.696,3.129,8.953,1.383,1.536,1.536,4.369,7.951,1.707,8.9,4.615,10.726,2.51,4.319
4.254,6.487,3.826,4.228,6.12,3.951,4.241,4.111,0.87,4.127,3.902,5,6,2.807,3.504,4.182,-0.44,3,2.17,2,6.0,7.915,3.779,2.366,10,2,3.807,0.841,-0.118,3.675,1611.0,0.262,3.045,10,3.091,5.393,15.75,5.617,-1.557,2.262,2.262,3.135,2.03,3.434,0.429,3.741,1.626,4.901,3.258,3.178,2.996,3.641,4.04,1.473,1.455,-1.258,1.618,7.668,1.155,-0.401,-0.401,3.258,6.777,-0.436,7.601,3.625,9.166,0.581,-1.038
4.254,9.559,4.762,5.349,7.288,6.032,6.64,7.054,2.738,6.363,6.944,12,15,4.0,4.205,4.89,0.638,13,3.322,3,17.0,8.885,3.951,5.18,17,4,3.973,1.793,1.0,3.891,7149.0,0.206,4.407,19,4.511,6.065,29.75,6.821,-0.7,2.855,2.855,4.357,2.006,4.159,0.41,3.902,1.693,5.845,4.331,4.454,4.466,6.191,7.021,1.53,1.565,-0.496,2.56,8.46,1.401,0.541,0.541,3.85,7.445,0.444,8.371,4.011,10.165,1.497,1.431
4.254,9.427,4.623,5.153,6.795,5.893,6.548,7.039,1.437,6.243,6.831,6,8,3.17,4.086,4.771,1.253,7,2.807,4,11.0,8.795,3.879,8.684,23,10,3.91,2.551,1.642,3.78,28083.0,0.145,5.778,24,5.609,6.114,28.5,7.991,0.516,2.664,2.664,5.226,2.055,4.644,0.384,3.775,1.826,6.08,4.99,5.434,5.733,8.684,9.747,1.666,1.633,0.409,2.864,8.792,1.18,1.099,1.099,4.234,7.82,1.358,8.78,4.393,10.577,2.083,2.747
4.254,9.909,4.615,5.133,6.893,5.709,6.326,6.935,3.147,6.017,6.603,12,15,4.0,4.111,4.796,1.5,15,3.322,3,17.0,8.586,3.911,5.093,17,3,3.941,2.5,1.197,3.838,7402.0,0.185,4.174,16,4.159,5.967,31.0,6.762,-0.285,3.019,3.019,4.111,2.067,4.025,0.349,3.844,1.691,5.622,4.159,4.143,4.143,5.752,6.599,1.483,1.422,-0.217,2.5,8.297,1.465,1.0,1.0,3.807,7.334,0.767,8.201,4.089,9.914,2.0,2.136
4.254,7.855,4.41,5.01,6.715,5.545,6.025,5.577,1.936,5.823,5.876,10,11,3.585,3.818,4.5,-0.456,8,2.807,2,9.5,8.34,3.731,3.236,10,2,3.736,0.806,0.167,3.595,2079.0,0.206,2.833,12,3.689,5.659,20.5,5.919,-1.481,2.49,2.49,3.829,1.96,3.807,0.522,3.584,1.664,5.408,3.807,3.807,3.296,3.742,5.083,1.442,1.378,-1.117,2.033,7.988,1.327,-0.418,-0.418,3.526,7.074,-0.259,7.969,3.735,9.622,0.548,-0.789
4.254,7.93,4.355,5.011,6.74,5.751,6.301,5.55,2.223,6.068,5.901,10,11,3.585,3.744,4.425,-1.253,6,2.807,2,10.0,8.232,3.525,3.035,11,3,3.554,0.537,-0.128,3.323,1610.0,0.257,2.398,11,3.497,5.536,20.25,5.707,-1.978,2.322,2.322,3.689,1.993,3.611,0.555,3.307,1.416,5.057,3.714,3.664,2.996,3.269,4.128,1.083,1.045,-1.426,0.956,7.849,1.39,-1.0,-1.0,3.332,6.88,-0.585,7.77,3.379,9.504,0.015,-2.0
4.254,6.455,3.949,4.395,6.403,4.813,4.467,0.0,1.424,4.235,4.038,5,8,3.17,3.534,4.212,-1.807,3,2.907,1,10.0,8.12,3.602,2.119,5,1,3.65,0.327,-0.531,3.379,607.0,0.311,0.0,7,2.197,5.455,18.75,5.03,-2.629,1.709,1.709,3.045,1.831,3.178,0.684,3.36,1.592,4.818,3.219,2.485,1.386,2.119,2.8,1.372,1.305,-1.734,0.73,7.508,1.283,-1.0,-1.0,3.045,6.581,-0.956,7.43,3.027,9.076,-0.067,-2.111
4.254,7.032,4.147,4.55,6.635,4.895,4.799,4.722,1.315,4.79,4.888,6,8,3.17,3.795,4.477,-0.565,8,2.585,1,9.5,8.49,3.669,2.932,6,1,3.681,1.0,0.0,3.498,1603.0,0.222,2.944,12,3.296,5.763,21.25,5.717,-1.0,2.608,2.608,3.434,1.761,3.526,0.63,3.492,1.514,5.387,3.611,3.367,3.045,3.234,4.259,1.311,1.249,-0.657,1.0,8.124,1.23,-0.465,-0.465,3.434,7.055,-0.424,7.928,3.471,9.755,0.553,-1.184
4.254,10.484,4.972,5.59,7.227,6.506,7.408,8.246,3.26,6.998,7.871,22,23,4.585,4.337,5.024,1.5,20,3.7,4,21.5,8.784,3.886,5.938,22,4,3.906,2.5,2.141,3.83,11425.0,0.128,5.069,20,4.875,6.138,37.0,7.225,0.961,3.362,3.362,4.644,2.154,4.263,0.319,3.851,1.709,5.831,4.466,4.796,5.017,6.338,7.845,1.583,1.559,0.582,2.61,8.462,1.451,1.0,1.0,3.989,7.527,1.559,8.417,3.924,10.101,2.0,2.275
4.254,12.334,5.021,5.68,7.378,6.574,7.381,7.744,4.894,6.959,7.575,21,22,4.524,4.366,5.053,1.793,17,3.644,4,20.0,8.808,4.059,6.327,23,6,4.088,2.766,1.491,3.972,18595.0,0.119,4.533,20,4.585,6.131,35.75,7.44,0.258,2.872,2.872,4.431,2.161,4.205,0.282,3.958,1.797,5.751,4.431,4.477,4.554,6.617,7.616,1.591,1.551,0.19,2.918,8.456,1.658,1.242,1.242,3.932,7.473,1.163,8.353,4.085,10.11,2.168,2.932
4.254,10.23,4.923,5.482,7.173,6.281,7.087,7.671,2.732,6.706,7.438,17,19,4.322,4.321,5.007,1.5,16,3.524,4,20.0,8.845,3.893,6.739,23,5,3.922,2.5,1.996,3.817,16738.0,0.149,5.187,22,5.075,6.183,38.5,7.498,0.803,3.178,3.178,4.771,2.097,4.382,0.33,3.809,1.726,5.924,4.625,4.934,5.193,7.632,8.631,1.517,1.479,0.59,2.904,8.643,1.364,1.0,1.0,4.111,7.656,1.586,8.56,4.282,10.35,2.0,2.171
4.254,7.568,4.19,4.635,6.33,5.198,5.505,5.268,0.46,5.398,5.416,0,3,2.0,3.761,4.443,0.814,4,2.0,3,4.0,8.519,3.69,6.101,15,6,3.748,1.954,0.893,3.511,9478.0,0.169,4.718,18,4.977,5.832,19.25,7.108,-0.22,2.12,2.12,4.779,2.031,4.369,0.388,3.523,1.844,5.891,4.625,4.927,4.868,6.101,7.512,1.666,1.604,-0.197,2.406,8.516,1.065,0.715,0.715,3.97,7.572,0.718,8.533,3.795,10.284,1.633,1.655
4.254,10.281,4.741,5.224,7.037,5.659,5.903,6.127,3.401,5.862,5.996,12,18,4.248,4.29,4.977,1.537,18,3.7,2,21.0,8.755,3.93,5.308,12,2,3.952,2.604,2.53,3.865,10462.0,0.113,3.784,14,3.871,6.177,39.5,6.88,1.46,2.832,2.832,3.97,1.942,4.025,0.327,3.865,1.908,5.904,4.078,3.932,3.761,5.308,7.505,1.712,1.663,0.994,3.043,8.398,1.494,1.258,1.258,3.892,7.42,2.005,8.25,3.728,9.971,2.247,2.731
4.254,7.499,4.245,4.614,6.557,4.751,4.911,5.119,1.334,4.761,4.95,6,9,3.322,3.839,4.522,0.242,9,2.807,2,11.0,8.392,3.824,3.935,11,2,3.856,1.412,0.698,3.695,3167.0,0.227,3.664,13,3.638,5.763,24.0,6.165,-0.839,2.546,2.546,3.714,1.938,3.807,0.448,3.725,1.724,5.424,3.871,3.664,3.664,4.286,5.399,1.494,1.427,-0.611,1.952,8.138,1.216,0.217,0.217,3.638,7.169,0.337,8.036,3.922,9.752,1.127,0.485
4.254,7.882,4.332,4.77,6.701,4.804,5.015,4.883,1.692,4.935,4.603,11,13,3.807,3.966,4.649,0.778,11,3.087,2,14.0,8.385,3.912,3.922,11,2,3.956,1.85,0.712,3.755,3722.0,0.162,3.401,12,3.497,5.82,28.25,6.19,-0.755,2.786,2.786,3.526,1.969,3.664,0.368,3.729,1.726,5.428,3.738,3.555,3.296,3.922,5.072,1.455,1.42,-0.605,2.224,8.017,1.273,0.668,0.668,3.526,7.069,0.352,7.889,3.823,9.534,1.571,1.593
4.254,10.921,4.94,5.56,7.359,6.548,7.341,8.005,3.384,6.996,7.777,17,17,4.17,4.382,5.069,1.993,14,3.248,3,16.5,9.107,3.918,6.905,18,4,3.941,2.867,1.375,3.839,17924.0,0.145,5.024,25,4.883,6.32,35.75,7.537,0.078,3.455,3.455,4.727,1.911,4.304,0.36,3.835,1.671,5.988,4.615,4.868,5.004,4.742,7.808,1.472,1.444,0.056,2.945,8.79,1.449,1.479,1.479,4.06,7.719,0.971,8.64,4.228,10.486,2.413,4.297
4.254,6.771,3.956,4.261,6.348,4.829,4.611,4.275,1.242,4.853,4.949,6,7,3.0,3.597,4.277,-1.0,6,2.322,1,8.0,8.242,3.721,2.3,6,1,3.771,0.5,0.0,3.557,1274.0,0.262,2.833,10,3.045,5.565,18.5,5.529,-1.394,2.057,2.057,3.434,1.794,3.219,0.594,3.555,1.545,5.276,3.367,3.296,3.219,2.036,3.149,1.179,1.112,-1.0,0.932,7.921,1.225,-1.0,-1.0,3.258,6.853,-0.3,7.701,3.293,9.512,0.0,-2.0
