pXC50,SpDiam_EA.ri.,SM08_EA.ri.,SM12_EA.ri.,SM13_EA.ri.,SM14_EA.ri.,Eig01_EA.ri.,SpMax_EA.ri.,SM10_EA.ri.,SM11_EA.ri.,SM15_EA.ri.,SM09_EA.ri.,SM07_EA.ri.,SM06_EA.ri.,SM05_EA.ri.,GGI5,Eig02_EA.ri.,SM04_EA.ri.,Eig03_EA.ed.,SM12_AEA.dm.,MWC10,TWC,BIC0,NdssC,Eig01_AEA.ri.,SpMax_AEA.ri.,MWC09,Eig03_AEA.ed.,CATS2D_07_AL,Eig03_EA.ri.,SM04_EA.ed.,SIC0,SpDiam_AEA.ri.,MWC08,AAC,IC0,SM03_EA.ri.,Eig02_AEA.ri.,SpDiam_EA.ed.,X.,MATS5s,SdO,Eig02_AEA.ed.,SM05_AEA.ed.,SM02_EA.ed.,CATS2D_02_LL,MWC06,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_EA.ed.,Eig03_AEA.ri.,SM06_AEA.ed.,Eig02_EA.ed.,SM11_AEA.dm.,SM07_AEA.ed.,SM03_AEA.ed.,SM15_AEA.ed.,SpMin2_Bh.s.,nX,ATS6s,SM06_EA,SM04_AEA.ed.,SRW10,SM06_EA.ed.,nDB,SM07_EA.ed.,SM08_EA.ed.
6.194,6.045,12.027,17.294,18.635,19.985,4.045,4.045,14.635,15.955,21.339,13.306,10.691,9.511,8.099,3.903,3.692,7.189,13.815,13.815,13.433,13.906,0.194,6,5.043,5.043,12.452,7.637,7,3.53,12.694,0.199,6.129,11.487,1.366,1.366,5.422,4.698,28.011,0.0,-0.02,53.927,8.091,12.327,7.849,57,9.554,17.916,17.916,17.916,4.53,14.31,15.374,15.374,16.327,8.536,33.021,1.585,0,7.099,9.531,10.393,11.473,18.017,6,20.712,23.543
6.444,5.726,11.139,16.13,17.398,18.677,3.726,3.726,13.611,14.859,19.958,12.345,9.855,8.752,7.37,3.102,3.288,6.545,11.761,11.761,12.832,13.312,0.215,2,4.733,4.733,11.864,6.978,5,3.144,11.878,0.222,5.789,10.906,1.357,1.357,4.775,4.299,23.676,0.0,-0.069,25.759,7.482,11.631,7.239,26,8.988,15.059,15.059,15.059,4.193,13.555,13.119,13.119,15.507,7.933,31.586,1.273,0,6.482,8.805,9.75,10.804,16.921,3,19.448,22.138
5.0,4.887,9.714,13.686,14.672,15.723,2.887,2.887,11.676,12.614,16.734,10.556,8.486,7.834,6.372,0.934,2.802,6.097,8.625,8.625,12.098,12.647,0.242,1,3.932,3.932,11.235,6.032,3,2.757,10.608,0.255,5.046,10.378,1.54,1.54,4.092,3.861,15.614,0.0,0.016,12.903,6.114,10.863,6.812,11,8.661,9.294,9.294,9.294,3.785,12.565,8.965,8.965,14.29,7.58,28.447,1.16,0,5.876,8.054,9.195,10.379,14.684,1,16.567,18.907
5.0,5.219,10.036,14.374,15.477,16.619,3.219,3.219,12.171,13.226,17.747,10.995,8.776,8.017,6.54,1.427,2.832,6.185,8.965,8.965,12.333,12.859,0.23,2,4.271,4.271,11.437,6.132,2,2.683,10.965,0.242,5.338,10.546,1.468,1.468,4.167,3.919,19.314,0.0,-0.03,12.87,6.342,11.051,6.919,14,8.768,11.89,11.89,11.89,3.722,12.817,9.444,9.444,14.613,7.663,29.533,1.181,0,6.214,8.215,9.326,10.493,15.426,2,17.605,20.119
5.0,5.692,10.84,15.807,17.08,18.367,3.692,3.692,13.286,14.527,19.655,12.008,9.534,8.54,7.094,1.626,3.025,6.505,8.963,8.963,12.617,13.139,0.251,3,4.682,4.682,11.714,6.116,8,2.705,11.566,0.262,5.786,10.817,1.667,1.667,4.586,4.103,22.84,2.4,-0.009,25.921,6.59,11.464,7.223,5,9.029,15.051,15.051,15.051,3.817,13.313,10.546,10.546,15.208,7.964,31.248,1.207,2,6.537,8.695,9.674,10.818,16.534,4,19.092,21.793
5.0,5.083,10.061,14.298,15.368,16.471,3.083,3.083,12.154,13.188,17.559,11.019,8.855,8.06,6.67,1.379,3.001,6.224,9.953,9.953,12.506,13.024,0.281,1,4.289,4.289,11.597,6.444,10,2.789,11.307,0.295,5.456,10.7,1.781,1.781,4.355,4.148,20.104,4.5,0.009,12.25,6.752,11.324,7.111,10,8.9,12.394,12.394,12.394,3.923,13.138,11.077,11.077,14.981,7.843,30.247,1.203,3,6.288,8.525,9.552,10.636,15.9,1,18.164,20.689
5.0,5.073,9.885,14.042,15.087,16.18,3.073,3.073,11.937,12.939,17.249,10.799,8.657,7.921,6.476,1.354,2.797,6.111,8.807,8.807,12.127,12.664,0.238,3,4.093,4.093,11.247,6.076,10,2.732,10.726,0.249,5.143,10.373,1.503,1.503,4.133,3.856,17.274,0.0,-0.113,25.175,6.14,10.899,6.79,18,8.625,10.408,10.408,10.408,3.799,12.64,9.02,9.02,14.406,7.548,28.914,1.393,0,6.14,8.063,9.195,10.341,14.982,3,16.998,19.398
5.0,5.023,9.678,13.783,14.816,15.898,3.023,3.023,11.703,12.691,16.955,10.578,8.469,7.749,6.332,1.052,2.789,5.982,8.662,8.662,12.168,12.703,0.279,1,4.099,4.099,11.285,6.044,6,2.571,10.786,0.295,5.196,10.408,1.725,1.725,4.04,3.886,17.464,0.0,0.021,12.46,6.197,10.933,6.817,3,8.653,10.529,10.529,10.529,3.726,12.68,9.273,9.273,14.451,7.567,28.986,1.066,0,6.037,8.089,9.222,10.4,15.06,1,17.084,19.497
5.0,5.005,9.629,13.83,14.88,15.978,3.005,3.005,11.706,12.714,17.048,10.546,8.363,7.641,6.126,0.486,2.926,5.82,7.116,7.116,11.792,12.337,0.251,1,4.045,4.045,10.924,5.42,4,2.476,10.419,0.268,5.112,10.057,1.472,1.472,3.705,3.957,17.009,0.0,-0.173,12.469,6.391,10.574,6.472,14,8.326,10.265,10.265,10.265,3.499,12.322,9.667,9.667,14.099,7.229,28.751,1.163,0,5.33,7.755,8.869,10.057,14.73,2,16.798,19.211
5.0,5.096,9.894,14.207,15.294,16.406,3.096,3.096,12.031,13.09,17.506,10.893,8.699,7.835,6.486,1.091,3.0,5.935,9.139,9.139,12.027,12.555,0.369,1,4.229,4.229,11.129,6.215,3,2.643,10.982,0.399,5.296,10.256,2.109,2.109,4.154,4.176,19.075,5.1,-0.212,34.78,6.848,11.013,6.758,5,8.488,11.657,11.657,11.657,3.78,12.841,11.222,11.222,14.697,7.501,29.976,1.047,2,5.905,8.219,9.226,10.261,15.575,3,17.833,20.329
4.523,5.263,10.165,14.594,15.721,16.869,3.263,3.263,12.353,13.449,18.012,11.199,8.97,8.074,6.738,1.678,2.945,6.161,9.465,9.465,12.219,12.751,0.277,3,4.336,4.336,11.329,6.347,5,2.677,11.095,0.286,5.478,10.453,1.747,1.747,4.396,4.004,19.122,2.9,-0.012,39.032,6.599,11.186,6.956,9,8.695,11.845,11.845,11.845,3.868,12.992,10.374,10.374,14.826,7.712,29.964,1.205,2,6.411,8.379,9.418,10.409,15.608,3,17.819,20.302
9.0,5.375,10.354,14.937,16.102,17.29,3.375,3.375,12.617,13.748,18.472,11.41,9.08,8.199,6.727,1.49,3.019,6.246,9.548,9.548,12.598,13.097,0.258,4,4.391,4.391,11.663,6.323,10,2.79,11.221,0.278,5.465,10.731,1.585,1.585,4.233,4.069,20.276,0.0,0.036,26.041,6.661,11.173,6.991,12,8.872,12.545,12.545,12.545,3.836,12.984,10.735,10.735,14.823,7.7,30.008,1.201,0,6.205,8.327,9.404,10.604,15.843,3,18.103,20.66
6.848,5.126,9.694,14.014,15.105,16.229,3.126,3.126,11.827,12.882,17.337,10.667,8.453,7.666,6.212,1.323,2.854,5.829,7.223,7.223,11.841,12.374,0.207,1,4.193,4.193,10.952,5.557,3,2.372,10.612,0.21,5.218,10.077,1.28,1.28,3.83,3.866,18.925,0.0,-0.046,12.869,6.423,10.672,6.506,16,8.325,11.368,11.368,11.368,3.437,12.458,9.771,9.771,14.276,7.259,29.281,1.343,0,6.189,7.8,8.931,10.027,15.11,1,17.282,19.784
5.081,4.863,8.82,12.931,13.968,15.038,2.917,2.917,10.851,11.854,16.091,9.75,7.653,6.885,5.545,0.66,2.34,5.124,5.776,5.776,11.111,11.657,0.34,1,4.003,4.003,10.235,5.062,0,1.855,9.843,0.359,5.05,9.392,1.727,1.727,3.334,3.389,16.946,0.0,-0.383,10.85,5.39,10.007,5.889,1,7.679,10.058,10.058,10.058,2.925,11.75,7.053,7.053,13.518,6.653,28.113,0.9,0,5.335,7.154,8.301,9.442,14.131,1,16.166,18.595
5.081,5.068,9.301,13.567,14.646,15.764,3.068,3.068,11.404,12.441,16.863,10.248,8.065,7.304,5.867,0.736,2.462,5.486,6.959,6.959,11.488,12.024,0.297,1,4.115,4.115,10.603,5.387,3,2.306,10.174,0.321,5.159,9.734,1.589,1.589,3.559,3.494,17.915,0.0,-0.234,11.07,5.675,10.28,6.159,8,7.986,10.772,10.772,10.772,3.339,12.037,7.528,7.528,13.823,6.911,28.609,0.89,0,5.5,7.434,8.564,9.75,14.566,1,16.677,19.152
5.081,4.921,9.395,13.482,14.505,15.573,2.921,2.921,11.415,12.399,16.615,10.297,8.192,7.463,6.056,1.125,2.842,5.688,7.209,7.209,11.709,12.254,0.287,1,4.006,4.006,10.836,5.44,3,2.374,10.379,0.301,5.062,9.982,1.665,1.665,3.776,3.897,16.947,0.0,-0.138,12.39,6.194,10.555,6.444,4,8.257,10.06,10.06,10.06,3.424,12.291,9.263,9.263,14.051,7.204,28.534,0.975,0,5.956,7.706,8.852,10.013,14.616,1,16.616,19.021
5.081,5.009,9.583,13.706,14.744,15.819,3.009,3.009,11.621,12.623,16.876,10.515,8.414,7.627,6.299,1.528,2.745,5.82,9.2,9.2,12.004,12.534,0.317,1,4.278,4.278,11.109,6.183,4,2.656,10.957,0.331,5.336,10.239,1.88,1.88,4.07,3.933,19.808,2.0,-0.026,36.401,6.379,10.992,6.746,2,8.476,12.298,12.298,12.298,3.797,12.813,9.634,9.634,14.661,7.491,29.97,0.983,1,6.176,8.191,9.21,10.274,15.548,3,17.817,20.345
5.081,5.01,9.737,13.922,14.975,16.058,3.01,3.01,11.809,12.832,17.125,10.696,8.563,7.744,6.409,1.646,2.917,5.903,9.202,9.202,12.045,12.574,0.302,1,4.278,4.278,11.148,6.183,3,2.676,10.994,0.317,5.336,10.277,1.81,1.81,4.129,4.005,19.808,0.0,-0.066,36.464,6.478,11.013,6.772,3,8.511,12.298,12.298,12.298,3.801,12.835,10.06,10.06,14.686,7.512,29.999,0.988,0,6.236,8.211,9.231,10.303,15.593,3,17.867,20.39
6.129,5.052,9.341,13.59,14.656,15.768,3.052,3.052,11.439,12.46,16.855,10.265,8.055,7.34,5.793,0.625,2.661,5.522,6.336,6.336,11.62,12.152,0.251,0,4.095,4.095,10.733,5.227,2,2.037,10.196,0.269,5.14,9.85,1.392,1.392,3.376,3.679,17.404,0.0,0.047,0.0,6.073,10.292,6.201,10,8.087,10.457,10.457,10.457,3.092,12.047,8.791,8.791,13.831,6.944,28.526,1.02,0,5.24,7.468,8.583,9.861,14.551,0,16.629,19.069
6.397,4.99,9.279,13.496,14.554,15.657,3.026,3.026,11.362,12.376,16.736,10.198,8.004,7.292,5.757,0.625,2.653,5.488,6.336,6.336,11.62,12.152,0.263,0,4.087,4.087,10.733,5.227,1,1.99,10.196,0.282,5.134,9.85,1.449,1.449,3.356,3.676,17.404,0.0,0.068,0.0,6.073,10.292,6.201,4,8.087,10.457,10.457,10.457,3.069,12.047,8.791,8.791,13.831,6.944,28.526,1.016,0,5.256,7.468,8.583,9.861,14.551,0,16.629,19.069
6.0,5.005,9.319,13.564,14.63,15.739,3.046,3.046,11.416,12.44,16.825,10.25,8.046,7.32,5.79,0.625,2.656,5.502,6.336,6.336,11.62,12.152,0.263,0,4.093,4.093,10.733,5.227,4,2.031,10.196,0.282,5.14,9.85,1.449,1.449,3.376,3.677,17.404,0.0,0.049,0.0,6.073,10.292,6.201,5,8.087,10.457,10.457,10.457,3.088,12.047,8.791,8.791,13.831,6.944,28.526,1.018,0,5.24,7.468,8.583,9.861,14.551,0,16.629,19.069
7.268,5.091,9.421,13.726,14.808,15.932,3.091,3.091,11.547,12.587,17.034,10.368,8.136,7.393,5.854,0.625,2.675,5.548,6.336,6.336,11.62,12.152,0.251,0,4.108,4.108,10.733,5.227,1,2.057,10.196,0.269,5.145,9.85,1.392,1.392,3.414,3.684,17.404,0.0,0.079,0.0,6.073,10.292,6.201,10,8.087,10.457,10.457,10.457,3.1,12.047,8.791,8.791,13.831,6.944,28.526,1.019,0,5.308,7.468,8.583,9.861,14.551,0,16.629,19.069
7.569,4.936,9.212,13.392,14.441,15.533,2.997,2.997,11.277,12.283,16.602,10.124,7.95,7.242,5.722,0.625,2.641,5.454,6.336,6.336,11.62,12.152,0.273,0,4.078,4.078,10.733,5.227,1,1.99,10.196,0.294,5.153,9.85,1.496,1.496,3.336,3.672,17.404,0.0,0.039,0.0,6.073,10.292,6.201,1,8.087,10.457,10.457,10.457,3.069,12.047,8.791,8.791,13.831,6.944,28.526,1.004,0,5.209,7.468,8.583,9.861,14.551,0,16.629,19.069
7.086,4.99,9.279,13.508,14.569,15.673,3.03,3.03,11.369,12.388,16.753,10.206,8.01,7.286,5.761,0.625,2.653,5.474,6.336,6.336,11.62,12.152,0.285,0,4.088,4.088,10.733,5.227,1,1.956,10.196,0.307,5.141,9.85,1.561,1.561,3.358,3.676,17.404,0.0,0.06,0.0,6.073,10.292,6.201,4,8.087,10.457,10.457,10.457,3.056,12.047,8.791,8.791,13.831,6.944,28.526,0.978,0,5.215,7.468,8.583,9.861,14.551,0,16.629,19.069
8.699,5.009,9.357,13.58,14.643,15.75,3.047,3.047,11.44,12.459,16.835,10.281,8.1,7.375,5.887,0.681,2.658,5.572,6.377,6.377,11.656,12.189,0.255,0,4.094,4.094,10.769,5.236,1,2.17,10.227,0.272,5.142,9.889,1.43,1.43,3.546,3.679,17.407,0.0,0.149,0.0,6.073,10.352,6.263,4,8.131,10.458,10.458,10.458,3.227,12.097,8.791,8.791,13.872,7.015,28.531,1.101,0,5.327,7.527,8.65,9.901,14.563,0,16.635,19.073
8.046,5.027,9.795,14.112,15.195,16.303,3.065,3.065,11.937,12.995,17.398,10.794,8.583,7.72,6.333,0.847,2.994,5.789,8.789,8.789,11.733,12.265,0.248,0,4.121,4.121,10.841,6.072,1,2.656,10.528,0.263,5.17,9.969,1.411,1.411,3.941,4.042,17.427,0.0,0.201,0.0,6.39,10.601,6.435,5,8.213,10.472,10.472,10.472,3.676,12.383,9.941,9.941,14.188,7.179,28.933,1.148,0,5.414,7.873,8.858,10.003,14.941,0,17.084,19.481
6.345,5.047,9.549,13.7,14.742,15.843,3.047,3.047,11.594,12.581,16.913,10.427,8.266,7.606,6.062,0.688,2.66,5.83,7.397,7.397,11.845,12.385,0.231,0,4.094,4.094,10.968,5.487,3,2.601,10.383,0.247,5.145,10.1,1.378,1.378,3.705,3.681,17.408,0.0,0.1,0.0,6.073,10.541,6.485,12,8.364,10.458,10.458,10.458,3.613,12.268,8.791,8.791,14.025,7.241,28.582,1.206,0,5.654,7.731,8.858,10.119,14.658,0,16.697,19.125
7.469,5.039,9.421,13.691,14.767,15.882,3.077,3.077,11.53,12.565,16.978,10.367,8.162,7.409,5.914,0.826,2.672,5.577,7.4,7.4,11.74,12.267,0.255,0,4.14,4.14,10.846,5.662,1,2.266,10.367,0.272,5.188,9.955,1.43,1.43,3.516,3.699,18.034,0.0,-0.003,0.0,6.092,10.44,6.312,4,8.177,10.883,10.883,10.883,3.354,12.21,8.864,8.864,14.01,7.052,28.82,1.049,0,5.425,7.598,8.712,9.955,14.781,0,16.896,19.364
7.032,5.008,9.324,13.567,14.633,15.742,3.046,3.046,11.419,12.442,16.828,10.251,8.046,7.328,5.79,0.625,2.658,5.519,6.337,6.337,11.632,12.165,0.255,0,4.093,4.093,10.746,5.227,1,2.021,10.2,0.272,5.141,9.865,1.43,1.43,3.376,3.678,17.404,0.0,0.053,0.0,6.073,10.301,6.217,4,8.107,10.457,10.457,10.457,3.086,12.052,8.791,8.791,13.835,6.963,28.526,1.067,0,5.261,7.479,8.596,9.874,14.552,0,16.629,19.069
8.398,5.046,9.466,13.725,14.799,15.915,3.082,3.082,11.567,12.596,17.011,10.397,8.189,7.472,5.932,0.743,2.676,5.668,7.78,7.78,11.868,12.394,0.245,0,4.149,4.149,10.972,5.757,2,2.346,10.439,0.261,5.212,10.08,1.407,1.407,3.516,3.708,18.207,0.0,0.122,0.0,6.099,10.504,6.405,4,8.3,11.001,11.001,11.001,3.432,12.268,8.9,8.9,14.063,7.143,28.881,1.18,0,5.462,7.675,8.788,10.041,14.857,0,16.982,19.455
7.886,5.048,9.535,13.772,14.841,15.955,3.085,3.085,11.624,12.646,17.047,10.459,8.269,7.546,6.038,0.785,2.683,5.732,7.932,7.932,11.924,12.447,0.245,0,4.154,4.154,11.024,5.792,2,2.477,10.493,0.261,5.203,10.129,1.407,1.407,3.664,3.72,18.241,0.0,0.05,0.0,6.101,10.57,6.463,4,8.342,11.017,11.017,11.017,3.538,12.33,8.913,8.913,14.12,7.2,28.903,1.199,0,5.504,7.74,8.852,10.124,14.894,0,17.007,19.481
8.0,5.008,9.326,13.567,14.633,15.743,3.046,3.046,11.42,12.442,16.829,10.251,8.046,7.332,5.79,0.625,2.658,5.526,6.337,6.337,11.632,12.165,0.255,0,4.093,4.093,10.746,5.227,2,2.024,10.2,0.272,5.141,9.865,1.43,1.43,3.376,3.678,17.404,0.0,-0.02,0.0,6.073,10.301,6.217,4,8.107,10.457,10.457,10.457,3.088,12.052,8.791,8.791,13.835,6.963,28.526,1.158,0,5.292,7.479,8.596,9.874,14.552,0,16.629,19.069
6.726,5.008,9.319,13.566,14.633,15.742,3.046,3.046,11.418,12.442,16.828,10.251,8.046,7.318,5.79,0.625,2.658,5.499,6.336,6.336,11.62,12.152,0.285,0,4.093,4.093,10.733,5.227,1,2.016,10.196,0.307,5.14,9.85,1.561,1.561,3.376,3.678,17.404,0.0,0.085,0.0,6.073,10.292,6.201,4,8.087,10.457,10.457,10.457,3.082,12.047,8.791,8.791,13.831,6.944,28.526,0.994,0,5.268,7.468,8.583,9.861,14.551,0,16.629,19.069
6.134,5.048,9.543,13.781,14.85,15.962,3.086,3.086,11.633,12.658,17.055,10.475,8.288,7.553,6.063,0.785,2.685,5.737,7.932,7.932,11.924,12.447,0.278,1,4.154,4.154,11.024,5.792,3,2.499,10.493,0.299,5.222,10.129,1.572,1.572,3.692,3.722,18.241,0.0,0.016,11.737,6.101,10.57,6.463,4,8.342,11.017,11.017,11.017,3.546,12.33,8.913,8.913,14.12,7.2,28.903,1.116,0,5.507,7.74,8.852,10.124,14.894,1,17.007,19.481
6.0,5.027,9.792,14.108,15.19,16.299,3.064,3.064,11.934,12.991,17.393,10.79,8.58,7.718,6.332,0.847,2.994,5.787,8.789,8.789,11.733,12.265,0.248,0,4.121,4.121,10.841,6.072,2,2.65,10.528,0.263,5.17,9.969,1.411,1.411,3.941,4.042,17.427,0.0,0.167,0.0,6.39,10.601,6.435,5,8.213,10.472,10.472,10.472,3.674,12.383,9.941,9.941,14.188,7.179,28.933,1.147,0,5.425,7.873,8.858,10.003,14.941,0,17.084,19.481
7.222,5.03,9.834,14.142,15.224,16.331,3.067,3.067,11.971,13.026,17.425,10.831,8.629,7.766,6.395,0.847,2.996,5.843,8.902,8.902,11.801,12.332,0.251,0,4.123,4.123,10.907,6.098,1,2.699,10.58,0.265,5.172,10.034,1.439,1.439,4.031,4.045,17.433,0.0,0.221,0.0,6.39,10.667,6.503,5,8.275,10.478,10.478,10.478,3.728,12.442,9.942,9.942,14.241,7.248,28.953,1.148,0,5.511,7.93,8.927,10.067,14.975,0,17.106,19.505
6.064,5.032,9.873,14.163,15.242,16.347,3.067,3.067,11.999,13.05,17.439,10.862,8.673,7.823,6.458,0.965,2.996,5.922,8.956,8.956,11.889,12.42,0.233,0,4.124,4.124,10.995,6.108,3,2.715,10.642,0.244,5.174,10.124,1.39,1.39,4.123,4.045,17.434,0.0,0.096,0.0,6.39,10.741,6.592,6,8.369,10.479,10.479,10.479,3.754,12.508,9.942,9.942,14.299,7.339,28.975,1.152,0,5.685,7.999,9.01,10.144,15.015,0,17.134,19.53
7.745,5.04,9.868,14.198,15.285,16.394,3.077,3.077,12.018,13.081,17.491,10.876,8.661,7.783,6.409,0.986,3.001,5.841,9.589,9.589,11.836,12.363,0.272,0,4.136,4.136,10.938,6.346,1,2.76,10.651,0.289,5.185,10.06,1.549,1.549,4.019,4.055,17.547,2.4,-0.017,0.0,6.401,10.712,6.524,4,8.292,10.592,10.592,10.592,3.813,12.502,9.956,9.956,14.316,7.265,29.121,1.147,1,5.579,7.962,8.957,10.092,15.091,0,17.241,19.654
7.824,5.032,9.832,14.154,15.238,16.346,3.07,3.07,11.977,13.036,17.442,10.835,8.623,7.752,6.373,0.986,2.997,5.816,9.589,9.589,11.836,12.363,0.272,0,4.134,4.134,10.938,6.346,2,2.712,10.651,0.289,5.183,10.06,1.549,1.549,3.986,4.053,17.547,2.4,0.077,0.0,6.401,10.712,6.524,5,8.292,10.592,10.592,10.592,3.799,12.502,9.956,9.956,14.316,7.265,29.121,1.148,1,5.484,7.962,8.957,10.092,15.091,0,17.241,19.654
7.284,5.052,9.914,14.259,15.348,16.46,3.088,3.088,12.072,13.139,17.56,10.928,8.707,7.82,6.449,0.986,3.006,5.87,9.589,9.589,11.836,12.363,0.242,0,4.139,4.139,10.938,6.346,2,2.811,10.651,0.255,5.188,10.06,1.393,1.393,4.051,4.057,17.547,0.0,0.092,0.0,6.401,10.712,6.524,6,8.292,10.592,10.592,10.592,3.829,12.502,9.956,9.956,14.316,7.265,29.121,1.154,0,5.496,7.962,8.957,10.092,15.091,0,17.241,19.654
9.959,5.866,11.283,16.427,17.743,19.068,3.866,3.866,13.823,15.113,20.397,12.52,9.976,8.863,7.476,3.0,3.298,6.671,10.347,10.347,12.785,13.283,0.207,2,4.875,4.875,11.845,6.606,15,2.929,11.98,0.21,5.971,10.917,1.366,1.366,4.922,4.305,25.493,0.0,0.077,26.086,7.414,11.743,7.357,16,9.065,16.394,16.394,16.394,3.992,13.673,12.866,12.866,15.645,8.072,32.14,1.397,0,7.083,8.952,9.869,10.901,17.149,2,19.786,22.562
8.229,5.8,10.898,16.062,17.381,18.708,3.8,3.8,13.446,14.741,20.036,12.132,9.574,8.5,7.081,1.875,2.665,6.383,8.524,8.524,12.45,12.96,0.213,2,4.819,4.819,11.525,6.028,13,2.617,11.614,0.218,5.92,10.621,1.36,1.36,4.57,3.725,25.156,0.0,0.038,25.292,6.075,11.388,7.064,18,8.809,16.224,16.224,16.224,3.691,13.304,8.757,8.757,15.275,7.789,31.938,1.385,0,6.722,8.611,9.543,10.621,16.84,2,19.521,22.322
9.347,5.794,10.908,16.057,17.371,18.695,3.794,3.794,13.449,14.74,20.02,12.139,9.587,8.511,7.094,2.042,2.836,6.388,7.901,7.901,12.458,12.968,0.213,2,4.813,4.813,11.535,5.867,13,2.616,11.63,0.218,5.915,10.628,1.36,1.36,4.57,3.911,25.023,0.0,0.047,25.292,6.443,11.409,7.072,17,8.813,16.196,16.196,16.196,3.641,13.328,9.82,9.82,15.3,7.799,31.941,1.382,0,6.712,8.625,9.559,10.63,16.846,2,19.521,22.317
6.706,5.379,10.435,15.012,16.177,17.363,3.379,3.379,12.695,13.826,18.543,11.494,9.175,8.283,6.839,1.775,3.066,6.327,9.762,9.762,12.676,13.174,0.248,4,4.397,4.397,11.739,6.401,14,2.839,11.306,0.265,5.472,10.806,1.552,1.552,4.373,4.114,20.34,0.0,0.076,26.279,6.73,11.271,7.079,13,8.944,12.57,12.57,12.57,3.869,13.081,10.959,10.959,14.918,7.792,30.088,1.236,0,6.267,8.418,9.501,10.687,15.92,3,18.176,20.732
6.695,5.379,10.393,14.974,16.139,17.327,3.379,3.379,12.654,13.786,18.509,11.45,9.127,8.242,6.79,1.688,3.038,6.294,9.83,9.83,12.681,13.179,0.27,4,4.402,4.402,11.743,6.412,15,2.808,11.317,0.29,5.477,10.81,1.675,1.675,4.327,4.11,20.398,1.8,0.007,26.247,6.775,11.272,7.081,12,8.947,12.641,12.641,12.641,3.877,13.083,11.103,11.103,14.923,7.792,30.127,1.209,1,6.292,8.419,9.502,10.689,15.948,3,18.218,20.78
8.041,5.375,10.377,14.95,16.113,17.3,3.375,3.375,12.633,13.763,18.481,11.43,9.112,8.233,6.781,1.681,3.023,6.291,9.594,9.594,12.659,13.159,0.27,4,4.392,4.392,11.724,6.333,12,2.797,11.269,0.29,5.467,10.793,1.675,1.675,4.327,4.079,20.282,1.8,0.073,26.219,6.667,11.246,7.067,12,8.934,12.55,12.55,12.55,3.853,13.047,10.762,10.762,14.877,7.782,30.021,1.209,1,6.247,8.398,9.484,10.673,15.867,3,18.118,20.674
7.721,5.375,10.377,14.949,16.112,17.299,3.375,3.375,12.633,13.762,18.48,11.43,9.112,8.233,6.781,1.737,3.022,6.291,9.588,9.588,12.658,13.157,0.27,4,4.392,4.392,11.722,6.331,12,2.797,11.269,0.29,5.467,10.792,1.675,1.675,4.327,4.077,20.28,1.8,0.048,26.201,6.665,11.246,7.067,13,8.934,12.547,12.547,12.547,3.854,13.047,10.75,10.75,14.877,7.782,30.02,1.208,1,6.237,8.398,9.484,10.673,15.866,3,18.116,20.672
7.77,5.376,10.389,14.963,16.127,17.314,3.376,3.376,12.646,13.776,18.495,11.444,9.124,8.241,6.789,1.601,3.031,6.294,9.844,9.844,12.673,13.171,0.27,4,4.396,4.396,11.736,6.417,12,2.808,11.306,0.29,5.471,10.804,1.675,1.675,4.327,4.1,20.338,1.8,0.031,26.219,6.724,11.271,7.079,11,8.943,12.569,12.569,12.569,3.882,13.081,10.932,10.932,14.918,7.792,30.087,1.209,1,6.235,8.418,9.501,10.686,15.919,3,18.174,20.731
8.77,5.381,10.436,15.015,16.179,17.366,3.381,3.381,12.696,13.828,18.548,11.495,9.175,8.283,6.839,1.601,3.064,6.327,9.844,9.844,12.673,13.171,0.248,4,4.397,4.397,11.736,6.417,14,2.843,11.306,0.265,5.472,10.804,1.552,1.552,4.373,4.109,20.338,0.0,0.066,26.279,6.724,11.271,7.079,13,8.943,12.569,12.569,12.569,3.894,13.081,10.932,10.932,14.918,7.792,30.087,1.228,0,6.243,8.418,9.501,10.686,15.919,3,18.174,20.731
7.699,5.384,10.419,15.007,16.174,17.364,3.384,3.384,12.684,13.818,18.547,11.48,9.154,8.265,6.814,1.799,3.058,6.312,9.842,9.842,12.686,13.184,0.248,4,4.404,4.404,11.748,6.415,14,2.823,11.312,0.265,5.479,10.814,1.552,1.552,4.352,4.118,20.385,0.0,0.048,26.331,6.746,11.272,7.081,12,8.948,12.599,12.599,12.599,3.884,13.082,11.02,11.02,14.92,7.792,30.102,1.21,0,6.28,8.422,9.502,10.685,15.932,3,18.194,20.753
7.959,5.388,10.463,15.048,16.215,17.404,3.388,3.388,12.726,13.859,18.588,11.523,9.202,8.311,6.871,1.855,3.081,6.361,10.016,10.016,12.749,13.245,0.239,4,4.412,4.412,11.808,6.464,16,2.842,11.377,0.253,5.487,10.872,1.52,1.52,4.42,4.149,20.449,0.0,0.06,26.635,6.814,11.334,7.136,13,9.002,12.636,12.636,12.636,3.908,13.147,11.265,11.265,14.987,7.847,30.179,1.224,0,6.362,8.479,9.56,10.735,16.005,3,18.269,20.831
