pXC50,nBO,nSK,nC,SCBO,Sv,MW,nAB,nBM,nCsp2,nBT,Se,O.,nAT,Si,nH,Sp,AMW,C.,H.,Me,Mi,Mp
8.921,39,35,29,51.0,41.057,467.61,18,21,21,68,63.774,4.7,64,71.521,29,43.279,7.306,45.3,45.3,0.996,1.118,0.676
8.194,29,26,23,36.0,32.299,349.51,12,13,13,56,52.243,3.8,53,59.315,27,34.813,6.595,43.4,50.9,0.986,1.119,0.657
7.071,31,28,24,38.0,34.541,379.54,12,13,13,60,56.454,5.3,57,63.939,29,37.029,6.659,42.1,50.9,0.99,1.122,0.65
7.027,31,28,23,38.0,34.036,380.53,12,13,13,59,55.672,5.4,56,63.022,28,36.273,6.795,41.1,50.0,0.994,1.125,0.648
7.456,33,30,27,43.0,37.133,398.59,18,19,19,63,58.901,1.7,60,67.019,30,40.125,6.643,45.0,50.0,0.982,1.117,0.669
8.699,32,29,25,39.0,36.068,393.57,12,13,13,63,59.338,5.0,60,67.355,31,38.79,6.559,41.7,51.7,0.989,1.123,0.647
7.523,32,29,25,39.0,36.068,393.57,12,13,13,63,59.338,5.0,60,67.355,31,38.79,6.559,41.7,51.7,0.989,1.123,0.647
6.824,27,24,22,34.0,30.058,319.48,12,13,13,52,48.032,2.0,49,54.69,25,32.597,6.52,44.9,51.0,0.98,1.116,0.665
6.745,32,29,25,39.0,36.068,393.57,12,13,13,63,59.338,5.0,60,67.355,31,38.79,6.559,41.7,51.7,0.989,1.123,0.647
7.056,28,26,22,35.0,32.321,352.52,12,13,13,56,53.345,3.7,54,60.813,28,34.819,6.528,40.7,51.9,0.988,1.126,0.645
6.252,26,24,21,33.0,30.079,322.49,12,13,13,52,49.134,2.0,50,56.188,26,32.603,6.45,42.0,52.0,0.983,1.124,0.652
6.276,26,24,22,33.0,30.585,321.5,12,13,13,53,49.916,2.0,51,57.105,27,33.358,6.304,43.1,52.9,0.979,1.12,0.654
6.745,27,25,21,34.0,30.907,356.93,12,13,13,52,49.458,2.0,50,56.132,25,33.461,7.139,42.0,50.0,0.989,1.123,0.669
7.886,33,30,25,40.0,36.783,409.57,12,13,13,64,60.665,6.6,61,68.564,31,39.245,6.714,41.0,50.8,0.995,1.124,0.643
7.456,33,30,27,43.0,37.133,398.59,18,19,19,63,58.901,1.7,60,67.019,30,40.125,6.643,45.0,50.0,0.982,1.117,0.669
7.26,29,27,21,38.0,32.003,367.49,12,15,13,54,52.007,5.8,52,58.69,25,33.756,7.067,40.4,48.1,1.0,1.129,0.649
7.009,28,25,22,35.0,31.079,334.5,12,13,13,54,50.134,2.0,51,57.188,26,33.603,6.559,43.1,51.0,0.983,1.121,0.659
6.638,29,27,21,38.0,32.003,367.49,12,15,13,54,52.007,5.8,52,58.69,25,33.756,7.067,40.4,48.1,1.0,1.129,0.649
5.268,23,21,17,27.0,25.961,289.41,6,7,7,46,43.803,6.8,44,49.694,23,27.745,6.577,38.6,52.3,0.996,1.129,0.631
7.886,31,28,24,39.0,34.014,377.52,12,14,15,58,54.571,5.5,55,61.524,27,36.267,6.864,43.6,49.1,0.992,1.119,0.659
6.252,26,24,21,33.0,30.079,322.49,12,13,13,52,49.134,2.0,50,56.188,26,32.603,6.45,42.0,52.0,0.983,1.124,0.652
7.699,31,28,24,38.0,34.541,379.54,12,13,13,60,56.454,5.3,57,63.939,29,37.029,6.659,42.1,50.9,0.99,1.122,0.65
8.398,34,31,24,43.0,36.465,424.54,12,15,13,62,59.327,8.5,59,66.441,28,38.182,7.196,40.7,47.5,1.006,1.126,0.647
7.409,26,24,20,33.0,29.574,323.48,12,13,12,51,48.352,2.0,49,55.272,25,31.847,6.602,40.8,51.0,0.987,1.128,0.65
7.292,29,27,23,37.0,33.321,364.53,12,14,14,57,54.345,3.6,55,61.813,28,35.819,6.628,41.8,50.9,0.988,1.124,0.651
6.097,26,24,20,33.0,29.574,323.48,12,13,12,51,48.352,2.0,49,55.272,25,31.847,6.602,40.8,51.0,0.987,1.128,0.65
6.056,29,27,21,38.0,32.003,367.49,12,15,13,54,52.007,5.8,52,58.69,25,33.756,7.067,40.4,48.1,1.0,1.129,0.649
6.77,27,25,22,34.0,31.606,336.52,12,13,13,55,52.018,1.9,53,59.604,28,34.364,6.349,41.5,52.8,0.981,1.125,0.648
6.921,28,26,22,36.0,31.794,350.5,12,14,14,54,51.461,3.8,52,58.398,26,34.057,6.74,42.3,50.0,0.99,1.123,0.655
7.071,27,25,21,34.0,30.463,340.48,12,13,13,52,49.647,2.0,50,56.528,25,32.54,6.81,42.0,50.0,0.993,1.131,0.651
6.81,27,25,20,35.0,30.289,339.48,12,14,12,52,49.68,4.0,50,56.481,25,32.302,6.79,40.0,50.0,0.994,1.13,0.646
9.523,39,36,30,51.0,44.33,504.75,18,21,19,75,71.283,4.2,72,80.603,36,47.966,7.01,41.7,50.0,0.99,1.119,0.666
6.886,28,26,23,35.0,33.133,350.55,12,13,13,58,54.901,1.8,56,63.019,30,36.126,6.26,41.1,53.6,0.98,1.125,0.645
7.538,37,34,28,49.0,41.276,476.69,18,21,19,69,65.516,4.5,66,73.773,32,44.444,7.223,42.4,48.5,0.993,1.118,0.673
6.872,25,23,19,29.0,29.321,316.49,6,7,7,53,50.345,3.9,51,57.813,28,31.819,6.206,37.3,54.9,0.987,1.134,0.624
5.608,18,18,14,22.0,22.74,250.38,6,7,7,40,39.694,5.0,40,45.567,22,24.534,6.259,35.0,55.0,0.992,1.139,0.613
6.799,26,24,20,30.0,30.848,330.52,6,7,7,56,53.229,3.7,54,61.228,30,33.58,6.121,37.0,55.6,0.986,1.134,0.622
4.678,19,20,14,21.0,26.277,290.46,0,2,2,49,49.883,8.0,50,57.647,30,28.489,5.809,28.0,60.0,0.998,1.153,0.57
6.77,30,27,22,37.0,32.815,365.52,12,13,13,57,53.563,3.7,54,60.896,27,35.063,6.769,40.7,50.0,0.992,1.128,0.649
5.824,16,15,12,19.0,18.972,206.32,0,2,1,34,32.6,3.0,33,37.528,18,20.557,6.252,36.4,54.5,0.988,1.137,0.623
6.046,28,25,22,36.0,31.079,334.5,16,16,13,54,50.134,2.0,51,57.188,26,33.603,6.559,43.1,51.0,0.983,1.121,0.659
7.398,22,20,15,26.0,24.235,275.39,6,7,7,43,40.912,4.9,41,46.651,21,25.779,6.717,36.6,51.2,0.998,1.138,0.629
7.095,17,15,13,22.5,18.204,198.29,11,11,9,31,28.505,0.0,29,32.488,14,19.58,6.838,44.8,48.3,0.983,1.12,0.675
