pXC50,P_VSA_e_3,P_VSA_LogP_3,GGI7,Eig02_AEA.ed.,SM11_EA.bo.,SM09_EA.bo.,SM10_EA.bo.,N.069,nArNH2,Eig02_AEA.ri.,SM12_EA.bo.,SaaN,Eig02_EA.ri.,SM08_EA.bo.,Eig02_EA,SM10_AEA.bo.,Chi0_EA.dm.,SM07_EA.bo.,Yindex,P_VSA_e_5,Eig08_EA.ed.,SM03_AEA.ri.,GGI3,GATS6p,IC2,SM07_EA,Eig13_EA.ri.,Vindex,Xindex,Eig01_AEA.ed.,Eig01_EA.ed.,SM10_AEA.dm.,SpMax_AEA.ed.,SpMax_EA.ed.,Eig01_EA,SM09_AEA.bo.,SpDiam_EA,SpDiam_EA.ed.,SpMax_EA,JGI6,Eig05_EA,SM13_AEA.bo.,nRCOOH,SpDiam_AEA.ri.,Eig08_AEA.ed.,SpMin4_Bh.m.,SM03_EA.ed.,ATS7e,NssCH2,Eig06_EA.ri.,ICR,SpMin1_Bh.s.,Eig02_AEA.bo.,SM15_EA.ed.,GGI4,ATSC7e,ATSC7m,ATS8m,Eig13_EA,Eig13_EA.bo.,SM07_AEA.dm.,GATS8i,RBF,SM08_EA,ATS7i,HVcpx
4.1,132.263,103.699,0.332,5.97,15.481,12.756,14.29,2,2,3.68,16.943,7.815,2.593,11.678,2.73,2.73,16.379,10.02,0.835,36.145,1.367,1.367,0.938,1.074,4.286,8.042,-0.97,0.296,0.455,6.23,9.359,9.359,6.23,9.359,2.955,2.955,4.955,15.812,2.955,0.014,1.584,1.584,0,4.994,3.034,1.407,6.88,4.254,2,1.429,2.485,1.206,4.119,33.729,1.076,0.382,16.452,2.887,-1.0,-1.29,-1.0,0.993,0.139,9.287,4.499,3.099
3.96,99.365,103.699,0.198,5.903,15.432,12.701,14.245,2,2,3.647,16.899,7.733,2.573,11.626,2.689,2.689,12.441,9.949,0.944,42.683,-0.241,-0.241,0.938,0.993,4.093,7.912,-1.325,0.327,0.493,6.177,9.134,9.134,6.177,9.134,2.936,2.936,4.936,15.536,2.936,0.014,1.414,1.414,0,4.977,2.359,1.235,6.72,3.685,1,1.265,2.227,1.197,4.091,33.342,0.956,0.193,9.646,1.958,-1.414,-1.893,-1.414,0.909,0.069,9.153,3.967,2.845
4.161,102.49,36.963,0.165,5.725,15.027,12.398,13.881,0,0,3.491,16.446,3.983,2.348,11.364,2.576,2.576,13.067,9.764,0.826,25.145,2.136,2.136,1.979,1.063,4.539,8.491,-0.946,0.278,0.416,6.909,11.585,11.585,6.909,11.585,3.271,3.271,5.271,18.633,3.271,0.012,1.81,1.81,0,5.368,3.247,1.314,7.277,4.157,0,1.329,2.42,1.128,3.935,36.747,1.196,0.305,17.413,2.429,-1.0,-1.253,-1.0,0.398,0.059,9.768,4.433,2.913
4.155,101.265,70.802,0.424,6.116,17.098,14.076,15.642,1,1,3.887,18.643,8.669,2.873,12.717,2.892,2.892,23.107,11.086,0.486,160.801,5.12,5.12,2.792,1.052,4.948,8.906,0.692,0.187,0.303,6.926,11.677,11.677,6.926,11.677,3.275,3.275,5.275,18.779,3.275,0.016,2.338,2.338,2,5.322,4.645,1.825,7.724,5.0,5,2.154,3.202,1.303,4.206,36.885,2.112,0.8,34.855,3.716,0.7,0.8,0.7,0.848,0.161,10.149,5.237,3.724
8.0,154.072,103.699,0.656,6.193,16.706,13.78,15.332,2,2,3.913,18.222,16.552,2.878,12.522,2.933,2.933,28.24,10.882,0.499,160.801,5.121,5.121,2.313,0.963,5.236,8.811,0.919,0.189,0.305,6.503,10.183,10.183,6.503,10.183,3.085,3.085,5.085,17.077,3.085,0.017,2.334,2.334,2,5.109,4.645,1.717,7.647,4.842,4,2.154,3.254,1.223,4.241,35.114,2.28,0.866,26.531,3.946,1.0,1.396,1.0,1.034,0.169,10.043,5.04,3.791
4.585,117.376,96.486,0.255,6.523,17.054,14.053,15.612,2,2,4.003,18.582,7.992,2.88,12.693,3.059,3.059,26.188,11.058,0.623,42.507,2.511,2.511,2.472,1.102,4.231,8.74,-0.196,0.227,0.354,6.78,11.108,11.108,6.78,11.108,3.189,3.189,5.189,18.028,3.189,0.018,2.061,2.061,0,5.237,3.809,1.59,7.576,4.578,1,1.865,2.679,1.123,4.419,36.378,1.854,0.534,24.381,3.517,-0.212,-0.262,-0.212,0.832,0.13,9.992,4.858,3.298
4.509,117.376,105.963,0.313,6.172,16.958,13.952,15.518,2,2,3.855,18.492,7.983,2.764,12.603,2.901,2.901,22.895,10.955,0.653,31.507,2.117,2.117,1.91,0.957,4.415,8.585,-0.374,0.235,0.364,6.78,11.108,11.108,6.78,11.108,3.189,3.189,5.189,17.998,3.189,0.017,1.98,1.98,0,5.237,3.589,1.591,7.416,4.321,1,1.69,2.616,1.123,4.265,36.169,1.383,0.514,17.311,3.463,-0.409,-0.514,-0.409,1.11,0.119,9.839,4.526,3.204
5.602,54.706,66.334,0.632,6.192,16.623,13.706,15.26,0,0,3.911,18.135,7.908,2.882,12.461,2.93,2.93,24.072,10.812,0.504,203.485,4.419,4.419,2.0,0.933,5.086,8.748,0.907,0.191,0.307,6.479,10.075,10.075,6.479,10.075,3.053,3.053,5.053,16.759,3.053,0.016,2.264,2.264,2,5.096,4.448,1.715,7.594,4.846,4,2.154,3.268,1.252,4.241,34.997,2.009,0.737,26.334,3.921,0.942,1.332,0.942,0.986,0.172,9.986,5.032,3.74
7.921,154.072,103.699,0.672,6.193,16.706,13.779,15.331,2,2,3.913,18.221,16.991,2.878,12.52,2.934,2.934,27.874,10.882,0.501,160.801,5.121,5.121,2.313,0.988,4.958,8.811,1.056,0.188,0.301,6.503,10.183,10.183,6.503,10.183,3.085,3.085,5.085,17.077,3.085,0.015,2.334,2.334,2,5.109,4.645,1.899,7.647,5.272,10,2.154,3.256,1.404,4.24,35.115,2.28,0.835,45.347,4.233,1.059,1.434,1.059,1.09,0.205,10.058,5.514,3.844
4.602,117.376,96.486,0.255,6.31,17.027,14.025,15.585,2,2,3.865,18.556,7.911,2.596,12.667,2.982,2.982,18.77,11.031,0.643,9.507,2.138,2.138,2.222,1.021,4.351,8.665,-0.425,0.233,0.364,6.78,11.108,11.108,6.78,11.108,3.189,3.189,5.189,17.998,3.189,0.022,1.98,1.98,0,5.236,3.59,1.267,7.445,3.872,1,1.626,2.642,1.12,4.362,36.181,1.494,0.359,10.359,3.735,-0.476,-0.588,-0.476,0.989,0.088,9.904,4.033,3.186
7.149,135.387,103.699,0.507,6.116,15.872,13.127,14.623,2,2,3.887,17.32,8.195,2.873,11.986,2.892,2.892,27.585,10.401,0.452,160.801,5.12,5.12,1.813,1.102,4.901,8.675,0.713,0.177,0.289,6.502,10.175,10.175,6.502,10.175,3.079,3.079,5.079,17.069,3.079,0.013,2.289,2.289,2,5.113,4.645,1.713,7.509,4.899,6,2.153,3.233,1.429,4.206,34.944,2.16,0.87,32.301,3.675,0.722,0.788,0.722,1.016,0.15,9.906,5.144,3.803
6.252,135.387,115.439,0.408,6.116,16.927,13.935,15.495,2,2,3.886,18.461,7.892,2.868,12.603,2.892,2.892,25.778,10.971,0.472,170.309,4.968,4.968,2.222,1.016,5.006,8.768,0.575,0.183,0.298,6.78,11.107,11.107,6.78,11.107,3.188,3.188,5.188,17.998,3.188,0.016,2.28,2.28,2,5.236,4.645,1.629,7.588,4.642,3,2.142,3.208,1.222,4.206,36.155,1.832,0.898,21.945,3.628,0.609,0.716,0.609,1.01,0.17,10.004,4.823,3.715
6.23,145.32,103.699,0.155,5.475,15.287,12.578,14.134,2,2,3.538,16.761,7.858,2.437,11.548,2.596,2.596,13.413,9.856,0.906,0.0,-0.797,-0.797,1.063,0.688,4.088,7.793,-1.251,0.318,0.484,6.096,8.889,8.889,6.096,8.889,2.897,2.897,4.897,15.214,2.897,0.023,1.414,1.414,0,4.931,2.359,1.234,6.605,3.572,1,1.123,2.258,1.208,4.007,32.82,0.876,0.163,17.392,2.581,-1.414,-1.868,-1.414,0.954,0.071,9.035,3.826,2.878
6.0,123.046,94.223,0.373,6.088,16.072,13.277,14.779,2,2,3.816,17.529,7.684,2.743,12.078,2.857,2.857,21.517,10.485,0.815,75.892,2.424,2.424,1.625,0.981,4.572,8.346,-0.768,0.291,0.45,6.442,9.93,9.93,6.442,9.93,3.029,3.029,5.029,16.491,3.029,0.024,2.023,2.023,0,5.072,3.611,1.405,7.172,4.172,1,1.708,2.652,1.222,4.236,34.595,1.587,0.511,15.646,3.233,-0.782,-1.047,-0.782,0.868,0.108,9.567,4.419,3.186
8.456,168.958,94.223,0.616,6.204,16.777,13.852,15.397,2,2,3.945,18.287,16.096,2.895,12.578,2.963,2.963,25.734,10.951,0.474,160.801,5.12,5.12,2.125,1.028,5.186,8.79,0.708,0.183,0.297,6.502,10.175,10.175,6.502,10.175,3.079,3.079,5.079,17.069,3.079,0.014,2.37,2.37,2,5.103,4.645,1.621,7.612,4.692,3,2.154,3.233,1.221,4.316,35.053,2.431,1.163,23.427,3.873,0.756,0.892,0.756,1.307,0.167,10.014,4.889,3.79
5.93,99.365,103.699,0.186,5.562,15.312,12.602,14.155,2,2,3.593,16.784,7.86,2.526,11.567,2.633,2.633,16.082,9.878,0.87,11.0,0.616,0.616,1.063,1.09,4.22,7.838,-1.22,0.308,0.472,6.097,8.895,8.895,6.097,8.895,2.9,2.9,4.9,15.223,2.9,0.022,1.423,1.423,0,4.936,2.68,1.395,6.676,3.894,1,1.186,2.419,1.204,4.032,32.866,0.916,0.28,12.056,2.405,-1.285,-1.754,-1.285,1.354,0.094,9.084,4.181,2.98
6.25,99.365,103.699,0.233,5.462,15.283,12.581,14.134,2,2,3.567,16.755,7.855,2.505,11.555,2.605,2.605,16.082,9.867,0.819,11.0,0.57,0.57,0.813,0.894,4.091,7.827,-1.165,0.297,0.46,6.094,8.876,8.876,6.094,8.876,2.894,2.894,4.894,15.193,2.894,0.02,1.419,1.419,0,4.93,2.654,1.372,6.676,3.715,1,1.0,2.514,1.204,4.007,32.798,0.996,0.11,9.494,2.51,-1.257,-1.594,-1.257,0.804,0.094,9.07,3.984,3.061
6.05,117.376,103.699,0.233,5.519,15.311,12.619,14.163,2,2,3.624,16.778,7.837,2.574,11.593,2.651,2.651,18.608,9.924,0.74,25.145,1.072,1.072,1.063,1.019,4.301,7.928,-1.0,0.274,0.433,6.094,8.877,8.877,6.094,8.877,2.895,2.895,4.895,15.194,2.895,0.026,1.815,1.815,0,4.932,3.056,1.395,6.763,3.934,1,1.317,2.721,1.211,4.033,32.827,1.156,0.156,12.349,2.678,-1.0,-1.449,-1.0,0.967,0.086,9.161,4.234,3.186
8.328,168.958,94.223,0.538,6.418,16.791,13.862,15.409,2,2,3.995,18.302,16.148,2.898,12.584,3.013,3.013,27.406,10.955,0.473,160.801,5.129,5.129,2.375,1.031,5.186,8.796,0.674,0.182,0.297,6.502,10.175,10.175,6.502,10.175,3.079,3.079,5.079,17.069,3.079,0.017,2.29,2.29,2,5.103,4.737,1.618,7.621,4.7,3,2.151,3.248,1.221,4.361,35.262,2.351,1.325,23.611,3.798,0.722,0.841,0.722,1.238,0.167,10.024,4.893,3.793
6.21,145.32,103.699,0.233,5.39,15.259,12.558,14.114,2,2,3.515,16.734,7.854,2.429,11.536,2.568,2.568,13.413,9.844,0.873,0.0,-0.237,-0.237,0.813,1.045,3.94,7.781,-1.261,0.311,0.476,6.094,8.875,8.875,6.094,8.875,2.893,2.893,4.893,15.192,2.893,0.022,1.414,1.414,0,4.927,2.359,1.227,6.605,3.557,1,1.0,2.399,1.207,3.982,32.776,0.956,0.112,10.294,3.37,-1.414,-1.856,-1.414,1.245,0.071,9.021,3.836,2.953
5.0,117.376,115.439,0.408,6.116,16.927,13.935,15.495,2,2,3.887,18.46,8.001,2.873,12.604,2.892,2.892,23.342,10.971,0.42,170.309,5.021,5.021,2.347,1.085,4.806,8.768,0.817,0.167,0.276,6.78,11.107,11.107,6.78,11.107,3.187,3.187,5.187,17.997,3.187,0.015,2.332,2.332,2,5.236,4.645,1.782,7.588,4.827,6,2.154,3.32,1.358,4.206,36.154,1.832,0.898,29.15,3.706,0.833,1.177,0.833,0.92,0.183,10.01,5.046,3.865
6.17,102.49,103.699,0.264,5.924,15.341,12.64,14.183,2,2,3.705,16.807,7.912,2.624,11.6,2.752,2.752,18.285,9.928,0.793,0.0,0.91,0.91,1.063,0.864,4.0,8.024,-1.0,0.289,0.451,6.096,8.882,8.882,6.096,8.882,2.901,2.901,4.901,15.202,2.901,0.019,1.444,1.444,0,4.938,3.0,1.417,6.849,3.838,1,1.164,2.53,1.22,4.082,33.031,1.036,0.092,10.593,2.639,-1.0,-1.5,-1.0,0.703,0.083,9.245,4.109,3.087
5.78,99.365,103.699,0.155,5.475,15.287,12.578,14.134,2,2,3.58,16.761,7.882,2.548,11.548,2.596,2.596,14.194,9.856,0.906,0.0,-0.797,-0.797,1.063,0.767,4.082,7.793,-1.377,0.318,0.484,6.096,8.889,8.889,6.096,8.889,2.897,2.897,4.897,15.214,2.897,0.023,1.414,1.414,0,4.935,2.359,1.378,6.605,3.701,1,1.177,2.258,1.232,4.007,32.82,0.876,0.064,9.13,2.016,-1.414,-1.868,-1.414,0.737,0.065,9.035,3.968,2.878
6.0,105.035,103.699,0.264,5.924,15.743,13.003,14.511,2,2,3.718,17.19,7.712,2.655,11.869,2.752,2.752,16.722,10.252,0.793,50.747,0.91,0.91,1.063,1.039,4.03,8.024,-1.0,0.289,0.451,6.096,8.882,8.882,6.096,8.882,2.901,2.901,4.901,15.202,2.901,0.019,1.444,1.444,0,4.94,3.0,1.245,6.849,3.754,1,1.212,2.53,1.211,4.213,33.031,1.036,0.312,10.278,2.691,-1.0,-1.66,-1.0,1.023,0.1,9.245,4.009,3.087
6.92,99.365,94.223,0.28,6.072,15.635,12.892,14.415,2,2,3.762,17.091,7.878,2.66,11.777,2.817,2.817,19.002,10.135,0.839,22.0,0.814,0.814,1.25,1.141,4.093,8.12,-0.883,0.299,0.462,6.181,9.196,9.196,6.181,9.196,2.946,2.946,4.946,15.554,2.946,0.024,1.609,1.609,0,4.979,2.944,1.571,6.969,4.152,1,1.319,2.505,1.206,4.195,33.682,1.227,0.349,15.937,2.882,-0.923,-1.217,-0.923,1.165,0.111,9.352,4.45,3.089
5.47,132.263,136.597,0.233,5.39,15.259,12.558,14.114,3,3,3.546,16.734,7.823,2.507,11.536,2.568,2.568,14.931,9.844,0.873,0.0,-0.237,-0.237,0.813,1.031,3.84,7.781,-1.353,0.311,0.476,6.094,8.875,8.875,6.094,8.875,2.893,2.893,4.893,15.192,2.893,0.022,1.414,1.414,0,4.929,2.359,1.246,6.605,3.7,1,1.0,2.399,1.204,3.982,32.776,0.956,0.109,9.75,2.277,-1.414,-1.856,-1.414,1.02,0.067,9.021,4.009,2.953
6.3,99.365,103.699,0.264,6.094,15.36,12.683,14.208,2,2,3.844,16.817,7.622,2.537,11.644,2.891,2.891,16.958,10.006,0.728,11.0,1.118,1.118,1.313,0.886,4.091,8.571,-0.7,0.271,0.428,6.455,10.195,10.195,6.455,10.195,3.139,3.139,5.139,16.517,3.139,0.029,1.956,1.956,0,4.978,3.197,1.232,7.38,3.752,1,1.317,2.709,1.204,4.188,34.95,1.316,0.399,9.52,2.865,-1.0,-1.0,-1.0,1.18,0.094,9.779,4.002,3.18
5.38,99.365,103.699,0.155,5.475,15.287,12.578,14.134,2,2,3.558,16.761,7.694,2.492,11.548,2.596,2.596,13.397,9.856,0.906,0.0,-0.797,-0.797,1.063,0.955,4.088,7.793,-1.304,0.318,0.484,6.096,8.889,8.889,6.096,8.889,2.897,2.897,4.897,15.214,2.897,0.023,1.414,1.414,0,4.933,2.359,1.235,6.605,3.607,1,1.165,2.258,1.198,4.007,32.82,0.876,0.33,9.013,1.985,-1.414,-1.868,-1.414,1.231,0.071,9.035,3.879,2.878
5.67,99.365,103.699,0.233,5.39,15.259,12.558,14.114,2,2,3.533,16.734,7.724,2.474,11.536,2.568,2.568,13.397,9.844,0.873,0.0,-0.237,-0.237,0.813,0.944,3.94,7.781,-1.315,0.311,0.476,6.094,8.875,8.875,6.094,8.875,2.893,2.893,4.893,15.192,2.893,0.022,1.414,1.414,0,4.928,2.359,1.23,6.605,3.573,1,1.0,2.399,1.199,3.982,32.776,0.956,0.159,8.56,2.389,-1.414,-1.856,-1.414,0.999,0.071,9.021,3.858,2.953
6.16,99.365,103.699,0.373,6.093,15.593,12.871,14.386,2,2,3.842,17.044,7.535,2.744,11.767,2.883,2.883,16.224,10.139,0.857,0.0,0.856,0.856,1.438,0.763,4.082,8.76,-0.729,0.304,0.467,7.116,11.69,11.69,7.116,11.69,3.32,3.32,5.32,18.672,3.32,0.027,1.584,1.584,0,5.251,3.02,1.236,7.535,3.774,1,1.282,2.439,1.22,4.241,36.897,1.173,0.346,9.063,3.162,-1.0,-1.0,-1.0,0.793,0.065,9.998,4.006,3.0
5.64,102.49,37.905,0.259,5.917,15.291,12.6,14.085,0,0,3.615,16.719,0.0,2.542,11.502,2.659,2.659,18.642,9.91,0.62,11.0,2.656,2.656,2.563,0.889,3.96,8.938,-0.255,0.239,0.388,7.517,13.406,13.406,7.517,13.406,3.503,3.503,5.503,21.406,3.503,0.018,1.904,1.904,0,5.534,3.541,1.862,7.748,4.78,8,1.643,3.065,1.41,4.02,38.935,1.218,0.329,27.461,3.293,-0.281,-0.328,-0.281,1.006,0.167,10.239,5.058,3.569
6.76,102.49,101.973,0.264,5.917,15.427,12.752,14.289,0,0,3.667,16.888,0.0,2.651,11.741,2.678,2.678,16.888,10.073,0.636,22.0,2.649,2.649,2.5,0.709,4.024,8.999,-0.413,0.23,0.358,7.517,13.406,13.406,7.517,13.406,3.503,3.503,5.503,21.406,3.503,0.016,2.177,2.177,0,5.535,3.559,1.503,7.816,4.484,1,1.638,2.672,1.226,4.031,38.935,1.369,0.204,29.205,3.48,-0.413,-0.517,-0.413,1.028,0.085,10.291,4.725,3.243
5.68,186.295,66.334,0.451,6.159,15.968,13.254,14.74,0,0,3.962,17.401,0.0,2.963,12.126,2.96,2.96,28.611,10.542,0.578,50.29,4.851,4.851,3.25,0.945,4.4,9.229,0.199,0.213,0.337,7.517,13.406,13.406,7.517,13.406,3.503,3.503,5.503,21.406,3.503,0.016,2.325,2.325,0,5.535,4.744,1.531,8.04,4.84,1,2.107,2.856,1.209,4.337,38.939,2.231,0.592,29.737,3.645,0.213,0.254,0.213,0.83,0.107,10.491,5.099,3.405
6.69,102.49,123.191,0.339,6.168,15.868,13.155,14.702,0,0,3.887,17.337,0.0,2.874,12.116,2.895,2.895,20.795,10.432,0.459,11.0,4.359,4.359,2.875,0.909,4.073,9.152,0.542,0.172,0.275,7.517,13.406,13.406,7.517,13.406,3.503,3.503,5.503,21.406,3.503,0.015,2.299,2.299,0,5.535,4.39,1.868,7.976,4.757,1,2.024,3.002,1.198,4.266,38.939,1.591,0.378,26.452,3.517,0.607,0.717,0.607,0.715,0.086,10.443,4.997,3.56
6.921,153.398,103.699,0.613,6.188,15.913,13.172,14.661,2,2,3.926,17.358,8.148,2.886,12.024,2.931,2.931,32.176,10.447,0.489,160.801,5.121,5.121,2.313,1.021,5.072,8.809,0.914,0.187,0.302,6.503,10.183,10.183,6.503,10.183,3.085,3.085,5.085,17.077,3.085,0.018,2.333,2.333,2,5.113,4.645,1.827,7.647,5.095,5,2.154,3.263,1.413,4.238,35.103,2.28,0.936,39.387,3.899,1.0,1.066,1.0,1.125,0.154,10.036,5.352,3.798
7.637,150.947,103.699,0.613,6.188,16.705,13.779,15.331,2,2,3.926,18.221,16.74,2.886,12.518,2.931,2.931,22.987,10.882,0.489,160.801,5.121,5.121,2.313,1.035,5.09,8.809,0.914,0.187,0.302,6.503,10.183,10.183,6.503,10.183,3.085,3.085,5.085,17.077,3.085,0.018,2.333,2.333,2,5.113,4.645,1.831,7.647,4.918,4,2.154,3.263,1.364,4.239,35.103,2.28,0.875,31.125,3.889,1.0,1.324,1.0,1.151,0.164,10.036,5.14,3.798
6.921,152.172,103.699,0.613,6.188,16.016,13.26,14.755,2,2,3.926,17.466,8.059,2.886,12.108,2.931,2.931,28.655,10.522,0.489,160.801,5.121,5.121,2.313,1.024,5.066,8.809,0.914,0.187,0.302,6.503,10.183,10.183,6.503,10.183,3.085,3.085,5.085,17.077,3.085,0.018,2.333,2.333,2,5.113,4.645,1.825,7.647,5.019,5,2.154,3.263,1.369,4.239,35.103,2.28,0.911,35.808,3.895,1.0,1.106,1.0,1.125,0.159,10.036,5.261,3.798
6.27,102.49,37.905,0.259,5.917,15.291,12.6,14.085,0,0,3.644,16.719,0.0,2.621,11.501,2.659,2.659,16.888,9.91,0.661,0.0,2.621,2.621,2.563,0.897,3.902,8.938,-0.255,0.251,0.403,7.517,13.406,13.406,7.517,13.406,3.503,3.503,5.503,21.406,3.503,0.019,1.884,1.884,0,5.535,3.49,1.855,7.748,4.811,8,1.654,3.023,1.421,4.02,38.935,1.218,0.213,27.355,3.23,-0.281,-0.328,-0.281,0.917,0.153,10.236,5.106,3.479
6.61,120.5,75.81,0.295,5.917,15.604,12.932,14.44,0,0,3.705,17.047,0.0,2.639,11.883,2.742,2.742,27.634,10.26,0.56,36.145,4.417,4.417,3.063,0.909,4.542,9.088,-0.147,0.209,0.331,7.517,13.406,13.406,7.517,13.406,3.503,3.503,5.503,21.406,3.503,0.019,2.272,2.272,0,5.535,4.368,1.703,7.906,4.697,1,2.026,2.882,1.19,4.1,38.936,1.68,0.433,25.327,3.441,-0.151,-0.184,-0.151,0.789,0.093,10.368,4.94,3.469
4.74,108.16,37.905,0.137,6.031,15.755,13.017,14.479,0,0,3.758,17.176,0.0,2.701,11.825,2.788,2.788,18.204,10.28,1.084,50.747,0.636,0.636,2.688,0.835,3.908,9.006,-1.0,0.356,0.526,7.517,13.406,13.406,7.517,13.406,3.504,3.504,5.504,21.408,3.504,0.035,1.821,1.821,0,5.535,3.428,1.417,7.811,4.016,0,1.277,2.187,1.154,4.244,38.937,1.258,0.517,12.954,2.15,-1.0,-1.219,-1.0,0.396,0.059,10.275,4.25,2.789
5.4,102.49,37.905,0.122,5.916,15.289,12.597,14.081,0,0,3.633,16.716,0.0,2.61,11.494,2.649,2.649,16.888,9.908,1.12,0.0,0.574,0.574,2.563,0.812,3.898,8.936,-1.0,0.364,0.534,7.517,13.406,13.406,7.517,13.406,3.503,3.503,5.503,21.406,3.503,0.026,1.721,1.721,0,5.535,3.079,1.499,7.748,4.153,1,1.191,2.147,1.227,4.015,38.935,1.218,0.141,14.668,1.985,-1.0,-1.191,-1.0,0.731,0.053,10.216,4.437,2.745
6.09,102.49,75.81,0.37,5.917,15.563,12.89,14.405,0,0,3.672,17.009,0.0,2.627,11.85,2.701,2.701,24.433,10.213,0.502,11.0,3.111,3.111,2.563,0.878,4.427,9.056,0.199,0.192,0.311,7.517,13.406,13.406,7.517,13.406,3.503,3.503,5.503,21.406,3.503,0.015,2.249,2.249,0,5.535,3.624,1.878,7.879,4.803,5,2.008,3.185,1.351,4.06,38.935,1.6,0.392,28.311,3.451,0.213,0.254,0.213,0.765,0.129,10.346,5.047,3.65
4.076,117.376,124.915,0.467,6.139,17.003,14.016,15.573,2,2,3.911,18.534,7.94,2.901,12.687,2.915,2.915,18.491,11.056,0.494,170.309,5.091,5.091,2.597,1.031,4.997,8.872,0.797,0.189,0.305,6.786,11.135,11.135,6.786,11.135,3.198,3.198,5.198,18.028,3.198,0.017,2.299,2.299,2,5.248,4.645,1.71,7.684,4.738,2,2.147,3.222,1.224,4.265,36.21,1.907,0.87,23.813,3.69,0.815,1.158,0.815,0.973,0.145,10.099,4.92,3.716
6.0,102.49,85.286,0.264,5.917,15.427,12.752,14.289,0,0,3.621,16.888,0.0,2.528,11.741,2.678,2.678,18.53,10.073,0.636,0.0,2.649,2.649,2.5,0.842,4.024,8.999,-0.381,0.23,0.358,7.517,13.406,13.406,7.517,13.406,3.503,3.503,5.503,21.406,3.503,0.016,2.177,2.177,0,5.541,3.559,1.5,7.816,4.409,1,1.585,2.672,1.187,4.031,38.935,1.369,0.136,25.536,3.248,-0.413,-0.517,-0.413,0.98,0.085,10.291,4.638,3.243
6.55,102.49,85.286,0.264,5.917,15.427,12.752,14.289,0,0,3.646,16.888,0.0,2.6,11.741,2.678,2.678,18.53,10.073,0.636,0.0,2.649,2.649,2.5,0.765,4.024,8.999,-0.381,0.23,0.358,7.517,13.406,13.406,7.517,13.406,3.503,3.503,5.503,21.406,3.503,0.016,2.177,2.177,0,5.535,3.559,1.504,7.816,4.483,1,1.617,2.672,1.207,4.031,38.935,1.369,0.195,23.341,3.256,-0.413,-0.517,-0.413,0.948,0.085,10.291,4.728,3.243
5.69,102.49,37.905,0.259,5.917,15.291,12.6,14.084,0,0,3.615,16.719,0.0,2.542,11.5,2.659,2.659,18.642,9.91,0.761,11.0,2.297,2.297,2.563,0.867,4.153,8.938,-0.582,0.279,0.437,7.517,13.406,13.406,7.517,13.406,3.503,3.503,5.503,21.406,3.503,0.02,1.829,1.829,0,5.534,3.435,1.761,7.748,4.545,5,1.594,2.848,1.347,4.02,38.935,1.218,0.322,22.223,3.118,-0.638,-0.692,-0.638,1.096,0.137,10.231,4.806,3.288
5.67,102.49,37.905,0.259,5.917,15.291,12.6,14.085,0,0,3.644,16.719,0.0,2.621,11.503,2.659,2.659,16.888,9.91,0.552,0.0,2.806,2.806,2.563,0.911,3.693,8.938,0.113,0.219,0.361,7.517,13.406,13.406,7.517,13.406,3.503,3.503,5.503,21.406,3.503,0.017,1.931,1.931,0,5.535,3.577,1.889,7.748,4.996,11,1.741,3.217,1.441,4.02,38.935,1.218,0.236,32.287,3.38,0.113,0.117,0.113,0.923,0.176,10.244,5.298,3.73
5.59,151.792,112.909,0.358,7.111,17.129,14.137,15.677,1,0,4.228,18.655,0.0,3.0,12.762,3.313,3.313,25.874,11.171,0.548,44.313,4.671,4.671,3.063,0.774,4.452,9.425,-0.255,0.206,0.328,7.517,13.406,13.406,7.517,13.406,3.503,3.503,5.503,21.406,3.503,0.018,2.303,2.303,0,5.535,4.579,1.521,8.222,4.622,1,2.027,2.914,1.211,4.621,39.051,1.68,0.373,24.668,3.518,-0.28,-0.328,-0.28,0.713,0.094,10.692,4.863,3.449
6.51,99.365,141.604,0.382,6.075,15.738,13.011,14.571,2,2,3.772,17.215,8.004,2.669,11.97,2.827,2.827,23.311,10.269,0.562,22.0,3.132,3.132,1.188,1.015,4.454,8.26,-0.041,0.208,0.329,6.194,9.273,9.273,6.194,9.273,2.954,2.954,4.954,15.647,2.954,0.016,2.0,2.0,0,4.985,3.636,1.768,7.111,4.667,3,1.55,2.955,1.21,4.2,33.788,1.298,0.326,24.26,3.543,-0.044,-0.052,-0.044,0.917,0.14,9.535,4.902,3.465
6.88,99.365,84.747,0.326,6.088,15.956,13.159,14.673,2,2,3.809,17.417,7.9,2.72,11.973,2.856,2.856,21.921,10.355,0.879,33.0,0.887,0.887,1.813,1.278,3.9,8.356,-0.637,0.308,0.47,6.525,10.267,10.267,6.525,10.267,3.072,3.072,5.072,17.188,3.072,0.025,1.999,1.999,0,5.093,3.009,1.574,7.209,4.519,1,1.32,2.475,1.208,4.228,35.034,1.538,0.601,23.618,3.155,-0.694,-0.878,-0.694,1.206,0.125,9.591,4.826,3.08
