pXC50,SpMin4_Bh.v.,SpMin4_Bh.e.,SpMin4_Bh.p.,SpMin4_Bh.i.,NdssC,ON0V,PHI,SpMax5_Bh.m.,SpMin4_Bh.m.,H.,ATS8e,ATS8p,ATS8v,CIC0,GATS2v,ISIZ,nAT,S1K,S2K,SAtot,Se,Si,SpMin6_Bh.m.,TIC1,TIC2,TIC3,S3K,P_VSA_MR_5,Mv,C.026,SpMax1_Bh.p.,SdsCH,ATS1e,ATS1i,ATS7p,ATS7v,ATSC8p,ATSC8v,BIC0,GATS2p,nBT,nH,P_VSA_i_3,Sp,SpMax6_Bh.i.,SpMaxA_EA.bo.,SpMaxA_EA.ed.,SpMin5_Bh.v.,Sv,TIC4,TIC5,VvdwMG,VvdwZAZ,Vx,X1Kup,X1MulPer,X1Per,SpMax1_Bh.v.,ATS8i,SpMax1_Bh.m.,SpMin1_Bh.i.,AAC,AECC
6.469,1.734,1.549,1.73,1.51,1,8.933,5.829,3.449,1.733,44.9,4.279,3.494,3.441,3.91,0.894,275.121,49,19.399,8.113,484.819,49.418,55.278,1.513,178.338,218.856,238.366,4.315,45.825,0.636,2,4.077,1.16,3.986,4.096,3.715,3.545,6.481,7.24,0.287,0.884,51,22,316.651,32.887,3.241,0.164,0.469,1.522,31.158,238.366,238.366,197.722,346.14,474.203,8.614,8.272,6.864,3.994,4.463,4.742,1.981,1.705,12.111
6.658,1.736,1.55,1.731,1.511,1,8.933,5.829,3.453,1.733,44.9,4.417,3.507,3.428,3.91,0.91,275.121,49,19.399,8.113,484.819,49.418,55.278,1.513,174.196,214.714,238.366,4.491,39.534,0.636,2,4.077,1.16,3.986,4.096,3.76,3.586,6.691,8.425,0.287,0.909,51,22,316.651,32.887,3.24,0.164,0.469,1.537,31.158,238.366,238.366,197.722,346.14,474.203,8.619,8.279,6.865,3.993,4.664,4.742,1.981,1.705,12.148
6.602,1.734,1.549,1.73,1.51,1,8.612,6.393,3.455,1.733,38.8,4.301,3.485,3.484,3.652,0.904,275.121,49,22.134,8.666,493.321,50.956,56.297,1.226,187.637,218.856,238.366,4.966,44.759,0.659,2,4.077,1.093,4.014,4.112,3.705,3.604,6.622,6.546,0.331,0.876,51,19,281.338,32.699,3.347,0.149,0.425,1.521,32.308,238.366,238.366,201.317,364.35,482.973,8.855,8.635,7.071,3.994,4.474,4.742,1.981,1.963,12.5
6.244,1.735,1.55,1.732,1.512,1,8.612,6.393,3.465,1.733,38.8,4.547,3.543,3.577,3.652,0.904,275.121,49,22.134,8.666,493.321,50.956,56.297,1.228,187.637,218.856,238.366,5.147,44.759,0.659,2,4.077,1.107,4.014,4.112,3.73,3.65,7.512,6.544,0.331,0.876,51,19,281.338,32.699,3.295,0.149,0.425,1.529,32.308,238.366,238.366,201.317,364.35,482.973,8.849,8.626,7.064,3.994,4.741,4.742,1.981,1.963,13.7
6.432,1.734,1.549,1.729,1.51,1,8.15,5.645,3.447,1.733,44.7,4.277,3.445,3.388,3.882,0.958,261.066,47,18.491,7.937,464.062,47.316,52.78,1.224,153.517,185.781,214.311,4.285,27.952,0.641,3,4.078,1.164,3.943,4.048,3.662,3.504,6.08,6.974,0.284,0.935,49,21,304.88,31.881,3.206,0.17,0.486,1.521,30.137,221.066,221.066,190.928,335.14,457.625,8.354,8.067,6.674,3.995,4.473,4.742,1.982,1.672,12.0
5.854,1.734,1.549,1.73,1.51,1,8.745,6.442,3.455,1.733,40.0,4.343,3.529,3.518,3.743,0.923,282.193,50,22.198,8.706,498.64,51.738,57.214,1.226,179.384,212.683,240.683,4.993,35.712,0.656,3,4.079,1.098,4.025,4.123,3.738,3.628,7.05,6.9,0.319,0.892,52,20,293.109,33.455,3.362,0.149,0.425,1.521,32.814,245.438,245.438,204.115,370.65,489.801,9.011,8.776,7.193,3.997,4.513,4.742,1.982,1.901,12.5
5.921,1.764,1.57,1.754,1.54,1,9.65,7.346,3.468,1.753,48.2,4.667,3.833,3.701,4.214,1.005,325.212,56,21.411,9.949,542.292,55.967,63.026,1.513,186.75,240.708,276.457,5.845,38.251,0.62,2,4.077,1.171,4.098,4.213,3.935,3.776,9.305,12.102,0.262,0.966,58,27,375.507,37.165,3.413,0.153,0.439,1.699,34.717,279.212,279.212,219.705,387.04,527.841,9.797,9.47,7.847,3.993,4.893,4.742,1.98,1.593,14.31
6.009,1.802,1.603,1.778,1.566,1,10.15,7.945,3.47,1.823,49.2,4.705,3.863,3.739,4.312,1.026,347.076,59,22.388,10.647,568.369,58.851,66.441,1.513,195.917,256.572,296.321,6.347,40.786,0.614,2,4.077,1.172,4.145,4.262,3.976,3.801,9.352,12.382,0.255,0.987,61,29,399.049,38.926,3.456,0.149,0.425,1.729,36.244,299.076,299.076,229.297,404.34,551.246,10.297,9.961,8.263,3.993,4.941,4.742,1.98,1.57,15.067
5.796,1.741,1.554,1.737,1.518,2,9.933,6.628,3.454,1.729,47.1,4.56,3.502,3.388,3.905,0.848,289.294,51,21.353,8.381,525.072,51.956,58.112,1.417,185.542,222.009,232.009,5.763,66.599,0.61,1,4.054,1.094,4.02,4.129,3.804,3.631,6.771,9.719,0.299,0.877,52,24,376.338,32.557,3.206,0.17,0.486,1.534,31.115,232.009,232.009,199.778,357.66,479.219,8.357,7.928,6.624,3.963,4.856,4.742,1.945,1.768,12.185
5.886,1.743,1.556,1.742,1.523,2,9.1,7.214,3.462,1.729,42.3,4.543,3.732,3.647,3.926,0.929,296.423,52,21.969,9.851,530.213,53.073,58.697,1.472,193.498,236.016,259.668,5.674,44.716,0.646,1,4.055,1.094,4.057,4.154,3.807,3.726,8.075,9.978,0.295,0.888,54,22,352.796,34.796,3.317,0.149,0.425,1.563,33.588,262.423,262.423,212.38,378.38,509.967,9.2,8.92,7.374,3.964,4.741,4.742,1.945,1.774,14.3
5.824,1.582,1.38,1.583,1.373,2,7.85,5.114,3.45,1.513,44.4,4.112,3.3,3.283,3.699,0.992,247.133,45,17.899,7.143,443.523,45.862,51.072,1.505,167.518,203.133,213.133,4.197,45.193,0.63,1,4.055,1.106,3.917,4.023,3.496,3.374,5.043,5.563,0.31,0.967,47,20,318.254,29.58,3.206,0.176,0.504,1.429,28.346,213.133,213.133,178.796,319.21,428.023,8.082,7.839,6.423,3.966,4.259,4.742,1.945,1.793,11.4
5.658,1.743,1.557,1.74,1.524,2,10.767,5.577,3.461,1.729,48.4,4.851,3.941,3.791,4.31,0.999,369.16,62,21.912,8.144,571.372,62.28,70.148,1.562,215.344,273.121,295.121,4.002,55.331,0.613,1,4.064,1.122,4.229,4.343,4.115,3.936,11.582,14.748,0.265,0.972,66,30,435.965,40.387,3.335,0.132,0.397,1.574,37.98,295.121,295.121,231.156,415.59,555.781,11.462,11.122,9.081,4.01,5.106,4.742,2.035,1.644,13.25
5.481,1.741,1.554,1.736,1.518,2,9.8,6.575,3.445,1.714,46.0,4.512,3.466,3.364,3.825,0.818,282.193,50,21.289,8.339,519.752,51.174,57.195,1.417,180.341,210.909,218.909,5.73,77.546,0.612,1,4.035,1.054,4.008,4.119,3.749,3.594,6.323,9.117,0.309,0.845,51,23,364.567,31.801,3.206,0.17,0.486,1.51,30.609,218.909,218.909,196.98,351.36,472.392,8.201,7.786,6.504,3.939,4.799,4.741,1.915,1.819,12.185
4.097,1.743,1.556,1.742,1.523,2,8.967,7.161,3.453,1.714,41.2,4.495,3.703,3.628,3.846,0.904,289.294,51,21.906,9.807,524.894,52.291,57.78,1.472,195.245,230.929,246.539,5.644,55.663,0.649,1,4.036,1.054,4.046,4.144,3.751,3.693,7.621,9.24,0.304,0.856,53,21,341.025,34.04,3.314,0.149,0.425,1.546,33.083,249.294,249.294,209.582,372.08,503.14,9.044,8.779,7.255,3.941,4.677,4.741,1.916,1.826,14.3
5.602,1.743,1.557,1.74,1.524,2,10.633,5.536,3.452,1.714,47.5,4.815,3.917,3.775,4.239,0.985,361.775,61,21.85,8.108,566.053,61.498,69.232,1.562,209.859,261.736,281.736,3.981,66.278,0.614,1,4.049,1.082,4.22,4.335,4.074,3.908,11.124,14.133,0.273,0.954,65,29,424.194,39.631,3.331,0.132,0.397,1.561,37.475,281.736,281.736,228.358,409.29,548.953,11.305,10.98,8.962,4.006,5.062,4.741,2.035,1.691,13.25
4.585,1.985,1.857,1.976,1.824,1,12.8,9.75,3.797,1.971,41.1,5.133,4.419,4.345,4.53,0.983,451.857,73,29.867,14.037,725.558,73.6,81.73,1.653,259.637,330.248,400.248,8.239,77.673,0.664,0,4.032,2.683,4.391,4.494,4.387,4.341,14.237,17.749,0.252,1.007,77,30,397.012,50.637,3.71,0.098,0.265,1.863,48.496,419.857,423.857,301.802,523.29,728.156,13.476,13.07,10.866,3.967,5.338,4.732,1.936,1.659,17.605
7.292,1.74,1.553,1.738,1.518,2,10.126,6.862,3.472,1.73,46.2,4.62,3.534,3.431,3.874,0.851,296.423,52,22.342,8.6,533.225,53.251,59.369,1.417,189.916,226.384,239.139,5.775,57.552,0.615,3,4.075,1.021,4.04,4.144,3.853,3.697,7.247,10.085,0.308,0.894,53,24,376.338,33.25,3.206,0.165,0.478,1.549,32.003,239.139,239.139,203.775,370.03,488.97,8.594,8.17,6.806,3.994,4.918,4.744,1.976,1.826,12.143
7.18,1.739,1.553,1.735,1.518,2,10.126,7.151,3.501,1.728,46.2,4.615,3.581,3.453,3.874,0.811,296.423,52,22.689,8.825,551.793,53.062,58.973,1.417,189.916,226.384,239.139,5.948,57.552,0.624,3,4.084,1.1,4.037,4.138,3.919,3.73,7.931,10.699,0.308,0.815,53,24,415.487,34.171,3.206,0.165,0.478,1.549,32.448,239.139,239.139,210.909,379.17,506.379,8.649,8.17,6.806,3.999,4.908,4.749,1.98,1.826,12.143
4.097,1.855,1.66,1.861,1.613,7,17.067,14.934,3.631,1.865,48.9,5.871,4.891,4.796,4.938,1.135,616.131,94,38.551,18.595,942.734,94.894,107.341,1.785,322.842,461.099,523.602,11.356,45.093,0.598,0,3.883,0.692,4.605,4.741,4.861,4.797,24.014,36.998,0.239,1.243,96,46,658.63,58.694,3.68,0.07,0.218,1.83,56.184,541.867,555.867,352.337,649.33,851.462,16.139,15.757,13.06,3.881,6.115,3.923,1.896,1.616,15.688
6.367,1.741,1.554,1.738,1.518,2,10.067,6.681,3.461,1.733,48.1,4.605,3.538,3.412,3.991,0.871,296.423,52,21.417,8.423,530.391,52.738,59.029,1.417,182.53,219.139,231.139,5.795,57.552,0.608,2,4.076,1.134,4.031,4.139,3.857,3.667,7.223,10.312,0.288,0.892,53,25,388.109,33.313,3.206,0.17,0.486,1.55,31.62,231.139,231.139,202.576,363.96,486.047,8.514,8.069,6.745,3.99,4.909,4.742,1.979,1.71,12.185
5.959,1.539,1.324,1.501,1.337,1,6.283,4.678,2.866,1.513,45.9,3.825,2.812,2.73,3.435,0.972,192.75,37,14.881,6.287,369.955,37.549,41.95,1.181,129.098,148.75,160.75,3.537,45.963,0.624,2,4.074,1.158,3.708,3.818,3.186,3.013,3.204,4.462,0.323,0.933,38,17,246.024,24.358,3.036,0.227,0.648,1.429,23.083,160.75,160.75,149.55,262.52,356.661,6.299,6.069,5.026,3.988,4.077,4.742,1.979,1.774,9.15
6.377,1.743,1.556,1.743,1.523,2,9.233,7.267,3.469,1.733,43.4,4.59,3.76,3.665,4.012,0.947,303.58,53,22.033,9.895,535.533,53.854,59.614,1.472,186.812,230.296,258.825,5.704,35.669,0.643,2,4.076,1.134,4.068,4.164,3.86,3.759,8.535,10.701,0.284,0.904,55,23,364.567,35.551,3.319,0.149,0.425,1.575,34.093,261.58,261.58,215.178,384.68,516.794,9.357,9.062,7.495,3.991,4.801,4.742,1.979,1.716,14.3
6.387,1.754,1.542,1.777,1.498,2,9.117,7.267,3.47,1.733,43.4,4.665,3.81,3.696,4.012,1.022,303.58,53,22.033,9.895,536.971,53.854,59.614,1.455,195.502,248.296,272.825,6.166,48.878,0.643,2,4.068,1.128,4.068,4.165,3.893,3.798,9.561,12.258,0.284,1.014,55,23,352.796,35.551,3.353,0.147,0.391,1.723,34.093,275.58,275.58,215.178,384.68,516.794,9.365,9.064,7.519,3.984,4.892,4.736,1.969,1.716,14.367
6.143,1.809,1.606,1.799,1.558,2,9.117,7.267,3.469,1.735,43.4,4.561,3.748,3.664,4.012,1.01,303.58,53,22.033,9.895,536.971,53.854,59.614,1.473,195.502,248.296,272.825,5.928,48.878,0.643,2,4.082,1.132,4.068,4.165,3.822,3.723,8.261,10.287,0.284,0.973,55,23,352.796,35.551,3.378,0.149,0.426,1.691,34.093,275.58,275.58,215.178,384.68,516.794,9.366,9.073,7.521,3.998,4.769,4.743,1.97,1.716,14.3
6.301,1.754,1.542,1.777,1.498,2,9.117,7.267,3.47,1.733,43.4,4.665,3.81,3.696,4.012,1.022,303.58,53,22.033,9.895,536.971,53.854,59.614,1.455,195.502,248.296,272.825,6.166,48.878,0.643,2,4.068,1.128,4.068,4.165,3.893,3.798,9.561,12.258,0.284,1.014,55,23,352.796,35.551,3.353,0.147,0.391,1.723,34.093,275.58,275.58,215.178,384.68,516.794,9.365,9.064,7.519,3.984,4.892,4.736,1.969,1.716,14.367
6.018,1.809,1.606,1.799,1.558,2,9.117,7.267,3.469,1.735,43.4,4.561,3.748,3.664,4.012,1.01,303.58,53,22.033,9.895,536.971,53.854,59.614,1.473,195.502,248.296,272.825,5.928,48.878,0.643,2,4.082,1.132,4.068,4.165,3.822,3.723,8.261,10.287,0.284,0.973,55,23,352.796,35.551,3.378,0.149,0.426,1.691,34.093,275.58,275.58,215.178,384.68,516.794,9.366,9.073,7.521,3.998,4.769,4.743,1.97,1.716,14.3
6.222,1.805,1.631,1.772,1.589,2,9.9,6.654,3.473,1.768,43.9,4.817,3.931,3.828,4.149,0.958,332.475,57,22.529,9.451,559.075,57.738,64.029,1.522,203.906,255.191,283.72,5.065,35.669,0.642,2,4.091,1.147,4.148,4.245,4.002,3.886,10.235,13.744,0.274,0.911,60,25,388.109,38.313,3.385,0.136,0.39,1.742,36.62,286.475,286.475,226.969,406.92,545.565,10.323,9.999,8.249,4.013,5.048,4.744,1.97,1.684,14.969
6.071,1.762,1.554,1.764,1.513,2,10.233,8.601,3.472,1.734,45.5,4.647,3.827,3.719,4.085,0.865,317.975,55,23.615,10.927,571.656,55.738,62.029,1.463,195.406,249.181,279.71,6.973,31.457,0.629,2,4.07,1.125,4.083,4.186,3.896,3.803,9.032,11.571,0.28,0.824,56,25,388.109,36.313,3.312,0.153,0.433,1.677,34.62,282.465,282.465,222.571,397.04,534.834,9.11,8.7,7.309,3.984,4.856,4.74,1.974,1.696,14.4
5.678,1.739,1.547,1.734,1.501,2,10.233,5.587,3.468,1.765,47.2,4.708,3.604,3.463,4.022,0.888,303.58,53,20.841,7.506,528.715,53.738,60.029,1.417,193.687,242.296,252.296,4.426,55.875,0.615,2,4.094,1.141,4.066,4.17,3.965,3.772,8.277,11.938,0.285,0.917,55,25,388.109,34.313,3.194,0.159,0.465,1.707,32.62,252.296,252.296,204.775,368.9,491.412,9.034,8.586,7.134,4.016,5.027,4.746,1.973,1.706,12.143
6.357,1.763,1.57,1.764,1.549,2,10.117,8.453,3.473,1.734,45.8,4.717,3.867,3.755,4.217,1.037,347.076,59,23.989,11.276,588.696,59.622,66.444,1.513,214.666,274.282,300.321,6.919,53.519,0.63,2,4.081,1.145,4.162,4.266,3.94,3.816,9.623,12.781,0.27,0.994,61,27,399.88,39.074,3.444,0.14,0.4,1.677,37.147,303.076,303.076,234.363,419.28,563.605,10.337,10.02,8.316,3.997,4.949,4.742,1.985,1.666,15.875
6.284,1.783,1.582,1.779,1.568,2,10.117,8.453,3.473,1.734,45.8,4.812,3.995,3.863,4.217,1.047,347.076,59,23.989,11.276,588.696,59.622,66.444,1.513,214.666,274.282,300.321,7.186,53.519,0.63,2,4.065,1.139,4.162,4.266,4.02,3.911,11.101,14.682,0.27,1.03,61,27,399.88,39.074,3.42,0.138,0.365,1.669,37.147,303.076,303.076,234.363,419.28,563.605,10.336,10.013,8.313,3.98,5.034,4.735,1.971,1.666,15.969
6.509,1.752,1.563,1.75,1.539,2,9.617,7.853,3.471,1.733,44.6,4.697,3.816,3.731,4.117,1.031,325.212,56,23.01,10.579,563.048,56.738,63.029,1.495,205.609,259.928,280.457,6.407,51.413,0.636,2,4.079,1.139,4.116,4.217,3.909,3.783,8.761,11.684,0.277,0.995,58,25,376.338,37.313,3.391,0.144,0.412,1.62,35.62,283.212,283.212,224.77,401.98,540.199,9.866,9.566,7.928,3.995,4.917,4.742,1.983,1.69,15.065
6.319,1.763,1.57,1.76,1.551,2,9.617,7.853,3.471,1.734,44.6,4.789,3.884,3.769,4.117,1.042,325.212,56,23.01,10.579,563.048,56.738,63.029,1.485,205.609,259.928,280.457,6.659,51.413,0.636,2,4.068,1.135,4.116,4.217,3.974,3.853,10.07,13.602,0.277,1.034,58,25,376.338,37.313,3.377,0.142,0.379,1.626,35.62,283.212,283.212,224.77,401.98,540.199,9.865,9.557,7.927,3.984,5.02,4.736,1.974,1.69,15.129
6.174,1.863,1.635,1.859,1.576,2,9.733,7.853,3.471,1.81,44.6,4.755,3.915,3.801,4.117,0.973,325.212,56,23.01,10.579,561.61,56.738,63.029,1.467,198.643,253.928,290.457,6.169,38.203,0.636,2,4.076,1.137,4.116,4.216,3.994,3.883,10.231,13.321,0.277,0.929,58,25,388.109,37.313,3.399,0.144,0.412,1.722,35.62,293.212,293.212,224.77,401.98,540.199,9.857,9.552,7.91,3.991,4.984,4.742,1.975,1.69,14.226
5.444,1.749,1.554,1.754,1.527,2,9.617,7.853,3.445,1.737,44.6,4.608,3.753,3.683,4.117,1.031,325.212,56,23.01,10.579,563.048,56.738,63.029,1.487,205.609,259.928,280.457,6.407,51.413,0.636,2,4.079,1.205,4.116,4.217,3.881,3.76,7.968,10.479,0.277,0.995,58,25,376.338,37.313,3.388,0.144,0.412,1.622,35.62,283.212,283.212,224.77,401.98,540.199,9.866,9.566,7.928,3.995,4.818,4.742,1.983,1.69,15.065
5.194,1.763,1.563,1.766,1.544,2,11.033,8.672,3.447,1.737,46.8,4.721,3.894,3.804,4.311,0.981,369.16,62,24.97,11.461,615.201,62.505,69.86,1.556,226.352,294.896,320.405,6.669,51.461,0.624,2,4.084,1.208,4.206,4.313,4.003,3.878,9.768,12.442,0.264,0.963,64,29,423.422,40.835,3.471,0.136,0.389,1.714,38.674,320.405,320.405,243.955,436.58,587.01,10.739,10.375,8.607,4.004,4.938,4.742,1.991,1.643,16.455
4.456,1.89,1.685,1.885,1.622,3,12.433,10.459,3.519,1.892,50.0,5.242,4.303,4.186,4.632,1.08,429.05,70,26.589,13.768,675.866,69.745,79.348,1.669,239.769,325.566,370.295,8.611,71.394,0.602,0,3.873,1.238,4.306,4.444,4.339,4.206,14.157,21.214,0.235,1.126,72,35,463.881,44.813,3.535,0.1,0.263,1.785,42.153,384.295,384.295,264.27,471.75,636.578,12.017,11.737,9.755,3.87,5.511,3.909,1.89,1.497,13.229
4.678,1.887,1.7,1.878,1.642,3,11.95,11.005,3.525,1.905,50.0,5.136,4.249,4.154,4.67,1.137,429.05,70,26.653,14.451,680.158,69.752,78.976,1.655,234.167,310.837,354.03,8.971,62.728,0.605,0,3.914,1.232,4.304,4.431,4.236,4.14,13.378,18.802,0.23,1.146,72,35,474.881,45.017,3.525,0.096,0.263,1.785,42.352,373.05,379.05,264.27,475.84,636.578,12.135,11.908,9.898,3.908,5.365,3.914,1.931,1.459,13.286
4.174,1.878,1.682,1.872,1.62,3,11.876,11.431,3.535,1.88,47.8,5.119,4.235,4.154,4.505,1.048,421.488,69,27.879,14.76,691.626,69.294,78.003,1.65,242.109,316.62,363.879,9.04,61.87,0.618,2,3.88,1.221,4.302,4.427,4.221,4.134,12.949,17.832,0.253,1.029,71,33,490.487,45.12,3.524,0.101,0.262,1.781,42.674,381.488,381.488,269.805,484.75,650.083,11.993,11.748,9.727,3.878,5.341,4.025,1.88,1.603,13.361
4.097,1.826,1.606,1.841,1.559,4,12.083,12.474,3.386,1.787,50.8,5.001,4.062,4.006,4.473,1.094,391.454,65,27.501,14.514,671.801,65.523,73.979,1.594,228.717,311.541,333.415,13.495,96.915,0.589,0,3.85,1.178,4.221,4.348,4.011,3.966,10.305,14.892,0.25,1.182,65,33,475.713,40.165,3.5,0.108,0.317,1.705,38.255,336.17,336.17,244.942,447.82,589.419,10.3,9.95,8.386,3.843,5.196,3.85,1.876,1.549,12.5
6.155,1.717,1.502,1.702,1.477,0,8.767,6.623,3.321,1.638,46.9,4.467,3.616,3.429,3.86,0.995,275.121,49,19.273,8.934,481.639,49.269,55.487,1.449,179.008,222.366,244.366,5.037,51.813,0.626,1,4.073,0.0,3.987,4.103,3.695,3.499,8.026,10.368,0.296,0.969,51,23,291.506,33.086,3.257,0.169,0.457,1.566,30.652,252.366,256.366,198.321,326.64,475.664,8.734,8.35,6.987,3.989,4.727,4.736,1.983,1.755,13.0
6.377,1.73,1.503,1.731,1.487,1,9.5,8.397,3.485,1.664,41.8,4.757,3.812,3.669,3.861,1.006,317.975,55,24.359,11.031,566.997,56.571,62.697,1.403,222.407,263.975,285.975,6.379,77.99,0.642,2,4.072,0.0,4.126,4.235,3.955,3.812,9.295,12.024,0.314,1.005,57,23,355.627,36.699,3.491,0.14,0.381,1.657,35.312,293.975,297.975,227.636,387.03,547.193,9.846,9.529,7.908,3.996,5.004,4.738,1.984,1.92,13.344
