pXC50,CATS2D_01_DD,nRNHO,CATS2D_05_NL,CATS2D_06_NL,nRCOOH,CATS2D_04_NL,CATS2D_02_AN,CATS2D_01_AN,CATS2D_01_DN,CATS2D_02_NL,P_VSA_LogP_3,O.057,O.056,CATS2D_04_DA,CATS2D_04_AN,CATS2D_07_NL,CATS2D_08_DA,SpMAD_AEA.dm.,MATS5s,CATS2D_08_DL,CATS2D_07_DA,Eig02_AEA.dm.,MATS2s,CATS2D_03_DA,P_VSA_LogP_4,CATS2D_07_DL,CATS2D_07_AA,MATS7s,CATS2D_06_DA,Eig03_AEA.ed.,SpMAD_AEA.bo.,SsOH,Eig02_AEA.bo.,Eig02_EA.ed.,SM11_AEA.dm.,SpMax8_Bh.m.,CATS2D_09_DA,MATS7v,CATS2D_06_DL,N.,GATS2e,Eig02_EA.bo.,SM12_AEA.ri.,GATS2s,Eig03_AEA.dm.,SaaN,SsSH,Eig02_AEA.ed.,Eig02_EA.dm.,SaaS,Eig02_EA.ri.,Eig02_AEA.ri.,Eig03_EA.ed.,SM12_AEA.dm.,MATS7e,CATS2D_09_AN,CATS2D_08_AN,Eig09_AEA.ed.,Hy,Eta_F_A,ATS7s
5.222,0,0,3,4,0,2,0,1,1,2,84.513,0,1,0,3,0,4,1.608,0.232,3,0,3.865,0.093,5,139.662,4,0,-0.183,4,6.627,1.528,10.992,4.212,10.546,10.546,3.084,0,-0.02,4,6.2,0.58,3.434,3.434,0.521,3.632,0.0,0.0,6.637,1.983,0.0,2.977,4.056,10.519,10.519,-0.22,0,0,4.241,0.899,0.994,6.753
4.602,0,0,3,4,0,2,0,1,1,2,127.196,0,2,2,3,0,6,1.582,0.212,7,1,3.895,0.07,6,169.511,6,0,-0.151,7,6.638,1.501,21.363,4.266,10.854,10.854,3.27,4,-0.022,9,5.7,0.602,3.435,3.435,0.557,3.748,0.0,0.0,6.728,1.997,0.0,3.032,4.109,10.559,10.559,-0.192,0,0,4.727,2.156,1.069,7.148
4.824,0,0,0,0,0,0,0,0,0,0,107.499,0,0,1,0,0,5,1.613,0.269,4,1,3.81,0.205,3,148.157,4,2,-0.149,2,6.017,1.519,0.0,4.187,9.083,9.083,3.257,1,0.015,5,10.9,0.466,3.838,3.838,0.496,3.771,7.373,4.015,6.186,1.984,1.02,2.825,3.868,8.435,8.435,-0.17,0,0,4.17,1.69,1.251,6.43
8.097,1,1,0,0,0,0,0,0,0,0,86.518,0,1,1,0,0,3,1.724,0.132,3,1,4.986,0.077,2,74.163,3,5,0.016,2,8.551,1.65,8.636,5.153,18.261,18.261,3.087,2,-0.089,2,5.3,0.771,4.242,4.242,0.832,4.684,0.0,0.0,9.042,3.02,0.0,3.466,4.925,16.002,16.002,0.029,0,0,5.627,0.469,1.732,7.819
8.0,1,1,0,0,0,0,0,0,0,0,86.518,0,1,1,0,0,3,1.701,0.031,3,1,4.727,0.162,2,74.163,3,5,-0.181,2,7.249,1.607,8.594,4.81,15.235,15.235,2.852,2,-0.135,2,6.7,0.646,4.094,4.094,0.706,3.959,0.0,0.0,8.344,3.02,0.0,3.186,4.511,11.185,11.185,-0.2,0,0,4.268,0.522,1.474,7.111
7.678,1,1,0,0,0,0,0,0,0,0,105.471,0,1,1,0,0,3,1.697,-0.216,8,1,3.938,0.21,2,74.163,9,5,0.103,2,6.366,1.506,9.016,4.387,9.925,9.925,2.987,2,-0.07,4,5.8,0.493,4.094,4.094,0.48,3.806,0.0,0.0,6.505,2.105,0.0,2.905,3.954,9.399,9.399,0.063,0,0,3.744,0.33,1.196,6.699
7.481,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,3,1.675,-0.152,5,1,3.937,0.181,2,74.163,7,5,0.113,2,6.202,1.5,8.9,4.383,9.795,9.795,2.852,2,-0.039,4,7.0,0.55,4.092,4.092,0.525,3.806,0.0,0.0,6.421,2.105,0.0,2.878,3.931,8.684,8.684,0.066,0,0,3.466,0.414,1.155,6.541
5.222,0,0,3,4,1,1,1,1,1,1,75.81,1,0,0,0,1,2,1.605,-0.18,1,1,3.807,0.276,1,68.738,4,3,-0.052,0,5.928,1.499,9.326,4.258,9.144,9.144,2.77,1,-0.087,3,7.3,0.454,3.952,3.952,0.361,3.776,0.0,0.0,6.259,2.612,0.0,2.739,3.818,8.214,8.214,0.018,2,1,3.466,-0.18,1.129,6.105
7.229,1,1,0,0,0,0,0,0,0,0,133.899,0,1,1,0,0,3,1.668,-0.135,6,1,3.937,0.177,2,74.163,7,5,0.117,2,6.201,1.493,8.87,4.383,9.794,9.794,2.687,2,-0.099,4,7.0,0.536,4.092,4.092,0.525,3.806,0.0,0.0,6.421,2.105,0.0,2.878,3.93,8.677,8.677,0.074,0,0,3.466,0.403,1.218,6.538
7.066,1,1,0,0,0,0,0,0,0,0,86.518,0,1,1,0,0,3,1.722,-0.065,3,1,3.925,0.219,2,74.163,3,5,0.1,2,5.929,1.49,8.599,4.378,9.733,9.733,2.404,2,-0.169,2,8.3,0.559,4.09,4.09,0.502,3.806,0.0,0.0,6.401,2.105,0.0,2.865,3.915,7.984,7.984,0.013,0,0,2.831,0.565,1.077,6.31
5.301,0,0,1,4,1,1,1,1,1,1,104.239,1,0,0,1,4,2,1.572,-0.023,4,3,3.8,0.213,1,93.883,5,3,0.069,1,6.357,1.507,9.44,4.398,10.111,10.111,2.829,0,-0.084,3,6.3,0.4,4.096,4.096,0.391,3.572,0.0,0.0,6.493,2.377,0.0,2.945,3.993,9.503,9.503,0.063,0,0,3.718,0.262,1.209,6.39
5.678,0,0,3,5,1,1,1,1,1,1,100.57,1,0,0,2,3,2,1.609,0.009,3,1,3.809,0.257,1,113.051,5,5,0.15,0,6.417,1.542,9.603,4.489,10.844,10.844,2.991,1,-0.096,3,5.5,0.519,4.315,4.315,0.422,3.749,0.0,0.0,6.731,2.375,0.0,3.02,4.066,9.783,9.783,0.092,0,1,4.043,-0.279,1.318,6.735
5.208,0,0,2,4,1,1,1,1,1,1,75.81,1,0,0,0,2,4,1.606,-0.177,2,2,3.81,0.273,1,68.738,4,2,-0.147,0,6.222,1.498,9.343,4.377,9.744,9.744,2.773,0,-0.127,2,7.3,0.454,4.089,4.089,0.364,3.766,0.0,0.0,6.402,2.612,0.0,2.818,3.908,8.964,8.964,-0.108,0,0,3.466,-0.18,1.153,6.317
7.886,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,3,1.684,-0.182,5,1,3.937,0.206,2,74.163,7,11,0.234,2,6.205,1.507,8.893,4.383,9.795,9.795,2.852,3,-0.071,4,8.9,0.525,4.093,4.093,0.495,3.806,0.0,0.0,6.421,2.612,0.0,2.879,3.932,8.707,8.707,0.209,0,0,3.743,0.433,1.329,6.819
5.699,0,0,2,4,1,1,1,1,1,1,91.094,1,0,0,2,3,2,1.605,-0.014,3,2,3.809,0.244,1,141.608,4,6,0.108,0,6.384,1.531,9.477,4.395,10.038,10.038,2.783,0,-0.134,2,6.5,0.474,4.177,4.177,0.447,3.749,4.125,0.0,6.52,2.375,0.0,2.906,3.957,9.631,9.631,0.091,0,0,3.725,-0.234,1.293,6.627
5.602,0,0,3,3,1,1,1,1,1,1,81.617,1,0,0,2,2,3,1.625,-0.124,3,1,3.808,0.286,1,138.196,5,11,0.199,0,6.42,1.541,9.487,4.383,10.157,10.157,2.989,1,-0.206,3,5.2,0.454,4.092,4.092,0.409,3.764,0.0,0.0,6.446,2.375,0.0,2.926,4.07,9.795,9.795,0.213,2,0,4.167,0.312,1.26,6.844
7.77,1,1,0,0,0,0,0,0,0,0,118.616,0,1,1,0,0,3,1.644,-0.153,6,3,3.808,0.132,2,54.995,6,3,0.067,2,5.629,1.476,8.887,4.175,9.564,9.564,2.852,2,-0.076,4,9.1,0.532,3.668,3.668,0.496,3.676,0.0,0.0,6.368,2.11,0.0,2.812,3.867,7.629,7.629,0.048,0,0,3.481,1.055,1.147,6.335
8.301,1,1,0,0,0,0,0,0,0,0,86.518,0,1,1,0,0,3,1.742,0.079,3,1,3.94,0.05,2,74.163,3,5,-0.122,2,6.411,1.527,8.786,4.452,10.701,10.701,2.852,2,-0.139,2,7.0,0.692,4.132,4.132,0.665,3.807,0.0,0.0,6.776,2.105,0.0,2.921,4.044,9.749,9.749,-0.157,0,0,3.793,0.449,1.386,6.938
7.102,1,1,0,0,0,0,0,0,0,0,86.28,0,1,1,0,0,3,1.697,-0.074,3,1,3.808,0.21,2,74.163,3,7,0.081,3,6.152,1.502,8.724,4.381,9.776,9.776,2.545,2,-0.059,2,9.8,0.545,4.091,4.091,0.5,3.58,0.0,0.0,6.416,2.105,0.0,2.886,3.93,8.461,8.461,0.037,0,0,3.322,0.536,1.13,6.494
5.699,0,0,3,4,1,1,1,1,1,1,81.617,1,0,0,2,2,2,1.621,-0.054,2,1,3.808,0.232,1,143.33,4,8,0.194,0,6.162,1.54,9.351,4.383,9.793,9.793,2.774,0,-0.108,3,4.3,0.466,4.092,4.092,0.461,3.747,0.0,0.0,6.42,2.375,0.0,2.882,3.932,8.513,8.513,0.16,1,0,3.711,-0.217,1.258,6.706
5.585,0,0,3,4,1,1,1,1,1,1,81.617,1,0,0,2,1,2,1.62,-0.156,3,1,3.808,0.286,1,138.196,4,5,0.067,3,6.42,1.538,9.454,4.383,10.157,10.157,2.988,1,-0.204,3,5.2,0.454,4.092,4.092,0.41,3.764,0.0,0.0,6.446,2.375,0.0,2.926,4.07,9.792,9.792,0.072,0,0,4.2,0.312,1.245,6.686
5.721,0,0,3,4,1,1,1,2,2,3,81.617,2,0,0,2,2,2,1.618,-0.102,2,4,3.808,0.266,1,181.789,4,8,0.23,0,6.162,1.54,18.243,4.383,9.793,9.793,2.774,0,-0.084,3,4.5,0.44,4.092,4.092,0.437,3.747,0.0,0.0,6.42,2.375,0.0,2.88,3.932,8.513,8.513,0.236,2,0,3.711,0.388,1.287,6.779
6.398,0,0,3,4,1,1,1,1,1,1,81.617,1,0,0,2,2,2,1.591,-0.126,2,1,4.456,0.371,1,113.051,4,5,0.017,0,6.419,1.565,9.283,4.423,11.672,11.672,2.774,0,-0.129,3,4.5,0.41,4.093,4.093,0.411,3.808,0.0,0.0,7.112,2.612,0.0,2.894,4.157,9.792,9.792,0.024,0,0,3.723,-0.166,1.31,6.599
5.745,0,0,3,4,1,1,1,1,1,1,110.046,1,0,0,2,3,2,1.602,0.004,3,1,3.808,0.251,1,113.051,4,5,0.06,0,6.231,1.531,9.451,4.389,9.801,9.801,2.903,0,-0.085,3,4.3,0.434,4.25,4.25,0.432,3.747,0.0,0.0,6.422,2.375,0.0,2.899,3.941,9.202,9.202,0.013,0,0,3.724,-0.268,1.268,6.617
5.301,0,0,3,4,1,1,1,1,1,1,81.617,1,0,0,2,1,2,1.626,-0.12,1,1,3.808,0.27,1,113.051,4,11,0.228,0,6.162,1.534,9.307,4.383,9.793,9.793,2.774,1,-0.082,3,7.0,0.453,4.093,4.093,0.432,3.777,0.0,0.0,6.42,2.612,0.0,2.879,3.931,8.513,8.513,0.227,2,1,3.711,-0.146,1.323,6.797
4.77,0,0,3,4,1,1,1,1,1,1,81.617,1,0,0,2,2,2,1.602,-0.024,2,1,3.808,0.267,1,113.051,4,5,0.038,0,6.158,1.527,9.323,4.383,9.792,9.792,2.773,0,-0.086,3,4.5,0.435,4.092,4.092,0.43,3.747,0.0,0.0,6.42,2.375,0.0,2.879,3.931,8.462,8.462,-0.007,0,0,3.466,-0.218,1.202,6.578
5.292,0,0,1,2,1,1,1,1,1,1,43.712,1,0,0,2,1,2,1.598,-0.235,1,1,3.812,0.333,1,113.051,2,5,-0.189,0,6.351,1.57,8.831,4.385,9.893,9.893,2.544,0,-0.187,1,5.9,0.394,4.092,4.092,0.481,3.769,0.0,0.0,6.515,2.612,0.0,2.878,3.943,9.14,9.14,-0.186,0,0,3.251,-0.026,1.222,6.506
5.284,0,0,2,4,1,1,1,1,1,1,66.334,1,0,0,0,1,4,1.628,-0.156,1,2,3.811,0.291,1,68.738,4,4,-0.122,0,6.232,1.513,9.37,4.391,9.828,9.828,2.873,1,-0.104,2,9.3,0.463,4.095,4.095,0.37,3.782,0.0,0.0,6.422,2.612,0.0,2.887,3.953,9.015,9.015,-0.062,2,1,3.726,-0.132,1.276,6.366
5.569,0,0,2,2,1,1,1,1,1,1,62.665,2,0,3,2,4,3,1.643,0.026,6,2,3.809,0.228,1,155.734,3,5,0.058,0,6.353,1.539,19.427,4.387,9.868,9.868,2.93,2,-0.147,4,4.8,0.534,4.094,4.094,0.488,3.75,0.0,0.0,6.468,2.375,0.0,2.885,3.945,9.312,9.312,-0.011,0,0,3.727,0.424,1.252,6.702
5.244,0,0,3,4,1,1,1,1,1,1,81.617,1,0,0,2,1,2,1.592,-0.03,1,1,3.808,0.244,1,113.051,4,5,0.115,0,6.159,1.509,9.341,4.383,9.792,9.792,2.774,1,-0.126,3,4.4,0.622,4.092,4.092,0.468,3.747,0.0,0.0,6.42,2.375,0.0,2.879,3.931,8.468,8.468,0.052,0,1,3.466,-0.199,1.234,6.565
7.469,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,3,1.674,-0.149,5,1,3.937,0.181,2,74.163,7,5,0.116,2,6.202,1.5,8.905,4.383,9.795,9.795,2.852,2,-0.021,4,7.0,0.539,4.092,4.092,0.524,3.806,0.0,0.0,6.421,2.105,0.0,2.878,3.931,8.684,8.684,0.073,0,0,3.466,0.414,1.14,6.539
4.959,0,0,3,4,1,1,1,1,1,1,81.617,1,0,0,2,1,2,1.606,-0.071,1,1,3.808,0.256,1,113.051,4,5,0.097,0,6.158,1.527,9.302,4.383,9.792,9.792,2.774,0,-0.06,3,4.9,0.475,4.092,4.092,0.45,3.747,0.0,0.0,6.42,2.375,0.0,2.878,3.93,8.462,8.462,0.074,0,0,3.466,-0.18,1.205,6.518
8.0,1,1,0,0,0,0,0,0,0,0,105.471,1,1,4,0,0,4,1.705,-0.048,8,2,3.938,0.155,2,116.846,5,5,0.041,2,6.36,1.514,19.06,4.387,9.881,9.881,2.937,4,-0.128,5,6.8,0.605,4.094,4.094,0.559,3.806,0.0,0.0,6.476,2.105,0.0,2.885,3.946,9.37,9.37,-0.037,0,0,3.744,1.096,1.259,6.705
5.678,0,0,1,2,1,1,1,1,1,1,43.712,1,0,0,2,1,2,1.647,0.045,1,1,4.727,0.19,1,113.051,2,5,-0.207,0,7.248,1.628,8.929,4.81,15.234,15.234,2.774,0,-0.16,1,4.7,0.616,4.094,4.094,0.681,3.882,0.0,0.0,8.344,3.02,0.0,3.182,4.51,11.166,11.166,-0.23,0,0,4.196,-0.031,1.47,7.062
5.509,0,0,1,2,1,1,1,1,1,1,81.617,1,0,0,1,3,2,1.608,-0.082,3,5,3.865,0.261,1,138.196,3,5,0.035,1,6.358,1.521,9.299,4.399,10.234,10.234,2.832,0,-0.136,4,6.3,0.406,4.096,4.096,0.434,3.799,0.0,0.0,6.563,2.377,0.0,2.938,4.02,9.501,9.501,-0.01,0,0,3.718,0.364,1.255,6.729
7.387,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,3,1.674,-0.113,6,1,3.937,0.19,2,74.163,7,5,0.047,2,6.202,1.5,8.906,4.383,9.795,9.795,2.839,2,-0.076,4,6.5,0.519,4.092,4.092,0.508,3.806,0.0,0.0,6.421,2.105,0.0,2.879,3.931,8.684,8.684,-0.019,0,0,3.466,0.377,1.209,6.605
7.523,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,3,1.676,-0.146,5,1,3.937,0.15,2,74.163,7,5,0.076,2,6.202,1.5,8.857,4.383,9.795,9.795,2.687,2,-0.08,4,7.0,0.57,4.092,4.092,0.543,3.806,0.0,0.0,6.421,2.105,0.0,2.878,3.931,8.684,8.684,0.049,0,0,3.466,0.414,1.243,6.562
5.167,0,0,1,4,1,1,1,1,1,1,75.81,1,0,0,1,3,2,1.573,-0.054,3,3,3.8,0.225,1,93.883,5,3,0.136,1,5.545,1.498,9.287,4.159,9.527,9.527,2.771,0,-0.137,3,7.1,0.441,3.636,3.636,0.403,3.568,0.0,0.0,6.361,2.377,0.0,2.789,3.856,7.361,7.361,0.177,0,0,3.466,0.365,1.137,6.349
4.824,0,0,0,0,0,0,0,0,0,0,98.022,0,0,0,0,0,3,1.613,0.249,5,0,3.808,0.172,3,148.157,4,1,-0.138,2,5.895,1.514,0.0,4.142,8.939,8.939,3.257,1,0.019,5,9.4,0.525,3.723,3.723,0.556,3.769,7.419,4.033,6.131,1.924,1.051,2.801,3.857,8.217,8.217,-0.158,0,0,4.302,1.691,1.121,6.394
5.523,0,0,0,0,0,0,0,0,0,0,100.57,0,0,2,0,0,3,1.584,0.063,6,2,3.819,0.171,3,173.301,6,3,-0.025,2,5.893,1.506,0.0,4.144,9.015,9.015,3.162,1,0.024,8,10.5,0.436,3.723,3.723,0.543,3.774,7.408,4.028,6.139,1.926,1.047,2.852,3.893,8.226,8.226,-0.09,0,0,4.131,2.417,1.181,6.498
6.699,0,0,0,0,0,0,0,0,0,0,91.094,0,0,2,0,0,3,1.596,0.02,6,2,3.819,0.143,3,173.301,5,3,-0.057,2,5.893,1.509,0.0,4.144,9.015,9.015,3.164,1,0.024,8,10.5,0.483,3.723,3.723,0.552,3.774,7.378,4.016,6.139,1.926,1.027,2.852,3.893,8.226,8.226,-0.112,0,0,4.562,2.41,1.203,6.521
4.602,0,0,0,0,0,0,0,0,0,0,69.594,0,0,0,0,0,4,1.673,0.234,8,0,4.115,0.173,3,178.435,4,1,-0.079,2,6.518,1.56,0.0,4.64,11.273,11.273,3.115,1,0.003,5,7.4,0.447,3.993,3.993,0.488,3.806,7.478,4.059,6.847,1.984,1.066,3.006,4.148,9.325,9.325,-0.101,0,0,4.658,1.579,0.974,6.401
4.854,0,0,0,0,0,0,0,0,0,0,107.499,0,0,0,0,0,3,1.591,0.156,3,0,3.808,0.18,3,148.157,4,1,-0.152,2,5.883,1.512,0.0,4.141,8.877,8.877,3.256,1,0.021,7,9.4,0.487,3.723,3.723,0.552,3.769,7.445,4.043,6.114,1.924,1.072,2.795,3.849,8.187,8.187,-0.199,0,0,4.156,1.693,1.055,6.314
4.854,0,0,0,0,0,0,0,0,0,0,107.499,0,0,0,0,0,3,1.579,0.16,3,0,3.808,0.166,3,148.157,4,1,-0.145,3,5.883,1.5,0.0,4.141,8.878,8.878,3.0,2,-0.012,6,8.8,0.67,3.723,3.723,0.581,3.769,7.441,4.042,6.114,1.924,1.065,2.796,3.849,8.188,8.188,-0.209,0,0,4.16,1.662,1.147,6.382
4.77,0,0,0,0,0,0,0,0,0,0,88.546,0,0,0,0,0,3,1.613,-0.022,4,0,3.808,0.211,3,148.157,6,1,-0.162,2,5.928,1.516,0.0,4.146,9.032,9.032,3.067,1,-0.048,7,8.1,0.454,3.723,3.723,0.513,3.769,7.476,4.057,6.159,1.924,1.075,2.84,3.874,8.283,8.283,-0.216,0,0,4.656,1.605,1.107,6.475
4.699,0,0,0,0,0,0,0,0,0,0,107.499,0,0,0,0,0,3,1.595,0.139,3,0,3.808,0.175,3,148.157,4,1,-0.159,2,5.883,1.512,0.0,4.141,8.877,8.877,3.153,1,0.023,7,9.4,0.505,3.723,3.723,0.553,3.769,7.428,4.036,6.114,1.924,1.063,2.795,3.849,8.187,8.187,-0.201,0,0,4.156,1.693,1.119,6.322
4.523,0,0,3,4,0,2,0,1,1,2,84.513,0,1,0,3,0,5,1.589,0.211,6,0,3.895,0.096,6,169.511,5,0,-0.162,7,6.638,1.514,11.26,4.257,10.782,10.782,3.262,3,-0.005,7,5.7,0.559,3.435,3.435,0.514,3.747,0.0,0.0,6.713,1.997,0.0,3.023,4.099,10.559,10.559,-0.209,0,0,4.7,1.442,1.036,7.062
4.886,0,0,0,0,0,0,0,0,0,0,107.499,0,0,0,0,0,3,1.611,0.038,3,2,3.808,0.206,3,148.157,4,5,0.099,3,5.917,1.52,0.0,4.218,8.88,8.88,3.254,2,0.024,6,10.9,0.466,3.896,3.896,0.495,3.777,7.387,4.02,6.115,1.984,1.032,2.801,3.852,8.208,8.208,0.035,0,0,4.172,1.69,1.227,6.663
6.523,0,0,0,0,0,0,0,0,0,0,91.094,0,0,2,0,0,3,1.597,0.039,7,2,3.819,0.171,3,173.301,5,3,-0.047,2,5.893,1.509,0.0,4.144,9.015,9.015,3.197,1,0.023,9,10.5,0.459,3.723,3.723,0.543,3.774,7.403,4.027,6.139,1.926,1.041,2.852,3.893,8.226,8.226,-0.113,0,0,4.562,2.41,1.178,6.506
4.678,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,0,1.657,-0.061,4,0,3.936,0.169,2,74.163,8,2,-0.11,2,5.929,1.485,8.91,4.255,8.782,8.782,2.765,2,-0.088,5,6.4,0.694,3.951,3.951,0.544,3.778,0.0,0.0,6.226,2.105,0.0,2.716,3.767,8.218,8.218,-0.083,0,0,3.446,0.388,1.215,6.183
4.125,1,1,0,0,0,0,0,0,0,0,86.518,0,1,1,0,0,0,1.672,-0.215,2,0,3.948,0.281,2,74.163,4,2,-0.224,2,5.929,1.539,8.509,4.256,9.466,9.466,2.687,1,-0.055,3,8.3,0.452,3.951,3.951,0.531,3.778,0.0,0.0,6.491,2.612,0.0,2.715,3.794,8.221,8.221,-0.225,0,0,3.414,0.584,1.199,6.343
4.921,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,3,1.668,-0.078,4,2,3.975,0.194,2,99.307,4,4,-0.164,1,5.929,1.497,8.885,4.265,10.136,10.136,2.836,3,-0.071,6,8.0,0.481,3.953,3.953,0.501,3.778,0.0,0.0,6.549,2.109,0.0,2.881,3.977,8.222,8.222,-0.18,0,0,3.791,1.032,1.237,6.481
5.854,0,0,4,4,1,1,1,2,2,3,81.617,2,0,0,2,1,0,1.617,-0.043,1,3,3.778,0.268,1,181.789,4,5,0.054,0,5.928,1.541,18.221,4.255,8.625,8.625,2.732,1,-0.044,4,4.5,0.44,3.951,3.951,0.436,3.749,0.0,0.0,6.187,2.375,0.0,2.746,3.778,8.215,8.215,0.129,4,1,3.739,0.388,1.261,6.443
5.046,1,1,0,0,0,0,0,0,0,0,109.139,0,1,1,0,0,3,1.673,-0.101,4,1,3.936,0.225,2,29.85,7,5,-0.085,0,5.929,1.488,8.93,4.259,9.355,9.355,2.873,4,-0.044,4,11.1,0.536,3.952,3.952,0.434,3.778,0.0,0.0,6.311,2.612,0.0,2.826,3.881,8.22,8.22,-0.011,0,0,3.791,0.441,1.259,6.29
5.155,1,1,0,0,0,0,0,0,0,0,143.376,0,1,1,0,0,0,1.67,-0.029,7,0,3.937,0.186,2,74.163,9,2,-0.067,2,6.257,1.521,9.122,4.485,10.843,10.843,2.969,2,-0.07,5,7.0,0.593,4.314,4.314,0.494,3.778,0.0,0.0,6.731,2.105,0.0,3.017,4.061,8.915,8.915,-0.06,0,0,4.086,0.282,1.3,6.417
5.222,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,0,1.654,-0.125,5,0,4.456,0.323,2,74.163,8,2,-0.084,2,6.225,1.54,8.86,4.42,11.672,11.672,2.766,1,-0.078,5,6.5,0.464,3.952,3.952,0.459,3.936,0.0,0.0,7.112,2.612,0.0,2.861,4.156,8.777,8.777,-0.03,0,0,3.791,0.408,1.291,6.235
5.155,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,3,1.674,-0.108,4,2,3.975,0.182,2,99.307,4,4,-0.104,1,5.929,1.497,8.872,4.265,10.136,10.136,2.879,3,-0.056,6,8.5,0.52,3.953,3.953,0.522,3.778,0.0,0.0,6.549,2.109,0.0,2.88,3.977,8.222,8.222,-0.11,0,0,3.791,1.065,1.24,6.412
4.886,0,0,4,4,1,1,1,1,1,1,81.617,1,0,0,2,1,0,1.601,0.039,1,0,3.778,0.269,1,113.051,4,2,-0.213,0,5.928,1.528,9.306,4.255,8.589,8.589,2.731,1,-0.058,4,4.5,0.435,3.951,3.951,0.428,3.749,0.0,0.0,6.183,2.375,0.0,2.716,3.764,8.204,8.204,-0.183,2,1,3.414,-0.218,1.175,6.149
5.26,0,0,4,3,1,1,1,1,1,1,81.617,1,0,0,2,1,1,1.63,-0.032,1,0,3.779,0.271,1,113.051,3,2,-0.137,0,5.929,1.537,9.297,4.257,8.763,8.763,2.732,3,-0.075,4,7.0,0.453,3.952,3.952,0.43,3.777,0.0,0.0,6.206,2.612,0.0,2.725,3.779,8.225,8.225,-0.093,2,3,3.725,-0.146,1.309,6.135
4.921,1,1,0,0,0,0,0,0,0,0,105.471,1,1,4,0,0,0,1.705,0.019,7,1,3.938,0.157,2,116.846,7,2,-0.133,2,5.948,1.515,19.035,4.26,9.527,9.527,2.923,1,-0.086,6,6.8,0.605,3.952,3.952,0.558,3.778,0.0,0.0,6.436,2.105,0.0,2.735,3.839,8.228,8.228,-0.119,0,0,3.791,1.096,1.232,6.351
4.284,1,1,0,0,0,0,0,0,0,0,86.518,0,1,1,0,0,0,1.7,-0.119,2,0,3.944,0.171,2,74.163,7,2,-0.205,2,5.929,1.539,8.691,4.256,9.466,9.466,2.951,1,-0.108,6,8.3,0.517,3.951,3.951,0.575,3.778,0.0,0.0,6.491,2.612,0.0,2.71,3.777,8.221,8.221,-0.2,0,0,3.414,0.584,1.059,6.033
5.0,0,0,4,4,1,1,1,1,1,1,81.617,1,0,0,2,0,0,1.604,0.005,0,0,3.778,0.263,1,113.051,4,2,-0.137,0,5.928,1.528,9.299,4.255,8.589,8.589,2.732,1,0.001,4,4.9,0.464,3.951,3.951,0.443,3.749,0.0,0.0,6.183,2.375,0.0,2.715,3.764,8.204,8.204,-0.073,2,1,3.414,-0.18,1.121,6.046
4.886,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,3,1.685,0.031,5,1,3.939,0.206,2,74.163,7,3,-0.157,2,5.949,1.507,8.893,4.261,9.624,9.624,2.766,3,-0.077,4,8.9,0.525,3.953,3.953,0.494,3.778,0.0,0.0,6.454,2.612,0.0,2.774,3.836,8.228,8.228,-0.117,0,0,3.731,0.433,1.332,6.353
5.155,1,1,0,0,0,0,0,0,0,0,118.616,0,1,1,0,0,3,1.662,-0.122,5,1,3.935,0.191,2,29.85,7,3,-0.119,0,5.929,1.472,8.908,4.258,9.275,9.275,2.754,3,-0.073,4,9.3,0.542,3.952,3.952,0.445,3.778,0.0,0.0,6.294,2.612,0.0,2.77,3.836,8.22,8.22,-0.067,0,0,3.466,0.414,1.136,6.236
4.161,1,1,0,0,0,0,0,0,0,0,86.28,0,1,1,0,0,0,1.697,-0.01,2,0,3.778,0.211,2,74.163,4,2,-0.157,3,5.929,1.503,8.712,4.254,8.539,8.539,2.687,1,-0.043,3,9.8,0.545,3.951,3.951,0.498,3.584,0.0,0.0,6.17,2.105,0.0,2.721,3.763,8.213,8.213,-0.135,0,0,3.33,0.536,1.102,6.018
5.097,1,1,0,0,0,0,0,0,0,0,124.423,0,1,1,0,0,1,1.682,-0.158,6,0,3.936,0.225,2,99.307,9,8,0.01,2,6.233,1.52,9.033,4.255,10.157,10.157,2.967,1,-0.181,5,6.7,0.516,3.951,3.951,0.472,3.778,0.0,0.0,6.446,2.186,0.0,2.926,4.07,8.832,8.832,0.09,0,0,4.269,0.957,1.244,6.57
5.337,0,0,2,4,1,1,1,1,1,1,104.239,1,0,0,1,3,1,1.57,0.038,3,0,3.778,0.215,1,93.883,4,2,-0.135,0,5.928,1.507,9.423,4.265,9.975,9.975,2.781,3,-0.026,4,6.3,0.4,3.953,3.953,0.388,3.573,0.0,0.0,6.477,2.377,0.0,2.872,3.949,8.22,8.22,-0.112,2,1,3.771,0.262,1.185,6.075
