pXC50,nCsp3,nF,nN,nHet,Si,nAT,nBT,Se,nH,nX,X.,nCsp2,Sp,SCBO,Mv,nBO,nSK,Mi,RBN
6.466,1,1,1,3,32.123,29,32,29.36,10,1,3.4,15,21.205,30.5,0.716,22,19,1.108,0
6.979,8,0,3,6,61.69,55,59,55.007,25,0,0.0,16,36.756,43.5,0.636,34,30,1.122,5
6.142,4,0,3,5,49.235,44,47,44.029,19,0,0.0,16,30.017,37.5,0.652,28,25,1.119,3
6.398,6,0,3,6,54.86,49,53,49.24,21,0,0.0,16,33.233,41.5,0.652,32,28,1.12,3
7.699,12,0,3,4,62.102,55,58,54.12,29,0,0.0,10,35.37,35.0,0.593,29,26,1.129,5
6.432,4,0,3,5,48.235,43,45,43.029,19,0,0.0,15,29.017,35.5,0.644,26,24,1.122,4
7.678,8,0,3,6,58.275,52,56,52.123,23,0,0.0,15,34.995,43.5,0.644,33,29,1.121,5
7.796,9,0,4,7,61.773,55,60,55.225,24,0,0.0,15,37.0,46.5,0.645,36,31,1.123,3
7.886,8,0,3,7,57.069,51,56,51.567,21,0,0.0,15,34.688,45.5,0.66,35,30,1.119,3
7.699,9,0,3,6,59.275,53,58,53.123,23,0,0.0,15,35.995,45.5,0.651,35,30,1.118,3
7.824,4,0,5,8,49.196,44,49,44.909,15,0,0.0,17,31.199,47.0,0.702,34,29,1.118,3
7.721,10,0,3,8,68.524,61,65,61.545,27,0,0.0,16,40.426,49.5,0.639,38,34,1.123,7
8.097,6,0,3,8,54.864,49,53,50.011,19,0,0.0,16,33.381,45.5,0.67,34,30,1.12,5
7.921,9,0,3,8,62.694,56,61,56.778,23,0,0.0,16,37.904,49.5,0.659,38,33,1.12,5
7.921,12,0,3,8,72.94,65,70,65.429,29,0,0.0,16,43.188,52.5,0.638,41,36,1.122,6
8.155,8,0,3,8,59.279,53,58,53.894,21,0,0.0,16,36.142,48.5,0.668,37,32,1.118,4
8.523,5,0,2,7,48.95,44,48,45.025,16,0,0.0,16,30.614,43.5,0.689,32,28,1.113,4
7.921,9,0,3,7,63.9,57,61,57.334,25,0,0.0,16,38.21,47.5,0.644,36,32,1.121,6
7.796,9,0,3,7,61.485,55,60,55.451,23,0,0.0,16,37.449,48.5,0.658,37,32,1.118,4
8.0,10,0,3,7,64.9,58,63,58.334,25,0,0.0,16,39.21,49.5,0.65,38,33,1.119,4
7.585,5,0,3,7,61.069,55,60,55.567,21,0,0.0,22,38.688,53.5,0.685,39,34,1.11,4
7.886,9,0,3,8,62.694,56,61,56.778,23,0,0.0,16,37.904,49.5,0.659,38,33,1.12,4
8.0,13,0,4,10,81.062,72,77,72.741,32,0,0.0,17,47.409,57.5,0.635,45,40,1.126,6
7.824,9,0,4,8,63.983,57,62,57.552,24,0,0.0,16,38.455,49.5,0.653,38,33,1.123,4
7.796,11,0,4,10,76.647,68,72,68.858,30,0,0.0,17,44.648,54.5,0.636,42,38,1.127,9
7.658,7,0,4,8,59.568,53,57,53.669,22,0,0.0,16,35.693,46.5,0.654,35,31,1.124,6
8.046,7,0,3,8,58.279,52,56,52.894,21,0,0.0,16,35.142,46.5,0.661,35,31,1.121,6
8.155,13,0,3,9,78.564,70,75,70.64,31,0,0.0,17,46.404,56.5,0.639,44,39,1.122,7
8.699,9,0,3,9,64.903,58,63,59.105,23,0,0.0,17,39.358,52.5,0.666,40,35,1.119,5
7.886,9,0,4,9,66.192,59,64,59.88,24,0,0.0,17,39.909,52.5,0.66,40,35,1.122,5
7.77,5,0,4,7,49.113,44,49,44.691,16,0,0.0,16,30.955,44.5,0.691,33,28,1.116,1
7.921,6,0,4,7,52.528,47,52,47.574,18,0,0.0,16,32.716,45.5,0.679,34,29,1.118,1
6.936,3,0,3,6,46.03,41,43,41.473,17,0,0.0,15,27.71,35.5,0.656,26,24,1.123,5
6.305,13,0,3,4,65.517,58,61,57.003,31,0,0.0,10,37.131,36.0,0.589,30,27,1.13,5
7.328,1,0,6,8,55.9,50,54,50.567,18,0,0.0,23,35.512,51.0,0.694,36,32,1.118,5
6.538,3,0,3,7,45.95,41,43,41.549,17,0,0.0,14,28.358,36.5,0.661,26,24,1.121,5
6.724,2,0,4,6,42.488,38,41,38.48,14,0,0.0,16,26.739,38.0,0.688,27,24,1.118,3
7.016,1,0,2,3,34.282,31,34,30.949,12,0,0.0,15,22.273,30.5,0.69,22,19,1.106,0
5.0,14,0,3,4,68.932,61,64,59.887,33,0,0.0,10,38.893,37.0,0.585,31,28,1.13,5
6.331,6,0,2,4,27.202,24,25,24.025,12,0,0.0,2,15.921,15.0,0.607,13,12,1.133,0
6.924,6,0,2,3,62.188,56,60,55.134,26,0,0.0,21,38.603,45.0,0.644,34,30,1.111,5
7.638,5,0,2,4,44.737,40,43,39.927,18,0,0.0,13,27.012,33.0,0.642,25,22,1.118,2
6.924,9,0,3,5,51.066,45,47,44.796,23,0,0.0,8,28.54,29.5,0.595,24,22,1.135,6
5.152,0,1,2,4,19.376,17,18,17.811,5,1,5.9,8,11.926,18.0,0.717,13,12,1.14,0
5.496,0,0,2,4,18.98,17,18,17.622,5,1,5.9,8,12.847,18.0,0.743,13,12,1.116,0
4.602,1,0,2,3,22.452,20,21,20.182,8,0,0.0,8,13.75,18.0,0.667,13,12,1.123,0
5.045,0,1,2,4,19.376,17,18,17.811,5,1,5.9,8,11.926,18.0,0.717,13,12,1.14,0
4.959,0,0,2,4,18.98,17,18,17.622,5,1,5.9,8,12.847,18.0,0.743,13,12,1.116,0
4.602,0,0,2,4,18.757,17,18,17.367,5,1,5.9,8,14.648,18.0,0.772,13,12,1.103,0
4.602,0,0,2,4,20.246,18,19,18.625,6,0,0.0,8,12.443,18.0,0.696,13,12,1.125,0
4.602,1,0,2,3,22.452,20,21,20.182,8,0,0.0,8,13.75,18.0,0.667,13,12,1.123,0
4.602,0,0,3,4,21.535,19,20,19.4,7,0,0.0,8,12.994,18.0,0.675,13,12,1.133,0
5.125,1,3,2,6,23.471,20,21,21.72,5,3,15.0,8,13.563,21.0,0.724,16,15,1.174,0
4.602,1,0,2,3,22.452,20,21,20.182,8,0,0.0,8,13.75,18.0,0.667,13,12,1.123,0
4.727,0,1,2,4,19.376,17,18,17.811,5,1,5.9,8,11.926,18.0,0.717,13,12,1.14,0
5.248,0,0,2,4,18.98,17,18,17.622,5,1,5.9,8,12.847,18.0,0.743,13,12,1.116,0
4.602,1,3,2,6,23.471,20,21,21.72,5,3,15.0,8,13.563,21.0,0.724,16,15,1.174,0
5.879,1,0,2,3,22.452,20,21,20.182,8,0,0.0,8,13.75,18.0,0.667,13,12,1.123,0
6.119,0,0,3,4,21.535,19,20,19.4,7,0,0.0,8,12.994,18.0,0.675,13,12,1.133,0
5.857,2,0,2,3,25.867,23,24,23.065,10,0,0.0,8,15.511,19.0,0.646,14,13,1.125,0
5.706,1,1,2,4,22.791,20,21,20.694,7,1,5.0,8,13.688,19.0,0.686,14,13,1.14,0
5.275,2,0,2,3,25.867,23,24,23.065,10,0,0.0,8,15.511,19.0,0.646,14,13,1.125,0
4.879,3,0,2,3,29.282,26,27,25.949,12,0,0.0,8,17.273,20.0,0.63,15,14,1.126,0
5.577,1,0,2,4,22.396,20,21,20.505,7,1,5.0,8,14.608,19.0,0.708,14,13,1.12,0
6.398,1,0,3,4,24.95,22,23,22.284,9,0,0.0,8,14.756,19.0,0.653,14,13,1.134,0
7.921,3,0,3,6,44.614,40,43,40.589,15,0,0.0,16,27.949,38.0,0.684,28,25,1.115,3
7.886,2,3,3,8,42.424,37,39,38.8,12,3,8.1,15,25.307,36.5,0.697,27,25,1.147,3
8.051,11,0,3,5,59.607,53,56,52.312,27,0,0.0,10,35.256,35.0,0.609,29,26,1.125,5
7.721,3,0,3,7,44.558,40,43,40.913,14,1,2.5,16,28.807,39.0,0.705,29,26,1.114,3
8.022,4,1,4,8,50.868,45,48,46.087,17,1,2.2,16,30.654,41.5,0.673,31,28,1.13,3
8.301,3,1,3,7,44.954,40,43,41.102,14,1,2.5,16,27.887,39.0,0.694,29,26,1.124,3
8.167,3,1,3,7,55.784,50,54,50.869,18,1,2.0,22,35.409,49.0,0.696,36,32,1.116,4
6.924,7,0,2,3,65.604,59,63,58.018,28,0,0.0,21,40.364,47.0,0.637,35,31,1.112,6
7.26,4,0,3,5,45.82,41,44,41.145,17,0,0.0,15,28.256,36.0,0.663,27,24,1.118,4
6.921,4,0,3,5,45.82,41,44,41.145,17,0,0.0,15,28.256,36.0,0.663,27,24,1.118,3
6.268,4,0,4,6,50.734,45,47,45.131,20,0,0.0,15,30.023,36.5,0.638,27,25,1.127,5
8.009,5,1,3,7,51.784,46,49,46.869,18,1,2.2,16,31.409,41.5,0.67,31,28,1.126,3
6.699,11,0,3,5,59.896,53,56,52.563,27,0,0.0,10,34.063,35.0,0.6,29,26,1.13,5
6.562,13,0,3,4,65.517,58,61,57.003,31,0,0.0,10,37.131,36.0,0.589,30,27,1.13,5
7.796,4,0,2,3,55.358,50,54,49.367,22,0,0.0,21,35.08,44.0,0.661,32,28,1.107,3
5.215,12,0,4,5,64.6,57,60,56.221,30,0,0.0,10,36.376,36.0,0.59,30,27,1.133,5
7.796,5,0,4,6,51.734,46,49,46.131,20,0,0.0,15,31.023,38.0,0.646,29,26,1.125,3
5.301,1,0,2,4,32.076,29,32,29.393,10,0,0.0,14,20.966,31.5,0.71,22,19,1.106,0
5.0,3,0,1,4,34.913,32,36,32.251,11,0,0.0,14,24.369,34.5,0.727,25,21,1.091,0
8.097,4,0,3,5,56.651,51,55,50.912,21,0,0.0,21,35.779,46.5,0.671,34,30,1.111,3
6.699,5,0,2,3,41.112,37,41,36.716,16,0,0.0,13,25.796,33.5,0.661,25,21,1.111,0
7.398,3,0,2,4,30.076,27,30,27.393,10,0,0.0,10,18.966,27.0,0.688,20,17,1.114,0
8.046,6,0,4,6,55.149,49,52,49.014,22,0,0.0,15,32.784,39.5,0.638,30,27,1.125,3
7.149,4,0,2,3,37.697,34,38,33.833,14,0,0.0,13,24.034,32.5,0.674,24,20,1.109,0
8.046,12,0,4,7,77.849,69,72,68.643,34,0,0.0,16,44.807,48.5,0.611,38,35,1.128,7
7.824,11,0,4,7,72.019,64,68,63.876,30,0,0.0,16,42.284,48.5,0.626,38,34,1.125,4
7.796,10,0,4,7,71.019,63,66,62.876,30,0,0.0,16,41.284,46.5,0.62,36,33,1.127,6
7.824,8,0,3,7,62.9,56,59,56.334,25,0,0.0,16,37.21,44.5,0.638,34,31,1.123,6
7.337,6,0,4,6,57.564,51,53,50.898,24,0,0.0,15,33.546,38.5,0.623,29,27,1.129,6
5.0,4,0,2,3,37.697,34,38,33.833,14,0,0.0,13,24.034,32.5,0.674,24,20,1.109,0
5.0,2,0,2,5,34.286,31,35,31.72,10,0,0.0,14,22.421,34.5,0.719,25,21,1.106,0
8.046,7,1,4,7,58.904,52,55,52.411,23,1,1.9,15,34.483,41.5,0.638,32,29,1.133,3
8.097,8,0,4,8,71.524,64,68,64.069,28,0,0.0,20,44.171,53.0,0.652,40,36,1.118,7
6.625,6,0,4,6,59.149,53,58,53.014,22,0,0.0,19,36.784,48.5,0.665,36,31,1.116,3
8.222,12,0,4,6,73.225,65,69,64.432,32,0,0.0,15,42.591,46.5,0.614,37,33,1.127,4
7.187,6,0,4,6,59.149,53,58,53.014,22,0,0.0,19,36.784,48.5,0.665,36,31,1.116,3
8.046,8,0,4,7,75.019,67,71,66.876,30,0,0.0,22,45.284,54.5,0.643,41,37,1.12,6
6.793,7,0,5,7,60.647,54,59,54.116,23,0,0.0,17,36.79,48.0,0.653,36,31,1.123,4
8.301,10,1,4,7,66.734,59,63,59.178,27,1,1.7,15,39.006,45.5,0.631,36,32,1.131,5
7.081,8,0,3,6,54.86,49,54,49.24,21,0,0.0,14,33.233,42.5,0.652,33,28,1.12,1
8.097,12,0,4,7,75.434,67,71,66.76,32,0,0.0,16,44.046,49.5,0.621,39,35,1.126,4
7.638,7,0,4,6,58.564,52,55,51.898,24,0,0.0,15,34.546,40.5,0.63,31,28,1.126,3
7.444,3,0,2,4,36.491,33,37,33.276,12,0,0.0,14,23.727,34.5,0.7,25,21,1.106,0
8.301,12,1,4,7,73.565,65,69,64.945,31,1,1.5,15,42.529,47.5,0.62,38,34,1.132,4
6.783,8,0,4,6,58.564,52,56,51.898,24,0,0.0,14,34.546,41.5,0.63,32,28,1.126,4
7.854,10,0,4,6,66.394,59,63,58.665,28,0,0.0,15,39.069,44.5,0.624,35,31,1.125,5
7.569,5,0,3,4,43.611,39,43,38.818,17,0,0.0,13,26.801,34.5,0.653,26,22,1.118,1
6.097,5,0,2,3,41.112,37,41,36.716,16,0,0.0,13,25.796,33.5,0.661,25,21,1.111,0
8.301,9,1,4,7,65.734,58,61,58.178,27,1,1.7,15,38.006,43.5,0.624,34,31,1.133,5
7.398,5,0,3,6,50.445,45,48,45.356,19,0,0.0,15,30.472,38.5,0.654,29,26,1.121,3
7.097,4,0,2,5,41.116,37,41,37.487,14,0,0.0,14,25.943,36.5,0.685,27,23,1.111,1
8.097,7,0,5,9,75.312,67,71,67.421,29,0,0.0,22,44.983,55.5,0.646,42,38,1.124,5
8.046,7,0,5,10,71.84,64,68,64.862,26,1,1.6,21,44.08,55.5,0.665,42,38,1.123,5
6.79,10,0,4,7,64.189,57,62,57.109,26,0,0.0,14,37.762,45.5,0.632,36,31,1.126,4
6.174,18,0,5,11,102.052,90,94,90.145,45,0,0.0,16,56.983,60.5,0.599,49,45,1.134,13
6.928,4,1,3,5,37.535,33,35,33.447,14,1,3.0,10,21.978,27.0,0.646,21,19,1.137,2
6.951,4,1,4,6,40.034,35,37,35.549,15,1,2.9,10,22.983,28.0,0.638,22,20,1.144,2
7.959,7,1,4,7,50.073,44,47,44.643,19,1,2.3,11,28.961,35.0,0.639,28,25,1.138,3
7.658,6,1,4,7,46.658,41,44,41.76,17,1,2.4,11,27.199,34.0,0.648,27,24,1.138,3
7.252,6,1,4,8,48.868,43,46,44.087,17,1,2.3,12,28.654,37.0,0.658,29,26,1.136,3
8.222,7,1,4,8,52.283,46,49,46.971,19,1,2.2,12,30.415,38.0,0.648,30,27,1.137,3
6.567,6,1,5,9,51.366,45,48,46.189,18,1,2.2,12,29.659,38.0,0.652,30,27,1.141,3
7.77,6,1,5,9,51.366,45,48,46.189,18,1,2.2,12,29.659,38.0,0.652,30,27,1.141,3
6.873,7,1,4,8,53.698,47,49,47.854,21,1,2.1,11,30.176,35.0,0.625,28,26,1.143,6
7.569,8,1,4,8,58.113,51,53,51.738,23,1,2.0,12,32.938,38.0,0.625,30,28,1.139,7
7.796,7,1,5,9,68.027,60,63,60.723,26,1,1.7,18,39.705,48.0,0.64,37,34,1.134,8
7.796,6,1,4,8,62.113,55,58,55.738,23,1,1.8,18,36.938,46.0,0.652,35,32,1.129,7
6.914,4,1,4,7,42.243,37,39,37.876,15,1,2.7,11,24.438,31.0,0.65,24,22,1.142,3
7.347,6,1,4,7,49.073,43,45,43.643,19,1,2.3,11,27.961,33.0,0.631,26,24,1.141,4
7.47,7,1,4,7,50.073,44,47,44.643,19,1,2.3,11,28.961,35.0,0.639,28,25,1.138,4
6.955,10,1,5,8,62.817,55,58,55.396,26,1,1.8,11,35.25,39.0,0.613,32,29,1.142,6
6.538,11,1,6,9,68.731,60,63,60.381,29,1,1.7,11,38.017,41.0,0.604,34,31,1.146,6
5.357,8,1,5,8,55.987,49,52,49.629,22,1,2.0,11,31.728,37.0,0.626,30,27,1.143,3
5.62,9,1,5,8,59.402,52,55,52.512,24,1,1.9,11,33.489,38.0,0.619,31,28,1.142,3
7.658,8,1,5,8,66.817,59,63,59.396,26,1,1.7,17,39.25,47.0,0.639,37,33,1.132,4
7.495,9,1,5,8,59.402,52,55,52.512,24,1,1.9,11,33.489,38.0,0.619,31,28,1.142,3
8.379,13,1,5,8,70.648,62,66,62.163,30,1,1.6,11,39.773,43.0,0.609,36,32,1.139,4
6.721,7,1,5,9,54.781,48,51,49.072,20,1,2.1,12,31.421,39.0,0.643,31,28,1.141,3
7.658,11,1,5,9,66.027,58,62,58.723,26,1,1.7,12,37.705,44.0,0.628,36,32,1.138,4
6.745,9,1,5,9,61.611,54,57,54.84,24,1,1.9,12,34.944,41.0,0.628,33,30,1.141,3
8.222,9,4,5,12,62.631,54,57,56.378,21,4,7.4,12,34.756,44.0,0.649,36,33,1.16,3
7.959,8,1,5,9,69.027,61,65,61.723,26,1,1.6,18,40.705,50.0,0.646,39,35,1.132,4
7.301,10,1,6,10,67.525,59,62,59.825,27,1,1.7,12,37.711,43.0,0.618,35,32,1.144,3
6.824,9,1,5,11,62.741,55,58,56.243,24,1,1.8,11,36.046,43.0,0.633,34,31,1.141,4
8.846,8,1,5,8,66.817,59,63,59.396,26,1,1.7,17,39.25,47.0,0.639,37,33,1.132,4
7.409,8,1,6,9,65.9,58,62,58.614,25,1,1.7,16,38.495,47.0,0.642,37,33,1.136,4
8.046,8,1,6,9,65.9,58,62,58.614,25,1,1.7,16,38.495,47.0,0.642,37,33,1.136,4
8.854,8,1,6,9,65.9,58,62,58.614,25,1,1.7,16,38.495,47.0,0.642,37,33,1.136,4
8.481,8,1,7,10,64.983,57,61,57.832,24,1,1.8,15,37.739,47.0,0.644,37,33,1.14,4
9.199,8,1,7,10,64.983,57,61,57.832,24,1,1.8,15,37.739,47.0,0.644,37,33,1.14,4
5.0,4,0,2,3,44.528,40,43,39.6,18,0,0.0,15,27.557,34.0,0.649,25,22,1.113,1
8.041,3,1,3,6,46.16,41,44,41.658,16,1,2.4,16,28.193,38.0,0.672,28,25,1.126,2
5.893,0,0,0,4,31.914,29,31,29.727,10,0,0.0,15,20.625,29.0,0.707,21,19,1.1,1
6.745,0,0,2,3,28.867,26,28,26.065,10,0,0.0,13,18.512,25.0,0.687,18,16,1.11,0
5.051,13,0,5,9,81.557,72,76,72.072,35,0,0.0,15,46.267,50.0,0.609,41,37,1.133,8
7.444,7,1,4,8,63.113,56,60,56.738,23,1,1.8,18,37.938,48.0,0.659,37,33,1.127,3
4.95,4,1,3,7,59.2,53,57,53.752,20,1,1.9,22,37.171,50.0,0.686,37,33,1.117,4
4.064,3,1,4,8,58.283,52,56,52.971,19,1,1.9,22,36.415,50.0,0.689,37,33,1.121,4
5.0,10,1,4,8,83.189,74,79,74.156,33,1,1.4,23,49.745,59.0,0.642,46,41,1.124,7
6.31,10,1,4,8,83.189,74,79,74.156,33,1,1.4,23,49.745,59.0,0.642,46,41,1.124,7
9.509,5,1,4,8,62.698,56,61,56.854,21,1,1.8,22,39.176,53.0,0.685,40,35,1.12,3
8.745,9,1,4,8,67.528,60,65,60.621,25,1,1.7,18,40.699,51.0,0.657,40,35,1.125,3
6.678,6,1,4,8,59.698,53,57,53.854,21,1,1.9,18,36.176,47.0,0.667,36,32,1.126,3
7.481,6,1,5,10,70.821,63,68,64.167,24,1,1.6,23,43.398,58.0,0.676,44,39,1.124,5
7.347,9,1,5,10,78.651,70,76,70.934,28,1,1.4,23,47.921,62.0,0.667,48,42,1.124,4
8.721,10,1,5,10,82.066,73,79,73.818,30,1,1.4,23,49.682,63.0,0.66,49,43,1.124,4
5.857,6,1,4,7,63.904,57,62,57.411,23,1,1.8,21,39.483,51.0,0.67,39,34,1.121,3
5.461,5,1,3,7,60.2,54,59,54.752,20,1,1.9,22,38.171,52.0,0.691,39,34,1.115,3
4.064,6,1,3,7,62.615,56,61,56.636,22,1,1.8,21,38.932,51.0,0.676,39,34,1.118,3
6.252,6,2,3,7,61.745,55,60,55.821,21,2,3.6,21,38.415,51.0,0.682,39,34,1.123,3
4.116,6,1,4,7,63.904,57,62,57.411,23,1,1.8,21,39.483,51.0,0.67,39,34,1.121,3
4.076,3,1,3,7,55.784,50,54,50.869,18,1,2.0,22,35.409,49.0,0.696,36,32,1.116,4
5.318,4,1,3,7,58.2,52,56,52.752,20,1,1.9,21,36.171,48.0,0.679,36,32,1.119,4
6.244,4,1,3,7,58.2,52,56,52.752,20,1,1.9,21,36.171,48.0,0.679,36,32,1.119,4
5.056,11,0,4,6,55.564,49,53,48.898,24,0,0.0,8,31.546,34.0,0.608,29,25,1.134,2
5.028,11,0,4,6,55.564,49,53,48.898,24,0,0.0,8,31.546,34.0,0.608,29,25,1.134,2
5.029,12,0,4,6,58.979,52,56,51.781,26,0,0.0,8,33.307,35.0,0.602,30,26,1.134,2
5.0,9,3,6,11,56.749,49,53,50.872,19,3,6.1,10,31.847,41.5,0.651,34,30,1.158,2
6.523,11,0,5,9,74.727,66,70,66.305,31,0,0.0,15,42.745,48.0,0.618,39,35,1.132,6
5.059,12,0,5,9,78.142,69,73,69.189,33,0,0.0,15,44.506,49.0,0.614,40,36,1.132,7
5.048,11,1,5,9,73.857,65,69,65.49,30,1,1.5,15,42.228,48.0,0.623,39,35,1.136,6
5.07,11,0,6,9,72.6,64,68,64.196,30,0,0.0,14,41.534,47.0,0.619,38,34,1.134,6
5.959,10,1,4,8,72.359,64,68,64.389,29,1,1.6,17,42.222,49.0,0.632,39,35,1.131,6
6.678,10,1,4,8,72.359,64,68,64.389,29,1,1.6,17,42.222,49.0,0.632,39,35,1.131,5
7.721,10,1,4,8,72.359,64,68,64.389,29,1,1.6,17,42.222,49.0,0.632,39,35,1.131,5
6.084,5,0,5,6,37.777,33,35,33.254,15,0,0.0,7,21.29,26.0,0.62,20,18,1.145,2
6.197,5,0,5,6,37.777,33,35,33.254,15,0,0.0,7,21.29,26.0,0.62,20,18,1.145,2
6.277,8,0,5,6,48.023,42,44,41.905,21,0,0.0,7,26.574,29.0,0.596,23,21,1.143,4
5.838,6,0,5,6,41.192,36,38,36.138,17,0,0.0,7,23.051,27.0,0.611,21,19,1.144,2
6.186,8,0,5,6,48.023,42,44,41.905,21,0,0.0,7,26.574,29.0,0.596,23,21,1.143,3
6.028,8,0,5,6,48.023,42,44,41.905,21,0,0.0,7,26.574,29.0,0.596,23,21,1.143,4
7.222,8,0,3,8,63.405,57,62,57.527,23,0,0.0,18,40.097,52.0,0.673,39,34,1.112,5
7.699,6,0,5,9,60.361,54,59,54.636,21,0,0.0,18,38.131,51.0,0.679,38,33,1.118,4
7.301,4,0,4,7,48.823,44,49,44.44,16,0,0.0,17,32.148,45.0,0.701,33,28,1.11,1
7.268,4,0,4,7,48.823,44,49,44.44,16,0,0.0,17,32.148,45.0,0.701,33,28,1.11,2
7.18,3,0,4,8,49.617,45,51,45.884,14,0,0.0,20,33.841,51.5,0.734,37,31,1.103,2
7.77,10,0,4,12,72.946,65,71,66.494,26,0,0.0,17,44.227,57.0,0.663,45,39,1.122,5
7.268,4,0,4,8,51.033,46,51,46.767,16,0,0.0,18,33.602,48.0,0.708,35,30,1.109,2
7.886,4,0,2,6,41.958,38,42,38.716,13,1,2.6,15,28.296,39.5,0.72,29,25,1.104,1
7.495,7,0,4,8,61.278,55,60,55.418,22,0,0.0,18,38.887,51.0,0.676,38,33,1.114,4
6.309,10,0,3,4,61.687,55,59,54.236,27,0,0.0,14,36.608,40.0,0.62,32,28,1.122,3
7.398,4,0,3,6,46.325,42,47,42.338,15,0,0.0,17,31.142,44.0,0.711,32,27,1.103,1
7.076,4,0,3,7,46.167,42,47,42.567,14,1,2.4,17,32.495,45.0,0.735,33,28,1.099,1
7.337,15,0,4,11,93.228,83,88,83.469,38,0,0.0,19,55.341,64.0,0.633,50,45,1.123,11
7.699,5,0,4,8,54.448,49,54,49.651,18,0,0.0,18,35.364,49.0,0.696,36,31,1.111,3
7.252,8,0,4,8,64.693,58,63,58.302,24,0,0.0,18,40.648,52.0,0.667,39,34,1.115,5
7.31,7,0,4,8,58.863,53,59,53.534,20,0,0.0,18,38.125,52.0,0.691,39,33,1.111,4
7.658,7,0,4,9,62.488,56,61,56.745,22,0,0.0,18,39.341,52.0,0.676,39,34,1.116,6
7.252,6,0,4,8,57.863,52,57,52.534,20,0,0.0,18,37.125,50.0,0.685,37,32,1.113,4
7.284,9,0,4,8,65.693,59,65,59.302,24,0,0.0,18,41.648,54.0,0.673,41,35,1.113,4
7.745,4,0,3,5,42.405,38,42,38.262,15,0,0.0,14,26.495,36.5,0.675,27,23,1.116,1
7.42,5,0,3,9,53.079,48,53,48.953,17,0,0.0,17,35.46,50.0,0.708,36,31,1.106,3
7.678,8,0,3,9,63.325,57,62,57.603,23,0,0.0,17,40.744,53.0,0.677,39,34,1.111,4
8.06,8,0,3,5,59.216,53,57,52.676,24,1,1.9,16,36.705,42.0,0.649,33,29,1.117,3
7.456,8,1,3,6,59.555,53,57,53.189,23,2,3.8,16,36.642,43.0,0.656,34,30,1.124,3
7.745,6,1,3,5,57.196,51,55,50.981,22,1,2.0,18,35.023,43.0,0.655,33,29,1.121,3
7.824,6,0,3,5,56.8,51,55,50.792,22,1,2.0,18,35.944,43.0,0.664,33,29,1.114,3
6.544,6,0,3,5,56.8,51,55,50.792,22,1,2.0,18,35.944,43.0,0.664,33,29,1.114,3
7.444,6,1,3,6,57.14,51,55,51.305,21,2,3.9,18,35.881,44.0,0.672,34,30,1.12,3
6.883,8,0,4,5,61.77,55,59,54.454,26,0,0.0,16,36.853,42.0,0.629,33,29,1.123,3
7.337,8,0,3,4,57.272,51,54,50.352,25,0,0.0,14,33.847,37.0,0.619,29,26,1.123,5
7.796,6,0,3,4,56.856,51,55,50.469,23,0,0.0,18,35.086,42.0,0.648,32,28,1.115,3
5.076,9,0,3,4,62.687,56,60,55.236,27,0,0.0,16,37.608,42.0,0.627,33,29,1.119,3
6.796,7,0,3,4,60.272,54,58,53.352,25,0,0.0,18,36.847,43.0,0.64,33,29,1.116,3
5.796,9,0,3,4,62.687,56,60,55.236,27,0,0.0,16,37.608,42.0,0.627,33,29,1.119,3
7.796,7,0,3,5,58.216,52,55,51.676,24,1,1.9,16,35.705,40.0,0.642,31,28,1.12,5
6.987,8,0,3,5,57.216,51,54,50.676,24,1,2.0,14,34.705,38.0,0.635,30,27,1.122,5
7.328,8,1,3,6,57.555,51,54,51.189,23,2,3.9,14,34.642,39.0,0.643,31,28,1.129,5
6.59,8,1,3,6,59.555,53,57,53.189,23,2,3.8,16,36.642,43.0,0.656,34,30,1.124,3
7.523,9,1,3,5,63.026,56,60,55.749,26,1,1.8,16,37.546,43.0,0.634,34,30,1.125,3
7.337,9,0,3,5,62.631,56,60,55.56,26,1,1.8,16,38.466,43.0,0.642,34,30,1.118,3
7.921,8,0,4,6,61.714,55,59,54.778,25,1,1.8,16,37.711,43.0,0.644,34,30,1.122,3
7.796,6,1,3,5,55.196,49,52,48.981,22,1,2.0,16,33.023,39.0,0.641,30,27,1.126,5
7.638,6,0,3,5,54.8,49,52,48.792,22,1,2.0,16,33.944,39.0,0.651,30,27,1.118,5
7.585,6,0,3,5,54.8,49,52,48.792,22,1,2.0,16,33.944,39.0,0.651,30,27,1.118,5
7.886,6,1,3,6,55.14,49,52,49.305,21,2,4.1,16,33.881,40.0,0.658,31,28,1.125,5
5.021,0,0,0,4,31.914,29,31,29.727,10,0,0.0,15,20.625,29.0,0.707,21,19,1.1,1
5.131,0,0,2,3,19.036,17,18,17.298,6,0,0.0,8,11.989,17.0,0.695,12,11,1.12,0
4.679,0,0,1,2,17.953,16,16,16.08,7,0,0.0,7,10.744,13.0,0.645,9,9,1.122,1
5.857,0,0,0,2,29.495,27,29,27.073,10,0,0.0,15,19.716,27.0,0.706,19,17,1.092,1
4.0,0,0,0,5,33.123,30,32,31.055,10,0,0.0,15,21.08,30.0,0.707,22,20,1.104,1
7.523,4,0,3,5,48.443,43,45,42.971,20,0,0.0,14,28.398,34.0,0.627,25,23,1.127,3
6.824,2,1,2,5,49.077,44,47,44.44,17,1,2.3,20,30.949,42.0,0.683,30,27,1.115,4
