pXC50,SpMin3_Bh.i.,SpMin4_Bh.m.,SpMin6_Bh.v.,ATS2i,SpMin4_Bh.e.,SpMin5_Bh.i.,SpMin3_Bh.e.,SpMax5_Bh.i.,SpMin4_Bh.v.,SpMin6_Bh.m.,SpMin8_Bh.e.,SpMin4_Bh.i.,SpMin3_Bh.p.,Mp,SpMax5_Bh.p.,SpMin5_Bh.v.,SpMax5_Bh.e.,SpMax5_Bh.v.,TIC2,SpMin4_Bh.s.,TIC3,SpMax3_Bh.p.,ATS1i,SpMin3_Bh.v.,SpMin5_Bh.e.,SpMax3_Bh.v.,MDDD,SpMin8_Bh.m.,CSI,IDMT,SpMin6_Bh.e.,Chi1_EA.ed.,SpMin5_Bh.p.,Si,Eta_betaS,TIC1,AECC,nBT,SpMin8_Bh.v.,ATS2e,UNIP,ECC,Eig11_EA.bo.,ATS5i,Xu,Chi1_EA.ri.,nH,RDCHI,SpMin6_Bh.p.,ATS3e,P_VSA_m_2,SpMin4_Bh.p.,ATS3i,SpMax6_Bh.i.,VAR,ON1,SpMax4_Bh.i.,LPRS,ON0V,Chi0_EA.ed.,ISIZ,nAT,SpMin8_Bh.i.,SpMin3_Bh.s.,ATS1e,SpMin7_Bh.v.,ON1V,CIC0,Sv,SssNH
4.482,1.593,1.812,1.564,4.711,1.59,1.407,1.636,3.509,1.769,1.616,1.067,1.533,1.779,0.688,3.337,1.655,3.447,3.325,248.384,0.874,278.913,3.544,4.142,1.802,1.465,3.539,22.398,1.302,624.0,15110.4,1.377,5.062,1.619,57.771,16.5,174.071,10.63,55,1.267,4.53,98,287.0,1.356,5.172,25.533,15.108,25,3.801,1.531,4.783,185.202,1.742,4.989,3.415,103,6.083,3.643,132.142,10.033,11.085,296.423,52,1.006,0.995,4.016,1.359,3.321,4.504,33.101,0.0
4.301,1.642,1.758,1.547,4.901,1.552,1.473,1.69,3.587,1.795,1.455,1.022,1.488,1.861,0.669,3.39,1.723,3.543,3.386,288.53,0.907,308.53,3.642,4.337,1.873,1.522,3.656,45.903,1.417,1013.0,37220.1,1.325,6.111,1.708,71.022,20.5,234.226,14.294,65,1.308,4.722,178,486.0,1.581,5.255,32.228,18.365,29,4.509,1.58,4.948,216.852,1.802,5.125,3.465,163,7.417,3.756,186.603,12.5,12.932,376.569,63,0.971,1.142,4.215,1.385,3.568,4.339,39.76,2.577
4.301,1.309,1.417,1.308,4.231,1.082,0.821,1.348,3.009,1.318,1.231,0.627,1.007,1.59,0.65,2.702,1.308,2.874,2.693,104.451,0.469,115.961,3.335,3.672,1.551,0.934,3.341,9.188,0.883,208.0,2868.82,0.934,2.818,1.239,36.112,9.5,95.696,6.375,33,0.892,4.04,38,102.0,-1.07,4.384,15.864,8.649,16,2.729,1.239,4.283,107.286,1.333,4.483,2.925,34,3.389,3.009,63.371,6.6,5.906,160.0,32,0.565,0.55,3.542,1.107,1.83,3.566,19.445,0.0
4.301,1.293,1.557,1.355,4.513,1.18,1.064,1.327,3.206,1.513,1.41,0.668,1.099,1.596,0.621,2.941,1.429,3.111,2.91,155.911,0.77,159.911,3.189,3.836,1.591,1.153,3.212,11.605,1.004,314.0,4560.69,1.053,3.244,1.376,43.071,11.75,115.421,8.444,39,0.973,4.314,52,152.0,-0.846,4.881,18.176,9.873,20,3.026,1.328,4.555,86.249,1.492,4.756,3.147,56,4.069,3.297,76.679,7.333,7.068,199.421,38,0.586,0.825,3.716,1.107,2.285,3.803,22.17,0.0
4.301,1.519,1.699,1.374,4.499,1.482,1.245,1.556,3.421,1.677,1.448,0.851,1.425,1.671,0.702,3.16,1.56,3.346,3.166,172.438,0.747,208.968,3.472,3.945,1.693,1.322,3.462,14.367,1.146,414.0,8883.71,1.127,4.38,1.536,46.526,14.5,128.333,8.13,45,1.078,4.326,72,187.0,0.606,4.909,22.056,13.16,19,3.494,1.329,4.552,161.18,1.658,4.734,3.185,55,5.0,3.556,105.446,8.283,9.299,226.477,42,0.774,0.777,3.825,1.13,2.518,4.165,27.521,0.0
4.949,1.4,1.695,1.094,4.315,1.351,0.874,1.454,3.05,1.638,1.144,0.432,1.256,1.63,0.644,2.761,1.213,3.014,2.779,129.445,0.762,134.2,3.322,3.699,1.653,0.916,3.317,10.789,0.9,242.0,3532.72,0.867,2.891,1.237,37.322,11.0,104.85,7.0,34,0.769,4.117,45,119.0,-1.174,4.637,16.816,9.175,16,2.828,1.062,4.294,99.731,1.584,4.511,2.929,37,3.917,3.407,69.397,6.983,6.518,166.465,33,0.333,0.869,3.579,0.992,2.294,3.518,20.16,0.0
4.301,1.627,1.655,1.512,4.766,1.547,1.337,1.69,3.347,1.697,1.582,0.929,1.515,1.894,0.638,3.03,1.639,3.283,3.053,241.029,0.764,257.029,3.548,4.155,1.906,1.394,3.54,24.615,1.186,493.0,13115.7,1.203,4.904,1.646,58.062,17.25,182.725,9.115,53,1.248,4.567,86,237.0,0.575,5.082,24.569,14.381,25,3.618,1.467,4.78,182.95,1.707,5.012,3.275,104,5.944,3.632,124.625,9.933,10.56,289.294,51,0.87,1.131,4.018,1.448,3.233,4.126,30.805,2.983
4.301,1.525,1.728,1.444,4.562,1.517,1.156,1.565,3.349,1.716,1.498,0.871,1.457,1.709,0.696,3.025,1.57,3.293,3.043,185.555,0.798,194.31,3.602,3.975,1.732,1.25,3.601,18.515,1.148,492.0,11693.2,1.202,4.252,1.554,48.238,16.75,156.045,9.36,45,1.12,4.377,84,234.0,0.761,4.824,23.779,13.801,18,3.47,1.411,4.538,139.711,1.704,4.68,3.272,81,5.444,3.392,118.593,9.3,9.138,233.329,43,0.785,0.841,3.86,1.162,2.418,3.724,28.39,0.0
4.371,1.648,1.583,1.264,4.513,1.453,1.147,1.666,3.278,1.618,1.232,0.839,1.421,1.79,0.764,3.173,1.449,3.222,3.108,180.968,0.745,206.968,3.721,3.953,1.786,1.204,3.696,20.231,1.013,537.0,12447.3,1.132,4.837,1.401,45.952,16.5,150.071,9.154,46,1.039,4.389,85,238.0,1.361,4.822,24.364,15.475,16,3.689,1.23,4.637,136.801,1.588,4.785,3.179,79,5.5,3.472,123.506,8.117,10.201,226.477,42,0.806,0.932,3.862,1.113,2.622,3.815,29.819,3.301
4.301,1.321,1.541,1.405,4.381,1.278,1.165,1.316,3.244,1.505,1.267,0.834,1.234,1.575,0.695,2.877,1.433,3.156,2.878,167.103,0.564,186.612,3.637,3.901,1.575,1.223,3.577,20.083,1.028,515.0,11401.8,1.126,4.31,1.431,44.661,15.5,146.206,10.167,42,1.031,4.263,88,244.0,0.389,4.708,23.467,13.731,16,3.601,1.35,4.393,140.756,1.508,4.515,3.08,80,5.417,3.369,114.629,7.683,9.419,212.877,40,0.788,0.588,3.82,1.13,1.999,3.587,26.777,3.205
4.636,1.412,1.593,1.444,4.695,1.241,1.173,1.482,3.32,1.573,1.508,0.983,1.183,1.714,0.667,3.032,1.538,3.291,3.059,208.272,0.588,215.027,3.348,4.055,1.719,1.201,3.339,19.905,1.283,494.0,12468.0,1.189,4.368,1.522,52.989,17.5,162.09,9.115,49,1.297,4.522,81,237.0,0.513,5.088,24.236,14.668,21,3.482,1.412,4.658,146.518,1.57,4.777,3.312,86,6.028,3.373,123.464,9.933,10.056,261.066,47,0.886,0.901,3.958,1.364,2.483,3.831,29.852,0.0
4.301,1.578,1.766,1.602,4.747,1.494,1.381,1.629,3.524,1.729,1.607,0.983,1.447,1.815,0.66,3.267,1.696,3.471,3.268,249.784,0.946,263.784,3.652,4.132,1.815,1.445,3.658,25.755,1.222,563.0,16170.4,1.4,5.298,1.68,57.113,18.0,189.442,9.321,54,1.242,4.599,93,261.0,1.128,4.977,26.151,15.821,23,3.83,1.602,4.803,129.314,1.707,4.979,3.282,106,6.25,3.576,137.335,9.817,11.408,289.294,51,0.928,0.961,4.041,1.343,3.335,4.191,32.39,0.0
4.301,0.994,1.148,0.67,3.767,0.905,0.496,1.066,2.711,1.145,0.673,0.0,0.835,1.343,0.665,2.202,0.995,2.57,2.205,74.929,0.19,79.684,2.832,3.273,1.341,0.628,2.825,3.455,0.0,107.0,802.1,0.28,2.047,0.954,22.741,7.0,66.929,4.636,21,0.0,3.574,20,51.0,-2.839,3.489,10.725,6.122,9,2.302,0.646,3.676,104.683,1.121,3.884,2.156,15,2.361,2.97,35.673,3.817,4.234,86.439,20,0.0,0.328,3.125,0.254,1.03,2.864,12.645,0.0
4.301,1.586,1.542,1.179,4.287,1.402,1.109,1.6,3.169,1.579,1.181,0.723,1.384,1.734,0.757,2.999,1.279,3.16,3.012,138.608,0.614,161.362,3.639,3.772,1.734,1.111,3.644,18.022,0.889,497.0,10963.7,0.986,4.442,1.319,39.273,15.5,112.243,9.08,39,0.928,4.21,77,227.0,1.098,4.517,23.489,13.859,11,3.5,1.188,4.456,130.362,1.6,4.543,3.063,92,5.361,3.39,116.874,7.226,9.457,186.117,36,0.69,0.866,3.72,1.107,2.175,3.68,26.848,0.0
4.301,1.497,1.583,1.229,4.375,1.344,1.082,1.542,3.27,1.556,1.282,0.777,1.311,1.728,0.692,2.968,1.468,3.194,2.962,148.567,0.642,180.621,3.437,3.852,1.726,1.163,3.44,17.802,0.987,512.0,9236.42,1.06,4.215,1.44,43.239,13.25,116.414,10.773,41,0.999,4.231,83,237.0,0.444,4.681,22.145,11.995,17,3.569,1.199,4.447,156.703,1.545,4.623,3.094,82,4.972,3.417,103.167,7.25,9.035,206.131,39,0.721,0.824,3.749,1.107,2.188,3.902,25.665,3.183
4.301,1.703,1.79,1.635,4.958,1.578,1.361,1.728,3.497,1.805,1.639,1.181,1.503,1.94,0.644,3.272,1.638,3.448,3.278,293.819,0.921,320.98,3.648,4.361,1.905,1.411,3.683,42.851,1.524,1020.0,35852.5,1.351,5.865,1.629,72.438,22.25,228.4,14.471,66,1.478,4.774,170,492.0,1.417,5.433,31.953,18.189,30,4.405,1.584,4.98,201.976,1.789,5.17,3.407,170,7.917,3.672,185.317,12.65,13.3,384.0,64,1.113,0.998,4.241,1.539,3.908,4.421,39.508,5.214
4.301,1.399,1.499,1.153,4.306,1.403,1.026,1.468,3.12,1.652,1.181,0.718,1.332,1.729,0.677,2.802,1.313,3.017,2.79,150.405,0.504,160.015,3.339,3.787,1.738,1.079,3.29,15.49,0.997,390.0,5981.64,0.886,3.688,1.323,39.614,12.0,125.551,9.947,36,0.973,4.126,65,189.0,-0.663,4.321,19.55,10.614,16,3.251,1.122,4.27,152.341,1.666,4.482,2.925,67,4.333,3.418,84.685,6.7,7.808,179.525,35,0.631,0.888,3.652,1.107,2.051,3.432,22.148,6.078
4.7,1.829,1.634,1.232,4.481,1.513,1.402,1.856,3.5,1.694,1.218,0.869,1.511,1.95,0.712,3.367,1.578,3.486,3.357,175.518,0.655,221.624,3.797,3.993,1.957,1.396,3.796,29.796,1.123,732.0,19458.9,1.003,5.364,1.546,50.206,16.75,132.424,12.357,47,1.086,4.376,122,346.0,1.5,4.724,27.228,15.277,17,4.02,1.227,4.645,200.635,1.691,4.813,3.108,122,6.153,3.645,142.823,7.81,11.192,247.133,45,0.81,1.035,3.907,1.107,2.411,3.744,30.972,4.808
4.301,1.495,1.435,1.249,4.329,1.37,1.034,1.54,3.175,1.581,1.189,0.795,1.335,1.69,0.729,2.977,1.336,3.133,2.981,155.382,0.46,181.911,3.464,3.844,1.705,1.093,3.444,16.575,0.971,469.0,9727.7,1.03,4.436,1.293,42.116,14.25,128.918,9.478,40,0.983,4.188,79,218.0,0.378,4.6,22.567,12.728,15,3.532,1.264,4.418,174.8,1.589,4.59,3.125,75,5.111,3.503,107.56,7.117,9.341,199.421,38,0.755,0.796,3.733,1.107,2.144,3.643,26.127,5.781
4.301,1.509,1.587,1.438,4.502,1.363,1.201,1.561,3.328,1.632,1.408,0.797,1.302,1.74,0.662,3.029,1.554,3.269,3.044,205.065,0.654,222.574,3.428,3.983,1.76,1.26,3.42,22.292,1.113,588.0,12152.4,1.157,4.623,1.552,48.445,15.75,163.639,11.5,45,1.087,4.35,96,276.0,0.516,4.779,23.844,13.57,19,3.714,1.429,4.512,171.981,1.685,4.689,3.202,98,5.472,3.536,116.195,7.817,9.926,233.329,43,0.728,0.826,3.873,1.149,2.268,3.844,27.423,3.328
4.301,1.745,1.537,1.429,4.663,1.398,1.232,1.799,3.373,1.595,1.338,0.871,1.426,1.928,0.707,3.192,1.508,3.334,3.177,198.168,0.825,223.329,3.684,4.025,1.949,1.274,3.669,19.308,1.119,533.0,12984.9,1.153,4.728,1.486,51.202,16.25,157.92,9.346,49,1.151,4.518,89,243.0,1.0,4.936,24.582,14.85,20,3.662,1.376,4.779,106.945,1.553,4.954,3.206,82,5.556,3.532,124.655,8.567,10.04,254.084,46,0.845,1.076,3.938,1.276,2.929,3.824,30.303,0.0
4.301,1.398,1.6,1.308,4.403,1.232,1.015,1.473,3.182,1.518,1.417,0.655,1.141,1.668,0.635,2.926,1.394,3.089,2.896,126.731,0.684,145.75,3.278,3.738,1.71,1.109,3.259,7.182,1.065,158.0,2078.25,0.934,2.333,1.34,39.443,8.75,91.773,5.2,36,1.002,4.172,31,78.0,-1.441,4.953,14.349,7.953,20,2.489,1.239,4.384,88.444,1.467,4.591,3.009,27,3.25,3.268,55.87,8.0,5.223,179.525,35,0.534,0.927,3.592,1.026,2.382,3.993,20.026,0.0
4.301,1.602,1.751,1.579,4.798,1.575,1.389,1.637,3.576,1.768,1.567,0.994,1.542,1.835,0.697,3.383,1.626,3.528,3.357,264.814,0.936,295.975,3.735,4.237,1.824,1.433,3.752,34.905,1.176,861.0,29364.9,1.358,6.584,1.614,61.488,22.5,215.13,11.758,59,1.226,4.66,138,388.0,1.5,5.051,30.637,19.429,22,4.484,1.585,4.867,193.685,1.78,5.031,3.361,135,7.194,3.715,174.468,9.8,13.645,317.975,55,0.955,0.986,4.143,1.405,3.117,4.075,36.873,3.228
4.301,1.347,1.551,1.353,4.354,1.298,1.105,1.381,3.24,1.593,1.271,0.672,1.198,1.67,0.697,2.985,1.476,3.146,2.958,151.26,0.627,160.015,3.467,3.789,1.624,1.191,3.514,15.483,1.01,379.0,7004.95,1.129,3.815,1.42,39.408,13.75,130.241,8.429,37,0.941,4.196,63,177.0,-0.134,4.658,20.608,11.949,14,3.29,1.367,4.346,129.698,1.627,4.494,2.95,59,4.556,3.25,93.854,7.017,8.05,179.525,35,0.587,0.651,3.679,1.277,2.012,3.332,23.336,0.0
4.301,1.404,1.51,1.019,4.136,1.183,1.069,1.444,3.243,1.551,0.929,0.513,1.145,1.736,0.663,2.914,1.419,3.169,2.92,130.942,0.55,135.697,3.303,3.633,1.699,1.149,3.35,12.305,0.761,245.0,4664.6,0.709,3.363,1.395,33.993,12.5,114.942,6.421,31,0.776,4.002,49,122.0,-0.794,4.465,18.259,10.184,11,2.905,1.03,4.145,117.829,1.585,4.276,2.885,43,4.306,3.408,79.703,6.15,7.354,147.207,30,0.415,0.653,3.537,0.917,1.581,3.128,20.031,2.585
4.301,1.674,1.59,1.429,4.79,1.322,1.127,1.735,3.299,1.578,1.513,0.934,1.286,1.892,0.613,2.988,1.506,3.225,2.982,216.418,0.825,225.928,3.598,4.095,1.923,1.206,3.579,21.273,1.414,485.0,9487.5,1.153,4.114,1.479,56.732,13.75,147.399,10.773,51,1.308,4.579,83,237.0,-0.211,5.119,22.262,11.953,28,3.468,1.376,4.864,100.143,1.58,5.092,3.206,84,4.903,3.426,103.656,9.667,8.664,282.193,50,0.821,1.081,3.964,1.363,3.285,4.288,28.278,0.0
4.421,1.535,1.728,1.271,4.483,1.421,0.939,1.581,3.065,1.666,1.352,0.76,1.344,1.761,0.638,2.842,1.308,2.981,2.82,163.593,0.845,179.858,3.452,3.867,1.79,1.015,3.447,11.446,1.084,275.0,4771.94,0.947,3.331,1.239,45.069,11.25,128.122,7.105,41,1.098,4.289,47,135.0,-0.644,4.766,18.406,10.046,21,2.924,1.221,4.519,110.452,1.628,4.716,3.012,59,4.194,3.481,80.191,8.4,7.208,212.877,40,0.694,0.947,3.747,1.19,2.525,3.956,23.719,0.0
4.301,1.405,1.567,1.128,4.296,1.258,1.076,1.454,3.249,1.539,1.181,0.742,1.215,1.651,0.72,2.954,1.381,3.184,2.95,140.956,0.551,160.608,3.407,3.813,1.643,1.143,3.38,18.05,0.961,510.0,9215.02,0.92,4.272,1.357,40.199,14.5,121.182,10.727,38,0.967,4.152,82,236.0,0.04,4.476,22.137,12.573,14,3.571,1.117,4.323,180.234,1.527,4.502,3.013,84,4.944,3.376,103.101,6.733,9.063,186.117,36,0.683,0.579,3.701,1.107,1.907,3.481,24.622,6.251
4.301,1.455,1.641,1.316,4.474,1.455,1.204,1.499,3.317,1.732,1.258,0.766,1.404,1.792,0.663,3.13,1.417,3.279,3.129,193.395,0.746,208.905,3.345,3.945,1.767,1.235,3.377,22.875,1.052,489.0,10629.8,1.007,4.494,1.441,46.239,15.5,154.092,9.75,43,1.031,4.333,79,234.0,0.595,4.707,23.111,13.286,17,3.509,1.33,4.519,163.05,1.736,4.683,3.14,96,5.5,3.596,112.695,7.533,9.808,219.66,41,0.724,0.936,3.838,1.199,2.382,3.701,26.611,2.005
4.301,1.812,1.572,1.429,4.649,1.332,1.141,1.85,3.301,1.586,1.498,0.886,1.275,1.96,0.662,2.969,1.525,3.236,2.981,173.998,0.825,204.114,3.663,4.033,1.963,1.209,3.648,20.896,1.181,568.0,11170.9,1.153,4.45,1.514,50.651,15.75,146.115,10.708,48,1.107,4.481,89,257.0,0.661,4.854,23.454,13.777,21,3.666,1.376,4.776,141.678,1.619,4.999,3.206,98,5.264,3.474,114.127,8.317,9.578,247.133,45,0.821,1.047,3.914,1.294,2.879,3.993,28.235,3.355
4.301,1.786,1.639,1.533,4.569,1.46,1.391,1.734,3.411,1.596,1.334,0.966,1.43,1.813,0.736,3.332,1.557,3.42,3.288,198.923,0.719,216.574,3.817,4.019,1.876,1.401,3.818,21.969,1.181,507.0,16835.6,1.303,5.157,1.507,50.788,18.0,169.703,8.138,49,1.184,4.46,91,236.0,1.297,4.896,26.498,16.466,17,3.75,1.488,4.682,156.555,1.584,4.799,3.35,91,6.153,3.605,142.105,9.083,10.899,254.084,46,0.924,0.952,3.947,1.297,2.625,3.777,32.227,2.377
4.413,1.447,1.356,1.318,4.313,1.164,0.852,1.478,3.089,1.341,1.305,0.69,1.119,1.613,0.646,2.657,1.318,3.035,2.679,140.711,0.42,154.22,3.391,3.806,1.621,0.922,3.388,12.18,0.923,298.0,5907.9,0.922,3.248,1.333,41.658,12.0,122.569,7.35,38,0.936,4.177,56,147.0,-0.333,4.725,19.531,10.282,17,3.077,1.33,4.483,91.022,1.333,4.662,3.089,46,4.75,3.226,87.355,6.083,7.644,192.75,37,0.652,0.686,3.71,1.063,1.89,3.678,23.095,0.0
4.301,1.527,1.6,1.255,4.495,1.455,1.139,1.586,3.27,1.598,1.3,0.792,1.413,1.792,0.706,3.056,1.451,3.187,3.037,182.071,0.772,201.722,3.492,3.93,1.808,1.208,3.474,16.888,1.1,455.0,9420.75,1.032,4.396,1.418,46.784,14.0,141.767,9.261,44,1.058,4.322,74,213.0,0.301,4.956,22.382,12.966,19,3.497,1.226,4.569,134.053,1.58,4.758,3.105,75,5.167,3.502,106.731,7.743,9.345,226.477,42,0.716,0.961,3.818,1.107,2.568,3.891,27.524,0.0
4.301,1.165,1.457,0.529,3.922,1.058,0.837,1.248,3.049,1.417,0.56,0.0,0.95,1.491,0.624,2.675,1.251,2.949,2.685,77.777,0.493,81.777,3.048,3.352,1.535,0.906,3.046,5.139,0.0,106.0,1088.65,0.171,1.883,1.23,26.284,7.5,65.513,4.667,23,0.0,3.715,23,56.0,-2.325,4.424,11.713,6.068,11,2.2,0.51,3.825,60.839,1.375,4.0,2.324,16,2.694,3.179,40.93,5.2,4.149,104.042,23,0.0,0.602,3.222,0.485,1.332,2.872,13.843,0.0
5.389,1.468,1.618,1.279,4.592,1.371,1.064,1.516,3.206,1.592,1.286,0.664,1.308,1.714,0.658,2.961,1.429,3.111,2.958,176.503,0.825,192.477,3.409,3.962,1.72,1.153,3.408,17.289,1.024,471.0,8499.83,1.043,4.178,1.376,47.595,14.75,144.81,10.0,44,1.0,4.401,73,220.0,0.061,5.009,21.71,12.617,20,3.433,1.264,4.678,84.548,1.577,4.893,3.143,90,4.944,3.454,101.212,7.226,8.971,226.477,42,0.583,0.964,3.843,1.138,2.5,3.743,26.063,0.0
4.301,1.355,1.259,0.949,4.118,1.076,0.914,1.424,2.97,1.302,1.002,0.307,1.052,1.6,0.688,2.608,1.242,2.875,2.617,112.241,0.298,123.851,3.38,3.571,1.624,0.982,3.379,6.875,0.738,185.0,2490.26,0.69,2.746,1.261,31.282,10.25,93.777,5.375,30,0.706,3.96,34,86.0,-0.984,4.398,15.206,8.947,12,2.701,0.913,4.183,112.883,1.308,4.365,2.719,31,3.528,3.286,61.038,5.367,6.132,134.606,28,0.183,0.712,3.452,0.859,1.804,3.326,18.392,0.0
4.301,1.624,1.857,1.699,4.969,1.615,1.507,1.655,3.601,1.821,1.648,1.13,1.586,1.845,0.69,3.433,1.793,3.557,3.414,296.265,1.074,316.265,3.766,4.325,1.856,1.577,3.749,39.256,1.36,1055.0,35081.0,1.479,6.099,1.751,68.527,22.25,225.064,14.029,65,1.362,4.804,173,477.0,1.724,5.228,31.897,19.765,27,4.505,1.684,5.037,164.019,1.809,5.225,3.444,143,7.278,3.773,184.769,11.583,13.072,361.775,61,1.086,1.206,4.22,1.553,3.784,4.21,39.42,0.0
4.301,1.623,1.744,1.534,4.733,1.528,1.457,1.655,3.469,1.744,1.497,0.977,1.491,1.833,0.686,3.171,1.633,3.408,3.191,241.519,0.96,264.539,3.732,4.156,1.826,1.515,3.736,29.082,1.199,599.0,16997.3,1.396,5.535,1.623,57.358,18.25,189.762,9.893,54,1.222,4.555,99,277.0,0.997,5.035,26.455,16.068,23,3.946,1.492,4.786,191.249,1.735,5.012,3.336,118,6.278,3.734,138.715,9.35,11.696,289.294,51,0.922,0.984,4.029,1.471,3.303,4.076,32.75,2.973
4.579,1.399,1.537,1.428,4.585,1.262,1.192,1.449,3.297,1.489,1.394,0.585,1.199,1.747,0.665,3.092,1.455,3.228,3.073,134.975,0.904,157.995,3.194,3.873,1.738,1.252,3.165,11.06,1.079,292.0,5219.79,1.167,3.37,1.414,42.16,13.5,103.753,6.55,40,0.967,4.415,49,131.0,-0.497,4.81,18.959,12.084,17,3.074,1.39,4.801,69.155,1.445,5.015,3.245,51,3.972,3.304,84.842,6.943,7.027,192.75,37,0.455,0.947,3.751,0.968,2.442,3.448,23.228,0.0
4.424,1.507,1.79,1.546,4.74,1.471,1.315,1.577,3.375,1.74,1.579,0.886,1.401,1.751,0.658,3.089,1.642,3.31,3.091,225.173,0.938,236.683,3.591,4.111,1.793,1.393,3.582,24.432,1.181,621.0,13873.7,1.237,4.744,1.635,56.342,16.0,166.115,11.68,52,1.107,4.552,104,292.0,0.618,5.016,24.755,14.177,25,3.796,1.528,4.763,136.366,1.715,4.981,3.257,91,5.75,3.548,122.977,9.426,10.37,282.193,50,0.821,1.115,3.99,1.392,3.195,4.131,30.622,3.435
4.301,1.116,1.183,0.962,4.023,0.901,0.835,1.187,2.965,1.2,0.888,0.087,0.852,1.51,0.621,2.731,1.13,2.92,2.732,115.096,0.193,121.851,2.967,3.534,1.525,0.883,2.985,8.836,0.612,204.0,2558.33,0.53,2.525,1.132,31.827,9.0,101.586,7.067,28,0.664,3.879,38,106.0,-1.689,4.247,15.249,7.552,13,2.616,1.004,4.117,85.12,1.211,4.277,2.782,35,3.472,3.036,59.139,4.9,5.548,134.606,28,0.008,0.575,3.433,0.851,1.343,3.19,17.041,0.0
4.301,1.44,1.594,1.235,4.394,1.33,1.117,1.473,3.277,1.574,1.299,0.849,1.258,1.734,0.712,3.065,1.382,3.233,3.066,189.458,0.736,204.213,3.424,3.924,1.702,1.16,3.399,21.818,1.014,609.0,14449.6,0.917,4.341,1.384,46.917,14.5,164.603,11.88,43,1.048,4.266,109,297.0,0.313,4.657,24.893,13.509,17,3.668,1.182,4.496,118.921,1.526,4.605,3.001,84,5.556,3.379,124.116,7.943,9.26,226.477,42,0.809,0.823,3.837,1.148,2.163,3.547,28.329,2.353
4.301,1.789,1.532,1.429,4.805,1.386,1.169,1.843,3.335,1.686,1.513,1.153,1.342,1.994,0.633,3.028,1.513,3.26,3.03,165.172,0.825,204.101,3.673,4.128,2.013,1.22,3.664,19.123,1.301,463.0,11032.2,1.164,4.653,1.555,55.773,16.5,138.908,8.48,52,1.421,4.623,75,212.0,1.0,5.04,23.525,14.2,24,3.569,1.402,4.998,96.513,1.8,5.255,3.206,81,5.431,3.672,116.974,8.6,9.905,275.121,49,1.064,1.188,3.998,1.429,3.544,4.038,29.498,3.373
4.301,1.527,1.577,1.26,4.436,1.409,1.219,1.577,3.353,1.595,1.282,0.886,1.366,1.816,0.691,3.143,1.447,3.339,3.17,176.521,0.648,208.574,3.461,3.969,1.792,1.243,3.476,26.391,1.096,741.0,17305.8,1.065,5.048,1.474,48.03,15.75,142.256,13.308,45,1.107,4.304,124,346.0,1.073,4.671,26.138,13.953,17,4.018,1.296,4.564,187.842,1.606,4.745,3.145,106,5.806,3.514,132.381,7.483,10.591,233.329,43,0.821,0.862,3.863,1.206,2.333,3.847,28.896,5.482
4.301,1.749,1.74,1.58,4.897,1.512,1.373,1.809,3.509,1.714,1.617,1.027,1.472,1.967,0.654,3.268,1.653,3.449,3.259,256.658,1.026,302.711,3.682,4.275,1.981,1.438,3.687,28.975,1.364,734.0,20465.4,1.372,5.769,1.635,66.228,18.0,185.482,11.586,62,1.31,4.71,121,336.0,1.275,5.491,27.689,16.28,30,4.131,1.559,5.026,137.602,1.699,5.256,3.441,123,6.528,3.573,147.95,10.05,12.256,347.076,59,0.947,1.196,4.151,1.393,3.626,4.531,35.848,0.0
4.301,1.066,1.11,0.767,3.781,0.886,0.7,1.072,2.801,1.107,0.527,0.0,0.821,1.278,0.812,2.669,1.002,2.763,2.59,81.353,0.218,85.353,2.902,3.283,1.258,0.769,2.883,7.716,0.0,195.0,2329.83,0.602,2.589,0.947,24.177,9.25,75.353,6.333,23,0.0,3.687,34,95.0,-1.521,3.528,14.898,8.592,7,2.646,0.725,3.832,64.262,1.062,3.935,2.604,35,3.278,2.925,57.702,4.402,5.512,98.107,22,0.0,0.231,3.223,0.23,1.219,2.494,16.686,0.0
4.0,1.507,1.192,0.942,4.199,1.092,0.85,1.577,2.952,1.297,0.883,0.188,1.08,1.751,0.694,2.671,1.033,2.869,2.635,108.127,0.281,120.881,3.158,3.585,1.793,0.87,3.158,8.625,0.678,219.0,2762.32,0.65,3.009,0.991,32.328,10.0,94.842,6.25,31,0.644,4.054,38,100.0,-1.308,4.058,15.759,9.185,13,2.853,0.957,4.348,49.526,1.341,4.564,2.865,33,3.444,2.979,62.767,5.067,6.322,140.881,29,0.068,1.064,3.492,0.756,1.936,3.211,18.799,0.0
4.301,1.646,1.769,1.601,4.912,1.491,1.38,1.668,3.546,1.732,1.622,1.14,1.445,1.838,0.641,3.266,1.691,3.485,3.267,267.034,0.946,288.253,3.631,4.27,1.824,1.442,3.645,28.524,1.337,694.0,19981.2,1.381,5.596,1.677,65.441,19.75,203.291,10.8,61,1.348,4.733,104,324.0,1.116,5.373,27.666,16.893,28,3.925,1.593,4.971,110.597,1.716,5.164,3.387,154,6.75,3.581,150.706,10.883,12.168,339.763,58,1.064,0.988,4.163,1.429,3.687,4.349,35.465,0.0
