pXC50,Eig01_AEA.dm.,SpDiam_AEA.dm.,SpMax_AEA.dm.,NddssS,P_VSA_s_1,S.110,SddssS,SpMin1_Bh.v.,Eta_sh_x,SpMax3_Bh.v.,nSO2N,nS,P_VSA_i_1,ATSC3m,SpMax3_Bh.e.,MATS1m,SdO,CATS2D_06_AA,X3Av,X5Av,SpMin2_Bh.v.,X4Av,SpDiam_AEA.bo.,H.052,ATSC3p,Eig01_EA.bo.,SM11_AEA.ri.,SM12_EA.bo.,SM13_EA.bo.,SM14_EA.bo.,SM15_EA.bo.,SpDiam_EA.bo.,SpMax_EA.bo.,NdO,SpMax1_Bh.p.,MATS4e,SpMin1_Bh.i.,X2v,SM09_EA.bo.,SM10_EA.bo.,SM11_EA.bo.,SpMax4_Bh.p.,SpMax3_Bh.i.,nDB,SM13_EA.ed.,SM14_EA.ed.,SM15_EA.ed.,ATSC4m,GATS4e,ATS1m,SM05_EA.bo.,SM07_EA.bo.,N.068,SM06_EA.bo.,SM08_EA.bo.,SM12_AEA.ed.,SM13_AEA.ed.,SpMax3_Bh.s.,GATS4s,GATS3m,SM08_AEA.bo.,SpMax4_Bh.e.,MATS1p,Hypertens.50,SM11_AEA.ed.
4.523,4.727,6.727,4.727,1,5.807,1,-3.654,2.131,0.064,3.612,1,1,5.807,34.484,3.8,0.224,38.939,6,0.12,0.04,2.027,0.07,5.938,2,12.601,4.765,4.765,18.855,20.381,21.932,23.474,7.765,4.765,3,4.097,-0.238,2.013,8.728,14.244,15.808,17.304,3.487,3.83,3,33.985,36.595,39.203,37.426,1.482,3.775,8.164,11.204,1,9.921,12.814,24.647,26.648,6.999,1.803,1.258,13.319,3.626,-0.122,1,22.654
4.523,4.727,6.727,4.727,1,5.807,1,-3.633,2.131,0.062,3.633,1,2,38.027,37.627,3.788,0.193,39.019,6,0.136,0.049,2.024,0.082,5.938,2,13.605,4.765,4.765,18.855,20.381,21.932,23.474,7.765,4.765,3,4.098,-0.272,2.013,9.952,14.244,15.808,17.304,3.553,3.817,3,33.985,36.595,39.203,37.264,1.761,3.834,8.164,11.204,1,9.921,12.814,24.647,26.648,6.999,1.854,1.253,13.319,3.619,-0.055,1,22.654
4.523,4.727,6.727,4.727,1,5.807,1,-3.65,2.13,0.064,3.563,1,1,5.807,34.691,3.741,0.219,38.433,3,0.125,0.042,2.018,0.073,5.882,2,12.685,4.765,4.765,18.848,20.375,21.927,23.47,7.765,4.765,3,4.096,-0.183,2.012,8.882,14.232,15.798,17.295,3.453,3.796,3,33.976,36.588,39.198,41.664,1.513,3.75,8.146,11.188,2,9.902,12.8,24.593,26.6,6.999,1.608,1.303,13.282,3.636,-0.106,1,22.594
4.523,4.727,6.727,4.727,1,5.807,1,-3.616,2.13,0.075,3.546,1,1,5.807,27.43,3.698,0.229,37.422,3,0.123,0.043,2.015,0.073,5.882,2,10.528,4.765,4.765,18.848,20.375,21.927,23.469,7.765,4.765,3,4.096,-0.324,2.012,7.402,14.231,15.797,17.294,3.228,3.697,3,33.976,36.588,39.198,30.77,1.748,3.622,8.135,11.184,1,9.893,12.797,24.59,26.598,6.999,1.784,1.304,13.259,3.436,-0.082,1,22.589
4.523,4.727,6.727,4.727,1,5.807,1,-3.624,2.13,0.072,3.558,1,1,5.807,28.485,3.718,0.236,37.966,6,0.121,0.042,2.018,0.072,5.882,2,11.142,4.765,4.765,18.853,20.38,21.931,23.473,7.765,4.765,3,4.096,-0.309,2.012,8.023,14.241,15.805,17.301,3.294,3.727,3,33.979,36.59,39.2,35.695,1.796,3.657,8.158,11.199,1,9.909,12.809,24.625,26.629,6.999,1.859,1.325,13.294,3.51,-0.122,1,22.629
4.523,4.727,6.727,4.727,1,5.807,1,-3.649,2.139,0.099,3.815,1,1,5.807,32.133,3.917,0.222,39.087,7,0.115,0.038,2.1,0.067,5.938,2,12.947,4.765,4.765,18.876,20.398,21.945,23.483,7.765,4.765,3,4.099,-0.227,2.015,9.977,14.29,15.843,17.331,3.577,3.931,3,34.455,37.052,39.649,43.031,1.556,3.819,8.274,11.277,1,10.0,12.869,25.02,27.018,6.999,1.683,1.309,13.534,3.661,-0.101,1,23.027
4.523,4.727,6.727,4.727,1,5.807,1,-3.678,2.13,0.057,3.796,1,1,5.807,34.354,3.894,0.204,38.84,3,0.119,0.04,2.025,0.069,5.882,4,13.137,4.765,4.765,18.869,20.387,21.938,23.476,7.765,4.765,3,4.097,-0.237,2.012,9.184,14.263,15.838,17.314,3.6,3.929,3,33.976,36.588,39.198,37.961,1.623,3.833,8.203,11.233,1,10.018,12.871,24.602,26.607,6.999,1.717,1.276,13.362,3.693,-0.071,0,22.606
4.523,4.726,6.726,4.726,1,5.807,1,-3.529,2.129,0.069,3.67,1,1,5.807,32.634,3.826,0.233,37.699,3,0.122,0.041,2.012,0.071,5.879,4,11.856,4.76,4.76,18.835,20.361,21.911,23.453,7.76,4.76,3,4.094,-0.277,2.007,8.438,14.224,15.788,17.283,3.476,3.841,3,33.977,36.584,39.191,33.687,1.644,3.707,8.154,11.187,1,9.906,12.796,24.652,26.653,6.999,1.666,1.281,13.313,3.578,-0.1,1,22.659
4.523,4.727,6.727,4.727,1,5.807,1,-3.65,2.17,0.079,3.57,1,1,5.807,29.46,3.7,0.217,36.581,2,0.129,0.047,2.033,0.079,5.94,2,10.982,4.785,4.785,19.011,20.542,22.093,23.636,7.785,4.785,3,4.141,-0.228,2.089,7.487,14.376,15.947,17.455,3.215,3.687,3,33.974,36.587,39.197,33.963,1.514,3.593,8.21,11.299,1,9.97,12.919,24.581,26.59,6.999,1.573,1.261,13.255,3.346,-0.045,1,22.579
4.523,4.727,6.727,4.727,1,5.807,1,-3.65,2.17,0.079,3.57,1,1,5.807,29.46,3.7,0.217,36.581,2,0.129,0.047,2.033,0.079,5.94,2,10.982,4.785,4.785,19.011,20.542,22.093,23.636,7.785,4.785,3,4.141,-0.228,2.089,7.487,14.376,15.947,17.455,3.215,3.687,3,33.974,36.587,39.197,33.963,1.514,3.593,8.21,11.299,1,9.97,12.919,24.581,26.59,6.999,1.573,1.261,13.255,3.346,-0.045,1,22.579
4.654,4.727,6.727,4.727,1,5.807,1,-3.627,2.161,0.083,3.546,1,1,5.807,26.431,3.676,0.217,36.122,2,0.127,0.045,1.878,0.076,5.876,2,10.028,4.785,4.785,19.012,20.543,22.094,23.637,7.785,4.785,3,4.143,-0.266,2.086,7.134,14.376,15.948,17.456,3.204,3.66,3,33.977,36.59,39.2,29.645,1.602,3.561,8.212,11.3,1,9.97,12.92,24.583,26.592,6.999,1.698,1.335,13.256,3.314,-0.051,1,22.581
4.824,4.719,6.719,4.719,1,5.807,1,-3.901,2.164,0.084,3.524,1,1,5.807,14.412,3.643,0.202,35.624,2,0.102,0.033,1.883,0.057,5.751,0,6.61,4.888,4.888,19.258,20.807,22.376,23.938,7.888,4.888,3,4.154,-0.18,2.088,6.188,14.581,16.165,17.688,3.197,3.625,3,33.977,36.59,39.2,15.046,1.238,3.559,8.364,11.481,0,10.153,13.116,24.583,26.592,6.999,1.3,1.164,13.362,3.308,-0.068,0,22.581
4.523,4.727,6.727,4.727,1,5.807,1,-3.807,2.129,0.066,3.573,1,1,5.807,23.409,3.762,0.186,37.1,5,0.108,0.036,2.011,0.062,5.882,2,10.094,4.765,4.765,18.928,20.445,21.988,23.522,7.765,4.765,3,4.097,-0.301,2.014,8.078,14.348,15.903,17.386,3.392,3.834,3,33.982,36.592,39.201,28.577,1.403,3.775,8.304,11.329,1,10.072,12.936,24.645,26.644,6.999,1.469,1.354,13.42,3.629,-0.012,1,22.655
4.523,4.727,6.727,4.727,1,5.807,1,-3.894,2.14,0.072,3.554,1,1,5.807,22.938,3.729,0.191,58.441,5,0.114,0.038,2.027,0.067,5.882,2,9.872,4.765,4.765,18.937,20.456,21.997,23.532,7.765,4.765,5,4.096,-0.296,2.015,7.57,14.36,15.909,17.397,3.284,3.745,5,33.978,36.589,39.199,28.559,1.315,3.698,8.329,11.343,1,10.05,12.933,24.623,26.624,7.475,1.282,1.329,13.405,3.544,-0.01,1,22.63
4.523,4.727,6.727,4.727,1,5.807,1,-3.826,2.127,0.077,3.536,1,1,5.807,23.745,3.682,0.188,36.399,3,0.119,0.04,2.006,0.07,5.882,2,9.945,4.765,4.765,18.868,20.393,21.943,23.484,7.765,4.765,3,4.095,-0.25,2.01,7.273,14.261,15.823,17.318,3.21,3.672,3,33.976,36.588,39.198,27.473,1.247,3.629,8.192,11.224,1,9.933,12.83,24.589,26.597,7.475,1.273,1.364,13.296,3.359,-0.052,1,22.59
4.523,4.727,6.727,4.727,1,5.807,1,-3.747,2.125,0.074,3.538,1,1,5.807,25.179,3.68,0.13,36.548,3,0.124,0.042,2.004,0.073,5.882,2,9.993,4.765,4.765,18.868,20.393,21.943,23.484,7.765,4.765,3,4.096,-0.285,2.011,7.709,14.261,15.823,17.318,3.234,3.667,3,33.976,36.588,39.198,28.055,1.392,3.665,8.192,11.224,1,9.933,12.83,24.589,26.597,6.999,1.45,1.26,13.296,3.354,-0.061,1,22.59
4.523,4.727,6.727,4.727,1,5.807,1,-3.719,2.124,0.07,3.54,1,1,5.807,29.082,3.68,0.035,36.6,3,0.129,0.045,2.003,0.077,5.882,2,10.509,4.765,4.765,18.868,20.393,21.943,23.484,7.765,4.765,3,4.097,-0.293,2.011,8.188,14.261,15.823,17.318,3.26,3.666,3,33.976,36.588,39.198,28.956,1.445,3.755,8.192,11.224,1,9.933,12.83,24.589,26.597,6.999,1.473,1.008,13.296,3.351,-0.056,0,22.59
4.523,4.727,6.727,4.727,1,5.807,1,-3.706,2.124,0.068,3.543,1,1,62.589,33.253,3.679,0.01,36.624,3,0.133,0.047,2.002,0.079,5.882,2,11.831,4.765,4.765,18.868,20.393,21.943,23.484,7.765,4.765,3,4.115,-0.286,2.012,8.518,14.261,15.823,17.318,3.47,3.665,3,33.976,36.588,39.198,28.842,1.471,3.843,8.192,11.224,1,9.933,12.83,24.589,26.597,6.999,1.473,0.915,13.296,3.348,-0.036,0,22.59
4.523,4.727,6.727,4.727,1,5.807,1,-3.793,2.129,0.073,3.549,1,1,5.807,23.017,3.69,0.197,36.64,4,0.117,0.04,2.01,0.069,5.882,2,9.807,4.765,4.765,18.88,20.403,21.952,23.491,7.765,4.765,3,4.096,-0.295,2.014,7.455,14.278,15.839,17.331,3.286,3.686,3,33.976,36.588,39.198,27.671,1.449,3.645,8.21,11.244,1,9.963,12.852,24.595,26.601,6.999,1.396,1.367,13.35,3.408,-0.06,1,22.597
4.523,4.727,6.727,4.727,1,5.807,1,-3.751,2.127,0.073,3.538,1,1,5.807,25.446,3.686,0.205,36.724,3,0.119,0.04,2.008,0.07,5.882,2,10.3,4.765,4.765,18.871,20.396,21.945,23.485,7.765,4.765,3,4.095,-0.251,2.011,7.494,14.266,15.827,17.322,3.229,3.675,3,33.976,36.588,39.198,30.03,1.324,3.664,8.198,11.23,1,9.941,12.835,24.595,26.601,6.999,1.453,1.349,13.307,3.398,-0.081,1,22.597
6.131,4.727,6.727,4.727,1,5.807,1,-3.766,2.124,0.074,3.536,1,1,5.807,24.454,3.68,0.13,36.585,3,0.124,0.043,2.003,0.073,5.883,2,9.982,4.765,4.765,18.896,20.42,21.967,23.506,7.765,4.765,3,4.096,-0.293,2.011,7.644,14.293,15.853,17.348,3.22,3.667,3,33.989,36.599,39.207,30.655,1.448,3.665,8.21,11.253,1,9.952,12.858,24.634,26.639,6.999,1.48,1.199,13.317,3.35,-0.061,1,22.638
4.523,4.727,6.727,4.727,1,5.807,1,-3.798,2.125,0.068,3.542,1,1,5.807,26.445,3.693,0.199,36.97,4,0.114,0.038,2.006,0.066,5.883,2,10.758,4.765,4.765,18.924,20.445,21.99,23.526,7.765,4.765,3,4.095,-0.244,2.011,7.835,14.333,15.888,17.38,3.241,3.683,3,33.984,36.594,39.202,31.927,1.287,3.734,8.28,11.306,1,10.011,12.903,24.646,26.645,6.999,1.442,1.31,13.382,3.418,-0.108,1,22.655
4.523,4.727,6.727,4.727,1,5.807,1,-3.753,2.124,0.08,3.507,1,1,5.807,23.14,3.664,0.209,36.301,3,0.12,0.041,1.99,0.07,5.882,2,9.113,4.765,4.765,18.845,20.373,21.925,23.468,7.765,4.765,3,4.077,-0.131,1.994,7.01,14.227,15.794,17.292,3.21,3.659,3,33.974,36.587,39.197,26.68,1.31,3.596,8.129,11.179,1,9.887,12.793,24.581,26.59,6.999,1.414,1.362,13.248,3.346,-0.083,1,22.579
4.523,4.685,6.685,4.685,1,5.807,1,-3.835,2.08,0.08,3.537,1,1,5.807,21.61,3.694,0.181,35.028,2,0.118,0.042,2.002,0.071,5.751,2,8.566,4.703,4.703,18.697,20.209,21.748,23.276,7.703,4.703,3,4.068,-0.317,1.979,6.339,14.117,15.675,17.155,3.204,3.69,3,32.773,35.291,37.808,23.951,1.462,3.57,8.067,11.095,0,9.822,12.703,24.026,25.982,7.475,1.441,1.16,13.13,3.344,-0.019,1,22.076
4.523,4.685,6.685,4.685,1,5.807,1,-3.743,2.079,0.077,3.538,1,1,5.807,23.443,3.694,0.124,35.151,2,0.126,0.044,1.998,0.076,5.749,2,8.773,4.703,4.703,18.676,20.19,21.732,23.262,7.703,4.703,3,4.068,-0.253,1.979,6.814,14.089,15.65,17.131,3.215,3.689,3,32.767,35.287,37.804,24.543,1.326,3.608,8.046,11.066,0,9.802,12.677,23.973,25.934,6.999,1.352,1.155,13.107,3.347,-0.026,1,22.018
4.523,4.685,6.685,4.685,1,5.807,1,-3.734,2.079,0.077,3.538,1,1,5.807,23.443,3.694,0.124,35.133,2,0.128,0.044,1.998,0.075,5.748,2,8.773,4.703,4.703,18.672,20.187,21.729,23.26,7.703,4.703,3,4.068,-0.268,1.979,6.811,14.085,15.645,17.127,3.223,3.689,3,32.767,35.286,37.804,25.257,1.341,3.608,8.046,11.062,0,9.8,12.673,23.969,25.931,6.999,1.365,1.155,13.106,3.35,-0.026,1,22.015
4.523,4.685,6.685,4.685,1,5.807,1,-3.747,2.08,0.076,3.538,1,1,5.807,22.94,3.695,0.198,35.296,2,0.12,0.042,2.007,0.071,5.75,2,8.868,4.703,4.703,18.68,20.193,21.734,23.264,7.703,4.703,3,4.068,-0.218,1.979,6.599,14.094,15.654,17.135,3.213,3.692,3,32.768,35.287,37.805,25.749,1.249,3.607,8.053,11.072,0,9.81,12.683,23.982,25.942,6.999,1.33,1.192,13.12,3.373,-0.054,1,22.03
4.523,4.685,6.685,4.685,1,5.807,1,-3.737,2.08,0.076,3.538,1,1,5.807,22.94,3.696,0.198,35.253,2,0.121,0.041,2.007,0.072,5.749,2,8.868,4.703,4.703,18.675,20.189,21.731,23.261,7.703,4.703,3,4.068,-0.234,1.979,6.596,14.09,15.65,17.13,3.22,3.692,3,32.767,35.287,37.804,25.755,1.265,3.607,8.053,11.069,0,9.809,12.679,23.978,25.939,6.999,1.34,1.192,13.118,3.388,-0.054,1,22.026
4.523,4.685,6.685,4.685,1,5.807,1,-3.79,2.081,0.062,3.767,1,1,5.807,27.219,3.833,0.182,35.768,2,0.111,0.036,2.024,0.063,5.752,2,10.719,4.703,4.703,18.708,20.21,21.751,23.275,7.703,4.703,3,4.069,-0.23,1.979,7.81,14.134,15.704,17.161,3.595,3.865,3,32.77,35.288,37.806,28.848,1.394,3.762,8.127,11.129,0,9.944,12.767,24.008,25.962,6.999,1.364,1.181,13.234,3.692,-0.032,0,22.063
4.523,4.685,6.685,4.685,1,5.807,1,-3.708,2.083,0.079,3.541,1,1,5.807,23.056,3.697,0.204,35.186,2,0.126,0.044,2.025,0.074,5.748,2,9.073,4.703,4.703,18.672,20.187,21.729,23.26,7.703,4.703,3,4.069,-0.189,1.98,6.733,14.085,15.645,17.127,3.268,3.697,3,32.767,35.286,37.804,27.123,1.274,3.561,8.046,11.062,0,9.8,12.673,23.969,25.931,6.999,1.276,1.196,13.106,3.393,-0.016,1,22.015
4.523,4.731,6.731,4.731,1,5.807,1,-3.761,2.131,0.079,3.504,1,1,5.807,23.965,3.647,0.212,36.762,3,0.118,0.042,1.999,0.071,5.913,2,9.615,4.784,4.784,18.889,20.422,21.978,23.526,7.784,4.784,3,4.102,-0.267,2.017,7.005,14.259,15.829,17.332,3.333,3.632,3,34.298,36.935,39.569,27.619,1.431,3.589,8.141,11.201,0,9.902,12.818,24.697,26.714,6.999,1.377,1.143,13.272,3.453,-0.054,1,22.686
4.523,4.687,6.687,4.687,1,5.807,1,-3.851,2.151,0.075,3.541,1,1,5.807,16.949,3.686,0.191,35.787,2,0.106,0.034,2.045,0.06,5.69,0,7.968,4.714,4.714,18.961,20.465,21.999,23.519,7.714,4.714,3,4.104,-0.193,2.061,6.683,14.379,15.946,17.418,3.346,3.673,3,32.89,35.414,37.937,21.635,1.239,3.607,8.285,11.342,0,10.088,12.974,24.093,26.046,6.999,1.179,1.07,13.291,3.422,-0.011,1,22.148
6.081,4.722,6.722,4.722,1,5.807,1,-3.863,2.099,0.073,3.479,1,1,5.807,19.854,3.598,0.025,36.821,2,0.112,0.037,1.976,0.06,5.808,0,7.826,4.996,4.996,19.511,21.087,22.679,24.266,7.996,4.996,3,4.184,-0.255,2.005,7.35,14.762,16.367,17.919,3.294,3.586,3,34.378,37.014,39.649,21.706,1.406,3.724,8.458,11.615,0,10.253,13.265,24.776,26.791,6.999,1.417,1.032,13.459,3.44,-0.076,0,22.767
4.523,4.732,6.732,4.732,1,5.807,1,-3.74,2.137,0.075,3.539,1,1,5.807,26.786,3.681,0.211,36.906,3,0.124,0.042,2.011,0.074,5.9,5,10.525,4.771,4.771,18.871,20.4,21.952,23.495,7.771,4.771,3,4.1,-0.24,2.018,7.464,14.255,15.82,17.318,3.239,3.674,3,34.272,36.905,39.535,32.727,1.378,3.62,8.162,11.208,1,9.912,12.819,24.735,26.747,6.999,1.365,1.233,13.307,3.371,-0.047,1,22.73
4.523,4.731,6.731,4.731,1,5.807,1,-3.74,2.136,0.075,3.548,1,1,5.807,26.519,3.686,0.211,36.906,3,0.124,0.042,2.01,0.073,5.897,5,10.526,4.77,4.77,18.859,20.388,21.941,23.485,7.77,4.77,3,4.099,-0.212,2.016,7.596,14.24,15.806,17.305,3.323,3.686,3,34.224,36.855,39.485,34.636,1.339,3.62,8.149,11.193,1,9.901,12.805,24.68,26.694,6.999,1.326,1.269,13.288,3.444,-0.047,1,22.675
4.523,4.727,6.727,4.727,1,5.807,1,-3.744,2.13,0.076,3.537,1,1,5.807,25.082,3.683,0.191,36.552,3,0.119,0.041,2.012,0.07,5.883,2,9.972,4.765,4.765,18.896,20.42,21.967,23.505,7.765,4.765,3,4.095,-0.285,2.011,7.344,14.293,15.853,17.348,3.212,3.677,3,33.987,36.596,39.205,29.706,1.429,3.623,8.21,11.253,1,9.952,12.858,24.634,26.638,6.999,1.431,1.326,13.317,3.35,0.004,1,22.637
4.609,4.727,6.727,4.727,1,5.807,1,-3.894,2.143,0.072,3.546,1,1,5.807,23.075,3.713,0.191,58.813,5,0.113,0.038,2.027,0.066,5.884,2,9.872,4.765,4.765,18.986,20.505,22.046,23.579,7.765,4.765,5,4.097,-0.306,2.017,7.531,14.401,15.953,17.444,3.218,3.72,5,34.008,36.614,39.219,27.565,1.324,3.698,8.345,11.374,1,10.069,12.967,24.688,26.687,7.475,1.269,1.299,13.426,3.504,-0.01,1,22.696
4.523,4.727,6.727,4.727,1,5.807,1,-3.747,2.124,0.074,3.537,1,1,5.807,24.454,3.68,0.13,36.548,3,0.124,0.042,2.003,0.074,5.883,2,9.982,4.765,4.765,18.896,20.42,21.967,23.505,7.765,4.765,3,4.096,-0.327,2.011,7.644,14.293,15.853,17.348,3.212,3.667,3,33.987,36.596,39.205,30.413,1.481,3.665,8.21,11.253,1,9.952,12.858,24.634,26.638,6.999,1.485,1.199,13.317,3.347,-0.061,1,22.637
4.523,4.727,6.727,4.727,1,5.807,1,-3.719,2.123,0.07,3.538,1,1,5.807,25.617,3.679,0.035,36.6,3,0.132,0.044,2.002,0.079,5.883,2,10.453,4.765,4.765,18.896,20.42,21.967,23.505,7.765,4.765,3,4.097,-0.324,2.012,8.091,14.293,15.853,17.348,3.215,3.666,3,33.987,36.596,39.205,37.494,1.489,3.755,8.21,11.253,1,9.952,12.858,24.634,26.638,6.999,1.481,0.956,13.317,3.347,-0.056,0,22.637
4.523,4.727,6.727,4.727,1,5.807,1,-3.706,2.122,0.068,3.54,1,1,62.589,25.368,3.679,0.01,36.624,3,0.138,0.045,2.001,0.083,5.883,2,11.534,4.765,4.765,18.896,20.42,21.967,23.505,7.765,4.765,3,4.122,-0.295,2.012,8.399,14.293,15.853,17.348,3.403,3.666,3,33.987,36.596,39.205,44.676,1.473,3.843,8.21,11.253,1,9.952,12.858,24.634,26.638,6.999,1.474,0.879,13.317,3.347,-0.036,0,22.637
4.592,4.727,6.727,4.727,1,5.807,1,-3.785,2.126,0.076,3.535,1,1,5.807,24.358,3.681,0.183,36.476,3,0.118,0.04,2.006,0.07,5.883,2,9.983,4.765,4.765,18.896,20.42,21.967,23.505,7.765,4.765,3,4.094,-0.304,2.01,7.274,14.293,15.853,17.348,3.211,3.668,3,33.987,36.596,39.205,28.657,1.438,3.626,8.21,11.253,1,9.952,12.858,24.634,26.638,6.999,1.443,1.327,13.317,3.348,-0.012,1,22.637
4.523,4.727,6.727,4.727,1,5.807,1,-3.751,2.127,0.073,3.537,1,1,5.807,25.444,3.684,0.205,36.724,3,0.117,0.04,2.008,0.069,5.884,2,10.299,4.765,4.765,18.901,20.425,21.971,23.51,7.765,4.765,3,4.095,-0.294,2.011,7.457,14.299,15.859,17.354,3.212,3.673,3,33.992,36.601,39.208,29.942,1.442,3.664,8.216,11.26,1,9.96,12.864,24.646,26.649,6.999,1.47,1.314,13.328,3.355,-0.081,1,22.651
4.523,4.727,6.727,4.727,1,5.807,1,-3.701,2.133,0.075,3.547,1,1,5.807,25.701,3.691,0.211,36.587,3,0.123,0.042,2.017,0.072,5.882,2,10.466,4.765,4.765,18.868,20.393,21.943,23.483,7.765,4.765,3,4.097,-0.229,2.015,7.632,14.261,15.823,17.318,3.271,3.69,3,33.975,36.587,39.198,31.687,1.384,3.62,8.192,11.224,1,9.933,12.83,24.589,26.597,6.999,1.397,1.352,13.296,3.395,-0.047,1,22.59
4.523,4.727,6.727,4.727,1,5.807,1,-3.851,2.14,0.072,3.555,1,1,5.807,22.938,3.73,0.191,58.254,4,0.114,0.039,2.027,0.067,5.882,2,9.872,4.765,4.765,18.937,20.456,21.997,23.532,7.765,4.765,5,4.096,-0.296,2.015,7.57,14.36,15.909,17.397,3.271,3.746,5,33.978,36.589,39.199,28.559,1.315,3.698,8.329,11.343,1,10.05,12.933,24.623,26.624,7.475,1.281,1.329,13.405,3.535,-0.01,1,22.63
4.754,4.727,6.727,4.727,1,5.807,1,-3.771,2.129,0.073,3.55,1,1,5.807,23.017,3.691,0.197,36.597,3,0.117,0.04,2.01,0.069,5.882,2,9.807,4.765,4.765,18.88,20.403,21.952,23.491,7.765,4.765,3,4.096,-0.295,2.014,7.455,14.278,15.839,17.331,3.273,3.687,3,33.976,36.588,39.198,27.671,1.449,3.645,8.21,11.244,1,9.963,12.852,24.595,26.601,6.999,1.395,1.367,13.35,3.398,-0.06,1,22.597
5.126,4.727,6.727,4.727,1,5.807,1,-3.734,2.125,0.074,3.539,1,1,5.807,25.179,3.681,0.13,36.522,3,0.124,0.043,2.003,0.073,5.882,2,9.993,4.765,4.765,18.868,20.393,21.943,23.483,7.765,4.765,3,4.096,-0.285,2.011,7.709,14.261,15.823,17.318,3.228,3.667,3,33.975,36.587,39.198,28.055,1.392,3.665,8.192,11.224,1,9.933,12.83,24.589,26.597,6.999,1.449,1.26,13.296,3.352,-0.061,1,22.59
4.523,4.727,6.727,4.727,1,5.807,1,-3.713,2.125,0.07,3.54,1,1,5.807,29.082,3.68,0.035,36.564,3,0.129,0.046,2.002,0.076,5.882,2,10.509,4.765,4.765,18.868,20.393,21.943,23.483,7.765,4.765,3,4.097,-0.293,2.011,8.188,14.261,15.823,17.318,3.249,3.666,3,33.975,36.587,39.198,28.956,1.445,3.755,8.192,11.224,1,9.933,12.83,24.589,26.597,6.999,1.472,1.008,13.296,3.35,-0.056,0,22.59
4.857,4.727,6.727,4.727,1,5.807,1,-3.703,2.124,0.068,3.544,1,1,62.589,33.253,3.679,0.01,36.583,3,0.133,0.048,2.001,0.079,5.882,2,11.831,4.765,4.765,18.868,20.393,21.943,23.483,7.765,4.765,3,4.115,-0.286,2.012,8.518,14.261,15.823,17.318,3.458,3.665,3,33.975,36.587,39.198,28.842,1.471,3.843,8.192,11.224,1,9.933,12.83,24.589,26.597,6.999,1.473,0.915,13.296,3.348,-0.036,0,22.59
4.523,4.727,6.727,4.727,1,5.807,1,-3.763,2.126,0.076,3.535,1,1,5.807,24.342,3.682,0.183,36.465,3,0.119,0.041,2.006,0.07,5.882,2,9.983,4.765,4.765,18.868,20.393,21.943,23.483,7.765,4.765,3,4.095,-0.255,2.01,7.313,14.261,15.823,17.318,3.211,3.669,3,33.975,36.587,39.198,28.97,1.319,3.626,8.192,11.224,1,9.933,12.83,24.589,26.597,6.999,1.35,1.361,13.296,3.358,-0.012,1,22.59
4.523,4.727,6.727,4.727,1,5.807,1,-3.738,2.127,0.073,3.538,1,1,5.807,25.446,3.686,0.205,36.667,4,0.119,0.04,2.008,0.07,5.882,2,10.3,4.765,4.765,18.871,20.396,21.945,23.485,7.765,4.765,3,4.095,-0.251,2.011,7.494,14.266,15.827,17.321,3.225,3.676,3,33.976,36.588,39.198,30.03,1.324,3.664,8.198,11.23,1,9.941,12.835,24.595,26.601,6.999,1.453,1.349,13.307,3.39,-0.081,1,22.597
4.523,4.727,6.727,4.727,1,5.807,1,-3.704,2.133,0.075,3.547,1,1,5.807,25.701,3.69,0.211,36.629,3,0.123,0.042,2.017,0.072,5.882,2,10.466,4.765,4.765,18.868,20.393,21.943,23.484,7.765,4.765,3,4.097,-0.229,2.015,7.632,14.261,15.823,17.318,3.284,3.689,3,33.976,36.588,39.198,31.687,1.384,3.62,8.192,11.224,1,9.933,12.83,24.589,26.597,6.999,1.398,1.352,13.296,3.405,-0.047,1,22.59
4.523,4.727,6.727,4.727,1,5.807,1,-3.762,2.129,0.072,3.554,1,1,5.807,23.753,3.69,0.203,36.701,3,0.118,0.04,2.01,0.069,5.882,2,10.01,4.765,4.765,18.88,20.403,21.952,23.491,7.765,4.765,3,4.097,-0.271,2.015,7.487,14.278,15.839,17.331,3.332,3.685,3,33.976,36.588,39.198,28.278,1.452,3.642,8.21,11.244,1,9.963,12.852,24.595,26.601,6.999,1.451,1.367,13.35,3.415,-0.058,0,22.597
4.523,4.727,6.727,4.727,1,5.807,1,-3.904,2.13,0.082,3.821,1,1,5.807,26.242,3.889,0.138,37.433,3,0.106,0.034,2.019,0.06,5.882,2,12.666,4.765,4.765,18.946,20.449,21.993,23.522,7.765,4.765,3,4.1,-0.157,2.018,9.665,14.377,15.943,17.399,3.597,3.911,3,33.999,36.605,39.211,31.13,0.956,3.967,8.407,11.385,1,10.2,13.013,24.717,26.705,7.999,1.009,1.241,13.629,3.684,-0.053,0,22.739
4.523,4.727,6.727,4.727,1,5.807,1,-3.599,2.101,0.097,3.412,1,1,5.807,22.753,3.561,0.229,35.359,3,0.135,0.049,1.94,0.083,5.83,2,8.213,4.764,4.764,18.777,20.321,21.879,23.432,7.764,4.764,3,4.083,-0.348,1.991,5.894,14.123,15.691,17.217,2.979,3.528,4,33.954,36.567,39.177,25.014,1.593,3.435,7.951,11.038,1,9.672,12.641,24.512,26.533,6.999,1.591,1.368,13.062,3.226,-0.082,0,22.496
