pXC50,nDB,RBN,nN,N.,Mp,X.,RBF,nO,nX,C.,SCBO,Mv,Si,nH,Sv,Se,nAT,Sp,nSK,nAB,nBT,AMW,O.,nHet,Mi,nBO
8.699,4,12,5,5.7,0.672,4.6,0.133,4,4,37.9,59.0,0.63,98.409,41,54.812,87.785,87,58.506,46,12,90,8.202,4.6,13,1.131,49
8.011,2,10,3,3.6,0.646,2.4,0.115,5,2,41.0,59.0,0.619,94.11,39,51.414,83.756,83,53.631,44,18,87,7.322,6.0,10,1.134,48
7.305,9,28,10,8.3,0.627,0.0,0.23,9,0,33.9,77.0,0.595,138.168,60,72.004,122.13,121,75.83,61,12,122,7.183,7.4,20,1.142,62
6.903,5,16,6,6.5,0.648,0.0,0.167,6,0,39.8,68.0,0.617,105.135,44,57.426,93.363,93,60.228,49,22,96,7.192,6.5,12,1.13,52
7.402,6,21,6,6.0,0.636,0.0,0.206,7,0,36.0,64.0,0.599,113.51,50,59.909,100.418,100,63.614,50,12,102,7.11,7.0,14,1.135,52
8.064,2,10,3,3.6,0.658,1.2,0.115,5,1,41.0,58.0,0.62,93.375,40,51.475,83.054,83,54.614,43,18,87,7.304,6.0,9,1.125,47
5.8,8,24,11,7.9,0.623,0.0,0.168,8,0,35.3,88.0,0.588,158.613,71,81.758,139.246,139,86.541,68,16,143,6.779,5.8,19,1.141,72
4.8,8,23,12,9.9,0.624,0.0,0.185,7,0,34.7,80.0,0.594,138.41,60,71.904,121.719,121,75.524,61,16,124,6.985,5.8,19,1.144,64
7.87,2,10,3,3.6,0.668,3.6,0.115,5,3,41.0,60.0,0.635,93.658,38,52.686,83.89,83,55.409,45,18,87,7.936,6.0,11,1.128,49
8.059,2,10,3,3.2,0.662,2.1,0.101,6,2,40.4,65.0,0.623,105.774,45,58.598,94.356,94,62.211,49,18,99,7.561,6.4,11,1.125,54
8.089,2,10,4,4.9,0.667,2.4,0.116,5,2,40.2,59.0,0.632,92.402,38,51.797,82.596,82,54.716,44,18,86,7.825,6.1,11,1.127,48
5.3,9,22,12,9.2,0.626,0.0,0.163,9,0,35.1,88.0,0.598,149.659,64,78.387,132.141,131,81.955,67,16,135,7.093,6.9,21,1.142,71
4.7,8,22,12,9.1,0.632,0.0,0.162,7,0,34.8,86.0,0.596,150.576,66,78.671,132.446,132,83.455,66,16,136,7.055,5.3,20,1.141,70
7.633,2,10,3,3.6,0.647,1.2,0.115,5,1,41.0,58.0,0.615,93.77,40,51.031,83.243,83,53.694,43,18,87,7.106,6.0,9,1.13,47
8.346,2,10,4,4.1,0.658,2.0,0.097,5,2,39.8,66.0,0.617,110.478,48,60.431,98.014,98,64.523,50,18,103,7.386,5.1,11,1.127,55
8.312,2,10,4,4.9,0.667,2.4,0.116,5,2,40.2,59.0,0.632,92.402,38,51.797,82.596,82,54.716,44,18,86,7.825,6.1,11,1.127,48
8.071,2,11,3,3.4,0.663,2.3,0.121,6,2,40.2,61.0,0.627,97.943,41,54.544,87.589,87,57.688,46,18,91,7.709,6.9,11,1.126,50
4.7,8,22,12,9.4,0.625,0.0,0.167,7,0,35.2,84.0,0.593,146.241,64,75.957,128.486,128,80.046,64,16,132,6.916,5.5,19,1.143,68
5.6,9,24,10,7.3,0.625,0.0,0.17,10,0,35.8,90.0,0.596,156.118,68,81.639,137.915,137,85.683,69,16,141,6.987,7.3,20,1.14,73
7.796,3,17,4,3.6,0.654,0.0,0.147,8,0,41.8,81.0,0.622,123.633,52,68.447,110.232,110,71.932,58,28,116,7.173,7.3,12,1.124,64
6.836,2,12,4,4.0,0.661,1.0,0.112,7,1,43.0,78.0,0.635,112.518,45,63.535,100.767,100,66.131,55,28,107,7.489,7.0,12,1.125,62
8.585,3,8,5,6.7,0.681,0.0,0.101,3,0,45.3,62.5,0.648,83.933,33,48.627,74.861,75,51.052,42,23,79,7.463,4.0,8,1.119,46
9.0,3,8,5,6.7,0.681,0.0,0.101,3,0,45.3,62.5,0.648,83.933,33,48.627,74.861,75,51.052,42,23,79,7.463,4.0,8,1.119,46
8.121,3,16,4,3.9,0.661,2.0,0.15,7,2,40.2,73.0,0.626,114.897,48,63.861,102.669,102,67.432,54,22,107,7.645,6.9,13,1.126,59
5.0,10,19,12,9.0,0.627,0.0,0.141,9,0,33.8,85.0,0.595,151.995,66,79.101,134.101,133,83.364,67,12,135,7.153,6.8,22,1.143,69
8.184,2,12,4,4.0,0.663,1.0,0.111,5,1,43.6,77.0,0.63,113.514,47,63.632,100.996,101,66.984,54,28,108,7.237,5.0,10,1.124,61
8.165,2,12,4,4.0,0.661,1.0,0.112,7,1,43.0,78.0,0.635,112.518,45,63.535,100.767,100,66.131,55,28,107,7.489,7.0,12,1.125,62
8.138,2,10,4,4.8,0.675,2.4,0.112,5,2,41.7,64.0,0.64,94.402,38,53.797,84.596,84,56.716,46,22,89,7.925,6.0,11,1.124,51
8.2,2,7,4,5.1,0.675,2.5,0.084,2,2,41.8,56.0,0.629,88.774,38,49.653,78.614,79,53.353,41,18,83,7.515,2.5,8,1.124,45
8.167,3,8,4,5.4,0.672,1.4,0.103,3,1,44.6,59.5,0.642,83.189,33,47.515,74.156,74,49.745,41,23,78,7.469,4.1,8,1.124,45
8.301,9,19,11,8.1,0.625,0.0,0.139,8,0,34.1,83.0,0.588,154.117,69,79.418,135.439,135,84.427,66,12,137,6.936,5.9,20,1.142,68
7.1,2,7,4,5.1,0.671,10.1,0.084,2,8,41.8,62.0,0.658,90.812,32,51.952,81.69,79,52.978,47,18,83,8.881,2.5,14,1.15,51
8.62,3,8,5,6.7,0.681,0.0,0.101,3,0,45.3,62.5,0.648,83.933,33,48.627,74.861,75,51.052,42,23,79,7.463,4.0,8,1.119,46
7.585,2,14,4,4.1,0.644,0.0,0.137,6,0,40.2,67.0,0.608,109.384,48,58.964,96.81,97,62.501,49,22,102,6.896,6.2,10,1.128,54
6.796,9,19,11,8.0,0.625,0.0,0.136,8,0,34.1,84.0,0.587,157.533,71,80.945,138.323,138,86.188,67,12,140,6.887,5.8,20,1.142,69
4.678,3,8,5,6.6,0.669,0.0,0.1,3,0,43.4,59.5,0.634,85.348,35,48.153,75.745,76,50.813,41,23,80,7.233,3.9,8,1.123,45
8.222,4,10,4,5.0,0.668,0.0,0.119,5,0,43.8,63.5,0.639,89.683,36,51.088,80.181,80,53.478,44,23,84,7.409,6.3,9,1.121,48
4.8,8,25,10,7.1,0.622,0.0,0.172,9,0,35.5,89.0,0.588,160.739,72,82.978,141.355,141,87.751,69,16,145,6.79,6.4,19,1.14,73
6.214,2,11,4,4.3,0.667,1.1,0.111,4,1,44.1,72.0,0.633,104.475,43,58.864,92.901,93,62.006,50,28,99,7.257,4.3,9,1.123,56
8.131,2,16,4,3.8,0.637,0.0,0.145,8,0,39.0,71.0,0.604,118.633,52,63.447,105.232,105,66.932,53,22,110,6.943,7.6,12,1.13,58
7.638,3,14,4,3.9,0.66,0.0,0.128,7,0,42.7,78.0,0.628,115.593,48,64.679,103.138,103,67.955,55,28,109,7.233,6.8,11,1.122,61
8.184,2,12,4,4.0,0.677,3.0,0.113,5,3,43.0,77.0,0.643,112.402,45,64.287,100.643,100,67.699,55,28,106,7.878,5.0,12,1.124,61
7.921,2,14,4,4.1,0.655,0.0,0.135,7,0,41.8,73.5,0.624,110.178,46,61.152,98.254,98,64.194,52,27,104,7.213,7.1,11,1.124,58
7.569,2,12,5,5.2,0.662,0.0,0.118,5,0,42.7,73.0,0.627,107.843,45,60.217,95.818,96,63.529,51,28,102,7.166,5.2,10,1.123,57
5.907,2,17,4,3.5,0.649,0.9,0.142,7,1,41.2,81.0,0.616,128.594,55,70.169,114.185,114,73.938,59,28,120,7.079,6.1,12,1.128,65
7.036,2,12,4,4.1,0.68,3.1,0.117,5,3,43.3,76.0,0.647,108.987,43,62.761,97.759,97,65.938,54,28,103,7.977,5.2,12,1.124,60
8.228,2,17,4,3.5,0.649,0.9,0.142,7,1,41.2,81.0,0.616,128.594,55,70.169,114.185,114,73.938,59,28,120,7.079,6.1,12,1.128,65
7.444,2,10,4,4.8,0.655,0.0,0.112,5,0,41.7,62.0,0.621,94.514,40,52.142,83.949,84,55.0,44,22,89,7.105,6.0,9,1.125,49
7.432,2,12,5,5.2,0.662,0.0,0.118,5,0,42.7,73.0,0.627,107.843,45,60.217,95.818,96,63.529,51,28,102,7.166,5.2,10,1.123,57
7.215,9,30,10,7.8,0.61,0.0,0.234,11,0,31.3,74.0,0.578,146.832,66,74.014,129.436,128,78.023,62,6,128,6.994,8.6,22,1.147,62
7.066,6,22,7,7.1,0.615,0.0,0.222,6,0,32.3,55.0,0.573,113.214,53,56.742,99.076,99,60.927,46,6,99,6.707,6.1,14,1.144,46
5.282,6,21,7,6.3,0.635,0.0,0.184,6,0,36.0,69.0,0.593,126.045,57,65.796,110.843,111,70.45,54,12,114,6.884,5.4,14,1.136,57
4.424,6,21,7,6.3,0.635,0.0,0.184,6,0,36.0,69.0,0.593,126.045,57,65.796,110.843,111,70.45,54,12,114,6.884,5.4,14,1.136,57
5.428,6,21,7,6.3,0.635,0.0,0.184,6,0,36.0,69.0,0.593,126.045,57,65.796,110.843,111,70.45,54,12,114,6.884,5.4,14,1.136,57
9.569,3,3,3,4.5,0.67,9.1,0.043,2,6,45.5,57.0,0.669,75.765,25,44.169,68.407,66,44.211,41,18,70,8.691,3.0,11,1.148,45
7.481,0,6,2,3.2,0.665,4.8,0.091,0,3,45.2,46.0,0.631,70.244,29,39.095,61.996,62,41.245,33,18,66,7.268,0.0,5,1.133,37
8.921,0,7,2,3.2,0.665,0.0,0.104,1,0,44.4,44.0,0.614,70.434,32,38.66,61.785,63,41.887,31,18,67,6.55,1.6,3,1.118,35
5.959,0,8,2,3.1,0.678,1.5,0.116,0,1,44.6,45.0,0.62,72.584,33,40.299,63.665,65,44.052,32,18,69,6.848,0.0,3,1.117,36
6.644,0,6,2,3.2,0.668,0.0,0.091,0,0,45.2,43.0,0.612,69.225,32,37.945,60.458,62,41.432,30,18,66,6.397,0.0,2,1.117,34
5.101,6,12,6,8.1,0.691,0.0,0.156,5,0,37.8,60.0,0.65,83.194,32,48.112,74.963,74,51.148,42,18,77,8.498,6.8,14,1.124,45
5.777,4,7,5,8.5,0.689,0.0,0.113,3,0,42.4,50.0,0.656,66.192,25,38.706,59.403,59,40.654,34,18,62,8.061,5.1,9,1.122,37
9.056,2,12,5,6.0,0.652,0.0,0.138,3,0,41.0,59.0,0.611,93.593,41,50.734,82.396,83,54.097,42,22,87,6.841,3.6,8,1.128,46
8.071,0,6,2,3.4,0.687,1.7,0.095,0,1,45.8,43.0,0.631,65.753,29,37.245,57.898,59,40.529,30,18,63,7.068,0.0,3,1.114,34
7.284,0,6,2,3.4,0.672,0.0,0.095,0,0,45.8,42.0,0.617,65.809,30,36.418,57.574,59,39.671,29,18,63,6.485,0.0,2,1.115,33
5.0,1,5,2,3.4,0.693,1.7,0.081,1,1,46.6,45.0,0.645,64.548,27,37.433,57.341,58,40.222,31,18,62,7.431,1.7,4,1.113,35
7.16,1,3,2,3.8,0.672,11.5,0.055,2,6,46.2,47.0,0.684,60.021,18,35.567,54.654,52,34.921,34,18,55,9.239,3.8,10,1.154,37
9.418,1,5,4,5.1,0.66,8.9,0.06,2,7,41.8,61.0,0.647,90.868,33,51.125,81.367,79,52.12,46,18,84,8.445,2.5,13,1.15,51
9.65,1,5,4,5.1,0.649,7.6,0.06,2,6,41.8,60.0,0.637,90.924,34,50.297,81.043,79,51.262,45,18,84,8.009,2.5,12,1.151,50
7.59,0,4,1,2.4,0.681,14.6,0.093,1,6,48.8,39.0,0.702,47.483,13,28.777,43.458,41,27.938,28,18,43,9.691,2.4,8,1.158,30
8.58,1,4,3,4.6,0.656,9.2,0.058,3,6,43.1,54.0,0.66,74.974,25,42.884,67.734,65,42.665,40,18,69,8.701,4.6,12,1.153,44
8.631,1,5,4,4.9,0.647,7.3,0.057,2,6,41.5,61.0,0.632,94.339,36,51.824,83.926,82,53.023,46,18,87,7.887,2.4,12,1.15,51
7.4,5,21,9,7.1,0.669,0.0,0.157,5,0,41.7,98.5,0.631,142.832,59,80.124,126.719,127,85.007,68,37,134,7.357,3.9,15,1.125,75
8.201,2,8,2,2.2,0.676,2.2,0.084,3,2,41.1,61.0,0.621,100.775,45,55.882,89.29,90,60.87,45,18,95,7.431,3.3,8,1.12,50
6.44,12,38,14,7.5,0.62,0.0,0.2,12,0,33.9,112.0,0.584,212.432,96,108.663,186.657,186,115.399,90,12,190,6.848,6.5,27,1.142,94
5.5,11,27,13,9.0,0.622,0.0,0.181,11,0,34.5,97.0,0.596,165.822,71,86.418,146.548,145,90.154,74,16,149,7.106,7.6,24,1.144,78
7.699,16,42,18,9.1,0.615,0.0,0.209,15,0,32.3,123.0,0.585,227.054,100,115.893,200.046,198,121.785,98,12,201,7.04,7.6,34,1.147,101
6.0,9,27,9,6.0,0.634,0.0,0.175,11,0,37.6,101.0,0.603,169.075,73,89.913,149.792,149,94.416,76,22,154,7.036,7.4,20,1.135,81
4.5,9,25,12,8.5,0.63,0.0,0.172,9,0,34.8,92.0,0.597,160.825,70,84.154,141.868,141,88.887,71,16,145,7.116,6.4,22,1.141,75
6.4,9,31,14,9.3,0.63,0.0,0.201,8,0,36.0,102.0,0.599,171.107,74,89.822,150.552,150,94.558,76,26,154,6.983,5.3,22,1.141,80
7.745,2,8,2,2.3,0.683,2.3,0.088,3,2,41.9,60.0,0.629,96.152,42,54.092,85.465,86,58.728,44,18,91,7.602,3.5,8,1.118,49
7.509,1,8,3,3.4,0.667,2.2,0.085,2,2,41.6,59.0,0.615,99.936,45,54.738,88.047,89,59.393,44,18,94,7.132,2.2,7,1.123,49
6.1,4,8,6,6.5,0.653,0.0,0.082,5,0,40.9,69.0,0.621,104.926,44,57.712,93.036,93,60.773,49,22,98,7.149,5.4,11,1.128,54
10.721,1,9,2,2.3,0.668,2.3,0.097,2,2,42.0,58.0,0.613,98.645,45,53.98,86.887,88,58.768,43,18,93,7.054,2.3,6,1.121,48
9.462,2,4,5,6.6,0.647,7.9,0.05,3,6,40.8,60.0,0.644,87.801,31,48.98,78.705,76,49.199,45,18,80,8.364,3.9,14,1.155,49
9.857,2,4,5,6.6,0.647,7.9,0.05,3,6,40.8,60.0,0.644,87.801,31,48.98,78.705,76,49.199,45,18,80,8.364,3.9,14,1.155,49
7.277,2,4,5,6.1,0.643,7.3,0.047,3,6,40.2,62.0,0.635,94.632,35,52.034,84.472,82,52.722,47,18,86,8.094,3.7,14,1.154,51
9.168,2,4,5,6.3,0.645,7.6,0.048,3,6,40.5,61.0,0.639,91.216,33,50.507,81.588,79,50.961,46,18,83,8.224,3.8,14,1.155,50
6.79,1,3,3,5.3,0.661,10.5,0.05,2,6,43.9,49.0,0.669,65.934,21,38.115,59.639,57,37.688,36,18,60,8.938,3.5,11,1.157,39
6.2,4,7,6,6.7,0.656,0.0,0.074,5,0,41.1,68.0,0.624,101.51,42,56.185,90.152,90,59.012,48,22,95,7.232,5.6,11,1.128,53
9.37,1,4,4,6.2,0.649,9.2,0.059,2,6,41.5,52.0,0.649,75.263,26,42.19,67.508,65,42.216,39,18,68,8.501,3.1,12,1.158,42
6.149,1,7,2,2.9,0.689,2.9,0.097,2,2,44.1,50.0,0.641,75.947,32,43.556,67.643,68,46.819,36,18,72,7.699,2.9,6,1.117,40
7.237,1,7,3,4.2,0.682,2.8,0.092,1,2,43.1,51.0,0.63,80.651,35,45.39,71.301,72,49.131,37,18,76,7.453,1.4,6,1.12,41
8.319,1,9,3,3.1,0.659,2.1,0.089,2,2,40.6,61.0,0.605,107.974,50,58.055,94.756,96,63.296,46,18,101,6.915,2.1,7,1.125,51
5.7,7,12,8,7.7,0.643,0.0,0.112,7,0,36.5,72.0,0.61,118.091,50,63.425,104.738,104,66.864,54,16,107,7.337,6.7,16,1.135,57
5.9,6,22,9,7.0,0.67,0.0,0.162,6,0,41.9,101.5,0.634,145.041,59,81.839,129.046,129,86.461,70,37,136,7.46,4.7,16,1.124,77
6.222,10,31,14,8.5,0.655,0.0,0.18,10,0,40.2,129.0,0.63,185.526,74,103.252,165.206,164,107.467,90,42,172,7.461,6.1,24,1.131,98
7.0,16,27,16,7.4,0.65,0.0,0.12,14,0,38.0,155.0,0.617,244.598,102,133.376,217.359,216,140.49,114,32,225,7.408,6.5,32,1.132,123
7.873,6,22,7,6.4,0.631,0.0,0.196,6,0,35.5,67.0,0.589,125.045,57,64.796,109.843,110,69.45,53,12,112,6.837,5.5,14,1.137,55
5.8,10,31,11,7.3,0.625,0.0,0.201,10,0,34.4,93.0,0.589,172.197,77,88.955,151.628,151,94.382,74,12,154,6.944,6.6,22,1.14,77
7.377,2,13,5,5.0,0.657,0.0,0.123,6,0,42.0,75.0,0.625,112.467,47,62.459,100.028,100,65.745,53,28,106,7.179,6.0,11,1.125,59
5.8,9,25,12,8.4,0.622,0.0,0.17,9,0,35.0,92.0,0.591,163.32,72,84.494,143.675,143,89.001,71,16,147,6.89,6.3,21,1.142,75
8.128,3,13,4,4.0,0.662,0.0,0.123,7,0,43.0,77.0,0.632,112.178,46,63.152,100.254,100,66.194,54,28,106,7.309,7.0,11,1.122,60
6.5,9,25,12,8.2,0.637,0.0,0.166,8,0,34.7,94.0,0.596,167.366,74,87.68,147.384,147,93.603,73,16,151,7.126,5.4,22,1.139,77
7.9,1,3,3,5.3,0.661,10.5,0.05,2,6,43.9,49.0,0.669,65.934,21,38.115,59.639,57,37.688,36,18,60,8.938,3.5,11,1.157,39
4.8,9,23,11,8.5,0.608,0.0,0.176,9,0,32.6,76.0,0.577,147.992,67,74.419,129.806,129,78.472,62,6,131,6.746,7.0,20,1.147,64
8.745,3,8,4,5.3,0.663,0.0,0.101,5,0,42.7,59.0,0.634,84.268,34,47.562,75.298,75,49.716,41,22,79,7.396,6.7,9,1.124,45
6.347,7,17,5,5.0,0.653,0.0,0.163,9,0,41.0,77.0,0.631,112.68,45,63.076,101.127,100,65.347,55,22,104,7.519,9.0,14,1.127,59
6.049,6,21,8,7.5,0.64,0.0,0.191,6,0,38.3,75.0,0.608,121.377,52,65.05,107.217,107,68.523,55,22,110,7.037,5.6,14,1.134,58
6.0,6,18,5,5.3,0.659,1.1,0.186,8,1,40.4,72.0,0.635,106.0,42,59.662,95.24,94,61.989,52,22,97,7.79,8.5,14,1.128,55
8.523,4,9,5,6.2,0.667,0.0,0.106,4,0,43.2,63.5,0.635,90.972,37,51.395,80.956,81,54.029,44,23,85,7.306,4.9,9,1.123,48
8.0,0,7,2,3.2,0.665,0.0,0.104,1,0,44.4,44.0,0.614,70.434,32,38.66,61.785,63,41.887,31,18,67,6.55,1.6,3,1.118,35
5.398,9,19,11,8.7,0.628,0.0,0.148,8,0,34.1,80.0,0.594,143.872,63,74.838,126.788,126,79.143,63,12,128,7.097,6.3,20,1.142,65
8.523,8,24,10,8.2,0.629,0.0,0.194,7,0,34.4,76.0,0.591,139.164,62,72.102,122.359,122,76.683,60,12,124,6.977,5.7,18,1.141,62
6.7,5,21,10,7.8,0.659,0.0,0.156,5,0,41.4,98.5,0.625,144.41,60,79.958,127.745,128,84.365,68,37,135,7.166,3.9,15,1.128,75
7.86,1,4,3,4.7,0.66,9.4,0.059,2,6,43.8,53.0,0.659,73.765,25,42.169,66.407,64,42.211,39,18,68,8.587,3.1,11,1.153,43
9.168,1,4,4,6.5,0.652,9.7,0.062,2,6,41.9,51.0,0.656,71.848,24,40.663,64.625,62,40.455,38,18,65,8.686,3.2,12,1.159,41
6.7,9,26,12,8.3,0.634,0.0,0.174,9,0,36.8,99.0,0.604,163.905,70,86.967,144.792,144,91.24,74,22,149,7.079,6.3,21,1.138,79
8.597,7,23,7,6.8,0.632,0.0,0.221,8,0,35.0,66.0,0.598,117.218,51,61.645,103.847,103,65.074,52,12,104,7.204,7.8,16,1.138,53
8.121,3,17,4,3.6,0.654,0.0,0.147,8,0,41.8,81.0,0.622,123.633,52,68.447,110.232,110,71.932,58,28,116,7.173,7.3,12,1.124,64
7.222,9,19,11,7.8,0.624,0.0,0.133,8,0,34.0,85.0,0.585,160.948,73,82.472,141.206,141,87.95,68,12,143,6.84,5.7,20,1.141,70
7.469,2,12,4,4.1,0.662,1.0,0.117,5,1,43.3,74.0,0.63,109.099,45,61.106,97.112,97,64.222,52,28,103,7.267,5.2,10,1.125,58
7.495,2,12,5,5.2,0.68,2.1,0.118,5,2,42.7,75.0,0.644,107.731,43,61.872,96.465,96,65.245,53,28,102,7.883,5.2,12,1.122,59
8.123,2,13,4,3.9,0.654,2.0,0.121,6,2,39.2,68.0,0.614,115.102,50,62.673,102.225,102,66.739,52,18,107,7.391,5.9,12,1.128,57
5.7,4,6,5,6.5,0.666,0.0,0.074,4,0,42.9,61.0,0.635,86.557,35,48.868,77.072,77,51.267,42,22,81,7.347,5.2,9,1.124,46
6.3,5,21,9,7.1,0.66,0.0,0.157,6,0,41.7,98.5,0.627,143.121,59,79.651,126.97,127,83.813,68,37,134,7.23,4.7,15,1.127,75
6.93,14,43,18,8.6,0.617,0.0,0.202,13,0,33.0,125.0,0.582,239.296,108,121.571,209.926,209,128.922,101,12,213,6.842,6.2,32,1.145,105
7.527,12,38,13,8.0,0.631,0.0,0.23,14,0,33.7,106.5,0.601,185.951,79,98.044,165.217,163,102.859,84,17,165,7.427,8.6,29,1.141,86
8.658,7,20,7,7.0,0.639,0.0,0.196,7,0,36.0,66.0,0.604,113.593,49,60.403,100.636,100,63.858,51,12,102,7.24,7.0,15,1.136,53
7.7,14,42,19,8.8,0.622,0.0,0.189,13,0,34.7,138.0,0.59,246.874,109,127.405,216.951,216,134.28,107,22,222,6.875,6.0,32,1.143,113
9.67,0,5,2,4.3,0.649,0.0,0.104,1,0,41.3,30.0,0.599,51.773,24,27.552,45.251,46,29.841,22,12,48,6.445,2.2,3,1.126,24
8.0,4,12,5,6.0,0.676,4.8,0.138,4,4,38.1,58.0,0.634,94.994,39,53.285,84.901,84,56.745,45,12,87,8.328,4.8,13,1.131,48
4.6,8,25,12,9.2,0.629,0.0,0.187,7,0,34.4,84.0,0.593,149.576,66,77.671,131.446,131,82.455,65,16,134,7.018,5.3,20,1.142,68
5.5,8,21,9,6.9,0.627,0.0,0.157,9,0,36.2,85.0,0.595,147.995,65,77.376,130.603,130,81.461,65,16,134,6.925,6.9,18,1.138,69
9.0,4,12,5,5.6,0.67,4.4,0.129,4,4,37.8,60.0,0.626,101.824,43,56.339,90.669,90,60.267,47,12,93,8.085,4.4,13,1.131,50
6.939,11,29,10,7.8,0.621,0.0,0.223,10,0,34.9,83.0,0.594,147.287,64,76.586,130.148,129,80.16,65,12,130,7.017,7.8,20,1.142,66
6.824,0,7,1,1.6,0.667,0.0,0.106,2,0,45.2,44.0,0.619,69.145,31,38.353,61.01,62,41.336,31,18,66,6.671,3.2,3,1.115,35
6.0,1,8,2,2.4,0.667,2.4,0.089,6,2,41.2,60.0,0.63,95.445,40,53.523,85.487,85,56.682,45,18,90,7.714,7.1,10,1.123,50
6.64,6,20,7,6.0,0.637,0.0,0.165,6,0,38.5,77.0,0.599,132.54,59,70.135,116.65,117,74.563,58,18,121,6.787,5.1,13,1.133,62
6.43,6,19,7,5.8,0.626,0.0,0.153,6,0,36.7,73.0,0.585,136.37,63,70.189,119.417,120,75.086,57,12,124,6.551,5.0,13,1.136,61
5.66,6,20,7,6.3,0.635,0.0,0.175,6,0,36.0,69.0,0.593,126.045,57,65.796,110.843,111,70.45,54,12,114,6.884,5.4,14,1.136,57
7.444,3,13,4,4.0,0.662,0.0,0.123,7,0,43.0,77.0,0.632,112.178,46,63.152,100.254,100,66.194,54,28,106,7.309,7.0,11,1.122,60
8.507,2,10,3,3.6,0.668,2.4,0.115,5,2,41.0,59.0,0.63,93.319,39,52.302,83.378,83,55.472,44,18,87,7.719,6.0,10,1.124,48
8.456,3,11,5,5.9,0.654,0.0,0.124,4,0,41.2,62.0,0.617,95.803,41,52.449,84.723,85,55.552,44,22,89,7.01,4.7,9,1.127,48
8.363,2,10,3,3.2,0.662,2.1,0.101,6,2,40.4,65.0,0.623,105.774,45,58.598,94.356,94,62.211,49,18,99,7.561,6.4,11,1.125,54
9.0,4,13,5,5.2,0.678,4.2,0.13,4,4,37.5,64.0,0.628,108.367,46,60.316,96.57,96,65.057,50,12,100,8.195,4.2,14,1.129,54
5.0,3,11,6,8.3,0.671,0.0,0.145,3,0,43.1,60.0,0.641,81.016,32,46.121,72.08,72,48.296,40,26,76,7.454,4.2,9,1.125,44
7.569,3,16,4,3.7,0.656,0.0,0.142,8,0,42.1,80.0,0.625,120.218,50,66.92,107.348,107,70.171,57,28,113,7.243,7.5,12,1.124,63
7.854,3,13,5,6.5,0.657,0.0,0.163,3,0,41.6,57.0,0.619,86.763,37,47.68,76.629,77,50.574,40,22,80,7.01,3.9,8,1.127,43
6.678,5,15,5,6.3,0.66,0.0,0.183,6,0,41.8,63.0,0.637,88.976,35,50.298,79.727,79,52.176,44,22,82,7.566,7.6,11,1.126,47
8.161,6,22,7,7.0,0.632,0.0,0.218,6,0,35.0,62.0,0.592,113.799,51,59.215,100.192,100,63.165,49,12,101,6.98,6.0,14,1.138,50
8.921,6,22,7,6.8,0.63,0.0,0.212,6,0,35.0,63.0,0.59,117.214,53,60.742,103.076,103,64.927,50,12,104,6.913,5.8,14,1.138,51
8.609,2,10,5,5.2,0.657,2.1,0.098,5,2,39.2,66.0,0.618,109.561,47,59.926,97.232,97,63.768,50,18,102,7.472,5.2,12,1.129,55
8.604,2,10,4,4.9,0.667,2.4,0.116,5,2,40.2,59.0,0.632,92.402,38,51.797,82.596,82,54.716,44,18,86,7.825,6.1,11,1.127,48
8.405,2,10,4,4.1,0.658,2.0,0.097,5,2,39.8,66.0,0.617,110.478,48,60.431,98.014,98,64.523,50,18,103,7.386,5.1,11,1.127,55
8.397,2,10,4,4.9,0.667,2.4,0.116,5,2,40.2,59.0,0.632,92.402,38,51.797,82.596,82,54.716,44,18,86,7.825,6.1,11,1.127,48
8.268,3,8,5,6.6,0.661,0.0,0.1,4,0,42.1,59.0,0.63,85.557,35,47.868,76.072,76,50.267,41,22,80,7.286,5.3,9,1.126,45
4.237,3,11,5,7.0,0.672,0.0,0.147,4,0,43.7,60.0,0.645,79.727,31,45.815,71.305,71,47.745,40,26,75,7.573,5.6,9,1.123,44
8.412,4,12,5,5.7,0.672,4.6,0.133,4,4,37.9,59.0,0.63,98.409,41,54.812,87.785,87,58.506,46,12,90,8.202,4.6,13,1.131,49
6.585,5,17,4,4.1,0.662,0.0,0.167,8,0,42.9,77.0,0.636,109.972,44,62.34,98.698,98,64.887,54,28,102,7.479,8.2,12,1.122,58
6.854,6,15,5,5.3,0.654,0.0,0.152,8,0,41.1,73.0,0.63,107.056,43,59.835,95.916,95,62.131,52,22,99,7.472,8.4,13,1.127,56
6.0,5,18,4,4.6,0.626,0.0,0.205,7,0,36.8,55.0,0.593,98.763,44,51.625,87.37,87,54.432,43,12,88,6.86,8.0,11,1.135,44
7.046,6,18,5,5.3,0.65,0.0,0.186,8,0,40.4,71.0,0.626,106.056,43,58.835,94.916,94,61.131,51,22,97,7.424,8.5,13,1.128,54
7.8,4,12,5,5.3,0.668,4.2,0.121,5,4,37.9,64.0,0.627,107.449,45,59.581,95.88,95,63.483,50,12,99,8.102,5.3,14,1.131,54
5.0,4,18,5,5.0,0.682,0.0,0.17,6,0,46.0,86.0,0.654,111.637,43,65.405,100.261,100,68.222,57,38,106,7.619,6.0,11,1.116,63
6.444,6,18,5,5.3,0.65,0.0,0.186,8,0,40.4,71.0,0.626,106.056,43,58.835,94.916,94,61.131,51,22,97,7.424,8.5,13,1.128,54
