pXC50,CATS2D_03_DN,CATS2D_04_DD,SsOH,ATSC3s,MATS6e,GATS6e,CATS2D_05_DN,ATSC4s,Eta_C_A,MATS6s,CATS2D_02_NN,MAXDN,GATS4e,nO,X5Av,CATS2D_03_AN,Eta_sh_x,P_VSA_s_1,MATS4e,MCD,GATS2p,ATSC1s,CATS2D_04_DA,O.056,nPO4,P.117,D.Dtr05,SpMax7_Bh.s.,ATSC2e,MATS2p,MATS3e,CATS2D_04_NN,P_VSA_e_5,P_VSA_m_3,ATSC2s,nROH,X2Av,MATS4s,ATS4s,ATSC5e,O.059,MATS1p,SpMax8_Bh.s.,NssO,SssO,ATSC6s,CATS2D_01_AN,CATS2D_07_DN,SpMax6_Bh.s.,CATS2D_08_DD,BAC,P_VSA_LogP_3,Eig05_EA,SM13_AEA.bo.,Eig05_AEA.ri.,Eig05_EA.ed.,SM14_AEA.dm.,P_VSA_i_1,DBI,MATS5p,ATSC8s,ATS6s,Eig03_AEA.ri.,Eig03_EA,SM11_AEA.bo.,ATSC3m,Eig02_EA.ri.
5.921,5,3,56.365,588.629,0.094,0.808,4,608.395,1.055,0.098,2,7.636,0.937,15,0.04,6,0.191,19.059,0.054,0.425,1.076,173.284,10,6,1,1,131.459,7.411,2.401,0.027,0.144,1,390.883,420.804,341.096,6,0.207,0.06,7.09,3.583,3,-0.232,7.406,3,12.856,505.004,6,1,7.425,1,204.0,299.958,2.747,2.747,3.752,9.537,9.537,19.059,5.958,0.005,469.713,6.912,4.187,3.21,3.21,38.352,3.185
6.873,5,3,55.285,523.454,0.119,0.803,4,502.333,1.052,0.12,2,7.551,0.911,13,0.048,6,0.241,19.059,0.069,0.355,1.032,166.736,11,6,1,1,103.33,6.494,2.181,0.027,0.115,1,340.594,370.514,312.653,6,0.228,0.101,6.893,3.119,3,-0.239,6.433,3,12.672,424.977,6,1,7.406,1,177.0,252.576,2.729,2.729,3.699,8.902,8.902,64.251,5.523,0.025,317.251,6.693,4.147,3.196,3.196,29.738,3.184
5.745,5,3,49.483,290.803,0.043,1.078,4,416.073,1.051,0.068,2,6.494,0.793,14,0.045,7,0.169,26.735,0.284,0.472,0.73,116.046,12,5,2,3,121.146,6.4,2.055,0.174,-0.208,1,331.45,331.45,198.651,5,0.218,0.281,6.95,2.835,4,-0.332,6.354,4,17.816,386.081,8,1,6.494,1,122.0,244.143,2.792,2.792,3.778,9.13,9.13,26.735,5.244,-0.014,292.329,6.799,4.15,3.169,3.169,37.551,3.156
6.699,6,3,69.584,436.37,0.2,0.899,6,650.14,1.145,0.19,3,6.995,0.753,21,0.044,12,0.182,39.414,0.302,0.458,0.681,179.826,19,7,4,4,348.071,7.402,3.133,0.224,-0.252,2,477.438,477.438,305.721,7,0.202,0.273,7.352,4.322,7,-0.391,6.495,7,30.849,640.398,12,4,7.411,4,226.0,295.53,2.995,2.995,3.983,10.216,10.216,39.414,6.124,-0.033,536.386,7.278,4.159,3.231,3.231,53.495,3.276
5.883,6,3,79.714,510.534,0.145,0.916,6,705.602,1.15,0.124,3,7.046,0.799,23,0.042,12,0.18,39.414,0.236,0.449,0.689,198.115,18,8,4,4,355.698,7.411,3.203,0.216,-0.231,2,545.267,545.267,322.944,8,0.198,0.22,7.395,4.648,7,-0.387,7.402,7,30.442,697.962,12,4,7.411,3,257.0,338.213,2.997,2.997,3.989,10.312,10.312,39.414,6.164,-0.045,595.79,7.313,4.163,3.237,3.237,52.342,3.277
7.585,5,3,55.329,299.141,0.152,0.838,4,403.269,0.977,0.193,2,6.514,0.706,14,0.044,7,0.217,22.85,0.304,0.379,0.677,133.779,12,6,3,3,94.82,6.4,1.979,0.184,-0.276,1,343.437,343.437,219.905,6,0.219,0.319,6.868,2.552,4,-0.383,6.351,4,16.562,369.839,8,1,6.437,1,129.0,243.37,2.725,2.725,3.697,8.882,8.882,68.042,5.05,0.004,248.095,6.651,4.101,3.109,3.109,29.515,3.104
6.281,3,2,46.427,217.184,-0.077,0.991,1,283.789,1.017,-0.084,1,6.092,0.839,11,0.035,3,0.163,12.997,0.113,0.423,0.91,97.446,7,5,2,2,80.036,6.346,1.587,0.047,-0.188,0,283.198,283.198,186.031,5,0.211,0.181,6.496,1.817,3,-0.293,6.23,3,13.38,261.547,5,1,6.4,2,90.0,206.238,2.21,2.21,3.195,6.643,6.643,45.216,4.416,-0.012,241.017,6.205,3.846,2.858,2.858,25.45,2.962
5.921,3,2,46.806,215.854,-0.083,0.972,1,282.721,1.087,-0.073,1,6.099,0.815,11,0.038,3,0.15,12.997,0.158,0.393,0.912,91.376,7,5,2,2,85.512,6.346,1.658,0.052,-0.108,0,283.198,283.198,192.677,5,0.223,0.213,6.523,1.726,3,-0.272,6.23,3,13.524,243.674,5,1,6.4,2,96.0,206.238,2.21,2.21,3.196,6.673,6.673,45.216,4.637,0.009,279.221,6.278,3.846,2.859,2.859,36.816,2.962
5.208,3,2,47.303,206.557,-0.083,1.004,1,287.428,1.002,-0.071,1,6.121,0.783,11,0.037,3,0.131,12.997,0.182,0.531,0.916,88.925,7,5,2,2,95.31,6.346,1.634,0.037,-0.106,0,283.198,283.198,184.488,5,0.208,0.221,6.569,1.733,3,-0.249,6.23,3,13.666,239.455,5,1,6.4,2,70.0,253.62,2.506,2.506,3.493,7.001,7.001,45.216,4.583,0.014,255.025,6.33,3.846,2.86,2.86,32.378,2.962
6.264,3,2,47.372,204.166,-0.035,0.945,1,283.168,1.033,-0.041,1,6.121,0.768,11,0.039,3,0.127,12.997,0.198,0.515,0.929,86.232,7,5,2,2,98.869,6.346,1.654,0.028,-0.084,0,283.198,283.198,187.395,5,0.212,0.224,6.585,1.77,3,-0.24,6.23,3,13.694,239.603,5,1,6.4,2,70.0,253.62,2.518,2.518,3.515,6.969,6.969,45.216,4.69,0.036,243.944,6.337,3.846,2.859,2.859,38.262,2.962
6.042,3,2,46.306,223.887,-0.085,1.01,1,291.622,0.934,-0.088,1,6.106,0.851,12,0.029,3,0.169,12.997,0.113,0.423,0.755,100.723,7,5,2,2,80.036,6.346,1.739,0.162,-0.198,0,294.198,294.198,189.548,5,0.192,0.186,6.535,2.057,3,-0.385,6.23,4,18.154,271.708,5,1,6.4,2,90.0,206.238,2.21,2.21,3.196,6.643,6.643,12.997,4.416,-0.006,246.806,6.24,3.846,2.858,2.858,26.141,2.966
6.219,3,2,46.046,232.414,-0.055,0.966,1,303.641,0.917,-0.073,1,6.102,0.791,11,0.03,3,0.176,12.997,0.155,0.44,0.816,106.852,9,5,2,2,77.611,6.346,1.59,0.115,-0.214,0,283.198,283.198,184.851,5,0.194,0.2,6.525,2.044,3,-0.341,6.23,3,13.165,261.174,5,1,6.4,2,87.0,206.238,2.21,2.21,3.195,6.519,6.519,12.997,4.301,0.056,227.712,6.154,3.846,2.854,2.854,26.18,2.968
5.119,3,2,46.379,220.915,-0.074,0.986,1,280.314,0.94,-0.08,1,6.098,0.824,11,0.03,3,0.169,12.997,0.124,0.423,0.785,95.752,9,5,2,2,80.036,6.346,1.65,0.135,-0.176,0,283.198,283.198,184.493,5,0.194,0.188,6.519,1.974,3,-0.361,6.23,3,13.336,266.38,5,1,6.4,2,90.0,224.249,2.21,2.21,3.196,6.643,6.643,12.997,4.416,-0.003,245.458,6.24,3.847,2.858,2.858,28.97,2.972
5.538,0,0,37.257,154.232,-0.014,0.988,1,153.0,0.971,0.004,0,5.521,1.075,8,0.031,0,0.097,3.143,-0.183,0.5,1.105,65.153,2,4,1,1,63.419,4.694,1.095,-0.108,-0.064,0,222.96,222.96,137.264,4,0.191,-0.166,5.872,1.328,2,-0.181,4.486,2,9.671,203.293,2,0,6.23,0,56.0,169.107,1.91,1.91,2.827,5.518,5.518,35.363,3.536,-0.009,131.096,6.114,3.711,2.795,2.795,21.344,2.952
5.824,0,0,37.451,153.488,0.015,0.93,1,142.145,1.011,0.03,0,5.526,1.084,8,0.033,0,0.093,3.143,-0.169,0.478,1.08,61.994,2,4,1,1,66.064,4.692,1.108,-0.077,-0.027,0,222.96,222.96,137.54,4,0.205,-0.162,5.893,1.324,2,-0.173,4.484,2,9.737,192.531,2,0,6.23,0,59.0,169.107,1.934,1.934,2.843,5.54,5.54,35.363,3.674,0.042,143.587,6.169,3.714,2.799,2.799,28.82,2.952
5.319,0,0,37.608,150.742,-0.021,0.98,1,139.535,1.048,0.015,0,5.53,1.048,8,0.035,0,0.088,3.143,-0.135,0.458,1.094,59.083,2,4,1,1,68.895,4.692,1.113,-0.085,0.007,0,222.96,222.96,137.962,4,0.207,-0.134,5.922,1.269,2,-0.166,4.484,2,9.788,189.288,2,0,6.23,0,62.0,169.107,1.949,1.949,2.854,5.544,5.544,35.363,3.808,0.021,160.55,6.194,3.715,2.8,2.8,31.082,2.952
4.0,0,0,38.062,143.509,-0.015,1.019,1,142.455,0.954,0.023,0,5.56,1.006,8,0.034,0,0.075,3.143,-0.102,0.607,1.083,57.536,2,4,1,1,78.694,4.761,1.081,-0.096,0.008,0,222.96,222.96,130.82,4,0.192,-0.117,6.004,1.274,2,-0.137,4.677,2,9.901,186.993,2,0,6.23,0,40.0,216.488,2.211,2.211,3.195,6.63,6.63,35.363,3.742,0.025,137.827,6.25,3.721,2.806,2.806,27.855,2.953
5.886,0,0,38.123,140.839,0.037,0.951,1,134.095,0.987,0.053,0,5.559,0.987,8,0.036,0,0.072,3.143,-0.085,0.586,1.093,55.129,2,4,1,1,82.252,4.757,1.082,-0.101,0.026,0,222.96,222.96,131.494,4,0.197,-0.114,6.033,1.312,2,-0.131,4.684,2,9.922,186.673,2,0,6.23,0,40.0,216.488,2.211,2.211,3.196,6.667,6.667,35.363,3.873,0.053,128.652,6.258,3.716,2.801,2.801,32.916,2.952
5.004,0,0,37.143,161.382,-0.026,1.007,1,166.878,0.877,-0.001,0,5.541,1.066,9,0.025,0,0.102,3.143,-0.148,0.5,0.93,68.641,2,4,1,1,63.419,4.855,1.259,0.022,-0.082,0,233.96,233.96,143.06,4,0.169,-0.151,5.944,1.552,2,-0.312,4.561,3,14.474,215.262,2,0,6.23,0,56.0,169.107,1.91,1.91,2.839,5.518,5.518,3.143,3.536,-0.005,137.622,6.152,3.719,2.795,2.795,21.433,2.957
4.0,0,0,37.211,157.874,-0.015,0.987,1,151.189,0.884,0.004,0,5.529,1.049,8,0.026,0,0.101,3.143,-0.16,0.5,0.972,64.353,4,4,1,1,63.419,4.741,1.151,-0.014,-0.059,0,222.96,222.96,136.748,4,0.171,-0.152,5.915,1.47,2,-0.279,4.52,2,9.634,209.964,2,0,6.23,0,56.0,187.117,1.91,1.91,2.853,5.518,5.518,3.143,3.536,-0.001,135.207,6.152,3.728,2.795,2.795,23.702,2.963
5.222,5,3,55.077,379.038,0.118,0.858,4,460.562,0.972,0.129,2,6.581,0.734,15,0.039,7,0.221,22.85,0.225,0.367,0.712,158.638,12,6,3,3,97.82,6.494,2.058,0.192,-0.238,1,368.582,383.542,241.812,6,0.204,0.223,6.926,2.91,4,-0.41,6.437,4,16.2,434.178,8,1,7.409,1,152.0,233.894,2.733,2.733,3.73,8.964,8.964,22.85,5.099,-0.019,327.765,6.754,4.104,3.111,3.111,26.482,3.104
5.578,6,5,88.295,500.964,0.204,0.893,5,708.49,1.194,0.197,3,7.135,0.832,22,0.043,13,0.168,39.414,0.272,0.442,0.739,189.466,16,9,4,4,188.22,6.496,3.445,0.188,-0.141,2,523.734,538.694,349.791,9,0.202,0.256,7.433,4.857,7,-0.337,6.468,8,35.039,690.988,12,3,7.402,2,227.0,419.161,2.979,2.979,3.963,10.192,10.192,39.414,6.364,-0.045,562.3,7.33,4.161,3.235,3.235,61.792,3.298
6.301,6,5,87.609,507.668,0.195,0.857,5,691.614,1.214,0.181,3,7.118,0.82,22,0.045,13,0.192,39.414,0.244,0.37,0.693,197.616,16,9,4,4,165.341,6.496,3.4,0.23,-0.19,2,523.734,538.694,352.209,9,0.206,0.229,7.394,4.882,7,-0.373,6.468,8,34.106,696.05,12,3,7.402,2,262.0,371.78,2.979,2.979,3.963,10.192,10.192,39.414,6.245,-0.064,553.462,7.3,4.161,3.235,3.235,55.181,3.298
6.208,6,3,87.254,548.112,0.153,0.892,6,737.831,1.192,0.112,3,7.115,0.791,22,0.046,13,0.201,39.414,0.258,0.386,0.7,211.962,18,9,4,4,156.908,7.402,3.261,0.215,-0.197,2,537.66,552.62,353.113,9,0.207,0.226,7.406,4.805,7,-0.374,6.499,7,29.353,687.339,12,4,7.411,3,258.0,371.78,2.979,2.979,3.962,10.192,10.192,39.414,6.083,-0.059,572.27,7.266,4.161,3.234,3.234,52.35,3.298
6.114,6,5,97.261,521.413,0.169,0.91,6,718.264,1.196,0.133,3,7.09,0.773,23,0.046,13,0.2,39.414,0.267,0.386,0.705,208.6,18,10,4,4,156.908,6.521,3.217,0.217,-0.195,2,580.343,580.343,341.748,10,0.208,0.239,7.393,4.803,7,-0.363,6.493,7,29.616,686.149,12,4,7.402,3,258.0,414.463,2.979,2.979,3.964,10.192,10.192,39.414,6.083,-0.052,572.006,7.27,4.161,3.234,3.234,53.688,3.298
5.429,6,5,97.261,521.413,0.169,0.91,6,718.264,1.196,0.133,3,7.09,0.773,23,0.046,13,0.2,39.414,0.267,0.386,0.705,208.6,18,10,4,4,156.908,6.521,3.217,0.217,-0.195,2,580.343,580.343,341.748,10,0.208,0.239,7.393,4.803,7,-0.363,6.493,7,29.616,686.149,12,4,7.402,3,258.0,414.463,2.979,2.979,3.964,10.192,10.192,39.414,6.083,-0.052,572.006,7.27,4.161,3.234,3.234,53.688,3.298
5.558,6,4,87.277,495.391,0.174,0.91,6,667.82,1.154,0.137,3,7.019,0.764,22,0.049,13,0.209,39.414,0.286,0.405,0.682,197.405,18,9,4,4,148.743,6.519,3.101,0.229,-0.217,2,537.66,537.66,319.935,9,0.21,0.255,7.337,4.272,7,-0.384,6.493,7,29.478,620.098,12,4,7.402,3,226.0,371.78,2.943,2.943,3.915,9.78,9.78,39.414,5.958,-0.091,538.631,7.203,4.16,3.233,3.233,49.373,3.297
5.301,5,3,45.711,304.876,0.169,0.79,5,413.54,0.942,0.151,2,6.562,0.64,14,0.039,7,0.212,22.85,0.347,0.355,0.71,136.672,12,5,3,3,102.23,6.449,1.952,0.205,-0.351,1,325.899,325.899,211.742,5,0.206,0.309,6.932,2.495,4,-0.435,6.437,4,16.658,377.985,8,2,6.727,1,135.0,243.37,2.728,2.728,3.716,8.936,8.936,22.85,5.244,-0.02,285.352,6.756,4.104,3.11,3.11,26.231,3.105
5.724,6,5,89.017,507.04,0.123,0.961,6,717.602,1.234,0.111,3,7.123,0.768,23,0.045,13,0.187,39.414,0.272,0.362,0.717,197.362,18,9,4,4,168.026,7.402,3.296,0.208,-0.233,2,562.805,562.805,337.895,9,0.207,0.235,7.412,5.004,7,-0.364,6.502,7,30.327,746.168,12,4,7.411,3,295.0,371.78,2.982,2.982,3.971,10.274,10.274,39.414,6.403,-0.054,668.548,7.362,4.163,3.235,3.235,57.663,3.301
6.088,5,3,55.725,287.063,0.164,0.774,4,398.168,1.017,0.21,2,6.532,0.76,15,0.04,7,0.204,22.85,0.266,0.344,0.74,126.831,12,6,3,3,107.571,6.4,2.235,0.18,-0.27,1,354.656,354.656,235.282,6,0.208,0.32,6.905,2.66,4,-0.395,6.351,5,21.459,375.83,8,1,6.437,1,138.0,243.37,2.728,2.728,3.713,8.905,8.905,22.85,5.339,-0.025,264.277,6.716,4.101,3.109,3.109,37.461,3.104
5.824,5,3,55.963,272.778,0.139,0.789,4,447.415,1.119,0.195,2,6.54,0.666,15,0.039,7,0.223,22.85,0.318,0.324,0.75,119.281,12,6,3,3,116.207,6.4,2.312,0.178,-0.284,1,354.656,354.656,249.767,6,0.222,0.351,6.951,2.533,4,-0.373,6.351,5,21.933,362.465,8,1,6.437,1,186.0,243.37,2.786,2.786,3.747,9.002,9.002,22.85,5.788,-0.031,297.877,6.759,4.102,3.111,3.111,41.153,3.104
6.208,5,3,56.185,275.93,0.168,0.819,4,420.008,0.973,0.226,2,6.55,0.758,15,0.038,7,0.174,22.85,0.297,0.459,0.763,122.038,12,6,3,3,126.132,6.4,2.269,0.157,-0.201,1,354.656,354.656,233.473,6,0.202,0.346,6.958,2.734,4,-0.355,6.351,5,21.99,376.196,8,1,6.437,1,108.0,290.752,2.728,2.728,3.714,8.905,8.905,22.85,5.385,0.01,245.895,6.752,4.101,3.109,3.109,38.136,3.104
5.921,5,3,56.245,276.983,0.162,0.833,4,418.508,0.997,0.23,2,6.55,0.716,15,0.039,7,0.169,22.85,0.323,0.447,0.78,119.903,12,6,3,3,130.897,6.4,2.305,0.144,-0.187,1,354.656,354.656,239.04,6,0.204,0.354,6.967,2.763,4,-0.345,6.351,5,22.032,381.609,8,1,6.437,1,108.0,290.752,2.728,2.728,3.713,8.905,8.905,22.85,5.477,-0.014,245.816,6.776,4.101,3.109,3.109,42.573,3.104
6.194,5,3,56.299,276.909,0.187,0.798,4,425.649,1.02,0.246,2,6.55,0.72,15,0.04,7,0.165,22.85,0.324,0.436,0.796,117.627,12,6,3,3,135.662,6.4,2.336,0.132,-0.16,1,354.656,354.656,243.666,6,0.207,0.355,6.978,2.681,4,-0.335,6.351,5,22.071,385.849,8,1,6.437,1,108.0,290.752,2.728,2.728,3.713,8.905,8.905,22.85,5.568,-0.031,252.3,6.796,4.101,3.109,3.109,46.321,3.104
5.18,6,3,58.752,366.08,0.196,0.893,5,520.722,1.025,0.181,3,6.889,0.719,18,0.05,12,0.21,39.414,0.361,0.425,0.631,156.372,15,6,4,4,141.086,6.494,2.625,0.254,-0.324,2,398.61,398.61,250.452,6,0.217,0.354,7.199,3.49,5,-0.432,6.4,6,25.396,506.508,12,3,7.402,2,170.0,281.275,2.774,2.774,3.736,9.174,9.174,39.414,5.874,-0.068,414.792,7.064,4.159,3.232,3.232,36.902,3.281
6.076,6,3,58.776,365.663,0.271,0.822,5,521.755,1.029,0.242,3,6.894,0.69,18,0.05,12,0.21,39.414,0.391,0.425,0.631,156.372,15,6,4,4,140.572,6.494,2.625,0.254,-0.324,2,398.61,398.61,250.563,6,0.217,0.37,7.206,3.492,5,-0.432,6.4,6,25.395,503.748,12,3,7.402,2,170.0,281.275,2.774,2.774,3.737,9.176,9.176,39.414,5.874,-0.028,412.284,7.109,4.159,3.232,3.232,36.902,3.281
5.314,6,3,58.771,398.219,0.218,0.858,5,568.145,0.977,0.172,3,6.958,0.767,20,0.047,12,0.207,39.414,0.287,0.405,0.663,171.87,15,6,4,4,150.275,7.402,2.709,0.245,-0.312,2,449.357,449.357,282.601,6,0.205,0.256,7.254,3.752,5,-0.417,6.999,6,25.16,523.769,12,3,7.411,2,198.0,281.275,2.782,2.782,3.754,9.175,9.175,39.414,6.124,-0.058,496.357,7.104,4.159,3.232,3.232,35.006,3.281
5.478,6,3,58.801,397.447,0.197,0.872,5,573.273,0.981,0.134,3,6.976,0.748,20,0.047,12,0.207,39.414,0.306,0.405,0.663,171.87,15,6,4,4,148.784,7.402,2.709,0.245,-0.312,2,449.357,449.357,282.712,6,0.205,0.258,7.253,3.786,5,-0.417,6.999,6,25.104,540.754,12,3,7.411,2,198.0,281.275,2.798,2.798,3.772,9.183,9.183,39.414,6.124,-0.048,451.056,7.101,4.159,3.232,3.232,35.006,3.282
6.31,7,5,96.945,554.797,0.138,0.929,7,738.182,1.175,0.105,3,7.169,0.778,24,0.045,13,0.197,39.414,0.253,0.378,0.707,221.551,19,9,4,4,161.014,7.402,3.202,0.216,-0.206,2,605.488,605.488,352.742,10,0.203,0.219,7.424,4.902,7,-0.367,6.519,7,29.122,707.329,13,4,7.411,3,291.0,371.78,2.989,2.989,3.979,10.304,10.304,39.414,6.245,-0.063,589.522,7.302,4.163,3.235,3.235,48.781,3.299
6.149,6,5,87.134,553.446,0.17,0.896,5,723.071,1.192,0.137,3,7.121,0.791,22,0.046,13,0.201,39.414,0.258,0.386,0.7,211.962,16,9,4,4,156.908,7.402,3.261,0.215,-0.197,2,537.66,552.62,353.113,9,0.207,0.219,7.398,4.809,7,-0.374,6.496,7,29.354,699.516,12,3,7.411,2,258.0,371.78,2.979,2.979,3.963,10.192,10.192,39.414,6.083,-0.066,590.587,7.288,4.161,3.234,3.234,52.35,3.298
5.824,0,0,38.281,197.082,0.006,1.047,1,199.891,0.914,0.024,0,5.114,1.023,8,0.029,0,0.08,1.248,-0.075,0.63,1.305,62.562,2,4,0,0,77.674,6.23,0.878,-0.158,-0.07,0,241.183,241.183,128.817,4,0.188,-0.057,6.214,1.386,1,-0.047,4.77,1,5.477,237.245,1,0,6.4,0,53.0,208.26,2.141,2.141,3.129,6.338,6.338,1.248,3.536,0.017,157.682,6.374,3.972,2.993,2.993,29.963,3.074
5.678,0,0,38.691,185.994,0.048,1.017,1,189.01,0.926,0.053,0,5.135,0.98,8,0.027,0,0.069,1.248,-0.05,0.677,1.231,57.958,2,4,0,0,86.101,6.23,0.853,-0.123,-0.051,0,241.183,241.183,124.835,4,0.182,-0.048,6.307,1.362,1,-0.026,4.904,1,5.547,228.534,1,0,6.4,0,53.0,227.212,2.523,2.523,3.494,8.524,8.524,1.248,3.674,0.037,157.612,6.437,4.021,3.039,3.039,32.19,3.097
6.398,0,0,38.242,243.688,-0.017,0.968,1,245.597,0.928,0.002,0,5.149,0.999,8,0.028,0,0.078,1.248,-0.106,0.607,1.304,77.132,2,4,0,0,81.298,6.4,0.99,-0.159,-0.115,0,241.183,256.143,147.015,4,0.183,-0.081,6.263,1.562,1,-0.047,6.23,1,5.436,268.768,1,0,6.434,0,68.0,198.783,2.341,2.341,3.299,6.51,6.51,1.248,3.606,0.015,200.103,6.41,3.977,2.999,2.999,29.378,3.076
5.509,0,0,38.36,186.273,0.045,1.025,1,196.632,0.912,0.05,0,5.122,1.042,8,0.03,0,0.074,1.248,-0.072,0.586,1.31,58.807,2,4,0,0,85.753,6.23,0.856,-0.168,-0.055,0,241.183,241.183,125.087,4,0.189,-0.065,6.227,1.288,1,-0.044,4.791,1,5.479,224.247,1,0,6.4,0,53.0,227.212,2.4,2.4,3.384,6.942,6.942,1.248,3.808,0.044,150.413,6.39,3.871,2.896,2.896,31.915,3.016
6.0,0,0,38.387,184.236,0.014,1.067,1,193.539,0.962,0.027,0,5.119,0.978,8,0.029,0,0.077,1.248,-0.048,0.607,1.256,58.683,2,4,0,0,81.298,6.23,0.877,-0.108,-0.066,0,241.183,241.183,129.382,4,0.191,-0.044,6.256,1.377,1,-0.045,4.759,1,5.496,230.684,1,0,6.4,0,68.0,198.783,2.341,2.341,3.335,6.51,6.51,1.248,3.606,0.04,169.278,6.382,3.978,2.999,2.999,31.032,3.077
6.155,0,0,38.104,214.734,0.051,0.973,1,217.967,0.916,0.027,0,5.12,0.995,9,0.028,0,0.085,1.248,-0.045,0.615,1.33,69.723,3,4,0,0,147.42,6.23,1.009,-0.17,-0.13,0,250.691,250.691,138.344,4,0.183,-0.059,6.212,1.522,1,-0.084,5.079,1,5.427,254.895,1,0,6.4,0,53.0,191.57,2.147,2.147,3.135,6.349,6.349,1.248,3.536,-0.033,168.575,6.351,3.976,2.997,2.997,27.836,3.076
6.301,0,0,38.174,204.17,0.012,1.033,1,205.129,0.972,0.012,0,5.106,1.057,8,0.031,0,0.081,1.248,-0.092,0.615,1.216,66.183,2,4,0,0,147.42,6.23,0.906,-0.109,-0.106,0,241.183,241.183,132.809,4,0.206,-0.075,6.17,1.392,1,-0.011,4.7,1,5.461,242.201,1,0,6.4,0,53.0,187.48,2.147,2.147,3.097,6.349,6.349,32.526,3.536,0.005,155.612,6.313,3.958,2.997,2.997,29.473,3.043
4.699,0,0,38.617,192.259,0.06,1.004,1,195.519,0.985,0.052,0,5.128,1.023,8,0.033,0,0.07,1.248,-0.065,0.667,1.13,61.176,2,4,0,0,146.655,6.23,0.883,-0.054,-0.078,0,241.183,241.183,128.025,4,0.199,-0.059,6.249,1.337,1,0.002,4.873,1,5.539,222.211,1,0,6.4,0,53.0,208.26,2.482,2.482,3.449,8.406,8.406,32.526,3.674,0.031,151.709,6.398,4.024,3.07,3.07,32.555,3.057
4.699,0,0,27.612,192.589,0.093,0.87,1,204.191,0.904,0.07,0,5.026,1.033,7,0.033,0,0.105,1.248,-0.1,0.524,1.403,64.44,2,3,0,0,60.995,5.005,0.867,-0.191,-0.17,0,198.5,198.5,127.156,3,0.2,-0.058,6.015,1.209,1,-0.074,4.534,1,5.411,220.39,1,0,6.23,0,53.0,127.671,1.864,1.864,2.848,5.455,5.455,1.248,3.391,0.003,140.524,6.126,3.726,2.767,2.767,26.465,2.993
4.699,0,0,27.602,198.536,0.059,0.949,1,194.394,0.939,0.077,0,5.028,0.989,7,0.037,0,0.102,1.248,-0.078,0.524,1.311,64.764,2,3,0,0,60.995,4.769,0.916,-0.186,-0.174,0,198.5,198.5,129.193,3,0.211,-0.051,5.942,1.309,1,-0.109,4.415,1,5.404,203.531,1,0,6.23,0,53.0,127.671,1.864,1.864,2.809,5.455,5.455,1.248,3.391,0.015,104.899,6.056,3.719,2.767,2.767,28.631,2.911
5.398,0,0,38.432,199.288,-0.09,1.205,1,222.399,1.001,-0.086,0,5.002,0.884,7,0.039,0,0.148,1.248,-0.06,0.545,1.341,65.218,1,4,0,0,58.306,6.23,0.763,-0.157,-0.121,0,230.183,230.183,132.241,4,0.203,-0.048,6.06,1.181,0,-0.014,4.422,0,0.0,272.314,1,0,6.4,0,53.0,170.355,2.116,2.116,3.088,6.68,6.68,1.248,3.808,-0.074,123.915,6.247,3.902,2.947,2.947,27.155,3.092
4.699,0,0,36.853,223.982,0.035,0.979,1,186.596,0.833,0.021,0,5.289,0.955,9,0.024,0,0.108,1.248,-0.04,0.524,1.438,78.94,3,4,0,0,60.995,6.23,1.138,-0.239,-0.068,0,252.183,252.183,142.128,4,0.18,0.011,5.934,1.371,2,-0.135,4.707,2,9.746,241.662,1,0,6.4,0,53.0,170.714,1.864,1.864,2.846,5.455,5.455,1.248,3.391,-0.082,137.405,6.154,3.731,2.767,2.767,19.317,3.01
4.192,2,1,71.332,428.648,0.15,0.935,4,583.188,1.175,0.17,1,6.776,0.932,20,0.04,8,0.169,22.85,0.122,0.49,0.756,168.045,15,7,3,4,506.403,6.5,3.193,0.166,-0.194,1,340.594,343.437,293.748,7,0.204,0.176,7.281,4.442,7,-0.303,6.489,7,32.436,596.239,9,3,7.379,3,226.0,243.37,3.02,3.02,3.997,10.321,10.321,22.85,6.205,-0.003,531.153,7.241,4.219,3.284,3.284,52.743,3.277
4.39,4,2,71.947,380.821,0.137,0.975,3,542.971,1.157,0.201,2,6.887,0.843,18,0.037,10,0.162,22.85,0.224,0.528,0.733,157.922,18,7,3,4,666.415,6.4,3.169,0.185,-0.173,1,340.594,343.437,290.049,7,0.199,0.268,7.287,4.177,7,-0.301,6.4,7,32.963,532.838,9,2,6.489,4,197.0,243.37,3.029,3.029,4.003,10.33,10.33,22.85,6.245,-0.026,508.117,7.204,4.222,3.298,3.298,52.813,3.277
4.609,4,2,70.391,489.434,0.089,0.973,3,658.844,1.194,0.101,2,6.935,0.829,22,0.044,10,0.177,22.85,0.213,0.449,0.78,179.833,16,7,3,4,355.698,7.409,3.219,0.146,-0.228,1,340.594,343.437,300.997,7,0.21,0.214,7.347,4.599,7,-0.305,7.384,7,31.76,647.52,9,2,7.411,2,257.0,243.37,2.997,2.997,3.989,10.312,10.312,22.85,6.164,-0.001,565.916,7.246,4.163,3.237,3.237,54.045,3.277
