pXC50,CATS2D_08_AL,CATS2D_07_AL,CATS2D_05_AA,Eig02_EA.dm.,CATS2D_06_AL,P_VSA_e_3,SpAD_EA.dm.,SM02_EA.dm.,ATS6m,ATSC7p,ATS7v,C.008,ATS7p,Eig03_EA.dm.,C.040,P_VSA_s_6,SsOH,X5sol,MAXDP,P_VSA_s_5,SssNH,CATS2D_05_DA,Eig04_EA.dm.,ATSC6s,CATS2D_07_DD,Hy,nHAcc,P_VSA_m_3,P_VSA_v_2,SAacc,SAdon,SdssC,NssNH,NsOH,MATS5s,CATS2D_09_DD,GATS2p,CATS2D_05_DL,H.050,MLOGP,nHDon,nO,PHI,Uindex,X3v,CATS2D_07_DL,ATSC8i,SpMin4_Bh.p.,SpMax2_Bh.v.,C.005,CATS2D_02_PL,ATSC1i,ATSC8s,CATS2D_02_DA,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_04_DL,CATS2D_06_DA,CATS2D_06_DD,CATS2D_08_DA,CATS2D_08_DL,CATS2D_09_DA,CATS2D_09_DL,CATS2D_09_DP,DLS_01
5.72,4,1,0,0.8,6,21.135,7.145,2.249,3.735,9.858,3.765,1,3.918,0.586,1,64.294,0.0,4.66,5.357,18.011,3.148,0,0.198,51.882,0,-0.369,3,25.145,46.28,46.28,18.011,0.037,1,0,0.022,0,0.879,2,1,3.718,1,1,6.783,45.018,3.932,0,1.08,1.681,3.834,2,0,0.622,56.867,1,0,0,3,4,0,0,0,0,0,0,0,1.0
5.67,3,2,0,0.826,9,21.135,8.743,2.502,3.797,8.365,3.701,1,3.813,0.8,0,75.293,0.0,4.824,5.139,18.011,2.797,0,0.541,64.231,0,-0.342,4,36.145,57.28,57.28,18.011,-0.419,1,0,0.084,0,0.836,3,1,3.316,1,2,7.41,48.259,3.861,0,1.064,1.685,3.834,2,0,0.632,66.103,2,0,0,2,4,1,0,0,1,0,0,0,1.0
5.68,4,4,0,0.8,10,3.124,6.327,2.168,3.89,9.541,3.871,1,3.981,0.636,1,75.293,0.0,6.196,5.722,0.0,0.0,0,0.0,56.735,0,-0.836,3,36.145,39.269,39.269,0.0,-0.311,0,0,0.009,0,0.801,0,0,4.896,0,2,6.048,44.142,4.567,0,1.213,1.673,3.87,2,0,0.601,62.751,0,0,0,0,0,0,0,0,0,0,0,0,0.75
5.64,5,2,0,0.8,8,3.124,6.327,2.168,3.885,9.919,3.931,1,4.051,0.636,1,75.293,0.0,6.335,5.892,0.0,0.0,0,0.0,63.773,0,-0.836,3,36.145,39.269,39.269,0.0,-0.305,0,0,0.001,0,0.801,0,0,4.896,0,2,6.048,44.023,4.591,0,1.32,1.642,3.869,2,0,0.601,59.68,0,0,0,0,0,0,0,0,0,0,0,0,0.75
6.84,6,1,0,0.8,5,39.146,6.311,1.988,3.927,10.63,3.909,1,4.036,0.564,0,64.294,0.0,6.47,5.601,36.022,6.013,0,0.133,58.045,0,0.16,4,25.145,64.291,64.291,36.022,-0.226,2,0,0.004,0,0.872,5,2,4.433,2,1,7.56,52.543,4.945,3,1.305,1.856,3.873,2,0,0.759,68.901,2,0,0,4,7,1,0,0,4,0,2,0,0.75
6.33,5,2,0,0.8,8,3.124,6.327,2.168,3.875,11.131,3.935,1,4.071,0.636,1,75.293,0.0,5.278,5.762,0.0,0.0,0,0.0,64.227,0,-0.83,3,36.145,39.269,39.269,0.0,-0.278,0,0,-0.053,0,0.735,0,0,4.834,0,2,6.772,51.292,4.642,0,1.349,1.607,3.858,2,0,0.654,59.499,0,0,0,0,0,0,0,0,0,0,0,0,0.75
6.39,4,3,0,0.8,7,21.135,4.707,1.557,3.88,10.415,3.899,1,4.027,0.473,1,64.294,0.0,6.196,5.833,18.011,3.18,0,0.0,50.982,0,-0.408,3,25.145,46.28,46.28,18.011,-0.061,1,0,0.028,0,0.814,2,1,4.49,1,1,6.048,44.142,4.706,1,1.238,1.704,3.875,2,0,0.652,62.124,1,0,0,4,4,0,0,0,0,0,0,0,0.75
7.49,6,4,0,0.8,6,21.135,4.707,1.557,3.922,11.373,3.951,1,4.084,0.473,1,64.294,0.0,6.288,5.837,18.011,3.175,0,0.0,47.218,0,-0.429,3,25.145,46.28,46.28,18.011,-0.071,1,0,-0.034,0,0.848,1,1,4.834,1,1,6.993,49.652,4.949,2,1.296,1.854,3.869,2,0,0.695,71.424,1,0,0,4,4,0,0,0,2,0,1,0,0.75
5.77,5,2,0,0.8,6,3.124,6.327,2.168,3.77,9.68,3.833,1,3.971,0.636,1,75.293,0.0,4.681,5.499,0.0,0.0,0,0.0,50.438,0,-0.815,3,36.145,39.269,39.269,0.0,-0.29,0,0,-0.146,0,0.79,0,0,4.392,0,2,6.343,44.906,3.947,0,1.21,1.576,3.841,2,0,0.576,61.513,0,0,0,0,0,0,0,0,0,0,0,0,0.75
5.3,4,3,0,1.126,7,21.135,9.61,2.587,3.912,11.864,3.945,2,4.086,0.8,1,75.293,0.0,5.053,5.794,18.011,3.124,0,0.546,62.698,0,-0.356,4,36.145,57.28,57.28,18.011,-0.146,1,0,-0.11,0,0.812,2,1,3.133,1,2,7.598,51.218,4.282,0,1.317,1.705,3.837,3,0,0.671,67.678,1,1,0,3,4,0,0,0,0,0,0,0,1.0
5.97,5,2,0,0.8,8,49.078,6.327,2.168,4.109,9.744,3.855,1,3.996,0.636,1,75.293,0.0,5.18,5.595,45.954,0.0,0,0.0,54.125,0,-0.782,3,36.145,39.269,39.269,0.0,-0.307,0,0,-0.201,0,0.657,0,0,4.993,0,2,6.992,48.081,4.483,0,1.218,1.573,3.849,2,0,0.561,62.054,0,0,0,0,0,0,0,0,0,0,0,0,0.75
5.94,5,2,0,0.8,6,3.124,6.327,2.168,3.806,10.036,3.885,1,4.019,0.636,1,75.293,0.0,4.898,5.651,0.0,0.0,0,0.0,63.842,0,-0.823,3,36.145,39.269,39.269,0.0,-0.282,0,0,-0.044,0,0.761,0,0,4.615,0,2,6.555,48.043,4.406,0,1.31,1.587,3.853,2,0,0.615,60.53,0,0,0,0,0,0,0,0,0,0,0,0,0.75
5.95,6,0,0,0.86,7,21.135,9.636,2.576,3.862,8.859,3.768,1,3.876,0.814,0,86.293,0.0,5.073,5.294,18.011,2.735,0,0.8,72.483,0,-0.317,5,47.145,68.28,68.28,18.011,-0.507,1,0,-0.046,0,0.779,2,1,3.065,1,3,7.56,51.429,3.898,0,1.092,1.631,3.82,3,0,0.642,77.468,2,0,0,1,3,1,0,0,1,0,0,0,1.0
5.66,6,2,0,0.86,6,3.124,8.047,2.324,3.825,9.209,3.795,1,3.914,0.8,1,86.293,0.0,4.861,5.437,0.0,0.0,0,0.636,61.305,0,-0.782,4,47.145,50.269,50.269,0.0,-0.351,0,0,-0.05,0,0.755,0,0,3.852,0,3,6.944,48.179,3.907,0,1.096,1.595,3.826,3,0,0.588,75.024,0,0,0,0,0,0,0,0,0,0,0,0,1.0
8.444,17,19,9,2.341,17,211.779,45.378,4.273,5.409,41.883,5.389,9,5.451,2.01,10,489.524,29.327,16.722,7.895,178.882,23.772,10,2.0,462.083,3,11.137,23,379.499,591.279,574.493,339.83,-9.445,9,3,0.185,9,1.228,18,17,-1.875,15,13,27.283,196.51,14.217,16,6.249,1.966,3.894,0,1,2.26,764.009,10,9,9,19,16,10,10,11,20,9,24,1,0.25
8.54,15,15,8,2.341,15,208.655,40.355,4.171,5.442,43.77,5.384,8,5.468,2.009,9,377.465,19.296,16.474,7.73,142.861,18.775,9,1.997,366.689,2,8.812,20,311.671,520.326,503.541,294.022,-8.583,7,2,0.191,9,1.179,15,14,-3.704,14,11,23.671,160.669,14.947,13,6.623,1.963,3.884,0,2,2.021,624.266,9,8,8,15,13,8,9,11,18,11,20,2,0.25
5.0,16,17,8,2.341,16,208.655,40.355,4.171,5.441,44.076,5.426,8,5.504,2.009,9,420.149,29.389,17.042,7.809,142.861,18.905,9,1.997,393.722,3,9.61,21,354.354,563.01,546.224,336.705,-8.556,7,3,0.183,9,1.251,17,15,-3.664,15,12,24.667,168.081,15.45,14,6.887,1.969,3.881,0,2,2.129,682.22,9,8,8,18,15,8,9,12,19,12,23,2,0.25
6.39,16,17,8,2.341,16,208.655,40.355,4.171,5.441,44.076,5.426,8,5.504,2.009,9,420.149,29.389,17.042,7.809,142.861,18.905,9,1.997,393.722,3,9.61,21,354.354,563.01,546.224,336.705,-8.556,7,3,0.183,9,1.251,17,15,-3.664,15,12,24.667,168.081,15.45,14,6.887,1.969,3.881,0,2,2.129,682.22,9,8,8,18,15,8,9,12,19,12,23,2,0.25
8.65,16,17,7,2.009,17,208.655,35.673,4.03,5.437,43.985,5.398,7,5.481,1.997,8,352.32,19.992,16.646,7.773,142.861,19.093,7,1.978,339.436,3,8.784,19,286.526,495.181,478.396,294.022,-6.77,7,2,0.178,9,1.186,17,14,-1.042,14,10,22.46,160.66,14.282,14,6.664,1.966,3.891,0,3,2.055,569.779,8,8,8,19,15,8,9,10,19,12,24,2,0.25
8.91,16,17,8,2.341,16,208.655,40.355,4.171,5.435,43.212,5.405,8,5.477,2.009,9,420.149,29.357,17.042,7.778,142.861,18.618,9,1.997,390.933,3,9.61,21,354.354,563.01,546.224,336.705,-8.875,7,3,0.183,9,1.221,17,15,-3.86,15,12,23.887,168.081,14.439,14,6.681,1.966,3.891,0,2,2.051,666.412,9,8,8,18,15,8,9,12,19,12,23,2,0.25
7.63,18,18,8,2.341,16,208.655,40.355,4.171,5.45,44.639,5.436,8,5.515,2.009,9,377.465,19.425,17.306,7.936,142.861,18.95,9,1.997,363.34,2,8.632,20,311.671,520.326,503.541,294.022,-8.63,7,2,0.2,9,1.167,16,14,-2.84,14,11,24.518,179.535,15.323,16,7.016,1.972,3.933,0,2,2.195,626.793,9,8,8,16,14,8,9,11,23,11,27,2,0.25
8.3,19,21,8,2.341,15,208.655,40.355,4.171,5.487,46.564,5.481,8,5.558,2.009,9,420.149,29.516,17.259,7.835,142.861,18.741,9,1.997,434.846,2,9.574,21,354.354,563.01,546.224,336.705,-8.995,7,3,0.159,9,1.145,16,15,-3.704,15,12,23.171,171.861,15.637,17,7.298,1.964,3.894,0,2,2.09,711.997,9,8,8,20,15,9,9,11,22,13,25,2,0.25
8.9,16,17,8,2.341,16,208.655,40.355,4.171,5.435,43.212,5.405,8,5.477,2.009,9,420.149,29.357,17.042,7.778,142.861,18.618,9,1.997,390.933,3,9.61,21,354.354,563.01,546.224,336.705,-8.875,7,3,0.183,9,1.221,17,15,-3.86,15,12,23.887,168.081,14.439,14,6.681,1.966,3.891,0,2,2.051,666.412,9,8,8,18,15,8,9,12,19,12,23,2,0.25
6.06,4,1,0,1.988,6,21.135,14.795,3.378,3.865,10.749,3.855,1,3.964,0.8,1,109.174,0.0,4.951,5.417,18.011,2.971,0,0.586,81.171,0,-0.309,6,70.025,91.16,91.16,18.011,-0.242,1,0,-0.059,0,0.837,2,1,4.536,1,1,7.432,58.387,4.371,0,1.272,1.703,3.854,2,0,0.873,175.781,1,0,0,3,4,0,0,0,0,0,0,0,0.75
5.78,3,2,0,0.8,7,21.135,6.54,2.146,3.78,10.267,3.781,1,3.934,0.561,1,64.294,0.0,4.824,5.361,18.011,3.17,0,0.0,55.147,0,-0.383,3,25.145,46.28,46.28,18.011,0.081,1,0,0.102,0,0.912,2,1,3.941,1,1,7.448,48.259,4.208,1,1.123,1.746,3.841,2,0,0.661,59.408,1,0,0,3,3,0,0,0,0,0,0,0,1.0
5.95,3,2,0,1.909,7,21.135,14.191,3.346,3.905,11.156,3.87,1,3.987,0.8,1,109.174,0.0,5.108,5.407,18.011,3.025,0,0.561,81.8,0,-0.323,6,70.025,91.16,91.16,18.011,-0.14,1,0,-0.016,0,0.871,2,1,4.749,1,1,8.058,62.043,4.647,1,1.371,1.764,3.861,2,0,0.91,121.602,1,0,0,3,3,0,0,0,0,0,0,0,0.75
5.53,3,1,0,0.86,8,21.135,8.26,2.306,3.841,10.715,3.847,1,3.992,0.8,1,75.293,0.0,5.206,5.459,18.011,3.168,0,0.561,59.06,0,-0.37,4,36.145,57.28,57.28,18.011,0.055,1,0,0.094,0,0.848,2,1,3.62,1,2,8.269,54.976,4.524,0,1.218,1.755,3.846,3,0,0.71,71.278,1,0,0,3,3,0,0,1,0,0,0,0,1.0
6.89,3,2,0,1.081,7,21.135,12.358,3.202,3.892,9.917,3.811,1,3.915,0.8,1,109.174,0.0,5.108,5.32,18.011,2.939,0,0.473,67.695,0,-0.323,6,70.025,91.16,91.16,18.011,-0.321,1,0,-0.038,0,0.835,2,1,4.671,1,1,7.821,62.043,4.371,1,1.228,1.728,3.861,2,0,0.882,99.431,1,0,0,3,3,0,0,0,0,0,0,0,0.75
6.4,3,2,0,0.8,7,21.135,7.307,2.414,3.755,8.191,3.685,1,3.803,0.568,1,64.294,0.0,4.824,5.187,52.072,2.996,0,0.0,55.153,0,-0.383,3,25.145,46.28,46.28,18.011,-0.28,1,0,0.06,0,0.817,2,1,3.864,1,1,7.021,48.259,3.789,1,0.925,1.675,3.84,2,0,0.594,63.002,1,0,0,3,3,0,0,0,0,0,0,0,1.0
5.38,4,3,0,0.8,6,21.135,7.145,2.249,3.631,9.902,3.796,1,3.948,0.586,1,25.145,0.0,4.446,5.383,18.011,3.191,0,0.198,46.807,0,-0.412,3,25.145,46.28,46.28,18.011,0.07,1,0,0.054,0,0.937,3,1,3.45,1,1,6.514,45.018,3.887,0,1.249,1.702,3.838,2,0,0.671,41.513,1,0,0,3,4,0,0,0,0,0,0,0,1.0
5.95,4,3,0,1.988,6,21.135,14.795,3.378,3.774,10.713,3.883,1,3.992,0.8,1,70.025,0.0,4.737,5.443,18.011,3.014,0,0.586,70.23,0,-0.346,6,70.025,91.16,91.16,18.011,-0.209,1,0,-0.049,0,0.894,3,1,4.268,1,1,7.18,58.387,4.326,0,1.422,1.72,3.861,2,0,0.923,168.806,1,0,0,3,4,0,0,0,0,0,0,0,0.75
5.23,4,3,0,0.86,5,21.135,8.865,2.394,3.701,10.435,3.861,1,4.004,0.8,1,36.145,0.0,4.835,5.506,18.011,3.188,0,0.586,48.89,0,-0.396,4,36.145,57.28,57.28,18.011,0.037,1,0,0.045,0,0.87,3,1,3.133,1,2,7.324,51.523,4.204,0,1.338,1.712,3.843,3,0,0.72,48.27,1,0,0,3,4,0,0,0,0,0,0,0,1.0
5.51,3,4,0,0.8,7,21.135,7.307,2.414,3.653,8.379,3.718,1,3.836,0.568,1,25.145,0.0,4.61,5.213,52.072,3.039,0,0.0,52.119,0,-0.424,3,25.145,46.28,46.28,18.011,-0.247,1,0,0.1,0,0.868,3,1,3.596,1,1,6.752,48.259,3.744,1,1.101,1.699,3.844,2,0,0.645,46.847,1,0,0,3,3,0,0,0,0,0,0,0,1.0
6.22,5,6,0,0.8,7,21.135,6.54,2.146,3.815,11.663,3.965,1,4.103,0.561,1,25.145,0.0,6.017,5.584,18.011,3.258,0,0.0,51.63,0,-0.455,3,25.145,46.28,46.28,18.011,0.107,1,0,0.117,0,0.956,4,1,4.165,1,1,6.753,46.791,4.86,2,1.511,1.772,3.856,2,0,0.743,50.568,1,0,0,3,3,0,0,0,0,0,0,0,0.75
6.43,5,6,0,1.909,7,21.135,14.191,3.346,3.936,12.557,4.04,1,4.148,0.8,1,70.025,0.0,6.301,5.63,18.011,3.114,0,0.561,74.442,0,-0.393,6,70.025,91.16,91.16,18.011,-0.114,1,0,-0.013,0,0.915,4,1,4.946,1,1,7.484,58.264,5.298,2,1.779,1.784,3.887,2,0,1.005,108.587,1,0,0,3,3,0,0,0,0,0,0,0,0.75
6.87,5,6,0,1.081,7,21.135,12.358,3.202,3.923,11.317,3.991,1,4.087,0.8,1,70.025,0.0,6.301,5.543,18.011,3.027,0,0.473,65.977,0,-0.393,6,70.025,91.16,91.16,18.011,-0.295,1,0,-0.03,0,0.882,4,1,4.872,1,1,7.274,58.264,5.023,2,1.611,1.762,3.89,2,0,0.972,92.072,1,0,0,3,3,0,0,0,0,0,0,0,0.75
6.42,5,5,0,0.86,8,21.135,6.427,1.828,3.86,11.088,3.977,1,4.094,0.8,1,36.145,0.0,6.399,5.595,18.011,3.169,0,0.473,55.875,0,-0.439,4,36.145,57.28,57.28,18.011,-0.099,1,0,0.102,0,0.86,4,1,3.759,1,2,7.314,52.4,4.9,1,1.477,1.758,3.867,3,0,0.762,63.714,1,0,0,3,3,0,0,1,0,0,0,0,1.0
6.34,5,6,0,0.8,7,21.135,7.307,2.414,3.791,9.606,3.886,1,3.993,0.568,1,25.145,0.0,6.017,5.41,52.072,3.084,0,0.0,52.647,0,-0.455,3,25.145,46.28,46.28,18.011,-0.254,1,0,0.083,0,0.871,4,1,4.091,1,1,6.385,46.791,4.44,2,1.293,1.738,3.856,2,0,0.669,54.661,1,0,0,3,3,0,0,0,0,0,0,0,1.0
5.64,3,4,0,1.909,7,21.135,14.191,3.346,3.818,11.056,3.897,1,4.015,0.8,1,70.025,0.0,4.894,5.433,18.011,3.068,0,0.561,71.407,0,-0.358,6,70.025,91.16,91.16,18.011,-0.107,1,0,-0.01,0,0.926,3,1,4.481,1,1,7.797,62.043,4.602,1,1.522,1.772,3.867,2,0,0.96,102.914,1,0,0,3,3,0,0,0,0,0,0,0,0.75
5.27,3,3,0,0.86,8,21.135,8.26,2.306,3.748,10.663,3.875,1,4.02,0.8,1,36.145,0.0,4.992,5.485,18.011,3.211,0,0.561,53.818,0,-0.408,4,36.145,57.28,57.28,18.011,0.088,1,0,0.113,0,0.904,3,1,3.352,1,2,7.987,54.976,4.48,0,1.382,1.764,3.85,3,0,0.759,55.77,1,0,0,3,3,0,0,1,0,0,0,0,1.0
6.36,3,4,0,1.081,7,21.135,12.358,3.202,3.804,9.946,3.841,1,3.945,0.8,1,70.025,0.0,4.894,5.346,18.011,2.982,0,0.473,62.681,0,-0.358,6,70.025,91.16,91.16,18.011,-0.288,1,0,-0.028,0,0.887,3,1,4.403,1,1,7.564,62.043,4.326,1,1.382,1.741,3.868,2,0,0.932,86.074,1,0,0,3,3,0,0,0,0,0,0,0,0.75
5.7,3,3,0,0.86,8,21.135,6.427,1.828,3.733,9.738,3.824,1,3.954,0.8,1,36.145,0.0,4.992,5.399,18.011,3.124,0,0.473,55.038,0,-0.408,4,36.145,57.28,57.28,18.011,-0.092,1,0,0.113,0,0.863,3,1,3.275,1,2,7.735,54.976,4.204,0,1.266,1.735,3.852,3,0,0.729,56.618,1,0,0,3,3,0,0,1,0,0,0,0,1.0
7.503,7,6,2,0.86,2,65.483,6.76,1.856,4.464,12.488,3.869,1,4.01,0.86,0,116.461,0.0,8.257,5.956,62.359,2.562,1,0.8,84.302,0,-0.234,7,77.313,96.842,96.842,16.405,0.0,1,0,-0.066,0,0.672,1,1,1.665,1,5,7.352,52.434,7.205,0,1.022,1.734,3.826,3,0,0.715,77.522,2,0,0,2,2,1,0,0,0,0,0,0,0.75
7.346,7,7,2,0.86,4,49.078,13.305,3.326,4.461,13.633,3.913,1,4.07,0.86,0,116.461,0.0,8.257,6.067,45.954,0.0,0,0.86,86.121,0,-0.683,6,77.313,80.437,80.437,0.0,0.0,0,0,-0.074,0,0.729,0,0,2.641,0,5,7.384,52.434,7.719,0,1.106,1.74,3.831,3,0,0.694,76.986,0,0,0,0,0,0,0,0,0,0,0,0,0.75
5.893,7,7,2,0.86,4,49.078,13.305,3.326,4.461,13.633,3.913,1,4.07,0.86,0,116.461,0.0,8.257,6.067,45.954,0.0,0,0.86,86.121,0,-0.683,6,77.313,80.437,80.437,0.0,0.0,0,0,-0.074,0,0.729,0,0,2.641,0,5,7.384,52.434,7.719,0,1.106,1.74,3.831,3,0,0.694,76.986,0,0,0,0,0,0,0,0,0,0,0,0,0.75
6.611,6,6,1,0.86,4,49.078,13.305,3.326,4.385,13.156,3.856,1,4.036,0.86,0,94.305,0.0,8.009,5.991,45.954,0.0,0,0.86,56.372,0,-0.707,5,55.156,58.28,58.28,0.0,0.0,0,0,-0.079,0,0.72,0,0,2.678,0,4,7.673,49.73,7.273,0,1.062,1.729,3.825,3,0,0.669,48.692,0,0,0,0,0,0,0,0,0,0,0,0,1.0
6.357,6,5,0,0.86,4,49.078,13.305,3.326,4.303,12.66,3.796,1,4.0,0.86,0,72.148,0.0,7.752,2.631,45.954,0.0,0,0.86,29.274,0,-0.733,4,33.0,36.124,36.124,0.0,0.0,0,0,-0.149,0,0.704,0,0,3.546,0,3,7.621,47.107,6.827,0,1.016,1.726,3.819,3,0,0.644,30.075,0,0,0,0,0,0,0,0,0,0,0,0,1.0
5.877,5,4,0,0.86,3,67.089,8.075,1.983,4.193,11.412,3.78,1,3.955,0.86,0,72.148,0.0,6.945,2.6,63.965,3.416,1,0.8,33.649,0,-0.309,5,33.0,54.135,54.135,18.011,0.0,1,0,-0.093,0,0.654,1,1,2.758,1,3,7.279,47.107,5.659,0,0.962,1.73,3.82,3,0,0.682,32.406,0,0,0,2,2,1,0,0,0,0,0,0,1.0
5.855,5,4,0,0.86,3,67.089,8.075,1.983,4.193,11.412,3.78,1,3.955,0.86,0,72.148,0.0,6.945,2.6,63.965,3.416,1,0.8,33.649,0,-0.309,5,33.0,54.135,54.135,18.011,0.0,1,0,-0.093,0,0.654,1,1,2.758,1,3,7.279,47.107,5.659,0,0.962,1.73,3.82,3,0,0.682,32.406,0,0,0,2,2,1,0,0,0,0,0,0,1.0
6.175,5,6,2,0.86,5,49.078,9.062,2.202,4.204,11.184,3.763,1,3.92,0.86,0,83.148,0.0,6.945,2.585,45.954,0.0,0,0.86,37.777,0,-0.733,5,44.0,47.124,47.124,0.0,0.0,0,0,-0.049,0,0.641,0,0,2.758,0,4,7.279,47.107,5.402,0,0.918,1.729,3.816,3,0,0.638,35.331,0,0,0,0,0,0,0,0,0,0,0,0,1.0
5.514,5,5,0,0.86,4,67.089,8.075,1.983,4.197,11.48,3.789,1,3.964,0.86,0,72.148,0.0,6.945,2.613,63.965,3.413,2,0.8,35.457,0,-0.309,5,33.0,54.135,54.135,18.011,0.0,1,0,-0.107,0,0.654,0,1,2.758,1,3,7.279,47.107,5.562,1,1.0,1.732,3.819,3,0,0.682,33.456,0,0,0,4,1,0,0,1,0,0,0,0,1.0
5.904,5,4,0,0.86,3,67.089,8.075,1.983,4.098,10.879,3.756,0,3.927,0.86,0,72.148,0.0,6.133,2.271,63.965,3.382,1,0.8,29.629,0,-0.294,5,33.0,54.135,54.135,18.011,0.0,1,0,-0.131,0,0.565,1,1,2.933,1,3,8.504,55.149,4.813,0,0.927,1.581,3.813,4,0,0.656,36.405,0,0,0,2,2,1,0,0,0,0,0,0,1.0
6.692,5,4,0,0.86,2,67.089,15.725,3.3,4.313,12.834,3.941,1,4.02,0.86,0,77.88,0.0,6.634,5.446,63.965,3.159,1,0.86,78.975,0,-0.283,8,77.88,99.015,99.015,18.011,0.0,1,0,-0.119,0,0.692,0,1,3.076,1,3,7.558,55.253,5.703,0,1.574,1.731,3.833,3,0,0.929,113.078,0,0,0,2,3,1,0,0,0,0,0,0,1.0
5.0,2,3,0,0.8,3,21.135,4.635,1.459,3.469,7.077,3.488,0,3.637,0.657,0,50.149,0.0,4.225,2.227,18.011,3.379,0,0.0,19.018,0,-0.338,3,11.0,32.135,32.135,18.011,0.0,1,0,-0.079,0,0.803,2,1,3.468,1,1,6.206,39.402,3.379,0,0.747,1.518,3.797,2,0,0.57,27.429,0,0,0,3,2,0,0,0,0,0,0,0,1.0
5.339,3,2,0,0.8,3,67.089,4.635,1.459,3.812,7.899,3.564,0,3.731,0.657,0,50.149,0.0,4.746,2.241,63.965,3.39,0,0.0,19.103,0,-0.31,3,11.0,32.135,32.135,18.011,0.0,1,0,-0.122,0,0.657,2,1,4.083,1,1,6.861,42.35,4.254,0,0.759,1.518,3.808,2,0,0.559,28.701,0,0,0,2,3,0,0,0,0,0,0,0,1.0
5.728,3,2,0,0.86,2,67.089,12.285,3.184,4.089,10.346,3.784,1,3.843,0.8,0,55.88,0.0,5.248,5.317,63.965,3.167,0,0.657,67.286,0,-0.294,6,55.88,77.015,77.015,18.011,0.0,1,0,-0.126,0,0.782,1,1,4.246,1,1,6.033,44.202,5.143,0,1.424,1.729,3.825,1,0,0.849,103.164,0,0,0,2,4,0,0,0,0,0,0,0,0.75
6.2,2,3,0,0.86,3,21.135,12.285,3.184,3.676,7.875,3.65,0,3.728,0.8,0,95.029,0.0,4.388,5.027,18.011,2.991,0,0.657,68.268,0,-0.277,6,55.88,77.015,77.015,18.011,0.0,1,0,-0.148,0,0.765,2,1,4.308,1,1,6.852,51.753,3.845,0,1.172,1.521,3.815,2,0,0.811,80.968,0,0,0,3,2,0,0,0,0,0,0,0,0.75
5.509,4,3,0,0.86,2,21.135,14.005,3.244,3.902,9.387,3.785,1,3.819,0.86,0,66.88,0.0,5.109,5.33,18.011,3.153,0,0.8,71.377,0,-0.309,7,66.88,88.015,88.015,18.011,0.0,1,0,-0.095,0,0.895,0,1,3.329,1,2,6.177,46.981,4.584,0,1.463,1.731,3.817,2,0,0.895,105.747,0,0,0,3,3,1,0,0,0,0,0,0,1.0
5.947,2,5,0,0.86,2,21.135,14.005,3.244,3.909,9.736,3.802,1,3.839,0.86,0,66.88,0.0,5.173,5.34,18.011,3.152,1,0.8,69.222,0,-0.309,7,66.88,88.015,88.015,18.011,0.0,1,0,-0.105,0,0.895,1,1,3.329,1,2,6.177,46.9,4.56,0,1.467,1.73,3.817,2,0,0.895,103.682,0,0,0,3,2,0,0,0,0,0,0,0,1.0
5.854,4,4,0,1.392,4,67.089,16.131,3.353,4.189,10.761,3.885,1,3.913,0.86,0,77.88,0.0,6.744,5.437,63.965,3.161,1,0.8,80.369,0,-0.268,8,77.88,99.015,99.015,18.011,0.0,1,0,-0.121,0,0.719,1,1,3.271,1,3,5.981,44.611,5.726,0,1.524,1.729,3.842,1,0,0.886,112.929,0,0,0,1,3,0,0,0,0,0,0,0,1.0
6.185,5,4,0,1.392,2,67.089,16.131,3.353,4.179,10.8,3.858,1,3.899,0.86,0,77.88,0.0,6.723,5.419,63.965,3.162,1,0.8,76.5,0,-0.268,8,77.88,99.015,99.015,18.011,0.0,1,0,-0.106,0,0.719,0,1,3.271,1,3,5.981,44.684,5.692,0,1.495,1.729,3.842,1,0,0.886,112.714,0,0,0,2,3,1,0,0,0,0,0,0,1.0
6.272,5,5,1,0.86,4,21.135,17.445,3.353,4.123,11.905,4.02,1,4.062,0.86,0,88.88,0.0,6.248,5.482,18.011,3.143,1,0.86,92.022,0,-0.297,9,88.88,110.015,110.015,18.011,0.0,1,0,-0.1,0,0.783,0,1,2.199,1,4,7.704,58.102,5.198,0,1.733,1.731,3.826,4,0,0.969,119.51,0,0,0,2,2,1,0,0,0,0,0,0,1.0
5.634,1,3,0,0.86,1,21.135,12.285,3.184,3.888,9.06,3.657,1,3.702,0.8,0,55.88,0.0,4.393,5.231,18.011,3.152,0,0.657,64.71,0,-0.26,6,55.88,77.015,77.015,18.011,0.0,1,0,-0.127,0,0.887,0,1,3.275,1,1,5.357,39.104,4.852,0,1.328,1.686,3.795,1,0,0.837,100.622,0,0,0,3,2,0,0,0,0,0,0,0,1.0
6.484,1,3,0,0.86,1,21.135,12.285,3.184,3.95,9.459,3.699,1,3.744,0.8,0,95.029,0.0,5.239,5.26,18.011,3.121,0,0.657,71.003,0,-0.238,6,55.88,77.015,77.015,18.011,0.0,1,0,-0.135,0,0.755,1,1,3.773,1,1,5.812,41.651,5.255,0,1.314,1.684,3.809,1,0,0.824,111.325,0,0,0,3,2,0,0,0,0,0,0,0,1.0
