pXC50,GATS4p,MATS4i,ATSC2s,JGI7,ATSC5e,ATSC5s,AAC,AECC,ALOGP,ALOGP2,AMR,AMW,ARR,ATS1e,ATS1i,ATS1m,ATS1p,ATS1s,ATS1v,ATS2e,ATS2i,ATS2m,ATS2p,ATS2s,ATS2v,ATS3e,ATS3i,ATS3m,ATS3p,ATS3s,ATS3v,ATS4e,ATS4i,ATS4m,ATS4p,ATS4s,ATS4v,ATS5e,ATS5i,ATS5m,ATS5p,ATS5s,ATS5v,ATS6e,ATS6i,ATS6m,ATS6p,ATS6s,ATS6v,ATS7e,ATS7i,ATS7m,ATS7p,ATS7s,ATS7v,ATS8e,ATS8i,ATS8m,ATS8p,ATS8s,ATS8v,ATSC1e,ATSC1i,ATSC1m,ATSC1p,ATSC1s,ATSC1v,ATSC2e,ATSC2i,ATSC2m,ATSC2p,ATSC2v,ATSC3e,ATSC3i,ATSC3m,ATSC3p,ATSC3s,ATSC3v,ATSC4e,ATSC4i,ATSC4m,ATSC4p,ATSC4s,ATSC4v,ATSC5i,ATSC5m,ATSC5p,ATSC5v,ATSC6e,ATSC6i,ATSC6m,ATSC6p,ATSC6s,ATSC6v,ATSC7e,ATSC7i,ATSC7m,ATSC7p,ATSC7s,ATSC7v,ATSC8e,ATSC8i,ATSC8m,ATSC8p,ATSC8s,ATSC8v,BAC,BBI,BIC0,BIC1,BIC2,BIC3,BIC4,BIC5,BID,BLI,BLTA96,BLTD48,BLTF96,C.,C.001,C.002,C.003,C.005,C.006,C.008,C.009,C.011,C.013,C.024,C.025,C.027,CATS2D_01_DA,CATS2D_01_LL,CATS2D_02_AA,CATS2D_02_AL,CATS2D_02_DL,CATS2D_02_DN,CATS2D_02_LL,CATS2D_02_NL,CATS2D_02_PL,CATS2D_03_AL,CATS2D_03_DA,CATS2D_03_DD,CATS2D_03_DL,CATS2D_03_DN,CATS2D_03_LL,CATS2D_03_NL,CATS2D_03_PL,CATS2D_03_PN,CATS2D_04_AL,CATS2D_04_AN,CATS2D_04_AP,CATS2D_04_DA,CATS2D_04_DD,CATS2D_04_DL,CATS2D_04_DP,CATS2D_04_LL,CATS2D_04_NL,CATS2D_04_PL,CATS2D_05_AA,CATS2D_05_AL,CATS2D_05_AN,CATS2D_05_DA,CATS2D_05_DL,CATS2D_05_LL,CATS2D_05_NL,CATS2D_05_PL,CATS2D_06_AA,CATS2D_06_AL,CATS2D_06_DA,CATS2D_06_DL,CATS2D_06_LL,CATS2D_06_NL,CATS2D_06_PL,CATS2D_07_AL,CATS2D_07_DL,CATS2D_07_LL,CATS2D_07_NL,CATS2D_07_PL,CATS2D_08_AL,CATS2D_08_DL,CATS2D_08_LL,CATS2D_08_NL,CATS2D_08_PL,CATS2D_09_AL,CATS2D_09_DL,CATS2D_09_LL,CATS2D_09_NL,CENT,Chi0_AEA.bo.,Chi0_AEA.dm.,Chi0_AEA.ed.,Chi0_AEA.ri.,Chi0_EA,Chi0_EA.bo.,Chi0_EA.dm.,Chi0_EA.ed.,Chi0_EA.ri.,Chi1_AEA.bo.,Chi1_AEA.dm.,Chi1_AEA.ed.,Chi1_AEA.ri.,Chi1_EA,Chi1_EA.bo.,Chi1_EA.dm.,Chi1_EA.ed.,Chi1_EA.ri.,CIC0,CIC1,CIC2,CIC3,CIC4,CIC5,CID,CMC.50,CMC.80,CSI,DBI,D.Dtr05
6.288,0.69,0.236,163.768,0.0,0.794,143.899,1.797,6.133,-1.831,3.351,54.336,8.162,0.0,3.522,3.64,3.546,3.068,4.583,2.896,4.098,4.253,3.711,3.45,5.886,3.223,4.416,4.624,3.804,3.501,5.568,3.325,4.587,4.825,3.662,3.376,6.421,3.219,4.254,4.498,3.024,3.188,5.44,2.971,4.082,4.342,3.102,3.146,5.163,2.864,3.931,4.143,3.03,3.019,5.394,2.802,4.045,4.235,1.746,2.385,5.517,2.319,0.37,0.398,13.51,4.372,61.68,3.898,0.826,0.58,23.191,8.307,6.592,0.906,0.632,31.527,7.302,161.276,7.931,1.77,0.555,34.445,7.398,290.514,8.013,0.447,24.028,6.043,6.3,0.599,0.406,20.35,6.074,118.775,5.845,0.506,0.335,24.139,6.391,77.125,5.075,0.998,0.183,16.935,2.443,179.771,3.05,81,21,0.356,0.576,0.709,0.734,0.734,0.734,2.792,1.655,-0.16,-0.3,-0.48,18.8,2,0,1,0,2,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,2,6,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0,4,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,258.0,8.342,8.342,8.342,8.342,8.342,7.954,6.325,4.78,8.398,6.899,6.899,6.899,6.899,6.899,6.214,7.5,2.26,6.983,3.203,2.094,1.422,1.297,1.297,1.297,3.357,0,0,163.0,4.583,0.0
6.119,0.847,0.058,160.782,0.02,1.01,134.924,1.906,6.125,-2.446,5.982,56.727,8.568,0.0,3.567,3.685,3.614,3.097,4.606,2.953,4.167,4.315,3.803,3.505,5.913,3.315,4.488,4.715,3.836,3.513,5.594,3.355,4.516,4.722,3.708,3.324,6.406,3.222,4.3,4.551,3.272,3.229,5.522,3.009,4.012,4.261,3.404,3.3,5.091,3.025,4.173,4.318,3.096,3.021,5.668,2.944,3.965,4.235,1.498,2.353,5.198,2.167,0.414,0.426,12.744,4.318,65.003,3.713,0.878,0.644,22.84,8.057,6.527,1.095,0.643,33.28,7.03,167.622,7.759,1.725,0.53,31.922,6.271,278.422,7.314,0.471,22.58,5.739,6.363,0.488,0.458,23.8,7.575,81.487,6.243,0.949,0.328,23.892,5.699,172.445,4.733,0.837,0.168,17.125,2.802,143.16,3.657,44,24,0.375,0.585,0.691,0.725,0.725,0.725,2.852,1.53,0.17,0.01,-0.2,18.8,0,2,0,0,3,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,2,0,6,8,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,282.0,9.496,9.496,9.496,9.496,9.496,9.109,8.819,5.446,9.594,7.899,7.899,7.899,7.899,7.899,7.214,10.387,2.584,8.058,3.094,2.025,1.485,1.313,1.313,1.313,3.454,0,0,188.0,4.183,52.305
6.31,0.828,0.081,163.423,0.019,0.776,136.089,1.728,8.471,-0.781,0.61,63.667,7.612,0.0,3.679,3.805,3.611,3.22,4.674,3.052,4.27,4.441,3.755,3.596,5.933,3.36,4.596,4.842,3.85,3.642,5.626,3.449,4.668,4.894,3.733,3.543,6.442,3.376,4.501,4.778,3.154,3.401,5.56,3.17,4.3,4.575,3.061,3.274,5.328,3.026,4.18,4.447,2.987,3.159,5.259,2.916,4.037,4.283,2.917,3.049,5.182,2.804,0.332,0.48,15.819,5.008,56.838,4.902,0.811,0.698,26.269,9.385,8.208,0.867,0.759,37.048,8.478,153.396,9.805,1.702,0.694,34.785,8.467,286.618,9.494,0.6,28.987,7.221,8.327,0.565,0.515,24.169,6.612,104.221,7.274,0.542,0.447,22.052,5.933,98.681,6.263,0.479,0.385,19.529,5.501,91.527,5.469,71,22,0.327,0.525,0.7,0.79,0.81,0.81,2.904,1.663,-0.84,-0.95,-1.06,21.1,1,4,0,0,2,0,1,0,0,0,0,0,0,4,0,0,1,0,3,0,0,0,0,0,1,6,2,0,0,0,0,0,0,6,8,1,0,1,0,0,0,0,0,0,1,0,2,0,0,2,0,5,0,2,0,2,4,0,2,0,2,4,0,2,0,2,4,0,2,366.0,10.179,10.179,10.179,10.179,10.179,9.791,6.325,6.314,10.243,7.881,7.881,7.881,7.881,7.881,7.196,7.5,2.983,7.973,3.52,2.474,1.546,1.072,0.967,0.967,3.493,0,0,262.0,4.69,0.0
6.542,0.844,-0.007,161.33,0.016,1.051,132.602,1.866,6.824,-1.99,3.959,61.328,8.235,0.0,3.645,3.767,3.645,3.174,4.657,3.03,4.251,4.408,3.832,3.582,5.938,3.389,4.599,4.833,3.91,3.645,5.657,3.489,4.662,4.885,3.758,3.481,6.445,3.354,4.442,4.716,3.322,3.342,5.587,3.113,4.124,4.377,3.448,3.399,5.151,3.126,4.292,4.459,3.316,3.272,5.704,3.11,4.188,4.427,2.591,2.814,5.494,2.668,0.396,0.468,14.016,4.621,61.659,4.229,0.873,0.709,24.614,8.586,7.382,1.062,0.77,36.152,7.788,161.134,9.132,1.79,0.654,35.449,7.136,285.741,8.908,0.547,26.247,6.41,7.528,0.451,0.527,25.037,8.141,75.565,7.12,0.922,0.443,27.049,7.194,167.105,6.063,0.89,0.279,23.135,4.654,154.937,4.938,44,25,0.358,0.559,0.683,0.743,0.743,0.743,2.907,1.529,-0.18,-0.32,-0.5,20.0,0,3,0,0,3,0,1,0,0,0,0,0,1,2,0,2,0,0,1,0,0,1,0,0,2,6,0,0,0,0,0,2,0,6,8,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,4,0,4,8,0,2,0,2,4,0,0,0,0,0,0,0,320.0,10.203,10.203,10.203,10.203,10.203,9.816,8.819,5.946,10.301,8.399,8.399,8.399,8.399,8.399,7.714,10.387,2.834,8.558,3.263,2.218,1.572,1.257,1.257,1.257,3.519,0,0,223.0,4.183,0.0
5.995,0.834,0.075,163.667,0.016,0.714,125.887,1.668,10.053,0.131,0.017,72.869,7.211,0.0,3.815,3.947,3.672,3.351,4.767,3.186,4.417,4.599,3.816,3.733,5.981,3.498,4.751,5.011,3.906,3.793,5.711,3.587,4.813,5.055,3.796,3.708,6.48,3.524,4.67,4.957,3.264,3.589,5.65,3.349,4.503,4.79,3.181,3.485,5.438,3.23,4.406,4.688,3.123,3.385,5.384,3.133,4.3,4.575,3.061,3.274,5.328,3.026,0.301,0.56,17.926,5.657,52.287,5.895,0.797,0.826,29.276,10.485,9.828,0.8,0.916,41.094,9.811,141.4,11.854,1.724,0.851,38.523,9.816,291.45,11.508,0.755,32.289,8.581,10.348,0.521,0.667,27.627,7.982,97.126,9.297,0.499,0.596,25.576,7.256,92.626,8.259,0.476,0.526,23.524,6.53,88.064,7.221,75,24,0.304,0.481,0.647,0.751,0.809,0.825,3.006,1.645,-2.38,-2.41,-2.36,22.7,1,6,0,0,2,0,1,0,0,0,0,0,0,6,0,0,1,0,5,0,0,0,0,0,1,6,4,0,0,0,0,0,0,6,8,1,0,3,0,0,0,0,0,0,1,2,2,0,0,2,0,5,1,2,0,2,5,0,2,0,2,5,0,2,0,2,4,0,2,484.0,11.593,11.593,11.593,11.593,11.593,11.205,6.325,7.314,11.658,8.881,8.881,8.881,8.881,8.881,8.196,7.5,3.483,8.973,3.791,2.817,1.904,1.335,1.017,0.926,3.607,0,1,352.0,4.899,0.0
7.886,0.774,0.086,165.189,0.016,0.823,147.067,1.775,6.824,-1.164,1.355,61.605,7.978,0.0,3.657,3.773,3.633,3.229,4.635,3.074,4.275,4.424,3.826,3.658,5.936,3.447,4.658,4.897,3.907,3.731,5.669,3.548,4.721,4.955,3.742,3.587,6.454,3.412,4.478,4.755,3.289,3.443,5.506,3.193,4.23,4.466,3.467,3.451,5.337,3.185,4.34,4.524,3.317,3.294,5.717,3.122,4.188,4.427,2.591,2.814,5.494,2.668,0.348,0.486,14.651,5.001,60.424,4.638,0.805,0.765,25.084,9.666,8.4,0.946,0.88,37.927,9.321,163.997,10.644,1.758,0.763,36.78,9.132,294.658,10.231,0.629,28.556,7.757,8.385,0.491,0.582,26.718,8.83,98.035,7.675,0.859,0.499,28.344,7.528,162.639,6.44,0.811,0.324,22.706,4.747,147.23,4.927,44,25,0.338,0.536,0.657,0.723,0.752,0.752,2.907,1.573,-0.45,-0.58,-0.73,22.2,0,5,0,0,1,1,1,0,0,0,0,0,0,4,0,0,2,0,4,0,0,0,0,0,2,6,2,0,0,0,0,0,0,6,8,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,8,0,4,0,4,8,0,2,0,2,4,0,0,0,0,0,0,0,320.0,10.203,10.203,10.203,10.203,10.203,9.816,7.906,5.946,10.261,8.399,8.399,8.399,8.399,8.399,7.714,12.5,2.834,8.491,3.395,2.359,1.722,1.375,1.222,1.222,3.519,0,0,223.0,4.183,0.0
7.237,0.831,0.078,163.681,0.017,0.744,130.909,1.697,9.278,-0.325,0.106,68.268,7.397,0.0,3.749,3.878,3.642,3.288,4.722,3.121,4.346,4.523,3.786,3.667,5.957,3.432,4.676,4.93,3.878,3.72,5.669,3.521,4.743,4.978,3.765,3.629,6.461,3.453,4.589,4.871,3.211,3.499,5.606,3.264,4.406,4.688,3.123,3.385,5.384,3.133,4.3,4.575,3.061,3.274,5.328,3.026,4.18,4.447,2.987,3.159,5.259,2.916,0.316,0.52,16.893,5.331,54.504,5.399,0.804,0.762,27.788,9.935,9.02,0.832,0.838,39.113,9.143,147.232,10.834,1.714,0.773,36.683,9.141,289.372,10.504,0.678,30.654,7.901,9.341,0.543,0.591,25.918,7.297,100.699,8.289,0.517,0.521,23.823,6.568,95.465,7.246,0.498,0.452,21.751,5.894,90.734,6.243,74,23,0.315,0.502,0.674,0.775,0.818,0.818,2.957,1.653,-1.16,-1.25,-1.33,22.0,1,5,0,0,2,0,1,0,0,0,0,0,0,5,0,0,1,0,4,0,0,0,0,0,1,6,3,0,0,0,0,0,0,6,8,1,0,2,0,0,0,0,0,0,1,1,2,0,0,2,0,5,0,2,0,2,5,0,2,0,2,4,0,2,0,2,4,0,2,416.0,10.886,10.886,10.886,10.886,10.886,10.498,6.325,6.814,10.951,8.381,8.381,8.381,8.381,8.381,7.696,7.5,3.233,8.473,3.661,2.65,1.725,1.177,0.945,0.945,3.552,0,1,306.0,4.796,0.0
6.377,0.763,0.043,164.625,0.038,0.849,143.419,1.762,6.938,-1.442,2.079,59.014,7.863,0.0,3.604,3.726,3.579,3.147,4.635,2.977,4.188,4.352,3.743,3.532,5.911,3.304,4.511,4.733,3.83,3.597,5.607,3.412,4.665,4.904,3.705,3.483,6.441,3.309,4.409,4.687,3.086,3.275,5.52,3.058,4.132,4.378,2.987,3.168,5.238,2.925,4.082,4.342,3.102,3.146,5.163,2.864,3.931,4.143,3.03,3.019,5.394,2.802,0.35,0.439,14.696,4.688,58.644,4.401,0.821,0.644,24.764,8.856,7.416,0.875,0.713,34.102,8.018,154.557,9.033,1.74,0.64,35.706,8.258,292.953,9.204,0.516,27.728,6.292,7.085,0.541,0.439,21.014,6.109,104.602,6.289,0.54,0.412,20.097,6.033,107.348,5.822,0.449,0.343,23.647,6.308,65.706,5.054,82,22,0.341,0.565,0.73,0.752,0.752,0.752,2.85,1.645,-0.51,-0.64,-0.78,20.0,2,1,1,0,2,0,1,0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,1,6,0,0,0,0,0,0,0,6,8,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0,2,0,2,4,0,4,0,4,8,0,0,0,0,0,0,0,306.0,9.049,9.049,9.049,9.049,9.049,8.661,6.325,5.28,9.114,7.399,7.399,7.399,7.399,7.399,6.714,7.5,2.507,7.488,3.368,2.209,1.357,1.243,1.243,1.243,3.424,0,0,199.0,4.69,0.0
6.025,0.821,0.094,163.258,0.0,0.882,163.148,1.797,6.067,-1.772,3.141,54.282,8.162,0.0,3.522,3.64,3.546,3.068,4.582,2.896,4.098,4.252,3.714,3.443,5.887,3.216,4.421,4.637,3.818,3.499,5.567,3.337,4.559,4.766,3.674,3.431,6.422,3.271,4.395,4.677,3.194,3.321,5.461,3.052,4.082,4.314,3.25,3.23,5.364,2.977,4.18,4.365,2.666,2.873,5.68,2.735,3.807,4.116,1.251,2.144,4.963,1.921,0.37,0.398,13.51,4.372,61.714,3.898,0.821,0.578,23.145,8.257,6.557,0.947,0.636,32.11,7.065,164.615,7.729,1.684,0.587,31.937,7.722,279.49,8.265,0.505,27.49,7.052,7.426,0.543,0.427,25.631,7.436,96.579,6.216,0.978,0.296,23.707,4.851,170.194,4.562,0.64,0.142,14.851,2.282,113.662,3.101,81,21,0.356,0.588,0.746,0.784,0.784,0.784,2.793,1.669,-0.16,-0.3,-0.48,18.8,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,6,1,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,8,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,253.0,8.505,8.505,8.505,8.505,8.505,8.117,7.906,4.763,8.571,6.809,6.809,6.809,6.809,6.809,6.124,12.5,2.166,6.911,3.203,2.032,1.235,1.047,1.047,1.047,3.357,0,0,161.0,4.583,0.0
5.917,0.676,0.13,167.058,0.0,0.829,157.353,1.797,5.333,-2.091,4.372,54.396,8.162,0.0,3.522,3.64,3.546,3.068,4.595,2.896,4.099,4.252,3.758,3.46,5.9,3.251,4.433,4.621,3.816,3.559,5.623,3.392,4.683,4.938,3.666,3.476,6.436,3.281,4.327,4.593,3.335,3.35,5.421,3.071,4.082,4.285,3.379,3.307,5.582,3.079,4.38,4.547,2.087,2.702,5.905,2.662,3.494,3.98,0.227,1.827,3.611,1.252,0.37,0.398,13.51,4.372,60.165,3.898,0.822,0.596,23.251,8.243,6.564,0.919,0.683,30.576,7.182,148.485,8.0,1.801,0.605,37.778,8.716,305.838,9.579,0.512,24.57,7.001,6.976,0.486,0.448,30.912,8.799,67.781,6.588,1.451,0.257,23.275,3.31,264.06,4.049,0.281,0.102,12.766,2.121,48.636,3.153,95,23,0.356,0.571,0.649,0.649,0.649,0.618,2.794,1.619,-0.16,-0.3,-0.48,18.8,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.0,7.875,7.875,7.875,7.875,7.875,7.488,9.487,4.211,7.939,6.893,6.893,6.893,6.893,6.893,6.208,20.0,1.992,6.994,3.203,2.118,1.728,1.728,1.728,1.884,3.349,0,0,140.0,4.796,0.0
5.642,0.825,0.088,162.249,0.023,0.849,147.492,1.797,6.867,-1.694,2.868,54.465,8.162,0.0,3.522,3.64,3.546,3.068,4.571,2.896,4.098,4.252,3.69,3.438,5.883,3.201,4.412,4.639,3.79,3.465,5.534,3.289,4.498,4.702,3.665,3.346,6.403,3.202,4.297,4.56,3.023,3.178,5.457,2.962,4.037,4.283,2.917,3.049,5.182,2.804,3.931,4.176,2.842,2.914,5.127,2.667,3.753,3.978,2.489,2.612,5.164,2.42,0.37,0.398,13.51,4.372,62.798,3.898,0.823,0.569,23.116,8.289,6.571,0.943,0.601,32.556,7.158,167.12,7.709,1.662,0.536,30.746,7.124,278.805,7.448,0.447,25.553,5.914,6.305,0.582,0.373,20.079,5.595,111.315,5.507,0.563,0.314,18.859,5.028,106.421,4.704,0.526,0.222,17.367,3.983,87.109,3.563,67,20,0.356,0.576,0.739,0.788,0.788,0.788,2.792,1.686,-0.16,-0.3,-0.48,18.8,1,2,0,0,2,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,1,6,0,0,0,0,0,0,0,6,8,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0,2,0,2,4,0,2,0,2,4,0,0,0,0,0,0,0,267.0,8.764,8.764,8.764,8.764,8.764,8.377,6.325,5.314,8.829,6.881,6.881,6.881,6.881,6.881,6.196,7.5,2.483,6.973,3.203,2.094,1.274,1.024,1.024,1.024,3.363,0,0,184.0,4.472,0.0
5.854,0.788,0.109,162.747,0.0,0.872,161.093,1.833,5.286,-2.296,5.272,49.758,8.522,0.0,3.433,3.546,3.511,2.982,4.526,2.807,4.0,4.143,3.681,3.354,5.865,3.127,4.315,4.518,3.765,3.396,5.517,3.236,4.46,4.663,3.627,3.298,6.389,3.146,4.21,4.466,3.134,3.166,5.379,2.913,3.931,4.143,3.03,3.019,5.394,2.802,4.045,4.235,1.746,2.385,5.517,2.319,3.104,3.583,0.157,1.499,3.219,0.98,0.391,0.356,12.246,4.066,64.75,3.391,0.824,0.513,21.529,7.72,5.729,0.983,0.547,29.367,6.449,167.014,6.65,1.66,0.483,30.434,7.18,281.84,7.242,0.411,23.417,6.013,5.853,0.577,0.325,24.74,6.491,91.133,5.101,1.063,0.174,17.038,2.51,192.619,3.041,0.219,0.064,9.39,1.458,37.558,2.177,78,20,0.374,0.602,0.712,0.712,0.712,0.678,2.732,1.673,0.22,0.06,-0.16,17.2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.0,7.635,7.635,7.635,7.635,7.635,7.247,7.906,4.294,7.709,6.399,6.399,6.399,6.399,6.399,5.714,12.5,2.033,6.505,3.025,1.904,1.362,1.362,1.362,1.53,3.285,0,0,129.0,4.472,0.0
7.42,0.81,0.173,160.657,0.0,0.851,152.86,1.833,6.071,-2.15,4.622,49.864,8.522,0.0,3.433,3.546,3.511,2.982,4.515,2.807,4.0,4.143,3.656,3.348,5.857,3.111,4.305,4.519,3.759,3.362,5.486,3.198,4.401,4.59,3.625,3.239,6.38,3.111,4.17,4.414,2.956,3.071,5.394,2.856,3.931,4.176,2.842,2.914,5.127,2.667,3.753,3.978,2.489,2.612,5.164,2.42,3.537,3.779,1.227,1.916,4.875,1.791,0.391,0.356,12.246,4.066,66.078,3.391,0.826,0.504,21.472,7.751,5.743,0.981,0.521,30.047,6.521,174.302,6.634,1.635,0.458,28.609,6.51,272.709,6.438,0.378,23.189,5.546,5.513,0.627,0.307,19.233,5.089,118.763,4.728,0.582,0.214,17.803,4.055,98.001,3.583,0.586,0.103,10.866,1.619,104.813,2.065,66,19,0.374,0.602,0.746,0.774,0.774,0.774,2.731,1.7,0.22,0.06,-0.16,17.2,1,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,220.0,8.057,8.057,8.057,8.057,8.057,7.67,6.325,4.814,8.122,6.381,6.381,6.381,6.381,6.381,5.696,7.5,2.233,6.479,3.025,1.904,1.198,1.061,1.061,1.061,3.291,0,0,150.0,4.359,0.0
5.735,0.826,0.085,163.048,0.021,0.81,141.642,1.762,7.688,-1.237,1.531,59.066,7.863,0.0,3.604,3.726,3.579,3.147,4.623,2.977,4.188,4.351,3.723,3.52,5.908,3.284,4.508,4.746,3.82,3.557,5.581,3.372,4.587,4.802,3.699,3.45,6.422,3.293,4.404,4.674,3.094,3.291,5.514,3.067,4.18,4.447,2.987,3.159,5.259,2.916,4.037,4.283,2.917,3.049,5.182,2.804,3.931,4.176,2.842,2.914,5.127,2.667,0.35,0.439,14.696,4.688,59.666,4.401,0.818,0.634,24.713,8.837,7.392,0.904,0.681,34.873,7.816,160.11,8.764,1.685,0.615,32.813,7.794,283.213,8.476,0.523,27.276,6.542,7.305,0.594,0.44,22.405,5.978,108.324,6.287,0.525,0.379,19.781,5.544,100.426,5.486,0.51,0.32,18.548,4.978,96.38,4.684,70,21,0.341,0.55,0.725,0.8,0.8,0.8,2.849,1.673,-0.51,-0.64,-0.78,20.0,1,3,0,0,2,0,1,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,0,1,6,1,0,0,0,0,0,0,6,8,1,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,4,0,2,0,2,4,0,2,0,2,4,0,2,0,2,4,0,0,316.0,9.471,9.471,9.471,9.471,9.471,9.084,6.325,5.814,9.536,7.381,7.381,7.381,7.381,7.381,6.696,7.5,2.733,7.473,3.368,2.287,1.379,0.993,0.993,0.993,3.43,0,0,222.0,4.583,0.0
5.712,0.944,-0.016,182.056,0.021,1.079,208.038,1.665,6.875,0.203,0.041,57.591,8.123,0.0,3.582,3.685,3.577,3.136,4.663,2.973,4.161,4.296,3.863,3.53,5.912,3.321,4.541,4.73,4.013,3.636,6.139,3.47,4.666,4.85,3.707,3.538,6.472,3.394,4.5,4.753,3.127,3.336,5.684,3.122,4.2,4.463,3.001,3.132,5.326,2.895,4.004,4.238,2.929,2.957,5.256,2.74,3.839,4.052,2.523,2.666,5.267,2.485,0.397,0.417,13.992,4.846,74.645,4.263,0.858,0.623,23.849,9.02,7.294,1.379,0.715,36.164,9.689,263.574,9.173,1.817,0.665,36.789,9.08,353.172,8.968,0.551,30.421,7.358,7.925,0.715,0.438,23.485,6.13,139.478,6.305,0.638,0.353,19.808,5.155,122.962,4.876,0.612,0.262,18.326,4.117,104.713,3.752,82,23,0.325,0.514,0.632,0.738,0.793,0.793,2.852,1.624,-0.51,-0.64,-0.78,20.6,1,5,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,2,4,2,0,2,2,4,5,4,3,2,0,0,2,0,0,4,4,5,0,2,2,0,0,2,0,0,5,1,2,0,0,2,0,5,0,2,0,2,5,0,2,0,2,4,0,0,0,0,0,0,0,316.0,9.186,9.186,9.186,9.186,9.186,8.816,3.235,5.344,9.213,7.31,7.31,7.31,7.31,7.31,6.654,3.488,2.435,7.382,3.422,2.451,1.845,1.302,1.022,1.022,3.422,0,1,197.0,4.796,0.0
7.569,0.704,0.117,171.764,0.028,1.061,176.56,1.973,6.0,-1.74,3.027,57.125,10.112,0.353,3.456,3.525,3.624,3.073,4.729,2.956,3.955,4.01,3.931,3.462,5.922,3.321,4.315,4.407,4.063,3.562,6.132,3.462,4.506,4.643,3.827,3.452,6.473,3.367,4.226,4.412,3.568,3.275,5.76,3.16,4.042,4.208,3.321,2.946,5.769,2.895,3.597,3.831,2.406,2.367,5.034,2.3,2.816,3.086,0.715,1.455,3.951,1.261,0.493,0.395,8.564,4.398,87.567,2.431,0.872,0.593,15.179,7.817,4.482,1.395,0.706,23.033,9.24,257.67,5.82,1.854,0.666,26.034,8.506,345.016,6.218,0.566,23.147,7.051,5.705,0.922,0.423,15.547,4.898,139.094,3.932,0.552,0.251,12.45,3.122,88.788,2.908,0.284,0.09,5.58,1.254,51.445,1.428,56,27,0.391,0.687,0.769,0.797,0.797,0.797,2.909,1.329,0.9,0.71,0.42,25.0,0,1,0,0,0,0,0,0,1,2,1,2,0,3,0,2,1,2,2,2,0,4,2,4,5,4,1,2,0,0,2,0,0,4,4,5,0,0,2,0,0,2,2,1,5,0,2,0,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.0,9.918,9.918,9.918,9.918,9.918,8.797,5.388,5.562,10.01,8.354,8.354,8.354,8.354,8.354,6.67,4.371,2.617,8.52,2.834,1.343,0.929,0.786,0.786,0.786,3.512,0,0,194.0,4.416,0.0
